[00000.00-00007.12] 好的,我们接下来看文说流帮打败了相语,然后结束了处罕之争。
[01097.62-01099.66] 俊限风国病存
[01100.66-01101.90] 一方面加成这种集权
[01101.90-01103.06] 另外一方面呢
[01103.06-01104.84] 我们所说的风同性嘛
[01104.84-01105.62] 比如说
[01105.62-01106.46] 就用情况之下
[01106.46-01107.86] 如果一旦打起来的话
[01107.86-01109.58] 那这时候我自己的兄弟
[01109.58-01111.00] 他其实会过了帮我的
[01111.00-01112.78] 所以就有了俊仙风国病存
[01112.78-01113.86] 那如果有风国的话
[01113.86-01115.86] 其实就有了我们所说的这种
[01115.86-01116.64] 风风
[01116.64-01117.78] 那就有了风风
[01117.78-01119.06] 所以在汉炒的时候
[01119.06-01121.10] 我们会发现也会有很多的珠后果
[01121.10-01121.58] 对吧
[01121.58-01123.02] 但这些珠后果当中
[01123.02-01125.86] 他们就会有一些国家做大做巧
[01125.86-01127.02] 那一旦做大做巧呢
[01127.02-01129.10] 就会威写到我们所说的什么
[01129.10-01130.98] 就威写到皇帝的这个地位
[01130.98-01133.38] 所以在漢能地的時候大家注意一下
[01133.38-01135.14] 其實就已經開始小方設法去
[01135.14-01136.94] 虛弱著這幾個珠火鍋的力量
[01136.94-01139.10] 到了漢僧的時候就更直接了
[01139.10-01140.46] 漢能力直接翻臉了
[01140.46-01142.18] 幹嘛呢?就說要虛翻
[01142.18-01143.86] 就是任用炒錯
[01143.86-01144.86] 就已經虛翻
[01144.86-01146.34] 而任用炒錯虛翻的時候
[01146.34-01147.82] 就虛來虛去的話
[01148.46-01150.34] 就一個人就虛到了他頭上
[01150.34-01151.14] 這人是誰呢?
[01151.14-01153.50] 這個人就是無王劉幣
[01153.50-01154.34] 停著這個名字
[01154.34-01155.74] 對吧?就很牛
[01155.74-01157.30] 就是我們所說的汪劉幣
[01157.30-01158.54] 汪劉幣是誰啊?
[01158.54-01159.14] 大家注意一下
[01159.14-01159.90] 汪劉幣
[01159.90-01162.72] 他其实是我们所说的流帮的亲指责
[01162.72-01164.50] 其实是流帮的亲指责
[01164.50-01166.30] 他这个人非常不得了的
[01166.30-01168.60] 他不到20岁的时候就封了配合
[01168.60-01171.16] 后来又封了无网和珠侯网
[01171.16-01173.72] 他捅下3G53程
[01173.72-01175.52] 53个城城要通行吗
[01175.52-01176.80] 那家我没死了
[01176.80-01177.82] 对吧他能错得了
[01177.82-01178.60] 他错不了
[01178.60-01179.60] 所以在这种情况之下
[01179.60-01182.30] 汉井地也消血若周国的力量
[01182.30-01184.72] 结果血蕁去就血到了谁的时候头上
[01184.72-01186.28] 就血到了无网流闭的头上
[01186.28-01188.32] 无网流闭说那还留得对吧
[01188.32-01189.86] 只还能续到我的头上
[01189.86-01193.56] 于是他就联合了一些其他的几个国家
[01193.56-01194.66] 就打出了什么呢
[01194.66-01196.52] 叫清军测的这样的一切
[01196.52-01198.56] 清军测本身就是给他做法
[01198.56-01199.32] 其实就
[01199.84-01201.44] 只是做了一个美化
[01201.44-01201.64] 对吧
[01201.64-01204.32] 其实就是提出了这个清军测的这样的一个名号
[01204.32-01205.72] 只有清军测之后呢
[01205.72-01206.64] 就有了我们所说的
[01206.64-01207.52] 七国之外
[01207.52-01208.28] 大家注意一下
[01208.28-01209.52] 这是我们所起国之外
[01209.52-01212.60] 而这个汪流闭它的造反这个运动
[01212.60-01213.16] 最后呢
[01213.16-01215.32] 在汉平和梁国联手之下屏定了
[01215.32-01219.02] 而漢庭有在平定我們所說的七國之亂說
[01219.02-01220.72] 七大公誠 請問最有名的
[01220.72-01223.32] 大家知道就是我們所說的周亚夫
[01223.32-01224.52] 就是我們所周亚夫
[01224.52-01227.80] 而這些人物其實都在每人心靜的一部電視劇裡面
[01227.80-01229.92] 出現我 也是心道路出現過
[01229.92-01232.02] 這個點大家注意一下 考察什麼呢
[01232.02-01234.02] 第一個 氣國之亂在什麼時候
[01234.02-01236.82] 第二個 氣國之亂的主要人物是誰
[01236.82-01239.32] 大家注意一下 這是我們所說這兩個
[01239.32-01241.82] 第三一個就是我們經常會聽到一個成語
[01241.82-01246.82] 这说乱七八糟
[01246.82-01249.82] 乱七八糟
[01249.82-01250.82] 乱七八糟
[01250.82-01251.82] 乱七八糟
[01251.82-01253.82] 乱七八糟
[01253.82-01254.82] 乱七八糟
[01254.82-01255.82] 乱七八糟
[01255.82-01258.82] 乱七八糟
[01258.82-01259.82] 乱七八糟
[01259.82-01260.82] 乱七八糟
[01260.82-01261.82] 只做七国之乱了
[01261.82-01262.82] 八糟
[01262.82-01264.82] 只做八王之乱
[01264.82-01265.82] 八王之乱
[01265.82-01266.82] 大家注意一下
[01266.82-01267.82] 不在我们所说的
[01267.82-01268.82] 汉朝
[01268.82-01269.82] 八王之乱
[01269.82-01272.06] 这个就是汉稳地
[01272.06-01274.66] 汉稳地的孩子叫做刘企业
[01274.66-01276.86] 刘企就是汉警地
[01276.86-01277.66] 就是警地
[01277.66-01279.10] 而这里面这个人
[01279.10-01281.06] 就是大红展测的这个大哥
[01281.06-01284.86] 他就是我们在影视剧当中知道的周亚夫
[01284.86-01287.90] 他是汉带的一个非常有名的一名将军
[01287.90-01289.14] 你非常有名将军
[01289.14-01291.14] 这个就是我们所说的文警之之
[01291.14-01292.66] 文警之之是得
[01292.66-01295.38] 我们所说的汉朝的国力得以恢复
[01295.38-01297.42] 而汉朝的我们所说的发展
[01297.42-01300.24] 打到顶封的时候是在哈魯利时期
[01300.24-01302.80] 这个就是我们所说电视距离面
[01302.80-01305.30] 哈魯大地撑贸国所验的
[01305.30-01306.64] 哈魯利的人
[01306.64-01307.78] 哈魯利的人
[01307.78-01310.48] 斯马千对他进行了一个非常明的平坦
[01310.48-01311.50] 所以大家知道
[01311.50-01313.80] 斯马千对哈魯利的平坦就四个字
[01313.80-01315.60] 不是斯马千是班顾
[01315.60-01317.38] 就说雄材大略
[01319.94-01321.48] 班顾对哈魯平坦
[01321.48-01323.28] 这就是我们所说的雄材大略
[01323.28-01325.06] 所以一旦出现雄材大略自己的字
[01325.06-01326.86] 大家知道是雄龙哈魯利的
[01326.86-01332.86] 而在哈魯帝时期其实也发生了很多我们所说的大事,
[01332.86-01336.36] 第一点大事就是我们所说的大扩凶努,
[01336.36-01339.66] 在这地方大扩凶努其实主要一扩了两个人,
[01339.66-01341.96] 一个是我们所说的卫轻,一个是我们所说的卫轻和我们所说的,
[01341.96-01345.36] 扩去病,说到卫轻其实就不得不提提,
[01345.36-01351.16] 我们经常会听到的一句话叫做《弹使龙城飞键》在不叫红马独音山,
[01351.16-01354.06] 达出一样,叫《弹使龙城飞键》在。
[01354.06-01358.54] 但是龙城非降在
[01358.54-01362.14] 不叫湖满杜银山
[01362.14-01369.26] 但是龙城非降在不叫湖满杜银山
[01369.26-01371.58] 这里面出现了龙城非降
[01371.58-01375.22] 又说在文学上就会考说那龙城非降值的是谁呢
[01375.22-01378.06] 其实本质上龙城非降应该是两个人
[01378.06-01380.22] 龙城值的是龙城将军
[01380.22-01381.26] 应该是我们所说的
[01381.26-01383.26] 而且非常值的是谁呢
[01383.26-01388.12] 非常是当时在兄母对战国人当非常有名的一名
[01388.12-01390.36] 汉朝的大将叫做李广
[01390.36-01391.76] 不然大家有没有听过
[01391.76-01393.26] 李广南风
[01393.76-01396.76] 和他有关的点顾
[01396.76-01397.76] 就是李广南风
[01397.76-01400.46] 这个李广的作战能力非常非常的强
[01400.46-01401.46] 为什么叫非常呢
[01401.46-01404.26] 就是因为李广擅期射
[01405.26-01407.26] 他的马在战场跑得特别快
[01407.26-01408.26] 比如说
[01408.26-01410.50] 这刚才打仗的时候他在左边
[01410.50-01412.50] 然后你回舍他就到了右边
[01412.50-01414.30] 然后你在一路舍他没有到了左边
[01414.30-01416.94] 我们所说的就做战能力特别强
[01416.94-01418.78] 而且他是见无虚发的
[01418.78-01421.34] 这在情军做战马快速跑的正过程当中
[01421.34-01423.18] 还是白发呆中
[01423.18-01424.98] 所以他非常非常地厉害
[01424.98-01427.42] 所以我们都知道修诺人都知道这个离光
[01427.42-01428.54] 所以一般情况打仗的时候
[01428.54-01429.42] 有离光在的时候
[01429.42-01430.62] 并利一定是最多的
[01431.18-01433.34] 所以离光打了这么多年
[01433.34-01435.34] 也一直没有说拿下修诺
[01435.34-01437.70] 所以在这种情况下叫离光南风
[01437.70-01440.74] 就是套地总想去提外一下他给他风格什么
[01440.74-01442.94] 侯万风格什么位置什么的
[01442.94-01444.62] 但是他没有什么太多的攻击
[01444.62-01448.74] 但是确实也是在对抗修炉当中做出了很大这个供现
[01448.74-01449.98] 所以就经常会有
[01449.98-01451.58] 说带使龙城飞降在
[01451.58-01453.62] 那这个龙城飞降达住一下
[01453.62-01455.62] 龙城只得是卫轻飞降的
[01455.62-01456.62] 只得是离过
[01456.62-01458.18] 但是有的时候考试的时候
[01458.18-01459.98] 他把龙城飞降放在一块
[01459.98-01460.82] 说是离过
[01460.82-01462.62] 那这种情况下也对
[01462.62-01464.30] 所以在这里大家注意一下
[01464.30-01465.74] 这是我们所说的卫轻
[01465.74-01468.14] 那位称其實是位子服的弟弟
[01468.14-01469.14] 大家都知道
[01469.14-01469.90] 就換句話說的
[01469.90-01471.62] 其實是耗爐的小舊子
[01471.62-01473.42] 而位称太有一個外省
[01473.42-01474.66] 他這個外省的就叫做
[01474.66-01475.78] 或去病
[01475.78-01479.22] 或去病少年將軍非常非常厲害
[01479.22-01481.58] 所以在位称或或去病
[01481.58-01482.66] 共同努力之下
[01482.66-01484.22] 我們就集推了修努
[01484.22-01485.66] 修努感到的莫德一北
[01485.66-01487.22] 他們就在沒有回來過
[01487.22-01488.34] 那有關於或去病
[01488.34-01490.14] 他身上有很多的點顧
[01490.14-01491.74] 大家在這裏知道
[01491.74-01493.14] 神第一個點顧
[01493.14-01495.50] 就是我們所說的叫做風浪居區
[01495.50-01498.18] 风浪居序其实是在浪居序山上
[01498.18-01500.86] 过去并大破凶浪之后
[01500.86-01504.46] 即便我们所说的以前就是死去的那些降领
[01504.46-01507.74] 同时在六过程当中那也是宣称自己打拥了
[01507.74-01509.78] 这种情况下的最在这里
[01509.78-01512.66] 叫做风浪居序就是在浪居序山上
[01512.66-01513.86] 取行这么一个一事
[01513.86-01514.98] 叫风浪居序
[01514.98-01516.98] 而过去并最有名的一个句子
[01516.98-01519.14] 就是常说的叫凶浪为灭
[01519.14-01520.30] 鼓以为家
[01520.30-01521.82] 说凶浪都没有机退
[01521.82-01525.90] 我拿了我自己的小家
[01525.90-01528.02] 所以叫虚努未面无以为加
[01528.02-01529.54] 所以这句话一旦出来
[01529.54-01531.10] 大家知道是形容获取病的
[01531.10-01532.42] 而获取病这个人
[01532.42-01533.98] 大家注意一下年少成命
[01533.98-01535.70] 20多岁的时候就气势了
[01535.70-01537.34] 可以说是天度英才
[01537.34-01538.46] 18岁的时候
[01538.46-01540.46] 就跟着他救救卫青去打招了
[01540.86-01542.54] 而且旅渐其工
[01542.54-01543.90] 所以每一朵大
[01543.90-01545.54] 大概是20岁刚出头的时候
[01545.54-01546.78] 就封了侯绝
[01546.78-01547.78] 就封了侯绝
[01547.78-01549.34] 就封一位叫逛军后
[01549.34-01551.02] 我们经常说到逛军逛军
[01551.02-01552.30] 未压的产品
[01552.56-01555.62] 我们经常说到军军这一次就来自于获取病
[01555.88-01558.96] 叫做什么叫做公军权军
[01559.22-01560.24] 所以就有了
[01560.50-01561.52] 军侯一成
[01561.78-01562.28] 所以关于侯
[01562.54-01563.82] 说军侯谁有关
[01564.08-01564.84] 获取病的军
[01565.10-01566.12] 还有一个地点
[01566.38-01567.14] 也和获取病的军
[01567.40-01569.20] 就是我们所说的干诉的九权
[01569.46-01570.74] 那个干诉九权呢
[01570.98-01573.80] 我们现在的国家类型发射中心之一
[01574.06-01575.08] 发射基地之一
[01575.34-01576.88] 干诉的九权
[01577.64-01579.94] 他主要说的就是当年获取病
[01579.94-01581.48] 打游修炉之后
[01581.48-01583.52] 恋肆了它一杯酒
[01583.52-01585.42] 但是它不能依然独映
[01585.42-01587.62] 它说这是重酱式的功劳
[01587.62-01589.08] 所以就把这个酒码
[01589.08-01590.96] 就撒到了这个权水当中
[01590.96-01592.66] 和重酱是一起去宴
[01592.66-01595.32] 这个就是我们所说的叫酒权油测来
[01595.32-01596.96] 所以这也和获取病官
[01596.96-01600.54] 还和获取官的一个就是山丹马厂
[01600.54-01604.00] 山丹马厂是现在世界上最古老的
[01604.00-01605.16] 皇家马厂
[01605.16-01609.76] 山丹马厂它其实也是我们所说的获取病建造的
[01609.76-01611.76] 所以這些內容一旦出現
[01611.76-01615.60] 大家都知道它是和過去病有關
[01615.60-01617.68] 所以大家知道這是我們所說的
[01618.24-01621.96] 另外第一個就是機會修炸體推修炸
[01621.96-01624.08] 解決了長期以來的修炸問題
[01624.08-01626.76] 這是第一個我們所說的大破全社修炸
[01626.76-01628.36] 第二個在號碼時期
[01628.36-01630.24] 只能一提就是我們所說的
[01630.24-01634.60] 叫做張謙初始西域開批司仇之路
[01634.60-01637.20] 那四種之路它整體的考察
[01637.20-01639.76] 就会相对来说考的比较灵活了
[01639.76-01642.12] 拍忙碌就会跨学科来考察
[01642.12-01643.20] 怎么跨来考察呢
[01643.20-01643.84] 第一个
[01643.84-01645.00] 它是历史事件
[01645.00-01647.20] 大家就历史时间重生的掌握
[01647.20-01648.68] 第二个就是在这里
[01648.68-01651.84] 会睡到相应的文学知识的考点
[01651.84-01653.00] 文学知识的考点
[01653.00-01653.68] 第三个呢
[01653.68-01655.76] 它和我们习总所提到的
[01655.76-01656.92] 我们所说的这个
[01657.60-01658.56] 一代一路
[01658.56-01659.72] 有一定的关系
[01659.72-01662.28] 它就会结合实证来考察
[01662.28-01662.96] 当然呢
[01662.96-01664.88] 也可能会结合我们所说的相得
[01664.88-01666.40] 地理知识来考察
[01666.40-01669.98] 所以这个思仇之路无论是从恒相伤重相上
[01669.98-01671.88] 它会设计的学科
[01671.88-01674.84] 以及设计高的知识点会非常非常多
[01674.84-01679.72] 所以在这里老师就把这几年我们所说的体目当中所出现的
[01679.72-01683.04] 我们和思仇之路它的开批相关的所的知识点
[01683.04-01684.20] 做了一个汇总
[01684.20-01689.76] 而且会把我们所说的比如说一带一路当中的海上所中的拿出来做一个对比
[01689.76-01691.52] 所以这个知识点大家注意一下
[01691.52-01693.80] 它是一个比较全的这样的一个点了
[01693.80-01695.64] 那种会相对来说比较多一点
[01695.64-01697.64] 同学们稍微多一点耐心
[01697.64-01699.64] 我们来看一下四手之路
[01699.64-01701.64] 那丝路首先第一个来看一下
[01701.64-01703.14] 丝路它的路线
[01703.14-01704.64] 我在这里面
[01704.64-01706.64] 现在同学们展示了一下
[01706.64-01708.64] 我们所说的四手之路
[01708.64-01710.64] 它大概的这样路线土
[01710.64-01712.64] 这路线土在这里我们都知道
[01712.64-01715.64] 它是从我们所说的船出发
[01715.64-01716.64] 从船出发
[01716.64-01718.64] 然后在这里经过核心走狼
[01718.64-01719.64] 核心走狼
[01719.64-01722.64] 其实我们所说的未清和获取病
[01722.64-01724.64] 你看在这个地方
[01724.64-01726.64] 说的多区了和套和区走了
[01726.64-01728.64] 如果没有把和区走到多下的话
[01728.64-01730.64] 其实很难开区思组之路
[01730.64-01731.64] 所以在这里面
[01731.64-01733.64] 我们都知道是从和区走到哪儿呢
[01733.64-01735.64] 到了玉门关和阳关
[01735.64-01737.64] 当时的玉门关和阳关
[01737.64-01739.64] 其实就是国际线了
[01739.64-01741.64] 我们经常说叫春风不度玉门关
[01741.64-01742.64] 对吧
[01742.64-01743.64] 其实就是国际线了
[01743.64-01746.64] 然后在这里面就分成了北
[01746.64-01747.64] 和南两条线
[01747.64-01748.64] 北边是这条线
[01748.64-01749.64] 对吧
[01749.64-01750.64] 往这边走
[01750.64-01751.64] 南边是这条线
[01751.64-01752.64] 然后往下走
[01752.64-01753.64] 对吧
[01753.64-01756.32] 这个就是他大概的这样一个情况
[01756.32-01758.36] 这里面就说金河去走浪
[01758.36-01761.56] 路过西域经过中亚西亚最眼睛到达欧洲
[01761.56-01765.00] 从我们现在要注意的就是大概的先了解一下
[01765.64-01767.64] 他是经过了哪些地方
[01767.64-01769.00] 就是他大概的路线
[01769.00-01772.08] 长安西域中亚西亚和欧洲
[01772.08-01774.32] 这个是他大概的这样一个情况
[01774.32-01776.52] 那么需要具体了解就是私手之路
[01776.52-01779.04] 他的具体路线大概是什么样子
[01779.04-01780.48] 在这里面我们来看一下
[01780.48-01783.20] 人第一個就給到張先生處於區域
[01783.20-01784.12] 張先生處於區域
[01784.12-01786.00] 大家首先要第一個必須要掌握著
[01786.00-01788.52] 就它出使的起點是在哪
[01788.52-01790.84] 我們都知道是在當時的都成
[01790.84-01792.40] 我們所說的西安
[01792.40-01795.48] 從西安出發經過我們所說的核心走狼
[01795.48-01797.64] 然後納北兩路
[01797.64-01800.32] 北上大約南下深圖
[01800.32-01803.12] 然後西行大約之
[01803.12-01804.32] 或者叫大陸之
[01804.32-01805.44] 都什麼都有
[01805.44-01808.28] 最終到達我們所說的那大情
[01808.28-01809.72] 這個是它的終點
[01809.72-01811.32] 我们要知道这个点要掌握
[01811.32-01813.52] 它的中脸就是在骨罗卖
[01814.92-01816.52] 中脸就是在骨罗卖
[01816.52-01817.72] 这时候我们所说的
[01817.72-01818.92] 第一个在路线当中
[01818.92-01819.92] 同时要掌握住
[01819.92-01822.12] 它的旗垫和中脸
[01822.12-01823.12] 线和中脸
[01823.12-01824.72] 除了路线之外
[01824.72-01825.52] 大家注意下
[01825.52-01826.72] 除了旗垫和中脸之外
[01826.72-01827.92] 它还会考察一些
[01827.92-01829.32] 奇奇怪怪的地名
[01829.32-01830.52] 什么奇奇怪怪地名呢
[01830.52-01831.52] 比如说在这里
[01831.52-01832.32] 它就会问到说
[01832.32-01833.92] 抗局指的是哪里
[01833.92-01834.52] 对吧
[01834.52-01835.92] 然后它以下
[01835.92-01837.72] 在中亚当中
[01837.72-01839.52] 经过的国家可能有哪些
[01839.52-01841.26] 它可能就會考得這麼細
[01841.26-01843.20] 那個別是一單位考試過的當中
[01843.20-01844.66] 確實也都考過
[01844.66-01846.48] 比如說它途徑過大下
[01846.48-01848.28] 然後我們大下是哪裡
[01848.28-01851.40] 這裡面我們除了知道它的期間和中點之外
[01851.40-01853.60] 還要把它路徑的中央
[01853.60-01856.10] 吸或者是歐洲的國家
[01856.10-01857.94] 把它們要整理會種在一塊
[01857.94-01859.24] 但由於思仇之路
[01859.24-01862.04] 它其實是經過了第一次和第二次兩次
[01862.04-01864.36] 它形成了這個思仇之路的
[01864.36-01867.38] 所以在這裡面它逆經過的國家會比較多
[01867.38-01869.58] 單純的從剛才地圖上來
[01869.58-01870.74] 不太好判斷
[01870.74-01872.02] 所以老师在这里
[01872.02-01873.02] 給同學們去給他
[01873.02-01874.34] 進行了一個書裡
[01874.34-01875.58] 那他首先第一個
[01875.58-01876.14] 我們都知道
[01876.14-01879.06] 他是從長出發
[01879.06-01880.90] 然後途徑我們所說的
[01880.90-01882.74] 西域
[01882.74-01884.54] 然後進入到了中亞和西亞
[01884.54-01886.06] 那他中亞經過的國家
[01886.06-01886.78] 都哪些
[01886.78-01887.86] 同學就簡單記
[01887.86-01888.98] 中亞經過的國家
[01888.98-01890.78] 就是各種斯坦
[01890.78-01892.06] 就不用寄別的了
[01892.06-01893.22] 你就寄各種斯坦
[01893.22-01894.14] 哈薩克斯坦
[01894.14-01895.02] 物資別克斯坦
[01895.02-01896.06] 土窟曼斯坦
[01896.06-01898.06] 他已經克斯坦和基尊斯坦
[01898.06-01899.54] 你說簡暖去記
[01899.54-01901.62] 就是他經過各種各樣的斯坦
[01901.62-01903.10] 他經過各種各樣的斯坦
[01903.10-01903.90] 這第一個
[01903.90-01904.46] 第二個呢
[01904.46-01905.90] 就在斯坦國裡面
[01905.90-01907.46] 他有一個別稱
[01907.46-01908.58] 比如說抗拘
[01908.58-01909.26] 抗拘
[01909.26-01910.54] 他其實就是我們現在的
[01910.54-01913.22] 大概是在屋子別克斯坦的地方
[01913.22-01914.86] 所以大家知道這是中亞
[01914.86-01915.62] 他還有一個呢
[01915.62-01918.06] 就是經過了西亞經過的國家
[01918.06-01919.98] 就是阿富汗伊朗黑拉克
[01919.98-01920.98] 那這三個國家
[01920.98-01923.26] 同樣要記住阿富汗伊朗黑拉克
[01923.26-01925.30] 那同時要記住他的別稱
[01925.30-01927.54] 大县在这里面指的是阿富汗
[01927.54-01929.38] 安息指的是伊朗
[01929.38-01931.94] 那条支指的是伊拉克
[01931.94-01933.46] 所以他经过县的时候
[01933.46-01936.18] 是路过了这三个阿角两一汗
[01936.18-01937.18] 两一汗
[01937.18-01937.98] 那最后呢
[01937.98-01941.14] 这说我们所说欧洲欧洲的大家就不需要特别去记了
[01941.14-01942.50] 欧洲这边只需要记得
[01942.50-01944.50] 他经过鼓励满大情就可以了
[01944.50-01947.06] 主要在这里要记住他中亚和县
[01947.78-01951.42] 路经过那些国家以及这些国家的别称
[01951.42-01952.78] 阿富汗叫大县
[01952.78-01956.78] 伊朗叫安息伊拉克叫调知
[01956.78-01958.78] 这也他的路线比如说
[01958.78-01959.78] 咱们来看一下
[01959.78-01960.78] 这道题之前
[01960.78-01962.78] 谁单位考察过的一道题目
[01962.78-01965.78] 说张千两次处理虚育都经过大项
[01965.78-01967.78] 看到了属部和区术上
[01967.78-01969.78] 然后问说大项现在呢
[01969.78-01971.78] 大项就是现在的阿富汗地区
[01971.78-01973.78] 所以在这里大家注意一下
[01973.78-01974.78] 刚才我们所说的
[01974.78-01975.78] 比一个我们所说
[01975.78-01977.78] 似乎之路他的路线
[01977.78-01980.78] 似乎之路的开屏的大家注意
[01980.78-01982.78] 最开始不是为了做贸易
[01982.78-01984.78] 搜出了开批最开始的目的
[01984.78-01985.78] 其实是什么呢
[01985.78-01987.78] 是为了我们所说的公打修努
[01987.78-01989.78] 大家都知道当时修努
[01989.78-01992.78] 它其实可修努有关的一个国家
[01992.78-01994.78] 就由国家被修努灭国了
[01994.78-01995.78] 这个国家是什么呢
[01995.78-01996.78] 这个国家就是大越之
[01996.78-01997.78] 或者大陸之
[01997.78-01999.78] 但我喜欢独大越之
[01999.78-02001.78] 那像我们所说的大越之
[02001.78-02003.78] 它这个国家被修努灭国了
[02003.78-02004.78] 不仅灭国了
[02004.78-02006.78] 还把大越之的国王杀掉了
[02006.78-02007.78] 把他头砍掉了
[02007.78-02009.78] 头砍掉了之后呢
[02009.78-02018.68] 休逢,就是占绩,然后把这个头偷光成九杯,每天打这个东西去少设喝酒,大约之也是一个有血性的民族。
[02018.68-02024.50] 他们的国家可以被占领,对吧,他们也可以说在这个国家当中有其他人来诸令他们,
[02024.50-02037.38] 但是他们不能被污染,也国王碍,偷光了,然后在那个地方让人成久,所以大约知道国民非常分钟,他们一气之下,他们就跑了,西千了,
[02037.38-02042.56] 然后就用情况之下,这个事对被谁听到了,就被哈魯帝听到,哈魯帝听到之后说,
[02042.56-02051.92] 那西班牲了国家,我们正好在偏在东边,那我们是不是可以左右加机,包了修炉的脚子,所以他就找人说去联合大约之后,一起去公打修炉,
[02051.92-02060.62] 然后说谁能替政跑这一趟,所有人都没去,就说张协说,要不我来吧,哈魯帝看,好人,果然是真的爱清了,
[02060.62-02065.16] 然后就跟那个张协说,说你不要怕,你就爸的放心地去去,
[02065.16-02067.98] 然后我在这个时候会给你一些帮助的
[02068.74-02071.56] 给他啥帮助呢说我会给你博人保护你一块去
[02071.56-02073.86] 然后说你给我多少人他说我给你
[02074.12-02075.14] 200人
[02075.14-02077.70] 当时张健说说200人也比没有好
[02077.70-02081.80] 结果他们这些人就开始从产出发去习预
[02081.80-02084.88] 然后结果去尋找大越之的这个路上
[02084.88-02085.90] 我刚才说了
[02085.90-02087.68] 刚出了阳光了
[02087.68-02089.48] 就被人凶独代出了
[02089.48-02091.52] 被生态度之后的关闹了凶独
[02091.52-02093.32] 然后张健有特别有气节
[02093.32-02095.88] 修炉的这个产品就喜欢中有气贴的人
[02095.88-02097.16] 就像中服弹
[02097.16-02099.72] 然后我们所说的VV离又都不好使
[02099.72-02102.72] 所以在这种情况这下就被关在修炉关了10年
[02102.72-02104.60] 第一十一年的时候他跑出来了
[02104.60-02106.36] 跑门找到大越之这个地方
[02106.36-02108.68] 然后就说起来前程网事
[02108.68-02109.76] 所以前程网事之后
[02109.76-02111.76] 然后大越之后说来我们不想报仇了
[02111.76-02113.16] 我们现在过得也挺好的
[02113.16-02115.32] 因为现在大越之子所在这个地方
[02115.32-02116.28] 谁逃峰冒
[02116.28-02118.28] 老百姓日子过的是相当之不错
[02118.28-02118.68] 对吧
[02118.68-02119.80] 我吃饭喝足了
[02119.80-02120.96] 我也不想去付仇了
[02120.96-02121.48] 对吧
[02121.48-02122.96] 愿愿相报合适量
[02122.96-02124.60] 那当时张天一听行吧
[02124.60-02126.12] 那你要不告诉过就回去了
[02126.12-02128.00] 就我张天他就要回到
[02128.60-02129.36] 长安
[02129.36-02131.08] 他准备要回长安的时候
[02131.08-02133.00] 这时候是出类点小小的狀況
[02133.00-02135.76] 就是他刚到其实在其联商付钱
[02136.00-02137.48] 在那个山面的南部
[02137.48-02140.88] 就又被抓回了我们所说的这个修诺
[02140.88-02142.08] 但是好在那个时候呢
[02142.08-02143.32] 没有这种互联网
[02143.32-02144.60] 就查表他身份证
[02144.60-02146.48] 然后呢关了一年多年的放走了
[02146.48-02147.68] 放走了之后呢
[02147.68-02148.56] 大家都知道
[02148.56-02150.00] 少年出争
[02150.00-02150.92] 不能说少年出了
[02150.92-02152.36] 少年去出事
[02152.36-02154.74] 那又说穿的20多岁的时候
[02154.74-02158.24] 他刚出门的时候穿的那真的是非常扣起
[02158.24-02161.46] 结果呢他在那边被关了12年之后
[02161.46-02163.40] 再回到场上都老了不行了
[02163.40-02165.32] 一山蓝鱼看到汉骨店
[02165.32-02167.72] 话没说某内重恨了
[02167.72-02169.24] 然后后来好多人一不哭了
[02169.24-02170.28] 然后汉骨的红号了
[02170.28-02172.00] 红号了之后就说你说说吧
[02172.00-02174.08] 然后就说你现在让我跟中央是一起
[02174.08-02176.28] 我就一定能带着他们公打修路
[02176.28-02178.88] 汉骨的当时看着张天那种城市的眼神
[02178.88-02179.88] 都不知道说什么了
[02179.88-02181.96] 说了一下说爱情不用打了
[02181.96-02183.38] 當時張先生說說
[02183.38-02184.80] 必須要為甚麼不用打
[02184.80-02185.80] 他們打贏了
[02185.80-02186.16] 對吧
[02186.16-02188.48] 已經被未興和後續變感到了
[02188.48-02189.88] 墨北一北再也不回來了
[02189.88-02191.68] 張先生當時有點失落
[02191.68-02193.04] 還有聽說沒關係
[02193.04-02193.48] 對吧
[02193.48-02194.72] 哪怕不能打上了
[02194.72-02196.88] 也可以藉這個機會去搞貿易
[02196.88-02199.04] 從而歉陽國為於是
[02199.04-02200.24] 第二次處於區域
[02200.96-02201.80] 做出去了
[02201.80-02203.44] 帶著我們所說的思潮
[02203.44-02204.20] 除了走了
[02204.20-02205.60] 所以在這種情況之下
[02205.60-02206.80] 就有了我們所說的
[02206.80-02208.48] 第二次去進行
[02208.48-02209.88] 我們所說的處於區域
[02209.88-02211.08] 在這個過程當中
[02211.08-02212.48] 就开配了私手之路
[02212.48-02213.32] 素之路
[02213.32-02214.92] 既加强了
[02214.92-02215.92] 我们所说的
[02215.92-02217.00] 我们重要文化
[02217.00-02217.88] 对外
[02217.88-02219.44] 我们所说的重要以外的影响
[02219.44-02220.92] 同时也使得外部文化
[02220.92-02222.56] 和一些东西输入到重要来
[02222.56-02223.44] 所以在这个地方
[02223.44-02224.64] 就给到了第二个
[02224.64-02225.00] 我们所说的
[02225.00-02226.20] 关于私蟲之路
[02226.20-02227.92] 它的一个输出和输入
