[00000.00-00004.90] 那我們看完了社人裡的人間煙火之後我們來看一看
[01123.32-01124.24] 典趣说
[01124.24-01124.80] OK
[01124.80-01125.48] 没问题
[01125.48-01128.04] 当时典趣就变确军军军军军
[01128.04-01130.88] 这是出自使记变确专离的故事
[01130.88-01132.28] 当时典趣就说好大
[01132.28-01132.88] 没问题
[01132.88-01135.72] 后来这个长三就从他的怀里面
[01135.72-01136.68] 就拨出一个药方
[01136.68-01137.92] 就给到典趣跟他说
[01137.92-01140.72] 说你拿着药方
[01140.72-01144.04] 然後喝三十天 配套池子裡面的水
[01144.04-01145.76] 喝完就知道咱回事了
[01145.76-01147.84] 然後點圈當時就覺得
[01147.84-01149.04] 這要放上啥用啊
[01149.04-01152.88] 說讓我喝三十天 結果當時這個人把這個藥方給點圈之後
[01152.88-01154.12] 這個人踏起來就不見了
[01154.12-01155.08] 點這一看吧
[01155.08-01156.84] 當時實際當中說
[01156.84-01159.40] 說代非人也說這原來不是個人
[01159.40-01161.72] 後來點圈就按照這個藥方就喝
[01161.72-01163.96] 喝了三天之後突然之間
[01163.96-01166.20] 就看到那個牆根上有一個人
[01166.20-01169.52] 他就能夠看到牆根下面站著人
[01169.52-01171.32] 得了什么并叫做
[01171.32-01173.20] 境界武藏政界
[01173.20-01174.36] 当时一下子
[01174.36-01175.88] 来就能够看得清了
[01175.88-01177.24] 所以那个时候就说了
[01177.24-01179.12] 说至今严脉者有典穴
[01179.12-01180.72] 所以这个时候就说了
[01180.72-01182.76] 开始准卖
[01182.76-01184.12] 有这样的一个名头
[01184.12-01184.88] 就看病的话
[01184.88-01186.32] 这是从谁的时候开始的
[01186.32-01187.36] 就是从典穴
[01187.36-01188.32] 那个时候开始
[01188.32-01190.00] 所以当然这也是我们所说的
[01190.00-01191.00] 在这个史基当中
[01191.00-01192.04] 所描确的典穴
[01192.04-01193.00] 专的很有故事
[01193.00-01194.32] 才从这个故事当中
[01194.32-01195.48] 就我们去描述了
[01195.48-01197.20] 它怎么能看得这么清新
[01197.20-01198.40] 这时候我们所说的
[01198.40-01200.96] 关于编决当中的第四个点
[01200.96-01202.28] 这是他的点顾
[01202.28-01203.68] 那当然和编决有关的
[01203.68-01205.00] 还有第五个小点钟什么呢
[01205.00-01205.44] 无说了
[01205.44-01206.68] 他往后会考察
[01206.68-01208.52] 人物和成就的对应
[01208.52-01209.64] 那相传
[01209.64-01211.76] 和编决有关的这个注作
[01211.76-01213.20] 相传是编决所作
[01213.20-01214.32] 川老师没想相传
[01214.32-01215.44] 因为没有考证
[01215.44-01217.04] 所以相传编决所作
[01217.04-01218.88] 有一本书就做满金
[01221.92-01222.92] 满金
[01222.92-01224.76] 满金也叫做黄帝
[01224.76-01225.76] 八十一满金
[01225.76-01230.24] 它是一本也发烂问答为基础的中一理论
[01230.24-01232.36] 所以在这里面就是有我们所说的
[01232.36-01234.08] 它的相传是难经
[01234.08-01236.88] 全书自出相当多了
[01236.88-01238.68] 放在今天其实不算是很多
[01238.68-01241.24] 但它那个时候你想它说话都比较经济
[01241.24-01242.92] 所以在全书难经当中
[01242.92-01244.92] 一共是1万15万多个字
[01244.92-01248.24] 所以整个部分就是它整个书可以分成
[01248.24-01249.76] 大概是6个部分
[01249.76-01251.60] 这6部分分别讲了卖雪
[01251.60-01254.04] 讲了金落 讲了造腐讲了级并
[01254.04-01257.52] 讲了语询 还有讲了一些真久的这些方法
[01257.72-01259.52] 所以这个点达知道这是耐金
[01259.52-01262.80] 就是发那问达的注意注作理论
[01262.80-01264.24] 把它的地位起来旁边
[01264.24-01265.60] 把照一本也发
[01265.88-01269.40] 那问达的
[01272.08-01273.36] 注意注作理论
[01277.56-01279.80] 这个是我们所说的这个变确
[01279.80-01281.64] 所以它身上一共五个考点达
[01281.64-01283.04] 知道第一个拿十七到
[01283.04-01284.36] 第二,没啥就变确啊
[01284.36-01286.00] 因为当时在照国行业
[01286.00-01287.64] 照国是谁的后代
[01287.64-01288.88] 是气的后代
[01288.88-01290.08] 他们以女儿为图桶
[01290.08-01293.12] 所以就觉得变确相他们的组相要守护着他们
[01293.12-01294.76] 所以才有了我们所说的什么
[01294.76-01296.44] 才有了我们所说的这个
[01296.44-01298.60] 变确爱称的油来
[01298.60-01299.60] 应该叫做爱称
[01299.60-01302.60] 所以经常又说叫做灵确的照喜
[01302.60-01304.28] 这个时候其实说的说什么
[01304.28-01305.00] 变确
[01305.00-01307.68] 这只是其中的油来的一种大助理想
[01307.68-01309.32] 当然变确它的成就
[01309.32-01313.04] 就体现在它的一学成就上卖学之中
[01313.04-01314.56] 一组 为什么叫卖学之中呢
[01314.56-01317.12] 从它开始有整卖的这样一个
[01317.12-01318.56] 我们所说的名称了
[01318.56-01321.60] 所以它的主要的中一四人法有此事形成
[01321.60-01322.64] 叫望文文问切
[01322.64-01324.04] 大家知道望文切是什么
[01324.04-01325.84] 以及它的点过和它的成就
[01325.84-01326.40] 好吧
[01326.40-01329.84] 这是第一个我们需要大家非常做一重点去掌握的人物
[01329.84-01331.36] 就要做变去
[01331.36-01332.68] 知道了变去之后
[01332.68-01333.80] 我们再来看一下第二个
[01333.80-01336.40] 著名的一学家就叫做话徒
[01336.40-01337.80] 话徒 话徒
[01337.80-01341.56] 大家注意一下,他说话妥自原话,佩国人,
[01341.56-01348.16] 当然,他要明确,话妥,他的真名,其实不叫做话妥,他叫做话夫,话夫。
[01348.16-01354.76] 你看,在后汉书,话妥占当中说了,他说话妥自原话,佩国调现人,
[01354.76-01358.88] 然后说一名夫,这里面的夫,可不是华夫品,那个夫。
[01358.88-01364.80] 话夫其实是他的这个笨名,话妥,这个妥是给别人给他起的挫号,
[01364.80-01366.44] 大家知道脱这个音
[01366.44-01368.38] 你听起来它其实不是一个汉子
[01368.38-01370.12] 或者说它不是一个本土子
[01370.12-01371.16] 这个脱
[01371.16-01372.74] 我们经常听到头脱
[01372.74-01373.84] 口脱脱听过吧
[01373.84-01375.80] 你看其实应该出现在什么
[01375.80-01377.12] 符了叫当中的
[01377.12-01378.76] 所以根据成运缺先生
[01378.76-01380.80] 当时提出的这个论点
[01380.80-01381.76] 就说了
[01381.76-01383.16] 说它原来应该叫话夫
[01383.16-01385.12] 它这个脱的认名字是怎么来的呢
[01385.12-01387.12] 其实是来自于繁了冷当中的
[01387.12-01389.12] 阿加图
[01389.12-01390.20] 你就了解一下
[01390.20-01390.92] 你就知道
[01390.92-01393.76] 它原来它如果在考试的时候考过话夫
[01393.76-01394.76] 考误这个名字
[01394.76-01396.36] 大家知道是画头就行了
[01396.36-01398.32] 然后这个阿加图是什么意思呢
[01398.32-01401.44] 阿加图在佛教传说当中代表的是审谣
[01401.44-01402.52] 这是一种领藥
[01402.52-01404.52] 阿加图的种领藥能够被称为不死
[01404.52-01407.52] 这称了之后可以摆进全销解脱痛苦
[01407.52-01412.28] 所以当时的人就觉得画头的一数特别的高超
[01412.28-01414.96] 就像这个阿加图的领藥一样
[01414.96-01416.32] 常常被摆清怎么样
[01416.32-01417.12] 就死服伤
[01417.12-01420.36] 所以就用阿加图的阴意来称活它
[01420.36-01422.00] 所以才有了我们所说的什么
[01422.00-01423.56] 画头的这个名称
[01423.56-01426.64] 所以大家知道它本身叫做什麼叫畫夫
[01426.64-01428.24] 但注意不說畫夫病
[01428.24-01429.04] 畫夫
[01429.04-01430.48] 所以在這裡面大家注意一下
[01430.48-01431.64] 這是第一個
[01431.64-01434.16] 大家知道它的名字的由來
[01434.16-01436.76] 那第二個就是在這裡面大家明確
[01436.76-01438.52] 我們所說的這個
[01439.00-01440.92] 畫圖它是什麼時期的人
[01440.92-01442.12] 同時在書上畫一下
[01442.12-01444.00] 它是東漢默黏的人
[01444.00-01445.16] 東漢默黏的人
[01445.16-01447.60] 大家都知道畫圖它是不要給草草之病
[01447.60-01448.80] 草草是否有人
[01448.80-01450.64] 草草就是多漢默黏的
[01450.64-01452.16] 當時要給草草之病的時候
[01452.16-01454.92] 咱們要給你操操開路 操操收性多
[01454.92-01457.20] 以當然就像總有多迷想害者
[01457.20-01458.02] 後來就給誰
[01458.02-01460.00] 就給畫圖下預了 最後出死了他
[01460.00-01461.92] 所以你看他其實有關聯的
[01461.92-01464.12] 這時候知道操操實啥時候的人
[01464.12-01466.00] 這時候就能夠知道畫圖他是
[01466.00-01467.40] 東漢時期的人物了
[01467.40-01468.72] 所以第一個標準一下
[01468.72-01471.28] 畫圖是東漢時期的著迷學家
[01471.28-01473.96] 第二個就是在這裡面大家要注意
[01473.96-01475.00] 標準圈二
[01475.00-01477.88] 畫圖與董鳳張重警並稱為
[01477.88-01480.08] 艱安山審議
[01480.08-01483.48] 被并充雷奸三審衣把这个话出来
[01483.48-01487.28] 也就是问间三審衣是谁要知道是他们几个
[01487.28-01491.48] 但是罢策在这里面有几个点和他们有关
[01491.48-01494.88] 我经常会以大说说他除了考察人物和实际的对用之外
[01494.88-01497.28] 是会会考察人物和点顾的对应
[01497.28-01499.08] 在这里面就会有一些点顾
[01499.08-01500.88] 你给他眼神出来是这样的
[01500.88-01503.68] 我们都知道中医或者是医学
[01503.68-01505.68] 他经常会有一些别充
[01505.68-01509.68] 就是中医或者是医学的别车
[01513.68-01517.68] 中医或医学的别车的话大家总能听到这么几个
[01517.68-01521.68] 人第一个大家应该知道叫做什么叫做奇黄之树
[01521.68-01523.68] 今天换一块块儿所画呗
[01523.68-01528.68] 第一个就是我们听过中医别车的叫做什么叫做奇黄
[01528.68-01532.68] 奇黄是什么奇黄来自于黄地和奇博
[01532.68-01536.52] 一旦我们会讲到这两个人
[01536.52-01538.72] 来自他们之间的问答
[01538.72-01541.32] 所以我们经常会答说到说
[01541.32-01542.84] 中亿也被称就为什么
[01542.84-01543.80] 习惶之数
[01543.80-01544.56] 原就在这
[01544.56-01545.60] 你要知道这是第一个
[01545.60-01546.76] 第二个都说了
[01546.76-01547.80] 说咱这个人
[01547.80-01549.48] 庙手回出什么高手
[01549.48-01550.84] 姓林高手
[01550.84-01552.00] 所以在这里面
[01552.00-01555.52] 我们也把这种中亿会一学称就被叫做姓林
[01555.52-01556.04] 对吧
[01556.04-01557.48] 那姓林和这五官
[01557.48-01558.80] 姓林就是后门
[01558.80-01559.44] 提到的
[01559.44-01562.52] 三審一当中的董峰有关
[01562.76-01563.80] 董峰这个人呢
[01563.80-01565.84] 他其实啥都不去啥都不去啥都不偏
[01566.08-01567.24] 一数有很高潮
[01567.24-01569.16] 所以经常即是救民
[01569.44-01572.48] 所以当时很多人就总找这个董峰去看病
[01572.76-01574.80] 董峰给人看病从来不收人家的钱的
[01575.04-01575.84] 他就收啥呢
[01575.84-01576.84] 他跟人家说他是这样嘛
[01577.04-01577.88] 我如果把你只好了
[01577.88-01579.92] 小病啊你就给我中午科兴数
[01580.16-01581.64] 大兵兰就中时科
[01582.16-01584.52] 时间长了找到看病的人多就得也多
[01584.72-01587.08] 所以中的那些兴数都长成了兴灵
[01587.08-01589.20] 所以在这里面就有了我们所说的什么
[01589.20-01591.64] 就了我们所说的这个性离一说
[01591.64-01593.72] 大家知道他和董峰有关
[01593.72-01595.48] 那除了有性离之外
[01595.48-01597.12] 大家也没有看过一个电视剧
[01597.12-01599.44] 也是说一学的
[01599.72-01601.28] 但是他是一个我向具
[01601.28-01602.52] 谁演的呢
[01602.52-01603.84] 就是那个
[01604.84-01606.36] 那个小姑娘那个月员
[01606.36-01607.12] 叫什么名字来
[01607.12-01610.36] 就是呈牵牵那个女生演的那个角色
[01610.36-01611.56] 就是不是有一个电剧
[01611.56-01614.16] 叫传闻中的呈牵牵里面的那个女主
[01614.16-01615.00] 他演的
[01615.00-01617.00] 那个电视剧叫做轻脑转
[01617.00-01618.40] 我没有看过这个电视剧
[01618.40-01619.90] 但是我知道他的名字
[01619.90-01620.56] 因为他那个名字
[01620.56-01622.86] 一下就出动了我的考虑神经
[01622.86-01623.98] 又在一学当中
[01623.98-01625.20] 还有另外一个点过
[01625.20-01626.00] 就叫做什么呢
[01626.00-01627.80] 就叫做青脑
[01629.30-01631.10] 所以那个电视就叫青脑转
[01631.10-01632.60] 好像那个意思男主
[01632.60-01633.60] 好像也是一个什么
[01633.60-01634.36] 一要试家
[01634.36-01635.20] 或者是什么
[01635.20-01637.60] 还什么超人世界之类的
[01637.60-01638.40] 就类随之种吧
[01638.40-01640.40] 反正就是和要才有一定的关系
[01640.40-01642.40] 所以那个电视就叫青脑转
[01642.40-01643.80] 青脑就和神武官的
[01643.80-01644.60] 大家注意一下
[01644.60-01646.50] 青脑就和话图有关
[01646.50-01647.30] 当时
[01647.30-01650.46] 就是话头不是被逃逃抓起来下了大楼吧
[01650.46-01651.34] 然后当时呢
[01651.34-01654.90] 这个就是当时的话头就等等死了
[01654.90-01657.10] 你就就已经处在这样的一个边缘了
[01657.10-01661.10] 然后但是大家都知道话头其实是一个非常好的一个人
[01661.10-01663.54] 所以当时那个预祖啊
[01663.54-01664.62] 对话头特别的好
[01664.62-01666.14] 就是对他照顾有家
[01666.14-01669.06] 然后当时这个话头离戏行之前就跟这个预祖说
[01669.06-01671.30] 他说你看我马上就要去行场了
[01671.30-01673.74] 我没有什么能够交给你的了
[01673.74-01675.30] 我也没有什么能够报答你的了
[01675.30-01677.70] 他说我就只剩下了一些书记
[01677.70-01679.22] 就是他生前的一些驻作
[01679.22-01681.30] 他说你如果看了有用的盘子拿走吧
[01681.30-01682.66] 当时他是把这些书
[01682.66-01685.74] 就是他的一些驻作全都装在了一个包里面
[01685.74-01687.06] 一个轻色的包里面
[01687.06-01688.78] 所以就把这个交给了预组
[01688.78-01692.14] 预组在化图形背形行之后
[01692.14-01694.30] 这个预组就此关回家了
[01694.30-01696.02] 就此去了他公园了这个植物
[01696.02-01697.90] 然后就回去专业一数
[01697.90-01699.66] 然后就开始去给人看应
[01699.66-01701.50] 所以在这个时候又另外一个
[01701.50-01703.46] 典构出现就叫做轻脑
[01703.46-01705.10] 你要知道轻脑和手关
[01705.10-01706.42] 只和话头一关
[01706.42-01707.62] 所以这是第二个
[01707.62-01709.34] 就是从间三神一当中
[01709.34-01711.22] 也顺出来的另外一个电
[01711.22-01711.86] 大家知道
[01711.86-01713.86] 张忠结一会儿我们会重点去讲的
[01713.86-01714.34] 好吧
[01714.34-01716.10] 所以这是第二个大家知道
[01716.10-01718.30] 这是他的一个
[01718.30-01718.98] 比较称
[01718.98-01719.74] 他的一个比较称
[01719.74-01720.58] 这是第二个
[01720.58-01722.62] 第三个就是大家知道
[01722.62-01723.78] 在这里面
[01723.78-01724.94] 針对于话头
[01724.94-01725.58] 他被称为叫
[01725.58-01726.66] 外科笔组
[01726.66-01728.06] 或者是外科胸手
[01728.06-01729.94] 因为他那个手就已经开始有什么了
[01729.94-01731.78] 就已经开始会手输了
[01731.78-01733.38] 所以才要给操作开鲁
[01733.38-01734.18] 所以在这里面
[01734.18-01734.86] 大家要注意
[01734.86-01737.14] 但是一点点所诉的时候能不能是生了
[01737.14-01738.70] 准备能漏透了
[01738.70-01739.98] 所以他发明了什么
[01739.98-01740.66] 麻菲散
[01740.66-01742.62] 也就是最早的麻钥
[01742.62-01743.62] 最早的麻钥
[01743.62-01745.10] 所以看他说比西方早
[01745.10-01746.62] 1000、600多年
[01746.62-01747.46] 所以在这里面
[01747.46-01748.54] 第三个点大家知道
[01748.54-01750.10] 化妥被预为什么
[01750.10-01752.42] 就是他们的这些比后
[01752.42-01753.46] 也经常会考
[01753.46-01754.06] 刚才我们讲了
[01754.06-01754.78] 变确
[01754.78-01755.86] 卖学之中
[01755.86-01756.94] 或者叫一组
[01756.94-01757.38] 对吧
[01757.38-01758.86] 化妥在这里面被预为什么
[01758.86-01760.06] 大家要知道
[01760.06-01761.06] 所以在这里方
[01761.06-01761.94] 大家要知道
[01761.94-01763.18] 就为科笔组
[01763.18-01764.46] 那这是第三个点
[01764.46-01766.86] 那第四个点的就是在这儿大家明确就是
[01766.86-01768.94] 话图他还创了什么呢
[01768.94-01771.30] 创了五千戏模仿什么
[01771.30-01772.46] 胡录修原谅
[01772.46-01775.46] 在这个五千戏当中大家需要掌握的点
[01775.46-01776.94] 可能就比较多了
[01776.94-01780.34] 第一个大家要知道五千戏是模仿的拿五千
[01780.34-01782.50] 就要胡录修原谅
[01782.50-01784.50] 当时话图为什么要创五千戏呢
[01784.50-01785.62] 要不得不说
[01785.62-01787.10] 这是中印
[01787.10-01788.38] 他真的是博大精神
[01788.38-01791.38] 他研究的是人体机能的运行
[01791.38-01793.78] 而人體激能他又配天
[01793.78-01795.68] 所以當時我們說了學中醫
[01795.68-01797.46] 這真的是一門文化
[01797.46-01799.38] 當時這個話圖他說了
[01799.38-01803.34] 話圖鑽當中就描述了他為什麼說要去搞武器系
[01803.34-01805.38] 咱們來看一下我在這裡打作的補充
[01805.38-01806.54] 補充大家不用管
[01806.54-01808.54] 他說三國之話圖鑽中說
[01808.54-01814.26] 說動搖則武器器、德銷、血脈流通並不得生
[01814.26-01816.30] 因為他經常說人吃東西
[01816.30-01818.14] 人吃東西就不動
[01818.14-01820.70] 如果人吃完東西一不動的話
[01820.70-01822.10] 你身體當中這個氣
[01822.10-01823.18] 他就沒有辦法運行
[01823.18-01824.26] 沒有辦法運行的話
[01824.26-01825.94] 你在選賣就不流通
[01825.94-01826.90] 選賣不流通
[01826.90-01827.66] 有血不唱
[01827.66-01828.58] 人就會生病
[01828.58-01830.66] 所以他就經常說人應該怎麼樣
[01830.66-01831.94] 人應該動一動
[01831.94-01833.90] 所以他就把原本
[01833.90-01836.34] 先人的武器器給改辦了
[01836.34-01837.70] 去說到武器器
[01837.70-01839.70] 其實不算是化妥的獨創
[01839.70-01842.18] 只我化妥他模仿的這個五個動物
[01842.18-01844.38] 是他自己告來的叫虎露熊原料
[01844.38-01846.62] 古人講就天仁和醫師用自然
[01846.62-01848.58] 所以說模仿動物養生
[01848.58-01850.46] 其實是一個很長時間的一個事
[01850.46-01853.54] 最早的时候,在装子的时候装子就说了
[01853.54-01856.60] 在他的住座装子的装子装子装子装子装子就说了
[01856.60-01860.44] 就土顾那些形金,你扭身,没受而已
[01860.44-01862.48] 那个时候装子就提到就干嘛呢
[01862.48-01863.76] 就做形金
[01864.80-01868.38] 扭身,说啥呢说你要像形一样,对吧,撤一撤
[01868.64-01870.42] 像你扭一样,都活得活动
[01870.42-01872.86] 这样的话呢,你的受命就可以怎么样
[01872.86-01874.02] 就可以很长了
[01874.02-01876.58] 所以那个时候就是在装子时期已经就有了
[01876.58-01878.88] 这样模仿动来养生的这个习惯
[01878.88-01880.68] 到了東漢莫年的時候
[01880.68-01881.84] 到了畫圖這時候
[01881.84-01884.36] 他是總結了前任的這樣的一個基礎
[01884.36-01887.00] 然後改編了一個武器器
[01887.00-01889.30] 畫圖的地子學武器器
[01889.30-01891.88] 其中有一個地子就叫做無普
[01891.88-01894.00] 他學武器器到他90歲的時候
[01894.00-01895.08] 達到什麼程度的
[01895.08-01896.48] 而從目明
[01896.48-01899.04] 就是一直非常的精神
[01899.04-01900.32] 大家都說他那個說
[01900.32-01901.48] 頭髮雖然都白了
[01901.48-01902.64] 但是簡直正量
[01902.64-01903.48] 雅也不掉
[01903.48-01905.24] 說是學武器器器之後
[01905.24-01906.56] 學出來的結果
[01906.56-01907.64] 所以這是在這
[01907.64-01909.92] 我们要知道这个话头的这个武羡细
[01909.92-01911.20] 我们说了中印
[01911.20-01912.76] 真的是讲就天然和一样
[01912.76-01914.28] 我们经常说人法地地
[01914.28-01916.28] 法天天法到到法自然嘛
[01916.28-01916.64] 对吧
[01916.64-01918.76] 也就是人的身体的运行
[01918.76-01920.84] 无论是在这里面的武羡细里面
[01920.84-01922.00] 还是一会儿后面
[01922.00-01923.32] 大家讲到黄地内经
[01923.32-01925.84] 其实都是在说人要適应什么
[01925.84-01927.36] 人要適应自然
[01927.36-01928.96] 然后適应自然的发展
[01928.96-01931.16] 你看像我们所说的天然和一
[01931.16-01932.56] 你比如说像在
[01933.56-01934.32] 我们所说的
[01934.32-01938.32] 一京等着经常会提到
[01938.32-01939.32] 不能说一京等着
[01939.32-01940.32] 就是我们经常会听到
[01940.32-01942.32] 说天上有28星修
[01942.32-01944.32] 我们经常也有给大家说
[01944.32-01946.32] 人的命运要掌握在自己的手里
[01946.32-01948.32] 为什么会这么说呢
[01948.32-01949.32] 因为天上28星修
[01949.32-01951.32] 对应人手的28个
[01951.32-01952.32] 我们所说的这个手指节
[01952.32-01954.32] 你看这不是你的手吗
[01955.32-01956.32] 对吧
[01956.32-01957.32] 这是你的手
[01957.32-01958.32] 那就没有关字了
[01958.32-01959.32] 你的手
[01959.32-01961.32] 它都是一节一节的
[01961.32-01962.32] 不知道大家有没有注意的
[01962.32-01963.88] 你的手都是一节节的
[01963.88-01966.12] 而这些一节的这些节
[01966.12-01967.40] 你给他属于说
[01967.40-01969.92] 正好是一个手是14个节
[01969.92-01971.48] 两个手正好是28个节
[01971.48-01973.60] 所以我们说了说中华的文化
[01973.60-01975.20] 研究的是天人和一样
[01975.20-01977.92] 或者中华的文化研究是我们所说的
[01977.92-01979.40] 自然运行的规律
[01979.40-01981.28] 其实这些东西我们不需要去模仿
[01981.28-01982.24] 或者是学习西方
[01982.24-01983.72] 中国自古由来19
[01983.72-01986.84] 而武器细其实就是这样的一个体现
[01986.84-01989.64] 那么来具体看一下这个武器细的具体内容
[01989.64-01990.48] 这说话图
[01990.48-01995.48] 創編了武情系 魔法是虎路雄原鳥
[01995.48-01998.12] 而為什麽是這武情呢 它為什麽是虎路雄原鳥
[01998.12-02000.84] 而不是魔法其他呢 也是有講究的
[02000.84-02006.24] 因為這武情是根據中醫的藏向學說去確定的
[02006.24-02009.12] 虎路雄原鳥分別對應的人體的武藏
[02009.12-02013.12] 所以我們竟然會聽到一句話 叫做武情配武藏和武行
[02013.12-02016.70] 雷尤是我们所说的这个武弦系和你的武藏相对应
[02016.70-02021.04] 而这个武藏和你的这个武行的预行也是相对应的
[02021.04-02022.84] 那需要同学们去记忆的
[02022.84-02028.74] 就是我们所说的这个武藏武行还武弦他们之间的关系
[02028.74-02032.08] 咱们来看一下首先第一合咱们在这个地方要注意一下
[02032.08-02033.98] 就是我们所说的火录熊原料了
[02033.98-02036.68] 咱们先来看一下第一个火呗
[02036.68-02037.76] 我们来看一下
[02037.76-02040.56] 说这个火它主要主的是什么呢
[02040.56-02042.56] 你看火系主缸
[02042.56-02046.04] 大家知道老虎他经常会那个转子
[02046.04-02046.64] 对吧
[02046.64-02048.08] 我没有给大家配图
[02048.08-02049.92] 不太行像大家想想那个虎长
[02049.92-02052.72] 虎长 虎长 虎长
[02052.72-02053.32] 虎长
[02053.32-02054.64] 你看像这个虎长
[02054.64-02056.48] 他其实就是呼吸的主要的
[02056.48-02057.92] 我们所说的
[02058.56-02061.44] 一个练的这样的主要的变化
[02061.44-02063.72] 就是他通过老虎的这个手形
[02063.72-02065.20] 比如说老虎有称转
[02065.20-02067.20] 在呼吸当中也会有称转
[02067.20-02068.68] 有虎长有握权
[02068.68-02070.60] 通过这样的一些来干嘛呢
[02070.60-02071.68] 来输干理器
[02071.68-02074.64] 他只找虎他主要是主干的
[02074.64-02076.16] 不要主要主要主干
[02076.16-02078.32] 而干在武行当中属什么
[02078.32-02081.20] 刚在干在武行当中是属目的
[02081.20-02083.04] 所以我们说了干在武行属目
[02083.04-02085.76] 其他在转在体科街
[02085.76-02088.48] 与我们所说的打相表力
[02088.48-02090.24] 所以在这里面我们就会发现你看
[02090.24-02092.40] 你手多斗里都多撑一撑
[02092.40-02094.32] 它其实对什么有个
[02094.32-02095.04] 有好处
[02095.04-02096.56] 对干脏有好处
[02096.56-02098.32] 因为目他主要主要是什么
[02098.32-02099.68] 主要是胸发
[02099.68-02101.28] 所以你看你对这个干的
[02101.28-02103.52] 去理理 每一首东西都守望
[02103.52-02105.08] 握着全程长
[02105.08-02106.52] 像那个学普戏
[02106.52-02107.44] 大家能够在网上
[02107.44-02108.96] 去找到那种武器戏
[02108.96-02110.36] 它其实就对你
[02110.36-02111.64] 我们所说的这个干脏
[02111.64-02112.76] 有很大的脚好处
[02112.76-02114.24] 能够输干理器
[02114.24-02115.56] 起到这样的一个作用
[02115.56-02116.72] 这是我们所说的
[02116.72-02117.60] 第一个武器
[02117.60-02119.40] 活 主干
[02119.40-02121.36] 干在武器当中说
[02121.36-02122.00] 木
[02122.00-02122.92] 大家要注意一下
[02122.92-02123.76] 只是在这
[02123.76-02124.96] 所以这是我们所说的
[02124.96-02126.52] 第一个就做活
[02126.52-02127.64] 第二个就要路
[02127.64-02128.92] 路主要什么呢
[02129.44-02130.24] 大家注意一下
[02130.24-02132.24] 路他主要主的是深
[02133.04-02135.44] 所以看看路路系主身
[02135.44-02137.04] 甚在武行当中属什么
[02137.04-02139.24] 甚在武行当中属水
[02139.24-02141.64] 一个人深好不好看他的头发就行了
[02141.64-02143.44] 所以我们就说了说
[02143.44-02144.44] 甚在武行属水
[02144.44-02145.44] 其他华在
[02145.44-02147.44] 反对一个人的头发
[02147.44-02148.44] 如果是亮的
[02148.44-02149.44] 就是比较有光泽的
[02149.44-02150.64] 但是说明他的
[02150.64-02151.44] 深
[02151.44-02152.84] 放的运行功能
[02152.84-02154.04] 相对来说会比较好
[02154.04-02155.64] 为什么在这个地方说
[02155.64-02157.04] 那时候老是路系
[02157.04-02158.84] 他对这个深有什么好充
[02158.84-02160.04] 主要就是路系
[02160.04-02163.08] 他的运行比如说你学武前期的时候
[02163.08-02165.80] 那个陆席他主要是通过你腰部的运动
[02165.80-02169.76] 比如说腰部的一个侧转的一个尿转
[02169.76-02173.12] 或者后悲要勾起来将那些动作
[02173.12-02174.88] 他会输展你的起座
[02174.88-02176.16] 而在这个时候呢
[02176.16-02179.60] 你的腰胜的旁光动动够得到相当的一个段量
[02179.60-02181.76] 那这个时候对于你的这个胜血
[02181.76-02184.36] 重要要建股都很大的这样的一个作用
[02184.36-02186.52] 所以你看陆他主要动的是腰
[02186.52-02188.92] 所以这个时候对胜脏就会有好处
[02188.92-02190.84] 所以说了陆西主圣
[02190.84-02192.68] 圣在武熊说水
[02192.68-02193.96] 其华在法
[02193.96-02195.56] 就是看他的圣章的
[02195.56-02196.16] 玉晓宝
[02196.16-02197.68] 就看他头发的光纸
[02197.92-02200.28] 而干的主的是头发的数量
[02200.28-02202.28] 而圣的主要是和头发的光纸
[02202.28-02203.28] 都有运动关系
[02203.28-02204.48] 这是陆西
[02204.48-02206.08] 那虎陆熊
[02206.08-02207.24] 熊大距下
[02207.24-02208.92] 熊那他主要是干嘛呢
[02208.92-02210.84] 熊西主皮
[02210.84-02212.64] 皮在武熊运动的路数什么
[02212.64-02213.64] 属土
[02213.64-02214.96] 其华在纯
[02214.96-02215.88] 也只看一个人
[02215.88-02216.80] 他的皮味好不好
[02216.80-02217.96] 其实看他的什么
[02217.96-02219.96] 所以就可以了
[02219.96-02222.96] 而皮它往往是和你的位是相遇性的
[02222.96-02225.46] 这个询习它怎么能让你的皮
[02225.46-02226.96] 所以既然皮效果特别好
[02226.96-02230.96] 主要是因为这个询习它运了是腰腹的运转
[02230.96-02231.96] 腰左右晃
[02231.96-02233.96] 大家经常能看到那个询无走路
[02233.96-02236.96] 我们尽快说你看它总得两步到询晃
[02236.96-02239.96] 你看那个询无走路它左右晃
[02239.96-02242.96] 和那个刚才不所说路线路线是腰不扭载
[02242.96-02244.96] 是后悲的纪凉不动
[02244.96-02245.96] 而询习是左右晃
[02245.96-02247.44] 你左右晃动的话
[02247.44-02250.44] 其实就会对你的匹位产生一定的极严按摩
[02250.44-02252.60] 这个时候就可以起到什么
[02252.60-02254.48] 就可以体到调历匹位
[02254.48-02256.20] 充实两制的作用了
[02256.20-02257.96] 这个就是我们所说的这做
[02257.96-02260.32] 雄所以雄就想雄晃
