[00000.00-00004.96] 欢迎来学习经济学当中的第四章内容就是国际经济
[01137.64-01139.12] 当时吃亏的我家很不安
[01139.12-01139.84] 六月当年
[01139.84-01141.84] 美国借由这个亏律的问题
[01141.84-01142.44] 搞爬了谁呢
[01142.44-01143.64] 搞爬了韩国
[01143.64-01144.84] 惊热搞爬了日本
[01144.84-01146.56] 当时在二战之后
[01146.56-01147.52] 待会都知道
[01147.52-01149.08] 日本二战之后
[01149.08-01151.44] 对他进行了相的现政和制裁
[01151.44-01151.84] 对吧
[01151.84-01152.96] 这个国家真的是
[01152.96-01154.40] 最过
[01154.40-01156.00] 这个国家当中的日本政府
[01156.00-01156.80] 日本军国主义
[01156.80-01158.76] 真的是世界人类的
[01158.76-01159.84] 最人
[01159.84-01161.64] 当时在二战结束之后
[01161.64-01163.32] 当时美国就是要管控日文了
[01163.32-01164.84] 不是不让他有军队吗
[01164.84-01167.44] 而且当时日本在二战结束之后
[01167.44-01169.88] 其实他的经济一路圈仗的
[01169.88-01173.44] 最开始在二战之前日本对日员对美元
[01173.44-01175.20] 其实没有跌到很严重
[01175.20-01177.76] 最开始的时候好像是一笔八十还是一笔几十
[01177.76-01179.36] 但是二战结束之后由于日本
[01179.36-01181.84] 受到了坚持在所以他的经济一路圈仗
[01181.84-01183.12] 由于在这个时候
[01183.12-01186.36] 他的日员对美元开始从一笔八十到一笔一百多
[01186.36-01188.44] 到一百一笔两百多到一笔三百多
[01188.44-01190.74] 就是框框日元一路辨職
[01190.74-01192.34] 在这一路辨職的过程当中
[01192.34-01194.84] 其实美国是想福之日文的发展
[01194.84-01198.68] 因为他那个时候要福之日文来对抗苏联的社会主义体系
[01198.68-01200.60] 所以当时的美国就给日文干嘛了
[01200.60-01202.02] 就给日文框框砸钱
[01202.02-01203.34] 当然给日文砸钱的时候
[01203.34-01204.64] 他发现日文是个无敌动
[01204.64-01206.32] 原来就在于你给他头多少钱
[01206.32-01207.52] 他的日元一路辨职
[01207.52-01208.60] 你投这钱
[01208.60-01210.08] 他的国内管名部稳定
[01210.08-01211.32] 国际管制也不稳定
[01211.32-01213.02] 那他其实发展不起来
[01213.02-01214.92] 所以当时日文就像一个无敌动一样
[01214.92-01216.86] 日元一路开始下跌
[01216.86-01218.50] 那当时美国就说你不能再这么低
[01218.50-01220.26] 在这么低 却为福之不起
[01220.26-01220.82] 第二个呢
[01220.82-01224.14] 你再这么低 全国家的经济根本就发染不起来了
[01224.14-01225.38] 那你服上下
[01225.38-01228.82] 后来日本政府就跟美国日本政府说
[01228.82-01230.98] 你要不就把这个汇率固定下来
[01230.98-01231.78] 所以当时呢
[01231.78-01232.74] 有个时间呢
[01233.46-01234.78] 日本实行的是什么
[01234.78-01235.78] 固定汇率质
[01235.78-01237.70] 但这种固定汇率质对他来说
[01237.70-01239.38] 是起到了一定的基金作用者
[01239.38-01241.82] 主要对严重在于他汇率一旦美丁了之后
[01241.82-01244.10] 他的国内国基贸易市场就稳定了
[01244.10-01246.06] 所以日本的经济开始迅速的发展
[01246.06-01248.88] 在美国大利的福制之下呢 美国给他钱嘛
[01248.88-01251.44] 所以在这种情况之下 他的经济就续组发展起来
[01251.44-01253.24] 一月成为世界第二大经济体
[01253.24-01255.02] 当时日本的断冷效果
[01255.02-01256.82] 能够发展成世界第二大经济体
[01256.82-01259.12] 其实相对来说他的发展速度非常惊人的
[01259.12-01262.70] 那他发展成世界第二大经济之后呢 这个国家就飘了
[01262.70-01264.24] 反正我也是世界第二大
[01264.24-01267.56] 我必须向我的罢了看机 对吧 他当然就说要上了美国的看去
[01267.56-01269.62] 不仅要做经济大国 还要做什么
[01269.62-01271.14] 还要做政治强国
[01271.14-01273.44] 當時他一提到正常為這個口號
[01273.44-01276.00] 他就觸到了美國不可觸的逆利
[01276.00-01277.54] 我可以給你錢
[01277.54-01278.30] 我可以讓人你
[01278.30-01279.32] 對吧我可以
[01279.32-01282.66] 符子你但是你不能在政治上跟我相近中
[01282.66-01284.20] 你一個意思就是
[01284.20-01286.24] 美國的意思就是你日本只能聽我的
[01286.24-01287.78] 對吧所以在這種情況之下
[01287.78-01289.84] 當日本提出小作正是大國的時候
[01289.84-01291.62] 美國就知道收入他的時候到了
[01291.62-01294.96] 因為當時日本很多的實體性產業都是由
[01294.96-01296.22] 美國來符子的
[01296.22-01299.30] 既然是由美國來符子的話呢說白了那麼大多數的
[01299.30-01301.44] 中產業裡面其實都是美國的錢
[01301.44-01304.34] 當我們所說的日本提出這樣的一個想法的時候
[01304.34-01305.62] 美元開始干嘛呢
[01305.62-01308.46] 美國整他的生活就是讓美元變職
[01308.46-01310.46] 讓美元點職的話變向來看的話
[01310.46-01312.70] 美元一旦點職就意味著日元怎麼樣
[01312.70-01313.62] 日元升職了
[01313.62-01317.46] 日元一旦升職就給日本造成了一種經濟的假象
[01317.46-01318.14] 來說
[01318.14-01319.98] 因為國家貨幣升職的情況
[01319.98-01321.62] 它本質上的是什麼呢
[01321.62-01322.86] 是一個國家經濟
[01322.86-01323.94] 無限像好的時候
[01323.94-01324.74] 在這種情況之下
[01324.74-01326.66] 它的貨幣才會升職
[01326.66-01328.90] 那在这种情况之下,其实是不是日本经济
[01328.90-01331.26] 真的达到那种高度导致它的获举升值呢?
[01331.26-01335.18] 其实没有,而是美元它变相的脸值,通显出来日源升值了
[01335.18-01338.38] 那但这里面其实是给日本政府造成了一定的
[01338.38-01340.74] 就是我们所说的这种假象和明显在的
[01340.74-01345.10] 当时,日本就开始疯狂的搞成,开始搞金融业,开始疯狂的搞房地产的
[01345.10-01349.18] 反正脱离了一系列的这种实体产业,当时甚至在电视当中提出
[01349.18-01354.42] 比如说 说 未来多二年 二十年 三十年 房地产只生不降
[01354.42-01358.90] 当时就搞他 然后他也不搞实体产业 就开始搞这种虚拟经济
[01358.90-01362.22] 结果当时 美国看到搞得差不多了吧 搞所有实体产业 框框
[01362.22-01367.48] 就看这盖撤撤 当时 美国的日本的经济就缺乏了相当的这种实体支持之后
[01367.48-01369.14] 泡墨一下就被压碎了
[01369.14-01371.70] 你说了房地产业 还说我们所说的金融也好
[01371.70-01373.50] 他必须一批在实体经济上
[01373.50-01377.54] 如果全部都是虚拟的话 那就会产生虚假的反而
[01377.54-01379.94] 當美國搞他搞的差不多之後
[01379.94-01381.82] 那這種情況把東西一撤出來
[01381.82-01383.42] 那沒有實體的支持
[01383.42-01386.18] 日本的經濟迅速就開始怎麼樣
[01386.18-01387.62] 開始壓縮了
[01387.62-01388.98] 泡墓一旦飛機碎
[01388.98-01391.42] 日本政府經濟就完蛋了
[01391.42-01392.78] 所以在這裡面才有了
[01392.78-01393.78] 我們所說的是嗎
[01393.78-01396.54] 如果你放任匯率不管的話
[01396.54-01398.10] 就像我們所說的日本那樣
[01398.10-01399.54] 那我就是無限的生日
[01399.54-01400.78] 或者是就無限的辯職
[01400.78-01402.58] 那這個時候只能是不行的
[01402.58-01403.74] 所以在這裡面我說了
[01403.74-01406.02] 叫實行有管理的輔動匯率
[01406.02-01407.50] 这种是很保险的
[01407.50-01410.22] 一方面它其实没有过多的该与市场
[01410.22-01412.66] 我们决定会率的这样一个情况
[01412.66-01416.46] 第二个有管理就因为政府可以进行宏观调控机时之锁
[01416.46-01419.34] 所以在这里我们强调的交通有管理的
[01419.34-01421.98] 福东会率这首门国家的会率政策
[01421.98-01423.62] 所以在会率制度当中
[01423.62-01427.54] 大家知道会率只有两种一种是固定一种是福东
[01427.54-01428.54] 那我不国家的事
[01428.54-01429.58] 福东会率
[01429.58-01431.78] 这首门所说的会率
[01431.78-01433.42] 我们两者什么是会率之后
[01433.42-01434.44] 那我们就来来看一下
[01434.44-01435.58] 匯率代表的是
[01435.58-01438.16] 国余国之间的货币的对换关系
[01438.16-01438.50] 对吧
[01438.50-01439.34] 在这里面
[01439.34-01441.10] 国余国之间的货币对换关系
[01441.10-01443.50] 它其实可以有两种表现方式
[01443.50-01446.90] 第一种表现方式就叫做直接表价法
[01446.90-01448.34] 这直接标价法
[01448.34-01449.14] 和建年标价法
[01449.14-01450.96] 同时做一个基本概念掌握就行了
[01450.96-01451.76] 来看一下
[01451.76-01453.24] 它说直接标价法
[01453.24-01454.40] 叫做一单类的
[01454.40-01455.82] 把法 美国会币
[01455.82-01457.30] 外国会币
[01457.30-01458.38] 外国会币
[01458.38-01459.34] 换出来
[01459.34-01460.56] 这是用一单类的
[01460.56-01461.46] 外国会币
[01461.46-01463.02] 来计算本国会币
[01463.02-01464.04] 有些人我们常见的
[01464.04-01465.32] 说一美元
[01466.34-01468.90] 他能对换多少人民币对吧
[01468.90-01470.96] 一美元对换7块钱人民币
[01470.96-01472.50] 那这种情况之下就是什么
[01472.50-01473.84] 就是我们所说的
[01474.28-01476.84] 直接标减反就是一笔期的这种形式
[01476.84-01478.38] 对吧这种我们比较常见的
[01478.64-01480.18] 那还有一种叫建节标减
[01480.18-01484.52] 建节标减的就是用咱们国家的钱用人民币来表示美元
[01484.52-01486.58] 原本是一美元等于7人民币
[01486.58-01490.42] 那现在就变成了1人民币等于多少美元等于7分之1美元
[01490.42-01492.46] 那这个就是我们所说的建节标减反
[01492.46-01495.14] 当然他不会采取分数而采取小数来表示
[01495.14-01496.30] 但本值都一样
[01496.30-01498.22] 所以像这种就是我们所说的
[01498.22-01499.10] 间接标价法
[01499.10-01501.62] 我们在日常生活当中常见的时
[01501.62-01502.70] 直接标价法
[01502.70-01504.34] 在这里面对于他的基本概念
[01504.34-01505.70] 有一个掌握就行了
[01505.70-01508.18] 这个点不需要大家做一个重点去掌握
[01508.18-01509.98] 那这是标价方法
[01509.98-01511.10] 那有了标价方法呢
[01511.10-01512.42] 我们的重点其实要放在这
[01512.42-01513.82] 要是说灰灵问题当中
[01513.82-01515.46] 最终要的两星之事点
[01515.46-01516.82] 就是灰灵变动
[01516.82-01518.82] 他可能会产生的影响
[01518.82-01521.46] 灰灵变动无非就两种情况变动
[01521.46-01524.16] 第一种就是本币变职
[01524.16-01525.80] 本币变职就认为了什么
[01525.80-01527.66] 就议为了外币双职
[01529.10-01531.70] 会认为变动无非就是掌和跌的问题
[01531.70-01532.86] 对吧 要么就是双职
[01532.86-01534.06] 要么就是要变职
[01534.06-01535.58] 所以在双职和变职上
[01535.58-01537.06] 无非就有两种情况
[01537.06-01538.86] 第一个就是本币变职
[01538.86-01540.66] 本币双职就议为了刚才所说的
[01540.66-01542.30] 叫做外币双职
[01545.38-01547.46] 本币双职外币双职
[01547.46-01549.86] 这种情况之下叫本币会订下降
[01549.86-01551.18] 外币会订上职
[01551.18-01552.34] 因为他有的时候说
[01552.34-01554.18] 如果本地会率下降了
[01554.18-01555.38] 你就知道说的是什么
[01555.38-01556.26] 是本地点质
[01556.26-01557.42] 然后你在忙后去推
[01557.42-01558.58] 如果他在提案当中说
[01558.58-01559.82] 外地会率上升了
[01562.22-01563.58] 那外地会率上升
[01563.58-01565.14] 那还是本地点质
[01565.14-01565.54] 对吧
[01565.54-01567.02] 所以在这里面大家注意一下
[01567.02-01567.74] 他的表述
[01567.74-01569.90] 可能会出现四种表述方式
[01569.90-01571.94] 然后让通过这四种表述方式
[01571.94-01573.02] 然后让我们去变形
[01573.02-01574.82] 第一种就是本地点质
[01574.82-01576.18] 第二种外地升质
[01576.18-01577.98] 第三种本地会率下降
[01577.98-01579.74] 第一次种外地会率上升
[01579.74-01582.30] 這是無論哪一種你就只記得一點
[01582.30-01586.34] 只要是本幣便值就因為著本國的錢不值錢了
[01586.34-01589.66] 那這種情況之下就是會率變動的第一種情況
[01589.66-01591.46] 就是他在去表說的時候
[01591.46-01592.70] 他不太會
[01592.70-01594.78] 這是直接給你本幣便值
[01594.78-01596.10] 他可能會有其他的表說
[01596.10-01597.50] 你要注意區分就行了
[01597.50-01599.70] 那第一種情況之下就是本幣便值
[01599.70-01601.82] 就是咱們國家的錢不值錢了
[01601.82-01603.70] 那其他國家的錢開始怎麼樣
[01603.70-01604.58] 開始值錢了
[01604.58-01606.18] 這個叫做本幣便值
[01606.18-01608.22] 那本幣便值久一點的例子
[01608.22-01609.22] 本来说
[01609.76-01612.12] 1美元能对换6块钱人民币
[01612.12-01613.82] 对吧 这是正常情况之下
[01613.82-01615.62] 那本币便值就越来什么呢
[01615.62-01618.62] 就是1美元能够对换更多的人人民币
[01618.62-01620.32] 比如说现在是7块钱
[01620.32-01621.80] 这个就是我们所说的什么
[01621.80-01623.32] 本币便值
[01625.42-01626.58] 我们来看一下
[01626.58-01629.42] 本币便值它可能会带来什么样的影响呢
[01629.42-01631.26] 首先第一个我们来看一下
[01631.26-01633.30] 本币便值对于进口的影响
[01633.30-01634.72] 进口它相当于什么
[01634.72-01637.92] 进口的相当于往回买东西对不对
[01637.92-01640.12] 那如果進口相當於我會買東西的話
[01640.12-01641.00] 咱們來看一下
[01641.00-01643.80] 假設現在我要從美國進口上的雪糕
[01643.80-01644.44] 對吧
[01644.44-01645.36] 在東北話來說呢
[01645.36-01646.60] 就是冰糕
[01646.60-01648.72] 我要進口美國的雪糕
[01648.72-01649.88] 假設美國的雪糕
[01649.88-01652.24] 標價在國際市場上是一美元
[01652.24-01653.44] 那同一位來看一下
[01653.44-01654.48] 正常情況之下
[01654.48-01657.28] 我花多少人民幣能夠買到一個雪糕
[01657.28-01658.16] 正常情況之下
[01658.16-01659.52] 我只要花6塊錢
[01659.52-01661.04] 是不是就能買到一個雪糕了
[01661.04-01663.68] 但是如果本幣便值的話
[01663.68-01664.48] 那你看
[01664.48-01665.84] 同樣還是標價
[01665.84-01670.96] 一美元的雪糕,我的话多少钱人民并能买到,我是不是要花7万钱都买到啊
[01670.96-01676.34] 那就意味着,我们往回买东西的时候,由于本地便知到这些我事什么?
[01676.34-01682.74] 到这些我事,我们会看到金口产品,金口的雪糕从6块钱变成了7块钱
[01682.74-01689.64] 从6块到7块,掌价美,掌价了,那就手就意味着,金口商品的价格商涨了
[01689.64-01697.84] 金口的东西贵了,那你还买过买,你只能不买,所以这时候对于金口是不利的,投霉掉注意,所以第一个
[01697.84-01710.82] 本地点值不利于金口,只是第一个,但是我们借着来往下分析,那这是对于金口的影响,他影响金口,他就一、一、一、一、一会影响出口,出口是什么?出口是往外,卖东西,
[01710.82-01713.86] 那晚晚麥东西的话是人家买咱们的东西
[01713.86-01716.50] 对吧 那我往外买东西是人家买咱们的
[01716.50-01717.94] 那我们现在就来看一下
[01717.94-01720.66] 它买咱们的东西对它来说有没有好处呢
[01720.66-01721.54] 有好处
[01721.54-01724.26] 正常情况之下呢 比如说一个东西
[01725.30-01727.54] 它市场上标减假设
[01727.54-01730.82] 它现在我们老买东西说它买我们的东西
[01730.82-01733.82] 比如说现在美国 美国什么呢 买
[01734.66-01735.78] 中国的
[01737.06-01740.18] 什么呢 大家没有吃过大冰味
[01740.82-01755.42] 雪高嘛,现在像什么中国的属票啊,被龙拉条啊,在国医市场上很受欢迎的啊,那现在呢,假设美国要从中国买中国的这个大冰过,中国的大冰过是多少钱的,中国的大冰过是一块钱一个
[01758.22-01764.62] 那同时来看一下,正常情况下美国买中国的冰过,正常情况下买,我应该写正常啊
[01764.62-01768.46] 同時只要把這個買東西和賣東西旅生清楚就行了
[01768.46-01769.58] 來看一下
[01769.58-01771.26] 如果是正常喜歡買的話
[01771.26-01773.90] 就是當是1比6人民幣會率的時候
[01773.90-01775.62] 它買我們的冰果貪花
[01775.62-01777.46] 6分之1美元對吧
[01777.46-01779.66] 但現在呢因為人民幣便值了
[01779.66-01780.46] 本幣便值了
[01780.46-01782.86] 它現在買中國一塊錢的冰果兒
[01782.86-01784.98] 你看把他一味來收花多少錢
[01784.98-01786.38] 收花7分之1美元
[01786.38-01788.62] 那貪花7分之1美元對他來說
[01788.62-01790.30] 它買冰果兒便宜來為了
[01790.30-01791.50] 原來6分之1美元
[01791.50-01792.66] 現在7分之1美元
[01792.66-01795.22] 那指定是买冰过人更便宜了
[01795.22-01796.62] 那更便宜他越别越买
[01796.62-01798.54] 越买越这种情况之下
[01798.54-01801.18] 他越买我们东西东西就能卖出去了
[01801.18-01803.86] 这个时候我们老卖卖东西便宜了
[01803.86-01805.18] 那他是有利于什么
[01805.18-01808.02] 有利于我们所说的这个出口的
[01808.02-01809.62] 所以在这个地方大家注意一下
[01809.62-01812.62] 所谓的进口就是我们买别人的东西
[01812.62-01814.46] 你看我们买别人的东西
[01814.46-01815.70] 指定是变贵了
[01815.70-01817.30] 所以不利于进口
[01817.30-01819.18] 但是别人买我们的东西是什么
[01819.18-01820.06] 便便宜了
[01820.06-01822.10] 那他是有利于出口的
[01822.10-01824.78] 所以在这里,第一步要掌握的就是
[01824.78-01830.22] 当本币变质,它是不利于进口有利于出口的
[01830.22-01834.26] 但同时来看一下,如果有利于出口很可能导致什么结果
[01834.26-01840.30] 出口数量变多,进口数量变少,是不是就很有力导致是出口大于什么?
[01840.30-01842.98] 我给你写的,是出口大于进口吧
[01842.98-01845.98] 那同时分析出口大于进口的话
[01846.46-01850.18] 是容易扩大顺差,还是容易扩大密差
[01850.18-01852.92] 出口大余靜口
[01852.92-01854.92] 容易擴大室彩,容易擴大立場
[01854.92-01857.52] 思考,動一動,你連回的小大哥
[01857.52-01859.62] 出口大余靜口是貿易,順查
[01859.62-01861.60] 所以在這種情況下,大住一下
[01861.60-01864.88] 當出口大余靜口的時候是容易擴大室彩的
[01870.12-01872.00] 這個地方以前的時候考試
[01872.00-01875.02] 只考有利於不利於善,它現在會考到
[01875.02-01876.02] 室彩和立場
[01876.02-01877.52] 所以在這裡面,大家注意一下
[01877.52-01879.00] 當我們所說的這種
[01879.00-01881.24] 出口 便多 进口便少的时候
[01881.24-01882.84] 很容易扩大 顺差
[01882.84-01885.72] 那当然注意一下 只是在这里面
[01885.72-01889.24] 如果顺差一旦扩大 可能导致的结果是什么的
[01889.24-01891.84] 大家注意一下 顺差一旦扩大
[01891.84-01894.16] 大家这种情况这下就可能导致的就是
[01894.16-01897.88] 资本外流 把它 掉在旁边后面给到
[01897.88-01901.20] 顺差一旦扩大 它就可能会造成资本外流
[01903.76-01905.12] 把他们标志再换
[01905.12-01909.28] 热老师啥叫资本卖柳,啥日这种资本卖柳的这种体现呢?
[01909.28-01912.80] 它其实这种资本卖柳,它其实体现在这么几个方面就是
[01912.80-01921.52] 一路国家所谓的资本卖柳,就是它一个国家对另一个国家,它所持有的这种资本,它是增加了还是減少了。
[01921.52-01933.64] 那这种情况下你看,当我们所说的这种货币典质的情况,货币典质情况一旦产生的话,那对于大多数国家来说,它其实会把它在本国的资本怎么样,对换出去,
[01933.64-01935.44] 把在本国的资本对完处结
[01935.44-01936.92] 因为你把原来的资本
[01936.92-01939.04] 你比如说你的房产什么的这些东西
[01939.04-01940.16] 你都留在中国
[01940.16-01942.16] 那是原本在中国的这些资本
[01942.16-01944.24] 但是现在人民币便值了
[01944.24-01946.04] 你把这些东西再放在中国
[01946.04-01947.40] 他还是那么值钱吗
[01947.40-01948.56] 他不是那么值钱了
[01948.56-01949.24] 这种情况之下
[01949.24-01950.20] 你就会想方设法
[01950.20-01951.44] 把这部分东西散的
[01951.44-01953.72] 把这部分东西换为现金
[01953.72-01956.32] 然后把这些东西逃动到其他的国家
[01956.32-01957.72] 比如说原本正常情况之下
[01957.72-01959.68] 你在北京搞了一套房子一千万
[01959.68-01960.12] 对吧
[01960.12-01961.68] 那这是正常的匯率成为一下
[01961.68-01963.36] 当人民币他是便值的时候
[01963.36-01966.36] 你这条1000万的房可能在国际市场上他就不止1000万了
[01966.36-01967.70] 那这种情况之下怎么办
[01967.70-01970.16] 你要把这1000万的房投动成现金
[01970.16-01972.20] 然后把这个钱在投动成其他国家
[01972.20-01973.92] 能力国家赚钱就去那国家
[01973.92-01975.52] 那这种情况之下就会发现
[01975.52-01976.76] 他这种就叫做什么
[01976.76-01978.92] 这种就叫做自本外流
[01978.92-01980.08] 这种叫自本外流
[01980.08-01981.44] 那自本外流当中
[01981.44-01982.84] 他导致的一个结果是什么呢
[01982.84-01983.88] 同时在后面继续写
[01983.88-01985.32] 如果发生了自本外流
[01985.32-01988.04] 就可能会产生外汇出被渐少
[01988.04-01988.88] 现在旁边
[01990.08-01992.32] 那就是外汇出被
[01993.36-01996.44] 前一首
[01996.44-01998.74] 叫外匯出被減少
[01998.74-02000.54] 在这里面大家注意一下
[02000.54-02004.48] 因为你自本外流也好或者是你在这里面的进口苏简也好
[02004.48-02006.62] 你都不需要那么多其他国家的货币了
[02006.62-02009.42] 所以在这种情况这下叫外匯出被減少
[02009.42-02010.78] 这一套同一种注意
[02010.78-02012.44] 以前考的时候考得再见的
[02012.44-02013.58] 以前考的时候只考
[02013.58-02015.88] 是否有利粒出或者是否有利粒进口啊
[02015.88-02017.06] 现在就给到了
[02017.06-02019.46] 说在进出口貌于生产扩大的时候
[02019.46-02020.50] 它容易导致什么
[02020.50-02022.56] 自个外流自个外流可能带来的影响
[02022.56-02024.56] 就是外匯出败減少
[02024.56-02027.34] 因为外匯出败是你存有的
[02027.34-02030.20] 或者是你手里有的其他国家的这种货币
[02030.20-02031.84] 你现在一旦资本外流着之后
[02031.84-02034.16] 你对于这种货币的需求就开始減少了
[02034.16-02034.98] 另外一个你看
[02034.98-02036.54] 你不利于进款都不买东西
[02036.54-02037.60] 你又要什么外匯呢
[02037.60-02038.94] 所以在这里对于外匯的
[02038.94-02040.40] 除非是減少的
[02040.40-02041.24] 大家注意一下
[02041.24-02042.64] 这个叫做我们所说的
[02042.64-02044.76] 整个这一套他们之间的关系
[02044.76-02047.20] 首先我再这里给大家标注清楚
[02048.44-02049.18] 首先第一个
[02049.18-02050.98] 我们要知道人民币辨职
[02050.98-02052.78] 我把在自己裏标主圈一案
[02052.78-02054.82] 人民帝典職他带来的影响
[02054.82-02058.02] 一定要知道对于进出口的影响是在顺差上
[02058.02-02060.38] 第二个他可能会造成资本外流
[02060.38-02063.50] 那在资本外流上对于外会会产生什么样的影响
[02063.50-02066.58] 大家要注意他会使外会处被检少
[02066.58-02067.58] 这是第二个点
[02067.58-02070.10] 当然了在人民帝典职当中
[02070.10-02072.70] 或本帝典职当中他还可能会造成什么影响
[02072.70-02077.70] 第三个注意一下他可能会对国外对中国的投资产生影响
[02077.70-02081.42] 老实投资和资本来留不试会是吗
[02081.42-02084.18] 其实我们在这场事我当中去看的话
[02084.18-02085.90] 他其实感觉差不多
[02085.90-02087.58] 因为给我们的理解就是
[02087.58-02089.38] 资本他其实就是投资的一种
[02089.38-02092.30] 但其实在进行学当中他们其实是不同的概念
[02092.30-02095.74] 因为资本来留他的具体表演形势非常非常的多
[02095.74-02098.82] 而投资呢他只得是国外网中国投钱
[02098.82-02102.22] 所以在这里面不能把资本来留和投资是个话等号的
[02102.22-02104.10] 这个点是必须要明确的
[02104.10-02107.46] 资本来就说你要把在中国的资产换给现金
[02107.46-02108.86] 给他逃动到国外
[02108.86-02111.26] 因为我们所说的人命并一旦典职的话
[02111.26-02112.78] 你持有的中国的资产
[02112.78-02114.28] 他就开始大量了怎么样
[02114.28-02114.96] 说水了
[02114.96-02116.22] 你这时候不值钱了
[02116.22-02116.82] 这个资产
[02116.82-02117.92] 你都土地防务
[02117.92-02119.10] 当然等到这东西
[02119.10-02120.78] 你就要把它逃动到国外
[02120.78-02122.94] 车就把资产逃成现金
[02122.94-02124.62] 让这些资产留到国外去
[02124.62-02126.06] 那这个叫资本外留
[02126.06-02126.98] 所以在这里面
[02126.98-02128.22] 他是往外走
[02128.22-02129.54] 但投资是什么
[02129.54-02131.14] 投资是往国内走
[02131.14-02132.30] 投资是往国内走
[02132.30-02133.70] 这是别人给我们投钱
[02133.70-02134.14] 对吧
[02134.14-02135.10] 那别人给我们投钱
[02135.10-02136.82] 他现在愿别给中国投钱了
[02136.82-02139.22] 又可能就说老师他只是不愿意中国投钱
[02139.22-02140.22] 我说为什么呀
[02140.22-02142.62] 他说你看人民币都已经典质了
[02142.62-02143.94] 他在中国投钱的话
[02143.94-02145.34] 他是不是不合适
[02145.34-02146.42] 理论上是这样的
[02146.42-02148.82] 但是一个国家会立会持续不断的下降吗
[02148.82-02149.62] 其实不是的
[02149.62-02151.82] 在这里面投资的话大助一下
[02151.82-02153.90] 投资他其实是有利的
[02153.90-02154.94] 为什么投资有利
[02154.94-02156.02] 因为这种情况之下
[02156.02-02157.54] 人民币典质了
[02157.54-02159.02] 人民币一旦典质的话
[02159.02-02160.62] 他其实从某种程度来说
[02160.62-02163.22] 你在中国买东西成本会下降
[02163.22-02166.02] 所以在中国办起也从远期来看的话
[02166.02-02167.88] 成本是怎么样 相低了
[02167.88-02170.12] 所以如果说从时间来看的话
[02170.12-02172.50] 自本外流 它其实更像是短期的
[02173.50-02175.46] 这样的一个经济选择
[02175.46-02178.82] 而投资呢 它其实更像是长期的一种选择
[02179.82-02181.14] 所以大家注意一下
[02181.14-02184.26] 在考试的时候 这三个点一定要注意 一定要明确
[02184.26-02186.74] 那它其实还在考试当中会考到第四个点
[02186.74-02187.70] 第四个点就什么呢
[02187.70-02189.58] 就是如果人民币一旦便值的话
[02189.58-02191.54] 是否有利于出国旅游啊
[02191.54-02192.46] 当然不利了
[02192.46-02194.94] 你的钱都不值钱了出 花钱只能变多
[02194.94-02196.98] 所以不利于出国旅游
[02196.98-02199.28] 不利于出国旅游学等等
[02199.28-02200.64] 这个是我们所说的
[02200.64-02203.30] 他们之间经常会考察到的这几个点
[02203.30-02204.54] 所以本比较值
[02204.54-02205.82] 首先第一个界定的点
[02205.82-02207.74] 就是在进出口的影响上
[02207.74-02209.00] 第二个就是界定
[02209.00-02211.58] 它在短期内的资本流动的流向
[02211.58-02213.38] 你短期之内
[02213.38-02214.84] 你的资本在国内不之前
[02214.84-02217.98] 你就要想法设法把它资本搬运到国际上去
[02217.98-02219.00] 那这种情况之下
[02219.00-02220.38] 就要资本外流
[02220.38-02222.02] 单从长期投资来看的话
[02222.02-02223.02] 它是不是有利呢
[02223.02-02223.74] 是有利的
[02223.74-02224.50] 所以在这里
[02224.50-02227.06] 你把资本外流和投资给我画开来看
[02227.06-02227.70] 好吧
[02227.70-02229.46] 因为在考试的时候同学们就是说
[02229.46-02230.64] 老师我一会的资本外流
[02230.64-02232.26] 资本那种搞不懂了
[02232.26-02234.34] 那这种情况是想就把它分开开就可以了
[02234.34-02236.54] 那这个就是本毕业变职
[02236.54-02237.86] 那除了本毕业职之外
[02237.86-02239.54] 还有一种情况就是本毕业生职
[02239.54-02240.94] 一种人民币生职了
[02240.94-02243.86] 人民币生职是人民币更加值钱了
[02243.86-02245.74] 那人民币值钱你对外买东西
[02245.74-02247.38] 就会变得便宜
[02247.38-02248.54] 所以有利益进口
[02248.54-02249.70] 但是你的钱更值钱
[02249.70-02251.18] 你往外买东西出会变贵
[02251.18-02253.90] 所以在这里面是不利约出口的
[02253.90-02255.50] 在这里面来看一下
[02255.50-02257.74] 如果说进口大于出口
[02257.74-02259.02] 可能是造成贸易什么产
[02259.02-02260.30] 贸易逆产
[02261.50-02262.10] 所以在这里
[02262.10-02262.66] 大家注意下
[02262.66-02264.14] 是可能会扩大你差的
[02264.14-02265.18] 这实在这
[02265.18-02267.10] 人民币伤指的话从
[02267.10-02269.50] 我们所说的这种资本流动来看的话
[02269.50-02271.82] 资产是流向国内还是流出
[02271.82-02273.34] 资产指的是流向国内
[02273.34-02274.90] 你这个国家经济发展良好了
[02274.90-02276.54] 我不把资产逃动到你的国家
[02276.54-02277.82] 我还逃动弄弄弄点去
[02277.82-02278.98] 所以从这里来看的话
[02278.98-02281.90] 我们会发现他的资本是内流的
[02281.90-02284.42] 而资本内有他造成的结果一定是什么
[02284.42-02287.08] 一定是外汇处备增加
[02287.08-02289.08] 对于外汇的需求量是增加的
[02292.64-02294.14] 大家注意一下这是在这
