[00000.00-00005.40] 我們在前面給大家講了實現中華民族偉大福興的內部條件
[01224.20-01227.00] 發展 以任他和中指是相貼近的
[01227.00-01229.20] 所以這個基本目標了解一下就OK了
[01229.20-01233.04] 第四个就提到了所说的叫做基本准则
[01233.04-01236.36] 基本准则同个坏下叫做和平共处
[01236.36-01237.32] 五项原则
[01237.32-01238.68] 两个唯度
[01238.68-01241.00] 第一个和平共处相原则的提出
[01241.00-01241.92] 准来统治
[01241.92-01242.80] 大家都知道
[01242.80-01244.12] 第二个大家要去知道
[01244.12-01246.80] 和平共处相原则是拿五项
[01246.80-01247.32] 在这里
[01247.32-01248.40] 大家标注一下
[01248.40-01251.24] 第一个叫互相尊重主权和灵土
[01251.24-01252.00] 完整
[01252.00-01253.24] 互不侵犯
[01253.24-01254.60] 互不干涉内政
[01254.60-01255.16] 还有什么
[01255.16-01257.48] 平等互列和平共处
[01257.48-01259.24] 这是武相基本原则
[01259.24-01260.36] 所以这是基本原则
[01260.36-01262.08] 所以大家知道和平共处无相理则
[01262.08-01263.24] 只要尊重
[01263.24-01264.92] 我们所说的其他国家的主权
[01264.92-01266.84] 尊重主权和领土完整
[01266.84-01267.80] 就意味着什么
[01267.80-01269.64] 任何的内政问题
[01269.64-01270.96] 都是我们自己的事
[01270.96-01272.52] 你就不要在那边下币币了
[01272.52-01272.84] 对吧
[01272.84-01274.04] 你比如说像中国的
[01274.04-01275.28] 我们的高问题
[01275.28-01276.48] 我们的谈恶问题
[01276.48-01278.52] 而我们各种各样的国内发表问题
[01278.52-01280.52] 甚至美国的手太长了
[01280.52-01282.20] 还说中国的人权问题
[01282.20-01283.24] 你随便在那个地方
[01283.24-01284.00] 给我结个视频
[01284.00-01285.08] 让人开始碰击中国
[01285.08-01286.28] 那都是我们的什么
[01286.28-01287.44] 内政问题
[01287.44-01291.02] 那对吧有关于我们所说的台湾的这个问题
[01291.02-01294.36] 美国总想执手花脚总想去做一点
[01294.36-01296.66] 让我们说的撤台大约8个这样的事
[01296.66-01298.96] 但是这是我们的内政问题
[01298.96-01300.24] 不允许别人智慧
[01300.24-01301.26] 所以在这里面看
[01301.26-01302.80] 互相遵重主习和领土安种
[01302.80-01304.60] 互布干涉内政
[01304.60-01306.00] 所以这是我们所说的
[01306.00-01307.40] 有关于和平发展
[01307.40-01309.96] 他要遵循的基本元子
[01309.96-01311.00] 在这里大家知道
[01311.00-01312.28] 这是和平共处
[01312.28-01313.30] 武相元子
[01313.30-01315.08] 虽然是我们所说的
[01315.08-01316.62] 外交政策当中四个点
[01316.62-01320.74] 但需要大家去实际的的是三个就是宗旨基本立场和基本原则
[01320.74-01322.82] 为什么在这里基本目标没有让大家记呢
[01322.82-01325.74] 因为基本目标在考试的时候是混淆宗旨来靠的
[01325.74-01329.94] 就知道宗旨是为户世界和平促进共同发展
[01329.94-01331.22] 就是和片与发展
[01331.22-01333.18] 基本目标只比它多了一句话
[01333.18-01336.06] 就是记彩中在国内也聪在国际上
[01336.06-01338.14] 国内为户国家主权却发展力
[01338.14-01339.98] 国际为户世界和片与发展
[01339.98-01341.66] 而宗旨只有什么
[01341.66-01344.78] 宗旨迎合大事就他们两个容易混淆的
[01344.78-01345.74] 其他的地方呢
[01345.74-01346.98] 你就记一下就行了
[01346.98-01350.22] 但是他们两个一回想就只记一个少的就OK了
[01350.22-01351.46] 明白我这个意思吧
[01351.46-01354.50] 所以在这里大家知道这是我们所提到的
[01354.50-01356.46] 第一个节词和面发展道路
[01356.46-01358.26] 我们从两个违度来解读
[01358.26-01359.50] 第一个为什么要坚持
[01359.50-01360.82] 是有大二十大报告当中
[01360.82-01362.62] 民术明确的产势
[01362.62-01364.18] 第二个如何坚持
[01364.18-01368.06] 在这里面就是独立自主的和平外交政策
[01368.06-01369.30] 里面这几乡内容
[01369.82-01371.10] 这是我们所说的
[01371.10-01373.06] 有关于中国在外交当中
[01373.06-01376.78] 一关的立场,一关立场叫走和平发展道路
[01376.78-01378.42] 中国大国外交道中
[01378.42-01381.02] 除了我们墙掉走和平发展道路之外
[01381.02-01383.10] 当然应该还记得我们提到的
[01383.10-01384.78] 有关于国际发展道中
[01384.78-01386.02] 国家领导人提到的
[01386.02-01387.50] 密运共同体的理念
[01387.50-01387.78] 对吧
[01387.78-01390.14] 所以我们在整个对外交往过程当中
[01390.14-01391.74] 我们一直都在呼吁和强调
[01391.74-01392.90] 我们要购建什么
[01392.90-01395.14] 我们要购建人类秘运共同体
[01395.14-01396.58] 而人类秘运共同体
[01396.58-01397.58] 它的一个购建
[01397.58-01400.50] 其实也有一个具体的一个落实
[01400.50-01402.02] 或者有一个具体的体现
[01402.02-01405.10] 具体的体现就叫做一代一路
[01405.10-01406.78] 所以我们来看一下第二个问题
[01406.78-01409.94] 就是有关于促进一代一路的国际合作
[01409.94-01412.26] 就说到一代一路大家首先第一个
[01412.26-01414.66] 就应该要知道一代一路分别者的市省
[01414.66-01418.30] 我们先来看一下在书上如何说的一代一路它的内涵
[01418.30-01421.22] 昨11-39月和10月
[01421.22-01423.18] 我们陷任的国家领导人
[01423.18-01426.50] 所以在出访中亚和东南亚国家期间
[01426.50-01429.26] 鞋后提出来了一代一路的中大场云
[01429.26-01431.46] 同时在这里叫知道一代一路市省
[01432.02-01441.74] 同樣化出來,雖然第一個一代指的是思仇之路,經濟待這個點必須要掌握,以路指的是21世紀海上思仇之路。
[01441.74-01458.22] 所以在這裡面,大家要知道第一個點,就是要明確一代一路是什麼?首先一代思仇之路,就是野仙,有著當年的長一位出發點,對吧,一仙位出發點,像西,經過我們所說的新疆,然後在到我們所說的中亞,然後在到歐洲,對吧這條。
[01458.22-01460.02] 而21世紀海上次入之路
[01460.02-01462.58] 我們之前在古代史的州給大家去講過
[01462.58-01465.42] 海上次入之路的旗臉在不同的朝代不一樣
[01465.42-01467.30] 有說輔州的所全州的
[01467.30-01469.10] 但大家都知道是從海上
[01469.10-01471.90] 然後向我們所說的其他地區困算
[01471.90-01473.98] 所以在這裡就有了我們所說的這個
[01473.98-01476.14] 思仇之路這樣的一個倉藝
[01476.14-01478.14] 那有關於路上思仇之路
[01478.14-01481.46] 那大家應該知道路上次入之路是誰來開批的
[01482.62-01484.86] 我們在古代史的時候給大家講過
[01484.86-01487.70] 路上次入之路的開批者是我們所說的
[01487.70-01488.70] 張天
[01491.10-01493.90] 所以說了張天兩次出日西域了
[01493.90-01496.90] 但張天出日西域最開始的時候是為了聯合什麼
[01496.90-01499.70] 是為了聯合我們所說的
[01500.10-01502.30] 其他國家來攻打修努
[01502.30-01504.30] 對吧當時聯合的是大肉汁
[01504.30-01506.30] 我們當時講的說也可以讀大月汁
[01506.30-01508.30] 他寫出來的作弱大月市
[01508.50-01510.50] 所以當時聯合大肉大月汁
[01510.50-01512.30] 來怎麼樣的攻打修努
[01512.30-01515.10] 這是他我們所說的第一次
[01515.10-01521.10] 出事系域,他的目标或者他的目的,出次的目的。
[01521.10-01530.10] 大家不要觉得这是废话,我这里大家说过,他在结合文学考察和实正的认为设备相结合的时候,他就会考一个综合性的题目。
[01530.10-01531.58] 所以他说法正确错误是
[01531.58-01533.82] 而这句话当时出过一个选项
[01533.82-01534.82] 大家大家都知道
[01534.82-01536.74] 整个经过我之前也答说了
[01536.74-01538.02] 张家尔多岁
[01538.02-01540.18] 密器风发的这样的一个年纪走了
[01540.18-01541.50] 回来的时候都已经40多了
[01541.50-01544.10] 即将扎转才回到当时的这个
[01544.10-01545.66] 我们所说的这个国家
[01545.66-01546.74] 然后等了回来的时候
[01546.74-01547.94] 他耗了第五例认出来的
[01547.94-01548.42] 他了对吧
[01548.42-01549.82] 因为那边参喉陆素的
[01549.82-01550.62] 黄杀变眼
[01550.62-01551.30] 那风那么大
[01551.30-01553.14] 皮膚吹得有黑回来的时候
[01553.14-01554.58] 新型都认不出来了
[01554.58-01556.14] 张天当时看到耗了第五例
[01556.14-01556.50] 我给答说
[01556.50-01557.46] 快插一跪
[01557.46-01558.50] 当时内一跪
[01558.50-01559.22] 那一帆
[01559.22-01562.86] 那当然恨武地也就是看到这个人非常地吃成给他服气来了
[01562.86-01564.14] 我当时爱情你谁呀
[01564.14-01564.66] 对吧
[01564.66-01565.70] 我是张千啊
[01565.70-01567.02] 对不对都任不出来了
[01567.02-01568.66] 然后他说你自己还活着呢
[01568.66-01569.30] 对吧
[01569.30-01570.10] 开玩笑啊
[01570.10-01571.38] 就是你怎么变成这样了
[01571.38-01575.02] 然后他就给他去描述他在胸腐的这样的一个经历
[01575.02-01577.58] 然后当时恨武地看他承制的也是说的是什么
[01577.58-01578.82] 说爱情不用打了
[01578.82-01579.30] 对不对
[01579.30-01580.18] 我们打贬了
[01580.18-01582.58] 因为秦获俊运把胸腐感到莫被一倍
[01582.58-01583.58] 再也没有回来
[01583.58-01584.62] 所以那有时候打贬了
[01584.62-01585.82] 那张千何遇合从呢
[01585.82-01587.26] 张千说我都给你摸掉
[01587.26-01588.26] 南国的弄产时间了
[01588.26-01590.76] 他的风土人情封锁地理
[01590.76-01591.76] 我都知道了
[01591.76-01593.26] 当时号对说了
[01593.26-01594.26] 我们不打仗
[01594.26-01595.76] 但是我们可以做贸易
[01595.76-01597.26] 于是第二次出去
[01597.26-01598.26] 也开始去干嘛
[01598.26-01599.26] 去进行贸易
[01599.26-01600.76] 带着中国的一些东西
[01600.76-01601.76] 走出去
[01601.76-01603.26] 扩大了中国的影响率
[01603.26-01604.26] 所以我们当时
[01604.26-01606.76] 司马天对于张天的这个评价
[01606.76-01607.26] 怎么说的
[01607.26-01608.76] 同时还记得记得的话
[01608.76-01609.76] 打在单独当中
[01609.76-01611.26] 我们司马天相当于是
[01611.26-01612.26] 在两不同地上
[01612.26-01613.26] 早了一个哭怒
[01613.26-01614.26] 所以我们当时说了
[01614.26-01616.26] 叫做走空之旅
[01617.26-01622.38] 叫做糟空之旅
[01622.38-01624.38] 所以这是从文学的角度
[01624.38-01626.50] 大家知道这是路上私手之路
[01626.50-01628.02] 经济带它的一个开批
[01628.02-01629.54] 相用的一些文学电谷
[01629.54-01630.30] 那么说了你看
[01630.30-01631.34] 2013年
[01631.34-01633.14] 鞋后提出路上私手之路
[01633.14-01635.62] 2013时机海上私手之路的这样的一个建议
[01635.62-01636.58] 那它主要的一个原因
[01636.58-01637.74] 就是考虑到中国
[01637.74-01640.38] 现有发展的这样的一个情况
[01640.38-01643.38] 所以我们必须要探索出一条属于自己的对外
[01643.38-01644.70] 交往的这样的一个道路
[01644.70-01648.28] 你如果说你看中国他的一个地理的形式来看的话
[01648.28-01649.82] 他是从一个道有形的
[01650.08-01652.12] 对吧 这是他周边都是其他的国家
[01652.38-01655.96] 然后呢 你这边呢 是虽然是灵海但是灵海往外走的话
[01655.96-01659.56] 只要那一个出口 所以在这种情况这些中国的发展
[01659.80-01667.48] 其实是机器不利的 在加上当时呢我们都知道在海上贸易建立海外军事港口比较多的这个国家就是老美嘛
[01667.48-01669.78] 就是美国嘛 就是那个导美那个国家
[01670.04-01674.14] 所以我们就会发现我们要探索出一条自己的对外开放的一个道路
[01674.14-01676.18] 我们要逐渐的快大中国的影响
[01676.18-01679.52] 要从游戏的遵守者到游戏规则的制定者
[01679.52-01681.82] 这个时候我们就做出了这样的一个选择
[01681.82-01683.86] 所以在2013年的时候提出来了什么
[01683.86-01685.14] 提出来了唱一
[01685.14-01687.90] 这个时候就提出来了一代一路的概念
[01687.90-01688.74] 这是第一个点
[01688.74-01690.78] 第二个点就是大家要明确
[01690.78-01692.50] 2013年只是提出創意
[01692.50-01695.66] 而真正实施一代一路是在什么时候2015年
[01695.66-01696.94] 所以2015年话出来
[01696.94-01700.10] 说2015年是一代一路的开局之念
[01700.10-01701.66] 一代一路开局之念
[01701.66-01705.76] 这个就是有关于一代一路它的一个基本内涵
[01705.76-01707.82] 大家要明确这是第一个点
[01707.82-01709.42] 需要大家去掌握的
[01709.42-01710.74] 掌握了一代一路的
[01710.74-01711.90] 基本内涵之后
[01711.90-01713.44] 我们就来看一下第二个点
[01713.44-01715.66] 这是我们提出了一代一路
[01715.66-01716.92] 这样的一个建设
[01716.92-01720.30] 我们如何去进一步推进一代一路它的一个发展
[01720.30-01721.98] 我们来看一下第二个内容
[01721.98-01723.86] 就是一代一路的建设
[01723.86-01725.98] 首先第一个在一代一路建设当中
[01725.98-01728.02] 我们并成了一个原则
[01728.02-01729.22] 同把这个原则画出来
[01729.22-01730.38] 叫做三共原则
[01730.38-01733.96] 三个元总是共商共享的元子
[01733.96-01737.04] 我会把他称这位邪在旁边叫做全球治理官
[01742.16-01743.82] 把他称这位叫全球治理官
[01743.82-01748.04] 这是针对于世界合作的叫共商共同商讨
[01748.04-01748.70] 对吧
[01748.82-01752.14] 共同建设共同享有现在的什么
[01752.14-01753.24] 经济发展成果
[01753.24-01754.96] 所以叫共商共建共享
[01755.22-01757.26] 他和另外一个点特别运回小
[01757.26-01758.80] 邪在旁边另外一个点是什么
[01758.80-01760.80] 就是有关于我们国家的社会治理的
[01761.52-01764.36] 同们来看社会治理是针对于国际还是国内
[01766.20-01769.36] 一带一路三共他针对的是国际贸易问题
[01769.36-01769.96] 对吧
[01769.96-01773.52] 而我们国家的社会治理他针对的是国内的问题
[01773.72-01776.44] 所以在社会治理当中也会提到一个三共
[01776.92-01780.00] 同一卷要注意共建共智共享
[01780.52-01781.44] 他不一样啊
[01781.44-01782.04] 大家注意一下
[01782.04-01784.68] 虽然都是共同商量共同享有
[01784.68-01786.64] 但是我们所说的这个
[01786.64-01788.64] 思仇之路讲的是共建
[01788.64-01790.14] 大家都知道一带一路
[01790.14-01791.54] 我们所说的经济带
[01791.54-01792.94] 它的一个开发和建设
[01792.94-01794.84] 你要研图休一些就是实的
[01794.84-01796.44] 你要提出一些相当的倡意的
[01796.44-01798.84] 所以我们针对于一带路叫共建
[01798.84-01800.44] 而我们针对于国家是什么
[01800.44-01804.14] 国家社会内部这里是人民共同治理
[01804.14-01805.12] 我们要共同治理
[01805.12-01806.64] 这个国家所以提到这种共治
[01806.64-01808.14] 这两个地方在考试的时候
[01808.14-01809.34] 科学别容易混小
[01809.34-01811.64] 只是把这两个三个个元子给你高混小了
[01811.64-01813.24] 所以在这大家要去分啊
[01813.24-01816.24] 针对于我们所说的这个国际
[01816.24-01819.76] 全球治理官叫做共建共同建設共同商用
[01819.76-01822.68] 而放在國內國內我們去治理這個國家
[01822.68-01824.08] 因為我們是國家的主人
[01824.08-01825.48] 所以我們強調的共治
[01825.48-01827.24] 這兩個點一定要給我區分號
[01827.24-01829.84] 所以這是在一代路當中提到的原則
[01829.84-01830.48] 叫做什麼
[01830.48-01831.72] 三共原則
[01831.72-01835.20] 叫三個原則叫共商共建共享
[01835.20-01837.20] 所以這是第一個大家知道
[01837.20-01839.60] 你看這個理念其實也能提醒出來
[01839.60-01842.80] 我們不是單邊主導的這種
[01842.80-01845.88] 貿易方式也不是單邊主導的這種全球治理念
[01845.88-01846.56] 而是什么
[01846.56-01847.84] 而是多别的这种
[01847.84-01848.12] 对吧
[01848.12-01849.20] 如果这是美国的方法
[01849.20-01850.84] 美国早就一家主大说了算了
[01850.84-01851.76] 但是我们不是
[01851.76-01854.04] 我们是共商共建共享
[01854.04-01855.36] 最重要人家国家的
[01855.36-01856.20] 让那个意愿
[01856.20-01857.36] 跟人去商量
[01857.36-01858.60] 我们应该如何去建设
[01858.60-01859.24] 所以在这里
[01859.24-01860.88] 大家要知道
[01860.88-01861.92] 这是第一个
[01861.92-01863.12] 叫三公元子
[01863.12-01863.72] 第二个呢
[01863.72-01864.64] 就是我们要在这里
[01864.64-01865.68] 大家去提到
[01865.68-01867.00] 既然一代一路
[01867.00-01867.96] 国际合作
[01867.96-01869.72] 那他就要提到一个点
[01869.72-01870.72] 就是在一代路建设
[01870.72-01871.20] 过程当中
[01871.20-01872.32] 我们要贯尿一个叫做
[01872.32-01873.68] 思路精神
[01873.68-01874.48] 我们来看一下
[01874.48-01876.28] 這個私路精神他說的是什麼
[01876.28-01877.56] 同時在書上畫一下
[01877.56-01880.04] 他說私路精神是一代一路
[01880.04-01881.80] 創意發揚以畫一下
[01883.68-01885.68] 隔平合作開放包容
[01885.68-01886.84] 護學護劍
[01886.84-01889.28] 護力供應為核心的私路精神
[01889.28-01890.28] 大家注意
[01890.28-01892.36] 我講的現在講的這個一代一路
[01892.36-01894.20] 它是有一個熱點連接的
[01894.20-01896.68] 它的熱點連接就是連接第三界
[01896.68-01898.56] 一代一路國際高峰論壇
[01898.56-01899.72] 而223年
[01899.72-01903.40] 恰恰也是第三界一代一路國際一代一路
[01903.40-01905.44] 我们所提到的唱一十周年
[01905.44-01907.44] 所以它是一个十周年的一个点
[01907.44-01908.80] 也是当下的一个热点
[01908.80-01910.72] 所以在今年的第三件一代一路
[01910.72-01913.12] 国际高工论盘看试讲话当中
[01913.12-01915.24] 国家领导人就说过这样的一段话
[01915.24-01916.52] 当时就提到了什么
[01916.52-01917.92] 就提到了私陆精神
[01917.92-01919.52] 它的私陆之陆精神
[01919.52-01921.60] 是和平合作开放包容
[01921.60-01924.40] 互徐互监互利共影为核心的私陆精神
[01924.40-01927.08] 它也是我们要推荐一代一路的
[01927.08-01929.44] 重要力量元权
[01929.44-01931.04] 所以在这里面大家注意一下
[01931.04-01932.84] 私陆精神的核心内容
[01932.84-01933.56] 大家要知道
[01934.64-01936.36] 在这里标注一下叫做
[01936.48-01938.60] 和平合作开放包容
[01938.68-01940.64] 互取互接互列供应
[01940.68-01942.12] 首先第一个和平
[01942.24-01943.40] 这个指定是没跑的
[01943.44-01945.00] 因为我们都看到中国的
[01945.04-01946.52] 思组之路这样的一个开头
[01946.56-01947.76] 它其实是站在什么
[01947.80-01949.56] 但是站在国际局市上
[01949.60-01950.76] 要变于人家
[01950.80-01952.92] 也享有站一个成果的角度来看的
[01952.96-01954.72] 所以在这里面我们提到的叫做
[01954.92-01955.28] 和平
[01955.32-01957.20] 换一换说的咱不是打着过去的
[01957.24-01957.92] 咱是怎么
[01957.96-01959.60] 咱是跟人家好说好商量人家
[01959.64-01960.72] 要咱就给人家
[01960.76-01960.96] 对吧
[01961.00-01962.16] 咱就给人家提供帮助
[01962.16-01963.36] 咱是这样的一个理念
[01963.36-01967.24] 如果因为我们所说的在第三阶一带一路国际高峰论坛
[01967.24-01970.08] 领导人看不试讲话的原来看的话
[01970.08-01973.04] 你看一下他所说的这个和平合作体现的事实上
[01973.04-01974.96] 他说古斯仇之路啊
[01974.96-01977.08] 之所以能够明垂清时
[01977.08-01979.08] 靠的不是战马和朝猫
[01979.08-01981.92] 而是落土和善而是图队和善意
[01981.92-01983.60] 不是监传和立炮
[01983.60-01985.20] 而是保传和献异
[01985.20-01987.84] 你看一只说你靠硬的打出来啥的
[01987.84-01990.96] 所以在这里面我们提到叫做和平合作
[01990.96-01992.76] 第二就是开放包容
[01992.76-01994.68] 大家知道在国际脸通上
[01994.68-01996.28] 他必须要有这样的一个包容型
[01996.28-01998.16] 我们必须要能够提到一个点
[01998.16-02000.64] 就是我们国家领导人所提到的
[02000.64-02001.96] 说文明
[02001.96-02003.84] 他没有高低贵件之分
[02003.84-02005.08] 他只有差赐验
[02005.08-02006.32] 就是我们所说的
[02006.72-02008.20] 这个国别的这样的语分
[02008.20-02009.24] 文明都是怎么样
[02009.24-02010.00] 差赐验红的
[02010.00-02012.28] 因为你在整个国际交流合作当中
[02012.28-02014.04] 我们不单单是交流一些
[02014.04-02015.56] 我们所说的印象设施
[02015.56-02017.44] 我们去给人数出我们的产品
[02017.44-02018.24] 不单单是这样
[02018.24-02019.68] 也是在数出中国的文化
[02019.68-02022.08] 文化有文明之间的碰转
[02022.08-02023.08] 他就必须要
[02023.08-02024.20] 并持着什么
[02024.20-02025.40] 开放包容的形态
[02025.40-02026.72] 没有好坏之分
[02026.72-02028.24] 只有差子阳红之别
[02028.24-02029.92] 所以在这里我们提到的照顾什么
[02029.92-02031.96] 叫做开放包容
[02031.96-02034.12] 那顾学户建达到的最终的节目
[02034.12-02034.80] 就是什么
[02034.80-02036.52] 就是互利供应
[02036.52-02037.40] 就是互利供应
[02037.40-02038.84] 所以这是我们所提到的
[02038.84-02040.52] 思路精神的内容
[02040.52-02041.56] 第一个和平
[02041.56-02042.64] 第二个开放
[02042.64-02043.60] 第三个户学
[02043.60-02045.28] 第四个供应
[02045.28-02046.64] 就是我们的最终的目的
[02046.64-02048.88] 是为了让中国发展的列车
[02048.88-02050.68] 世界老百姓也能够搭成上
[02050.68-02052.52] 再次回应到内面一个点
[02052.52-02053.68] 中国自古以来
[02053.68-02055.92] 就是一个有大格局的民族
[02055.92-02057.52] 所以在这里提到的交捉
[02058.68-02059.40] 这次的字
[02059.40-02060.28] 我说了一遍了
[02060.28-02061.28] 在这里就跟大家说了
[02061.28-02061.96] 这是第1个点
[02061.96-02063.08] 第2个点就是
[02063.08-02065.00] 这里面所提到的这个俗路精神
[02065.00-02066.00] 大家要注意一下
[02066.00-02068.08] 在我们所提到的这个
[02068.08-02069.16] 始终认点当中
[02069.16-02071.12] 也就是第3阶一带一路峰会当中
[02071.12-02072.08] 它所提到说
[02072.08-02072.88] 这个俗路精神
[02072.88-02075.32] 它也是促进国际发展交流合作的
[02075.32-02076.36] 重要力量元权
[02076.36-02077.36] 把它写在旁边
[02078.88-02085.68] 重料的力量圆圈把它标注在旁边
[02085.68-02088.48] 所以在这里面有关思路经证一共是两个点
[02088.48-02090.08] 第一个就是它的内容
[02090.08-02091.88] 第二就是它的地位
[02091.88-02095.88] 所以这是第二个我们所提到的叫做思路经证
[02095.88-02097.88] 所以在一代一路的建设当中
[02097.88-02100.28] 我们有发现中国做了很多的努力
[02100.28-02103.28] 你看我们把很多东西都推向了国外
[02103.28-02105.48] 比如说最为典型的就是中国的什么
[02105.48-02106.48] 中国的高铁
[02106.48-02108.26] 大家都知道中国的高铁技术
[02108.26-02110.58] 他是中国的一张王坛
[02110.58-02111.44] 没谁了
[02111.44-02112.12] 老牛了
[02112.12-02112.36] 对吧
[02112.36-02113.34] 中国高铁的发展
[02113.34-02115.06] 变得利了大家老百姓的生活
[02115.06-02116.64] 比如说你现在出行的时候
[02116.64-02118.64] 我以前出行的时候我就觉得
[02118.64-02119.70] 做飞机太贵
[02119.70-02120.56] 做火车太慢
[02120.56-02122.44] 但这后来有了高铁之后
[02122.44-02123.80] 发现做高铁好方便
[02123.80-02125.80] 因为我以前
[02125.80-02127.08] 没有自己是专闲的时候
[02127.08-02128.12] 我就觉得飞机好贵
[02128.12-02128.36] 对吧
[02128.36-02130.00] 一张机票现在可能很便宜
[02130.00-02130.68] 在最开始的时候
[02130.68-02131.72] 可能要一千多块钱
[02131.72-02133.00] 我觉得没有必要
[02133.00-02134.42] 但是高铁了就会那个时候
[02134.42-02136.12] 会比飞机要便宜很多
[02136.12-02138.94] 那后来的时候你就做飞机你会害怕了
[02139.20-02140.72] 然后你就觉得做高体有很安全
[02140.98-02142.78] 所以你看这个时候高铁呢
[02143.02-02148.66] 它其实就成为了我们现在大部分人他日常出行了一个非常转的一个交红工具
[02150.20-02152.76] 你看这个高铁呢中国发展得很好
[02153.02-02158.64] 而且中国高铁的体录越行人次在春月春月期间能够达到30亿人次
[02158.90-02164.80] 这个人次的周短呢其实是相当于欧洲体录求州的体录越行10年的人次周短
[02164.80-02167.08] 这个我们能够租转出来这么大的量
[02167.08-02169.24] 那就得于中国的高体技术的发展
[02169.24-02171.44] 所以高体对中国来说是一张网坛
[02171.44-02173.56] 所以其他的国家想要来到中国
[02173.56-02175.68] 去搞一代于路建设小财用的时候
[02175.68-02177.20] 我们就可以给他推荐高体
[02177.20-02179.04] 那推荐高体怎么推荐的呢
[02179.04-02181.24] 去传根据江湖传门
[02181.24-02182.72] 大人不交场说了说
[02182.72-02184.76] 以前比如说在以前的时候
[02184.76-02185.84] 族人来中国
[02185.84-02189.44] 来中国之后除了让他们去领略到中国的野食文化
[02189.44-02192.36] 然后领略到中国的这些吃的这些东西之外
[02192.36-02194.40] 还有一个就是去带这些国际
[02194.40-02195.80] 这些来中国
[02195.80-02198.36] 访问的这些领导人去做高铁
[02198.36-02199.28] 专高铁之后
[02199.28-02200.28] 双方都不说话
[02200.28-02201.32] 我没有说她们说
[02201.32-02202.44] 就在那高铁做的
[02202.44-02203.36] 松俗快
[02203.36-02204.24] 用快用文
[02204.24-02205.60] 用导文 用导文
[02205.60-02206.24] 对吧
[02206.24-02207.72] 做做的这了之后
[02207.72-02210.12] 然后当时就双方的对话就开写了
[02210.12-02210.72] 我们就问她
[02210.72-02211.04] 怎么样
[02211.04-02211.88] 高铁快快
[02211.88-02212.88] 当时高铁快
[02212.88-02213.96] 然后我们就问
[02213.96-02214.56] 好不好
[02214.56-02215.32] 她说好
[02215.32-02216.20] 洗不洗话
[02216.20-02216.84] 洗话
[02216.84-02217.96] 想想要
[02217.96-02218.28] 想要
[02218.28-02219.16] 老贵了
[02219.16-02219.88] 你怎么洗
[02219.88-02220.52] 那怎么办呢
[02220.52-02221.04] 没关系
[02221.04-02221.88] 加入我的吧
[02221.88-02224.60] 加入一代一路,我們有私陸基金,對吧?
[02224.60-02228.28] 我們可以幫你們打造高鐵帶動你的周邊的這個發展
[02228.28-02233.64] 所以能夠看得出來,這也是我們所說的在一代一路建設過程當中所體現出來的
[02233.64-02235.80] 而且當時,有人在網上留言說
[02235.80-02241.24] 看著當時的那個場景,不僅就讓我們想到了當時到平同志去日本訪問的時候的情況
[02241.24-02249.32] 說年軍其實,其實在日本當時很滿的這樣我們所說的快車上的時候,清鬼還是什麼?
[02249.32-02250.86] 看不出窗外的場景
[02250.86-02254.14] 想着什么时候中国人能够坐上这样的一个列车
[02254.14-02256.74] 但情节是几十年时间过去了
[02256.74-02260.44] 我们终于实现的而且速度和实际于原源超过当时的
[02260.44-02260.84] 对了
[02260.84-02263.34] 所以这个就是我们所说的关于一代一路
[02263.34-02266.86] 刚才我们说了在一代一路通过对于高铁的推广
[02266.86-02267.96] 我们也能够发现
[02267.96-02271.08] 我们是通过给其他国家建立一些基础设施
[02271.08-02274.40] 来连动帮助这些国家来实现它的一个发展
[02274.40-02277.48] 也就是我们所说的一代一路所提到的什么
[02277.48-02278.40] 武通发展
[02278.40-02280.48] 我们来看一下这武通值的是那武通啊
[02280.68-02281.84] 谁能第一个我们说了
[02281.84-02283.52] 有关于在一路介绍我们叫
[02283.52-02285.52] 并且共商共建功向
[02285.52-02285.84] 对吧
[02285.84-02288.08] 所以首先第一个我们提到的叫做
[02288.92-02289.64] 政策
[02289.64-02290.40] 国同
[02290.40-02291.00] 那政策
[02291.00-02293.40] 国同其实就是刚才我们所提到的商量
[02293.40-02294.08] 你不能说
[02294.08-02295.08] 我们国家东西好
[02295.08-02296.48] 我们想代动人家发展
[02296.48-02298.72] 但是你跟人家说人家不一定要会认同你
[02298.72-02300.52] 所以在这里我们要搞政策
[02300.52-02301.12] 国同
[02301.12-02302.52] 第二个就是搞什么
[02302.52-02303.52] 设施
[02303.52-02304.16] 连同
[02304.16-02306.20] 设施连同刚才我所提到的高铁
[02306.20-02307.24] 就是非常典型的
[02307.24-02309.48] 你看我们的高铁走进欧洲
[02309.48-02309.68] 对吧
[02309.68-02311.44] 我们的高铁走进中亚
[02311.44-02313.24] 我们的铁路建设
[02313.24-02314.28] 当然不大概是高铁
[02314.28-02315.64] 还有其他的一些铁路
[02315.64-02316.24] 建设
[02316.24-02317.48] 你看像我们所说的是吗
[02317.48-02319.32] 中国和越南中国和老国
[02319.32-02321.00] 这也是今年在实际上认识
[02321.00-02321.96] 这种所提到的
[02321.96-02323.24] 像这样的铁路建设
[02323.24-02324.68] 这是设施联头
[02324.68-02325.80] 朋友要知道
[02325.80-02327.08] 设施联头了
[02327.08-02328.60] 要想复先修路
