[00000.00-00004.20] 好的,我们看完个试歌体材之后,我们来看一下
[01257.18-01259.46] 你看那种和他的小伙伴一块
[01259.46-01261.14] 泛州去联化持
[01261.14-01261.62] 对吧
[01261.62-01264.26] 然后整度整度惊奇一堂欧录
[01264.26-01264.62] 对吧
[01264.62-01267.22] 在联化持里面喝多了睡着了迷路了
[01267.22-01269.82] 结果那个小传自己飘到联化身处了
[01269.82-01270.42] 大家都说啊
[01270.42-01271.54] 怎么到这来了呢
[01271.54-01273.34] 说话声有点大把那个女儿
[01273.34-01275.26] 惊起来飞起来拨拨拉拉的
[01275.26-01276.46] 经习一台欧路
[01276.46-01276.74] 对吧
[01276.74-01277.66] 你看都是他
[01277.66-01279.22] 少女时的仗有生活
[01279.22-01280.38] 所以从他少女时期
[01280.38-01281.38] 他的生活过的
[01281.38-01282.58] 你就在我们看来的话
[01282.58-01284.54] 其实是非常小工主义办的生活
[01284.54-01285.66] 看变了繁华
[01285.66-01286.86] 自由特别有财气
[01286.86-01288.54] 父亲对他有特别的好
[01288.54-01289.70] 后来一直到多少呢
[01289.70-01292.14] 一直到李清朝18岁的时候
[01292.14-01293.26] 他遇到了他的丈夫
[01293.26-01295.66] 他的丈夫叫做照明城
[01295.66-01297.54] 大家知道送朝照幸
[01297.54-01298.54] 是古兴了
[01298.54-01298.86] 对吧
[01298.86-01300.22] 所以他遇到了照明城
[01300.22-01303.22] 他遇照明城的婚姻故事
[01303.22-01305.22] 其实可以说是一段家话
[01305.22-01308.30] 昭明城其实比李清昭的稍微大一些
[01308.30-01311.94] 昭明城说他在以前的手机
[01311.94-01314.12] 他就区令床李清昭之前传说
[01314.12-01315.30] 昭明城做了一个梦
[01315.30-01317.18] 他早上起来做了梦之后
[01317.18-01318.54] 昭明城去找他的父亲
[01318.54-01320.34] 跟他的父亲说做了一个梦
[01320.34-01322.22] 等父亲问他说你做啥梦了
[01322.22-01324.42] 他的具体的梦的内容我不记得了
[01324.42-01326.74] 但我引预记得有几数词
[01326.74-01328.22] 然后当时他的父亲就问他
[01328.22-01329.86] 说什么词有三句话
[01329.86-01331.02] 第一句话叫做
[01331.02-01339.06] 言語思和第二句話叫做安上以脫第三句話就叫做直幅草版
[01339.06-01342.74] 他說我就只記得最幾句話了說其他的我都不記得了
[01342.74-01345.66] 後來他的父親就開始放生大笑說話呀
[01345.66-01347.34] 我兒兒兒兒後又出血
[01347.34-01349.50] 然後來這個照明程度問說為什麼呀
[01349.50-01352.54] 他說你看你以後要取一個不一般的女子
[01352.54-01353.94] 他是父親給他猜子
[01353.94-01356.34] 言語思和是什麼是詞
[01356.34-01358.74] 安上以脱是什么是女人
[01358.74-01360.38] 对吧把安上保扎的脱掉
[01360.38-01362.46] 支付草拔 把草拿掉
[01362.46-01364.22] 就是什么 这是支付
[01364.22-01366.38] 意思就是 此女支付
[01366.38-01368.34] 就传说的就遇失了
[01368.34-01369.90] 他和李青道之间的这样
[01369.90-01371.38] 那一段不解的音缘 对吧
[01371.38-01372.98] 所以真的就是在
[01372.98-01374.78] 这个李青道18岁的时候
[01374.78-01376.06] 就遇到了这个照明城
[01376.06-01378.30] 两人一件也非常的喜欢后来
[01378.30-01379.66] 就跟照明城在一起了
[01379.66-01380.90] 但那个时候照明城
[01380.90-01382.70] 他有一些其他的事情要做
[01382.70-01385.06] 比如说他要在台学球学
[01385.06-01389.66] 求完学之后他只能出一和十五的时候才能和李清朝团劲
[01389.66-01393.90] 所以当时李清朝就似乎心气每天都在等着照明成回来
[01393.90-01397.50] 所以等着等着有的时候特别想他的丈夫就写了一首词
[01397.50-01399.70] 就是这里叫最花音
[01399.70-01401.18] 博物农云仇用重重
[01401.18-01402.14] 你看他怎么写的
[01402.14-01404.74] 博物农云仇又仇又仇又仇又仇
[01404.74-01409.96] 銳金受加劫又重陽預診殺除半夜兩出頭
[01409.96-01412.66] 這是還是在等加劫之後他一個人對吧
[01412.66-01416.42] 東迷把酒黃昏後有暗箱銀秀後面這句話
[01416.42-01417.80] 標準在旁邊
[01417.80-01421.06] 莫道不消火人連選西方人幣黃花受
[01421.06-01423.46] 就是等他丈夫等來等去等來等去
[01423.46-01424.74] 還不回來對不對
[01424.74-01425.94] 太思念丈夫了
[01425.94-01427.82] 就把他的這種情感
[01427.82-01430.94] 情一面的這種思念家人的這種情感
[01430.94-01433.38] 就通過這樣的一首詞就給他怎麼樣
[01433.38-01436.78] 描迴出来你看 连卷西风 人笔 黄花瘦
[01436.78-01438.50] 我等到花儿都写了 对吧
[01438.50-01440.02] 所以在这里面大家要知道
[01440.02-01441.26] 这是李清朝
[01441.26-01443.26] 所以他和他丈夫之间的这个关系
[01443.26-01444.98] 去特别好 欢迎话说呢
[01444.98-01447.54] 非常地恩爱的这样的一段夫妻
[01447.54-01448.54] 但是呢
[01448.94-01450.14] 好景不长
[01450.14-01452.10] 好像不长呢 主要就是因为
[01452.10-01454.10] 后面的时候大家都知道
[01454.10-01455.90] 这个送着他的朝廷呢
[01456.54-01458.42] 也发生了一定程度的内度
[01458.42-01459.18] 然后呢
[01459.62-01461.54] 不太好的结果就是啥
[01461.54-01462.82] 不太好的结果就是
[01462.82-01466.22] 李清朝的父亲其实就参与到了内容当中
[01466.22-01468.28] 但结果呢因为这个大家都知道
[01468.28-01469.18] 政治派给的问题
[01469.18-01471.22] 他父亲后来就被典离开变经了
[01471.22-01472.74] 李清朝也跟着走了
[01472.74-01474.34] 父亲就再次分开了
[01474.34-01476.40] 后来到了我们所说的后期的时候
[01476.40-01477.74] 就是北松灭亡
[01477.74-01479.98] 金兵难下之后不是要难送
[01479.98-01482.10] 所有的难送到往南千千道领
[01482.10-01484.18] 然后他和他的丈夫呢
[01484.18-01486.46] 后来团据了之后没有办法
[01486.46-01487.82] 又被迫了往南千
[01487.82-01491.58] 两人就是一块再去往南千的土中
[01491.58-01494.14] 然后两人就会聊一聊国家的大事
[01494.14-01495.90] 然后当时李青兆的其实这个人
[01495.90-01498.30] 我们感觉他应该是一个柔弱的政治女子
[01498.30-01499.38] 但其实不是这样的
[01499.38-01501.62] 就是他这个人个性还是非常鲜靈的
[01501.62-01503.58] 所以他在和他丈夫一入男下的时候
[01503.58-01506.70] 也会在车上跟他的丈夫讨论这个加国大事
[01506.70-01509.78] 所以当时聊到身处悲伤的时候
[01509.78-01512.94] 大家都知道血威手词叫做生当
[01512.94-01515.10] 做好节死亿为鬼兄
[01515.10-01517.14] 至今思项宇不肯过讲的
[01517.14-01519.54] 这其实也能够电订看出来理
[01519.54-01520.96] 侵照他性格当中
[01520.96-01521.80] 比较怎么样
[01521.80-01524.46] 兼益和性格鲜柄能夹的一个特点
[01524.46-01526.72] 但是他好像不长
[01526.72-01528.18] 他和他的这个丈夫
[01528.18-01530.28] 难下一年
[01530.28-01532.28] 就是在他们难下的这个同一年当中
[01532.28-01534.64] 他的丈夫要去健康去认识
[01534.64-01536.70] 结果在认识的过程当中
[01536.70-01537.72] 就去世了
[01537.72-01539.50] 就在派手府中
[01539.50-01540.20] 并倒了
[01540.20-01541.06] 然后就没有了
[01541.06-01542.84] 所以当时就只剩下了谁呢
[01542.84-01545.22] 就只剩下了李秦造自己一个人
[01545.22-01546.42] 所以李秦造
[01546.42-01547.44] 等了晚年过的
[01547.44-01548.84] 其实并不是特别好
[01548.84-01552.96] 他的丈夫去世之后李青朝其实整个人是非常的悲痛的
[01552.96-01555.12] 就是那种悲痛用他自己的话来说呢
[01555.12-01556.48] 就是已经强不了了
[01556.48-01558.64] 而且他和他的丈夫的经常就是
[01559.28-01562.48] 以前的时候他的丈夫和他都特别喜欢自化
[01562.48-01565.80] 所以两人就经常会买很多的这样的一个自化放在家里
[01565.80-01568.84] 而李青朝每当看见这个自化的时候其实就会怎么样
[01568.84-01570.08] 读课私人
[01570.08-01572.32] 然后他丈夫有一个同床啊
[01572.32-01573.92] 这个同床叫做张武洲
[01573.92-01575.68] 这个扎门会人不要脸
[01575.68-01576.16] 对吧
[01576.16-01579.64] 这个章五周就是继与李称照家里的这样的一个
[01579.84-01581.32] 我们所说的这个字坏
[01581.44-01583.48] 所以就故意接近这个李称照
[01583.48-01584.44] 然后结果呢
[01584.56-01586.28] 把李称照取回家之后呢
[01586.28-01587.92] 原行就暴露出来了
[01587.92-01588.20] 对吧
[01588.20-01589.44] 就说要自话怎么样的
[01589.44-01590.52] 当时那些字坏呢
[01590.52-01591.64] 其实都已经没有了
[01591.84-01593.32] 因为一部分是男下
[01593.32-01595.08] 因为他们要逃离原来的那个
[01595.20-01596.68] 我们所说的北松的都成嘛
[01596.84-01598.88] 所以男下的过程当中流失了很多
[01598.88-01599.44] 还有一些呢
[01599.44-01600.88] 就是李称照毒私人
[01600.88-01602.72] 他其实也会稍微很多
[01602.72-01604.08] 所以那些字坏就都没有了
[01604.08-01606.68] 但這個張魯州的這個人拉幾個 對吧
[01606.68-01609.36] 後來原行暴露之後李清少說過不下去了
[01609.36-01610.36] 最後就離婚了
[01610.36-01611.68] 所以到了晚年的時候
[01611.68-01614.72] 他一直都是在悲苦當中度過的
[01614.72-01616.80] 所以你看他到後期的這個詞
[01616.80-01618.40] 整體上寫的也是什麼
[01618.40-01620.08] 重序面面的這種感覺
[01620.08-01622.64] 你比如說在這裡他所寫的這個物靈春
[01622.64-01623.64] 你看他說了
[01623.64-01624.92] 把這裡話寫在旁邊
[01624.92-01628.28] 叫做物事人非事實修預理的類限流
[01628.28-01630.00] 已經都和之前不一樣了
[01630.00-01632.16] 對吧 顧國已經失去了
[01632.16-01634.84] 然后丈夫也已经没了又碰到了扎呢
[01634.84-01636.20] 对吧就是这么的悲苦
[01636.20-01636.92] 所以才说了
[01636.92-01638.32] 叫巫世人飞
[01638.32-01639.60] 事事休
[01639.60-01641.00] 预纸类线流
[01641.00-01642.68] 这些都是非常典型的什么
[01642.68-01644.20] 离型的它的这些词
[01644.20-01645.20] 所以同学们在掌握
[01645.20-01646.56] 离型的这个人的时候
[01646.56-01648.16] 要掌握它的基本情况
[01648.16-01649.28] 这刚才我们所说的
[01649.28-01650.32] 它被称为什么
[01650.32-01651.20] 和称为什么
[01651.20-01652.08] 这是第一个
[01652.08-01653.36] 第二个就是了解
[01653.36-01655.04] 它的这些词的内容
[01655.04-01657.20] 考察人物和具体住作的对应
[01657.20-01658.60] 但是您能够看得出来
[01658.60-01660.48] 它的语言比较差面
[01660.48-01661.88] 那它就是一典型的
[01662.16-01664.16] 碗约派的词人
[01664.16-01666.16] 所以在这大家注意一下
[01666.16-01668.16] 这是我们所说的这个李清照
[01668.16-01669.16] 那了解完了李清照
[01669.16-01671.16] 这后来看一下
[01671.16-01672.16] 碗约派的另外一个代表人物
[01672.16-01674.16] 这个人就叫做情关
[01674.16-01676.16] 当然也有说叫情关的
[01676.16-01677.16] 这个人非常地了不起
[01677.16-01678.16] 它是记欧阳修之后
[01678.16-01680.16] 被送文壇的领袖人物
[01680.16-01682.16] 也是我们常说的
[01682.16-01683.16] 松文四学是之一
[01683.16-01685.16] 所以能够看得出来
[01685.16-01688.16] 它整体上才华很硬
[01688.16-01691.16] 但这个人一生也是比较强刻的
[01691.16-01695.12] 所以在这里面我们就能够看到它整体上写的
[01695.12-01697.52] 这次也是相对来说比较气碗
[01697.52-01699.68] 很多人说它不解说气碗
[01699.68-01701.76] 而且说它写得子高股成重
[01701.76-01705.88] 所以它就是用最终写作的方式来应受它悲慘的一生
[01705.88-01707.52] 在它所写的此当中
[01707.52-01709.36] 我们最维熟悉的同样画一下
[01709.36-01713.00] 就是这个什么确确条线线运动靠
[01713.00-01715.60] 这个确条线是它有一年被扁之后
[01715.60-01716.96] 有一年的七夕
[01716.96-01718.40] 人家都成双成多少的
[01718.40-01721.88] 对于他自己一个人还被表了孤苦失忆
[01721.88-01725.52] 然后呢 这时候就想起来他在远方的这样的一个妻子
[01725.52-01728.24] 所以他就写了一个我们所说的 却条线
[01728.24-01731.60] 却条线当时就说了叫做非星传恨
[01731.60-01733.76] 言汉条条暗度后面
[01733.76-01737.40] 金风预录一相统变胜确人间无数
[01737.40-01740.00] 这是他的这个词的第二确说的这话
[01740.00-01742.44] 后面说柔情四水加期如梦
[01742.44-01744.84] 忍顾却条规录后面才有了
[01744.84-01748.94] 叫亮情若是九长时又起在招招目目
[01748.94-01752.28] 在这里有没有把所有的词给大家去逻烈出来
[01752.28-01755.66] 大家这儿大家要知道最起码秦官的这一首词
[01755.66-01758.10] 被约为画服首为神奇的诗哪具
[01758.10-01759.30] 大家要能够知道
[01759.30-01762.94] 所以在这里面大家知道这是把约派的词人的代表
[01762.94-01764.30] 把人派不讲了两个
[01764.30-01766.54] 一定要把他的人物和具体的诸作
[01767.38-01768.50] 给他能够对上
[01768.50-01770.38] 这时候我们所说的把约派的词
[01770.38-01772.74] 除了把约派之后大家也都知道
[01772.74-01774.42] 我们还有好方派词
[01774.42-01776.22] 豪方太詞人的代表人物
[01776.22-01777.10] 大家注意一下
[01777.10-01777.82] 首先第一個
[01777.82-01779.82] 我先來看一下豪方詞派的特點
[01779.82-01781.34] 豪方的他的詞
[01781.34-01783.62] 來看一下他寫的東西就比較大氣了
[01783.62-01784.46] 格局就比較大
[01784.46-01786.06] 你看起來就是那個場景
[01786.06-01787.74] 就會很舒闊的那種感覺
[01787.74-01789.54] 所以你看他的詞的特點
[01789.54-01791.22] 就是視野教育廣闊
[01791.22-01793.22] 氣象呼籲紅雄方
[01793.22-01795.06] 這個是豪方派詞的特點
[01795.06-01796.78] 和剛才那種情義棉棉
[01796.78-01798.26] 完轉、愛媛政經感
[01798.26-01799.22] 截然不同
[01799.22-01799.82] 所以我們說了
[01799.82-01801.78] 如果考察內容和詞派的對應
[01801.78-01802.62] 你看什麼呢
[01802.62-01803.74] 就看風格
[01803.74-01805.06] 所以在这里大家注意一下
[01805.06-01807.38] 这是我们所说的叫做好放词牌
[01807.38-01808.70] 那在好放词当中
[01808.70-01810.78] 我们要讲两个非常著名的人物
[01810.78-01813.26] 这两个人物类似在考试当中经常考的
[01813.26-01814.38] 一个人是谁呢
[01814.38-01815.86] 一个人是苏士
[01815.86-01817.90] 还有一个人就叫做新气几
[01817.90-01820.86] 我们先来看一下在整个好话外层人当中
[01820.86-01822.26] 最维点钱的第一个人物
[01822.26-01823.74] 就是我们所说的苏士
[01823.74-01826.50] 苏士同学先画一下它的具体情况
[01826.50-01828.82] 苏士的号东坡军事
[01828.82-01830.02] 与父亲苏旋
[01830.02-01833.50] 地理苏者和称为3酥标助一下
[01833.50-01834.22] 圈一
[01834.22-01835.58] 我们前面也来讲过
[01835.58-01837.06] 在文学考试当中
[01837.06-01839.06] 父子组团出道的
[01839.06-01840.26] 咱们只讲了两个
[01840.26-01841.50] 一个是3草
[01841.50-01842.86] 一个是3酥
[01842.86-01844.66] 所以在这里面大家先注意一下
[01844.66-01845.58] 第一个点
[01846.22-01848.66] 我们所说的苏斯
[01848.66-01849.46] 苏斯
[01849.46-01850.98] 他的基本情况
[01850.98-01852.54] 当时有一个人
[01852.54-01853.30] 那个人
[01853.30-01854.86] 就是叫威女独师
[01854.86-01856.22] 应该是有这样一个节目
[01856.22-01857.54] 这个节目的这个主编
[01857.54-01858.70] 他其实写了一本书
[01858.70-01859.98] 叫做人生
[01859.98-01862.62] 就像努力率叫做感谢有苏士
[01862.62-01866.02] 在那里面写了这样的一个我们所说的一个情况
[01866.02-01871.06] 然后在这样的一个本书当中就去描会了我们所说的苏士的这个医生
[01871.06-01874.58] 大爷都知道苏士的医生其实过得并不是并不是俄理
[01874.58-01877.78] 如果别人人生用其体弱弱来形容的话
[01877.78-01880.98] 苏士的人生就是起弱弱弱弱弱
[01880.98-01883.62] 对了大家就知道它是一遍在遍在遍
[01883.62-01885.62] 就是离顾相越来越远了
[01885.62-01888.34] 大家都知道苏士是四川人
[01888.34-01889.62] 就把絲川沒三來
[01889.62-01892.18] 所以他一遍在便就是離家 越來越便
[01892.18-01893.66] 他哪怕離家越來越遠
[01893.66-01897.26] 但是他從來都沒有說感覺到說人生很絕望
[01897.26-01898.26] 人生很悲苦
[01898.26-01899.10] 都沒有這樣
[01899.10-01901.54] 他往往是在離故鄉越來越遠的地方
[01901.54-01904.34] 他能夠隨時調整自己的心境
[01904.34-01905.46] 他依舊有一種
[01905.46-01907.94] 抽脫逆境和悲傷的一種力量
[01907.94-01910.98] 就像我們所說的羅曼羅來說過這樣一個話
[01910.98-01913.34] 同時事實上只有一種真正的英雄主義
[01913.34-01915.42] 那就是任情生活的真相後
[01915.42-01916.50] 仍然熱愛他
[01916.50-01919.26] 而蘇勢恰恰就是這樣一個人
[01919.26-01921.56] 我們都知道蘇勢他在被扁的
[01921.56-01924.00] 最開始的時候他是私川美山人
[01924.00-01926.06] 後來他去了開封做官
[01926.06-01928.34] 然後他在開封做官之後
[01928.34-01930.34] 他就因為我們所說的這個
[01930.34-01931.52] 污臺施案
[01931.52-01932.50] 大概應該知道
[01932.50-01934.38] 後來就被扁
[01934.38-01937.18] 被扁去哪兒被扁到湖北的黃綱地區
[01937.18-01939.14] 當時他所說的這個黃州
[01939.14-01941.78] 所以他這個人生過的就比較顛波
[01941.78-01943.42] 就是這樣一個基本情況
[01943.42-01946.22] 而蘇勢太有個弟弟帶就叫做蘇哲
[01946.22-01948.32] 我們經常說蘇哲
[01948.32-01950.06] 他是一個海比老爾弟弟
[01950.06-01951.34] 蘇勢是個弟控
[01951.34-01952.86] 他和弟弟感情特別好
[01952.86-01954.02] 而他的弟弟
[01954.02-01956.06] 就是為了就他哥阿姨路
[01956.06-01957.10] 批征展擊
[01957.10-01958.78] 關最大的手做到
[01958.78-01960.66] 類屬於像富城像的這樣一個位置
[01960.66-01962.26] 就是他哥哥一路折事
[01962.26-01963.54] 然後他就開始
[01963.54-01964.74] 一路的老太哥哥
[01964.74-01966.78] 大概是這樣的一個情況
[01966.78-01969.26] 所以舞台實案之後
[01969.26-01969.90] 大家都知道
[01969.90-01973.02] 蘇勢他其實是被關到了監獄當中
[01973.02-01975.10] 当然苏势在他自己的感觉当中
[01975.10-01978.82] 他其实都已经有一点活不下去的情况了
[01978.82-01983.74] 所以苏势就把毒药穴毒药就叫做清精单
[01983.74-01985.78] 就这样的药特就偷偷藏在哪
[01985.78-01987.50] 特别觉得如果是坚持不下去之后的
[01987.50-01988.82] 他就吃到这个精单
[01988.82-01990.18] 然后就怎么样了自杀
[01990.18-01992.74] 后来他的弟弟就为了救他的哥哥
[01992.74-01995.22] 然后就开始想朝廷向皇上见眼
[01995.22-01998.82] 说愿意用免去自己的关止来救他哥的这样的性命
[01998.82-02001.46] 好在最后在多方的协调之下
[02001.46-02002.98] 苏势被放出来了
[02002.98-02004.98] 但是蘇勢被放出來之後大業也知道
[02004.98-02006.46] 不可能說你放出來之後
[02006.46-02007.66] 這是一點事都沒有
[02007.66-02009.70] 所以就幹嘛呢?要背扁
[02009.70-02011.22] 而蘇勢這個人比較有趣
[02011.22-02012.46] 一路背扁
[02012.46-02014.74] 一路吃走到的吃到
[02014.74-02016.74] 這個它的性情就有很大的關係
[02016.74-02020.46] 所以在他的這個人生的這個旅途上就寫了很多的這樣一個
[02020.46-02021.70] 和吃有關的視覺
[02021.70-02022.62] 所以我們說了
[02022.62-02024.18] 獨蘇勢的詞
[02024.18-02025.70] 一方面是能夠獨懂
[02025.70-02028.66] 它在逆境到中的那種超脫杯暗的那種力量
[02028.66-02031.06] 另外一種獨蘇勢的詞很有趣
[02031.06-02033.30] 他对于生活细节的描写和热爱
[02033.30-02034.78] 都体现在他的此列
[02034.78-02038.10] 在这都疏失的词能读出来很多的菜坡
[02038.10-02039.66] 所以就是这样的一个人
[02039.66-02043.06] 就真的是让我们感觉到非常精彩的一个人
[02043.06-02045.38] 咱们来看一下有关于这个疏失
[02045.38-02046.18] 疏失呢
[02046.18-02049.78] 我们先在这里面先来看一下他的具体的这个驻作
[02049.78-02052.10] 我们瞬裂他的这个人生的旅图
[02052.10-02053.86] 来看一看这样的一个具体驻作
[02053.86-02056.30] 而且驻作里面需要搭去实际的点
[02056.30-02057.74] 我会让大家去进行标准
[02057.74-02060.30] 就是我标红的地方都是需要搭去了解的
[02060.30-02064.26] 比如说在这里面我们来看一下苏世写的第一首次
[02064.26-02065.78] 协议他不能说第一首次
[02065.78-02066.94] 总给他弟弟写字
[02066.94-02069.86] 当年苏世去散西瓦的时候
[02069.86-02070.94] 就还没被点之前
[02070.94-02072.14] 他总去散西瓦
[02072.14-02074.46] 他去散西瓦的时候就吃到了好吃的
[02074.46-02075.30] 吃到好吃的之后
[02075.30-02076.14] 他就想他的弟弟
[02076.14-02077.54] 给他弟弟写了一首次
[02077.54-02078.42] 只是我们所说的啥
[02078.42-02079.62] 你看就是这种
[02079.62-02081.46] 叫做人言重久
[02081.46-02082.38] 不愚会议议
[02082.38-02086.14] 獨有普门四分隔有怀子有子有
[02086.14-02087.02] 就是他的弟弟
[02087.02-02087.34] 对吧
[02087.34-02088.38] 然后在这首次里面
[02088.38-02089.74] 他就写到了一个店
[02089.74-02091.50] 叫做一帝内如云不算
[02091.50-02093.02] 望相西与严难贼
[02093.02-02094.06] 我太想你了弟弟
[02094.06-02096.18] 我一想到你我这个眼泪花拉拉的流
[02096.18-02097.10] 然后流到什么呢
[02097.10-02097.98] 云不算
[02097.98-02099.10] 就像那个污云
[02099.10-02100.30] 盖挺像是像污云
[02100.30-02101.58] 只像像那个语样
[02101.58-02102.30] 听不下来
[02102.30-02102.86] 所以这个呢
[02102.86-02104.62] 是写给他弟弟的一首次
[02104.62-02105.42] 但是这个次
[02105.42-02106.38] 同时了解一下
[02106.38-02107.50] 直到他是一个地固
[02107.50-02108.30] 就可以了
[02108.30-02109.10] 就是他
[02109.10-02110.54] 特别喜欢和他弟弟分享
[02110.54-02112.30] 他生活当中的一些事情
[02112.30-02115.70] 但是后来的时候说了苏士他其实是被编了
[02115.70-02118.10] 他被编了就是一路被编一路吃
[02118.10-02119.86] 他最开始的时候是被编到那儿
[02119.86-02122.30] 是被编到了我们所说的黄州
[02122.30-02123.70] 编到黄州之后之后
[02123.70-02125.10] 之后又去了会州
[02125.10-02126.30] 有一些去了广东那边
[02126.30-02129.62] 然后他就去广东那边碰到那个特别好吃的东西叫做什么
[02129.62-02131.42] 洋几股特别好吃
[02131.42-02133.70] 当地非常有名的小吃
[02133.70-02135.10] 所以他吃的特别好的时候
[02135.10-02136.10] 他就想到他弟弟
[02136.10-02138.90] 也在弟弟写了一首试叫什么呢
[02138.90-02141.90] 叫与子游弟叔写给弟弟一封信
[02141.90-02144.50] 在那里面就告他弟弟这个洋级顾有多好吃
[02144.50-02145.10] 怎么吃
[02145.10-02146.10] 他可太会吃了
[02146.10-02147.22] 他吃的那个东西
[02147.22-02148.38] 没有难吃的空间
[02148.38-02149.14] 你看他说
[02149.14-02150.10] 骨间
[02150.10-02151.30] 意有微肉
[02151.30-02152.14] 住书
[02152.14-02153.14] 然后拿出来
[02153.14-02153.38] 对吧
[02153.38-02155.02] 他说那个洋级顾中间也有肉
[02155.02-02156.58] 你一定要称热给他烙出来
[02156.58-02157.10] 你看
[02157.10-02158.22] 不称热粗
[02158.22-02159.38] 则爆水不干
[02159.38-02160.78] 如果你不称热粗的话
[02160.78-02161.42] 不太好吃
[02161.42-02162.66] 那个肉汁就不太好
[02162.66-02163.90] 说后面干嘛呢
[02164.66-02165.10] 后面叫
[02165.10-02166.30] 点不言
[02166.30-02167.18] 制微
[02167.18-02168.02] 练食之
[02168.02-02168.82] 你拿出来之后
[02168.82-02170.38] 再稍微拿眼烤一下
[02170.38-02173.86] 然后配点小酒,没随了,就吃下去,老妹味了。
[02173.86-02175.82] 这个是他在我们所说的这个。
[02176.54-02180.86] 广州的时候,广东汇州的时候,然后,他遇到的这样的一些吃食。
[02180.86-02184.58] 然后吃了,就后他就说了,爱呀,一顺洗着,我吃的太开心了,对吧。
[02184.58-02187.30] 所以他就是非常擅长去吃这种东西。
[02187.30-02189.74] 他为什么能够发现这生活当中的这些美食?
[02189.74-02192.58] 就是因为他依旧是热爱生活的这样的一个人。
[02192.58-02195.94] 这是我们能够看得出来,他一般情况之下,这样的一个,
[02195.94-02199.10] 我们所说的,他对于生活的热爱。
[02199.10-02201.48] 那我们来看一下苏时他在背变的时候
[02201.48-02204.74] 他的这样一个人生的一个静况的一个变化吧
[02204.74-02207.48] 在这里面我们来看一下他协给他弟弟的死当装
[02207.48-02210.10] 有一首是我们最熟悉的
[02210.10-02212.10] 就叫做水掉割头饼月几十一
[02212.10-02214.20] 这个点是需要同学去记忆的
[02214.20-02218.24] 因为这个内容总在考试当中考察人物和具体注作的对约
[02218.24-02220.46] 这个也是他协给弟弟的一生词
[02220.46-02222.82] 你要看一下这个死当中说的是什么呢
[02222.82-02224.76] 具体的内容不爱个去读了
[02224.76-02226.76] 同时把这句话标出在旁边
[02226.76-02228.64] 如果你记得咱不用协访
[02228.64-02232.88] 叫人有悲患离和悦有英雄原缺此事故南缺
[02232.88-02233.60] 對吧
[02233.60-02234.60] 虽然有遺憾
[02234.60-02237.48] 但愿人常久签理共产权
[02237.48-02239.48] 也是卸给他的弟弟
[02239.48-02240.80] 这是我们所说的
[02240.80-02243.48] 有关于苏士和他弟弟之间的情感
[02243.48-02248.28] 所以他和他弟弟最后的关系是特别的紧密的
[02248.28-02250.64] 比如说舞台事案之后他被典了
[02250.64-02252.56] 他被典之后的弟弟对他有多好
[02252.56-02253.92] 他弟弟也被典了
[02253.92-02255.92] 他弟当时要被典去江西做官
[02255.92-02257.84] 然后的弟弟中间各方卸票
[02257.84-02259.16] 然后大家好好照顾他哥
[02259.16-02260.76] 然后把他哥送上陆之后
[02260.76-02263.24] 然后他就写在一家老小这个苏者
[02263.24-02265.76] 然后再开始去江西去认职
[02265.76-02268.48] 然后后来他哥哥苏士死掉之后
[02268.48-02271.36] 他就死后给他哥哥手目
[02271.36-02274.76] 然后等到苏者死后就和他哥哥埋伤在块了
[02274.76-02277.48] 这是他们两个非常简秘的兄弟请异
[02277.48-02278.92] 所以从他俩的出信往来
[02278.92-02280.92] 以及这个磁当中也能够看到
[02280.92-02282.68] 他们之间没有出现的种什么
[02282.68-02283.60] 同潮卫国外
[02283.60-02285.96] 然后兄弟之间会有利益之中的这种情况
[02285.96-02287.76] 其实没有感情特别好
[02287.76-02289.56] 所以在这里面大家要注意一下
[02289.56-02291.16] 这是我们所说的有关于
[02291.86-02293.52] 这里面它的此作当中
[02293.52-02295.16] 小达记住的第一个点
[02295.16-02296.16] 卸了它地底的
[02296.16-02297.16] 那么接着来看
[02297.16-02299.16] 我刚才说了它一路被点一路吃嘛
[02299.16-02300.76] 你看它最开始被点到呢
[02300.76-02302.56] 最开始被点到是黄州
[02302.56-02305.36] 所以它去到黄州吃到黄州
[02305.36-02307.36] 它在黄州当中写了一首词
[02307.36-02308.56] 就要出到黄州
[02308.56-02310.96] 这里面需要有内容小达去记得
[02310.96-02313.36] 其实它在黄州的地方
[02313.36-02315.16] 以后湖北黄刚这些地方
[02315.16-02316.56] 大家都知道好吃的
[02316.56-02317.56] 其实也特别了多
[02317.76-02320.88] 它呢其實這一生當中最喜歡吃的是什麼呢
[02320.88-02323.92] 它呢就是在去到這個黃州之前
[02323.92-02325.68] 它就開始盤算說那邊有啥好吃的
[02325.68-02327.68] 那邊首先第一個有竹筍
[02327.68-02328.88] 對吧 竹林特委多
[02328.88-02330.84] 所以它覺得竹筍非常先認可口
[02330.84-02333.12] 然後呢它這個人又特別喜歡吃魚
[02333.12-02335.72] 所以它就盤算說當地魚也特別都不錯
[02335.72-02337.92] 所以呢它就來到黃州之後就吃
[02337.92-02339.76] 然後就開始寫了一首吃到黃州
[02339.76-02340.40] 叫做什麼
[02340.40-02344.12] 就常將肉鍋至於美好竹蓮山絕損香
