[00000.00-00002.00] 蘇上蘇頂道的第二名確實是什麼
[01102.70-01103.48] 首先第一个你看
[01103.74-01105.26] 我们搞这些政策为了选
[01106.04-01108.60] 从群众中来报群众中去嘛对吧
[01108.60-01110.64] 所以在这里你看群众就是什么点
[01110.64-01112.56] 就是出发点和落脚的
[01112.56-01115.44] 所以在体肝当中提到出发点和落脚的学生
[01115.44-01116.44] 选人命呢
[01116.44-01118.44] 因为政策就是为了人民制定的
[01118.44-01120.44] 中国梦也是为了人民的
[01120.44-01122.64] 所以在这里大家先把他记起来就叫做
[01122.64-01124.04] 根本出发点和落脚点
[01124.04-01125.56] 又或者我们经常说了
[01125.56-01126.36] 看到什么
[01126.36-01128.00] 看到政治立场啊
[01129.52-01132.44] 或者是在体肝当中看到核心立场
[01132.44-01134.04] 同时什么叫做立场
[01134.04-01134.92] 咱在马折的时候
[01134.92-01136.24] 给大家讲过
[01136.24-01137.52] 那同时没有
[01138.24-01139.04] 讲过
[01139.04-01140.04] 没有就是忘了
[01140.04-01142.34] 大家知道在政治立場和核心立場
[01142.34-01143.72] 这块什么叫做立场
[01143.72-01146.26] 立场就是站在谁那一边
[01146.26-01149.46] 你只要在咱们的实政和中特提里面
[01149.46-01150.64] 看到立场的那点
[01150.64-01152.76] 你想都不要想你不要有预同你们
[01152.76-01154.88] 大家都是国家的好人狼
[01154.88-01156.76] 都是国家的经过英雄
[01156.76-01157.16] 对吧
[01157.16-01159.48] 你必须怎么说有点激动
[01159.48-01161.56] 你必须在保证你的政治政权性
[01161.56-01162.30] 所以你看
[01162.30-01163.96] 他说看到核心立场
[01163.96-01165.52] 看到政治立场的立场
[01165.52-01166.48] 站在谁那边
[01166.48-01168.84] 立场一定是站在人民这一边的
[01168.84-01171.14] 所以在这里你看到立场在天当中
[01171.14-01172.42] 却一个和人民有关的
[01172.42-01173.18] 就OK了
[01173.18-01174.74] 所以正日立场核心立场
[01174.74-01176.52] 显然明根本出了点落脚点
[01176.52-01177.30] 显然没有关的
[01177.30-01178.44] 又或者人民是什么
[01178.44-01181.14] 人民是国家的中心
[01181.14-01181.64] 对吧
[01181.64-01182.92] 以身体这位中心
[01182.92-01186.00] 一般情况下都是强调以人民为中心
[01186.00-01187.14] 又或者看到什么
[01187.14-01188.68] 和本质有关的
[01188.68-01189.64] 本质是什么
[01189.64-01190.60] 共同富裕
[01190.60-01190.92] 对吧
[01190.92-01193.42] 那本质有关其实还是和人身有关
[01193.42-01194.94] 还是和人民有关
[01194.94-01196.74] 或者我们又看到主体
[01196.74-01197.78] 谁是国家的主体
[01197.78-01198.48] 人民
[01198.48-01200.36] 國家發展的力量完全
[01201.36-01202.72] 誰人民
[01202.72-01203.16] 對吧
[01203.16-01205.20] 所以你看到這些你就知道
[01205.20-01206.72] 當你去讀一個文件的時候
[01206.72-01207.72] 你就能夠看到
[01207.72-01209.60] 他想強調這個問題
[01209.60-01211.72] 他如果說強調強調什麼
[01211.72-01214.28] 發展為了誰跟本目的這些
[01214.28-01216.56] 那國家發展的根本目的還能為了誰
[01217.56-01218.80] 當然是為了人民
[01218.80-01219.16] 對吧
[01219.16-01221.68] 所以在這裡面出現了根本目的這個詞
[01221.68-01222.52] 也是選
[01222.52-01223.68] 可是沒有關的
[01225.00-01226.08] 大家注意一下
[01226.08-01228.90] 他不知道是不一定有会出现人民这两个字
[01228.90-01231.16] 他可能相关的还有可能是什么
[01231.16-01232.70] 民生有可能啊
[01232.70-01232.94] 对吧
[01232.94-01235.08] 所以你看到根本目的选合谁有关的
[01235.08-01237.08] 选合人民有关的
[01237.08-01238.96] 所以在这里面大家一定要知道
[01238.96-01240.28] 像这样的自由很多
[01240.28-01241.56] 你把握住他的这个脯记
[01241.56-01242.88] 其实在很多考试的时候
[01242.88-01244.00] 他就不难选了
[01244.00-01245.60] 这个就是我们所说的
[01245.60-01247.44] 中国梦本制的第三个方面
[01247.44-01249.08] 就叫做人民幸福
[01249.08-01251.28] 但大家在前面学
[01251.28-01253.08] 维吾使官的时候其实有说到过
[01253.08-01255.52] 就是人民是主体是创造者
[01255.52-01257.80] 无论哪个人哪一部分人的梦啊
[01257.80-01258.88] 他都是我们所说
[01258.88-01260.84] 这个国家中国梦的一个组成部分
[01260.84-01262.32] 不然来也没有看过最开始
[01262.32-01263.60] 在中国梦体出来的时候
[01263.60-01266.00] 他搞了一个叫做春孕说班
[01266.00-01267.64] 然后那个春孕说班呢
[01267.64-01270.44] 他当时设在审扬火事站
[01270.44-01272.28] 然后他那个春孕说班
[01272.28-01273.56] 他那个说班是咋回事呢
[01273.56-01275.76] 就是大家知道唱吧吧
[01275.76-01277.12] 我来咱们去商场玩里面
[01277.12-01278.36] 不是有唱歌的吗
[01278.36-01279.56] 然后有那个唱吧
[01279.56-01281.08] 然后他那个春孕说班那个停子
[01281.08-01283.32] 和唱班的那个庭子搞得可相
[01283.32-01284.56] 然后就整了一个小庭
[01284.56-01285.68] 然后这个门
[01285.68-01286.72] 然后里面呢
[01286.72-01288.64] 然后这个地方掛了个上头
[01288.64-01290.36] 然后这个地方你进去之后
[01290.36-01291.92] 他这个地方就有一个卖
[01291.92-01294.00] 然后你就对着这个卖就可以说
[01294.00-01297.28] 然后当时那个中央的那个央视的那个记者
[01297.28-01298.44] 然后走到那去采访
[01298.44-01300.32] 他招感到那个时间就是村运
[01300.32-01301.68] 大家都看到人那么多
[01301.68-01302.60] 然后都几包了
[01302.60-01303.80] 然后大家就行色从从的
[01303.80-01305.00] 然后他就兰现就问
[01305.00-01306.16] 说你好
[01306.16-01307.20] 然后我是央视的记者
[01307.20-01308.20] 可以问你几个问题吗
[01308.20-01309.28] 有的任何配子
[01309.28-01310.88] 然后他有的人就是觉得
[01311.08-01313.48] 我这还赶车呢就没有办法给他回答问题
[01313.60-01316.32] 但是最终也是采了很多人的这样的一个说法
[01316.32-01318.88] 然后当时就跟其中的人说说
[01318.88-01320.76] 我想知道你有什么样的梦想
[01320.76-01323.68] 就是比如说你想要做什么
[01323.68-01324.88] 会你后想做什么
[01324.88-01327.48] 他采访的人群犯的面气还是挺逛的
[01327.60-01331.28] 他采访的那些人里面有进层打工的农面
[01331.28-01333.20] 然后他还有学生
[01333.20-01336.68] 还有出租车出租车出租车
[01336.68-01339.36] 还有处租反正还有司机师傅
[01339.36-01340.52] 然后才访了这些人
[01340.52-01341.52] 然后他说
[01341.52-01342.68] 他当他问出来说
[01342.68-01344.24] 你以后的梦想是什么的时候
[01344.24-01346.28] 当时那些人其实都不太好一次回答
[01346.28-01347.72] 这是稍微有点休气
[01347.72-01349.56] 只让我在京头前面去说这样
[01349.56-01350.72] 是我有点不好意思
[01350.72-01351.40] 然后他读问
[01351.40-01353.16] 他发现大家没有看他直接说的时候
[01353.16-01353.92] 他说你看
[01353.92-01355.92] 那边我们设了一个说八听
[01355.92-01356.96] 你有什么想说的
[01356.96-01358.44] 你又可以对着是让头去说
[01358.44-01360.88] 大家进入到空间当中去
[01360.88-01362.04] 当中为没有人的时候
[01362.04-01364.76] 然后大家就开查出自己的梦想
[01364.76-01369.32] 老当时学生就说说我的梦想的就是我希望明年
[01369.32-01372.00] 我能考上清滑因为他是考验就生了
[01372.00-01374.84] 然后当时采访到农民工作夫妻的时候
[01374.84-01378.44] 他俩就对的那个推薦说8里的那个停子里面是要投出说
[01378.44-01379.84] 他说我的梦想很简单
[01379.84-01382.96] 我希望以后能够在城市里面每套房子啊
[01382.96-01384.68] 过上和城市里让的生活
[01384.68-01387.32] 然后那个出租车司机也想法很简单
[01387.32-01389.36] 他说我想法太简单了
[01389.36-01392.20] 对吧我就希望早上起来的时候能够早早的出车
[01392.20-01394.88] 然后晚上的时候早早的收车一天平平啊
[01394.88-01396.56] 跟大家一块过的年就行了
[01396.56-01398.16] 所以当时这些想法
[01398.16-01399.28] 然后就汇聚成了
[01399.28-01401.92] 当时在采访当中的这样一个片段和镜头
[01401.92-01403.52] 然后它里面采访的很多
[01403.52-01404.80] 它没有逐渞轮放
[01404.80-01406.64] 但是当那个记录片结束之后
[01406.64-01408.08] 就是结果的一段话
[01408.08-01410.04] 让我当时觉得特别的感动
[01410.04-01412.16] 当时那个话当中就说的是什么呢
[01412.16-01414.80] 他说人民群众对美好生活的向往
[01414.80-01416.84] 对人生出彩机会的可望
[01416.84-01418.52] 对梦想成真的追求
[01418.52-01421.72] 运行这无情的奋斗前例和创造的活力
[01421.72-01423.56] 这就是我们所说的中国梦
[01423.56-01427.40] 所以我们会发现所谓的中国梦和中华民族为大附性
[01427.40-01429.12] 他不单单只是说说而已
[01429.12-01431.40] 他不单单只是一个什么口号
[01431.40-01433.56] 而对我们来说他在最为本之上
[01433.56-01435.08] 其实就是想改变什么
[01435.08-01439.28] 改变这个国家改变这个国家内部的老百姓的生活
[01439.28-01441.88] 所以大家就知道在这里中国梦的本质
[01441.88-01446.28] 叫国家父强民族政兴人民幸福
[01446.28-01448.52] 而人民幸福它的地位大家知道
[01448.52-01451.32] 这是我们所说的中国梦的本质
[01451.32-01454.80] 那我们说了中国梦见要实现加国情怀
[01454.80-01457.88] 对吧 既有国家和民族有人民生活的占名之求
[01457.88-01459.84] 那如何能实现中国梦呢?
[01461.04-01463.72] 这里面就实现中国梦的土境
[01463.72-01466.04] 大家知道 中国梦的土境
[01466.04-01468.20] 它其实是有三个点的
[01468.20-01470.00] 这三个点的 它就能够品面去
[01470.00-01472.00] 第一个呢 就能走中国道路
[01474.20-01475.64] 走中国道路
[01476.24-01478.96] 第二个呢 是红阳 中国精神
[01481.32-01485.26] 第3 一个呢?
[01485.26-01487.46] 就是您军中国力量
[01492.34-01494.06] 这个地方考试的时候会考什么?
[01494.06-01494.90] 大家注意呀
[01494.90-01497.70] 这三个内容有的时候考试的时候会考
[01497.70-01499.24] 我们所说的对应
[01499.24-01501.44] 走中国道路中国的道路
[01501.44-01502.82] 中国只有几条路
[01502.82-01503.78] 中国只有一条路
[01503.78-01504.62] 这条路就是什么?
[01504.62-01505.78] 社会主义道路
[01505.78-01506.98] 所以走中国的道路
[01506.98-01508.58] 墙掉就是走社会主义道路
[01508.58-01510.06] 第二红阳中国经试
[01510.06-01511.60] 中國精神是什麼精神
[01511.60-01513.14] 就是以我們所說的什麼
[01513.14-01515.94] 以愛國主義為核心的民主精神
[01518.38-01521.16] 愛國主義為核心的
[01522.60-01524.66] 民主精神我不寫了可以吧
[01524.66-01526.70] 還有一個就是一改革
[01526.70-01529.52] 創新為核心的時代精神
[01530.80-01534.38] 一改革創新為核心的時代精神
[01534.38-01535.28] 我也不寫了
[01535.28-01536.54] 在這裡面經常會考
[01536.54-01537.70] 在現在我兒也會考察
[01537.70-01539.24] 愛國主義的核心是誰
[01539.24-01541.28] 然后时代精神核心是谁
[01541.28-01543.32] 民族精神核心时代精神核心
[01543.32-01544.92] 在这里大家能够去吴芬
[01544.92-01547.24] 这时第二个叫红阳中国精神
[01547.24-01548.92] 因为精神它就是一个女带
[01548.92-01550.20] 大家都知道其实有了精神
[01550.20-01551.32] 其实就有了干净
[01551.32-01553.16] 所以它说了小左好
[01553.16-01554.84] 我们所说的实现中方民族的
[01554.84-01556.40] 父亲第一个方向不能骗
[01556.40-01557.80] 中国走的唯一的道路
[01557.80-01559.72] 就是咱们前面所说的社会主义道路
[01559.72-01561.40] 第二个小左好这条路
[01561.40-01563.00] 你必须还有干净的十足
[01563.00-01565.16] 这里面提到的就叫做中国精神
[01565.16-01568.84] 在这里面去中国精神它的问题的内涵是什么
[01568.84-01571.14] 那第3個就是您具有中國力量
[01571.14-01574.98] 那我在這不說大家應該知道中國力量值得是什麼力量
[01576.26-01578.82] 就來自於誰的力量來自於人民的力量
[01578.82-01582.66] 他在原本當中的表數叫全國各族人民大團結的力量
[01585.22-01590.10] 叫全國各族人民大團結的力量
[01590.60-01592.90] 但是我如果不說全國各族人民大團結
[01592.90-01594.52] 你在這裡面能抓住關鍵子啊
[01594.52-01595.46] 力量來自於誰
[01595.46-01596.74] 我剛才說了力量圓權
[01596.74-01598.78] 来自于人民
[01598.78-01601.60] 只要有人民就没有我们做不成的事
[01601.60-01604.54] 在庫在哪只要是有人民参与到其中
[01604.54-01605.96] 我们都会发现这不是哪事
[01605.96-01608.00] 所以为什么一直要强调说我们能
[01608.00-01610.30] 希望能够把人民的力量团结起来
[01610.30-01612.86] 我们为什么在考试当中会考中特
[01612.86-01616.46] 希望我们能够从蒙州成度上去理解这个国家
[01616.46-01618.24] 从而去选择相信这个国家
[01618.24-01621.32] 因为每一个参与到考试当中的我们
[01621.32-01624.64] 其实都是这个国家未来的建设者和决策者
[01624.64-01626.18] 我们的力量就很重要
[01626.18-01627.46] 老师你就在这儿车吧
[01627.46-01628.26] 说我有这么重要
[01628.26-01630.78] 你要相信你真的是有这么重要的
[01630.78-01632.46] 你看像我们所说的
[01632.46-01633.54] 这个拧据中国力量
[01633.54-01635.70] 这个事其实在网上有很多人讨论
[01635.70-01636.94] 讨论最多的
[01636.94-01638.54] 他们经常说中国人
[01638.54-01640.18] 其实喜欢乡爱相似的
[01640.18-01641.38] 在何必年代
[01641.38-01642.38] 中国人的乡爱相似
[01642.38-01643.14] 就体现在
[01643.14-01645.50] 如果说大家出现了一个网络时间的话
[01645.50-01647.02] 大家可能就是无心的
[01647.02-01648.38] 在网上各种编论
[01648.38-01649.86] 可能大家的意见不一致
[01649.86-01652.10] 但是一旦在我们所说的困难
[01652.10-01653.38] 回微难来领之间
[01653.38-01654.94] 其实我们就能看到中国人
[01654.94-01656.58] 團結在一塊所能爆發出來
[01656.58-01658.74] 所能拚就出來的這樣力量
[01658.74-01663.02] 從最開始的說2012年年底到2020年之後
[01663.02-01664.38] 我們所說的那種疫情
[01664.38-01665.06] 那種情況之下
[01665.06-01666.02] 單一應該還記得
[01666.02-01668.42] 我們為了和死神賽跑
[01668.42-01670.06] 當時提到的就是10天
[01670.06-01671.22] 建造了火神山醫院
[01671.22-01673.02] 15天建造了雷神山醫院
[01673.02-01676.10] 當時的速度有多快是24小時就要出途指
[01676.10-01677.22] 出了途指之後
[01677.22-01678.58] 攻地當天就要開工
[01678.58-01680.94] 當時所有的工人累了就在原地休息
[01680.94-01682.54] 沒有固定的吃飯的點
[01682.54-01683.94] 無數個建設者
[01683.94-01685.94] 在整个春节
[01685.94-01687.14] 我们所说的什么
[01687.14-01688.14] 都没有假期
[01688.14-01689.58] 放弃了和家人的团局
[01689.58-01691.50] 然后从七点开始工作
[01691.50-01692.78] 然后一直工作到零层
[01692.78-01693.94] 猜有了10天
[01693.94-01694.90] 火神山15天
[01694.90-01696.54] 类似山一月的这样的一个
[01696.54-01697.74] 我们所说的奇迹
[01697.74-01699.54] 甚至包括我们所看到的
[01699.54-01701.34] 近一年我们一直都在去调调的
[01701.34-01702.62] 就是当年的
[01702.62-01704.14] 问穿地震的这样的时候
[01704.14-01705.26] 08年问穿地震
[01705.26-01706.94] 我们都知道那是特大性地震
[01706.94-01708.14] 有很多的人
[01708.14-01709.98] 就在这一次的地震当中上
[01709.98-01710.62] 上升了
[01710.62-01713.38] 当时的震中就是在四川
[01713.38-01715.90] 因为他远离我们所说的经济金融中系
[01715.90-01717.42] 司法又是西南富帝
[01717.42-01719.34] 所以他的整个我们所说的
[01719.34-01721.22] 当时就远的难度也很大
[01721.22-01722.94] 当时军队20分钟开始动员
[01722.94-01725.42] 两个小时之内飞机就到了灾区
[01725.42-01726.74] 然后到了灾区之后
[01727.86-01730.30] 三天之内就覆盖了所有的
[01730.30-01732.74] 一千多个受灾了这样的一个相证
[01732.74-01736.26] 然后集体就出了将近两千万的张的一个灾名
[01736.26-01738.98] 当时所有的人民群众都猜得动员当中去了
[01738.98-01740.58] 我不知道大家还记彼的那一年
[01740.58-01742.14] 08年文川地这个时候
[01742.14-01743.38] 各地去看军款
[01743.38-01745.02] 虽然我那个时候还在上学
[01745.02-01746.34] 但是老师也说
[01746.34-01748.42] 古力大来去捐款
[01748.42-01748.94] 对吧
[01748.94-01751.10] 我们那个时候老家在那个农村上
[01751.10-01752.58] 然后村上也看着去
[01752.58-01755.26] 我们所说的去收集军款的这样的一个事情
[01755.26-01756.86] 所以08年之后
[01756.86-01757.86] 在那一年之后
[01757.86-01759.90] 我们真正在一次见识到了
[01759.90-01762.14] 中国人民团体在一块的这样一个力量
[01762.14-01763.58] 所以在08年的时候
[01763.58-01764.98] 感动中国人物讲的时候
[01764.98-01767.10] 从来都没有办过一个特别的讲象
[01767.10-01768.82] 但是在那一年的时候
[01768.82-01770.58] 在感动中国人物讲上
[01770.58-01771.98] 办了一个特别的讲象
[01771.98-01775.06] 那个讲乡呢就是先给当时所有的中国人的
[01775.06-01777.86] 在那个讲乡的班长磁当中有一句话
[01777.86-01782.66] 就是当时的文家宝总练还是我们所说的回忆套统治说到的一句话
[01782.66-01786.46] 叫做任何困难都难不到英雄的中国人民
[01786.46-01791.06] 所以我们能够发现我们说了想要实现中华民族给大家服行的中国梦
[01791.06-01793.22] 那真的就要去动员起来什么
[01793.22-01794.10] 人民的力量
[01794.10-01795.78] 只要是人民团结在一块
[01795.78-01798.18] 无论是我们所看到的这种困苦
[01798.18-01800.90] 还是想要实现我们所说的这样的一个梦想
[01800.90-01803.30] 其实我们都能怎么样 都能实现
[01803.30-01804.54] 这个就是人民的力量
[01804.54-01805.98] 所以国家为什么说
[01805.98-01808.10] 一遍一遍的强调人民是中心
[01808.10-01810.18] 我们要坚持人民是出发点和乐调点
[01810.18-01812.30] 我们所有的政策在本质上
[01812.30-01813.94] 它的制定都是为了人民
[01813.94-01814.98] 本质上就在这
[01814.98-01815.94] 所以大家知道
[01815.94-01819.54] 这是我们所说的实现中华民族伟大夫性的中国梦
[01819.54-01820.74] 所以在中国梦当中
[01820.74-01822.26] 它目前如果再去考的话
[01822.26-01824.46] 它如果单独拿出来考
[01824.46-01826.94] 这种单独的瓦控的形式比较少
[01826.94-01827.74] 它如果考的话
[01827.74-01829.34] 它可能会考一个综合性的题目
[01829.34-01831.74] 就是以下关于实现中华民族里大夫星
[01831.74-01833.70] 说法正确或者是错误的事
[01833.70-01835.46] 那这里面同学要注意一下
[01835.46-01837.86] 这是我们要给大家讲的
[01837.86-01839.06] 第一个问题
[01839.06-01840.18] 就是现代化当中
[01840.18-01842.48] 第一个点就是实现中华民族的
[01842.48-01843.58] 伟大夫星
[01844.90-01846.18] 我们接着看
[01846.18-01848.22] 咱们前面给大家讲完了
[01848.46-01850.34] 坚持和发展中国特色
[01850.34-01851.62] 社会主义当中的
[01851.62-01853.34] 总任务里面的后半部分
[01853.34-01855.26] 就实现中华民族的伟大夫星
[01855.26-01856.42] 但是在总任务当中
[01856.42-01857.70] 咱们说了前面也有
[01857.70-01859.18] 叫做实现社会主义
[01859.18-01860.06] 現在話
[01860.06-01861.00] 那麼講完了
[01861.00-01862.40] 復興之後我們來看
[01862.40-01863.10] 有關於現在
[01863.10-01864.08] 建設的
[01864.08-01865.46] 它的一些具體的內容
[01865.46-01865.90] 在現在
[01865.90-01866.74] 建設當中
[01866.74-01867.18] 在這裡
[01867.18-01868.14] 我們前面給大家
[01868.14-01868.90] 其實做過這個
[01868.90-01869.82] 逻際的鋪電
[01869.82-01870.30] 我們說了
[01870.30-01871.74] 第一個我們要能夠去明確
[01871.74-01872.54] 就是現在
[01872.54-01874.22] 它到底是怎麼實現的
[01874.22-01874.90] 我們提到了
[01874.90-01875.82] 叫做兩步走的
[01875.82-01876.78] 戰略安排
[01876.78-01877.58] 第二個就是
[01877.58-01878.58] 在二十大當中
[01878.58-01879.78] 明確的提到了
[01879.78-01881.98] 或者叫售刺產數了
[01881.98-01883.12] 中國是現在
[01883.12-01885.14] 它到底是怎麼樣
[01885.14-01886.06] 這裡沒有關於
[01886.06-01887.02] 現在化的內容
[01887.02-01888.06] 其實在各地區
[01888.06-01888.82] 考試當中
[01888.82-01891.82] 对于它的重视程度目前还是不太一样
[01891.82-01895.62] 在整个新的话考察过程当中的多元性也比较强
[01895.62-01897.62] 你比如说在21年9月份
[01897.62-01901.94] 在级南连考视级南的连考视单位当中考为了提
[01901.94-01904.18] 当时考得说四个新单话的内容
[01904.18-01907.06] 说四个新单话指的是工业新单话
[01907.06-01910.50] 农业新的博房新的话以及科学技术新单话
[01910.50-01914.98] 他说这是1964年在三届人大会议上提出的
[01914.98-01916.42] 谁来提出的
[01916.42-01918.82] 那你看那个时候如果从21年来看的话
[01918.82-01920.10] 他考现的话的时候
[01920.10-01922.78] 考了现代化的最开始的体出
[01922.78-01923.26] 对吧
[01923.26-01925.06] 我们说了从最开始的工业
[01925.06-01926.50] 农业国防科技
[01926.50-01927.94] 到了今天的我们所说的
[01927.94-01928.98] 现代化叫什么
[01928.98-01930.66] 宫宫成性
[01930.66-01931.62] 就是工业
[01931.62-01933.14] 农业成事
[01933.14-01934.38] 还有信息化的问题
[01934.38-01934.98] 对吧
[01934.98-01936.42] 应该叫成政现代化
[01936.42-01937.58] 不能是成事
[01937.58-01939.34] 所以首先在现代化本身
[01939.34-01941.06] 他的具体内含当中
[01941.06-01942.98] 同时在这一定要稍微有一个概念
[01942.98-01943.70] 就是整个
[01943.70-01945.86] 我们现在所提到的现代化的建设
[01945.86-01948.90] 它其实是一个动态变化和发展的这样的一个过程
[01948.90-01951.74] 这个点大家是首先第一个要能够去明确的
[01951.74-01953.66] 但是我们在这里也知道
[01953.66-01955.30] 我们说现在发这个概念
[01955.30-01957.26] 它其实不是中国所渡游的
[01957.26-01959.46] 任何一个国家在发展过程当转
[01959.46-01961.94] 它要经历农业经历工业
[01961.94-01963.62] 然后最后在实现我们所说的
[01963.62-01964.34] 现在话介射
[01964.34-01966.26] 所有的国家都在追求什么
[01966.26-01967.10] 现在话
[01967.10-01970.10] 而我们的现在话和其他国家的都不一样
[01970.10-01971.46] 你看其他的国家
[01972.02-01973.30] 搞现在话叫什么
[01973.30-01974.50] 这是有些后社区的
[01974.50-01975.78] 這是他先告農業化
[01975.78-01976.82] 然後在搞工業化
[01976.82-01978.38] 然後再搞成政現代化
[01978.38-01980.66] 或者是我們所說的廣義上的現代化
[01980.66-01982.22] 它是有一個逻辑順序的
[01982.22-01985.34] 但是西方的這種時間上的這種順序
[01985.34-01986.58] 它其實是被允許的
[01986.58-01988.98] 因為他們整體上發展的速度就是
[01988.98-01990.70] 相對來說是比較早的
[01990.70-01992.10] 但是我們反觀中國
[01992.10-01993.82] 中國開啟現代化建設
[01993.82-01996.46] 其實已經比其他國家晚了很多年了
[01996.46-01998.70] 如果我們在向其他西方國家一樣說
[01998.70-02000.34] 先告農業化在搞工業化
[02000.34-02001.46] 然後再搞我們所說的
[02001.46-02002.74] 現在的現代化建設
[02002.74-02003.90] 來不來的幾呢
[02003.90-02005.10] 本身上是来不及的
[02005.10-02006.90] 如果说其他国家的现在化呢
[02006.90-02009.14] 叫做川联事的现在化的话
[02009.14-02011.94] 就是先怎么样后怎么样
[02011.94-02013.10] 那中国是的现在化
[02013.10-02014.94] 就一定是要同时发展的
[02014.94-02016.06] 所以我们的现在化呢
[02016.06-02017.58] 叫做并联事的现在化
[02017.58-02019.18] 这是我们一块稿
[02019.18-02020.46] 所以我们会发现
[02020.46-02021.50] 中国的现在化
[02021.50-02024.94] 既有世界现在化的共同的特征
[02024.94-02026.26] 也有我们所说的什么
[02026.26-02027.18] 也有我们中国
[02027.18-02028.62] 现在化自己的一个特征
[02028.62-02031.78] 其实它就是我们所说的特殊性的一个体现
[02031.78-02033.34] 所以我们把这种现在化在
[02033.34-02036.86] 20大当中称着也叫做中国市鲜的话
[02036.86-02038.52] 所以中国是现在发这个子
[02038.52-02040.90] 同时可以在旁边去标注一个两星
[02040.90-02042.54] 在旁边写上20大
[02042.54-02045.14] 这个地方是一定要连通20大的
[02045.14-02047.46] 中国是现在发系统去学习的
[02047.46-02049.54] 这个点我现在这里给它每一个服务
[02050.26-02053.22] 中国是现在发这个点咱们先按下不表
[02053.22-02055.26] 咱们放在20大当中给大家去讲
[02055.26-02056.98] 我们回过头来来看一看
[02056.98-02058.98] 我们说了现在发它对于中国的建设
[02058.98-02061.22] 有很大的这样的一个帮助
[02061.22-02062.94] 我们怎么实现现在发呢
[02062.94-02064.58] 你看在書上有一句話
[02064.58-02067.46] 他說在前面建成小康社會的基礎之上
[02067.46-02070.58] 分兩步走在分兩步走
[02070.58-02073.54] 在本世紀中夜建成社會主義性的和強國
[02073.54-02076.82] 也是我們今天提到的現代化的建設
[02076.82-02080.10] 他其實按照戰略安排兩步走的
[02080.10-02082.82] 這個老五百的稱為叫做新兩步
[02082.82-02085.34] 有空選在這個地方可能就會有兩摸
[02085.34-02086.18] 烤老師
[02086.18-02087.98] 我聽過老三步
[02087.98-02090.02] 我也聽過新三步
[02090.02-02092.26] 這個地方又出現了新兩步
[02092.26-02094.54] 他们之间到底是一个什么样的关系
[02094.54-02096.50] 我在这里给大家画了一个时间图
[02096.50-02098.46] 咱们一点点来给它树理清楚
[02098.46-02099.82] 当你给它树理清楚之后
[02099.82-02102.50] 你就知道中中国的整个新的话
[02102.50-02104.30] 进行成它的建设
[02104.30-02106.18] 是多么的北大的一件事
[02106.18-02107.50] 首先我们来看一下
[02107.50-02110.38] 有关于现在画战略安排的这样的一个步骤
[02110.38-02112.74] 我们先来看一下最开始的时候
[02113.26-02114.58] 听说我们所说的
[02114.58-02115.50] 新的话建设
[02115.50-02116.70] 再改个开放之后
[02116.70-02118.18] 首先提出来的其实是谁
[02118.18-02118.94] 是灯药品
[02118.94-02120.70] 我说的是改个开放之后
[02120.70-02122.78] 而不是說現在的話這個詞首書提出
[02122.78-02123.62] 代表注意
[02123.62-02124.94] 那我們就來看一下
[02124.94-02126.78] 在改革開放之後咱們那個現在
[02126.78-02128.10] 發揭神是怎麼走的
[02128.10-02129.66] 我們把最開始的時候
[02129.66-02131.34] 從動好平那個時代
[02131.34-02132.94] 所提到的現在話
[02132.94-02134.30] 我們把它稱之為叫做
[02134.30-02136.22] 老三部戰略安排
[02136.22-02137.94] 老三部是拿老三部
[02137.94-02139.66] 比如說在到平野野時期
[02139.66-02141.18] 到平野野當時提出了說
[02141.18-02143.42] 中國未來的發展要分三部走
[02143.42-02144.22] 那三部
[02144.22-02148.06] 第一部是從1981年到1990年
[02148.06-02149.62] 多少時間10年
[02149.62-02150.66] 那个时候他说了
[02150.66-02153.26] 我们要用10年的时间来本性吃饱饭
[02153.26-02154.86] 所以你看在那个时候他说了
[02154.86-02157.34] 用10年的时间从1981年
[02157.34-02159.50] 一直到1990年
[02159.50-02162.30] 我们说用10年的写时间解决老百姓的什么问题
[02163.18-02165.06] 解决老百姓的文宝问题
[02165.06-02166.46] 老百姓能够吃饱饭
[02166.46-02168.38] 老百姓吃饱饭接下来要怎么办呢
[02168.38-02169.54] 说不僅要拿吃饱饭
[02169.54-02170.86] 让大家日子过得更好
[02170.86-02172.86] 所以我们在用10年的时间
[02172.86-02175.74] 也就是从1990年到20世纪末
[02175.74-02178.06] 20世纪末不就是21世纪初吗
[02178.06-02180.42] 也大概就是2000年左右這個時間
[02180.42-02182.42] 在用10年的時間幹嘛呢
[02182.42-02185.54] 在用10年的時間上經濟發展得在好一些
[02185.54-02187.90] 總體達到什麼小康水平
[02187.90-02191.62] 所以這個時候它提出來的就是總體小康
[02194.86-02195.98] 總體小康
[02195.98-02197.26] 然後剩下總辦
[02197.26-02197.98] 剩下的時候
[02197.98-02199.10] 他老人家就說了
[02199.10-02200.74] 說那我們從二十世紀末
[02200.74-02201.58] 一直到什麼呢
[02201.58-02203.30] 一直到二十一世紀的終業
[02203.30-02204.62] 也就是我們所說的
[02204.62-02206.42] 二零二五年左右
[02206.42-02208.66] 用这50年的国时间干嘛呢
[02208.66-02209.60] 你看他提到了
[02209.60-02211.42] 说总产值在翻两番
