[00000.00-00004.48] 我们说了唐师送子还有什么 还有缘曲
[00004.48-00007.76] 那既然我们来看一下有关于原曲的内容
[01162.80-01164.20] 我們來看一下是哪四個
[01164.20-01165.80] 第一個就是羅冠中
[01165.80-01166.84] 三國演藝
[01166.84-01167.72] 同僚主一下
[01167.72-01168.72] 大家都熟悉了
[01168.72-01170.56] 我就不給大家去製作了
[01170.56-01172.28] 這裡面的細節就在於大家注意
[01172.28-01176.28] 它是古代章回替小说的开山之作
[01176.28-01178.88] 就是现在大家知道第一章第一回替几回到
[01178.88-01181.84] 章回替小说的开山之作就是三个演义
[01181.84-01183.52] 那它是一个历史演义小说
[01183.52-01186.36] 对吧 你看在里面留卫草草等等这些
[01186.36-01188.28] 我们再讲东汉时期的时候
[01188.28-01189.68] 去给大家讲过这些内容
[01189.68-01191.76] 所以次大提出当中的第一个
[01191.76-01194.20] 大家知道是三个演义
[01194.20-01195.64] 第二个就是水古转
[01195.64-01198.08] 水古转的作者大家知道是湿内安
[01198.08-01201.48] 那它描写的是北松莫年送江起一的故事
[01201.48-01203.08] 所以在这里我就能看到
[01203.08-01204.24] 送江它的一个体义
[01204.24-01205.84] 我印象最深刻的这里亏
[01205.84-01208.12] 哥哥 哥哥 总统哥哥的里亏
[01208.12-01209.52] 这个就是谁鼓劝
[01209.52-01211.00] 大家也都知道结局不太好
[01211.00-01211.40] 对吧
[01211.40-01212.76] 所以在这里面大家要注意一下
[01212.76-01214.12] 这第二个是鼓劝
[01214.12-01215.32] 第三个修记
[01215.32-01216.28] 作者无成人
[01216.28-01217.68] 注意这是名代小说
[01217.68-01218.48] 不是清代啊
[01218.48-01219.32] 大家一定要知道
[01219.32-01220.88] 作者是无成人
[01220.88-01221.56] 那这个呢
[01221.56-01223.32] 就是办碎我们同年一生的
[01223.32-01224.52] 我的男神
[01225.36-01226.32] 后格
[01226.32-01227.52] 所以在这里你看
[01227.52-01228.88] 说修记大家也知道
[01228.88-01230.28] 是浪漫主义神话
[01230.28-01233.08] 大注意啊 这里面是浪漫主义 神话
[01233.08-01237.58] 它讲的是平森到西天拜佛球星的这样的一个故事
[01237.58-01240.68] 其实就是对于风间理交的这样的一种突破
[01240.68-01242.08] 所以在这里我们在考试的时候
[01242.08-01243.78] 认为它是浪漫主义神话是什么
[01243.78-01245.78] 神罗尝片张回小说
[01245.78-01248.28] 讲的是神而不是腰鬼
[01248.28-01251.58] 腰鬼的故事我们会在聊这一道中给大家去说
[01251.58-01253.38] 那像前三个大都太熟悉了
[01253.38-01255.38] 我在这不给大家去多过多最树了
[01255.38-01257.18] 明确 四大起说
[01257.18-01258.68] 但前三个都是什么代
[01258.68-01262.26] 前三个大注意下都是我们所说的名带小说
[01262.26-01263.40] 而红楼莫是什么的
[01263.40-01264.82] 红楼莫是清带小说
[01264.82-01268.42] 他很容易考察一个我们所说的一个朝代的对应
[01268.42-01269.76] 作者和人物啊
[01269.76-01271.42] 这个大家必须要记住
[01271.42-01273.28] 好吧因为我们在考试当中
[01273.28-01275.58] 这对我们来说真的是长时了
[01275.58-01277.10] 所以不需要给大家去过多讲
[01277.10-01279.64] 所以你这期买在这里要知道什么人写了什么书
[01279.64-01280.18] 好吧
[01280.18-01281.74] 那这是我们所说的叫做
[01281.74-01282.84] 斯大骑书
[01282.84-01286.08] 骑书当中最后一个大注意下叫做精平美
[01286.08-01288.90] 金平美在这里面有几个考点确实是要注意
[01288.90-01290.18] 第一个同标主一下
[01290.18-01292.74] 金平美取自三个人的名字
[01292.74-01293.76] 大家要明确
[01293.76-01296.82] 你不要一条金平面就想到一些不太好的这些
[01296.82-01300.42] 但是金平美他在文学上的一个意义
[01300.42-01301.18] 其实非常高
[01301.18-01302.72] 因为他碰击了那种
[01302.72-01304.64] 全建色交易的这样的一个
[01304.64-01306.30] 风建里交的一个现实
[01306.30-01307.84] 所以他写的相片说很深刻
[01308.86-01310.98] 金平美大家注意一下主要是三个人
[01310.98-01312.70] 大家注意一下这三个人的第一个
[01312.70-01313.72] 他也都知道
[01313.72-01315.78] 就是和伯伟松沙调的那个时候
[01315.78-01316.70] 判斤联
[01318.90-01319.70] 第二个呢
[01319.70-01321.42] 平纳值得是利平
[01322.70-01324.94] 第三个美纳值得是我们所说的什么
[01324.94-01326.02] 旁村美
[01326.02-01327.06] 所以在这里面
[01327.06-01329.62] 他说金平美描写的是哪几个人
[01329.62-01330.46] 巴拉拉的
[01330.46-01331.38] 考卫与选项
[01331.38-01332.66] 大家知道是这三个人
[01332.66-01334.06] 取贼三个人的名字
[01334.06-01335.22] 第二他都坐着
[01335.22-01336.38] 叫兰零笑小声
[01336.38-01338.06] 咱也不知道他真名叫什么
[01338.06-01339.42] 大家知道一下就行了
[01339.42-01340.42] 第二个呢就是
[01340.42-01341.18] 大家要名去
[01341.18-01343.30] 他是中国古代文学史上
[01343.30-01345.22] 第一步文人独立
[01345.22-01347.90] 最創作的,我们所说的,常配小说
[01347.90-01350.34] 这个就是金聘为当中小达注意的
[01350.34-01354.94] 具体内容,我为不以大家在这里做过多的最数了
[01354.94-01358.34] 这是斯拉奇书,那他也发现了斯拉奇书最后一个是什么?
[01358.34-01361.06] 金屏美,而斯拉明珠的最后一个是什么?
[01361.06-01363.70] 斯拉明珠的最后一个是红楼梦,
[01363.70-01367.22] 这是斯拉明珠和斯拉奇书的区别,大家一定要注意
[01367.22-01372.34] 这是明代的斯拉奇书,明代的其他小说,在这里还包括三言二拍
[01372.34-01375.16] 第一个考察点,大家就知道三眼是哪三眼
[01375.32-01377.22] 二拍是哪二拍那来看一下
[01377.22-01379.90] 三眼坐着跨下 逢梦楼
[01379.90-01382.76] 逢梦楼的三眼有巨示明眼
[01382.76-01385.56] 僅是通眼和竞示形式 行示行演
[01385.56-01387.76] 要知道这三眼是哪三眼
[01387.76-01390.74] 这三眼分别写的就是爱情故事
[01390.74-01393.74] 协写爱情故事 协写商人和守公写者
[01393.74-01395.38] 接陆一下社会的黑暗
[01395.38-01397.36] 在这三眼二拍当中
[01397.36-01399.54] 我们所说的这个三眼里面
[01399.54-01402.68] 最维点形的故事就是这个故事就是
[01402.68-01404.58] 杜石鳥路城白宝箱
[01404.58-01405.86] 你可以把他标准在旁边
[01407.18-01412.66] 现在旁边就是杜石鳥路城
[01414.82-01416.78] 白宝箱这是一个电影
[01416.78-01418.42] 不知道他没有看我谁眼的呢
[01418.42-01420.02] 这是李嘉新
[01420.02-01422.50] 他演的电影不知道杜石鳥
[01422.50-01423.06] 是白宝箱
[01423.06-01424.38] 这李嘉新很无验组
[01424.38-01425.54] 不是国民男神吗
[01425.54-01425.90] 对吧
[01425.90-01427.98] 李嘉新学乎国务验组演为一个电影
[01427.98-01430.30] 这个电人叫花虎肚石娘
[01430.30-01433.58] 里面讲的杜石娘和李甲之间的故事
[01433.58-01436.26] 杜石娘他原来是清罗的花虎
[01436.26-01438.82] 他一直想密德两人
[01438.82-01441.66] 后来他就遇到了一个人叫李甲
[01441.66-01444.98] 也是当时在花虎肚石娘当中五岸组办的角色
[01444.98-01446.78] 李甲简直是个扎男的
[01446.78-01450.02] 后来就是李甲他的父母家里
[01450.02-01451.54] 李甲就担心一个问题
[01451.54-01453.90] 就是因为杜石娘的身世
[01453.90-01455.86] 大家都知道出身不是特别的好
[01455.86-01457.94] 在古代准不代被看重
[01457.94-01460.42] 所以当时李甲就跟读师娘说说大家结婚
[01460.42-01464.78] 但是这个事情大家在续续图之马就是让家里人怎么去接受他
[01464.78-01466.98] 然后读师娘也觉得李甲这个人不错
[01466.98-01470.18] 然后就给自己熟了身就准备和李甲地去回家
[01470.18-01472.50] 结果两人在去做传的这个时候
[01472.50-01475.86] 然后就碰到了一个副家公子就看好了这个读师娘
[01475.86-01480.30] 然后他就跟李甲说我愿意花天津去买这个读师娘
[01480.30-01481.98] 然后李甲就觉得说
[01481.98-01484.92] 所以用千金换一个女人好像是很值得
[01484.92-01485.94] 于是就答应了
[01485.94-01487.36] 结果度时间知道这个设置
[01487.36-01488.12] 和非常悲务量
[01488.12-01491.14] 太了很多人结果花了那么多条时间给自己
[01491.14-01492.48] 树生遇到了一个扎的
[01492.48-01492.98] 对吧
[01492.98-01495.10] 所以他就打开他自己所有的那些
[01495.10-01495.80] 相子
[01495.80-01497.58] 里面抓了各种各样的基金树保
[01497.58-01500.14] 其实千金把这些东西都成了到水里
[01500.14-01502.06] 最后自己也成入水里的故事
[01502.06-01503.90] 这个就是三岔当中
[01503.90-01505.22] 最典型的一个故事
[01505.22-01506.56] 就是度事量的故事
[01506.56-01507.84] 所以大家在这里找过做
[01507.84-01509.78] 成三岔派当中的三岔
[01509.78-01510.74] 这个是那些
[01510.74-01512.22] 答应要注意只是第一个
[01512.22-01513.98] 第二个的就做二拍
[01513.98-01514.94] 拍纸的是什么呢
[01514.94-01516.22] 通过拍按
[01516.22-01517.34] 拍按金企
[01517.34-01519.26] 所以在这里二拍林蒙出
[01519.26-01520.26] 先把林蒙出发出来
[01520.26-01521.34] 第二个二拍
[01521.34-01522.62] 出可拍按金企
[01522.62-01523.46] 二可拍按金企
[01523.46-01524.66] 拍着子怎么样
[01524.66-01525.82] 没有我好
[01525.82-01526.70] 金汉
[01526.70-01527.06] 对吧
[01527.06-01528.62] 这个就叫做拍按金企
[01528.62-01529.66] 就拍按金企
[01529.66-01530.90] 这个拍按呢
[01531.46-01532.10] 达住一样
[01532.10-01533.14] 这是有人放
[01533.14-01534.38] 它那个名字拍了个电影
[01534.38-01535.34] 单一可以记得吧
[01535.34-01536.34] 有人放
[01536.34-01537.70] 这个拍按的这个名字
[01537.70-01538.30] 拍了个电影
[01538.30-01539.38] 大家应该都知道是谁
[01539.38-01542.38] 张毅猫当年搞了一个三枪排案的
[01542.38-01546.18] 然后三枪排案的故事就是绊着访这个
[01546.18-01548.38] 我们所说的二拍这个名字
[01548.38-01549.98] 虽然内容上面有任何的关系
[01549.98-01551.58] 但是名字是访她的
[01551.58-01553.38] 但是我们要知道这个二拍
[01553.38-01556.18] 她讲的是一些我们所说的一些故事
[01556.18-01557.78] 在这个故事的出现你听了之后
[01557.78-01559.38] 你就会忘了原来是这个样子
[01559.38-01560.98] 就发出这样精彩的一些故事
[01560.98-01562.58] 比如说在这里面我给大家
[01562.58-01564.58] 取得这个例子叫导孕汉
[01564.58-01567.22] 與我們所說的那個賣舉子這個故事
[01567.22-01569.50] 就導譯他巧欲動停紅
[01569.50-01571.06] 那個動停紅確實舉子
[01571.06-01573.22] 說有一個人他叫做文弱虛
[01573.22-01574.38] 他就是叫懂
[01574.38-01576.14] 他這個人就是做導譯買買的
[01576.14-01577.38] 這二都翻了
[01577.38-01579.26] 然後他這個人還總懂美
[01579.26-01581.74] 所以他就有一次去海外算新的時候
[01581.74-01583.14] 去算新就買了
[01583.14-01584.30] 就花一兩錢
[01584.30-01586.02] 錢買了一 花一兩錢
[01586.02-01587.46] 再買了一礦舉子
[01587.46-01588.66] 然後結果他把這個舉子
[01588.66-01589.78] 隨身帶著到海外的時候
[01589.78-01591.38] 發現我還沒有見過舉子
[01591.38-01593.58] 然後這個一兩錢
[01593.58-01595.26] 买的角色卖了一千两
[01595.26-01596.34] 然后这是一件事
[01596.34-01597.10] 然后后来的时候
[01597.10-01598.26] 他回国的这个土壮
[01598.26-01599.50] 就这三星回来了
[01599.50-01600.42] 结了个大屋威
[01600.42-01603.42] 就是他这里面所给到的大屋威的这个可儿
[01603.42-01605.22] 结了这屋威可之后当时
[01605.22-01606.42] 走到福建的时候
[01606.42-01607.70] 被一个波斯上人看中
[01607.70-01609.10] 这波斯上人说我给你五万两
[01609.10-01610.54] 你把这个归归了卖给我呆
[01610.54-01611.50] 然后他说行啊
[01611.50-01613.06] 因为归归下的结果那个
[01613.06-01614.38] 波斯上人拿到的归归
[01614.38-01615.98] 可是翻译里面都是珍珠
[01615.98-01616.58] 但是呢
[01616.58-01618.10] 五万两也够他华的了
[01618.10-01620.34] 所以他就用他这个研图赚的这个钱
[01620.34-01622.34] 在海外支产业障每个故事
[01622.34-01624.10] 所以这是我们所说的叫拍案
[01624.10-01626.14] 所以你看拍案之间故事就听起来说
[01626.14-01627.58] 哦原始要欧秘
[01627.58-01628.78] 就有点正感觉
[01628.78-01631.42] 所以他也是一些预言小故事在里面
[01631.42-01634.98] 所以像三眼二拍的网友都是讲一些故事
[01634.98-01638.62] 在这个地方描写爱情也好是工人手工业者也好
[01638.62-01640.66] 还有节露社会的一些现实
[01640.66-01641.82] 那这三眼二拍
[01641.82-01644.86] 所以大家知道三眼二拍的大概是什么内容
[01644.86-01645.70] 谁做的
[01645.70-01646.46] 就可以了
[01646.46-01649.14] 这是名带的三眼二拍
[01649.14-01651.48] 那名代的小说家还有一个非常有名的周谁呢
[01651.48-01652.86] 大家注意一下这双显组
[01652.86-01654.94] 双显组有非常有名的周是吗
[01654.94-01656.44] 林川斯梦
[01656.44-01658.50] 这里面川斯梦的分别是母弹停子
[01658.50-01660.46] 开进南科技和喊弹技
[01660.46-01661.78] 被称为林弹斯梦
[01661.78-01663.86] 只有母弹停的是他的代表做
[01663.86-01666.66] 母弹停当中其实讲的就是一个人对吧
[01666.66-01669.62] 然后他在这个他们用的一个男子
[01669.62-01671.66] 就就民主他们用的一个男子
[01671.66-01673.22] 然后特别爱这个男子
[01673.22-01674.10] 然后呢
[01674.10-01675.74] 而是长得特别好看
[01675.74-01677.78] 但是总是相似不得
[01677.78-01679.58] 然后最后女主就死了
[01679.58-01682.62] 死了之后后来就是那个男子好像是
[01682.62-01684.18] 也总梦见他还是怎么样的
[01684.18-01686.42] 然后最后女主有活的故事
[01686.42-01688.94] 所以这个就是我们所说的武单挺
[01688.94-01690.70] 武单挺一名环魂技
[01690.70-01693.90] 声叫死者可以声子也可以怎么样
[01693.90-01695.02] 可以死
[01695.02-01696.90] 所以在这里面这是武单挺
[01696.90-01698.06] 第二个子差记
[01698.06-01699.94] 子差记就是给他一个子差
[01699.94-01700.94] 做进行信物
[01700.94-01703.50] 南科技我们都听过叫南科移梦
[01703.50-01705.22] 也是我们所说的这个
[01705.22-01708.26] 康陷阻的那种 而寒丹记的大家注意一下
[01708.26-01710.22] 讲的是纯约粉 做梦
[01710.22-01711.22] 然后当时呢
[01711.94-01714.22] 能梦到了 然后他去了寒丹果
[01714.22-01716.94] 然后做了这个父们 然后一路关止国王
[01716.94-01719.58] 然后最后呢 因为不情证
[01719.58-01722.54] 然后最后被驱逐出寒丹果的战争故事
[01722.54-01724.34] 结果还做了一个梦 行了之后呢
[01724.34-01726.34] 他就有了一些人生的感悟
[01726.34-01728.42] 所以你还想这些东西呢 都是去
[01728.82-01730.46] 做这样的一个手段刻坏的
[01730.46-01732.86] 所以康陷阻的这个内容也被称为叫做什么
[01732.86-01733.88] 零川斯蒙
[01733.88-01736.20] 而這個零川斯蒙當中的這個母單皮膚
[01736.20-01737.20] 大家要注意一下
[01737.20-01739.30] 這個母單皮就是剛才說的3名句
[01739.30-01740.30] 質疑
[01740.30-01741.90] 這是明代小說
[01741.90-01743.36] 說明代小說之後
[01743.36-01745.54] 咱們來看一下第二個就是清代小說
[01745.54-01748.18] 清代小說它的考察方式和明代小說一樣
[01748.18-01749.50] 第一個來看一下
[01749.50-01750.90] 首先第一個我們說的
[01750.90-01752.04] 就恐上任
[01752.04-01754.28] 恐上任把他畫出來山東區府人
[01754.28-01756.66] 這個如果有參加山東統學的考試
[01756.66-01758.86] 注意一下自己地區的省情
[01758.86-01760.00] 在這麼多地區考試到
[01760.00-01761.66] 山東是比較喜歡考省情的
[01761.66-01764.94] 所以会考察山东省秦当中的人物实胜
[01764.94-01765.66] 紧色
[01765.66-01767.10] 然后你做车从点到点
[01767.10-01768.86] 可能是路过哪些地区
[01768.86-01770.14] 只想类似这么靠
[01770.14-01771.66] 所以在这里面大家注意一下
[01771.66-01773.42] 这是第一个山东区府人
[01773.42-01774.70] 第二个就是大家注意一下
[01774.70-01776.30] 它的代表做是桃花圣
[01776.30-01777.02] 把它画出来
[01777.02-01779.18] 叫离合之前写新亡之感
[01779.18-01781.10] 这桃花圣写的是谁有谁的故事呢
[01781.10-01783.66] 写旁边是李香军和
[01784.70-01786.06] 口方玉的故事
[01786.06-01795.54] 李相军和后方玉的故事其实讲的就是他们两个互相喜欢的
[01795.54-01797.66] 然后后方玉送给李相军一面善子
[01797.66-01800.14] 这个善子是一面白的善子做一定情信物
[01800.40-01802.02] 但是后来有人强亲
[01802.26-01805.26] 但有人强亲强的不是李相军强的是后方玉
[01805.52-01807.06] 然后就是想后方玉做他的女学
[01807.06-01809.22] 后来李相军为了眼后后方玉偷走
[01809.60-01811.52] 然后他后来受伤了
[01811.74-01813.70] 他的血就低在了这个善子上
[01813.70-01815.50] 当时后方玉的朋友就拿着这个
[01815.50-01816.82] 逼了写的善子
[01816.82-01818.98] 做话 化出了头发善
[01818.98-01820.62] 最后浊云和李香军
[01820.62-01821.58] 相见了
[01821.58-01823.98] 相见了最后两个人看破红城了
[01823.98-01825.22] 这是这样的故事
[01826.02-01827.26] 所以这是头发善
[01827.26-01828.70] 大家会发现爆了清败的时候
[01828.70-01832.22] 它的小说其实更加偏向描会的是女性
[01832.22-01834.22] 所以在这里面才写了我们所说的
[01834.22-01834.94] 这个头发善
[01834.94-01837.42] 看是李香军的这样性格
[01837.42-01839.10] 所以那个时候就是女子的
[01839.10-01840.70] 现起相当于是会多一点
[01840.70-01842.38] 所以在这里大家知道头发善
[01842.38-01844.70] 所以写跌离和之前写新亡之感
[01844.70-01846.58] 看似好像写的是两个人的钱
[01846.58-01848.74] 但其实离不开社会大背景的
[01848.74-01850.26] 这是孔上任
[01850.26-01852.26] 孔上任第三个点就是他与
[01852.26-01855.14] 红生就是长生电的人物
[01855.14-01857.42] 说和他并成为南红北空
[01857.42-01858.46] 这是在这里面
[01858.46-01859.90] 大家要掌握的三个点
[01859.90-01861.94] 我说了竟然是南红北空
[01861.94-01863.26] 北空是孔上任
[01863.26-01864.70] 他是孔子六十四代孙
[01864.70-01865.98] 南红子的是谁呢
[01865.98-01866.70] 红生
[01866.70-01868.42] 红生的座作大助一下
[01868.42-01869.70] 就是长生电
[01869.70-01870.62] 刚才介绍了
[01870.62-01872.78] 他写的是和淘明黄阳为非的故事
[01872.78-01875.02] 最后在月工团聚了
[01875.02-01877.52] 所以你看这两个住座非常典型
[01877.52-01880.82] 所以刚才的长生电在加上头花善
[01881.54-01884.94] 就被称为叫做清代细绝双弊
[01884.94-01885.90] 所以大家注意一下
[01885.90-01887.74] 这是我们所提到的红生
[01887.74-01888.98] 那在清代小说道中
[01888.98-01889.78] 不得不提的
[01889.78-01891.10] 考虑也特别多的
[01891.10-01891.98] 其实是谁呢
[01891.98-01894.42] 是普松领的聊在之一
[01894.42-01895.38] 首先第一个代表
[01895.38-01896.74] 知道普松领的一个点
[01896.74-01898.82] 话出来叫号六权菊式
[01898.82-01901.20] 也称聊在先生
[01901.20-01931.20] 输房,第二个大助理下,他是山东几男人,所以清带小手家有个说明带普通两路不对了,我们在这里下按朝带给他去花分的,所以他是清带小手家,那他最典型的助作,其实就是我们所说的什么,聊在之一,那其实说到聊在之一的话,大家对他非常熟悉,他写了很多故事,在电句当中有眼光,你看看这里给大家去说的,第一个聊在其女子,你看这里面留事事眼的,先十四年了,对吧,然后等等这里面其实都有一条无气隆在这里眼,
[01931.20-01933.64] 有或者是你看了解翻拍了好几部
[01933.64-01935.58] 那了解翻拍好几部在这里面了解
[01935.58-01937.28] 你看这个应该是出责吧
[01938.28-01940.16] 他演的是画壁的那个故事
[01940.42-01942.04] 然后呢这个女士
[01942.04-01944.32] 这张圈应该是张文件他的老婆
[01944.32-01946.16] 他演的是什么呢是龙女人
[01946.40-01948.20] 然后在这里面你看像这个
[01948.66-01950.46] 修强然后他演的是什么呢
[01950.46-01954.50] 他演的是美女就是被土耀破害了的这样的一个人
[01954.76-01955.64] 然后在我下呢
[01955.64-01957.84] 这个是虚开期的当时演的是小伙
[01958.40-01960.96] 然后你看了解新闆这里面陈龙和海血
[01960.96-01962.72] 在裡面演的是魔林女
[01962.72-01963.68] 就是這樣的
[01963.68-01966.48] 所以你看我們經常會在影視居當中看到很多
[01966.48-01968.00] 雕鴨有關能故事
[01968.00-01969.20] 所以雕鴨當中的故事
[01969.20-01971.76] 往往寫的就是寫人寫鬼寫邱
[01971.76-01972.88] 所以在這裡我們說了
[01972.88-01976.04] 雕鴨是中國短片的演的電風之作
[01976.04-01979.24] 一般請要考雕鴨除了考這三個點之外
[01979.24-01979.96] 大家注意一下
[01979.96-01983.04] 還會考察很多語言對於雕鴨的平間
[01983.04-01984.16] 我們標準一下
[01984.16-01986.32] 雕鴨它的這個平鴨相對來說比較高
[01986.32-01987.96] 看似寫鬼魂
[01987.96-01989.20] 我們所說的鬼邱
[01989.20-01990.84] 但實際的實惹寫了什麼
[01990.84-01992.16] 使得写的是人性
[01992.16-01993.72] 所以在这里我们说了
[01993.72-01997.12] 郭莫若和老舍都分别对他有了一个非常高的描述
[01997.12-01999.48] 比如说郭莫若说这个聊天叫什么
[01999.48-02001.60] 叫协归写邀高人一等
[02003.56-02006.24] 邪归写邀高人一等
[02006.56-02009.52] 然后面刺探刺虐入木三分
[02012.76-02015.84] 刺探刺虐入木三分
[02015.84-02017.60] 这就是郭莫若对他的评价
[02017.60-02019.48] 你看邪归写邀对不对
[02019.48-02026.28] 这是第一个 老蛇也说 老蛇说什么 说普松领的这个聊在之一 叫做鬼胡有性格
[02029.58-02033.08] 鬼胡有性格 笑骂成文章
[02038.88-02043.88] 考试的时候就会考察这种评价 给你中描述 然后我判断他是那个注作
[02043.88-02046.40] 这个是所说的普通领
[02046.40-02047.94] 所以大家应该看过了这支音
[02047.94-02051.00] 它了战新边是包括什么了战英尼额
[02051.00-02053.04] 对吧 派层电源也比于接市
[02053.04-02055.00] 所以这都是了战当中的故事
[02055.00-02057.84] 还有什么了战里面讲促知讲确确的故事
[02057.84-02058.60] 都有的
[02058.60-02060.84] 这个是我们所说的普通领
[02060.84-02063.12] 还有一个电源电视剧就了战先生
[02063.12-02064.36] 这是张铁林眼的
[02064.36-02066.84] 他眼那个普通领这个角色
[02066.84-02069.48] 所以这是我们所说的青代小说
[02069.48-02070.88] 第三个点
[02070.88-02072.04] 大家知道了战
[02072.04-02075.04] 第四個就大家知道就是無境子
[02075.04-02076.66] 無境子寫了一個說叫做
[02076.66-02078.24] 如林外史把它划出來
[02078.24-02080.16] 大家注意一下雖然是如林外史
[02080.16-02081.52] 但是不是顯歷史的
[02081.52-02082.48] 它是什麼呢
[02082.48-02083.44] 畫下面的一句
[02083.44-02086.20] 叫我國古代諷刺文學的點飯
[02086.20-02087.28] 你在旁邊標準一下
[02087.28-02089.96] 它是中國古代諷刺小說的
[02089.96-02091.12] 編風之作
[02093.32-02095.12] 諷刺小說的
[02096.68-02097.84] 編風之作
[02097.84-02102.44] 他既然是否思小说
[02102.44-02104.24] 在这里面他否得点啥呢
[02104.24-02106.54] 他注意下他否得是科举制
[02110.90-02112.94] 否刺的是我们所说的科举制
[02112.94-02115.76] 而在这个无静子他的这个如立马时当中
[02115.76-02119.34] 有一个点过是我们太熟悉的了
[02119.34-02121.34] 比如说犯重进去
[02121.84-02125.44] 考试的时候考过这个点过和他的内容的对应
[02125.44-02127.04] 所以在这里面这位场件的时候
[02127.04-02129.04] 翻靜 重局
[02130.32-02131.32] 封了内吧
[02131.32-02132.52] 翻靜重局
[02132.52-02136.04] 所以能够看得出来是封鑑的这种科局
[02136.04-02138.40] 它的整考试的模式对人的土害
[02138.40-02140.20] 所以在这里放刺的是
[02140.20-02142.40] 我们所说的科局之内
[02142.40-02143.20] 所以是无尽子
[02143.20-02145.92] 无尽子特别喜欢考它是明白小说家就不对了
[02145.92-02147.76] 在这里我们有特别给大家强调的
[02147.76-02149.08] 它的清带
[02149.08-02149.84] 是因为我说了
[02149.84-02151.56] 我现在讲的都是清带小说
[02151.56-02151.96] 对吧
[02151.96-02154.12] 从刚才的了解到现在的这个
[02154.12-02155.48] 我们所说的如理外是
[02155.48-02156.36] 都是清带小说
[02156.36-02157.52] 我山朝代花份的
[02157.52-02159.00] 所以大家注意一下它的朝代
[02159.00-02160.12] 这是吳靖子
[02160.12-02160.92] 那最後一個呢
[02160.92-02162.00] 就在这里跟大家讲一下
[02162.00-02163.60] 我们所说的这个朝学情
[02163.60-02165.28] 朝一前第一个清代小说家
[02165.28-02165.88] 没有问题
[02165.88-02167.52] 朝一前他写了这个红楼梦
[02167.52-02170.04] 我们都知道是三名驻之一
[02170.04-02171.28] 他的这个红楼梦
[02171.28-02174.88] 他是以假使王学四岸家族的新税为基础的
[02174.88-02177.88] 那他是中国古代小说的最高峰
[02177.88-02180.80] 也就是位于三名驻之手
[02180.80-02182.72] 大家都知道红楼梦这个东西
[02182.72-02183.68] 一写出来
[02183.68-02184.68] 真的是
[02185.32-02186.48] 陈青很多人
[02186.48-02187.52] 不能说陈青很多人
[02187.52-02188.36] 养活很多人
[02188.36-02190.64] 大家知道现在有一门学问就要什么学
[02190.64-02192.44] 现在有一门学问就叫做
[02192.44-02193.76] 我们所说的红学
[02193.76-02194.88] 就叫做红学
[02194.88-02196.52] 所以就是专门研究红路梦
[02196.52-02197.64] 你看的红路梦当中
[02197.64-02199.24] 它的自真去夺
[02199.24-02200.68] 真的都是有考究的
[02200.68-02202.84] 你看原称原音太吸引
[02202.84-02204.12] 那四春对吧
[02204.12-02206.08] 然后他除了那四春之外
[02206.08-02207.96] 还有四春的压款
[02207.96-02209.08] 前期出话
[02209.08-02210.32] 还有我们所说的
[02210.32-02212.92] 有关于他进入到态序换境的时候
[02212.92-02214.66] 我看到每个人不同的屁育
[02214.66-02216.56] 它其实都有一定的于是
[02216.56-02217.26] 而那个屁育
[02217.26-02219.20] 其实在个别的地方考试的时候
[02219.20-02220.56] 也是有考察过的
[02220.56-02222.02] 这个就是创意鞋
[02222.02-02224.12] 对于文学诸作的
[02224.12-02225.40] 它的简单的介绍
[02225.40-02225.84] 在这儿呢
[02225.84-02227.96] 我就不以为大家做过多的最树了
[02227.96-02229.76] 它其实在红楼梦当中
[02229.76-02231.48] 比较喜欢考的是啥呢
[02231.48-02232.64] 喜欢考的第一个
[02232.64-02233.88] 这不太考情节
[02233.88-02236.12] 也不太考说它的一个具体的情况
[02236.12-02237.48] 就是它的一个大概的情况
[02237.48-02238.96] 是考的相对来说叫具体
[02238.96-02240.08] 比如说它会考
[02240.08-02242.44] 我们所说的这样的一些句子
[02242.44-02245.00] 他到底属不属于我们所说的
[02246.28-02247.56] 红楼梦当中的
[02247.56-02249.88] 或者考察一些匹语和人物的对应
[02249.88-02251.72] 这个是在各媒地区考察过的
[02251.72-02253.08] 相当于是考的叫戏
[02253.08-02256.76] 所以同时在这里对于红楼梦有一个大概的这样的一个了解
[02256.76-02258.60] 对于它特别细致的内容
[02258.60-02262.28] 我们出于现在的副席的时间长度来要求的话
[02262.28-02264.04] 不也大家做过的对数
[02264.04-02265.64] 所以大家就最起码在这个地方
[02265.64-02267.48] 找不住于点就是大名住当中
[02267.48-02268.40] 是哪四个
[02268.40-02270.60] 它的主要情节大概要知道了
[02270.60-02273.28] 这个是我们所说的明天小说
[02273.28-02278.24] 这个就是我们欧阳分强老实拍眼的那个红内版的红猫梦
[02278.24-02280.84] 这个就是整个明天小说
[02280.84-02284.72] 最后一个就是晚清末的这个晚清赛剪则小说
[02284.72-02285.92] 简单看一下就行了
[02285.92-02288.52] 李宝家的官场先行记无剑有
[02288.52-02291.32] 叫吴卫耀无剑人的20年目督之乖先撞
[02291.32-02292.68] 刘惡的老太有记
[02292.68-02294.16] 我们在前面说讲过刘惡
[02294.16-02294.52] 对吧
[02294.52-02296.12] 还有增普的你还花
