[00000.00-00005.36] 好的,我们今天来往下看一下第四节,第四节叫做生活城市,
[01083.38-01085.54] 大助一下燃烧这种情况之下
[01085.54-01087.10] 就会产生很多
[01088.70-01089.74] 有害气体
[01090.44-01092.08] 产生我简单写了
[01092.08-01093.58] 这个原理同没有注意
[01093.58-01094.94] 产生有害气体
[01094.94-01096.74] 而大多数的有害气体
[01096.74-01099.94] 大家注意一下它的密度都是比较小的
[01102.58-01103.94] 如果它的密度小的话
[01103.94-01107.24] 它就一定会飘在空气的上方
[01108.04-01109.10] 那这种情况之下
[01109.10-01112.10] 你要逃生的时候尽量的降低投赋
[01112.10-01113.58] 防止吸物的一些东西
[01113.58-01115.58] 同时要打施毛巾物住口病
[01115.58-01118.54] 防止吸入我们所说这些有害气体
[01118.54-01120.06] 无论是一样 它是其他的
[01120.06-01121.42] 其实都对身体不太好
[01121.42-01122.46] 所以在这里面
[01122.46-01124.86] 我们说了要尽量的普伏 彻底
[01124.86-01125.90] 原因就在这
[01125.90-01126.86] 所以在这个地方
[01126.86-01127.74] 你看像那个电影
[01127.74-01130.46] 大家也还记得谈人街谈案第一步
[01130.46-01131.90] 谈人街谈第一步当中
[01131.90-01134.54] 是不是去找黄金失倩的那个问题
[01134.54-01134.86] 对吧
[01134.86-01138.22] 然后当时那个秦峰和老秦和小谈
[01138.22-01138.94] 对吧
[01138.94-01141.42] 然后老型粉小孩他们就去到那个
[01141.42-01144.38] 当时被杀了那个送叛的那个家里面
[01144.38-01146.42] 然后后来就有人为了杀他们
[01146.42-01147.58] 他就迷眼的那个角色
[01147.58-01148.78] 是把那个房子点燃了
[01148.78-01151.82] 把房子点燃了之后后来那个小孩
[01151.82-01153.26] 跑进去就老型的时候
[01153.26-01155.26] 是不是给他拿着这个施的东西
[01155.26-01156.86] 五柱他个口边让他往外跑
[01156.86-01158.30] 那为什么要五柱口边
[01158.30-01160.62] 原就是房子有害气体的吸入
[01160.62-01162.50] 如果一旦有害气吸入的话人
[01162.50-01164.14] 就没有办法死考了
[01164.14-01165.50] 你正行玩下无论是有毒
[01165.50-01166.78] 有害气体造成的中毒
[01166.78-01169.22] 我还是一样花太新入之后到造成的修刻
[01169.22-01170.62] 都没有办法投生了
[01170.62-01172.10] 所以在这里一定要注意
[01172.10-01173.70] 第一个武术后避
[01173.70-01175.46] 第二个低头前进
[01175.46-01176.34] 普普前进
[01176.34-01178.30] 这是我们所说的这个点
[01178.30-01179.46] 但是问题就在于
[01179.46-01181.10] 你都低着头开始跑了
[01181.10-01182.14] 开始普普撤离了
[01182.14-01183.26] 你怎么能确认你的
[01183.26-01184.66] 逃生路线是正确的
[01184.66-01186.78] 因为你没有办法向我们正常向往之下
[01186.78-01187.78] 你只立着走
[01187.78-01189.26] 然后能够看到外面什么样
[01189.26-01190.42] 这时候只是低着走
[01190.42-01191.42] 你看不到前面
[01191.42-01193.46] 怎么确保逃生路线的正确
[01193.46-01194.38] 来坏一句话
[01194.38-01196.38] 叫延墙壁陶聲
[01196.38-01197.74] 可以明確陶聲方向
[01197.74-01198.38] 所以在這裡
[01198.38-01202.38] 把延墙壁陶延墙壁陶聲畫出來
[01202.38-01205.02] 這是我們所說的第四個細節
[01205.02-01208.50] 第五一個點就是如果在陶聲的過程中
[01208.50-01211.18] 有人身上不善不善善善善善善了火
[01211.18-01213.74] 就是身上找火之後怎麼辦
[01213.74-01217.02] 就地打滾或者是覆蓋壓滅火花
[01217.02-01218.30] 這個在影視聚張文明
[01218.30-01219.02] 這條能看到
[01219.02-01220.22] 對吧後悲找火了之後
[01220.22-01221.74] 就怕在地上躺在地上
[01221.74-01222.58] 孤路兩下
[01222.58-01223.50] 把火滅掉
[01223.50-01224.98] 这个就是我们所说的
[01224.98-01227.38] 火灼逃生的主义事项
[01227.38-01229.14] 其实这些主义事项都是逃生
[01229.14-01230.62] 当直到主义事项
[01230.62-01232.46] 好 那这是第一个
[01232.46-01235.46] 那直到了一些逃生当中的主义事项的细节
[01235.46-01237.06] 今天我们来看一下第二个
[01237.06-01239.62] 就是那就火灼的那些方法
[01239.62-01242.30] 这个就叫做灭火的基本方法
[01242.30-01243.98] 在灭火的基本方法大叔
[01243.98-01245.90] 它其实大部分都来做什么呢
[01245.90-01247.34] 灭火的这个方法
[01247.34-01251.14] 它其实是与我们所说的火灼发生的条件
[01251.14-01253.22] 或者是燃烧发生的条件有关
[01253.22-01272.42] 他语员,燃烧的条件有关系,咱们在燃烧的条件当中,这个点其实在前面为大家讲过,燃烧需要几个条件,从你们简单回一下,燃烧它其实是需要三个条件的,同一面想一下,这三个条件分别是,第一个必须有可然物。
[01272.42-01277.86] 第二个必须有驻然记,
[01277.86-01287.14] 第三个必须达到着活点,所以达到着活点,就是要求它温度过高,对吧?
[01287.14-01305.82] 这是人生的条件,人生就要求这三个条件,却一不可,如果缺少任何一个,它其实都没有办法怎么办,都没有办法,人生,那我们就来看一下它具体,如果主义从这三个任何一个条件,下手的话,它其实都可以让这个火灾评问下来,就是达到灭火的这个效果。
[01305.82-01308.50] 首先,首先第一个所说的
[01308.50-01311.62] 他说在这里提到第一个方法就格里法
[01311.62-01314.46] 他说将正在发生燃烧的物质
[01314.46-01315.62] 同时把格里法化出来
[01315.62-01317.54] 咱们前面其实给他讲过
[01317.54-01320.54] 格里法在这里想要是正在燃烧的物质
[01320.54-01322.14] 与周围的可然物怎么样
[01322.14-01325.66] 格里也在这里面就是可然物的格里
[01325.66-01328.86] 可然物的格里其实就是把燃烧当中的
[01328.86-01330.46] 第一个条件可然物拿掉了
[01330.46-01333.66] 把这种情况之下就叫做格里法
[01333.66-01336.02] 就叫做俄立法
[01336.02-01337.94] 那這種俄立法就是我們所說的
[01337.94-01339.98] 沒有給他足夠的可然物
[01339.98-01341.90] 那他把原本的那些可然物燒完之後
[01341.90-01344.22] 他就沒有在燃燒的條件了
[01344.22-01345.82] 那這裡就是俄立法
[01345.82-01349.10] 必要常見的就是我們以前經常會替替到那種
[01349.10-01351.82] 消防當中我們會聽到一種情況
[01351.82-01353.38] 什麼情況的就是如果說
[01353.38-01354.98] 他發生的這種火災
[01354.98-01357.10] 相對來說他沒有辦法說地
[01357.10-01358.82] 就是因為他可然物不要多滿
[01358.82-01359.90] 比如說森林當中
[01359.90-01362.10] 可能會出現這種期火的這種情況
[01362.10-01364.16] 那如果森林当中期火正经济的话
[01364.16-01365.90] 他们也火其实也有一个方法
[01365.90-01366.78] 什么方法呢
[01366.78-01367.86] 就是我们会发现
[01367.86-01370.70] 消防官兵他们会砍出一条隔离带
[01370.70-01371.50] 这是把
[01371.50-01373.50] 只比如说火在发生在正中间
[01373.50-01375.62] 然后他四周全都是森林
[01375.62-01375.98] 对吧
[01375.98-01377.62] 那这种情况之下发生在这
[01377.62-01379.30] 那如果火是不及是铺灭的话
[01379.30-01382.30] 可能就会把周边的素目都引人
[01382.30-01382.70] 对吧
[01382.70-01384.82] 那这有时候火是就会记不快大
[01384.82-01385.94] 那他怎么办呢
[01385.94-01387.02] 那他这种情况之下
[01387.02-01389.98] 他就会在这个找火这个地方砍出来一圈
[01389.98-01393.18] 把这一边这一圈的数全都给它砍掉
[01393.18-01395.82] 把数全都砍掉之后中年这个火烧完了之后
[01395.82-01398.14] 数就没有旁边没有什么东西可以烧了
[01398.14-01399.98] 那如果没有东西可以烧了的话
[01399.98-01402.30] 那这种情况之下火自然然就会怎么样
[01402.30-01403.18] 新面对吧
[01403.18-01405.50] 那这个其实就神面火的一种方法
[01405.50-01406.46] 那这种方法呢
[01406.46-01408.78] 我们就把它称这位叫做隔离法
[01408.78-01409.70] 隔离什么
[01409.70-01412.38] 大家就知道隔离就是隔离可然物
[01412.38-01413.98] 这个地方一旦在考试的时候
[01413.98-01415.82] 就会考察一个对应
[01415.82-01421.68] 就是說它的這些方法都是運用或者是我們所說的針對於燃燒的哪個條件
[01421.68-01425.10] 就是說你要知道能夠考對應能對應上就可以了
[01425.10-01426.02] 只第一個
[01426.02-01427.50] 那第二就是製稀法
[01427.50-01429.34] 製稀其實很形象對吧
[01429.34-01431.24] 現在我們就像開玩笑的時候
[01431.24-01432.62] 感覺我快要製稀了
[01432.62-01433.74] 那我感覺我靠製稀了
[01433.74-01434.90] 其實就是幹嘛呢
[01434.90-01435.98] 我傳弄切了
[01435.98-01437.82] 所以在這裡面傳弄器
[01437.82-01438.78] 那就叫做製稀
[01438.78-01441.38] 它是阻止空氣流入
[01441.38-01443.02] 你把阻止空氣流入話出來
[01443.02-01445.26] 它說阻止空氣流入人燒區
[01445.26-01448.46] 或者用不然稍得多性氣體充弹空氣
[01448.46-01452.38] 是燃燒得不到充足的養氣而吸免
[01452.38-01453.66] 這種叫做製稀
[01453.66-01454.90] 所以這種製稀法
[01454.90-01457.26] 其實就是掌控燃燒的第二條件
[01457.26-01458.86] 就是讓它沒有駐然劑
[01458.86-01460.66] 因為我們一般請問一下說的駐然劑
[01460.66-01462.58] 其實就是養氣
[01462.58-01464.98] 所以這次對應的製稀法
[01464.98-01468.02] 第三一個就是當溫度足夠的時候
[01468.02-01469.46] 才有可能發生燃燒
[01469.46-01472.10] 對吧當溫度足夠的時候才有可能發生火災
[01472.10-01473.98] 那如果讓這個溫度降下來
[01473.98-01476.80] 是不是就可以达到灭火的目的
[01476.80-01478.34] 那这种方法就叫做啥呢
[01478.34-01479.86] 就叫做冷却法
[01481.66-01483.20] 这个就叫做冷却法
[01483.44-01484.74] 所以看一下在这里说了
[01484.98-01488.82] 说将灭火机直接盆设到燃烧物上把温度降到
[01489.86-01491.38] 招呼电一下就可以了啊
[01491.38-01492.66] 这个就叫做冷却法
[01492.66-01496.26] 这三个方法呢大家注意一下分别对应的是燃烧的三个条件
[01496.50-01498.30] 他在考试的时候大家面确
[01498.56-01499.58] 他考的就是
[01499.84-01500.34] 对应
[01500.86-01501.62] 考的是对应
[01501.62-01504.60] 那大家要注意这是灭火的前三个方法
[01504.60-01507.42] 但是灭火除了这几个方法之外还有第四个方法
[01507.42-01509.56] 第四个方法相当于说比较特殊
[01509.56-01511.66] 我们标注一下叫做话学法
[01511.66-01513.10] 也叫做意志法
[01513.10-01514.74] 同时把这个方法话出来
[01514.74-01516.98] 它说将有意志作用的灭火器
[01516.98-01518.38] 碳车到燃烧的区域
[01518.38-01521.18] 并参压到燃烧的反应过程当中去
[01521.18-01523.82] 是燃烧过程产生的油力机消失
[01523.82-01525.06] 那这种情况之下
[01525.06-01526.66] 燃烧就会终止
[01526.66-01527.78] 所以在这种情况之下
[01527.78-01530.22] 它就是用香用的话学世纪
[01530.22-01533.34] 把这些世纪让它擦有到燃烧当中去
[01533.34-01535.34] 这时候产生的化学物质
[01535.34-01536.54] 起到灭火的作用
[01536.54-01538.50] 这个就叫做一致法
[01538.50-01541.10] 一会我们在讲到灭火器的时候会谈到这
[01541.10-01543.18] 所以头就没就知道灭火的方法
[01543.18-01544.78] 是三家一就可以了
[01544.78-01547.06] 三家一分别对应的是三个条件
[01547.06-01549.62] 所对应的方法在加上一个化学法
[01549.62-01551.66] 这是灭火的基本方法
[01551.66-01553.10] 所以这是第二个
[01553.10-01554.78] 需要我们去找我的
[01555.42-01555.90] 好
[01555.90-01557.86] 了解了灭火的基本方法之后
[01557.86-01559.26] 我们就先来看一看
[01559.26-01561.86] 那針對這些滅火的方法在日常生活當中
[01561.86-01564.66] 我們會接觸到很多的滅火的氣彩
[01564.66-01568.30] 對於對那最為常見的氣彩就是滅火器
[01568.30-01569.82] 這個東西非常重要
[01569.82-01571.86] 就是要求無論是居家當中
[01571.86-01574.78] 大家能看到我們的公共區的地方
[01574.78-01579.42] 它的一定要吃藥有一個滅火器或是銷唐氣彩在的
[01579.42-01580.74] 大家可以出去說看一看
[01580.74-01583.46] 經常會看到有這麼一個紅色的小箱子
[01583.46-01586.34] 然後它上面帶了一個小的這種蓋子
[01586.34-01587.70] 然後上面寫的就是什麼
[01587.70-01589.16] 只消防相
[01591.62-01592.02] 对吧
[01592.02-01593.26] 然后消防相打开
[01593.26-01594.88] 然后里面就有什么灭火器
[01594.88-01596.22] 同时可以去看一下
[01596.22-01598.42] 所以经常会有那种消防检查吗
[01598.42-01600.74] 消防检查其实就是看一下它有那种相当的
[01600.74-01601.62] 消防器材
[01601.62-01604.54] 就这位常被的消防器材就是灭火器
[01604.54-01607.34] 灭火器怎么使用来看一下在这里
[01607.34-01607.98] 它说了
[01607.98-01611.06] 说灭火器使用使应当对者
[01611.06-01612.94] 火苗根部的内艳
[01612.94-01614.80] 就做对者火苗
[01614.80-01615.92] 根部的内艳
[01615.92-01616.90] 就进行噴射
[01616.90-01619.60] 如果針對沒有對準火苗跟不能內眼
[01619.60-01622.30] 它實際是沒有辦法起到面火作用的
[01622.30-01623.50] 所以在這裡大家注意一下
[01623.50-01625.30] 把火苗跟不換出來
[01625.30-01629.00] 最近其實有很多這種修放題材的電視劇
[01629.00-01631.10] 大家應該在網上都看過了
[01631.10-01632.10] 我們沒有看過
[01632.10-01634.40] 但是我看到他們做視頻的減級
[01634.40-01637.30] 其實裡面就演示就會演示到
[01637.30-01639.70] 如何去使用面火器的過程
[01639.70-01642.90] 而且它的解說是比較專業的
[01642.90-01646.50] 各大關號企的都有在宣傳的這個事
[01646.50-01648.82] 其实最近好像是有这么一部电视削应了
[01648.82-01650.54] 大家也可以通过电视剧
[01650.54-01651.90] 去找一些消防之事
[01651.90-01652.58] 不是不行
[01652.58-01654.34] 因为通过视觉观看
[01654.34-01656.10] 相对来说更直观一点
[01656.10-01657.34] 这时大家注意一下
[01657.34-01659.14] 一定要对着火苗的根部
[01659.14-01661.54] 是内眼去经常相的灭火
[01661.54-01664.06] 这里面今天调了提到了内眼
[01664.06-01666.10] 这里面就会眼生出一个
[01666.10-01667.50] 细节上的烤点
[01667.50-01668.50] 大家注意一下
[01668.50-01669.86] 细节上的烤点
[01669.86-01671.82] 其实就是我们所说的火眼
[01671.82-01673.34] 我们所说的整个火
[01673.34-01674.54] 你看它说火苗
[01674.54-01676.30] 内眼的路底外面的路最高
[01676.30-01678.10] 那也就是说我们所说的这个火苗
[01678.10-01682.02] 比如说我在这里给大家去展示的这个辣植的这个图片
[01682.66-01685.78] 其实从这个图片的我们能够看到整个火焰
[01685.78-01688.34] 它其实也是分子里的层次结构的
[01688.58-01690.62] 从这个图片上其实我们能看到
[01690.74-01692.70] 在这回应当中它有一个最外层
[01692.70-01694.74] 而且中间还有黄色的部分
[01694.74-01695.94] 然后在我下还有什么
[01695.94-01697.06] 还有蓝色的部分
[01697.26-01700.54] 而这几层其实就是火焰整体的结构
[01700.74-01702.94] 回来结构一共分成三个部分
[01702.94-01706.06] 分别是我们经常说的第一个叫做外焰
[01706.30-01708.50] 然后第二部分是我们所说的
[01708.50-01711.22] 就是黄色的这个部分就是内严
[01712.14-01715.40] 然后第三一个部分就是我们所给到的就叫做
[01715.40-01717.14] 严心严心
[01717.34-01719.74] 那在这几个部分当中大家一定要注意一下
[01719.74-01723.30] 我们需要掌握的是外严内严及严心
[01723.30-01724.58] 第一个它的位置
[01724.58-01725.66] 第二个它的特性
[01725.66-01727.78] 以及第三一个它的温度
[01727.98-01731.02] 那么首先来看一下第一个就是外严是最外层
[01731.02-01733.18] 那一般来说在大部分情况之下
[01733.18-01735.26] 外严它是看不见的
[01735.26-01738.34] 因为在整个我们经常会有这样一个感受
[01738.34-01740.18] 就是我们看到这个辣主
[01740.18-01741.74] 然后我想把我的手
[01741.74-01743.42] 然后深到这个辣主的时候
[01743.42-01745.78] 还没有靠近黄色边缘的部分
[01745.78-01747.42] 我就觉得这个地方开怎么样
[01747.42-01748.18] 碰手了
[01748.18-01749.98] 到底是什么在碰你的手呢
[01749.98-01752.22] 其实就是我们所说的外面
[01752.22-01754.54] 所以从这里我们能够发现第一个
[01754.54-01757.34] 外面它整体上是无色的
[01757.34-01761.46] 它其实就像那种我们经常感知到的热浪的那种感觉
[01761.46-01763.18] 而它的温度是什么呢
[01763.18-01765.38] 它的温度是最高的
[01766.66-01768.98] 打板这个标准在旁边就是外面
[01768.98-01772.42] 它是无色的起来它的温度是最高的
[01772.42-01774.90] 所以在这里大家注意下这是第一个
[01774.90-01776.58] 那第二个大家就要知道
[01776.58-01778.70] 你看在火焰的字外层
[01778.70-01782.38] 它其实是和空气接触的是最充分的
[01782.38-01784.42] 所以火焰的字外层
[01784.42-01786.66] 因为和空气接触最充分
[01786.66-01788.86] 所以它的养气是比较是最充足的
[01788.86-01790.18] 所以在这种情况之下
[01790.18-01794.54] 大家注意一下 外面整体上它的供养是充足的
[01794.54-01799.70] 而供养一旦充足 那么就知道它的燃燒一定是充分的
[01801.38-01803.98] 它的燃燒是充分的
[01803.98-01806.14] 所以这是我们所说的 第一个
[01806.14-01808.38] 这是我们所提到的外面部分
[01808.38-01811.18] 那除了外面之后呢 第二个就是到了
[01811.18-01812.70] 黄色的这个部分
[01812.70-01813.86] 黄色的这个部分呢
[01813.86-01815.98] 我们把它称之为叫做内眼
[01815.98-01818.86] 所以针对于内眼 它一般要么是我们所说的
[01818.86-01821.74] 深红色,它有地方成深红色
[01821.74-01825.02] 或者是像我们图片看到的,它是成
[01825.02-01827.50] 显红色的,让它一个状态
[01827.50-01829.50] 这个就是我们所说的内严
[01829.50-01831.22] 内严的温度呢,因为
[01831.22-01833.74] 和空气接触没有外严充分
[01833.74-01836.02] 所以它的温度相对来说就会比
[01836.02-01838.82] 内严比外严要怎么样,要低一些
[01838.82-01842.42] 这就是我们所说的,第2个部分,黄色的部分叫做内严
[01842.42-01845.74] 还有一个地方,我们经常在火当中会看到这种
[01845.74-01848.56] 又又的这种蓝光看起来还有点好看的
[01848.56-01851.30] 这个部分其实我们所说的眼心
[01851.30-01853.74] 所以一般眼心它呈现的蓝色
[01853.74-01856.34] 它呈现的颜色就是深蓝色
[01856.34-01860.28] 所以在旁边标主一下它的颜色是深蓝色
[01860.28-01861.46] 是深蓝色
[01861.46-01862.46] 我们说了
[01862.46-01864.02] 那它既然是深蓝色
[01864.02-01867.58] 在这里面它同时又处在火焰的最内部
[01867.58-01869.26] 所以它会有一个特点
[01869.26-01869.90] 什么特点呢
[01869.90-01872.94] 就是它的温度是最低的
[01872.94-01876.26] 文督最低
[01876.26-01877.74] 所以在这里说白了
[01877.74-01881.70] 为什么要对着火苗的根部内严去进行
[01881.70-01883.70] 相应的消防器材的时候
[01883.70-01885.50] 一方面是因为我们说了
[01885.50-01886.74] 要从根上灭火
[01886.74-01888.70] 另一方面是它的温度是最低的
[01888.70-01890.62] 从根源上给它侓盖了
[01890.62-01892.14] 所以在这里大注意
[01892.14-01894.50] 那为什么能够成生蓝色
[01894.50-01895.66] 请温度最低呢
[01895.66-01896.66] 大家应该知道
[01896.66-01898.02] 在整个火焰
[01898.02-01899.90] 它在整个结构上面
[01899.90-01901.14] 最外层是外严
[01901.14-01902.34] 到中间是内严
[01902.34-01905.40] 那在他们两个的包裹之下才是眼心
[01905.40-01907.08] 所以到了眼心这个部分
[01907.08-01908.94] 他和空气的接触是
[01908.94-01910.02] 追不充分的
[01910.02-01911.34] 所以在这里大住一下
[01911.34-01913.54] 因为和空气接触不充分
[01913.54-01915.22] 所以他的共养
[01915.22-01918.26] 现在旁边他的共养是不足的
[01918.26-01919.44] 因为共养不足
[01919.44-01920.54] 所以在这种情况之下
[01920.54-01923.42] 他的燃烧是不完全的
[01926.42-01928.06] 燃烧不完全
[01928.06-01929.22] 所以在这里面
[01929.22-01929.98] 大家要明确
[01929.98-01931.78] 我们眼神出来的一个点
[01931.78-01934.02] 就是针对于火焰的结构
[01934.02-01936.02] 而这个火焰的层次和结构
[01936.02-01937.70] 在整个考试当中
[01937.70-01939.70] 经常会考诏和性的体目
[01939.70-01942.58] 在国考当时的一到常识提当中
[01942.58-01943.86] 也考读了考过了
[01943.86-01944.90] 就是一下关于
[01944.90-01946.34] 我们所说的这个火焰
[01946.34-01948.34] 说法正确或者是错误的事
[01948.34-01950.10] 那这里面就要掌握住
[01950.10-01953.30] 颜色以及它的温度以及它的特心
[01953.30-01954.98] 那这是我们从
[01954.98-01956.98] 灭火器它的使用方式当中
[01956.98-01958.66] 也身出来的一个考电
[01958.66-01961.22] 就是我们所说的火焰的结构
[01961.78-01964.78] 具体面我气我们常见的到底有哪些呢
[01964.78-01966.02] 咱们来主意看一下
[01966.02-01967.50] 在这些面伙其当中
[01967.50-01968.90] 同学们需要掌握的是什么呢
[01968.90-01971.38] 就是需要这些掌握面伙气
[01971.38-01973.42] 它面伙的原理
[01973.42-01976.62] 以及它不能用于哪些伙在的面伙
[01976.62-01979.54] 这个是我们在具体面伙其的内容当中
[01979.54-01981.06] 需要同学去掌握的
[01981.06-01983.22] 首先在这里我们先来看一下第一个
[01983.22-01984.74] 叫二人花探面伙气
[01984.74-01986.10] 它是二人花探面伙气
[01986.10-01988.34] 就是我跟大家展示的图片这样子
[01988.34-01990.82] 这也是最常见的一种面伙气的形式
[01990.82-01991.30] 对吧
[01991.30-01996.54] 都说二人花他灭火器是里面装的是业态的二人花他
[01996.54-02000.78] 大家都知道二人花他也成为干净他如果说原本是业态的
[02000.78-02003.26] 当你给他释放到空气当中的时候他会怎么办
[02003.26-02004.42] 立即气挂
[02004.42-02008.54] 那从业态到气态他是不是要吸收热量了
[02008.54-02011.78] 那如果一旦吸收热量的话就会降低周围空气的温度
[02011.78-02013.50] 从而打到我们所说的什么
[02013.50-02015.50] 从而打到我们所说的灭火的目的
[02015.50-02017.38] 所以他的原理其实是有两个
[02017.38-02018.74] 大家注意下第一个是啥
[02018.74-02022.74] 叶胎二岸化胎他会气化
[02022.74-02024.74] 而一旦气化的化胎就会吸热
[02024.74-02025.74] 大家注意一下
[02025.74-02028.74] 吸收热量是不是起到了相对人数降低温度的左右
[02028.74-02031.74] 这时候可能让这个火打到找回电一下
[02031.74-02034.74] 第二个就是大家也要注意另外一个问题
[02034.74-02036.74] 二岸化胎气化之后
[02036.74-02037.74] 他导致的结果是什么
[02037.74-02041.74] 是不会在空气当中产生大量的气体二化胎
[02041.74-02044.74] 这种情况之下有二化胎
[02044.74-02046.74] 那就会把养戏充弹
[02046.74-02049.74] 而且还养气格局正情外之下也可以让火灾
[02049.74-02052.10] 因为没有住然机而新面
[02052.10-02054.30] 所以在这里面搭住一下
[02054.30-02056.30] 二人化它面伙气的面伙原点
[02056.30-02057.50] 两个方面
[02057.50-02059.78] 第一个是从着火点来看的话
[02059.78-02061.58] 温度会降低
[02061.58-02064.06] 第二是从住然机的角度来看的话
[02064.06-02066.46] 就是现在二人化它都出来了
[02066.46-02068.50] 周围都是二人化它没有养气了
[02068.50-02069.46] 这种情况之下
[02069.46-02072.78] 格局养气也可以达到面伙的效果
[02072.78-02074.70] 这是第一个二人化它没有气
[02074.70-02076.18] 那耳環它沒有器也是一樣的
[02076.18-02077.30] 就是在這裡面 對吧
[02077.30-02079.46] 這個就是它的往來噴射的這個地方
[02079.46-02082.54] 把這個地方對著火焰的
[02082.54-02085.34] 根部的內眼就可以起到面火的效果了
[02085.34-02087.54] 那這是耳環它沒有器
[02087.54-02088.58] 那耳環它沒有器
[02088.58-02090.94] 它其實是使用於一般生活當中
[02090.94-02092.22] 常見的比如說
[02092.22-02095.34] 徒輸當案的規重這樣的一種設備
[02095.34-02097.26] 經歷的一切等等這些面火
[02097.26-02098.46] 但大家就以下二的話
[02098.46-02100.10] 它通常要反向幾
[02100.10-02102.46] 二的話它不太使用於
[02102.46-02103.94] 氧化物的灭火
[02103.94-02105.54] 同时把这个点标准出来
[02105.54-02107.94] 它不太顺于氧化物的灭火
[02107.94-02109.82] 因为一旦是有氧化物的话
[02109.82-02112.18] 它会和二花碳产生相的化学反应的
[02112.18-02115.38] 这时候就没有办法达到灭火的效果了
[02115.38-02117.74] 这是第一个叫做二花碳灭火器
[02117.74-02120.38] 也是生活当中比较常见的这种灭火器
[02120.38-02122.62] 第二种灭火器就叫做泡沫灭火器
[02122.62-02124.34] 就在这里给大家展示的
[02124.34-02126.98] 它们在行上长的都差不多
[02126.98-02129.02] 对吧 但其实它的内容物不太一样
[02129.02-02130.22] 二花碳灭火器
[02130.22-02131.70] 其实你就是把掉那个酸
[02131.70-02132.86] 然后极压的时候
[02132.86-02134.04] 然后拿着前面这个头
[02134.04-02135.60] 你是不是就可以往来噴
[02135.84-02137.68] 但是碰里有些在使用的时候
[02137.68-02140.28] 不能说直接把掉酸就直接用
[02140.28-02141.34] 而是怎么样呢
[02141.34-02142.04] 大家注意一下
[02142.04-02143.00] 碰里面有气呢
[02143.00-02144.68] 它里面是用两种种叶的
[02144.94-02146.64] 在使用碰里面有气的时候呢
[02146.64-02148.56] 要先把米伙企业倒立
[02148.56-02150.70] 硬把它先头充下
[02150.70-02151.98] 给它混合一下
[02151.98-02153.38] 倒立的目的是什么
[02153.38-02154.14] 同们看一下
[02154.14-02156.58] 倒立的目的是让它这里面的
[02156.58-02159.18] 两种化学物质能够混合
[02159.18-02161.38] 这样的话就物质的一种是流酸率
[02161.38-02162.90] 一种是汉酸清脑
[02162.90-02164.78] 流酸率和汉酸清脑
[02164.78-02168.46] 我们所说的发生反应之后就会产生标助一下
[02168.46-02172.02] 就会产生大量的二人化探气体
[02172.02-02173.90] 那产生大量的二人化探气体
[02173.90-02176.54] 是不是就可以隔绝周围到什么
[02176.54-02179.02] 养气 随产生气体的目的是
[02179.02-02179.94] 隔绝养气
[02179.94-02182.26] 那第二个就是大量的二人化探气体
[02182.26-02184.74] 同时它有能够起到教门的作用
[02184.74-02186.38] 所以在这里面大助一下
[02186.38-02191.56] 他小达到的结果就是歌曲养弃变起到降温
[02191.56-02192.86] 所以在这里面你看
[02192.86-02199.00] 他其实在灭火本质上都是歌曲养弃和降温无论是二花它面估起还是碰到没有气
[02199.00-02201.00] 只不过什么 只过不一样
[02201.00-02203.64] 二花它没有气里面直接是二花它
[02203.64-02207.14] 而碰到没有气是要先反映一下才能产生二花它
[02207.14-02209.84] 对吧 所以在这里面大注意就是碰到没有气
[02209.84-02213.82] 那他之所以叫碰到没有气就是因为他不仅产生二花它
[02213.82-02216.48] 它有噴射上噴射大量的泡墨
[02216.48-02218.78] 那它如果一旦噴射出大量的泡墨
[02218.78-02221.26] 包括在我们所说的这个燃烧的物品上
[02221.26-02223.42] 那它就不能使用于哪些灭火呢
[02223.42-02226.74] 泡墨住一下就不能使用于在书上给到了
[02226.74-02229.18] 就要不是用于水融性可然
[02229.18-02230.66] 或依然的这种夜梯
[02230.66-02233.30] 比如说一纯就已经按纵东西
[02233.30-02235.18] 就不太适合用它来灭火了
[02235.18-02237.26] 同时它也不太使用于坏下
[02237.26-02239.62] 不是用在电池设备上
[02240.70-02242.86] 为什么不是用在电池设备灭火
[02242.86-02244.50] 因為他產生泡沫
[02244.50-02246.66] 那他一旦泡沫是吸墓在這種電池上
[02246.66-02249.58] 是不是對建棄可能會造成一頂的漆舌和損害
[02249.58-02251.62] 或者說哪怕不漆舌和損害
[02251.62-02253.30] 這泡沫清洗是很難的
[02253.30-02256.30] 所以在這裡他不是用於電池說背
[02256.30-02257.98] 第二個大住一下
[02257.98-02260.18] 寄水的設備也不行
[02260.18-02261.62] 因為這種情況之下
[02261.62-02265.26] 我們所說的可能會和水發生的這些金屬
[02265.26-02266.50] 這種情況之下
[02266.50-02267.90] 就可能產生反應
[02267.90-02272.26] 那到會對相應的這個設備或者入物質進行一定的腐臟
[02272.26-02275.00] 第三个就是经历的金属之屁
[02275.00-02276.30] 经历的金属之屁也不行
[02276.30-02277.64] 因为刚才我们说了
[02277.64-02279.38] 在整个泡灭武器当中
[02279.38-02282.94] 它是流酸、链和探尊秋娜混在块了
[02282.94-02284.76] 它一定会产生一定带水的
[02284.76-02286.06] 换给物质和二的话
