[00000.00-00002.54] 那接下來呢 還會面臨另外一個問題 就是
[00002.54-00006.64] 那我們知道了 說勞動創造了價值 對吧
[00006.64-00008.96] 就剛才所說的 具體勞動創造使用價值
[00008.96-00010.68] 創下勞動創造價值
[01233.56-01237.06] 把它繁了夫婦的去消化一下
[01237.06-01239.36] 这个就是我们所说的有关于
[01239.36-01241.56] 叫做老动生产率 价值总量
[01241.56-01244.56] 还有我们所说的单位商品价值量吃间的关系
[01244.56-01245.56] 这在这
[01245.56-01247.56] 前面还给的大量 大家的两概念
[01247.56-01249.56] 一个叫简单老动一个叫复杂老动
[01249.56-01252.06] 你就知道简单老动就是不需要
[01252.06-01253.56] 赔讯也不需要专门的
[01253.56-01255.06] 我们所说的技能赔讯
[01255.06-01256.06] 你就去能做的事
[01256.06-01257.56] 这个就要做简单老动
[01257.56-01260.56] 比如说在这里没有什么直接提示
[01260.56-01262.56] 我们只说举个例子
[01262.56-01265.90] 比如说我现在我呢就是清早大街
[01265.90-01267.42] 对吧我现在就是一个寶击圆
[01267.42-01268.90] 那你看我做一个寶击圆的话
[01268.90-01269.74] 我清早大街
[01269.74-01271.78] 他续不去要我们所说的相的赔讯
[01271.78-01273.22] 他不需要相应的赔讯
[01273.22-01276.26] 那这种情况我做的这种工作就要什么简单劳动
[01276.26-01278.06] 但是如果现在有一个什么呢
[01278.06-01279.62] 现在有一个程序圆
[01279.62-01282.02] 那个程序圆他写编码写程序写代嘛
[01282.02-01283.54] 写编码写程序写代嘛
[01283.54-01285.20] 续不需要专门的赔讯
[01285.20-01286.30] 需要专门的赔讯
[01286.30-01288.40] 那赔讯出来才能拥有这样的技能
[01288.40-01289.52] 那他就属于什么
[01289.52-01290.46] 复杂劳动
[01290.46-01292.70] 那简单劳动和复杂劳动什么关系呢
[01292.70-01296.10] 就是复杂劳动它等于数倍的简单劳动
[01296.10-01297.90] 所以在这里面大注意
[01297.90-01301.86] 所以我们就让说老动职业无夸大小无高低之分
[01301.86-01304.86] 但是确实它的劳动量或者是我们所说的
[01304.86-01307.26] 它的一个价值量是有一定的差距的
[01307.26-01308.94] 所以在这里面大家注意一下
[01308.94-01310.30] 这个概念就可以了
[01310.30-01311.82] 因为我们有时候在考试的时候
[01311.82-01314.74] 有时候出现简单劳动和复杂劳动这两个概念
[01314.74-01318.94] 好 那我们就把整个价值和商品这一块
[01318.94-01322.14] 就给大家说完了咱们来简单的苏里回顾一下
[01322.14-01324.54] 我们说了首先第一个商品
[01325.74-01329.26] 它最终的目的是为了实现交换 对吧
[01329.26-01331.26] 那么说了商品要实现交换
[01331.26-01333.66] 它必须要具备三个条件
[01333.66-01335.14] 商品要能够成为商品
[01335.14-01337.02] 必须备三个条件就交换
[01337.02-01338.46] 第二个叫做有用
[01338.46-01340.38] 我们叫做使用价值
[01342.54-01343.90] 然后还要怎么样
[01343.90-01345.42] 还要是无差别的人类劳动
[01345.42-01346.70] 叫做价值
[01346.70-01347.98] 但是无论是使用价值
[01347.98-01351.62] 还是架子我们都可以理解为是抽象的广义的价值
[01351.62-01353.54] 那什么价值采取了呢
[01353.54-01355.18] 价值来自于老动
[01355.18-01357.22] 我们说了老动创造价值
[01357.22-01360.46] 什么价值是由具体老动所创造的
[01360.46-01363.94] 而价值是由抽象老动所创造的
[01363.94-01364.42] 对吧
[01364.42-01366.50] 到这我们就把他的这个
[01366.50-01368.50] 二零素给大家刷完了
[01368.50-01370.06] 这里面刷了之后
[01370.06-01371.82] 我们要知道具体老动和抽象老动
[01371.82-01373.22] 它不是两个老动
[01373.22-01374.42] 而是一个聊动的
[01374.42-01376.42] 两个方面对吧
[01376.42-01378.62] 這是我們所說的他們之間的關係
[01378.62-01380.50] 但是問題就出在這個價值上
[01380.50-01381.46] 我們剛才說了
[01381.46-01383.46] 這個價值它怎麼去横梁呢
[01383.46-01387.22] 我們對一價值的一個平派或者判斷是從兩個方面
[01387.22-01389.90] 第一個是從它的至少來去定一價值
[01389.90-01391.90] 什麼叫做至是價值的定義
[01391.90-01395.78] 我們當時說了叫做無差別的人類勞動
[01395.78-01396.22] 對吧
[01396.22-01398.02] 這是從至上來看
[01398.02-01399.22] 那同時我們說了
[01399.22-01400.86] 那無差別的人類勞動
[01400.86-01402.42] 怎麼給它外面表現出來呢
[01402.42-01404.02] 我們需要對它基金横梁
[01404.02-01406.94] 所以就有单位商品的价值量
[01406.94-01409.38] 单位商品价值量有什么来决定
[01409.38-01411.94] 有社会比较劳动时间来决定
[01411.94-01413.74] 就又回口到了上面的地方
[01413.74-01414.78] 所以大家就知道
[01414.78-01418.34] 又进入了刚才的那个图的退老当中
[01418.34-01419.74] 这个就是我们所说的
[01419.74-01421.66] 和商品有关的相关的
[01421.66-01422.94] 一些基本概念
[01422.94-01424.42] 从这里就延伸出来了
[01424.42-01426.06] 我们还要接着再往下看
[01426.06-01427.74] 就是我们当商品同时
[01427.74-01429.14] 具备什么价值和价值
[01429.14-01431.26] 也知道了商品价值量之后
[01431.26-01433.78] 这时候商品就要去干嘛交换了
[01433.78-01436.08] 商品交換必須要接觸什麼
[01436.08-01437.74] 必須要接觸貨幣
[01437.74-01439.20] 所以我們來看一下在這裡
[01439.20-01442.42] 講到了第四個點就叫做貨幣的時呢
[01442.42-01444.22] 大家要知道貨幣這個東西
[01444.22-01446.20] 它不是天然就有的
[01446.20-01449.34] 它是社會發展到一并階段的產物
[01449.34-01451.70] 所以我們所說的發展到了後期
[01451.70-01454.42] 貴金屬金銀出現之後才產生了貨幣
[01454.42-01456.06] 而貨幣在線上的我當中
[01456.06-01457.58] 其實離不開塔
[01457.58-01459.68] 就是你買賣東西都要用到貨幣
[01459.68-01462.26] 大家注意一下這裡面區別一個概念
[01462.26-01464.54] 就是在这里面我们讲到现在买东西
[01464.54-01466.10] 我们也是要用到钱的
[01466.10-01468.54] 但是钱它等动同于货币
[01468.54-01470.26] 它这个钱不等同于货币
[01470.26-01471.62] 大家注意一下货币是什么
[01471.62-01472.74] 你看书上说了
[01472.74-01474.58] 说货币的本质是
[01474.58-01478.10] 固定的冲端一般等价物的商品
[01478.10-01480.02] 所以货币的本质是商品
[01480.02-01481.46] 我们常见的货币
[01481.46-01483.26] 它其实属于贵金属金眼
[01483.26-01484.46] 什么金子颜色
[01484.46-01485.74] 这些才叫做货币
[01485.74-01487.14] 所以货币的本质
[01487.14-01492.02] 它其实是冲端一般等价物的商品
[01492.02-01493.56] 老是什么是一般等家伙
[01493.56-01496.22] 一般等家伙就是在商品交换过程当中出现的
[01496.22-01498.42] 大家都默认为这个东西
[01498.42-01501.18] 他可以作为一个中介物
[01501.18-01505.06] 比如说以前的时候我们在简单的物物交换的时候
[01505.06-01506.10] 物交换怎么换呢
[01506.10-01508.42] 我手里有三几
[01508.42-01509.62] 我住在东北吗
[01509.62-01510.58] 我手里有三几
[01510.58-01511.98] 比如说你住在海边
[01511.98-01512.50] 你学里有
[01512.50-01513.26] 你手里有什么
[01513.26-01514.22] 手里有水产
[01514.22-01517.62] 这有时候三几和水产直接交换是简单的物交换
[01517.62-01521.02] 但是这时候物交换他必须满足有条件
[01521.02-01523.02] 就是我正好想吃水茶
[01523.02-01524.46] 你正好想吃山姬
[01524.46-01525.38] 咱俩一空击合
[01525.38-01526.14] 我說愛啊
[01526.14-01528.94] 就是只是因為在人群當中多看了一面
[01528.94-01530.58] 從此再不能忘掉理論演
[01530.58-01531.02] 對吧
[01531.02-01532.02] 你也多看我一眼
[01532.02-01533.18] 還可以看到山姬
[01533.18-01535.26] 這種說在愛都說像這種硬體
[01535.26-01536.06] 這種意想
[01536.06-01537.02] 我正好想吃這個
[01537.02-01537.98] 你正好想吃那個
[01537.98-01539.10] OK一拍凧合
[01539.10-01541.02] 我們兩個才可以進行五角歡
[01541.02-01541.98] 但是這裡面
[01541.98-01543.42] 它的前提就是咱們兩個
[01543.42-01546.02] 都必須有需要對方產品的這個
[01546.02-01547.26] 意思存在對吧
[01547.26-01548.06] 但現在呢
[01548.06-01550.06] 如果現在我手裡不是山姬
[01550.06-01552.16] 然后你手里也不是水产
[01552.16-01553.24] 我呢是一个啥呢
[01553.24-01554.96] 现在市场当中存在三桶人
[01554.96-01557.30] 这三桶人呢比如说还有住在西北的同学吧
[01557.30-01559.10] 那比如说像西北地区的小伙伴
[01559.10-01561.98] 他们产生养养肉花吧
[01561.98-01563.82] 那不能叫生养啊就是养肉
[01563.82-01564.92] 那你看就用情况之下
[01564.92-01567.58] 如果是让当中有生养有山击
[01567.58-01569.14] 还有我们所说的水产
[01569.14-01570.84] 那这种情况之下碰到的概率
[01570.84-01573.86] 那就可能是咱俩碰到山击和水产
[01573.86-01575.40] 这两个部分的小伙伴碰到
[01575.40-01577.84] 或者是我们所说的养肉和水产碰到
[01577.84-01580.00] 或者是山击和养肉碰到
[01580.00-01581.08] 是不是都有可能啊
[01581.08-01583.20] 但是你现在是什么你想吃山鸡
[01583.20-01584.20] 我想吃水产
[01584.20-01586.56] 咱俩碰到的概率其实很小
[01586.56-01588.36] 很有可能是什么呢
[01588.36-01589.68] 养肉的小伙伴
[01589.68-01591.44] 可是山鸡的时候我不是碰到了
[01591.44-01593.36] 我说你有谁产吗
[01593.36-01595.80] 然后你问我说我没有谁产
[01595.80-01597.76] 然后我说那这个时候像之前
[01597.76-01598.68] 我不能跟你换
[01598.68-01598.88] 对吧
[01598.88-01599.80] 因为我想吃水产
[01599.80-01600.96] 我说了就有这种山鸡
[01600.96-01602.76] 那这种型物的像是咱俩换不了
[01602.76-01603.84] 那换不了的话呢
[01603.84-01604.72] 频率就会怎么样
[01604.72-01606.44] 上面交换的频率就会降低
[01606.44-01607.40] 很麻烦的
[01607.40-01607.64] 对吧
[01607.64-01609.04] 这种型物是要太麻烦的
[01609.04-01611.64] 那大家就开始发动他们智慧的小脑上想
[01611.64-01613.64] 说那我们能不能找到一个东西
[01613.64-01614.64] 就是这个东西呢
[01614.64-01616.24] 全国各地都认
[01616.24-01620.44] 然后呢我们想换东西的时候先把我们手里的东西换成
[01620.44-01622.24] 这样的一个大家都认得东西
[01622.24-01625.24] 然后再拿这个都认得东西的去全国各地去买卖
[01625.24-01626.64] 那这个就被称这为什么
[01626.64-01627.74] 中间我们说了
[01627.74-01630.64] 起到中节做我们就叫做一般等下物
[01630.64-01632.64] 那充当一般等下物的东西有很多
[01632.64-01633.84] 比如说背壳了
[01634.84-01635.44] 对吧
[01635.44-01637.04] 比如说我们所说的不博了
[01639.04-01669.04] 那像這種東西,那如果是這樣的換呢,就有了這個布博,布博的話呢,它其實就相當於我把我的水產換成布博,我在拿著我的布博去買山機,或者是現在呢,你把你的山陽換成布博,然後你再拿著你的布博去買什麼東西,因為布博大家都認了,那這個布博就叫做一般等加入,而這個布博呢,大家知道它在我們所說的這個,交換的過程當中很容易壞嘛,這是一扯就扯碎了,或者它容易摸碎,所以我們最後呢,這時候能把布博換成變裕裕裕,
[01669.04-01672.12] 交易变于切割 而且还耐谋所能东西
[01672.12-01673.68] 于是就了规金属经验
[01673.68-01676.96] 我们就用了金字和研字来代替不过
[01676.96-01679.96] 而金研作为等家围弹出现的手什么就出现了呢
[01680.96-01681.96] 货币就出现了
[01681.96-01683.76] 所以货币本质上是什么
[01683.76-01685.24] 货币他的本质上
[01685.24-01688.36] 其实就是充当一般等下物的商品
[01688.36-01690.76] 但是像我们所说的这种金字研字
[01690.76-01692.60] 第一个就是它的主量
[01692.60-01694.12] 其实没有我们所说的
[01694.12-01695.08] 那么那么多
[01695.08-01695.44] 对吧
[01695.44-01697.08] 第二个就是金字和研字
[01697.08-01698.28] 在交换的过程当中
[01698.28-01700.28] 他也会出现相的模式
[01700.28-01703.04] 第三一个就是金字和颜色实在是太重了
[01703.04-01703.52] 对吧
[01703.52-01704.68] 咱们经常看见是
[01704.68-01706.92] 看见是那都是跨张的鞋法
[01706.92-01707.84] 那电视当中说
[01707.84-01710.00] 所以把谁把了说来吧
[01710.00-01711.96] 就要什么呢
[01711.96-01712.96] 就要一百两颜色
[01712.96-01713.96] 然后就要一百两颜色
[01713.96-01714.84] 就把人放给你
[01714.84-01715.80] 然后你看那个大小
[01715.80-01716.80] 被这个小背包
[01716.80-01717.16] 对吧
[01717.16-01718.72] 然后一百两颜色就带过去了
[01718.72-01720.16] 一百两颜色帮我中了
[01720.16-01721.44] 你是不是打用车腿啊
[01721.44-01723.08] 你拿小背包你就被过去了
[01723.08-01723.68] 你问你
[01723.68-01725.12] 你先神人也
[01725.12-01725.52] 对吧
[01725.52-01726.72] 所以你还像这种
[01726.72-01728.40] 顏色坚子就有农心你
[01728.40-01730.00] 交换也不是很方便
[01730.00-01731.52] 所以到了现在我们就说了
[01731.52-01732.80] 我们不用规结手机
[01732.80-01734.76] 也去从到过避见交换了
[01734.76-01735.56] 我们干嘛呢
[01735.56-01736.92] 我们用的是什么呢
[01736.92-01738.20] 我们就用了现金
[01738.20-01740.00] 也是我们所说的指蔽
[01740.00-01742.48] 我们用指蔽来代替规结手机也
[01742.48-01743.64] 指蔽是什么呢
[01743.64-01744.32] 大家证一下
[01744.32-01747.44] 指蔽它其实只有一种价值符号
[01750.08-01751.36] 它做是一张指
[01751.36-01752.32] 大家证一下
[01752.32-01753.96] 指蔽它做一种价值符号
[01753.96-01755.68] 同时要知道它这么几个概念
[01755.68-01758.10] 第一个他不等同于货币
[01758.10-01760.58] 货币是十大十的金子和贏字
[01760.58-01761.62] 你就不用说你说老师
[01761.62-01762.66] 我要被他的概念
[01762.66-01764.66] 就是什么一般等家误的商品不用
[01764.66-01765.92] 你就知道货币
[01765.92-01768.42] 他就是相当于十大十的贏字
[01768.42-01769.58] 他就是一般等家误
[01769.58-01771.86] 他必须是一个聚乡化的东西
[01771.86-01773.78] 所以这是我们所说的货币
[01773.78-01775.48] 你就知道是十大十的金子和贏字
[01775.48-01777.48] 那你就觉得指币是金贏吗
[01777.48-01778.68] 指币不是金贏
[01778.68-01780.14] 他就是一张者 对吧
[01780.14-01783.06] 所以他是国家强制使用的价值符号
[01783.06-01784.68] 所以在这里面大家注意啊
[01784.68-01786.44] 这是我们所说的第一个概念
[01786.44-01787.56] 指扁不能以货币
[01787.56-01789.04] 考试的时候考过这个
[01789.04-01790.24] 第二个大家就知道
[01790.24-01791.80] 如果他作为指扁的话
[01791.80-01792.72] 在这个过程当中
[01792.72-01794.00] 他不等同以货币
[01794.00-01794.56] 那说白了
[01794.56-01797.08] 他就不是存脆的经验那一类的
[01797.08-01798.28] 那就说白了这个指扁
[01798.28-01799.32] 他只有只能干嘛
[01799.32-01801.00] 只能在市场当中流通
[01801.00-01802.00] 帮我们买东西
[01802.00-01804.80] 所以他只具有使用价值
[01806.04-01808.56] 那他只具有使用价值
[01808.56-01809.48] 但是怎么办
[01809.48-01810.60] 没有价值
[01813.04-01814.44] 只具有使用价值
[01814.44-01815.36] 他没有价值
[01815.36-01816.60] 你说老师他为什么没有价值
[01816.60-01818.76] 他那张值不也是人生产出来的吗
[01818.76-01821.84] 他那个值只是一个符号 只是一个符号
[01821.84-01824.40] 他只是一个流通的手段而已
[01824.40-01826.92] 有记得他只有什么价值没有价值就行了
[01826.92-01827.76] 这个点呢
[01827.76-01829.04] 考得便率很少
[01829.04-01830.40] 但是考不
[01830.40-01831.76] 好凉个地区都考过了
[01831.76-01833.00] 所以在这里面大家知道
[01833.00-01834.84] 这是我们所说的货币和指币的
[01834.84-01837.20] 区别 第一个要能够去分开
[01837.20-01838.80] 那第二个我们就来看一下
[01838.80-01839.52] 那么知道了
[01839.52-01841.68] 我们现在流通的五块十块
[01841.68-01842.20] 对吧
[01842.20-01844.44] 甚至包括我们所说的512时
[01844.44-01846.28] 这都是我们所说的指蔽
[01846.28-01847.60] 它都是一种价值符号
[01847.60-01849.32] 它背后代表的是什么
[01849.32-01851.72] 它代表的是那个施大时的货币
[01851.72-01854.20] 我们来看一下这个货币也好
[01854.20-01856.00] 它具备什么样的质能
[01856.00-01858.76] 我们就来看一下货币它的质能
[01858.76-01861.68] 这个货币就可以理解为下一张的钱
[01861.68-01863.68] 就是我们这个钱还有什么用
[01863.68-01865.56] 这个就叫做货币的质能
[01865.56-01867.36] 货币的质能有五个
[01867.36-01870.00] 作为两星期之间考察的是三个
[01870.00-01871.56] 神帝一个货币干嘛
[01871.56-01874.12] 貨幣他有充当價值此度的之能
[01874.12-01875.80] 同於把價值此度化出來
[01875.80-01877.44] 什麼叫做價值此度呢
[01877.44-01879.48] 他說表現其他一切商品
[01879.48-01881.44] 是否具有價值和橫量其價值
[01881.44-01882.40] 這樣大小的之能
[01882.40-01883.72] 也就是他就是要當於什麼
[01883.72-01884.88] 相一把此一樣
[01884.88-01887.04] 這個價值此度一般具備
[01887.04-01887.96] 這種情況之下
[01887.96-01890.28] 所有的我們所說的商品
[01890.28-01891.68] 他都是可以量化的
[01891.68-01892.64] 比如說貧物
[01892.64-01893.68] 20塊錢一斤
[01893.68-01895.72] 對吧幼子30塊錢一斤
[01895.72-01897.92] 牛肉對吧40塊錢一斤
[01897.92-01900.54] 我起冒险一件
[01900.54-01902.18] 所以在这里你看一下
[01902.18-01904.28] 我们一旦有了价值纸路
[01904.28-01906.28] 只能其他的我们所说的这种商品
[01906.28-01907.96] 它是不是都是可以量化的
[01907.96-01911.04] 所以它可以红量其他商品价值量的大小
[01911.04-01912.28] 这个叫价值纸路
[01912.28-01914.00] 价值纸路一般在考试的时候
[01914.00-01915.16] 考它的理解
[01915.16-01916.18] 所以我们来看一下
[01916.18-01918.16] 出现哪些关键磁的时候
[01918.16-01920.46] 价值纸路通过出一下
[01920.46-01921.84] 它如果在提干的那种出现了
[01921.84-01924.12] 标价出现了价价
[01925.12-01927.12] 出现了明马标价
[01927.92-01934.32] 出现了这一系列表输的时候,就一下,他就叫做什么?
[01934.32-01943.28] 价值此度,他就叫做价值此度,这个就是我们所说的,货币只能,标价价价称明马标价,这有时候就价值此度
[01943.28-01949.68] 那大家来看一下,当货币充当价值此度只能,他用的是真钱还是关键什么货币呢?
[01949.68-01957.88] 他用的是关键上的货币,你说老师自怎么理解,你比如说你去超市买东西,你去超市买东西的时候,你会发现,他那个上了标的是什么?
[01957.88-01959.88] 说猪肉 我不知道现在多少钱一斤啊
[01959.88-01961.48] 好久没有吃肉了
[01961.88-01963.48] 好久没吃猪肉了
[01963.88-01965.56] 然后你看他比有收局的点
[01965.56-01967.24] 比如说17块钱一斤
[01967.24-01969.08] 那他这种球就会标助什么呢
[01969.08-01971.72] 17点0零然后呢
[01971.72-01972.84] 美金 对吧
[01972.84-01973.64] 他可能会这么别
[01973.64-01975.24] 或者是34美工界
[01975.24-01978.12] 那你看他这种球是标的时候只是一个数字
[01978.12-01980.52] 他妈在那里面踏出来了17块钱
[01980.52-01982.68] 然后在这里说17块钱
[01982.68-01985.16] 然后一张十块的一张五块的两张一块
[01985.16-01986.04] 然后贴在哪
[01986.04-01986.68] 没有
[01986.68-01988.76] 所以他没有用现实到中的货币
[01988.76-01991.16] 他只是用什么关键到中的货币
[01991.16-01992.68] 所以在这里在旁边写上
[01992.68-01994.52] 他用的是关键上的货币
[01994.52-01997.00] 没有用现实中的前塔林田人的
[01997.00-01997.88] 所以大家注意一下
[01997.88-01999.08] 这是价值尺度
[01999.08-02001.16] 那这第一个出现了标价价价牆
[02001.16-02003.24] 那第二个就做了流通手段
[02003.24-02004.36] 流通手段啥意思呢
[02004.36-02006.92] 就是冲当商品交换的每一届
[02006.92-02008.68] 以实现商品交换
[02008.68-02010.52] 也是有了这个货币
[02010.52-02012.12] 货币就是一个中转
[02012.12-02016.64] 比如说你把钱给我
[02016.64-02019.00] 我把手机给你
[02019.00-02021.44] 你看这种情况之下是不是用了
[02021.44-02023.16] 货币充当商品交換的玫节
[02023.16-02026.24] 让商品通过货币的交換流通起来了
[02026.24-02028.88] 然后我在拿着你这个钱去买其他的东西
[02028.88-02030.28] 所以它就是一个中介
[02030.28-02031.88] 这个叫做流通手段
[02031.88-02033.40] 那流通手段大家注意一下
[02033.40-02034.72] 它在考试的时候
[02035.28-02037.24] 你把情况之下体现出来的点
[02037.24-02038.60] 同时把这个标字出来
[02038.60-02041.16] 叫做一手交钱一手交货
[02041.16-02043.28] 我把东西给你
[02043.28-02044.92] 你把钱给我
[02044.92-02047.96] 是不是一个实实交付及时交付的过程
[02047.96-02049.08] 这个就叫做什么
[02049.08-02051.92] 这个就叫做流通手段
[02051.92-02053.20] 那就有个流通手段
[02053.20-02054.84] 比如说我给了你500万
[02054.84-02056.20] 你把房子卖给我
[02056.20-02057.48] 给我进行了过互登记
[02057.48-02057.76] 对吧
[02057.76-02058.84] 那这个手我给你钱
[02058.84-02059.68] 你给我房子
[02059.68-02061.20] 是不是一手交钱一手交化
[02061.20-02063.36] 那进手的500万就是什么只能
[02063.36-02065.40] 就是流通手段只能
[02065.40-02066.64] 就是流通手段只能
[02066.64-02067.96] 那这是钱两个
[02067.96-02069.92] 而价值此度和流通手段
[02069.92-02070.64] 大家注意一下
[02070.64-02072.08] 它又被称着为叫做什么
[02072.08-02074.44] 它會被創作為叫做貨幣的基本值能
[02074.44-02075.42] 大家注意一下
[02076.90-02078.48] 主持在這為大家標誌的
[02078.48-02080.02] 就是貨幣的基本值
[02080.02-02081.94] 它的基本值能只有兩個
[02081.94-02082.58] 大家注意
[02082.58-02085.28] 證說要去分貨幣的值能是5個
[02085.28-02086.98] 但是基本值能只有幾個
[02086.98-02088.98] 基本值能只有2個
[02088.98-02090.18] 基本值能只有2個
[02090.18-02090.88] 大家注意
[02090.88-02092.68] 這是我們所說的有關於
[02093.28-02094.88] 我們所說的流通手段
[02094.88-02096.38] 那流通手段回看的話
[02096.38-02099.28] 它用的其實就是現實到中的貨幣了
[02099.28-02103.00] 它用了现实当中的货币
[02103.00-02105.08] 而不是用观念上的货币
[02105.08-02106.00] 那大家注意
[02106.00-02109.60] 这是我们所说的有关于它的一个溜空手段
[02109.60-02111.60] 那仇溜空手段还有驻藏手段
[02111.60-02113.16] 驻藏手段了解一下就行了
[02113.16-02115.16] 就是这个货币退出溜空流一了
[02115.16-02117.36] 它不在市场当中当前流通了
[02117.36-02119.92] 这个就是我们所说的驻藏手段
[02119.92-02121.24] 那这个驻藏手段的
[02121.24-02123.20] 它必须要求是阻止的
[02124.48-02125.48] 贵金属金盐
[02125.48-02127.92] 它只有贵金属金盐才可以
[02129.28-02133.84] 现在旁边它是阻止的
[02133.84-02137.54] 今年才可以阻藏手段
[02137.54-02141.68] 你阻藏的时候就是把它当作财富保存起来了
[02141.68-02144.66] 比如说你现在去银行买金条
[02144.66-02148.08] 你去买金条的话它说是金条50克500克还是多少克
[02148.08-02149.62] 它能不能跟你说说先生
[02149.62-02154.40] 我们这边现在这个金条它不足500克或者不足50克
[02154.40-02155.96] 它只有49.9克
[02155.96-02158.76] 我们给您按照50克来给您计算
[02158.76-02160.18] 你这个说些不得报警吗
[02160.18-02160.64] 对吧
[02160.64-02161.64] 你这你这封了吗
[02161.64-02161.84] 对吧
[02161.84-02163.14] 你这不是拿我的钱
[02163.14-02163.84] 不当钱吗
[02163.84-02165.24] 所以你看他必须是什么
[02165.24-02166.40] 他必须是阻止的
[02166.40-02167.52] 为什么要阻止啊
[02167.96-02169.72] 因为他要保持增值
[02169.72-02171.16] 你买金条的目的是什么
[02171.16-02173.04] 你买金条的目的就是为了
[02173.04-02174.08] 让他长家嘛
[02174.08-02174.44] 对吧
[02174.44-02176.44] 我们都知道黄金是硬碰过呀
[02176.44-02177.52] 所以阻止的目的
[02177.52-02179.24] 就是为了我们所说的
[02179.24-02180.96] 用他保持增值的
[02180.96-02181.56] 所以在这里
[02181.56-02182.76] 他要求是阻止的
[02182.76-02183.68] 金研才可以啊
[02183.68-02185.72] 才能够我们所说的
[02186.04-02187.20] 作为主倉手段
[02187.20-02189.52] 如果不是一般的同體是不可以的
[02189.52-02192.32] 所以大家了解做廠手段是什麼就可以了
[02192.32-02194.80] 第三一個重點其實在於支付手段
[02194.80-02197.44] 支付手段他說是用於清廠債務等值
[02197.44-02199.24] 在這裡面把支付手段畫出來
[02199.24-02201.80] 都是不要常見的是稅租金和公資
[02201.80-02205.20] 同樣有發現這裡的稅也好租金也好公資也好
[02205.20-02206.68] 他體現的一個特點是什麼呢
[02206.68-02208.04] 同樣在旁邊標註一下
[02208.04-02210.56] 叫做前或分離的交易模式
[02213.12-02214.20] 前或分離
[02214.20-02215.68] 因為距離方考試的時候
[02215.68-02217.88] 会把支付手段和谁对比考
[02217.88-02221.38] 会和刚才我们所说的流通手段对比考
[02221.38-02223.48] 流通手段是一手交钱
[02223.48-02224.38] 一手交货
[02224.38-02225.68] 而支付手段是什么
[02225.68-02226.38] 钱货分裂
[02226.38-02227.68] 你比如说在这里面的
[02227.68-02230.08] 一个公资或者是我的公资
[02230.08-02231.88] 你看像大家的公资
[02231.88-02233.48] 你是先干活
[02233.48-02234.48] 再给公资
[02234.48-02235.88] 还是先给公资
[02235.88-02236.68] 在干活
[02236.68-02238.18] 还是干一分钟
[02238.18-02239.88] 同时给你一分钟有钱
[02239.88-02242.28] 一般都是先干活
[02242.28-02243.08] 再给钱
[02243.08-02244.48] 你说老说我打的是坚持
[02244.48-02245.64] 你堅止不也是吗
[02245.64-02246.40] 你是今天干完了
[02246.40-02247.52] 说的在把钱给你
[02247.52-02248.04] 对吧
[02248.04-02249.24] 你说我7月份看
[02249.24-02250.12] 我7月份去了
[02250.12-02251.72] 现在只是9月份
[02251.72-02252.84] 我9月份开了工资
[02252.84-02253.96] 是9月份的活
[02253.96-02254.92] 8月份的活吗
[02254.92-02255.60] 那你看
[02255.60-02257.24] 我是先把我的楼物
[02257.24-02258.84] 或者是商品付出去了
[02258.84-02260.24] 然后他才把钱给我
[02260.24-02261.80] 是不是钱或分理
[02261.80-02263.20] 那种钱或分理的形式
[02263.20-02264.28] 他就属于什么
[02264.28-02265.44] 支付手段
[02265.44-02267.28] 你比我做相这里的租金也是
[02267.28-02268.44] 你租房子
[02268.44-02269.24] 你是先给钱
[02269.24-02270.76] 再租还是他给你
[02270.76-02272.04] 房子然后再给钱
[02272.04-02273.48] 这就是先给钱再租吗
[02273.48-02276.28] 那这个时候是商品和老物已经到你手里了
[02276.44-02278.12] 钱以才付出去
[02278.28-02279.48] 对吧 那就用情况之下
[02279.48-02281.08] 钱或分离
[02281.08-02282.92] 那这个就叫做支付手段
[02283.08-02285.36] 所以你只要看到是支付手段的
[02285.36-02287.72] 你只要看到是钱或分离的
[02287.80-02289.72] 什么案件带款呢
[02289.72-02291.40] 所以淘寶第三方
[02291.40-02292.44] 对吧 那就用情况之下
[02292.44-02294.20] 他都属于什么支付手段
[02294.20-02295.40] 大家一定要注意
[02295.40-02296.36] 那这是在这
[02296.36-02298.28] 还有一根就是世界货币
[02298.28-02300.04] 是要货币就是他作为
[02300.04-02302.60] 国际货币在世界范围之内流通
[02302.60-02303.88] 那就是世界活弊
[02303.88-02305.28] 那你看一下美元
[02305.28-02307.20] 歐元英邦人民币
[02307.20-02307.48] 對吧
[02307.48-02308.76] 它其實都屬於世界活弊
[02308.76-02310.52] 你就在世界泛人內都能通用
[02310.52-02311.12] 這個點了
[02311.12-02313.00] 其為何經濟學當中的熱點化工
[02313.00-02313.80] 當然應該都知道
[02313.80-02314.96] 就是我們所說的什麼
[02314.96-02315.92] 數字人民币
[02315.92-02316.72] 數字人民币
[02316.72-02317.96] 它是中國
[02317.96-02321.20] 在世界泛人內的支付結算的一種方式
[02321.20-02321.48] 對吧
[02321.48-02322.68] 現在數字人民币
[02322.68-02323.60] 我們所說的
[02323.60-02324.64] 松柔和
[02324.64-02326.24] 可以離現支付
[02326.24-02327.36] 你身上的任何一個
[02327.36-02328.44] 為一個世界的標誌
[02328.44-02329.80] 都可以成為你的
