[00000.00-00002.00] 好的 那我们了解了
[00002.00-00003.00] 自然人的名式
[01172.90-01175.40] 总之处在这种情况之下的话
[01175.40-01178.78] 这个小孩到底被谁兼护的状态是不是没有确定
[01178.78-01180.78] 这种情况之下就可以干嘛呢
[01180.78-01181.66] 就可以
[01181.66-01185.14] 我们所说的开写相用的协议兼护
[01185.14-01186.90] 所以迷发点击30条
[01186.90-01189.34] 他就确定了我过学一兼护的制度
[01189.34-01191.70] 协议兼护他本身的目的是要保护
[01191.70-01194.62] 只要通过兼护人之间的意思之制
[01194.62-01196.98] 对于兼护设夕进行施盗的一个什么
[01196.98-01199.70] 补充或者对于施盗的一个就正
[01199.70-01201.34] 所以在这里面大家注意一下
[01201.34-01202.62] 可以标注一下敲一一
[01202.62-01207.34] 所以在这里面他所说的这个协议结果就是大家商量者
[01210.82-01217.54] 这种大家商量者给孩子找兼互人
[01220.94-01221.94] 这是大家商量者
[01221.94-01223.02] 当然这个大家呢
[01223.02-01224.98] 他只得是具有兼互资格的这些人
[01224.98-01226.34] 如果没有兼互资格一个
[01226.34-01228.46] 你说我现在我是这个孩子的老师
[01228.46-01228.78] 对吧
[01228.78-01229.90] 我看他太可怜了
[01229.90-01232.10] 父母走得走給他留下了萬關家裁
[01232.10-01233.74] 我交出預人
[01233.74-01235.74] 所以在這裡面我就說我去監護他
[01235.74-01238.46] 我去參與他們的監護資格的這個競爭當中
[01238.46-01239.06] 可以嗎
[01239.06-01239.62] 不可以
[01239.62-01241.62] 他一定是具有監護資格的人之間
[01241.62-01244.26] 也就是法定監護失去的這些人當中
[01244.26-01247.02] 是大家商量者來給孩子找監護人
[01247.02-01248.98] 那這裡面就會射一道一個問題
[01248.98-01252.46] 那大家商量了在給孩子找監護人的這個過程當中
[01252.46-01255.38] 他受不受我們所說的這樣一個射面要求
[01255.38-01257.58] 引擁說正常情況下法定設備是
[01257.58-01260.18] 他由他的組織務外組副模
[01260.18-01262.18] 然後還有我們所說的成年的鬆解
[01262.18-01264.28] 然後什麼其他的組織和個人等等
[01264.28-01265.98] 那這裡面大家一定要注意一下
[01265.98-01268.08] 他會不會受到這個設備的要求的
[01268.08-01268.98] 大秘明確
[01268.98-01270.48] 如果是協議兼貨的話
[01270.48-01271.78] 同樣的標準一下圈
[01271.78-01272.88] 協議兼貨的話
[01272.88-01275.98] 他是可以打破法定兼貨順序的
[01275.98-01280.28] 所以在這裡面他是無順序
[01280.28-01281.38] 那同樣的標準一下
[01281.38-01284.18] 他是無順序和人數的限制的
[01284.18-01285.50] 就是大家商量之来
[01285.50-01286.74] 商量如果定下来了
[01286.74-01288.30] 那尊重大家的意思之之之
[01288.30-01291.14] 说那像这个小孩的爷奶
[01291.14-01293.54] 老老老爷年是以高不太方面照顾孩子
[01293.54-01295.42] 那大家也觉得挺对的
[01295.42-01295.70] 对吧
[01295.70-01298.58] 去小孩以后要开个家人会有个搞什么
[01298.58-01299.42] 校园活动
[01299.42-01301.06] 那这个年长的这个老人
[01301.06-01302.18] 其实是不太方面的
[01302.18-01304.02] 那说那我们就交给她的什么呢
[01304.02-01305.66] 成年的哥哥来照顾她了
[01305.66-01306.58] 那这种情况之下
[01306.58-01308.46] 如果大家商量定了的话
[01308.46-01309.78] 那这里面就可以怎么样
[01309.78-01313.62] 就可以是用我们所说的这个鞋一件护
[01313.62-01315.66] 由他的哥哥来找我他
[01315.66-01318.50] 所以他是没有相当的社区限制的
[01318.50-01320.26] 他是没有相当的社区限制的
[01320.26-01321.42] 大家一定要注意一下
[01321.42-01323.66] 除了没有社区限制之外也可以怎么样
[01323.66-01325.78] 也可以没有人数限制
[01325.78-01328.34] 也认说是不是只能由他的哥哥来找我
[01328.34-01329.70] 不是如果商量好了
[01329.70-01330.78] 他的姐姐也可以来
[01330.78-01332.90] 也可以由他的哥哥和他的
[01332.90-01334.78] 祖父母外祖父母同时来
[01334.78-01336.94] 所以在这里他是无数区合什么
[01336.94-01338.30] 和人数的限制
[01338.30-01341.02] 因为在这里也是充分尊重他们的什么
[01341.02-01342.82] 意思 只能意思自治
[01342.82-01346.94] 所以这是我们所说的第一 三个叫做协议监户
[01346.94-01347.98] 这些一件户
[01348.82-01349.94] 大家要明确啊
[01349.94-01351.46] 只是大家互相商量着
[01351.46-01353.22] 到底谁来确
[01353.22-01356.18] 我们所说的 监户这个孩子这些一件户
[01356.18-01357.74] 但是可能会存在一种情况
[01357.74-01359.02] 这是大家如果说
[01359.02-01360.38] 真的对这个小孩特别好
[01360.38-01361.94] 那最终就会按照
[01361.94-01364.74] 最有利于孩子成长的这样的一个要求
[01364.74-01365.78] 然后去指定监户人
[01365.78-01367.46] 也可能大家一起对他监户
[01367.46-01368.58] 这都有可能的
[01368.58-01370.78] 但是还有另外一种特别极端的情况
[01370.78-01372.42] 另外一种特别极端情况是什么
[01372.42-01374.62] 就是大家商量的孩子找件户人
[01374.62-01376.38] 商量来商量去怎么办呢
[01376.38-01377.54] 啥也没商量下来
[01377.54-01379.62] 就是这个孩子到底有谁来结婚
[01379.62-01381.46] 这几个人就打得不可开交了
[01381.46-01381.78] 对吧
[01381.78-01384.50] 那这种情况这下就孩子他就处在了一个什么
[01384.50-01386.02] 无间户的这种状态
[01386.02-01388.02] 那如果商量也商量不明白
[01388.02-01389.58] 那这种情况这下怎么办呢
[01389.58-01392.74] 这种情况这下我们就可以启动制定的结婚
[01392.74-01394.18] 所以在制定结婚的当中
[01394.18-01396.06] 我们来看一下在这里他给到了
[01396.06-01399.74] 说制定结婚是未成年父母以外的
[01399.74-01402.96] 有法定兼互资格的人之间对兼互怎么样
[01402.96-01404.34] 有争意识
[01404.34-01406.02] 有些刚才都情况商量不下
[01406.02-01408.58] 那如果有争业不能让这个设计之中的一下
[01408.58-01409.46] 争计下去
[01409.46-01413.02] 这几个人一直我们所说的这个没有商量好
[01413.02-01414.66] 那这几个人一直没有商量好的话
[01414.66-01416.98] 你不能说这个小孩一直就没有人管
[01416.98-01420.34] 所以如果有争议且需要为定的时候
[01420.34-01421.46] 那这种情况怎么办
[01421.46-01424.54] 那就要有特定的机关来进行使定兼互
[01424.54-01426.70] 那有特定的机关来进行使定兼互
[01426.70-01427.90] 所以大家要注意一下
[01427.90-01429.66] 这是我们所说的指定监户
[01429.66-01431.14] 它的一个发生的过程
[01431.14-01432.38] 这是你们自己商量不定
[01432.38-01434.10] 那就由外利介入了
[01434.10-01435.82] 这个叫做指定监户
[01435.82-01438.30] 指定监户尽量要有特定机关来指定
[01438.30-01439.74] 它具体怎么指定呢
[01439.74-01440.42] 搭住一下
[01440.42-01441.86] 低个考虑就出现了
[01441.86-01443.18] 指定监户
[01443.18-01445.42] 它的机关或者叫做它的什么
[01445.42-01446.34] 它的路径
[01449.42-01452.30] 指定监户的机关和路径搭住一下
[01452.30-01453.22] 给它记住
[01453.22-01454.66] 那怎么指定监户呢
[01454.66-01455.30] 低种情况
[01455.30-01456.94] 就是背监户人所在地的
[01456.94-01457.44] 跨下
[01457.44-01462.32] 背结婚人所在地的村委会居委会或者是民政民政部门指定了
[01462.32-01463.04] 结婚人
[01463.04-01464.14] 也就是说刚才
[01464.14-01465.70] 学而为决那种状态之下
[01465.70-01468.82] 也奶奶老老老也哥哥姐姐什么
[01468.82-01471.42] 什么姑姑大也输入等脑就都来了
[01471.42-01473.42] 那他们之前吵得不可开胶的时候
[01473.42-01474.42] 这个时候怎么办
[01474.42-01475.50] 商量商量不好
[01475.50-01477.66] 那就可以有这个小孩所在地的
[01478.32-01479.06] 居委会
[01479.06-01481.38] 会他住在村里就有他的村委会
[01481.38-01483.10] 或者这两个都没有
[01483.10-01484.18] 那就可以指定了什么
[01484.18-01485.10] 民政部门
[01485.10-01487.66] 由他們三個來指定監護人
[01487.66-01490.48] 比如說就是這個小孩所在村的村委會指定監護人
[01490.48-01491.58] 由誰來監護呢
[01491.58-01493.30] 由這個小孩的哥哥來監護
[01493.30-01494.82] 其他人指定不樂意
[01494.82-01497.38] 這有時候其他人可能對於指定怎麼樣
[01497.38-01497.90] 不服
[01497.90-01500.20] 其他人對於指定不服的可以怎麼辦
[01500.20-01504.10] 可以像人民法院申請指定監護人
[01504.10-01506.34] 也就是在他們之間
[01506.34-01508.90] 有爭議的時候最終交給法院來採訣
[01508.90-01509.94] 就可以了
[01509.94-01511.22] 這是第一種方式
[01511.22-01512.86] 先有兩步走
[01512.86-01514.86] 第一種方式就是先有村委會
[01514.86-01516.46] 等等這些機構來指定
[01516.46-01518.02] 不服的就找法院
[01518.02-01519.58] 這是第一種情況
[01519.58-01520.94] 那第二種情況是什麼呢
[01520.94-01521.86] 這是第二種情況
[01521.86-01522.90] 我也不用
[01523.30-01525.06] 說先去找村委會會會會
[01525.06-01526.86] 其他的有關當時可以怎麼樣
[01526.86-01529.94] 可以直接向人民法院申請指定間戶人
[01529.94-01531.98] 由在這裡大家明確一個點
[01531.98-01535.54] 就是向法院申請指定間戶人
[01535.54-01536.74] 他在這個裡面
[01536.74-01539.02] 是不是一定要經過村委會
[01539.02-01540.86] 居委會和民政部門的指定
[01541.22-01544.80] 也就是他们三个并非潜汁程序
[01546.60-01547.62] 然后就在旁边啊
[01547.88-01550.70] 他们三个并非是我们所说的潜汁程序
[01552.74-01554.28] 所以在这里有关于
[01555.30-01560.68] 指定监户的机关他考察他的指定监户的路径有两个低个直接找法院第二个
[01560.94-01563.50] 先村居民在找法院
[01563.76-01564.78] 这两个点大家注意一下
[01565.02-01565.80] 但是一定要知道
[01566.06-01568.10] 早村居民并非像人们反而申请的
[01568.36-01570.66] 潜汁程序在考试的时候这个地方
[01570.66-01573.62] 不太会考理解形的题目 反而会考一些什么
[01573.62-01578.46] 变息的题目 让我们去进行选择 判断 单较注意下
[01578.46-01582.14] 这是我们所提到的指定结婚 直登结婚
[01582.14-01584.74] 指定结婚 大家也要明确一个点
[01584.74-01588.30] 就是他们在最终法院 指定结婚人之前
[01588.30-01590.38] 或者说 最后只能见婚人之前
[01590.38-01593.18] 这个小孩一直处在没有人保护的状态
[01593.18-01594.86] 这种情况之下怎么办呢
[01594.86-01598.38] 在他们之间有争业 见婚人没有确定下来之前
[01598.38-01601.46] 可以給這個小朋友指定領時監護人
[01601.46-01602.78] 那指定領時監護人
[01602.78-01604.70] 哪些人可以擔任領時監護人呢
[01604.70-01606.78] 這個點也是一個實際性的點
[01606.78-01607.74] 來看一下
[01607.74-01608.74] 他說了
[01608.74-01610.58] 在指定監護人之前
[01610.58-01613.54] 背監護人的各項權育處於無人保護的狀態
[01613.54-01617.02] 可以由背監護人住所的村位會
[01617.02-01620.42] 居委會有關組織或者是什麼
[01620.42-01623.10] 民政部門來擔任領時監護人
[01623.10-01625.06] 這個點他考試的時候他考
[01625.06-01625.74] 什麼呢
[01625.74-01628.06] 一定要把他和我們剛才所說的
[01628.06-01630.06] 指定机关向区份
[01633.46-01635.94] 我们刚才所说的指定的机关
[01635.94-01639.58] 只有只有村在这边叫村
[01639.58-01643.50] 居民以及什么法院
[01643.50-01646.42] 但是林时见会人里面可以有一个什么呢
[01646.42-01648.94] 林时见会人里面在这我们标注一下
[01648.94-01651.46] 林时见会人里面有一个可以有
[01651.46-01653.86] 有关组织来
[01653.86-01656.86] 这里面就会出现一个叫做有关组织的内容
[01656.86-01658.66] 这个有关组织它可以是什么的
[01658.66-01662.18] 它的这种情况还是要多的
[01662.18-01664.54] 你看像这里面我们所说的
[01664.54-01666.14] 同时把这个点标准出来吧
[01666.14-01670.42] 好吧 有关组织比如说我们所说的有经常帮助小朋友的什么
[01670.42-01672.26] 而同样那些协会
[01672.26-01674.50] 对吧 或者是我们所说的学校
[01674.50-01677.30] 等等 这些其实都是可以说是有关组织
[01677.30-01679.90] 所以在这里面要区别一刚才的指定机关
[01679.90-01681.58] 指定机关当中没有有关组织
[01681.58-01682.42] 大家要注意一下
[01682.42-01683.30] 第二个就是
[01683.30-01684.70] 但是林师傑户人的
[01684.70-01685.58] 我把他写的旁边
[01685.58-01687.18] 第二靠强靠查的细节
[01687.18-01687.54] 就是
[01687.54-01689.06] 但是林师傑户人的
[01689.06-01690.10] 只能是组织
[01690.10-01691.10] 不能是责任
[01693.70-01695.22] 只能是组织
[01695.54-01697.22] 不能是责任
[01700.74-01701.74] 写的旁边
[01701.74-01702.90] 只能是组织
[01702.90-01703.74] 不能是责任
[01703.74-01704.26] 能不能说
[01704.26-01706.10] 在他们炒得不可能开胶的时候
[01706.10-01706.70] 说一样
[01706.70-01708.22] 小孩面人保护太可怜了
[01708.22-01709.50] 那就是说咱讲的说
[01709.50-01710.78] 给他找一个
[01710.78-01711.46] 什么
[01711.46-01712.74] 他的小衣
[01712.74-01714.62] 或者找一个它的大纠来吧
[01714.62-01716.74] 你看这这种情况下行不行
[01716.74-01718.06] 因为我们说了
[01718.06-01720.06] 铃石兼火人只能是组织
[01720.06-01721.14] 不能是在人
[01721.14-01722.46] 所以在这里面大家注意
[01722.46-01726.26] 一共其实从考点上来看的话就是三个考点
[01726.26-01727.74] 第一个就是我们所说的
[01727.74-01731.46] 铃石兼火人到底有哪些村区民家其他有关组织
[01731.46-01734.26] 第二个就是这里面规定了其他有关组织
[01734.26-01736.54] 那把他要和我们刚才所说的
[01736.54-01737.82] 指定机关分开
[01737.82-01740.78] 第三个就是铃石兼火人只能是组织
[01740.78-01742.06] 不能是在人
[01742.06-01744.30] 这个地方在考试的时候一般考什么呢
[01744.30-01746.62] 考试的时候一般就考变息体
[01746.62-01749.46] 变息要么就是选项要么就是判断
[01749.46-01752.26] 这个地方突然力会出的相当来说比较少
[01752.26-01754.90] 这个就是我们所说的指定结婚
[01754.90-01756.98] 指定结婚最后一单确定了
[01756.98-01759.58] 比如说有错误会据委会或者民政部门
[01759.58-01762.34] 确定了说就有这个小孩的哥哥
[01762.34-01765.34] 或者就有这个小孩的祖父母外祖父母来进行结婚
[01765.34-01767.86] 那一单指定结婚确定
[01767.86-01770.54] 或者是指定的这个结婚人被确定之后
[01770.54-01772.40] 他会产生什么样的法律效率呢
[01772.40-01773.68] 在书上来看一下
[01773.68-01775.14] 他说结果人被指定后
[01775.14-01777.44] 不得善自改变
[01777.44-01779.44] 比如说我现在不想管他了
[01779.44-01781.64] 我能不能在找别人去商量
[01781.64-01783.82] 比如说把小孩就脱腹给他的胸长
[01783.82-01784.88] 长胸为父吗
[01784.88-01785.92] 脱腹给他的胸长
[01785.92-01786.74] 他胸长的
[01786.74-01788.14] 我想马上就要成家了
[01788.14-01789.74] 有想而家里带着这么小脱腹
[01789.74-01790.88] 不太放强的结婚
[01790.88-01791.66] 这种情况之下
[01791.66-01793.48] 他的胸长可不可以说
[01793.48-01795.12] 我现在就把这个小孩
[01795.12-01798.24] 在交给他的姐姐或者在交给他的爷奶奶
[01798.24-01798.74] 不行
[01798.74-01800.54] 因为经过指定之后
[01800.54-01803.10] 一定就法律效率了不得善变
[01803.10-01804.10] 然后后面他说
[01804.10-01805.58] 如果他哥哥又要善变呢
[01805.58-01807.50] 就是要把小孩散给其他人
[01807.50-01809.74] 不免除他的兼护责任
[01809.74-01811.54] 什么叫不免除他的兼护责任呢
[01811.54-01812.78] 比如说在这种情况
[01812.78-01815.10] 这叫他的哥哥就兄长把小A
[01815.10-01818.46] 最终又给了他的祖父母或者是外子父母
[01818.46-01819.78] 然后这种时候小A呢
[01819.78-01820.94] 心情本来就不好
[01820.94-01822.10] 对吧 非常的难过
[01822.10-01823.58] 于是充去跟人玩的时候
[01823.58-01825.22] 就跟别的小朋友打账了
[01825.22-01826.38] 跟别的小朋友打账
[01826.38-01826.78] 之后呢
[01826.78-01828.38] 把别的小朋友打伤了
[01828.38-01831.78] 那这种情况之下,小业的兼互人是不是要承担责任呢?
[01831.78-01836.10] 那小业的兼互人要承担责任是找业奶奶呢?还找他哥哥呢?
[01836.10-01837.30] 找哥哥哥
[01837.30-01841.50] 因为哥哥甚至变动职兵兼互的不免除他的什么?
[01841.50-01842.50] 兼互责任
[01842.50-01845.62] 你该承担相应的千元责任就要承担却责任
[01845.62-01850.46] 你该承担相应的关于小业的教育服养的责任就要承担教育服免责任
[01850.46-01852.74] 所以不免除他的责任,明白了吧?
[01852.74-01857.18] 所以在这里面,带着注意下,这是指定兼互的法律效力
[01857.18-01862.10] 只是指定天后他在本质上要本能去保护我们所说的
[01862.10-01866.00] 卫程先生就是要按照最有利于卫程先生成长的这样一个来
[01866.00-01868.70] 所以大家注意一下 指定天后
[01868.70-01874.10] 所以到这我们就把兼互当中的前几个给大家输得清楚了
[01874.10-01875.94] 咱们来看一下通过一个案例
[01875.94-01879.22] 咱把它再进行一次大的处理 还是要的
[01879.22-01880.98] 刚才那个案例的环源
[01880.98-01883.80] 这次小A他的父母
[01884.30-01886.86] 不能说小A他的父母吧,咱们从头来
[01890.70-01895.98] 比如说现在有两个人,就是小A和小B
[01896.22-01898.14] 这体名字也是很麻烦的事
[01898.14-01901.80] 那假设,现在有两个人,一个叫牧荣广场
[01904.28-01905.80] 一个叫牧荣广场
[01905.80-01908.88] 还有一个人叫做全知放吧
[01908.88-01926.38] 这两个人,莫仍光上和前置放,他们两个结婚了,结婚了,结婚了之后,大家注意一下,又有一子,叫做什么呢,习个炸铁的名字吧,又有一子叫做,猪格见过吧。
[01926.38-01933.94] 这里面是还能性猪隔
[01933.94-01937.02] 咱们就为了这个例子相对来说先回来
[01937.02-01938.70] 咱们就炸裂一点
[01938.70-01941.10] 比如说他们两个又一个孩子
[01941.10-01943.06] 这个孩子叫做建国
[01943.06-01944.50] 这里面大家来看一下
[01944.50-01945.94] 在确定监控设计当中
[01945.94-01947.22] 我们要明确第一个
[01947.22-01949.58] 王朝和权制放着他俩结婚了之后
[01949.58-01951.30] 又一子叫做建国
[01951.30-01952.66] 那个对于建国来说
[01952.66-01955.70] 谁是建国的第一设备的建国人
[01956.38-01963.38] 第一设为的监护人大助一下就是他的父母
[01963.38-01966.88] 因为父母作为他的我们所说的
[01966.88-01969.88] 纯天人的监护人具有相应的法定性
[01969.88-01974.28] 手要性也就是父母在其他人都不行
[01974.28-01977.38] 那卖了吧那这是我们所说的第一个他的第一设为的
[01977.38-01981.38] 结果人那如果没有父母之后在法定监护社区上
[01981.38-01985.88] 才有第二设为在法定监护社区上就是他的祖父母和
[01985.88-01987.12] 外主父母
[01987.12-01990.16] 然后还是我们所说的成年的凶减
[01990.16-01992.68] 然后其他愿意带任结婚的组织和机关等等
[01992.68-01994.16] 对吧 这是在法定顺序上
[01994.16-01997.16] 但是父母是纯天然的低顺位的结婚人
[01997.16-01999.08] 这是低一个点 大家要注意一下
[01999.08-02001.96] 那第二个点就是在这个过程当中假设
[02001.96-02004.84] 假设有一天他们三个出去玩的时候
[02004.84-02006.28] 不小心翻身了一半
[02006.28-02008.28] 这个不养一翻身一半之后
[02008.28-02010.92] 这个父亲和这个母亲就多去世了
[02010.92-02012.96] 去世了之后正常请王之下
[02012.96-02015.08] 那孩子他幸存下来了
[02015.08-02019.92] 孩子性能下來之後父母去世 孩子原則是按照法定監護社選
[02019.92-02024.12] 應該是由誰來的 應該是由祖父母外祖父母成年兄弟來的
[02024.12-02028.76] 但是當他們在整理父母的東西的時候 發現了
[02029.76-02030.88] 父母的一書
[02033.36-02034.76] 發現了父母的一書
[02034.76-02037.48] 那發現了父母的一書 在一書當中就說
[02037.48-02039.12] 如果他們不充去世的話
[02039.12-02042.56] 除了把財產留個孩子之外 給孩子找了一個監護人說
[02042.56-02044.08] 把孩子
[02045.08-02051.08] 交给 交给祖父母来 浮样
[02051.08-02055.08] 那这里面把孩子通过一书交给祖父来浮样
[02055.08-02056.08] 它其实就属于什么了
[02056.08-02060.08] 它就属于一族 只掉减乎了
[02063.08-02066.08] 一族只定减乎 那一族只定减乎就有什么
[02066.08-02069.08] 一族只定减乎是不是具有优先地位
[02069.08-02072.08] 所以在这里面 这个时候如果它的外族父母
[02072.08-02074.04] 想要來付像這個孩子不行
[02074.04-02075.40] 所以他就有優先地位
[02075.40-02076.32] 但是呢
[02076.32-02077.08] 大家注意啊
[02077.08-02080.32] 在這個孩子跟他的祖父母一起生活的過程當中
[02080.32-02081.76] 用出現了一點小小的情況
[02081.76-02083.52] 就是他的祖父母
[02083.52-02084.32] 也是以高
[02084.32-02086.92] 然後最終也離開了這個人士
[02086.92-02088.32] 那這個孩子還沒有長大
[02088.32-02090.00] 是不是又處在了一個什麼狀態
[02090.00-02092.28] 又處在了一個沒有監護人
[02092.28-02094.00] 看完和保護的一個狀態啊
[02094.00-02094.96] 那這種情況之下
[02094.96-02096.16] 這個小朋友應該怎麼辦
[02096.16-02098.84] 當他的祖父母也去世了之後
[02098.84-02100.88] 那就要從其他的監護人當中
[02100.88-02104.22] 去看看有沒有能夠看完這個小孩到
[02104.22-02106.74] 所以在這裡面如果不啟動法定
[02106.74-02109.12] 這樣一個設備的監管的話
[02109.12-02110.62] 在這裡面可以幹嘛呢
[02110.62-02112.72] 可以讓其他的人寫傷
[02112.72-02117.56] 就是其他有監護資格的人
[02122.40-02123.52] 進行寫傷
[02123.52-02124.30] 寫傷的話
[02124.30-02126.92] 這個時候就給孩子找一個能夠保護他的人
[02126.92-02128.92] 這個其實就是我們所說的什麼
[02128.92-02130.80] 叫做協議監護
[02130.80-02134.64] 那協議監護我們剛才也講了協議監護他有一個很明顯的特點
[02134.64-02138.94] 有沒有社區的要求?不順息限制?有沒有人數的要求?無人數要求?
[02138.94-02143.44] 不順息無人數?那涉及的這些有監護資格人你們之間商量決定?
[02143.44-02148.48] 你們定下來由誰監護?那就由誰來?沒有社區的要求?你們定下來由幾個人就幾個人
[02148.48-02153.24] 你們一起去監護?由OK?那這是我們所說的協議監護?能夠商量好?
[02153.24-02156.78] 但是就怕什麼?就怕他們之間商量不妥
[02156.78-02162.52] 所以如果當這些有結婦資格的人直接在協議結婦當中有爭議時
[02162.52-02165.02] 那你炒多久我還能一直等著你
[02165.02-02167.52] 然後最終進來協議的結婦這個小朋友嘛
[02167.52-02168.40] 其實不行的
[02168.40-02170.34] 所以當他們直接有爭議的時候
[02170.34-02172.68] 這個小孩又處在沒有人保護的狀態
[02172.68-02173.86] 不然他們爭議太久
[02173.86-02174.86] 那這個時候怎麼辦
[02174.86-02176.50] 那就要啟動我們所說的
[02176.50-02177.70] 指定結婦
[02179.06-02181.10] 指定結婦我們在考試當中
[02181.10-02184.42] 第一個就說沒有指定結婦的土境
[02184.42-02191.38] 咱们刚才说了 指定结户的图件要么你是两部走 叫做村居民去找法院 对吧
[02191.38-02194.22] 或者是你可以直接怎么样 找法院指定结户
[02194.22-02200.42] 那这是第一个图件 第二个 这是无论是村居民指定确定下来之后还是法院最终确定了结户人
[02200.42-02206.02] 他在确定都需要时间了 所以中间会处在一个小朋友没有人保护的这样的一个状态
[02206.02-02209.82] 那就可以干嘛 那就可以给他指定灵石结户人
[02209.82-02212.64] 聆事件会
[02212.64-02214.62] 这个聆事件会人咱们以我考点呢
[02214.62-02216.10] 那首先第一个咱们说了
[02216.10-02217.38] 这个聆事件会人
[02217.38-02219.56] 他和职订机关销去分
[02219.56-02220.86] 职订机关就有四个
[02220.86-02222.88] 但是聆事件会人可以有什么
[02222.88-02224.86] 聆事件会人除了我们所说的
[02224.86-02225.82] 村区名之外
[02225.82-02228.86] 还加上一个其他组织
[02230.22-02232.34] 但是我们在监护图订的那种
[02232.34-02233.62] 其他组织没有
[02233.62-02234.14] 第二个
[02234.14-02234.78] 大人知道
[02234.78-02236.62] 聆事件会人只能是什么
[02236.62-02237.82] 您是兼互人
[02237.82-02239.94] 只能是阻止
[02239.94-02241.10] 不能是个人
[02243.22-02244.34] 只能是阻止
[02244.34-02245.22] 不能是个人
[02245.22-02246.54] 所以在这里没大家注意一下
[02246.54-02247.74] 通过这样的一个案例
[02247.74-02248.34] 大家要知道
[02248.34-02250.34] 他们之间大概的盛许是什么
[02250.34-02251.98] 大家不要先老是默奸
[02251.98-02253.46] 我这就是一边一边的重复
[02253.46-02255.30] 就是为了大家印象深刻
[02255.30-02257.86] 学习就是在不断的重复当中
[02257.86-02258.82] 生化的
[02259.02-02260.30] 这个就是我们所说的
[02260.30-02261.46] 有关于潜思种
[02261.46-02261.94] 兼互
[02261.94-02263.46] 搭把他们之间的这个关系
[02263.46-02264.38] 去旅程清楚
[02264.38-02265.42] 在做题的时候
[02265.42-02266.58] 一般去不会错了
[02266.58-02268.12] 好,那這是前四種
[02268.12-02269.66] 那除了這四種間戶之外呢
[02269.66-02270.62] 我們在這裡看一看
[02270.62-02272.22] 還有一些其他的間戶形式啊
[02272.22-02273.38] 來看一下第五個
[02273.38-02274.00] 第五個呢
[02274.00-02276.14] 叫做成年人的一定的間戶
[02276.14-02277.34] 成年人的一定間戶
[02277.34-02278.58] 我們注意下這麼幾個點
[02278.58-02280.58] 第一個是誰來做的呢
[02280.58-02281.70] 標準一下是
[02281.70-02283.54] 具有完全民視行為能力人的
[02283.54-02286.10] 成年人可以去進行屬其他院一擔任
[02286.10-02287.58] 間戶的人
[02287.58-02289.10] 或者是組織事先協商
[02289.10-02290.22] 標準一下第二點
[02290.22-02293.78] 以書面的形式確定自己的
[02293.78-02294.42] 間戶人
[02294.42-02296.14] 那這種情況之下就叫做
[02296.14-02298.30] 承煙人的意义定结婚
[02298.30-02299.58] 承煙人的意定结婚
[02299.58-02301.62] 他会发生什么样的这种情况呢
[02301.62-02303.02] 他一般情况之下比如说
[02303.02-02304.66] 我呢就是一个顾华老人
[02304.66-02305.06] 对吧
[02305.06-02305.82] 我现在呢
[02305.82-02306.50] 威儿无女
[02306.50-02307.38] 但是我年龄呢
[02307.38-02308.18] 已经特别大了
[02308.18-02309.26] 就是早年的时候呢
[02309.26-02310.02] 就拼事业
[02310.02-02310.22] 对吧
[02310.22-02311.42] 赚那么多的钱
[02311.42-02312.74] 等到晚年的时候呢
[02312.74-02313.62] 一个人
[02313.62-02314.10] 对吧
[02314.10-02315.06] 没有什么快乐
[02315.06-02316.30] 没有什么子女照顾
[02316.30-02317.34] 那这种情况之下
[02317.34-02318.34] 我很担心
[02318.34-02319.14] 就是有一天
[02319.14-02320.14] 我突然走了
[02320.14-02320.62] 对吧
[02320.62-02321.62] 这是死在家里
[02321.62-02322.42] 里面发现我
[02322.42-02324.02] 是不是会担心这样一个情况
[02324.02-02324.74] 那于是呢
[02324.74-02325.90] 我作为一个
[02325.90-02328.10] 六七十歲的這樣一個老者 對吧
[02328.10-02329.30] 就是平平無期的
[02329.30-02329.70] 又有
[02330.50-02331.46] 幾萬個億了
[02331.46-02332.30] 這樣一個老人
[02332.30-02333.58] 我就天天在家裡就想
[02333.58-02334.14] 我說
[02334.30-02335.66] 如果有一天我離開這個人
[02335.66-02336.06] 事實後
[02336.06-02337.62] 一定要有人第一時間發現
[02337.62-02338.46] 我能夠給我
[02338.46-02339.50] 鬆鬆忠之類的
[02339.50-02340.30] 大家這種情況
[02340.30-02341.98] 這下可能就會出現一種情況
[02341.98-02342.70] 幹嘛呢
[02342.70-02344.10] 就是我想通過
[02344.10-02345.62] 書面委託合透
[02345.62-02347.10] 自己給自己找一個什麼
[02347.10-02348.66] 自己給自己找一個節目人
[02348.66-02350.90] 就是我比如說有保護來了 對吧
[02351.30-02352.78] 那我就跟保護簽一個合同
[02352.78-02353.26] 我說
[02353.26-02354.66] 你在這個每天
[02354.66-02356.66] 我跟他出来了一个我打扫为什么之外呢
[02356.66-02359.26] 你就可以跟我聊聊天
[02359.26-02361.06] 然后带我出去6.12对吧
[02361.06-02363.46] 然后最终我如果说去世了之后
[02363.46-02365.06] 我就扣8.1产就给你
[02365.06-02365.86] 那这种情况之下
[02365.86-02368.06] 我可以跟他欠一个这样的合同啊
[02368.06-02369.06] 那这种情况之下
[02369.06-02370.66] 让他找一个兼互人
