[00000.00-00002.82] 那么了解了整个单宝制度的宽价之后
[01188.16-01191.30] 又或者你把房子和土地一并底下的情况
[01191.30-01192.00] 也都有
[01192.00-01194.30] 这个就是我们所说的这个底下权
[01195.08-01195.80] 涉历
[01195.80-01198.28] 我们来看一下长间的不动产底下权
[01198.28-01199.68] 它都有拿种情况
[01199.68-01201.98] 我们最常见的其实就是以房屋
[01203.52-01208.20] 房屋我们所说的去进行底下房屋进行底下
[01208.20-01209.66] 举个简单的例子
[01209.66-01212.22] 比如说的我向银行借钱
[01212.22-01213.26] 我向银行借钱
[01215.04-01216.32] 我们现在这里
[01216.32-01217.60] 第一种情况就是
[01217.60-01219.14] 房屋进行底
[01219.14-01220.42] 房屋进行底下的话
[01220.42-01221.94] 最维点形的就是
[01221.94-01222.72] 举个例子
[01222.72-01223.74] 5
[01223.74-01224.26] 对吧
[01224.26-01225.54] 85家的
[01225.54-01226.56] 2层小楼
[01226.56-01229.88] 或者是5之前买的北京的4和月儿啥啥的
[01229.88-01231.16] 我8我的房屋
[01231.16-01232.70] 进行了底下
[01232.70-01233.98] 底下给了谁呢
[01233.98-01234.76] 底下给了
[01234.76-01235.52] 银行
[01235.52-01238.60] 那底下给银行的话一定要和银行去签订什么
[01238.60-01240.64] 一定要和银行去签订
[01240.64-01242.18] 底下和通对吧
[01242.18-01244.48] 所以我在这里和银行签订了
[01244.48-01245.24] 底下和通
[01247.60-01250.36] 于言行千订的铁合同我笔啊我自己的东西
[01250.36-01251.56] 铁合同成绩
[01251.56-01254.80] 铁合同是成立有效生效的
[01254.80-01256.36] 这个时候来看一下
[01256.36-01257.40] 铁合同我们说了
[01257.40-01259.40] 在这个地方他只产生了什么效烈
[01259.40-01261.60] 铁合同在这里只产生了
[01261.60-01262.72] 这一拳效烈
[01262.72-01265.12] 但是我们说了要笔啊前设立
[01265.12-01265.88] 那笔啊前设立
[01265.88-01266.84] 笔啊前是什么拳
[01266.84-01268.20] 笔啊前是物权
[01268.20-01269.12] 所以我们说了
[01269.12-01271.84] 那防屋他作为不动产
[01271.84-01273.00] 作为不动产
[01273.00-01275.92] 他要设立笔啊前要以什么为主要标志
[01275.92-01277.92] 要以登记为主要叫制
[01277.92-01279.00] 所以在这个时候
[01279.00-01280.60] 银行能否获得的银权
[01280.60-01282.20] 就看我是否怎么样
[01282.20-01284.00] 是否登记了
[01284.60-01287.00] 那就要看我把这个房屋银银行
[01287.00-01288.44] 有没有办理
[01288.44-01290.56] 房屋银安全设立的登记
[01290.56-01293.56] 如果在这个时候银行办理了登记
[01295.84-01296.44] 对吧
[01296.44-01297.84] 银行办理了登记
[01297.84-01299.52] 那它的银安全就怎么样
[01299.52-01301.40] 银安全就设立了
[01302.96-01303.96] 银安全设立
[01303.96-01305.36] 如果银安全设立的话
[01305.36-01306.64] 他的優勢就在什麼
[01306.64-01309.64] 如果到期我還不上我的債的話
[01309.64-01312.92] 那銀行就可以救我房屋的拍賣的
[01312.92-01314.92] 款額優先受償
[01314.92-01315.24] 對吧
[01315.24-01316.24] 所以在這種情況之下
[01316.24-01318.68] 他是有優先受償權的
[01322.88-01325.48] 就先與其他普通債權人優先受償
[01325.48-01325.84] 對吧
[01325.84-01327.00] 這是辦理的登記
[01327.00-01328.12] 但是如果
[01328.12-01330.64] 我把這個房屋甸給銀行簽訂了
[01330.64-01331.08] 給他活動
[01331.08-01333.12] 但是銀行沒有登記怎麼辦呢
[01333.12-01347.46] 那也好如果没办理登记,那这个时候,笛权能不能设立。笛权没设立,所以这个时候我们就要去取动我们前面所说的什么,去分原则了,我们在之前给大家说到的,物质两分,对吧。
[01347.46-01362.72] 那在这个时候就分两步,第一个笛杀和同时前定了,同们来看一下笛杀和同前定,和同时明时反对行为吧,同时在这个和同当中没有出现,我们所说的无销的是由,所以笛杀和同有效成立并生效。
[01362.72-01364.32] 但是底下全都没有设立呢
[01365.60-01367.32] 从小一下底下全设立了没有
[01367.44-01369.04] 底下全是没有设立的
[01369.04-01371.72] 因为不动产它是也登记为标志的
[01371.84-01374.36] 所以同们注意一下我们前面反复强调
[01374.56-01377.12] 底下合同底下合同直产生战畅效率
[01377.12-01379.52] 战畅效率就是你有意误去旅行底下合同
[01379.68-01380.72] 那底下合同有效
[01380.72-01382.84] 我的意误就是协助你办理
[01383.24-01385.08] 登记但是如果没登记的话
[01385.08-01386.76] 是没有产生无限效率的
[01386.76-01388.32] 所以在这里面还是要的
[01388.48-01389.48] 物质两分
[01389.48-01391.52] 我为什么在这里又为大家强调一点
[01391.52-01394.46] 因为他在考试的时候总会考到一个体验
[01394.46-01395.36] 然后给你说了
[01395.36-01397.48] 说谁谁和谁谁签定了迭合头
[01397.48-01400.52] 然后约定在三日后去办理迭登记
[01400.52-01401.62] 但由于三日后
[01401.62-01403.68] 然后出发了一个什么要么事项
[01403.68-01406.24] 所以在这里迭登记没有办理
[01406.24-01407.52] 然后这个时候就问
[01407.52-01410.44] 以下关于迭损说法正确或错的事
[01410.44-01411.52] 然后就问我们
[01411.52-01413.16] 他迭合头没有笑
[01413.16-01415.32] 他只要没有无笑是有迭合头就有笑的
[01415.32-01417.60] 对吧 那第二个他住在这里又会问我们
[01417.60-01420.60] 说那迭合头有笑迭损没有设立
[01420.60-01423.42] 它就会变成几个选项让我们去进行变息
[01423.42-01424.94] 所以在这里大家注意一下
[01424.94-01429.12] 这是我们常见的也房屋作为我们所说的这个
[01430.32-01431.36] 底下屋的
[01431.36-01434.16] 大家注意一下这是最常见的第一个是房屋
[01434.16-01438.52] 第二个就是我们比较常见的不动产度是拿土地作为底
[01438.52-01440.32] 土地作为底下的化大家注意一下
[01440.32-01444.66] 我们在这里面能够形容底下的是建设用地双权
[01444.66-01445.68] 我现在这儿
[01445.68-01449.78] 这个点就知道是建设用地使用权就行了
[01449.78-01451.78] 能不能是宅基地生權呢
[01453.06-01453.86] 同學們
[01453.86-01455.26] 能不能是宅基地生權
[01455.26-01456.18] 當然不行
[01456.18-01458.42] 用不說了宅基地使用權
[01458.42-01460.42] 一貨一宅
[01460.42-01462.06] 他就現於你特殊的身分
[01462.06-01463.38] 你在這個村子裡面
[01463.38-01464.94] 你有互恐這最初的人
[01464.94-01466.02] 我才給你分貼
[01466.02-01467.30] 所以他是一會一宅宅
[01467.30-01468.50] 宅基地生權
[01468.50-01470.82] 是不能用於作為雕物的
[01470.82-01471.70] 而且我們說了
[01471.70-01473.26] 如果宅基地的生權
[01473.26-01474.58] 他作為雕物的話
[01474.58-01476.66] 那這裡面出現的問題說什麼
[01476.66-01477.70] 就是
[01477.70-01479.54] 違反法律規定無效
[01479.54-01481.94] 连合通都无效了连权不能势力
[01481.94-01483.66] 所以大家注意一下这是第二个
[01483.66-01485.18] 我们所说的土地
[01485.18-01486.70] 它可以作为
[01486.98-01488.18] 不动产的底下物
[01488.18-01489.66] 它可以作为不动产底下物
[01489.66-01492.22] 但是紧线率建设用地生权
[01492.22-01493.86] 所以大家注意一下这是第二个
[01493.86-01496.98] 那第三个就是我们会提到一种情况
[01496.98-01497.98] 什么情况呢
[01497.98-01501.06] 就是我把这个房子连给你了
[01501.06-01504.18] 而且我们国家创造的是房地一体原则
[01504.18-01505.78] 就是我把我的房子连给你
[01505.78-01508.06] 我连带都我的房子的这片土地
[01508.06-01509.42] 是不是也连给你了
[01509.42-01512.18] 但是我的这块土地我抵押给你的收拾了
[01512.18-01515.54] 我先把我的这块地皮和生血这个房子抵押给你
[01515.54-01517.94] 但是这个房子它还没有干嘛
[01517.94-01521.14] 所以我但是我先给你办理点登记先给师立点钱
[01521.14-01524.54] 然后结果等到后面我该还债的时候还少了
[01524.54-01528.10] 你就要把我的这块地和我原本在这块地上抵押给你的房子
[01528.10-01529.58] 一并去拍卖掉
[01529.58-01531.54] 但是问题就产生在这里
[01531.54-01532.34] 啥问题呢
[01532.34-01534.26] 我原本把这个地给你
[01534.26-01535.22] 这是我说了
[01535.22-01537.62] 我要把这块地和地上的房子
[01537.62-01539.62] 一并底下给银行
[01539.62-01543.62] 但当时我在这个地上只该了一个房子
[01543.62-01545.62] 我跟银行贷款
[01545.62-01547.62] 对吧 我相银行借钱
[01547.62-01548.62] 贷款是多少时间一年
[01548.62-01550.62] 我说一年之后我就把钱还给你
[01550.62-01552.62] 结果到了我到了一年之后
[01552.62-01553.62] 我这个钱没还
[01553.62-01555.62] 但是这块地我们都知道
[01555.62-01557.62] 我还一直在用这这块地
[01557.62-01558.62] 用这块地干嘛了
[01558.62-01560.62] 我就不停在这块地上贷房子
[01560.62-01562.62] 我当时给银行办理
[01562.62-01565.62] 点登记的时候是第一家一间房子
[01565.62-01566.62] 对吧
[01566.62-01568.74] 但是呢因为雕围不转一站有嘛
[01568.74-01573.42] 而我一直在利用这块土地去搞生产搞借舍不断地去盖场房
[01573.42-01577.06] 结果等到一年之后呢我这块地皮上有几个房子呢
[01577.06-01578.78] 一共是有三个房子的
[01578.78-01581.18] 但是我们国家房地一体原则呀
[01581.18-01583.18] 那这时候银行就说说你看
[01583.18-01585.66] 你原本当时呢给我
[01585.66-01588.14] 办理雕灯记的时候你这个土地上就一个房子
[01588.14-01590.46] 那单日现在呢你有三个房子
[01590.46-01592.14] 那这样吧我就吃点灰
[01592.14-01592.58] 对吧
[01592.58-01593.90] 一行说我就吃点灰
[01593.90-01596.10] 我就按照你这个房子上有
[01596.10-01601.18] 你这个土地上有三个房子来进行我们所说的这个轻算可不可以呢
[01601.18-01601.82] 不可以
[01601.82-01603.58] 这里面睡到一个什么问题呢
[01603.58-01606.94] 会睡到一个叫做新增建筑物的处理
[01606.94-01610.46] 新增建筑物的处理其实就是在考察一个点
[01610.46-01612.38] 就是这个新增的建筑物
[01612.38-01614.38] 比如说原本只有这一个房子
[01614.38-01614.82] 对吧
[01614.82-01616.06] 后来该了两洞
[01616.06-01617.30] 这两洞房子
[01617.30-01619.34] 它到底属不属于点物
[01619.34-01621.50] 如果把这个房子
[01621.50-01622.54] 这三洞房子
[01622.54-01625.42] 连通这个地匹一块都一块都卖了的话
[01625.42-01628.90] 銀行是只能其中的一間房子優先受償
[01628.90-01631.70] 還是能其中的三件房子優先受償
[01632.50-01634.06] 那銀行是多少呀
[01634.06-01637.50] 他只能是想就三件房子優先受償
[01637.50-01638.98] 因為底下5月多
[01638.98-01641.18] 他的債權又保障
[01641.18-01643.86] 但是這裡面銀行是佔便宜了
[01643.86-01645.14] 但是問題出在什麼
[01645.14-01646.94] 出在其他債權人身上
[01646.94-01648.98] 其他債權人就不想讓你銀行
[01648.98-01650.50] 一個人一家獨大呀
[01650.50-01652.54] 所以這兩間房子心灯的
[01652.54-01653.86] 到底算不算
[01653.86-01656.02] 我们所说的当时给亿行办理的点物
[01656.02-01658.18] 是不是会产生一定的争议
[01658.18-01660.74] 在这个里面我们就要去考虑一个问题
[01660.74-01661.54] 什么问题呢
[01661.54-01662.26] 就是在这儿
[01663.42-01665.90] 新增我们所说的这个建筑物
[01665.90-01669.78] 它到底属不属于我们所说的点物的问题
[01669.78-01670.50] 所以在这儿
[01670.50-01672.62] 同们在旁边做一个简单的标准
[01672.62-01674.90] 我也做一个简单的苗写
[01674.90-01676.78] 就是新增建筑物
[01680.18-01682.30] 那就是新增建筑物
[01682.30-01687.54] 新增的建築物,它到底属不属于所说的第阿污呢?
[01687.54-01691.20] 打住一下新增的建築物,它不属于点财产。
[01694.70-01697.20] 那它不属于点财产。
[01697.20-01702.40] 但是在进行处理的时候,大家注意一下,新增建築物它不属于点财产,
[01702.40-01708.66] 但是在处理的时候是一并处理的,也被地随房走嘛,你把这块地上的,你把这块地皮卖了。
[01708.66-01710.90] 这时候地上的所的房子都卖
[01710.90-01711.74] 只问卖的时候
[01711.74-01715.06] 盐行只能就地上的一间房子又现受伤
[01715.06-01716.98] 对吧其他那两间他没有
[01716.98-01718.26] 有些受伤的效率
[01718.26-01719.70] 所以在这里大家注意下
[01719.70-01720.98] 新增的建筑物
[01720.98-01722.34] 他不属于点财势
[01722.34-01725.06] 你的点财势是当时登记是有啥
[01725.06-01726.26] 地压物就是啥
[01726.26-01728.74] 所以他到底登记的时候有几件
[01728.74-01729.54] 你就看一线
[01729.54-01730.90] 他到底是拿几件
[01730.90-01732.82] 你就看下他的登记情况
[01732.82-01733.78] 就可以了
[01733.78-01734.90] 所以在这里面
[01734.90-01735.78] 我们要注意下
[01735.78-01740.26] 這是我們所說的有關於房屋土地和新增建築物的問題
[01740.26-01741.14] 這三個呢
[01741.14-01742.66] 它都屬於我們所說的什麼
[01742.66-01744.02] 不動產疊
[01744.02-01745.78] 它都是因為我們所說的不動產疊
[01745.78-01746.82] 好
[01746.82-01748.26] 這裡面考得比較多
[01748.26-01750.10] 其實就是以房屋設立疊的
[01750.10-01753.14] 那大家就還是一樣的要注意一下區分原則
[01753.14-01754.34] 也就不動產疊的
[01754.34-01756.16] 設立它產生
[01756.16-01758.34] 疊的錢效率或產生物權效率的時候
[01758.34-01760.34] 它一定是也登記為準
[01760.34-01761.38] 一定是一登記為準
[01761.38-01764.02] 所以這是我們所說的有關於第一個
[01764.02-01766.30] 做做不动产势力比
[01766.30-01768.06] 除了以不动产势力比
[01768.06-01770.66] 之外我们还可以动产作为比
[01770.66-01772.54] 比如说你像一行代款的时候
[01772.54-01774.38] 除了可以把你的房子比
[01774.38-01775.26] 给它之外
[01775.26-01777.38] 你还可以把你的摩托车
[01777.38-01779.14] 三车电平车
[01779.14-01779.62] 对吧
[01779.62-01781.46] 你的什么预质手表
[01781.46-01782.66] 手是等等
[01782.66-01783.58] 就这一系列的
[01783.58-01784.62] 去给你行办理比
[01784.62-01785.82] 这些都是什么
[01785.82-01787.22] 这些都是动产
[01787.22-01788.22] 都是动产
[01788.86-01789.58] 所以你看
[01789.58-01791.42] 他说动产比
[01791.42-01798.90] 比如说 雕权自合同在这里 雕权自合同生效时 势力
[01798.90-01802.78] 所以在这儿我们就要注意一下 动产和不动产是有区别的
[01802.78-01805.06] 我们刚才不动产雕权的势力
[01805.06-01808.78] 不动产雕权势力是要业 登记作为标志的
[01808.78-01811.78] 而我们所说的 动产雕权 同们来看一下
[01811.78-01815.46] 动产雕权的势力 自合同成立事 生效
[01815.46-01818.46] 跟同生效时设立
[01818.46-01819.46] 跟同生效设立
[01819.46-01821.46] 就是签订的
[01821.46-01822.46] 点核通的时候
[01822.46-01823.46] 在这里面
[01823.46-01826.46] 签订的点核通的同时点钱就设立
[01826.46-01827.46] 热老师
[01827.46-01828.46] 这是为什么呢
[01828.46-01829.46] 你说我记得
[01829.46-01831.46] 动产物权变动
[01831.46-01833.46] 他应该是一胶腹
[01833.46-01835.46] 同们注意一下
[01835.46-01836.46] 一胶腹的那个
[01836.46-01838.46] 是物权的哪一个变动
[01838.46-01839.46] 是所有权
[01839.46-01841.46] 我们说了
[01841.46-01842.46] 这个东西
[01842.46-01843.46] 他要归你所有
[01843.46-01846.80] 你所有你同时又有它的交换家人神价者
[01846.80-01848.30] 动产材料什么
[01848.30-01850.40] 动产材料依旧富
[01850.40-01852.20] 而我们现在讲的是什么权
[01852.20-01854.30] 我们现在讲的是底亚权
[01854.30-01856.78] 而我前面在底亚权的干净当中
[01856.78-01858.34] 给大家说的非常清楚
[01858.34-01860.58] 底亚权转不转一站有点物
[01861.58-01865.18] 底亚权不转一
[01865.18-01865.82] 大致一下
[01865.82-01868.98] 底亚权不转一站有底亚物
[01868.98-01872.42] 那底安全既然不转移战友底护的话
[01872.42-01875.18] 虚不虚要糾付呢
[01875.18-01876.46] 同时注意
[01876.46-01879.50] 底安全不转秘战友底护就是东西还在你手里
[01879.50-01881.14] 那你需要把东西交付给他
[01881.14-01883.30] 那就不虚要糾付
[01884.02-01886.30] 既然不虚要糾付的话
[01886.30-01887.78] 那底安全什么手射力呢
[01887.78-01888.82] 最动产来看
[01888.82-01890.02] 都不交付了
[01890.02-01892.62] 那这时候动产又不是一登记生效的
[01892.62-01893.94] 那这时候就自什么
[01893.94-01896.34] 就自合同生效使射力
[01896.34-01897.50] 明白这个意思吧
[01897.50-01901.08] 所以我们要把动产和不动产去分开
[01901.08-01904.04] 要把所有权和底压权去分开
[01904.04-01907.38] 我们前面讲的说不动产登记动产交付
[01907.38-01909.72] 那是所有权、武权变动
[01909.72-01912.18] 而我们现在是讲的是底压权的设立
[01912.18-01915.72] 而底压权我们前面强调了是不转移战友调物
[01916.72-01918.74] 这是不需要交付
[01919.52-01921.22] 那既然不需要交付的话
[01921.22-01922.34] 那动产怎么办
[01922.34-01924.00] 动产不需要移交付
[01924.00-01925.66] 底压权的设立动产不需要移交付
[01925.66-01926.84] 那就自合同
[01926.84-01928.24] 生效使设立
[01928.24-01929.66] 咱俩签订队
[01929.66-01930.64] 底押合同的时候
[01930.64-01934.10] 底押合同自成立使生效
[01934.10-01935.36] 生效的同时
[01935.36-01936.46] 底押全就怎么样
[01936.46-01937.84] 就设立了
[01937.84-01938.62] 就设立了
[01938.62-01939.90] 所以大家一定要注意一下
[01939.90-01941.48] 这是我们所说的
[01941.48-01943.50] 这个底押动产底押全的
[01943.50-01944.50] 设立问题
[01944.50-01946.70] 那知道了动产底押全的设立的话
[01946.70-01947.60] 同们注意一下
[01947.60-01950.30] 这个时候就出现了一个小的细节的点
[01950.30-01951.92] 大家一定要注意
[01951.92-01953.20] 这是我们所说的
[01953.20-01953.68] 这个
[01954.08-01955.64] 合同有效合同
[01955.64-01957.44] 他就懂得动产地牙圈了
[01960.76-01963.64] 有效合同就懂得动产
[01964.08-01964.60] 地牙圈
[01964.84-01967.16] 所以我们前面反复给大家去讲
[01967.16-01969.20] 武权变动的时候我咋给大家说的
[01969.48-01972.80] 武权变动第一步一定是要去区分
[01973.04-01974.60] 他是动产还是不动产
[01974.84-01976.12] 比较低物不同
[01976.36-01977.40] 归子不同
[01977.40-01980.20] 这也是为什么我要让大家画框架的原因了
[01980.20-01980.92] 明白了吧
[01981.00-01982.64] 我在最开篇的时候给大家说了
[01982.64-01983.56] 说大家学
[01983.80-01985.08] 这个武权的时候
[01985.08-01986.36] 同一们就会遇到一个问题
[01986.36-01988.16] 就是第一个入债部分
[01988.16-01988.66] 对吧
[01988.66-01989.16] 我们说了
[01989.16-01989.64] 你说老师
[01989.64-01991.22] 入权和债钱甲区分
[01991.22-01992.24] 我们在讲入权的时候
[01992.24-01994.04] 不就只讲了这三种
[01994.04-01994.80] 一个是所有权
[01994.80-01995.58] 一个是用于入权
[01995.58-01996.60] 一个是单保入权
[01996.60-01998.14] 那生气的合同内类的
[01998.14-01999.16] 都属于债权
[01999.16-02000.44] 他们两个是分开的
[02000.44-02001.00] 所以
[02001.00-02002.24] 为了让大家去明确
[02002.24-02003.76] 我们在这开始大原则的
[02003.76-02005.56] 当中就给大家讲到了交捉
[02005.56-02006.32] 入债
[02006.32-02007.36] 两分原则
[02007.36-02009.08] 第二个同学们容易搞混的呢
[02009.08-02011.08] 就是在入权具体的规则里面
[02011.08-02012.08] 我前面给大家说了
[02012.08-02012.42] 对吧
[02012.42-02015.76] 同樣會把所有權的變動和底安全的勢力搞混
[02015.76-02018.12] 把底安全和這安全搞混
[02018.12-02019.40] 這個時候也是一樣的
[02019.40-02021.00] 同樣的框架很重要
[02021.00-02024.96] 在這種情況下你就要一個一個去來先去分標的第五
[02024.96-02026.24] 再去分規則
[02026.24-02028.04] 你看所有權是不是這樣呢
[02028.04-02031.68] 所有權動產意登記不動產意交付
[02031.68-02033.60] 東西到底規不規你所有
[02033.60-02035.66] 這時候就看登記和交付了
[02035.66-02037.84] 那底安全的設理是不是也是一樣的
[02037.84-02039.34] 先去分標的第五
[02039.34-02042.42] 动产叫做一登记
[02042.42-02045.42] 而不动产自合同成立事生效
[02045.42-02047.74] 如果我用非常明显的
[02047.74-02049.10] 这样的一个公式
[02050.10-02051.38] 来来表示的话
[02051.38-02054.58] 那不动产的安全就是有效合同就动员
[02055.22-02057.22] 动产的安全就动员有效合同
[02057.22-02058.30] 动产的安全设立
[02058.30-02060.06] 而不动产的安全是什么
[02060.06-02061.90] 是有效合同
[02064.30-02065.82] 加登记
[02067.42-02068.26] 登员
[02068.26-02069.26] 我们所说的
[02069.34-02070.62] 不动产疊券
[02071.38-02072.16] 数字这样
[02072.42-02073.68] 所以我一直跟他说
[02073.68-02076.52] 说区分一定要区分一定要宽价
[02076.76-02077.54] 原来你就在这
[02077.80-02079.32] 所以疊券的设立
[02079.58-02080.82] 因为标地务都不
[02081.12-02083.16] 不同所以他的规则也不一样
[02083.42-02085.20] 所以同学们做题都说怎么办
[02085.46-02087.76] 华题干先确定底下误
[02088.02-02090.84] 然后在从底下误的这个角度去检所他的规则
[02091.10-02092.38] 其实和咱们前面讲的那个
[02092.64-02094.18] 作题原则是一致的
[02094.68-02095.70] 所以这是我们所说的
[02095.96-02098.26] 有关于动产疊券的设立
[02098.26-02100.26] 子河通成立時生效
[02100.26-02101.38] 在這裡面說
[02101.38-02103.38] 是他怎麼又出現了登記的問題
[02103.38-02104.34] 他後面說了
[02104.34-02105.82] 說東產的安全設立
[02105.82-02106.46] 叫做
[02106.46-02109.82] 衛經登記不得對抗善意
[02109.82-02110.74] 第三人
[02110.74-02111.94] 所以同時們在這
[02111.94-02113.18] 標準圈醫
[02113.18-02114.74] 這個地方標準圈二
[02114.74-02116.18] 這個地方強調的是什麼
[02116.18-02118.74] 是東產的安全的對抗效理問題
[02120.50-02123.06] 是東產的對抗效理問題
[02123.06-02126.10] 叫衛經登記不得對抗善意
[02126.10-02126.82] 第三人
[02126.82-02128.36] 咱们举个简单的例子
[02128.36-02129.20] 我们在这
[02129.20-02130.40] 假设在这里
[02130.40-02132.20] 给到的是动产底
[02132.20-02133.68] 动产底亚的话
[02133.68-02135.48] 举个简单例子还是样的
[02135.48-02137.22] 我向您的航贷款
[02137.22-02141.72] 我向您的航贷款
[02141.72-02142.82] 贷款多少钱呢
[02142.82-02144.44] 我向您航贷款了
[02145.26-02146.26] 两个意外
[02146.26-02148.02] 我向您好贷款两个意
[02148.02-02149.42] 我向您好贷款两个意外
[02149.42-02151.12] 我只得要给他设立点物
[02151.12-02152.48] 我不给他拿我
[02152.48-02154.12] 北京的四孔热来给他设立点物
[02154.12-02154.92] 而把我的什么
[02154.92-02156.26] 而把我的叫车
[02156.82-02158.82] 第2个也好
[02158.82-02160.82] 我把就车底压给银行的话
[02160.82-02161.82] 这个时候大家注意一下
[02161.82-02162.82] 就车它属于什么
[02162.82-02164.82] 就车它属于动产
[02164.82-02165.82] 那动产的话
[02165.82-02168.82] 就均旋动产的安全的舍力规则
[02168.82-02169.82] 那动产的安全舍力规则
[02169.82-02171.82] 就是我和银行牵定
[02171.82-02174.82] 底压和痛的时候
[02174.82-02176.82] 那这个时候
[02176.82-02178.82] 和痛牵定生效那一天
[02178.82-02180.82] 动产的安全就舍力了
[02183.82-02185.82] 就是动产的安全就舍力了
[02185.82-02187.82] 那动产的安全设立的话
[02187.82-02188.82] 我们说了
[02188.82-02190.82] 只要是河同生效
[02192.82-02193.82] 我简单写
[02193.82-02195.82] 叫生效河同
[02195.82-02198.82] 点儿权设立
[02201.82-02203.82] 生效河同点儿却设立
[02203.82-02205.82] 但这里会存在一个问题
[02205.82-02206.82] 什么问题呢
[02206.82-02207.82] 这是我们前面说到的
[02207.82-02208.82] 点儿河同
[02208.82-02210.82] 或者是点儿权设立了之后
[02210.82-02211.82] 这个标地务
[02211.82-02212.82] 它是不转移债的
[02212.82-02214.86] 換句話說,我虧人把叫車
[02214.86-02219.74] 疊給了銀行,但是叫車一度在誰的手裂,依舊在我的手裂
[02219.74-02222.58] 這個時候我就在想,反正車也是我的
[02222.58-02226.94] 於是我就把車扛滿,我就把車扛開,我們從來裡面的
[02226.94-02229.22] 還是一樣的,陌生廣場登場了
[02229.22-02233.30] 和我們村裡面的陌生廣場,簽訂了一個買賣合同
[02233.30-02235.86] 我說,反正這個車,我疊給了銀行了
[02235.86-02240.74] 我現在我也開不了了,對吧,我有養不起這個車,有些人也挺貴的
[02240.74-02243.56] 于是我和沫荣廣场签订了一个买卖和头
[02243.56-02244.70] 这个买卖和头是啥呢
[02244.70-02245.74] 这个买卖和头
[02245.74-02248.94] 这是我以三十万元
[02248.94-02251.66] 我以三十万元的这个价格把这个车
[02252.30-02253.44] 卖给了沫荣廣场
[02253.44-02256.22] 并把这个车纠覆给了沫荣廣场
[02256.22-02257.38] 那同们来看一下
[02257.38-02258.58] 就车是什么
[02258.58-02260.46] 就车是我们所说的动产
[02260.46-02260.82] 对吧
[02260.82-02261.94] 或者是不用叫车吧
[02261.94-02263.74] 就车是特殊动产
[02263.74-02266.06] 我们在这里就找一个一般动产嘛
[02266.06-02268.90] 比如说把我的大
[02268.90-02270.38] 那大自行车吧
[02270.74-02271.70] 咱們換一個
[02271.70-02273.70] 把我的大資用車給你好
[02273.70-02276.30] 反正這個資用車度金的30萬一倍管了
[02276.30-02277.54] 反正這個大資用車
[02277.54-02279.14] 我在這裡面就把它
[02279.14-02280.94] 買給了木融廣場
[02280.94-02282.74] 買給木融廣場同時交付
[02282.74-02283.82] 同樣來看一下
[02283.82-02286.70] 這裡面是資用車是動產
[02286.70-02287.90] 我換一個顏色
[02287.90-02288.78] 這裡面
[02289.74-02294.14] 我和木融廣場之間是一個買賣合同
[02294.14-02295.38] 買賣合同的標的故事
[02295.38-02296.18] 資用車
[02296.18-02296.58] 對吧
[02296.58-02297.74] 資用車
[02297.74-02300.34] 那資用車是一個動產
[02300.34-02302.64] 東產的賣合同簽訂產生
[02302.64-02303.66] 債錢效率
[02303.66-02305.98] 同時我在這裡面交付了
[02305.98-02307.06] 交付了之後
[02307.06-02309.04] 陌生廣場就取得了車的
[02309.04-02310.84] 就取得了最用車的
[02310.84-02311.74] 所有權
[02311.74-02312.88] 這個沒有問題
[02312.88-02314.16] 但現在問題在哪呢
[02314.16-02316.46] 在現在問題出現在我和銀行之間
[02316.46-02318.26] 我把車確實是賣給陌生廣場
[02318.26-02320.82] 但是我和銀行之間還有一個兩億到什麼
[02320.82-02321.72] 貸款合同
[02321.72-02323.46] 也是我相銀行的計款合同
[02323.46-02325.42] 我們約定還款期限是一年
[02325.42-02327.54] 結果在這個一年之後
[02327.54-02329.00] 我還不上銀行的錢
[02329.00-02331.70] 銀行就要把我的車拿出去拍賣
[02331.70-02333.42] 結果他一拍賣的時候他發現
[02333.42-02334.12] 五言
[02334.12-02334.44] 對吧
[02334.44-02337.14] 這個車已經跑到陌容廣場的一個地方了
[02337.14-02339.40] 他能不能在這個過程中說
[02339.40-02341.16] 再去拍賣人家的說什麼
[02341.16-02342.50] 陌容廣場的那個車
[02342.50-02345.26] 然後讓人家陌容廣場跟陌容廣場去掰車說
[02345.26-02347.48] 他這個車可是先給我的
[02347.48-02349.90] 這個時候你把你買了這個車
[02349.90-02350.62] 你可不行
[02350.62-02351.80] 你再把這個車退回來
[02351.80-02354.46] 他再把這個車拍賣的時候先黃毀銀行的錢
[02354.46-02357.92] 銀行到底有沒有這個資格去找陌容廣場理論
[02357.92-02359.72] 这个时候就会设议到一个问题
[02359.72-02360.36] 就是
[02361.56-02363.56] 银行能不能救我的这个
[02363.80-02366.12] 大资用车再次拍卖又先收藏
[02366.36-02367.84] 那他这里面就会设议到一个问题
[02367.84-02368.52] 什么问题呢
[02368.68-02371.24] 就要看我当时给银行就设议
[02371.24-02372.56] 银辞安全的时候
[02372.56-02373.80] 我有没有进生什么
[02373.80-02376.04] 我到底有没有给银行办理
[02376.04-02377.48] 链安全登记
[02377.88-02379.28] 这个链全都登记
[02379.28-02380.32] 同时来看一下
[02380.52-02382.48] 这个链全的登记就不是来
[02382.48-02383.84] 再一次去看
[02383.84-02385.56] 说这个链全到底是生效
[02385.56-02386.36] 还没有生效
