[00000.00-00003.72] 大家好,我是杰瑞老师,欢迎大家来学习。
[01211.26-01212.98] 当时的口罩就属于
[01212.98-01214.04] 疾分品
[01214.04-01215.80] 所以在这里面大家注意一下
[01215.80-01217.52] 商品自身价格
[01217.52-01220.48] 他其实考察的是他的变动情况
[01220.48-01221.50] 大家一定要注意一下
[01221.50-01223.16] 并非任何情况
[01223.16-01224.66] 都是反比
[01224.66-01227.10] 存在特殊情况会存在政筆的情况
[01227.10-01228.02] 大家要注意一下
[01228.02-01229.58] 所以这里面两个考点
[01229.58-01230.30] 我们要明确
[01230.30-01230.94] 第一个
[01230.94-01232.34] 为什么一般情况之下
[01232.34-01233.54] 成反底的原因
[01233.54-01234.18] 第二个
[01234.18-01235.58] 特殊情况之下
[01235.58-01237.70] 成同方向变动的这一类商品
[01237.70-01238.66] 称之为叫做
[01238.66-01239.34] 极分品
[01239.34-01239.86] 大主意
[01239.86-01240.78] 这是第一个
[01240.78-01242.18] 叫做商品资深的
[01243.06-01243.94] 价格
[01243.94-01246.30] 在这里面给大家做了一个考点体验
[01246.30-01247.42] 我发现这一二呢
[01247.42-01248.42] 有一天能用上了
[01248.42-01249.86] 所以在这里面刚才说了
[01249.86-01251.54] 反底的原因是啥来着
[01251.54-01253.10] 编辑效用
[01253.10-01253.98] 地坚
[01253.98-01254.62] 对不对
[01254.62-01255.62] 編輯效用地檢
[01255.82-01257.18] 第二個集分體是什麼
[01257.18-01258.22] 是某一類商品嗎
[01258.22-01258.58] 不是
[01258.58-01259.38] 是從
[01260.06-01261.42] 我們所說的價格上
[01261.42-01263.74] 需求量反而上升這種變動
[01263.74-01265.06] 趨勢的商品
[01265.38-01266.98] 所以大家不要說
[01267.14-01268.30] 去記 去體難力
[01268.30-01269.06] 你只要看
[01269.06-01270.58] 它呈現這種變動趨勢了
[01270.58-01271.42] 你就選集分品
[01271.42-01272.14] 就OK了
[01272.38-01273.46] 那這是第一個
[01273.46-01274.34] 我們所說的
[01275.06-01275.74] 商品
[01275.74-01276.66] 自身的價格
[01276.66-01278.26] 它對需求量的影響
[01278.26-01278.98] 這是第一個
[01279.26-01280.78] 那第二個會影響到
[01280.78-01282.94] 我們所說的這種需求的是什麼呢
[01282.94-01286.74] 在这个地方给到的叫做消费者的收入水平
[01286.74-01287.86] 消费者收水平
[01287.86-01289.74] 在这个消费者收水平当中
[01289.74-01292.06] 大家记得一下他可以考察到增几个电
[01292.06-01293.58] 第一个也是一样的
[01293.58-01295.98] 会考察他的变动情况
[01297.34-01299.14] 会考察他的变动情况
[01299.14-01301.62] 第二个在消费者收入水平这一块
[01301.62-01303.10] 结合他的变动情况
[01303.10-01304.70] 可能还会考察到另外一个点
[01304.70-01306.14] 做了恩格希鼠
[01308.70-01310.06] 叫恩格希鼠
[01310.06-01312.58] 所以这里面一共会有两个点
[01312.58-01314.38] 那我们先来看一下第一个点
[01314.38-01316.34] 就是消费者收水平
[01316.34-01319.30] 它对于需求量影响的变动情况
[01319.30-01320.62] 你还说上转说的
[01320.62-01323.78] 说说对于多数商品来说
[01323.78-01326.06] 收的者收入水平提高的时候
[01326.06-01327.68] 增加商品叫什么
[01327.68-01328.30] 需求量
[01328.30-01329.94] 有些在这里面它一样
[01329.94-01331.78] 对于多数商品来说
[01331.78-01333.06] 同样可以看一下
[01333.06-01335.26] 就是收入越高
[01335.26-01336.78] 在这种情况之下你的什么
[01336.78-01338.70] 你的需求量会越高
[01338.70-01340.90] 有些这种正常情况之下是从
[01340.90-01343.98] 正比便动或者叫做同方向便动的
[01343.98-01345.24] 就简单的例子说
[01345.24-01347.94] 之前给大家说过不要喜欢喝酸奶 对吧
[01347.94-01349.86] 我酸奶我喝了我还挺高
[01349.86-01351.34] 那你看正常情况之下
[01351.34-01353.78] 我当我约心是三天会前游月的时候
[01354.78-01358.02] 那这时候我喝酸奶可能一周就一平酸奶
[01358.02-01360.22] 对吧我还把这个酸奶喝了解干净
[01360.22-01362.02] 当我如果约心打到多少
[01362.02-01364.10] 打到酸暗会前游月的时候
[01364.10-01365.62] 我还用一周一平吗
[01365.62-01366.54] 我只订不用啊
[01366.54-01368.54] 我可以一周怎么样 一周十平
[01368.54-01370.06] 我不典一周卖十平
[01370.06-01371.34] 我还只剪个
[01371.34-01372.46] 我不合理面的东西
[01372.46-01373.42] 是不是也行
[01373.42-01375.34] 那你看在这里面就意味着
[01375.34-01377.22] 当我的收入增加的时候
[01377.22-01378.90] 我的剧手量反而有会怎么样
[01378.90-01379.54] 增加
[01379.54-01382.58] 这其实很好的解决了一个解释了一个点
[01382.58-01383.18] 什么点呢
[01383.18-01384.18] 就是为什么
[01384.18-01385.26] 你无论赚多少钱
[01385.26-01386.62] 都觉得钱不够还了
[01386.62-01388.14] 就是因为你收入越多
[01388.14-01389.78] 你的剧手量反而会怎么样
[01389.78-01390.38] 越度
[01390.38-01392.58] 那这个就是我们所说的正常的
[01392.58-01394.26] 它的一个变动情况
[01394.26-01395.14] 大家要注意一下
[01395.14-01396.26] 这是第一个
[01396.26-01397.06] 但是我们说了
[01397.06-01399.06] 那有常态就有变态
[01399.06-01400.30] 咱们考试的时候呢
[01400.30-01403.06] 一般情况就是不靠常态靠变态
[01403.06-01404.86] 所以对于多数商品来说
[01405.58-01406.98] 是收入月高
[01407.70-01408.86] 去求量好儿月高
[01408.86-01411.06] 那对于少数商品来说呢
[01411.34-01413.42] 大家可能就会出现另外一种情况
[01413.62-01415.22] 就是收入月高
[01415.42-01416.58] 我们所说的是吗
[01416.58-01418.26] 去求量好儿下降
[01418.26-01419.46] 它有呈现这种
[01419.46-01421.82] 反比或反方向的变动情况
[01421.82-01423.58] 我们把这一类的商品
[01423.58-01424.38] 称之为什么呢
[01424.38-01425.18] 大距下
[01425.18-01426.74] 我们把这一类的商品
[01426.74-01427.74] 称之为
[01427.74-01431.74] 叫做低党品或者是列党品
[01431.74-01437.74] 现在旁边叫低党品或者是列党品
[01439.74-01446.74] 现在旁边叫低党品或者是列党品
[01447.74-01451.74] 在这里面还是要的要一大许去集中一个概念
[01451.74-01454.42] 这里所谓的低党品和列等品
[01454.42-01458.10] 和它的品质可能没有直接的关系
[01458.10-01459.06] 在这里大家明确
[01459.06-01461.10] 和它的品质可能没有直接关系
[01461.10-01463.06] 它只要是呈现这种
[01463.06-01464.10] 收入越高
[01464.10-01467.10] 需求量越低的这种变动趋势的
[01467.10-01469.70] 还是要的呈现这种变动趋势的商品
[01469.70-01470.90] 它都叫做什么片
[01470.90-01472.94] 它都叫做低党品或列等品
[01472.94-01476.50] 它与品质可能没有直接关系
[01476.50-01477.14] 明白
[01477.14-01478.06] 一定不要说
[01478.06-01479.90] 阿雅老师都列等品了
[01479.90-01482.34] 我这个手指要找一个不好的东西就行了
[01482.34-01483.54] 不是的 通闷
[01483.54-01485.50] 所谓的低当片和列登片
[01485.50-01488.22] 它是呈现这种变弄趋势的商品
[01488.22-01490.02] 和品质没有直接关系
[01490.02-01493.66] 我签订另外主书在这里就是要给大家说明这个情况
[01493.66-01495.50] 我举个简单的例子来说 假设
[01495.50-01498.02] 我还是一个月月新当我是三千的时候
[01498.02-01499.38] 我除了喜欢喝酸点之外
[01499.38-01500.62] 我干嘛呢 我出闷啊
[01500.62-01501.54] 我再上下班啊
[01501.54-01503.62] 那我出闷上海班怎么办 做工交办
[01504.78-01506.30] 那如果工交都比我贵的话
[01506.30-01506.90] 我就起什么
[01506.90-01508.62] 我就起共享单车嘛 对吧
[01508.62-01511.44] 那我就说腿着就提共享单车就去了
[01511.44-01514.10] 那你看这是我收入所现
[01514.10-01515.86] 当我收入比较低的时候
[01515.86-01518.86] 我对于出行的需求量比较大的事
[01518.86-01520.14] 共交车不逛单车
[01520.14-01522.10] 但我现在如果说一个月多少钱
[01522.10-01523.98] 不三了了三万满足不了我
[01523.98-01525.70] 假设我一个月月线三十万
[01525.70-01526.70] 这是我的梦想
[01526.70-01528.62] 当我一个月月线三十万的时候
[01528.62-01529.50] 我同们想一下
[01529.50-01531.82] 我触门我还用几公交车
[01531.82-01533.30] 或者是做过很单车吗
[01533.30-01534.18] 只能不是
[01534.18-01536.94] 我这时候月线三十毛只能充电四电里面
[01536.94-01540.66] 这两个人都给我报起来 我开过去
[01540.66-01543.54] 我一周七天 每天出门 我开不同的车
[01543.54-01546.66] 你看在这里面 是不是出现了一类情况
[01546.66-01550.90] 就是当我的月薪或者是我的收入水平开提升的时候
[01550.90-01555.30] 我对于宫交车或宫兰单车的需求量 会怎么样
[01555.30-01560.30] 会下降 那这个时候我们所说的宫交车和宫兰车
[01560.30-01561.58] 他就属于什么片
[01561.58-01564.58] 他就属于低党片 或者是烈等片
[01564.58-01567.86] 那你能说人家工作车后过了难车的质量不行吗?
[01567.86-01572.34] 没有,只过是因为呈现了这种变动趋势由于翻译的原因
[01572.34-01575.70] 我们给他翻译出来了,叫做低党品或者是啊,列党品
[01575.70-01577.38] 他个品质没有直接关系
[01577.38-01582.42] 你只要看到他是成反方向变动趋势的这一类商品
[01582.42-01583.54] 他都叫做什么?
[01583.54-01587.46] 他都叫做我们所说的,低党品或者是叫列党品
[01587.46-01589.22] 那就好比说两个人家能接着
[01589.22-01592.34] 两个人家接着我一个月三天会前的时候,我喜欢接着
[01592.34-01594.70] 那我買不起好的我就去兩天
[01594.70-01595.92] 那我出來的時候
[01595.92-01597.70] 十個手指頭上沒用手能帶一個
[01597.70-01599.08] 花二千十塊錢對吧
[01599.08-01601.34] 那我當我有三十萬一個月的時候
[01601.34-01602.92] 我還去兩天點買接著嘛
[01602.92-01603.92] 直接不去啊
[01603.92-01606.24] 對吧那好點高的意味是有身分證的人
[01606.24-01608.48] 我就不可能去兩天買接著了
[01608.48-01610.82] 我就要幹嘛充到那個商場一樓的樓下呀
[01610.82-01612.58] 我說這個這個這個這個這個不要
[01612.58-01613.58] 現在都跟我抱起來
[01613.58-01614.86] 那你看這不就是嘛
[01614.86-01615.98] 那對於我來說
[01615.98-01617.86] 兩文店的戒指他就是嘛
[01617.86-01619.54] 他就屬於我們所說的
[01619.54-01621.10] 列的影片明白了吧
[01621.10-01623.42] 能说人两个月就只能不好
[01624.42-01625.18] 不懂这么说
[01625.18-01626.42] 我买了那个接着
[01626.42-01627.58] 能出中卖的
[01627.58-01628.38] 对吧 还留着呢
[01628.38-01629.50] 你看也没咋地
[01629.74-01631.10] 在这里面你一定要知道
[01631.10-01632.62] 所有的列等品
[01632.62-01634.42] 它其实和品质没有直接关系
[01634.42-01635.46] 只是呈现这种
[01635.70-01636.82] 变动趋势的
[01636.82-01637.62] 大家明确
[01637.74-01639.30] 所以在这里 大家标注
[01639.30-01640.46] 这是第一个考虑
[01640.46-01642.74] 经常会考理解行了题目
[01642.86-01643.70] 考虑的题目
[01643.70-01646.46] 就是以下属于列等品的事
[01646.46-01649.74] 让你从AVCD4个选项里面去选
[01649.74-01652.04] 你这时候判断的唯一标准就是
[01652.04-01654.46] 收入增加哪一个你不想去用它
[01654.46-01655.62] 那他就属于列的品
[01655.62-01656.66] 那他注意下案
[01656.66-01659.66] 只是第一个大家明确的它的变动情况
[01659.66-01662.14] 那第二个就是在这里面会考察到
[01662.74-01664.10] 就是恩格尔系组
[01664.10-01666.62] 我们其实都知道你的收入情况
[01666.62-01669.30] 会影响到你的什么生活水平
[01669.30-01671.74] 那既然收入会影响到你的生活水平
[01671.74-01675.10] 那这里面就会提到一个对于生活水平
[01675.10-01677.74] 狠凉的指标就叫做恩格尔系组
[01677.74-01681.74] 那在恩格尔吸引出裡面,大家注意一下,我們一公要考,這麼幾個點,
[01681.74-01685.74] 人第一個,我們要去掌握恩格尔吸引出他的一個公式。
[01687.24-01692.24] 恩格尔吸引出他的公式是什麼呢?我們都知道,恩格尔吸引出10品之初。
[01694.24-01697.74] 站,消費總之初的比重。
[01701.74-01705.04] 叫做10品之初,站消費總之初的比重。
[01705.04-01708.32] 这个地方大家注意一下,考问什么呢,考过计算
[01709.76-01712.30] 这个地方是考过计算题目的,大家注意一下
[01712.30-01715.10] 叫10品支出,这消费总支出的比重
[01715.10-01717.54] 一般情况之下呢,它会出的比较简单
[01717.54-01720.84] 就是说,哎呦一家人,然后他们家的消费结构如像
[01720.84-01723.18] 然后会在这个体肝当中,给你一个表
[01723.18-01724.68] 然后在这个表当中,说了
[01724.68-01726.80] 他们出去有,花了多少钱
[01726.80-01729.24] 然后出去吃饭,花了多少钱
[01729.24-01731.80] 然后在这里面子女的交易租出费是多少钱
[01731.80-01734.64] 那你这个表格当中只需要找到什么就可以了
[01734.64-01736.64] 只需要找到食品之出
[01736.64-01738.36] 然后把这个表格当中
[01738.36-01740.84] 所有的支出项目给它家总在快什么就行了
[01740.84-01742.40] 这时候就能算出什么
[01742.40-01743.40] 恩国人细数
[01743.40-01745.72] 但是有一次考的体目
[01745.72-01748.32] 它就相对来说没有考的这么简单
[01748.32-01750.12] 它在这里面只给到说
[01750.12-01751.16] 这一家的
[01751.88-01754.12] 我们所说的食品之出是多少钱
[01754.12-01755.32] 然后后面给了一句话
[01755.32-01757.88] 说这一家的消费总收入
[01757.88-01759.16] 叫做越总收入
[01759.16-01760.12] 达到多少钱
[01760.12-01762.16] 然后问说它的恩国人细数多少
[01762.16-01763.44] 当然很多朋友就没圈了
[01763.44-01764.96] 说老师我们当时学的是
[01764.96-01767.32] 食品支出在消费种植出的比众
[01767.32-01769.72] 它这里面没有给的消费种植出咱打算的
[01769.72-01770.48] 大家注意一下
[01770.48-01772.48] 当它没有给到消费种植出的时候
[01772.48-01773.48] 我们就默认
[01773.48-01777.24] 它的消费种植出就等于它的家庭种收入
[01779.04-01780.04] 所以在这里面
[01780.04-01781.00] 你看像刚才的
[01781.00-01782.08] 我说的那样听里面
[01782.08-01784.48] 它如果给到种收入的这样一个情况
[01784.48-01786.20] 那没有给到各个
[01786.20-01788.08] 我们所说的项目的支出
[01788.08-01789.08] 你说不用加
[01789.08-01790.56] 只要用食品支出
[01790.56-01792.00] 除于种收入就可以了
[01792.00-01794.82] 所以在这里面当时考误机算体大助一下
[01794.82-01797.82] 这是我们所说的第一个它的公式
[01797.82-01800.24] 从这个公式当中我们能推演出来什么呢
[01800.24-01801.60] 同时来看一下
[01801.60-01803.64] 在我们所说的这个公式当中
[01803.64-01805.66] 在上面的这个部分就分子部分
[01805.66-01807.46] 是我们所说的食品之处
[01807.46-01808.90] 这里面的食品之处
[01808.90-01810.16] 我们默认为
[01810.16-01812.22] 它其实是维护这一个家庭
[01812.22-01813.96] 它基本上是需要
[01813.96-01815.46] 你说买的这些东西
[01815.46-01817.22] 你就是为了维护我活下去
[01817.22-01818.94] 你天天要给我吃的这东西
[01818.94-01820.74] 这个叫做食品之处
[01820.74-01823.56] 那从这个食品之出来看,我们其实可以得出来
[01823.56-01828.94] 如果这个食品之处越大,是不是对于这个家庭来说他没吃生产
[01828.94-01831.74] 或者是生活所必须的这些钱就越多呀
[01831.74-01834.56] 我再直外一点,就是你花在吃上的钱越多了
[01834.56-01837.38] 那这个时候你能出去了,出去浪的钱是不是就少了
[01837.38-01839.70] 所以在这里面我们就能够看出来
[01839.70-01842.50] 食品之处越多,也就是这个点越多
[01843.02-01844.80] 那这里面就意味着
[01844.80-01847.32] 恩葛 西叔会约大
[01847.32-01850.50] 所以这个时候我用在视频之中的前约多
[01850.50-01854.20] 反而我生活享受这些资料消费就会很少
[01854.20-01855.72] 我的生活质量一定会怎么样
[01855.72-01856.68] 会很低的
[01856.68-01859.12] 所以在这里面就有两个店搭住一下
[01859.12-01860.16] 第一个点是什么呢
[01860.16-01864.60] 就是恩葛 西叔他是很凉一个国家
[01865.88-01868.04] 或者是一个家庭
[01869.32-01871.48] 他的生活水平的指标
[01871.48-01876.36] 有人把这个生活水平撑着为啥呢?
[01876.36-01878.60] 撑着为赵格富裕程度一样的
[01878.60-01881.92] 生活水平或者是富裕程度的指标
[01881.92-01884.96] 但我们一般情况这下看到的都是生活水平
[01886.96-01891.72] 所以恩格尔系组的红量一个国家和一个家庭生活水平的指标
[01891.72-01893.56] 这时候其实我们刚才说了
[01893.56-01895.80] 说当食品支出越大
[01895.80-01897.44] 恩格尔系组就越大
[01897.44-01899.72] 那就意味着你花在吃上的钱就越多
[01899.72-01901.16] 能处出玩的钱就越少
[01901.16-01902.20] 你都玩不了了
[01902.20-01904.56] 你觉得你的生活过的资论不资论
[01904.56-01906.56] 所以这里面间接着就说明了一个问题
[01906.56-01908.96] 就是Ungirl系说越大
[01911.24-01913.12] 人们的生活水平就会怎么样
[01913.12-01915.64] 生活水平就会越差
[01918.12-01920.00] 这个就是我们所说的这个
[01920.00-01921.32] Ungirl系服这个内容
[01921.32-01923.36] 这里面隐藏了三个点
[01923.36-01924.56] 两个点
[01924.56-01925.90] 第一個點就是恩格希腐
[01925.90-01927.46] 他是橫良什麼的指標
[01927.46-01929.88] 大住一下橫良生活水平的指標
[01929.88-01932.60] 因為他很容易和基尼吸收放在一塊考察
[01932.60-01935.04] 第二個點就是在這恩格希腐越大
[01935.04-01936.36] 生活水平越差
[01936.36-01937.30] 在這個地方
[01937.30-01940.64] 特别喜歡考察一個理解行的題目
[01940.64-01942.66] 在這裡考理點的題目怎麼考呢
[01942.66-01944.48] 給你三個恩格希腐
[01944.48-01947.38] 讓你去比較這三個家庭也好
[01947.38-01949.46] 或比較這三個國家也好
[01949.46-01952.90] 說他們之間的富裕程度以及發展情況
[01952.90-01954.54] 比如說我在這裡舉個簡單例子
[01954.54-01957.60] 假设现在假的恩格希说
[01958.50-01959.66] 假的恩格希说
[01959.66-01961.66] A的恩格希说最大
[01962.78-01964.98] 然后B的恩格希说居中
[01965.46-01967.46] 然后C的恩格希说最小
[01967.46-01969.46] 当然他会给到具体的数值
[01969.46-01970.74] 这里面他说了
[01970.74-01972.74] A国,B国和C国
[01972.74-01975.06] 他们国家的具体发人情况应该是什么样的
[01975.06-01976.00] 我们看他说了
[01976.00-01979.06] 恩格希说越大生活水平越差
[01979.06-01981.62] 这个时候我们说了恩格希说最小的
[01981.62-01983.94] 一定是发展最好的
[01983.94-01984.50] 对吧
[01984.54-01988.54] 然后是居中最后是最大的
[01988.54-01990.54] 最大的一定是发展最差的
[01990.54-01993.54] 然后让你给这几个国家的经济情况排序
[01993.54-01996.54] 你说就要根据这个吸塑的变动情况去排下来
[01996.54-01999.54] 那一定是C1-1B大约A的这种情况
[01999.54-02001.54] 那大家注意一下在这里呢
[02001.54-02003.54] 它其实不会直接的考察
[02003.54-02005.54] 而是会在这间接的考察我们
[02005.54-02007.54] 所以它一旦间接考察大家要知道
[02007.54-02010.54] 它怎么去出体出理一些形的题目
[02010.54-02011.54] 那我刚才说了
[02011.54-02018.96] 一个红量指标,它是一个一红小烤点,作一个一红小烤点,会小金尼系数,会小金尼系数
[02018.96-02028.54] 这个就是我们所说的,叫做它的一个指标,使用来红量国家或加停的,生活水平的指标,这是第二个
[02028.54-02035.34] 在我下来,我们来看一下,在恩格尼系数里面其实还会去考察它的一个系数具体的情况
[02035.34-02040.72] 打住一下 还会去考察
[02040.72-02043.02] 恩格希处 他的一个具体情况
[02043.02-02047.62] 恩格希处呢 我们一般情况之下是用百分比来表示的
[02047.62-02050.20] 那一般情况之下 我们认为恩格希处
[02050.20-02053.26] 大于百分之六十的情况 他就代表的是什么呢
[02053.26-02057.62] 大于百分之六十 因为它很强 所以恩格希处大于百分之六十
[02057.62-02063.76] 我认为它是平穷的 大于平穷 所以同样可以简单标住一下 就是大于百分之六十
[02063.76-02067.76] 我们认为是平衡的
[02067.76-02072.52] 如果是我们所说的50-60-60
[02072.52-02074.24] 我们就认为是温暴
[02074.24-02078.80] 它处在温暴情况
[02078.80-02082.52] 如果在网项40-50-50
[02082.52-02085.48] 这里面我们就认为是小康
[02085.48-02087.84] 如果在网项
[02087.84-02089.96] 小康在比它在小一点
[02089.96-02092.96] 3-4-4-6-6-6-6-6-6-6-6-6-6-6-6
[02092.96-02094.56] 那小热过挺不错
[02094.56-02096.96] 这时候就为认为是富语
[02099.36-02100.56] 就是认为是富语
[02100.56-02102.36] 那如果比本人这三十还小
[02102.36-02103.56] 甚至小一本这二十
[02103.56-02104.96] 那就是我们所说的什么
[02104.96-02105.96] 相当富语了
[02105.96-02107.96] 那在这里面大家要注意啊
[02107.96-02109.96] 像我们所说的本质
[02109.96-02111.76] 是到三十和小一本质
[02111.76-02112.96] 是几乎不太长口
[02112.96-02114.76] 主要长口的就是这几个的话分
[02114.76-02115.76] 大家要注意一下
[02115.76-02117.56] 大一本这六十平蚊
[02117.56-02119.10] 50-60 吻保
[02119.10-02120.56] 40-50 小康
[02120.56-02122.00] 30-40 是
[02122.00-02123.52] 富裕或相对富裕
[02123.52-02124.28] 都可以
[02124.28-02125.32] 所以在这里
[02125.32-02127.28] 我们所说的画分节点
[02127.28-02128.08] 一定要注意
[02128.08-02130.64] 因为它有时候会把这些续数的具体情况
[02130.64-02131.92] 拿出来考察我们
[02131.92-02133.76] 这是我们所说的第三个
[02133.76-02135.32] 咱们的西数身上的考电
[02135.32-02136.84] 它的续数的具体情况
[02136.84-02138.16] 那么说了恩格西数
[02138.16-02140.44] 它其实是有这个公式所解订的
[02140.44-02141.48] 它有的时候
[02141.48-02142.32] 它考试的时候
[02142.32-02143.60] 它会考一个理解的题目
[02143.60-02144.20] 它说
[02144.20-02146.80] 以下ABCD4选当中
[02146.80-02149.84] 哪一个选项能够降低恩格系说
[02149.84-02150.80] 朋友来看一下
[02150.80-02152.36] 我想要降低恩格系说
[02152.36-02154.16] 只有级终方法
[02154.16-02155.52] 我想降低恩格系说
[02155.52-02156.88] 其实我只有两种方法
[02156.88-02159.12] 第一个就是我想方设法的
[02159.12-02160.68] 渔小食品之处
[02160.68-02161.16] 对吧
[02161.16-02163.36] 第二个就是我想方设法的
[02163.36-02165.24] 在食品之处无编的情况之下
[02165.24-02166.52] 增加我的总收入
[02166.52-02168.04] 反正就是上面这个数
[02168.04-02170.36] 渔小或者是下面这个数
[02170.36-02171.00] 增大
[02171.00-02172.68] 这个数恩格系说就能怎么办
[02172.68-02173.36] 渔小
[02173.36-02174.76] 所以有效的错识
[02174.76-02176.76] 或者是我们所说的调整恩格系数
[02176.76-02178.76] 或者想恩格系数 简小
[02180.26-02181.16] 你无非呢
[02181.16-02182.66] 就两种错识
[02182.66-02183.76] 利用错识干嘛呢
[02183.76-02185.26] 就是增加收入呗
[02188.16-02189.56] 想放射法 增加收入
[02189.56-02190.56] 那这时候
[02190.56-02191.76] 当时遇制出不变
[02191.76-02193.26] 恩格系数会简小
[02193.26-02195.56] 那这时候你的生活水平会更好
[02195.56-02198.16] 那如果不增加收入你还有什么办法呢
[02198.16-02199.36] 不动这个数
[02199.36-02201.16] 那你就只能动食品制出
[02201.16-02203.76] 那动食品制出就调整消费结构
[02204.76-02212.32] 这个点,团没注意,调整消费结构,这个点在山东市的单位的时候,考过了。
[02212.32-02219.48] 那在调整消费结构,怎么去调呢?我们把消费分成三种形式,第一种叫发展资料消费。
[02219.48-02222.84] 第一种叫生存资料消费。
[02222.84-02227.28] 在旁边,第一种叫生存资料消费。
[02227.28-02233.28] 第二种叫发展资料消费
[02233.28-02240.78] 第三种叫做享受资料消费
[02240.78-02246.28] 叫做享受资料消费
[02246.28-02248.78] 这个就是我们所说的三种情况
[02248.78-02252.28] 这里面它有个说回问两种考察点
[02252.28-02253.42] 第一個他就問
[02253.42-02256.80] 那這裡面的發展資料消費和想說資料消費指的是什麼
[02256.80-02260.64] 大家只需要知道發展資料消費就說我們常說的教育
[02260.64-02263.94] 而想說資料消費最常見的就是什麼 就是旅遊
[02263.94-02268.92] 那同們來看一下教育和旅遊是維持你生活所需的必須品
[02268.92-02269.96] 其實並不是
[02269.96-02272.66] 所以我們所說的這個生存資料小
[02272.66-02274.38] 我們所說的這種食品之處
[02274.38-02275.82] 他一般強調的是什麼
[02275.82-02278.86] 他一般強調的是生存資料消費
[02278.86-02280.28] 所以同們看一下
[02280.28-02282.98] 他如果想調整這個恩格爾吸數的話
[02282.98-02284.00] 他可以怎麼辦
[02284.00-02285.66] 他可以去做的就是
[02285.66-02288.62] 第一個叫將第一生存資料消費
[02288.62-02292.32] 但是擴大發展資料消費和享受資料消費
[02292.32-02294.84] 這種方法可不可以調整恩格爾吸數
[02294.84-02295.52] 當然可以
[02295.52-02298.80] 因為你的生存資料消費我們在恩格爾吸數裡面
[02298.80-02301.88] 就認為他其實是代表的實騙之初的
[02301.88-02304.12] 或者說實騙之初是生存資料消費
[02304.12-02305.64] 他的一種表現形勢
[02305.64-02307.92] 所以在這裡面你想要調整恩格爾吸數
[02307.92-02309.48] 想恩格爾吸數減小
[02309.48-02311.28] 那你要么就是增加收入
[02311.28-02314.80] 要么就是減少生存赴料消费
[02314.80-02315.68] 明白这个点吧
[02315.68-02317.16] 这个点当时在考察的时候
[02317.16-02318.12] 连还套
[02318.12-02319.72] 在整个恩格希腐质
[02319.72-02321.24] 考了一个绊合的考察点
[02321.24-02322.96] 所以一下官员恩格希腐说法
[02322.96-02324.44] 正确或者错误的是
[02324.44-02326.60] 然后在上面就给到了说恩格希腐
[02326.60-02328.36] 考到了这个续俗的聚情况
[02328.36-02330.08] 考到了消费结果的调整
[02330.08-02332.08] 考到了他的一个红章指标
[02332.08-02333.12] 大家一定要注意啊
[02333.12-02334.68] 那这是恩格希腐
[02334.68-02335.60] 那恩格希腐呢
[02335.60-02336.36] 大家都知道
[02336.36-02338.40] 它不是一天两天就能撤出来的
[02338.40-02341.80] 所以恩惡西俗呢一般情况下是一个长期的西俗
[02342.70-02346.70] 而且他的租期越长恩惡西俗的变动情况就会越明显
[02346.90-02351.00] 所以在这里面大家一定要注意啊他其实是五个考察点
[02351.30-02352.10] 五个考察点
[02352.80-02354.40] 你说老师哪五个这不才四个吗
[02354.40-02354.90] 五个啊
[02355.10-02357.80] 第一个是他的公式第二是他的橫亮指标
[02357.90-02360.40] 第三个呢就是他的一个西俗变动情况
[02360.60-02363.00] 第一个就是西俗进行话
[02363.00-02364.70] 第五一个呢就是他的调整
[02364.90-02367.10] 那当然恩惡西俗还有其他的一些说法
[02367.10-02370.98] 比如说,恩格尔西叔在某一年份,他会出现一些波动
[02370.98-02373.70] 这些波动情况是正常的
[02373.70-02377.34] 因为我们国家每一年的可能都要去测一下恩格尔西叔
[02377.34-02381.14] 对吧,那你可能每一年根据今年的具体情况不一样
[02381.14-02383.34] 那他可能受到多方面因素的影响
[02383.34-02388.42] 所以恩格尔西叔在某一年份出现波动,他是说很正常的现象
[02388.42-02391.74] 而且大家也知道,这个西叔他是一个长期绪数
[02391.74-02394.02] 一定要记得他是一个长期绪数
[02394.02-02399.02] 所以这是我们所说的恩格希述的内容
[02399.02-02402.02] 大家知道他是和收入有一定关系的
[02402.02-02405.02] 这个是影响虚求的第二个因素
[02405.02-02407.02] 我们讲了两个大的考脸
[02407.02-02410.02] 第一个变动情况第二个就是恩格希述
[02410.02-02411.02] 这是第二个因素
[02411.02-02413.02] 那影响虚求的第三个因素
[02413.02-02414.02] 我们称率什么
[02414.02-02415.02] 你让虚求的第三个因素
[02415.02-02418.02] 我们在这里叫做相关商品的价格
[02418.02-02421.02] 他说的当一种商品本身的价格
[02421.02-02421.94] 保持不变
[02422.14-02425.74] 而和它相关的其他商品的价格发生变化的时候
[02425.74-02428.62] 这种商品本身的需求量也会发生变化
[02428.62-02432.06] 它说相关商品一般情况之下有两种
[02432.06-02433.34] 一种叫做替代甜
[02433.34-02434.78] 一种叫做酷谷品
[02434.78-02436.30] 你说老师说了半天
[02436.30-02437.98] 它其实想说的是啥呀
[02437.98-02439.34] 它其实想说的是
[02439.34-02441.98] 叫做相关商品的价格变动
[02442.70-02445.90] 叫相关商品的价格变动
