[00000.00-00006.32] 那我們來看一下第五個部分就是生意在日常生活當中天天都能夠接觸到
[01260.02-01262.38] 是谈了音调不一样
[01262.38-01263.74] 对吧草草和切切
[01263.74-01266.02] 强调的是音调的不同
[01266.02-01266.98] 音调的不同
[01266.98-01269.30] 所以随选上说法是正确的
[01269.30-01270.54] 因为你谈取的
[01270.54-01272.42] 不就是在谈那个取调
[01272.42-01272.74] 对吧
[01272.74-01274.70] 所以他在这里草草和切切
[01274.70-01276.58] 形容的是音调没问题
[01276.58-01278.42] 第四个不敢高生语
[01278.42-01279.90] 孔经天上人
[01279.90-01281.02] 不敢高生语
[01281.02-01283.34] 他说了是从生员出检论造生
[01283.34-01285.94] 政卻说话的人就叫做生员
[01285.94-01287.34] 他不敢大生说话
[01287.34-01289.74] 是否就从他自身的地方去把生音解弱了
[01289.74-01292.74] 所以他说是从生员出检讱造音
[01292.74-01294.34] 这个也没有问题
[01294.34-01295.54] 所以这里面
[01296.14-01298.26] 照体不正确的应该是
[01298.26-01299.14] 遇选项
[01299.14-01300.34] 所以在这大家也能看到
[01300.34-01303.34] 我说了他经常就会考察一些案例
[01303.34-01304.94] 这是我们所说的生音
[01304.94-01306.74] 那么做一个简单的回顾
[01306.74-01308.94] 人第一个我们讲到了生音的传播
[01308.94-01309.74] 在传播当中
[01309.74-01310.74] 不说了第一个
[01310.74-01312.94] 生音是政动产生的
[01312.94-01315.76] 对吧,所以挣动会产生生波
[01315.76-01318.82] 于是我们在生活当中就讲到了
[01318.82-01320.54] 业体,气体当中
[01320.54-01322.94] 总部,而股体当中,恒国总部
[01322.94-01324.46] 第二个他需要借质
[01324.46-01326.58] 借质当中,我们就要注意两个点
[01326.58-01328.04] 第一个就是在这里
[01328.04-01332.14] 一般情况,这些不同的物体,它的传播速度不一样
[01332.14-01335.98] 第二个就是如果说借质相同的话
[01335.98-01337.78] 这时候要看的是什么
[01337.78-01339.30] 要看的是密度
[01339.30-01341.50] 所以这里面就会出现一个比较
[01341.50-01344.10] 除了烤笔要之外我们说了还会考察一些案例
[01344.10-01347.46] 你就记得比如说他考到听整气的这些内容
[01347.46-01348.02] 对吧
[01348.02-01350.02] 这个就是我们所说的关于
[01350.02-01352.22] 第一个我们所说的这个固体
[01352.22-01353.82] 他的一个比较和案例
[01353.82-01356.02] 第二个就在这里会考察另外一个点
[01356.02-01359.66] 是否在任何条件下都是固体大于液体大气体
[01359.66-01360.46] 不是的
[01360.46-01362.22] 我们说的是在长人下
[01362.22-01363.98] 他如果说任何条件之下
[01363.98-01365.58] 就说把就是错的
[01365.58-01368.86] 就是第一个我们所说的声音的传播和产生
[01368.86-01371.62] 第二个我们都知道声音太一定特性
[01371.62-01374.42] 声音的特性有三个叫做音色
[01374.42-01376.78] 我们说了影响主要是材料不同
[01376.78-01379.46] 或者是物质自身的特性不一样
[01379.46-01381.98] 第二个就是我们提到的音色的应用
[01381.98-01383.58] 比如说文声实气
[01383.58-01385.02] 听到不同的声音
[01385.02-01387.30] 我们就知道它是不同的乐器
[01387.30-01388.82] 那就试叫了音色
[01388.82-01390.66] 第二个叫叫做音调
[01390.66-01392.74] 音调它是分高低的
[01392.74-01394.42] 音调它是高低
[01394.42-01396.46] 我们就说音调高音调低
[01396.46-01399.70] 音調的高低和什麼有關呢
[01399.70-01402.64] 和我們所提到的真動的頻率有關係
[01402.64-01405.70] 我們所頻率越高音調就會越高
[01405.70-01408.16] 那它的應用比如說就是唱歌
[01408.16-01410.02] 或者是演奏的時候出現的
[01410.02-01412.48] 女高音南滴音或者我們剛才提到的談
[01412.48-01415.16] 皮牌大型草草小型器器
[01415.16-01417.40] 那這裡面強調的就是音調
[01417.40-01419.62] 那最後一個呢就是我們提到的想度
[01419.62-01424.30] 想度就叫做聲音的大小或者叫做聲音的強弱
[01424.30-01426.66] 深圳大想和強弱和正動幅度有關
[01426.66-01429.54] 想想為大家講的那個敲打的那個股面
[01429.54-01429.98] 對吧
[01429.98-01431.26] 那正動幅度越大
[01431.26-01432.58] 想度就會越大
[01432.58-01434.22] 比如說我們經常提到的說
[01434.22-01437.34] 隱恆高隔低生系於當中的高低
[01437.34-01440.38] 你就感覺它聲音的大小就行了
[01440.38-01443.18] 同門去判斷的這個想度和音調的聲音就看
[01443.18-01447.38] 它說的是高低的問題還是大小的問題
[01447.38-01449.50] 那在這裡面大家一定要注意一下
[01449.50-01452.22] 從此從而來判斷它的影響因素
[01452.22-01454.22] 這是我們所提到的特性
[01454.22-01456.22] 除了特性之外我們就說了
[01456.22-01458.72] 聲音他經常會被人所感知
[01458.72-01460.14] 人能感知的聲音犯了
[01460.14-01462.46] 是20克遭到2萬
[01462.46-01462.96] 和子
[01462.96-01465.06] 我們把兩萬和子稱著一叫做
[01465.06-01466.46] 20千克
[01466.46-01467.26] 這個千
[01467.26-01468.46] 不就是第三個0
[01468.46-01470.14] 就20千
[01470.14-01472.74] 那如果小約20叫4聲波
[01472.74-01474.74] 如果大於2萬叫超聲波
[01474.74-01477.26] 所以在這裡超聲波的應用打注意下
[01477.26-01479.02] 而4聲波我們說了2個點
[01479.02-01480.38] 第一個他對人體有害
[01480.38-01481.62] 是因為產生共震
[01481.62-01483.62] 第二次生活居然对人挺有害
[01483.62-01485.62] 是不是意味着他一点用途都没有
[01486.26-01487.98] 其实并不是对吧
[01487.98-01489.22] 在这种情况之下
[01489.22-01491.62] 他意味着我们所提到的
[01491.62-01493.90] 他可以用作预测
[01493.90-01495.22] 预测我就简单写了
[01495.22-01497.74] 就是水漫尔风暴预测一
[01497.74-01498.74] 预测风暴
[01499.62-01501.62] 访生血当中的内容
[01501.62-01504.42] 这个水母他其实就是能感知到
[01504.42-01505.42] 次生活
[01505.42-01507.02] 这个就是我们所说的
[01507.02-01509.62] 第五个问题就叫做生血
[01509.62-01511.98] 他相当来说会比较简单一些
