[00000.00-00007.24] 我们接下来再往后看,看下第三个,这第三个住民的要学家就是张重警
[01179.06-01180.74] 他的很常受
[01180.74-01184.06] 活了140医隧相传
[01184.06-01185.78] 所以这次我们所说的孙死妙
[01185.78-01188.02] 而他所说的那种大医经成
[01188.02-01189.14] 他的致病了这些
[01189.14-01190.58] 他都是说到做到的
[01190.58-01192.18] 时中都没有改过的
[01192.18-01195.34] 这个就是我们所说的要王孙死妙
[01195.34-01198.26] 也是非常传奇的这样的一个人物
[01198.26-01200.26] 当然和他有关的一些神话故事
[01200.26-01201.14] 其实也传说
[01201.14-01203.22] 其实很多的比如说像川融动
[01203.22-01204.74] 他给龙看我病了
[01204.74-01206.42] 那是在川融动的这个故事里面
[01206.42-01207.78] 或者说是要王妙
[01207.78-01209.02] 都是和它有关的
[01209.02-01210.74] 所以这个点大家注意一下
[01210.74-01211.14] 好吧
[01211.14-01212.74] 所以这是虽思了身上
[01212.74-01214.50] 我们所摄一道的这四个点
[01215.02-01215.90] 你得
[01215.90-01219.82] 我记得在国家博物馆里面有一个占庭
[01219.82-01220.78] 就是占的
[01220.78-01222.50] 就是我们所说的这个用
[01222.50-01224.70] 就是有一个就是中医的一个占庭
[01224.70-01226.26] 让上面刻着
[01226.26-01228.54] 有就是它的国家博物馆里面
[01228.54-01230.14] 国伯里面它每一个占庭
[01230.14-01232.62] 都会有一个先有一个前眼或者续眼
[01232.62-01233.90] 然后就在那里面看
[01233.90-01235.10] 它里面占庭很多
[01235.10-01236.02] 因为国伯很大
[01236.02-01237.22] 然后其中那个占庭里面
[01237.22-01239.94] 在中英的那里方就写到大一京城
[01239.94-01241.46] 其实就是来自于孙思苗
[01241.46-01243.70] 所以我们经常就能看到
[01243.70-01245.46] 一者父母亲
[01245.46-01246.82] 其实从那个时候就已经有了
[01246.82-01248.34] 所以孙思苗这个人
[01248.34-01251.02] 只让人非常亲配和尽配的这样的一个
[01251.02-01252.18] 我们所说的
[01252.18-01254.34] 中国要学历史上
[01254.34-01256.02] 非常传奇的一个人物
[01256.02-01258.10] 这个就是我们所说的第五个人
[01258.10-01260.26] 大家知道是孙思苗这四个
[01260.26-01261.70] 时代
[01261.70-01262.74] 孙超
[01262.74-01263.38] 住座
[01263.38-01265.54] 以及他的一个一德规范
[01265.54-01267.54] 大家要注意一下 这是第五个
[01267.54-01270.54] 第六个人物咱们要来看一看谁呢
[01270.54-01273.04] 第六个人物咱们要来看一看李石真
[01273.04-01276.54] 李石真 第1个大家要知道什么时代的明代的李石真
[01276.54-01279.54] 经常在考试的时候就给他放在啥里了
[01279.54-01282.04] 给他放在我们所说的青代当中了
[01282.04-01284.54] 不是了 他是明代的李石真
[01284.54-01286.54] 明代的李石真在这个地方
[01286.54-01290.54] 大家来看一下他所的这个住名的这个成就
[01290.54-01292.54] 其实是在什么的 标主一下圈儿
[01292.54-01296.70] 他的著名的這個成就其實就是我們所說的叫做本草剛木
[01296.70-01301.54] 本草剛木說記載要物一千八百多種方記以萬多個
[01301.54-01304.22] 他這個方記都已經給你開好了直接去抓就行了
[01304.22-01309.90] 說總結了16世紀以前的中國醫學被預備叫做東方醫藥去點
[01309.90-01314.34] 這個整個本草剛木52劃多少字
[01314.34-01319.42] 同一門他自己去編住的不僅是按綱和木去分編的
[01319.42-01321.62] 而且每個藥材旁邊都有配圖
[01321.62-01324.78] 全書供給1910多萬字
[01324.78-01327.22] 紀錄藥51892種
[01327.22-01328.70] 藥房
[01328.70-01330.94] 1萬1.096個藥房
[01330.94-01333.50] 藥圖1.199富土
[01333.50-01335.62] 都是他自己去編制的
[01335.62-01336.82] 而大家也知道
[01336.82-01338.26] 其實像這種我們所說的
[01338.26-01342.02] 剛墨分製的一個藥學著作
[01342.02-01344.14] 以前其實都不是個人去編制的
[01344.14-01346.54] 而是由我們所說的官方去編制的
[01346.54-01347.58] 因為我們會大家去講
[01347.58-01348.82] 比如說要塘奔草
[01348.82-01352.82] 为什么没有个人说按钢木去分药材去分方机
[01352.82-01356.50] 去分我们所说的这样的一个给他配图配说明呢
[01356.50-01358.54] 因为工程量实在是太巨大了
[01358.54-01360.66] 所以我们都说了说李实真
[01360.66-01362.50] 他其实在整个要学方面
[01362.50-01365.46] 编本出来这个东西非常非常了不起
[01365.46-01366.98] 被称率的东方要起点
[01366.98-01370.34] 他其实他的父亲也是一个中一
[01370.34-01372.10] 所以他以前年轻的时候呢
[01372.10-01374.18] 经常和他父亲一块去看病
[01374.18-01375.78] 请一看病那么多年
[01375.78-01378.02] 他就知道老百姓最需要的是什么
[01378.02-01379.80] 所以他父親就問他
[01379.80-01381.22] 說你真的要學中醫嗎
[01381.22-01382.12] 他說要學
[01382.12-01383.44] 他當時還給了父親說
[01383.44-01385.44] 望父權而至
[01385.44-01386.16] 對吧
[01386.16-01387.60] 然後就跟他父親說一定要學
[01387.60-01389.16] 後來他父親的確實之前
[01389.16-01390.32] 就跟李時真說
[01390.32-01391.60] 他說他很開心
[01391.60-01393.86] 李時真能夠走到他自己想做的
[01393.86-01394.96] 這樣的一個事情
[01394.96-01397.56] 然後就希望李時真能夠堅持下去
[01397.56-01399.60] 所以無論多難到能夠堅持下去
[01399.60-01402.06] 所以當時李時真就開始從他的
[01402.06-01404.00] 這樣一個青年開始
[01404.00-01406.64] 那四處就求一問要
[01406.64-01409.60] 然后去开始去采集要方去边圖
[01409.60-01411.76] 到他的年龄特别大的时候
[01411.76-01414.96] 他采把我们所出的这个要方的边段完成
[01414.96-01419.12] 当时这个要计和这个本草刚墨边完了之后
[01419.12-01420.96] 他那个时候年龄已经偏大了
[01420.96-01424.08] 但是大家知道还遇到了另外一个问题
[01424.08-01425.60] 另外一个问题就是什么呢
[01425.60-01428.88] 就是这个本草刚墨虽然说是边完了
[01428.88-01432.32] 但是差一点就没能和我们见面
[01432.32-01434.40] 原来就在于他的自出太多了
[01434.40-01436.40] 同意看多少次190多案子
[01436.40-01439.40] 你当时一当时的那种印刷来看的话
[01439.40-01442.40] 我们都知道唐朝的宋朝可能出现了活自一刷
[01442.40-01445.40] 那个时候在唐朝也可能是丢版印刷
[01445.40-01447.40] 190万字的体量
[01447.40-01449.40] 也发行出现不一定有人看的
[01449.40-01451.40] 出版上都是要赚钱的
[01451.40-01453.40] 所以当时本朝刚面臨的最大的问题
[01453.40-01455.40] 就是说他怎么去发行出去的事
[01455.40-01457.40] 理事这一生没有求婚任何人
[01457.40-01460.40] 所以他当时他为了这个书的这个发行
[01460.40-01463.40] 他走了各处能求的人都求贴了
[01463.40-01465.72] 也沒有人愿意拿錢去資助他
[01465.72-01467.56] 當時他內心去特別崩潰
[01467.56-01470.44] 後來他就把這個書給到了一個原外
[01470.44-01472.08] 他當時去求原外的時候
[01472.08-01474.16] 已經碰了很多壁了
[01474.16-01476.24] 就是別人都說還不行這都是太多了
[01476.24-01477.08] 不給硬
[01477.08-01478.52] 他後來去求原外的時候
[01478.52-01480.12] 他家裡的孩子們問他說
[01480.12-01481.36] 父親就一定要去做嘛
[01481.36-01482.60] 例如說要去做
[01482.60-01483.80] 說無論有多大的困難
[01483.80-01485.56] 他都要去求一求事實
[01485.56-01488.48] 後來就把這個書給到了那個原外
[01488.48-01489.36] 原外一看
[01489.36-01489.96] 我的天啊
[01489.96-01491.48] 當時真的非常的感動
[01491.48-01493.00] 然後才怎麼樣呢
[01493.00-01494.60] 拿钱资助台硬算
[01494.60-01496.00] 最后这个本朝干部
[01496.00-01499.36] 才算是能够留下来和后人见面
[01499.36-01500.60] 这是李时生他
[01501.08-01503.56] 去在进行本朝干部的编制的时候
[01503.56-01504.48] 所遇到的困难
[01504.48-01505.24] 所以你看
[01505.24-01507.56] 他无论是从这个书的体量上
[01507.56-01510.92] 还是从这个书的文字上要方上要图上
[01510.92-01512.36] 真的就像一个保脸
[01512.36-01513.32] 像一个字点样
[01513.32-01514.36] 就可以去查
[01514.36-01514.76] 对吧
[01514.76-01516.72] 所以他被称为东方一要居点
[01516.72-01519.12] 把它和张重警的区分开
[01519.12-01521.20] 张重警叫做万事保脸
[01521.20-01522.56] 这两是不一样的
[01522.56-01524.04] 你看像李时针
[01524.04-01526.12] 不知道大家有没有看过央视的节目
[01526.12-01526.76] 就是那个节目
[01526.76-01529.04] 我每一次看过这种T4很流
[01529.04-01530.76] 它除了好几击了
[01530.76-01532.28] 就是点击力的中国
[01532.28-01533.44] 其中有一期
[01533.44-01535.12] 其实讲的就是李时针
[01535.12-01537.28] 我在这里给大家解训了一个片段
[01537.28-01538.28] 就是李时针
[01538.28-01541.92] 它在确定把它去编本草高木的时候
[01541.92-01543.76] 它那个间定的感觉
[01543.76-01545.92] 我们来看一下现场环节的片段
[01545.92-01548.28] 这个点击中国相当于很多同学都看过
[01548.28-01550.88] 这是于古今对话的形式
[01550.88-01552.80] 接人的毒釋人是三面牛
[01552.80-01554.16] 然后股人
[01554.16-01556.60] 然后股金这样问话的形式来还原
[01556.60-01558.72] 他相当于一个舞台剧的这样的一个形式
[01558.72-01561.92] 但是从他的呈现上演员的表现上
[01561.92-01565.92] 我们真的就可以从这种演员的表现走到原本的
[01565.92-01568.12] 我们所顺度股人的那些事件
[01568.12-01569.96] 所以当时典型中国当中
[01569.96-01572.92] 开片的最严重的一句话
[01572.92-01575.56] 叫做唯一些人有点有测
[01575.56-01577.80] 所以我们就来看一下当时的理事人
[01577.80-01580.60] 他坚定去编草刚牧他的这个情况
[01580.88-01610.52] 不仙,那些年,我隨著年似不幸一,不怕走了百鏡,日良一好要的契判,你也見到幻德,求一問要的建立了,為一者,你一手經營,一黨,百之精,只不一之四,為一者,被報得高上,大一精成,來一家,
[01610.52-01612.52] 直身自自自
[01612.52-01615.52] 為一個不得戰前自後
[01615.52-01616.92] 自任起床
[01616.92-01618.52] 或許是不願
[01619.52-01621.52] 我們就也反死
[01621.52-01623.52] 即可皮牢
[01623.52-01626.52] 你心不就可
[01626.52-01629.52] 如此可作
[01629.52-01632.52] 常生大意
[01636.52-01637.52] 謝謝你
[01637.52-01640.08] 你从一个年代
[01640.08-01642.36] 我一富人回来
[01642.36-01646.60] 你已经是一个合格的一种
[01646.60-01648.40] 父亲
[01648.40-01650.20] 还是自任
[01650.20-01652.20] 还不是
[01652.20-01654.76] 我心中你最无处愿
[01654.76-01656.16] 为朝
[01656.16-01658.48] 你是想修
[01658.48-01660.40] 把你吵
[01660.40-01662.16] 对
[01662.16-01664.88] 这么和想
[01664.88-01669.88] 如何百家數級 集成立代本徒
[01669.88-01674.88] 你剛入分之 只剛入分本徒場
[01674.88-01679.88] 是 前所未見
[01679.88-01683.88] 總標證明為港 入不市明為目
[01683.88-01688.88] 你剛為局 隨即節 念一證物為物
[01688.88-01692.60] 要列出各種要物的行動
[01692.60-01696.20] 我以氣味 組織 還要放
[01697.20-01699.04] 都是像我也使用
[01700.04-01701.88] 說明為之
[01703.44-01706.28] 本子 搞物
[01706.28-01725.26] —
[01725.26-01725.38] —
[01725.38-01727.38] 可以吃一屆
[01727.38-01729.38] 中一把不做的
[01730.38-01732.38] 是无用的
[01732.38-01733.38] 是无用的
[01733.38-01734.38] 是无用的
[01734.38-01735.38] 是无用的
[01735.38-01738.38] 是无用的
[01738.38-01740.38] 是无用的
[01740.38-01741.38] 无法难
[01744.38-01745.38] 好
[01745.38-01746.38] 这个就是理事人
[01746.38-01747.38] 他在确定自己要去
[01747.38-01749.38] 修本草的时候
[01749.38-01752.38] 我们在这个节目当中
[01752.38-01753.38] 能够看到的
[01753.38-01755.58] 曾出來了他的這個狀態
[01755.58-01758.78] 這個就是我們所說的本草剛木
[01758.78-01760.02] 他的一個修訂
[01760.02-01761.18] 到了後來的時候
[01761.18-01763.46] 他和父親就跟對話
[01763.46-01764.58] 過了沒多久
[01764.58-01766.58] 他是父親就去世了
[01766.58-01769.78] 所以他當時在現場
[01769.78-01772.98] 在表演上大聲通酷說
[01772.98-01774.58] 父親不要留他一個人
[01774.58-01777.78] 但是他還是說他監睭的要把這個去完成
[01777.78-01779.86] 這個就是我們所說的理事
[01779.86-01781.18] 所以大家能夠看到
[01781.18-01783.86] 我们在文学当中也好会在历史当中
[01783.86-01784.98] 也好给大家讲述的
[01784.98-01786.82] 这每一个人他的背后
[01786.82-01790.26] 其实我们都能看到他对信仰的一种可望
[01790.26-01792.50] 对他小所做的事情的一种堅定
[01792.50-01794.54] 我们也能够从他们的这样的一个演义
[01794.54-01796.54] 也好我们从这样的一个文字当中
[01796.54-01799.54] 去得到去读到每一个人背后
[01799.54-01802.02] 他真的是有那种对于生命
[01802.02-01804.86] 对于我们所说的生活也好
[01804.86-01807.02] 他所信仰的东西的那种热层
[01807.02-01809.70] 这个是古人给我们在既然来看
[01809.70-01812.90] 我們從他們的註作也好 從他們的經歷當中所得到的
[01812.90-01814.50] 很大的這樣的一個基礎
[01814.50-01818.20] 所以我們看到有這樣的一系列的作品在的時候
[01818.20-01819.70] 總是會不經了
[01819.70-01823.40] 跟著這些有事具作品也好節目也好
[01823.40-01825.24] 它所呈現的這種人物的情感
[01825.24-01827.50] 產生某種程度上都共鳴
[01827.50-01830.10] 好 那這個就是我們所說的這個歷史真
[01830.10-01832.00] 所以在歷史真的本草剛目案
[01832.00-01834.40] 一經觸版之後呢 就是當時
[01834.40-01836.70] 就有人給它就本草剛目寫的這個序
[01836.70-01838.30] 當時這個本草剛目寫序的人
[01838.30-01841.28] 就是我刚才给大家说的那个帮他出书的一个原谅
[01841.28-01843.12] 你看看在这里面他怎么说的
[01844.30-01847.70] 他说叫做上次粉碟下集传奇
[01847.70-01849.76] 发有香观迷不备彩
[01849.76-01851.98] 这是他这个本草刚刚不当中所涉一道东西
[01851.98-01853.02] 只要是我记录的
[01853.02-01856.86] 他都去合使然后都那不到他的这样的那个书当中了
[01856.86-01859.28] 不是不凡想而有要
[01859.28-01862.00] 终合纠竞直规原汉
[01862.00-01864.88] 这是他对于我们所说的这个本草刚才的一个平线
[01864.88-01865.94] 也只能看到
[01865.94-01869.94] 李十人他其实是把他一生当中的很大一份时间
[01869.94-01872.44] 都共享给了本草干部的这样的一个编写
[01872.44-01873.44] 大家有兴趣的话
[01873.44-01875.94] 其实也可以去电子书上去看一看
[01875.94-01877.94] 因为大家现在没有讨指出的习惯了
[01877.94-01879.44] 你去看一看本草干部
[01879.44-01880.44] 真的是很想被
[01880.44-01883.94] 他就会在这个地方会给你画上给配个图
[01883.94-01886.94] 然后现在修定的这个比如说
[01886.94-01888.94] 中音要学生他们去学的那个
[01888.94-01889.94] 我猜那个
[01889.94-01891.94] 学的本草干部的配图
[01891.94-01892.94] 应该就不是原来手会的
[01892.94-01895.44] 就现在它会有对应的相当具体的照片
[01895.44-01897.44] 你看他会给你一个图
[01897.44-01898.94] 告诉你他叫什么名字
[01898.94-01900.94] 这个要他属于什么样的
[01900.94-01902.94] 他是姓寒
[01902.94-01904.44] 姓文那还是姓平
[01904.44-01904.84] 对吧
[01904.84-01906.44] 就会在这里给你写上
[01906.44-01908.94] 然后他的主席都会针对什么正妆
[01908.94-01910.44] 这在本草刚刚刚都有
[01910.44-01911.94] 这个就是我们所说的
[01911.94-01914.44] 有关于本草刚牧的内容
[01914.44-01916.94] 到这就把整个全部的
[01916.94-01918.94] 助名一选一要求
[01918.94-01920.94] 加给大家都讲完了
[01920.94-01921.94] 我们讲了六个人物
[01921.94-01923.44] 这六个人物投门一票记得
[01923.44-01928.34] 他的十七他的成就他的别称他的典故
[01928.34-01930.48] 这些都对应啊那他一定要注意一下
[01930.48-01932.44] 这些人物实很容易混小考察的
[01933.24-01935.74] 那这是第一个部分啊我们讲完了人物
[01935.74-01940.14] 那么讲完了人物之后我们来看一下第二部分就叫做一学住座
[01940.14-01945.44] 那一学住座当中给大家讲一些讲一讲我们所说的第一个部分就说
[01946.24-01950.64] 传统的一学四大经典啊这传统的一学四大经典首先第一个
[01950.64-01952.92] 代表把这个去记住他是哪四大
[01952.92-01955.52] 这四大一学经典的分别是黄定内筋
[01955.52-01958.08] 那筋神弄本草筋已经上海雜冰论
[01958.08-01960.48] 这里面我已经把耐金给大家说过了
[01960.48-01962.32] 不知道大家还记不记得谁写的
[01962.32-01963.08] 变确
[01963.08-01964.92] 商杂冰论咱们也讲过了
[01964.92-01966.76] 就是刚才所说的万事保典
[01966.76-01968.16] 张重警所变住的
[01968.16-01971.40] 那这里面还有两个需要给大家去详细的说一说
[01971.40-01973.40] 第一个呢就叫做黄定内筋
[01973.40-01975.72] 那第二个呢就叫做神弄本草筋
[01975.72-01978.44] 我们首先先来看一下第一个黄定内筋
[01978.44-01979.64] 黄定内筋
[01979.64-01981.64] 大家知道他具体是
[01982.04-01985.14] 是不是我们所说的黄地和奇怪编写的
[01985.54-01986.24] 不知道
[01986.24-01988.74] 不知道他是黄地和奇怪编写的不
[01989.04-01990.14] 不一定是他脸
[01990.34-01991.84] 而且他的这个成数
[01991.84-01992.74] 大家注意一下
[01992.74-01994.54] 黄地内已经他的这个成数
[01994.54-01997.54] 因为虽然黄地内已经他继续的是黄地和奇怪之间的
[01997.54-01998.54] 这无问答
[01998.54-01999.84] 但是具体在考试的时候
[01999.84-02001.34] 不会考察这个争议的点
[02001.34-02001.84] 明白吧
[02001.84-02003.44] 他如果说黄地内已经涉及到
[02003.44-02004.44] 哪两个人
[02004.44-02006.14] 那知道是黄地和奇怪
[02006.14-02007.34] 是不是他来写的
[02007.34-02008.74] 因为他的成数是在
[02008.74-02010.02] 在戰國什麼問題的
[02010.02-02012.26] 到底是不是他家寫的這個點
[02012.26-02013.66] 他是一個存疑爭一點
[02013.66-02015.26] 就是在考試當中存疑爭一點
[02015.26-02016.38] 不說在學術
[02016.38-02018.02] 大家的中醫要學術領優說
[02018.02-02018.98] 在考試當中
[02018.98-02020.70] 所以這個爭議存疑一點
[02020.70-02021.42] 他不會去考
[02021.42-02022.82] 你只需要記得第一個
[02022.82-02024.62] 皇帝內已經涉及到的人物
[02024.62-02025.90] 這是我們剛才所說的
[02025.90-02028.46] 以後是皇帝又是其國他們的問題的形式
[02028.46-02030.10] 第二個就是在這裡面
[02030.10-02032.10] 因為我們前面講了一個其皇之術
[02032.10-02033.14] 就是來自於這
[02033.14-02034.34] 第二個就是在這
[02034.34-02037.02] 要知道皇帝內接他的形成
[02037.02-02038.30] 在這裏標準一下
[02038.30-02041.88] 它是帳国时去问是西汉时期编定的
[02041.88-02043.30] 把它标注在旁边
[02044.30-02047.06] 就是帳国问是西汉编定
[02047.06-02049.18] 这个是我们所说的这样一个
[02049.18-02050.26] 它的问是时期
[02050.26-02052.74] 同样可以在这标注一下圈一
[02052.74-02053.66] 这是第一个点
[02053.66-02054.62] 大家要明确
[02054.62-02056.26] 第二个点就是大家要知道
[02056.26-02059.62] 黄定内经的它分成两个部分
[02059.82-02062.74] 这两个部分分别去描述的内容
[02062.74-02063.90] 其实是不一样的
[02063.90-02065.22] 所以把它分为两个部分
[02065.22-02066.38] 给它标注出来
[02066.38-02067.06] 只是在这
[02067.06-02069.06] 只是第二个 这是他的内容
[02069.06-02072.32] 第三一个就是在这里他的地位 祝一下
[02072.32-02076.80] 他的地位是中国最早的一学点击
[02076.80-02078.52] 中国最早的一学点击
[02078.52-02081.16] 所以大家标注一下 这是三个系列的点
[02081.16-02083.06] 而这里面的 大家注意一下
[02083.06-02085.22] 这里面他所给到的第一个部分
[02085.22-02087.22] 比如说像我们所说的这个
[02087.22-02089.10] 数问 它是81片
[02089.10-02091.38] 然后这个零书它也是81片
[02091.38-02092.92] 81片
[02092.92-02095.68] 数问的话 大距像数是什么呢
[02095.68-02097.40] 素代表的是本质
[02097.40-02099.08] 所以在素问当中
[02099.08-02101.12] 就是去探纠我们所说的
[02101.12-02105.28] 古人从中一角度对生命对天对地
[02105.28-02107.68] 他们之间关系的一个理解的本质
[02107.68-02111.20] 所以素问去研究的是对生命天地的这样一个本质
[02111.20-02114.44] 而我们所说零书在这里面才强调的是人的气
[02114.44-02116.64] 和人的神龙溝通的节点
[02116.64-02119.68] 书是什么关键是开盒的门
[02119.68-02120.76] 对吧门移动
[02120.76-02122.60] 这个时候很多的东西消动了
[02122.60-02124.40] 所以在这里面更多讲的是什么
[02124.40-02126.04] 是血味之间的关系
[02126.04-02127.80] 所以你看像黄丁内经
[02127.80-02129.76] 他即将生命的本质
[02129.76-02130.60] 收的本质
[02130.60-02132.28] 他也讲我们所说的什么
[02132.28-02134.44] 人的气和神联勾通的节点
[02134.44-02135.60] 就是我刚才所说的
[02135.60-02136.92] 就是讲血味
[02136.92-02137.60] 讲血道
[02137.60-02138.48] 讲这些
[02138.48-02139.52] 所以在这里面
[02139.52-02140.00] 我们说了
[02140.00-02142.60] 他们两个分别都是81片
[02142.60-02143.60] 他没都是81片
[02143.60-02144.56] 所以你要知道
[02145.20-02146.48] 他们两个讲的
[02146.48-02148.64] 本质的内容是不一样的
[02148.64-02149.48] 我们来看一下
[02149.48-02150.68] 咱们举个简单例子
[02150.68-02152.72] 说来看一下黄丁内经
[02152.72-02155.80] 他到底是怎么去讲人的生命的本质的
[02156.04-02159.36] 在这里给大家去展示了一段黄金的一经箱的绝写
[02159.36-02161.16] 这是黄地问天十月
[02161.68-02163.72] 说 月问上午之人
[02163.72-02165.52] 春秋街度摆碎
[02165.52-02166.80] 而动作不甩
[02166.80-02169.88] 即使之人年半摆而动作街碎
[02170.12-02171.68] 说实事意也
[02171.68-02173.96] 人将失职也啥意思
[02173.96-02177.04] 你看这个问题其实像我们现在也在面臨这个问题
[02177.04-02178.20] 对吧 他就问其博
[02178.20-02180.36] 他说我听说以前的人
[02180.36-02182.48] 就往往都能活到100多岁的时候
[02182.48-02183.96] 他的动作都很灵火
[02183.96-02185.72] 都是感觉不到122的样子
[02185.72-02185.96] 对吧
[02185.96-02188.28] 叫做春秋街度百岁
[02188.28-02189.28] 而动作不帅
[02189.28-02191.24] 今时之人说现在的人呢
[02191.24-02192.24] 说年半百
[02192.24-02193.72] 你才素食碎
[02193.72-02194.16] 对吧
[02194.16-02196.84] 还没到说无所说的上百岁
[02196.84-02197.84] 动作街水
[02197.84-02199.20] 你的动作就已经不行了
[02199.20-02201.04] 说实施意言人家
[02201.04-02202.24] 实施言说咋的了
[02202.24-02202.80] 是到边了
[02202.80-02203.72] 人要灭了
[02203.72-02204.48] 所以他在这里面
[02204.48-02205.44] 除了这样一个问题
[02205.44-02207.76] 你看像现在放在我们世上
[02207.76-02208.96] 是不是也是一样的
[02208.96-02210.32] 现在我们的
[02210.32-02211.08] 当代年轻人
[02211.08-02211.92] 你就以我为立吧
[02211.92-02216.40] 如果说常时间你看我现在有一个多月的时间没有去运动了
[02216.40-02222.16] 那你看我在不运动的时候我再回过头来去运动我现在提供水上下个楼外对吧
[02222.16-02225.52] 我都会累得去闯兴的那为什么会出现这种情况呢
[02225.52-02227.52] 那你看七博对于七博说什么
[02227.52-02230.12] 七博说上股质人
[02230.12-02233.84] 而其之道者叫法云阳和一束书
[02233.84-02237.12] 眼石有结七月有场不忘做楼
[02237.12-02239.32] 共能行与神去
[02239.32-02242.52] 然后进中几天年都摆岁奶去
[02242.92-02244.16] 就是他所说的
[02244.16-02244.92] 说啥意思
[02244.92-02246.12] 说以前的人啊
[02246.12-02247.12] 他们知道什么呢
[02247.12-02249.72] 他们叫法云阳和于数数
[02249.72-02251.92] 意思就是他们会想自然去学习
[02251.92-02253.52] 比较符合自然运行的规律
[02253.52-02254.92] 印实有节
[02254.92-02257.12] 吃东西也比较有数
[02257.12-02259.92] 不忘做老
[02259.92-02262.12] 故行与神去
[02262.12-02263.72] 比如说他所说的人
[02263.72-02264.92] 就是结枝有杜
[02264.92-02265.92] 上文的一些人
[02265.92-02267.92] 还是懂得养生知道的
[02267.92-02269.56] 那他就能够达到
[02269.56-02271.40] 调和养生的标准
[02271.40-02271.72] 对吧
[02271.72-02272.72] 也是有节制
[02272.72-02273.88] 做西有规律
[02273.88-02275.88] 不过都操劳事情
[02275.88-02276.36] 对不对
[02276.36-02277.00] 这个时候
[02277.00-02278.72] 你必然就是要申请
[02278.72-02279.44] 据职合
[02279.44-02280.96] 活到天赴的
[02280.96-02282.64] 在年流超过百岁才离开人士
[02282.64-02283.60] 这也很正常
[02283.60-02285.16] 所以他说现在的人怎么样
[02285.16-02286.08] 后面他就说了
[02286.08-02287.16] 现在的人
[02287.16-02288.12] 其实他后面还有一段
[02288.12-02289.16] 说现在的人
[02289.16-02290.44] 请居不规律
[02290.44-02291.00] 对不对
[02291.00-02292.20] 然后起居做西
[02292.20-02292.92] 毫无规律
[02292.92-02294.24] 没逆人生乐趣
[02294.24-02295.12] 然后这个时候
[02295.12-02297.36] 不到半百人就摔了
[02297.36-02299.44] 这也其实是我们所说的现在的人
[02300.32-02301.48] 所去面里的问题
[02301.72-02302.68] 所以黄地内经的
[02302.68-02304.88] 还一方面是讲治病的问题
[02305.08-02306.76] 我们所说的讲学位的这些事
[02306.76-02309.68] 另外一方面他也去探取事务的本质
[02309.96-02312.52] 这是我们所提到的关于黄地内经
[02312.52-02314.52] 这个点达注意下三个细节
[02314.84-02316.60] 那四大经典预血注作当中
[02316.60-02318.16] 除了黄地内经之外
[02318.16-02319.12] 我们还要看一看
[02319.12-02321.80] 还有一根就叫做神农本草精
[02322.08-02322.96] 神农本草精
[02322.96-02323.88] 大家注意下
[02323.88-02328.38] 有人说神弄本草金吗?神弄所住不是的啊?大住呀?
[02328.38-02332.12] 神弄本草金他是拖名神弄所住
[02332.12-02335.38] 所以在神弄本草金旁边先标注一下缺一啊?
[02335.38-02337.38] 就神弄本草金又成
[02339.38-02341.28] 又成本草金
[02343.08-02346.78] 又成本草金或者是本金
[02347.88-02351.38] 他不是神弄所住?他是拖名神弄所住?
[02351.38-02353.38] 是不是神弄写的不是?
[02353.38-02354.78] 他只是脫個名而已
[02354.78-02357.50] 所以是脫名神弄所做
[02357.50-02358.22] 大家注意一下
[02358.22-02359.94] 這是我們所說的神弄文章經
[02359.94-02361.90] 那為什麼要脫名神弄呢
[02361.90-02363.50] 為什麼和藥有關的東西
[02363.50-02364.86] 又叫做本草呢
[02364.86-02366.46] 其實大家要知道
[02366.46-02367.74] 脫名神弄呢
[02367.74-02369.30] 其實是原資於一個神話
[02369.30-02370.10] 這個神話呢
[02370.10-02372.34] 就是我們提到的神弄常白草
[02372.34-02374.90] 叫我估者迷如草銀水
[02374.90-02376.22] 採數目支持
[02376.22-02376.58] 對吧
[02376.58-02377.58] 就是說以前的人
[02377.58-02378.46] 他就吃草
[02378.46-02379.94] 然後吃果食
[02379.94-02382.06] 然後吃一些我們所說的生肉
[02382.06-02386.42] 说十多疾病毒,这十多疾病毒上之害
[02386.42-02390.22] 有时候时间一场的时候,人身体当中总会给累積一些毒素
[02390.22-02391.46] 然后就会生病
[02391.46-02394.66] 于是神冬就开始教老百姓怎么去中无股
[02394.66-02396.14] 然后怎么去分土地
[02396.14-02398.70] 然后怎么能够把这些东西中的好一点
[02398.70-02402.02] 但是你要教老百姓中东西的话,你不能啥都给他中啊
[02402.02-02403.14] 有一些东西可以有毒啊
[02403.14-02405.30] 所以他就干嘛,他就干嘛,他就干嘛
[02405.30-02406.92] 說長白炒之滋味
[02406.92-02408.30] 水全之干苦
[02408.30-02409.14] 然後就告訴老百姓
[02409.14-02410.02] 哪些能吃哪些
[02410.02-02411.18] 不能吃哪些能皺
[02411.18-02412.02] 哪些不能皺
[02412.02-02413.22] 哪些水能用
[02413.22-02413.94] 那這樣的話
[02413.94-02415.30] 他通過清晰去嘗試之後
[02415.30-02416.42] 老百姓就知道
[02416.42-02418.18] 這些能用那些不能用了
[02418.18-02419.18] 說
[02419.18-02419.90] 所以他有了
[02419.90-02421.94] 神弄長白炒這樣的一個事
[02421.94-02422.90] 說神弄長白炒
