[00000.00-00004.90] 好的 那我們在前面的務權變動的基本原理當中給大家講了
[00004.90-00008.40] 務權到底包括哪些我們有了解了務權的客體物
[01214.90-01216.14] 小弊现在所有物权
[01216.14-01217.96] 以为这在这过程中
[01217.96-01220.70] 小弊的物权效力是优勝于我的战权
[01220.70-01221.90] 所以在这里面
[01221.90-01224.60] 我能不能说让小弊把房子给我
[01224.60-01225.16] 说
[01225.24-01226.42] 我和他星期前呢
[01226.42-01227.68] 合同你怎么把房子拿走了
[01227.68-01228.96] 这么不要练
[01228.96-01230.44] 我能这么个人家说
[01230.44-01230.92] 不行
[01230.92-01232.88] 因为人家已经完成了什么
[01232.88-01233.96] 过互登记了
[01233.96-01235.98] 所以这个时候房子归小弊了
[01235.98-01237.72] 我能成人小弊要房子
[01237.72-01238.24] 不行
[01238.24-01242.32] 要不了了,所以你对这个房子没有办法让他反还给你
[01242.32-01244.64] 那你能不能吵小一样房子也不行啊
[01244.64-01246.56] 因为房子现在是规矩所有了
[01246.56-01248.48] 房子现在是规小闭所有了
[01248.48-01249.92] 人家小闭是受权人
[01249.92-01251.52] 你烧小一样房子
[01251.52-01252.72] 小一能把房子给你吗
[01252.72-01254.80] 不行,购成了旅行不能啊
[01254.80-01256.16] 所以在这里面怎么办?
[01256.96-01258.80] 你说老师那咋着,咋着
[01258.80-01261.04] 我们之间虽然没有无权效力
[01261.04-01263.12] 但是我们两个是签订了没办法合同
[01263.12-01266.32] 合同里面规定你给我半国普通记把房子给我
[01266.32-01268.08] 结婚转实把房子卖别人了
[01268.08-01271.28] 那就说明小业怎么样 小业维冤了吗
[01271.28-01275.88] 选维冤了的话 那这个时候就追究它的维冤责任就可以了
[01275.88-01279.80] 所以在这里面你看我们所强调的物账两分物账两分
[01279.80-01282.88] 同一位调注意下 物账是战
[01282.88-01286.68] 如果在这个过程当中 你看不及的
[01286.68-01288.48] 我及到我们嘴大片上了 对吧
[01288.48-01291.68] 如果在千数河通这个过程当中只牵手了河通
[01291.68-01295.08] 只有目前效力 河通只成立生效
[01295.08-01296.88] 没有办理过不登记不动产
[01296.88-01299.48] 那这有时候不动产不发生目前变动的效力
[01299.48-01300.88] 所以你看他后面说了
[01300.88-01303.48] 叫未办理过互动机的不影响合同效力
[01303.48-01305.08] 因为合同是有效的呀
[01305.08-01307.28] 不未办理当机只影响什么
[01307.28-01309.08] 目前效力明白这个意思了吧
[01309.08-01312.76] 所以你一定要去分做米法男就男在
[01312.76-01315.28] 这是他容易给你把这些东西搞混小了
[01315.28-01318.88] 你搞混小了之后你这个脑子当中就是感觉惯满了对吧
[01318.88-01321.28] 我感觉这个点位见过那个点位见过
[01321.28-01322.48] 我就平敢就去了
[01322.48-01324.88] 在这里面一定要按照这个规则来
[01324.88-01327.36] 他这个地方所谓的取得他不难
[01327.36-01328.72] 偷面已经记得不难
[01328.72-01330.16] 你只要去分了说
[01330.16-01332.24] 不动产要登记
[01332.24-01333.64] 动产要交付
[01333.64-01334.56] 就OK了
[01334.56-01336.48] 合同那是债权
[01336.48-01337.92] 那合同那是债权
[01337.92-01339.20] 所以在这里这是第一个
[01339.20-01340.12] 非常揪的点
[01340.12-01341.00] 我们注意一下
[01341.00-01341.92] 这说我们所说的
[01341.92-01342.96] 去分原则
[01342.96-01344.20] 这个去分原则
[01344.20-01345.16] 就是在这
[01345.68-01346.96] 要有一同们说的
[01347.56-01349.24] 即明是法律行为的
[01349.24-01350.20] 我们所说的
[01350.56-01353.16] 即于明是法律行为所发生的武权变动
[01353.16-01354.44] 叫公式生效
[01354.44-01359.66] 也就是只有通过登记或者是纠富才能标志者
[01359.66-01361.16] 你获得了相的误权
[01361.16-01363.40] 要么是所有权要么是什么
[01363.40-01364.92] 要么是我们所说的
[01364.92-01368.00] 质权要么是地压权等等这些的
[01368.00-01371.08] 所以在这里面叫做公式生效主义
[01371.08-01371.68] 明白了吧
[01371.68-01373.40] 所以公式生效在这里面
[01373.40-01377.60] 不动产登记没有登记只发生合同效率
[01377.60-01379.16] 不发生误权别动效率
[01379.16-01380.64] 所以在这里面大家注意下
[01380.64-01381.96] 这个点非常重要
[01381.96-01383.44] 一定要给它理解清楚
[01383.44-01384.84] 这要不动产登记
[01384.84-01386.44] 不动产为什么登记呢
[01386.44-01387.54] 因为在这种情况
[01387.54-01388.54] 这不动产的太大
[01388.54-01389.84] 看没有办法移动嘛
[01389.84-01391.84] 所以在这里没有说不动产登记
[01391.84-01394.04] 那动产就不移登记了
[01394.04-01396.04] 动产的公式方法啊
[01396.84-01398.24] 何不动产不一样
[01398.24-01400.14] 动产的公式方法叫做什么呢
[01400.14-01401.64] 叫做交付
[01401.64-01404.34] 如果说你怎么样能够像天下人宣告
[01404.34-01405.84] 说这个房子是你的
[01405.84-01408.64] 那这个时候叫在不动产权登记部上
[01408.64-01410.64] 去做了文章写山的名字
[01410.64-01412.44] 这个时候什么时候登记
[01412.44-01414.96] 什么时候你获得了房屋的搜换
[01414.96-01416.56] 获得了不动产的搜换
[01416.56-01417.80] 但是动产呢
[01417.80-01419.76] 就相对来说比较方便了
[01419.76-01420.44] 动产呢
[01420.44-01421.80] 他是要依什么的
[01421.80-01422.68] 动产在这里
[01422.68-01423.92] 从来在旁边看一下
[01423.92-01425.28] 我在这里给他标注了
[01425.28-01426.52] 动产获得搜换
[01426.52-01428.40] 他是依依纠富的
[01428.40-01429.76] 那接下来我们就来看一下
[01429.76-01430.52] 这个动产
[01430.52-01432.36] 他的这个交付是怎么回事
[01432.36-01433.44] 比如说这场情况之下
[01433.44-01435.44] 我现在买卖的不是思考院了
[01435.44-01436.72] 我现在买卖的是什么呢
[01436.72-01438.68] 我现在买卖的是手表
[01439.88-01440.84] 小天才
[01440.84-01442.24] 而同收表
[01442.24-01444.34] 我现在这个小天才是同收表
[01444.34-01445.64] 我现在是花了600块钱
[01445.64-01446.24] 买的
[01446.24-01448.04] 这个里面你看
[01448.04-01450.74] 我花600块钱买小天才收表
[01450.74-01452.34] 这个时候我朝鲜买的
[01452.34-01453.74] 我还是朝小爷买的
[01453.74-01458.74] 我朝小A买了一个小天才
[01458.74-01460.74] 而同收表600块钱
[01460.74-01461.04] 对吧
[01461.04-01462.94] 这个时候我朝他买收表
[01462.94-01464.14] 同们分析第一步
[01464.14-01465.74] 我们两个之间有一个什么合同
[01465.74-01467.84] 有一个买卖合同
[01467.84-01470.14] 买的合同上面标第五
[01470.14-01473.98] 小天才是同手表当事人我和小爷标价6000块钱
[01473.98-01476.50] 有了河通的所有的装内容
[01476.50-01479.34] 那这个时候河头成立
[01479.34-01481.66] 并生效对不对
[01481.66-01483.18] 河头成立并生效
[01483.18-01484.78] 有没有发生目前效率
[01484.78-01486.70] 没有河通是河通
[01486.70-01488.58] 咱们刚才讲了物质两分
[01488.58-01490.86] 所以河通成立只发生了什么
[01490.86-01492.14] 战略效率
[01492.14-01494.42] 我朝他买小天才是同手表
[01494.42-01497.78] 什么时候这个小天才是同手表归我所有
[01497.78-01501.74] 也就是什么时候发生误权变动的效率
[01501.74-01504.18] 这时候小发生误权效率
[01504.18-01505.46] 关于核透不醒
[01505.46-01508.02] 核透只是发生误权变动的第一步
[01508.02-01509.06] 第二不要干嘛
[01509.06-01512.58] 第二步在这里面他把收标交付给我
[01512.58-01513.46] 我把钱给他
[01513.46-01516.54] 月定三天后他向我交付而同收标
[01516.54-01519.38] 这个时候核透月定三天后
[01519.38-01520.58] 向我交付收标
[01520.58-01523.38] 三天后我才能取得小天才而同收标的收标的
[01523.38-01524.14] 收标
[01524.14-01526.98] 所以在这里面小发生误权变动的效率
[01526.98-01528.52] 要一耶 九富
[01528.52-01530.66] 因为动产很方便
[01530.66-01531.78] 交道的筹率就可以了
[01531.78-01532.90] 转一站就行了
[01532.90-01533.14] 对吧
[01533.14-01534.14] 所以在这里
[01534.14-01535.74] 要做物权要一耶
[01535.74-01536.50] 九富
[01536.50-01539.14] 所以我们会发现动产和不动产
[01539.14-01540.54] 它去得
[01540.54-01541.38] 我们所说的
[01541.38-01542.58] 物权变动的
[01542.58-01544.22] 公式要加一遍
[01544.22-01545.06] 不一样
[01545.06-01546.98] 因为在这里面我们说了
[01546.98-01548.18] 不动产
[01548.18-01549.58] 登记 动产
[01549.58-01550.58] 九富
[01550.58-01551.94] 反而付付的重复
[01551.94-01552.78] 默计死里们
[01552.78-01553.98] 你们什么时候听吐了
[01553.98-01554.82] 什么时候
[01554.82-01555.98] 听到后面就觉得
[01555.98-01557.98] 说了是这个地方我实在不想再听了
[01557.98-01560.46] 我现在在脑海当中已经形成思想刚艺了
[01560.46-01562.38] 这不动产登记动产交付
[01562.38-01565.74] 物质两分拿捡住听到这种程度
[01565.74-01567.26] 你就有说做题
[01567.26-01569.50] 一边做题边话就没有什么问题了
[01569.50-01572.38] 好 这个就是我们所说的动产交付
[01572.38-01573.74] 但是问题 出在哪呢
[01573.74-01575.70] 问题出在交付制度上
[01576.86-01577.98] 交付制度上
[01577.98-01580.62] 我们传统一上认为的交付是什么呢
[01580.62-01583.58] 传统一上认为的交付就是直接把东西给你
[01583.58-01585.94] 我们把这种交付呈对的交付
[01585.94-01590.34] 直接教父,直接教父也受我們所說的叫做現實教父
[01591.94-01597.94] 現實教父,就是直接把東西給你,直接給你東西
[01601.94-01606.94] 直接給你東西,那這種就叫做現實教父,就比如說剛才這個小天才是同學表
[01606.94-01608.54] 三天后你把表给我
[01608.54-01610.50] 你说OK No Problem
[01610.50-01611.54] 所以在这个里面
[01611.54-01613.38] 三天之后你把小天才会通设面
[01613.38-01614.50] 拿过来给我
[01614.50-01616.22] 交到我手里的那一刻
[01616.22-01618.86] 我取得了小天才会通设表的
[01618.86-01619.90] 所有权
[01619.90-01620.74] 明白了吧
[01620.74-01622.38] 所以在这里面我们会发现
[01622.38-01623.38] 这个就叫做什么
[01623.38-01624.18] 直接教父
[01624.18-01626.14] 你把东西直接给我
[01626.14-01627.46] 这个就要直接教父
[01627.46-01629.30] 他也叫做现实教父
[01629.30-01630.74] 但是问题是
[01630.74-01632.82] 有一些其他的教父方式
[01632.82-01633.62] 他没有说
[01633.62-01635.30] 像刚才小天才会通设表当中
[01635.30-01637.34] 你把东西三天之后拿给我
[01637.34-01638.12] 没有这种
[01638.12-01640.42] 我们就在这个现实教育制外
[01640.42-01642.22] 又出现了另一种教育形式
[01642.22-01644.02] 就叫做观念教育
[01644.02-01645.54] 观念上的教育夫
[01645.54-01647.32] 他有三种形式
[01647.32-01649.58] 一种叫做剪医教育
[01649.58-01650.92] 剪医教育是什么呢
[01650.92-01651.94] 在旁边写上
[01651.94-01654.50] 他就类似于是先租后卖了
[01654.50-01657.32] 先租后卖的这种形式
[01657.32-01658.60] 这个时候呢
[01658.60-01660.66] 我们所说的叫做剪医教育教育
[01660.66-01665.00] 剪医教育的物权变动是河头生效时
[01665.00-01665.72] 武权变动
[01668.72-01669.60] 合同
[01670.76-01671.92] 生效时
[01673.32-01674.12] 武权变动
[01674.32-01675.24] 这是剪一角复
[01675.48-01676.48] 举个简单的例子
[01676.60-01678.48] 比如说还是小天才是同手表
[01679.04-01682.16] 现在小A有一个小天才是同手表
[01682.40-01683.72] 这个小天才是同手表呢
[01683.72-01684.72] 我从小呢
[01686.52-01687.80] 在这个时候只不
[01687.80-01688.36] 不好意思啊
[01688.36-01689.20] 给他退出来了
[01689.56-01691.24] 他有一个小天才是同手表
[01691.24-01692.04] 这个同手表呢
[01692.04-01693.80] 我从小到大反正没有用过
[01693.80-01694.96] 咱也不要好奇
[01694.96-01696.20] 然后为许家
[01696.20-01697.96] 我说你这个小天才是中收表多少钱
[01697.96-01698.96] 然后太跟我说
[01698.96-01701.00] 说啊这个小天才是中收表呢
[01701.00-01701.92] 他600块钱
[01701.92-01703.60] 我说啊600块钱有点太贵了
[01703.60-01705.72] 你要不别把这个小天才是中收表呢
[01705.72-01706.48] 先没给别人
[01706.48-01707.12] 你先
[01707.80-01708.80] 借我用两天
[01708.80-01710.00] 然后当时这个小人说
[01710.00-01710.72] 没有问题
[01710.72-01711.64] 能进用呗
[01711.64-01712.48] 所以这里面
[01712.48-01713.32] 大家注意一下
[01713.32-01714.76] 我小A
[01714.76-01716.44] 有个小天才
[01716.44-01717.20] 然后呢
[01717.20-01719.20] 我就从小A的手里
[01720.64-01722.40] 我就从小A的手里干嘛呢
[01722.40-01724.60] 去租了这个儿童手表
[01726.40-01728.08] 租手表啊租手表
[01728.08-01729.76] 租了这个手表干嘛呢
[01729.76-01731.36] 做这个手表体验一下吗
[01731.36-01733.64] 如果好的话我就觉得我们两个关系这么好
[01733.64-01735.04] 先把东西卖给我就行了
[01735.04-01736.52] 所以我租手表体验
[01736.52-01737.76] 我给他一天多少钱呢
[01737.76-01739.04] 20块钱
[01739.04-01741.88] 每天我来体验一下这个小天的这种手表
[01741.88-01744.32] 结果体验来体验去我发现这个手表
[01744.32-01745.28] 感觉还不错
[01745.28-01745.76] 然后呢
[01745.76-01748.44] 我再去体验这个手表的第五天的时候
[01748.44-01749.40] 我就跟小一说
[01749.40-01750.08] 我说这样
[01750.08-01752.12] 你把这个手表卖给我吧
[01752.12-01755.60] 那你看这里面是不是先租后买的重形式
[01755.60-01757.38] 但是问题就是产生在这
[01757.38-01761.98] 我们说了那原本意识我们所说的这个动产的所有权案
[01761.98-01765.70] 获得动产所有权的是第一个先由买来合同
[01765.70-01767.74] 我说你把收个面给我把大千合同
[01767.74-01768.96] 那这个是没有问题的
[01768.96-01772.54] 我们说了动产所有权取得的第二步就是要干嘛
[01772.54-01774.24] 要纠富
[01774.24-01776.18] 但是这里面就会出现一个问题
[01776.18-01778.18] 就是这个手表现在在谁手脸
[01778.18-01780.28] 手表现在是不是在我的手脸
[01780.28-01782.88] 那如果说我现在跟小一说
[01782.88-01783.80] 你说你看张啊
[01783.80-01784.80] 咱俩签合同
[01784.80-01786.52] 咱就按照一般的这种
[01786.52-01788.36] 目前变动的这种模式来
[01788.56-01790.28] 手表我先还给你
[01790.28-01791.64] 咱俩签合同之后
[01791.64-01793.20] 你把手表再交付给我
[01793.20-01796.04] 你这个时候是个显得有一点多语语
[01796.04-01796.36] 对吧
[01796.36-01797.80] 手表本来就在你手里
[01797.80-01799.40] 你在还人在人家给你
[01799.40-01800.72] 说显得点多语
[01800.72-01802.68] 于是现在我们就出现了一种
[01802.68-01804.16] 交付形式就是什么
[01804.16-01805.04] 建议角富
[01805.04-01808.24] 建议角富就是很点形的先租后买
[01808.24-01808.76] 对吧
[01808.76-01810.68] 我先把手錶租到手
[01810.68-01812.76] 这时候我宣布了一段时间
[01812.76-01814.32] 我觉得OK特别好
[01814.32-01815.44] 然后我就跟你商量
[01815.44-01816.80] 我要买你这个手錶
[01816.80-01818.80] 这种情况之下我们会发现
[01819.80-01821.08] 买它的手錶
[01821.44-01822.72] 合同买卖格通
[01822.72-01824.84] 签订是发生了误权效力
[01824.84-01825.56] 但是买卖格通
[01825.56-01826.44] 自签订的时候
[01826.44-01827.92] 手錶已经在我手里了
[01827.92-01828.72] 是不是这个时候
[01828.72-01829.92] 买卖格通签订的时候
[01829.92-01831.56] 同时又发生了什么效力
[01831.56-01833.48] 同时又发生了战选效力
[01833.48-01835.20] 这种就是为了交易方便
[01835.20-01836.40] 所以就有了我们所说的
[01836.40-01839.30] 就剪一角复叫做先作後面
[01839.30-01840.84] 這是第一種叫剪一角复
[01840.84-01843.30] 第二種叫做指示角复
[01843.30-01844.68] 指示角复是什麼呢?
[01844.68-01847.16] 指示角复是共賣錢
[01848.54-01849.98] 是共賣錢
[01851.24-01852.24] 東西
[01853.80-01856.48] 在第三人手裡
[01859.76-01860.98] 共賣錢
[01860.98-01863.20] 東西在第三人手裡
[01863.20-01865.14] 然後我們說說了
[01865.14-01866.68] 既然东西在第三首裂
[01866.68-01868.72] 我们再去买卖的时候怎么办呢
[01868.72-01871.02] 就让第三人怎么样
[01871.02-01872.56] 把东西给握就行了
[01872.56-01875.02] 这个时候就是我们所说的叫做
[01875.02-01876.66] 指示交付
[01876.66-01877.56] 指示交付
[01877.56-01880.50] 也就是让第三人把东西给握就OK了
[01880.50-01882.66] 这就是指示交付
[01882.66-01885.22] 一样的买卖合同生效的时候只发生
[01885.22-01886.00] 这些小裂
[01886.00-01888.56] 但是同时通知以的时候发生了
[01888.56-01889.46] 卖不效利
[01889.46-01891.64] 这个就叫做指示交付
[01891.64-01893.80] 第三种形式的叫做战友改定
[01893.80-01895.20] 章有改定是什么
[01895.20-01896.04] 在旁边写上
[01896.04-01898.00] 章有改定是先卖后租
[01899.60-01902.56] 就是我现在手里有一个小天才的通收标
[01902.56-01905.12] 现在换了是我有一个小天才
[01908.84-01911.44] 我一个小天才之后我现在比较缺钱
[01911.44-01913.52] 然后我就把这个小天才
[01913.52-01915.32] 而通收标600块钱
[01915.32-01917.24] 我把这个小天才的通收标600块钱
[01917.24-01918.00] 卖给了什么
[01918.00-01919.12] 卖给了小A
[01920.12-01921.96] 那这有时候我小A之前签订了
[01921.96-01923.96] 买卖合同 买给了小A
[01923.96-01926.72] 这时候我和小A的买卖合同当中就约定
[01926.72-01928.72] 我说你把这个手表
[01928.72-01931.60] 你买回去之后 我先不把东西给你
[01931.60-01934.20] 你先给我用几天行不行
[01934.20-01937.24] 因为我现在还有招聚用量的手表
[01937.24-01939.48] 小A一看说咱俩关系这么铁
[01939.48-01940.52] 说没有问题
[01940.52-01942.40] 所以你看在这里出现了一个什么
[01942.40-01944.32] 我先把东西卖给它
[01944.32-01946.80] 然后我有把东西租回来
[01946.80-01948.80] 或者我有把东西借用了一下
[01948.80-01950.40] 这种太野属于什么
[01950.40-01953.38] 那这种他也属于交付的一种形式
[01953.38-01956.88] 所以在这里面这种交付的就叫做战友改定
[01956.88-01957.72] 战友改定
[01957.72-01959.52] 所以在这个地方大家知道
[01959.52-01961.32] 这是交付的具体情况
[01961.32-01963.60] 或者我们常说的叫做交付制度
[01963.60-01966.96] 那战友改定也并不是说所有的这种情况
[01966.96-01968.20] 都可以使用战友改定
[01968.20-01970.12] 你在战友改定后面再标注一下
[01970.12-01971.00] 战友改定呢
[01971.00-01973.28] 它其实是不是用山于其德的
[01973.28-01975.92] 如果说这个东西它能不能山于其德
[01975.92-01977.36] 它如果在体验当中给到说
[01977.36-01981.92] 它通过战友改定的方式取得了什么所有权那不行
[01981.92-01984.72] 所以战友改定不是用上一期的
[01984.72-01986.52] 它也同时大家注意一下
[01986.52-01987.80] 它不是用什么呢
[01987.80-01989.56] 也不是用之前的设立
[01993.20-01994.88] 也不是用之前的设立
[01994.88-01996.72] 所以在这里面大家要注意一下
[01996.72-01998.52] 其实让我们能够去分呢
[01998.52-02001.88] 就是在整个设单位考察的整体的难度上
[02001.88-02004.48] 同时只需要把屋住一个大的规则就行了
[02004.48-02007.08] 这个大的规则就是刚才我们所提到的
[02007.08-02009.48] 就是想要發生武權電動
[02009.48-02011.62] 那這裡面同學沒有知道
[02011.62-02013.48] 第一個就是不動產要登記
[02013.48-02014.68] 如果沒有登記的話
[02014.68-02017.34] 你沒有辦法獲得房屋的所有權
[02017.34-02019.44] 第二個就是動產要進行
[02019.44-02020.14] 糾付
[02020.14-02021.80] 如果動產不糾付的話
[02021.80-02024.48] 你也不會獲得動產的所有權
[02024.48-02026.16] 只不過在這裡面有一個考點
[02026.16-02028.92] 就是這個糾付它的形式分為
[02028.92-02030.20] 現實糾付
[02030.20-02032.16] 也是我們所說的直接糾付
[02032.16-02034.16] 還有我們所說的檢疫糾付
[02034.16-02035.88] 只是糾付和戰友改定
[02035.88-02039.60] 就是我们能够在概念上去分这四种交付就可以了
[02039.60-02043.04] 这时候我们所说的基于民事法律行为的无选变动
[02043.04-02046.12] 基于民事法律行为的目前变动当状
[02046.12-02047.40] 我们还讲到了一个点
[02047.40-02050.24] 说它既然是基于民事法律行为的目前变动
[02050.24-02052.52] 所以首先第一个带有一个因
[02052.52-02054.32] 那就是合同的签订
[02054.32-02057.72] 合同签订只发生债权效力 对吧
[02057.72-02060.00] 而如果小发生物权变动
[02060.00-02061.04] 应该要怎么样
[02061.04-02062.84] 应该要公式
[02062.84-02063.96] 应该要公式
[02063.96-02066.24] 所以整个误权同们记得
[02066.24-02068.16] 你想要获得这个误权
[02068.16-02071.44] 或者说我们所说的小获得这个东西的所有权
[02071.44-02075.44] 那你一定要符合我们所说的哪几个步驾
[02075.44-02078.12] 就一定要符合第一个叫做有钱处分
[02078.12-02080.08] 第二个就是有效合同
[02080.08-02081.92] 第三一个就是要公式
[02081.92-02083.52] 也就是在这里面
[02084.92-02087.72] 两方同时有两方同时有问题
[02087.72-02088.64] 现在哪呢
[02089.76-02090.64] 我现在这儿吧
[02090.64-02095.40] 如果你想要获得这个东西的所有权就要发生污权变动
[02095.40-02097.64] 这个时候就要产生
[02099.64-02103.72] 我们所说的 第一个就叫做要有权处分
[02103.72-02107.56] 你卖的这个东西和你增与的这个东西一定是你的
[02107.56-02110.24] 如果是无权处分的话 那他就变成了
[02110.24-02112.64] 我们后面所说的山一区的
[02112.64-02118.64] 首先第一个他有权处分 但有权处分在技术区的这块不是一个非常赵的考脸
[02118.64-02121.08] 主要是有钱储备后面的后面两部
[02121.08-02123.56] 第二个就是要有有效合透
[02123.56-02125.28] 也就是刚才我们所说的要
[02125.28-02128.08] 首先天天满满合同做的合同发生战选效力
[02128.08-02129.84] 但是光有战选效力不行
[02129.84-02130.88] 还要进行什么
[02130.88-02131.92] 还有公事
[02131.92-02133.92] 这种公事才能发生目前效力
[02133.92-02136.32] 而公事有一他的标击物不同
[02136.88-02138.28] 公事的方法不一样
[02138.28-02141.56] 一个是不动产要进行登记动产要进行
[02141.56-02142.28] 就复
[02142.28-02145.16] 那他们三个加在一块就是目前变动
[02145.16-02147.32] 也是在这里面就取得了
[02147.32-02149.52] 所有权也就是我们所说的
[02149.52-02152.36] 对于相当的目前能够技术器的
[02152.36-02154.28] 所以他说从哪天获得了
[02154.28-02158.04] 所有权你就看哪天登记或交付就可以了
[02158.04-02160.68] 这是这三步一步都不能少
[02160.68-02161.76] 一步都不能少
[02161.76-02165.24] 这是目前变动当中的第一个技术器的
[02165.24-02165.96] 就许得
[02165.96-02169.16] 即于民事法律形为所发生的无权变动
[02169.16-02170.20] 大原则
[02170.20-02171.12] 这观点话说
[02171.12-02172.44] 它整体上也就那么几个
[02172.44-02173.08] 这是点
[02173.08-02174.08] 第一个区分原则
[02174.08-02176.12] 物质两分物是物质使债
[02176.12-02179.46] 第二 想发生武权变动 或者是产生武权效率
[02179.46-02184.06] 必须就在原这一个我们所说的不动产灯激动产 交付
[02184.06-02187.90] 这个就叫做基于民事法律行为的武权变动
[02187.90-02189.94] 比如说我刚才说了合透
[02189.94-02194.04] 但并不是所有的武权变动都会因为合通而产生
[02194.04-02197.38] 还有一些武权变动 不需要合通也可以发生
[02197.38-02201.46] 这个就叫做非基于民事法律行为的武权变动
[02201.46-02204.78] 比如说我前面也拉说的我两百块钱的小米手法
[02204.78-02206.42] 被我的孩子集成走了
[02206.42-02208.54] 那这里面我又没有给我孩子签订
[02208.54-02209.50] 一个何同说
[02209.50-02211.74] 但我死后这个表就归你
[02211.74-02213.74] 所有了你要付给我多少名币
[02213.74-02215.74] 所以我就把这个表卖给你
[02215.74-02217.02] 没这么说的
[02217.02-02218.78] 所以在这里面我们很发现
[02218.78-02220.30] 只要我们所说的
[02220.30-02221.74] 这个事情一发生
[02221.74-02223.42] 所有权就一定会发生
[02223.42-02223.74] 变动
[02223.74-02225.74] 或物权就一定会发生变动
[02225.74-02227.82] 那这个时候就是我们所说的什么
[02227.82-02229.58] 飞机于明示法律行为的
[02229.58-02230.46] 物权变动
[02230.46-02231.58] 那这个时候就意味着
[02231.58-02232.62] 不需要公式
[02232.62-02233.90] 也不需要登记
[02233.90-02235.12] 东西就给你所有了
[02235.12-02237.08] 在这里面常见的那些
[02237.08-02238.42] 第一个就是政府
[02238.42-02239.26] 征收
[02239.26-02240.42] 政府征收
[02240.42-02241.86] 不需要登记
[02241.86-02243.26] 也不需要较赋
[02243.26-02245.38] 政府征收的决定一出来
[02245.38-02246.98] 这个东西就会政府了
[02246.98-02248.42] 举个简单例子
[02248.42-02250.98] 比如说他征收征用你的土地
[02250.98-02253.82] 在这里面他在征收你的土地的时候
[02253.82-02254.86] 政府能说
[02254.86-02256.82] 我给你签订一个协议
[02256.82-02257.98] 然后协议之后
[02257.98-02259.54] 然后咱们两个去登记
[02259.54-02260.54] 登记完了之后
[02260.54-02262.38] 这个土地政府在用啊
[02262.38-02263.38] 不可能的
[02263.38-02266.06] 政府在进行征收的时候他是一个事实行为
[02266.06-02267.86] 只要征收决定生效
[02267.86-02270.98] 这个时候土地画到征服没变了
[02270.98-02272.46] 修销对外公事
[02272.46-02273.06] 不需要
[02273.06-02274.74] 没有看到什么国家
[02274.74-02277.30] 或者政府和老百姓去进行什么土地
[02277.30-02277.86] 登记的
[02277.86-02278.86] 没有这一说的
[02278.86-02280.94] 所以他不需要对外公事了
[02280.94-02282.78] 这个就要飞机明是他的行为的
[02282.78-02283.74] 征服的
[02283.74-02284.22] 征收
[02284.22-02284.94] 征服征收
[02284.94-02286.18] 征收
[02286.18-02287.10] 生效室
[02289.94-02290.50] 征收
[02290.50-02291.14] 生效室
[02291.14-02291.86] 不全发生
[02291.86-02292.66] 变动
[02292.66-02295.54] 第二就是裁判文書 文書裁判
[02295.54-02299.62] 文書裁判就是我們常看到的法院的判決
[02299.62-02301.42] 但一般情況下是形成判決
[02301.42-02302.86] 法院的判決一出來
[02302.86-02305.42] 比如說這個房子你說是你的我說是我的
[02305.42-02307.30] 什麼時候確定這個房子規矩
[02307.30-02309.30] 法院判決一出來說
[02309.30-02311.18] 房子規結率所有
[02311.18-02312.62] 從那一刻起
[02312.62-02314.18] 這個房子就是我的了
[02314.18-02315.30] 明白這個意思吧
[02315.30-02316.70] 所以在這裡面你看
[02316.70-02318.70] 法院的判決文書
[02318.70-02319.86] 它其實就是什麼
[02319.86-02321.86] 它有一定的公式效率
[02321.86-02324.84] 所以在这里面不需要再去跑我们所说的
[02324.84-02327.70] 那那儿去进行攻击灯技攻势
[02327.70-02329.58] 然后再说明防务是我的不需要
[02329.58-02331.86] 判决生效的时候
[02332.86-02334.58] 搜全就发生变动了
[02335.06-02337.22] 这是我们所说的文说
[02337.22-02339.90] 而继承续继承就是继承开始时
[02340.54-02341.34] 也就是什么
[02341.34-02343.82] 也就是背机人死亡的那一刻
[02346.54-02349.86] 背机承人死亡的时候
[02349.86-02379.86] 东西就归基成人所了,东西就归基成所了,不需要再去进行笔,我们所说的什么,在进行什么登记公事,所东西就有所有不需要了,所以背景人死亡的时候,东西就归我所了,背景人死亡是无权的,是一番变动了,事实行为成就是,所谓的行为成就,就是行为完成使,行为完成使,这个时候,无权就发生了,
[02379.86-02382.76] 就變動了,比如說我們常做的,戴樓
[02382.76-02384.92] 戴樓的時候,他屬於市值行為
[02384.92-02387.20] 戴樓是行為這個樓
[02387.20-02389.34] 什麼時候,歸房地產商,所以
[02389.34-02391.30] 樓蓋完的內刻就歸它走了
[02391.30-02394.96] 所以在這裡面,你看叫行為成就時,會行為完成時
[02394.96-02396.86] 而考試比較喜歡考的是哪個呢?
[02396.86-02398.76] 同門能夠把這個旅順庭主就行了
[02398.76-02402.26] 就是基於民視法律行為所發生的目前變動
[02402.26-02404.76] 幾步走,同門兩步走
[02404.76-02407.36] 第一步先判斷,合同的沒有效
[02407.36-02411.32] 发发生战产效力第二步判断标地误是什么
[02411.32-02414.00] 不动产登记动产时就要付
[02414.00-02418.44] 所以他就把误住一个区分原则和一个公式原则就可以了
[02418.44-02420.28] 这个就是所有权变动
[02420.28-02421.44] 搜权变动
[02421.44-02423.92] 这时需要大家去掌握的
