[00000.00-00002.74] 好的 那我们接给来往下看
[00002.74-00005.58] 咱们前面给大家去讲了什么是高兴技术
[01130.06-01130.94] 原就在這
[01130.94-01131.86] 沒有自主創新
[01131.86-01132.78] 沒有科學上發展
[01132.78-01134.38] 永遠都要受制與人
[01134.38-01135.98] 所以我們就說自己開始去搞
[01135.98-01136.86] 但是大家都知道
[01136.86-01137.90] 像定位導航系統
[01137.90-01140.66] 當中有一個非常重要的一個原價
[01140.66-01142.06] 叫做原子中
[01142.06-01142.78] 這個原子中
[01142.78-01146.54] 分散的东西单纯的一套我们国家最开始的时候是搞不出来的
[01146.54-01147.74] 所以那个时候说谁呢
[01147.74-01148.54] 我们那个时候说
[01148.54-01151.42] 我们就和欧洲一起搞联合吧
[01151.42-01153.10] 就是和欧洲一块搞一个
[01153.10-01155.74] 那个时候欧洲也没有我们也没有良和一块搞的话
[01155.74-01157.98] 两个地区同时使用其实也是可以的
[01157.98-01161.98] 所以当时就和欧盟搞了这样的一个写商
[01161.98-01163.38] 当时欧洲也同意了
[01163.38-01165.98] 那个时候开发的系统就叫做家里绿
[01165.98-01167.98] 结果搞完一段时候
[01167.98-01169.66] 美国从中间红差一角
[01169.66-01170.62] 红差一角之后呢
[01170.62-01172.46] 这欧洲就不和我们合作了
[01172.46-01173.44] 不后我们合作怎么办
[01173.44-01174.34] 我们自己去搞
[01174.34-01176.38] 所以我们再去搞北斗的时候
[01176.38-01179.10] 从北斗以后到北斗二号到北斗三号
[01179.10-01180.54] 那么这么要了一个主席
[01180.54-01182.72] 其实是体现着我们国家
[01182.72-01185.32] 自立跟生建股分斗一个精神体现
[01185.32-01187.26] 我们北斗以后是服务中国的
[01187.26-01188.78] 就是在整个中国地区师用
[01188.78-01189.58] 那么OK
[01189.58-01191.46] 北斗二号服亚开一去
[01191.46-01194.46] 北斗三号服务我们所说的全世界反应之内
[01194.46-01196.70] 目前到了今天中国的北斗
[01196.70-01199.10] 可以说是四十多亿行导昕的当中
[01199.10-01200.66] 摇摇领先的一项技术
[01200.66-01203.56] 也是聯合國唯一並違官方使用的
[01203.56-01205.40] 我們所說的這個北斗黨的系統
[01205.40-01209.90] 所以在這裡大家注意下中國在北斗黨黨上有這麼幾個細節
[01209.90-01211.58] 同每一條主義這是第二個北斗
[01211.58-01215.66] 第一個就是北斗他是全世界範圍之內第三個
[01217.66-01222.16] 我們國家是第三個擁有獨立的道行為性系統的國家
[01222.16-01223.86] 就是寄言美國和羅斯之後
[01223.86-01225.28] 歐洲不是沒跟咱玩嘛
[01225.28-01228.32] 在不帶黨所以他是在咱們國家之後才研發出來的
[01228.32-01229.32] 所以这是第一个
[01229.32-01230.92] 就知道我们是世界上第三个
[01230.92-01232.52] 第二个呢就是北斗
[01232.52-01235.52] 他的能力强大到我们想象不到
[01235.52-01237.32] 就是最开始北斗3号刚刚
[01237.32-01238.72] 我们所说的完成之后
[01238.72-01240.12] 在全世界范围之内
[01240.12-01241.72] 可以全球定位之后
[01241.72-01242.88] 当时大应该还记得
[01242.88-01244.92] 央视还专门做了一期这样的节目
[01244.92-01246.52] 当时主持人是白人说
[01246.52-01248.12] 白人说当时是这么介绍的
[01248.12-01249.92] 他说北斗被行导了系统
[01249.92-01251.12] 只用你想象不到
[01251.12-01252.12] 没有他做不了的
[01252.12-01253.92] 北斗的应用范围特别的广泛
[01253.92-01255.32] 广泛什么程度呢
[01255.32-01256.32] 精准定位
[01256.32-01257.92] 已经是他的一个什么
[01257.92-01267.20] 基础了,除了基础的地位之外,它还能帮助我们干嘛了,帮助我们选择,比如说在新冠疫情期间,我们的火人热烈身山约的选择用什么?
[01267.20-01273.20] 北斗,所以你看精准非常快,几天只得选了之后,十一天之后,方庄原就盖起来了。
[01273.20-01282.56] 第二北斗可以用来干嘛呢,我们这一年一直在说测量出木浪漫风的高度,所以北斗测猪峰配合航天重力技术,可以测猪峰的高度。
[01282.56-01286.90] 第三一个就是北斗还帮张祖导招回了他逃跑的善辈对吧等等
[01286.90-01289.80] 所以北斗他能够应用的范围特别特别广泛
[01289.80-01296.20] 而且我们国家这个北斗系统相较于美国的GPS俄罗斯的国内娜斯欧洲的家里之外他有一个
[01296.20-01298.68] 就是除了定位之外他还可以用做什么呢
[01298.68-01300.84] 他还可以用在通信上
[01303.92-01308.16] 这个功能大助一下是其他的几个定位系统没有的
[01308.16-01310.00] 所以大家注意一下这是中国的北斗
[01310.00-01311.32] 所以现在一提到北斗
[01311.32-01312.96] 但是相当之交货了
[01312.96-01316.72] 那这是咱们国家非常了不起的这样的一项技术
[01317.44-01321.76] 那最后一个我们所说的早安系统就是我们所说的欧洲的家里乐
[01321.76-01327.44] 所以在这里面同能掌握人造地球卫星全球塞岛西统当中两个伟度
[01327.44-01332.16] 第一个塞岛系统由那些第二个就是在这里面注意下我们国家的北斗就可以了
[01332.16-01335.12] 这是它的第五个方面应用就是因为导航
[01335.12-01339.12] 那人造地球卫星呢他还有第六个就是我们所说的反回示威下
[01339.12-01342.34] 反微世媒形式想的就是你发出去的最后还要回来的
[01342.34-01344.04] 那这种就要做反微世媒形
[01344.04-01345.64] 所以你看它的概念说
[01345.64-01348.56] 反微世媒形只在轨道上完成任务之后
[01348.56-01352.24] 有部分结果会反回到我们所说的地面的人造微形
[01352.24-01353.92] 这个就要个反微世媒形
[01353.92-01356.64] 反微世媒形不要常见的就是用途
[01356.64-01358.48] 就是在照项真常上
[01358.48-01360.48] 在这里面来看一下出上说的
[01360.48-01363.92] 说现在能够独立找过反微世媒形的国家目前只有三个
[01363.92-01367.52] 那就是美国俄罗斯还有我们所说的中国
[01367.52-01368.54] 这三个国家
[01368.54-01369.32] 所以大家注意下
[01369.32-01370.34] 这是反夸视为行
[01370.34-01371.86] 说老师我没太有概念
[01371.86-01373.66] 当然要记得到常夸5号
[01373.66-01376.10] 常夸5号就是发到疫情上去
[01376.10-01377.50] 马文土之后又回来了
[01377.50-01380.58] 这个常夸5号他回到月球上
[01380.58-01381.86] 他回到地球上
[01381.86-01383.54] 他其实就是点行的什么
[01383.54-01384.68] 反夸视为行
[01384.68-01386.22] 所以大家注意下这是比6个
[01386.22-01388.78] 第七个就是在人造地球微星当中
[01388.78-01389.92] 还会有一个叫做
[01390.56-01392.10] 地球统部微星的
[01392.36-01394.40] 地球统部微星来看一下他说的
[01394.40-01397.60] 人为发射的一种味兴叫相对于地球
[01397.60-01400.20] 快下叫竞止于吃到上空的
[01400.20-01402.52] 从地球上面看的味兴保持不动
[01402.52-01404.64] 所以叫做竞止味兴
[01404.64-01405.76] 而这个竞止味兴
[01405.76-01409.32] 它主要就是我们所说的在整个通信应用上
[01409.32-01410.80] 也是会有相对于应用的
[01410.80-01412.20] 地球统不一兴
[01412.20-01413.40] 它的这个统部
[01413.40-01415.48] 想覆盖到全球范围之内的
[01415.48-01416.92] 它的一个情况的话
[01416.92-01419.00] 它至少需要几颗的统标注意下
[01419.00-01421.64] 就是地球统不一兴至少需要三颗
[01421.64-01424.12] 才能覆盖全球范围那个统信
[01424.12-01425.64] 所以他注意两个电
[01425.64-01429.36] 第一个就是地球同步一行也称这位叫做镜里微星
[01429.36-01430.92] 第二个就是在这里面
[01430.92-01432.76] 他至少需要三颗
[01432.76-01434.88] 这个就是人造地球微星
[01434.88-01436.80] 所以人造地球微星的主要掌握
[01436.80-01438.16] 他用在哪些方面
[01438.16-01440.32] 第二个就是在这里面有个别的细节
[01440.32-01441.24] 同样注意一下
[01441.24-01442.84] 这是人造地球微星
[01443.84-01446.68] 那么说了在整个无人的这样的一个
[01447.40-01448.36] 探测当中
[01448.36-01449.68] 除了人造地球微星之外
[01449.68-01452.76] 我们还讲到了在航天期当中的空间探测器
[01452.76-01456.76] 昆天汤测器按照汤测的对象画分
[01456.76-01458.56] 按照汤测的对象画分
[01458.56-01462.36] 不要分为越头汤测行星记汤测
[01462.36-01464.56] 还有一个就是小天体汤测器
[01464.56-01467.36] 这里面是会睡到两个比较重要的点
[01467.36-01468.36] 一个是越头汤测
[01468.36-01470.76] 一个是行星和行星之间的
[01470.76-01472.56] 我们就说行星记汤测
[01472.56-01475.96] 在这里面就会睡到常隔和天文的问题
[01475.96-01477.56] 所以你看它苏夏面说了
[01477.56-01480.76] 中国越头汤测工程叫做常隔工程
[01480.76-01483.44] 在这里面有两个非常照的点
[01483.44-01484.64] 需要同样的去补充
[01484.64-01486.24] 那一个就是越球探测
[01486.24-01488.32] 还有一个就是先行直接探测
[01488.32-01490.28] 那越球探测我们把他称之为
[01490.28-01491.84] 叫做中国的卖约工程
[01491.84-01493.84] 被称之为叫做长额工程
[01493.84-01495.24] 这个名字很浪漫
[01495.24-01497.16] 中国人起名非常有一套
[01497.16-01497.40] 对吧
[01497.40-01500.16] 那大家都叫长额是奔约的鲜率
[01500.16-01503.28] 所以我们把卖工程称之为叫做长额工程
[01503.28-01505.44] 中国卖工程的标志是什么呢
[01505.44-01508.60] 我在这里面其实给大家展示了一下
[01508.60-01510.52] 中国卖工程的标志
[01510.52-01514.24] 你看一下它的整体的形象是什么形象呢
[01514.24-01515.40] 就是这个蓝色的
[01515.40-01518.70] 你看它其实是中国古代的字
[01518.70-01519.60] 什么字呢
[01519.60-01520.96] 越亮的越子
[01520.96-01524.24] 你看它其实是整体的来看它是一个汉字的形象
[01524.24-01526.84] 但是这个越亮的越子外边这圈
[01526.84-01528.88] 你看它这个其实像一条什么
[01528.88-01530.96] 像一头龙一样 对吧
[01530.96-01533.12] 这里面还有两个小一样
[01533.12-01535.56] 角色代表的就是要探测
[01535.56-01537.96] 而整体上你看它成是一个什么
[01537.96-01540.78] 到悉醒 它其实代表了这是中国
[01540.78-01543.32] 同学们这里还有一些巧思的设计
[01543.32-01544.60] 大家应该还没有注意到
[01544.60-01545.52] 就是在这里面
[01545.52-01547.04] 你看在这个下端这一块
[01547.04-01548.98] 你看它在这个维布这个地方
[01548.98-01551.48] 它说都是那种改不是全部都是实体的
[01551.48-01552.88] 你我仔续去看的话
[01552.88-01555.48] 它一个一个的小小的东西是啥呢
[01555.48-01556.84] 是和平哥
[01556.84-01558.24] 画的是哥子
[01558.24-01562.34] 也就遇示了中国的航空航舰探测中国的太工程是什么
[01562.34-01564.14] 是和平太越工程
[01564.14-01566.54] 所以这个是碳月的标志
[01566.54-01569.26] 标志当年在我们所说的
[01569.76-01570.84] 长工程
[01570.84-01574.34] 也就是我们所说的长个四号五号的时候是一个热点来的
[01574.34-01576.84] 所以同样把标志稍微注意一下
[01576.84-01578.04] 是有两个角烟
[01578.04-01580.44] 然后在这里面还有整体上是月子型
[01580.44-01582.84] 还有哥子代表这是和平探测
[01582.84-01585.74] 那么需要中年掌握的除了这个楼构之外
[01585.74-01588.04] 还需要同样去掌握我们所说的这个
[01588.04-01591.52] 常額工程,他的具体工程内容
[01591.52-01595.08] 王八整个中国的碳月,其实分成三个隐段
[01595.08-01598.04] 这三个隐段,第一个就是要无人碳月
[01600.04-01602.40] 第二个就是我们所说的有人碳月
[01602.40-01603.64] 这种有人碳月的话
[01603.64-01605.48] 其实就是我们所说的登月了
[01605.48-01608.04] 第三个就是不仅能送人上去
[01608.04-01610.44] 还要能够在月球上去建设什么
[01610.44-01611.84] 去建设箱的
[01611.84-01613.88] 我们所说的基地,你比如说大家看到的
[01613.88-01616.56] 读形月球当中的月顿计划理面
[01616.56-01619.08] 您是審逢和马利,一个是马兰星
[01619.08-01622.12] 然后还有一个是我们所说的審逢验的那个角色
[01622.12-01625.20] 对吧,它其实就是在我们所说的越球上
[01625.20-01627.52] 它在进行相当的空间谈测
[01627.52-01630.04] 所以这就是我们所说的这种最后一步
[01630.04-01631.56] 我们能不能标就是住越
[01631.56-01633.08] 我们现在在哪个階段呢
[01633.08-01636.20] 我们现在在第1个階段叫做无认谈越
[01636.20-01638.96] 这无认谈越呢,它其实分成三个階段
[01638.96-01641.84] 就是我们想要去研究越球它的基本情况
[01641.84-01642.92] 分成三步走
[01642.92-01643.76] 有长说的
[01643.76-01646.12] 要把大象装进兵相守线分几步
[01646.12-01648.12] 在这里就是三部
[01648.12-01651.52] 那是三部首先第一个同学注意下 叫做肉
[01653.12-01655.96] 也有说我们要发出去我们所说的
[01656.36-01659.28] 比如肉越球专的这样的系列的
[01659.28-01660.60] 微星来观测越球
[01660.60-01662.28] 所以第一步叫做肉
[01662.28-01665.52] 肉是几号 大家注意下 肉是长得一号和长额
[01665.52-01668.24] 二号 它主要是能够发射出去
[01668.24-01670.44] 评论越行 同时能够回传信号
[01670.44-01671.92] 这个时候就是肉
[01671.92-01674.60] 这个肉其实在长得二号上最终肉完了之后
[01674.60-01676.68] 就是成功撞及到越球上
[01676.68-01678.00] 那这是我们所说的热
[01678.00-01679.36] 但是热只是第一步
[01679.36-01680.40] 你发生微星出去
[01680.40-01682.12] 就是为了违热越球赚圈嘛
[01682.12-01682.92] 其实不是的
[01682.92-01684.72] 你说想看一看越球上啥样
[01684.72-01686.12] 想看个越球上啥样
[01686.12-01688.00] 是不是带着你的这个探测器
[01688.00-01689.32] 落到越球上啊
[01689.32-01690.68] 所以热只是第一步
[01690.68-01691.44] 能够热
[01691.44-01693.28] 那今天就要进行第二步就要什么
[01693.28-01694.04] 就要是落
[01694.04-01695.64] 就要能够落到越球上
[01695.64-01697.20] 但是问题就是在于这个落
[01697.20-01698.84] 可不是像我们想像这么简单
[01698.84-01699.80] 你说我就是
[01699.80-01701.48] 抛一个探测器上去
[01701.48-01703.24] 然后一下一头扎在那个越球上
[01703.24-01703.92] 那不行了
[01703.92-01705.40] 你以为月球是海棉吗
[01705.40-01708.12] 所以你要放一个东西到月球上去
[01708.12-01709.28] 那它这种情况之下
[01709.28-01710.96] 如果说速度特别快
[01710.96-01712.32] 降落的角度没有控制好
[01712.32-01714.16] 你拥头撞去不就撞碎了
[01714.16-01716.40] 所以在落这一块就提出了一个概念
[01716.40-01716.96] 叫做什么呢
[01716.96-01718.76] 叫做软着路概念
[01721.32-01722.84] 叫做软着路概念
[01722.84-01724.56] 在这个软着路概念当中
[01724.56-01725.92] 谁完成了路呢
[01725.92-01727.96] 大家注意下是常额三号
[01727.96-01729.84] 和我们所说的常额四号
[01729.84-01731.20] 实现了软着路
[01731.20-01732.92] 常额三号实现的是什么呢
[01732.92-01736.50] 是首次软卓落也是月灭软卓落
[01736.50-01739.12] 也这是成功的落到了月球上
[01739.12-01740.60] 那月球的哪一面呢
[01740.60-01741.88] 月球的亮面
[01741.88-01743.56] 这是我们晚上看到月亮
[01743.56-01746.04] 我们能看到的朝着我们的这一面
[01746.04-01749.12] 那这一面去叫做什么叫做月灭软卓落
[01749.12-01750.92] 还有一个呢这是三号
[01750.92-01753.08] 那除了三号之外还有什么还有四号
[01753.08-01754.52] 四号完成的都不一样了
[01754.52-01757.00] 四号叫做月灭软卓落
[01760.12-01761.72] 叫做月灭软卓落
[01761.72-01762.92] 这是在月球的背面
[01762.92-01765.92] 这是人类首次的实现月被软着路
[01765.92-01768.12] 我们不仅在月被上实现着路了
[01768.12-01770.12] 是吧还通过我们所说的什么
[01770.12-01772.36] 中纪 被欣 回传出来了
[01772.36-01774.12] 回传回来了月球背面的照片
[01774.12-01776.32] 如果我们第一次看个月球背面找什么样子
[01776.32-01777.72] 所以这是墨
[01777.72-01779.12] 就做三号和四号
[01779.12-01780.44] 但是你落完了之后
[01780.44-01781.72] 仅仅传照片也不行
[01781.72-01783.52] 我们主要是要研究月球
[01783.52-01785.72] 因为月球上他所运行的能量
[01785.72-01788.72] 也是我们常说的害三是地球的百万倍
[01788.72-01789.52] 这种情况之下
[01789.52-01790.92] 他进入运行的大量的能量
[01790.92-01794.16] 我们要就看一下月球有没有我们可以利用的资源
[01794.16-01797.16] 所以在这里面光落不行还在去研究
[01797.16-01799.16] 研究你要带回一点东西回来
[01799.16-01803.84] 那这个时候就会提到碳月的第三步叫做回事几号
[01803.84-01807.84] 大家注意一下回事长额 五号 回事长五号
[01807.84-01811.88] 所以长五号他就完成了 肉落回到中的回
[01811.88-01813.96] 也就是完成了无人碳月的第三步
[01813.96-01816.44] 长五号我们说了在那一年春节的时候
[01816.44-01818.92] 大家在春晚的时候其实看到了长五号
[01818.92-01824.04] 我们所说的功程,我们当说的是功程
[01824.04-01829.44] 那个长午后,它就是独立自主的过去,然后在地面发了一些土
[01829.44-01833.72] 发了一些土灰了,然后打包带回来自右回来了,这都是我们所说的
[01833.72-01837.16] 我们自主的这种无人的操控的技术,对吧
[01837.16-01841.44] 所以这是我们所说的长午后,长午后带回来的月长,带注意下案
[01843.24-01848.24] 这个点稍微注意下,长午后当时带回来一些月长,这些月长一共多少颗呢
[01848.24-01851.46] 这些月长一共是1731克
[01851.46-01853.72] 这些月长和之前美国
[01853.72-01855.42] 他登陆之后所带回来的
[01855.42-01857.34] 登月之后所带回来的月长不一样
[01857.34-01858.78] 那个时候的月长比较旧
[01858.78-01860.40] 咱们这个时候是最新的月长
[01860.40-01862.96] 而这一千七百三十一克月长当中
[01862.96-01864.96] 他大部分都拿去做科研了
[01864.96-01867.18] 当时在国家博物馆当中
[01867.18-01868.66] 他分离出来了一百克
[01868.66-01870.60] 放在国家博物馆进行展覽
[01870.60-01871.94] 我还有兴趣看了一下
[01871.94-01873.46] 当然这个照片不是我拍的
[01873.46-01874.90] 因为我拍的不够清楚
[01874.90-01876.92] 当时看月长的人特别多
[01876.92-01879.16] 我记得当时就是这个月长刚
[01879.16-01883.20] 像国伯开放或者是捐弄给国家博物馆的时候
[01883.20-01884.84] 当时很多人都去看了
[01884.84-01885.72] 很多人去看的时候
[01885.72-01888.04] 我记得那个央视的记者还在外面采访
[01888.04-01888.44] 然后说
[01888.44-01890.40] 请问你今天也是来看月长的吗
[01890.40-01892.88] 然后当时那个人说对于对我也是来看月长的
[01892.88-01894.44] 然后他说那你看到了吗
[01894.44-01896.24] 可是我看到了这个月长长什么样
[01896.24-01898.12] 然后那个人就问他说月长什么样
[01898.12-01900.24] 他月长就和地球上都土差不多
[01900.24-01901.72] 这是第一个人的采访
[01901.72-01903.04] 然后第二个人他的采访
[01903.04-01903.84] 又有人出来了
[01903.84-01905.40] 然后那个女记者就问
[01905.40-01907.32] 请问你也是来看越长的吗
[01907.32-01909.32] 然后第二人说对对我也是来看这张
[01909.32-01910.64] 他说你看到越长什么样的
[01910.64-01911.80] 他说我看到了看到了
[01911.80-01913.00] 越长是白色的
[01913.00-01915.84] 然后当时出了好几个人问的这个颜色都不一样
[01915.84-01919.32] 然后当时还是在那种新闻上直播的
[01919.32-01920.24] 然后这时候出过
[01920.24-01922.32] 你确实不是他那一天是节目主持人
[01922.32-01923.16] 然后他是出来了
[01923.16-01925.40] 他说越长越长是越球的图让
[01925.40-01927.44] 但是他却不合地球上的图一样
[01927.44-01928.60] 他既不是黑色
[01928.60-01929.72] 也不是白色
[01929.72-01932.36] 而是我们所说的几乎水泥的颜色灰色
[01932.36-01934.60] 因为他是我们所说的摩擦产
[01934.60-01935.32] 反声的嘛
[01935.32-01937.32] 所以他往往都是沙石的类似的走
[01937.32-01938.12] 可利的
[01938.12-01939.48] 所以这是我们所说的
[01939.48-01940.04] 看到的
[01940.04-01942.12] 但其实你说看得清不清楚呢
[01942.12-01944.04] 其实也还比较清楚吧
[01944.04-01945.88] 这个就是成放越让的
[01945.88-01946.76] 这个容器
[01946.76-01948.36] 这是我们所说的这个玻璃尊
[01948.36-01950.36] 你看到这个玻璃尊的这个造型
[01950.36-01951.40] 越让在那人呢
[01951.40-01953.80] 越让就是在这个小圈圈里面
[01954.12-01956.04] 这个玻璃尊的造型
[01956.04-01957.40] 你看外面是方的
[01957.40-01958.12] 里面是原的
[01958.12-01959.80] 其实它有一定的越意义的
[01959.80-01961.32] 就叫做天原地方
[01961.32-01963.24] 而如果你在这里面仔细去看的话
[01963.24-01965.98] 请能看到越长他大概的一个情况
[01965.98-01968.54] 但是秘峰的特别好特别厚嘛
[01968.54-01971.80] 所以这是我们所说的关于长俄工程
[01971.80-01974.96] 越球上他所遇上的能源也是超级之多的
[01974.96-01977.56] 而且我们对越球的了解其实并没有很多
[01977.56-01980.48] 这也是我们为什么要进行长俄工程的原因之一
[01980.48-01984.44] 所以这是长俄工程的第一节段叫做无人探与人
[01984.44-01985.44] 无人探与结段
[01985.44-01987.16] 第一节段目前已经完成了
[01987.16-01988.88] 那机现我们就考虑的就是
[01988.88-01993.88] 在人登月就像當年阿波羅一樣的人類的一小步
[01993.88-01996.44] 叫我的一小步人類文明的一大步
[01996.44-01998.04] 要送人能夠到月球上
[01998.04-02000.28] 第三部就是能夠助月
[02000.28-02001.84] 就讓大家看到我跟大家講的
[02001.84-02004.24] 都行月球裡面的月盾基地一樣
[02004.24-02006.88] 就是在這個地方能夠長期助大在月球上
[02006.88-02008.12] 進行香港的研究
[02008.12-02010.60] 這個就是我們所說的第一個
[02010.60-02013.40] 我們剛才所提到的空間探測當中
[02013.40-02014.60] 月球彈测
[02014.60-02015.40] 大家一料注意
[02015.40-02017.04] 這三部大概都是什麼樣
[02017.04-02018.84] 考試的時候會考細節
[02018.84-02021.72] 第二个就是我们要在空间碳测当中去看一看
[02021.72-02023.72] 行星记之间的碳测
[02023.72-02028.56] 行记之间的碳测在这里面主要指的是我们所说的天文1号
[02028.56-02032.04] 大家注意一下行星碳测其实被称为什么呢?
[02032.04-02033.96] 中国的行星碳测
[02037.96-02040.80] 比如说我们这一次天文1号碳测是火星
[02040.80-02044.56] 但是我们还想碳金星还想碳土星还要碳木星
[02044.56-02048.90] 你看像這種形形碎碎的我們把它稱為天文系列
[02052.24-02053.52] 天文系列
[02053.52-02055.56] 這個是中國的形形碎彩彩
[02055.56-02057.88] 而中國的形形碎彩又自一個LOGO
[02057.88-02060.28] 這個LOGO就是在這裡給大家畫的樣子
[02060.28-02061.20] 同樣來看一下
[02061.46-02063.76] 這個彩彩它的具體的情況
[02064.26-02065.30] 一共是啥呢?
[02065.30-02068.12] 一共是12345678
[02068.12-02071.18] 你看以整體這個LOGO順著八條線
[02071.44-02072.72] 這八條線是代表的是什麼?
[02072.72-02073.74] 八大形形
[02073.74-02075.74] 那是一斤地火木土天海
[02075.74-02078.74] 最上面分別是標注的這八大陷星
[02078.74-02079.90] 而這八大陷星
[02079.90-02080.94] 這顆你看
[02080.94-02082.38] 這是月區地球
[02082.38-02083.34] 旁邊還有個小的
[02083.34-02084.38] 這個就是月球
[02084.38-02085.50] 所以它的整體上
[02085.50-02087.34] 是以形形的運行軌道
[02087.34-02089.02] 最漏果的整體的設計
[02089.02-02091.26] 而這個漏果你看它的形狀是一個什麼想
[02091.26-02092.06] 是一個雖行
[02092.06-02093.34] 雖欲一直是什麼
[02093.34-02094.94] 雖欲一直是拆
[02094.94-02096.54] 這代表的是中國的
[02096.54-02097.58] 陷星探測
[02097.58-02099.98] 只不過這一次探測的是火星
[02099.98-02102.54] 下下就是發射的是天冷當中的第一個
[02102.54-02104.54] 所以叫做天文1號
[02107.74-02108.70] 天文1號
[02108.70-02111.06] 所以有關於天文1號的點案在這裡
[02111.06-02112.14] 大家要注意了
[02112.14-02113.62] 那在天文1號當中
[02113.62-02115.94] 我們也都知道他飛了很長時間
[02115.94-02118.22] 才到達了我們所說的這個火星
[02118.22-02119.42] 那首先第一個我們要掌握
[02119.42-02121.18] 就是天文1號他探測的是啥呢
[02121.18-02122.82] 這裏有給我們標準了就馬爾斯
[02122.82-02123.30] 對不對
[02123.30-02125.78] 天文1號他探測的是火星
[02127.46-02128.86] 天文1號探測的火星
[02128.86-02129.90] 這是第一個點
[02129.90-02132.90] 那探測火星的话 天文一号就有他自身的任务
[02132.90-02136.34] 所以天文一号探測火星他的任务其实也是三个
[02136.34-02138.34] 第一个就是肉
[02138.34-02140.90] 第二个就是我们所说的 肉
[02140.90-02143.22] 第三个就是 巡大住一下
[02143.22-02144.62] 这个时候不是回了
[02144.62-02148.14] 回不来 他要巡视我们所说的什么 火星
[02148.14-02151.26] 所以在这里天文一号他的任务是肉落血
[02151.26-02153.10] 最关键的其实是在什么上的
[02153.10-02154.98] 最关键的其实是在巡上
[02154.98-02156.30] 在这里大家注意一下
[02156.30-02160.90] 目前在整个火星汤测当中完成了尋的这个步驾的
[02160.90-02162.40] 或者正在进行旋这个步驾的
[02162.40-02164.70] 目前只有中国那大家注意一下
[02164.70-02165.70] 这是第一个
[02165.70-02167.70] 只是火星汤测天文一号它的任务
[02167.70-02169.50] 第二个就是大家知道天文一号
[02169.50-02171.00] 它今日走了好久
[02171.00-02173.00] 然后才最终落到火星上
[02173.00-02174.70] 我们在发射的过程当中
[02174.70-02176.00] 其实就意味着天文一号
[02176.00-02178.00] 它没有直接任在火星上
[02178.00-02178.70] 而是干嘛呢
[02178.70-02183.30] 而是把天文一号发射到了火星运行的轨道上
[02183.30-02184.80] 所以在这里面大家注意一下
[02184.80-02187.00] 他是環繞火星軌道運行
[02189.80-02192.80] 招助一下,這是環繞火星軌道
[02194.40-02196.00] 是環繞火星軌道的
[02196.00-02197.60] 也說是天文1號發動的耐呢
[02197.80-02200.60] 水金帝火在這了
[02200.60-02202.00] 假設這個地方是火星
[02202.00-02203.20] 這個是火星的話
[02203.20-02206.60] 天文1號就是從地球上發動了火星的運轉軌道上
[02207.00-02208.20] 假設這個天文1號
[02208.20-02211.20] 這老師他被閃不直接發動火星上發不上去
[02211.40-02214.40] 因為這時候火星一直在進行工作和資助案
[02214.40-02216.58] 你这时候发射的时候也不是好发射
[02216.58-02218.70] 所以就发射到了运行的轨道上
[02218.70-02219.90] 两个速度不一样
[02219.90-02221.36] 总会有相见的那一天
[02221.36-02222.92] 所以我们说了就是什么
[02222.92-02225.04] 行星记肉轨道发行
[02225.04-02225.88] 原因主在这
[02225.88-02229.08] 所以在这里这个肉是还让火星轨道最终
[02229.08-02231.42] 然后碰上了之后落到火星上
[02231.42-02232.20] 所以大家注意一下
[02232.20-02233.92] 这是我们所说的第二个点
[02233.92-02235.92] 第3个点就是我们所说的
[02235.92-02237.10] 那落
[02237.10-02239.84] 它其实是比较就心的一个时间了
[02239.84-02242.04] 我们都知道这个火星的落下去
[02242.04-02243.24] 非常非常的难
[02243.24-02246.12] 人類一共進行了好幾十次的火星探測
[02246.12-02248.32] 但是成功下落了沒有幾次
[02248.32-02248.62] 對吧
[02248.62-02250.64] 所以中國這是非常成功的一次
[02250.64-02253.40] 然後落到了火星之後就要尋視火星
[02253.40-02254.96] 那尋視火星一靠什麼呢
[02254.96-02256.48] 他帶去了一個小火敗
[02256.48-02258.28] 這是我們所說的火星車
[02259.64-02261.72] 他帶去的小火敗火星車叫啥呢
[02261.72-02263.40] 咱們也知道火星車叫做
[02263.40-02266.48] 注榮對著注榮耗火星車
[02266.48-02268.12] 這個注榮耗的這個火星車
[02268.12-02270.76] 他其實也是去自於中國的元素
[02270.76-02272.56] 中國的火神叫做注榮
[02272.56-02279.24] 他就遇著點燃、碳策的活種,碳索和我們所說的未來和遇眾,他其實取得這麼遇異
[02279.24-02283.44] 祝人化國人車長長長長長長長長的,你看一下長的,是嗎?還有點可愛?
[02283.84-02288.96] 看起來像說不好,像個什麼樣的小動物,反正就是有點可愛
[02288.96-02296.32] 他其實在這個祝人化國人車上有很多的中國元素,你比如說在這裡面,它掛裡面小國企業,在洗過去旁邊有沙呢?
[02296.32-02298.56] 我去旁边有冰冻冻冻和雪融融
[02298.56-02300.88] 正好那个时候不是感到冻冻会嘛
[02300.88-02303.28] 所以带冰冻冻和雪融融上火星嘛
[02303.28-02305.28] 第二个呢就是它头上这个地方
[02305.28-02307.72] 它头上这个地方有一个赚文
[02307.72-02309.96] 就是我们所说的这种赚
[02311.32-02312.08] 这个赚啊
[02312.08-02312.96] 有一个赚文
[02312.96-02315.44] 这个赚文呢其实就是要获了这个符号
