[00000.00-00005.38] 好的,我们进入到变政法,最后一个板块的学习,就是否定制否定规律。
[01294.44-01298.20] 比如说当时中国是发达新的战争的东方主战场
[01298.20-01300.60] 我们消耗了那么多的人力和物力
[01300.60-01302.28] 我们有那么多的鲜烈
[01302.28-01302.68] 对吧
[01302.68-01305.80] 那么多的英雄人物和战士在战场上留选牺牲
[01305.80-01307.76] 就是为了我们所说的
[01307.76-01310.40] 抵抗日的地国主义的这样的一个侵略
[01310.40-01314.24] 所以在这里面中国的努力世界反法西斯人民的努力
[01314.24-01317.44] 都对于战争来说他是一个否定因素
[01317.44-01318.60] 因为这些人想要什么
[01318.60-01320.64] 想要和平想要阻止战争
[01320.64-01322.44] 想要战争灭亡
[01322.44-01324.72] 但是现在处在战争状态
[01324.72-01325.52] 那就意味着
[01325.52-01328.84] 我们所说的这里面的肯定因素的发挥作用
[01328.84-01331.32] 一定比否定因素要大一点
[01331.32-01331.64] 对吧
[01331.64-01334.28] 所以在这里才会重鲜战争状态
[01334.28-01335.32] 而我们把
[01336.04-01338.80] 从和平到战争的这个阶段
[01338.80-01341.52] 我们都知道他是经过了第一次否定
[01341.52-01342.64] 经过第一次否定
[01342.64-01344.44] 达到了战争的这样的一个阶段
[01344.44-01345.76] 我们把它称着一交捉
[01345.76-01346.84] 否定阶段
[01348.20-01352.08] 而随着世界反法西斯连盟的不断的发言夸大
[01352.08-01354.96] 第二次世界大战终究业结束而高中
[01354.96-01358.24] 所以世界又呈现出来了一个和平状态
[01358.24-01360.56] 就是现在的和平状态
[01360.56-01364.56] 但是我们说了任何的事务他都有肯定意所和否定意所
[01364.56-01366.24] 所以现在的和平状态
[01366.24-01368.84] 有沒有核心因素?有核心因素?
[01368.84-01373.68] 有沒有我們所說的想要調起現有社會的爭端這些國家
[01373.68-01375.76] 當然有大家能看到
[01375.76-01377.48] 我們所說的俄屋衝突
[01377.48-01379.20] 我們甚至看到了美國和日本
[01379.20-01381.36] 在整個世界運行背後去操控
[01381.36-01383.88] 做一些我們所說的甜之池的事情
[01383.88-01384.68] 那這些呢
[01384.68-01387.76] 他們都是現有階段平洪的打破者
[01387.76-01390.52] 他們想調起新的戰爭來轉價自己
[01390.52-01393.12] 國內的這些危機或者說
[01393.12-01395.16] 他們想要去做維護席有自己的
[01395.16-01398.40] 把主席等等啊 反正都是有一些不可告人的這種心思了
[01398.40-01401.48] 所以對於現有階段來說 他們就是什麼
[01401.48-01402.48] 否定因素
[01402.48-01406.36] 但是現在呢 依舊處在我們所說的什麼狀態
[01406.36-01410.64] 依舊處在和平狀態 那就是肯定因素大約否定因素
[01410.64-01412.08] 這是現有的這樣的一個階段
[01412.08-01416.56] 那同於我們來看一下 從第24世間大戰一直到新一輪的和平
[01416.56-01419.96] 我們會發現 第24世間大戰是不是否定階段
[01419.96-01424.28] 而他到了和平是不是對於戰爭這個否定階段的否定
[01424.28-01426.28] 所以這是第二次否定
[01426.28-01430.12] 那現有的和平狀態是對戰爭
[01430.12-01432.32] 這一個否定階段的否定
[01432.32-01433.84] 我把的稱為叫做什麼
[01433.84-01436.52] 叫做否定之否定階段
[01436.52-01438.04] 所以你看在這裡他說了
[01438.04-01439.64] 經過了兩次否定
[01439.64-01443.48] 是不是第一次否定和第二次對否定階段的否定
[01443.48-01444.76] 三個階段就是
[01445.52-01446.60] 壞一個顏色
[01446.60-01448.64] 三個階段就是在這裡所說的
[01448.64-01450.04] 肯定階段
[01450.04-01454.80] 第二个 否定阶段以及第三个 否定之 否定阶段
[01454.80-01461.04] 而通过这样的一个发展最终是事务呈现出来的事上升和前军的趋势
[01461.04-01464.68] 说老师对于和平战争和平的他的这样一个点
[01464.68-01468.80] 他的这里面的上升和前进趋势体现干点呢
[01468.80-01471.00] 同样知道 美经过一次
[01471.00-01473.28] 我们所说的这样的一个否定的变化
[01473.28-01475.64] 我们所实现的先一个阶段
[01475.64-01479.88] 他一定会比之前的那个阶段要发展很多
[01479.88-01481.74] 比如说第一次世界大战打完之后
[01481.74-01483.46] 和平没有维续很长时间嘛
[01483.46-01485.06] 就调起了第二次世界大战
[01485.06-01486.98] 而第二次世界大战人打完了之后
[01486.98-01489.52] 现在社会一直处在相对来说
[01489.52-01490.98] 比较平问的战略階段
[01490.98-01493.08] 所以你看人们对于和平的这种
[01493.08-01494.80] 向往对于和平的理解
[01494.80-01496.16] 对于和平这个维护
[01496.16-01498.52] 是比前一个阶段的和平要好很多
[01498.52-01500.04] 那这个就叫做什么
[01500.04-01501.92] 上升和潜静
[01501.92-01503.38] 就叫上升和潜静
[01503.38-01505.10] 只过过程太波折了
[01505.10-01506.24] 所以呈现的是
[01506.24-01509.00] 罗雪是上升和波浪是潜静
[01509.00-01511.00] 所以在这里面大家一定要明确
[01511.00-01514.40] 我们所说的这个否定是否定规律的内容
[01514.40-01516.80] 同时没有从两个角度去理解
[01516.80-01521.10] 第一个要知道否定是否定规律的内容是两次否定三个阶段
[01521.10-01524.00] 大概要对这两个否定三个阶段有所了解
[01524.00-01525.60] 第二个就是经常会考译
[01525.60-01531.00] 它呈现的上升和前进的其实并不是实现上升
[01531.00-01533.90] 这两个点同时没有去给它搞清楚
[01533.90-01536.60] 这个就叫做否定之否定的内容
[01536.60-01538.36] 我们通过否定之否定的内容
[01538.36-01540.60] 其实可以得出这些解论
[01540.60-01542.00] 水泛第一个在这里
[01542.00-01542.60] 他说了
[01543.40-01544.00] 他说
[01544.00-01545.24] 从内容上来看
[01545.24-01546.28] 否定之否定规律
[01546.28-01548.48] 接受的做发展作完善
[01548.48-01549.52] 没有问题
[01549.52-01553.32] 我们所说的是从事物的发展和完善的角度去看
[01553.32-01554.96] 我们刚才举的那个例子
[01554.96-01557.36] 从一站的和平到二站的和平
[01557.36-01558.28] 我们会发现
[01558.28-01559.64] 它有没有上升
[01559.64-01561.08] 有没有进步
[01561.08-01561.80] 当然有
[01561.80-01563.12] 这个就叫做什么
[01563.12-01564.40] 发展和完善
[01564.40-01565.52] 从内容上来看
[01565.52-01568.12] 这个点本身可要请比较弱
[01568.12-01569.36] 大家了解一下就行
[01569.36-01570.52] 第二个他说了
[01570.52-01572.32] 从形式上来看
[01572.32-01574.04] 否定制否定接受的事务
[01574.04-01577.60] 从波浪市前击和罗玄市上升的总区势
[01577.60-01579.24] 这里面大家注意一下
[01579.24-01580.64] 他考察的一个点
[01580.64-01582.68] 就是所谓的从形式来看
[01582.68-01584.32] 就是我们强调的
[01584.32-01587.00] 否定制否定他呈现出来的变化
[01587.00-01591.00] 一定是A,B,A的重形式
[01591.00-01594.16] 而后面这个A它一定比前就阶段要好
[01594.16-01595.76] 若老师这是啥意思呢
[01595.76-01597.64] 这个地方经常就会考察
[01597.64-01598.76] 说一下
[01598.76-01600.76] ABCD4选当中
[01600.76-01603.60] 哪一个符合我们所说的
[01603.60-01604.92] 否定是否定规刃
[01604.92-01606.32] 比如说他给到的
[01606.88-01608.24] 叫做团结
[01609.20-01610.16] 批评
[01611.92-01612.68] 团结
[01614.32-01617.20] 或者我们所说的叫做合平
[01618.80-01619.72] 战争
[01620.96-01621.76] 合平
[01622.16-01623.60] 或者他有给到的叫做
[01623.60-01627.00] 站中和平
[01628.20-01629.00] 站中
[01631.40-01632.56] 就先写这三个吧
[01632.56-01633.84] 来同们来判个一下
[01633.84-01637.28] 这三个哪一个是否定制否定规律的内容
[01637.28-01638.20] 我刚才说了
[01638.20-01640.24] 否定制否定规律在形式的重线上
[01640.24-01641.84] 一定是这OABA式的
[01641.84-01643.04] 那同时们当就说了
[01643.04-01645.04] ABA团阶评认团阶
[01645.04-01645.56] ABA
[01645.56-01647.08] 然后和平站中和平
[01647.08-01648.08] AF和一边
[01648.08-01649.88] 站中和平站中也符合一边
[01649.88-01652.20] 所以很多同一上了就把这三个
[01652.20-01653.48] 全都给我够出来了
[01653.48-01655.48] 那种说话就是啊错的
[01655.48-01656.70] 那老师错那了
[01656.70-01658.08] 我咱们觉得他错了呢
[01658.08-01659.04] 同样注意啊
[01659.04-01660.94] 在形势上他是呈现的
[01660.94-01662.24] ABA的发展模式
[01662.24-01664.48] 但在内容上他一定是什么
[01664.48-01667.18] 一定是发展和玩善的
[01667.18-01668.98] 所以你看团结批评
[01668.98-01671.14] 团结最后落在团结上
[01671.14-01672.38] 团结是好的吧
[01672.38-01674.08] 那他就代表的是发展
[01674.08-01676.72] 战争和平战争和平是好的吧
[01676.72-01678.08] 那他代表的是发展
[01678.08-01680.02] 战争和平战争
[01680.02-01682.36] 那你看在战争里面战争是好的坏的
[01682.36-01685.10] 坏的 价值坏的东西能不能称为发展
[01685.10-01690.30] 不能它不符合否定这否定规律内容上的发展要求
[01690.30-01694.96] 所以在这里能够称为否定这否定规律的
[01694.96-01698.08] 我们所说的这个内容是第一个和第二个
[01698.08-01701.20] 所以同时我们在这里不需要去把它特殊实际
[01701.20-01702.56] 你只需要记得一个点
[01702.56-01705.08] 就是否定这否定规律它承限的是
[01705.08-01707.44] ABA式的这种情况
[01707.44-01711.44] 但ABA的旗电和中典一定是好的才行
[01711.44-01712.98] 一任是好的才行
[01712.98-01717.80] 这个就是我们所说的从内容当中解读出来的考察点
[01717.80-01719.12] 所以总结一下
[01719.12-01720.76] 在否定制否定规律的内容
[01720.76-01722.46] 总结出来了3个点
[01722.46-01724.92] 第一个就是两次否定3个阶段
[01724.92-01727.04] 你大概要理解是啥意思
[01727.04-01728.08] 第二个就是
[01728.08-01730.44] 罗选是上升和波浪是前进
[01730.44-01732.68] 第三个就是从形势上来开始
[01732.68-01733.32] ABA的
[01733.32-01736.08] 但是它的旗变和中点一定是好的
[01736.08-01738.88] 这个地方很容易考一个理解形的体谷
[01738.88-01739.90] 大家知道
[01739.90-01742.72] 这是否定是否定规律的内容
[01744.00-01746.82] 了解了否定是否定规律的内容之后
[01746.82-01747.84] 我们来看一下
[01747.84-01750.66] 否定是否定这个规律它表明了什么
[01750.66-01752.70] 在这里面有两个考虑
[01752.70-01753.54] 第1个是
[01753.54-01757.70] 事务的发展的总方向总趋势是前进的上升的
[01757.70-01759.26] 标准一个圈一
[01759.26-01763.20] 这个点它是一个一星级的判断体的电
[01763.20-01767.20] 原来是在整体的事务发展的趋势上是前进的上升的
[01767.20-01770.02] 这个是社会发展的一个规律
[01770.02-01771.26] 你如果老实这句话
[01771.26-01772.18] 他有什么意思呢
[01772.18-01772.86] 大家注意一下
[01772.86-01775.32] 他用的词是总方向
[01775.32-01777.70] 和总区试是前进的上升的
[01777.70-01779.94] 他有没有说美食美课
[01779.94-01781.54] 都是前进的上升的呢
[01782.54-01783.78] 其实没有的
[01783.78-01784.74] 有些意味着
[01784.74-01786.78] 在数发展的大的方向上
[01786.78-01788.96] 我们可以实现前进和上升
[01788.96-01793.82] 但是在数发展的具体的阶段
[01793.82-01795.10] 大家一定要注意一下
[01795.10-01800.00] 它是可以或者是是可能出現歷史性倒退的
[01800.00-01804.26] 也就是說總方向和總軍日前進的上升的並不意味著
[01806.74-01808.40] 不出現階段型的倒退
[01809.64-01816.60] 並不意味著不會出現階段型的倒退
[01818.14-01821.56] 你說老實都發展了怎麼可能出現階段型的倒退啊
[01821.56-01823.36] 大家注意一下这个发展是什么?
[01823.36-01825.40] 是总的方向和总的趋势
[01825.40-01828.48] 而不是指的是具体的任何一个阶段
[01828.48-01831.28] 比如说这个社会发展的总趋势什么同学吧?
[01832.00-01834.12] 社会主义必疆取代资本主演
[01834.12-01836.00] 最后是在社会主义待点之下
[01836.00-01838.80] 我们最终追求的目标是共产主义吧
[01838.80-01840.00] 所以现在我们说了
[01840.00-01841.52] 社会发展的总的趋势
[01841.52-01843.08] 就是社会主义方向
[01843.08-01844.84] 这个社会生产力所决定的
[01844.84-01845.60] 这就是规律
[01845.60-01846.64] 这是没有办法改的
[01846.64-01847.80] 老师我就不信
[01847.80-01848.64] 我就觉得资本主义好
[01848.64-01849.76] 孙主義好在哪
[01849.76-01851.56] 他是少數人的政治
[01851.56-01852.80] 他怎麼可能是好的
[01852.80-01855.36] 所以孙主義必將會走向滅亡
[01855.36-01857.84] 這是沒有辦法去漢東的
[01857.84-01859.20] 這樣的一個規律和事實
[01859.20-01861.80] 所以社會發展的總的方向和趨勢
[01861.80-01863.68] 就是朝著社會主義方向發展
[01863.68-01866.88] 就是前進的社會主義和上升的社會主義
[01866.88-01869.08] 那我們在發展社會主義的
[01869.08-01871.12] 過程當中在世界範圍來看
[01871.12-01872.56] 他有沒有出現暴退
[01872.56-01873.88] 他是一般風說的嘛
[01873.88-01875.88] 不是他出位出現過倒退
[01875.88-01877.20] 他出現過倒退
[01877.20-01879.76] 注意典型的就是蘇聯媒體
[01879.76-01881.80] 蘇聯原本是受回主義國家
[01881.80-01884.16] 但是在發展的過程中出現了一些問題
[01884.16-01886.16] 最後導致多個具別蘇聯媒體
[01886.16-01889.56] 原本200多個受回主義國家分分垮臺了
[01889.56-01892.56] 只留下了現在的中午朝鮮等等性
[01892.56-01894.16] 四五個小的國家
[01894.16-01894.56] 對吧
[01894.56-01895.32] 所以你看
[01895.32-01897.04] 在整個發展趨勢上我們知道
[01897.04-01898.96] 受回主義必須戰勝資本主義
[01898.96-01900.36] 但是在具體的發展絕端
[01900.36-01902.24] 受出現了接段性的倒退
[01902.24-01904.84] 所以在這裡他出現一個判斷提出說
[01904.84-01907.46] 否定是否定规律表明
[01907.46-01910.32] 受的发展的总的趋势是前进的上升者
[01910.32-01913.92] 就意味着它不会出现历史性倒退
[01913.92-01914.96] 那怎么可能呢
[01914.96-01916.72] 一定会出现历史性倒退的
[01916.72-01919.76] 这个历史性倒退就是区執的体现
[01919.76-01921.76] 所以大家注意一下这是第一个
[01921.76-01925.56] 叫做总的方向和总的趋势前进的上升呢
[01925.56-01927.04] 而它发展的倒入呢
[01927.04-01928.88] 我们说了又是区執的约回的
[01928.88-01931.12] 这个没啥好过多强调的对吧
[01931.12-01932.48] 那这样一下子他给到
[01932.48-01934.56] 说是无发展的过程
[01934.56-01936.24] 松胜所处可以看得出来
[01936.24-01937.76] 树发展的过程是
[01937.76-01940.84] 前进性和驱执性的统一
[01940.84-01942.48] 同样标准一下这句话
[01943.20-01946.04] 两星期的理解性的执实点
[01946.04-01947.52] 两星期的理解性的这点
[01947.52-01949.04] 前进性的驱执性统一
[01949.04-01950.60] 如果看到前进性
[01950.60-01953.32] 一位是树发展好了
[01953.32-01954.72] 这个驱执做前进性
[01954.72-01955.92] 如果看到驱执性
[01955.92-01957.24] 你就在提案当中读出来
[01957.24-01959.64] 它在发展的过程中会遇到一些问题
[01959.64-01961.68] 这个驱执性
[01961.68-01962.44] 所以在这里
[01962.44-01964.68] 他才说前进行区论性的统一
[01964.68-01973.04] 所以在这里要么考察安立,要么考察股文,要么考察和政策热点相结合
[01974.80-01977.56] 这个都有可能成为他的设题的提干
[01977.56-01979.32] 比如说举个简单例子
[01979.32-01980.88] 他之前考语到题目
[01980.88-01983.16] 考的是啥考的是共享经济
[01983.16-01985.80] 当然在共享经济最开始提出来的时候
[01985.80-01987.48] 大家就觉得这个概念非常好
[01987.48-01989.76] 最开始出现了共享初念宝
[01989.76-01993.16] 共享于散,后来出现了我们所说的共享单车
[01993.16-01998.08] 单从过,单车出来就后来其实这个共享经历的发展遇到一些困难
[01998.08-02001.80] 什么样的困难呢?就是这个过往单车最开始推出来的时候
[02001.80-02003.24] 这资源车总丢
[02003.24-02006.08] 它丢的原因要么就是整个车美了
[02006.08-02010.68] 要么就是呢,我们做最车的时候,就是你其车人少码
[02010.68-02014.40] 但那个码就倒不了公司里面,要么就是这个车车换掉了
[02014.40-02015.80] 要么就是车车做的没有
[02015.80-02017.80] 反正就是遇到了很多的问题
[02017.80-02019.40] 大家知道最开始的时候
[02019.40-02020.88] 那种共产带着出来的时候
[02020.88-02022.16] 那个二美马
[02022.16-02024.28] 很多人都贴上自己的二美马
[02024.28-02025.88] 就是在那个车上贴了字
[02025.88-02027.16] 二美马你所的时候呢
[02027.16-02028.68] 微包他用的是什么方法
[02028.68-02029.72] 反正车也能扫开
[02029.72-02031.88] 但钱就进入到了个人账户里面
[02031.88-02033.40] 反正出现了这样一些问题
[02033.40-02034.12] 或者说
[02034.12-02036.88] 人家当时在很多地方那个自然车
[02036.88-02038.72] 第一天投换到市场上之后
[02038.72-02040.44] 第二天那个车没升级量
[02040.44-02042.36] 那其实都是我们所说的
[02042.36-02044.44] 共享进去遇到的挑战
[02044.44-02045.44] 那你看在这里
[02045.44-02051.00] 但随着近几年我们所说的市场运行它不断的这样的一个规范出现
[02051.00-02053.12] 所以国家就针于共享经济
[02053.12-02056.52] 尤其是共享单车的这样的一个平台进行了一个整治
[02056.52-02058.20] 它出台了很多的这个政策
[02058.20-02059.40] 你比如说现在我们说了
[02059.40-02061.04] 你只有在固定的地方
[02061.04-02062.00] 它说给它定位
[02062.00-02064.40] 你就在固定的地方才把那个车锁上
[02064.40-02066.44] 不然的话你就没有办法把车锁上
[02066.44-02070.28] 你是不是退车的造出走那个锁车的那个表
[02070.28-02073.40] 那其实给车家了一个定位就很好地可以解决
[02073.40-02076.20] 共享單車所遇到了問題
[02076.20-02078.30] 然後當時給大安民就是以這個為例
[02078.30-02080.40] 說前期發展很好中間遇到了問題
[02080.40-02082.10] 但是國家即使出台
[02082.10-02083.10] 整治他了
[02083.10-02086.30] 所以導致共享經濟發展進一步玩善
[02086.30-02088.90] 所以現在出現了共享電動車
[02088.90-02091.00] 共享汽車的這樣一個理念
[02091.00-02093.40] 說共享經濟的發展給我們
[02093.40-02095.70] 給我們帶來的哲學歧視是什麼
[02096.70-02097.90] 以這個為例的話
[02097.90-02098.70] 我們就知道
[02098.70-02100.60] 前期發展遇到了問題了
[02100.60-02101.50] 這個叫驅哲性
[02101.50-02103.30] 後來國家整治發展更好了
[02103.30-02105.22] 这个就要做什么 钱进行
[02105.22-02108.02] 所以这个就叫钱进行 去折行啦 同一
[02108.02-02109.30] 他如果考案立的话
[02109.30-02112.14] 你会非常明显的能够在体干当中
[02112.14-02115.26] 体独出有问题解决了
[02115.26-02116.86] 就是类伪正如意思
[02116.86-02119.62] 这个叫钱进行和去折行的同一
[02119.62-02121.22] 当然他也会考一些
[02121.22-02124.46] 这里面拿的钱不在按立和热点上
[02124.46-02125.82] 这里面考得比较难的
[02125.82-02128.14] 其实在什么时候是在顾文上
[02128.14-02130.94] 有一些顾云 你一下子就能感觉到
[02130.94-02132.50] 他是钱进行去折行
[02132.50-02135.54] 比如说山丛水复一物路
[02135.54-02137.34] 六岸花鸣六一村
[02137.34-02137.90] 对吧
[02137.90-02138.78] 我感觉完了
[02138.78-02139.90] 我的走到头了
[02139.90-02141.26] 我都没有看到出口在哪
[02141.26-02143.54] 突然破然开了
[02143.54-02144.86] 六岸花鸣又一村
[02144.86-02145.22] 对吧
[02145.22-02146.42] 这个路由的那首时
[02146.42-02147.22] 你看
[02147.22-02148.42] 山丛水复一物路
[02148.42-02149.94] 是不是驱折
[02149.94-02151.50] 六岸花鸣又一村
[02151.50-02152.78] 是不是解决问题了
[02152.78-02153.66] 这个就叫什么
[02153.66-02154.46] 前进
[02154.46-02155.86] 所以在这里就有了
[02155.86-02157.86] 前进性和驱折性的统一
[02157.86-02160.26] 这是我们能够非常明显的
[02160.26-02161.98] 读出来的这种顾问
[02161.98-02164.42] 比如说保健风从魔力出
[02164.42-02166.34] 没花相子哭汉蓝
[02166.34-02167.62] 保健的风力
[02168.78-02169.66] 这是好的
[02169.66-02170.50] 从哪来了
[02170.50-02171.42] 魔力到处来
[02171.42-02172.42] 魔力代表是什么
[02172.42-02173.18] 虚折
[02173.18-02175.06] 所以像这样的古稳顾文
[02175.06-02177.10] 一下子就能判更出来
[02177.10-02178.26] 反而是美心古稳
[02178.26-02179.22] 不太好判断
[02179.22-02180.86] 你在这里就记一个就行了
[02180.86-02181.82] 你稍微有意义下
[02181.82-02183.94] 就是类似于这样的一种说法的
[02183.94-02185.94] 它也体现了前面就去了现同意
[02185.94-02187.54] 比如说我们所说的
[02187.54-02189.50] 叫做预约曲语
[02189.50-02193.84] 先 女
[02193.84-02195.64] 这个想要拿一个东西呢
[02195.64-02197.94] 我前提是我先给你一个东西
[02197.94-02201.02] 在这里面从拿 都给
[02201.02-02202.30] 它是个两个状态呀
[02202.30-02205.88] 那这两个状态其实如果它不考否定这朋友规律的话
[02205.88-02207.42] 它其实说了两个状态
[02207.42-02211.26] 一给一拿是不是我们所说的一个对立的概念
[02211.26-02213.82] 那这种情况之下其实考的是矛盾
[02213.82-02216.12] 但是我们也知道一个故事
[02216.12-02218.94] 它不可能仅仅值体现一个只需原理
[02218.94-02221.62] 在日期鮮雨的点上
[02221.62-02223.42] 有一年他就令皮吸引了
[02223.42-02224.66] 他就没在考毛巾
[02224.66-02225.86] 而是考的是什么
[02225.86-02229.86] 而是考的是否定之否定规律的前进行程序政行程
[02229.86-02231.10] 若老是开玩笑吧
[02231.10-02233.54] 我上的读出来他是前进去折的呢
[02233.54-02234.22] 大家注意一下
[02234.22-02235.58] 日期鮮雨
[02235.58-02237.14] 你最终的目的是要去
[02237.14-02238.34] 这是你的前进行程
[02238.34-02240.54] 但是你的哪东西
[02240.54-02241.70] 是不是一番风顺的
[02241.70-02243.26] 不是你要鮮雨
[02243.26-02245.82] 鮮雨就要一位付出时间和经历
[02245.82-02247.74] 那付出时间和经历就意味着
[02247.74-02249.02] 你把这个东西搞到手
[02249.02-02250.82] 他就不可能是一番风声的
[02250.82-02251.74] 这个就要做
[02251.74-02252.34] 驱着
[02252.34-02253.82] 所以在古文当中
[02253.82-02254.74] 你只要读出来
[02254.74-02256.14] 我要花心死
[02256.14-02258.58] 花立起去做这件事的时候
[02258.58-02260.54] 他往往都体现的是什么像
[02260.54-02261.82] 驱着性
[02261.82-02263.26] 往往都体现驱着性
[02263.26-02264.66] 所以针对于这个点
[02264.66-02265.66] 一般请完之下
[02265.66-02267.70] 我们从古文当中可以直接判断
[02267.70-02269.50] 但如果没有把直接判断的时候
[02269.50-02270.26] 想一想
[02270.26-02272.06] 花时间花经历的这个词
[02272.06-02272.82] 这个点
[02272.82-02274.62] 其实比较容易
[02274.62-02276.42] 在考试当中出现
[02276.42-02279.40] 他如果一旦出现就是一个新的命题的角度
[02279.40-02281.34] 我们就会觉得有一点生说
[02281.34-02284.34] 那怎么样能够不被这种生输所影响
[02284.34-02288.10] 那就需要我们有一个事先的案例在脑海当中
[02288.10-02289.62] 所以这种预取先语试
[02289.62-02291.30] 那一双老师我还想记得另外一个
[02291.30-02293.42] 那就记,山从水复一路
[02294.70-02297.42] 山从水复一路
[02301.58-02303.50] 留案花名又一村
[02303.50-02307.16] 我不写了,好不好?
[02307.16-02313.70] 在这里,大家就知道,留言,发明日存,就是这两种,一种是非常明显,非常职败的,一种是非常隐会的。
[02313.70-02317.72] 这两个,在世界单位,考试的时候都考试,都考试过。
[02317.72-02325.34] 所以在这里,大家知道,这个就是否定制否定规律,它表明的点,一共两个点,需要大家去掌握。
[02325.34-02329.68] 这个就是我们所说的,否定制否定规律,咱们做一刀题吗?
[02329.68-02331.48] 来看一下这里说了
[02331.48-02334.08] 15发人的总区是前进的上升的OK
[02334.08-02337.88] 这一位的15发人过程当中不会出现区征和导退怎么可能了
[02337.88-02339.08] 它只是一个大的区势
[02339.08-02342.68] 但是在具体的阶段可能会出现稍微的波折
[02342.68-02345.28] 所以这要提说法是错误的
[02345.28-02346.68] 这要提说法是错误的
[02346.68-02350.88] 好,我们来回顾一下我们所说的否定之否定规律
[02350.88-02353.24] 否定之否定规律其实考点规那期来
[02353.24-02354.28] 有这么几乎话
[02354.28-02357.08] 第一个我们从肯定方面和否定方面当中
[02357.08-02358.92] 都出来第一个考点就是
[02358.92-02362.16] 否定是推动收发展的因素
[02362.16-02362.52] 对吧
[02362.52-02364.88] 这个点经常会考察一个叛论体会叛论
[02364.88-02365.52] 选项
[02365.52-02366.80] 那对于否定是
[02366.80-02369.16] 它是促出数滅亡的因素
[02369.16-02371.16] 所以在这里面就要去看看
[02371.16-02372.88] 马斯对于否定的太多
[02372.88-02375.52] 在这里面就出现了变成的否定官
[02375.52-02376.68] 变成的否定官呢
[02376.68-02378.32] 两星期的知识点
[02378.32-02379.16] 一共有两个
[02379.16-02381.16] 第一个是联系和发展的环节
[02381.16-02382.84] 怎么去做题呢
[02382.84-02385.04] 我在这里数给大家提供了一个技巧
[02385.04-02386.08] 这在这里说了
[02386.08-02390.08] 看联系,看前后没有影响,看发展,看后一个这个没有更好
[02390.08-02392.58] 它在前面都会有非常明显的对离在
[02392.58-02394.88] 这个就叫做联系的发展的环节
[02394.88-02397.68] 而变成否定的实质是什么呢?是养弃
[02397.68-02400.08] 我在这里给大家也给了一个技巧
[02400.08-02402.88] 就你看到去出取经济内的表数的
[02402.88-02404.88] 它都属于养弃
[02404.88-02406.28] 那是变成的否定官
[02406.28-02408.28] 那了解了马斯堆否定观念
[02408.28-02411.78] 我们就知道否定推动数发展,如何推动数发展呢?
[02411.78-02414.08] 给到了否定制否定规律
[02414.08-02416.74] 否定制否定规律裡面有這麼幾個考點
[02417.70-02418.68] 打來開一下
[02418.68-02420.36] 第一個從他的內容來看
[02420.36-02423.24] 我們都知道他是螺旋上升和波亂前進
[02423.24-02425.18] 不是只線發展的
[02425.18-02427.78] 因為他經過兩次否定和三個階段
[02427.78-02431.18] 從他的形式呈現來看他是ABA式的
[02431.18-02435.28] 但是這裡面的A7.5重點一定是好的
[02435.28-02438.32] 因為這個地方會考一個理解型的題目
[02438.32-02438.78] 對吧
[02438.78-02440.08] 這個是我們所說的
[02440.08-02441.16] 第四個考點
[02441.16-02443.72] 那从否定制否定规律的内容当中
[02443.72-02444.96] 我们都出来了一个结论
[02444.96-02448.20] 就数了发展是前进行和区者性的统议
[02448.20-02450.88] 这是第2个两星期的考点
[02450.88-02452.52] 考理解性的题目
[02452.52-02453.96] 但是这里的前进行
[02453.96-02456.64] 我们说的是总方向是前进上升的
[02456.64-02458.64] 会出现局部性的导推
[02458.64-02460.48] 而前进区者性的统议
[02460.48-02463.44] 他除了考案例之外会考误
[02463.44-02464.44] 那个古文当中
[02464.44-02465.80] 咱们要注意
[02465.80-02467.00] 只要读出来说
[02467.00-02468.36] 他是花心思
[02468.36-02470.36] 他就代表了是什么区者
[02470.36-02472.24] 所以他考得比较隐会
[02472.24-02474.12] 在中表演会的古文当中
[02474.12-02476.64] 大家要知道怎么去判断他
[02476.64-02480.20] 这个是我们所说的否定之否定规律的内容
[02480.20-02482.96] 一共就是我们所说的五个
[02482.96-02484.44] 我给大家标在细下
[02484.44-02485.68] 就是七个考点
[02485.68-02486.64] 不能再多了
[02486.64-02489.44] 所以在这里面把他们搞定就可以了
[02489.44-02490.80] 两个内容很简单
[02490.80-02492.80] 两个有两星期的内容
[02492.80-02494.00] 两个两星期的内容
[02494.00-02497.36] 这个是我们所说的否定之否定规律的内容
[02497.36-02498.68] 否定之否定规律内容
[02498.68-02499.40] 那种假玩之后呢
[02499.40-02501.50] 整个变政法就完全结束了
[02501.50-02503.40] 我说了在整个变政法当中呢
[02503.40-02505.10] 我们只要讲了两大特征
[02505.10-02507.08] 一个是联系 一个是发展
[02507.08-02508.74] 这是因为束的联系
[02508.74-02510.04] 触接了束的发展
[02510.04-02511.74] 于是我们没让发展展开了
[02511.74-02513.04] 三个方面的讨论
[02513.04-02515.24] 为什么发展对立统一规律
[02515.24-02516.32] 怎么样发展
[02516.32-02517.44] 治亮户变维绪
[02517.44-02519.00] 以及发展到何处去
[02519.00-02521.16] 否定之否定规律
[02521.16-02523.52] 那分别 输立一下他的考察点
[02523.52-02525.12] 两个特征当中的第一个
[02525.12-02528.24] 联系我们第一个得出来联系的关键词
[02528.24-02531.46] 叫做影響第二个分析这种影響
