[00000.00-00003.08] 好的 那我们讲完了前面的内容
[00003.08-00007.04] 其实我们就把整个世界科技发展使得进程给拿出了
[01236.14-01238.10] 第六是前科技革命時期
[01238.10-01240.74] 我們提到了Palice和 Ajimide
[01240.74-01242.30] 還有個班尼加利率
[01242.30-01243.14] 一直到牛頓
[01243.14-01244.90] 他們的成就已經他們的描述
[01244.90-01245.78] 要對應清楚
[01245.78-01247.30] 然後分別提到了
[01247.30-01248.50] 三次科技革命
[01248.50-01252.86] 第一次可以革命他的时间一直到十有世界40年代
[01252.86-01254.64] 对吧,十有十几40年代
[01254.64-01259.00] 然后在这里面我们所提到的它的成就发明理论成就
[01259.00-01263.10] 第二次可以革命,大家要注意一下,它叫电器时代我们也讲了
[01263.10-01267.00] 他的时间从十有世界七十年代开始对吧
[01267.00-01272.30] 一直到二十十几出发明和理论我们说了一定要给他对应上十七
[01272.30-01274.70] 那后面我们也讲了第3次科技革命
[01274.70-01276.26] 是在我们所说的
[01276.26-01278.66] 20世界4510年代
[01278.66-01280.58] 我说了那个时候中国在干嘛
[01280.58-01282.66] 中国才从苦那深入当中走出
[01282.66-01283.94] 但世界已经开始
[01283.94-01285.66] 我们所说的这个科技革命
[01285.66-01287.02] 所以在这一次主要是
[01287.02-01289.54] 原子能的应用已经好像黄黄金技术
[01289.54-01291.38] 注意一下做他的区分
[01291.38-01295.06] 那最后一个我们就讲到了中国的现代科技发展室
[01295.06-01296.74] 好 那我们做一下题目
[01296.74-01299.70] 来看一下这个就是当年国口当中的一道题
[01299.70-01302.10] 说下令目之名有可以让对应错误的事
[01302.10-01302.74] A選项
[01302.74-01304.98] 他把世界翻了一个个
[01304.98-01306.26] 虽然并不完全
[01306.26-01307.26] 说是打耳文
[01307.26-01308.98] 大致一下这个说法是正确的
[01308.98-01309.98] 因为打耳文的什么
[01309.98-01310.98] 进化论
[01310.98-01313.70] 开始去挑战和制约神血
[01313.70-01314.42] 并选项
[01314.42-01316.78] 从苍穷处获得闪电
[01316.78-01318.42] 从暴军处获得明确
[01318.42-01319.70] 苍穷处获得闪电
[01319.70-01320.54] 富朗克里
[01320.54-01321.30] 没有问题
[01321.30-01321.78] 对吧
[01321.78-01322.50] 放风中
[01322.50-01323.42] 风中时间
[01323.42-01325.22] 照顾我从测量天空
[01325.22-01326.70] 现在测量有名
[01326.70-01328.30] 我说是谁天空
[01328.30-01329.58] 天空立法者
[01329.58-01330.22] 开葡萄
[01331.38-01332.54] 而言思塔是什么
[01332.66-01334.18] 在每个世界
[01334.94-01337.26] 在每个前眼介实了一个展现的世界
[01337.26-01338.78] 对吧 就是相对论
[01338.78-01340.78] 最后一个点说他失明了
[01341.22-01343.46] 已经没有啥他没见过的家里略
[01343.46-01345.58] 对吧 从地球观测到了
[01345.58-01346.98] 我们所说的地球之外
[01346.98-01349.86] 所以这到底说法错误的应该是谁选项
[01349.86-01351.10] 第二个看一下
[01351.10-01352.38] 19世界
[01352.94-01355.42] 19世界可以成果说法正确的是
[01355.42-01356.54] 生物精花论
[01356.54-01357.38] 大家来想一下
[01357.38-01358.38] 地底思工有个名样
[01358.38-01361.38] 第一次共有个名 二十六世纪 没有问题
[01361.38-01363.30] 第二个 希望学说的建立
[01363.30-01366.90] 然后说了人类生物本知道理解进入到一个新的隐段
[01366.90-01371.10] 这个 你说老师 我存疑 那我们就先画个问号 对吧
[01371.10-01374.26] 并想 虽然想说你无顿 牛顿是什么时候
[01374.26-01377.50] 牛顿是不是一六几几年 那他不是十九世纪的
[01377.50-01380.90] 家里略 是不是钱科技革命实切 也不是十六世纪的
[01380.90-01385.30] 然后这都是多选题 这说选什么 选AB 那选AB
[01385.30-01389.86] 所以在这里你看他考察的还是什么实际和成就的对应
[01390.26-01392.34] 好 照一下来看一下 照题
[01392.34-01396.02] 说中国近年来取来的科技成就说法错误的事
[01396.02-01397.42] 锅手进万人进
[01397.42-01400.42] 光普获得绿权求最高光普巡天万人进
[01400.42-01401.14] 没问题
[01401.14-01404.22] 深海一号 马里亚海估做底
[01404.22-01405.26] 人类生蝶记录
[01405.26-01406.30] 大众也不是
[01406.30-01407.38] 是奮斗者一号
[01407.38-01408.10] 但这个点了
[01408.10-01409.38] 多少年已经没有考过了
[01409.38-01410.70] 是当年的一个热点
[01410.70-01413.66] 然后思选项说中国散烈中子人
[01413.66-01414.82] 就像超級顯然一樣
[01414.82-01416.02] 可能觀測結構正確
[01416.02-01416.74] 天文1號
[01416.74-01417.74] 火星探測任務
[01417.74-01419.42] 行行外輪族路
[01419.42-01420.26] 也正確
[01420.26-01421.22] 這個天文1號
[01421.22-01422.62] 我們在後面
[01422.62-01424.46] 會大家做詳細的講解
[01424.46-01427.22] 所以照替選擇的是第二個
[01427.22-01428.18] 第三一個點
[01428.18-01429.02] 在這裡他說了
[01429.02-01430.18] 三前定天下
[01430.18-01432.10] 三前指的是前去孫
[01432.10-01432.94] 前一場
[01432.94-01433.54] 前三前
[01433.54-01433.94] 對
[01433.94-01435.38] 選AB
[01435.38-01436.14] C
[01436.14-01437.38] 這個是中國
[01437.38-01438.50] 他整體的一個
[01438.50-01439.18] 我們所說的
[01439.18-01440.38] 科技發展是
[01440.38-01441.18] 最後一個點
[01441.18-01442.54] 就射了一些科技角象
[01442.54-01444.94] 这个科学讲向同们简单看一下就行了
[01444.94-01446.42] 这里面这给大家调掉一个
[01446.42-01447.62] 就是诺贝尔讲
[01447.62-01449.14] 诺贝尔讲它的一个设立
[01449.14-01450.42] 大家都知道是诺贝尔
[01450.42-01451.18] 诺贝尔讲
[01451.18-01454.30] 它原本是诺国讲向物理化学生物一学和品
[01454.30-01461.30] 我们叫做文和物化生文学和品物化生
[01461.30-01463.54] 原本是文和物化生
[01463.54-01466.06] 这个生指的是生理学和一学讲
[01466.06-01467.46] 指揮原本是诺个
[01467.46-01470.34] 这五个当中大助理下是无数学讲的
[01470.34-01472.34] 是不數學獎
[01472.34-01474.18] 因為大家都聽說過說
[01474.18-01476.74] 好像諾貝爾的情理
[01476.74-01478.78] 他就是我們所說的數學獎
[01478.78-01480.34] 所以他是沒有數學獎的
[01480.34-01481.86] 這是第一個打入注意下
[01481.86-01483.38] 這本後來打注意
[01483.38-01485.50] 新增了一個諾貝爾經濟學獎
[01485.50-01486.66] 這是後加的
[01486.66-01488.78] 所以現在諾貝爾講義共是幾個
[01488.78-01491.14] 六所以這是他的一個設立
[01491.14-01492.10] 大家注意下
[01492.10-01494.10] 中國諾貝爾講的人
[01494.10-01496.78] 第一個諾貝爾講的中國
[01496.78-01498.50] 我們所說的
[01498.50-01500.90] 科学家是杨真宁老先生
[01500.90-01501.78] 杨真宁老先生
[01501.78-01504.38] 他的成就原原超酷我们的想象
[01504.38-01507.26] 如果按照我们所说的物理体对来画分的话
[01507.26-01509.26] 杨真宁老先生是第一体对的
[01509.26-01510.74] 第一体对的人都谁呢
[01510.74-01512.46] S他牛顿等等
[01512.46-01514.86] 霍金都还在杨真宁老先生的后面
[01514.86-01516.86] 而杨真宁老先生根据他的理论
[01516.86-01518.46] 配上出来了无数的
[01518.46-01519.24] 我们所说的
[01519.24-01520.70] 诺贝物理学讲的获得着
[01520.70-01522.66] 所以他的贡献非常了不起
[01522.66-01523.86] 所以当时大助一下
[01523.86-01525.64] 他是第一个获得
[01525.64-01529.04] 弄着讲的国人所以这是第一个杨真林老先生
[01529.04-01531.68] 第二 末言大家都知道弄贝尔文学讲
[01531.68-01533.68] 第三个就是徒优优对吧
[01533.68-01535.88] 优优努明实业之平
[01535.88-01536.92] 所以在这里面
[01536.92-01540.00] 清后素 只约紧 获得弄贝尔
[01540.00-01541.44] 生理学或医学讲
[01541.44-01544.16] 这三个人物大家大概能有印象给的对用证
[01544.16-01545.96] 就可以了 这是弄贝尔讲
[01545.96-01547.00] 但是因为弄贝尔讲
[01547.00-01548.20] 设置的讲相有限
[01548.20-01551.96] 所以在各个领域当中都出现了各个领域的弄贝尔讲
[01551.96-01552.76] 比如说在这里
[01552.76-01553.96] 拉斯科医学讲
[01553.96-01555.04] 拉斯科医学讲
[01555.04-01557.00] 在这里被撑成为美国的那边讲
[01557.00-01558.44] 大家注意一个点就行了
[01558.44-01559.92] 这是Lasca醫学讲
[01559.92-01561.16] 它虽然是醫学讲
[01561.16-01562.60] 但它创始人是谁
[01562.60-01563.96] 广告支付
[01564.76-01566.60] 是广告支付Lasca
[01566.60-01568.24] 所以它说Lasca醫学讲是由
[01568.24-01570.60] 醫学家Lasca創造的不对
[01570.60-01574.12] 这个点就只有这一个点靠查过小的细节
[01574.12-01575.20] 分子讲
[01575.20-01577.04] 就知道是和数学有关就可以了
[01577.04-01578.88] 突然讲其算机有关
[01578.88-01580.68] 普利策新闻讲大家都知道
[01580.68-01581.92] 只是各个行业了
[01581.92-01582.88] 它都多别人讲
[01582.88-01585.00] 所以重点在整个科技讲相当中
[01585.00-01587.36] 大家做一年找的一个诺别人讲就行了
[01587.36-01590.26] 其他其实没有什么可以考察的
[01590.26-01592.56] 这个就是要给大家介绍的
[01592.56-01596.72] 我们整体上整个科技发展使它的全部内容
