[00000.00-00002.52] 我们接着来往下看
[01214.40-01215.84] 所以无效怎么去计呢
[01215.84-01218.84] 你看 是不是一样的叫做违反
[01219.12-01220.20] 刚才是步违反嘛
[01220.20-01221.58] 现在反过来叫做
[01221.58-01224.04] 叫做违反强之行规定的
[01224.04-01226.36] 那违反强之行规定就是违反法律
[01226.36-01227.48] 相应的规定的
[01227.48-01230.12] 比如说法律规定说南方22岁
[01230.12-01231.88] 结婚女方22岁结婚
[01231.88-01233.08] 结婚有两个人
[01233.08-01235.16] 南南19岁 女的18岁
[01235.16-01236.16] 去结婚登记
[01236.16-01238.68] 那这个婚姻效率被被法律和人可
[01238.68-01239.76] 不被法律所认可
[01239.76-01240.64] 为什么呢
[01240.64-01243.04] 因为没反强之行规定了
[01243.04-01245.72] 所以在这里叫做違法无效
[01245.72-01246.16] 对吧
[01246.16-01247.12] 違法无效制低个
[01247.12-01247.80] 第二个
[01247.80-01249.56] 違背工序两属的
[01249.56-01251.04] 连市法律行为无效
[01251.04-01251.76] 我们刚才说的
[01251.76-01252.80] 代孕问题
[01252.80-01253.80] 生育问题
[01253.80-01255.36] 甚至我们在现身活当中
[01255.36-01256.84] 我这样看了一个电视剧
[01256.84-01257.60] 叫做什么
[01257.60-01259.00] 好事成说
[01259.00-01260.12] 是有这么一个电视剧
[01260.12-01261.72] 就是这么张小肥眼的
[01261.72-01263.04] 那里面是会讲到了女性
[01263.04-01264.20] 他做的就是说
[01264.20-01265.20] 然后在这个地方
[01265.20-01266.68] 还讲到了我们所说的有关于
[01266.68-01268.16] 和第三者有关的问题
[01268.16-01268.64] 对吧
[01268.64-01269.88] 那你看在现实生活的
[01269.88-01273.46] 他其实有很多的我们所说的这样的一系列的
[01273.46-01275.76] 围反工序凉属的这样的一个情况
[01275.76-01277.06] 那是一到第三者问题
[01277.06-01280.12] 你看像之前的裁判旅当中他就会有这样的一个情况
[01280.12-01281.66] 说这个南方案
[01281.66-01283.70] 然后他有一个在外面
[01283.70-01285.60] 他这个南方案和另外一个女方
[01285.60-01286.78] 他是呼吸关系
[01286.78-01288.56] 比如说小A和小B
[01288.56-01289.84] 他是呼吸关系
[01289.84-01290.88] 然后这个呼吸关系
[01290.88-01293.68] 这个小A南方案就突然有一天在
[01293.68-01297.52] 我们所说的结婚婚内他就又结实了另外一个女性
[01297.52-01300.60] 变和这个女性有了不正当的男女关系
[01300.60-01303.40] 这个人假设我们就称对为他为小C
[01303.40-01307.24] 然后在这个他们两个关系存须的期间
[01307.24-01309.04] 这个小A男房
[01309.04-01311.00] 他就增给了我们所说的什么
[01311.00-01311.96] 这个小C
[01311.96-01314.36] 一个特别贵的一个东西
[01314.36-01316.84] 按比如说给他增了300万钱
[01316.84-01319.04] 或者给他增了一套什么大的比较数
[01319.04-01320.32] 或者给了增了一套数月
[01320.32-01322.36] 反正是家子 家值得不毁
[01322.36-01324.44] 家值不毁
[01324.44-01328.48] 既然事情就被我們所說的這個南方的妻子就知道了
[01328.48-01332.54] 南方的妻子知道了之後就像法院申請說這個南方
[01332.54-01336.46] 終於這個第三者的我們所說的合同無效的
[01336.46-01339.80] 然後就知道測銷這個合同就是說他這個終於合同是不效
[01339.80-01343.14] 法院知不支持這個妻子的政當力
[01343.14-01345.70] 或者反應知不支持這個妻子的宿用情況
[01345.70-01347.46] 他一定會支持的 為什麼
[01347.46-01350.38] 因為說了南方的這個終於行為他為為了什麼
[01350.38-01352.66] 工序兩所 被俗無效
[01352.66-01354.42] 所以在这里面违费违败
[01354.42-01355.74] 违反供取两所事
[01355.98-01356.78] 无销的
[01356.78-01357.58] 大家注意一下
[01357.58-01358.66] 这是我们所说的
[01358.66-01359.90] 第2个无销的
[01359.90-01360.34] 要加
[01360.34-01361.70] 第3一个就是我们所说的
[01361.70-01362.74] 主题不合格败
[01362.74-01363.94] 无名是行为能力人
[01363.94-01366.34] 时时的法律行为一律无销
[01366.34-01367.78] 这是我们前面讲过的
[01367.78-01369.22] 这是第3个点
[01369.22-01370.78] 第4个点就是行为人
[01370.78-01371.30] 相对人
[01371.30-01372.10] 我们刚才说
[01372.10-01375.18] 有销的声效叫是意思表示要真实
[01375.18-01376.70] 是发自你们两个
[01376.70-01378.30] 内心真实的合意
[01378.30-01380.14] 那如果意思表示不真实
[01380.14-01380.74] 那就是什么
[01381.46-01382.38] 虚假的
[01382.38-01384.62] 虚假的明示法律行为怎么样
[01384.62-01385.42] 无效
[01385.42-01386.34] 意思表示
[01386.34-01388.18] 我们前面是要意思表示之时
[01388.18-01388.78] 在这里
[01388.78-01390.78] 虚假的意思表示是什么
[01390.78-01391.66] 无效的
[01391.66-01393.22] 所以在这里带着注意下
[01393.22-01394.98] 说老师那这个虚假的意思表示
[01394.98-01396.02] 它体现在哪
[01396.02-01398.46] 它体现就体现在比如说
[01398.98-01400.82] 我们经常提到的
[01400.82-01402.38] 叫做音氧合同
[01402.38-01403.22] 音氧合同
[01403.22-01405.34] 比如说在音氧合同当中
[01405.58-01406.74] 朋友来分析一下
[01406.74-01407.42] 看一下
[01407.42-01409.14] 音氧合同是否有两个合同
[01409.14-01411.14] 一个是氧合同
[01411.14-01412.54] 一个是音合同
[01412.54-01414.02] 那音行合同存在
[01414.02-01415.98] 那就是音用有很多了吗
[01415.98-01417.86] 你比如说就是他想逃税
[01417.86-01420.98] 然后他想规避一些法律上的一些问题
[01420.98-01422.22] 他就会签电音行合同
[01422.22-01424.06] 那假时现在就两个人
[01424.06-01424.90] 两个人干嘛呢
[01424.90-01427.22] 咱们就也也系维力 对吧
[01427.22-01427.86] 就拍戏
[01427.86-01428.90] 拍戏呢 导演呢
[01428.90-01430.06] 就找到了这个演员
[01430.06-01432.50] 然后找到这个演员的这个演员说来
[01432.50-01433.10] 你拍戏吧
[01433.10-01435.22] 你来拍戏我一极给你
[01435.22-01436.54] 二百零八万 对吧
[01436.54-01439.02] 那这是实际上他们的这样的一个收入
[01439.02-01441.26] 但是大家都知道一极电率20000万
[01441.26-01443.62] 那要是十几个话就20080万
[01443.62-01445.10] 那你这个时候收入特别多
[01445.10-01447.10] 你得脚那的税事委会特别高啊
[01447.10-01449.66] 于是这个导演就和这个演员就说
[01449.66-01451.02] 他说要不咱俩这样
[01451.02-01452.70] 咱來簽訂一個陰陽合同
[01452.70-01453.98] 這個陰陽合同是什麼呢
[01453.98-01455.46] 我給你簽訂一個合同
[01455.46-01456.14] 然後呢
[01456.14-01457.82] 我給你的這個
[01457.82-01459.42] 我們所說的一級多少錢呢
[01459.42-01459.86] 一級呢
[01459.86-01461.26] 我就給你二十萬
[01461.26-01461.82] 好吧
[01461.82-01462.46] 一級呢
[01462.46-01464.22] 我在這個合同當中給你表明二十萬
[01464.22-01466.06] 但是我實際給你多少
[01466.06-01467.26] 2008萬
[01467.26-01468.22] 那這裡面你看
[01468.22-01469.58] 二十萬拍十幾
[01469.58-01470.38] 200萬
[01470.38-01471.38] 那他其實是說就是
[01471.38-01473.02] 少交了很多的睡樣
[01473.02-01474.46] 那在這裡面就會出現
[01474.46-01476.06] 洋合同和陰合同
[01476.06-01477.74] 洋合同是表面上的這個
[01477.74-01478.94] 陰合同是他臘臟
[01478.94-01480.22] 真實合一的意思表達的
[01480.22-01480.70] 對吧
[01480.70-01482.62] 那同们来看一下音阳和同当中
[01482.90-01485.18] 阳和同是不是就是虚假的意思表示
[01486.06-01488.62] 因为双方是不是真是二十万给的
[01488.62-01491.34] 不是所以阳和同就是虚假的意思表示
[01491.34-01492.62] 阳和同有效无效
[01492.82-01493.62] 阳和同无效
[01493.62-01495.62] 你看这不是双方真是意思表达
[01495.78-01497.14] 所以阳和同无效
[01497.14-01498.22] 而音阳和同呢
[01498.30-01499.46] 音阳和同两百零八万
[01499.46-01500.50] 这个才应该是什么
[01500.70-01501.34] 有效的
[01501.34-01503.62] 所以你看以虚假的意思表示
[01503.62-01505.14] 实施的明示法律性为怎么样
[01505.14-01505.74] 无效
[01505.74-01506.62] 因为我们刚才说了
[01506.62-01508.78] 有效的声效就要要意思表示
[01508.98-01509.86] 真是
[01509.86-01510.70] 明白了吧
[01510.70-01512.10] 所以在这里大家要注意一下
[01512.10-01512.90] 这一样合同
[01512.90-01515.66] 甚至包括大家在学习后面的时候
[01515.66-01518.18] 我们在经常会听到
[01518.18-01520.86] 在合同当中会提到一个单暴合同
[01520.86-01523.46] 提到会提到就算让于单暴
[01523.46-01525.22] 让于单暴的意思就是
[01525.22-01527.30] 我从于手里接钱了
[01527.30-01528.66] 从于手里接钱之后
[01528.66-01530.42] 然后你怕我还不停这个钱
[01530.42-01532.82] 于是你跟我签订了一个让于单暴合同说
[01532.82-01534.94] 如果我还不上你的这个钱
[01534.94-01538.22] 你就获得我的这个什么车的所谓权
[01538.22-01539.98] 也就是我还让钱就把我撤拿走
[01539.98-01542.42] 大家签定了这样的一个让你单独合同
[01542.42-01543.58] 那这个让你单独
[01543.58-01546.74] 你看它其实名为让雨10位单独
[01546.74-01548.74] 名为让雨的话就是你看
[01548.74-01551.02] 我说你借我十万块钱就OK
[01551.02-01552.34] 但是你怕我还不上
[01552.34-01553.14] 你说那怎么办
[01553.14-01555.30] 我说那我把我的车卖给你
[01555.30-01557.34] 那你看我是不是真的是想把车卖给你
[01557.34-01559.58] 不是这个卖给你的车
[01560.22-01561.34] 请本质上是什么
[01561.34-01562.74] 是为你提供单独的
[01562.74-01564.18] 所以让雨单独
[01564.18-01565.70] 名为让雨10位单独
[01565.70-01567.18] 它里面其实是有两个合同
[01567.18-01569.54] 第一個合同就是奶麥合同
[01569.54-01570.82] 說把車賣給你
[01570.82-01573.50] 但賣給你的車是單寶問題的十萬塊錢
[01573.50-01573.90] 對吧
[01573.90-01575.82] 所以第二是單寶合同
[01575.82-01576.90] 他們來看一下
[01576.90-01578.30] 在讓與單寶當中
[01578.30-01579.42] 這個讓與合同
[01579.42-01581.18] 這個買麥合同有效無效
[01581.58-01582.34] 無效
[01582.34-01584.30] 因為我是真的想把車賣給你們
[01584.30-01586.38] 不是我的真實的意思表示是什麼
[01586.38-01588.34] 我真實的意思表示是想
[01588.34-01589.94] 單寶這十萬塊錢
[01589.94-01590.22] 對吧
[01590.22-01591.26] 你泡黃不上嗎
[01591.26-01592.38] 所以在這裏你看
[01592.38-01594.14] 買麥合同有效無效
[01594.14-01594.26] 無效
[01594.26-01595.94] 虛假的意思表示
[01595.94-01596.66] 明白了吧
[01596.66-01598.42] 所以在这里只要不是双方
[01598.42-01599.94] 出自于真实义词表示的
[01599.94-01600.86] 那他都是什么
[01600.86-01601.70] 无效的
[01601.70-01604.02] 虚典的意思表示是无效
[01604.02-01606.18] 所以在这个地方大家注意一下
[01606.18-01608.06] 这些我们所说的第四个
[01608.06-01609.22] 虚典的意思表示
[01609.22-01610.90] 是民事法的行为无效
[01610.90-01612.46] 最后一个点就是
[01612.46-01614.10] 叫行为人与相对人
[01614.10-01616.66] 坏下叫做恶意也串通
[01616.66-01617.54] 恶意串通所
[01617.54-01620.82] 还他人合法权异的民事法的行为是无效的
[01620.82-01623.50] 这个就叫做串通无效
[01623.50-01624.58] 叫串通无效
[01624.58-01626.66] 也在这里面的恶意传统指的是什么
[01626.66-01629.54] 指的是行为人和相对人互相勾结
[01629.54-01630.66] 某取死力
[01630.66-01633.54] 在现生活当中最为常见就吃回口的事
[01636.10-01638.26] 最为常见的就是吃回口
[01638.26-01640.34] 这个虚党意思表示最为常见的就是
[01640.34-01641.14] 印象和同
[01641.14-01644.26] 同时没可以在释当的地方去记一些相应的案例
[01644.26-01646.66] 可能会帮助大家更好的理解
[01646.66-01648.50] 那这个吃回口是咋回事
[01648.50-01649.30] 大家也都知道
[01649.30-01651.06] 现在假设有一个公司
[01651.06-01654.18] 现在有一家A公司
[01654.18-01659.26] A公司他这个时候他要和B公司签订有一个买卖合同
[01659.26-01663.30] 那什么呢?假设B公司是提供B字的吧
[01663.30-01664.62] 好吧提供B字了
[01664.62-01667.44] 然后A公司他是以料公司或蔡营斯
[01667.44-01670.06] 反正他就要从B公司去买B字
[01670.06-01674.46] 那这种情况这叫他们A公司和B公司就会签订有一个买卖合同
[01674.46-01676.98] 但是你这么大的公司去买东西
[01676.98-01678.50] 那吃不在有一个彩共云
[01678.50-01682.26] 所以A公司就派谁呢?A公司就派这个小A
[01682.26-01684.50] 这财购所以小蝶就财购了
[01684.50-01687.30] 所以大家在日常生活中经常说马船
[01687.30-01689.30] 有一些港类那些肥的流油
[01689.30-01691.02] 对吧 那肥的流油的这些港类
[01691.02-01692.62] 那财购其实就算其中一个
[01692.62-01694.42] 因为它很容易怎么样 吃回口
[01694.42-01696.42] 然后呢 它就派小蝶去财购
[01696.42-01698.46] 派小蝶去财购其实财购的这件事情
[01698.46-01700.30] 是不是就全全交付给小蝶了
[01700.30-01702.22] 然后全全交付给小蝶之后
[01702.22-01704.90] 然后在这个地方小蝶就和闭公司就商量了
[01704.90-01707.66] 它说你看 你想赚钱 我也想赚钱
[01707.66-01709.34] 那这个情况之下
[01709.34-01711.46] 咱们在这个杯子的定下上
[01711.46-01713.70] 是不是就可以商量一下
[01713.70-01714.28] 对吧
[01714.28-01716.14] 于是两人就开始商量
[01716.14-01716.94] 商量的话呢
[01716.94-01719.06] 当时A公司给到的一个底架是多少呢
[01719.06-01720.54] 一个B字20分钱
[01720.54-01721.98] 对吧20分一个B字
[01722.50-01724.18] 这个呢就是公司的底架
[01724.18-01725.38] 就是你这个B字
[01725.38-01726.94] 价格在高能找不透过20
[01726.94-01728.10] 你这里怎么都行
[01728.10-01729.34] 然后他就给到了说
[01729.34-01731.18] 我们采购的B字20分钱一个
[01731.18-01733.46] 但是小A和B公司去商量的时候
[01733.46-01734.38] 他说你看这样
[01734.38-01736.46] 那能不能咋俩再去采购B字的时候
[01736.46-01737.38] 你实际收
[01737.38-01738.10] 你只收多少钱
[01738.10-01739.10] 你只收五块钱
[01739.62-01739.94] 对吧
[01739.94-01740.98] 你只收五块钱
[01740.98-01742.78] 然后我还二十块钱爆价
[01742.78-01745.34] 然后这中间是不是有15块钱的价差
[01745.34-01747.02] 那这15块钱的价差怎么样呢
[01747.02-01747.94] 咱俩平分
[01747.94-01749.18] 那B公司一听我现在呢
[01749.18-01750.34] 那这行啊对吧
[01750.34-01751.14] 一方面呢
[01751.14-01752.14] 我一点也没虧
[01752.14-01752.94] 另外一方面呢
[01752.94-01753.86] 我在这个过程当中
[01753.86-01755.30] 我还能吃吃一些回头
[01755.30-01756.58] 两人一拍几乘
[01756.58-01757.50] 这个就属于什么
[01757.50-01759.10] 这人就属于行为人
[01759.10-01761.06] 和相对人恶意传通
[01761.06-01763.18] 損害A公司的权益
[01763.18-01765.18] 你恶意传通損害他人权益
[01765.18-01766.82] 这商店汉里对不对
[01766.82-01768.90] 这商店汉里的社会法律的弄同业
[01768.90-01769.46] 不同意
[01769.46-01772.28] 所以这样的行为怎么样无效
[01772.28-01774.94] 所以你看有效和无效的面是法律行为
[01774.94-01776.58] 同一们怎么解决对着解
[01776.58-01778.50] 只要他不符合生效要加
[01778.50-01779.50] 他就一定是什么
[01779.50-01780.82] 他就一定是无效的呀
[01780.82-01783.34] 所以在这里面刚才我们所说的这个
[01783.34-01786.10] 有效的面是法律行为叫做强功主义
[01786.10-01788.10] 强强强这行功义定
[01788.10-01791.10] 功去两所主体合格
[01791.10-01793.30] 然后意意思表示真实
[01793.30-01795.74] 那如果意思表示不真实就是虚假的
[01795.74-01798.10] 虚假的意思表示是无效的一样合同
[01798.10-01801.68] 那在我们所说的这个无效过程要加入多了一个
[01801.68-01803.22] 这是什么恶意传通
[01803.22-01804.90] 所以我们叫做强工主义
[01805.62-01807.94] 所以我们判断他有效还是无效怎么判断
[01807.94-01810.82] 同学们一个要介意一个要介意的去分析
[01810.82-01811.42] 明白吧
[01811.42-01813.06] 一个要介意一个要着王里对
[01813.06-01814.42] 做这样的提的时候
[01814.42-01815.50] 你不能紧张
[01815.50-01816.26] 你也不能说
[01816.26-01817.74] 哎呦我就平衡一向热情
[01817.74-01819.46] 一个要介意一个教教王里对
[01819.46-01821.66] 有效和无效的民事法里行为
[01821.66-01822.94] 你要对比去看
[01822.94-01823.90] 你要对比去看
[01823.90-01825.74] 因为他们就是一体两面
[01825.74-01827.62] 所以在这里他不夸案例的时候
[01827.62-01829.86] 就判斷或出现这种情况就行了
[01829.86-01831.34] 我们在世界单位考试的时候
[01831.34-01832.70] 不会考的特别的复杂
[01832.70-01834.66] 所以你只要把这个鸟件记住了
[01834.66-01835.58] 那一般情况之下
[01835.58-01838.74] 你只能够判断出来这个行为的效力的
[01838.74-01842.10] 这个就叫做无效的明师法律行为
[01842.10-01843.10] 好
[01843.10-01845.98] 这两个就知道一共九个在强功努力
[01845.98-01847.58] 会强功主义恶
[01847.58-01849.46] 这个就是有效和无效
[01849.46-01851.86] 那我们说了有关于明师法律行为的效力
[01851.86-01853.42] 它除了有效和无效之外
[01853.42-01854.82] 它还有两种情况
[01854.82-01858.86] 一种叫做效力带定 还有一种叫做可撤销
[01858.86-01862.62] 那啥就个效力带定呢 效力带定啊 就是一个人
[01862.62-01865.94] 他做了一个事 但是他做了这个事 他到底
[01865.94-01870.46] 或不合得法律上的任何保护 这件事呢 选而为决
[01870.46-01874.02] 没啥选而为决呢 他可能需要第三人的追任
[01874.02-01880.62] 举个简单的例子来说吧 比如说现在15岁的15岁的小A
[01880.62-01884.34] 是否最小的 老以前的家里 手副
[01884.34-01887.06] 就没死了 这些仙手副
[01887.06-01888.66] 好吧 反正就是贼有钱
[01888.66-01891.62] 家里特别有钱 所以小业从小世兵圈入分土
[01891.62-01895.34] 所以是否最小业突然就有心疑的女孩子
[01895.34-01898.66] 他们搬击里的同学 小花 长得特别好看
[01898.66-01901.50] 这些美呀 对吧 学习又好长得好看 性格又好
[01901.50-01902.66] 这样人没人不爱
[01902.66-01905.62] 所以这个小业就想喜欢这个小花
[01905.62-01907.34] 然后他就想和小花做朋友
[01907.34-01910.32] 然后单身小花平时就和小爷也不太说话
[01910.32-01911.18] 小爷想着
[01911.18-01913.70] 那我默不如在这个过程当中
[01913.70-01915.78] 就咱就是说送个礼
[01915.78-01917.18] 对吧 男人家的手段
[01917.18-01918.22] 成家的嘴断
[01918.22-01918.94] 那这个时候
[01918.94-01920.42] 说不定就能交上朋友了
[01920.42-01922.06] 于是这个数字的小爷
[01922.06-01923.78] 就从家里拿了多少钱
[01923.78-01925.46] 从家里拿了20万
[01926.46-01927.78] 拿了20万元
[01927.78-01929.74] 然后去商店里
[01929.74-01931.70] 买了一个
[01932.10-01933.10] 借质吧
[01934.18-01935.34] 买了一个借质
[01935.34-01936.78] 什么借质 只20万
[01936.78-01938.78] 就只还网了那个简直
[01938.78-01941.26] 就买了一个戒指之后
[01941.26-01943.18] 然后他就把这个戒指拿回家了
[01943.18-01947.02] 就准备把这个戒指送给谁送给这个小花
[01947.02-01949.10] 但是还没有等到送给小花的时候呢
[01949.10-01951.26] 这时候他的父母就一看说
[01951.26-01953.66] 你这个你的这个账互上怎么少了
[01953.66-01955.26] 20万的零花钱呢
[01955.26-01957.26] 然后这个小一就说了
[01957.26-01958.86] 说这20万的零花钱
[01958.86-01960.46] 我去拿来买东西了
[01960.46-01961.58] 那在这里面
[01961.58-01962.78] 他们还问卖啥了
[01962.78-01963.58] 他说买了个戒指
[01963.58-01965.50] 然后就把这个经过给他说了一下
[01965.50-01967.38] 那这里面就会存在一个问题
[01967.38-01971.10] 就是这个小A它拿20万去买戒指的这个行为
[01971.10-01973.14] 它到底有没有效率
[01973.14-01976.54] 那这种情况之下不能从小A自身所了算
[01976.54-01978.38] 就是它是有效无效的
[01978.38-01980.66] 那这个买戒的这个钱是能要回来的
[01980.66-01981.82] 还说就不要了
[01981.82-01982.82] 它其实是一个什么
[01982.82-01984.86] 效力带定了这样的一个名式法律行为
[01984.86-01986.26] 那这个名式法律行为
[01986.26-01987.38] 它是否要生效
[01987.38-01988.10] 就要干了呢
[01988.10-01990.74] 就要看第三人是否做出
[01990.74-01991.42] 主义人
[01991.42-01994.34] 如果说小A买20万买了戒指这个钱
[01994.34-01995.62] 对吧咱们前面也大家说过
[01995.62-01996.10] 他们说
[01996.10-01997.54] 你真是对不对
[01997.54-01999.54] 他们对儿子的行为表示散头
[01999.54-02001.46] 所以机制勇敢又聪明
[02001.46-02002.54] 去就二十万而已
[02002.54-02003.82] 交了朋友非常值得
[02003.82-02004.70] 他们说行了
[02004.70-02006.18] 把戒指拿出去送人吧
[02006.18-02007.66] 那这种情况之下你看
[02007.66-02008.94] 其实他的母亲
[02008.94-02010.14] 也就是小A的什么
[02010.14-02010.78] 监护人
[02010.78-02013.46] 也就是我们在这个含一当中提到了第三人
[02013.46-02015.66] 他其实是对小A的行为做了一个什么
[02015.66-02016.38] 指认
[02016.38-02018.58] 如果他追认了小A的行为
[02018.58-02020.10] 那小A去拿钱
[02020.10-02020.94] 买戒指这个行为
[02020.94-02021.54] 他就是什么
[02021.54-02023.22] 他就是有效的
[02023.22-02024.10] 如果
[02024.10-02026.26] 他妈妈在这种情况之下说什么呢说
[02026.26-02028.74] 你花二十万给人买了一个戒指
[02028.74-02029.90] 你真的是
[02029.90-02031.46] 你咋好意思呢
[02031.46-02033.14] 你简直是丢咱们的脸
[02033.14-02035.06] 去去二十万的戒指能配上人家吗
[02035.06-02036.50] 来你把这个戒指给我推了
[02036.50-02037.38] 那这种情况之下
[02037.38-02039.14] 他妈妈是代表是表示的什么
[02039.14-02040.50] 是表示的拒绝
[02040.50-02042.02] 那这有时候合同怎么样
[02042.02-02042.82] 合同无效
[02042.82-02044.18] 他妈妈的宣传戒指给我推了
[02044.18-02046.18] 然后我们买一个100万的
[02046.18-02047.46] 那你看这种情况之下
[02047.46-02048.82] 他就要拿着这个戒指
[02048.82-02050.58] 和他妈妈一起去到戒指店
[02050.58-02051.78] 然后在这种情况之下
[02051.78-02053.54] 把戒指交房给戒指店
[02053.54-02055.08] 然后把这二十了拿回来
[02055.08-02056.88] 他们在去别的店里买个100万的
[02056.88-02058.42] 那一看在这个地方
[02058.66-02060.10] 小A的这个行为
[02060.10-02061.72] 到底是有效无效的
[02061.72-02062.64] 说不说的准
[02062.64-02063.54] 不一定
[02063.54-02064.80] 它的效力状况不一定
[02064.80-02065.50] 要干嘛
[02065.50-02066.46] 第三人之人
[02066.46-02067.82] 那这种就要有什么
[02067.82-02068.54] 效力
[02068.54-02069.42] 带定的
[02069.42-02070.38] 民事法定行为
[02070.38-02071.72] 那效力带定的民事法定行为
[02071.72-02073.62] 行为大家注意下只有两种情况
[02073.62-02076.02] 这两种情况其实有一种咱们还讲过了
[02076.02-02077.22] 就是我刚才所说的
[02077.22-02079.38] 就做现实民事行为能力人
[02079.38-02081.54] 超越能力范围所实施的
[02081.54-02083.06] 双方民事法定行为
[02083.06-02084.70] 咱们前面是不是讲过
[02084.70-02086.82] 迷事行为能力的地方
[02087.94-02092.02] 超越它的能力范围的双方的迷事法律行为
[02092.02-02093.42] 效力怎么样 效力带定
[02093.42-02094.82] 这是第一种情况
[02094.82-02096.42] 这是咱们前面讲过的
[02096.42-02098.26] 你要把这个情况去给它记住
[02098.26-02099.30] 那这是第一个
[02099.30-02100.74] 那第二个情况是啥呢
[02100.74-02102.10] 就是效力带定的合同
[02102.10-02103.02] 还有一种情况
[02103.02-02104.94] 就是在后面会来讲到的决锅
[02104.94-02106.42] 无权带理行为
[02106.42-02107.30] 无权带理呢
[02107.30-02109.26] 它说行为人没有带理权
[02109.26-02111.58] 超越带理权或者带理权中之后
[02111.58-02113.26] 仍然使时带理行为的
[02113.26-02114.40] 这种情况之下
[02114.90-02116.62] 未被追认的
[02116.62-02118.06] 不发生效力
[02118.06-02119.26] 我们再后面会讲到
[02119.26-02121.82] 比如说你原本是我公司的员工
[02121.82-02122.18] 对吧
[02122.18-02123.26] 我为啥当你来员工
[02123.26-02124.14] 助理这个人
[02124.14-02125.86] 会来事主要铁
[02125.86-02127.26] 会办事又能力特别想
[02127.26-02128.94] 所以我当时赵里面员工
[02128.94-02131.14] 但在这里面又一个不好的一个点
[02131.14-02131.94] 就是什么点的
[02131.94-02134.10] 就是你总想有一些小信息
[02134.10-02135.10] 不谋调调的
[02135.10-02137.42] 结果你后来这个小信就给公司带来了
[02137.42-02138.58] 一系列的损司
[02138.58-02141.10] 那我之前愿意用你认用你的时候
[02141.10-02145.02] 我是不是经常会让你未脱女去给我采购或者是办理各种各样的事业
[02145.02-02149.50] 我会给你一些委脱的或者是给你一些代理的受权
[02149.50-02153.82] 但是如果你一旦被辞职了 被解僱了 代理权被拿下了之后
[02153.82-02155.82] 在这里面是没有代理权限的
[02155.82-02157.26] 但是会存在一个问题
[02157.26-02159.02] 就是由于出于交易习惯
[02159.02-02161.90] 比如说像刚才小A去采购杯子这个情况
[02161.90-02163.98] 每次去买杯子都是女去
[02163.98-02165.74] 每次去买杯子都是女去
[02165.74-02168.54] 安区了 能够有十几十几次了
[02168.54-02172.30] 所以B公司一看到你他的本能反应就是AB子来了
[02172.30-02173.58] 对吧,钱来了
[02173.58-02174.78] 所以在这里面你看
[02174.78-02176.30] 出于交易习惯
[02176.30-02178.62] 那B公司他会认为你是有什么
[02178.62-02180.38] 你是有代理权的
[02180.38-02182.06] 但是现在你以为你已经被我怎么样
[02182.06-02183.26] 你已经被我开除了
[02183.26-02184.78] 那你这种情况之下你看
[02184.78-02186.30] 你就处在一个什么情况
[02186.30-02188.62] 你就处在一个没有代理权
[02188.62-02190.62] 超越代理权会代理权中止之后
[02190.62-02192.86] 然后你知道你自己被公司开除了
[02192.86-02194.78] 你害个人家那个地方去
[02194.78-02197.10] B公司去签订过买B子的学业
[02197.10-02199.02] 你说来给我来两万个杯子
[02199.02-02200.46] 帐挂在A公司上
[02200.46-02201.86] 然后就拿杯子就跑了
[02201.86-02203.58] 那这个帐挂在A公司上
[02203.58-02205.86] 我作为A公司我到底要不要付钱
[02205.86-02208.30] 那就要看师傅追认
[02208.30-02210.70] 所以在这里你看没有带里权
[02210.70-02211.22] 对吧
[02211.22-02211.74] 没有带里权
[02211.74-02213.46] 比如说你被开除了超越带里权
[02213.46-02214.66] 我只让你去买杯子
[02214.66-02215.82] 结果你去B公司过
[02215.82-02217.26] 买了很多的马桶回来
[02217.26-02218.10] 这个就要什么
[02218.10-02219.06] 超越带里权
[02219.06-02220.58] 以及带里权中止之后
[02220.58-02222.18] 比如说你在采购这一次之后
[02222.18-02223.74] 你就没有任何的带里权了
[02223.74-02225.54] 那这种叫做带里权中止之后
[02225.54-02226.54] 你都没有权利了
[02226.54-02227.56] 你仍然去做
[02227.56-02230.12] 然后买完东西还告诉人家非常账理说
[02230.88-02232.04] 长期合作对吧
[02232.04-02233.58] 然后把账挂在一公司上
[02233.58-02235.94] 那我这个A公司到底要不要付钱呢
[02236.26-02238.04] 那这种情况之下叫做什么
[02238.04-02238.84] 效力带定
[02238.84-02241.90] 要不要付钱要看A公司到底追不追认
[02242.14-02243.70] A公司如果追认说行吧
[02244.20-02246.26] 就是那他就是
[02246.76-02248.48] 把这个东西都已经定了
[02248.48-02250.48] 我们出于承训原走把钱付给你
[02250.48-02251.38] 然后我们再相
[02251.64-02253.00] 这个第三方去追查
[02253.00-02254.18] A公司把钱付给你
[02254.18-02255.72] 那这就叫我A公司
[02255.72-02257.72] 承認了他的無權代理
[02257.72-02260.06] 這個他的這個合同就是什麼
[02260.06-02260.62] 優效的
[02260.62-02263.52] 人家拿走了兩個杯子就帶有A公司來付款
[02263.52-02265.16] 如果A公司他現在
[02265.16-02268.78] 你拿著B公司拿著這個兩萬塊錢
[02268.78-02269.30] 兩萬塊錢
[02269.30-02270.56] 拿著這個買賣合透
[02270.56-02273.38] 說來購把這兩萬塊錢的杯子副一下款
