[00000.00-00006.96] 好了 同学们 讲完了实现中华民族伟大夫星的唯一体和四个全面之后呢
[00006.96-00011.12] 接下来看下第三个部分 就是实现中华民族伟大夫星
[00011.12-00013.12] 需要哪些重要的保障
[01181.34-01183.42] 比如说你在三个当中穿行的时候
[01183.42-01185.10] 你的这个形劲速度
[01185.10-01186.78] 就指定不会像我们原本的
[01186.78-01187.98] 比如说在平原上
[01187.98-01190.10] 会在山地当中做战这么方便
[01190.10-01192.42] 所以在这里面它会有一定的限制
[01192.42-01194.70] 而中国的军队的机器化的发展
[01194.70-01197.58] 其实在我们所说的早期年的时候
[01197.58-01199.38] 比如在1985年之前
[01199.38-01201.98] 中國是沒有一直機械化集團軍的
[01201.98-01204.98] 但那個時候對比周邊的一些國家就會發現
[01204.98-01208.48] 周邊國家的軍隊他的整體的這樣一個機械化的程度
[01208.48-01210.48] 是中國的一輩到六北
[01210.48-01214.68] 也是中國在1985年之前沒有機械化集團軍的時候
[01214.68-01217.48] 同期的其他的國家已經開始在發展什麼
[01217.48-01220.68] 機械化的這樣的一個我們所說的軍隊發展了
[01220.68-01222.58] 而那個時候同期的美國
[01222.58-01224.68] 他為了掌握未來戰爭的阻斷權
[01224.68-01227.64] 他不仅机械化他已经率先体出了叫做
[01227.64-01230.04] 信息化战争的这样一个概念
[01230.04-01233.44] 所以那个时候我们的国防相对于其他的一些国家
[01233.44-01235.84] 相对来说比较发展比较好这种国家
[01235.84-01239.16] 我们都知道从这样的一个角度来看相对来说就会怎么样
[01239.16-01240.32] 就会弱一些
[01240.32-01244.64] 所以中国的机器化实现的相对来说起步就会比较外
[01244.64-01246.96] 所以在1985年的时候我们就开始说了
[01246.96-01249.72] 我们要成立第一批机器化的机团局
[01249.72-01250.96] 机器化机团局
[01250.96-01253.84] 我们说了既然是机器化军队
[01253.84-01256.44] 它的整体的作战能力
[01256.44-01260.04] 我们所说的单兵的设备以及我们所说的整个武装的水平
[01260.04-01264.36] 都一定是向上提升了很大的这样的一个水平的
[01264.36-01264.80] 对吧
[01264.80-01267.64] 我们所提到的机械化它的一个军队
[01267.64-01269.16] 它最明显特点就是什么
[01269.16-01270.56] 就是机动能力向
[01270.56-01271.48] 这个机动能力向
[01271.48-01272.80] 就是你在哪个地方
[01272.80-01273.80] 你都能怎么样
[01273.80-01274.80] 你都能行
[01274.80-01277.92] 比如说公路上草地上草原上
[01277.92-01278.80] 花夜上
[01278.80-01279.80] 地形复杂上
[01279.80-01280.68] 你都能实现
[01280.68-01281.04] 对吧
[01281.04-01282.40] 这个时候你的作战能力
[01282.40-01285.80] 原源是比我们所说的之前的那种要强很多的
[01285.80-01287.76] 第二个就是我们所说的
[01287.76-01292.00] 机器化它的一个军队的一个发展和实现
[01292.00-01293.88] 它的防御能力也一定怎么样
[01293.88-01295.00] 一定特别强的
[01295.00-01296.76] 所以在最开始逃2020年的时候
[01296.76-01298.72] 我们说了基本实现什么机器化
[01298.72-01300.76] 一只全军的这样的一个坐在水平
[01300.76-01305.36] 你的武器装备都提升全面提升到另外一个檔次上
[01305.36-01308.36] 那这是在2020年我们叫机本实现什么化
[01308.36-01309.96] 机本实现机器化
[01309.96-01314.08] 但是单单只实现机器化会不会足以应对未来
[01314.08-01316.00] 比如说我们所说的
[01316.00-01319.88] 局务认定也好或者不确定性好所带来的这样的风险挑战
[01319.88-01321.20] 其实不足应对的
[01321.20-01323.60] 所以到了2017年到今年百年的时候
[01323.60-01325.04] 就在2020年实现之后
[01325.04-01327.16] 到2017年的时候我们就提到了说
[01327.16-01328.60] 今年百年的份动物标
[01328.60-01329.44] 我们要干嘛呢
[01329.44-01331.64] 要加快机器化
[01331.64-01334.44] 信息化以及智能化的融合发展
[01334.44-01336.64] 也是在原本的机器化的技术上
[01336.64-01337.80] 我们又提到了什么
[01337.80-01339.48] 信息化还有智能化
[01339.48-01341.12] 智能化现在都不用说了
[01341.12-01344.08] 我当时在军事柏管的时候就看到了
[01344.08-01345.36] 就是你毛力去走
[01345.36-01347.04] 他有什么牆梯的展体
[01347.04-01348.24] 有炮的展体
[01348.24-01349.24] 什么飞机等等
[01349.24-01350.32] 你走到最后一个地方
[01350.32-01351.96] 他有其他的一些
[01351.96-01353.04] 还有一个展体
[01353.04-01355.04] 你们就是单兵作战装备
[01355.04-01356.56] 在单兵作战装备当中
[01356.56-01358.00] 他就提到了智能化
[01358.52-01361.48] 对于我们所说的整体战斗力的这样一个提升
[01361.68-01362.52] 智能化
[01362.52-01363.64] 对我们的生活并目的
[01363.64-01364.44] 上一笔说你看
[01364.44-01365.72] 你现在的手机
[01365.72-01366.88] 它是不是都是智能手机
[01366.88-01368.88] 对于我们所说的做战来说
[01368.88-01370.58] 他也必須要這樣一些什麼
[01370.58-01372.46] 設備在你都居網絡
[01372.46-01373.48] 怎麼去搭建
[01373.48-01374.58] 等等這些
[01374.58-01376.26] 然後我們靠這些智能化的設備
[01376.26-01377.68] 可以去預測
[01377.68-01378.78] 這實現很多
[01378.78-01380.96] 所以在這裡面智能化比較好理解
[01380.96-01381.62] 關鍵是
[01381.62-01383.74] 他在27年的目標當中
[01383.74-01385.68] 他提到了是要加快什麼
[01385.68-01386.80] 三化的融合
[01386.80-01389.70] 最三化除了機械化和智能化之外
[01389.70-01391.44] 他提到了一個信息化
[01391.44-01392.44] 這個信息化
[01392.44-01393.88] 他主要是以數字化
[01393.88-01396.16] 電子裝備和機械化主張武器
[01396.16-01398.00] 作為主導的這樣的一些設備
[01398.00-01401.72] 比如说你的数字画的电子设备
[01401.72-01403.32] 它可以干嘛控制指挥
[01403.32-01405.76] 你的情报搜查是可以从这来
[01405.76-01407.60] 或者它可以主管一些什么
[01407.60-01410.16] 通讯电子对抗等等这一系列的
[01410.16-01412.36] 所以它是应未来
[01412.36-01414.56] 军队发展的这样一个实需要的
[01414.56-01416.28] 如果是在数字画战场上
[01416.28-01418.48] 它的作战能力会有很大的提升
[01418.48-01421.00] 比如说正常的一门常规的
[01421.00-01423.60] 它能够发射我们所说的
[01423.60-01427.12] 多种炮弹一门常规的这样的一个
[01427.12-01428.40] 我们所说的火泡
[01428.40-01429.94] 它的这个作战能力
[01429.94-01431.94] 如果是在我们所说的这种
[01431.94-01433.60] 数字化的战场上的话
[01433.60-01436.72] 它可以相当于一个常规刘弹泡的
[01436.72-01439.92] 这样一个连的我们所说的这个火力
[01439.92-01441.24] 那如果说放在晚上
[01441.24-01443.24] 你如果有数字化的这样的一些
[01443.24-01445.56] 指挥碳测、针茶、数字化
[01445.56-01447.04] 装备去帮你捡确定的话
[01447.04-01448.36] 它的叶间打起的命中力
[01448.36-01449.20] 有很高
[01449.20-01451.32] 如果不是这种数字化的这种
[01451.32-01451.96] 据对的话
[01451.96-01453.24] 它的叶间命中的打击力
[01453.24-01454.84] 它可能只是百分之八
[01454.84-01456.56] 但是如果是数字化火泡的话
[01456.56-01459.24] 他夜间的命中率就能提高到73%了
[01459.24-01461.88] 所以你看在未来的战场当中
[01461.88-01465.20] 在未来的换位国家发展的这个过程当中
[01465.20-01466.56] 我们所提到的
[01466.80-01469.12] 简简单的如果只是机器化的话
[01469.12-01471.28] 原源不够我们说了3华如何
[01471.28-01473.12] 就是刚才给大家提到的
[01474.00-01475.76] 就是机器化
[01476.12-01477.16] 还有什么话呢
[01477.16-01478.36] 还有刚才我们所说的
[01478.36-01479.68] 叫做信息化
[01479.68-01481.64] 还有一个就是我们所说的
[01481.64-01482.92] 智能化融合
[01482.92-01484.20] 就是3华融合
[01484.20-01488.16] 在这三块融合纪武之上提高换美国家主权的发展力的这样一个能力
[01488.16-01490.56] 所以这是到了2.27年进军百年
[01490.56-01493.24] 它所提到的这样的一个目标战略
[01493.24-01495.92] 所以这个战略安排到2.27年代有制造石头
[01495.92-01497.32] 2.20年退变过来的
[01497.32-01499.92] 而到了2.35年的话基本实现的话
[01499.92-01502.52] 和国家的大的战略安排是对接的
[01502.52-01505.84] 到了本世纪中业要建设世界一流军队
[01505.84-01508.08] 这个就是我们所提到的战略安排
[01508.08-01510.32] 这个战略安排在考试的时候大注意
[01510.32-01512.22] 他可前面的那个考察呢
[01512.22-01514.32] 就不是说直接发控去考了
[01514.32-01516.12] 而这个地方考的主要是一个什么
[01516.12-01517.22] 主要是一个对应
[01517.22-01518.82] 那就是考察时间
[01520.52-01522.82] 还有我们所说的目标的对应
[01522.82-01524.62] 所以在这里面大家要明确
[01524.62-01527.32] 我们在这也大家讲了三个方面的问题
[01527.32-01528.82] 第一个方面问题就是
[01528.82-01531.82] 我们所说的强军思想回答了一个什么问题
[01531.82-01534.32] 如何创建强大人民军队的问题
[01534.32-01536.62] 第二个 既然要建设强大人民军队
[01536.62-01538.62] 我们提到的强军目标是什么
[01538.62-01540.58] 是两个目标大家注意一下
[01540.58-01543.58] 一个是建设一只听挡指回能打胜胜
[01543.58-01544.86] 做风游两的军队
[01544.86-01548.54] 第二个是把我们的人民军队建计的世界一流军队
[01548.54-01550.18] 细节的考点就是要知道
[01550.18-01551.98] 听挡指回能打胜胜胜
[01551.98-01553.58] 做风游两的地位是什么
[01553.58-01556.30] 而且在这里最为核心的能打胜胜胜
[01556.30-01557.82] 他也身出来了一个点
[01557.82-01559.02] 就是我们所提到的
[01559.02-01562.22] 就是红两军队战斗力的唯一的标准
[01562.22-01563.90] 就是他的什么战斗力
[01563.90-01565.42] 这是在这第二个问题
[01565.42-01566.38] 第三个问题就是
[01566.38-01568.38] 是小10線強軍目標
[01568.38-01570.38] 我們必須要一個科學的戰略安排
[01570.38-01572.18] 戰略安排我們也分3部
[01572.18-01574.38] 只不過這3部當中他是有一個演變
[01574.38-01576.38] 大家知道2020年2227
[01576.38-01579.38] 2人35以及到我們所說的本世紀的中演
[01579.38-01583.38] 他考察一個時間和內容的對應
[01583.38-01585.38] 這是第三個問題
[01585.38-01586.38] 第4個問題就是在這裡
[01586.38-01587.38] 我們要回顧一下
[01587.38-01590.38] 或者是在這裡給大家去進行紅觀的整理一下
[01590.38-01591.38] 來看一下
[01591.38-01594.38] 我們所說的這個檔對軍隊的絕對領導
[01594.38-01595.14] 一个重要性
[01595.14-01596.94] 因为毕竟在强运目标当中
[01596.94-01598.08] 我们所提到的
[01598.08-01600.18] 第一个就是要听党指挥
[01600.18-01602.06] 我们来看一下第四个问题
[01602.06-01602.84] 就是在这
[01603.72-01604.74] 我们所给党的
[01604.74-01606.98] 他说明确党对军队的绝对领导
[01606.98-01607.90] 把他标出出来
[01607.90-01609.66] 明确党对军队的绝对领导
[01609.66-01611.70] 使人民军队的建军之本
[01611.70-01612.86] 强军之魂
[01612.86-01614.10] 这个点物用之以
[01614.10-01617.10] 对吧中国人民军队为什么能够战无不胜
[01617.10-01619.82] 就是因为我们有一个正确的领导
[01619.82-01621.86] 党领导下的军队就明确
[01621.86-01623.50] 为谁考强 为谁打仗
[01623.50-01624.70] 到零老下的軍隊
[01624.70-01627.26] 他就是有一個科學的這樣的一個
[01627.26-01628.34] 作戰的方法
[01628.34-01629.38] 方略有一個
[01629.38-01631.54] 我們所說的科學的這樣的一個發展規劃
[01631.54-01632.94] 這個時候我們說了
[01632.94-01634.38] 那黨隊軍隊的絕与零老
[01634.38-01636.14] 他是健軍之本強軍之會
[01636.14-01638.14] 這個地位物勇之一
[01638.14-01638.46] 對吧
[01638.46-01640.02] 而這個點早在之前
[01640.02-01640.94] 我們給大家去講
[01640.94-01641.66] 黨史的時候
[01641.66-01643.50] 我們就能夠非常明確地看出來
[01643.50-01645.86] 所以在這裡大家需要掌握的第一個點
[01645.86-01646.90] 就是他的地位
[01646.90-01648.90] 就黨隊軍隊的絕丁頗是本
[01648.90-01650.98] 是魂是根上的東西
[01650.98-01651.98] 是零魂
[01651.98-01653.10] 我們前面不說了
[01653.10-01654.38] 听当指挥是灵魂
[01654.38-01655.78] 这是第1个方面
[01655.78-01657.44] 第2方面就是在这里
[01657.44-01660.98] 大家要能够把这个党对军队的绝对灵导做一个系统的串脸
[01660.98-01663.56] 就是党对军队绝对灵导它的一个什么
[01663.56-01665.02] 发展的一个历程
[01666.02-01667.32] 同学没有一个了解
[01667.32-01668.72] 你看像这样的一个点的
[01668.72-01670.50] 它往往会结合党史来考察
[01670.50-01672.90] 比如说有一年国考的时候就考了一道体
[01672.90-01676.10] 所以下关于党对军队的绝对灵导说法正确的是
[01676.10-01677.30] 给了5个圈
[01677.30-01679.46] 然后说说法正确的有几项
[01679.46-01681.52] 给了你5个圈让去判个有几项
[01681.52-01684.24] 那它其实就是一个组合全面的一个考察
[01684.24-01685.92] 那这个组合全面的考察呢
[01685.92-01687.24] 那就需要我们在这里
[01687.24-01690.28] 把导对军队的军队的军队的军队的得到给它简单的回顾一下
[01690.28-01693.08] 导对军队的军队的得到它的这样一个历程的发展
[01693.08-01694.44] 我们之前其实给大家说了
[01694.44-01696.32] 叫做发端语
[01696.32-01699.28] 那一次叫发端语
[01699.28-01700.48] 难常起意
[01702.24-01703.92] 我们再讲当时的说说了
[01703.92-01706.08] 武装反靠国民党的第一条
[01706.08-01706.48] 对吧
[01706.48-01708.48] 第二个叫电机语
[01708.48-01709.68] 三文改变
[01711.52-01713.52] 大家还记得吧
[01713.52-01715.52] 三个改变强调直播
[01715.52-01719.52] 建在脸上是否从组织上明确了党对军队的决定到
[01719.52-01720.52] 最后一个叫做什么
[01720.52-01722.52] 定形于古天会议
[01727.52-01729.52] 叫做定形于古天会议
[01729.52-01731.52] 所以在这里面大家要能够明确
[01731.52-01734.52] 在古天会议当中我们提到了叫做思想简岩导
[01734.52-01736.52] 政治简军嘛
[01736.52-01737.52] 对吧
[01737.52-01738.52] 所以在这里面
[01738.52-01740.52] 这是从整个会议上大家要明确
[01740.52-01741.36] 这是第一个点
[01741.36-01742.92] 发端一南上起电局感
[01742.92-01744.52] 三个改变定性约
[01744.52-01745.28] 骨填会议
[01745.28-01745.88] 这是在这
[01745.88-01746.68] 大家要明确
[01746.68-01748.56] 第二个就是大家在这里知道
[01748.56-01749.80] 它在十六大当中
[01749.80-01751.56] 在把党队军队的这样
[01751.56-01753.24] 一个绝对领导的地位
[01753.24-01754.88] 有了一个很大的一个提升
[01754.88-01756.04] 在十六大当中
[01756.04-01757.68] 其实明确提出了两个点
[01757.68-01759.24] 是和军队建设有关的
[01759.24-01760.80] 这两个点分别是啥呢
[01760.80-01761.80] 同时记在旁边
[01761.80-01762.60] 第一个就是
[01762.60-01768.20] 把黨隊軍隊的決定領導上身為堅持和發展中國特色收入主義的基本方略
[01768.20-01775.84] 誰的旁邊就是把黨隊軍隊的決定領導
[01779.80-01783.80] 上身為國家的什麼?基本方略就簡單繼續行了
[01785.56-01788.00] 這也是當年所考到了一個選項
[01788.00-01790.14] 就是把黨內軍隊的絕對領導
[01790.14-01793.36] 上升為堅持發展中國特殊收入主義的一項
[01793.36-01795.04] 基本防律
[01795.04-01796.18] 打著一下制在這
[01796.18-01798.36] 第二個就是更一步明確了
[01798.36-01801.40] 中央大家都知道是軍委主席負責制
[01801.40-01803.18] 所以在這裡他又提到了
[01803.18-01806.32] 叫中央軍事委員會實行主席制
[01806.32-01807.96] 寫弱黨張
[01807.96-01808.84] 所以第二點
[01808.84-01809.90] 寫在旁邊
[01809.90-01812.08] 就是軍委主席制
[01812.90-01813.84] 我簡單寫了
[01813.84-01814.14] 好吧
[01815.10-01816.84] 其實中央軍委主席政家
[01816.84-01818.24] 中央也行更准确一下
[01818.24-01821.20] 就是中央军委主席制写弱
[01821.70-01822.40] 当章
[01822.40-01824.52] 写弱党章约数全党同行来
[01824.52-01825.02] 是不是
[01825.02-01827.34] 所以在这里面它的地位进步提升了
[01827.34-01829.72] 所以中央军委主席制写弱党章
[01829.72-01831.96] 这个都是在石柔大当中提出来的
[01831.96-01834.08] 而现在我们都知道会遇招开档的呢
[01834.08-01836.04] 会遇招开档了已经到了20大
[01836.04-01838.32] 30大当中的没有过多的新的表述
[01838.32-01840.72] 当然大家如果看到20大当中
[01840.72-01843.20] 有关于党对军队军队军队领导的地方
[01843.20-01844.60] 只要老实是讲到了
[01844.60-01846.16] 到时候多去看两个就行了
[01846.16-01848.32] 如果在这里面目前没有新的地方
[01848.32-01850.36] 这个就是从以前到现在
[01850.36-01852.40] 我们所给大家去强调的
[01852.40-01854.12] 有关于党对军队军队军队领导
[01854.12-01856.48] 它的一个大概的一个发展该况
[01856.48-01857.88] 它如果一旦烤的话
[01857.88-01859.96] 如果烤国生烤的这样的难度的话
[01859.96-01862.16] 它就会在这个地方给大家去设置一个什么
[01862.16-01863.16] 就会在这里
[01863.16-01866.88] 就给大家设置一个综合性的考察题目
[01866.88-01869.32] 这是我前面给大家说的那个
[01869.32-01871.84] 连你五个圈问你正确的有几项
[01871.84-01873.72] 这个就是我们所提到的
[01873.72-01877.20] 有关于党对军队绝对领导
[01877.20-01878.16] 他的一个内容
[01878.16-01879.76] 这个就是我们所提到的
[01879.76-01880.52] 第一个部分
[01880.52-01882.24] 就是加快国防军队现在化
[01882.24-01883.96] 咱们来快速活跪下
[01884.24-01886.84] 第一个就是加快国防军队现在化
[01886.84-01888.96] 它是强军思想的一个要求
[01888.96-01889.28] 对吧
[01889.28-01891.48] 所以在强军思想当中回答了一个基本问题
[01891.48-01893.20] 核心在于建设
[01893.20-01895.08] 一只什么样的强大人民军队
[01895.08-01897.40] 一只怎样建设强大人民军队的问题
[01897.40-01900.24] 所以核心就在于强大人民军队的建设
[01900.24-01901.88] 建设强大人民军队
[01901.88-01903.68] 他必须有一个强军目标
[01903.68-01905.36] 强军目标分两个层次
[01905.36-01907.48] 第一个借设一支什么样的军队
[01907.48-01909.80] 听到指挥能打声账做朋友两
[01909.80-01913.28] 其中听到指挥是灵魂能打声账士和心
[01913.28-01913.92] 并不说了
[01913.92-01916.28] 橫梁军队的唯一的标准就是什么
[01917.08-01918.84] 战斗力军队强不强
[01918.84-01919.80] 观点看打账
[01919.80-01921.56] 最后一个做朋友两是什么
[01921.56-01922.36] 是保障
[01922.36-01924.28] 这是强军目标的第一个唯肚
[01924.28-01925.88] 凡目标的第二个唯肚
[01925.88-01928.24] 就是在这里我们需要把我们的军队
[01928.24-01930.56] 建设成为世界依留军队
[01930.56-01933.44] 那如何建設成為世界一流軍隊呢
[01933.44-01934.76] 他必須有自己的什麼
[01934.76-01935.80] 戰略安排
[01935.80-01936.92] 所以戰略安排當中
[01936.92-01939.08] 2020年基本實現激血化
[01939.08-01942.24] 這個地方考察時間和目標的對應
[01942.24-01943.48] 很容易戰關理戴
[01943.48-01944.96] 2020年結束我們提出了
[01944.96-01946.24] 《艦軍百年的分鐘》標
[01946.24-01947.44] 叫做加快激血化
[01947.44-01950.12] 卸氣化智能換容和提高
[01950.12-01953.48] 號位國家主權安全發展利益的戰略能力
[01953.48-01953.72] 對吧
[01953.72-01956.92] 導致25年就基本實現現代化
[01956.92-01958.88] 可國家大的戰略是一致的
[01958.88-01961.04] 到了本世紀中也大家都知道
[01961.04-01963.28] 國家都實現中華民族的偉大富邪
[01963.28-01965.36] 我們的軍隊必須是什麼軍隊
[01965.36-01967.60] 必須是世界一流軍隊
[01967.60-01971.68] 所以這實在加快國防軍的現在發動中給他講的
[01971.68-01972.64] 而在這個裡面
[01972.64-01975.20] 我們在最會一個點當中給大家去外言講的
[01975.20-01976.08] 聽到指揮
[01976.08-01977.92] 也說黨對軍隊的絕對領導
[01977.92-01979.28] 他的一個大概是什麼
[01979.28-01980.72] 他的一個大概的發展
[01980.72-01983.80] 大家知道叫做發端語
[01983.80-01984.88] 難稱起一
[01984.88-01986.04] 電機語
[01986.04-01986.80] 三個改變
[01986.80-01987.68] 然後電星語
[01987.68-01988.40] 国险会议
[01988.40-01989.64] 是有大当中呢
[01989.64-01990.88] 把导内军队局会
[01990.88-01993.24] 绝对领导上升为国家的基本方略
[01993.24-01996.48] 同时把中军队主席制写入党章
[01996.48-01998.32] 20大里面也强调了
[01998.32-01999.76] 有关于我们所说的什么
[01999.76-02000.88] 军队建设的内容
[02000.88-02002.72] 但是没有特别多的新的提法
[02002.72-02004.00] 所以看到20大的时候
[02004.00-02005.12] 你稍微嫂眼
[02005.12-02006.12] 有个印象就行了
[02006.12-02006.64] 好吧
[02006.64-02009.40] 这个就是在国家实现中华民族里
[02009.40-02010.88] 大夫性当中的第一个保障
[02010.88-02012.32] 老百姓安全感的来源
[02012.32-02014.68] 就要国防和军队现代化
