[00000.00-00004.60] 前面我们给大家讲到了我们所说的这个误权
[01170.50-01171.46] 它有两个
[01171.46-01173.06] 一个叫债全人的代位权
[01173.06-01174.34] 你就叫债全人的什么
[01174.34-01175.10] 厕小权
[01175.10-01176.42] 债全人的代位权
[01176.42-01177.78] 和债全人的厕小权
[01177.78-01179.06] 债全人的代位权
[01179.06-01181.46] 它其实是用在三个人之间
[01181.46-01184.18] 这三人之间就是我
[01184.18-01186.18] 欠你钱
[01186.18-01188.18] 我欠你20万
[01188.18-01189.18] 然后谁呢
[01189.18-01190.18] 我还是一样吧
[01190.18-01192.18] 牧荣广场 牧荣广场欠我钱
[01192.18-01195.18] 到期了处 双方都是到期战务了
[01195.18-01196.18] 我每欠我多少的30万
[01196.18-01199.18] 你看 这个牧荣广场次在无人
[01199.18-01201.18] 他的这个旅行是不是会影响到你
[01201.18-01203.18] 这个时候如果到期了
[01203.18-01205.18] 我没有像牧荣广场淘債的话
[01205.18-01206.18] 那你可以待遇我
[01206.18-01209.18] 像牧荣广场淘債 要回20万
[01209.18-01211.18] 对吧 那这个就要做 待遇去
[01211.18-01213.18] 那还一个呢 就债全人的撤销权
[01213.18-01215.26] 车子权就是在这里面
[01215.26-01217.34] 载物人物做了一件什么事
[01217.34-01218.74] 可能損害你的权异了
[01218.74-01220.58] 損害你这权的实现了
[01220.58-01222.86] 这种时候就可以形势车小权
[01222.86-01224.94] 比如说到期了
[01224.94-01226.46] 我应该把这20万还给你
[01226.46-01227.50] 但是我不想换
[01227.50-01227.82] 对吧
[01227.82-01229.18] 我就想站你的便宜
[01229.18-01231.74] 这时候你就怕你来执行
[01231.74-01233.30] 或者是拍外我的财产
[01233.30-01234.06] 于是在这里
[01234.06-01235.38] 我就找到孟仲廣场
[01235.38-01236.22] 我说你看
[01236.22-01238.78] 我现在手里有一辆价值
[01238.78-01240.42] 30万的叫车
[01240.42-01243.14] 然后我切我们一个学院的权
[01243.14-01245.54] 然后我就跟陌荣方说我不想还那钱
[01245.54-01248.10] 我这还那钱我太智慧了
[01248.10-01248.82] 我不能还
[01248.82-01249.46] 我说要不这样
[01249.46-01252.26] 这张车我免费送给你
[01252.26-01254.34] 你看我为了躲逼对你的债
[01254.34-01255.94] 我要把车面费送给别人
[01255.94-01258.70] 那这种情况咱也知道我的良心
[01258.70-01259.54] 可以透了吧
[01259.54-01260.50] 那你会不会同意
[01260.50-01261.50] 你使人不同意
[01261.50-01262.78] 你不同意的话你会怎么办
[01262.78-01264.14] 你可以形使车销权
[01264.14-01266.58] 车销我和陌荣廣场之间的
[01266.58-01268.54] 终于合同来保证你的权娱
[01268.54-01270.70] 那这个这叫做债权的车销权
[01270.70-01274.78] 那他其實是在在的這個內容當中所提到的
[01274.78-01276.42] 那這其實是法定彈寶
[01276.42-01277.50] 大家稍微有個概念
[01277.50-01278.82] 最近在在這的彈寶證
[01278.82-01280.58] 你說五寶人寶金錢寶
[01280.58-01282.26] 我們要主任給大家講的是
[01283.58-01284.30] 五寶
[01284.30-01286.46] 那這個就是我們所說的法定彈寶
[01286.46-01287.82] 那除了法定彈寶之外的
[01287.82-01288.98] 還有一頂彈寶
[01288.98-01291.70] 一頂彈寶就是在合同當中所提到的
[01291.70-01294.06] 動產所有錢寶流買賣合同
[01294.06-01296.46] 我把一個東西賣給你
[01296.46-01299.18] 但是我為了彈寶在的實現
[01299.18-01300.38] 那在这里面我会怎么样
[01300.38-01302.26] 我会保留所有权
[01302.26-01303.66] 我会保留所有权
[01303.66-01304.74] 那这个时候呢
[01304.74-01306.54] 叫动产所有权保留买卖
[01306.54-01308.90] 又会着叫做让鱼单保合透
[01308.90-01310.54] 名为让于实卫单保
[01310.54-01312.78] 它其实是一个比较难的一个点
[01312.78-01315.38] 但是目前在让鱼单保当中
[01315.38-01317.38] 我们在整个施单位考试里面
[01317.38-01318.90] 还是不太常见的
[01318.90-01320.22] 这个是让鱼单保
[01320.22-01322.74] 还有就是动产融资租利合同
[01322.74-01324.54] 比如说受后回租的这种
[01324.54-01326.58] 还有有追锁权的保利合同
[01326.58-01327.18] 像这种
[01327.18-01328.62] 它其实都是一顶单保
[01328.62-01330.62] 而像这些单宝当中
[01330.62-01331.96] 我们在考试当中
[01331.96-01333.74] 南点其实也在这里
[01333.74-01336.08] 有追锁权的保力合同
[01336.08-01338.42] 这些在施单的考试当中不太常见
[01338.42-01339.96] 如果说在1.5单宝当中
[01339.96-01341.18] 可能会比较常见的
[01341.18-01343.10] 其实动产所有权保留买卖
[01343.10-01345.34] 因为它是买卖合同当中的一个重点
[01345.34-01348.18] 买卖合同里面它其实有三个特殊合同
[01348.18-01349.82] 一个是分析覆款
[01349.82-01351.10] 一个是释用合同
[01351.10-01353.66] 还有就是动产所有权保留买卖合同
[01353.66-01356.22] 它其实都属于单宝制度的一种
[01356.22-01359.70] 那我们的重点其实应该放在法定单宝当中
[01359.70-01360.78] 法定单宝当中
[01360.78-01362.46] 尤其是债的保全里面的
[01362.46-01363.86] 误宝人宝和金钱宝
[01363.86-01366.06] 这个就是单宝质股
[01366.06-01368.38] 他的一个大框架
[01368.38-01369.74] 而这里面大家都知道
[01369.74-01370.66] 现实生活当中
[01370.66-01371.94] 最为常见的一个问题
[01371.94-01372.78] 其实就是什么
[01372.78-01374.06] 密宝难的问题
[01374.06-01375.94] 就是我找不到单宝人
[01375.94-01377.10] 或找不到单宝物
[01377.10-01378.74] 这有时候为什么会密宝难
[01378.74-01380.78] 就是这里面的单宝人
[01380.78-01382.90] 或者是我们所说的保证人
[01382.90-01384.58] 如果是保证和能够保证人
[01384.58-01386.70] 如果是弹保无钱的话就弹保人
[01386.70-01390.38] 他们往往会承担着其大的这样的一个风险
[01390.38-01392.42] 所以既然他们的风险很高
[01392.42-01396.30] 同时不仅对于弹保人或者是保折人的风险很高
[01396.30-01398.38] 对于这权人来说风险也很高
[01398.38-01401.22] 所以为了保折他们的权益的实现
[01401.22-01404.58] 必须在法律层面上设定相当的规定
[01404.58-01407.62] 这个就是我们所说的单保制度
[01407.62-01408.62] 它相当的内容
