[00000.00-00004.90] 國民革命時期講完之後我們來看一下第二個階段
[00967.30-00968.30] 這個原則
[00968.30-00969.30] 最終我們所說的
[00969.30-00970.30] 在哪裡
[00971.30-00972.30] 形成了絕业
[00972.30-00973.30] 股田會議上
[00973.30-00974.30] 所以股田會議
[00974.30-00976.30] 人民軍隊正式確立
[00976.30-00977.30] 所以在這裡面
[00977.30-00978.30] 我們要知道
[00978.30-00979.30] 人民軍隊的建立
[00979.30-00980.30] 發端與南場企業
[00980.30-00981.30] 電機與三個改變
[00981.30-00982.30] 定性約股田會議
[00982.30-00984.30] 每個會議的內容
[00984.30-00985.30] 大家要知道
[00985.30-00986.30] 這是我們所說的叫做
[00986.30-00989.30] 土地、革命、時期當中的
[00989.30-00990.30] 人民軍隊的創建
[00990.30-00991.30] 在這裡面
[00991.30-00992.30] 我們剛才說
[00992.30-00994.30] 我們回到前面的點上
[00994.30-00995.30] 我們剛才提到
[00995.30-00996.30] 出售期的時候
[00996.30-00997.30] 我們說
[00997.30-00998.30] 除了要搞自己的軍隊
[00998.30-00999.30] 接受之外
[00999.30-01000.30] 三個改變之後
[01000.30-01001.30] 我們說的
[01001.30-01003.30] 中心從城市轉移到農村
[01003.30-01004.30] 我們去農村干啥
[01004.30-01005.30] 對吧
[01005.30-01006.30] 去農村
[01006.30-01007.30] 你必須帶有自己的具體
[01007.30-01010.30] 所以我們說的從城市轉移到農村
[01010.30-01012.30] 必須要有自己的什麼
[01012.30-01013.30] 根據地
[01013.30-01014.30] 所以在這裡面
[01014.30-01015.30] 在土地革命當中的
[01015.30-01016.30] 第二個大的問題
[01016.30-01019.30] 就是革命生具地的建立
[01019.30-01020.30] 在革命根據地的建立
[01020.30-01021.30] 當中
[01021.30-01022.30] 我們首先來看一下
[01022.30-01023.30] 第一個就叫做
[01023.30-01025.30] 警方山革命根據地
[01025.30-01026.30] 從我們畫一下
[01026.30-01028.30] 第二個的沒根據地的建立時間
[01028.30-01029.30] 1927年
[01029.30-01030.30] 1927年
[01030.30-01032.30] 警方山革命根據地建立
[01032.30-01033.30] 它是中國歷史上
[01033.30-01034.30] 壞一個
[01034.30-01036.30] 第一個農村革命根據地
[01036.30-01037.30] 大處理一下
[01037.30-01039.30] 是第一個農村革命根據地
[01039.30-01041.30] 警方山革命根據地
[01041.30-01042.30] 把第一個
[01042.30-01043.30] 畫出來
[01043.30-01044.30] 把警方山畫出來
[01044.30-01045.30] 當時為什麼是在警方山
[01045.30-01046.30] 因為警方山
[01046.30-01048.30] 當時是在江西和湖南的交界處
[01048.30-01049.30] 換句話說
[01049.30-01050.30] 這個警方山
[01050.30-01051.30] 當時就是
[01051.30-01053.30] 三部館的這樣那個地界
[01053.30-01054.30] 那
[01054.30-01056.30] 就有例如我們怎麼樣
[01056.30-01057.30] 發展狀態
[01057.30-01058.30] 當時毛東同志
[01058.30-01060.30] 在警方山革命根據地
[01060.30-01062.30] 搞的政策是啥
[01062.30-01064.30] 就是地退我進
[01064.30-01065.30] 敵注我肉
[01065.30-01067.30] 就是你要搞自己的革命根據地
[01067.30-01068.30] 你要走自己的
[01068.30-01069.30] 一個政策路線
[01069.30-01071.30] 當時搞的就是地界
[01071.30-01072.30] 我退
[01073.30-01075.30] 還有就是地住
[01076.30-01077.30] 我肉
[01077.30-01079.30] 啥叫地進我退
[01079.30-01080.30] 地進我退你看
[01080.30-01081.30] 在農村
[01081.30-01082.30] 原本我們的軍隊
[01082.30-01083.30] 就是人民子的
[01083.30-01084.30] 並有很多都是農民
[01084.30-01086.30] 出生或者國人出生的
[01086.30-01087.30] 所以在這種情況下
[01087.30-01088.30] 敵進我退
[01088.30-01089.30] 就是大軍壓劑
[01089.30-01091.30] 那當時不是要微救過
[01091.30-01092.30] 人間那個國民黨
[01092.30-01093.30] 發動了
[01093.30-01094.30] 散東邊政變
[01094.30-01095.30] 然後還追蹤我們打
[01095.30-01096.30] 所以當時國民黨來了
[01096.30-01097.30] 或者說敵人一來
[01097.30-01099.30] 我把軍裝與脫網
[01099.30-01100.30] 天天地頭上一殺本身
[01100.30-01101.30] 就是農民
[01101.30-01102.30] 你也不知道問的人的
[01102.30-01103.30] 對吧
[01103.30-01104.30] 所以在這裡叫敵進我退
[01104.30-01105.30] 敵注我肉是什麼
[01105.30-01106.30] 如果說
[01106.30-01107.30] 我們所說的地均
[01107.30-01108.30] 來臨的時候
[01108.30-01109.30] 他住在這個地方
[01109.30-01110.30] 我們是野
[01110.30-01111.30] 農民的身份
[01111.30-01113.30] 然後野逆在我們所說的
[01113.30-01114.30] 群眾當中
[01114.30-01115.30] 所以他一在這住張
[01115.30-01116.30] 我就可以怎麼樣
[01116.30-01117.30] 敲不生的
[01117.30-01118.30] 今天摸了網上
[01118.30-01119.30] 明天殺有少遍
[01119.30-01120.30] 後天
[01120.30-01121.30] 誰不僅放一首炮章
[01121.30-01122.30] 他碎勞舊
[01122.30-01123.30] 對吧
[01123.30-01124.30] 所以在這裡面叫做
[01124.30-01125.30] 敵注我肉
[01125.30-01126.30] 但是無論從哪個角度上來看
[01126.30-01128.30] 這種建設革命根據地勢
[01128.30-01130.30] 有助於中國共產黨
[01130.30-01131.30] 機器領導下的軍隊
[01131.30-01133.30] 不斷地去發展
[01133.30-01134.30] 撞大的
[01134.30-01135.30] 是不是有利於換句話
[01135.30-01136.30] 說就有利於判所
[01136.30-01138.30] 我們自己的這樣發展道路
[01138.30-01139.30] 所以在這裡面
[01139.30-01140.30] 大助一下
[01140.30-01141.30] 我們所說的警方山
[01141.30-01142.30] 革命根據體建立
[01142.30-01143.30] 那從側面就說
[01143.30-01144.30] 說白了
[01144.30-01145.30] 這個根據地
[01145.30-01146.30] 他其實是有利於
[01146.30-01148.30] 我們不斷地去發展的
[01148.30-01149.30] 而且在這種情況
[01149.30-01151.30] 這些發展的很快
[01151.30-01153.30] 發展到快到什麼程度
[01153.30-01155.30] 大助一下1928年
[01155.30-01156.30] 1927年
[01156.30-01157.30] 警方山革命根據地建立之後
[01157.30-01159.30] 1928年的時候
[01159.30-01161.30] 就有了豬毛會失
[01161.30-01162.30] 就是公龍紅軍
[01162.30-01163.30] 第四軍
[01163.30-01164.30] 就有了紅軍
[01164.30-01165.30] 就有了心情之火
[01165.30-01167.30] 然後到了1930年的時候
[01167.30-01168.30] 我們就有了十幾塊
[01168.30-01169.30] 革命根據地了
[01169.30-01171.30] 發展的特別的快
[01171.30-01173.30] 所以姐姐在這個之後
[01173.30-01174.30] 就到了1930年
[01174.30-01175.30] 我們的革命根據地
[01175.30-01176.30] 發展壯大的特別快
[01176.30-01178.30] 就是你革命根據地
[01178.30-01179.30] 發展壯大快
[01179.30-01180.30] 到那個人數就多
[01180.30-01181.30] 軍隊壯大的這個名字
[01181.30-01182.30] 就很快
[01182.30-01184.30] 當時因為發展的很快
[01184.30-01185.30] 到那其實就出現了
[01185.30-01186.30] 不同的聲音
[01186.30-01187.30] 大家都知道
[01187.30-01189.30] 到那個這個理利
[01189.30-01190.30] 三的當時就
[01190.30-01191.30] 重新制定了說
[01191.30-01193.30] 我們還是搞城市主義
[01193.30-01194.30] 叫做會失武漢
[01194.30-01195.30] 一馬場景
[01195.30-01196.30] 但是毛澤東同志
[01196.30-01197.30] 當時不同意
[01197.30-01198.30] 當時毛澤東同志
[01198.30-01199.30] 說我們盡量的
[01199.30-01201.30] 必須主力用力深入各個前面
[01201.30-01203.30] 就是打這種遊戲戰的
[01203.30-01204.30] 化整微灵
[01204.30-01205.30] 只會比較豪打
[01205.30-01206.30] 就豪比說
[01206.30-01208.30] 拿這個權透
[01208.30-01209.30] 打不開
[01209.30-01210.30] 對吧
[01210.30-01211.30] 你跟人家用朋友
[01211.30-01212.30] 全都碰過人
[01212.30-01213.30] 可以掰透手之後
[01213.30-01214.30] 其實就是這個樣子的
[01214.30-01216.30] 所以這個革命根據地的建立
[01216.30-01217.30] 也就是我們所說的
[01217.30-01218.30] 非常快
[01218.30-01220.30] 這種革命根據地建立很快
[01220.30-01221.30] 其實他導致的一個結果
[01221.30-01222.30] 就是剛才我說的
[01222.30-01223.30] 他城市很快
[01223.30-01224.30] 那一方面的
[01224.30-01226.30] 就是黨內還會有不同的
[01226.30-01227.30] 這個聲音在的另一方面
[01227.30-01229.30] 其實這種發展的速度
[01229.30-01231.30] 也對誰造成了困擾
[01231.30-01232.30] 這種發展的速度
[01232.30-01234.30] 其實也對我們所說的
[01234.30-01236.30] 這個國民黨造成了一段的困擾
[01236.30-01237.30] 所以他才會在
[01237.30-01239.30] 我們所說的1930年
[01239.30-01240.30] 到1931年
[01240.30-01242.30] 先後三次對中國共產黨
[01242.30-01243.30] 進行美角
[01243.30-01244.30] 他比較遠
[01244.30-01245.30] 就是我們剛才所說的
[01245.30-01246.30] 30年的時候
[01246.30-01247.30] 你的革命根據地發展
[01247.30-01248.30] 狀態太快了
[01248.30-01249.30] 31年的時候你看
[01249.30-01250.30] 31年的時候
[01250.30-01252.30] 我們就有了全國最大的革命根據地
[01252.30-01253.30] 你把這個話出來
[01253.30-01254.30] 全國最大的革命根據地
[01254.30-01255.30] 就是什麼
[01255.30-01257.30] 就是中央蘇區
[01257.30-01259.30] 在我們所說的
[01259.30-01260.30] 幹南和米西兩華地方
[01260.30-01263.30] 當時是全國最大的革命根據地
[01263.30-01264.30] 就是中央蘇區
[01264.30-01265.30] 那緊接著
[01265.30-01267.30] 你不僅革命根據地發展狀大問題
[01267.30-01268.30] 你在1931年
[01268.30-01269.30] 11月的時候
[01269.30-01270.30] 建立了自己的政權
[01270.30-01271.30] 同樣來看一下
[01271.30-01273.30] 1931年中華
[01273.30-01275.30] 蘇安共和國
[01275.30-01276.30] 臨時中央政府成立
[01276.30-01277.30] 定度在哪兒
[01277.30-01278.30] 定度在
[01278.30-01279.30] 入境
[01279.30-01280.30] 蘇安政權的成立
[01280.30-01281.30] 因為這什麼同行嗎
[01281.30-01282.30] 蘇安政權的成立
[01282.30-01283.30] 就意味著
[01283.30-01284.30] 公開與國民黨
[01284.30-01286.30] 分停抗力了
[01286.30-01287.30] 就是我現在我行了
[01287.30-01288.30] 發展狀態了
[01288.30-01289.30] 對吧
[01289.30-01290.30] 我現在人數也多
[01290.30-01291.30] 根據地也多
[01291.30-01292.30] 軍隊數量也多
[01292.30-01293.30] 已經公開和國民黨
[01293.30-01294.30] 開始分停抗力了
[01294.30-01295.30] 我們說了
[01295.30-01296.30] 本來你發展得很快
[01296.30-01298.30] 在30年到31年的時候
[01298.30-01299.30] 國民黨就已經實行了
[01299.30-01300.30] 怎麼樣
[01300.30-01301.30] 三次為腳
[01301.30-01302.30] 而蘇安政權的建立
[01302.30-01303.30] 更是建議不得
[01303.30-01304.30] 刺激了
[01304.30-01305.30] 我們所說的
[01305.30-01306.30] 國民黨
[01306.30-01307.30] 於是怎麼樣呢
[01307.30-01309.30] 於是在1933年的時候
[01309.30-01310.30] 國民黨發動了
[01310.30-01311.30] 第四次為腳
[01311.30-01312.30] 當時在第四次為腳的時候
[01312.30-01314.30] 已經不是毛也業
[01314.30-01315.30] 是我們所說的
[01315.30-01316.30] 中央領導
[01316.30-01317.30] 這樣一個權利了
[01317.30-01318.30] 當時已經換成了
[01318.30-01319.30] 我們所說的
[01319.30-01320.30] 網民和博古這兩個人
[01320.30-01321.30] 當時他們兩個
[01321.30-01323.30] 是事情中央領導
[01323.30-01324.30] 全部他們兩個
[01324.30-01325.30] 在實行中央領導
[01325.30-01326.30] 全的時候
[01326.30-01327.30] 想了
[01327.30-01328.30] 我們剛才所說的那種
[01328.30-01330.30] 有點不要激進的這種政策
[01330.30-01331.30] 沒有被落實下去
[01331.30-01332.30] 因為當時在黨內的
[01332.30-01334.30] 專來統治和住的統治
[01334.30-01335.30] 就是
[01335.30-01336.30] 貫徹到底要執行
[01336.30-01337.30] 毛龍統治
[01337.30-01338.30] 他的一系列了
[01338.30-01339.30] 這樣一個
[01339.30-01340.30] 策略
[01340.30-01342.30] 所以第四次沒腳的時候
[01342.30-01344.30] 我們反而一腳成功了
[01344.30-01345.30] 但是緊急著
[01345.30-01346.30] 糟了後面的時候
[01346.30-01347.30] 就出了差頭
[01347.30-01348.30] 就是我們所說的
[01348.30-01349.30] 第五次反而一腳
[01349.30-01351.30] 到了第五次反而一腳
[01351.30-01352.30] 當時還有一個人
[01352.30-01353.30] 大家也都知道
[01353.30-01354.30] 就是我們所說的
[01354.30-01355.30] 這個李德
[01355.30-01358.30] 他當時是
[01358.30-01359.30] 怎麼說呢
[01359.30-01360.30] 這個李德
[01360.30-01361.30] 他是德國人
[01361.30-01362.30] 這是他做一個德國人
[01362.30-01363.30] 他是一個輸生
[01363.30-01365.30] 他是他被輸背的很厲害
[01365.30-01366.30] 他是他對馬斯主義的
[01366.30-01368.30] 這個輪李論言就特別的厲害
[01368.30-01369.30] 但是他不了解
[01369.30-01370.30] 中國的實情化
[01370.30-01371.30] 他是一個德國人
[01371.30-01373.30] 他有可能他連中文都不是
[01373.30-01374.30] 特別的好
[01374.30-01375.30] 讓他去指揮
[01375.30-01376.30] 我們所說的
[01376.30-01377.30] 像的作戰工作
[01377.30-01378.30] 其實根本就在答答
[01378.30-01379.30] 根本就不行
[01379.30-01380.30] 所以當時
[01380.30-01381.30] 由我們所說的這個李德
[01381.30-01382.30] 在去指揮的時候
[01382.30-01383.30] 就是王民
[01383.30-01384.30] 博古李德
[01384.30-01385.30] 導人他去指揮我們所說的
[01385.30-01387.30] 這個反而一腳作戰的時候
[01387.30-01388.30] 就出現了問題
[01388.30-01390.30] 所以導致了第五次反而一腳怎麼樣
[01390.30-01391.30] 失敗
[01391.30-01392.30] 所以第五次反而一腳
[01392.30-01393.30] 失敗
[01393.30-01395.30] 第五次反而一腳失敗
[01395.30-01396.30] 之後沒有辦法開始
[01396.30-01398.30] 被迫長整
[01398.30-01400.30] 所以才有了我們所說的什麼
[01400.30-01401.30] 才有了我們所說的這個
[01401.30-01402.30] 紅軍的長徵
[01402.30-01404.30] 紅軍長徵的時間
[01404.30-01406.30] 注意一下是從1934年
[01406.30-01407.30] 一直到我們所說的
[01407.30-01409.30] 1936年的十月
[01409.30-01412.30] 這是紅軍長徵的整個十七
[01412.30-01413.30] 紅軍長徵首先第一個大家知道
[01413.30-01414.30] 他的原因就是
[01414.30-01415.30] 剛才我說的
[01415.30-01417.30] 第五次反而一腳失敗
[01417.30-01418.30] 前三次反而一腳的時候
[01418.30-01420.30] 是某種統治的正確
[01420.30-01421.30] 領導
[01421.30-01422.30] 然後反而一腳成功
[01422.30-01424.30] 第四次雖然是王民和博古
[01424.30-01426.30] 但是由於徵來和住的統治的堅持
[01426.30-01427.30] 反而一腳也成功了
[01427.30-01429.30] 但是到了第五次的時候
[01429.30-01430.30] 就不行了
[01430.30-01431.30] 所以第五次反而一腳
[01431.30-01432.30] 遭到了眼中的失敗
[01432.30-01433.30] 紅軍開始怎麼樣
[01433.30-01435.30] 紅軍開始被迫長徵
[01435.30-01437.30] 那紅軍長徵
[01437.30-01438.30] 他要怎麼辦
[01438.30-01439.30] 當時大家也都知道
[01439.30-01440.30] 紅軍長徵的
[01440.30-01441.30] 其實就是
[01441.30-01442.30] 頭不能叫做頭跑
[01442.30-01444.30] 這是戰略轉移
[01444.30-01445.30] 當時沒有辦法
[01445.30-01446.30] 因為已經打到那種程度的話
[01446.30-01447.30] 你在不進任戰略轉移
[01447.30-01448.30] 到他那幾乎
[01448.30-01449.30] 我們就要被任此散了
[01449.30-01450.30] 或者說就
[01450.30-01452.30] 讓人家全都腳滅了
[01452.30-01453.30] 所以當時紅軍說
[01453.30-01454.30] 那我們就要進行戰略轉移
[01454.30-01455.30] 那某人轉移呢
[01456.30-01457.30] 你只能往北走
[01457.30-01459.30] 為什麼要往北走呢
[01459.30-01460.30] 因為你越往北走
[01460.30-01461.30] 你就越離
[01461.30-01462.30] 我們所說的講劫時
[01462.30-01464.30] 他們的這個國民黨的這個勢力
[01464.30-01465.30] 就會怎麼樣
[01465.30-01466.30] 就會越越遠
[01466.30-01467.30] 所以當時紅軍長徵
[01467.30-01468.30] 又有自己的路線
[01468.30-01469.30] 首先第一個
[01469.30-01470.30] 他要從入軍處法
[01470.30-01472.30] 因為入軍當時
[01472.30-01473.30] 是我所說的
[01473.30-01474.30] 所以政權
[01474.30-01475.30] 他一個所在地
[01475.30-01477.30] 所以他要從入軍處法
[01477.30-01478.30] 入軍處法
[01478.30-01479.30] 那首先第一個
[01479.30-01480.30] 就衝破四道防線
[01480.30-01482.30] 就有了我們所說的血染相疆
[01482.30-01483.30] 這個血染相疆的
[01483.30-01484.30] 其實就是我們所說的
[01484.30-01486.30] 這個相疆戰異
[01486.30-01487.30] 這個相疆戰異
[01487.30-01488.30] 最開始的時候
[01488.30-01489.30] 他其實往相疆那邊
[01489.30-01490.30] 測試誰都注意呢
[01490.30-01492.30] 是當時我們所說的
[01492.30-01494.30] 這個
[01494.30-01495.30] 博古和理德
[01495.30-01496.30] 他的主義
[01496.30-01497.30] 就他們的這個想法說
[01497.30-01499.30] 我們最終都不要少北上
[01499.30-01500.30] 但是你要從入軍
[01500.30-01501.30] 有將其這個地方
[01501.30-01502.30] 往北走的話
[01502.30-01504.30] 你要從哪個地方往北走
[01504.30-01505.30] 當時你路線很多
[01505.30-01507.30] 你倒是從軍南走
[01507.30-01509.30] 從歸州走從四川走
[01509.30-01510.30] 還是從湖南走
[01510.30-01512.30] 然後從這些地方一路北上
[01512.30-01514.30] 就是他會有不同的這種路線
[01514.30-01515.30] 所以最開始的時候
[01515.30-01516.30] 博古和理德說
[01516.30-01517.30] 那我們就從湖南
[01517.30-01518.30] 對吧
[01518.30-01520.30] 就有了我們所說的什麼
[01520.30-01521.30] 相疆
[01521.30-01522.30] 所以在這種情況之下
[01522.30-01523.30] 我們注意下
[01523.30-01524.30] 就有了我們所說的
[01524.30-01525.30] 這個相疆之戰
[01525.30-01527.30] 就是當地
[01527.30-01528.30] 有了這種
[01528.30-01530.30] 當時的相疆之戰
[01530.30-01532.30] 同學現在這個相疆化出來
[01532.30-01533.30] 這個相疆戰異
[01533.30-01534.30] 當時也是比較慘的
[01534.30-01536.30] 當時按照當地的話
[01536.30-01537.30] 來說就什麼
[01537.30-01539.30] 就說10年不引相疆水
[01539.30-01540.30] 當時就能夠看到
[01540.30-01541.30] 留學犧牲了多少人
[01541.30-01543.30] 所以突破斯老房線
[01543.30-01545.30] 就我們所說的虛然相疆
[01545.30-01546.30] 所以相疆之後
[01546.30-01547.30] 接下來就開始去那兒
[01547.30-01549.30] 就開始有了巫江之戰
[01549.30-01550.30] 所以到這兒
[01550.30-01552.30] 我們把巫江化出來
[01552.30-01553.30] 在這個地方
[01553.30-01555.30] 就了我們所說的巫江之戰
[01555.30-01556.30] 但是當時打的時候
[01556.30-01559.30] 就是8.6萬
[01559.30-01560.30] 最開始的時候
[01560.30-01561.30] 從最近出來的時候
[01561.30-01563.30] 大概當時是有8.6萬
[01563.30-01564.30] 紅軍
[01564.30-01565.30] 然後打完相疆之戰之後
[01565.30-01566.30] 還剩3萬人
[01566.30-01567.30] 就是在往前走
[01567.30-01569.30] 結果已經沒有什麼人了
[01569.30-01572.30] 如果這個時候在不調整戰略的話
[01572.30-01573.30] 真的就可能是整個紅軍
[01573.30-01575.30] 中國共產黨都被攪滅了
[01575.30-01576.30] 所以在這種情況之下
[01576.30-01578.30] 毛也也也也就站出來說
[01578.30-01580.30] 我們不能再這麼去打了
[01580.30-01581.30] 我們要幹嘛呢
[01581.30-01583.30] 我們要現在要調整一下戰略
[01583.30-01585.30] 要往敵人相對來說
[01585.30-01586.30] 比較薄弱的地方大
[01586.30-01588.30] 所以當時在整個疆疆
[01588.30-01589.30] 當中就出現了
[01589.30-01590.30] 一個非常趙的一個事情
[01590.30-01592.30] 其實大家在這裡也都知道
[01592.30-01594.30] 那這個就是我們所說的這個
[01594.30-01595.30] 最會議
[01595.30-01596.30] 所以在趙開尊一會議的時候
[01596.30-01598.30] 其實就是進行了
[01598.30-01600.30] 一個戰略轉移
[01600.30-01601.30] 它的一個調整
[01601.30-01602.30] 所以在巫陽之戰之後
[01602.30-01604.30] 就趙開了相打
[01604.30-01605.30] 尊一會議
[01605.30-01606.30] 在尊一會議這個地方
[01606.30-01608.30] 它其實是在去強調
[01608.30-01610.30] 就是我們要從哪兒北上
[01610.30-01612.30] 其實當時我們所說的這個
[01612.30-01613.30] 中央共產黨
[01613.30-01614.30] 它其實是矛定了一個地方
[01614.30-01615.30] 它當時開上的人
[01615.30-01617.30] 其實當時就是看上了
[01617.30-01618.30] 我們所說的這個跪州
[01618.30-01619.30] 對吧
[01619.30-01620.30] 我們也知道尊一會議
[01620.30-01621.30] 就是在跪州趙開的
[01621.30-01623.30] 當時為什麼中國共產黨
[01623.30-01624.30] 開上了跪州
[01624.30-01625.30] 其實不單當時
[01625.30-01626.30] 中央共產黨戰略轉移
[01626.30-01628.30] 它說它從跪州經過
[01628.30-01629.30] 或者是我們所說的
[01629.30-01631.30] 把跪州當為跟作為我們所說的
[01631.30-01632.30] 根據地
[01632.30-01633.30] 當時這個跪州
[01633.30-01634.30] 至於國民黨來說
[01634.30-01635.30] 也是一塊肥肉
[01635.30-01637.30] 跪州其實當時是
[01637.30-01638.30] 最會議塊
[01638.30-01640.30] 可以非常容易的一手
[01640.30-01641.30] 而且是可利用的
[01641.30-01642.30] 這樣一個機會
[01642.30-01643.30] 大家都知道
[01643.30-01644.30] 跪州它這個地方
[01644.30-01645.30] 大家來想
[01645.30-01646.30] 它往北走
[01646.30-01647.30] 它就到了那兒
[01647.30-01648.30] 跪州王北走
[01648.30-01649.30] 就到了四川
[01651.30-01652.30] 簡單的話一下
[01652.30-01654.30] 跪州王北走的話
[01654.30-01655.30] 是不是就是入川了
[01655.30-01656.30] 如果它往西走
[01656.30-01657.30] 就入了那兒
[01657.30-01658.30] 往西走
[01658.30-01659.30] 它入墊了
[01659.30-01660.30] 就入了圓南
[01660.30-01661.30] 它如果是往南走
[01661.30-01662.30] 就到那兒
[01662.30-01663.30] 都廣西了
[01665.30-01666.30] 同樣的看到
[01666.30-01667.30] 你看
[01667.30-01668.30] 它如果是這樣的話
[01668.30-01670.30] 那像這樣的一個地方
[01670.30-01671.30] 它是不是拿下這個地方
[01671.30-01672.30] 可以
[01672.30-01674.30] 我們所說的作證三個責
[01674.30-01675.30] 當時無論是
[01675.30-01676.30] 我們所說的這個
[01676.30-01677.30] 國民黨也好
[01677.30-01678.30] 還是中國共產黨
[01678.30-01679.30] 都覺得這個地方是一個
[01679.30-01680.30] 很好的地方
[01680.30-01681.30] 至於國民黨來說
[01681.30-01683.30] 當時的整個勢力的分布
[01683.30-01685.30] 是在北方有張學良
[01685.30-01687.30] 延期山、洋谷城、送責圓
[01687.30-01689.30] 朝將中下有地區一街
[01689.30-01691.30] 江這地區是誰控制的
[01691.30-01692.30] 講解時控制的
[01692.30-01693.30] 往東有成績堂
[01693.30-01694.30] 廣西有理宗人
[01694.30-01695.30] 理宗人
[01695.30-01696.30] 我會在看著這兒
[01696.30-01697.30] 說在提到它
[01697.30-01698.30] 廣西還有我們所說的
[01698.30-01699.30] 這個白衝戲
[01699.30-01701.30] 和胡南的有核漸
[01701.30-01702.30] 四川這個地方
[01702.30-01703.30] 不太好弄
[01703.30-01705.30] 四川的有流聞輝和流香
[01705.30-01707.30] 雲南的有龍雲
[01707.30-01709.30] 所以當時比小弱的地方
[01709.30-01710.30] 就只有那兒
[01710.30-01711.30] 這是做過來看的話
[01711.30-01712.30] 這是當時比小弱的地方
[01712.30-01714.30] 就只有我們所說的貴州了
[01714.30-01716.30] 所以當時
[01716.30-01718.30] 講解時也看好貴州了
[01718.30-01720.30] 我們我黨在去陣形站留轉移的時候
[01720.30-01721.30] 也要看到這個地方
[01721.30-01723.30] 就是要共戰我們所說的貴州
[01723.30-01725.30] 所以才有了我們所說的
[01725.30-01726.30] 一系列的站意
[01726.30-01728.30] 就在這比如說
[01728.30-01729.30] 我們所說的這個
[01729.30-01731.30] 提到的土城
[01731.30-01733.30] 等等都是在這個地方
[01733.30-01735.30] 所以就有了我們所說的貴州
[01735.30-01736.30] 當時這個貴州
[01736.30-01738.30] 比要果弱就是在於當時
[01738.30-01740.30] 貴州主要的這個人
[01740.30-01741.30] 當時在貴州
[01741.30-01743.30] 是誰呢是王家鏈
[01743.30-01744.30] 王家鏈的軍隊
[01744.30-01745.30] 大家應該都聽過
[01745.30-01746.30] 叫做雙槍軍隊
[01746.30-01747.30] 啥雙槍軍隊的一首
[01747.30-01749.30] 拿著不槍一首拿著眼牆
[01749.30-01750.30] 是非常的不行
[01750.30-01752.30] 所以就是我們所說的
[01752.30-01753.30] 尊誼會議
[01753.30-01755.30] 他說我們就從貴州走
[01755.30-01756.30] 那從貴州走
[01756.30-01757.30] 然後拿下貴州
[01757.30-01759.30] 然後一路北上
[01759.30-01762.30] 但是在進行我們所說的貴州
[01762.30-01764.30] 就是在這個地方
[01764.30-01765.30] 說想要公然貴州
[01765.30-01766.30] 會怎麼樣的時候
[01766.30-01767.30] 其實也出現了一系列的問題
[01767.30-01769.30] 說他不是像我們想像的
[01769.30-01770.30] 這麼好打的
[01770.30-01772.30] 所以在我們所說的這個
[01772.30-01774.30] 貴州從這個路線去
[01774.30-01775.30] 北上的時候
[01775.30-01777.30] 最開始的時候沒有走通
[01777.30-01778.30] 這是一路吃水
[01778.30-01779.30] 土城失利
[01779.30-01780.30] 所以我們這時候
[01780.30-01782.30] 就開始想方是法確
[01782.30-01783.30] 不對
[01783.30-01784.30] 一站
[01784.30-01785.30] 就是在一路吃水的時候
[01785.30-01786.30] 土城失利
[01786.30-01788.30] 我們就放棄了吃花四川
[01788.30-01789.30] 然後三路吃水的時候
[01789.30-01791.30] 就開始放棄了吃花貴州
[01791.30-01792.30] 反正就是這一片
[01792.30-01793.30] 都不太好打
[01793.30-01794.30] 為什麼會有四路吃水呢
[01794.30-01795.30] 四路吃水
[01795.30-01796.30] 而是毛龍同志的話
[01796.30-01797.30] 來說就說
[01797.30-01799.30] 四路吃水是他一生
[01799.30-01801.30] 當中最得意的這樣的一個戰爭
[01801.30-01804.30] 其實不在於他的多少神經尿算
[01804.30-01805.30] 而是在這個過程當中
[01805.30-01808.30] 他的戰略調整非常的快
[01808.30-01810.30] 就是當時所有人評價毛龍同志
[01810.30-01811.30] 就是說他之所以
[01811.30-01812.30] 每大就在於
[01812.30-01813.30] 他事不過二
[01813.30-01814.30] 就是毛龍同志
[01814.30-01816.30] 也承認說我一生只打過四四百丈
[01816.30-01817.30] 提出兩次
[01817.30-01819.30] 都是在四度吃水當中
[01819.30-01820.30] 所以在這裡面
[01820.30-01821.30] 你看
[01821.30-01822.30] 雖然有打個百丈
[01822.30-01824.30] 但是不停地在這調整這個戰略
[01824.30-01825.30] 從我們所說的
[01825.30-01826.30] 最開始的小確四川
[01826.30-01827.30] 四川不行
[01827.30-01828.30] 那我就去哪兒
[01828.30-01829.30] 我就打過一週
[01829.30-01830.30] 那規重也不行
[01830.30-01831.30] 我就幹嘛
[01831.30-01832.30] 我就入天
[01832.30-01833.30] 我就想從雲南走
[01833.30-01834.30] 所以才有了後面
[01834.30-01835.30] 我們所說的一系列的調整
[01835.30-01836.30] 一路背上
[01836.30-01838.30] 保留了我們所說的這個
[01838.30-01839.30] 雲軍
[01839.30-01840.30] 所以在這裡面大家注意一下
[01840.30-01842.30] 這次雲軍常爭的他的路線
[01842.30-01843.30] 具體來說
[01843.30-01844.30] 四路吃水
[01844.30-01845.30] 非常的精彩
[01845.30-01847.30] 但是由於他在整個考試當中
[01847.30-01849.30] 他會考斯路吃水的經過
[01849.30-01851.30] 我們在這兒的這個大家去檢話
[01851.30-01852.30] 但是真的使讓人
