[00000.00-00006.36] 我们还剩第一章的最后一节就叫做诉讼实效
[01128.30-01129.26] 你看 她说
[01129.26-01132.66] 在從4月11號開始最後6個月內
[01132.66-01135.14] 由於某種特殊的事由出現
[01135.14-01136.62] 而死送食要送斷
[01136.62-01138.42] 也就是正常情況之下
[01138.42-01141.54] 時間應該是從4月11號不停的再往後流趟
[01141.54-01144.02] 到了4月11號這天突然之間
[01144.02-01145.46] 就是突然之間
[01147.70-01150.58] 天空開始下雨開個晚上
[01150.58-01153.30] 突然之間發生了某種特定事由
[01153.30-01155.66] 或者是發生了某種法定事由
[01155.66-01157.94] 這個法定事由一旦出現之後
[01157.94-01159.14] 導致的結果是什麼呢
[01159.14-01162.12] 就是从4月11号这一天开始
[01162.12-01164.54] 速度实效的时间表
[01164.54-01166.54] 就一下被暗停了
[01166.54-01168.58] 也就是从4月11号这一天开始
[01168.58-01169.66] 就开始怎么样
[01169.66-01171.30] 不再去进行计算
[01171.30-01172.30] 速度实效了
[01172.30-01174.06] 那说老师出现了什么事
[01174.06-01175.06] 让速度实效的
[01175.06-01177.14] 这一个实真秒针就停下来了
[01177.14-01179.10] 这个法定是有到底有哪些
[01179.10-01180.14] 比如说出现了
[01180.14-01181.14] 不可抗力
[01182.42-01183.78] 反正是有写在后面
[01183.78-01184.94] 比如说出现了
[01184.94-01186.58] 不可抗力
[01186.58-01188.34] 或者是在这种情况之下
[01188.34-01189.06] 怎么样呢
[01189.06-01191.42] 我们所说的这个继承
[01191.42-01194.10] 就是原本我们所说的这个钱
[01194.10-01195.98] 比如说我们你接了一万块钱了
[01195.98-01196.26] 对吧
[01196.26-01197.50] 然后我们进一万块钱
[01197.50-01199.06] 我还没等着说
[01199.06-01200.66] 咱俩这个数十条期间过了
[01200.66-01203.14] 我在2027年的4月11号
[01203.14-01205.58] 或者是我们所说的4月10号的时候
[01205.58-01206.70] 我怎么能被人没了
[01207.74-01209.06] 就是我死了 对吧
[01209.06-01210.18] 那我去世了之后
[01210.18-01211.02] 那在这种情况之下
[01211.02-01212.66] 这个钱你朝鲜要
[01212.66-01213.78] 没定下来吧
[01213.78-01215.54] 因为我的继承人怎么样
[01215.54-01216.34] 还没有确定
[01216.34-01219.02] 所以人媒了之后就是繼承开始后
[01219.02-01220.74] 未确定繼承人的
[01220.74-01222.70] 那如果没有确定繼承人
[01222.70-01224.46] 你都不知道这个钱找谁去要
[01224.46-01225.42] 那这个时候
[01225.42-01227.18] 你是不是没有办法形权呢
[01227.18-01228.26] 那这种情况之下
[01228.26-01229.66] 就让这个诉讼怎么样
[01229.66-01230.54] 停下来
[01230.54-01232.30] 就让这个诉讼实效停下来
[01232.30-01234.42] 所以就是突然出现了一个事
[01234.42-01235.22] 然后呢
[01235.22-01235.98] 没有办法
[01235.98-01237.54] 让这个诉讼要再继续
[01237.54-01238.30] 继续下去了
[01238.30-01240.26] 因为再继续继续继续继续
[01240.26-01243.46] 他就对于双方当成当中的任何一方就咱的
[01243.46-01244.14] 就不利了
[01244.14-01245.66] 所以在这种情况之下就要干嘛
[01245.66-01246.38] 就要暂停
[01246.38-01248.22] 也许从4月11日这件开始
[01248.48-01249.58] 保留6月月了什么
[01249.58-01250.52] 送10月7件
[01250.78-01251.74] 所以在这个地方
[01251.74-01252.46] 大家要注意
[01252.58-01254.36] 人在4月11日这件
[01254.50-01255.50] 把表侾停
[01255.66-01257.06] 素食效不带计算
[01257.18-01258.86] 不再计算到什么时候计算
[01258.86-01261.02] 一直到法定是由消失之后
[01261.22-01262.06] 我们在开始计算
[01262.30-01262.74] 明白了吧
[01262.82-01264.30] 这个就要做送10效的
[01264.50-01265.06] 中止
[01265.22-01267.14] 也许从4月11日这件开始
[01267.14-01268.06] 把表停掉
[01268.06-01268.90] 把表侾掉
[01268.90-01269.74] 不让它再走了
[01270.18-01272.10] 保留6月月的素食效期限
[01272.30-01273.30] 保留到什么时候
[01273.30-01274.58] 保留到送10效
[01274.58-01276.78] 我们所说的特殊情况 消失
[01276.78-01278.62] 那你看在书上拍怎么说的
[01278.62-01280.38] 他说在苏同时要期间
[01280.38-01281.82] 最后的六个月内
[01281.82-01283.78] 你下列顾掌不能形容成球权的
[01283.78-01285.18] 苏时效要终止
[01285.18-01286.58] 终止也就是暂停
[01286.58-01288.18] 那什么情况下暂停呢
[01288.18-01289.90] 第一个只是不可抗力
[01289.90-01290.54] 什么叫不可能
[01290.54-01291.42] 你发生了地阵
[01291.42-01292.38] 地阵了之后
[01292.38-01293.82] 我找不到我了
[01293.82-01296.06] 对吧 或者发生了红水和海晓
[01296.06-01297.46] 你也找不到我了
[01297.46-01298.62] 那这种情况之下
[01298.62-01300.38] 在处于不可抗力所带来的因素
[01300.38-01302.38] 那苏时效比我家庭
[01302.38-01303.78] 就不在忙
[01303.78-01306.86] 4月11號往後再計算了 給你留6月的時間
[01306.86-01308.90] 或者在這裡他說無名是行為能力人
[01308.90-01310.90] 或現在這沒是行為能力人怎麼樣
[01310.90-01312.22] 沒有法定代理人了
[01312.22-01315.66] 那這個時候沒有人能夠幫助或者是
[01315.66-01318.90] 監督塔吹速它幫助它去形使相的權力
[01318.90-01319.90] 那這個時候
[01320.42-01323.26] 塑送我們所說 塑送石效也暫停
[01323.26-01324.90] 也會出於對他的這個保護嘛
[01324.90-01326.18] 對吧 那這個叫做
[01327.14-01328.22] 沒有法定代理人
[01328.22-01329.54] 或者是我們所說的
[01329.54-01331.54] 繼承開始之後 未確定要繼承人
[01331.54-01332.98] 你繼承人都不知道是誰
[01332.98-01335.14] 你最后形权就早上去形权
[01335.14-01335.38] 对吧
[01335.38-01337.82] 所以像这种情况之下就把表恩庭
[01337.82-01339.26] 这个素食效期间
[01339.26-01341.94] 因为这些特殊情况的十小儿暂停
[01341.94-01343.82] 暂停了这种什么时候啟动呢
[01343.82-01344.58] 打住一下
[01344.58-01346.10] 啟动的时间就是
[01346.10-01348.58] 终止十小的原因
[01348.58-01349.62] 画下原因
[01349.62-01350.90] 消除之前
[01350.90-01352.18] 满六个月
[01352.18-01353.06] 素食效
[01353.06-01353.70] 建满
[01353.70-01354.66] 你说啥意思
[01354.66-01356.18] 咱们看一下刚才这个图
[01356.18-01357.46] 刚才这个图是不是
[01357.46-01358.74] 4月11号开始
[01358.74-01360.58] 暂停素食效的计算了
[01360.58-01365.06] 那你看4月11号开始暂停速充时消的计算
[01365.06-01368.78] 然后你的松时消距离到其实还有6月
[01368.78-01372.06] 那这种情况之下你看你的松时消还有6月到期
[01372.06-01375.66] 那你接下来当室用的这些特出情况出现的时候
[01375.66-01379.28] 也就是消除之前干嘛满6月
[01379.28-01382.34] 松时消期限接嘛它可能会出现什么情况
[01382.34-01383.74] 它可能会出现这种情况
[01383.74-01386.18] 比如说你还在这里我们就以这个维利
[01386.18-01388.18] 在2020年4月11日
[01388.18-01388.54] 这一天
[01388.54-01390.06] 得知我们所说的
[01390.06-01390.78] 欠钱的这个人
[01390.78-01391.98] 就是我人美了
[01391.98-01393.50] 但是我的机程人
[01393.50-01394.38] 现在有没有确定
[01394.38-01394.94] 没有确定
[01394.94-01395.70] 那接下来干嘛
[01395.70-01396.42] 做实际上
[01396.42-01397.14] 占停
[01397.14-01399.38] 开始等待机程人的打赋
[01399.38-01400.14] 机程人
[01400.14-01401.38] 他要机程我的杀
[01401.38-01402.50] 他机程我的材杀
[01402.50-01403.06] 当然他要
[01403.06-01404.90] 要盖扩机程我的杀物
[01404.90-01405.90] 然后你就全世界
[01405.90-01406.90] 去找我的机程人
[01406.90-01408.26] 终于在哪一天找到了呢
[01408.26-01409.26] 终于在
[01409.26-01410.14] 我们所说的
[01410.14-01410.82] 2020
[01410.82-01412.02] 28年的
[01412.02-01413.74] 1月1号找到了
[01414.74-01415.98] 或者是确定了
[01415.98-01418.74] 我的这个在乌的基称人
[01419.74-01421.18] 那这种情况这下你看
[01421.18-01424.38] 社交把刚才的特殊情况的这个石油怎么样
[01424.38-01426.18] 你找到了没有基称的情况
[01426.18-01428.14] 这个时候石油就消失了
[01428.14-01429.46] 那石油消失了
[01429.46-01432.62] 这个时候我们所说的时空暂停数
[01432.62-01434.06] 消失再次起动
[01434.06-01435.70] 这个石油消出知识起
[01435.70-01439.70] 也就是从2020-28年的1月2号开始往后
[01439.70-01441.70] 开始继续继算
[01441.70-01447.84] 開始繼續計算,內六個月的訴訟史效
[01448.10-01450.92] 那這種數字數字數是什麼時候到期?
[01451.18-01453.48] 是2028年7月20日到期
[01453.74-01454.24] 明白了吧
[01454.50-01456.80] 所以在這種情況之下,數字數正常
[01457.06-01462.70] 一點意外沒有的,它就是按照正常的表來走,走3年,走到27年11月11日
[01463.20-01465.76] 但反而是在這3年當中出現一些特殊情況
[01466.02-01468.32] 可能引起數字數字數的中止
[01468.32-01472.40] 就是在蘇州史校還上最後6月的時候突然出現了法定室友
[01472.40-01474.24] 你如果在往前走就不合理了
[01474.24-01476.24] 你這種時候就要時空暫停數
[01476.24-01478.68] 對吧讓蘇州史校保留6月7線
[01478.68-01481.12] 保留6月7線之後一直等到
[01481.12-01482.24] 室友消失之後
[01482.24-01483.52] 然後再繼續往後計算
[01483.52-01484.40] 明白這個意思吧
[01484.40-01487.12] 那這個就叫做蘇州史校的中紙
[01487.12-01488.48] 所以你看他說的是
[01488.48-01489.84] 消失之前
[01489.84-01491.92] 滿6個月開始怎麼樣
[01491.92-01493.36] 開始去計算
[01493.36-01494.16] 開始計算
[01494.16-01495.28] 所以大家注意一下
[01495.28-01496.64] 所以在這種地方
[01496.64-01498.72] 我们所说的这叫送食销的终止
[01498.72-01500.44] 只是暂停保留六月
[01500.44-01501.76] 然后再开启算
[01501.76-01503.76] 这是我们所说的终止
[01503.76-01506.28] 那还有一种送食销的终断
[01506.28-01508.56] 终止是有销售之后
[01508.56-01510.44] 继续算剩下的六月
[01510.44-01511.56] 是不是继续继算
[01511.56-01513.00] 而终断和它不一样
[01513.00-01513.88] 终断是啥呢
[01513.88-01515.20] 终断它没有说
[01515.20-01516.36] 在最后六月期间
[01516.36-01518.56] 也就是在诉讼实校进行期
[01518.56-01520.00] 任何一个时间节点
[01520.00-01521.84] 也设在整个送食销期间内
[01521.84-01523.44] 也设在那三年之内
[01523.44-01525.28] 也是刚才那个土表当中的
[01525.28-01529.24] 2024年的10月11號到2027年的10月11號
[01529.24-01530.76] 這三年之內
[01530.76-01533.20] 說因爲一定是有的發生
[01533.20-01536.36] 導致以前經過的送食效歸於無效
[01536.36-01537.52] 那代法就是有消之後
[01537.52-01538.00] 開始怎麼樣
[01538.00-01540.64] 重新計算送食效的這樣的一個情況
[01540.64-01541.80] 這個就叫做
[01542.60-01543.64] 那我們就來看一下
[01543.64-01545.36] 這些法定是有到底有哪些
[01545.36-01546.80] 到底發生了什麼事
[01546.80-01549.44] 讓這個送送食效開始重新計算了
[01549.44-01551.44] 有就是從零開始在
[01551.44-01552.20] 來三年
[01552.20-01552.48] 對吧
[01552.48-01553.92] 那我們來看一下哪些是有
[01553.92-01555.46] 人第一个是有就是
[01555.46-01557.50] 全力人相依物人提出
[01557.50-01558.78] 旅行请求的
[01558.78-01560.32] 有了在这个过程当中
[01560.32-01561.86] 推出他行权了
[01561.86-01566.20] 咱们刚才在这里面听说了是2024年的10月11号
[01566.20-01569.54] 一直到2027年的10月11号
[01569.54-01571.32] 这是3年的宋宋小期间
[01571.32-01572.86] 也就是在这3年的
[01572.86-01576.70] 宋宋小当中你任何一个时间向法院起诉我
[01576.70-01578.76] 如果你受诉了我都会要被怎么样
[01578.76-01580.80] 强制还款的对不对
[01580.80-01582.58] 那这种情况之下我们来看一下
[01582.58-01585.66] 他能够导致三年送食小中斷重新計算的第一种情况
[01585.66-01586.30] 就是在这
[01586.30-01588.06] 说全力人相依物人
[01588.06-01589.70] 旅行提出理型情况
[01589.70-01591.66] 这是咱俩之前关系特别好吗
[01591.66-01592.06] 对吧
[01592.06-01592.70] 你不还我钱
[01592.70-01595.62] 我也一直不好意思让你把钱还给我
[01595.62-01597.22] 我这个内心非常的尽哦
[01597.22-01598.70] 一万块钱都有来说来挺多的
[01598.70-01598.98] 对吧
[01598.98-01599.94] 但是我就是
[01599.94-01600.74] 顶我来倒去
[01600.74-01601.62] 我一向怎么还不还
[01601.62-01602.66] 怎么还不还吗
[01602.66-01604.22] 然后突然有一天我别不住了
[01604.22-01605.30] 到哪天我别不住了呢
[01605.30-01605.94] 他们注意下
[01605.94-01609.74] 到了2020年27年的10月9号这一天
[01609.74-01610.38] 我别不住了
[01610.38-01611.42] 我說咱俩
[01611.42-01612.70] 那趴關係在好
[01612.70-01614.06] 輕鬆地要明算帳
[01614.06-01616.30] 這一天我就開始給你發微信
[01616.30-01618.30] 我發現我先發了兩個字
[01618.30-01619.66] 我說在嗎
[01619.66-01620.46] 對吧
[01620.46-01622.78] 然後你看到這個聲音就應該有點警覺了
[01622.78-01624.06] 你說不在
[01624.06-01625.42] 我說你別開玩笑了
[01625.42-01625.74] 對吧
[01625.74-01627.18] 我說最近過得好嗎
[01627.18-01628.22] 生活過得怎麼樣
[01628.22-01629.66] 家裡身體還健康嗎
[01629.66-01630.78] 你說有批快放
[01630.78-01632.30] 我說你看成熟把錢還握
[01632.30-01632.62] 對吧
[01632.62-01633.90] 那這時候我發微信
[01633.90-01634.46] 是不是幹嘛
[01634.46-01636.06] 我說不推出行權了
[01636.06-01638.70] 那我這時候一旦推出行權的話
[01638.70-01640.22] 那麼OK同學們
[01640.22-01641.92] 一旦推出形式权力
[01641.92-01642.82] 它有什么效果
[01642.82-01643.80] 从10月9号
[01643.80-01645.88] 这一天开始出现了
[01645.88-01647.72] 诉讼实效中断的
[01647.72-01649.02] 我们所说的这样的情况
[01649.02-01650.22] 是不是旅行
[01650.22-01651.62] 像提出理型请求
[01651.62-01653.22] 带这个旅行请求
[01653.22-01654.22] 我发出之后
[01654.22-01656.02] 诉讼实要开始重新计算
[01656.02-01658.82] 而且从我向你发出请求到请求结束之后
[01658.82-01660.98] 我又开始从第0天开始
[01660.98-01661.84] 再加3年
[01661.84-01662.74] 明白这个意思吧
[01662.74-01665.02] 有时从10月10号那一天开始
[01665.02-01666.02] 然后再加3年
[01666.02-01667.62] 你的诉讼实效收入往后言
[01667.62-01668.62] 这第一种情况
[01668.62-01669.92] 第二种情况是什么
[01669.92-01672.16] 就是全力人没有像力务人提出理想
[01672.16-01675.32] 但是一人表示统一旅行
[01675.32-01676.44] 那就用情况之下
[01676.44-01677.24] 也是怎么样
[01677.24-01678.68] 也是我们所说的
[01678.68-01680.16] 可以中断送食贸
[01680.16-01681.28] 啥意思呢
[01681.28-01682.40] 比如说
[01682.40-01683.80] 马上就到老二年
[01683.80-01684.92] 二七年十月十一号了
[01684.92-01685.64] 过了十一号
[01685.64-01686.68] 你就没有办法
[01686.68-01688.92] 像法院强制起诉我
[01688.92-01689.88] 然后还钱了
[01689.88-01690.44] 对吧
[01690.44-01691.56] 然后我也不好意思
[01691.56-01693.16] 后来我就想那种任灾了吧
[01693.16-01693.36] 对吧
[01693.36-01694.56] 想要加了关系这么好的
[01694.56-01695.76] 一万块钱就一万块钱吧
[01695.76-01696.80] 我觉得就算是
[01696.80-01697.72] 买了个教训
[01697.72-01698.96] 我任轻了你这个人
[01698.96-01702.64] 然后我就抱着说这一万块钱打水漂的这个心态突然有一天
[01702.64-01705.16] 2.27年的10月10号这一天
[01705.16-01705.88] 我干嘛呢
[01705.88-01707.60] 我收到了你的微信
[01708.68-01710.16] 收到了你的微信
[01710.44-01711.68] 我收到了你的微信
[01711.68-01712.72] 你给我发了两个字
[01712.72-01713.68] 你说在吗
[01713.68-01714.92] 我说有批快放
[01714.92-01715.28] 对吧
[01715.28-01717.08] 你说我要还你钱
[01717.08-01718.52] 我说你说我要
[01719.08-01719.64] 要
[01720.20-01720.92] 还你钱
[01721.04-01721.44] 我说
[01721.44-01721.84] 哎呦
[01721.84-01722.56] 我说你
[01722.56-01724.12] 咋的那怎么突然想花我钱呢
[01724.12-01725.64] 他说不过这一万块钱借的
[01725.76-01727.24] 我这每天都在想什么时候还你
[01727.24-01729.76] 也不弄美呀 等我 我把钱还你
[01729.76-01732.00] 你说我过几天我就把钱还你
[01732.00-01734.04] 我说那行 那贵钱你把钱还我
[01734.04-01735.08] 我说我等着你
[01735.08-01737.68] 那你看 在这里面可能会存在一个怎么情况
[01737.68-01739.40] 就是如果我是真心实义的
[01739.40-01741.36] 说我小儿旅行一无 还行
[01741.36-01743.24] 但如果说在这过程当中
[01743.24-01744.48] 我跟你耍了信耳呢
[01744.48-01745.16] 我就想
[01745.96-01747.40] 今天已经实跃时候了
[01747.40-01748.92] 我稍微点法律只是
[01748.92-01751.00] 实跃时候实跃是一号有两天
[01751.00-01753.16] 他只要不像法院去起诉
[01753.16-01754.48] 他也不给我发消息
[01754.48-01755.80] 哎 脫过这样的天伍就
[01755.92-01757.84] 素食就过了 说不如还他钱了
[01758.00-01759.92] 所以那一天假设我给你发布
[01759.92-01761.12] 说我规矩要还钱
[01761.12-01761.92] 这是我在干嘛
[01762.08-01763.16] 这假设是我在
[01763.28-01763.88] 框里的
[01763.88-01765.16] 我就是为了稳住你
[01765.16-01767.12] 然后最后形势自己的素食要抗变
[01767.24-01768.72] 那这时候对于战略人怎么样
[01768.84-01769.64] 太不利了
[01769.72-01770.80] 那我这种人就咋的
[01770.80-01771.64] 太不要脸了
[01771.72-01772.64] 那法律对于我这种
[01772.64-01773.20] 不要脸的人
[01773.20-01774.64] 他有没有相当
[01775.20-01775.76] 几句啊
[01775.76-01776.68] 他当然有几句了
[01776.68-01776.88] 对吧
[01776.88-01778.80] 他所有的设立的所有的法律底线
[01778.80-01779.96] 都是应对我这种人的
[01780.16-01781.28] 所以在这里面你看
[01781.28-01783.80] 我10月10日那一天给你发消息
[01783.80-01786.40] 也就是我向你表明愿意旅行一物之后
[01786.40-01788.64] 那从10月11日这一天开始
[01788.64-01790.68] 宋时校就怎么样中断了
[01790.68-01794.28] 从10月10日这一天开始宋时校中断
[01794.28-01796.32] 从10月11日那一天开始
[01796.32-01797.84] 重新三年
[01797.84-01799.72] 从新计算三年宋时期线
[01799.72-01803.56] 有的是从2027年的10月10日再加三年
[01803.56-01806.12] 也就是到了2017年的
[01806.32-01808.40] 我们所说的是加三年
[01808.40-01809.44] 2036年
[01809.44-01810.28] 加三年
[01810.28-01812.88] 2030年的10月11號這天開始
[01812.88-01814.88] 又吃我的什麼
[01814.88-01815.88] 我的素用時要記起來
[01815.88-01818.68] 就在這裡面我可以讓你強制的緩快
[01818.68-01820.36] 那這是我們所說的第二個
[01820.36-01822.36] 你看它就是為了保護
[01822.36-01824.24] 債券人預防向我爭請狂
[01824.24-01825.64] 那第三一個情況是什麼呢
[01825.64-01826.48] 第三一個情況就是
[01826.48-01828.68] 權利人提起素用時效或申請中才
[01828.68-01830.08] 有時候在這三年
[01830.08-01831.80] 素用時效期間任何一天
[01831.80-01833.28] 我提起素送了
[01834.72-01835.88] 那這個時候
[01835.88-01837.08] 素用時效怎麼辦
[01837.08-01839.08] 中斷中斷了之後
[01839.08-01841.08] 然后重新起算
[01842.54-01845.72] 也就是会进一步延长
[01846.24-01847.72] 不好意思啊我的这个桑子
[01848.28-01850.68] 也就是会进一步延长我们所说的什么
[01850.68-01851.80] 这个宝库期限
[01851.80-01852.34] 明白了吧
[01852.34-01853.72] 所以宋使宝中断
[01853.72-01854.44] 他要干嘛
[01854.44-01857.00] 他的效率就是重新起算
[01857.00-01859.48] 宋使宝中断他是重新起算
[01859.48-01862.36] 我们所说的这个宝库期间的
[01862.36-01864.36] 所以宝库在这里要能够去去分
[01864.36-01866.12] 第一个就是干纯的实际
[01866.12-01867.96] 我们去把他背下来就可以了
[01867.96-01870.68] 直至我们所说的一般情况下三年
[01870.68-01872.12] 偷着请问下四年和五年
[01872.12-01874.76] 然后最后一个就是最常是二十年
[01874.76-01876.40] 第二个就是宋使校
[01876.40-01879.04] 他正常请问之下就是像正常的时间一样
[01879.04-01880.56] 不断的自由的流走
[01880.56-01881.92] 低大低大一分一秒过去
[01881.92-01883.52] 但是存在偷出情况
[01883.52-01886.32] 那就会出现宋使校中指或者是中断
[01886.32-01890.32] 我们要知道中指是暂停保留六个月的期间
[01890.32-01892.48] 中断是重新寄算
[01892.48-01894.16] 其实都是对于我们所说的
[01894.16-01896.40] 全的人的他的一个保护
[01896.40-01897.20] 全人的保护
[01897.20-01899.44] 这个是我们所说的 塑松石效
[01899.44-01901.24] 它的一个终止和中断
[01901.24-01903.40] 那了解了素素效的终止和终断
[01903.40-01904.60] 大家也要知道素素效
[01904.60-01905.84] 如果一旦经过了
[01905.84-01908.72] 比如说按照正常的时间流转的情况之下
[01908.72-01910.08] 按照正常的时间流转
[01910.08-01912.36] 中间没有出现任何终止和终断的情况
[01912.36-01914.72] 是2023年的10月之后
[01914.72-01917.16] 一直到2023年
[01917.16-01919.16] 加三年
[01919.16-01920.88] 我前面一直说的是加几年
[01921.88-01923.04] 对2024年
[01923.04-01924.04] 24年
[01924.04-01925.64] 2024年这个地方还款
[01925.64-01928.68] 对吧 然后到2007年的10月之后
[01928.68-01932.28] 那一看同学们 这次三年的宋十小期 对不对
[01932.28-01933.76] 三年的宋十小期
[01933.76-01935.56] 那这三年的宋十小期假设
[01935.56-01939.12] 没有中止 或者是我们所说的中断的情况
[01939.12-01942.04] 但一直到2007年的10月之后这一天
[01942.04-01943.84] 宋十小期限借满
[01943.84-01947.36] 我算是强制要求你旅行的这样的一个权利
[01947.36-01950.56] 对吧 这个是宋十小借满
[01952.36-01953.44] 这一天 对吧
[01953.44-01954.72] 那宋市社借满
[01954.72-01956.52] 他有什么样的法律后果呢
[01956.52-01957.40] 大家注意一下
[01957.40-01958.72] 宋市社借满
[01958.72-01960.04] 他的一个法律后果
[01960.04-01961.62] 只是第一个我们所说的
[01961.62-01962.90] 啥呢就是
[01962.90-01964.88] 喪失了强制
[01964.88-01967.00] 要求我旅行的这样的一个权力
[01967.00-01969.56] 就是借不任可以提起宋市社抗变
[01969.56-01971.36] 但是借人提起宋市社抗变
[01971.36-01973.36] 他并不意味着债权债务已经
[01973.36-01975.84] 修处或者债权债务已经灭失了
[01975.84-01977.84] 因为在这个过程当中大主意下
[01977.84-01979.04] 宋市社借满
[01979.04-01981.08] 只不过是什么是债务人
[01981.08-01986.08] 可以不还钱
[01986.08-01990.08] 大助一下是债务人可以不还钱
[01990.08-01992.08] 大助一下债务人可以不还钱
[01992.08-01994.08] 但是是不是意味着
[01994.08-01997.08] 债务关系不成练
[01999.08-02002.08] 是不是意味着债务关系不成练呢
[02002.08-02004.08] 大助一下并不是
[02004.08-02006.08] 只我现在给了我一个什么
[02006.08-02008.08] 抗变室游而言
[02008.08-02010.68] 明白了吧 给了我一个抗变 世游而已
[02010.68-02013.68] 但是我们你借款的这个事实
[02017.48-02021.48] 大陈一下 但是我为你借款的这个事实 逼就存在
[02022.68-02025.88] 对吧 我们借款的这个事实他依旧存在
[02025.88-02027.88] 所以在这里面 大家一定要注意一下
[02027.88-02030.88] 借款事实依旧存在 那这个时候就意味着
[02030.88-02034.88] 诉讼实效劲嘛 这爱全 这有关系
[02035.48-02037.48] 大陈一下 是这爱全
[02037.48-02042.88] 在物关系其实没有消灭
[02042.88-02045.08] 只不过我可以不用还钱了
[02045.08-02047.08] 但是战刑栒关系就存在
[02047.08-02049.08] 就是因为这计划事实就存在
[02049.08-02050.48] 这个点为什么要给大家提呢
[02050.48-02053.08] 因为它有的时候会考察一个判断体
[02053.08-02054.88] 说宿舍需要期限劲满
[02054.88-02056.68] 原战划栓栓栓
[02056.68-02059.70] 消失或者是在旋载武关系消灭
[02059.70-02061.54] 众说法对不对呢 同学们
[02062.04-02063.52] 在旋载武关系消灭
[02063.52-02065.64] 也就是我们所说的合同的
[02065.64-02067.56] 中止 合同全力一路的中止
[02067.56-02068.68] 红旗一路的中止
[02068.68-02070.20] 一般请问 只有我们所说的
[02070.20-02071.40] 要么就是清常
[02071.40-02074.48] 要么就是有代物清常 写意 对不对
[02074.48-02077.28] 又或者说是我们所说的出现了
[02077.28-02079.32] 其他的一些比如说底消贱
[02079.32-02081.24] 车要起来等等这种情况出现了
[02081.24-02083.32] 这种情况之下才算做我们所说的
[02083.32-02084.92] 在旋载武关系消失
[02084.92-02087.74] 但是我们所说的这个债权债务关系
[02087.74-02090.30] 在宋使要欺骗借满这一天
[02090.30-02092.60] 这个借款是一旧存在
[02092.60-02094.66] 债权本身没有小米
[02094.66-02096.70] 明白了吧 债权本身没有小米
[02096.70-02099.26] 所以在这里的注意下是债权没有小米
[02099.26-02100.78] 就把屋住这个点就行了
[02100.78-02105.14] 这个就是我们所说的关于宋宋使效的全部内容
[02105.14-02107.90] 到这就把整个
[02107.90-02111.06] 我们所说的第一张有关于民法
[02111.06-02113.08] 以及民室法里关系的内容给大家讲完了
[02113.08-02114.88] 咱們把這個框架在書裡下
[02114.88-02116.48] 我們所說的這個民法
[02116.48-02118.88] 他調整的是民視法律的關係
[02118.88-02121.40] 民視法律關係的內容包括三個方面
[02121.40-02123.88] 包括主體、包括內容、包括客體
[02123.88-02126.12] 而引起民視法律關係的叫做民視法律
[02126.12-02129.64] 事實我們又分為我們所說的什麼
[02129.64-02134.08] 行為和我們所提到的叫做事件
[02134.08-02136.88] 是件有自然事件和事件
[02136.88-02138.52] 這個就是我們所說的行為
[02138.52-02142.80] 於是我們在行為當中講到了民視法律行為
[02142.80-02145.88] 而在民事法律行为当中打住一下
[02145.88-02148.52] 在民事法律行为当中他还有另外一个点
[02148.52-02150.72] 民事法律行为当中没有强调了
[02150.72-02153.92] 说效力代定的民事法律合同
[02153.92-02157.44] 他其实会出现一个叫做什么叫做代理的问题
[02157.44-02157.80] 对吧
[02157.80-02159.32] 就是无权代理的问题
[02159.32-02161.68] 那在无权代的当中我们又讲到了代理权
[02161.68-02163.64] 最后我们又讲到了诉讼史教
[02163.64-02166.68] 所以同们言是这个思路把它的框架书里清楚
[02166.68-02169.28] 好 那第一张内容我们到这就结束了
