[00000.00-00003.06] 好了 那我们接着来往下看
[00003.06-00004.80] 咱们先做一个減转的回顾
[01053.08-01054.36] 而且是七寻章当中
[01054.36-01056.44] 第一个拿到这个寻章的人
[01056.44-01056.76] 对吧
[01056.76-01058.04] 为什么他放在第一个呢
[01058.04-01059.00] 就是骂毛姐当年
[01059.00-01061.24] 就是杜江战云的小英雄
[01061.24-01062.20] 那一年骂毛姐呢
[01062.20-01063.48] 他才十多岁
[01063.48-01065.08] 然后当时他和他的二哥
[01065.08-01065.96] 听了解放军的
[01065.96-01066.76] 这样的一个宣存
[01066.76-01067.80] 策略之后呢
[01067.80-01068.60] 就去享用
[01068.60-01070.28] 然后就加入到了杜江战云
[01070.28-01071.80] 当时十多岁的他
[01071.80-01072.60] 对于解放军来说
[01072.60-01074.12] 结放军就说年纪太小了
[01074.12-01076.28] 不要上节前太危险
[01076.28-01077.24] 然后当然他不听
[01077.24-01078.20] 然后撤拿不住一个
[01078.20-01080.36] 花传就再结放军就走了
[01080.36-01081.96] 然后在杜江的过程当中
[01081.96-01083.48] 对面会打子弹过来
[01083.48-01084.92] 然后当时马毛姐的手臂
[01084.92-01086.28] 就被子弹打伤了
[01086.28-01087.00] 然后结放军说
[01087.00-01088.52] 包在一下不是太危险了
[01088.52-01090.20] 然后当马毛姐说没关系
[01090.20-01092.52] 就是先把人和东西送过去
[01092.52-01093.56] 所以你看那个时候
[01093.56-01095.08] 就是大家怀耳传
[01095.08-01097.00] 把我们的解放军送到江的队
[01097.00-01098.04] 然后解放
[01098.04-01099.40] 我们所说的难兴
[01099.40-01100.84] 所以这就是杜江战云
[01100.84-01102.16] 所以叫做用小传
[01102.16-01103.16] 滑出来的战云
[01103.16-01104.60] 大助一下这是第一个
[01104.60-01105.48] 那第二个呢
[01105.48-01106.52] 大家一定要注意
[01106.52-01108.44] 就是我们在杜江战云的时候
[01108.44-01110.52] 毛文统这些微手师
[01110.52-01111.56] 当然应该还记得吧
[01111.56-01113.80] 就是百万熊师过大江
[01120.44-01120.84] 对吧
[01120.84-01122.04] 那百万熊师过大江
[01122.04-01123.16] 其实形容的就是什么
[01123.16-01124.52] 就是杜江战云
[01124.52-01126.80] 叫一江盛有追求控
[01126.80-01128.28] 不可顾没有学霸王
[01128.28-01129.40] 那这就是杜江战云
[01129.40-01130.60] 杜江战云之后
[01130.60-01131.64] 我们所说的
[01131.64-01133.48] 难兴得到解放
[01133.48-01135.00] 这个时候全境
[01135.00-01136.20] 就已经解放了
[01136.20-01137.16] 国民当
[01137.16-01139.00] 我们所说的残御的势力推渠到了
[01139.00-01139.80] 台湾
[01139.80-01141.32] 那这个就是我们所说的
[01141.32-01142.60] 战略绝战云
[01142.60-01143.72] 战云之后的
[01143.72-01144.36] 所以大家注意一下
[01144.36-01145.32] 这是我们所说的
[01145.32-01146.28] 三大战云
[01146.28-01148.44] 以及最后的绝盛局
[01148.44-01149.72] 就是杜江战云
[01149.72-01151.24] 那这是我们所说的
[01151.24-01152.20] 内战
[01152.20-01153.32] 那讲的内战之后
[01153.32-01154.44] 还有一个就是
[01154.44-01156.36] 人民解放战云的盛力
[01156.36-01157.00] 它可以一个世界
[01157.00-01157.96] 还有一定的关系
[01157.96-01159.88] 这个世界的就期待而中全会
[01159.88-01161.56] 期待而中全会同们注意注意
[01161.56-01163.24] 一定是一个非常做的一个
[01163.24-01163.72] 世界
[01163.72-01164.52] 期待而中全会
[01164.52-01165.48] 咱们刚才说了
[01165.48-01166.60] 它个期待要分开
[01166.60-01167.80] 期待是看而是战云
[01167.80-01168.60] 的圈形
[01168.60-01169.48] 期待而中全会
[01169.48-01172.04] 所以是在解放战云
[01173.08-01174.84] 盛力前期召开的
[01177.56-01179.56] 解放战云盛力前期召开的
[01179.56-01181.96] 一料和期待分开期待
[01181.96-01183.08] 期待模式入冷
[01183.08-01183.72] 张摩洞色
[01183.72-01185.72] 协务党正在看战云前期
[01185.72-01188.12] 它是在解放战云盛力前期召开
[01188.12-01189.32] 在哪召开的呢
[01189.32-01190.04] 大家注意一下
[01190.04-01191.40] 第一个时间要注意
[01191.40-01192.92] 第二是在
[01192.92-01194.36] 西百坡召开的
[01194.36-01195.08] 大家注意一下
[01195.08-01196.76] 这是平山线
[01196.76-01197.48] 西百坡
[01197.48-01199.48] 这时候七二中全会
[01199.48-01201.48] 它其实就是我们所说的西百坡会
[01201.48-01202.04] 对吧
[01202.04-01204.36] 在七二中全会当中说了什么事
[01204.36-01205.88] 在这里面两个点
[01205.88-01208.20] 第一个就是工作重新的转叶
[01208.20-01210.20] 从相寸转移到城市
[01210.20-01211.96] 同时还记得工作重新的转移
[01211.96-01213.08] 这已经是第四转了
[01213.08-01213.72] 第二次转
[01213.72-01215.08] 第一次转是在什么时候
[01215.08-01216.76] 是在轄收期移的时候
[01216.76-01218.20] 轄企业打输了
[01218.20-01219.00] 退回到了哪
[01219.00-01220.28] 退回到了门家事
[01220.28-01221.72] 然后在门家事的时候说
[01221.72-01222.52] 而不行
[01222.52-01223.64] 走城市走不通
[01223.64-01224.60] 城市贴动一块
[01224.60-01225.80] 国民脑罪经内的不对
[01225.80-01226.76] 都在城市了
[01226.76-01227.88] 这时候我们干嘛
[01227.88-01229.20] 走地后路线
[01229.20-01230.44] 广道農村去
[01230.44-01231.08] 所以那时候
[01231.08-01233.88] 提到要从城市转移到哪
[01233.88-01235.08] 转移到農村
[01235.08-01236.28] 所以你看我们后来的
[01236.28-01238.28] 所以一直都是在農村发展
[01238.28-01239.16] 深入全中的
[01239.16-01239.56] 对吧
[01239.56-01240.52] 这个时候
[01240.52-01242.20] 已经打赢了圣账了
[01242.20-01243.48] 马上就要解放全境了
[01243.48-01244.84] 我们的工作就不能继续
[01244.84-01245.48] 再農村了
[01245.48-01246.48] 而是要从什么
[01246.48-01248.60] 而是要从農村转移到城市
[01248.60-01250.84] 要看这考虑如何建设这个国家了
[01250.84-01251.80] 所以正式
[01251.80-01253.32] 又一次的重新转移
[01253.32-01254.60] 大主一下这第一个
[01254.60-01255.16] 第二个
[01255.16-01257.88] 这位在七二中全会当中提到了两个目的
[01257.88-01259.32] 这两个目的需要同们注意
[01259.32-01260.92] 第一个是误并切削解身
[01260.92-01262.20] 不交不造
[01262.20-01263.96] 叫误并保持监股分斗的
[01263.96-01264.60] 做风
[01264.60-01265.80] 这是两个目的
[01265.80-01268.20] 为什么在这里会提到两个目的
[01268.20-01269.40] 当时毛东同志
[01269.40-01270.36] 他就提到了
[01270.36-01271.72] 说我们的党
[01271.72-01273.08] 可我们的党
[01273.08-01275.24] 可以抵的住敌人的强连代语
[01275.24-01277.16] 但是不一定能抵个住强一炮弹
[01277.16-01278.28] 中国中国
[01278.28-01281.00] 他是从苦难的深入当中走过来的
[01281.00-01283.16] 从1840年一直走到了
[01283.16-01284.12] 1949年
[01284.12-01285.48] 一直走到了今天
[01285.48-01286.76] 一百多年的时间
[01286.76-01289.00] 当中经过无数次的探索
[01289.00-01290.28] 无数次的黑暗
[01290.28-01291.56] 我们都是在黑暗当中
[01291.56-01292.76] 增长在站起来
[01292.76-01293.08] 对吧
[01293.08-01294.20] 经历那么多的苦痛
[01294.20-01295.08] 牺牲那么多的人
[01295.08-01295.96] 才有了今天
[01295.96-01297.64] 能不能说打了圣仗
[01297.64-01298.76] 我们就无敌了
[01298.76-01299.48] 打了圣仗
[01299.48-01300.44] 我们就没随了
[01300.44-01301.64] 我们就可以躺平
[01301.64-01302.76] 外食接受了
[01302.76-01303.96] 其实不是的
[01303.96-01305.40] 恰恰是打了圣仗
[01305.40-01307.56] 国家的接受才刚刚开始
[01307.56-01308.36] 中国
[01308.36-01309.48] 在过去一百多年
[01309.48-01311.24] 当中受播学受压迫
[01311.24-01312.60] 百姓劉力失锁
[01312.60-01314.04] 国家百费戴兴
[01314.04-01316.52] 所以这才是真正正正正的开始
[01316.52-01318.68] 所以在这里某东通知说了
[01318.68-01320.04] 在胸利面前
[01320.04-01321.00] 误并保持
[01321.00-01322.92] 千虛解身不交不交的作风
[01322.92-01323.88] 误并保持
[01323.88-01326.20] 监苦奋斗的作风
[01326.20-01327.56] 在这里面就是要强调
[01327.56-01328.76] 在国家的下一个角度
[01328.76-01329.88] 它应该怎么办
[01329.88-01331.32] 这是两个误并
[01331.32-01332.52] 这个点大住一下
[01332.52-01334.28] 它是一个重要的支持点
[01334.28-01336.36] 它除了考量误并之外
[01336.36-01337.60] 它会考察一个对比
[01337.60-01337.96] 支持点
[01337.96-01339.48] 就是在19接
[01339.48-01342.12] 六中全会的时候
[01342.12-01343.72] 不是在胸利用全会
[01343.80-01344.92] 是在20大的时候
[01344.92-01347.00] 几产品了
[01347.00-01348.28] 同样记得旁边
[01348.28-01349.64] 是在20大的时候
[01349.64-01351.48] 在20大新的阶段
[01351.48-01352.68] 国家发展的
[01352.68-01354.44] 新的历史期间当中
[01354.44-01355.32] 我们提到了什么
[01355.32-01356.44] 三个误并
[01358.84-01359.64] 同们注意
[01359.64-01361.48] 这三个误并是哪三误并
[01361.48-01362.68] 误并保持
[01362.68-01364.92] 叫误并不忘出新
[01367.56-01369.00] 误并不忘出新
[01369.00-01370.28] 老纪使命
[01370.28-01371.56] 这是第一个误并
[01371.56-01372.92] 那第二误并是什么呢
[01372.92-01374.52] 我们把误并牵虚解剩
[01374.52-01375.32] 监狐分动
[01378.60-01381.32] 误并牵虚解剩
[01384.52-01385.64] 监狐分动
[01389.00-01390.36] 第三个是误并
[01390.36-01391.68] 赶于斗争误并
[01391.68-01392.92] 赶于斗争
[01394.92-01395.96] 绅于斗争
[01398.60-01399.36] 我们怎么记得
[01399.36-01400.12] 我们把这三个
[01400.12-01401.00] 成织为叫做
[01401.00-01401.48] 误并
[01401.48-01402.88] 出千斗
[01402.88-01403.96] 三误并误并
[01403.96-01404.76] 误并出
[01404.76-01405.24] 出
[01405.24-01406.60] 出新的出
[01406.60-01408.64] 千虚解剩
[01408.64-01409.40] 监狐分动
[01409.40-01409.88] 斗
[01409.88-01410.60] 赶于斗争
[01410.60-01411.48] 赛斗争
[01411.48-01412.76] 所以二十大当中的
[01412.76-01413.40] 三误并
[01413.40-01415.24] 也是我们在新的
[01415.24-01416.68] 政策当中的新的提法
[01416.68-01417.56] 大家知道是
[01417.56-01418.20] 误并
[01418.20-01418.92] 出千斗
[01418.92-01419.56] 误并
[01419.56-01420.16] 千虚解剩
[01420.16-01420.76] 千误分动
[01420.76-01420.92] 误并
[01420.92-01422.20] 赛误斗争
[01422.20-01422.60] 斗争
[01422.60-01423.88] 这是我们所说的
[01423.88-01424.68] 这几个
[01424.68-01425.48] 这几个几个几个
[01425.48-01426.68] 数字后的大家也要
[01426.68-01427.88] 明学另外一个点
[01427.88-01428.68] 就是在这里面
[01428.68-01429.32] 不是提到了
[01429.32-01430.52] 叫误并千虚解剩
[01430.52-01431.40] 见误分动
[01431.40-01432.52] 那他来自于什么
[01432.52-01433.08] 千虚解剩
[01433.08-01433.64] 见误分动
[01433.64-01434.60] 就来自于七家人
[01434.60-01435.64] 从全会当中的
[01435.64-01436.68] 两个误并
[01436.68-01437.56] 所以在这里面
[01437.56-01438.52] 大家一定要知道
[01438.52-01439.20] 这是七家人
[01439.20-01439.88] 从全会
[01439.88-01441.48] 非常重要的
[01441.48-01442.12] 内容
[01442.12-01443.00] 爱过三个方面
[01443.00-01443.88] 时间
[01443.88-01444.52] 地点
[01444.52-01444.92] 内容
[01444.92-01445.96] 以及他和现在
[01445.96-01446.68] 实正的
[01446.68-01447.40] 连通点
[01447.40-01448.20] 这个点
[01448.20-01449.40] 考过不止一次了
[01449.40-01450.52] 同一没掉注意
[01450.52-01451.56] 这是我们所说的
[01451.56-01452.20] 解放战争
[01452.20-01453.56] 上的前续双开的会议
[01453.56-01454.92] 最后一个绝战
[01454.92-01455.80] 就是我们所说的
[01455.80-01456.52] 度将战亿
[01456.52-01458.04] 咱们刚刚讲过了
[01458.04-01459.08] 这是我们所说的
[01459.08-01459.96] 解放战争
[01459.96-01460.76] 那度将战亦结束
[01460.76-01461.04] 之后
[01461.04-01462.12] 全境的了解放
[01462.12-01463.16] 接下就要进入到
[01463.16-01463.96] 新中国的
[01463.96-01465.00] 建设阶段
[01465.00-01466.36] 新中国的建设阶段
[01466.36-01468.28] 就是从1949年开始
[01468.28-01469.24] 一直到今天
[01469.24-01469.64] 对吧
[01469.64-01470.60] 这是我们所说的
[01470.60-01471.48] 后面的内容
[01471.48-01472.24] 他就和
[01472.24-01473.08] 中特的内容
[01473.08-01473.88] 挂勾了
[01473.88-01474.84] 咱们反护去强调
[01474.84-01475.96] 那个时间中
[01475.96-01476.76] 非常有用
[01476.76-01478.20] 一定要把它收理清楚
[01478.20-01478.68] 好
[01478.68-01479.72] 这是我们所说的
[01479.72-01480.44] 解放战争
[01480.44-01481.16] 打打完了
[01481.16-01482.12] 我们来看一下
[01482.12-01482.68] 解放战争
[01482.68-01483.24] 上历
[01483.24-01484.36] 我们到对于事件
[01484.36-01485.08] 首先第一个
[01485.08-01486.12] 就是我们尽可能
[01486.12-01486.92] 的征取声令
[01486.92-01487.80] 于是有了
[01487.80-01488.44] 重轻
[01488.44-01489.24] 谈判
[01489.24-01489.80] 签订了
[01489.80-01490.60] 双日写定
[01490.60-01491.64] 但是国民党那边
[01491.64-01492.12] 不这么想
[01492.12-01493.08] 于是国民党
[01493.08-01494.20] 最后发动了
[01494.20-01494.76] 内战
[01494.76-01495.56] 所以在这里
[01495.56-01496.36] 内战分析
[01496.36-01496.92] 三个阶段
[01496.92-01497.96] 防预阶段
[01497.96-01498.84] 反攻阶段
[01498.84-01499.40] 和
[01499.40-01500.44] 绝战阶段
[01500.44-01501.48] 把它和
[01501.48-01502.52] 短折战争的阶段
[01502.52-01502.84] 分开
[01502.84-01504.60] 短折争是防预阶段
[01504.60-01506.20] 相辞阶段
[01506.20-01507.64] 反攻阶段
[01507.64-01508.76] 不要搞混了
[01508.76-01509.40] 在这里面
[01509.40-01510.28] 绝战阶段
[01510.28-01512.04] 才是解放战争才有的
[01512.04-01512.84] 这是第一个
[01512.84-01513.40] 第二个
[01513.40-01514.52] 就是战略防预阶段
[01514.52-01515.40] 就是我们所说
[01515.40-01517.24] 最开始内战爆发的标志
[01517.24-01517.72] 是
[01517.72-01521.16] 大局进攻中原解放区内战爆发
[01521.16-01522.84] 在战略反攻阶段
[01522.84-01524.76] 国民党开始进行重点进攻
[01524.76-01525.72] 重点进攻的
[01525.72-01527.32] 山东和沙灵
[01527.32-01528.68] 在重点进攻当中
[01528.68-01528.84] 就有
[01528.84-01530.68] 先出来一些重要的战略
[01530.68-01532.28] 首先第一个梦良故
[01533.32-01534.92] 把阶段对中原解放区的
[01534.92-01535.32] 进攻
[01535.32-01535.64] 对吧
[01535.64-01535.88] 第二个
[01535.88-01536.60] 流动大津
[01536.60-01537.48] 体制大别山
[01537.48-01539.00] 开始战略反攻阶段
[01539.00-01540.52] 最后战略阶段
[01540.52-01541.72] 三局定生赋
[01541.72-01542.60] 战略阶段的
[01542.60-01545.32] 续目在约纪难战略
[01545.32-01546.28] 记住那句话
[01546.28-01547.72] 全程活作
[01547.72-01548.84] 活作
[01548.84-01550.04] 全程活作
[01550.04-01550.76] 网要物
[01550.76-01552.36] 那想到是纪难战争
[01552.36-01554.12] 那在这个我们所说的战略
[01554.12-01555.56] 绝战拉开续目之后
[01555.56-01556.52] 三局定生赋
[01556.52-01557.96] 分别是流審战略
[01557.96-01559.32] 伙伴战略平均战略
[01559.32-01560.92] 这里面一旦出现描述
[01560.92-01561.04] 描述
[01561.04-01561.88] 描述对用上
[01561.88-01562.68] 比如说战紧
[01562.68-01564.12] 方美大问题节
[01564.12-01565.00] 紧说
[01565.00-01566.12] 那紧说在哪
[01566.12-01567.08] 在标凌
[01567.08-01568.52] 随时流審战略
[01568.52-01569.48] 伙伴战略
[01569.48-01571.48] 又小推车推出来的战略
[01571.48-01574.28] 间底五书五点五万人
[01574.28-01574.52] 对吧
[01574.52-01575.40] 六十几天
[01575.40-01577.00] 打掉了五书五万人多
[01577.00-01579.40] 那大家组一见到战争的这个残酷了
[01579.40-01579.72] 对吧
[01579.72-01581.16] 但是这次战争当中
[01581.16-01583.72] 几乎把国民脑的经质部队全都打费了
[01583.72-01585.24] 所以在这里间底数量
[01585.24-01585.72] 最多
[01585.72-01586.84] 那最后一个就是
[01586.84-01587.56] 平均战略
[01587.56-01589.16] 解放了
[01589.16-01589.96] 北平
[01589.96-01591.40] 天津和张家口
[01591.40-01592.68] 那这是我们三大战云
[01592.68-01593.56] 三大战云之后
[01593.56-01594.84] 还有绝生局
[01594.84-01597.08] 那绝生局就是
[01597.08-01598.12] 我们所说的
[01598.12-01598.92] 绝生局
[01598.92-01599.64] 就是我们所说的
[01599.64-01600.60] 度将战云
[01600.60-01602.12] 百万熊师郭大江
[01602.12-01603.08] 那时候是
[01603.08-01604.92] 一出乱就知道形容的时弹
[01604.92-01606.68] 叫一江生有追求控
[01606.68-01608.52] 不可顾名血脉了
[01608.52-01609.40] 这个度将战云
[01609.40-01610.84] 端战云叫做用
[01610.84-01611.88] 小传
[01611.88-01613.16] 滑出来的战云
[01613.16-01614.84] 那这是我们所说的
[01615.32-01616.60] 全面内战
[01616.60-01617.48] 那全面内战
[01617.48-01619.00] 我们说了战争的生理
[01619.00-01620.20] 还可以次回忆分不开
[01620.20-01621.64] 延丑的战争要生理了
[01621.64-01623.00] 战争召开会议
[01623.00-01624.60] 探讨下一个战争的战略
[01624.60-01625.48] 与是在
[01625.48-01627.08] 西来扩找开了七家中
[01627.08-01627.64] 全会
[01627.64-01628.60] 西来扩七家中
[01628.60-01629.32] 全会的内容
[01629.32-01630.60] 工作重新的转移
[01630.60-01632.60] 从农村回到城市
[01632.60-01634.36] 对比丘州起义的时候
[01634.36-01635.96] 从城市进入到农村
[01635.96-01637.16] 第二个两个误并
[01637.16-01638.12] 误并千亿解释
[01638.12-01638.92] 先兼顾分动
[01638.92-01640.36] 把他和什么对比起来
[01640.36-01643.16] 把二十大当中的三个误并
[01643.16-01644.04] 对比起来
[01644.04-01644.92] 那在这里面
[01644.92-01645.96] 是我们所说的
[01645.96-01647.40] 中了的内容
[01647.40-01649.24] 这是我们整个解放战争
[01649.24-01651.56] 到这我们就把整个当时
[01651.56-01652.44] 给大家说完了
[01652.44-01654.84] 中点的就是从1915年
[01654.84-01655.72] 新文化运动
[01655.72-01657.48] 因为开始宣传码锁主义了
[01657.48-01658.60] 然后到191919年
[01658.60-01660.28] 在到后面1949年
[01660.28-01662.20] 新文化成立之前的这段律师
[01662.20-01665.08] 按照17按照我们所说的时间线
[01665.08-01666.68] 和具体的考点的
[01666.68-01669.00] 相信罗绿都给大家去输离完了
[01669.00-01670.36] 而且每一个机地方
[01670.36-01671.48] 我说的都给大家形成了
[01671.48-01672.52] 思维导图
[01672.52-01673.48] 所以同时没必要接着
[01673.48-01675.24] 这个导结和导图
[01675.24-01676.20] 去学习
[01676.20-01678.36] 这是我们所说的整个当时
[01678.36-01679.56] 我们说了
[01679.56-01681.00] 有学就得有练
[01681.00-01682.68] 咱们来看一下他的具体怎么考
[01682.68-01684.20] 这就能考察的时候
[01684.20-01685.96] 我给大家就练继了两个
[01685.96-01687.24] 比较典型的卡扰方式
[01687.24-01689.64] 一个是直接考察一个是建议考察
[01689.64-01690.76] 直接考察着这里
[01690.76-01691.96] 你看南称得理是谁
[01693.00-01694.76] 还记得那个片段吧
[01694.76-01695.96] 学习年代当中
[01695.96-01698.36] 他们两个对着核边对着人民宣誓
[01698.36-01699.56] 然后最后出现一段话
[01699.56-01700.84] 南称得理
[01700.84-01701.96] 相约见到
[01701.96-01704.20] 程度秀和理大招
[01704.20-01705.88] 所以第一体选择的是
[01705.88-01706.84] 随选项
[01706.84-01708.20] 第二体来看一下
[01708.20-01710.36] 先来选上中对应错误的事
[01710.36-01711.48] 中国共产党的
[01711.48-01712.12] 单声
[01712.12-01712.68] 上海
[01712.68-01714.36] 是不中共一大
[01714.36-01715.96] 召开的地址
[01715.96-01718.84] 后面才转移到这间加新南湖的入传上吧
[01718.84-01720.04] 所以A小小政却
[01720.04-01722.36] 五周反抗国民党的第一枪是什么
[01722.36-01723.80] 巴姻南昌起一
[01723.80-01726.44] 巴姻南昌起就在南昌
[01726.44-01728.12] 在往下来看一下
[01728.12-01730.60] 周华苏威共和国理事政府
[01730.60-01732.20] 苏威政权将写
[01732.20-01733.88] 瑞金咱们在哪儿讲到的
[01733.88-01735.96] 土地隔没有时期当中的
[01736.60-01737.72] 根据地坚是
[01737.72-01738.04] 对吧
[01738.04-01738.92] 先有了
[01738.92-01740.12] 我们所说的啥
[01740.12-01742.04] 先有了警方山格名个女帝
[01742.04-01742.44] 对吧
[01742.44-01743.80] 在江西的警方山
[01743.80-01744.76] 然后呢
[01744.92-01746.84] 警阶着又了中央苏威
[01746.84-01747.48] 对吧
[01747.48-01749.80] 然后当时是最大的根据地均
[01749.80-01751.16] 苏威不断的扩大最后
[01751.16-01752.44] 显成了政权
[01752.44-01753.72] 瑞金苏威安
[01753.72-01754.84] 所以是对两政权
[01754.84-01755.64] 第四个
[01755.64-01758.60] 说解放中国的最后一个农村指挥所
[01758.60-01759.48] 在这个地方
[01759.48-01760.04] 研案
[01760.04-01760.92] 你说老说不知道
[01760.92-01761.72] 不知道这个地方
[01761.72-01762.52] 用排出法
[01762.52-01764.04] 大家注意下视在西百坡
[01766.44-01767.16] 因为刚才
[01767.16-01768.52] 说了西百坡会议嘛
[01768.52-01769.56] 最后一个
[01769.56-01770.68] 在那儿找开的
[01770.68-01772.92] 然后从农村回到城市了
[01772.92-01773.88] 所以在这里
[01773.88-01775.40] 第二题选择4D
[01776.12-01777.40] 第3体来看一下
[01777.40-01778.76] 说庆祝中国共产党
[01778.76-01780.04] 成立百中年大会上
[01780.04-01781.24] 讲到讲话
[01781.24-01781.80] 说
[01782.36-01783.00] 具体讲
[01783.00-01783.80] 这个是背景了
[01783.80-01785.16] 这个就是实正
[01785.16-01786.60] 和我们所说的什么
[01786.60-01787.96] 党使内容的结合了
[01787.96-01789.48] 这个就是前面我们所说的
[01789.48-01790.68] 综合性的考察
[01790.68-01791.56] 来看一下
[01791.56-01792.60] 背景我就省月了
[01792.60-01793.80] 说关于党对军队
[01793.80-01794.92] 绝对领导的根本原则
[01794.92-01797.24] 和制度表现表输正确的有几项
[01797.24-01799.64] 书中的党使和实正结合
[01799.64-01801.80] 或者是在加上终特的结合
[01801.80-01802.60] 那咱们来看一下
[01802.60-01803.36] 圈一
[01803.36-01804.92] 说南昌企业
[01804.92-01806.12] 创建人民军队
[01806.12-01807.48] 武装多些政权的开端
[01807.48-01808.20] 当然了
[01808.20-01808.52] 对吧
[01808.52-01809.00] 咱们说了
[01809.00-01810.36] 人民军队创建的开端
[01810.36-01811.40] 书上的原话
[01811.40-01812.12] 三岸改变
[01812.12-01813.16] 三岸改变干嘛了
[01813.16-01813.96] 咱们说了
[01813.96-01815.16] 南昌企之后
[01815.16-01816.68] 我们就开始的后面去
[01816.68-01817.64] 南昌企业失败了
[01817.64-01818.92] 南昌企业失败之后
[01818.92-01819.80] 一个星期之后
[01819.80-01820.52] 召开
[01820.52-01821.32] 八企会议
[01821.32-01821.80] 八企会议
[01821.80-01823.08] 当中有一个非常遭的任务
[01823.08-01823.80] 就是要发动
[01823.80-01825.00] 求收企业
[01825.00-01826.60] 求说企业打的时候
[01826.60-01827.72] 共大厂山
[01827.72-01829.08] 没打下来失败了
[01829.08-01831.08] 开始往农村去退
[01831.08-01832.60] 农村去退的时候
[01832.60-01834.12] 人一进村数就跑
[01834.12-01835.96] 进山会进村就跑没了
[01835.96-01836.92] 这时候就说了
[01836.92-01838.52] 那雜者开始改变
[01838.52-01840.44] 于是进行了三岸改变
[01840.44-01841.08] 三岸改变
[01841.08-01843.72] 五收了从组织上和什么
[01843.72-01845.40] 和政治上
[01845.40-01847.40] 确定了倒队军队的决定导吧
[01847.40-01848.84] 组织上是直播
[01848.84-01851.08] 建在脸上
[01851.08-01852.28] 所以三岸改变
[01852.28-01853.24] 从组织上确定了
[01853.24-01854.28] 倒队军队决定导
[01854.28-01855.08] 可不可业
[01855.08-01855.88] 可以
[01855.88-01857.08] 所以这三岸改变
[01857.08-01857.88] 三岸改变的
[01857.88-01860.12] 就是让军队明确了
[01860.12-01861.24] 大概有了一个感觉
[01861.24-01862.28] 就是为谁抗强
[01862.28-01863.32] 为谁打账
[01863.32-01865.24] 军队应该为人民抗强
[01865.24-01866.92] 为人民打账
[01866.92-01868.36] 所以这是我们所说的
[01868.36-01869.56] 关三岸改变
[01869.56-01871.72] 正式把我们所说的
[01871.72-01873.00] 人民军队的确定
[01873.00-01874.04] 把党队军队的军队
[01874.04-01874.44] 军队的军队
[01874.44-01875.48] 就为原子
[01875.48-01877.08] 写入到决议当中是什么
[01877.08-01878.12] 是古天会议
[01878.12-01879.40] 所以古天会议你看
[01879.40-01880.60] 确定了马斯主义
[01880.60-01882.20] 建党建军的原子
[01882.20-01882.76] 对吧
[01882.76-01883.56] 叫做什么
[01883.56-01885.72] 叫做思想
[01885.72-01887.32] 建党
[01887.32-01888.60] 政治
[01888.60-01889.40] 建军
[01889.40-01889.80] 你看
[01889.80-01891.72] 这不就是咱们前面讲到的吗
[01891.72-01893.08] 叫思想建党
[01893.08-01893.88] 政治建军
[01893.88-01894.68] 叫确定了
[01894.68-01896.92] 建党建军的原子
[01896.92-01897.16] 对吧
[01897.16-01898.04] 这个没有问题
[01898.04-01899.32] 而且形成军艺
[01899.32-01900.84] 然后明确的提到
[01900.84-01902.12] 说
[01902.12-01903.72] 党队军队的军队领导
[01903.72-01904.04] 对吧
[01904.04-01904.52] 都写了军
[01904.52-01905.16] 一上都写了
[01905.16-01905.96] 字面上了
[01905.96-01907.16] 所以随便向
[01907.16-01908.12] 确三正确
[01908.12-01908.92] 确四
[01908.92-01910.60] 十八大
[01910.60-01911.16] 给到了
[01911.16-01912.44] 说把党队军队的军队
[01912.44-01913.16] 领导上身为
[01913.16-01913.80] 心时代
[01913.80-01915.08] 建成发展中国特首
[01915.08-01916.20] 国务主义的基本战略
[01916.20-01917.56] 这个地方其实就是什么
[01917.56-01919.48] 就是实正
[01919.48-01920.60] 就是我们所说的
[01920.60-01921.48] 实正的内容
[01921.48-01922.52] 是什么时候
[01922.52-01923.88] 把他确定为基本方面的
[01923.88-01924.68] 不是十八大
[01924.68-01926.92] 而是十九大的时候
[01926.92-01929.96] 这是中特和实正的结合了吧
[01929.96-01931.88] 然后在第五个
[01931.88-01933.08] 说那四就错了
[01933.08-01935.08] 第五个说十九大
[01935.08-01936.84] 装军事委会实行主席
[01936.84-01938.84] 负责这些不党章正确
[01938.84-01939.72] 这些都是
[01939.72-01941.00] 我们要在中特当中
[01941.00-01942.60] 却会设议到的内容
[01942.60-01943.88] 所以在这里表出正确的
[01943.88-01944.84] 这些是一种一个问题
[01944.84-01946.12] 像的除了第四个
[01946.12-01946.92] 其他的都对
[01946.92-01948.36] 所以他就是四项
[01948.36-01950.04] 这个点是当年
[01950.04-01950.92] 靠国生考的时候
[01950.92-01952.20] 考过一道题目
[01952.20-01953.16] 那从这里面
[01953.16-01953.92] 能够看得出来
[01953.92-01955.16] 第一个当时很重要
[01955.16-01956.28] 第二个考察
[01956.28-01957.16] 在国生考
[01957.16-01958.68] 三只在国生考选掉
[01958.68-01959.24] 身这样
[01959.24-01960.20] 考时当中考的难度
[01960.20-01961.00] 会大一点
[01961.00-01963.16] 因为他是综合性的考察
[01963.16-01964.68] 只要碎到相当内容的
[01964.68-01965.72] 时间线很重要
[01965.72-01966.08] 然后
[01966.08-01968.12] 垮结段的去输离相的点
[01968.12-01969.48] 所以第三体选丝
