[00000.00-00003.00] 那我们了解完了合通的解除呢
[01144.98-01147.98] 然后又主张他要承担定金法则了
[01147.98-01150.98] 不能打住一下如果是在这个地方
[01150.98-01153.98] 记约定了每月记约定了定金的话你只能责义
[01155.98-01156.98] 不能便用的
[01156.98-01158.62] 就看哪一个更何事
[01158.62-01159.82] 就用哪个就行了
[01159.82-01162.42] 所以只能责义不能变用
[01162.42-01163.42] 只能责义不能变用
[01163.42-01164.54] 这里面的难点
[01164.54-01165.22] 你说他难呢
[01165.22-01166.14] 他其实不难
[01166.14-01167.82] 他主要就是在这个定金
[01167.82-01168.94] 法则这一块有点让
[01168.94-01169.78] 你只要去分
[01169.78-01171.34] 就看定金法则
[01171.34-01172.30] 他是用哪一方
[01172.30-01173.82] 这个地方先定主体
[01173.82-01174.90] 是用哪一方
[01174.90-01177.58] 如果是先是用与几副这一方的话
[01177.58-01179.78] 这个时候你钱要不来
[01179.78-01181.70] 那如果是收钱的一方
[01181.70-01183.42] 把你原本的那份还给你
[01183.42-01185.98] 然后我们还要让他再陪一份
[01185.98-01188.80] 同样看下离外里 只有几分钱
[01188.80-01190.08] 离外里只有一分钱
[01190.08-01191.98] 就损失了只有定金的一分钱
[01191.98-01193.04] 那么明白我那一次吧
[01193.04-01194.62] 所以在这里面你稍微注意一下
[01194.62-01196.72] 几乎方格收出方就可以了
[01196.72-01197.76] 那再一个呢就是
[01197.76-01198.86] 维园金和定金
[01198.86-01200.78] 它不能同时收的问题
[01200.78-01202.62] 那这个呢就是要给大家去讲解的
[01202.62-01204.42] 维园 左任 两个
[01204.42-01206.14] 一个是维园金
[01206.14-01208.06] 维园金太有一个线额
[01208.06-01209.28] 就是我们所说的
[01210.30-01211.26] 维园金
[01211.26-01213.38] 小于死死是 大一时就损失
[01213.38-01215.18] 那这种情况之下就要去分析了
[01215.18-01216.66] 第二个就是定金
[01216.66-01217.52] 定金的话
[01217.52-01219.78] 大家知道时间和同输面和同
[01219.78-01220.58] 第二一个
[01220.58-01222.14] 它的线额不超过
[01222.14-01224.82] 主额通标第五的20%
[01224.82-01227.54] 第3一个就是定金发责师用的时候
[01227.54-01229.54] 其实里边里只有1份定金
[01229.54-01230.38] 处分
[01230.38-01232.10] 这是第3个
[01232.10-01233.82] 第4一个就是北约金和定金
[01233.82-01234.38] 责益
[01234.38-01235.50] 因为就这么几个点
[01235.50-01236.70] 它相对来说是
[01236.70-01237.82] 比较简单的
[01237.82-01239.10] 这是我们所说的
[01239.10-01239.82] 北约责任
