[00000.00-00002.32] 同一番好 我是杰瑞老师
[00002.32-00005.64] 今天我们就要进入到文学知识的学习了
[01169.68-01171.52] 我这个地方我又在哪儿呢
[01171.52-01173.18] 他走着走着住面走散了
[01173.18-01175.36] 当他每当走散的时候他这有时候就
[01175.36-01178.52] 心思故乡心思故乡当中的家人
[01178.52-01181.12] 于是他在第四个部分的时候
[01181.12-01182.80] 这句话需要头你们去掌握
[01182.80-01185.00] 他就说了这样的语度的话叫做什么呢
[01185.00-01187.84] 叫做死生气扩于子成说
[01187.84-01189.92] 只子之手于子邪了
[01189.92-01192.64] 这时候就在林中去回忆
[01192.64-01195.32] 他之前在家中当中的生活
[01195.32-01197.24] 也至于到生命的最后
[01197.24-01199.64] 他发出了这样一段探析
[01199.64-01202.16] 叫一阶扩析不我活细
[01202.16-01202.56] 对吧
[01202.56-01203.20] 这种情况
[01203.20-01205.12] 这下其实强调就是我们所说的
[01205.12-01206.48] 他离家之后
[01206.48-01207.56] 然后最终
[01207.56-01208.80] 他没有活下来
[01208.80-01211.24] 对家里人的这样的一种情感
[01211.24-01213.12] 这个就是从自面意思上
[01213.12-01214.72] 比较出现的就给大家去
[01214.72-01216.56] 说了一下我们所说的这个备峰
[01216.56-01219.72] 这些符合他当地的这样的一个我们所说的
[01219.72-01222.28] 我封了这样的一个特色 为什么我们叫封呢
[01222.28-01223.52] 就是代表失务
[01224.08-01226.76] 住后国地区 它不同的这样的一个特点
[01226.88-01228.36] 所以在这里面大家注意
[01228.36-01230.20] 所以我们经常看到现在有人告白
[01230.20-01231.40] 不就是经常说嘛
[01231.40-01235.08] 叫死生气扩与此成说 只此之手与之的邪劳
[01235.08-01236.88] 这一话一出来 同没有知道
[01237.64-01240.52] 你要明白 它其实出自于施经的
[01240.52-01242.92] 这是第一个小达去掌握的名句
[01242.92-01244.80] 那第二个需要带掌握的名句
[01244.80-01247.44] 就是在施经开天当中的第一个部分
[01247.44-01251.16] 我们说了15个地区的国峰
[01251.16-01252.28] 那在开篇的时候
[01252.28-01256.52] 其实就给大家讲到了叫做周南一共是11篇
[01256.52-01258.40] 在周南这11篇当中
[01258.40-01260.64] 我们都知道为什么要把周南放在最开篇
[01260.64-01261.92] 因为我们都说了
[01261.92-01264.80] 时间最开始是要以重施风的
[01264.80-01265.20] 对吧
[01265.20-01266.08] 所以在这里面
[01266.08-01267.04] 它为了重风
[01267.04-01269.92] 所以它在这里面就把周南放在了第一篇
[01269.92-01271.88] 我们在周南当中最长见的
[01271.88-01273.36] 其实就是关居
[01273.36-01274.48] 就是关居
[01274.48-01275.84] 我们一般理解
[01275.84-01277.64] 我们把关居就是理解为什么呢
[01277.64-01278.66] 就是一个男孩子
[01278.66-01279.68] 新一个女孩
[01279.68-01280.32] 然后呢
[01280.32-01281.32] 99%不到
[01281.32-01281.72] 对吧
[01281.72-01282.64] 然后我们就说了这种
[01282.64-01284.56] 斩核反测的这样的一个
[01284.56-01285.56] 新死在啊
[01285.56-01287.04] 他写的其实是很优美
[01287.04-01287.80] 但是呢
[01287.80-01288.76] 到了后期的时候
[01288.76-01289.72] 就人去
[01289.72-01292.16] 就是按照什么相当的历史也好
[01292.16-01293.44] 然后按照相当的题材也好
[01293.44-01294.12] 就发现
[01294.12-01295.24] 其实这个关居
[01295.24-01297.68] 他不是南军女的这样一个故事
[01297.68-01299.80] 不是说写爱情之红动
[01299.80-01300.84] 而是写的是什么呢
[01300.84-01303.64] 而是原于黄后悲军王挑选后悲
[01303.64-01305.12] 他选一个什么样的
[01305.12-01306.60] 非责的这样一故事
[01306.60-01308.44] 其实大部分大概就是这个样子
[01308.44-01310.44] 也就是我们所说的对于一个
[01310.44-01313.32] 新月的新移的这样的一个人的
[01313.32-01314.60] 它的一个描繪
[01314.60-01316.64] 整个我们所说的这个事情
[01316.64-01318.04] 大家有没有发现
[01318.04-01319.44] 它再去写时间的时候
[01319.44-01321.12] 它特别像一个电人开场
[01321.12-01322.28] 有时候我们经常说了
[01322.28-01324.52] 叫风雅送付笔行
[01324.52-01326.32] 这就是它每再去写时的时候
[01326.32-01328.32] 它都要一个很美好的开头
[01328.32-01330.36] 像一个电影的开场一样
[01330.36-01332.00] 你看一下在这个关剧当中
[01332.00-01332.88] 它也是这样的
[01332.88-01334.76] 叫做关关剧就
[01334.76-01336.36] 在和之周
[01336.36-01337.32] 它其实是什么
[01337.32-01338.96] 是起床的手法
[01338.96-01340.32] 我们叫复比床
[01340.32-01343.16] 这个起床的手法就是先去给你
[01343.16-01344.84] 描繪一段景象
[01344.84-01346.64] 然后通过这段景象
[01346.64-01347.72] 大概能够了解
[01347.72-01349.72] 它这个需要呈现一个什么样的
[01350.36-01351.08] 心情了
[01351.08-01351.64] 对吧
[01351.64-01352.68] 所以你看在这里
[01352.68-01355.60] 是关关去就在和之周
[01355.60-01357.76] 这个我们所说的这个女孩
[01357.76-01360.20] 它其实是代表的是一种中真的爱情的女孩
[01360.20-01361.76] 就是像我们所说的这个女孩
[01361.76-01364.24] 其实一生只能爱遇回
[01364.24-01366.70] 那你看关关去就再和之周
[01366.70-01368.36] 他在和周上
[01368.36-01369.96] 其实意味就是一个很好
[01369.96-01370.72] 你想想
[01370.72-01373.68] 一段非常爱的女儿在和判边
[01373.68-01374.16] 对吧
[01374.16-01376.68] 你看小耍花拉拉的流
[01376.68-01378.28] 小女儿这样的破浪破浪
[01378.28-01379.20] 很美好
[01379.20-01380.08] 很甜静
[01380.08-01381.20] 很甜美是不是
[01381.20-01382.28] 所以在这里面你看
[01382.28-01383.28] 这个就叫做什么
[01383.28-01383.96] 付笔性
[01383.96-01384.96] 就叫做起床
[01384.96-01385.84] 就在这
[01385.84-01388.76] 他其实就在这里面去描迫了一个春景
[01388.76-01389.60] 电流了一个机票
[01389.60-01390.64] 心情好不好呢
[01390.64-01392.10] 心情非常非常好
[01392.10-01392.78] 所以你看
[01392.78-01394.54] 姚调书女均资好求
[01394.54-01396.02] 我们在定机调上就觉得
[01396.02-01397.04] 哇这一篇次
[01397.04-01398.74] 简直这一篇时简直
[01398.74-01399.48] 没死了
[01399.48-01399.88] 对不对
[01399.88-01401.64] 所以这次在最开始的时候
[01401.64-01402.98] 这是第一个部分
[01402.98-01403.56] 我们说的
[01403.56-01404.32] 第一个张姐
[01404.32-01405.30] 他所提到的
[01405.30-01406.74] 描灰了一个景象
[01406.74-01408.44] 然后描灰了一种心情
[01408.44-01409.36] 那到了第二张
[01409.36-01410.48] 第三张的时候就开始
[01410.48-01412.68] 撑撑才左右刘之
[01412.68-01414.48] 姚调书女乌妹求之
[01414.48-01414.88] 对吧
[01414.88-01415.76] 求之不得
[01415.76-01416.64] 乌妹思符
[01416.64-01418.52] 又在又在转转反测
[01418.52-01420.00] 其实当时说是谁呢
[01420.00-01422.08] 当初是周康王的夫人
[01423.24-01424.04] 然后呢
[01424.04-01425.80] 给他选飞了这么一个故事
[01425.80-01427.40] 所以当时有人去解读
[01427.40-01430.08] 说这个斩断反测是杰斩断反测的事
[01430.08-01431.00] 王后
[01431.00-01432.40] 王后斩断反测就是
[01432.40-01436.08] 我选出来给我们所说的康王选出信息
[01436.08-01436.88] 女人选出来
[01436.88-01437.76] 所以他是不着教
[01437.76-01438.44] 其实在这里面
[01438.44-01440.08] 信息相表述他的什么
[01440.08-01442.32] 他的显得等等这些热的
[01442.32-01443.84] 这个地方大家看一下就行了
[01443.84-01445.36] 什么求政部的误卫师傅
[01445.36-01447.04] 称资性才左右采支
[01447.04-01448.96] 称资性才左右冒职等等
[01448.96-01450.50] 但是我们在这里大家要知道
[01450.50-01453.00] 最常见的其实是哪去试试呢
[01453.00-01454.08] 哪去试呢
[01454.08-01455.36] 就是关居这一句
[01455.36-01457.76] 就做关关居就在和之中
[01457.76-01459.84] 摇条书女均子好丘
[01459.84-01461.64] 所以在这里面同把这句话
[01461.64-01462.64] 标注在旁边
[01462.64-01463.40] 如果你
[01463.40-01464.52] 非常熟悉
[01464.52-01465.60] 你就写上两个字
[01465.60-01466.48] 关居就行了
[01466.48-01467.92] 知道一旦出现这样的话
[01467.92-01469.68] 它其实出现在风当中
[01469.68-01470.96] 就是中南当中
[01470.96-01472.88] 描灰之中美好的东西
[01472.88-01474.32] 非常非常多
[01474.32-01476.08] 除了我们所出的这个关居之外
[01476.08-01477.92] 大家应该都知道桃鸥
[01477.92-01481.40] 跑腰其实就是我们所说的这种特别快乐想和
[01481.40-01484.64] 在古代人结婚的时候都会给他唱这个逃腰
[01484.64-01486.68] 大家应该看过真环转的话
[01486.68-01489.16] 我真环实际啊 真学实际
[01489.16-01491.12] 你看当时在真环转当中
[01491.12-01493.08] 那个谁呢
[01493.48-01495.28] 真环他有一句话
[01495.28-01496.76] 去形容我们所说的
[01496.76-01499.00] 安林荣还是觉得是谁啊
[01499.00-01500.68] 就是说他刺秀特的特点
[01500.68-01502.36] 还是他他的那个美姐姐
[01502.36-01503.52] 就说那个什么呀
[01503.52-01506.08] 说你看说逃治腰 走着气滑
[01506.08-01506.96] 说的山林荣嘛
[01506.96-01508.92] 说逃折腰 折折弃华
[01508.92-01510.64] 那位当真是一事一家
[01510.64-01513.16] 你看 逃折腰 折折弃华
[01513.16-01514.76] 其实就是起床
[01514.76-01517.08] 逃折腰 逃花都开了
[01517.08-01519.56] 折折弃华开得特别的好
[01519.56-01521.40] 折子鱼规一棵事件
[01521.40-01522.52] 在这么美好
[01522.52-01524.96] 啊无所说的春呢 发开的日子里
[01524.96-01527.16] 我把这个我虽爱的女子取回家了
[01527.16-01529.08] 叫折子鱼规一棵事件
[01529.08-01530.48] 所以才有了逃腰
[01530.48-01531.60] 后面还有什么呢
[01531.60-01532.72] 叫一棵家事
[01532.72-01533.72] 还有一棵家人
[01533.72-01536.40] 千秒会的就是折子鱼规一棵事件
[01536.40-01537.24] 取回来了
[01537.24-01539.24] 一旗家水是嫁了之后
[01539.24-01542.12] 他像一个小孩子一样被爱着被喝顾着
[01542.12-01544.04] 最后就叫一旗家人
[01544.04-01544.36] 对吧
[01544.36-01545.84] 叫做跑之腰腰
[01545.84-01547.00] 那旗也真真
[01547.00-01548.44] 只子于归一旗家人
[01548.44-01549.88] 说他变成一个母亲
[01549.88-01550.72] 他其实这就是这就是
[01550.72-01551.72] 这就是于主者什么
[01551.72-01552.52] 本人要好喝
[01552.52-01554.92] 所以你看他有很多的那种描写的主身
[01554.92-01556.36] 特别特别的美
[01556.36-01557.92] 所以在这里面大家也知道
[01557.92-01560.56] 你可以在这个关局旁边写上写什么呢
[01560.56-01561.48] 写上逃腰
[01561.48-01562.24] 你就知道
[01562.24-01563.88] 逃之腰腰 左桌起款
[01563.88-01565.84] 他也是出自于我们所说的
[01565.84-01568.44] 实经 它如果出现了说
[01568.44-01571.96] 一下是一世间的失聚能够对于我们上就可以了
[01571.96-01575.04] 这是我们要给大家描绘的第二篇
[01575.04-01578.76] 第三篇就是在这里面我们所说的这个未风
[01578.76-01580.92] 未风的一手叫做骑奥
[01580.92-01584.04] 大家注意 这个未风写的相对来说
[01584.04-01585.40] 就会风情很多
[01585.40-01587.04] 大家看这个词
[01587.04-01589.28] 发现它有很多形容巨南
[01589.28-01592.04] 巨南美女的这些失聚
[01592.04-01594.00] 这个未风骑奥
[01594.00-01596.00] 它其实描灰的是一个人
[01596.00-01599.26] 这是我们满足了对美好的
[01599.26-01602.76] 我们所说的优秀男人所点泛的这样的机境
[01602.76-01605.78] 我当时看到这个骑奥的时候不满大奖
[01605.78-01609.36] 我在给大家去准备相应的我们比较长见这十次的时候
[01609.36-01610.96] 然后我就发现里面有片骑奥
[01610.96-01612.28] 然后我就去看的时候
[01612.28-01613.72] 我去放花车
[01613.72-01615.08] 那边看一边笑
[01615.08-01616.64] 这是人的想象律是无限的
[01616.64-01619.64] 而且这些文字正好能够把你的想象放大
[01619.64-01621.08] 真的非常美好
[01621.08-01622.60] 这个位方大家注意一下
[01622.60-01628.48] 这个位他主要是我们所说的文王的敌酒子
[01628.48-01630.16] 就是文王的敌酒儿子
[01630.16-01632.32] 他的敌酒子扣出
[01632.32-01635.52] 这个扣出当年是平定了武根的叛论之后
[01635.52-01636.56] 然后就被风在那儿
[01636.56-01638.40] 就被风在这个位的地区
[01638.40-01641.04] 就是为国而他所描绘的这个人
[01641.04-01642.68] 其实就是我们所说的这个
[01643.84-01644.68] 武功
[01644.68-01645.64] 他的这个
[01645.96-01648.56] 我们叫做武功
[01648.56-01649.60] 不是那个功夫的功
[01649.60-01650.72] 这是去描绘的
[01650.72-01651.92] 就是这么一个人
[01651.92-01654.68] 他的一个从内心到外形
[01654.68-01656.56] 然后在逃他的这个研语
[01656.56-01658.08] 在到他的就是反正
[01658.08-01660.16] 满足了所有这种优秀男人的点范
[01660.16-01661.40] 所以当时就一篇
[01661.40-01663.28] 我们所说的魏峰有一首师
[01663.28-01664.88] 就叫做骑奥
[01664.88-01665.92] 就叫做骑奥
[01665.92-01667.60] 我们来看一下这个骑奥当中
[01667.60-01669.08] 他有一些词会
[01669.08-01670.88] 或者是我们所说的有一些剧子
[01670.88-01672.72] 需要我们去注意一下
[01672.72-01674.12] 首先第一个还是一个
[01674.12-01675.92] 电源开场叫战笔骑奥
[01675.92-01677.64] 绿组一一
[01677.64-01678.44] 在这里面
[01678.44-01680.12] 看电源镜头一切
[01680.12-01685.92] 对吧,在一个和水旁边,在一个什么呢,在一个族里下,风和日利的
[01685.92-01688.64] 就给了我们无限的中想象。
[01688.64-01692.62] 但是你看像这种东西,因为我不是文学专业的,我像有很多东西,它是文学专业的。
[01692.62-01700.28] 它在去体会这种东西的时候,它一定是比用语言文字,像我这种粗白的大化,这个特别要受出来,有更有意见一些。
[01700.28-01708.80] 它是粘比其奥,率主一一,就是在留水流动,风和日利阳光照顾在水面的日子上,有一片特别必率的这样的一个主字。
[01708.80-01712.32] 在族里下面站了一个人叫由飞均紫
[01712.32-01717.76] 如轻如锁如锁如模把它标志出来
[01717.76-01721.96] 叫做由飞均紫如轻如锁如锁
[01721.96-01725.12] 说这个人那长得怎么样太好看了
[01725.12-01726.32] 说他长得像什么呢
[01726.32-01730.28] 他的这个轮跨像像精心丢着过的样
[01730.28-01733.16] 叫如轻如锁如锁如模
[01733.16-01734.84] 就像那个石头丢客过
[01734.84-01736.64] 就像那个美玉丢客过一样
[01736.64-01738.00] 这不就是你看
[01738.00-01740.76] 以前那时候不总说那种霸道总裁文
[01740.76-01741.84] 我从来就意想
[01741.84-01742.48] 什么
[01742.48-01744.20] 我前眼前总的看到一个博主
[01744.20-01745.60] 他吐槽那个霸道总裁了
[01745.60-01749.00] 什么都学的下个线
[01749.00-01751.44] 然后什么什么样的笔峰
[01751.44-01753.12] 反正就是很有冷脚
[01753.12-01754.56] 你看在那个我们所说的
[01754.56-01755.60] 这种小说当中
[01755.60-01757.20] 他的对于这种冷脚的描制
[01757.20-01758.60] 相对来说缺点意境
[01758.60-01760.08] 你看人施经当中怎么说的
[01760.08-01762.40] 说那个人身体有预例
[01762.40-01764.80] 如缺如脱如抹
[01764.80-01765.68] 非常的好看
[01765.68-01768.00] 那也是高峰雕刻過的冷腳
[01768.00-01769.68] 但是不同的文字表示不一樣
[01769.68-01772.98] 所以大家知道如其如說如說如模式形容一個人的什麼
[01772.98-01774.08] 外貿的
[01774.08-01774.88] 在我下來看
[01774.88-01779.76] 他說後面叫做色系現習
[01779.76-01781.28] 渴習宣習
[01781.28-01783.28] 就說這個人長非常好看
[01783.28-01785.28] 後面就畫有肥君子
[01785.28-01786.48] 中不可宣習
[01786.48-01787.28] 就說啥呢
[01787.28-01789.28] 這個人你看一眼
[01789.28-01790.48] 就忘不掉了
[01790.48-01791.48] 這是這種感覺
[01791.48-01793.44] 所以叫渴習現習
[01793.44-01794.56] 叫色系現習
[01794.56-01795.96] 贺西宣写
[01795.96-01796.80] 大家注意一下
[01796.80-01798.88] 出现无亲如错如作入魔
[01798.88-01800.00] 或者出现什么呢
[01800.00-01801.68] 贺西宣写
[01801.68-01802.96] 叫做资西宣写
[01802.96-01804.16] 贺西宣写
[01804.16-01805.76] 这说明他长得很好看
[01805.76-01807.36] 让人忘不掉
[01807.36-01808.40] 这就是什么
[01808.40-01809.52] 形容率哥
[01809.52-01811.12] 所以会快率哥的时候
[01811.12-01811.92] 就不要总说
[01811.92-01812.64] 你好书爱啊
[01812.64-01813.52] 我去好书爱啊
[01813.52-01814.00] 对吧
[01814.00-01815.52] 要多学一些这些子
[01815.52-01816.88] 就是我们所说的这种
[01816.88-01817.52] 已经
[01817.52-01818.96] 所以在这里面大家注意
[01818.96-01820.08] 这其实是一些
[01820.08-01821.44] 成育的出处
[01821.44-01822.96] 比如说在内风瞧到
[01822.96-01824.32] 他这么去形容男性
[01824.32-01828.08] 当然在废风说人当中他也会形容女性长的好看
[01828.08-01831.44] 比如说巧笑、欠席、阿伦一笑起来
[01831.44-01834.68] 眼睛烂烂的没毛烂烂的长特别好看
[01834.68-01836.64] 或者是美幕判析
[01836.64-01838.28] 其实都是出自在什么
[01838.28-01839.44] 实经浪中的
[01839.44-01840.72] 所以在这里大家看一下
[01840.72-01842.56] 色系线系和线系
[01842.56-01843.64] 希望他长得好看
[01843.64-01844.40] 看了之后
[01844.40-01845.12] 主要忘不了
[01845.12-01846.08] 忠不可宣戏
[01846.08-01846.66] 意言
[01846.66-01847.32] 主要忘不了了
[01847.32-01848.72] 这是第一个部分
[01848.72-01850.56] 第二部分还是形容这个男子
[01850.56-01851.92] 占比条律主轻轻
[01851.92-01853.40] 还是一样的场景
[01853.40-01854.42] 只过这个时候呢
[01854.42-01855.64] 去形容它的一主
[01855.64-01856.60] 有费军子
[01856.60-01859.20] 充顿修营会变如星
[01859.20-01860.00] 说他呢
[01860.72-01862.16] 带着那个二势
[01862.16-01863.06] 特别好看
[01863.06-01863.74] 然后呢
[01863.74-01864.88] 充顿修营
[01864.88-01866.96] 这是他的设备变如星
[01866.96-01867.44] 这里面
[01867.44-01869.08] 这不能叫会就快
[01869.08-01870.20] 快变如星
[01870.20-01871.04] 这里面的快
[01871.04-01871.76] 只得就是什么的
[01871.76-01872.52] 他的毛子
[01872.52-01873.56] 也非常的好看
[01873.56-01874.96] 反正战战战战的一眼
[01874.96-01875.92] 就忘不了
[01875.92-01876.56] 所以看
[01876.56-01878.76] 他的外贸长得很好看
[01878.76-01880.24] 他的一主
[01880.24-01881.36] 一皮也很好
[01881.36-01881.88] 对不对
[01881.88-01883.00] 最重要是他的什么
[01883.00-01883.84] 谈土不凡
[01883.84-01885.36] 你看最后一段
[01885.36-01886.56] 他们占比其奥
[01886.56-01888.08] 绿组如泽
[01888.08-01888.88] 后面说了
[01888.88-01889.68] 游费军子
[01889.68-01890.56] 把这一话话出来
[01890.56-01891.40] 游费军子
[01891.40-01893.60] 如今如习如归如弊
[01893.60-01894.80] 希望他的什么呢
[01894.80-01896.88] 希望他的品格特别好
[01896.88-01897.92] 就是没有人像他
[01897.92-01898.96] 品格这么好的
[01898.96-01899.64] 品性好
[01899.64-01900.36] 像什么
[01900.36-01901.88] 像我们所说的那种
[01901.88-01903.88] 美好的这种必预一样
[01903.88-01904.44] 你看
[01904.44-01906.36] 这在这里面是会前后呼应了
[01906.36-01907.20] 所以大家注意一下
[01907.20-01907.96] 如果出现了
[01907.96-01909.96] 如车如锁如模
[01909.96-01912.48] 如今如习如归如归
[01912.48-01917.04] 那这种呢,大一调组业出自于施经,大一调明确而只是形容人的
[01917.04-01926.04] 而且呢,他不解,说品格好,你要长得好看一品好,品格还好,最后怎么样呢,与言天服高,情商特别的高,非常元天服
[01926.04-01930.16] 后面说了,叫善戏续习不为虐喜,说话呢
[01930.80-01933.72] 很拥有,但是又不客步,机器与言天服
[01933.72-01942.44] 所以在这里面呢,就是我们刚说的,就是相对于把一个对于优秀男人点赞,在整个卫风桥当转,都做了一个非常深刻的这样一个客服
[01942.44-01946.24] 但是我出錢的語言沒有辦法讓大家去深刻地去體會到
[01946.24-01947.78] 你多把這幾句詞
[01947.78-01949.06] 這句詞不能叫詞
[01949.06-01950.12] 多去讀一讀
[01950.12-01953.04] 請就能夠感覺到我們所說的文字的魅力
[01953.04-01954.64] 在這裡面待會兒注意
[01954.64-01957.44] 我們在這個地方的清爽給大家去說的是啥呢
[01957.44-01958.14] 第一個
[01958.14-01959.84] 大家知道這幾句話
[01959.84-01961.64] 尤其是我們剛才所說的
[01961.64-01964.04] 有匪君子如其如說如說如說如魔
[01964.04-01966.34] 以及最後如今如其如歸如壁
[01966.34-01968.64] 使用他的外貿和他品格的這兩句話
[01968.64-01970.12] 要知道出罪时间
[01970.12-01971.04] 第二个就是
[01971.04-01972.04] 涉及现习
[01972.04-01973.40] 赫习宣喜
[01973.40-01975.76] 他和哪个比较喜欢考成育
[01975.76-01977.76] 大家就在旁边标注一下
[01977.76-01978.80] 我刚才给大家说了
[01978.80-01980.80] 我说他不仅形容男子
[01980.80-01982.60] 他形容女子的美貌
[01982.60-01983.24] 对不对
[01983.24-01984.72] 其实也是在为风
[01984.72-01987.00] 说人当中也提到了
[01987.00-01988.08] 形容女孩子
[01988.08-01989.24] 形容女孩子长得好看
[01989.24-01989.84] 你不要说爱你
[01989.84-01990.96] 笑起来真好看
[01990.96-01992.24] 像春天的花一样
[01992.24-01993.40] 直摆 对不对
[01993.40-01994.96] 那个此学的也不错
[01994.96-01995.40] 但是呢
[01995.40-01996.32] 确实要一点意见
[01996.32-01997.80] 你就可以说这个人怎么样
[01997.80-01999.58] 巧校切西
[02000.68-02002.40] 没死了 咱们太好看了
[02002.40-02004.64] 就说巧校切西
[02004.64-02006.50] 然后美幕判夕
[02010.86-02014.36] 巧校切西美幕判夕
[02014.36-02015.72] 咱们太好看了
[02015.72-02017.76] 因为没有办法用员形容了
[02017.76-02021.04] 就手鲁柔体敷入宁旨
[02021.04-02022.64] 其实也是在说人当中的
[02022.64-02025.36] 也就是说出现了这两组成育的时候
[02025.36-02027.16] 你要知道它是出自于哪
[02027.16-02030.86] 時間因為我們有時候在能學當中會考察成語的出處
[02030.86-02031.86] 大家也要知道
[02031.86-02034.36] 所以在這就給同學補充到這麼多
[02034.36-02036.46] 所以這是我們所說的叫做衛峰
[02036.46-02039.86] 所以在內峰這個地方更多體現的是我們所說的什麼
[02039.86-02042.26] 風景啊 真的寫得特別的美
[02042.26-02044.06] 然後這樣我們再來看一下
[02044.06-02045.16] 6個地區
[02045.16-02046.86] 另一個地區是哪是衛峰
[02046.86-02047.86] 大家都知道啊
[02047.86-02049.16] 這個衛治地啊
[02049.16-02050.16] 我們所說的
[02050.16-02052.06] 它在這裡面有一個說處
[02052.06-02054.36] 那你看我們所說的這個衛的地區
[02054.36-02056.06] 它的老百姓過得消失來說
[02056.06-02057.46] 因為清苦一點
[02057.46-02058.16] 但是呢
[02058.16-02060.02] 怕是生活相對來說比較苦
[02060.02-02062.54] 但是當地的人也會非常地擁護
[02062.54-02063.58] 所以在這裡面
[02063.58-02064.26] 我們說了
[02064.26-02066.50] 衛風王透露著是一種生活的智慧
[02066.50-02068.10] 他在這裡面就給到了說出
[02068.10-02068.82] 這個說出
[02068.82-02070.46] 他在去寫的時候其實這樣
[02070.46-02072.34] 當時周天子派行人
[02072.34-02074.38] 一說採集民割的這些人
[02074.38-02075.62] 他來到我們所說的
[02075.62-02076.78] 這個衛國的土地上
[02076.78-02078.50] 衛國的老百姓對於當地的地方
[02078.50-02079.50] 瓜特別的不滿意
[02079.50-02080.30] 但大家都知道
[02080.30-02081.42] 大家其實是努作的時候
[02081.42-02082.54] 他總會有一些
[02082.54-02084.86] 割搖或人類隨後子一樣的東西
[02084.86-02087.42] 这个号子啊不是冒座老鼠那个号子
[02087.42-02089.22] 然后子样东西就会去唱
[02089.22-02092.54] 当时当地老百姓就知道了啥呢就知道了说
[02093.30-02098.18] 有一个人就是来到这个地方采议名歌说可能是要反应当地的情况
[02098.18-02101.86] 所以他们在工作的时候就开始大声地说这个说数
[02101.86-02103.22] 说数是什么呢你看啊
[02103.22-02105.86] 在这里他说说数数数五十五十五十五十
[02105.86-02107.26] 对吧三岁怪入
[02107.26-02108.38] 莫无可恐怖
[02108.38-02111.42] 说完说那个大老鼠不要再吃我的东西了对吧
[02111.42-02113.02] 我这么多年对你挺好的
[02113.02-02115.22] 但是你对我展样自己心里没有说
[02115.22-02116.22] 叫末娃坑顾
[02116.22-02116.62] 对吧
[02116.62-02119.14] 是江序某叫视频乐图
[02119.14-02120.62] 乐图乐图原谷所得
[02120.62-02120.82] 对吧
[02120.82-02122.42] 在这里面就说你对我不好
[02122.42-02123.82] 你看他后面他又开说了
[02123.82-02124.62] 大声唱
[02124.62-02126.22] 说出说出无实我们
[02126.22-02126.42] 对吧
[02126.42-02128.02] 你看就像个大号子
[02128.02-02129.22] 三岁怪柔
[02129.22-02130.02] 末娃坑的
[02130.02-02131.02] 我对你那么好
[02131.02-02132.22] 你对我怎么样
[02132.22-02132.42] 对吧
[02132.42-02133.82] 最后一句话又是一样的
[02133.82-02134.62] 说出说出
[02134.62-02137.02] 我说是我们要三岁怪柔
[02137.02-02138.22] 末娃坑老
[02138.22-02138.62] 对吧
[02138.62-02139.42] 叫做
[02139.82-02141.22] 视江序柔
[02141.22-02142.22] 叫做视比
[02142.22-02142.82] 乐图
[02142.82-02145.22] 只要没有你,我们就生活就特别好
[02145.22-02147.74] 所以在这里面它其实通过这种语言
[02147.74-02149.86] 来描述它当地的这样的一个生活
[02149.86-02151.90] 这个的恰恰被形人所听到了
[02151.90-02154.58] 就收入到了我们所说的它的这样的一个
[02155.38-02158.22] 我们采集的这样的一个名单当中去
[02158.22-02160.58] 所以这个是卫风当中的说数
[02160.58-02163.42] 它描述的其实当地老百姓相当地说过的比较苦
[02163.42-02167.26] 但还相对用于一种比较幽默的语言方式给它呈现出来了
[02167.26-02168.74] 这个就是卫风
[02168.74-02170.98] 所以未封出现说出这句话的时候
[02170.98-02173.22] 你当然要知道它是出自于我们所说的
[02173.22-02174.22] 时间
[02174.22-02175.86] 说了除了未封之外
[02175.86-02177.78] 还有一个主角无疑
[02177.78-02179.10] 无疑的代植到
[02179.10-02180.54] 叫《曲无疑娱子》
[02180.54-02181.62] 铜袍袍
[02181.62-02182.86] 这个话出来
[02182.86-02184.22] 在旁标主一下
[02184.22-02185.82] 或者是《语子》同则
[02185.82-02187.22] 《回子》同长
[02187.22-02189.02] 这个其实都是我们所说无疑
[02189.02-02190.10] 它迷惑的
[02190.10-02191.06] 是我们所说的
[02191.06-02191.82] 这样的一个
[02192.54-02194.42] 大家同仇抵害的这样的
[02194.42-02195.74] 类似于这样一个感觉
[02195.74-02198.82] 就是这个学舞亿与此同跑在当时的
[02198.82-02199.86] 我
[02199.86-02202.02] 那个装有一个节目啊
[02202.02-02203.42] 叫做经历舞努传
[02203.42-02206.86] 他当时去描繪我们所说的在疫情抗计之初
[02206.86-02209.66] 国内和国外我们所说的这样的一个
[02209.66-02210.46] 团结的景象
[02210.46-02211.86] 当然三北丁说了这样一个话
[02211.86-02215.70] 他说当三北丁的开场
[02215.70-02217.86] 那个开场其实就有制定英雄
[02217.86-02219.46] 在这之间英雄当中其实
[02219.46-02221.50] 他说的就是我们所说的舞亿
[02221.50-02223.50] 而这个舞亿的最后的时候
[02223.50-02225.74] 就是到现在它其实变成了一首歌
[02225.74-02227.34] 大家有时间可以去听一听
[02227.34-02228.98] 这是我们所说的制境
[02228.98-02231.58] 我们所说的疫情期间的一些大白
[02231.58-02232.70] 那些医生呢
[02232.70-02235.86] 说了唱了这么一首歌就叫做无意
[02235.86-02237.74] 当时那个三边领在
[02237.74-02239.58] 今天有流传开场当中
[02239.58-02242.14] 那一期的主题就叫做制境英雄
[02242.14-02244.30] 他开片的低于的话说的时候什么
[02244.30-02245.14] 说的就是
