[00000.00-00002.82] 好的 同学们 刚刚看完了
[00002.82-00005.38] 我们所说的新思想他提出来的背景
[01211.58-01213.94] 是在19屆6中全會當中新加的
[01213.94-01217.94] 那這裡面就要知道新加的有哪些
[01217.94-01219.38] 這是太的第二個
[01219.38-01220.82] 10個明確的考察
[01220.82-01233.82] 当然了,在这里,14个坚持这几年几乎都不太考了,14个坚持在早在十五大的时候,那时候考的特别多,但是有大之后就没有在考察过,14个坚持了,所以这个可以放一放。
[01233.82-01247.58] 还有一个部分就是哪儿呢,就是他所取得的历史成就,这个历史成就,我建议同学们去计最新的就可以了,就是16,就是我们在20大岛中提到的,就是16个方面的什么,16个方面的成就。
[01247.58-01250.94] 但是因为20大他也是一个完整的体系文件
[01250.94-01252.34] 我们在这里面要做的
[01252.34-01254.30] 其实学习层次的化分
[01254.30-01256.86] 我们现在给大家讲的这个中特的内容
[01256.86-01261.14] 是把20大以前的这些框架体序全部给大家俗理完整
[01261.14-01263.38] 然后把20大体道过的内容
[01263.38-01267.54] 我给大家放到了现在的整个这样的一个框架体系之下
[01267.54-01270.66] 也就是咱们这个里面既有之前的各个
[01270.66-01272.42] 党的中大会议所提到的
[01272.42-01275.14] 抓的内容也有20大他所提出来的内容
[01275.14-01279.34] 但是二十大本身又是一个非常完整的这样的一个理论体系框架
[01279.34-01281.42] 二十大的理论体系框架呢
[01281.42-01284.74] 和咱们整个中特的框架差异不太大
[01284.74-01288.18] 所以同学习整个政治这一部分的内容
[01288.18-01289.34] 你要分成两部
[01289.34-01291.14] 第一部就是我讲的这个部分
[01291.14-01293.06] 第二部就是你把我这一部分
[01293.06-01294.78] 老干的
[01294.78-01295.14] 对吧
[01295.14-01296.94] 然后搞得已经吃个透透了
[01296.94-01297.66] 以理解了
[01297.66-01300.38] 他说的什么能把体系框架女生清楚之后
[01300.38-01301.74] 你再去看二十大
[01301.74-01302.94] 你再去学习二十大
[01302.94-01304.34] 同学们我不骗大家
[01304.34-01306.74] 有没有觉得20大内容非常清凑
[01306.74-01308.74] 所以在这里面不要突快
[01308.74-01310.14] 不要一直觉得说老师
[01310.14-01311.66] 那个20大考虑多
[01311.66-01314.02] 大家知道20大所有的理论的体系
[01314.02-01316.14] 其实有很多都来自于咱们中特
[01316.14-01318.14] 比如他是对钱一个阶段的一个什么
[01318.14-01319.34] 提升或话分
[01319.34-01321.58] 我还是建议大家在学制部分内容的时候
[01321.58-01323.34] 你千万不要着急
[01323.34-01325.54] 你看我一给大家去分享一些学习方法
[01325.54-01327.54] 或者是我在这里去给大家
[01328.14-01330.34] 把这个内容讲得特别细这个时候
[01330.34-01332.50] 就有一部分同期就在大部分道路就会说
[01332.50-01333.14] 说老师
[01333.14-01334.22] 你快点讲吧
[01334.22-01335.38] 说讲得好多所以
[01335.38-01336.62] 那我落诉的目的
[01336.62-01338.18] 是为了让大家能够记住
[01338.18-01339.94] 是让大家能够去把他吃透
[01339.94-01341.78] 按摄我觉得我讲得多说的话
[01341.78-01343.22] 你可以把这一段跳过
[01343.22-01345.66] 或者说你觉得哪一个部落诉
[01345.66-01346.26] 咱就说了
[01346.26-01347.98] 你要找一个适合自己的老师
[01347.98-01350.30] 现在整个网络上游戏的老师这么多
[01350.30-01352.66] 所以大家一定要知道我落诉的原因
[01352.66-01353.22] 是什么
[01353.22-01355.94] 我本身还是希望大家能够把这个政策吃透
[01355.94-01357.38] 能够把他理解刀给好吧
[01357.38-01358.98] 所以有个时候讲得多所以点
[01358.98-01360.74] 还希望大家能够多丢丢丢丢
[01360.74-01361.22] 好
[01361.22-01363.02] 那这是我们所说的这两步
[01363.02-01366.14] 我还是一样的学习要分梯度和层次的
[01366.14-01367.78] 你不可能一口气吃个胖子
[01367.78-01369.10] 前面的政策都不理解
[01369.10-01370.94] 20代根本吸收不好
[01370.94-01372.70] 这是它的第二个考察
[01372.70-01373.70] 大家要明确
[01373.70-01375.78] 它的第三个考察的大家要知道
[01375.78-01380.66] 在整个这几年的中特和20代的内容的考察当中
[01380.66-01383.30] 出现了我们所说的政策应用体
[01387.50-01388.62] 政策用体
[01388.62-01391.18] 如果说前面都是偏向被送的话
[01391.18-01393.74] 政策用体它就是考虑一界形的题目
[01393.74-01397.58] 因为发现有很多和政治相关考虑的一些题目
[01397.58-01398.70] 它说的一些话
[01398.70-01400.30] 你在数上找不到原本的
[01400.30-01402.90] 有很多同学一看到这样的体能手中完了
[01402.90-01405.18] 马转了对完都没话来说行了
[01405.18-01406.46] 整个人都麻了
[01406.46-01407.42] 为什么麻了呢
[01407.42-01409.34] 就是你说老师这话我四层相使
[01409.34-01411.34] 我也不知道它说的对还是不对
[01411.34-01412.62] 这个时候你杂责
[01412.62-01416.46] 大家知道这些政策用体现在在国生考当中考得特别多
[01416.46-01417.94] 在各别地区的世界单位
[01417.94-01420.22] 比如说像山东世界单位这些地方
[01420.22-01421.94] 对吧,靠得也会比较多
[01421.94-01423.10] 又或者像我们所说的
[01423.10-01425.74] 和北和山西也陆取出现了这些体
[01425.74-01428.34] 那人的广东还靠主观体能让人咋说里却
[01428.34-01429.82] 所以,它像这种正测
[01429.82-01431.62] 应用体在这一年靠得很多
[01431.62-01433.02] 咋们需要做到的是什么
[01433.02-01434.46] 它正测用体不应出员文
[01434.46-01435.34] 而是只给你
[01435.34-01437.34] 比如说像之前山东靠位到底
[01437.34-01438.94] 你下观一心发展理念
[01438.94-01440.34] 说法正确的
[01440.34-01442.78] 有哪些给你ABCD色选项
[01442.78-01444.10] 几乎每一个选项
[01444.10-01445.98] 都不是说上所讲到的员文
[01445.98-01447.52] 这个时候你怎么去选呢
[01447.52-01449.46] 他用事一道单选题
[01449.46-01449.82] 对吧
[01449.82-01451.86] 那这个时候就只有理解这些政策
[01451.86-01453.14] 去给他推论出来
[01453.14-01456.98] 我在这里要给大家去做一个思想上的一个纠正
[01456.98-01460.06] 就是大家可能会觉得说实正这个东西太难了
[01460.06-01462.30] 实正他确实是哪因为实正的内容怎么样
[01462.30-01463.30] 特别多
[01463.30-01465.70] 但是在这里面大家一定要记得一个点
[01465.70-01467.14] 就是在哪的实正
[01467.14-01469.26] 他都有一个核心文件的知道
[01469.26-01471.22] 比如说自20大召开以来
[01471.22-01473.98] 国家所提到的所有的政治类的新闻
[01473.98-01475.66] 他都不会跳透出20大
[01475.66-01477.90] 可能我们需要去激累的
[01477.90-01479.46] 像什么科技新闻呢
[01479.46-01480.58] 像我们所说的
[01480.58-01482.26] 周年经验
[01482.26-01483.06] 像我们所说的
[01483.06-01485.90] 什么各种各样的世界级的这种赛事
[01485.90-01488.38] 它可能是没有核心文件的言论的
[01488.38-01489.86] 但是你旦乏看到
[01489.86-01491.26] 我们国家陷任领导人
[01491.26-01492.62] 去那边讨查了
[01492.62-01493.78] 或者国家陷任领导人
[01493.78-01495.46] 又发表什么什么讲话了
[01495.46-01497.30] 它讲话的内容的核心
[01497.30-01499.30] 一定是它20大内容的表达
[01499.30-01500.50] 我在这里想给大家说的
[01500.50-01503.06] 就是你如果20大和中特那种吃透了
[01503.06-01505.10] 原发现你学政治类的
[01505.10-01506.90] 就是我们所说和林老人讲话
[01506.90-01509.46] 这一类的相关的这些文件
[01509.46-01510.66] 一点都不难
[01510.66-01511.78] 你如果把这些吃透了
[01511.78-01514.06] 你能够把那40%的内容
[01514.06-01515.22] 你哪怕没见过
[01515.22-01516.46] 你能够推予了出来
[01516.46-01518.10] 这个其实就是我们所说的
[01518.10-01520.22] 政策应用的体现
[01520.22-01522.46] 所以你把这个部分内容听懂
[01522.46-01523.78] 其实能够很大程度上
[01523.78-01525.94] 减轻大家的这样机服单
[01525.94-01527.38] 那是在这我们所说的
[01527.38-01529.10] 它的红官的科学体系
[01529.10-01531.22] 我在这里给大家拆解出来了
[01531.22-01533.10] 他的几个考察的角度
[01533.10-01536.60] 以及在这里面给大家去收理了整个科学体系
[01537.10-01539.74] 他大概包好了哪些内容以及在这
[01539.74-01541.42] 也给大家记忆不说明了
[01541.42-01543.90] 咱们接下来要讲的重点的内容
[01543.90-01545.58] 以及大家相当的学习方法
[01545.58-01546.06] 好
[01546.06-01549.42] 在整个我们所说的科学体系的内容里面
[01549.42-01551.10] 就说这么多给大家
[01551.10-01551.74] 好吧
[01551.74-01552.06] 好
[01552.06-01553.90] 这就是我们所说的整个
[01553.90-01556.26] 新思想的科学体系的红官框架
[01556.26-01558.10] 这个红官框架说完了之后
[01558.10-01559.86] 咱们就需要一点点来看
[01559.86-01562.38] 咱们先来看一下整个科学体系当中
[01562.38-01566.26] 它的核心要议以及它的十个明确分别说了
[01566.26-01567.06] 那些
[01567.06-01569.74] 我们首先来看一下整个新思想
[01569.74-01572.06] 它的一个框架的核心要议是什么
[01572.06-01575.10] 你看我在这里给大家有一个框架大议
[01575.10-01578.34] 它说的新思想是核心要议
[01578.34-01580.10] 它没让一个观念自展开
[01580.10-01582.06] 这个官司就输上给到这一话
[01582.06-01584.66] 说坚持和发展中国特色受助议
[01584.66-01588.26] 是改革开放以来我们党全部理论和实现的什么
[01588.26-01591.48] 仙明主题也是心思想的和信要议
[01591.48-01593.18] 这句话还用给大家去解释吗
[01593.18-01595.82] 你同时来看为什么说坚持和发展
[01596.72-01597.94] 为何拉了三个字
[01598.94-01599.78] 心实在
[01600.06-01603.36] 为什么说新时代坚持和发展中国特色收主意
[01603.36-01604.90] 是核心要议
[01606.18-01607.72] 哎嘛 原因了老简单了
[01607.72-01610.60] 说核心核心就是为让他展开的问题吧
[01610.60-01611.76] 既然他是核心要议
[01611.76-01616.10] 那就一定是为让这一个词或者这一个剧子展开的吧
[01616.10-01619.86] 那为让这个词和这个剧则展开了几个方面的问题
[01620.02-01621.70] 展开了两个方面的问题
[01621.86-01624.10] 第一个方面的问题就是心时代
[01624.86-01630.22] 坚持和发展什么样的中国特色社会主义
[01630.22-01630.82] 对不对
[01631.02-01633.70] 以及我们所说的心时代
[01633.98-01636.30] 怎样坚持和发展中国特色主义
[01636.30-01637.46] 我就简单写了
[01637.46-01640.78] 就是怎样坚持和发展中国特色主义
[01640.94-01641.54] 所以你看
[01641.54-01643.42] 说为让他展开了两问题
[01643.42-01644.78] 一个是是什么一个怎么办
[01644.78-01647.54] 所以微肉是核心
[01647.54-01649.90] 所以这到底
[01649.90-01653.10] 所以点它在变向的去产出一个问题
[01653.10-01655.38] 就是我们前面给大家说的
[01655.38-01657.70] 新思想在最开始提出来的时候
[01657.70-01659.86] 它是微肉什么展开的
[01659.86-01662.02] 其实还是说的内容
[01662.02-01664.34] 所以它比较简单 比较简单
[01664.34-01665.50] 而最开始的时候
[01665.50-01668.18] 新时代坚持的发表什么样的中国特色收主意
[01668.18-01670.26] 它是用8个明确来回答的
[01670.26-01672.26] 比如说我们所描会的
[01672.26-01673.14] 在新思想
[01673.14-01674.38] 他的体系之下
[01674.38-01677.82] 他所说的先时代的中国特色收主以到底什么样
[01677.82-01680.18] 他是用8个明确来形容的
[01680.18-01682.86] 但是8个明确我们都知道最后变成了什么
[01682.86-01684.02] 10个明确
[01684.02-01686.82] 而怎样坚持发展中国特色收主义
[01686.82-01689.02] 这个体验这后半句话
[01689.02-01694.34] 他最开始回答的时候是用科学体系当中的14个坚持来回答的
[01694.34-01697.42] 这14个坚持也照14个基本方略
[01697.42-01700.10] 这个点目前其实不太会考了
[01700.10-01701.74] 大家稍微注意一下就可以了
[01701.74-01703.38] 就是坚持发展什么样的
[01703.38-01704.70] 这是8个名曲
[01704.70-01706.98] 怎样坚持发展中国特殊主义呢
[01706.98-01709.38] 这是14个坚持来回答的
[01709.38-01710.74] 这是最开始的时候
[01710.74-01712.38] 这个体系框架刚有的时候
[01712.38-01714.46] 是有大钢召开结束的时候
[01715.18-01716.46] 它考慍一个对应
[01716.46-01719.66] 但是这个点目前在科考的科考性
[01719.66-01720.94] 就会低一点
[01720.94-01722.18] 因为咱们二十大已经出来了
[01722.18-01723.18] 所以你稍微注意一下
[01723.18-01724.54] 这个地方有个对应用就OK了
[01724.54-01725.02] 好吧
[01725.02-01725.74] 那在这呢
[01725.74-01726.74] 大家要稍微注意一下
[01726.74-01728.78] 这是它的核心要异
[01728.78-01730.56] 这最开始的时候这个内容
[01730.56-01731.98] 还要解决的问题
[01731.98-01733.22] 但是咱们刚刚可以说了
[01733.22-01734.70] 随着时代的不断变化
[01734.70-01738.50] 这个思想体系的内容也在不断的晚上和发展
[01738.50-01741.54] 咱们就来看一下到底他是经过哪些会议
[01741.54-01744.46] 才丰富成了我们所说的今天的整个
[01744.46-01746.58] 新思想的完整的框建
[01746.58-01748.38] 咱们来看一下书上有一句话
[01748.38-01750.26] 说到20-20大包吒创
[01750.26-01753.14] 说新思想的主要内容为19大
[01753.14-01755.42] 19月6日前会上替出来的
[01755.42-01757.78] 10个明确14个坚持
[01757.78-01759.86] 以及13个方面成就
[01759.86-01761.98] 这老生这怎么出现了两个回忆呢
[01761.98-01763.22] 因为我们前面给大家说过
[01763.22-01764.38] 他在不同的会议上
[01764.38-01766.06] 他提到的内容不一样
[01766.06-01768.10] 这儿需要同一们做一个标记
[01768.10-01770.14] 在旁边给他标注一个两星
[01770.14-01771.54] 我们在这里要知道
[01771.54-01773.42] 一个点就是整个心思想
[01773.42-01775.50] 他主要内容的发展变化
[01775.50-01777.42] 或者叫做发展完善
[01777.42-01779.06] 这是不是我们刚才
[01779.06-01780.18] 给大家说的
[01780.18-01783.06] 他的科学体系当中的低个考点就出来了
[01783.54-01784.66] 所以大家注意想啊
[01784.66-01786.14] 我们说了这个西思想
[01786.14-01788.34] 他不是说自现任国家领导人
[01788.34-01789.22] 2012年
[01790.02-01791.22] 长管国家以来
[01791.22-01793.18] 为国家做供现建设以来
[01793.18-01795.22] 他的思想体现一下就成熟了
[01795.22-01796.02] 这不太可能
[01796.02-01796.98] 那你想一下
[01796.98-01798.94] 比如说就好像你是班长
[01798.94-01801.46] 然后你今天才当上班长
[01801.46-01802.94] 然后你前任班长
[01802.94-01803.62] 对吧
[01803.62-01807.02] 你之前的班长还为这个班机体做供现的时候
[01807.02-01808.42] 你不可能说你当上班长的时候
[01808.42-01810.70] 你就把你的所有体系都已经高好了
[01810.70-01811.66] 这不太现实
[01811.66-01813.78] 因为你没有接触过这个班机的情况
[01813.78-01817.50] 所以你不可能有马上就拿出一套非常成型的这个理论
[01817.50-01819.70] 那对于国家的发展件是一样的
[01819.70-01823.50] 2012年我们说了新的国家领导人上台
[01823.50-01826.38] 然后这个时候呢国家我们国家进入到了西时代
[01826.38-01828.10] 我们又面临的时代问题有很多
[01828.10-01831.70] 他提出来了很多解决线问题的这样一个方式用方法
[01831.70-01833.74] 但是没有一个成型的体系
[01833.74-01836.62] 所以到了什么时候我们整个体系
[01836.62-01838.50] 他大概猜到了一个明确的框架了
[01838.50-01840.10] 其实是在十九大的时候
[01840.10-01843.30] 收大的時候在會議上提到的是8個明確
[01843.94-01847.42] 這8個明確就是剛才說了回答的堅持和發展
[01847.42-01849.58] 什麼樣的中國特色收入主義
[01849.58-01854.06] 同時提到了14個堅持或者是14個基本方略
[01854.34-01859.30] 然後他解決的就是怎樣堅持和發展中國特色收入主義的問題
[01859.30-01860.74] 這是造19大
[01860.74-01864.26] 但是到了15大之後國家依舊在不停的向前
[01864.26-01867.54] 國際局勢和社會局勢依舊在不斷的變化
[01867.54-01870.06] 所以整個思想體系也在不斷的什麼
[01870.06-01871.08] 往上漫山
[01871.08-01873.22] 所以到了15节六中圈会的时候
[01873.22-01876.96] 我们的内容就从8个明确变成了10个明确
[01880.30-01883.38] 8个明确变成了10个明确
[01883.38-01884.92] 而我们所说的
[01884.92-01886.96] 同时在15节六中圈会当中
[01886.96-01890.28] 又提到了叫做13方面的成就
[01892.08-01893.30] 13方面成就
[01893.30-01897.82] 但是在15节六中圈会当中没有再次重复的去表述14个坚持
[01897.82-01901.16] 是不是就意味着14个坚持不是新思想的内容呢
[01901.66-01902.94] 那整体不是呀对吧
[01902.94-01904.74] 你说出一个话迫取一个所谓
[01904.74-01905.76] 把上定定的事
[01905.76-01908.56] 你怎么能说14个坚持不是他的内容呢
[01908.56-01911.50] 只过是在19节6种权会的手没有在
[01911.50-01913.08] 再一次重复的去干说
[01913.08-01914.02] 明白这个意思啊
[01914.02-01915.36] 这是15节6种权会
[01915.36-01917.16] 而是有些6种权会结束之后呢
[01917.16-01919.38] 姐姐就在我们距离我们生活
[01919.38-01920.72] 并没有很远的这个年份
[01920.72-01923.38] 照开了我们非常重大的一次会有20个
[01923.38-01926.90] 我们说了20大纸到未来中国五年的发展变化
[01926.90-01928.30] 这是非常照理广件
[01928.30-01930.38] 二十二全的一共是73岳
[01930.38-01932.22] 大概如果去看过那个全文的话
[01932.22-01933.46] 你就只有一个感觉
[01933.46-01935.66] 就是我当时的第一个感觉就是
[01935.66-01936.90] 没随了对吧
[01936.90-01939.42] 整体上它的框架的书里
[01939.42-01941.02] 对于国家未来发展的定位
[01941.02-01942.86] 对于国际局式的判断
[01942.86-01944.94] 以及中国在国际上办的角色
[01944.94-01946.66] 它其实方方面都行得到
[01946.66-01949.46] 里面可以说是自自主机
[01949.46-01951.10] 没有一个字是废话的
[01951.10-01952.70] 真的是写得非常好
[01952.70-01954.10] 所以在这里面大家注意一下
[01954.10-01955.26] 在二十大当中
[01955.26-01956.86] 我们来看一下体验一下
[01956.86-01959.54] 当时大端中有关心思想它的内容
[01959.54-01960.70] 就是提到了
[01960.70-01961.98] 可前面又不同
[01961.98-01965.58] 就是它在这里提到的是16方面的历史性成就
[01970.82-01971.86] 所以在这里
[01971.86-01973.42] 大家知道这个地方
[01973.42-01974.46] 我前面给他说了
[01974.46-01976.98] 它的完善和发展考上考回一堆英
[01980.30-01982.82] 所以要知道从8个明确到10个明确
[01982.82-01985.42] 那次会议19届6种全会
[01985.42-01988.30] 所以这六中钱会是几个方面是三个方面
[01988.30-01992.06] 而十六个方面成就什么时候是在二十大的时候
[01992.06-01994.06] 你要把这几个会一切给他去分开
[01994.06-01995.02] 他考试的时候呢
[01995.02-01996.54] 这种一给你张管理戴
[01996.54-01998.22] 所以在这个地方大家要明确
[01998.22-02001.74] 所以如果从现在我们今天的这个角度来看
[02001.74-02005.66] 整个新思想的那种是十个明确十四个坚持
[02005.66-02006.06] 对吧
[02006.06-02006.94] 然后呢
[02006.94-02009.82] 他如果说十九些六中钱会定位在这
[02009.82-02013.42] 那就是十个明确十四个坚持十三方面成就
[02013.42-02014.82] 如果定位在20大致
[02014.82-02016.30] 你去看看20大的报告
[02016.30-02017.10] 就能够看到
[02017.10-02018.86] 它是10个名确
[02019.34-02021.62] 14个箭纸16方面的成就
[02021.62-02024.82] 但是在20大当中没有明确的提到说
[02024.82-02026.66] 说什么习思想爆货10个名确
[02026.66-02027.50] 没有这么说
[02027.50-02028.70] 所以只是我们说了
[02028.70-02031.34] 从它的这个历史研格来看
[02031.34-02033.90] 它现在的内容体型和框架是什么样子
[02033.90-02035.06] 因为20大当中
[02035.06-02037.26] 其实只是提到了16方面成就
[02037.26-02038.62] 以及掌握国家未来
[02038.62-02041.70] 没有再次去重申10个名确和10个箭纸
[02041.70-02043.14] 这个点大家要知道
[02043.14-02050.86] 好的,我们要再提到,我们所说的整个西思想,它的一个变化过程
[02050.86-02056.70] 这里面最为核心的内容,最为核心的内容,就是在于10个明确
[02056.70-02063.66] 接下来,我们来多一点,代新,来一点,去把10个明确的内容,去给它看下来
[02063.66-02065.90] 它不会像我们想像当中的那么难
[02065.90-02068.42] 而針對於使個明確有哪幾個考察的角度
[02068.42-02069.22] 我也給大家說了
[02069.22-02070.22] 第一個紅官考
[02070.22-02071.82] 問我們使個明確有哪些
[02071.82-02073.74] 第二個對比考就會問我們
[02073.74-02075.14] 相對於8個明確當中
[02075.14-02076.14] 新增的哪些
[02076.14-02077.82] 第三個細指考
[02077.82-02078.94] 問使個明確
[02078.94-02080.94] 他的具體內容裡面的細節
[02080.94-02081.70] 大家要知道
[02081.70-02083.98] 咱們把這使個明確去給它吃透
[02083.98-02085.10] 接下來
[02085.10-02088.22] 同時們長期一口氣
[02088.22-02089.94] 然後錯錯眼睛
[02089.94-02092.46] 咱們就進入到使個明確的學習
[02092.46-02093.82] 那使個明確當中
[02093.82-02095.54] 咱們來看一下第一個明確
[02095.54-02098.46] 第一个面具 西斯想主要内容的发展
[02098.46-02100.14] 就是给大家留机币机的地方
[02100.14-02102.46] 就是我在这 给大家写着宽建
[02102.46-02105.46] 好 那我们来看一下石头明确当中的具体内容
[02105.46-02107.06] 石头明确里面的第一个明确
[02107.06-02109.34] 同们来看一下明确了啥
[02109.34-02111.66] 第一个明确 咱把约文贵变
[02111.66-02113.74] 他说明确中国特色社会主义
[02113.74-02117.74] 最本质的特征是中国共产党的领导
[02117.74-02121.38] 第二句话 中国特色社会主义制度的最大优势
[02121.38-02123.34] 是中国共产党的领导
[02123.34-02124.06] 第三句话
[02124.06-02126.56] 中國共產黨領導是最高政治力量
[02126.56-02128.22] 全奴必須增強四個醫師
[02128.22-02130.16] 堅定的四個字信做到兩位戶
[02130.16-02131.86] 來我來問一下大家
[02131.86-02133.96] 十個明確當中的第一個明確
[02133.96-02135.46] 就是明確了一個詞
[02135.46-02137.16] 你在這裡面從這段話當中
[02137.16-02139.66] 給我體諒出最遍核心的一個詞
[02139.66-02140.26] 是什麼?
[02142.16-02143.16] 體諒一下
[02143.16-02144.06] 黨嗎?
[02144.06-02145.76] 你看在這裡面他給他說
[02145.76-02148.16] 明確最本質的特徵黨的領導
[02148.16-02150.26] 中國制度的最大優勢黨的領導
[02150.26-02152.26] 中國共產黨是最高政治力量
[02152.26-02154.50] 其实在这里面就明确了一个点
[02154.50-02157.22] 想要走好未来到社会主义道路
[02157.22-02159.22] 想要实现社会主义现在还强国
[02159.22-02161.26] 我们必须堅定不仅的什么
[02161.26-02162.50] 把方向搞好
[02162.50-02164.34] 而这个方向要一号谁的领导
[02164.34-02167.18] 要一号中国共产党的领导
[02167.18-02169.22] 大家要知道一个国家的发展
[02169.22-02170.98] 它必须有一个明确的领导力量
[02170.98-02173.18] 为什么自一卷一年中国共产党成立
[02173.18-02173.74] 我们说了
[02173.74-02176.22] 就是中国什么有了翻面覆定的变化
[02176.22-02177.86] 从此中国有了一个什么
[02177.86-02179.18] 堅定的领导核心
[02179.18-02181.30] 就是因为没有一个领导核心
[02181.30-02182.82] 这个国家他就是反的
[02182.82-02184.74] 你怎么样能够让这个国家心往一出想
[02184.74-02185.98] 就往一出事
[02185.98-02187.54] 你必须让这个国家的内部
[02187.54-02189.10] 他有一个明确的方向
[02189.10-02190.74] 这个就早一个感觉
[02190.74-02192.58] 你抱态旅游的生出一玩的时候
[02192.58-02193.38] 你出一玩的时候
[02193.38-02195.06] 你跟佛总最怕走什么
[02195.06-02196.02] 他走丢吧
[02196.02-02196.42] 对吧
[02196.42-02197.42] 因为你一旦掉队了
[02197.42-02198.86] 你这个时候联系不上导游
[02198.86-02200.26] 然后你联系不上同车的人
[02200.26-02201.02] 你想一想
[02201.02-02201.46] 对吧
[02201.46-02202.46] 你在出去玩的时候
[02202.46-02203.26] 就生你自己
[02203.26-02204.46] 再跟莫生的城市
[02204.46-02205.26] 既然又不通
[02205.26-02206.26] 我就你自己
[02206.26-02207.02] 下次了
[02207.02-02207.26] 对吧
[02207.26-02208.70] 这把生灭关系有手机
[02208.70-02209.86] 有手机你害怕呀
[02209.86-02210.18] 对吧
[02211.30-02212.14] 我们会发现
[02212.14-02214.50] 你看在一个旅游团当中最重要的是吧
[02214.50-02215.38] 就是导有
[02215.38-02216.90] 如果你能看到导有
[02216.90-02218.02] 其实你就是放心呢
[02218.02-02219.50] 你不担心自己走丢
[02219.50-02221.18] 导有一般请我还在前走的时候
[02221.18-02222.30] 他都会举个小钱
[02222.30-02223.38] 你就能够知道
[02223.38-02225.54] 我只要看到那个奇距
[02225.54-02226.94] 我就知道什么
[02226.94-02228.10] 前进的方向
[02228.10-02229.50] 你看这是什么是一样的
[02229.50-02231.50] 那对于国家的发展也是一样的
[02231.50-02234.70] 我只要看到中国共产党这一面奇距
[02234.70-02236.38] 我就知道我们走的
[02236.38-02238.78] 就是社会主义到我方向就不偏
[02238.78-02240.06] 对于中国来说
[02240.06-02243.34] 同论不要去听信国外的那些狗屁的那些废话
[02243.34-02245.66] 经常说什么啊呀什么自问主义之够好了
[02245.66-02248.26] 然后西方极度的自由有这用大的
[02248.26-02249.86] 它那是在跟我们玩什么
[02249.86-02251.14] 玩意是形态身后呢
[02251.14-02252.38] 它就是想让我们
[02252.38-02255.02] 那些不去拥护社会主义道路
[02255.02-02257.30] 社会主义道路走到今天
[02257.30-02259.30] 大家应该知道一点的不容易
[02259.30-02261.02] 咱们在讲党史的时候给大家发了
[02261.02-02262.14] 忘了讲了那么多
[02262.14-02264.74] 你就知道我们经过那么多年的探索
[02264.74-02265.98] 经过百年的成轮
[02265.98-02267.06] 我们现在呢
[02267.06-02268.42] 一代用一代人犀生了
[02268.42-02270.98] 我们所说的现在自己的什么生活
[02270.98-02273.50] 牺牲了自己的时间去建设这个国家
[02273.50-02275.46] 那你看每一代人都有牺牲的
[02275.46-02276.94] 才有了今天的这种主意
[02276.94-02279.50] 我们哪怕说生活现在有一定的压力
[02279.50-02280.66] 生活现在有很苦
[02280.66-02281.66] 但是不要去抱怨
[02281.66-02282.78] 这就是时代发展
[02282.78-02284.58] 它必然要出现了这样一个过程
[02284.58-02285.58] 我们不能说
[02285.58-02288.38] 因为因为我正在承受着生活当中
[02288.38-02290.42] 了其大的这样的一个生活的负担
[02290.42-02292.42] 我就认为这张制度它是不好的
[02292.42-02293.38] 不可能这么想
[02293.38-02295.38] 因为国家未来的发展的方向
[02295.38-02296.86] 它一定是为大多数人的
[02296.86-02298.14] 这就是由中国
[02298.14-02299.46] 我们所说的他的意识形态
[02299.46-02301.42] 有中国的底层我记所决定的
[02301.42-02303.22] 而想要走好社会主义道路
[02303.22-02304.42] 就不能射其他
[02304.42-02306.02] 你不射其社会主义道路
[02306.02-02307.06] 就只有一个
[02307.06-02308.98] 你必须有一个非常兼定的政党
[02308.98-02311.26] 你如果1200星去坚持受主义方向
[02311.26-02312.98] 我就在大家上随便抓一个人
[02312.98-02314.46] 说你了解社会主义吗
[02314.46-02316.38] 他都不一定知道社会主义是什么
[02316.38-02318.86] 你让我们的老百姓到底跟谁走吧
[02318.86-02320.14] 让老百姓自己去走
[02320.14-02322.46] 那没有办法把老百姓全都拧续起来
[02322.46-02324.26] 我们老百姓就像我们这个流头儿
[02324.26-02325.78] 当中的有课式样的
[02325.78-02327.46] 他必须有一个坚定的什么
[02327.46-02331.80] 領導力才能讓這一部分人動派出巨大的創造社會的這樣的一個什麼
[02332.58-02333.34] 銀巨力
[02333.60-02336.94] 所以在這裡面我們就要知道想要走好社會主義道路
[02337.20-02338.98] 想要實現現代化強國的建設
[02339.24-02340.52] 它就必須有一個
[02340.78-02342.56] 堅強的領導力量
[02342.82-02344.10] 它就必須有一個堅定的政道
[02344.36-02346.92] 所以你看10個明確當中放在第一位的就是什麼
[02347.68-02349.22] 就是中國共產黨的領導
[02349.48-02352.80] 所以在這裡面大家知道10個明確第一個要明確的就是什麼
[02353.06-02354.08] 中國共產黨領導
[02354.34-02356.90] 那它在這裡是怎麼說的中國共產黨的領導呢
[02356.90-02358.14] 他这里面说了
[02358.14-02360.18] 说中国共产党的领导
[02360.18-02361.18] 你先画过锅锅
[02361.18-02362.30] 我在告诉你怎么考
[02362.30-02363.78] 说中国共产党的领导
[02363.78-02365.22] 是中国特色收主义
[02365.22-02365.70] 坏下
[02365.70-02367.38] 最本质的特征
[02367.38-02368.98] 是中国特色收质主义
[02368.98-02371.06] 制度的最大优势
[02371.06-02375.34] 中国共产党是我们国家的最高政治领导
