[00000.00-00004.38] 今天我们就从考试的角度来聊聊整个明天时期
[01148.54-01151.78] 后面说佛教转因为三宝胎件
[01151.78-01156.22] 所以说三宝或者出现三宝胎件要知道是谁是正合
[01156.22-01158.62] 正合它原本不兴正
[01158.62-01162.62] 正合原本兴马和叫马和
[01162.62-01164.62] 而在家里排行老三
[01164.62-01166.90] 所以在这时候也叫做三宝
[01166.90-01171.50] 按照三保 而后面的时候是朱地给他资了一个性证
[01171.50-01173.58] 所以这个时候就叫做政客
[01173.58-01176.30] 原本是因为在家里谈老三叫做三保
[01176.30-01178.82] 后来因为民充组出地太辛苦
[01178.82-01180.42] 所以在佛教这个时候呢
[01181.14-01183.70] 有被称之为叫做三保太简
[01183.70-01184.66] 就三保太简
[01184.66-01186.82] 所以大家注意一下 这是我们所说的
[01186.82-01190.46] 这个政客下降 这下降是这几件事
[01190.46-01194.70] 大家注意一下 这件事情是发生在民充组织地时期
[01194.70-01196.26] 发生在民充组织地时期
[01196.26-01198.36] 这是比三个打住一下
[01198.36-01201.00] 在这里还有一个小的细得点
[01201.00-01202.62] 给同们去进行了一个脱展
[01202.62-01204.78] 这个就是我们要说到的
[01204.78-01206.86] 叫做精军三大影
[01206.86-01209.00] 这个精军三大影是名单有了前切
[01209.00-01211.06] 在精石建立的叫做五军影
[01211.06-01212.66] 三千影和神机有
[01212.66-01215.46] 这几个点同学没有稍微有点印象
[01215.46-01218.22] 它经常会出现一个单独的选项
[01218.22-01220.90] 或者是把这个选项让你去疲配
[01220.90-01222.98] 大家就知道叫精军三大影
[01222.98-01225.78] 这精军三大影五军影三千影和神机
[01225.78-01226.86] 大家要知道
[01226.86-01233.14] 而這個經濟三岸影可以說明朝軍隊主要的戰鬥力
[01233.14-01234.70] 明朝軍隊主要的戰鬥力
[01234.70-01235.86] 比如說到後面的時候
[01235.86-01237.82] 明文會講到明英宗
[01237.82-01240.26] 英宗他去跟宛拉對靠的時候
[01240.26-01243.86] 幾乎是把這個經濟三岸影的軍隊全都打出去了
[01243.86-01244.26] 對吧
[01244.26-01246.90] 所以就能夠看得出來他們的戰力是非凡的
[01246.90-01248.82] 所以在這裡有這麼一個小的細節點
[01248.82-01249.94] 同時要注意一下
[01249.94-01252.66] 這是我們所說的這個有樂生事
[01252.66-01253.46] 有樂生事
[01253.46-01257.18] 那大家就知道 勇樂生事是發生在名稱組 朱地時期
[01257.18-01260.70] 而朱地確實之後 當時朱地有兩個兒子
[01260.70-01263.30] 一個叫朱高峻 一個叫做朱高峻
[01263.30-01267.36] 而朱地就把他的王妹傳給了他的大兒子
[01267.36-01269.26] 朱高峻 於是就出現了
[01269.26-01271.94] 我們所說的名朝的第三個生事
[01271.94-01275.26] 就叫個山 同樣知道叫做人選知知
[01275.26-01279.06] 人選知知的考察方式一樣 考察 排序
[01279.06-01281.10] 咱們來看一下人選知知是怎麼回事
[01281.10-01282.34] 其實在這裡
[01282.34-01287.34] 明昆主租地,咱们刚才说了,他有两个儿子,一个儿子叫做出高质
[01287.34-01299.74] 从来看一下,一个儿子叫出高质,还有一个叫出高质,出高质,他其实身体不太好,稍微有点胖,而且还有脚极,这个就是我们所说的出高质,
[01299.74-01310.54] 但出地把王位传给出高质的原因不是在于他靠了他的这个大儿子,而在于靠了他的小孙子,他们发现了历史总是经人的相思,
[01310.54-01315.02] 而是这个名称祖靠了他小孙子朱山极
[01315.02-01317.22] 朱山极就是人中的儿子
[01317.22-01320.08] 就是民宣总
[01320.08-01322.58] 所以在这个时候才有的叫做什么知志
[01322.58-01326.14] 叫做人宣知知
[01326.14-01326.78] 就是在这
[01326.78-01328.18] 我在这里给大家解取的
[01328.18-01330.54] 其实是大名风华里面的角色
[01330.54-01331.58] 大家应该知道
[01331.58-01335.10] 这就是当时朱地把这个王内传给出高制的时候
[01335.10-01337.22] 他是不是还有个儿子 出高训
[01337.22-01338.38] 他儿子不乐意了
[01338.38-01342.22] 他儿子说说我大哥那个样儿看起来就死不烂产了
[01342.22-01343.86] 对吧感觉就活不太上时间
[01343.86-01345.06] 你说你穿给他干什么呀
[01345.06-01347.02] 笑我长的英明神舞
[01347.02-01348.74] 空悟有力气度非凡
[01348.74-01350.30] 一看就是地王之相
[01350.30-01351.18] 于是呢
[01351.18-01353.62] 他的这个儿子就开始琢美一件事
[01353.62-01354.46] 啥事呢
[01354.46-01355.98] 就是学他老爹
[01355.98-01357.50] 他想他老爹当年
[01357.50-01358.42] 也是输出
[01358.42-01358.98] 对吧
[01358.98-01359.58] 然后呢
[01359.58-01360.50] 当时主演门呢
[01360.50-01362.26] 就和他老爹这些发生了战争
[01362.26-01363.86] 于是他老爹把王内抢了过来
[01363.86-01365.94] 他就觉得可以走他老爹的这个路
[01365.94-01366.86] 于是呢
[01366.86-01370.44] 我们所说的等到珠粘级 明宣众计位之后
[01370.44-01374.54] 这里面的珠高序 也就是它的二叔在这里面就造反了
[01374.54-01376.34] 但这个珠高序打错了算盘了
[01376.34-01379.28] 它不是它跌 它没有它跌到那类下子
[01379.28-01382.74] 当然它的植子 珠粘级 也不是当年的主也问
[01382.74-01387.46] 所以当时珠高序 它的企业 不能说企业
[01387.46-01390.00] 它是个造反 没过多少时间就被震压了
[01390.00-01394.82] 震压了之后 后来珠粘级去老房里面去看它的叔叔
[01394.82-01397.38] 后来说就喝毒酒自信了
[01397.38-01398.90] 这是我们所说的
[01399.18-01401.18] 人总和宣公的这时期
[01401.18-01403.58] 所以在人总和宣众这一块有一个小的点
[01403.58-01407.74] 同一边要知道就叫做人宣之之
[01408.02-01409.46] 而在我们所说的
[01409.46-01411.06] 朱丹击明宣众之后
[01411.06-01412.34] 就是我们所说的
[01412.90-01413.70] 我们的
[01414.02-01416.38] 另外一个人就登上了历史舞台
[01416.38-01419.14] 这个人就是明英宗主席证
[01419.14-01420.42] 不知道大家也没有看过
[01420.42-01422.62] 或者会订华其实演过这个明英宗
[01422.62-01425.82] 我覺得這個形象的其實在女移民非專裡面
[01425.82-01430.70] 他演的這個名英宗在民英宗時期發生了一件特別重要的事
[01430.70-01432.62] 這個特別重要的事是什麼呢?
[01432.62-01435.94] 這個特別重要的事就是土木寶殖片
[01435.94-01437.98] 就是我們所說的土木寶殖片
[01437.98-01439.46] 這個土木寶殖片
[01439.46-01443.78] 同樣記得它其實是明朝有盛到衰的轉折
[01443.78-01445.10] 這裡面有幾個系列的點
[01445.10-01446.74] 同樣要在這裡標準清楚
[01446.74-01448.98] 第一個我們所說的這個土木殖片
[01448.98-01452.06] 或者是土木殖片發生在民英宗時期
[01452.62-01456.10] 发生在民运动世界
[01456.10-01456.82] 第二个呢
[01456.82-01458.02] 同意要在这里明去
[01458.02-01461.90] 这个世界是明朝游生到帅的一个转折点
[01461.90-01464.10] 那是明朝游生到帅的一个转折点
[01464.10-01465.34] 那这个同保之边
[01465.34-01466.82] 它到底是怎么回事呢
[01466.82-01467.54] 其实这样的
[01467.54-01468.22] 大家都知道
[01468.22-01469.66] 你看在这里是给的说
[01469.66-01471.82] 说蒙古瓦拉布洛手令
[01471.82-01475.42] 然后帅里我们所说的这个蒙古军难下
[01475.42-01477.26] 现在这里是这么一件事
[01477.26-01478.74] 当时的蒙古
[01478.74-01480.78] 它其实是或者说是
[01480.78-01482.78] 名带草原上的蒙古族
[01482.78-01484.78] 它其实分成两个布洛的
[01484.78-01486.78] 一部布洛叫做瓦拉
[01486.78-01488.78] 还有一个布洛叫做打打
[01488.78-01490.78] 一个布洛叫做瓦拉
[01490.78-01492.78] 还有一个布洛叫做打打
[01492.78-01495.78] 而原本的这个瓦拉是蒙古的别布
[01495.78-01496.78] 它是成复于打打的
[01496.78-01498.78] 但是后来又瓦拉
[01498.78-01499.78] 势力逐渐变大之后
[01499.78-01501.78] 它就不太听打打的换了
[01501.78-01502.78] 而这个瓦拉
[01502.78-01503.78] 它就做大作强之后
[01503.78-01505.78] 它其实是有自己的野心的
[01505.78-01506.78] 它的野心是什么
[01506.78-01508.78] 大家都知道蒙古居以前是圆炒
[01508.78-01510.06] 可以说是铁鸡
[01510.06-01513.12] 而且当时的原军是会非常能打
[01513.12-01515.68] 最有打到的大道欧洲的编剔去了
[01515.68-01517.88] 所以当时等到宝拉做了一条的时候
[01517.88-01521.84] 他就想灰军难下再次灰富原炒的统治
[01521.84-01524.44] 所以当时就发生了图寶之边
[01524.44-01526.44] 图寶之边当时明映总
[01526.44-01528.62] 看得刚才看到女明明会赚里面
[01528.62-01529.94] 会建华这个角色
[01529.94-01532.32] 率领50万大军硬战
[01532.32-01534.58] 我们刚才所说的精神三大营
[01534.58-01536.42] 我们所说神机营等等
[01536.42-01539.70] 全部都掉了,来应对勇所说的瓦拉
[01539.70-01542.96] 而当时在河北的图堡瓦拉居有多少人呢?
[01542.96-01545.26] 瓦拉齐兵只有两万人
[01545.26-01549.14] 明英宗的50万大军对着瓦拉的两万齐兵
[01549.14-01550.76] 没打过,不仅没打过
[01550.76-01552.80] 明英宗还是给抓了
[01552.80-01556.22] 你这个就有点傻干净,就有点当年送朝的那个
[01556.22-01558.06] 静抗之尺的人感觉了
[01558.06-01559.22] 还让这人抓了
[01559.22-01562.06] 而当时抓走皇上这个人是瓦拉的手里
[01562.06-01563.70] 瓦拉的手里叫个什么呢?
[01563.70-01566.06] 瓦拉的手里就做野鲜
[01566.06-01567.56] 也先這個人其實不錯
[01567.56-01568.86] 他把民運動抓走了之後
[01568.86-01570.46] 其實並沒有把民運動怎麼樣
[01570.46-01572.54] 他只是想說我把你們皇帝綁了
[01572.54-01574.36] 你這種情況之下你不在聽我
[01574.36-01574.96] 滿得吧
[01574.96-01575.36] 對吧
[01575.36-01576.26] 所以當時呢
[01576.26-01577.88] 這個也先抓了這個民運動
[01577.88-01579.06] 把皇帝抓了之後
[01579.06-01581.62] 然後就率領10萬大金繼續拿下
[01581.62-01582.36] 吃搭北京
[01582.36-01585.06] 於是在這個時候就爆發了北京寶維戰
[01585.46-01587.02] 當時在北京寶維戰當中
[01587.02-01589.46] 出現了一個非常重要的人物
[01589.46-01591.26] 比如在這個圖寶這邊當中
[01591.26-01592.16] 這個人是誰呢
[01592.16-01592.76] 大家注意一下
[01592.76-01595.36] 這個人物就是於千
[01595.36-01597.92] 老师哪个雨传儿川南喝酒 汤头那个雨伤吗
[01598.68-01602.28] 不是啊 同时那个雨伤是谁呢 是时灰爷那个雨伤
[01605.60-01609.68] 是千末万机还间谍 热儿东西南北风 是这个雨伤
[01609.96-01614.56] 当时这个雨伤呢 他是冰部上书 大家没想到吧 大家都觉得他是一个失忆
[01614.56-01618.92] 但他其实是一个领域作战的降领啊 他是当时的冰部上书
[01619.16-01623.00] 他做一当时的冰部上书就只会了北京保渊烦 打败了这个蒙古人
[01623.00-01625.88] 因为当时民众宝宝抓着后蒙古人打个算盘
[01625.88-01628.24] 就是我绑了你们的皇帝们在听我的邱显你
[01628.24-01631.04] 对吧 但是于千当时做了啥的于千当时说
[01631.04-01633.92] 只不能让他们抓住我们的软累
[01633.92-01636.76] 于是于千看到英宗被抓了之后
[01636.76-01639.16] 就让英宗的弟弟代总
[01639.16-01640.96] 代总是谁呢 大家注意一下
[01640.96-01641.96] 代总在这
[01641.96-01644.44] 这个代总呢 就是初期真的弟弟
[01644.44-01645.48] 叫做初期玉
[01645.48-01648.12] 这个初期玉呢 女移民非转当中
[01648.12-01650.28] 黄先生黄先生
[01650.28-01652.12] 我的天嘴条
[01652.12-01655.52] 看看黄宣伴也觉得是名带中
[01655.52-01656.22] 名带中的黄宣伴也觉得是名带中
[01656.22-01657.50] 它的年化是警派
[01657.50-01658.78] 我们经常会看到说
[01658.78-01660.76] 现在有一个叫做警派栏
[01660.76-01662.96] 那这警派栏其实是原自于这个警派
[01662.96-01665.38] 于是当时于一千就让这个带中
[01665.38-01668.12] 也就是租奇玉当了黄地
[01668.12-01669.02] 当了黄地之后
[01669.02-01670.46] 这就说蒙古人一看
[01670.46-01671.84] 是为一点招都没有了
[01671.84-01673.28] 那这时候没有办法
[01673.28-01675.00] 就把名宗前反回来了
[01675.00-01676.76] 所以名宗回来之后
[01677.24-01678.44] 也很逼据
[01678.44-01680.20] 就一直被关在这个关内
[01680.20-01682.04] 后来这个带中身体不好
[01682.04-01683.84] 当了黄帝七年之后就死了
[01683.84-01685.20] 就没活过他哥
[01685.20-01687.68] 后来带等到这个猪奇玉
[01687.68-01688.76] 断气之前
[01688.76-01691.00] 当时的换温和大城就用力
[01691.00-01693.24] 明英总也是会订华这个角色
[01693.24-01694.68] 猪奇震复弊了
[01694.68-01696.12] 叫做夺门之变
[01696.12-01697.40] 然后英总复弊之后
[01697.40-01698.28] 第一件事干嘛呢
[01698.28-01699.32] 把鱼签干掉了
[01699.32-01700.04] 当时他就说
[01700.04-01702.52] 他说我当时被关在内蒙五大草原
[01702.52-01704.04] 放马吃腰肉喝腰奶
[01704.04-01705.80] 你这时候你让我弟弟上位
[01705.80-01706.92] 我差点没死在那儿
[01706.92-01707.16] 对吧
[01707.16-01709.16] 我管管理对江山设计有功
[01709.16-01710.28] 我就要公报思仇
[01710.28-01711.60] 律师他就把鱼串杀了
[01711.60-01714.04] 鱼串被杀掉之后就买在了西胡判
[01714.04-01715.20] 跟越非一样
[01715.20-01716.92] 所以有一句话在这里面
[01716.92-01717.72] 大家注意一下
[01717.72-01720.92] 和鱼串和越非都有关系的一个考验
[01720.92-01721.68] 就是在这里
[01721.68-01722.48] 叫做
[01722.48-01722.68] 呃
[01722.68-01722.88] 呃
[01722.88-01724.92] 位有越于双少宝人间
[01724.92-01725.88] 使之
[01725.88-01727.12] 重细胡
[01727.12-01729.48] 这里面的越于指的是谁
[01729.48-01730.12] 同时知道
[01730.12-01732.64] 这里面的越于指的是越非和鱼前
[01732.64-01733.28] 第二个
[01733.28-01734.52] 他们两个东买在哪
[01734.52-01736.28] 东买在西胡判
[01736.28-01737.16] 这里面
[01737.16-01737.96] 同时要注意
[01737.96-01739.56] 我们在世界单位考试的时候
[01739.56-01740.72] 考问哪个点了呢
[01740.72-01742.48] 考过西湖这个点了
[01742.48-01743.60] 就当时说
[01743.60-01746.24] 比下官月约飞说法正确或错误的事
[01746.24-01747.24] 然后就给到了说
[01747.24-01749.48] 月飞它的月飞的
[01749.48-01751.52] 目或者月飞的这个杯
[01751.52-01752.92] 在哪里是在西湖
[01752.92-01753.92] 这个点考过了
[01753.92-01756.92] 但是我们经常有和把闻学和历史结合在一块
[01756.92-01757.76] 考察人物
[01757.76-01758.92] 在这里他说了
[01758.92-01761.28] 叫位有月约装少宝
[01761.28-01763.00] 在这里月约约约约只能是谁
[01763.00-01763.72] 你要知道
[01763.72-01765.92] 月约不是月约装和约约
[01765.92-01768.04] 而是月飞和约装
[01768.04-01770.28] 好吧 不要听向尔听错龙的了
[01770.28-01772.52] 所以在这里这是我们所说的就是
[01773.32-01777.16] 同保之边这个点同学们要给它補充起来
[01777.16-01780.96] 打开補充起来 协在你的数本任何有地方都可以
[01780.96-01783.24] 这是我们所说的这个同保之边
[01783.44-01784.56] 这是在这
[01784.56-01788.48] 那同保之边之后把辣其实是被鱼牵打败了 对吧
[01788.48-01791.00] 把辣打败之后就我们说了蒙古族
[01791.00-01793.64] 是吧还有另外一个部落
[01793.64-01795.48] 另外一个部落的就是打打
[01795.48-01796.88] 大家一看我的天呢
[01796.88-01799.28] 那玩着玩蠟蠟被拿下了
[01799.28-01800.64] 那打打当时就说了
[01800.64-01802.92] 那我们和明朝修好了
[01802.92-01805.12] 这是重新握手言和当朋友吧
[01805.12-01807.36] 于是就开始了又和蒙古族的
[01807.36-01808.80] 这样那个和平公处
[01808.80-01810.12] 那这是我们所说的
[01810.12-01811.72] 这个土木宝质面
[01811.72-01813.92] 所以同宝质面身上三个点
[01813.92-01815.48] 哪个人的时期
[01815.48-01816.72] 他的意义是什么
[01816.72-01818.68] 在这个同宝质面当中
[01818.68-01820.48] 出现了一个非常照的人物
[01820.48-01821.48] 叫做于千
[01821.48-01824.24] 在这里和于千有关的一个文学上的考点
[01824.24-01826.04] 咱們也給它托展出去了
[01826.04-01827.82] 這個就是通報這邊
[01827.82-01829.56] 在同寶這邊之後
[01829.56-01832.60] 這個聖大名朝就開始集轉之下
[01832.60-01833.72] 而到後面的時候
[01833.72-01837.44] 名朝中後期出現了很多有名的昆君
[01837.44-01839.20] 其實這些昆君
[01839.20-01840.88] 歷史們對他們的評價
[01840.88-01842.32] 其實是包片不一的
[01842.32-01844.96] 比如說在民武宗政得皇帝期間
[01844.96-01847.20] 就人說政得皇帝不是一個好皇帝
[01847.20-01850.48] 但有人說政得皇帝是一個生命傻脫之人
[01850.48-01851.96] 反正就是包片不一
[01851.96-01853.44] 但是无论怎么看呢
[01853.44-01856.44] 其实从我们所说的这个同宝之边之后
[01856.44-01859.16] 它的这个圣识其实就没有之前的
[01859.16-01862.68] 我们所说的那几个皇帝之里的那么的好了
[01862.68-01865.28] 这是我们所说的关于同宝之列
[01865.28-01867.64] 那同宝之边下一件事
[01867.64-01869.76] 需要同学们去掌握的是啥呢
[01869.76-01870.56] 咱们来看一下
[01870.56-01872.68] 其实还有一个非常赵的事情
[01872.68-01875.80] 这是在明朝叫做七一光抗握
[01875.80-01876.84] 其中一抗握
[01876.84-01877.60] 七一光呢
[01877.60-01878.36] 大家注意一下
[01878.36-01880.40] 七一光是在哪个皇帝七间呢
[01880.40-01883.40] 大家注意 期待光是在所说的
[01883.40-01887.40] 是在加进黄的期间 同们来看一下
[01890.40-01892.40] 来 这儿 我也同们标注一下
[01892.40-01896.40] 在这里 加进黄地 明视宗叫做豬厚虫
[01896.40-01900.40] 所以 期望靠摸是发生在它这个期间
[01900.40-01903.40] 而在这个豬厚期间 它其实身上有两个事情
[01903.40-01905.40] 第一个 它是加进黄地
[01905.40-01908.40] 他就在黄地相对来说也是比较齐面的黄地
[01908.40-01913.40] 所以在他这个时候出现了短暂的我们所说的明朝
[01913.40-01916.40] 他的国力的恢复叫做加进中心
[01916.40-01917.40] 加进中心
[01917.40-01919.40] 第二也是在加进黄地身上
[01919.40-01922.40] 就是我们刚才所说的气体光抗娥
[01922.40-01924.40] 叫做气体光抗娥
[01924.40-01926.40] 说起气体光这个人大家要知道
[01926.40-01929.40] 气光这个人也是非常了不得的一个人
[01929.40-01931.40] 英雄少年
[01931.40-01944.20] 他的父亲,会还是他的爷爷,就是他们家里面,也是世家的大官了,也是我们所说的这种类似于啊,正守边房的这么一个家族,就世家大族
[01944.20-01949.00] 所以那个气光啊,也小的时候也是牛人一顿啊,也是牛人一顿啊,也是牛人一顿
[01949.00-01951.68] 綜合下降以後其實發生了這樣的一件事
[01951.68-01953.12] 就是為什麼有期望抗問呢
[01953.12-01954.84] 就是綜合下降之後
[01954.84-01957.84] 朝廷規定就是商人不能下海了
[01957.84-01960.32] 就你不下海別人也不能來
[01960.32-01962.16] 所以那個時候就把大門關掉了
[01962.16-01963.84] 為什麼別人不能來呢
[01963.84-01965.72] 當時誰來侵繞我們國家呢
[01965.72-01967.04] 其實就是當時的日本人
[01967.04-01968.92] 我們把它稱為叫做烏扣
[01968.92-01972.68] 而明朝中期朝廷就以為是烏幻其實是不
[01972.68-01974.80] 所以就把這個海
[01974.80-01976.60] 就是這個通行就給關了
[01976.60-01978.20] 那這個海的時候通行一關了的話
[01978.20-01979.60] 其实出现很多的问题
[01979.60-01981.76] 大家想一下眼海的这些老百姓
[01981.76-01985.16] 他们生活其实就遇到了很大的这样的一个困难
[01985.16-01986.96] 所以在这种情况之下
[01986.96-01990.68] 出现了有珍国扣和假国扣一起
[01990.68-01992.92] 来亲着老百姓生活的这样一个情况
[01992.92-01995.88] 于是气光在这种情况之下就出去抗过了
[01995.88-02000.24] 气光的组上其实是对民潮建立有很大的攻击的
[02000.24-02001.96] 所以它组上都是啥的
[02001.96-02003.36] 就让我给大家说的
[02003.36-02007.64] 它敌也也是山东省严台市的城纵司令
[02007.64-02010.92] 所以他17岁就带任了植物
[02010.92-02014.40] 他经常站在那个城墙上跳往大海
[02014.40-02017.88] 又说这个人格局大心仇蓬派
[02017.88-02019.60] 经常会说这样的一会
[02019.60-02021.40] 叫做云互牙劲
[02021.40-02023.36] 叫新衡保健衡
[02023.36-02025.00] 这句话通常要注意一下
[02025.68-02027.92] 叫做风侯飞我意
[02027.92-02029.64] 但愿还不平
[02029.64-02030.76] 同学们想一想
[02030.76-02032.88] 当时7光之五17岁
[02032.88-02035.08] 站在我们所说的这个城楼上
[02035.08-02036.36] 能说出这样的话
[02036.36-02039.24] 王后降向啊入朝围观
[02039.24-02041.68] 扣天子们都不是我的意愿
[02041.68-02042.68] 我的意愿是什么
[02042.68-02043.92] 四海生品
[02043.92-02045.00] 百姓安局乐愿
[02045.00-02046.16] 这种格局啊
[02046.16-02047.56] 不是什么人都有的
[02047.56-02049.32] 所以这是七光这个人
[02049.32-02051.08] 七光十七岁就说这样的话
[02051.08-02053.88] 十八岁的时候还没有过成人理
[02053.88-02055.08] 然后就开始
[02055.08-02055.64] 干嘛呢
[02055.64-02057.68] 就复这家那边去抗握了
[02057.68-02059.20] 当时他想得非常好的
[02059.20-02060.52] 因为我七光的这个代理
[02060.52-02062.48] 能必须把握扣打得满力找呀
[02062.48-02063.36] 暴头储串
[02063.36-02063.64] 对吧
[02063.64-02064.12] 接我呢
[02064.12-02065.80] 第一仗就给七光上了一颗
[02065.80-02069.76] 当时在这家这个地区是三千名军对抗800磊口
[02069.76-02073.76] 也是大名朝的政为军三千人对小日本800人
[02073.76-02075.32] 结果这个磊口一出来
[02075.32-02077.32] 当时名军三千人一磊口而算
[02077.32-02078.84] 我先当期光都蒙了
[02078.84-02080.16] 一个光耳死定的战争
[02080.16-02081.80] 说大家都跑了
[02081.80-02083.48] 这很奇怪
[02083.48-02086.64] 当时三千人非常企业
[02086.64-02087.80] 就让磊口说好了
[02087.80-02089.16] 说创开都闪了
[02089.16-02090.48] 期光一个人六点的人
[02090.48-02092.32] 其实光倒是一看这样不行
[02092.32-02094.40] 然后赶紧爬上了一块大石头
[02094.40-02095.76] 连发三件
[02095.76-02101.38] 四重了三名,我扣一行天,这个人不好惹,然后就开始下走下跑了。
[02101.38-02105.50] 那当时期光回来一了解,说被啥会这样,说一打仗这人咋都跑了。
[02105.50-02110.66] 然后他后来了解才知道,就明朝的军队,就没有任何的战斗力,原因是什么呢?
[02110.66-02113.82] 因为这些军队里面主要的人都是农民。
[02113.82-02119.70] 所以呢,农民主要值得是重地而并不是打仗,所以在这里,这个军队是不能用的。
[02119.70-02123.04] 如果军队不可用,害防,走不能平。
[02123.04-02125.40] 所以当西光说这些人不能用咋办
[02125.40-02127.56] 自己招兵 然后自己去面
[02127.56-02130.96] 所以招募完了之后组成了七家军来对好握口
[02130.96-02134.56] 当时握口一来大家都知道握口当时上握
[02134.56-02137.16] 也是有一点我们所说的武士精神在身上了
[02137.16-02141.76] 而且用的是那种金钢的那种刀 精神在电视里看到
[02141.76-02143.92] 小日本用的那种武士刀 对吧
[02143.92-02147.16] 这种金钢的这个刀和我们这种铁气制成的一个刀
[02147.16-02150.04] 很明显 那我们这种刀是不如它的
[02150.04-02152.16] 所以他们以来之后的气暖军怎么办呢
[02152.16-02154.32] 当时就搞了一个12人小分队
[02154.32-02159.04] 这12人小分队就开始去搞这种团队的作战机会
[02159.04-02161.48] 他们的这个钢刀不是封密嘛
[02161.48-02162.64] 但是没有关系
[02162.64-02164.32] 我们可以以常舅断
[02164.32-02166.96] 所以当时这12人小分队当中就搞了一个
[02166.96-02168.88] 我们所说的那种大的那种主干子
[02168.88-02172.16] 把那个主干子前面都给它整成像家里
[02172.16-02174.48] 农村刷锅的那个东西
[02174.48-02176.68] 就是前面有很多的一个人的那种东西
[02176.68-02180.64] 把原本的主桶就搞成这个样的
[02180.64-02182.08] 比如说这是主桶
[02182.08-02184.44] 把主桶前面就销的就这样
[02184.44-02185.44] 类似于这种
[02185.44-02187.44] 然后在这种间间上战上什么呢
[02187.44-02188.20] 这种毒药
[02188.20-02189.16] 这种东西叫什么呢
[02189.16-02190.36] 叫做狼胁
[02191.48-02192.48] 那叫做狼胁
[02192.48-02194.56] 把这个东西拿出去
[02194.56-02195.44] 前面第一个
[02195.44-02197.52] 12人小分内当中投政那个人
[02197.52-02200.64] 要求就是非常快的特别大
[02200.64-02202.60] 然后能够把这个干字露进去来
[02202.60-02203.44] 露进来之后
[02203.44-02204.96] 只要是挂到小日本
[02204.96-02206.16] 挂破一点点便宜
[02206.16-02208.12] 这时候它就有深头的样子
[02208.12-02208.52] 对吧
[02208.52-02210.36] 那哪怕我们说大主干
[02210.36-02210.72] 对吧
[02210.72-02212.72] 小日本那个刀很快给他批了
[02212.72-02214.20] 但是你批了你没有用
[02214.20-02214.52] 对吧
[02214.52-02215.68] 我们这干子这么长
[02215.68-02217.12] 是你刀了四倍长
[02217.12-02217.92] 你能批刀闪呀
[02217.92-02218.72] 批一个活口
[02218.72-02220.20] 我扎到你不赚了没命吗
[02220.20-02221.72] 所以前面拿扎大主干
[02221.72-02223.52] 后面就拿了什么长腔
[02223.52-02224.36] 短刀
[02224.36-02225.48] 这种情况下
[02225.48-02228.16] 就是靠过非常厉害的人
[02228.16-02229.20] 这就是我们所说的
[02229.20-02230.32] 期望靠过
[02230.32-02231.52] 所以期望靠过
[02231.52-02233.16] 大家注意一下两个系列点
[02233.16-02234.96] 第一个就是发生在谁时期
[02234.96-02237.76] 這是發生在我們所說的加進皇帝時期
[02237.76-02240.26] 而的加進皇帝時期出現了加進中心
[02240.26-02242.26] 這個點是同學們需要注意的
[02242.26-02246.16] 這是他所關於我們所說的明朝的第四個生事
[02246.16-02248.46] 大家注意一下還是第三個生事
[02248.46-02251.06] 第二個就是他說過一句話
[02251.06-02252.76] 腳封後飛我翼
[02252.76-02253.96] 但越海脖平
[02253.96-02255.26] 然後這句話一出來
[02255.26-02257.26] 問是誰說的
[02257.56-02259.46] 你要知道是氣光說的
[02259.46-02260.56] 是氣光說的
[02260.56-02262.86] 這個就是我們所說的氣光
[02262.86-02264.56] 靠光 情況康握
[02264.56-02268.90] 好,这个咱们就说到这,同文版他,记下来,把它记下来
[02269.90-02272.02] 好,这是气光靠播
[02272.02-02274.18] 这是到家庭房的这个期间
[02274.18-02277.92] 而到家庭房之后,我们都知道,其实后面的房地我们看一下
[02277.92-02281.70] 在家庭房地之后,在这里没有出现了一个叫做
[02281.70-02285.82] 住在急,住在急是明目族,目族是个好房地
[02285.82-02289.38] 但是命短,在未没端时间就没了
[02289.38-02290.92] 目中解完了之后
[02290.92-02292.44] 后面就是明神宗
[02292.44-02294.94] 神宗就是万历皇帝
[02294.94-02297.18] 万历皇帝我们都知道万历当时
[02297.18-02299.10] 会有一个非常有名的手腹
[02299.10-02300.62] 这万历手腹张军热
[02300.62-02301.22] 对吧
[02301.22-02302.46] 但这个万历皇帝
[02303.26-02305.42] 他做一个手程皇帝
[02305.42-02307.58] 他这个人特别喜欢钱
[02307.58-02309.10] 这特别爱财
[02309.10-02310.86] 他爱财爱到什么程度
[02310.86-02311.94] 他都爱财爱到
[02311.94-02313.82] 他在后宫里面挖地就
[02313.82-02314.78] 里面存上很多钱
[02314.78-02316.26] 每天去盘点这个钱
[02316.26-02317.74] 后来名目的时候
[02317.74-02319.10] 因为农民起意
[02319.10-02321.40] 在加上我们所说的有清朝的亲扰
[02322.18-02323.70] 打仗国家没有那么多钱
[02323.96-02329.34] 没有那么多钱之后大家就跟说说皇帝你要不把你那个私房钱拿出来给那个国家用用
[02329.60-02331.90] 然后皇帝开内脸 皇帝说那平常呀
[02332.16-02333.18] 说你们打仗
[02333.44-02334.46] 你们还有我的钱
[02334.72-02338.82] 那只啥呀 你没有钱想办法呗 对吧 你们去找那老百姓去遥得了
