[00000.00-00006.00] 好的,我们接着上次客的内容来往下看,咱们再上一期看到中,其实给大家讲完了。
[01209.78-01211.58] 毛顿的转换
[01211.58-01213.26] 所以在毛顿的统一性
[01213.26-01215.02] 或者我们刚才换一句话说
[01215.02-01216.10] 就是毛顿的统一性
[01216.10-01217.14] 就是毛顿的什么
[01217.14-01218.78] 这代表的是毛顿的
[01219.06-01221.22] 统一关系
[01221.22-01223.14] 那什么叫做统一关系
[01223.14-01224.50] 什么叫做统一性
[01224.50-01226.06] 就表现在两方面
[01226.06-01227.94] 一个是相互一存
[01227.94-01229.42] 一个是相互冠统
[01229.42-01232.50] 相互冠冲当中最维重要的是相互转换
[01232.50-01234.34] 同学们需要做到的是什么呢
[01234.34-01236.54] 是需要做到的理解
[01236.54-01238.62] 它这里面的相互于从和相互转换
[01238.62-01240.34] 它如何去出体
[01240.34-01242.98] 一旦出体的话出现类似于什么样的表述
[01242.98-01244.14] 我们应该选择
[01244.14-01246.58] 一定要把这两个点去给它捏清楚
[01246.58-01248.22] 这个就叫做我们所说的
[01248.22-01250.14] 矛盾的同一关系
[01250.14-01252.58] 我们用同一性来解释
[01252.58-01255.98] 但是我们说了矛盾就做对立同一关系
[01255.98-01257.50] 对吧 除留同一关系之外
[01257.50-01258.82] 它有一种关系就做
[01258.82-01259.84] 对立关系
[01259.84-01262.92] 对立关系是哪一个属性来说明的呢
[01262.92-01265.62] 对立关系交用矛盾的度征性
[01265.62-01268.80] 那么来看一下矛盾的度征性指的是什么
[01268.80-01272.74] 它说矛盾的度征性指的是矛盾的对立面
[01272.74-01276.14] 相互排斥相互分离的
[01276.86-01278.06] 清晰和区使
[01278.06-01280.66] 这个就叫做矛盾的度征性
[01280.66-01282.02] 所以矛盾的度征性
[01282.02-01283.40] 它的关系是在什么呢
[01283.40-01285.10] 在于排斥
[01285.10-01286.72] 在于分离
[01286.72-01288.44] 他们两个一般呈现的状态
[01288.44-01291.80] 往往是慘呢 往往是此消鼻掌的状态
[01294.36-01296.84] 往往是此消鼻掌的状态
[01296.84-01300.32] 換句话说呢 就是只要是咱俩有不一样的地方
[01300.32-01301.96] 就一定会有什么存在
[01301.96-01304.76] 就一定会有排斥和分离存在
[01304.76-01308.60] 那这个呢 就是我们常说的叫做此消鼻掌
[01308.60-01309.96] 叫做此消鼻掌
[01309.96-01312.04] 那这个代表的就是我们所说的
[01312.04-01313.08] 斗争性
[01313.08-01314.76] 代表就是我们所说斗争性
[01314.76-01316.68] 那你比如说举个简单例子来说
[01316.68-01320.16] 我們經常會提到一首詞一首詞
[01320.16-01323.32] 就是草職的欺負是主動人鬥奇
[01323.32-01324.60] 都在腐中氣
[01324.60-01328.00] 大家應該聽過一個叫做本事同根聲
[01328.00-01329.80] 相間和太緊
[01329.80-01333.64] 你看在這首詞裡面其實就很好地體現了什麼
[01333.64-01334.76] 鬥爭性
[01334.76-01336.84] 叫主動人鬥奇
[01336.84-01338.60] 都在腐中氣
[01338.60-01341.32] 本事同根聲相間和太緊
[01341.32-01343.28] 那裡面的鬥子和鬥奇
[01343.28-01344.60] 有著咱們所說的鬥感
[01344.60-01346.08] 本來是一朵植物
[01346.08-01347.84] 是一个东西的
[01347.84-01349.36] 就是长在一主旨上
[01349.36-01351.96] 但是现在你用洞旨主洨子
[01351.96-01353.88] 体现出来的就是什么
[01353.88-01356.36] 体现出来的就是主洨人都起
[01356.36-01359.00] 你想要洞子多手一分
[01359.00-01361.24] 你这种烧的洞感是不是就在多一些
[01361.24-01362.92] 这种洞感越少越少
[01362.92-01364.44] 洞子才能越来越少
[01364.44-01365.92] 是不是洞子越少
[01365.92-01367.08] 上升的开始
[01367.08-01367.92] 洞感的减少
[01367.92-01369.08] 下降的开始
[01369.08-01373.00] 所以出现了这种分离洞真的此销率长的状态
[01373.00-01374.60] 这个最终的什么性能
[01374.60-01376.84] 这个就叫做豆争性
[01376.84-01378.00] 所以你说老师呢
[01378.00-01379.80] 豆争性到底怎么去理解呢
[01379.80-01380.92] 大家就知道
[01380.92-01382.80] 矛盾他一定是几方
[01382.80-01386.44] 矛盾一定是双方才可以存在矛盾
[01386.44-01386.96] 对吧
[01386.96-01388.92] 对于矛盾双方来说
[01388.92-01391.60] 他们两个只要存在不同
[01391.60-01393.80] 那他们就一定存在什么性
[01393.80-01395.84] 就一定存在豆争性
[01395.84-01398.24] 因为豆争代表的是排斥和分理
[01398.24-01401.72] 代表的是两个事物之间的状态是此消比挫
[01401.72-01403.40] 如果咱俩是一模一样的
[01403.40-01405.48] 你觉得咋咋咋之间会出现分析吗
[01405.48-01409.00] 你觉得咋咋之间一模一样会出现此销比赋状状态吗
[01409.00-01409.56] 不是的
[01409.56-01411.16] 那那时候就是完全一只了
[01411.16-01412.76] 就不会呈现豆整形了
[01412.76-01414.28] 所以豆整形大家知道
[01414.28-01415.56] 你在体验中看到
[01415.56-01417.60] 这三个磁当中的认识一个
[01417.60-01419.60] 或者是我们所说的出现了什么呢
[01419.60-01421.60] 出现了某种竞争关系
[01423.24-01424.48] 出现这些此
[01424.48-01426.60] 它其实都是意味着矛盾的什么
[01426.60-01428.24] 矛盾的豆整形
[01428.24-01430.32] 意味着都是对力
[01430.32-01431.60] 意味着都是对力
[01431.60-01435.32] 这个就是毛顿的基本属性
[01435.32-01436.72] 在毛顿基本属性当中
[01436.72-01439.60] 大家注意一下同一性考的是最多的
[01439.60-01441.04] 同一性考驶最多的
[01441.04-01443.24] 这个就是我们所提到的
[01443.24-01446.08] 用基本属性解决了什么叫做
[01446.08-01447.72] 对立同一关系
[01447.72-01450.40] 从而去了解了什么是哲学上的
[01450.40-01451.44] 毛顿
[01451.44-01453.04] 知道了我们所说的
[01453.04-01454.60] 毛顿到底是什么之后
[01454.60-01455.76] 我们就来看一下
[01455.76-01457.00] 我们刚才所强调的
[01457.00-01458.64] 这两个基本属性之间
[01458.64-01459.76] 有什么关系
[01459.76-01461.80] 我们来看一下第三个问题
[01461.80-01463.32] 叫做矛盾的普遍性
[01463.32-01465.52] 与特殊性的变政关系
[01465.52-01466.64] 这个变政关系
[01466.64-01467.84] 它一般情况之下
[01467.84-01469.72] 独立初提的题目
[01469.72-01471.00] 不是特别多
[01471.00-01472.00] 它矛往在这边
[01472.00-01473.28] 会考察到一句话
[01473.28-01474.48] 考的特别多
[01474.48-01475.28] 咱们来看一下
[01475.28-01477.00] 他们之间的关系是什么样子
[01477.00-01478.88] 它说矛盾的同意性
[01478.88-01481.24] 不能脱离斗争性而存在
[01481.24-01482.04] 矛盾同意性
[01482.04-01483.20] 只得是啥来同意吗
[01483.20-01484.84] 只得是矛盾双方
[01486.48-01487.56] 相互
[01487.56-01488.88] 一存
[01488.88-01492.74] 還有我們所說的相互觀通對吧
[01492.74-01496.26] 他一定是要求矛盾雙方相互一存相關通
[01496.26-01499.76] 所以他說矛盾雙方相互一存相互觀通的這種關係
[01499.76-01502.12] 是不能脫離鬥爭相信而存在的
[01502.12-01505.88] 換句話說那是沒有鬥爭性就沒有統一性
[01505.88-01508.36] 咱們剛才說了鬥爭性代表的是什麼
[01508.36-01512.22] 代表的是雙方的競爭,什麼情況之下會有競爭啊同學嗎
[01512.22-01515.52] 當只有藝方的時候都是出現競爭
[01515.52-01518.16] 只有藝方的時候是不會出現競爭啊
[01518.16-01521.52] 想要有鬥爭性想要產生競爭
[01521.52-01522.52] 一定是幾方
[01522.52-01524.08] 一定是雙方
[01524.08-01525.52] 而有矛盾雙方
[01525.52-01527.60] 就一定會有雙方
[01527.60-01529.00] 一存的情況
[01529.00-01530.04] 所以他說了
[01530.04-01533.24] 就沒有鬥爭性就沒有同意性
[01533.24-01535.28] 就沒有鬥爭性就沒有同意性
[01535.28-01536.24] 第二句話
[01536.24-01537.80] 他說矛盾的鬥爭性
[01537.80-01539.28] 也不能脫離同意性是存在
[01539.28-01540.92] 這句話特別常靠
[01540.92-01541.68] 把這句話呢
[01541.68-01542.72] 不要一個一心
[01542.72-01544.08] 他說鬥爭性
[01544.08-01546.32] 預與同意性
[01546.32-01551.32] 之中也就说想要双方相互分离
[01552.32-01554.72] 想要双方相互斗争
[01554.72-01560.02] 这里的分离和斗争一定是在同一关系当中的分离和斗争
[01560.02-01562.42] 老实这是啥玩人肉来着去的
[01562.42-01564.42] 为大家举一个简单的例子
[01564.42-01566.42] 比如说我们说一个带
[01567.12-01570.02] 他就好比一个带里面的蛋清和蛋黄
[01572.52-01573.92] 蛋清和蛋黄
[01573.92-01574.92] 咱们来看一下
[01574.92-01579.52] 那你看矛盾的同一性 指的是矛盾双方相互一纯
[01579.52-01584.52] 对吧 淡清和淡黄相互一纯共同购成了一个完整的啥
[01584.52-01587.62] 一个完整的鸡蛋 对吧 那这个就要做同一性
[01587.62-01590.82] 那在这里面 大致一下 豆增性指的是什么呢
[01590.82-01593.72] 豆增性指的就是 当淡清越多的时候
[01593.72-01598.12] 它的淡黄一定是越少的 这是否代表的是分离的趋势
[01598.12-01602.42] 但是这里面它有一个前提在 同能力有没有发现什么前提
[01602.42-01605.90] 当我说淡清月多淡黄月少的时候
[01605.90-01608.22] 他的前提一定是在几个淡月里面
[01608.22-01610.66] 一定是在一个几淡当中
[01611.70-01613.98] 前提一定是一个几淡当中
[01613.98-01617.54] 我能不能说几淡清月多
[01617.90-01619.90] 压淡黄月少呢
[01620.14-01621.78] 你说老神这傻人都不搭呀
[01621.78-01622.02] 对吧
[01622.02-01623.74] 几淡清月多压淡黄月少
[01623.74-01625.42] 只能搭不上那就对了
[01625.42-01627.58] 你看这里面的斗争和分裂
[01627.58-01630.98] 一定是在一个矛盾统一体当中才可以
[01630.98-01632.38] 所以在这里面他说了
[01632.38-01634.18] 斗争性预于什么形式状
[01634.38-01637.58] 斗争性预约同一性之中
[01637.78-01639.78] 这句话在考试的时候经常怎么办呢
[01639.78-01640.98] 经常给你反过来
[01640.98-01643.58] 叫做同一性预约斗争性之中
[01643.58-01644.58] 那这样就错了
[01644.78-01646.98] 所以在他们之间的关系当中你就知道
[01646.98-01648.98] 同一性预约斗争性能不能分开
[01648.98-01649.78] 分不开
[01649.78-01652.58] 因为他代表了就是矛盾的对立同一
[01652.78-01653.98] 一个事物要是矛盾的
[01653.98-01656.58] 他记忆要有对立要有同一
[01656.58-01658.78] 所以斗争性同一性分不开
[01658.78-01661.78] 那他俩分不开当中是谁存在于谁之中呢
[01661.78-01665.78] 大家知道是豆争性预约同一性之中
[01665.78-01668.58] 这个点大家一定要给他记住
[01668.58-01671.78] 因为他总是喜欢反未来考虑
[01671.78-01675.98] 那姐姐玩矛盾的豆争性和同一性其实就是解决了
[01675.98-01677.98] 哲学上的矛盾到底是什么
[01677.98-01680.38] 那了解了矛盾就是对立同一关系之后
[01680.38-01683.38] 我们来看一下矛盾还有什么其他的特性
[01683.38-01684.78] 我们来看一下第二个点
[01684.78-01687.78] 就从矛盾的普遍性和特殊性
[01687.78-01689.78] 毛燉的普遍性 只能啥呢
[01689.78-01690.86] 在这里他说了
[01690.86-01691.78] 在这里有土外
[01691.78-01693.22] 他说毛燉的普遍性
[01693.22-01694.42] 只能是毛燉
[01694.42-01696.86] 无处不在无时不有
[01696.86-01698.02] 也就是我们所说的
[01698.02-01698.98] 实事有毛燉
[01698.98-01700.02] 实事有毛燉
[01700.02-01701.66] 所以拿出来任何一个事
[01701.66-01702.62] 我你都能发现
[01702.62-01704.34] 他身上记录对立的一面
[01704.34-01705.62] 又有统一的一面
[01705.62-01707.94] 这个就叫做毛燉的普遍性
[01707.94-01710.46] 比如说我们说一张作子
[01710.46-01711.78] 这张作子身上
[01711.78-01713.30] 它有没有对立统一呢
[01713.30-01715.58] 我们假设就把这个作子一好合会
[01715.58-01716.42] 来看的话
[01716.42-01717.74] 你看这张作子
[01717.74-01718.96] 它有没有好的一面
[01718.96-01720.56] 你生活当中常见的桌子
[01720.56-01721.08] 有啊
[01721.08-01721.58] 桌一板
[01721.58-01723.76] 当这些东西是否可以用来树写
[01723.76-01725.10] 那这它好的一面
[01725.10-01727.22] 那你看这些东西有没有坏的一面
[01727.22-01728.18] 当然有坏的一面
[01728.18-01730.28] 比如放在那上站空间
[01730.28-01731.56] 比如手机
[01731.56-01733.82] 手机它是不是一个矛盾同一体呢
[01733.82-01735.62] 手机也是矛盾同一体
[01735.62-01736.86] 那手机的矛盾同一体
[01736.86-01737.46] 在哪呢
[01737.46-01738.62] 它身上有没有好的一面
[01738.62-01739.74] 没有坏的一面呢
[01739.74-01740.36] 当然有
[01740.36-01740.84] 对吧
[01740.84-01742.56] 那看手机好的一面就在于
[01742.56-01744.10] 它代表科技的进步
[01744.10-01745.70] 它变立了我们的生活
[01745.70-01746.90] 现在出门没有手机
[01746.90-01748.14] 可是寸不难行吧
[01748.14-01749.72] 但是手机有没有坏的一面
[01749.72-01750.66] 太明显了
[01750.66-01750.94] 对吧
[01750.94-01752.66] 最起码我们都知道手机
[01752.66-01754.78] 它其实战了我们大量的时间
[01754.78-01756.82] 比如说我现在有把手机里面的
[01756.82-01757.44] 抖音
[01757.44-01758.18] 短视频能软件
[01758.18-01759.18] 我全都洩载了
[01759.18-01761.14] 我为啥现在原因很简单
[01761.14-01762.46] 因为我成练尝试过
[01762.46-01763.86] 无说刷个短视频
[01763.86-01764.54] 放松一下
[01764.54-01765.54] 结果一刷短视频
[01765.54-01766.18] 我天了
[01766.18-01768.14] 两三个小时不知不觉就过去了
[01768.14-01769.22] 所以我们会发现
[01769.22-01771.26] 它其实几张了我们大量的时间
[01771.26-01774.30] 你说我把手机里面短视频软件
[01774.30-01775.50] 全都洩载掉了之后
[01775.50-01776.86] 我痛不痛苦
[01776.86-01778.50] 痛苦我太痛苦了
[01778.50-01778.78] 对吧
[01778.78-01780.82] 因为我存在借断反应
[01780.82-01781.94] 我现在睡觉的时候
[01781.94-01783.34] 我都把手机放在楼下
[01783.34-01785.30] 然后我人上到楼上去
[01785.30-01786.14] 然后躺在那儿
[01786.14-01787.22] 像一个形式走肉一样
[01787.22-01788.50] 就是分分钟
[01788.50-01789.94] 像下轮拿手机再刷一下
[01789.94-01791.90] 那你看这是手机对于我来说
[01791.90-01793.98] 他对我产生那些负面的影响
[01793.98-01796.58] 所以就从手机这一个事务来看
[01796.58-01799.22] 他身上有好的一面也有灰了一面
[01799.22-01800.46] 但正是有好有灰
[01800.46-01802.14] 他恰恰过程的手机
[01802.14-01803.70] 完整的这样的一个事务
[01803.70-01804.10] 对吧
[01804.10-01806.70] 那你看这是手机身上的矛盾
[01806.70-01808.06] 那除了手機有矛盾
[01808.06-01809.54] 人又沒有矛盾
[01809.54-01812.06] 人其實也是有矛盾的
[01812.06-01812.50] 對吧
[01812.50-01813.90] 你看大家有沒有還記住你的
[01813.90-01815.34] 唐人街他案的那個電影
[01815.34-01817.54] 應該是唐人街他案當中的第二步
[01817.54-01820.22] 那個醫生他為了讓自己得來症
[01820.22-01821.50] 他跟他讓自己活下去
[01821.50-01824.62] 然後他就開始用按照五行來殺人
[01824.62-01826.58] 然後取不同的人的這個氣觀
[01826.58-01828.38] 然後練單讓自己什麼
[01828.38-01829.94] 從神、雍生
[01829.94-01831.34] 然後再去做更多的人
[01831.34-01833.94] 然後在這個唐人街他二當中
[01833.94-01835.86] 最後把這個電影完結了
[01835.86-01836.90] 不是按字破了吗
[01836.90-01838.86] 当时那个刘花人眼的那个角色
[01838.86-01840.98] 秦峰是说了一句话
[01840.98-01842.02] 说得去什么话
[01842.02-01844.18] 他说一阴阳位置道
[01844.18-01844.50] 对吧
[01844.50-01846.38] 所以所谓的道就是阴阳调和
[01846.38-01847.78] 他说人身上都有
[01847.78-01850.58] 受性的一面又有神性的一面
[01850.58-01852.34] 那受性的一面就代表
[01852.34-01853.82] 这个人身上的恶
[01853.82-01854.34] 对吧
[01854.34-01856.74] 他代表的人性当中的一些
[01856.74-01858.86] 最原始最充弄的一些遇往
[01858.86-01860.30] 这是人受性的表现
[01860.30-01862.10] 但人身上又有神性的一面
[01862.10-01864.26] 就是因为人是像山的
[01864.26-01866.58] 他总有一行为人的光灰在
[01866.58-01869.06] 所以在这里面你会发现对一个人来说
[01869.06-01870.50] 他身上有受性
[01870.50-01871.78] 也有神性
[01871.78-01873.70] 当受性大于神性的时候
[01873.70-01875.10] 他就不能称着为人
[01875.10-01878.02] 当神性大于受性的时候也不能称着为人
[01878.02-01879.74] 只有二者达到平衡的时候
[01879.74-01880.66] 才未知人
[01880.66-01880.98] 对吧
[01880.98-01882.10] 所以在这里面
[01882.10-01883.74] 我们就发现对于人来说
[01883.74-01885.18] 他身上有两方面
[01885.18-01885.98] 一方面
[01885.98-01886.26] 好
[01886.26-01887.02] 一方面
[01887.02-01887.46] 快
[01887.46-01890.30] 那你还有我们所举的生活当中的所有的例子
[01890.30-01893.02] 如果我们只能简单地好快来平坍他的话
[01893.02-01895.70] 因为好坏就代表的矛盾对立统一嘛
[01895.70-01898.42] 如果紧紧是用好坏来评判一个事务的话
[01898.42-01903.38] 您发现万事万物身上都有矛盾值的双方
[01903.38-01907.38] 那你就意味着矛盾它是普遍存在的
[01907.38-01909.98] 所以在这里这个就叫做矛盾的什么性
[01909.98-01912.34] 这个就叫做矛盾的普遍性
[01912.34-01915.22] 那说老师普遍性做提的说怎么做呢
[01915.22-01918.78] 我一定要在这里给同学纠正一个做提的思维
[01919.06-01921.66] 我们一般在考察矛盾普遍性的时候
[01921.66-01923.36] 同学本能的反应就是
[01923.36-01926.26] 到体肝的中去找矛盾的双方是什么
[01926.26-01928.32] 比如说我们以前作为到底
[01928.32-01932.26] 叫做人有悲环离和月有陰情怨缺
[01932.26-01935.26] 问体现了矛盾的哪一个属性
[01935.26-01937.36] 那这里是普遍现在特殊性
[01937.36-01938.56] 同学一分析说
[01938.56-01941.18] 那只人身下的矛盾
[01941.18-01943.86] 悲环和离和月身上的矛盾
[01943.86-01945.26] 陰情和怨缺
[01945.26-01947.76] 这个东西人有月了有一拍板
[01947.76-01949.26] 那必须遇的对吧
[01949.26-01950.26] 必须是什么性
[01950.26-01951.46] 必须是普遍性
[01951.46-01955.04] 因为这里面他给到了你非常具体的事物
[01955.04-01956.72] 而且你能够判断出来
[01956.72-01958.64] 他这个事物存在的特性
[01958.64-01960.90] 所以你一下子跳定了他是普遍性
[01960.90-01961.96] 但是同学们
[01961.96-01964.12] 这样的题目考察得太简单了
[01964.12-01966.00] 你一眼就能够看得出来的
[01966.00-01967.22] 他考察是普遍性
[01967.22-01969.56] 但是现在很多的题目不会给你
[01969.56-01971.12] 这么惗戏的内容
[01971.12-01972.66] 说既给你人又给你越
[01972.66-01973.86] 既给你A15
[01973.86-01974.66] 又给你B15
[01974.66-01975.56] 又给你C15
[01975.56-01978.04] 让你去对比去寻找矛盾这个双方
[01978.04-01979.46] 然后往概念上去扣
[01979.46-01981.18] 这样出去就太简单了
[01981.18-01983.80] 所以現在出奇的時候,同學們要知道
[01983.80-01985.16] 某段的普遍性
[01985.16-01987.60] 他想考察的不是某段自身
[01987.60-01988.92] 不是讓你在提案到中
[01988.92-01990.90] 找對立這個雙方是什麼
[01990.90-01993.90] 他想考察的普遍性,想說明的問題是什麼呢?
[01993.90-01995.96] 普遍性其實在強調
[01995.96-01997.96] 對於這個世界的萬物
[01997.96-01999.60] 任何事物都有什麼象
[01999.60-02000.76] 都有兩面性
[02000.76-02002.04] 他強調的是
[02002.04-02004.04] 大家都一樣
[02006.34-02008.60] 他強調的是大家都一樣
[02008.60-02010.66] 他強調的是大家都一樣的
[02010.66-02014.00] 共性问题 代表的是一般
[02015.28-02019.36] 所以在这里面你要注意 你做体的时候不要去找
[02019.62-02026.52] A和B 矛盾者的双方是什么 你不要去找矛盾 明白吗 你要去看体干强调的是什么
[02026.52-02033.18] 如果体干强调的是 大家都一样 你读出来是这样的说法 那么OK 他就是普遍性
[02033.18-02039.58] 我举个简单的例子 比如说我们经常也会遇到一个体 叫幸福的家庭都是相似的
[02040.66-02045.26] 这个幸福的家庭都是相似的
[02045.26-02049.42] 然后问说幸福的家庭都是相似的体现了什么的直学里
[02049.42-02051.42] 谷验性必特殊性
[02051.42-02053.06] 那大事很多同院农圈了
[02053.06-02054.50] 老师完了
[02054.50-02056.14] 幸福的家庭都是相似的
[02056.14-02058.22] 我在这里面去找某个女的双方案
[02058.22-02059.54] 这某个人双方事长
[02059.54-02061.86] 早了半天都没有找到某个人双方
[02061.86-02063.46] 那你就会脆异了
[02063.46-02064.74] 我再强得一遍
[02064.74-02066.62] 某个人的谷验性不是强谷的
[02066.62-02067.86] 某个人双方事长
[02067.86-02072.02] 強調矛盾雙方是什麼的概念就做基本主性
[02072.02-02076.10] 矛盾的普遍性強調的觀念點在約普遍性上
[02076.10-02077.54] 而不在於矛盾上
[02077.54-02080.82] 所以矛盾的普遍性強調大家都一樣
[02080.82-02083.42] 你只要在看體驗能能看到大家都一樣
[02083.42-02084.78] 那就可以選普遍性
[02084.78-02087.86] 那你看幸福的家庭都是相似的
[02087.86-02088.98] 都是相似的
[02088.98-02090.66] 大家一樣還是不一樣的
[02090.66-02092.50] 大家都一樣
[02092.50-02094.18] 那都一樣是什麼問題
[02094.18-02095.70] 共行問題是個性問題
[02095.70-02096.70] 共行問題
[02096.70-02098.50] 那既然是共性问题的话
[02098.50-02099.98] 那他体现的就是什么
[02099.98-02101.30] 普遍性
[02101.30-02102.38] 比如说他说了
[02102.38-02103.66] 天下万物
[02103.66-02105.42] 帅接油法
[02105.42-02107.34] 问题下了什么样的哲学里
[02107.34-02109.82] 你也找不到对立之的双方是什么
[02109.82-02111.18] 不要去找反一次
[02111.18-02113.74] 同时为一个把这个找反一次的这个习惯
[02113.74-02114.62] 去给他
[02114.62-02115.78] 兵器调
[02115.78-02117.86] 天下万物帅接油法
[02117.86-02119.14] 是个天下所有的
[02119.14-02120.70] 事务的运行规律都一样
[02120.70-02122.34] 这个叫做帅接油法
[02122.34-02123.54] 所以都一样
[02123.54-02125.38] 强调的是共性问题
[02125.38-02127.78] 共行问题 强就什么 普遍性
[02127.78-02129.46] 所以有的时候我们在做体的时候
[02129.46-02131.86] 它其实有一些关键词
[02131.86-02134.22] 可以去判断 它是不是体现普遍性的
[02134.22-02136.34] 比如说在这里面都说
[02137.22-02138.18] 睡
[02138.58-02139.34] 接
[02139.34-02143.74] 比如说老子说天下漫物接无毒油
[02143.74-02145.10] 都一样 对吧
[02145.10-02147.34] 出现这些词的时候 强调都一样
[02147.34-02149.06] 这个时候强调就什么性
[02149.06-02151.14] 就是普遍性的问题
[02151.14-02154.06] 所以在普遍性当中的第一个打体的关键
[02154.06-02157.30] 同樣把它的普遍性原理的初期角度
[02157.30-02158.54] 現在旁邊
[02158.54-02159.66] 普遍性原理的初期角度
[02159.66-02160.34] 現在旁邊
[02160.34-02163.50] 這強調大家都一樣的問題
[02163.50-02164.50] 強調大家都一樣
[02164.50-02166.26] 這就是普遍性
[02166.26-02168.14] 既然強調大家都一樣
[02168.14-02171.86] 其實就意味著任何事務都有兩面性
[02171.86-02174.34] 旅要求我們在看待事務的時候怎麼辦呢
[02174.34-02175.74] 來 標準一下 圈二
[02175.74-02176.86] 下面有個方法論
[02176.86-02178.00] 就要求我們
[02178.00-02179.26] 樹立矛盾的觀點
[02179.26-02181.66] 堅持矛盾分析法
[02181.66-02184.22] 用全面的观点看问题
[02184.48-02187.16] 全面的观点看问题就是都看到
[02187.40-02190.62] 近看到它好的一面又看到它坏的一面
[02190.88-02192.42] 这个就叫做全面的观点
[02192.66-02195.22] 也可以把它成为叫做一分
[02195.74-02196.76] 为二的观点
[02197.02-02200.86] 因为我们现在很少在这里面说是一分为二的观点看问题
[02201.12-02204.96] 因为不单单可以一分为二也可以一分为三也可以一分为四
[02205.22-02207.76] 但是在有一些体感当中
[02208.02-02209.56] 或者有一些选上当中
[02209.82-02211.10] 它还是会体到一分为二
[02211.10-02212.78] 那他如果提到一分元
[02212.78-02216.10] 你能够对用到矛盾分析当中的全面的观点
[02216.10-02217.70] 看问题就可以了
[02217.70-02219.62] 比如说我们在认识数的时候
[02219.62-02222.98] 就要看到A面要看到另一面
[02222.98-02224.74] 这个叫做全面的观点
[02224.74-02227.74] 比如说对现在的中国经济的发展
[02227.74-02229.98] 中国经济现在发展挺好的
[02229.98-02232.14] 而且我们也相信中华民族
[02232.14-02234.38] 必将再次迎来为大复兴
[02234.38-02234.82] 对吧
[02234.82-02237.66] 所以整体的经济发展趋势是相上的
[02237.66-02240.22] 那经济整体发展趋势上扬
[02240.22-02244.46] 是不是就意味着中国经济在发展问成当中不会存在问任何问题了
[02245.18-02245.86] 当然不是
[02245.86-02248.38] 所以我们在开各种刚刚的大会的时候一直在强调
[02248.38-02251.42] 我们要坚持问题到向问
[02251.42-02253.54] 坚持问题到向的原因在什么
[02254.30-02256.82] 就是因为看问题要全面嘛
[02256.82-02257.22] 对吧
[02257.22-02258.14] 就要看到好
[02258.14-02259.42] 要看到问题
[02259.42-02260.46] 所以在这里面
[02260.46-02264.30] 它强调问题是问题到向底线思维的时候
[02264.30-02265.70] 其实也是在说什么
[02265.70-02268.62] 也是在说全面的观点看问题
[02268.62-02272.86] 大家一定要知道,就是要看到好,可以去这么理解。
[02272.86-02278.24] 它在考理解形提目的时候,经常会结合案内来考察。
[02278.24-02283.80] 但这里还有一个小的细节的点,大家注意一下,就是在于某个分析反当中。
[02283.80-02289.22] 某个分析反可以说是用一分别的观点抗体,或者用全面的观点抗体。
[02289.22-02292.94] 那么这个矛盾分析法其实就逛穿了整个
[02292.94-02295.58] 我们所说的变政法的始终
[02295.58-02296.94] 所以在整个变政法当中
[02296.94-02298.74] 几乎都在看双方
[02298.74-02302.06] 或者在三大规律当中都在看矛盾的双方
[02302.06-02304.90] 比如说在矛盾当中自身就讲对立同一关系
[02304.90-02307.86] 在支量互变当中讲两个概念量变和制变
[02307.86-02310.22] 在否定只否定规律当中讲两个问题
[02310.22-02312.06] 就做肯定和否定
[02312.06-02313.58] 这个我们在后面会讲到
[02313.58-02315.98] 比如说在这里面矛盾分析法
[02315.98-02318.94] 它其实是应用到了很多方面
[02318.94-02323.42] 所以某个分析法可以说是我们在变中法当中的什么 根本方法
[02324.42-02327.58] 所以把某个分析法写的旁边 画出来
[02327.58-02329.70] 然后再旁边想四个字根本方法
[02329.70-02335.02] 这个点偶尔会考察一个实际性的体目或者是判断体
[02335.02-02339.78] 这里大家知道 这个是我们所说的某顿的普遍性
[02339.78-02341.14] 某顿的普遍性
[02341.14-02342.74] 这是第一个特性
[02342.74-02345.46] 我们刚才在讲的某顿普遍性的时候我们说了
[02345.46-02347.96] 說人有人的矛盾
[02347.96-02350.22] 諸子有諸子的矛盾
[02350.22-02352.42] 對吧,手機有手機的矛盾
[02352.42-02354.46] 雖然強調大家都有矛盾
[02354.46-02358.14] 但是大家所存在的矛盾的創方一不一樣
[02358.14-02359.26] 不一樣
[02359.26-02361.26] 所以在剛才的普遍性當中
[02361.26-02362.34] 又體現出來了
[02362.34-02364.94] 不同是它所面臨的問題
[02364.94-02365.66] 不同
[02365.66-02366.78] 這種不同
[02366.78-02369.02] 放在哲學上去叫做矛盾的什麼性
[02369.02-02371.66] 就叫做矛盾的特殊性
[02371.66-02373.06] 就叫矛盾的可出性
[02373.06-02374.82] 那么来看一下毛顿特性
[02374.82-02376.74] 它的具体的内涵指的是啥呢
[02376.74-02380.74] 它们第一个叫布统树的毛顿各有其特点
[02380.74-02383.46] 就每个事物它索面灵的毛顿都不一样
[02383.46-02387.78] 咱们刚才说了人手机、桌子、花料、羽虫
[02387.78-02390.18] 各个国家索面灵的问题是不是都不一样
[02390.18-02392.74] 那这个叫布统树的毛顿
[02392.74-02396.98] 第二个它强调的是说是同一事物的毛顿
[02396.98-02401.54] 在布统的发展阶段和发展过程有布统的特点
