[00000.00-00004.48] 那我们还用高星技术的最后一节就是其他高星技术
[01140.42-01142.42] 我把这个系统称的位置什么呢?黑蝦子
[01142.42-01144.42] 所以我们在这里把黑蝦子画出来
[01144.42-01147.36] 所以黑蝦子是非击非情信息进入系统
[01147.36-01149.80] 里面可以有数据比如路盐
[01149.80-01153.06] 我们所说的这种各种实实的路盐的记录
[01153.06-01154.96] 都是我们所说的在黑蝦的当中
[01154.96-01158.48] 所以我们看到了很多的大型的空难
[01158.48-01161.22] 或者是有些非击师式情况的话
[01161.22-01164.12] 它如果想去调查非击到底发生了什么
[01164.12-01166.26] 那就需要去找它的飞蝦子
[01166.26-01168.58] 因为书上也说了它是非击师过
[01168.58-01171.64] 重要原因直接证据的一个来源
[01171.64-01173.72] 但是大家要知道破解黑蝦子
[01173.72-01176.56] 它里面的这些信息也并不是那么容易的
[01176.56-01177.92] 所以在这里大家注意一下
[01177.92-01179.24] 这里黑蝦子两个点
[01179.24-01182.52] 第一个黑蝦子没称入为叫做非询信息记录系统
[01182.52-01185.88] 主要就是我们所驾着倉已经操那些与研剧录
[01185.88-01187.76] 所以在这里面大家一定要注意一下
[01187.76-01189.40] 是画研剧录
[01189.40-01189.92] 关系录
[01189.92-01190.84] 这是第一个
[01190.84-01192.12] 以及数据
[01192.12-01193.24] 这是第一个点
[01193.24-01193.84] 第二个呢
[01193.84-01195.00] 虽然它叫做黑蝦子
[01195.00-01195.80] 大家注意一下
[01195.80-01196.92] 它不是黑的
[01196.92-01198.00] 如果它是黑的的话
[01198.00-01198.76] 大家想一下
[01198.76-01200.44] 你再去搜尋黑蝦子的时候
[01200.44-01201.36] 你会发现
[01201.36-01203.60] 黑色不太好找他颜色不太醒目
[01203.60-01206.08] 所以黑蝦子之所以称为黑蝦
[01206.08-01209.88] 就是因为怕里面路的东西是在机器内幕的
[01209.88-01210.60] 叫做黑蝦子
[01210.60-01212.80] 但本身他一定是非常醒目的颜色
[01212.80-01213.72] 才能变于搜尋
[01213.72-01214.20] 对吧
[01214.20-01215.40] 所以他是什么色
[01215.40-01216.40] 大家注意下圈
[01216.68-01218.80] 黑蝦子本身是纯色的
[01218.80-01219.56] 大注意
[01219.56-01222.24] 这是第二个点需要我们去明确的
[01222.24-01224.44] 大家也都知道在今年也出现了
[01224.44-01227.40] 让我们特别痛心的这样的一个事情
[01227.40-01229.80] 黑蝦子我们也都知道是找到了
[01229.80-01230.80] 所以希望
[01230.80-01234.52] 住院所的人在出行了都能平平安
[01234.52-01237.84] 这是我们所说的第二个叫做黑下字
[01237.84-01241.84] 第三个就是我们经常会在飞机当中提到引型飞机
[01241.84-01244.72] 引型飞机就很多同学在想生引型飞机
[01244.72-01246.28] 是不是让我想象的那样呢
[01246.28-01247.92] 他飞到天空当中就看不见了
[01247.92-01248.64] 其实不是的
[01248.64-01249.80] 这那么大的东西
[01249.80-01250.76] 像你老人样的
[01250.76-01251.96] 他怎么能看不见呢
[01251.96-01253.68] 什么叫做引型飞机呢
[01254.08-01255.08] 大家注意一下
[01255.08-01257.68] 他说引型飞机是通过的一个点
[01257.68-01259.56] 叫通过研究访生学
[01259.56-01261.56] 咱们之前给大家说过了 对吧
[01262.56-01264.36] 飞机他是通过什么防守
[01264.86-01266.76] 飞机的防生是你好累吗
[01268.56-01270.16] 对吧 飞机的防生是你好累
[01270.36-01273.06] 说并且运用了最新的技术和材料
[01273.26-01274.66] 然后第二一个大注意下
[01275.16-01278.06] 眼形飞机的眼形是啥不是说看不见
[01278.16-01278.96] 同标注意下
[01279.36-01280.66] 眼形不懂于看不见
[01280.66-01282.26] 而是什么 而是真查不到
[01282.46-01283.46] 所以在这里他说了
[01283.66-01286.86] 是使雷达无法真撤到其存在的一种飞机
[01286.96-01288.56] 所以在这里标注缺二
[01288.56-01291.24] 引型不代于它看不见而是正察不到
[01291.24-01292.52] 那它为啥正常不到呢
[01292.52-01293.92] 同时标准一下穿三
[01293.92-01295.40] 所以引型飞机表面
[01295.40-01297.76] 它图立从特殊的物质可以吸收
[01297.76-01300.48] 雷达播降低被它坚测到的可能
[01300.48-01302.04] 而不是说一点先走不到
[01302.04-01303.48] 这种叫做引型飞机
[01303.48-01305.20] 引型飞机在之前的
[01305.20-01307.00] 是那位考试里面考察过一个点
[01307.00-01308.04] 当时那个点就是
[01308.04-01309.24] 综合性的考察
[01309.24-01311.48] 给了一个前面给了一个背景
[01311.48-01312.28] 然后后面就说
[01312.28-01313.48] 那关于引型飞机说
[01313.48-01314.60] 正确是错的事
[01314.60-01317.36] 这里面的这几个概念就都考到了
[01317.36-01319.44] 這是我們所說的贏性飛機
[01319.44-01320.70] 所以在大飛機當中
[01320.70-01322.32] 我們就掌握四大類的點
[01322.32-01324.16] 第一個中國飛機三件客
[01324.16-01326.12] 第二個就是起飛降落
[01326.12-01328.12] 第三個就是黑蝦子
[01328.12-01330.04] 第四一個就是贏性飛機
[01330.04-01331.64] 這個是其他高興技術
[01331.64-01333.44] 要給頭銀明確講解的
[01333.44-01334.68] 也是這些高興技術
[01334.68-01336.56] 它是和我們的生活密切相關的
[01336.56-01338.32] 也就是關聯到我們的出行
[01338.32-01339.88] 所以我們講了高鐵
[01339.88-01341.12] 什麼叫做高鐵呢
[01341.12-01342.40] 這是那條鐵路線
[01342.40-01344.80] 所以高鐵它不等於車阻
[01344.80-01346.48] 對不對這是第一個
[01346.48-01348.72] 第二个就是我们在讲高铁的时候
[01348.72-01351.56] 我们认为高铁大多数是无法稻尾
[01351.56-01353.40] 而我们一般情况之下
[01353.40-01356.44] 比如说普通列车或者是直达列车
[01356.44-01357.44] 它是有稻砸的
[01357.44-01359.20] 那我们要知道稻砸的作用是
[01359.20-01362.56] 于是下身房纸路机下程
[01362.56-01363.40] 这写了个啥呀
[01363.40-01364.92] 房纸路机擦成
[01364.92-01366.20] 屁育都出来了
[01366.20-01367.48] 房纸路机下程
[01367.48-01368.88] 从而減小箱的
[01368.88-01370.68] 早已这是一般情况之下
[01370.68-01372.08] 我们所说的有稻砸
[01372.08-01375.16] 但是我们也知道高铁大多数无稻砸的
[01375.16-01376.56] 而碰到有道載的
[01376.56-01378.68] 它的道載的這個載食
[01378.68-01380.28] 它也不是原本的碎食
[01380.28-01382.72] 而是用火鈴土和力輕混合的
[01382.72-01384.56] 我剛才也說了出於什麼考量
[01384.56-01385.80] 所以經濟利益的考量
[01385.80-01388.36] 因為造一條無鬼的道載
[01388.36-01391.28] 我們所說的無鬼的道載
[01391.28-01392.68] 無載的道鬼
[01392.68-01394.16] 它的成本是非常高的
[01394.16-01395.68] 只是在這裡第2個電
[01395.68-01397.04] 第3個電是高鐵運行
[01397.04-01398.60] 我們只能看到各種各樣的電線
[01398.60-01400.48] 它是給高鐵共能的
[01400.48-01404.88] 所以高鐵的運行的動力來自一電廠的供電
[01404.88-01406.28] 但是高鐵沒有方向盤
[01406.28-01408.68] 那他如何實現他的一個轉毀運行
[01408.68-01411.00] 就是動車座重連對吧
[01411.00-01412.40] 這是我們所說的高鐵
[01412.40-01414.16] 出行出了高鐵之外還有飛機
[01414.16-01416.28] 我們就要解中國飛機三線客
[01416.28-01417.16] 剛才給到的
[01417.16-01420.32] 運二零AG661以及C999
[01420.32-01423.12] 第二就是有關於飛機運行的時候基本的
[01423.12-01425.16] 支持其分合降落要逆風
[01425.16-01427.08] 而且我們也講到了起飛的時候
[01427.08-01428.48] 如果他迅速換升
[01428.48-01430.28] 感覺投要炸開了對吧
[01430.28-01431.80] 就感覺耳朵往外骨
[01431.80-01433.04] 那這主要腳口向躺
[01433.04-01434.20] 減少這種
[01434.20-01436.60] 我們所說的壓力差所造成的影像
[01436.60-01438.56] 那第二個就是黑瑕子大助一下
[01438.56-01440.28] 黑瑕子是信息紀錄系統
[01440.28-01441.00] 紀錄什麼呢
[01441.00-01443.20] 第一個是紀錄數據
[01443.20-01445.20] 第二是紀錄語言
[01445.20-01448.20] 而黑瑕子它是不是黑的不是人士成色的
[01448.20-01450.00] 第三個就是在軍事上面
[01450.00-01451.32] 我們今天要提到引擎飛機
[01451.32-01452.44] 引擎飛機呢
[01452.44-01454.48] 它不是看不見而是怎麼樣
[01454.48-01456.76] 而是能夠減少雷達的真策
[01456.76-01458.60] 為什麼雷達對它的真策
[01458.60-01459.48] 蓋力會降低
[01459.48-01461.12] 因為它吐一層頭輸的
[01461.12-01461.88] 無止
[01461.88-01463.60] 那這是我們所說的這個
[01463.60-01465.08] 有关于其他个人就说
[01465.08-01469.08] 到这就把整个全部的科技上是给大家讲完了
[01469.08-01470.40] 那种相对来说一觉多
[01470.40-01471.72] 但是也是相对
[01471.72-01473.96] 就刻转上之后来说那一觉全面了
[01473.96-01475.64] 那随道图也是
[01475.64-01477.52] 整女出来的是一大张
[01477.52-01479.32] 我只是把每个地方都给大家解析
[01479.32-01482.36] 我也希望同学们通过这样的导图的学习
[01482.36-01484.04] 在后续的呼吸的时候
[01484.04-01485.40] 能够一导图为职业
[01485.40-01486.68] 直接抓住它的关键死
[01486.68-01488.04] 能够做到失伴工备
[01488.04-01488.68] 好吧
[01488.68-01490.68] 我们的科技就到这里就结束了
[01490.68-01491.24] 拜拜
