[00000.00-00005.38] 聊件了新法的構成以及他每個內容如何去考察之後呢
[01192.90-01194.54] 所以我够够成犯罪
[01194.54-01195.62] 不够成犯罪
[01195.62-01197.10] 所以我们在这里说了
[01197.10-01199.38] 犯罪和違法是两个概念
[01199.38-01200.58] 你要把它去去分歉
[01200.58-01203.98] 我們現在談的是什麼問題 談的是犯罪問題
[01203.98-01205.94] 犯罪只是刑法當中
[01205.94-01207.06] 所以大家注意一下
[01207.78-01210.42] 這是我們所說的刑法的基本原則
[01210.42-01212.22] 到這讓我們就辦
[01212.22-01214.78] 什麼是刑法 以及刑法的機會原則
[01214.78-01215.62] 已經開始說了
[01215.62-01217.98] 講完了刑法的機會原則之後
[01217.98-01219.30] 接下來我們來看一下
[01219.30-01221.94] 相對來說細節考點比較多的
[01221.94-01223.26] 第三個方面內容
[01223.26-01225.42] 刑法的是用範圍
[01225.42-01229.18] 刑法的身份位在哪些地區市有
[01229.18-01230.66] 这个叫做空间效率
[01230.66-01233.18] 第二个什么时候行法
[01233.18-01234.42] 开始有用
[01234.42-01236.22] 这个叫做时间效率
[01236.22-01238.30] 那么先来看一下空间效率
[01238.30-01240.22] 它说空间效率是行法对
[01240.22-01241.86] 地和人的效率也是解决
[01241.86-01243.34] 因为国家的行法
[01243.34-01245.30] 管想全的放灵问题
[01245.30-01247.10] 所以在这里面大家就知道
[01247.10-01249.78] 所谓的管还全的放灵问题
[01249.78-01252.46] 其实就是在哪些地方是有
[01252.46-01253.50] 想要大家知道
[01253.50-01255.74] 行法的这个使用无非就是在什么
[01255.74-01257.74] 就是在我们国家的灵图内
[01257.74-01260.56] 或者是在文国家的什么灵土外
[01260.56-01265.30] 所以在这里就会分成在中国境内犯罪和在中国境外犯罪
[01265.30-01266.94] 在中国境内
[01272.94-01274.98] 或者也叫中国领域内
[01274.98-01277.46] 那第二个就是在中国的境外
[01279.74-01282.30] 那中国境内犯罪是用什么原则
[01282.30-01286.18] 我们会按个给大家讲是用的叫做数帝原则
[01286.18-01289.18] 而在中国境外的犯罪 他是用什么原则呢
[01289.18-01291.18] 这是不在中国的领土犯内之内了
[01291.18-01293.68] 那这种情况之下 大家注意啊
[01293.68-01296.18] 它是用的 第一个叫做数人
[01297.18-01298.18] 管下原则
[01298.18-01301.18] 第二个呢就叫做保护管下原则
[01302.18-01305.18] 第三个呢就叫做普遍管下原则
[01308.18-01309.18] 那普遍管下原则
[01309.18-01311.18] 在这里面大家要知道啊
[01311.18-01313.18] 那这里面的境内和境外
[01313.18-01315.18] 那一般情况下 强调这个境内
[01315.18-01317.94] 我们所说的比如说港澳台地区
[01317.94-01318.94] 它属于境外
[01318.94-01320.42] 而我们所说的港澳台
[01320.42-01321.98] 比如说大陆地区和属于境内
[01321.98-01322.42] 对吧
[01322.42-01324.34] 但是我们再去去分的时候
[01324.34-01326.90] 我们有的时候会说领域外或者领域内
[01326.90-01328.22] 那领域外领域内不代表
[01328.22-01330.26] 港澳台不是中国的领土明白吗
[01330.26-01331.86] 这是我们去去分他的时候
[01331.86-01334.38] 在这里大家不用去举结这个细节
[01334.38-01336.42] 我说到了细节的考点
[01336.42-01337.70] 我会给大家去点道
[01337.70-01339.10] 同时不要在这个地方说
[01339.10-01340.86] 按照顺书讲错了没有
[01340.86-01342.54] 因为你去看不同的教材
[01342.54-01345.06] 他可能不同的这种写的不一样
[01345.06-01346.82] 但是我给大家究竟一下这个概念
[01346.82-01348.30] 就是涉一道的细节考虑
[01348.30-01349.34] 我会答应一个去分
[01349.34-01351.74] 但是他在刑法考试里面
[01351.74-01353.58] 他绝对不会让我们去去分说
[01353.58-01355.74] 中国的境内和境外
[01355.74-01357.26] 领域内和领域外的概念
[01357.26-01357.78] 什么区别
[01357.78-01358.94] 他绝对不会考这个
[01358.94-01360.98] 你大概现有这么一个感觉就行了
[01360.98-01362.46] 你知道他在红官上
[01362.46-01363.78] 是有这样的一个花分的
[01363.78-01364.50] 就OK了
[01364.50-01365.26] 明白了吧
[01365.26-01366.70] 因为在这种地方
[01366.70-01368.70] 我们因为会讲到中国领域内
[01368.70-01370.34] 是用刑法的例外
[01370.34-01372.46] 所以在这里我才给大家说到了
[01372.46-01375.28] 竟然和境外但是不要去举结这个细节
[01375.28-01377.06] 因为这个细节它不是一个考点
[01377.06-01379.06] 不要举结我这个表书上的细节
[01379.06-01381.06] 因为我在这里要给大家说清楚
[01381.06-01383.78] 我们很有可能很多形化专业的这个学生
[01383.78-01385.46] 听到这个地方会打一个问号
[01385.46-01387.82] 我只是在这里要给大家去说明
[01387.82-01389.34] 它了一个分类情况
[01389.34-01390.82] 但说到具体领域的时候
[01390.82-01392.46] 我们一会还会去展开说
[01392.46-01394.18] 好 那这时大家就知道
[01394.18-01397.26] 就是第一个是在我们所说的中国领域那一犯罪的
[01397.26-01398.86] 这个时候叫属地原则
[01398.86-01401.26] 那第二个就是在中国领域外的时候
[01401.26-01403.78] 这种时候会分成其他三个原则
[01403.78-01405.06] 首先先来看一下
[01405.06-01407.74] 第一个就叫做数帝管下原则
[01407.74-01410.62] 数帝管下原则是这四个原则当中
[01410.62-01412.18] 最喜欢考察的
[01412.18-01415.34] 会说这四个原则当中有两个是最喜欢考察的
[01415.34-01416.66] 一个是数帝
[01416.66-01417.82] 一个是数人
[01417.82-01419.42] 我们先来看一下数帝
[01419.42-01421.34] 数帝原则才在这里面给到
[01421.34-01424.86] 说反正在中国领域内犯罪的
[01424.86-01426.62] 除法律特别规定外
[01426.62-01428.30] 一律是用我国的什么
[01428.30-01429.94] 行法
[01429.94-01431.76] 这里面有三个细节
[01431.76-01432.78] 小同们去掌握
[01432.78-01434.46] 第一个就是我们提到了
[01434.46-01435.20] 说
[01435.20-01436.48] 主帝原则
[01436.48-01437.58] 他是在哪儿
[01437.58-01438.90] 在哪些地区使用
[01438.90-01440.06] 同样把他标注出来
[01440.06-01441.10] 第一个叫做
[01441.10-01441.86] 我国
[01441.86-01443.82] 领域内使用
[01443.82-01445.34] 什么叫我国领域内使用呢
[01445.34-01447.70] 只要你是在中国领土的
[01447.70-01448.38] 范围之内
[01448.38-01450.38] 或者中国领域的范围之内
[01450.38-01452.02] 我不管你是拿过人
[01452.02-01453.58] 在我的地牌就要咋的
[01453.58-01456.10] 在我的地牌就要听我的
[01456.10-01456.94] 明白这个意思吗
[01456.94-01459.74] 既然是在我的地盤就要听我的
[01459.74-01461.98] 那就一律师用于我国的形状
[01461.98-01463.98] 我管你是外国人还是无国的人
[01463.98-01465.30] 我管你是美国人
[01465.30-01468.50] 我管你是什么韩国人什么日本人
[01468.50-01470.26] 你只要是在我们所说的
[01470.26-01471.78] 中国的典鱼内犯罪
[01471.78-01473.70] 一律师用中国的形状
[01473.70-01474.30] 明白了
[01474.30-01475.10] 一律师用
[01475.10-01478.22] 所以在这个地方就叫做中国典鱼内犯罪
[01478.22-01479.22] 你就简单的地
[01479.22-01480.02] 就简单的地
[01480.02-01480.82] 简单的地
[01480.82-01482.74] 就在我的地盤听我的
[01484.22-01485.22] 我就写在旁边
[01485.22-01485.82] 好吧
[01485.82-01487.82] 在我的地盤
[01491.22-01492.22] 听我的
[01492.22-01497.70] 这句话呢 就是帮助大家去做理解性的题目
[01497.70-01500.02] 帮大家去做理解性的题目 大家要知道
[01500.02-01501.42] 这个是属的管轄
[01501.42-01504.22] 那属的管轄呢 它一定要非常到眼睛
[01504.22-01507.02] 那我们就来看一下有关属的管轄人作当中的一些
[01507.02-01507.82] 细节
[01507.82-01510.02] 主任第一个细节呢就在于我们所说的
[01510.02-01511.82] 反正在中国领域内犯罪的
[01511.82-01514.02] 那中国的领域急于哪些呢
[01514.02-01515.62] 我们所说的中国领域
[01515.62-01517.82] 他順於我們所說的
[01517.82-01520.22] 臨土、臨水和領空
[01520.22-01521.62] 所以在這裡帶著一下
[01521.62-01523.62] 我國的領域包括第一個
[01524.62-01527.42] 現在旁邊就是包括我們國家的領路
[01527.82-01531.02] 中國960萬平方公里的大地上
[01531.02-01533.02] 大概還記得小時代那個電影
[01533.02-01534.22] 國彩結到日說了
[01534.22-01537.02] 說在中國960萬平方公里的大地上
[01537.02-01539.22] 有誰不是到我故理一巧時候如黃
[01539.22-01542.82] 對吧他說的這個960萬平方公里的大地
[01542.82-01544.46] 它是用国家的照顾什么
[01544.46-01546.98] 叫做领土或者叫做领路
[01546.98-01549.86] 那在中国的土一方面之内必须要使用中国的什么
[01549.86-01550.66] 刑法楼
[01550.66-01554.82] 所以在这里这是第一个我们国家的领域内包括领路
[01554.82-01556.46] 第二个包括我们国家的什么
[01556.46-01558.94] 领水大家都知道领水
[01558.94-01561.50] 它其实是国际法当中的一个概念
[01561.50-01563.94] 你看我们国家的海域范围之内
[01563.94-01565.62] 是用于中国的刑法
[01565.62-01566.34] 当然是用
[01566.34-01568.42] 但是如果是出了中国的海域呢
[01568.42-01570.62] 那可能就进入到了公海的范围之内
[01570.62-01572.46] 大家经常看到周平尺
[01572.46-01575.94] 留的夸它们眼那个电影什么读圣读瞎这个系列的
[01575.94-01578.10] 然后经常在那个油轮上开读部
[01578.10-01580.38] 然后当时那个反派经常叫做说啥
[01580.38-01583.94] 就说啊你看我的我们的船已经开到了公海派的支队
[01583.94-01585.30] 你用能耐我合呀
[01585.30-01587.82] 你看它说一旦到了公海派的领域内
[01587.82-01590.82] 就超出我们国家的灵水管载翻为了
[01590.82-01593.66] 那就不能释用于中华人民共和国的形状
[01593.66-01594.54] 那怕它杀人
[01594.54-01596.54] 然后结果这个电影快反转
[01596.54-01598.82] 然后当使留的华还中吃就受了说念
[01598.82-01599.94] 你个傻子对不对
[01599.94-01601.14] 你以为传开就去了吗
[01601.14-01603.52] 没有还在我们国家的领土派里之内
[01603.52-01605.30] 他在传上杀人
[01605.30-01606.30] 巨众独国
[01606.30-01609.22] 他就要适用于我们国家的刑法
[01609.22-01609.86] 明白吧
[01609.86-01610.86] 这个叫做零水
[01610.86-01612.50] 第三个不是我们所说的什么
[01612.50-01614.50] 第三个就是我们的零空
[01614.50-01616.66] 我们所说的零路零水零空
[01616.66-01619.30] 都是于我们国家的零预翻零内
[01619.30-01620.70] 那零空不用说吧
[01620.70-01623.06] 我们经常能看到有一些国家
[01623.06-01623.86] 对吧
[01624.34-01625.54] 掉落了死了国家
[01625.54-01626.42] 导明熙熙的国家
[01626.42-01627.58] 他经常要找什么
[01627.58-01629.74] 经常要找中国的会计
[01629.74-01631.70] 那经常要找中国的会计的话
[01631.70-01633.08] 你出现了一个情况
[01633.08-01634.08] 啥情况呢
[01634.08-01635.88] 它总有那些
[01635.88-01638.40] 这些增差机来到我们国家的
[01638.40-01639.58] 领空放内之内
[01639.58-01640.40] 这有时候
[01640.40-01641.76] 侵犯了我们国家的领土主持
[01641.76-01643.32] 我们就会拍摄机给它干净
[01643.32-01644.76] 所以在这里你看
[01644.76-01645.88] 我们的领路
[01645.88-01647.28] 我们国家的领域
[01647.28-01649.76] 包括领路、水和领空
[01649.76-01651.40] 这个点大家一定要注意
[01651.40-01652.56] 除了这些之外
[01652.56-01654.24] 我们国家在领域放于之内
[01654.24-01656.36] 还是得到奇国主义
[01656.36-01658.86] 就是选逛我国国企业的
[01659.74-01661.06] 现在旁边
[01661.06-01662.54] 这是选贯
[01663.66-01667.82] 我国其的
[01669.82-01673.66] 选贯我国其的航空气和船博也就是飞机了
[01677.06-01680.46] 航空气和我们所说的船博
[01680.46-01682.38] 那他也属于我们国家的什么
[01682.38-01683.78] 领土的外言
[01683.78-01686.30] 所以他们两个是属于我们国家的什么
[01686.30-01688.70] 我们国家的领域范围之内的
[01688.70-01690.98] 所以在这里面大家注意一下第一个点
[01691.22-01692.66] 我把它换出来
[01694.42-01695.06] 这是
[01696.10-01697.70] 属于我们国家里面真的有的
[01697.70-01699.70] 但是会有一些情况
[01699.70-01701.82] 就是我们经常会看到一些比如说
[01701.98-01705.26] 国际列车或者是国际长徒汽车
[01705.38-01707.66] 那这些国际列车国际长徒汽车
[01707.66-01709.30] 它属于我们国家的领域
[01709.30-01711.62] 比如说你看到欧洲万列
[01711.62-01713.42] 从中国开到德国
[01713.42-01714.90] 或者从德国开到中国
[01714.90-01716.54] 反正它也是要经过中国的
[01716.54-01720.12] 那像这种属不属于我们国家的领土的外言
[01720.12-01722.44] 不属于大家在旁标注一下就是
[01722.44-01726.52] 国际列车和国际长途汽车不属于我国的领土
[01729.60-01734.72] 国际列车或者是国际长途汽车
[01738.04-01739.84] 他不属于我国的领土
[01739.84-01744.18] 所以在国际列车或者是国际长途汽车上发生了形式案件
[01744.18-01748.52] 那他开到那个国家的境内他就有那个国家有那个国家
[01748.52-01750.46] 享有属地关下权明白吧
[01750.46-01753.02] 这些是不是要上一个电影啊 还什么时候上电影
[01753.02-01754.92] 我没去电人去看电影了
[01754.92-01757.24] 这是黄宣他演的一个电影
[01757.24-01760.74] 这是什么是黄金大杰 还什么就是讲这个事
[01760.74-01762.82] 然后你看他是在这个列车是
[01762.82-01767.40] 这个列车是国际列车是从中国开到墨斯科的
[01767.40-01770.30] 那你看从中国开到墨斯科那这种情况之下
[01770.30-01771.84] 它属于国际列车
[01771.84-01774.68] 在列车上所发生的行山间
[01774.68-01776.64] 是不是用于属地管杀呢
[01776.64-01778.24] 就不是用于属地管杀了
[01778.24-01779.46] 它开到哪个国家
[01779.46-01781.06] 就使用哪个国家的
[01781.06-01783.36] 我们所说的就有哪个国家管杀就好了
[01783.36-01785.16] 所以它属于什么国际列车
[01785.16-01786.42] 所以在这里面大家明确
[01786.42-01787.54] 这是第一个点
[01787.54-01789.50] 就是在我国领域内
[01789.50-01792.28] 它包括哪些是我们国家的领域机领土外言
[01792.28-01794.18] 哪些它不是这是第一个
[01794.18-01795.38] 在国际领域内
[01795.38-01796.98] 第二个是在中国领域内干嘛
[01796.98-01799.26] 在中国领域内犯罪的
[01799.26-01803.26] 那你看我们说了他实施的这个所谓的这个犯罪
[01803.26-01805.18] 他其实是包括两种情况
[01805.18-01807.18] 也就是他生活于属地管轢
[01807.18-01810.54] 属地管轢的地到底包括哪些地呢
[01810.54-01813.82] 就是在这里我们说了属实是要归属于我们国家的
[01813.82-01817.82] 那哪些行为我们才能在属地管轢原则当中去管
[01817.82-01819.58] 那这个时候就会睡到第二个
[01819.58-01820.86] 就是我们所说的
[01820.86-01826.46] 属地他寄包括行为地也包括结果发生地
[01826.46-01828.54] 所以在这个旁边表制一下
[01828.54-01829.86] 就是所谓的
[01830.34-01831.94] 我们所说的属立管轢
[01831.94-01834.34] 它除了可以管这些大放的地域之外
[01834.34-01836.10] 它具体的可以包括哪些
[01836.10-01839.14] 我把这个地方标注在旁边
[01841.54-01845.34] 这是这个属地的地除了我们要知道
[01845.34-01847.14] 哪个是我们国家的领域外
[01847.14-01851.34] 那第二个我们要知道这个属地的地包括犯罪行为地
[01855.74-01857.14] 犯罪行为地
[01857.14-01861.14] 也包括犯罪结果的
[01862.34-01865.78] 只要是犯罪行为或者是犯罪的结果
[01865.78-01868.30] 有一个发生在中国的领域内
[01868.30-01871.06] 那都能够使用我国的形犯
[01871.06-01872.30] 他都属于什么
[01872.30-01873.86] 属地管相承做
[01873.86-01874.30] 明白了
[01874.30-01875.86] 就是无论是行为或结果
[01875.86-01877.06] 哪一个发生在中国
[01877.06-01878.30] 都可以比如说
[01878.30-01880.06] 我在国内
[01880.06-01882.86] 就说美国人在他的国家
[01882.86-01883.86] 开始的独场
[01883.86-01884.58] 那你看
[01884.58-01888.54] 我就说一个美国人在他国家开设独场
[01888.54-01893.22] 我如果假设假设我们国家有这个怎么说呢
[01893.22-01896.58] 这是我国是有在这个形法规定当中
[01896.58-01898.26] 他是有开设独场罪的
[01898.26-01899.22] 假设呢
[01899.22-01902.14] 我在咱们国家就说他去开设独场
[01902.14-01903.78] 在这种情况这个假设
[01903.78-01906.74] 我就说的这个人他在美国
[01906.74-01908.10] 他开设独场也犯罪
[01908.10-01910.42] 你看他的实施行为犯罪
[01910.42-01911.78] 我的就说行为怎么样
[01911.78-01912.46] 也犯罪
[01912.46-01915.02] 那这种情况之下我的教授行为在什么
[01915.02-01918.62] 在国内那怕它是在美国开社的独场
[01918.62-01920.50] 但现实当中美国开了独场无罪
[01920.50-01921.34] 我只假设
[01921.34-01923.46] 那怕它是在美国开社的独场
[01923.46-01927.30] 那你看犯罪行为是个有意防是犯人在中国
[01927.30-01929.62] 那中国就有相应的什么
[01929.62-01930.58] 数帝广下权
[01930.58-01934.74] 所以在这里面的数帝只得是犯罪行为地和犯罪结果地
[01934.74-01936.26] 那犯罪行为就包括什么
[01936.26-01939.46] 就包括实施行为就说行为帮助行为
[01939.46-01941.82] 就是哪一个有就占哪一个就行了
[01941.82-01943.70] 这个叫做鼠地的地
[01943.70-01945.30] 这是我们所说的第二个
[01945.30-01948.18] 我们要知道中国领域带哪些领域师傅用这些领域
[01948.18-01949.46] 第二个犯罪
[01949.46-01951.22] 我们所说的鼠地当中的地
[01951.22-01953.30] 包括行为地和结果地
[01953.30-01954.94] 只要有一个发生在中国
[01954.94-01957.02] 都可以使用鼠地管轢人作
[01957.02-01959.30] 但是鼠地管轢人作用力外
[01959.30-01961.38] 大助一下鼠地管轢人作
[01961.38-01962.34] 也是有力外的
[01962.34-01963.22] 你看到后面就换
[01963.22-01965.26] 作出厨法里特别规定之外
[01965.26-01966.46] 与力使用我国形法
[01966.46-01968.38] 那就意味着鼠地管轢人作
[01968.38-01970.86] 它会存在一些力外情况
[01970.86-01973.94] 而这些立外情况是细节的考察
[01973.94-01976.42] 或者说是考察理解性的变息
[01976.42-01978.46] 那你看一下哪些情况
[01978.46-01979.62] 它是会出现在
[01979.62-01983.26] 它翻个行为发生在我们国家的领域翻为之内了
[01983.26-01984.74] 我们也没有办法管的
[01984.74-01986.30] 这个就是它的立外
[01986.30-01989.26] 这个也被称之为叫鼠地管侠的立外
[01989.26-01992.10] 我们来看一下鼠地管侠的立外有哪些
[01993.10-01994.22] 我把它写在这
[01994.22-01995.50] 鼠地管侠的立外呢
[01995.50-01996.58] 它有三种情况
[01996.58-01997.18] 第一个呢
[01997.18-02000.06] 就是享有外交权或者是获面权的公面
[02000.86-02010.76] 第一個,可以標準在旁邊,就是享有,外交或者是貨面權的公民
[02010.76-02017.76] 享有外交權或者是貨面權的
[02017.76-02023.26] 那你看,想要外交權或貨面權的話,那指定是什麼?只能是外國人了
[02023.26-02026.50] 所以想了外交情報後面權的外國人
[02028.70-02031.08] 在中國境內犯罪的
[02031.08-02032.68] 這種情況之下沒有辦法生意
[02032.68-02034.26] 我們國家的行法
[02034.26-02036.10] 所以在這裡打擺它標準出來
[02036.10-02038.92] 想了外交情報後面權的外國人
[02038.92-02041.28] 重點在外交權或者是後面權
[02041.28-02042.40] 舉個簡單的例子
[02042.40-02045.36] 比如說某某國家的外交官
[02045.36-02046.50] 咱別舉中國了
[02046.50-02047.24] 被定了
[02047.24-02048.54] 能夠過世
[02048.94-02051.40] 假設屬於管現在的什麼樣的感覺
[02051.40-02053.20] 比如說我們就國要狗
[02053.20-02055.16] 好了我們就講國要狗的例子
[02055.16-02057.80] 比如說日本住美國的外交官
[02057.80-02060.00] 日本他住美國的外交官
[02060.00-02062.40] 然後這個外交官在美國殺了人
[02062.40-02064.20] 那這種情況之下就會看到
[02064.20-02068.20] 日本的外交官在美國的領土之上殺了人
[02068.20-02070.40] 那你看日本外交官在美國領土殺了人的話
[02070.40-02073.00] 按照屬地管轄原則的概念來看
[02073.00-02077.00] 在美國的領域方面之內實施了殺人行為
[02077.00-02079.20] 對吧 那這應該是用於屬地管轄原則
[02079.20-02081.44] 但是問題住在於他的身份表特殊
[02081.44-02082.24] 他屬於什麼
[02082.24-02083.20] 他屬於外交官
[02083.20-02084.32] 他屬於外交去
[02084.32-02085.60] 他想要外交權
[02085.60-02086.60] 那比如一位者
[02086.60-02087.60] 這種殺人行為
[02087.60-02089.68] 他其實就不是單純的什麼
[02089.68-02090.40] 行事行為了
[02090.40-02092.28] 他可能會上升到什麼
[02092.28-02094.68] 國語國之間的這樣一種政治行為
[02094.68-02096.16] 所以像這種想要外交選
[02096.16-02097.44] 或貨面權的外國人
[02097.44-02098.92] 在其流音的犯罪的
[02098.92-02100.44] 沒有辦法使用於管權的作用
[02100.44-02101.56] 那時候老師那他殺人
[02101.56-02102.12] 不解決嗎
[02102.12-02103.68] 解決通過什麼解決
[02103.68-02105.00] 通過外交途徑解決
[02105.00-02106.44] 只有上升到國家行為了
[02106.44-02108.12] 這是不是的行法所能去
[02108.12-02108.84] 规范的了
[02108.84-02110.36] 所以在这里大家注意一下
[02110.36-02112.20] 这想有外交权或者是
[02112.20-02114.84] 获免权的外国公民
[02114.84-02116.12] 这是第一种情况
[02116.12-02119.16] 第二种情况就是我国港二台地区
[02121.80-02127.84] 我国的港二台地区
[02127.84-02131.56] 我国的港二台地区是用本地区的形犯
[02131.56-02139.72] 我搞澳台的地区生育本地区行法
[02139.72-02141.16] 所以把港澳台发出来
[02141.16-02143.92] 用很多知道叫做一国两制
[02143.92-02147.40] 在一国两制当中搞台地区生育本地区的行法
[02147.40-02149.16] 也就是我们所提到的
[02149.16-02151.96] 境外这就是我们所说的境外了
[02151.96-02154.16] 假设到一个香港公民
[02154.16-02155.76] 一个香港公民
[02155.76-02158.32] 他在我们所说的这个
[02158.32-02160.76] 他所在的这个领域内犯了事
[02160.76-02162.34] 那這種情況之下我們說了
[02162.34-02165.50] 那沒有辦法那就要使用港澳台地區的形法
[02165.50-02167.24] 對於它進行相當的處法
[02167.24-02168.96] 那所以在這裏大家面確
[02168.96-02170.22] 那很多同一說說老師
[02170.22-02171.92] 那如果說港澳台
[02171.92-02173.88] 它有本地區的基本法
[02173.88-02174.20] 對吧
[02174.20-02175.40] 那它的這個基本法
[02175.40-02177.18] 會不會和我們國家的大的形法
[02177.18-02179.06] 像的方針相違背不會的
[02179.06-02180.66] 用說了一國兩制
[02180.66-02182.46] 雖然它小有相當的自治權
[02182.46-02183.92] 但是它必須要什麼
[02183.92-02185.32] 我們有對它有什麼
[02185.32-02186.96] 我們對它有相當的管下權
[02186.96-02188.44] 所以在這裏面大家要面確
[02188.44-02189.86] 它不會違背我們國家的
[02189.86-02191.50] 这样的一个总体的方针
[02191.50-02193.86] 所以在这里我国的搞的台地区
[02193.86-02195.78] 它是用于本地区的形状
[02195.78-02196.90] 这是第二个
[02196.90-02197.54] 第三个呢
[02197.54-02200.82] 就是民族自治区的人大根据本民族的特点
[02200.82-02203.06] 针对形法部分做出的什么
[02203.06-02204.90] 做出的变通或补充规定
[02204.90-02209.46] 那就用于人家少数民族地区的变通直性规定就行了
[02209.46-02211.10] 所以第三种情况在旁标者一下
[02211.10-02215.50] 就是民族自治区的人大
[02218.58-02219.58] 根据
[02219.86-02222.86] 本民族特点
[02225.86-02227.86] 制定的
[02231.86-02233.86] 制定的 变通
[02236.86-02238.86] 或者是补充规定
[02242.86-02243.86] 这种情况之下
[02243.86-02245.86] 这种稍稍民族的特点
[02245.86-02247.86] 我们就要居于民族
[02247.86-02250.86] 他的一个西俗或者是一个特性的考量
[02250.86-02252.86] 这个时候也不是用于什么
[02252.86-02253.86] 也不是用于我们所说的
[02253.86-02255.86] 我们所出台的这个形犯
[02255.86-02258.86] 这个它是对于我们所说以出台形犯的这种变通规定
[02258.86-02260.86] 所以大家注意一下就是少数民族地区
[02260.86-02262.86] 它可能会出现特势特班的情况
[02262.86-02264.86] 所以在这里面一共是三个细节
[02264.86-02265.86] 这三个细节放在一块
[02265.86-02268.86] 这种于出理解形的体目
[02268.86-02269.86] 我们就能够变息
[02269.86-02271.86] 我国里有予内犯罪的
[02271.86-02274.86] 但是有关下权数帝管下的离外
[02274.86-02277.54] 所以大家注意这是第一个叫做数订原则
[02277.54-02280.54] 就是本身上原则上在我的地盘听我的
[02280.54-02282.54] 那什么算是我的地盘呢
[02282.54-02286.10] 我国领域内你在我地盘上的什么行为我能管呢
[02286.10-02288.34] 要么是犯罪行为犯罪我地盘了
[02288.34-02291.42] 要么是犯罪的实害结果犯罪我的地盘了
[02291.42-02294.34] 那这个时候就要听我的那是用数订管下
[02294.34-02295.82] 那有没有例外有
[02295.82-02299.02] 小外交权高台以及少数民族地区的变通之行
[02299.02-02300.06] 可能会有例外
[02300.06-02303.66] 这是第一个叫做数订管下原则在我的地盘听我的
[02303.66-02305.46] 那现在如果不是我的地坛
[02305.46-02306.74] 在我的地坛之外了
[02306.74-02308.26] 这个时候就可能是在
[02308.26-02310.06] 我国的境外
[02310.06-02312.38] 我们所说的往西了说是境外
[02312.38-02314.86] 如果隆统的说的就是在我们国家的领域
[02314.86-02315.82] 放内之外
[02315.82-02318.30] 这个时候我们要使用的这叫做
[02318.30-02320.82] 数人管想保护管想以及什么
[02320.82-02322.86] 以及普遍管想权
[02322.86-02326.70] 在这里我们先来看一下第一个叫做数人管想
[02326.70-02328.22] 他是数人管想我们说了
[02328.22-02330.42] 大的原则都是在我们国家的领域外
[02330.42-02330.90] 对吧
[02330.90-02332.18] 在领域外犯罪的
[02332.18-02335.58] 針對我國公民在連約放摘的
[02335.58-02336.84] 我們香港的是
[02336.84-02339.18] 數人管下 把我公民話出來
[02340.44-02343.22] 說我公民在我國領埃犯罪的
[02343.22-02344.98] 是用我國形犯
[02344.98-02346.06] 就是一個點
[02346.06-02348.58] 就是生死我的人 死死我的鬼
[02348.58-02352.06] 對不對 所以這是我國公民在領埃犯罪
[02357.18-02359.66] 我國公民在領埃
[02362.18-02362.82] 犯罪的
[02362.82-02363.98] 那你是中国人
[02363.98-02364.86] 咱们就怎么样
[02364.86-02366.26] 就只定是有权管他
[02366.26-02367.62] 所以他针对的是什么
[02367.62-02368.82] 是我国公民
[02368.82-02370.82] 比如说中国公民在日本
[02370.82-02371.70] 对吧
[02371.70-02372.54] 杀人了
[02372.54-02374.74] 或者是中国公民在日本抢结了
[02374.74-02375.66] 那这种情况之下
[02375.66-02376.82] 他是中国的公民
[02376.82-02378.14] 我们又没有权管他
[02378.14-02379.06] 他的这个行为
[02379.06-02380.42] 是不是用于中国的行法
[02380.42-02381.18] 当然是用
[02381.18-02382.50] 所以这个最终什么
[02382.50-02383.22] 这个主要做
[02383.22-02384.54] 数人管想
[02384.54-02385.86] 就是伤死我的人
[02385.86-02386.82] 死死我的鬼
[02386.82-02387.30] 对吧
[02387.30-02388.26] 所以在这里面
[02388.26-02389.30] 大家一定要注意
[02389.30-02391.30] 这是数人管想原则
[02391.30-02392.30] 水冷管想要走
[02392.30-02393.26] 我就不写
[02393.26-02394.58] 生涉我的人死我的鬼
[02394.58-02396.42] 可能不太好
[02396.42-02397.86] 所以祝一下在这个地方
[02397.86-02399.34] 我只是给大家找中感觉
[02399.34-02401.54] 你就是把这个达替技巧记得旁边就行了
[02401.54-02402.50] 所以你要知道第一个
[02402.50-02404.58] 它针对的是我国的公民
[02404.58-02405.50] 我国陆公民
[02405.50-02406.70] 这是第一种情况
[02406.70-02408.70] 但是水冷管想会会存在一些
[02408.70-02409.62] 立外情况
[02409.62-02411.18] 也有可能存在一个立外情况
[02411.18-02413.50] 就是按照行法规定最高行动
[02413.50-02415.34] 换下3年以下的
[02415.34-02417.78] 可以怎么样可以不追究
[02417.78-02419.10] 大家注意在这里面
[02419.10-02420.90] 它强调的是可以不追究
[02420.90-02424.48] 那意味着也可以怎么样也可以追究
[02424.48-02427.40] 也可以追究所以犯清罪的可以不追究
[02427.40-02429.42] 但是大主要
[02429.42-02434.20] 我国的国家工作人员和居然在留意外犯罪的
[02434.20-02435.40] 適用我国刑法
[02435.40-02439.78] 这个地方大家注意下在旁标注是一律使用
[02440.90-02444.02] 这是原则上我国公民在经愿犯罪
[02444.02-02445.34] 他无论是犯核种罪
[02445.34-02446.70] 我们都有全去怎么样
