[00000.00-00002.60] 好的 那我们接着往下看
[00002.60-00008.20] 咱们讲完了自愿配方式 讲完了市场经济 那我们接下来来看一下第三个问题
[00008.20-00013.20] 是市场与市场体系 因为我们说了无论是什么样的经济
[00013.20-00018.68] 它在运行的时候 它都是要在市场当中运行的 那我们就来看很到底什么事
[00018.68-00023.56] 市场 那我们来看一下首先第一个就是市场的含义
[00023.56-00027.56] 他市场是交换关系的总合后面给到了
[01072.12-01072.80] 不花分
[01072.80-01074.60] 第二个对于对发言股票
[01074.60-01075.60] 不对发行
[01075.60-01076.44] 第三个
[01076.44-01077.88] 股东的有限责任
[01077.88-01078.92] 是一生为限
[01078.92-01079.96] 出资格的限
[01079.96-01080.72] 但大家注意下
[01080.72-01082.44] 这里是谁的有限责任
[01082.44-01083.40] 是股东
[01083.40-01085.16] 是你作为这个公司的
[01085.16-01087.32] 創始你做了一周公司的股東
[01087.32-01088.44] 你的責任是有限的
[01088.44-01090.48] 並不意味著公司的責任是有限的
[01090.48-01091.32] 要分開
[01091.32-01092.16] 所以大家注意下
[01092.16-01094.04] 叫股東一起出了位現成的
[01094.04-01094.80] 有現責任
[01094.80-01097.56] 這個就叫做有限責任公司
[01097.56-01098.48] 那還有一種公司
[01098.48-01100.80] 想的是叫股分有限公司
[01100.80-01101.72] 股分有限公司
[01101.72-01102.88] 資核性更強
[01102.88-01103.80] 也就是大家
[01103.80-01104.52] 你在一塊
[01104.52-01106.80] 不是因為大家之間的這種互相信任
[01106.80-01107.16] 也好
[01107.16-01108.68] 或者我看著你的人體
[01108.68-01109.88] 你的專業進行也好
[01109.88-01111.36] 我就是看中了你的錢
[01111.36-01113.08] 那如果只是單純的以前
[01113.08-01114.08] 在微扭戴的话呢
[01114.08-01115.24] 那就不需要那么麻烦
[01115.24-01116.96] 那想只是要看钱的话
[01116.96-01118.56] 那怎么样管理最方便呢
[01118.56-01119.72] 同时非常简单
[01119.72-01121.20] 如果只看钱的话
[01121.20-01123.92] 那最方便的管理方式就是
[01124.56-01126.56] 大家就按钱来算就行了
[01126.56-01128.04] 所以怎么样的管钱来算
[01128.04-01129.92] 来画分大家的收益和责任呢
[01129.92-01131.96] 那在这里面他就给到里种方式
[01131.96-01135.44] 就是把资本画分成落干的等核股份
[01135.44-01136.76] 那这有时候可以把资本
[01136.76-01138.32] 画上出热干等核股份的话
[01138.32-01139.32] 在这里就说了
[01139.32-01141.88] 股票对外可以公开发行
[01141.88-01147.06] 你找他钱,那你就能买,那这有时候大家注意下,股票是公开对外发行的
[01147.06-01148.86] 但他后面我就画大家注意啊
[01149.42-01160.52] 同样的,这个上显圈一,就显圈二,后面有句话大家注意,他说股东可以自由转让和前面一样,但是不能怎么样,不能退股,这个不能退股大家给他标注出来啊
[01161.22-01171.72] 股东是不能退股的,比如说大家注意啊,我们经常会在股票上到中去买股票,那万一就天天跟这新闻去买,你用买白酒,用买生物一样,然后用买这门门门门门的
[01171.88-01176.22] 那你買這些公司股票的時候你就成了這個公司的什麼
[01176.22-01178.46] 你就成了這個公司的股東
[01178.46-01180.06] 你會發現你買了這個股票
[01180.06-01180.84] 你今天不想賣
[01180.84-01181.86] 你今天不想要了
[01181.86-01184.22] 你覺得他長得差不多連給他拋手
[01184.22-01185.96] 你是不是可以幫你的股票賣出去
[01185.96-01188.26] 那這個就要做自由轉讓
[01188.26-01189.10] 但是你能不能說
[01189.10-01191.66] 我現在相信這個公司申請退過不醒
[01191.66-01192.50] 大家注意一下
[01192.50-01194.86] 股份有些公司是不允許退股的
[01194.86-01196.46] 不允許退股的原因是什麼呢
[01196.46-01199.02] 因為你給你買這個公司的股票
[01199.02-01200.76] 就相當於給這個公司怎麼樣
[01200.76-01202.16] 給這公司投資了
[01202.16-01204.04] 既然相當給這公司投資了
[01204.04-01206.40] 之後他的資本其實是增加的
[01206.40-01207.88] 你退股就因為這
[01207.88-01210.24] 你原本投入了這個公司的資本
[01210.24-01211.24] 你又拿回來了
[01211.24-01213.56] 對於這個公司來說是不資本減少
[01213.56-01214.84] 從某種程度上
[01214.84-01216.28] 意味著這公司在
[01216.28-01217.08] 剪資
[01217.08-01218.28] 如果一旦剪資的話
[01218.28-01219.96] 對他來說只能不是好事
[01219.96-01221.32] 他只能不能同意的
[01221.32-01222.80] 所以在這裡大家注意下
[01222.80-01223.84] 他可以轉讓
[01223.84-01224.92] 但是不能退股
[01224.92-01226.12] 這是一個小的細節
[01226.12-01227.56] 他如果在判案體當中說
[01227.56-01228.52] 可以退股
[01228.52-01230.40] 那種時候就是錯了
[01230.40-01232.18] 那股份有限公司的人数说例
[01232.18-01234.74] 他必须是两任以上两百人以下的发起人
[01234.74-01237.52] 那这里面我们会发现只要你拿钱
[01237.52-01239.14] 能够买到这个公司的股份
[01239.14-01240.76] 那你就是这个公司的股东
[01240.76-01243.08] 你就对于这个公司他的运行
[01243.08-01244.48] 享有一定的执政权
[01244.48-01246.28] 那就意味着这个公司里面的
[01246.28-01250.04] 所有招牡就必须对外公开保证股东的执政权
[01250.04-01250.36] 对吧
[01250.36-01251.66] 所以在这里大家注意一下
[01251.66-01252.82] 这是招牡堆公开
[01252.82-01254.46] 但这个点了解一下就行了
[01254.46-01257.02] 那我们说了叫股份有限公司的股东
[01257.02-01258.38] 承担的也是什么责任
[01258.38-01259.48] 也是有限责任
[01259.48-01261.16] 那它的有限責任是什麼呢
[01261.16-01262.08] 壞下這句話
[01262.08-01263.84] 叫骨東一起壞下
[01263.84-01265.88] 任構的骨份類限
[01265.88-01267.40] 承擔有限責任
[01267.40-01269.16] 和前面的出資格不同
[01269.16-01270.52] 有限責任公司是
[01270.52-01271.88] 你任角多少
[01271.88-01273.52] 那這個就叫做你的出資格
[01273.52-01275.68] 以你任角的出資格為限
[01275.68-01276.88] 承擔有限責任
[01276.88-01280.20] 而骨份有限公司是你任構的骨份類限
[01280.20-01281.00] 啥意思呢
[01281.00-01282.32] 你買了這個公司
[01282.32-01283.76] 兩萬塊錢都補票
[01283.76-01285.72] 你就成為了這個公司的骨東
[01285.72-01288.04] 那你對這個公司所承擔的責任
[01288.04-01292.00] 就是你任顾的两万块的股票给先承担责任
[01292.00-01297.00] 你有沒有看到哪个我们所说的股票公司股票公司去了
[01297.00-01299.56] 哪个股份有些公司他退市了之后
[01299.56-01302.00] 然后或者是我们朝收的上市公司吧
[01302.00-01303.32] 你看到哪个上市股市
[01303.32-01304.88] 他因为金不算退市了之后
[01304.88-01307.36] 因为发现他退市里的钱数就套老了
[01307.36-01308.76] 钱套老在里面
[01308.76-01310.76] 他不说爱入公司付在十个夜
[01310.76-01313.84] 然后就在全人就上到你的马上
[01313.84-01315.64] 算是你是不是是公司的股道
[01315.64-01316.36] 不说是
[01316.36-01317.84] 我当时买了他两个块钱股票
[01317.84-01319.54] 他说来他欠我们100个亿来你
[01319.54-01320.92] 拖一钥巴把这个钱还上
[01320.92-01322.18] 你们遇到这样的事
[01322.18-01323.08] 没有吗
[01323.08-01323.98] 大家注意一下
[01323.98-01325.78] 在这里面他为什么没有让你说
[01325.78-01327.58] 拖你的钥巴去还这公司
[01327.58-01329.26] 就是因为你做一公司的股东
[01329.26-01330.90] 以你任够的股份为限
[01330.90-01332.18] 承担有限责任
[01332.18-01333.20] 你任够两了
[01333.20-01334.94] 那你承担的责任就是两万
[01334.94-01335.90] 你已经很踩了
[01335.90-01337.04] 那股票已经被套勾了
[01337.04-01338.06] 他没有办法欠
[01338.06-01339.68] 来抓你要钱说来办来办
[01339.68-01340.06] 对吧
[01340.06-01341.50] 拖你要包华我这100个亿
[01341.50-01343.06] 那这太不人道
[01343.06-01343.30] 对吧
[01343.30-01345.22] 所以在这里他所说的这个有限
[01345.22-01345.88] 打住一下
[01345.88-01347.08] 你去任購的股份
[01347.08-01347.68] 沒限
[01347.68-01348.44] 那任購的股份
[01348.44-01349.48] 那這個呢
[01349.48-01350.68] 就是我們所說的
[01350.68-01352.68] 市場主體當中的
[01352.68-01354.58] 企業裡面的公司
[01354.58-01355.48] 只打住一下
[01355.48-01356.48] 誰花生為股
[01356.48-01358.36] 等而誰不花生為等而
[01358.36-01358.96] 誰可以
[01358.96-01359.88] 對發行股票
[01359.88-01361.28] 誰不對發行股票
[01361.28-01362.96] 他們的有限責任
[01362.96-01364.40] 到底是具體
[01364.40-01365.80] 什麼樣的形式的有限責任
[01365.80-01367.20] 這個點大量去分青
[01367.20-01369.68] 所以這是需要給大家去強調的
[01369.68-01370.88] 這個點在
[01370.88-01372.36] 有幾年考試的時候
[01372.36-01373.76] 考察的頻率很高
[01373.76-01376.96] 他一般請完之下的不太會以挖控的形容出現
[01376.96-01378.96] 他是以綜合形的方式出現的
[01378.96-01382.76] 就是以下關於有限責任公司和股費有限公司
[01382.76-01384.76] 說法正確或是錯誤的事
[01384.76-01386.06] 討案會這麼考
[01386.06-01390.08] 如果這麼考的話同一瞬就要深入去理解他的含意
[01390.08-01391.08] 好吧
[01391.08-01394.72] 這個就是有限責任公司和股費有限公司
[01394.72-01396.44] 這是我們在市場要素當中
[01396.44-01397.84] 給大家解決的第一個問題
[01397.84-01399.84] 就是市場的主體
[01399.84-01402.16] 那市場要素除了有主體之外
[01402.16-01407.40] 咱们还有课题 还有我们所说的行为以及他的市场规则
[01407.40-01408.52] 也就是市场秩序
[01408.52-01411.20] 那么就来看一下市场规则和市场秩序
[01411.20-01412.32] 看一下第二个点
[01412.32-01418.44] 他市场规则是参与市场活动的各方必须共同遵守的行为规则和行为规则
[01418.44-01420.80] 也就是想要保证市场的委屈运行
[01420.80-01422.64] 必须再给他设定一定的限制
[01422.64-01424.68] 你不限制他 那他可长开了玩
[01424.68-01427.60] 这时候市场秩序限制过无需的互论状态
[01427.60-01428.00] 对吧
[01428.00-01429.24] 所以这些市场规则
[01429.24-01433.40] 那市長規則一般是由政府或者是行業規定的
[01433.40-01434.36] 他後面也告訴了
[01434.36-01437.44] 包括市長準入市長競爭和市長交易
[01437.44-01438.08] 大家注意一下
[01438.08-01441.48] 這個地方考察一個一星級的理解行的點
[01441.48-01444.16] 不會直接考察說市長規則包括那些
[01444.16-01445.80] 而是會給你一個案例
[01445.80-01449.12] 然後問你他屬於市長規則當中的哪一個
[01449.12-01453.16] 所以在這裡面他考察的是理解行的題目居多
[01453.16-01454.80] 但是呢 可好的頻率
[01454.80-01456.68] 沒有之前的那些點那麼高
[01456.68-01460.40] 我们只能把他做一个一星期的支点掌握就可以了
[01460.40-01462.96] 我们来看一下在这里面所提到的
[01462.96-01466.00] 第1个点是尝准入规则
[01466.00-01467.94] 上准入规则说的是啥呢?
[01467.94-01471.84] 准入准入就是怎么样可以进入的意思
[01471.84-01475.84] 所以你只要看到了他在这里面涉制了准入的门卡
[01475.84-01478.88] 那他其实就是市场准入规则的体现
[01478.88-01480.48] 你比如说我们经常会提到
[01480.48-01483.44] 说你这个公司要是不能说公司上市
[01483.44-01484.44] 这个不用准确
[01484.44-01486.32] 比如说你这些产品小流市
[01486.32-01489.56] 你会想当中比如说现在你要吃点什么东西
[01489.56-01493.04] 那这个东西能到市场当中去自由流通自由买卖
[01493.04-01494.44] 你要看一下这个东西
[01494.44-01497.80] 它服务符合规定比如说你卖的这个鲜
[01497.80-01501.04] 那这个蝦它服务合实贫选检测的标准
[01501.04-01502.60] 你卖了这个猪肉
[01502.60-01503.84] 它能不能上市
[01503.84-01506.80] 它是不是要通过我们所说的这个检
[01506.80-01508.24] 这个叫什么叫检验
[01508.24-01509.52] 然后在那个上面给你
[01509.52-01511.28] 看一下在猪肉上看个葱
[01511.28-01512.28] 看个葱之后的说
[01512.28-01514.08] 这个猪肉通过检测了
[01514.08-01515.56] 然后就可以流入到市场了
[01515.56-01519.56] 那你看他给你设置的这种进入市场的形政许课
[01519.56-01520.68] 他属于什么
[01520.68-01522.68] 他属于市场准入规则
[01522.68-01526.84] 所以商准入规则就是哪些企业商品可以进入市场
[01526.84-01529.32] 如果企业注册达到一定数量的资本
[01529.32-01531.40] 那就是可以进入市场了
[01531.40-01534.28] 比如说是不是所有的企业都能去卖煙呢
[01534.52-01536.52] 那不行啊你不能说自己在那卖煙
[01536.52-01539.72] 所以你看煙草我们所说的中国煙草
[01539.72-01542.20] 或者你要卖煙你是要去的相似什么
[01542.20-01543.32] 许课正的
[01543.32-01546.46] 那你只有取得徐可證,你才能賣煙,對吧
[01546.46-01549.38] 那這個時候,你這個徐可證,他就屬於什麼?
[01549.38-01555.78] 市場準入規則,所以市場準入規則就看,他設定了這個東西,是不是進入市場的門檻
[01555.78-01559.54] 如果他可以設定了說你要達到什麼什麼程度,才能進入市場
[01559.54-01563.10] 他就叫做市場準入規則,大家注意一下這第一個
[01563.10-01569.28] 第二個,叫市場進入周規則,說進入規則,主要維護市場的,叫做公平競爭,
[01569.28-01571.52] 那这里面大家注意一下画一个点
[01571.52-01573.52] 就是防止不政当竞争
[01573.52-01576.08] 比如说常见的反不政当竞争反
[01577.48-01579.88] 反不政当竞争反
[01581.48-01584.00] 还有我们常见的什么 反鲁端反
[01584.76-01586.80] 前几年的时候反鲁端反案
[01586.80-01589.24] 它其实是一个经济学生的一个热点
[01589.24-01591.92] 大家知道就是在去年前年的时候
[01591.92-01594.28] 你发现很多的这种企业是被罚了
[01594.28-01596.40] 阿里巴巴被罚了1800个月
[01596.40-01599.48] 然后还有我们所说的新浪位国被罚了300多个业
[01599.48-01601.44] 那还有一些其他的企业都被罚了
[01601.44-01602.80] 他们被罚都原因是什么
[01602.80-01606.64] 就是因为他们在行业内部形成了某种程度的隆断
[01606.64-01608.88] 老是他们咋隆断的我咋没感觉到的
[01608.88-01612.28] 大注意啊这种隆断的就是没有让我们感觉到才是最可怕的
[01612.52-01615.08] 他其实是形成了一个产业料的一个优势
[01615.08-01616.88] 比如说我们就以阿里为利
[01616.88-01618.76] 你看阿里他是做电商的
[01618.76-01620.84] 然后支付保是他的支付平台
[01620.84-01624.44] 后拉里做的越来越大之后他就有收购了优酷视频
[01624.44-01624.72] 对吧
[01624.72-01626.26] 然后悠悟和土豆和病了
[01626.26-01630.10] 后来他就有了自己的视频的这样的一个平台
[01630.10-01631.70] 然后自己视频平台之后呢
[01631.70-01634.86] 你看有视线我们当中有他对吧
[01634.86-01636.20] 那最后那后面呢
[01636.20-01637.44] 他又开始干嘛呢
[01637.44-01640.08] 又去我们所说的去做这种恶了嘛
[01640.08-01642.08] 这样的一种外卖配送的这样的活动
[01642.08-01643.44] 那也是方面有他
[01643.44-01647.12] 他无形的浪漏的其实就形成了一个非常巨大的这样的一个戀条
[01647.12-01648.52] 那他这个戀条的形成
[01648.52-01649.44] 他的对面是谁呢
[01649.44-01651.24] 他对面就是消费者
[01651.24-01653.04] 所以他其实是在方法秘面当中
[01653.04-01656.16] 对我们的生活其实都已经采成了巨大推动作人
[01656.16-01657.52] 当时也采成了一些影响
[01657.52-01659.00] 这种影响就体现在你看
[01659.00-01664.08] 他当时他给入住天摸的这些商铺的这些生产者说什么
[01664.08-01666.12] 所以你这个东西如果在天摸关
[01666.12-01667.36] 你就不能再精录关
[01667.36-01670.12] 那你看我做一个怎么说呢
[01670.12-01671.16] 就是一个卖家
[01671.16-01672.76] 我选择你这个平台
[01672.76-01674.28] 那你就我选择你一个平台
[01674.28-01675.80] 其实我也给你交了平台费
[01675.80-01676.16] 对吧
[01676.16-01677.76] 那这个时候你就不应该都管我
[01677.76-01680.08] 我是不是在其他家平台上去上
[01680.08-01685.88] 那这里面当时的天帽就给这么联体搞了这么一个限制之你来我这人就不能去他的
[01685.88-01687.80] 那我不管不听你的吧
[01687.80-01689.18] 那我如果不听你的的话
[01689.18-01690.18] 那我这个怎么办
[01690.18-01691.88] 那这时候我就可能会有损失
[01691.88-01695.58] 因为天帽他当时是我们所说的是一个比较大的这样的一个
[01695.58-01696.88] 我们所说的这样一个平台吧
[01696.88-01697.68] 流量也很大
[01697.68-01698.88] 然后人数也很多
[01698.88-01701.58] 那我如果不听你的对我进行相当的这种限制
[01701.58-01703.48] 那我其实亏损了非常严重的
[01703.48-01704.98] 所以在这里面我们会发现
[01704.98-01707.08] 他们其实是某种程度上形成了路段
[01707.08-01711.42] 而他的这种冷卖并不变于我们所谓市场这些运行的主体
[01711.42-01712.96] 他们公平经常不公平
[01712.96-01714.12] 他都做大多强了
[01714.12-01716.50] 那他相对于我这种若是的人来说
[01716.50-01717.58] 其实是不公平的
[01717.58-01719.50] 所以在这里面我们就发现
[01719.50-01721.62] 反不知竟中反而反冷断
[01721.62-01724.74] 他其实就是市场竞争规则的一个体现
[01724.74-01726.78] 他就是维护市场什么公平的
[01726.78-01728.48] 那这个叫做竞争规则
[01728.48-01730.38] 那还有一些就是交易规则
[01730.38-01733.46] 那交易规则就是主要针对交易方式和行为做出的
[01733.46-01735.78] 所以交易必须要公开公平公正
[01735.78-01737.04] 不能强买强卖
[01737.04-01738.32] 不能起行霸事
[01738.32-01739.60] 不能强迫交易
[01739.60-01741.40] 这个就叫做交易规则
[01741.40-01742.92] 所以大家要注意一下
[01742.92-01744.92] 所以这是我们所说的指入规则
[01744.92-01747.04] 市场为则当中的三个
[01747.04-01748.82] 这三个大家理解
[01748.82-01750.36] 看到他
[01750.36-01752.66] 要知道他大概说的是啥意思
[01752.66-01753.68] 应该的翻过来
[01753.68-01755.22] 然后再往这上面去靠
[01755.22-01758.30] 这个就是我们所说的叫做市场规则
[01758.30-01759.58] 是很规则
[01759.58-01760.60] 这是我们所说的
[01760.60-01762.90] 第二个在市场过程要速当中
[01762.90-01764.18] 小辣去掌握的内容
[01764.44-01766.90] 那第三个就是在市场工程要自当中
[01766.90-01769.30] 小辣掌握的就要现代企业制度
[01769.30-01771.86] 我们刚才在解到市场主体当中说了
[01771.86-01774.42] 我们现在最常见的就是企业制
[01774.68-01778.86] 而这个企业制发展到今天就形成了一套晚上的现代企业制度
[01778.86-01780.30] 咱们来看一下怎么说的
[01780.82-01784.92] 可是现代企业制度是只以晚上的企业法人制度为基础
[01784.92-01787.74] 余有限责任制度也保障
[01787.74-01790.30] 以公司制企业为主要形势
[01790.30-01792.30] 以产权清息全责明确
[01792.30-01794.80] 正几分开科学管理为条件的新型制度
[01794.80-01796.94] 大家就知道现在情制度就是
[01796.94-01799.84] 非常先进和优秀的一种企业管理模式
[01799.84-01800.48] 就OK了
[01800.48-01804.00] 那这里面它其实有这么几个点
[01804.00-01805.00] 大家要注意一下
[01805.00-01805.90] 首先第一个呢
[01805.90-01807.92] 大家在这里标注一下圈一
[01807.92-01811.54] 说公司制企业为主要形势
[01811.54-01815.06] 現在企業自由它還是主要是也公司之為主
[01815.06-01816.34] 咱們剛才也說了
[01816.34-01820.06] 我們內三種企業行為當中最為朝年的就是公司之
[01820.06-01822.62] 所以現在企業制度依舊是以公司之為主
[01822.62-01823.22] 大家注意
[01823.22-01827.14] 這是第一個小大去做的實際的醫生級的執事店
[01827.14-01828.74] 那第二一個呢在這裡面
[01828.74-01829.82] 大家要注意一下
[01829.82-01832.26] 我們在這提到的現在企業制度
[01832.26-01834.82] 它其實有一個特徵把這個特徵
[01834.82-01835.62] 畫出來
[01835.62-01838.34] 這個特徵有這麼集中考察方式
[01838.34-01840.22] 第一種考察方式就是去問
[01840.22-01842.26] 说特征到底有哪些
[01842.26-01843.30] 这16个字
[01843.30-01845.14] 就需要大家去掌握的
[01845.14-01846.58] 第二种考察方式
[01846.58-01848.50] 就会考这些具体特征
[01848.50-01850.14] 它的一个地位
[01850.14-01851.70] 这两种考察
[01851.70-01853.34] 在之前的考试当中
[01853.34-01855.34] 都考察过
[01855.34-01856.14] 所以在这里面
[01856.14-01856.78] 大家注意一下
[01856.78-01858.50] 标注一个两星期的
[01858.50-01859.42] 指示点
[01859.42-01860.70] 要留两星期的指示点
[01860.70-01862.62] 我们来看一下在这里面
[01863.26-01864.10] 我们所说的
[01864.10-01866.26] 它的具体的内容包括哪些
[01866.26-01867.50] 什么第一个叫做
[01867.50-01868.94] 产权清晰
[01868.94-01887.84] 大注意,什么要产权呢?咱们前面说过,产权呢代表的就是,所有权,几期负取权益,说白了产权啊,就是说东西,规水所有。一个企业,想要运行下去,他就必须明确,那些规企业,那些责任规企业,那些义物规企业,那这个叫做产权信息啊。
[01887.84-01891.06] 产权如果滾同的话对其也来说并不是什么好事
[01891.06-01892.60] 为他举个简单的例子啊
[01892.60-01894.24] 不知道大家要没听过这个公司啊
[01894.24-01895.48] 就给建立保公司
[01897.12-01898.08] 建立保公司
[01898.08-01900.00] 建立保的创始人大家应该听过吧
[01900.00-01901.32] 叫做李京类
[01902.72-01903.96] 建立保就是那个
[01904.76-01906.84] 成色的那个小银拉贯尔的那种
[01906.84-01909.40] 就是有点成真口味的那个
[01909.40-01910.36] 就是那个眼料
[01910.36-01912.20] 它其实也是功能形形料的一种
[01912.20-01913.60] 它的这个创始人就李京类
[01913.60-01916.00] 李京也最开始创新建立保公司的时候
[01916.00-01917.90] 他最开始的时候想的是干什么
[01917.90-01919.84] 是搞中国人自己的影料企业
[01919.84-01922.40] 他当时想说世界放给Geneidoo
[01922.40-01924.20] 什么可不可乐和白事可乐了
[01924.20-01926.40] 他说中国也有自己的影料批排
[01926.40-01928.56] 他就说搞一个建立版的搞一个
[01928.56-01929.88] 就是叫做建立版
[01929.88-01931.92] 他当时去做了很多的市场调演
[01931.92-01934.20] 说中国要做自己的影料批排
[01934.20-01935.40] 主要做哪些呢
[01935.40-01936.80] 那他首先第一个就是说了
[01936.80-01939.08] 中国做自己的影料批排
[01939.08-01940.68] 那他首先第一个要做的
[01940.68-01943.88] 就是我们要看一下中国人想要和什么样的影料
[01943.88-01944.16] 对吧
[01944.16-01945.60] 所以他当时他说说什么呢
[01945.60-01947.00] 就做牛奶吧
[01947.00-01949.00] 希望人都喝牛奶喝的人高满达的
[01949.00-01950.36] 我们也搞牛奶了
[01950.36-01952.96] 但是他做了事要掉下去搞牛奶之后
[01952.96-01956.24] 我们就发现其实当时就有了梦牛很厉害
[01956.24-01959.80] 他想成牛奶的银片做不起来的话
[01959.80-01962.00] 我们就可以做一些其他的比如说
[01962.00-01963.80] 鲁酸军的类的
[01963.80-01965.52] 他就去做了事要掉眼
[01965.52-01967.24] 结果后来的人中卿后
[01967.24-01968.68] 就比他快了一步就了
[01968.68-01971.20] 他说我们还用富喝的那么复杂了
[01971.20-01972.00] 我不喝奶
[01972.00-01973.00] 也不喝那种麻烦
[01973.00-01975.00] 我们就喝的纯境一点
[01975.00-01976.00] 喝水不就行了
[01976.00-01978.00] 所以他也想搞一个宽圈水
[01978.00-01981.00] 结果中间后把娃娃的宽圈水的品牌给租策了
[01981.00-01983.00] 所以就相特意把他的路啊
[01983.00-01984.00] 不给他堵伤了
[01984.00-01987.00] 后来他说那这些都有人做了
[01987.00-01989.00] 那我就做一个他没做过的
[01989.00-01992.00] 他就想到说中午其实没有功能形影料的
[01992.00-01996.00] 所以他就搞了一个叫做建立宝的这样的功能形的一个音品
[01996.00-01997.00] 他也没有打什么广告
[01997.00-02000.00] 只会就是当时在我们所说的那年的
[02000.00-02006.56] 奥运会上,然后他就记住在奥运会赛场当中,他应该是拿到了入场的这种资格
[02006.56-02012.90] 后来的时候,就是电视台在产党的时候,不小心就有拍到他的建立宝的这个东西,
[02012.90-02017.66] 然后大家一看过天,都能出现在国际体上,那些建立宝应该还不错。
[02017.66-02024.04] 所以他没有打广告,但是记住那一次奥运会那个机会,他就一下子在全国派对之内,就做大作强了。
[02024.04-02026.28] 就可以说是风迷全中国。
[02026.28-02028.96] 他最开始的时候这个建立宝公司用创建
[02028.96-02030.44] 其实比较坎坷的
[02030.44-02033.08] 他最开始是在广东的
[02033.08-02035.28] 一个现成里面就做三水线
[02035.28-02036.72] 去开的这个建立宝公司
[02036.72-02038.36] 他当时开公司的时候
[02038.36-02039.84] 他也去游税其他人
[02039.84-02041.88] 就说我这个公司做的是
[02041.88-02044.48] 这个功能品的这种功能也料的这种
[02044.48-02046.68] 说阿姨后能够一定能做大座墙
[02046.68-02048.80] 他几个拉了很多投资没有人去理他
[02048.80-02049.84] 后来他就找到了谁
[02049.84-02050.84] 就找到了广
[02050.84-02052.60] 这个三水线的现政府
[02052.60-02053.72] 比如说跟现政府说
[02053.72-02054.92] 他能做怎么样怎么样
[02054.92-02058.46] 就会点像当年马云去电信部跟人工通的感觉是一样的
[02058.46-02060.26] 就是感觉大感觉是个风的
[02060.26-02061.56] 觉得这件事不能成
[02061.56-02062.68] 当时已经有所说
[02062.68-02064.08] 如果这件事一旦成了
[02064.08-02068.40] 我一定会共线多少的税收给咱们当地的现场
[02068.40-02069.72] 当时现任非听爱的
[02069.72-02070.28] 说
[02070.28-02072.00] 税收不是税收的不重要
[02072.00-02074.28] 主要是想帮一帮你们这些企业
[02074.28-02075.20] 也太难了
[02075.20-02077.12] 然后就跟这个理经里说说你回去等着
[02077.72-02078.76] 一个星期以后
[02078.76-02080.72] 我一定会让这个钱
[02080.72-02084.04] 就是进入到咱们的企业运行当中
[02084.04-02084.76] 我从回去了等着吧
[02084.76-02086.08] 结果果然一个先去之后
[02086.08-02087.60] 这个钱资金就到位了
[02087.60-02088.80] 朝子就开办起来了
[02088.80-02089.80] 黄黄的就开了
[02089.80-02091.08] 搞这种流水线的生产
[02091.08-02092.56] 这是接力稿公司拿到的
[02092.56-02094.80] 第一北第一北的这样的一个资金
[02094.80-02095.60] 那当然知道
[02095.60-02096.36] 那你看
[02096.36-02098.16] 接力稿运行起来之后
[02098.16-02099.92] 当时的理经量就接着这个
[02099.92-02101.04] 奥御会的这个事情
[02101.04-02101.92] 他就想说
[02101.92-02103.40] 我不想在这个现成里面
[02103.40-02104.56] 继续做这个公司了
[02104.56-02106.20] 因为在这个现成里做这个公司
[02106.20-02107.32] 他其实没有什么
[02107.32-02108.84] 就是更大的前途的
[02108.84-02110.40] 所以他想把他的这公司
[02110.40-02111.16] 千盗的去
[02111.16-02112.44] 他其实想把他的公司
[02112.44-02113.98] 牽到深圳市區
[02114.24-02117.30] 但是想到牽到深圳市
[02117.56-02118.84] 它就可能會遇到一個問題
[02119.10-02121.14] 當地政府讓它走的問題
[02121.40-02122.68] 當時李經委就想說
[02122.94-02124.22] 政府只能讓它走的
[02124.72-02126.26] 它就去到了山旅陷阱府
[02126.52-02127.28] 跟當地的人
[02127.54-02129.08] 政府的工業商量流程
[02129.34-02130.62] 說它要牽走了
[02130.88-02131.64] 當政府人就說
[02131.90-02133.18] 說你怎麼那麼多錢錢走
[02133.44-02135.74] 大家都知道這個傾輪一旦從現成牽入去的話
[02136.24-02137.78] 當地的一個支付性的傾言
[02138.04-02140.34] 當地政府一定不讓它走的
[02140.60-02141.62] 當時李經委
[02141.62-02145.66] 就跟政府的這些人員就產生了一些摩擦
[02145.66-02146.86] 然後產生摩擦之後呢
[02146.86-02148.58] 這已經委屈後就破壞了一句話說
[02148.58-02150.38] 你不讓我走 我也只能要走
[02150.38-02151.52] 因為這個公司
[02151.52-02153.34] 他在工商局登記的時候
[02153.34-02156.10] 他的所有人寫了是我的名字
[02156.10-02158.46] 就說明了這個企業是歸我所有
[02158.46-02159.38] 政府就說
[02159.38-02160.82] 說怎麼可能歸你自己所有呢
[02160.82-02163.18] 當時企業運行入住的地幣錢
[02163.18-02164.46] 是政府拿的錢
[02164.46-02165.22] 那就說白了
[02165.22-02166.54] 他是政府騎下的
[02166.54-02168.82] 我們所說到公佈知道這樣的一種企業模式
[02168.82-02170.26] 那這時候是不是就撤皮了
[02170.26-02172.30] 这个公司到底是规理几位更人所有
[02172.30-02174.86] 还是规理我们所说的三只线政府
[02174.86-02176.42] 直下的一个关务之企业
[02176.42-02177.38] 说不清了
[02177.38-02178.18] 这个就要什么
[02178.18-02180.34] 我们这个就要做产权混头
