[00000.00-00003.28] 同一们好 欢迎大家来学习今天的内容
[00003.28-00008.52] 我是权威老师 那今天我们要给大家去讲解的是经济学当中的第三个
[00008.52-00011.08] 大的板块就是红官经济学
[01199.46-01201.22] 我们之前其实能够看到
[01201.22-01203.78] 咱們就舉近幾年的這個例子
[01203.78-01205.06] 比如說應該是在去年
[01205.06-01205.96] 還在去年
[01205.96-01206.90] 就是在去年的時候
[01206.90-01208.66] 我刷到過一個視頻
[01208.66-01212.22] 當時我們所說的美國
[01212.22-01214.82] 他製裁其他國家的經濟
[01214.82-01217.10] 當時就針對於一個南非的國家
[01217.10-01218.06] 去進行經濟制裁
[01218.06-01220.86] 因為南非的國家支持中國的發展政策
[01220.86-01222.46] 反正只要支持中國的
[01222.46-01224.38] 就是和他老美做對了
[01224.38-01225.98] 所以他當時制裁那國家
[01225.98-01227.98] 制裁那國家採取的方式是什麼呢
[01227.98-01230.22] 就是那國家是聖產咖啡度了
[01230.22-01234.56] 所以他就是限制他的咖啡豆的这样的一个对于苏处和贸易
[01234.56-01238.62] 有些美国也不从这个国家去引进香港的咖啡豆了
[01238.62-01240.96] 当时就在网上有这么一个事
[01240.96-01245.92] 就是说当时那个国家住中国的10.000管有一个代表
[01245.92-01251.22] 然后他其实想希望就是中国的消费者来帮一帮他们买一买他们的咖啡豆
[01251.22-01253.78] 就解解他的这个然那一支节
[01253.78-01257.34] 当时他比了这个理念就是中国的消费者们等买多少
[01257.34-01260.14] 很多手对吧 咱其实他也不是强制的
[01260.14-01261.98] 就要咱们一定去买他就东西
[01261.98-01263.74] 后来他就跟大家学中文
[01263.74-01266.74] 然后拿了一夜直标的各种各样的批演
[01266.74-01269.74] 然后就开始去想在直播上面
[01270.30-01271.98] 去大家照那个指读
[01271.98-01273.34] 来表示他的那个成异
[01273.34-01276.14] 但是当时让他想象不到的是什么
[01276.14-01278.78] 就是这开始的时候主持人刚开始介绍
[01278.78-01280.34] 这场直播的意义和目的时候
[01280.34-01283.34] 很多的咱们的这个中国朋友们
[01283.34-01285.58] 就是咱们的这个当地人 保民们
[01285.58-01287.12] 然后又进入到直播间了
[01287.12-01288.90] 一听那个主持人
[01288.90-01289.92] 就这么一说
[01289.92-01291.06] 说主要是帮他们
[01291.06-01292.14] 因为他们收到了什么什么
[01292.14-01293.26] 哪个国家制裁
[01293.26-01296.34] 然后当时咱们的网友们就是说了说
[01296.34-01298.30] 行了说那个你也不用讲了
[01298.30-01299.98] 大家就开始自行的去购买了
[01299.98-01301.74] 结果就是让他想象不到的是
[01301.74-01302.78] 十几分钟
[01302.78-01305.54] 就是当时跨的直播间里面的所有的
[01305.54-01306.58] 凯图的练节
[01306.58-01307.94] 结定在十几分钟
[01307.94-01309.86] 全部都已经被买光了
[01309.86-01312.46] 用带以后来形容就是说洗鲜一空
[01312.46-01315.10] 然后当时我那个老铁都经单了
[01315.10-01316.98] 就是他那个狗子还都没有念
[01316.98-01318.30] 但是咖啡豆已经没了
[01318.30-01319.70] 然后大家就在下面那个
[01319.70-01321.10] 平红论区当中就留言
[01321.10-01322.66] 分分制的在留言说啥的时候
[01322.66-01324.34] 好大有请下一位代表
[01324.34-01326.42] 那你看当时的从这个故事里面
[01326.42-01327.70] 虽然能够看得出来
[01327.70-01330.38] 就是我们的这种国际的原住也好
[01330.38-01332.18] 然后中国网民的这种正义感也好
[01332.18-01334.50] 但是其实它从测面上反出了一个问题
[01334.50-01336.54] 就是咱们国家的消费能力非常小
[01336.54-01338.54] 这就是为什么自己疫情之后
[01338.54-01339.74] 或者在疫情之前
[01339.74-01342.22] 其实我们就已经开始有这样的一个方向了
[01342.22-01343.74] 就在国家经济发展到
[01343.74-01348.82] 我们提到了叫国内大型怀为主体国内型怀其实体验就是消费历史
[01348.82-01352.58] 于是你千搞万搞,我们都不如说一口中国的市场
[01352.58-01355.46] 因为中国有全世界最大的消费市场对吧
[01355.46-01359.06] 所以我们所说的消费和投资被称的位叫做内需
[01359.06-01365.34] 那国内大型怀为主体一靠国际的国家经济发展的内生动力可以触电经济的发展
[01365.34-01368.94] 但同时我们也有什么外需,那外需就是出口
[01368.94-01370.62] 所以在这里面大家一定要注意
[01370.62-01373.70] 他结合实政考察也好结合政策考察也好
[01373.70-01375.50] 你一定要定为到内需和外需
[01375.50-01379.62] 他到底指的是什么这个地方一定要注意
[01380.22-01382.50] 他在2020年的时候考卫一个题目
[01382.50-01383.94] 在这块非常简单
[01383.94-01385.10] 那是考题目说
[01385.10-01389.30] 以下能够促进国家经济增长的事
[01389.30-01391.42] 然后他这里面给到了一个说
[01391.42-01394.78] A选项说什么共级测级欧性改革
[01394.78-01396.82] 然后说了共亿测级欧性改革
[01396.82-01399.62] 他能够他是从需求端解决了
[01399.62-01401.10] 我们所说的新军庄长问题
[01401.34-01403.46] 当时很多同意看到江文体就蒙了
[01403.66-01406.86] 共产酒精改革从需求端解决了中国经济庄长的问题
[01407.30-01408.74] 那只简直是胡说八道嘛
[01408.90-01411.98] 共产酒精改革共产解决了是生产者
[01412.10-01413.90] 需求需求解决了是消费者
[01414.02-01415.62] 这完全是两个概念 对吧
[01415.78-01418.30] 所以你一定要记得需求的对应端是共产
[01418.30-01419.98] 而需求自身分仇
[01420.10-01423.42] 内需和外需而内需有投责和消费
[01423.54-01425.50] 也就是他这个地方在去考试的时候
[01425.78-01427.10] 结合一些政策
[01427.10-01429.46] 玩一些概念上的文字遊戲
[01429.46-01431.86] 咱在這一定能給它去溫開
[01431.86-01435.42] 那這個是我們所說的叫做經濟增長
[01435.42-01436.74] 經濟增長的喊一
[01436.74-01437.74] 咱在這就搞定了
[01437.74-01439.46] 所以喊一共三個考點
[01439.46-01442.22] 就是經營增長和發展之間的區別
[01442.22-01444.38] 第二個經營增長的類型
[01444.38-01446.56] 第三個就是拉動經濟
[01446.56-01447.34] 三架買車
[01447.34-01449.34] 它有實正相結和玩文字遊戲
[01449.34-01451.14] 咱們能夠給它搞清楚
[01451.14-01454.06] 那這個是經濟增長
[01454.06-01456.02] 那了解了什麼是經營增長之後呢
[01456.02-01457.82] 接下来看一下第二个点
[01457.82-01459.10] 我们刚才说了
[01459.10-01461.26] 经济增长它必须要可量化
[01461.26-01462.94] 就是不能你说咋的就咋地
[01462.94-01463.90] 那你红口白呀
[01463.90-01464.94] 你给我乱吹后
[01464.94-01467.02] 我也不知道你经济到去咋还是没咋
[01467.02-01468.82] 所以经济增长它一定要有
[01468.82-01470.94] 非常明确的红量指标
[01470.94-01473.94] 这个红量指标就是两个概念
[01473.94-01476.10] 叫做GDP和金批
[01476.10-01477.86] 这两个概念大住一下
[01477.86-01479.90] 最重要的其实是GDP
[01479.90-01481.46] 而金批在考试的时候
[01481.46-01483.62] 往往会合我们所说的什么呢
[01483.62-01487.46] 往后个基地批形成考察 形成对比考察
[01487.72-01490.02] 我们先来看一下 基地批和晶批是什么
[01490.02-01494.88] 首先 第一个 同样知道就是 基地批是国内生产总值
[01494.88-01497.96] 而晶批 它强调的是国民生产总值
[01497.96-01502.82] 但无论是基地批还是晶批 同时在旁标主一下 他都可以红凉
[01503.34-01508.20] 在旁边 都可以红凉一个国家的
[01508.20-01519.10] 财富情况,一个国家的财富情况,经济增长情况。
[01519.10-01531.10] 也可以红量一个国家的什么呢?真实经济情况,反正它就是红量国家经济实力的真实经济情况。
[01531.10-01535.28] 这个是GDP和金屁
[01535.28-01536.54] 它存在的一个意义
[01536.54-01538.14] 这个点同一标主一下
[01538.14-01541.34] 它考的一般形态就是一个选项
[01541.34-01543.58] 或者是做一个判论体出现
[01543.58-01545.02] 它不会单独在这
[01545.02-01546.22] 是一个题目
[01546.22-01547.58] 它就不会在我刚才写的
[01547.58-01548.42] 这句话这个地方
[01548.42-01549.22] 单独是一个题目
[01549.22-01550.82] 反而就会把它变成一个选项
[01550.82-01552.02] 同一标主义
[01552.02-01553.74] 这是GDP和金屁
[01553.74-01554.90] 它的一个作用
[01554.90-01557.02] 我们就来看一下到底什么是GDP
[01557.02-01558.18] 什么是金屁
[01558.18-01559.02] 这里说了
[01559.02-01562.34] 他說基地屏稱這位叫國內生產總值
[01562.34-01563.54] 說打說的
[01563.54-01565.58] 說指的是經濟社會
[01565.58-01567.34] 在一定實際內
[01567.34-01569.38] 運用生產要素所生產的
[01569.38-01572.06] 全部最終產品的市場價值
[01572.06-01573.26] 叫做基地屏
[01573.26-01575.74] 所以我們如果從概念上來去看的話
[01575.74-01576.70] 所謂的基地屏
[01576.70-01579.10] 就是在一個國家的內部
[01579.10-01580.86] 你只要去進行了生產
[01580.86-01582.66] 你只要有產品的產出
[01582.66-01584.42] 我把這些產品的產出
[01584.42-01585.82] 全都換成錢
[01585.82-01587.58] 然後看一下這個數值是多少
[01587.58-01591.90] 那我最终究得出来叫做GDP的什么GDP的这样的一个总值
[01591.90-01594.50] 这个就叫做国内生产总值
[01594.50-01597.82] 所以用案例来解释的话就是假设
[01597.82-01602.50] 就在中国地区生产了100个包子
[01602.50-01604.74] 假设一年就产出了100个包子
[01604.74-01608.06] 我就把这100个包子变换成市场的价格
[01608.06-01609.02] 然后我就说了
[01609.02-01610.30] 那今年的GDP
[01610.30-01613.42] 他就是100个包子的价格所提前出来了
[01613.42-01614.66] 假设一个包子实话钱
[01614.66-01616.38] 100个包子就是1000块
[01616.38-01619.86] 这个一千块就是GDP的数值
[01619.86-01622.02] 比较做国内生产总值
[01622.02-01624.74] 但这个我们只是在红官上去了解了
[01624.74-01627.46] 国内生产总值它大概是一个什么样的概念
[01627.46-01629.58] 但是大家注意一下这个点
[01629.58-01632.94] 它不单单向我刚才所说的指措红官上去了解它
[01632.94-01637.62] 它是一个非常做的两星期的理解型的点出帖的地方
[01637.62-01639.02] 要么它就会考
[01639.02-01641.38] 说以下能够记录GDP的事
[01641.38-01643.34] 这有时候考据体的案例
[01643.34-01645.18] 问你能不能记录到GDP
[01645.18-01647.78] 哪一个行为对于GDP的影响很大
[01647.78-01650.56] 要么就是考察对于这个概念的理解
[01651.68-01652.96] 不考你具体的案例
[01652.96-01655.54] 就是说关于GDP说法错误的事
[01655.54-01658.78] 或者关于GDP和金屁说法正确或错误的事
[01658.78-01660.22] 这是考察他的理解
[01660.22-01663.90] 所以在这里面我们就要把GDP的这个概念给他拆分开
[01663.90-01666.54] 所以我在这里也给大家说了一个笔记专区
[01666.54-01668.54] 咱们一起来拆分一下
[01668.78-01669.82] 那么来看一下
[01669.82-01671.66] 那GDP到底怎么去拆分呢
[01671.66-01673.10] 首先第一个GDP
[01673.10-01675.10] 我们说了国内生产总值吗
[01675.10-01677.38] 要红量一个国家的经济发展情况
[01677.38-01679.34] 那你红量这个国家经济发展情况
[01679.34-01680.78] 你从什么时候开始红量呢
[01680.78-01682.58] 你不能从我们所说的
[01682.58-01684.70] 盘谷开心PD的那个时候开始红量吧
[01684.70-01686.78] 那你这是开玩笑对吧
[01686.78-01689.22] 所以红量一个国家的经济发展情况
[01689.22-01691.02] 要先借定它的什么反来
[01691.02-01694.22] 要先借对它的时间和空间的反来
[01694.22-01696.30] 所以你看在书上出现给的低峇话
[01696.30-01697.10] 说
[01697.10-01699.46] 鸡力批指的是经济社会
[01699.46-01703.46] 而且把它标记在旁边
[01703.46-01705.26] 说继续批指的是经济社会
[01705.26-01709.46] 输上给的叫做一国或者是一地区
[01709.46-01712.46] 在这里面其实就接定了什么
[01712.46-01714.46] 在这里面其实就接定了
[01714.46-01717.46] 我们所说的继续它很良的空间犯人
[01717.46-01719.46] 你说一个国家的生产状况
[01719.46-01722.46] 它把哪些地方的这些经济发展情况
[01722.46-01724.46] 那入到这个国家的继续很良当中
[01724.46-01727.46] 你不能说我把日本导也换进来
[01727.46-01731.18] 對吧雖然我們知道那個蛋藍之地
[01731.18-01732.50] 在以前的情朝
[01732.50-01733.78] 它可能是歸屬於中國的
[01733.78-01736.42] 但是我們現在從國際法的角落來看
[01736.42-01737.54] 是不能把它納入了
[01737.54-01739.10] 我們國家的計算範圍的
[01739.10-01741.18] 所以你說你紅量一個國家機器
[01741.18-01742.18] 不能罵無編譯
[01742.18-01744.10] 一把整個宇宙都拿進來不行
[01744.10-01744.78] 所以我們說了
[01744.78-01746.18] 機器的很量是一國
[01746.18-01748.06] 或一地區的
[01748.06-01749.66] 我們所說的這樣一個經總量
[01749.66-01751.34] 那它的這個一國後一地區
[01751.34-01753.70] 其實借定了是它很量的空間範圍
[01753.70-01755.10] 過而我們在這裡面
[01755.10-01756.66] 等出來一個結論
[01756.66-01757.86] 说我们所说的
[01757.86-01759.72] GDP它其实是一个
[01759.72-01761.26] 搜射给到的那个叫做
[01761.26-01762.36] 地域概念
[01764.46-01765.94] GDP给到的是
[01765.94-01767.16] 地域概念
[01770.74-01772.06] 地域概念是什么意思呢
[01772.06-01773.26] 地域概念意思就是
[01773.26-01775.34] 只看地区不看国际
[01778.18-01781.26] 只看地区不看国际
[01781.26-01782.46] 把它写在旁边
[01782.46-01784.26] 这个地方在考试的时候
[01784.26-01786.06] 会有两种考察方式
[01786.06-01792.06] 第一种考察方式就是让你去红凉一下哪些可以记录
[01792.06-01796.06] 这个地区的GDP当中就问你口课记记记P
[01796.06-01798.06] 这个时候你要只看地区不看过几
[01798.06-01802.06] 第二个是和我们所说的另外一个概念就是
[01802.06-01805.06] GNP对比去考察
[01805.06-01807.06] 因为GNP正好和GNP相反
[01807.06-01810.06] GNP是只看国籍不看地区
[01810.06-01814.06] 所以这里方在考察的时候的网友就是会有这两种考察方式
[01814.06-01816.62] 那什么叫做只探地区不看国际呢
[01816.62-01823.02] 就只要是你在中国境遇内或者中国领域内搞的这种产出
[01823.02-01825.26] 即所产生的这些产值
[01825.26-01827.18] 那你只要是在中国干活
[01827.18-01828.90] 只要是在中国创造的产富
[01828.90-01832.50] 我不管你是哪个国家的人在我的地坛就在听我的
[01832.50-01834.30] 比如说你现在是一个德国人
[01834.30-01836.02] 你在中国开了一个工厂
[01836.02-01838.06] 然后在2020年的时候
[01838.06-01841.62] 你就工厂创造了2百亿的这种产品的这种产出值
[01841.62-01844.44] 那你看这两百一就入到哪个国家的GDP里面
[01844.44-01848.58] 那怕你是德国企业 那也要进入到什么中国的GDP里面
[01848.58-01854.76] 因为GDPGDP很亮的是一个国家或一个地区在这个范围之内它的产作
[01854.76-01856.82] 只要是这个国家和这个地区的
[01856.82-01859.78] 你别管他是那人 他只要是在中国产的
[01859.78-01864.02] 那的重情况之下就进入到什么就进入到中国的GDP当中
[01864.02-01866.70] 所以在这里面我才说了GDP他是一个什么概念
[01866.70-01868.20] 他是一个地域概念
[01868.20-01870.10] 你要能够去变息他是啥意思
[01870.10-01873.90] 就越來越地坊地區不看國際
[01873.90-01876.50] 這是第一個就個界定了它的空間範囲
[01876.50-01878.30] 那麼說了界定了空間範囲之後
[01878.30-01879.90] 我們還要重量一下時間
[01879.90-01881.30] 因為我不能說你從盤點
[01881.30-01882.90] 盤股看電筆地坑算
[01882.90-01884.30] 然後你的GDP就算到什麼
[01884.30-01885.90] 算到中華民族有大附型
[01885.90-01887.10] 那你覺得合理嗎
[01887.10-01888.10] 只能不合理
[01888.10-01888.30] 對吧
[01888.30-01890.90] 所以你看書上的概念當中給到
[01890.90-01893.30] 說是一國或一地區在
[01893.30-01895.30] 一定是時期內
[01895.30-01901.90] 就在一定十七內運用生才要所生才的
[01901.90-01903.70] 所以一定十七就寄定了
[01903.70-01905.50] 寄定P紅糧的什麼範圍
[01905.50-01908.10] 寄定了他紅糧的十間範圍
[01908.10-01910.70] 有了時間和空間
[01910.70-01912.10] 其實就有了我們所說的
[01912.10-01915.90] 做標把整個這個時間點就給他所定了
[01915.90-01919.70] 所以在這裡面他就紅糧了他的一個時間範圍
[01919.70-01921.90] 但在這裡面其實有一個考點在
[01921.90-01922.70] 我們看一下
[01922.70-01928.08] 我们说了,几个衡量是在一定实期内的,我们所说的市场价值
[01928.08-01933.70] 在这一定实期内,床们想一下中国的财富值,它是不是一遍不遍的呢?
[01933.70-01938.44] 比如说从2020-23年的1月1号到2020-23年的12月31号
[01938.44-01940.80] 它的数值,会是固定不遍的嘛?
[01940.80-01942.30] 指定不是固定不遍的
[01942.30-01945.98] 是从1月1号开始,我们窮窮,康这连到稿头
[01945.98-01949.32] 然后把那个企业的电扎一拉,我们窮窮稿稿生产了
[01949.32-01951.70] 一直生产到12月31号
[01951.70-01954.22] 在这一个我们所说的范围之内
[01954.22-01956.84] 纪力皮它一定是一个不断的增加的量
[01956.84-01959.62] 但是你有增加你就有什么又产出
[01959.62-01961.78] 就是这边一边产就到纪皮了
[01961.78-01963.18] 那边还一边怎么样
[01963.18-01964.62] 在修好这样的一个财富
[01964.62-01966.34] 所以在这里面我们能看到出来
[01966.34-01967.70] 在一定时期内
[01967.70-01971.42] 纪力皮它的数值是发生变化的一个什么量
[01971.42-01973.18] 一个变动的量
[01973.18-01975.34] 那我们把这种变动的量称为召什么
[01975.34-01976.50] 称为召作流量
[01976.50-01979.34] 所以我们认为纪力皮它是一个流量概念
[01981.70-01984.70] GP他是一個流量概念
[01984.70-01987.70] 因為和他相對的點叫什麼叫做純量概念
[01987.70-01990.70] 而在考試的時候有的時候就給到一個選項
[01990.70-01992.70] 說GP他是一個純量概念
[01992.70-01993.70] 證實話對不對
[01993.70-01994.70] 不對大家注意一下
[01994.70-01996.70] GP他是一個流量
[01996.70-01998.70] 什麼叫流量不是流量明星
[01998.70-02000.70] 流量流量只得是流進和流出
[02000.70-02002.70] 也就是在一個時間段內
[02002.70-02005.70] 我們所說的GP他是一個流動變化的量
[02005.70-02007.70] 它有流進就會有流出
[02007.70-02010.70] 因為時間段內他就不可能是一個固定不變的
[02010.70-02012.66] 所以时间段对应的是流量
[02012.66-02014.18] 什么时候对应的是存料呢
[02014.18-02017.06] 是时间点对应的是存量概念
[02017.06-02018.18] 那大家注意一下
[02018.18-02019.66] 这是我们所说的叫做
[02019.66-02022.18] 一国会一定去在一定时期内
[02022.18-02023.74] 这个第二个要素
[02023.74-02024.86] 那苏产来说了
[02024.86-02027.54] 说在一定时期内干嘛呢
[02027.54-02030.98] 运用生产要素所生产的
[02030.98-02032.06] 在这里面出现了
[02032.06-02033.98] 第三个非常重要的点
[02033.98-02035.46] 我再直接给他标注出来
[02035.46-02038.42] 这是叫做运用生产要素所生产的
[02038.42-02041.02] 观念此在什么呢,在于生产
[02042.52-02044.82] 叫做运用生产要素所生产的
[02045.08-02047.12] 什么叫做运用生产要素所生产的呢?
[02047.38-02049.94] 其实在这里面就确定了这么几个考点
[02050.20-02054.04] 所以第一个,他既然强调运生产要素所生产的,那就意味着
[02054.30-02056.34] 我们所说的基地P,他是一个什么?
[02056.60-02058.90] 他是很良的是生产行为
[02062.48-02064.02] 很良的是生产行为
[02064.28-02067.86] 也就是我们从某种程度来说,他是一个生产概念
[02067.86-02071.86] 那就意味着只要是你在这一个范围当中
[02071.86-02072.86] 你有产出了
[02072.86-02074.36] 你只要把东西生上出来了
[02074.36-02076.36] 他能够在市场做孤架了
[02076.36-02077.86] 我不管你卖为卖出去
[02077.86-02079.36] 你只要是产出来了
[02079.36-02080.86] 我们就把他进入到什么
[02080.86-02084.36] 就把他进入到GDP当中来
[02084.36-02086.36] 所以在这里面我们所说的生产
[02086.36-02088.86] 他其实很良的是一个生产行为
[02088.86-02090.36] 或者我们可以从某种城市认为
[02090.36-02092.36] 他是一个产出的概念
[02092.36-02094.86] 只要你生产出来了
[02094.86-02096.36] 我不管你有卖出去
[02096.36-02097.96] 他都可以进入到什么
[02097.96-02099.60] 基地批当中去
[02099.60-02101.00] 所以在这里面大住一样
[02101.00-02102.24] 他好像要生产行为
[02102.24-02103.72] 他有销售行为
[02103.72-02104.40] 武关
[02104.40-02108.00] 在这里面他就会出一个理解行的题目
[02108.00-02108.84] 比如说在这里
[02108.84-02110.20] 他怎么去出理人题目呢
[02110.20-02110.92] 大家注意一下
[02110.92-02113.48] 首先第一个只要产出就进入基地批
[02113.48-02115.92] 所以与销售行为武关
[02118.92-02120.64] 所以与销售行为
[02120.64-02121.76] 是武关的
[02121.76-02122.96] 我举个简单的例子
[02122.96-02123.96] 我把它写在这
[02123.96-02124.72] 假设呢
[02124.72-02125.96] 2020
[02125.96-02132.86] 2020年,A企业呢,他在进行生产的过程当中,他产出了价值100万的产品。
[02132.86-02138.12] 但是在2020年,A企业这价值100万的产品,只有80万卖出去了。
[02138.12-02155.40] 剩下的20万,流作库存了,然后他这个时候他都问,那说呢,在这里面,2020年A企业的基地体身,80万算还是100万算,用不说了,所谓的基地体,他就用生产要素所生产的,只要产出来,他就算了基地体的数值了。
[02155.40-02158.08] 所以在这里面和销售了多少没有关系
[02158.08-02159.60] 产多少算多少
[02159.60-02160.76] 产出100万
[02160.76-02161.64] 居然多少算
[02161.64-02162.84] 居然100万算
[02162.84-02165.12] 所以你看一下书上它如果给你说了
[02165.12-02166.52] 说了一销售了多少
[02166.52-02167.60] 鲁松库售多少
[02167.60-02170.96] 那你的产出只应该是这两个数值的相加
[02170.96-02172.56] 所以在这里面大住一下
[02172.56-02173.76] 这一销售行一关
[02173.76-02175.12] 第二个咱们说了
[02175.12-02177.76] 它既然红量的是生产行为
[02177.76-02180.24] 那只有生产才能创造鸡匹
[02180.24-02182.80] 所以它与非生产行为五关
[02182.80-02184.72] 所以非生产行为
[02185.40-02188.68] 不记录记的屁
[02188.68-02190.16] 我打差就代表不记录
[02190.16-02192.64] 你说老师啥叫非生产行为不记录
[02192.64-02193.80] 我几个简单的例子
[02193.80-02195.72] 比如说现在大家学习特别好
[02195.72-02197.92] 大家以后你们都是局长
[02197.92-02201.08] 你们都是某个局长提前功贺各位局长
[02201.08-02203.28] 看大家以后都是各个局长
[02203.28-02205.12] 你只有时候就为国家的努力
[02205.12-02207.08] 开始发温度行为考形认边
[02207.08-02209.72] 世界边做了很大的学习的努力
[02209.72-02211.20] 然后假设我
[02211.20-02212.80] 国咱们国家就觉得
[02212.80-02213.88] 你做一个不好青年里
[02213.88-02215.40] 真的是做的是太棒了
[02215.40-02216.44] 在这种情况之下
[02216.44-02217.60] 我给大家发了
[02217.60-02218.12] 奖学金
[02219.12-02220.12] 奖学金
[02220.12-02221.40] 奖学金多少钱呢
[02221.40-02222.28] 奖学金十万
[02222.28-02223.40] 那他们来看一下
[02223.40-02224.12] 这十万
[02224.12-02225.08] 它也是钱呢
[02225.08-02225.84] 请问一下
[02225.84-02226.76] 这十万块钱
[02226.76-02228.60] 能不能进入到GDP的东西
[02229.40-02230.40] 这十万块钱
[02230.40-02231.92] 不能进入到G商学
[02231.92-02234.04] 因为奖学金是增与的
[02234.04-02235.16] 而不是什么
[02235.16-02237.04] 而不是你生产的行为
[02237.04-02238.04] 你只要不是生产行为
[02238.04-02239.24] 是不能进入到GDP的
[02239.24-02240.64] 大家还记得之前那个
[02240.64-02243.80] 跳江救人監獄的小哥叔給他發了10萬元獎金
[02243.80-02249.04] 那他那個10萬元獎金是不能進入到他個人創造的GDP裡面的
[02249.04-02251.76] 因為那個錢不是他生產所得
[02251.76-02255.36] 所以在這裡面飛生產行為是不能進入的GDP當中的
[02255.36-02258.44] 這兩個點靠理解行的題目一定要能夠去分
[02258.44-02259.36] 這是第一個
[02259.36-02260.96] 那第二個我們說到了
[02260.96-02265.12] 說既然GDP他很讓他是生產生產的行為
[02265.12-02267.44] 那他可什麼時候都可以
[02267.44-02269.52] 他可以是今年的也可以是去年的
[02269.52-02272.56] 我们的GDP到底红量的是什么时候的产充值呢
[02272.56-02275.64] 大家注意一下红量的是当期的产充
[02276.92-02277.88] 行的旁边
[02278.08-02280.64] 红量的是当期产充
[02280.80-02281.84] 也就意味着
[02281.84-02283.28] 既然红量当期产充
[02283.28-02284.44] 什么时候不行呢
[02284.44-02285.92] 机期的是不行的
[02289.92-02291.00] 机期不行
[02291.32-02292.56] 我就不写机期不行了
[02292.56-02294.92] 我先把这个当期产充给大家说清楚
[02294.92-02295.96] 那就意味着
[02295.96-02297.36] 我们所说的这个GDP
[02297.36-02298.34] 他只能是什么
[02298.34-02301.20] 他只能是当年的生产行为所創造的
[02301.20-02302.54] 以前的就不行了
[02302.54-02305.28] 那就把那些派出了那些二手的东西
[02305.28-02308.00] 他就不能记忆到当年的GDP了
[02308.00-02310.42] 比如说我在2020年的时候
[02311.44-02312.46] 买了一套房
[02314.00-02317.08] 然后我转眼在2020-23年的时候把GDP房卖了出去
[02318.86-02320.14] 然后就问说
[02320.14-02324.06] 2020-23年GDP房还能不能记忆GDP了
[02324.24-02324.88] 不能了
[02324.88-02328.98] 因为它属于什么 二手房 二手车 二手东西 对吧
[02328.98-02332.56] 那二手的东西 它的产值在上一年已经怎么样
[02332.56-02334.86] 它的产值在上一年已经实现了
[02334.86-02336.26] 所以这个房子
[02336.26-02338.46] 它在二二三年卖出去的钱
[02338.46-02340.74] 就不能记录到二二三年的记录了
[02340.74-02342.54] 因为去年已经把这个房子盖完了
[02342.54-02344.00] 去年已经算过一遍了
[02344.00-02347.42] 你这个时候你在我们所说的这就在在二二三年
[02347.42-02349.12] 所以别是不是就重复计算了
[02349.12-02350.48] 所以在这里面的生产
[02350.48-02352.22] 我们认为它只能是什么
[02352.22-02354.02] 他只能是当期生产
[02354.02-02355.80] 而且钱的是不行的
[02355.80-02358.36] 所以他如果说去年的什么东西
[02358.36-02360.40] 能不能影响到今年的级片
[02360.40-02361.32] 影响不了
[02361.32-02363.22] 但大家注意这里面虽然说了
[02363.22-02365.66] 我们说了是这个二手房的这个房子
[02365.66-02366.82] 他不能级入级的片
[02366.82-02369.12] 但是你买面二手房收到中间
[02369.12-02370.32] 对吧通过中间
[02370.32-02372.18] 中间是否给你提供相当的
[02372.18-02373.46] 中间服务
[02373.46-02374.62] 中间服务
[02374.62-02377.06] 人家中间今年收的服务费
[02377.06-02378.84] 今年收的服务费
[02378.84-02380.88] 能不能级入到今年的级的片里面
[02380.88-02381.40] 可以
[02381.40-02385.76] 因为我们说了GDP它是红量的商品和老物
[02385.76-02386.76] 这个点要注意
[02386.76-02388.96] 有需要注意一下这里面的二手房
[02388.96-02389.64] 明白了吧
[02389.64-02392.60] 所以二手的东西是不能进入的GDP了
[02392.60-02394.96] 所以在这里面这是我们所说的有关于
[02394.96-02398.56] 第3个概念叫做运用生产要素所生产的
[02398.56-02399.76] 所生产的什么呢
[02399.76-02402.84] 第4个要点就是全部最终产品
[02402.84-02407.24] 同们把这个点标出来了是全部最终产品
[02407.24-02411.58] 全部最終產品
[02411.58-02413.24] 那什麼叫的最終產品呢?
[02413.24-02413.90] 大家注意一下
[02413.90-02417.08] 和最終產品對應的叫做中間產品
[02420.80-02423.76] 那區分什麼是最終產品什麼是中間產品呢?
[02423.76-02425.80] 那就要從一個概念上去看
[02425.80-02429.24] 這個概念就是就要從一個判斷標準上去看
[02429.24-02431.06] 這個判斷標準的就是看一下
[02431.06-02433.48] 它是否需要再加工?
[02433.48-02435.52] 如果說是中間產品的話
[02435.52-02438.34] 它一般情况之下都需要在家公的
[02438.34-02440.24] 而如果是最终产品的话
[02440.24-02441.88] 它是不需要在家公
[02441.88-02444.96] 你这时候买了这会就直接可以再用了
[02444.96-02448.06] 这个就是我们所说的中间产品和最终产品
[02448.06-02449.64] 这里我们来看一下
[02449.64-02451.14] 在这里放它所强调的
[02451.14-02453.04] 最终产品最终产品举个简单例的
[02453.04-02453.96] 比如说面粉
[02455.44-02458.04] 面粉这个东西它对于面粉炒来说
[02458.04-02460.16] 我们来看一下对于面粉炒来说
[02460.16-02461.56] 它是最终还终点
[02461.56-02463.16] 它指定是最终产品
[02463.16-02465.04] 因为面粉炒不需要买面粉
[02465.04-02466.56] 在加工面子在销售了
[02466.56-02466.88] 对吧
[02466.88-02469.16] 所以他对面粉炒来说是最终产品
