[00000.00-00003.34] 好 那我们今日来看一下 犯罪论郎中的最后一个问题
[00003.34-00005.26] 我们在整个犯罪论郎中
[01139.86-01141.18] 在两排货家子上
[01141.18-01142.34] 然后我蹲在下面
[01142.34-01143.86] 往后倒着走开一下
[01143.86-01145.50] 一边紧挺没有人一边拿东西
[01145.50-01147.02] 然后你就在我的披过后面
[01147.02-01148.10] 然后也是一样的
[01148.10-01150.14] 然后在那个地方一边看一边偷东器
[01150.14-01151.82] 然后结果在那推推推推推推
[01151.82-01152.78] 一下碰到一块了
[01152.78-01154.94] 我当时心里已经液心里已经算完了
[01154.94-01156.50] 这难道是被保安抓住了吗
[01156.50-01157.86] 结果我一回头是你
[01157.86-01158.86] 你回头是我
[01158.86-01161.54] 咱们两个个字看到了相识一笑
[01161.54-01163.90] 当时就想不愧是亲兄弟
[01163.90-01165.82] 不愧是好好减面呀对吧
[01165.82-01168.30] 不愧是过带过把子的兄弟
[01168.30-01170.62] 就这么一些心灵墨气伤都有
[01170.62-01172.22] 咱俩相识一笑
[01172.22-01174.18] 互相相对方挑了个美
[01174.18-01176.78] 然后是一点头擦件而过
[01176.78-01178.22] 接下来各头个的
[01178.22-01181.66] 这种情况这下咱们两个算不算共同犯罪呀
[01181.90-01182.86] 都抛年了
[01182.86-01184.02] 咱俩还认说
[01184.02-01185.82] 咱俩还互相挑没了呢
[01185.82-01187.30] 还互相比大母子了
[01187.30-01188.10] 爱你真棒
[01188.10-01190.62] 这种情况,这些算不算共同故意犯罪
[01190.62-01193.90] 不算,大家注意,这个时候咱们两个有没有犯意连路
[01193.90-01197.26] 就是他所说的,意思连路相互写作
[01197.26-01200.26] 没有意思连路,没有相互写作
[01200.26-01201.54] 咱俩是属于什么
[01201.54-01203.14] 咱俩属于各偷割的
[01203.14-01205.18] 各偷割的是缺乏意思连路
[01205.18-01207.10] 就不算是共同犯罪
[01207.10-01210.98] 这种各偷割的这种情况,我们把的称就为什么?同时犯
[01210.98-01213.18] 大家注意一下,各偷割的这种情况
[01213.18-01217.06] 再有称就为同时犯,同时犯也不够成
[01218.10-01219.10] 共同犯罪
[01223.10-01223.86] 大主要
[01223.86-01224.90] 共同犯
[01224.90-01226.10] 叫做共同犯罪
[01226.10-01226.74] 同时犯
[01226.74-01227.94] 他也不够常共同犯罪
[01227.94-01229.30] 那说老师那怎么定
[01229.30-01232.46] 咱俩各自够成自己的道歉最就可以了
[01232.46-01234.10] 这是我们所说的同时犯
[01234.10-01235.10] 那还一种情况呢
[01235.10-01237.30] 就是咱们两个必须是两日上
[01237.30-01239.94] 共同就具有共同的犯罪行为
[01239.94-01242.38] 就是咱们两个一定要是要有分工合作的
[01242.38-01244.58] 咱们两个一定要是有一个有机整体的
[01244.58-01246.82] 这种情况的下会排除另外一种
[01246.82-01248.40] 他不是共同犯罪的情况
[01248.40-01249.12] 这个什么呢
[01249.12-01252.32] 就是利用他人作为犯罪工具的
[01252.32-01253.44] 现在旁边啊
[01254.32-01259.82] 叫利用他人作为犯罪工具的
[01264.02-01264.82] 不是
[01266.02-01267.22] 不够成
[01269.02-01270.02] 共同犯罪
[01273.82-01274.72] 大主要
[01274.72-01276.02] 利用他人
[01276.02-01279.06] 作为犯罪工具的不够成共同犯罪
[01279.06-01280.06] 这就是啥意思呢
[01280.06-01282.42] 利用他人作为犯罪工具的
[01282.42-01284.42] 我把我不是我
[01284.42-01287.02] 说我们在法令上把它称着为叫做建筑政犯
[01291.38-01292.90] 政犯也是实行犯
[01292.90-01294.06] 是实行犯
[01294.06-01296.34] 政犯我们把它称着为叫建筑政犯
[01296.34-01298.42] 这种建筑政犯或建筑实行犯
[01298.42-01300.34] 它其实是不够成共同犯罪的
[01300.34-01302.14] 举个简单例子还是到切这个事
[01302.14-01303.14] 到切这个事呢
[01303.14-01305.58] 如果我和你商量了咱来一块去投
[01305.58-01308.14] 咱咋咋咋只能共成到去这个共同犯罪
[01308.14-01310.18] 但是现在假设是一种情况
[01310.18-01311.98] 咱们两个还是败把子的兄弟
[01311.98-01313.58] 咱们两个关系还是特别好
[01313.58-01315.58] 但是为什么咱们两败把子关也特别好呢
[01315.58-01316.70] 因为我是个傻子
[01316.70-01317.66] 我这个人呢
[01317.66-01318.90] 赤里有点缺陷
[01318.90-01320.30] 就是类似于那种
[01320.30-01321.26] 赤商特别的低
[01321.26-01322.82] 然后我的精神情况还不稳定
[01322.82-01325.42] 然后你就觉得像我这种傻子就特别好骗
[01325.42-01327.30] 所以你才跟我做了败把子兄弟
[01327.30-01328.70] 总错过身上逃好处
[01328.70-01330.14] 然后又因为我这个人
[01330.14-01331.34] 赤里不太好所以
[01331.34-01332.50] 我就是个傻子嘛
[01332.50-01332.98] 对吧
[01332.98-01334.78] 然后也没有人愿意跟我玩
[01334.78-01335.74] 只有你愿意跟我玩
[01335.74-01337.18] 我当时我去觉得你是个好人
[01337.18-01339.06] 然后突然有一天就跟我过来说
[01339.06-01340.14] 你说爱傻子
[01340.14-01341.30] 然后我说傻
[01341.30-01342.82] 他说兄弟是这样的
[01342.82-01345.06] 他说我最近遇到了一个事情
[01345.06-01346.50] 我说你遇到什么事情
[01346.50-01347.22] 你跟我说
[01347.22-01348.54] 我说咱俩都败了把子了
[01348.54-01349.62] 我一定帮你
[01349.62-01350.14] 对吧
[01350.14-01352.18] 然后你说说你说
[01352.18-01354.10] 我最近有一个东西
[01354.98-01356.94] 在我隔壁的铃鱼家
[01356.94-01358.14] 我说是个什么东西
[01358.14-01359.30] 你说就是他无礼
[01359.30-01361.30] 最值钱的一个金光沙上的
[01361.30-01362.54] 一拉块金子
[01362.54-01364.66] 一个金子的做的一个视频
[01364.66-01366.58] 我说那你去给他拿回来
[01366.58-01368.34] 然后你就跟我说你说是这样
[01368.34-01369.66] 我后连去关系不太好
[01369.66-01371.54] 我去要他只能不能给我
[01371.54-01372.38] 然后呢
[01372.38-01373.22] 你要不这样
[01373.22-01374.50] 你去帮我拿
[01374.50-01376.58] 你是帮把这个东西拿回来之后
[01376.58-01377.70] 我给你买糖池
[01377.70-01378.86] 我是那好玩好玩
[01378.86-01380.06] 我去给你拿好不好
[01380.06-01381.26] 然后你说醒
[01381.26-01382.06] 你说这样
[01382.06-01384.94] 你明天下午两点钟的时候
[01384.94-01386.46] 你来到我家
[01386.46-01387.82] 然后再有连家门口
[01387.82-01388.66] 再量碰个头
[01388.66-01390.18] 你进去帮把东西拿出来
[01390.18-01395.36] 你不要告诉别人,不要告诉你的家人,你不要告诉你其他的朋友,我说我没有其他朋友了
[01395.36-01397.30] 我就只有你一个,你说那,OK
[01397.30-01401.06] 然后你就利用我,帮你去把那个东西偷出来
[01401.06-01404.40] 那你看,你利用我,帮你去把这个东西偷出来
[01404.40-01405.78] 能不能算个共同犯罪呢?
[01405.78-01410.14] 首先你看,在这个犯罪过程当中不是咱俩商量着来的吧?
[01410.14-01414.38] 又有收了共同故意犯罪或者是要共同犯罪,一定要是要有什么意思连落
[01414.38-01417.58] 在这里面咱俩有意思连落有通盟,有商量吗?
[01417.58-01420.10] 因为这里面的共同故意或者是伊斯联络
[01420.10-01422.38] 一定是咱俩商业者来是共谋的行为
[01422.38-01425.66] 在这里面咱俩有没有共谋共同商量这种情况
[01426.46-01427.46] 是没有的
[01427.46-01429.70] 你只是把我作为你做案的什么
[01429.70-01432.22] 一个工具你只是我去偷
[01432.22-01434.02] 这个时候我是没有责任能力的
[01434.02-01438.18] 因为我经理面患者或者是个傻子或者是我治治理有缺血
[01438.18-01441.38] 我就在行法上没有达到形式责任能力
[01441.38-01444.10] 这个时候你利用我去实行犯罪
[01444.10-01445.06] 你就是什么
[01445.06-01446.90] 你就是把我当成你的一把刀
[01446.90-01448.82] 这个时候就不够成共同犯罪了
[01448.82-01450.30] 这种情况被称为交给什么
[01450.30-01451.26] 剪接政策
[01451.26-01454.26] 而这个监医政犯也很喜欢考理解性的题目
[01454.26-01455.46] 大家一定要注意一下
[01455.46-01457.26] 所以要把他能够变形出来
[01457.26-01458.66] 他经常不给你个案例问
[01458.66-01459.74] 他够成什么
[01459.74-01460.54] 那你就看
[01460.54-01462.38] 是不是把他人当作犯罪工具
[01462.38-01464.46] 你指使巴碎的孩子去透东写
[01464.46-01466.38] 你指使精神病人去透东写
[01466.38-01466.78] 对吧
[01466.78-01468.26] 那这种情况之下
[01468.26-01471.18] 或者利用他人不知情的行为去做一些犯罪
[01471.18-01472.30] 那这种情况之下
[01472.30-01473.62] 都属于什么
[01473.62-01474.70] 剪接政策
[01474.70-01475.82] 都属于剪接政策
[01475.82-01477.30] 他都不夠成功的範罪
[01477.30-01478.42] 這個點一定要注意
[01478.42-01481.30] 這個就叫做共同範罪的成立條件
[01481.30-01483.18] 所以共同範罪成立條件首先第一個
[01483.18-01484.62] 兩個以上的主體
[01484.62-01488.10] 第二個要共同故意第三個要共同行為
[01488.10-01489.94] 在共同故意當中咱們說了
[01489.94-01492.78] 一定要過世就不夠成共同範罪
[01492.78-01494.54] 第二叫共同故意
[01494.54-01495.54] 一定要是要有什麼
[01495.54-01497.58] 一定要有四中的通某的
[01497.58-01501.46] 所以在事情無通某和事後的幫助行為
[01502.62-01503.82] 都不夠成共同範罪
[01503.82-01504.98] 第三個共同範罪
[01504.98-01506.26] 就要共同做一件事
[01506.26-01507.94] 那就要有共同的犯罪行为
[01507.94-01511.14] 共同犯罪行为包括实行帮助组织叫做合
[01511.86-01512.54] 共谋
[01512.54-01514.66] 那我们要记得一些排除行况
[01514.66-01516.34] 比如说实行过线的行为
[01516.34-01517.62] 你在里面杀人了我不知道
[01517.62-01518.98] 这不能算在我的头上
[01518.98-01519.94] 所以在这里面
[01519.94-01521.78] 过线行为不够成共同犯罪
[01521.78-01523.10] 只定你自己就行了
[01523.10-01524.18] 第二个同时犯
[01524.18-01525.70] 因为他没有意思连落
[01525.70-01527.34] 不属于共同犯罪行为
[01527.34-01528.58] 所以不够成共犯罪
[01528.58-01529.18] 第三个
[01529.18-01530.78] 把别人当工具来用的
[01530.78-01533.62] 建筑政法是不够成共同犯罪的
[01533.62-01535.14] 这几个点它叫注意一下
[01535.14-01537.10] 所以这是共同犯罪成立的条件
[01537.10-01538.90] 咱们说了两个一上主体
[01538.90-01539.98] 共同犯罪行为
[01539.98-01541.46] 建筑政策费实行过限
[01541.46-01543.98] 还有我们所说的同时犯的这种情况
[01543.98-01544.86] 是不行的
[01544.86-01545.46] 对不对
[01545.46-01547.70] 还有就是共同故意有意思连落
[01547.70-01548.98] 共同故事就不行
[01548.98-01549.58] 失后帮
[01549.58-01551.98] 或事前无通某的行为
[01551.98-01552.98] 都不算
[01552.98-01555.10] 所以在这里面大家一定要注意一下
[01555.10-01557.42] 这是共同犯罪
[01557.42-01558.62] 需要同一面去掌握了
[01558.62-01560.14] 它的一个成立条件
[01560.14-01562.38] 这个点特别喜欢考虑这件局目
[01562.38-01565.78] 好 那这是第一个我们了解了什么事 共同犯罪
[01565.78-01569.42] 那么说了 那共同犯罪 他是有共同的犯罪行为的
[01569.42-01573.86] 共同犯罪行为就包括实行行为 帮助行为 叫说行为
[01573.86-01576.22] 等等这系列 那也就意味着
[01576.22-01579.74] 共同犯罪人在实施共同犯罪过程当中
[01579.74-01585.38] 他所起的作用一味不一样 他的分工会会相同也有可能不同
[01585.38-01587.98] 所以 监固他所起的作用以及分工
[01587.98-01591.94] 我们将共同犯罪人进行了分类 分成了四大类
[01591.94-01596.32] 你看 说以作用为主监固实行分工将共犯划分出来
[01596.32-01600.52] 四大类叫做主犯 从犯协从犯节叫做在
[01600.52-01603.60] 有些只有四大类在我们考试当中
[01603.60-01610.24] 去做一个分类来考察到这个地方会考一个一星期的实际性的判断体或者是选项
[01610.24-01616.60] 你要知道我们去对它进行划分的时候是只有四大类的主犯 从犯协从犯和教授犯
[01616.60-01619.56] 你從他的名字當中就能夠去分出來
[01619.56-01621.36] 那主範指定其主要作有
[01621.36-01623.64] 從法相對來說其實最要作有
[01623.64-01625.68] 那協從法這是我不想去做
[01625.68-01627.44] 你逼著我去做這叫協從
[01627.44-01627.96] 對吧
[01627.96-01630.88] 而叫說就是我要忽用你去做的
[01630.88-01632.08] 那這個就叫教宋法
[01632.08-01633.96] 那這個就是咱從字面上的理解
[01633.96-01634.44] 對吧
[01634.44-01636.60] 而我說了這個共犯及其分類處罰
[01636.60-01639.88] 這一塊它考的就是實際性的細節
[01639.88-01641.32] 會玩一些文字遊戲
[01641.32-01643.52] 把這些控把這些詞給你換掉
[01643.52-01644.56] 讓你判斷這種說法
[01644.56-01645.92] 對或者是不對
[01646.60-01648.52] 那这里面它有一些小的现景
[01648.52-01650.72] 咱们就要给它躲避开
[01650.72-01652.00] 那我们就一个一个来看
[01652.00-01654.44] 这里面它所提到的这几项内容吧
[01654.44-01657.52] 实现第一个我们来看一下它所说的这个主饭
[01657.52-01659.04] 它说主饭是什么呢
[01659.04-01660.84] 它说主饭是指
[01660.84-01663.40] 主之领导犯罪集团进行犯罪活动
[01663.40-01667.20] 或者在其他犯罪共同犯罪当中
[01667.20-01669.96] 起到主要作用的就是主饭
[01669.96-01672.96] 那这个就是我们所说的主饭的这个概念
[01672.96-01675.36] 那知道了主饭就是在整个犯罪活动当中
[01675.36-01676.38] 其主要作用的
[01676.38-01678.42] 比如说我们所说的
[01678.42-01679.72] 组织领导黑圣会罪
[01679.72-01680.16] 对吧
[01680.16-01682.40] 组织领导黑社会内的犯罪
[01682.40-01682.86] 那什么呢
[01682.86-01684.26] 大哥只能就是主方了
[01684.26-01684.76] 对吧
[01684.76-01686.36] 那这个感觉大家应该是有的
[01686.36-01686.76] 对吧
[01686.76-01688.26] 这个是我们所说的主犯
[01688.26-01690.36] 那问题就是在于他口主犯
[01690.36-01692.86] 你看他其实给到了两种犯罪情况
[01692.86-01693.86] 一种是什么呢
[01693.86-01697.76] 一种是组织领导犯罪集团进行犯罪活动
[01697.76-01699.86] 那你这个说这类罪像我们所说的团火
[01699.86-01702.06] 或者是你成立了一个炸聘公司
[01702.06-01702.56] 对吧
[01702.56-01705.84] 那你这种情况下是组织领导犯罪集团进行犯罪
[01705.84-01708.12] 那你在里面的主管人管是人
[01708.12-01709.52] 他一定是主犯
[01709.52-01712.60] 另外一种他说是在其他共同犯罪当中
[01712.60-01713.72] 那也就意味着
[01713.72-01715.76] 第二种情况是排除了哪些
[01715.76-01717.76] 是排除了我们所说的
[01718.56-01722.72] 这些组织领导集团犯罪以外的一般犯罪
[01722.72-01724.52] 这里面是我们所说的什么
[01724.52-01725.60] 其他犯罪当中
[01725.60-01729.20] 那就意味着主犯他的包含的内容
[01729.20-01731.56] 相对来说是比较多的
[01731.56-01733.34] 这个分类大家要注意一下
[01733.34-01735.14] 这个地方在考试的时候考什么呢
[01735.14-01737.04] 这是考一些基本概念的交叉
[01737.04-01738.60] 我把他给他放在这儿啊
[01738.60-01741.16] 他的考试的时候更清晰的是实际
[01741.16-01743.24] 考一些基本概念的交叉
[01747.96-01749.72] 考一些基本概念的交叉
[01749.72-01751.52] 那这个地方大家注意一下
[01751.52-01753.56] 在考叉基本概念交叉的时候
[01753.56-01755.12] 首先第一个我们要知道
[01755.12-01758.36] 从刚才主饭的概念当中
[01758.36-01760.64] 我们要把主饭进行分类
[01760.64-01762.18] 主饭分成哪些类呢
[01762.18-01763.72] 同们来再收上坏一下
[01763.72-01765.88] 主饭它分成两大类
[01765.88-01771.00] 第一类是组织领导饭最集团进行饭最活动的饭最分子
[01771.00-01772.88] 我们把它称之为坏一下
[01772.88-01776.80] 把它称之为叫做饭最集团的手要分子
[01776.80-01779.64] 这个就是我们所说的第一个大的分类
[01779.64-01781.60] 这是饭最集团的手分子
[01781.60-01782.80] 它一定是主饭
[01782.80-01784.00] 比如说我刚刚说了
[01784.00-01785.60] 你实时团火炸片
[01785.60-01787.20] 你搞了一个什么炸片公司
[01787.20-01788.40] 你是不饭最集团
[01788.40-01791.32] 你是这个犯罪集团当中的老大
[01791.32-01791.80] 对吧
[01791.80-01794.56] 你就是整个我们所说的犯罪网络
[01794.56-01795.80] 都是你来主控的
[01795.80-01797.24] 那你是不是就是手要分子了
[01797.24-01798.92] 那这个地方大家一定要注意下
[01798.92-01800.76] 只是犯罪集团的手分子
[01800.76-01802.08] 或者是你们集体犯访论
[01802.08-01803.84] 你就成了一个毒品制作的
[01803.84-01805.80] 破壁行动看了
[01805.80-01807.16] 你们现在是打摘吗
[01807.16-01808.12] 还是那个什么
[01808.12-01808.84] 就是
[01809.40-01811.00] 网就松老实验的那个
[01811.24-01812.56] 动书 对吧
[01812.56-01814.00] 在网上不是流传的
[01814.00-01814.96] 他的那个骗断吗
[01814.96-01815.68] 说什么
[01815.68-01817.20] 你给动书打这个电话
[01817.20-01818.60] 都很开心
[01818.60-01821.00] 但是你说话的与气都不喜欢
[01821.00-01824.00] 你看它是否控制整个塔债的这样的一个
[01824.00-01826.00] 是要塔债我忘了就是那个村子
[01826.00-01827.00] 就是犯毒啊
[01827.00-01829.36] 那它其实就是有一犯罪集团的什么
[01829.36-01830.60] 首要分子
[01830.60-01831.08] 明白了吧
[01831.08-01832.60] 就是主要的管事人
[01832.60-01834.40] 它就首有犯罪集团的首分子
[01834.40-01835.60] 那它一定是主犯
[01835.60-01837.60] 因为就是它传统大家就犯罪了嘛
[01837.60-01840.00] 那个犯罪的独那么
[01840.00-01841.20] 所以在这里面大家注意一下
[01841.20-01843.40] 这是第一个叫犯罪集团的首分子
[01843.40-01844.60] 那第二个呢就是
[01844.60-01848.00] 说在其他的共犯中
[01848.00-01849.30] 在其他的共同犯罪中
[01849.30-01850.20] 其主要做的
[01850.20-01851.00] 把这个话出来
[01851.00-01853.80] 叫其他共同犯罪中
[01853.80-01855.20] 其主要做用的人
[01855.20-01857.60] 这个就叫做我们所说的第二类
[01857.60-01858.18] 我们把第二类
[01858.18-01860.00] 统称为叫做其他主犯
[01860.00-01863.30] 其他主犯大助一下
[01863.30-01866.50] 他其实在这个地方也给到了具体的限定
[01866.50-01867.60] 哪个具体限定呢
[01867.60-01869.50] 第一类主犯就是犯罪集团当中
[01869.50-01870.90] 小分子比如说东书
[01870.90-01871.40] 对吧
[01871.40-01872.70] 第二类主犯是什么呢
[01872.70-01874.10] 第二类主犯就是在这里面
[01874.10-01878.12] 他说的 犯罪集团当中除了有像东树这样的人以外有没有一些
[01878.36-01881.78] 我们所说的二等家三当家或者是什么分构作主之类
[01881.78-01886.12] 所以这种它其实也有 那你看像这种二等家三当家已经分构作主
[01886.38-01890.74] 它是除了什么犯罪叫做 叫做首要分子以外的其他人
[01890.94-01894.58] 那它有可能在犯罪过程当中起到主要的作用
[01894.78-01897.30] 那我们把这些人称之为啥呢 标注在旁边
[01897.46-01899.10] 这些人呢 他也是主犯
[01899.10-01913.66] 它是犯罪集团中手要分子以外的主犯
[01914.66-01918.94] 这种情况下你看原本我们说犯罪继场的手分子是主犯
[01918.94-01920.94] 还有它是大当家哦
[01920.94-01925.14] 那你还有很多的分多很多的地方的这种什么分帮之类的
[01925.14-01926.58] 那你分多的主分帮主
[01926.58-01927.74] 那它就属于什么
[01927.74-01930.62] 它就属于所谓的集团犯队当中
[01930.62-01933.00] 是要犯队分子以外的这些主犯
[01933.00-01935.66] 它也有可能去实行犯队当中成为主犯
[01935.66-01936.10] 对吧
[01936.10-01937.78] 这个都是我们所说的什么
[01937.78-01938.78] 集团犯队
[01938.78-01941.26] 所以集团犯队当中的主犯有几类
[01941.26-01942.98] 集团犯队中的主犯有两类
[01942.98-01944.18] 第一个是是是要分子
[01944.18-01946.26] 第二是是要是要是要是要分子以外的主犯
[01946.26-01947.06] 这个呢
[01947.06-01949.94] 改革到这两个其实都是针对的是什么
[01949.94-01951.82] 集团犯队集团的问题
[01951.82-01953.18] 这个点一定要注意一下
[01953.18-01954.38] 除了这两个之外
[01954.38-01955.50] 还有一个就是它所说的
[01955.50-01958.50] 刚才的概念当中就是一般共同犯罪张东罗主犯
[01960.50-01963.00] 一般共同犯罪中的
[01966.00-01972.30] 主犯比如说咱们两个去商量去道歉去抢抢去杀人去放火
[01972.30-01975.50] 那你看在这里面我如果是千头人
[01975.50-01978.10] 我如果是主要实行者 那我就是什么
[01978.10-01980.50] 那我就是这种犯罪当中的主犯
[01980.50-01983.50] 所以第三类呢 他是一般犯罪中
[01983.50-01984.50] 我们所说的什么
[01984.50-01990.50] 主犯就是除犯罪集团以外的其他的这个点大家要注意一下
[01990.50-01993.02] 所以这个主犯大家一定要明确啊
[01993.02-01995.74] 它其实有三个小的类别
[01995.74-01998.50] 第一个就是我们所说的针对犯罪集团的
[01998.50-02000.66] 第一个犯罪集团的手分子没泡了
[02000.66-02002.58] 针对犯罪集团的会换一下
[02002.58-02006.58] 第一个是针对犯罪集团的
[02006.58-02008.34] 犯罪集团里面有两类
[02008.34-02010.74] 第一类就是手分子
[02010.74-02012.34] 大当家的这些对吧
[02012.34-02015.34] 第二个是什么 手分子以外的主饭
[02015.34-02017.10] 你的分多多主等等
[02017.10-02021.10] 你想想什么假设咱们就如果做一个不恰当的比例的话
[02021.10-02022.30] 你想想什么名叫
[02022.30-02024.06] 你想想什么天那个什么
[02024.06-02026.58] 陈靖南有个小宝天地会是吧
[02026.58-02030.38] 你看那里面是不是有什么大当家的有什么二当家的分多主
[02030.38-02031.54] 我被多主之赖了
[02031.54-02033.82] 你看他就是类随正感觉
[02033.82-02034.74] 所以你要知道
[02034.74-02036.78] 针对一放对集团当中还有两种
[02036.78-02039.46] 除了翻对集团以外的一般共同翻对的
[02039.46-02043.30] 那一般共同犯罪道中提到主要作用的人
[02043.30-02044.72] 那他就是主犯
[02044.72-02046.50] 所以在这里面大家明確
[02046.50-02047.54] 第一个考察的点
[02047.54-02050.00] 就是会在这个主犯当中去给您考察
[02050.00-02053.14] 以下属于主犯的是
[02053.14-02054.38] 他就会考这种
[02054.38-02056.18] 叫以下属于主犯的是
[02056.18-02057.82] 这是第一层概念
[02057.82-02058.44] 明白了吧
[02058.44-02059.54] 所以在这个地方
[02059.54-02062.14] 他就会给你电过来导致做一些描述
[02062.14-02064.42] 你就知道主犯只有几个小类
[02064.42-02066.02] 主犯只有三个小类
[02066.02-02067.22] 这是第一层哦
[02067.22-02068.46] 你到这儿你没结束了
[02068.46-02070.14] 没有因为说了这些这口什么
[02070.14-02072.02] 就差概念的口茶
[02072.02-02072.94] 所以我们了解了
[02072.94-02074.66] 第一个概念是主饭之后呢
[02074.66-02075.42] 我把它写在这儿
[02075.42-02076.02] 好吧
[02076.02-02077.42] 我们了解了主饭之后
[02077.42-02079.30] 我们再来看一看第二个概念
[02079.30-02080.50] 第二个概念是什么呢
[02080.50-02081.78] 我把它写在旁边
[02081.78-02083.46] 第二个概念叫做首要分子
[02084.46-02085.82] 它特别喜欢口
[02085.82-02087.46] 主饭和首要分子
[02087.46-02088.14] 集合
[02088.14-02090.22] 如果老实是首要分子有点来的呢
[02090.22-02091.66] 首要分子不是大当家的吗
[02091.66-02093.42] 咱们刚才在哪儿讲大当家的吧
[02093.42-02095.22] 饭最集团当中的首要分子
[02095.22-02095.54] 对吧
[02095.54-02097.26] 饭最集团当中的大当家的
[02097.26-02098.42] 主要管事人
[02098.42-02102.80] 动书 对吧 那你看 像这种犯罪集团的首要分子
[02102.80-02104.56] 它结束有法律定义的
[02104.56-02108.66] 我们说了到底什么是首要分子呢 在形务法97条其实有所规定
[02108.66-02112.32] 说形务法97条当中说 说本法所称的首要分子
[02112.32-02117.76] 是只在犯罪集团会剧重犯罪中组织策划 只规作用的犯罪分子
[02117.76-02120.78] 所以在这里面 大助一下 首要分子
[02120.78-02122.50] 它其实包括两种情况
[02122.50-02126.52] 第一种是犯罪集团中的首要分子
[02126.52-02129.00] 这个地方他肉 但他不难
[02129.00-02131.90] 这个是犯罪集团中的
[02133.00-02134.00] 少分子
[02136.56-02139.04] 第二种 就是根据形务的解释是什么
[02139.04-02144.34] 是剧重犯罪中 其组织策划指挥的犯罪分子
[02144.34-02146.96] 比如说剧重持谢结割罪
[02146.96-02149.74] 老大被关进去了 那我们就剧重持谢
[02149.74-02152.88] 结割被拿棍子拿木帮 拿强制 拿强谢
[02152.88-02154.96] 女开剧结割 那这种叫做什么
[02154.96-02156.00] 剧重犯罪
[02156.00-02158.20] 或者具中老乱交通秩序罪
[02158.20-02161.60] 具中斗欧这种最常见的就具中斗欧了吧
[02161.60-02164.12] 对吧 想想那个高级想
[02165.40-02166.60] 那个电郡黄标
[02166.60-02169.00] 那个徐江在里面演的那个角色
[02169.00-02170.00] 叫什么角色
[02170.00-02172.20] 他徐江 假片是在里面演的那个角色
[02172.20-02173.68] 是不是徐江啊
[02173.68-02175.44] 你看那个徐江他那个儿子
[02175.44-02177.00] 徐雷啊 不是要徐雷
[02177.00-02178.20] 他是叫是徐雷吧
[02178.20-02179.80] 这电郡被电子的那个
[02179.80-02180.80] 应该是叫徐雷对吧
[02180.80-02181.80] 被电子了之后
[02181.80-02184.40] 然后他给孩子天天和ADIG案后来查出来
[02184.40-02185.40] 是谁做的了
[02185.40-02186.40] 你看看他做了什么
[02186.40-02188.80] 他把他的所有的兄弟都交得一块
[02188.80-02190.88] 然后兄弟跟他说大哥姐
[02190.88-02192.88] 然后这个时候徐江就跟他说什么
[02192.88-02193.80] 让别人姐
[02193.80-02195.64] 他设复就是拿着高尔夫球棒
[02195.64-02198.00] 带着他的那个一群兄弟就出去了
[02198.00-02198.68] 干吗
[02198.68-02200.28] 大家去了这就属于什么
[02200.28-02201.92] 郡众都欧领败了
[02201.92-02204.64] 那这个就属于郡众类的犯罪
[02204.64-02205.40] 那我们说了
[02205.40-02206.60] 手要犯罪分子
[02206.60-02208.92] 他除了是犯罪集团的小分子之外
[02208.92-02211.12] 还包括郡众犯罪当中
[02211.12-02213.36] 比如说刚才徐江的郡众都欧
[02213.36-02219.06] 在剧重多歐黨中其組織策劃好主要的犯罪分子,叫做首要分子
[02219.06-02229.76] 所以在這裡面大家注意一下,他還包括首要分子還包括叫做剧重犯罪的,就是剛才的徐章,叫剧重犯罪的首要分子
[02229.76-02234.10] 剧重犯这个小分子
[02234.10-02238.20] 剧重犯这个小分子有单独剧重犯罪和剧重共同犯子
[02238.20-02238.86] 这个不用管
[02238.86-02240.96] 你就知道是剧重犯罪当中
[02240.96-02243.16] 就刚才徐江他就属于什么
[02243.16-02245.16] 剧重犯罪当中的小分子
[02245.16-02246.66] 所以在这里面同在来看
[02246.66-02249.76] 在手要分子当中他分成两种情况
[02249.76-02251.26] 第一种情况是啥呢
[02251.26-02252.46] 第一种是
[02252.46-02254.26] 我应该换个颜色了
[02254.26-02257.56] 第一种是犯罪集团中的小分子
[02257.56-02260.46] 第二是居住犯罪中的小分子
[02260.46-02262.04] 那这时候我来问一下大家
[02262.04-02264.36] 你看犯罪集团的小分子
[02264.36-02268.16] 是不是刚才咱们讲的主犯当中的低类啊
[02268.76-02270.62] 而我们在主犯当中
[02270.62-02274.26] 有没有讲到居住犯罪的小分子是主犯
[02274.66-02275.64] 没有
[02275.64-02277.00] 因为我们在这里说了
[02277.00-02280.36] 首要分子当中的低类才是主犯
[02280.36-02281.16] 明白了吧
[02281.16-02283.96] 而居住犯罪的小分子是不是主犯呢
[02284.16-02285.26] 不一定
[02285.26-02288.22] 所以在这里面大家一定要明确
[02288.22-02292.82] 居中犯最当中的首要分子未必是主犯
[02292.82-02294.26] 一定要注意
[02294.26-02296.38] 因为这个是在新华当中明确规定的
[02296.38-02298.18] 全体猜热均可够成犯罪
[02298.18-02300.98] 或者具中所和记忆猜者可以够成犯罪
[02300.98-02302.02] 一般情况下假设
[02302.02-02303.46] 我就是居中犯罪当中的什么
[02303.46-02305.70] 居中都有当中的一般猜者
[02305.70-02307.30] 那我就不是主犯
