[00000.00-00007.24] 好,我们讲完了生学之后,我们就把我们所提到的内几大生光电力热都给大家说完了
[01209.42-01210.86] 这个大家都知道 对吧
[01210.86-01214.14] 又或者大家有没有关注到生活当中的水头
[01214.14-01216.26] 大家买了那个水头找什么形状
[01216.26-01217.86] 水头是不是这个形状
[01217.86-01221.54] 水头往往都是我们所说的上昆下展
[01221.54-01222.94] 对吧 像这种形状
[01222.94-01225.30] 那为什么要设议成上块下载的这种形状
[01225.30-01226.78] 那也是因为我们所说的
[01226.78-01229.74] 随着我们所提到的这个深度
[01229.74-01230.42] 越深
[01230.42-01233.18] 它所受到的压墙就会越大呆
[01233.18-01234.30] 所以在这里面
[01234.30-01235.02] 那你看
[01235.02-01237.02] 如果说下面比较宽的话
[01237.02-01238.82] 那下面本来压力就大
[01238.82-01240.62] 你现在下面再给的很宽
[01240.62-01241.90] 那这个时候这个水头
[01241.90-01243.06] 它不就容易坏嘛
[01243.06-01244.46] 所以在这里面我们说了
[01244.46-01245.46] 这个水头
[01247.10-01247.50] 好啊
[01247.50-01250.30] 设议成上块下载的这种情况
[01252.94-01254.22] 上昆下展的情况
[01254.22-01256.18] 其实也是运动到了我们所说的什么
[01256.18-01259.14] 泛菜实验它所得出来的相关的结论
[01259.14-01260.18] 所以在这里面
[01260.18-01261.58] 大家注意一下这两个点
[01261.58-01263.30] 其实是会有一点点难
[01263.30-01264.46] 但是它难
[01264.46-01265.90] 同时没有去给它掌握住
[01265.90-01267.30] 因为在这个里面
[01267.30-01268.50] 它确实是考的时候
[01268.50-01270.18] 就在这个上的做了很多文章
[01270.18-01271.06] 所以大家注意一下
[01271.06-01272.46] 在泛菜菜实验的当中
[01272.46-01274.70] 它主要是研究在液体当中
[01274.70-01275.58] 得出来的结论
[01275.58-01277.02] 所以深度的增加中间
[01277.02-01277.78] 密度越大
[01277.78-01278.98] 压墙就会越大
[01278.98-01280.54] 这是第一个泛菜菜实验
[01280.54-01281.82] 通过它的实验
[01281.82-01283.82] 确实是确定了
[01283.82-01285.82] 我们刚才在前面说了
[01285.82-01289.02] 确实是确定了压强的存在
[01289.02-01290.52] 这个是我们所说的第一个
[01290.52-01291.52] PuzzCashient
[01291.52-01293.82] 但PuzzCient其实我们所说的在
[01293.82-01294.82] 液体压强动种
[01294.82-01295.32] 对吧
[01295.32-01296.82] 那固体只能是有压强的
[01296.82-01297.82] 这个比如说
[01297.82-01299.32] PuzzCashient特凉了
[01299.32-01301.52] 在液体当中压强也确实存在
[01301.52-01302.82] 但是问题就是在于
[01302.82-01305.32] 我们现在不仅知道液体有压强
[01305.32-01307.32] 我们还知道大气有没有压强
[01307.32-01308.32] 也有压强
[01308.32-01309.32] 我们现在经常说
[01309.32-01310.80] 你做饭烧水
[01310.80-01312.52] 你要在一个标准大侠下
[01312.52-01313.60] 它是一百十度
[01313.60-01314.44] 那其实在这里
[01314.44-01315.60] 就会睡到另外一个问题
[01315.60-01316.64] 就是大气
[01316.64-01318.68] 它也会产生压强
[01318.68-01319.68] 这种情况之下
[01319.68-01320.84] 这说大气
[01320.84-01321.52] 它有压强
[01321.52-01323.32] 其实对于以前的人来说
[01323.32-01325.20] 是觉得是不可思议的一件事
[01325.20-01326.12] 这是当时的人
[01326.12-01329.12] 就说我们天天都生活在这个空气当中
[01329.12-01330.52] 那我咋就没有感受到
[01330.52-01332.04] 说空气把我一样便了
[01332.04-01333.24] 所以最开始提出说
[01333.24-01334.84] 大气存在大气啊的时候
[01334.84-01336.04] 大家是不相信的
[01336.04-01336.92] 所以在这里面
[01336.92-01338.96] 我们还要去研究一下
[01338.96-01340.96] 就有关于大气压墙
[01340.96-01342.72] 它的一些相关的实验
[01342.72-01344.36] 大气压墙的相关实验
[01344.36-01345.68] 其实有两个的
[01345.68-01347.36] 其中第一个叫什么实验呢
[01347.36-01348.08] 同一住一下
[01348.08-01350.08] 第一个叫脱离拆力实验
[01352.40-01354.68] 那叫脱离拆力实验
[01354.68-01356.12] 脱离拆力实验呢
[01356.12-01358.32] 是第一次去测量了
[01358.32-01360.32] 标准大气压的数值
[01360.32-01361.20] 所以在这里面
[01361.20-01362.20] 你再旁边住一下
[01362.20-01363.76] 它是测出来了
[01363.76-01366.40] 标准大气压的数值
[01366.40-01371.40] 标准大企业的数值
[01371.40-01375.40] 标准大企业数值是相当于76号
[01375.40-01378.40] 我们所说的76号米
[01378.40-01383.40] 76号米水盐滚住的产生的雅想不是76号米
[01383.40-01388.40] 76米是76米是76米是76米水盐滚住的
[01388.40-01391.40] 它所产生的雅墙的大小
[01391.40-01402.40] 那强的大小就是在这里大家注意一下脱离差的时间其实就撤出来了标准大企业的数值是多少
[01402.40-01409.20] 它当时搞的这个实验事实上呢 这是它也是一样的 它找到了一个秘峰的这样的一个容器
[01409.20-01413.60] 然后在这个容器当中装满了水盐然后它的找到了一个管子
[01413.60-01418.80] 然后在这个管子呢 就把这个管子用手按住 按住之后就管子里面不就是真空了嘛
[01418.80-01420.28] 然后他把这个管子
[01420.52-01422.92] 然后一下子插到这个水里之后
[01422.92-01424.94] 然后他就发现这个水影住于
[01424.94-01425.98] 他就上升了
[01425.98-01427.56] 这个水影住上升了之后呢
[01427.56-01429.80] 他就会发现上升了多少离密呢
[01429.80-01431.04] 上升了其实6
[01431.04-01432.62] 那这个上升的高度
[01432.62-01434.30] 他其实就是我们所说的什么
[01434.30-01435.96] 大企业的这样的一个数值
[01435.96-01436.96] 然后他就说了
[01436.96-01438.72] 我撤出来大企业数值了
[01438.72-01440.04] 然后这个时候大家就觉得
[01440.04-01441.00] 他好可笑
[01441.00-01443.12] 大企业怎么可能产生数值呢
[01443.12-01445.16] 有着大企怎么会产生压力呢
[01445.16-01447.36] 如果大企产生压力的话就像我前面说的
[01447.36-01448.92] 那我請不是被壓扁了嗎
[01448.92-01450.46] 所以當時這個數值
[01450.46-01453.76] 以及大企業的這個存在是不被大家所認可的
[01453.76-01455.66] 所以這個脫離拆利的這個實驗
[01455.66-01457.36] 就遭到了很多人的笑話
[01457.36-01458.88] 然後當時就有一個人
[01458.88-01461.12] 這個人就是馬德寶的一個市長
[01461.12-01464.06] 馬德寶的市長聽說了脫離拆利的這個實驗之後
[01464.06-01465.66] 就覺得他說的其實是對的
[01465.66-01468.36] 於是他就為了正實大家的存在
[01468.36-01470.24] 就搞了一個叫做馬德寶
[01470.24-01471.36] 半球實驗
[01471.36-01476.40] 就算马德宝
[01476.40-01477.84] 半球实验
[01477.84-01479.40] 马德宝半球实验
[01479.40-01480.20] 同们注意下
[01480.20-01481.52] 和脱离拆离实验不一样
[01481.52-01483.36] 它是在脱离拆离实验之后
[01483.36-01484.88] 脱离拆离实验已经把
[01484.88-01486.72] 标准大家的数值
[01486.72-01487.60] 撤出来了
[01487.60-01489.12] 而马德宝半球实验
[01489.12-01490.48] 这个时候他在干嘛呢
[01490.48-01492.24] 他这个时候他是要正式
[01492.24-01493.60] 脱离拆离说的是对的
[01493.60-01494.40] 要去正式
[01494.40-01495.80] 大企业确实存在
[01495.80-01498.52] 所以这个实验的主要目的是正名了
[01499.52-01500.80] 大企业存在
[01501.36-01505.36] 就正明了,大企业的存在。
[01505.36-01507.36] 这个码的我翻译时间,大家也知道,对吧,
[01507.36-01511.36] 他找了很多人来为关,然后就找了4P码,左右个两P,
[01511.36-01515.36] 然后他就找了一个大体球,然后这个球是空心的,
[01515.36-01518.36] 这个球里面呢,最开始的时候是装满了水,装满水之后,
[01518.36-01520.36] 然后把这个球合在一块,
[01520.36-01522.36] 然后就找这个码去拉这个球,
[01522.36-01524.36] 他把这个水装到这个球里之后,
[01524.36-01526.36] 然后他把这个球合上之后,
[01526.36-01530.36] 就把这个球里的水是碰过某种方式都给他放掉了,
[01530.36-01532.98] 放掉了之後這個球是不是就真空了
[01532.98-01534.20] 這裡面啥都沒有了
[01534.20-01535.24] 因為原本裝的是水
[01535.24-01536.36] 你把水放掉了之後
[01536.36-01537.96] 它裡面就成成空狀態了
[01537.96-01539.98] 當它成成空狀態的時候
[01539.98-01542.98] 它就找到我們所說的左右個4平買
[01542.98-01544.94] 去拉首先是找了2P2P
[01544.94-01546.30] 結果鑽的時候發現
[01546.30-01547.28] 鑽不開
[01547.28-01549.12] 然後左右再找了2P發現
[01549.12-01550.14] 又拉不開
[01550.14-01552.00] 好不容易把這個球拉開了之後
[01552.00-01553.36] 然後這個時候就正式了
[01553.36-01555.20] 那你看為什麼說這裡面
[01555.20-01556.76] 水都放掉了之後
[01556.76-01558.28] 然後這個球還拉不開呢
[01558.28-01560.38] 那就意味着外面一定有什么东西
[01560.38-01561.76] 紧紧的推着它
[01561.76-01563.36] 这时候就是正式了说
[01563.36-01566.36] 外面推着这个球不让球打开了这个球就什么
[01566.36-01568.52] 其实就是我们所说的这个大气
[01568.52-01570.12] 其实就是我们所说的大气
[01570.12-01572.16] 所以像马来网办球实验
[01572.16-01574.44] 它其实是正式了大气的存在
[01574.44-01576.20] 所以二和三其实大家注意一下
[01576.20-01579.04] 二和三其实都是和大气啊有关的
[01579.04-01580.24] 但是无论是啥
[01580.24-01582.44] 它其实都是压墙的一个体现
[01582.44-01584.64] 所以这三个实验大家一定要记住
[01584.64-01586.08] 它分别是做了什么
[01586.08-01588.32] 泡菜实验是确定了压墙存在
[01588.32-01590.12] 那他主要是测量液体压墙
[01590.12-01593.76] 脱离差利实验是测出来了大企业的数值
[01593.76-01595.56] 而马得宝半球实验是正时了
[01595.56-01596.92] 脱离差利说的是对的
[01596.92-01598.92] 而且也在这种情况下说来了
[01598.92-01600.80] 就是大企业实真是存在的
[01600.80-01603.44] 这三个实验犯负股口很多次
[01603.44-01605.28] 咱们在整个考试当中
[01605.28-01607.60] 经常会考到相关实验的问题
[01607.60-01609.20] 比如说我们在考试当中
[01609.20-01611.44] 国考当中还考过什么水桶实验
[01611.44-01615.28] 对吧考过我们所说的测电和量的油低实验
[01615.28-01617.28] 甚至在这里面还考过好几次
[01617.28-01618.78] 这种大气下相和的实验
[01618.78-01619.84] 所以像这种实验
[01619.84-01621.88] 它分别重始了什么问题
[01621.88-01623.62] 同时一定要做重点去掌握
[01623.62-01623.92] 好吧
[01623.92-01625.62] 就是在这里给它补充出来
[01625.62-01628.40] 这个就是我们所说的有关于大气
[01628.40-01629.90] 它的两个点
[01629.90-01631.28] 大气下在生活当中
[01631.28-01632.82] 其实也会有一些应用
[01632.82-01634.48] 我就把大气下它的相关的
[01634.48-01635.80] 另外两个靠点形在这
[01635.80-01636.60] 我们都知道
[01636.60-01637.68] 像这个大气
[01637.68-01640.36] 它一般请玩这下是高度越高
[01640.36-01641.40] 其下越低
[01641.40-01643.20] 所以大气下是高度
[01645.28-01648.42] 月高,这个时候我们所说的7R
[01648.42-01650.20] 它就会约低
[01650.20-01651.64] 这个是我们所说的
[01651.64-01653.00] 有关于它的一个应用
[01653.00-01655.08] 所以海把月高的地方7R月低
[01655.08-01657.20] 因为月高的地方空气月吸火
[01657.20-01658.48] 空气一旦虚火的话
[01658.48-01660.84] 空气产生的压墙就会很小
[01660.84-01662.64] 所以第一个点,同时要知道
[01662.64-01664.68] 这也就是解释了一个问题
[01664.68-01666.00] 我们正常请问一下
[01666.00-01667.96] 稍水水的废点在一个标准
[01667.96-01669.72] 大家这些是100 设施度
[01669.72-01672.12] 但是如果是在海把比较高的时候
[01672.12-01674.04] 它的7R小预一个标准大墙
[01674.04-01677.08] 这种水的废点就会低于一百设数度
[01677.08-01678.24] 这就解释了一个问题
[01678.24-01679.52] 就是为什么海外高的地方
[01679.52-01681.96] 主不手犯稍不开水的原因
[01681.96-01682.68] 没卖了吧
[01682.68-01683.92] 所以在这里这个店
[01683.92-01685.80] 我们之前其实是提到的
[01685.80-01687.36] 大家在日常生活当中
[01687.36-01688.36] 经常会接受到的
[01688.36-01689.08] 第一个
[01689.08-01689.96] 第二个就是
[01689.96-01691.56] 大企业在生活当中
[01691.56-01693.48] 其实有很多的应用
[01693.48-01696.12] 只不过就是我们其实没太注意到它
[01696.12-01697.64] 第一个应用的就大家知道
[01697.64-01698.68] 那个注射器
[01698.68-01700.44] 咱们再去接种疫苗的时候
[01700.44-01701.20] 或者小暴暴
[01701.20-01702.92] 它总身变我们去打针的时候
[01702.92-01707.20] 有社会打那种小针或者是住车的那种针
[01707.20-01710.72] 你看住车的针也看到那个护士板那个针拿出来什么
[01710.72-01712.20] 它先泡在袋子里面
[01712.20-01713.36] 然后泡在袋子里之后呢
[01713.36-01715.08] 你发现那个针果儿
[01717.20-01717.88] 针果儿啊
[01717.88-01719.24] 这个地方是针头
[01719.24-01720.24] 好这有刻度
[01720.24-01721.88] 你拍最开始的时候是什么
[01721.88-01723.84] 这个皮刷是不是在最下面
[01723.84-01725.72] 然后它把针头呢
[01725.72-01728.04] 一下子应该针头一个放在中间
[01728.04-01729.20] 它把针头呢
[01729.20-01732.28] 一下子扎到了我们所说的那个啥脸
[01732.28-01733.82] 把针头一下扎到那个钥理
[01733.82-01735.98] 然后这个皮索才关环王上了
[01735.98-01736.44] 对吧
[01736.44-01738.16] 这个过程到中其实就是干嘛
[01738.16-01740.58] 就是利用什么来把钥匹抽去上去
[01740.58-01742.36] 就是利用大奇啊
[01742.36-01744.82] 因为它原本它是把空气都集空了
[01744.82-01745.66] 你这种情况之下
[01745.66-01747.90] 你把钥匹扎给他打开
[01747.90-01749.76] 然后这种情况程庭往外抽的时候
[01749.76-01752.36] 是为压墙就压着这个液体往下
[01752.36-01754.76] 然后这个管子就把冬去抽上来了
[01754.76-01757.52] 所以在这个里面它其实就是利用到了大奇啊
[01757.52-01758.90] 这样的一个原理
[01758.90-01760.22] 这是这个
[01760.22-01767.90] 除了这段还有我们所说的中性比,我们比先写字,中性比的比先写字,其实也是这个原理
[01767.90-01770.98] 我在这里写就是中性比先写字
[01772.76-01774.30] 中性比先写字
[01774.56-01781.20] 它也是这个原理,最后一个就是大家也看到很多查服上,它有小恐,不然大家有没有注意到
[01781.98-01783.26] 查服干上
[01784.80-01786.08] 有一个小恐
[01786.08-01791.08] 比如说这是一个茶糊的盖子 茶糊的盖子
[01791.08-01794.58] 然后在这个茶糊盖子这个地方总有一些小孔
[01794.58-01796.58] 那它有这个小孔的目的是什么呢
[01796.58-01799.58] 如果这个茶糊盖子它是一个秘峰的话
[01799.58-01802.08] 因为发现它其实不太好往外倒水
[01802.08-01804.78] 它有这样一个小孔就内外压墙就平衡了
[01804.78-01807.08] 那这种情况下它往外倒水的时候比较好倒
[01807.08-01810.58] 所以这些其实都是大企业的一个应用
[01810.58-01811.58] 都是大企业的应用
[01811.58-01814.82] 在这,大家就知道,这是我们所说的关于
[01814.82-01817.18] 压墙它的相关的知识点
[01817.18-01820.74] 好吧,这是我们所提到的关于基本单位当中
[01820.74-01823.34] 我们重点去讲了,拍子卡
[01823.34-01827.58] 我们讲了第一个,我们所说的基本单位当中的钱四个
[01827.58-01829.38] 不能说基本单位,导出单位
[01829.38-01832.18] 我们来看一下导出单位当中的后辞个
[01832.18-01834.74] 我说的,他在这里面经常会合什么结合在一块
[01834.74-01839.86] 就是人名成就和他的描述是哪一个结合在块儿
[01839.86-01841.14] 就是他是红量什么的
[01841.14-01844.66] 接下来我们来看一下法特 瓦特是公务 对不对
[01844.66-01846.58] 那大也都知道 那瓦特是干嘛
[01846.58-01848.30] 这是那个蒸气机的瓦特
[01848.30-01851.50] 瓦特改良了蒸气机咱们前面说了是人
[01851.50-01857.02] 我们所说的人力从自 我们所说的解放 从生产当中解放出来 对吧
[01857.02-01860.94] 于是生产力的极大进步 其实是代表就是公务效率的问题
[01860.94-01862.70] 所以瓦特改良蒸气机
[01862.70-01866.98] 那这里面的接下来就给到了库轮 库轮是电和量 所以是库轮电率
[01866.98-01870.78] 这个福特是电压 电压就是电池的发明者福特了
[01870.78-01873.44] 所以在这里发明电池给他换出来
[01873.44-01874.14] 服特
[01874.14-01877.26] 咱们在讲到制典的时候
[01877.26-01878.46] 咱们在讲前面电的时候
[01878.46-01880.22] 我们给他讲过加用
[01880.22-01881.78] 电压是222是服
[01881.78-01883.58] 那人体安全电压是多少
[01883.58-01884.66] 36服
[01884.66-01885.10] 对吧
[01885.10-01885.98] 这个是服特
[01885.98-01887.86] 那有电压对电池会有电组
[01887.86-01889.22] 电组就是欧母
[01889.22-01890.26] 欧母就是发明了
[01890.26-01891.14] 欧母丁率
[01891.14-01892.38] 这地方大家一定要注意
[01892.38-01893.14] 他就考察
[01893.14-01894.70] 他是很良什么的
[01894.70-01895.78] 然后在这里面
[01895.78-01897.86] 他的对应的人物的成就是什么
[01897.86-01899.26] 这个地方就是考对应
[01899.26-01902.80] 在8個导出單位當中我們卓重去講了壓強
[01902.80-01903.60] 好
[01903.60-01905.90] 這個是我們所說的叫做國際單位
[01905.90-01907.78] 咱們來看一下這個題目
[01907.78-01910.60] 他說1960年的10月
[01910.60-01912.00] 叫第11屆
[01912.00-01914.24] 8個8個什麼國際單位置
[01914.24-01916.00] 然後給到了有7個基本單位
[01916.00-01917.68] 咱們說了什麼程度
[01917.68-01918.64] 智量
[01918.64-01919.36] 對吧
[01919.36-01921.80] 然後還有熱力學溫度等等
[01921.80-01922.62] 這些是這種
[01922.62-01924.98] 他說的發光強度的名稱
[01924.98-01925.76] 咱們剛說
[01925.76-01927.16] 發光強度應該是什麼
[01927.16-01928.18] 看得了
[01928.18-01929.18] 对吧 看得了
[01929.18-01931.98] 这里面的CIRVNK代表的是这里的学温度
[01931.98-01933.10] 有没有法拉电
[01933.10-01934.78] 没有安排代表的是吗
[01934.78-01935.26] 电灵
[01935.26-01935.62] 对吧
[01935.62-01937.30] 所以它是属于基本单位的
[01937.30-01940.22] 所以照题选择的是CD
[01940.22-01941.22] 赵一下来看一下
[01941.22-01943.30] 这个地方就是我们经常会在
[01943.30-01947.06] 考物理支持当中考察的现象和原理的对应
[01947.06-01950.58] 它说下令物品起流的物理学原理对应正确的事
[01950.58-01952.50] 在这里面首先第一个前往进
[01952.50-01953.78] 前往进我们讲过
[01953.78-01954.58] 是不是这样呢
[01954.58-01957.14] 就是你在水下想要关锁水上的东西
[01957.14-01958.94] 要按两面镜子
[01958.94-01961.86] 这个时候光线打在第一面镜子发生反射
[01961.86-01963.86] 然后射到第二面镜子上
[01963.86-01965.34] 所以它是光的什么
[01965.34-01967.50] 光的反射原理
[01967.50-01967.90] 对吧
[01967.90-01969.30] 所以A雪像错了
[01969.30-01971.30] 避捷像水影体文器
[01971.30-01972.94] 就是咱们看到玻璃体文器
[01972.94-01973.90] 玻璃体文器
[01973.90-01975.06] 它是利用的是
[01975.06-01976.98] 为什么能够看到的个滚住上升
[01976.98-01979.54] 利用的是热胶冷缩
[01982.18-01983.62] 热胶冷缩
[01983.62-01984.14] 不行了
[01984.14-01985.14] 咱们前面讲过
[01985.14-01986.86] 博努力原理咱们讲了
[01986.86-01988.06] 咱们当时讲的是啥
[01988.06-01989.42] 是流体的
[01989.82-01991.26] 流速越快
[01992.82-01993.54] 然后
[01994.22-01995.22] 压强
[01995.62-01996.38] 越大
[01998.74-02000.38] 这个咱们是在哪儿讲呢
[02000.38-02001.50] 咱们在那个地方说
[02001.50-02003.10] 你在等高铁的时候
[02003.10-02004.22] 你一定要注意一下
[02004.22-02005.50] 要在黄线以外等候
[02005.50-02006.98] 铁路小静只行通行
[02006.98-02007.86] 咱们当时说了
[02007.86-02010.34] 假设正常的空气 对不对
[02010.34-02013.34] 当我们所说的正常的空气
[02013.34-02014.30] 它是均匀分布的
[02014.30-02016.26] 那如果在这种情况之下突然
[02016.26-02017.90] 高鐵刷的一下就來了
[02017.90-02018.90] 然後刷的一下就走了
[02018.90-02020.62] 他說把中間這一部分的空氣
[02020.62-02021.66] 全都倔走了
[02021.66-02023.38] 中間這部分空氣全都倔走了
[02023.38-02026.02] 這個地方空氣就變得非常的吸火
[02026.02-02027.22] 空氣吸火的話
[02027.22-02028.50] 我們都知道空氣是流動的
[02028.50-02029.62] 那周圍的空氣
[02029.62-02032.82] 是不是都要把中間的空氣給它填補上
[02032.82-02034.02] 那要給它填補上
[02034.02-02036.34] 那這個時候就會把周圍空氣當中
[02036.34-02037.78] 周圍的東西全都剪進來
[02037.78-02038.18] 對吧
[02038.18-02039.86] 這個其實是不溫度的原理
[02039.86-02042.10] 說流速流體流速又快壓抢
[02042.10-02042.62] 越大
[02042.62-02042.94] 對吧
[02042.94-02044.50] 所以在這裡面大注意下
[02044.50-02047.22] 所以必不对必得原理设上冷缩
[02047.22-02049.10] 所以想调于干调于干
[02049.10-02050.06] 其实是什么
[02050.06-02051.50] 咱们前面其中讲过调于干
[02051.50-02053.14] 其实是干干
[02053.14-02054.50] 它可谋擦流闪关系
[02054.50-02056.66] 调于是手拿着干
[02056.66-02058.78] 然后前面是那么老常干的
[02058.78-02059.42] 干净得很长
[02059.42-02061.14] 它很明显是一个废力干干
[02061.14-02063.50] 助设其实压强没有问题
[02063.50-02064.98] 所以调听选择的事
[02064.98-02065.70] 私地
[02065.70-02066.90] 别的选私地
[02066.90-02068.58] 再来看一下下面这套题
[02068.58-02069.98] 说在日常生活当中
[02069.98-02071.82] 我们经常根据不同的需求
[02071.82-02073.42] 去增大或节小压强
[02073.42-02076.90] 说下列对于压强改变去到三项不同的事
[02076.90-02078.38] 这就是我们刚才所说的啥
[02078.38-02080.22] 我们刚才所说的那个点吧
[02080.22-02082.58] 就是压强的基本原理的考察吧
[02082.58-02084.02] 首先A权像说
[02084.02-02085.58] 在网绝机上装旅带
[02085.58-02086.38] 旅带
[02086.38-02088.02] 其实在这种情况这下宽
[02088.02-02089.90] 对吧大家都知道旅带非常宽
[02089.90-02091.30] 那旅带很宽的话
[02091.30-02092.62] 在这里面其实就是
[02092.62-02093.58] 增大了
[02093.58-02095.30] 受力面解
[02095.30-02097.10] 从而減小压强吧
[02097.10-02097.46] 对吧
[02097.46-02098.50] 所以增大说里面解
[02098.50-02099.22] 減小压强
[02099.22-02100.10] 只是第一个
[02100.10-02101.06] 第二个就是
[02101.06-02103.74] 砂发被设计的很柔软
[02103.74-02105.90] 砂发被设计的很柔软
[02105.90-02108.66] 柔软的就是因为你一批过作人去
[02108.66-02111.50] 它如果说这个砂发设计特别硬的话
[02111.50-02114.42] 你作上去你这个时候你的批误给砂发的
[02114.42-02116.46] 收理面具就是你批过的大小
[02116.46-02118.70] 但是如果设计的很柔软的很硬去做的去
[02118.70-02120.78] 那这个时候你的接触面就会变大变小
[02120.78-02122.22] 那接触面就会变大
[02122.22-02125.06] 那接触面就变大的时候压强就会变小
[02125.06-02125.42] 对吧
[02125.42-02127.26] 所以在这里面避选相一样的
[02127.26-02129.06] 所以想像破窗串的垂头
[02129.06-02131.30] 垂头的话面接很小的
[02131.30-02133.42] 那破传传传着垂头面积非常的小
[02133.42-02135.34] 这时候一破传就把玻璃消碎了
[02135.34-02138.50] 所以面积小的时候压墙就会增大
[02138.50-02140.14] 所以在这里面这是C
[02140.14-02143.58] 第四个选项花学板比较困宣的说面积大还是小
[02143.58-02145.98] 面积大 面积大压墙一掉怎么样
[02145.98-02147.78] 一定有小 这是咱们分析的吗
[02147.78-02150.42] 你看这么一分析 哪一个不一样
[02150.98-02151.78] C不一样
[02151.78-02155.22] 其他的都在增大压墙只有C4在剪小压墙的
[02155.22-02156.18] 你看这个点
[02156.18-02157.94] 它就是在考试当中的应用
[02157.94-02159.94] 这个题目它就是在实验单位
[02159.94-02160.94] 或者过程考当中
[02160.94-02162.94] 经常越出的可能考察方式
[02162.94-02163.94] 那它注意一下
[02163.94-02165.94] 这就是我们所说的这个内容
[02165.94-02167.94] 还有在下面说实体演讲中
[02167.94-02168.94] 这个实体演讲的这个题
[02168.94-02169.94] 不是我编的
[02169.94-02172.94] 它是有一年国考当中的一个选项
[02172.94-02173.94] 我只会在这里把这个选项
[02173.94-02175.94] 给它编成了这个文达的形式
[02175.94-02177.94] 它说假如地球的重力加速度
[02177.94-02179.94] 简为现在的一半
[02179.94-02181.94] 重力加速度是不是这个小界
[02181.94-02182.94] 那简为现在的一半
[02182.94-02183.94] 就是二分之一级了
[02183.94-02184.94] 对吧
[02184.94-02186.94] 它说现在的重力加速度简为一半
[02186.94-02191.02] 第二,雲耳在香同使水下感受到的壓墻式
[02191.02-02192.38] 我們前面請說到
[02192.38-02195.10] 怕死也所得出來結論是一個事務
[02195.10-02199.54] 他所受到的壓墻和事務的進密度有關系
[02199.54-02202.74] 和眾力加速度有關,也和他的深度有關
[02202.74-02205.94] 你看現在都是在香同水身下
[02205.94-02207.66] 都是水,沒有問題
[02207.66-02209.22] 深度一樣
[02209.22-02210.50] 只不過現在水面了
[02210.50-02211.94] 只不過現在這個小跡變了
[02211.94-02215.94] 小跡,他原本是我們所說的正常的數值
[02215.94-02219.74] 现在变得一元来的一半,相当远,这是之前的
[02220.74-02223.04] 这个是现在所提到的
[02223.04-02226.78] 那他所收到的压墙就是肉,就是水的密度
[02227.74-02231.24] 成以二分之一计了吧,因为他是变得一半的嘛
[02231.24-02233.84] 在成以相同的深度嘛,因为他说水深一样
[02233.84-02235.34] 就用情况,就像你看到了
[02235.34-02239.64] 那他现在所收到的压墙,变大了还是变小了,还是保持不变
[02240.54-02243.54] 变小了,对吧,因为中年这个数变小了嘛
[02243.54-02245.16] 所以它是否保持不便呢
[02245.16-02246.66] 其实不是也是变小了
[02247.66-02248.98] 它当时是这个体感
[02248.98-02249.46] 然后说
[02249.46-02252.18] 那让我们去试分析相同水下深度
[02252.18-02253.98] 于而所受到的压墙的情况
[02253.98-02255.30] ABCD4个选项
[02255.30-02256.90] 我觉得那个选项太麻烦了
[02256.90-02258.26] 我就直接变成这个了
[02258.26-02259.62] 所以我之前给大家讲的这个
[02259.62-02260.66] PASGA实验
[02260.66-02262.26] 它其实就是会考这个细节
[02262.26-02262.74] 好吧
[02262.74-02264.02] 这个就是我们所说的
[02264.02-02267.38] 关于我们提到的这个基本单位的这个问题
[02267.94-02270.54] 那讲完了一些单位的基本问题之后
[02270.54-02272.58] 我们接下来看一下第二个方面
[02272.58-02275.42] 就是现在物理学的两大之处之一
[02275.42-02276.30] 就是相对乐
[02276.30-02278.22] 我们先来看一下相对乐当中
[02278.22-02280.26] 第一个点就是它是由谁创立的
[02280.26-02282.70] 这个咱们在科技发展
[02282.70-02283.90] 就是在科技革命的时候
[02283.90-02285.02] 其实有给大家去说的
[02285.02-02287.38] 同一标者一下是安斯坦创立的
[02287.38-02289.10] 安斯坦是创立的相对乐
[02289.10-02290.26] 分为两个部分
[02290.26-02291.82] 一个叫做霞翼相对乐
[02291.82-02293.66] 还有一个叫做广翼相对乐
[02293.66-02297.02] 那么先来看一下这里所谓的霞翼相对乐
[02297.02-02299.02] 也就是在书上所给到的
[02299.02-02302.42] 阿拉伯数字一,其实他在探討下一项对论的内容
[02302.42-02305.02] 想一想对论咱们先来看一下他打说的
[02305.02-02308.82] 他说是接示了时间空间与误纸运动的不可分析
[02308.82-02311.62] 是核武器发明的理论基础
[02311.62-02313.42] 这个说的是想一想对论
[02313.42-02315.62] 他身上的考点呢,其实并不少
[02315.62-02317.22] 首先第一个同标准一下
[02317.22-02320.22] 想一想对论是核武器发明的理论基础
[02320.22-02324.22] 这个理论基础来自于什么呢,来自于我们所说的智能方程
[02324.22-02326.82] 这个智能方程呢,其实大家应该都知道
[02326.82-02328.22] 智能方程的公式
[02328.22-02331.16] 同时标注在旁边就是一等于
[02331.16-02332.98] iMucy的平方
[02332.98-02337.66] 这里面的一代表的是能量iMuc代表的是一个物体的质量
[02337.66-02339.94] 而这个C代表的是光素
[02339.94-02342.76] 我们之前说了C代表的这个光素
[02342.76-02344.18] 它的这个大小
[02344.84-02346.84] 它其实是等于我们所提到的
[02346.84-02350.42] 2.9成一时的8次方米
