[00000.00-00004.36] 那我們了解了行政法的蓋數之後我們接下來來看一下
[01174.10-01178.06] 当时处发法定 指的是行政处发没有依据
[01178.06-01181.58] 或者实施主体不具有行政主体资格的时候
[01181.58-01185.38] 处发无效 或者是违反法定 够成
[01185.38-01188.26] 法定程序过程重大 明显违反的
[01188.26-01189.82] 行政处发无效
[01189.82-01192.86] 换句话说 也就是我们常见的处发必须怎么样
[01192.86-01195.34] 与法有句 比如说行政处发
[01195.34-01198.78] 就咱们书上规定的内级内以及我们所说的可以
[01198.78-01200.98] 有哪些文件创设新的处发
[01200.98-01203.42] 如果输上规定的这种触发
[01203.42-01205.42] 它没有它与法无剧
[01205.42-01206.66] 但是它非得反应
[01206.66-01207.58] 这种情况之下
[01207.58-01209.02] 它的种触发就属于什么
[01209.02-01210.42] 就是有无效触发
[01210.42-01211.62] 无效触发你可以怎么办
[01211.62-01213.38] 你可以申请呼应可以直接去告他
[01213.38-01215.06] 或者相当的赔偿
[01215.06-01216.42] 所以在这里我们所说的
[01216.42-01218.18] 第一个原则就叫做触发
[01218.18-01218.82] 法定
[01218.82-01220.46] 所以触发法定当中就是
[01220.46-01221.14] 大家注意一下
[01221.14-01222.14] 没有一句
[01222.14-01226.18] 或者是主体不具有资格的触发无效
[01226.18-01226.82] 触发无效
[01226.82-01228.58] 所以大家注意一下这个点就OK了
[01228.58-01230.74] 只是第一个叫做触发法定原则
[01230.74-01233.38] 他相對來說會比較簡單一點
[01233.38-01236.14] 那第二個原則是我們的重點原則了
[01237.14-01238.38] 同樣標準一下
[01239.14-01241.26] 第二個原則是一個重點原則
[01241.26-01242.38] 在旁邊標準
[01242.38-01245.02] 叫做儀式不再法原則
[01245.02-01246.26] 儀式不再法原則
[01246.26-01247.06] 這個點
[01247.06-01249.06] 他比較喜歡考判斷題
[01249.06-01250.14] 或者是
[01250.54-01252.74] 我們所說的這種變息選項
[01252.74-01254.86] 就是以下關於儀式不再法原則說法
[01254.86-01256.10] 正確或錯誤的事
[01256.10-01257.62] 他比較喜歡這麼去考
[01257.62-01258.38] 所以這個點
[01258.38-01259.30] 他不難
[01259.30-01261.30] 这稍微的有一点肉
[01261.30-01262.94] 咱们来看一下什么叫做
[01262.94-01264.14] 一世不再法
[01264.14-01266.34] 它说一世不再法的原则
[01266.34-01268.30] 指的是当世人画一下
[01268.30-01271.18] 当世人的同一个违法行为
[01271.18-01274.42] 不得举与两次以上的法款的行动触发
[01274.42-01276.38] 同时把同一个画出来
[01277.38-01279.14] 把两次画出来
[01279.14-01281.06] 把法款画出来
[01281.06-01282.06] 所以在这里
[01282.06-01283.62] 大家注意它想说的
[01283.62-01285.18] 当时对同一个违法行为
[01285.18-01286.74] 不得举与两次以上的什么
[01286.74-01288.46] 行政法款
[01288.46-01293.06] 你在旁邊寫上,那他想說的是吧,一個違法行為,法寬只能反幾次。
[01293.32-01296.90] 大家注意一下,他想強調的是,一個違法行為。
[01298.70-01302.80] 一個違法行為,法寬只能法一次。
[01308.68-01310.32] 法寬只能
[01311.00-01313.36] 法一次,不能法兩次。
[01313.36-01317.60] 所以我們經常說了,這句話很少會考察說,
[01317.60-01320.42] 什么医师不在法院子给你这个原本他不会了
[01320.42-01321.68] 他会把这一块给你
[01321.68-01322.72] 肉成好凉个湾
[01322.72-01323.82] 然后这么去靠我们
[01323.82-01325.28] 所以大家注意一下所谓的
[01325.28-01328.10] 我们所说的医师不在法院子就是一个维法行为
[01328.60-01329.88] 法款只能发一次
[01329.88-01332.44] 你说老师什么叫做一个维法行为法款只能发一次呢
[01332.44-01333.72] 几个简单的例子
[01333.72-01335.78] 假设呢我现在是一个造职场
[01338.08-01339.24] 那我现在是一个造职场
[01339.24-01341.16] 大家都知道造职场他干嘛他排舞啊
[01343.20-01344.60] 然后呢我这个造职场呢
[01344.60-01346.86] 我在生产指的这个过程当中
[01346.86-01349.10] 我就做了一下这么几件事
[01349.10-01349.94] 拿一件事
[01350.18-01351.22] 第一件事就是
[01351.22-01352.34] 我把这个造制场
[01352.34-01354.02] 剑在这个合流的上游
[01354.02-01356.14] 然后我说了我现在上游的目的
[01356.14-01357.22] 其实很简单
[01357.22-01357.86] 干吗呢
[01358.38-01361.18] 我就是想把这个造制场排出去的墓水
[01361.18-01362.34] 排到老板性的
[01362.34-01363.42] 所以我就墓点
[01363.42-01365.30] 现在上游我就想下游
[01366.82-01367.58] 排墓水
[01370.66-01372.82] 而我排放墓水的这个行为
[01372.82-01374.30] 它本身同一来看一下
[01374.30-01375.90] 我排放墓水的这个行为
[01375.90-01380.38] 首先第一个我对环境有没有造成影响造成影响了吧
[01380.38-01384.06] 第二个我对居民生活也没有造成影响造成影响了吧
[01384.06-01386.10] 所以你看我这同一个行为
[01386.10-01389.82] 那就因为我对环境造成影响相关的环位部门
[01389.82-01394.10] 或环抱部门可不可以发握可以发握可以可以对我进发块吗
[01394.10-01396.50] 那我同时对居民的生活造成影响
[01396.50-01399.50] 同时我也没反了市场监管管理规定
[01399.50-01402.30] 那工商局监管部门可不可以发握可以
[01402.30-01404.06] 它们也都可以对我进发块
[01404.06-01406.36] 但是你看我就排放污水
[01406.36-01407.38] 一个行为
[01407.38-01410.20] 这个时候大家就排着对来找我发款了
[01410.20-01411.48] 首先是环保部门
[01411.48-01413.78] 先过来说你看你们的那种环品都没过
[01413.78-01415.32] 对外当时环品都造假的
[01415.32-01416.98] 你现在往下流排水
[01416.98-01419.10] 你排到那些污水把下流老外相当生活
[01419.10-01421.60] 找了一套鼓涂配无良期也不要脸
[01421.60-01423.00] 对吧来吧发款
[01423.00-01424.28] 发我20个万
[01424.28-01425.64] 对吧那你看这是环
[01425.64-01426.72] 环保部门来找我了
[01426.72-01428.32] 我说对对你说对我说
[01428.32-01429.58] 我不要脸无视人
[01429.58-01430.04] 对吧
[01430.04-01431.20] 我是排污水的行为
[01431.20-01432.86] 就是天地不容的会早天显的
[01432.86-01435.02] 所有排屋水的行为都应该遭到前天
[01435.02-01437.42] 不要脸陪我身客监团和反思了
[01437.42-01438.62] 然后我把钱交上了
[01438.62-01439.26] 把钱交上了
[01439.26-01442.62] 这后两天市场监督管理部门也来了
[01442.62-01445.02] 然后是市场监督管理部门来着说
[01445.02-01447.98] 你看你在整个排屋的对过程当中
[01447.98-01449.98] 你简认就为反市场监督管理围定了
[01449.98-01450.78] 来个交钱吧
[01450.78-01451.58] 他又发我钱
[01451.58-01453.26] 他又发了我20个万
[01453.26-01454.22] 他们来看一下
[01454.22-01455.90] 我排屋的行为住一个
[01455.90-01457.66] 他们两个可不可以说
[01457.66-01460.06] 在这个里面给我出一两次发款
[01460.62-01461.10] 不行
[01461.10-01463.46] 因为针对一个违法行为只能法款
[01463.46-01464.24] 以次
[01464.24-01464.94] 大家注意一下
[01464.94-01467.46] 我这里说的是法款只能法一次
[01467.46-01469.46] 是不是说的只能处法一次
[01470.70-01471.46] 大家注意
[01471.46-01473.54] 一个违法行为法款只能法一次
[01473.54-01474.46] 而不是什么
[01474.46-01477.42] 而不是只能处法一次
[01480.70-01484.30] 而不是只能处法一次
[01484.46-01485.74] 你说老实这啥意思
[01485.74-01487.26] 法款最多法一次
[01487.26-01489.38] 但是处法不一定只有法款
[01489.38-01492.12] 大家注意一下 触发可不可以还能有其他的形式
[01492.12-01493.76] 当然也可以有其他的形式
[01493.76-01498.14] 比如说 原本是市场监督管理部门或者是工商部门
[01498.14-01500.60] 觉得我的运行为反市场相对规定
[01500.60-01502.44] 它先给了我一次发款
[01502.44-01504.78] 然后过了几天 环保部门又来了
[01504.78-01507.92] 说我的这个企业运行 它不符合规定要求我
[01507.92-01510.80] 怎么样 停产或者是限制我的生产经营
[01510.80-01512.90] 你看 它们两个一个是发款
[01512.90-01514.84] 一个是限制生产经营
[01514.84-01517.24] 它们两个都属于形装触发
[01517.24-01519.40] 那这两个形容主发同们能够发现
[01519.40-01521.08] 是不是同一个类别的
[01521.08-01522.28] 不是同一个类别的
[01522.28-01525.16] 那可不可一标求我都尊许呢
[01525.16-01526.00] 都可以
[01526.00-01528.24] 因为我们在这里的不在法原则
[01528.24-01529.28] 强调是什么
[01529.28-01531.36] 强调的是法款只能法一次
[01531.36-01533.12] 而不是处法只能法一次
[01533.12-01533.80] 明白了吧
[01533.80-01535.52] 所以这是第二个小的细节
[01535.52-01536.44] 大家要明确
[01536.44-01538.04] 那第三个小的细节是什么呢
[01538.04-01539.76] 就是它输上给到的这个点
[01539.76-01541.68] 说说同一个维法行为
[01541.68-01544.88] 叫维反多个法律规犯应与法款处法的
[01544.88-01546.12] 比如说我刚才说了
[01546.12-01548.32] 工商部门要罰我钱 罰10万
[01548.32-01551.48] 环境保护部门要罰我钱 罰这个20万
[01551.48-01555.32] 你看 它们其实是针对一个为法行为 都要有有罰款
[01555.32-01557.32] 那不说了 罰款又只能罰一次
[01557.32-01560.00] 我是教10万还是教20万 他就给到了
[01560.00-01562.92] 说如果说要有多个罰款的 按什么来
[01563.92-01565.32] 按数项高的来
[01566.84-01568.80] 那我就按多少 教完
[01568.80-01571.72] 我就要教20万 我就要教那个20万
[01571.72-01574.92] 所以这个是一世不再罰的原则
[01574.92-01577.10] 所以是不再发言者容易考遍惜
[01577.10-01579.12] 你要知道是法款只能发言者
[01579.12-01581.00] 不是触发只能发言者
[01581.00-01584.84] 这个就是我们在形容触发基本原则当状
[01584.84-01587.12] 需要通行的去注意的内容
[01587.12-01588.48] 这是第二个点
[01588.48-01590.12] 主点点叫触发大
[01590.12-01591.08] 基本原则
[01591.08-01592.84] 那么无论是讲了触发的
[01592.84-01594.64] 盖述我还触发的基本原则
[01594.64-01596.68] 我们其实都是停留在形容触发
[01596.68-01599.28] 它到底是什么的概念
[01599.28-01600.56] 我们除了了解
[01600.56-01602.80] 它到底是什么最终形的基本原则之外
[01602.80-01604.80] 我们接下还要去掌握另外一个点
[01604.80-01607.28] 是咱们说了半天行政处罚了
[01607.28-01610.56] 行政处罚他到底包含哪些内容呢
[01610.56-01611.56] 我们来看一下
[01611.56-01614.20] 接下来给到的叫行政处罚的种类
[01614.20-01615.52] 行政处罚的种类呢
[01615.52-01618.20] 同没有做一个两星期的知识典去掌握
[01618.20-01620.00] 你把这里面的点都背下来
[01620.00-01622.00] 他一旦考察到具体案例的时候
[01622.00-01624.52] 你就知道他属于具体行政行为了
[01624.52-01625.64] 这是第一层次
[01625.64-01627.36] 第二层次你要知道这些内容呢
[01627.36-01630.72] 他容易回销什么行政强制错失
[01630.72-01633.00] 和行政强制執行来考察我们
[01633.00-01634.68] 你要能把他们取索贪
[01634.68-01636.28] 所以在总内这个地方
[01636.28-01638.40] 他考察就是容易考察低购
[01638.80-01640.56] 他适合属于具体形状性委
[01640.56-01642.24] 来考察理解形状题目
[01642.24-01644.04] 第二个考实际形状题目
[01644.04-01646.64] 混淆其他的概念来考察
[01646.64-01649.40] 所以在这里没有把它记得非常的清晰
[01649.40-01651.88] 在这里我们先从宏观上来看一下
[01651.88-01653.84] 我们整个形状处罢报控
[01653.84-01654.72] 先内容
[01654.72-01656.44] 第一个在这里面给到了
[01656.44-01658.36] 叫做行政拘留
[01658.36-01660.00] 行政拘留其实就是把它怎么样
[01660.00-01661.20] 行政拘留就换句话说的
[01661.20-01662.52] 就是把人给他
[01662.52-01663.24] 关起来
[01663.24-01665.04] 所以形容具体的体制
[01665.04-01667.56] 我们所说的形容处罚上属于什么
[01667.56-01668.88] 属于人身法
[01668.88-01672.12] 这是短暂的波读人的自由的这种方法
[01672.12-01672.44] 对吧
[01672.44-01673.28] 我们经常看到
[01673.28-01673.60] 对吧
[01673.60-01674.88] 在大街上喝完酒
[01675.20-01675.88] 怎么样
[01675.88-01678.24] 那是这时候抓起来关的三五天
[01678.24-01678.64] 对吧
[01678.64-01679.84] 又或者我们经常看到
[01679.84-01681.40] 在大街上随意慢慢踏人的
[01681.40-01682.60] 互相图口水的
[01682.60-01683.96] 还是脚的整个
[01683.96-01684.68] 我们所说的
[01684.68-01686.08] 公共秩序一套糊涂的
[01686.08-01687.72] 一般情况都会被警察说
[01687.72-01688.32] 带走
[01688.32-01689.84] 进去请去喝喝茶
[01689.84-01690.48] 关系天
[01690.48-01690.84] 对吧
[01690.84-01691.56] 随即天
[01691.56-01693.36] 那这种情况之下就属于什么
[01693.36-01694.38] 就属于形狀居了
[01694.38-01695.90] 是包括咱们看到的
[01696.68-01697.70] 电视剧
[01697.96-01700.00] 这就是上半年特威民内电源
[01700.26-01701.04] 狂标
[01701.04-01703.34] 对吧狂标就是里面那个高棋墙
[01703.34-01704.36] 但应该还记得吧
[01704.62-01707.68] 就是到了后期高棋已经成为强割的时候
[01707.68-01710.24] 然后有一次那个李翔把他扣
[01710.24-01712.56] 拿那个手扣子扣在那个楼梯上
[01712.56-01715.36] 就那一个片段他大喊那个安心安心
[01715.62-01717.16] 你看他那一次的话
[01717.16-01717.68] 这是什么
[01717.92-01719.72] 就是他老婆后来给他送衣服
[01719.72-01722.12] 他怕自己被他老婆发现了
[01722.12-01723.80] 然后他就告诉安心给他接手靠子
[01723.80-01726.00] 然后安心去赶紧给他把手靠解开
[01726.00-01729.56] 解开之后他就进到了那个一楼的那个小房间里面
[01729.56-01731.32] 他在那里面带了几天之后
[01731.32-01732.84] 后来他出来了
[01732.84-01734.52] 出来了之后你看那个唐小虎
[01734.52-01736.52] 然后他们那个什么建工集团
[01736.52-01738.08] 是开的大车去迎接他
[01738.08-01740.00] 然后还给他拿那个鸥汁
[01740.00-01741.48] 去给他撒撒区就会写
[01741.48-01743.28] 你看他带了几天就出来了
[01743.28-01744.28] 那这种情况之下
[01744.28-01746.52] 他在关局里带那几天就属于什么
[01746.52-01749.20] 就属于我们所说的行政居留
[01749.20-01752.92] 所以形容距離是短期波躍人身自有的制裁方法
[01752.92-01755.68] 在形容距離有有幾個細節的點大注意
[01755.68-01757.76] 形容距離有那一共是有三個細節點
[01757.76-01759.36] 你可以標準在旁邊
[01759.36-01762.20] 第一個在形容距離有上的細節點大家要注意一下
[01762.20-01765.62] 形容距離有的決定主體和直形主體
[01765.62-01767.16] 只能是關機關
[01768.76-01769.80] 現在旁邊
[01770.92-01772.64] 只能公安機關
[01773.48-01775.50] 去決定和直形
[01775.50-01776.52] 形容距離
[01776.52-01783.56] 我现在下面决定直行只能公安机关去决定和直行行政局留
[01783.56-01784.96] 其他机关不行
[01784.96-01788.04] 能不能说工商局他去把人抓起来
[01788.04-01789.32] 他没有这个资格
[01789.32-01792.80] 所以在这里大家注意一下形容拒留的直行机关和决定机关
[01792.80-01795.16] 只能是公安机
[01795.16-01796.24] 只能是公安机关
[01796.24-01797.40] 一说只能是公安部门
[01797.40-01798.48] 其他部门不行
[01798.48-01799.24] 这是第一个
[01799.24-01799.88] 大家都知道
[01799.88-01802.00] 就拒留这种床所一般都是的拒留所
[01802.00-01803.24] 这是在这第一个
[01803.24-01805.44] 第二个在这里面大家注意一下
[01805.44-01807.26] 我们说了 那行政拒留行政拒留
[01807.26-01808.72] 行政拒留是把你关起天
[01808.72-01809.78] 那到底关起天呢
[01809.78-01811.70] 那一般情况这下我们就来看一下
[01811.70-01813.82] 如果是单个行政拒留的话
[01815.56-01817.78] 如果是单个行政拒留最长多少天
[01818.10-01819.50] 大家在单个单独可以
[01820.00-01821.84] 互动一下最长多少天
[01821.84-01822.68] 15天
[01822.68-01822.98] 对吧
[01822.98-01823.96] 这个答应应该都知道
[01823.96-01826.56] 单个行政拒留最长事15日
[01826.56-01828.46] 那如果说公民贩量注意
[01828.46-01830.06] 上运动受到拒留个行为呢
[01830.06-01831.84] 就是他做了一个A行为
[01831.84-01834.26] 要拒留作了一个B行为也要拒留
[01834.26-01834.68] 对吧
[01834.68-01838.26] 这个时候我们说了形容距離可以怎么样,可以和病
[01838.26-01841.60] 这个时候形容距離和病的话,大家就知道
[01841.60-01843.38] 哪是了
[01843.38-01847.48] 形容距離和病,大家在旁标主一下,最长不超过多少
[01847.48-01850.04] 最长不超过20日
[01850.04-01853.88] 最长不超过20日
[01853.88-01855.16] 这是第2个
[01855.16-01856.44] 第3个,它还注意一下
[01856.44-01859.00] 形容距離只得是公安机关去做的
[01859.00-01864.12] 我们经常有会看到其他的距離,比如说我们经常会听到形式距離
[01864.12-01865.84] 形式拘留他属于什么
[01865.84-01867.68] 他就不是形政法的翻为了
[01867.68-01869.84] 形式拘留是这个人犯罪了
[01869.84-01870.72] 给他抓起来
[01870.72-01873.08] 他是形法的犯筹
[01873.08-01876.28] 我们经常还会听到另外一个此叫做司法拘留
[01876.28-01877.24] 司法拘留是什么
[01877.24-01880.08] 就是我在法院或者是法庭上公开闹事
[01880.08-01881.20] 然后呢 法警
[01881.20-01882.56] 或者是什么
[01882.56-01883.76] 就是那个 什么样
[01883.76-01884.40] 什么样
[01884.40-01884.44] 反正啊
[01884.44-01885.20] 反一挑传说
[01885.20-01886.20] 把这个人够扎起来
[01886.20-01887.48] 你这种情况上我扰了
[01887.48-01888.20] 法庭秩序了
[01888.20-01889.84] 这个时候会继续我相够处法
[01889.84-01890.56] 这个叫什么
[01890.56-01892.08] 这个叫做司法拘留
[01892.08-01893.12] 所以他就一下
[01893.12-01895.52] 行政局留和形式局留和司法局留
[01895.72-01897.12] 亚哥主故是一会是
[01897.12-01900.56] 他是分别分数于不同的部门法的
[01900.72-01902.72] 所以在这里我们强调的是行政局留
[01902.72-01905.20] 所以把他和形式局留还有司法局留
[01905.32-01908.40] 一定一定要分开同学们这个点大家要明确
[01908.52-01912.12] 这个呢是我们所说的叫做行政局留
[01912.12-01912.92] 行政局留
[01913.12-01915.32] 只是第一个叫做人身法
[01915.32-01915.92] 人身法
[01915.92-01917.72] 第二个呢叫做资格法
[01917.72-01921.20] 资格法呢是针对于你从事某种生产经营
[01921.20-01923.76] 这个时候你看资格法包括什么呢
[01923.76-01926.06] 包括贪扣虚可证件
[01926.06-01927.08] 就是把你这个证
[01927.08-01928.12] 再时间你扣下来
[01928.12-01930.04] 或者是降低资质等级
[01930.04-01932.20] 或者是掉销虚可证件
[01932.20-01934.12] 所以贪扣掉销虚可证
[01934.12-01935.56] 它属于资格法
[01935.56-01936.92] 比如说贪扣虚可证
[01936.92-01940.76] 就是暂时限制你从事某种活动的能力
[01940.76-01941.68] 比如说
[01941.68-01944.48] 现在我把你的价值证给你扣下了
[01944.48-01947.00] 贪扣多少钱 贪扣多少钱
[01947.00-01948.84] 贪扣多少时间 贪扣6月
[01948.84-01950.40] 他们这6月之内
[01950.40-01951.42] 你就只能怎么样
[01951.42-01953.22] 你就只能靠11路上班了
[01953.22-01955.08] 你什么11路靠头儿着去了
[01955.08-01956.28] 那这个时候你看
[01956.28-01958.22] 它其实也是具有一定的什么
[01958.22-01959.24] 成节目的
[01959.24-01961.00] 所以你看这种叫做贊购
[01961.00-01962.60] 同时来看贊购
[01962.60-01963.90] 它只是短暂的
[01963.90-01965.96] 我们所说的这样的一个实效
[01965.96-01967.48] 所以它不是说永久
[01967.48-01969.52] 那贊购它是相当的时间标断的
[01969.52-01970.84] 而调销是什么
[01970.84-01972.76] 而调销是永久的波朵
[01972.76-01973.64] 你这相能力了
[01973.64-01975.80] 比如说你做一个律师
[01975.80-01977.96] 我调销你的律师指账之后
[01977.96-01979.32] 你就算失了
[01979.32-01981.96] 律師身份從事司法活動的資格
[01981.96-01983.44] 你做一個注册快食物
[01983.44-01985.60] 把你的注册快食任率掉銷了
[01985.60-01987.72] 你就算是了這種審計的
[01987.72-01991.00] 在我們所說的什麼快食食物所裏面
[01991.00-01993.00] 這種無於德水的這種生活
[01993.00-01993.88] 所以大家注意一下
[01993.88-01995.12] 贊控是贊使的
[01995.12-01996.44] 但是後面會還給你
[01996.44-01997.68] 而掉銷什麼擁久的
[01997.68-01999.32] 擁久的波羅勒你從事
[01999.96-02002.28] 這種工作的這種資格
[02002.28-02003.32] 所以在這裡你看
[02003.32-02004.76] 無論是贊控還是掉銷
[02004.76-02006.68] 它有用給你增加新的負擔
[02006.68-02009.76] 本身就是对你全意的极大的一种检损
[02009.76-02011.06] 所以在这里大家注意
[02011.06-02013.48] 也有赞后和调修政劲
[02013.48-02015.44] 还有一个就是降低资烈等级
[02015.44-02016.60] 这个降低资烈等级
[02016.60-02019.80] 最为场见的其实就是现在的建筑公司
[02019.80-02022.40] 你看现在建筑公司还有一级二级
[02022.40-02023.40] 等等 对吧
[02023.40-02025.88] 你都知道每一级的建筑资质
[02025.88-02027.52] 它能够用对的项目
[02027.52-02028.72] 以及局育的项目的
[02028.72-02030.84] 是说政策它其实都是不一样的
[02030.84-02032.64] 如果是降低资烈等级的话
[02032.64-02035.68] 对一个企业来说是非常大的一个问题
[02035.68-02039.06] 因为你一级和二级相用的建立自治
[02039.06-02040.66] 能成帽的项目都不一样了
[02040.66-02042.66] 因为将来之后回头那么容易嘛
[02042.66-02045.10] 其实对起来说是一个非常大的一个损失的
[02045.10-02046.88] 所以你看降低资料等级
[02046.88-02049.38] 它不得不为不言格
[02049.38-02049.66] 对吧
[02049.66-02050.80] 所以在这里你看
[02050.80-02053.32] 它其实也是增加了企业的腐单
[02053.32-02055.20] 所以在这里面降低资料等级
[02055.20-02057.00] 它其实就是我们所说的什么法
[02057.00-02057.88] 资格法
[02057.88-02059.24] 所以在这里面
[02059.64-02061.12] 我们所说的第二类叫做
[02061.12-02062.68] 贞扣掉销续个正
[02062.68-02064.44] 降低资料等级
[02064.44-02066.68] 第三一类就叫做行为法
[02066.68-02068.40] 行为法主要针对的是什么呢
[02068.40-02069.56] 企业和个人
[02069.56-02071.24] 比如说你看他叫这里第一个
[02071.24-02073.08] 叫限制生产经营
[02073.08-02075.28] 左立停产停业
[02075.28-02076.76] 左立关闭
[02076.76-02078.56] 他主要针对的是企业
[02079.72-02080.44] 最后一个呢
[02080.44-02081.32] 限制从业
[02081.32-02082.60] 他主要针对的是什么
[02082.60-02083.68] 是个人
[02083.68-02085.48] 所以这种就叫做行为法
[02085.48-02086.20] 那像这里面
[02086.20-02088.28] 什么限制生产经营活动
[02088.28-02088.80] 对吧
[02088.80-02090.92] 那我们比较常见的
[02090.92-02092.48] 比如说像保险公司里面的
[02092.48-02093.08] 对吧
[02093.08-02097.04] 他经常就会在保险法当中相应的这种规定
[02097.04-02098.68] 他在保险法当中就说了说
[02098.68-02101.28] 如果你出现了什么样的情节严重呢
[02101.28-02103.08] 叫限制你的从业犯为
[02103.08-02106.96] 这个限制从业犯为呢就叫做限制生产经活动
[02106.96-02108.72] 责令停产停业的就一下
[02108.72-02111.72] 责令停产停业就是给你欺贤让你去整改
[02111.72-02113.84] 比如说我说我污水排放的这个事
[02113.84-02115.64] 那我污水排放的这个事呢
[02115.64-02117.08] 你可以让我怎么样
[02117.60-02120.76] 告诉我暂时把这个造制场关一下
[02120.76-02122.52] 然后你该好了之后你再开
[02122.52-02125.84] 那这种叫做什么叫做责利用停产停业
[02125.84-02126.60] 叫责利用停业
[02126.60-02128.52] 它其实是一种暂时性的性格
[02128.52-02130.28] 但是大家注意一下对于一个起来说
[02130.28-02133.12] 它如果说一旦说你正常运游
[02133.12-02137.12] 然后呢教你暂时停下对来说都是一种比较大的損失
[02137.12-02138.80] 而责利关闭就是什么
[02138.80-02140.08] 关闭就是永久的了
[02140.08-02142.08] 所以在这里你可以简单标注意下
[02142.08-02143.20] 责利用停产停业呢
[02143.20-02145.04] 它可以说是一种暂时的
[02148.88-02149.72] 暂时的
[02149.72-02154.72] 而责令关闭就是永久的了
[02154.72-02156.72] 用久的了
[02156.72-02158.72] 所以在这里大家要注意一下
[02158.72-02160.72] 这是我们所说的
[02160.72-02162.72] 针对于企业生产来看的
[02162.72-02163.72] 针对企业生产来看
[02163.72-02165.72] 如果针对于个人来看的话
[02165.72-02166.72] 一般情况之下
[02166.72-02167.72] 就是在行为法上
[02167.72-02168.72] 就是限制他进行怎么样
[02168.72-02170.72] 就是限制他进行恐业
[02170.72-02173.72] 比如说你因为你的正书造假
[02173.72-02176.72] 我就限制你在纪念内部的
[02176.72-02177.72] 从事什么什么行业
[02177.72-02179.96] 或是幾年內部的從什麼相關工作
[02179.96-02181.68] 那這個手機要做限制
[02181.68-02182.56] 從業
[02182.56-02184.08] 這個就叫做行為法
[02184.08-02186.24] 但是這裡面自個法也好行為法也好
[02186.24-02187.20] 它沒有細節
[02187.20-02189.48] 同樣就是對於它的種類有具體要解決
[02189.48-02190.04] 就行了
[02190.04-02191.80] 那這樣現在就是財產法
[02191.80-02192.60] 財產法就是什麼
[02192.60-02193.28] 就是法目
[02193.28-02193.92] 你就簡單計
[02193.92-02195.64] 財產法就是法
[02195.64-02196.16] 墨
[02196.16-02197.12] 法指的是什麼
[02197.12-02197.64] 法款
[02197.64-02200.00] 墨指的就是墨收山
[02200.00-02201.48] 要么就是墨收圍發索的
[02201.48-02202.44] 要么就是墨收
[02202.44-02202.76] 墨收
[02202.76-02203.32] 財務
[02203.32-02204.84] 咱目前在考試當中
[02204.84-02206.76] 對於非法財務和非法挫抖
[02206.76-02209.16] 对于他这两个细节没有什么考察
[02209.16-02210.56] 所以咱们简单了解就行了
[02210.56-02211.88] 就知道法款
[02211.88-02215.28] 莫收
[02215.28-02218.12] 这里莫收第一个就莫收非法财务
[02218.12-02221.20] 非法财务主要是只直接用于北法
[02221.20-02223.36] 切属于本人这种物品
[02223.36-02226.36] 那叫这种就叫做非法财务
[02226.36-02228.24] 北法所得就是你拿这些东西
[02228.24-02230.56] 赚的这个钱就叫做北法所得了
[02230.56-02232.08] 这个细节没有考过
[02232.08-02233.88] 但是考财产法
[02233.88-02234.84] 他属于哪
[02234.84-02238.56] 它有哪两个就知道和前有关的就叫做法末就可以了
[02238.56-02241.20] 那在我下的就是在形容处罚到书
[02242.20-02243.60] 最轻的一种了
[02243.60-02246.36] 那这种最轻的就叫做生育法
[02246.36-02247.00] 生育法
[02247.00-02248.12] 生育法大家就知道
[02248.12-02249.12] 生育法就什么
[02249.12-02251.56] 就是给你一个警告呗
[02251.56-02252.76] 那这位常见的就是上
[02252.76-02255.28] 就是警告和通报批评
[02255.28-02256.72] 警告和通报批评
[02256.72-02258.00] 这里面的警告
[02258.00-02260.60] 我们必要常见它是一种精神上的一种资财
[02260.60-02260.96] 对吧
[02260.96-02262.80] 你经常做错了什么事
[02262.80-02264.40] 这就要给你一个警告
[02264.40-02266.16] 但是大家注意一下中警告呢
[02266.16-02267.80] 它是書面警告
[02267.80-02269.80] 我们一般请安置因为警告都是口头
[02269.80-02271.44] 但是我教育就很清楚是的
[02271.44-02273.44] 如果是对于形容主法来说的话
[02273.44-02274.76] 所有的形容主法
[02274.76-02276.88] 它都必须有書面的形式
[02276.88-02278.32] 包括警告也是一样的
[02278.32-02280.08] 所以同时把这个警告圈出来
[02280.08-02281.20] 可以在旁边写上
[02281.20-02283.72] 警告必须要求是書面的
[02283.72-02285.60] 就是它必须给你一个
[02285.60-02287.52] 書面的主法决定说
[02287.52-02289.12] 上面写上两个字
[02289.12-02290.24] 警告对吧
[02290.24-02292.24] 或者是叫主法决定说
[02292.24-02294.04] 然后因为什么事
[02294.04-02297.24] 然后一句什么几句相应的警告处罚
[02297.24-02298.88] 他必须给你一个数面
[02298.88-02300.40] 不能说口头警告你
[02300.40-02301.44] 他如果给你形独
[02301.44-02302.60] 必须是数面的
[02302.60-02303.96] 数面的原因是什么呢
[02303.96-02305.40] 就是带给你一个一句
[02305.40-02307.56] 万一你对这个警告不服呢
[02308.76-02309.76] 那你不服的时候
[02309.76-02311.28] 你要就是申请服役
[02311.28-02313.00] 要么就是你直接去告他们
[02313.00-02314.00] 那去告的时候
[02314.00-02315.40] 你去跑到法院说
[02315.40-02316.88] 要法官大人我原死了
[02316.88-02317.16] 对吧
[02317.16-02320.08] 他给我一个警告对我用小的心灵造成了极大的伤害
