[00000.00-00005.00] 好的 那我們既然來看一下第三個部分的內容叫做高興技術
[00005.00-00010.00] 我們說了在整個科技場史 我們要講技術的昨天叫做科技發言史
[00010.00-00016.00] 技術的今天也去研究一些技術科學 那最後一個就是展望技術發展的明天
[00016.00-00021.00] 就是我們所說的高興技術 高興技術 我們以國要給大家講七節的內容
[00021.00-00026.00] 這七節內容的包括第一個 就是高興技術 他到底是怎麼回事 講一個大概的概數
[00026.00-00029.24] 但是這個概數它不是一個考察的一個重點
[01192.84-01193.96] 就是你再去
[01193.96-01195.36] 销售转接视频的时候
[01195.36-01196.92] 如果是用正式转接收争
[01196.92-01198.64] 那某奥课你掉几天标记
[01198.64-01200.84] 但是如果你没有运用生产
[01200.84-01202.20] 转接的这种技术机
[01202.20-01202.80] 生产东西
[01202.80-01204.48] 但由于偷做环境
[01204.48-01205.40] 或者说有的东西
[01205.40-01208.04] 它就意发生相的变化的话
[01208.04-01209.12] 这里面导致检特
[01209.12-01210.24] 除了其他海量的话
[01210.24-01212.24] 不认为是转接视频
[01212.24-01213.20] 所以在这两个
[01213.20-01213.88] 你可以证据说
[01213.88-01214.92] 但你不能反着说
[01214.92-01216.36] 所以有关转接视频的
[01216.36-01217.00] 一共是
[01217.00-01218.20] 这三个细节的点
[01218.20-01220.20] 同学们要去注意一下
[01220.20-01222.00] 这是我们所说的有关于
[01222.00-01225.48] 第一个金工程的应用就是转接作物
[01225.48-01226.72] 有两个系列点
[01226.72-01228.52] 一个是转的这个基因
[01228.52-01230.84] 是其他生物的都那些第二个
[01230.84-01231.72] 咋就要水到
[01231.72-01234.00] 第三个就是我们所说的转接
[01234.00-01235.44] 食品的细节
[01235.44-01236.72] 这是第一个它的应用
[01236.72-01237.76] 叫转接作物
[01237.76-01240.12] 第二个它的应用就是我们刚才说了
[01240.12-01241.16] 是金工程
[01241.16-01244.24] 它其实是从核心上来学改变
[01244.24-01247.56] 我们所说的这样的一个生物的性状
[01247.56-01249.20] 它是找到了最高的上了
[01249.20-01250.98] 所以在这里面我们能不能看到
[01250.98-01253.70] 这个金工程它可以用于干嘛呢
[01253.70-01255.12] 进行金质料
[01255.12-01256.82] 所以你看金质料它在载说的
[01256.82-01258.40] 说较外员正常的金质
[01258.40-01259.44] 导入把西包
[01259.44-01260.68] 比如说这个把西包它是一个
[01260.68-01261.88] 挨变西包对吧
[01261.88-01263.96] 它说以纠正或者是补常因金
[01263.96-01265.86] 去限魂一场所引起的疾病
[01265.86-01268.20] 在基因水平上治療疾病的方法
[01268.20-01269.48] 这个就要做什么
[01269.48-01270.56] 基因质料
[01270.56-01271.24] 就要金质料
[01271.24-01274.16] 大家有知道很多的这个病症
[01274.16-01276.80] 它可能就是从出生的那一刻开始
[01276.80-01278.40] 或者是它就是还是一个
[01278.40-01280.72] 怕耳的时候它可能就会拥有这种体病
[01280.72-01282.40] 那这种情况这下怎么办呢
[01282.40-01286.56] 那我们就可以从基因上来把这种疾病去给它修正
[01286.56-01288.40] 那这个就叫做基因治疗
[01288.40-01291.36] 那这种基因治疗从根源上来去解决问题的话
[01291.36-01293.60] 效果整体会相当来说会好一些的
[01293.60-01295.68] 当然它也会办碎这一定的风险
[01295.68-01298.40] 但是问题率在于这里面的基因治疗的费物
[01298.40-01299.76] 也是特别高的
[01299.76-01302.40] 所以这是我们所说的第一个叫做金工城
[01302.40-01304.64] 所以在这同没有知道金工城
[01304.64-01305.96] 几个细节的点
[01306.76-01307.84] 这是我们所说的
[01307.84-01308.68] 第一个
[01308.88-01310.08] 那讲了金工城
[01310.08-01311.12] 再来看一下第二个
[01311.12-01312.60] 这是和它有一点像的
[01312.60-01313.16] 叫做什么呢
[01313.16-01314.44] 和它有一点像的叫做
[01314.60-01315.84] 西包工城
[01316.12-01318.32] 那西包工城在这里面来看一下
[01318.32-01318.96] 他说了
[01318.96-01321.12] 说西包工城是应用
[01321.12-01323.76] 西包生物学和分子生物学的方法
[01323.76-01326.64] 改变了会控制西包的功能
[01326.64-01327.84] 同仍把这句话话出来
[01327.84-01330.68] 叫改变会控制西包的功能
[01330.68-01332.32] 快速反预或培养
[01332.32-01333.92] 新的优量品种的技术
[01333.92-01337.12] 我們把這種稱這位叫做細胞工程
[01337.12-01338.64] 那這裡面的細胞工程
[01338.64-01341.92] 它只要改變和控制的是細胞的功能
[01341.92-01344.16] 大家注意一下它沒有改變生物的性狀
[01344.16-01345.60] 你把這句話系的旁邊
[01345.60-01347.84] 這是相對於剛才的經工程來看的話
[01347.84-01351.04] 經工程是讓我變的後復不在一樣的
[01351.04-01353.04] 對吧比如說想想那個雜交水道
[01353.04-01354.08] 對吧它是這樣的
[01354.08-01355.44] 而細胞工程是什麼呢
[01355.44-01359.12] 是沒有改變經的或者是生物的性狀
[01360.16-01361.04] 來旁邊
[01361.04-01364.44] 它是没有改变
[01367.44-01368.84] 生物的形状
[01368.84-01372.08] 也就是它还是让这个生物和之前
[01372.08-01373.52] 长得差不多
[01373.52-01375.40] 这个就叫做西娃工程
[01375.40-01376.64] 你说老师为什么在这里
[01376.64-01377.84] 一定要强调这两个点呢
[01377.84-01378.68] 因为大家注意一下
[01378.68-01379.84] 有一个考察点
[01379.84-01382.24] 就是会考察金工程
[01382.24-01384.52] 以及西娃工程的区分
[01386.52-01388.68] 它会给到一些具体的案例
[01388.68-01389.88] 比如说这些案例
[01389.88-01391.20] 我们都没太见过
[01391.20-01393.28] 因为我们在书上的折给大家去罗利
[01393.28-01395.28] 在考试当中比较高频出现
[01395.28-01396.28] 你比如说考什么呢
[01396.28-01397.12] 考牵插
[01397.12-01398.08] 你还牵插呢
[01398.08-01401.08] 其实我们就是在整个具体的案例当中
[01401.08-01402.56] 我们会在书上讲一次
[01402.56-01404.08] 当中没有给大家是设置到
[01404.08-01404.92] 但是它就会问
[01404.92-01406.08] 说这种技术
[01406.08-01407.80] 或者是我们长说的这种加接技术
[01407.80-01409.36] 然后牵插技术也好
[01409.36-01410.48] 它属于基因工程
[01410.48-01411.88] 还是属于西宝工程
[01411.88-01413.44] 你看那个加接工程
[01413.44-01414.72] 我把比如说
[01414.72-01416.24] 苹果的这个资子
[01416.24-01417.36] 加接在理书上
[01417.36-01419.84] 我苹果的这家人在离数上
[01419.84-01422.20] 他只是在离数提过一个养分
[01422.20-01423.68] 我长出来的还是苹果
[01423.68-01425.52] 苹果有没有长得和之前不一样的
[01425.52-01425.88] 没有
[01425.88-01427.56] 你看他还是苹果
[01427.56-01430.28] 因为他没有改变生物的性状
[01430.28-01431.16] 没有改变生物性状
[01431.16-01432.28] 他属于什么工程的
[01432.28-01433.48] 他属于细胞工程
[01433.48-01434.72] 而不属于细工程
[01434.72-01435.84] 通常在考试的时候
[01435.84-01437.20] 就会考察这样的案例
[01437.20-01438.08] 让我们去变息
[01438.08-01439.88] 他到底属于哪一种工程
[01439.88-01441.56] 所以我们去举分这两个的时候
[01441.56-01443.04] 就看他有没有从
[01443.04-01445.16] 跟原上发生性状的改变
[01445.16-01446.12] 就可以了
[01446.12-01448.16] 这是我们所说的西宝工程
[01448.16-01449.44] 西宝工程当中
[01449.44-01452.12] 居条掌握的会重点掌握的是西宝工程
[01452.12-01454.48] 它的一个实力我们来看一下
[01454.48-01455.84] 在西宝工程当中
[01455.84-01457.36] 它是给到的第一个叫做
[01457.36-01458.96] 提西宝杂交技术
[01458.96-01460.20] 同时把这个话出来
[01460.20-01463.04] 提西宝杂交技术也叫做西宝融合
[01463.04-01466.96] 它说将两个不同的提西宝融合成一个西宝的过程
[01466.96-01468.84] 就叫做提西宝杂交
[01468.84-01470.68] 它说形成融合的杂交西宝
[01470.68-01472.68] 接有两个西宝的人色体
[01472.68-01473.84] 所以在这里说
[01473.84-01476.66] 他给到了一个具体完历叫做番茄马零数
[01476.66-01478.40] 他一点什么样的感觉呢
[01478.40-01480.64] 比如说我只是举个不恰恰的例子来说
[01480.64-01482.24] 比如说现在这个是什么呢
[01482.24-01484.08] 这个是番茄的西包
[01485.12-01486.18] 那就是杨世的
[01486.18-01487.28] 东北华就杨世了
[01487.28-01488.48] 大脸话凶势
[01488.48-01488.84] 对吧
[01488.84-01490.72] 那你看这个是番茄的西包
[01490.72-01492.20] 那这个是谁的西包呢
[01492.20-01493.84] 这个是马零数的西包
[01493.84-01495.04] 也就是我们所说的什么
[01495.04-01495.72] 土豆
[01495.72-01497.08] 这个是马零数的西包
[01497.08-01499.12] 那什么叫做番茄马零数呢
[01499.12-01499.92] 大家注意一下
[01499.92-01501.16] 所以番茄马零数呢
[01501.16-01503.72] 就是把这两个西包融合成一个西包
[01503.72-01506.08] 啥意思呢 就是把他来英文问到一块
[01506.08-01507.68] 假设啊 怎么英文到一块呢
[01507.68-01509.52] 最后英文到一块可能就变成这样了
[01509.52-01511.64] 这一个细报当中有几个细报核
[01511.64-01513.00] 有两个细报核
[01513.00-01515.44] 有的是他俩是住在一个房子里的
[01515.44-01518.04] 但是他们两个还是什么还是个字
[01518.04-01519.44] 那今天还是个字的话呢
[01519.44-01521.24] 我把他就重在土地里
[01521.24-01523.00] 就是比如说把他俩恩成一个
[01523.00-01525.04] 然后把这个种子中到土地里
[01525.04-01527.36] 那把这个种子中到土地里的结果是什么呢
[01527.36-01529.72] 就是地上掌翻前
[01529.72-01531.16] 地下掌马零数
[01531.16-01533.16] 如果老师坐在会是地上掌翻前
[01533.16-01534.44] 第下掌描了 马零数
[01534.70-01539.30] 第上掌翻起来的原因就是因为你看在这里面它是会有翻起来的西包盒
[01539.56-01541.60] 也就是在这里面它兼聚翻起来的基因
[01541.86-01544.68] 那它必然要掌翻起来 所以在第上解翻起来
[01544.94-01548.26] 但同时在这里面还有另外一个西包盒是马零数就土豆嘛
[01548.52-01550.32] 所以在这里面在第下掌马零数
[01550.56-01552.10] 那所有的翻起马零数就是
[01552.62-01556.98] 这个物种 稍微和下面掌的不一样 但是翻起来还是和之前的翻起来掌的一样
[01557.22-01559.28] 马零数还是和之前的马零数掌的一样
[01559.28-01561.28] 没有说长的像四不像一样的
[01561.28-01563.28] 这是他们还是个字的样子
[01563.28-01565.28] 如果他们还是个字的样子的话
[01565.28-01567.28] 在这里有没有改变生物的心装
[01567.28-01569.28] 没有改变生物形装
[01569.28-01570.28] 那如果没有改变生物形装
[01570.28-01571.28] 他就属于什么工程
[01571.28-01573.28] 他就属于我们所说的叫做
[01573.28-01574.28] 西包工程
[01574.28-01576.28] 所以在这里面大家注意一下
[01576.28-01578.28] 第一个叫提西包杂交技术
[01578.28-01579.28] 同僚在这
[01579.28-01581.28] 能够知道我们最为常见的就是
[01581.28-01582.28] 三千马零数的赶里
[01582.28-01584.28] 就意味着没有改变生物的心装
[01584.28-01586.28] 这是西包工程
[01586.28-01587.28] 西包工程
[01587.28-01588.28] 第一个叫提西包杂交技术
[01588.28-01591.62] 那第二个就叫做合一直技术
[01591.62-01592.62] 同样标准一下
[01592.62-01593.52] 合一直技术呢
[01593.52-01594.38] 也就是克龙
[01594.38-01596.86] 也就是我们常说的无性反制
[01596.86-01598.22] 那这个克龙当中
[01598.22-01599.22] 或无性防止当中
[01599.22-01601.48] 最常见的案例就是我们所说的
[01601.48-01602.78] 多厉小明洋
[01603.78-01605.60] 这就是我们所说的多厉小明洋
[01605.60-01609.02] 多厉小明洋就是非常典型的克龙的产物
[01609.02-01610.22] 它是怎么克龙的呢
[01610.22-01612.52] 比如说现在有一个受精软
[01612.52-01613.84] 这个受精软呢
[01613.84-01615.04] 是A
[01615.04-01618.32] 这是现在A样的受精软
[01618.32-01620.88] 就是这个我把这个受精软拿出来
[01620.88-01622.96] 拿出来之后我现在找到一个B样
[01622.96-01623.80] 这个B样呢
[01623.80-01625.52] 它提供一个软吸包
[01625.52-01626.56] 它提供一个软吸包
[01626.56-01627.64] 那我要做什么呢
[01627.64-01630.52] 我需要做的就是把这个受精软当中
[01630.52-01633.80] A样的它这个受精软当中的这吸包和拿出来
[01634.80-01635.88] 只要一个合
[01635.88-01638.60] 而我找了个B样是不提取了它都软吸包
[01638.60-01640.00] 我要这个软吸包干嘛呢
[01640.00-01642.04] 我不要这个软吸包的吸包和
[01642.04-01643.24] 我只要这个什么
[01643.24-01644.68] 没有合的这个吸包
[01644.68-01647.16] 然后把他两 变成一个
[01647.16-01649.16] 那现在是不是就出现了一个
[01650.04-01652.36] 比如说外面这个颗是必样的
[01652.36-01654.40] 里面这个颗是什么是一样的
[01654.40-01656.56] 然后把这个收金软洗包
[01656.56-01658.56] 干嘛呢 放到C样的肚子里
[01660.76-01662.40] 放到C样的肚子里
[01662.40-01663.72] 然后放到C样的肚子里
[01663.72-01666.16] 然后C样它的身体提供相当物质
[01666.16-01668.04] 把这个收金软去给它养大
[01668.04-01671.00] 然后最后C样就分免出来了一只小样
[01671.00-01673.64] 这个小样就是我们所说的这个肚子里
[01673.64-01674.76] 那我问一下同学们
[01674.76-01675.88] 这个小洋长的是
[01675.88-01678.32] 像A长的相弊还长的相碎了
[01678.32-01680.12] 这个小洋只能长得相碎
[01680.12-01681.44] 只能长得相A
[01681.44-01683.16] 因为它用的是A的什么
[01683.16-01684.76] A的洗包和
[01684.76-01686.76] 所以在这里面它一定长得相A
[01686.76-01687.40] 那你看
[01687.40-01689.00] 小洋长的相A
[01689.00-01690.84] 那就因为在这个过程当中
[01690.84-01693.00] 小洋它的生物性状有没有改变
[01693.00-01693.72] 没有改变
[01693.72-01695.32] 这里面我们所说的B的软
[01695.32-01696.20] 洗包和
[01696.20-01697.88] 所以妈妈的这个肚子
[01697.88-01698.92] 它本身就是什么
[01698.92-01702.36] 只是培养原的这个配胎的一个工具
[01702.36-01703.90] 所以在这里面你看
[01703.90-01706.40] 这个阳玻璃长的还是像A
[01706.40-01709.20] 那一种意味着没有改变原本的基因
[01709.20-01710.62] 没有改变原本的性状
[01710.62-01711.82] 那这个就注意什么
[01711.82-01712.60] 希望工程
[01712.60-01714.04] 所以希望工程比较
[01714.04-01715.94] 常见的就是合一直句手
[01715.94-01716.64] 啥要合一神
[01716.64-01717.98] 你看这不希望何而拿出来
[01717.98-01719.60] 放在其他的希望里面
[01719.60-01721.64] 那这个句叫做合一直句手
[01721.64-01723.08] 所以同一们知道克龙
[01723.08-01724.62] 和我们所说的无信繁值
[01724.62-01725.64] 他就是这样的
[01725.64-01728.72] 但大家也知道这个多厉小面阳最后
[01728.72-01730.20] 他也是相对来说
[01730.20-01733.76] 在他的生命当中也是不要短暂的一只养了
[01733.76-01735.52] 大家都知道这是合一只技术
[01735.52-01736.92] 瞭解这个合一只技术
[01736.92-01738.32] 当然是怎么会适合就行了
[01738.32-01739.40] 这是第2个
[01739.40-01741.12] 在这里还有一个第3个
[01741.12-01743.40] 这个第3个就叫做干西宝技术
[01743.40-01745.72] 或者是再生意料技术
[01745.72-01746.72] 这个干西宝技术
[01746.72-01747.68] 会再生意料技术
[01747.68-01748.56] 同时标主一下
[01748.56-01750.20] 他说干西宝的具有自我
[01750.20-01753.56] 更新和多钱能分化的两种能力
[01753.56-01754.32] 这样的话
[01754.32-01757.64] 就可以运用在再生意料技术上
[01757.64-01759.36] 这个像干西宝
[01759.36-01761.64] 他的这种技术或自我更新自我
[01761.64-01763.70] 前能分化这种能力有点像什么呢
[01763.70-01767.54] 就是大家看到的那种能够身体当中自我自御的人
[01767.54-01772.56] 比如说大家之前看过什么活人者类似于这样的动画片
[01772.56-01774.40] 对吧那里面有一个女性
[01774.40-01776.40] 它这是身体的预合素的特别快
[01776.40-01777.70] 那这个其实就是什么
[01777.70-01780.08] 其实这种属于我们所说的在生
[01780.08-01780.98] 而这种在生呢
[01780.98-01785.54] 它主要是一靠干起报的自我更新和我们所说的多钱能的分化
[01785.54-01786.44] 一般请往下来说
[01786.44-01788.90] 就是人体它如果是受伤的话
[01788.90-01790.44] 它其实很快就能够怎么样
[01790.44-01793.06] 很快就是就能够自御的比如说你的手
[01793.06-01794.28] 插破了点皮
[01794.28-01796.08] 然后你吃饭的时候把手头给耀了
[01796.08-01797.22] 对吧那这种情况之下
[01797.22-01799.74] 其实它是能在某种程度上
[01799.74-01801.60] 很快就能够进行自御
[01801.60-01804.26] 但是我们所说的这种
[01804.26-01806.56] 我们所说的身体的这种自御
[01806.56-01809.62] 它其实不太适用在一些比较重大的一些疾病上
[01809.62-01810.92] 比如说唐料病
[01810.92-01812.56] 比如说新脑吸管疾病
[01812.56-01814.16] 那像唐料病和新脑病
[01814.16-01816.72] 它没有办法通过自我分裂的素材
[01816.72-01819.24] 他必须要一块些外部力量
[01819.24-01821.96] 所以我们所说的在生一了计刷
[01821.96-01823.08] 就可以去制约
[01823.08-01824.32] 比如说新学馆
[01824.32-01825.36] 组织的修复
[01825.36-01826.80] 脑损似商的组织修复
[01826.80-01828.36] 或者是免疫系统的改善
[01828.36-01829.76] 又或者我们常见的
[01829.76-01830.84] 比如说美容珍
[01830.84-01833.20] 或者是有就是那种一美上
[01833.20-01835.08] 可能要打一种就要做同眼珍
[01835.08-01836.56] 就打电句说话的皮膚
[01836.56-01837.72] 按着回弹
[01837.72-01838.80] 又怎么样
[01838.80-01839.84] 在以前的时候
[01839.84-01841.04] 我不知道是什么样子
[01841.04-01842.88] 因为我对这个方面没太有了解
[01842.88-01843.84] 但是目前来看
[01843.84-01845.76] 他所所说的同眼珍
[01845.76-01847.76] 他一般请按给注射的是什么的
[01847.76-01851.16] 他一般请按给注射的都是这种组织切片
[01851.16-01852.76] 就是注射这种组织切片
[01852.76-01856.76] 他就具有很强的做更新和多钱的分化的这种能力
[01856.76-01859.56] 然后不断的去我们所说的分裂
[01859.56-01863.16] 达到这种皮膚的它的内在的这种组织修复的这种情况
[01863.16-01865.56] 你看他其实也可以用在我们所说的什么
[01865.56-01866.56] 一美上
[01866.56-01870.36] 这种就叫做干洗包技术或者叫做医疗再生技术
[01870.36-01874.16] 所以洗包工程在这里面常见的应用是三个打住一下
[01874.16-01877.56] 一个是体系包杂交点下立翻牙脸数
[01877.56-01879.28] 一个是我们所说的合一纸
[01879.28-01881.84] 就是克龙第三一个就是干系包技术一纸
[01881.84-01883.00] 就是在生一了技术
[01883.00-01885.96] 我们刚才说了可以用于新学馆组织修复
[01885.96-01887.20] 我就简单举个例子
[01887.20-01888.28] 是新学馆
[01890.32-01892.28] 或者新老学馆组织修复
[01894.40-01896.20] 因为像这种看着没有办法
[01896.20-01898.92] 一口自身自御了必须一口外利
[01898.92-01901.24] 又或者我们所说的一美
[01902.96-01903.88] 等等
[01903.88-01905.88] 又或者我们刚才写提到的
[01905.88-01908.48] 我们所说的免疫系统改善
[01909.76-01911.20] 提升免疫能力
[01911.20-01912.20] 这种情况之下
[01912.20-01913.68] 它其实都可以运动到
[01913.68-01914.72] 干习包技术
[01914.72-01916.28] 这是我们所说的叫做
[01916.28-01917.68] 西宝工程
[01917.68-01918.32] 西宝工程
[01918.32-01919.48] 这是第二的工程
[01919.48-01921.32] 第三个我们来看一下
[01921.32-01922.32] 在生物进入到
[01922.32-01923.12] 还有一个就要做
[01923.12-01923.88] 发掉工程
[01923.88-01925.76] 日常生物当中都吃过满头吧
[01925.76-01926.20] 对吧
[01926.20-01927.16] 为什么满头
[01927.16-01928.68] 它就碰碰就能够碰起来
[01928.68-01929.80] 比如说你要蒸那种
[01929.80-01931.20] 特别浩松的满头的时候
[01931.20-01932.84] 你要把这个面放在那边
[01932.84-01934.16] 请于多少时间对吧
[01934.16-01936.32] 这其实就是一个什么都过程
[01936.32-01938.32] 这其实就是一个发较的过程
[01938.32-01942.20] 所以发较工程在日常生活当中非常长线
[01942.20-01944.04] 我们来看一下发较工程怎么回事
[01944.04-01948.04] 发较工程也被称之为叫做微生物工程
[01948.04-01949.56] 在这里面他说了
[01949.56-01953.08] 说在日常生活当中比如说长线的叫做江油
[01953.08-01956.72] 就是海天金标叫什么
[01956.72-01958.64] 海天我忘了叫什么了
[01958.64-01960.32] 之前在电视我广告吗
[01960.32-01962.92] 说什么 面族18天
[01962.92-01964.92] 你看 江油在尿的过程当中
[01964.92-01966.12] 其实就是一个什么
[01966.12-01967.92] 就是一个发觉的过程
[01967.92-01969.72] 它需要通过发觉来形成江油
[01969.72-01972.52] 所以在市场生活当中常见的江油是这么来的
[01972.52-01974.32] 又或者我们常说的粗
[01974.32-01976.92] 对吧 粗我们都经常能温到有酸味
[01976.92-01978.52] 那粗是怎么发觉来的呢
[01978.52-01980.72] 是在粗酸的影响之下发觉来了
[01980.72-01982.32] 又或者我们现在所看到的
[01982.32-01983.32] 北京
[01983.32-01985.32] 这就不得不提一波国货了
[01985.32-01987.12] 比如说我们所说的老品牌
[01987.12-01988.12] 连华北京对吧
[01988.12-01989.72] 相为间就东西发觉来的
[01989.72-01992.54] 这几个点是在一上生活当中比较常见的
[01992.54-01995.52] 所以同学们在这发表工程当中要掌握的两个点
[01995.52-01998.76] 第一个就是成价的发表工程
[01998.76-02001.24] 它有哪些这个时候同学们要注意的
[02001.24-02003.54] 那第二个就是像后面所提到的
[02003.54-02006.52] 我们所说的不同的发表所形成的产品
[02006.52-02009.32] 它都和哪些我们所说的细军
[02009.32-02011.92] 或者是微生物相关在这里面
[02011.92-02014.70] 后面这些就要同学们去能够给它对应上了
[02014.70-02016.48] 首先第一个9.9样的话
[02016.48-02018.92] 比较常见的就是就要我们军发表
[02018.92-02020.92] 變形的P9
[02020.92-02024.18] 那個P9,它其實就是就用我們覺得發覺而來的
[02024.18-02026.04] 我們都知道像那種大裂文麵包
[02026.04-02028.66] 可能發覺成P9,格外絲嘛
[02028.66-02030.50] 所以在這裡面大家注意一下9M
[02030.50-02033.72] 它是在就用我們軍的這種影響之下發覺而成的
[02033.72-02035.36] 我們前面給大家講過9
[02035.36-02038.88] 它的製作過程其實就是把唐類的一類的物質
[02038.88-02040.68] 對吧最壞轉化成在
[02040.68-02042.68] 就用軍的影響之下形成9
[02042.68-02044.96] 在這裡面大家注意一下,這是9M
[02044.96-02047.64] 第二,酸奶,酸奶大家都知道酸奶嘛
[02047.64-02049.04] 鱼酸均法酒
[02049.04-02050.20] 所以在这里面
[02050.20-02051.88] 我们现在不是经常在晚上说
[02051.88-02053.52] 你可以自己去买一些
[02053.52-02054.20] 鱼酸均
[02054.20-02056.40] 再加了进行相的酸奶发酵
[02056.40-02058.28] 还有人在保上去做这个叫草
[02058.28-02059.84] 它去加入的东西
[02059.84-02061.12] 其实就是乱鱼酸均
[02061.12-02063.24] 所以酸奶是鱼酸均法酵
[02063.24-02064.60] 泡菜也是一样的
[02064.60-02066.92] 泡菜也是鱼酸均法酵的
[02066.92-02069.28] 不知道大家没有吃过经语的泡菜
[02069.28-02072.28] 或者是研级的泡菜都非常好吃的
[02072.28-02074.60] 那个辣白菜也就是怎么所说的
[02074.60-02075.00] 对吧
[02075.00-02078.28] 像這種泡菜一樣 辣白菜一樣 長起來酸酸的有點辣辣的
[02078.28-02081.56] 那它形成的酸酸的來的 就是辱酸菌
[02081.56-02083.36] 而我們所說的服弱我
[02083.36-02085.80] 服弱的話就是美軍法教
[02085.80-02091.52] 服弱就是東美法教作紅方王志和一塊兒的這種
[02091.52-02094.64] 它其實是在美軍的這種影響之下發教的
[02094.64-02095.88] 所以大家注意一下
[02095.88-02098.80] 我們所說的卫生物工廠生活當中比較常見
[02098.80-02101.24] 同時在這裡要能夠去把它領應上
[02101.24-02103.16] 也就是後面給大家去調調的就是
[02103.16-02105.56] 它的形成都是很哪一種微生物對應
[02105.56-02107.12] 這個地方代表知道
[02107.12-02110.12] 這是我們所說的第三個叫做發掉工程
[02110.12-02111.00] 第1個呢
[02111.00-02113.72] 已經生物技術當中要給大家介紹的最後一個叫做
[02113.72-02114.84] 美工程
[02114.84-02116.48] 沒大家注意下來看
[02116.48-02117.24] 他這個說了
[02117.24-02119.72] 他說美工程就是用人工的方法
[02119.72-02123.48] 對美進行分離提存固化以及改造下工
[02123.48-02125.32] 讓他能夠充分發揮他的
[02125.32-02127.60] 吹化作用村產出相的產品
[02127.60-02129.52] 這個呢叫做美工程
[02129.52-02131.84] 同樣在這裡需要掌握兩個細節點
[02131.84-02135.24] 第一个系列点就是这里面所谓的美它的本质是什么
[02136.24-02137.40] 咱们前面讲过
[02137.40-02140.76] 美的本质是一种蛋白质对不对
[02140.76-02142.84] 所以美的本质是一种蛋白质
[02142.84-02148.24] 所以所谓的美工程的就是对这种本质是蛋白质的东西对它进行分裂和提出
[02148.24-02152.24] 而只有美工程要或者分裂提出出来的这种蛋白质也好
[02152.24-02156.24] 它其实不是说参与我们所说的化学反应
[02156.24-02158.04] 它在这里面仅起到什么作用
[02158.04-02160.64] 在这里面仅起到的是吹化作用
[02160.64-02162.32] 所以在这里面大家注意两点
[02162.32-02164.04] 第一个美的本质是蛋白质
[02164.04-02167.04] 而这个蛋白质它一定会受到温度的影响
[02167.04-02169.44] 温度一定会影响到蛋白质的活性的
[02169.44-02171.24] 第二个就是这个美工厂
[02171.24-02173.44] 它主要是发挥这个美的什么作用
[02173.44-02176.64] 大家注意一下不是发挥美自身能够去乌啊
[02176.64-02177.24] 会怎么样作用
[02177.24-02180.24] 它在这里面仅仅提到一个推画作用
[02180.24-02181.64] 如果在这里
[02181.64-02183.64] 它说美工厂当中比如说
[02183.64-02185.24] 一会我们会讲到加别媳粉
[02185.24-02187.84] 说加别媳粉为什么能够把衣服洗得很干净
[02187.84-02190.44] 是因为这里面的美分解了
[02190.44-02191.74] 有无无不对
[02191.74-02192.56] 搭住一下
[02192.56-02193.66] 这里面的美
[02193.66-02195.36] 它不参与
[02197.10-02198.00] 反应
[02198.20-02200.06] 它只起到吹化准
[02200.06-02201.76] 它是一个加速剧
[02201.76-02203.12] 但是它不参与反应
[02203.12-02203.92] 所以在这里面
[02203.92-02204.78] 这是美工厂
[02204.78-02205.80] 从韩一当中
[02205.80-02207.44] 同一面要体验出两个细节
[02207.44-02208.72] 第三个我们要知道
[02208.72-02210.00] 既然美工厂
[02210.00-02210.84] 我们所说的
[02210.84-02212.40] 它能够起到香港的吹化作用
[02212.40-02213.08] 我们来看一下
[02213.08-02214.92] 它在这场生活当中的应用吧
[02214.92-02216.28] 人第一个就是我们所说的
[02216.28-02217.12] 淡淡美
[02217.12-02217.68] 淡淡美
[02217.68-02219.40] 那可用于工业
[02219.40-02220.50] 西笔记的
[02220.50-02221.78] 我们所说的研发
[02221.78-02222.54] 这单单美
[02222.54-02224.84] 还有我们所说的这种固定画美
[02224.84-02228.04] 固定画面可以治疗一些先天性的疾病
[02228.04-02228.94] 我们常考的
[02228.94-02229.96] 其实不是这两个
[02229.96-02231.00] 我们常考的是这个
[02231.00-02233.56] 我们把它画出来就是加美西粉
[02233.56-02234.58] 我们经常说
[02234.58-02236.88] 加美西粉可以把意肤洗的更干净
[02236.88-02238.42] 去游物的效果更好
[02238.42-02241.48] 然后为什么加美西粉能够把意肤洗的更干净
[02241.48-02243.02] 去游效果更好
[02243.02-02244.04] 其实很简单
[02244.04-02245.32] 在这里面大注意下
[02245.32-02247.38] 加美西粉原本洗粉当中
[02247.38-02248.78] 那种去游物啊
[02248.78-02250.20] 去游物啊这些东西
[02250.20-02252.20] 它是不是就已经有一些坏成分在了
[02252.20-02253.88] 而我们所说的加眉洗粉
[02253.88-02254.98] 当中的这个眉
[02254.98-02261.18] 它可以触界或者是加速游物的分解
[02263.38-02264.26] 你看它在这里面
[02264.26-02265.14] 仅仅是什么作用
[02265.14-02267.50] 是触界和加速作用
[02267.50-02268.92] 所以它加速游物分解之后
[02268.92-02269.92] 但你再去洗的时候
[02269.92-02272.10] 它相对来说就会更好清洗一些
[02272.10-02273.50] 所以在这里面大家注意一下
[02273.50-02276.42] 这是一个就是它本身不参与
[02276.42-02277.46] 游屋分解过程
[02277.46-02280.26] 它只是加速 它只是包码 明白了
