[00000.00-00004.90] 好了,那我们了解了三大国税当中的中英和国务化之后呢,
[01258.74-01260.14] 你看在这里面头上带着帽子
[01260.14-01262.14] 最常见的是五松长的角色
[01262.14-01265.10] 它们分别对用的都是生当中的奶泪
[01265.10-01267.92] 我们来具体来看一下 需要同们做个补充
[01267.92-01269.70] 首先我们来看一下第一个
[01269.70-01272.52] 就是我们所说的老生 老生
[01272.52-01277.64] 那你看一下 它老生又被称着为叫做虚神或者是胡子生
[01277.64-01280.46] 同们在旁边标主一下 老生 做一个补充
[01280.46-01284.82] 老生半年半眼的是中年以上的男性角色
[01284.82-01286.62] 也被称着为叫做
[01286.62-01289.42] 正生 所以你看我在这里给大家看到的
[01289.42-01292.74] 刚才我们在有票上所看到白胡子 对吧
[01292.74-01294.38] 他也是有大湖子的
[01294.38-01296.02] 他就是我们常说的什么
[01296.02-01297.78] 老生 老生的声音
[01297.78-01299.46] 相对来说就是比较
[01299.46-01302.62] 藏进有力比较魂后的这样的一个唱枪了
[01302.62-01304.42] 所以像这一类的同学要知道
[01304.42-01305.78] 他其实是我们所说的
[01305.78-01307.18] 老生 老生
[01307.18-01309.82] 半眼的是中年以上的男性角色
[01309.82-01310.94] 这是第一类
[01310.94-01312.90] 第二类就叫做五生
[01312.90-01315.14] 五生就是我反正作为
[01315.14-01315.98] 我来看的话
[01315.98-01316.98] 我认识在经济当中
[01316.98-01318.06] 一旦男性角色出来
[01318.06-01319.50] 我是最喜欢的一类男性角色
[01319.50-01320.22] 因为什么
[01320.22-01321.18] 帅
[01321.18-01322.74] 因为银器啊对吧
[01322.74-01324.94] 所以在这里面这是我们所说的五生啊
[01324.94-01326.78] 五生五生同时应该就知道
[01326.78-01329.18] 他主要是唱念做打当中
[01329.18-01331.90] 他的生段表演就会比较多一些对不对
[01331.90-01333.26] 所以像这种五生的话
[01333.26-01334.86] 他一般包括两种
[01334.86-01337.10] 一种叫做长靠五生
[01337.10-01339.02] 一种叫做短靠五生
[01339.02-01340.94] 同们来看一下在旁标主啊
[01340.94-01341.98] 这是五生
[01341.98-01344.46] 五生了一般包括第一种长靠五生
[01344.46-01347.86] 就是将军你看长靠和短靠五生怎么看
[01347.86-01349.98] 你看他身上都擦靠起
[01349.98-01352.98] 这身上没有差账一面的大骑子
[01352.98-01353.98] 看到没有
[01353.98-01357.48] 如果他插了这种靠骑的话
[01357.48-01359.48] 他就叫做长靠舞圣
[01359.48-01361.48] 这个靠代表的是什么呢
[01361.48-01363.98] 从来看一看他往往身上扎靠
[01363.98-01365.48] 带规厚底去
[01365.48-01366.98] 像他那个厚底去
[01366.98-01367.98] 非常后
[01367.98-01369.98] 我们在我们看来就觉得那个鞋子
[01369.98-01370.98] 他走路
[01370.98-01371.98] 好像走发方部
[01371.98-01372.98] 还走私方部的
[01372.98-01373.98] 就感觉很美风
[01373.98-01375.98] 但是他们要联分带规
[01375.98-01377.98] 这就是有这种表演形式的时候
[01377.98-01379.92] 其实对他们两个是一个束复
[01379.92-01382.70] 所以这都是我们所说的需要功夫去摩的
[01382.70-01384.34] 而他扎的这个扣啊
[01384.34-01386.02] 被称之为叫做扣齐
[01386.02-01388.06] 我们说了四面扣齐
[01388.06-01390.86] 8面微风代表的身后有扣
[01390.86-01392.62] 其实就代表的身后的什么呢
[01392.62-01393.62] 千均万嘛
[01393.62-01395.50] 这种就叫做短
[01395.50-01397.18] 叫做长扣舞声
[01397.18-01399.54] 这种长扣舞声就是我们长提到的
[01399.54-01401.78] 这是将军最累的角色
[01401.78-01403.26] 但是我们说了相舞声
[01403.26-01405.54] 就是主要是表演的这种形式
[01405.54-01407.94] 有武术的这种是武生对不对
[01407.94-01410.46] 但是像这种长靠武生是以内
[01410.46-01412.14] 大还有一类的就是我们经常看到
[01412.14-01413.74] 也有一些功夫在身上的
[01413.74-01415.54] 但是身上没有靠起的
[01415.54-01419.22] 而是更加清晰是江湖当中的中英雄角色的这一类
[01419.22-01421.74] 我们把的称着一叫做短靠武生
[01421.74-01423.34] 所以他们在旁标主一下
[01423.34-01426.54] 短靠武生也是常见的英雄下课
[01426.54-01428.34] 你还就使用各种各样的兵器
[01428.34-01430.54] 比如在这里给大家展现出来的
[01430.54-01432.18] 它是不是带着我们所说的什么
[01432.18-01433.70] 长兵器带着刀啊
[01433.70-01434.74] 深度而不要力落
[01434.74-01439.22] 翻滾、跳、五肩、五刀、刷下
[01439.22-01441.70] 像这种就是我们所说的短靠舞声
[01441.70-01445.78] 它也主要是靠武书表演的形式
[01445.78-01446.70] 去多,对吧
[01446.70-01448.46] 它是没有靠企业
[01448.46-01450.10] 但是有一些功夫在身上
[01450.10-01453.30] 我把它成织也就叫做短靠舞声
[01453.30-01455.58] 短靠舞声我刚刚给大家说了比较长见的
[01455.58-01457.58] 舞松打虎当中的舞松
[01457.58-01460.22] 你最起码对舞松应该有一个什么样的印象
[01460.22-01462.02] 同学应该有点那种
[01462.02-01463.30] 他头上是不是带个帽子
[01463.30-01464.54] 帽上说带个球
[01464.54-01464.90] 对吧
[01464.90-01465.98] 你看像这一类的
[01465.98-01467.38] 其实就是我们所说的什么
[01467.38-01468.66] 生的第二类
[01468.66-01469.94] 就叫做五生
[01469.94-01470.90] 你要知道五生
[01470.90-01473.62] 他一般请还要都是不应用的什么角色
[01473.62-01474.74] 这是第二类
[01474.74-01475.78] 那第三类
[01475.78-01477.06] 我们不要常见的
[01477.06-01479.38] 就是我们所说的小生
[01479.38-01480.26] 小生
[01480.26-01481.74] 同什么应该知道
[01481.74-01483.38] 你看我们唱那种细曲
[01483.38-01484.34] 一般请还讲的是
[01484.34-01485.38] 福家小姐
[01485.38-01486.90] 和青年彩军的故事的时候
[01486.90-01488.74] 或者是落破书生
[01488.74-01490.26] 和他们之间的故事的时候
[01490.26-01491.70] 一般说的就是什么
[01491.70-01492.46] 小生
[01492.72-01496.30] 小生是半相相对来说比较如亚轻秀的美男子了
[01496.30-01499.26] 对吧在我们的细育当中多一美男子的形象出现
[01499.46-01502.96] 但是我们印象当中的小生常常试试书生居多
[01503.22-01504.76] 你看像我们现在经常说
[01505.00-01508.34] 喜欢一个男士或者是相对来说比较如亚的一个人
[01508.60-01509.86] 一个男性我们就说
[01510.14-01511.66] 你看长得像哪有小生一样
[01511.92-01513.72] 你看这个辞期这儿来自于
[01513.98-01515.26] 经具当中的角色了
[01515.26-01519.34] 但是经具当中的小生并不都是我们看到如亚的书生形象
[01519.34-01521.86] 当然还有一些文武雙权的青年降领
[01521.86-01524.30] 比如说刚才在油票当中所看到的
[01524.30-01530.34] 像这种青年采剧的文武雙权的这种青年将军
[01530.34-01534.66] 就是我们常说的这种留点类似于接触青年的政绝色
[01534.66-01536.58] 文武雙权的把它称着一叫的什么呢?
[01536.58-01537.78] 做作智围声
[01537.78-01541.26] 你看它和我们刚才所说的常耗武声不一样是什么
[01541.26-01543.98] 是它身上没有靠起头上差的什么
[01543.98-01545.66] 还差着智围
[01545.66-01546.68] 就是野基零
[01546.68-01547.54] 所以在这里面
[01547.54-01549.26] 我们把它称之为叫做
[01549.26-01550.22] 智委生
[01550.22-01552.62] 它指的是文武商权的侵脸将领
[01552.62-01553.70] 那还有一类角色
[01553.70-01556.22] 就是我们经常在细续当中看到的
[01556.62-01557.18] 对吧
[01557.18-01558.42] 家里比较丘的
[01558.42-01559.70] 但是又才划的
[01559.70-01561.14] 又要进行感考的
[01561.14-01561.98] 和我们所说的
[01561.98-01563.06] 浮家小姐相爱的
[01563.06-01564.62] 像智业类角色普遍的
[01564.62-01565.86] 其实是我们所说的
[01565.86-01567.30] 是丘生
[01567.30-01568.82] 就是丘困的树生
[01568.82-01569.86] 像这样的角色
[01569.86-01571.66] 把它捧成了一叫做
[01571.66-01572.74] 小生
[01572.74-01574.18] 那捧成为叫个小生
[01574.18-01576.58] 那这是我们所说的生的这个角色
[01576.58-01578.54] 这也是第一个行道叫做生
[01578.54-01582.10] 我们讲了老生、五生、小生
[01582.10-01584.62] 你要知道它分别对用的是什么角色
[01584.62-01586.78] 这是第一类我们所说的生
[01586.78-01589.18] 那第二类就是我们提到的
[01589.18-01590.18] 但绝
[01590.18-01591.82] 但绝的话答应该都知道
[01591.82-01594.02] 这是我们常见的女性角色
[01594.02-01595.62] 所以同时在说上标准一下
[01595.62-01598.02] 但指的是女性角色
[01598.02-01600.22] 那你看在有票当中跟我们呈现的
[01600.22-01601.82] 就但绝就很多了
[01601.82-01604.06] 比如说像这个第一个里面对吧
[01604.06-01611.30] 拿着这个主子的穿着我们所说的粉红色小12的这是一种角色
[01611.30-01613.34] 又会中比较常见你看像在这儿
[01613.34-01615.94] 对吧,这个有漂亮的给大家呈现来的
[01615.94-01618.34] 贵妃吗?你看头上带着这种珠贵
[01618.34-01619.54] 拿着这个扇子
[01619.54-01622.98] 又或者你看像身上也有差靠奇的这种
[01622.98-01623.90] 也就说白了
[01623.90-01626.86] 咱们在担决当中是为也有女将军的种角色
[01626.86-01628.42] 那你看不同的角色
[01628.42-01632.06] 它其实对应的不同的担决当中的具体的好大
[01632.06-01633.40] 我們來看一下這個蛋
[01633.40-01635.00] 它裡面又分成大技術
[01635.00-01637.76] 他說蛋絕又被分為重蛋
[01637.76-01642.02] 也被稱為清衣,老蛋,花蛋,花生,五蛋
[01642.02-01643.46] 刀馬蛋以及彩蛋
[01643.46-01645.56] 這個彩蛋和咱們看那樣的彩蛋不一樣
[01645.56-01648.02] 這裡是蛋絕的一種形式
[01648.02-01649.66] 我們來看一下在這裡面
[01649.66-01653.70] 我們詳細來看一下它所給到的蛋絕女子當中
[01653.70-01654.86] 這些具體檢測
[01654.86-01659.06] 大概是對應的是哪些人物
[01659.06-01660.70] 首先來看一下第一個
[01660.70-01661.98] 就是我们提到的
[01662.50-01664.46] 我们在书上标注在旁边
[01664.46-01666.26] 或者是可以写在政旁边
[01666.26-01668.30] 第一种就是我们所说的政旁
[01668.30-01670.54] 也被称着为叫做青衣
[01670.54-01671.18] 青衣呢
[01671.18-01672.66] 他一般情况之下是
[01672.66-01674.66] 你看他说我在这里打補充的
[01674.66-01678.74] 叫端端政派一直坚强的女性角色
[01678.74-01681.90] 往往是因为他们扮演的这个人物
[01681.90-01683.66] 要穿一这样的一些衣服
[01683.66-01685.86] 他们看他穿的衣轻衣
[01685.86-01687.38] 就是我们所说的黑色的
[01687.38-01688.42] 不是轻色的
[01688.42-01689.34] 你看像这里面
[01689.34-01690.68] 他所给到的一个清衣
[01690.68-01693.30] 他王老师也穿这种衣服给主
[01693.30-01696.02] 而这种被称为叫做女性素学子
[01696.02-01696.98] 不叫折子
[01696.98-01697.86] 叫学子
[01697.86-01700.18] 所以他穿这种衣服而得名
[01700.18-01703.26] 所以正单也被称为叫做清衣
[01703.26-01705.14] 和他一折的颜色有关系
[01705.14-01706.46] 那他为什么是正单呢
[01706.46-01707.50] 因为我们说了
[01707.50-01708.54] 细续当中
[01708.54-01710.22] 还在正单当中
[01710.22-01711.74] 他是以唱功为主的
[01711.74-01712.74] 动作幅度比较小
[01712.74-01713.62] 一出来就唱
[01713.62-01715.26] 比如说像情相连
[01715.26-01715.54] 对吧
[01715.54-01716.66] 这样一类的角色
[01716.66-01718.18] 我们所提到的这种
[01718.18-01719.22] 就被称为叫做
[01719.22-01720.76] 政诞 也被称之为
[01720.76-01724.42] 轻易也是经济当状 比较常见的女性角色
[01724.42-01727.42] 这是低类 同学要知道在旁边标主一下
[01727.42-01728.94] 政诞主要是
[01729.98-01733.34] 叫端装政派一直坚定的女性角色
[01733.34-01736.38] 这是低类我们所提到的 叫做政诞
[01736.38-01739.18] 第二类就叫做花旦 大家来看
[01739.18-01741.34] 花旦的往往是青年女性
[01741.34-01743.18] 相对来说性格比较活潑
[01743.18-01745.70] 比较说在这里给大家呈现的春草
[01745.70-01747.54] 它是一个压款的这种角色
[01747.54-01749.96] 所以像這種新格活潑
[01749.96-01752.02] 常常帶點喜劇角色的
[01752.02-01752.98] 這個時候
[01752.98-01755.52] 王王就是我們所說的叫做花蛋
[01755.52-01757.76] 但是像大小姐姐的壓魂
[01757.76-01761.12] 那這種就是花蛋比較多
[01761.12-01762.38] 這是第二類角色
[01762.38-01764.22] 在這裡我們要知道
[01764.22-01765.06] 花蛋的話
[01765.06-01766.40] 它就不是以唱為主了
[01766.40-01768.76] 剛才唱的像清衣它是以唱公為主
[01768.76-01770.78] 一出來就開始講自己的故事
[01770.78-01771.42] 對吧
[01771.42-01772.76] 我被人家拋棄了
[01772.76-01774.94] 我出來我就開始去唱描述
[01774.94-01776.00] 我這樣一個聲勢
[01776.00-01777.26] 所以唱公為主
[01777.26-01780.62] 而像這種所說的這種花蛋它是以作為主的
[01780.62-01784.10] 在舞台上主要是以什麼主要是以表演為主的
[01784.10-01786.30] 一話我們會也大家去講到
[01786.30-01788.54] 唱面做打的這種表現形式
[01788.54-01791.34] 所以它相對於輕易這種唱公為主的
[01791.34-01793.06] 它是以作公為主
[01793.06-01796.26] 它一般穿著就是我們所說的這種長山
[01796.74-01799.10] 就是我們圖片里給大家展示的一款
[01799.10-01800.78] 或者穿庫著穿澳
[01800.78-01803.86] 那這種就是我們所說的這種花蛋
[01803.86-01805.02] 就叫做花蛋
[01805.02-01807.22] 除了花蛋之外 花山
[01807.22-01810.50] 这个花山需要同学们去特殊记忆
[01810.50-01812.82] 花山的同学标准在旁边
[01812.82-01815.42] 就是王遥清先生所创的
[01815.42-01818.06] 大主意下 王先生所创的这个花山
[01818.06-01820.78] 它是把这些东角色桌和钱
[01820.78-01823.30] 你看像我们回讲到一唱公为主的
[01823.30-01825.78] 比如说多为妇女形象的这种
[01825.78-01827.66] 是清衣或是正的
[01827.66-01829.98] 还有就是我们性格比较活潑的
[01829.98-01832.26] 它以做公为主而不是一唱为主的
[01832.26-01833.26] 像这种花蛋
[01833.26-01836.14] 又或者是我们所说的女将军的这个角色
[01836.14-01838.18] 他是我们所说的什么 刀码弹
[01838.18-01839.90] 但是总有一些角色呢
[01839.90-01842.90] 就是他既不是我们所说的单纯的唱
[01842.90-01845.86] 也不是单纯的我们所说的这种表演
[01845.86-01848.18] 他可能是集中角色的组合
[01848.18-01849.90] 所以像这里面的网友亲先生
[01849.90-01851.30] 说创了一种新的角色
[01851.30-01852.14] 就说什么呢
[01852.14-01853.42] 叫做花山
[01853.42-01855.30] 所以同时把这个花山
[01855.30-01856.74] 给他单独圈出来
[01856.74-01858.14] 在旁边标主一下
[01858.14-01859.38] 圈一
[01859.38-01861.58] 他是谁所创的一个新的角色
[01861.58-01864.38] 第二領要知道他是一個綜合發展的角色就行了
[01864.38-01866.48] 這是第一個我們要知道花山
[01866.48-01869.78] 那花山當中的第二個就是在這個裏給大家去展示出來的
[01869.78-01872.48] 這個人物不知道大家有沒有認識的啊
[01872.48-01874.18] 那手臨拿著劍
[01874.18-01876.18] 他其實來也很美對不對
[01876.18-01878.48] 他其實是誰呢他其實是魚肌
[01878.48-01879.78] 他其實是魚肌
[01879.78-01883.98] 所以在這裡面 你看像大王別居當中的魚肌
[01883.98-01886.48] 還有漢民非當中的王朝軍
[01886.48-01888.98] 他其實就是我們一個角色的綜合體
[01888.98-01890.98] 那他其實就是我們所提到的什麼
[01890.98-01892.62] 花山这一类角色
[01892.62-01895.36] 所以在这里面花山它有一个细节考虑
[01895.36-01896.62] 同没有标助一下
[01896.62-01898.90] 这是我们所说的单节当中的
[01899.62-01901.70] 另外一种就要做花山
[01901.70-01903.86] 在我们所说的单节当中
[01903.86-01905.18] 我们最维场见的
[01905.18-01906.34] 或者是经常听到的
[01906.34-01907.38] 其实是什么的是
[01907.38-01908.22] 都网单
[01908.22-01909.02] 同没有知道
[01909.02-01910.94] 都网单忙碌眼的做什么
[01910.94-01912.22] 经过英雄
[01912.22-01913.74] 在这个地方同一标助
[01913.74-01914.78] 在旁边
[01914.78-01916.82] 经过有行当中身份大多数元
[01916.82-01917.98] 虽然会是大将
[01917.98-01920.34] 是我们常说的女将军的形象
[01920.34-01921.38] 你看像刀码蛋
[01921.38-01923.70] 其实是和我们刚才所说的五生一样
[01923.70-01925.34] 它身上是不也插靠起
[01925.34-01929.46] 而我说了原社会将军四面靠起代表的是什么
[01929.46-01931.62] 代表的就是你背后有靠山吗
[01931.62-01934.22] 你看我们经常说靠山靠山这个靠哪来的
[01934.22-01935.30] 是不是这么来的
[01935.30-01937.50] 所以你看它背后也有靠起
[01937.50-01941.50] 而它的靠起代表的也是后面的百万雄兵
[01941.50-01944.26] 所以我们经常说四面靠起八面微风
[01944.26-01947.78] 所以像这种就是我们所说的刀码蛋的照那个形象
[01947.78-01949.78] 当晚大行上最常见的就是
[01949.78-01950.78] 母龟阴啊
[01950.78-01953.38] 舍赛军上张一类的人物
[01953.38-01954.74] 所以他是王王事业
[01954.74-01957.58] 将军会远帅的这样的一个身份出现的
[01957.58-01959.14] 所以他在表演艺术形势上
[01959.14-01960.62] 你看他既要唱
[01960.62-01963.38] 去产述故事推动故事前面的发展
[01963.38-01964.78] 他也有一些念白
[01964.78-01966.18] 就是说话
[01966.18-01967.58] 就是音乐一停
[01967.58-01968.78] 他就开始在那念
[01968.78-01970.78] 他也更加撤重的是什么
[01970.78-01971.78] 他也撤重做
[01971.78-01973.58] 也就是无大表演这些的
[01973.58-01975.78] 所以这时候我们所说的就做刀马弹
[01975.78-01977.86] 你就知道是有功夫的女将军
[01977.86-01979.50] 最常见的什么规刘
[01979.50-01980.50] 和当马当乡
[01980.50-01981.46] 去分的是什么呢
[01981.46-01982.14] 是武弹
[01982.14-01983.02] 大助下
[01983.02-01983.78] 武弹呢
[01983.78-01985.82] 他其实也有一些我们所说的什么
[01986.58-01988.30] 有一些功夫在身上的
[01988.30-01990.14] 但是武弹和当马弹不一样
[01990.14-01990.78] 就是
[01990.78-01991.66] 当马弹
[01991.66-01993.54] 他也将军元帅计多
[01993.54-01994.82] 而武弹是什么
[01994.82-01996.66] 是由武的女性
[01996.66-01998.14] 他可能是武将
[01998.14-01999.86] 也可能是交普当中的
[01999.86-02000.70] 下一任务
[02000.70-02002.62] 比如说像这里给大家展示的是吗
[02002.62-02003.58] 互三年
[02003.58-02004.94] 三身后怎么样
[02004.94-02005.98] 没有靠期的
[02005.98-02007.74] 但是因为一些武书在身上
[02007.74-02010.06] 比如说像洋牌风这一类的角色
[02010.06-02011.50] 它主要是中武打
[02011.50-02012.62] 这种情况之下
[02012.62-02013.58] 它就叫做什么
[02013.58-02015.02] 它就叫做武弹
[02015.02-02016.62] 所以包碗弹和武弹的区别
[02016.62-02017.82] 就有点类似于
[02017.82-02021.02] 尘靠武生和短靠武生之间的这样的差点
[02021.02-02022.78] 所以同样去注意区分
[02022.78-02024.30] 那这就是武弹
[02024.30-02025.58] 那这是我们所说的
[02025.58-02026.46] 弹绝当中
[02026.46-02028.62] 消透明去掌握的中点角色
[02028.62-02030.54] 给大家去详细介绍这一个
[02030.54-02031.66] 你要能有个印象
[02031.66-02033.10] 拍一旦出现描述
[02033.10-02034.54] 你要能够对应的上案
[02034.54-02038.64] 这是我们所说的有关于我们所提到的
[02038.64-02039.92] 但据
[02039.92-02041.92] 那我们说了生蛋静炒
[02041.92-02042.98] 除了蛋热之外
[02042.98-02044.26] 我们还来看一下静决
[02044.26-02046.32] 静头在书上标注一下
[02046.32-02048.62] 静也被称着一叫做花脸
[02048.62-02050.68] 大家都听过唱联谱的这个吧
[02050.68-02052.58] 什么蓝脸的豆腐豆腐
[02052.58-02054.38] 红脸的观工战场上
[02054.38-02055.54] 巴拉拉拉这一场
[02055.54-02057.08] 我这一个自一出
[02057.08-02058.60] 你都有主权率了
[02058.60-02061.16] 像这一类的被称着一叫做静决
[02061.16-02063.72] 静决也被称着一叫做花脸
[02063.72-02065.72] 你看一下在書上它怎麼說的
[02065.72-02066.92] 它說境呢
[02066.92-02070.02] 又分為政境比如說同垂花臉
[02070.02-02071.72] 大家應該看過經濟當中
[02071.72-02073.72] 就是有那種一上台
[02073.72-02077.32] 感覺很狀是穿的也很優惠的
[02077.32-02079.32] 那種手臂拿兩大垂子
[02079.32-02080.42] 這個就要什麼
[02080.42-02082.22] 這個就要做同垂花臉
[02082.22-02083.32] 這個就要同垂花臉
[02083.32-02085.32] 這個被稱為叫做政境
[02085.32-02086.02] 把它畫出來
[02087.22-02089.32] 同垂花臉叫做政境
[02089.32-02091.02] 還有我們所說的附近
[02091.02-02092.52] 就是價格花臉
[02092.52-02094.58] 就是在这里面上台之后
[02094.58-02095.74] 把那种工价
[02095.74-02097.70] 但是手里没有那种武器
[02097.70-02098.88] 那这种叫价子花脸
[02098.88-02101.88] 这样的话也包括我们的武境和某境
[02101.88-02106.02] 那这一类其实就是我们所说的叫做花脸的角色
[02106.02-02108.22] 而我们所说的不同的脸普
[02108.22-02112.32] 它其实代表的人物的性格也有所差异
[02112.32-02115.52] 所以在这里面有关于竞举它身上的考察点
[02115.52-02116.46] 相对来说比较多了
[02116.46-02117.82] 同标注意一下第一个
[02117.82-02119.48] 竞举指的是花脸
[02119.48-02125.28] 当然大家注意一下 这个花脸它带纸的 或者是这个花脸它办影的是男性角色
[02125.28-02129.56] 有些竞爵它在细距当中被定义为是男性角色
[02129.56-02134.72] 但是大家一定要注意啊 他只是在表演形势上被定义为叫男性角色
[02134.72-02140.12] 就是在这个舞台细里面在竞举里面 它的这个角色是男性
[02140.12-02144.44] 但是并不一定吃竞爵 都是由男性来办演的 大家要知道
[02144.44-02146.92] 只是我们所说的花脸当中的第一个
[02146.92-02149.48] 第二个就是我们要在进这个地方去分
[02149.48-02152.80] 它有政策有附近有武境有毛
[02152.80-02154.08] 我们所说的这个
[02155.12-02155.88] 这几种
[02156.64-02159.08] 那在这几种我们所说的角色当中
[02159.08-02159.72] 我刚刚说了
[02159.72-02162.28] 它每一个连普可能代表的什么
[02162.28-02163.76] 角色的性格不一样
[02163.76-02165.88] 所以一会我们还要去给大家去讲一下
[02165.88-02167.64] 我们所说这个进去花脸
[02167.64-02171.00] 它的一个连普的颜色的对应
[02174.56-02176.56] 连普颜色
[02176.92-02179.74] 聆论
[02179.74-02181.26] 新格的对应
[02181.26-02183.84] 但这个我们以后放在后面给他们讲
[02183.84-02185.88] 这是我们所说的第三个叫竞举
[02185.88-02187.66] 我们先把这个行动给大家收完
[02187.66-02188.94] 我们再就说细节
[02188.94-02190.86] 你先把这个考虑记在旁边
[02190.86-02192.02] 竞举
[02192.02-02193.82] 除了竞举外的大助理下
[02193.82-02195.62] 最后一个就是仇局
[02195.62-02197.66] 仇局又叫做三花脸
[02197.66-02199.32] 我们经常能看到的这终练上
[02199.32-02201.00] 带一个百块的这种
[02201.00-02202.28] 就叫做竞举
[02202.28-02203.54] 就叫做仇局
[02203.54-02205.60] 这个百块的它有原形的
[02205.60-02206.76] 对吧有方形的
[02206.76-02208.32] 这个就是仇决
[02208.32-02209.56] 仇决有被称率
[02209.56-02210.16] 三花脸
[02210.16-02212.88] 有文仇无仇和铁仇
[02212.88-02214.00] 一般喜欢仇决
[02214.00-02216.32] 都是在细续当中
[02216.32-02218.00] 提到一定的回预气氛的
[02218.00-02219.96] 但是其实在经济行动当中
[02219.96-02221.40] 最重要的是仇决
[02221.40-02223.68] 因为我们说了叫无仇不成细
[02223.68-02225.16] 能为啥无仇不成细
[02225.16-02226.68] 不知道同学们还记不记得
[02226.68-02228.40] 我们再给大家去讲
[02228.40-02230.32] 中国古代是旁草的时候
[02230.32-02231.88] 说讲到古堂名黄
[02231.88-02233.24] 我说了为什么那个时候
[02233.24-02234.76] 仇决非常重要
[02234.76-02236.64] 比如说像在唱细曲的时候
[02236.64-02239.16] 像在一个我们所说的细班子里面
[02239.16-02240.44] 像那种细曲相
[02240.44-02241.68] 一般人都做不了的
[02241.68-02242.96] 只有丑绝可以做
[02242.96-02243.48] 为什么
[02243.48-02244.68] 又说了糖明黄败
[02244.68-02245.68] 过这样的一个角色
[02245.68-02247.56] 所以我们说了无丑不成细
[02247.56-02249.00] 所以在整个经济行动当作
[02249.00-02251.40] 丑绝的地位相伴说是很高的
[02251.40-02251.88] 对吧
[02251.88-02253.08] 所以它和什么有关
[02253.08-02253.96] 就是我们之前
[02253.96-02255.00] 所以大家去提到的
[02255.00-02256.84] 糖明黄的那种事情有关
[02256.84-02258.04] 那这是我们所说的
[02258.04-02260.88] 这个经济的行动
[02260.88-02262.20] 叫做生蛋
[02262.20-02262.80] 经丑
[02262.80-02263.20] 在这
[02263.20-02264.20] 大家知道
[02264.20-02266.26] 這是第一個我們了解了
[02266.26-02267.66] 經具行當內容
[02267.66-02271.58] 你要知道這些行當當中的具體的角色
[02271.58-02273.36] 它所對應的人物是什麼樣
[02273.36-02274.40] 只是第一個電
[02274.40-02277.14] 第二個就是在經具的表演當中
[02277.14-02279.00] 需要給大家去明確的一個點
[02279.00-02280.10] 就是在經具表演當中
[02280.10-02282.76] 我們不得不提的就是四大名單
[02282.76-02284.94] 這個四大名單需要同學去掌握
[02284.94-02286.84] 分別都是拿幾個人
[02286.84-02288.48] 要再輸上給的標準出來
[02288.48-02290.16] 是四大名單的分別是
[02290.16-02293.24] 梅蘭方先生上小圓大師
[02293.24-02294.54] 對吧 承驗修
[02294.54-02295.96] 還有徐惠收
[02295.96-02298.50] 這幾個分別是我們所說的
[02298.50-02300.06] 不同的經具
[02300.06-02301.70] 他的一個唱派的
[02301.70-02303.66] 這樣一個代表人物
[02303.66-02305.08] 我們經常聽到梅派
[02305.08-02308.08] 梅派的創始人
[02308.08-02310.36] 這個就是梅蘭方大師
[02310.36-02310.82] 對不對
[02310.82-02312.78] 優勢是梅蘭方大師的經典
[02312.78-02313.78] 製作我們都知道
[02313.78-02314.74] 大王別具
[02314.74-02316.00] 他自創的那段
[02316.00-02318.32] 餘極的這個自文的那段
[02318.32-02320.56] 他不是随手一会的花架子
[02320.56-02322.60] 这是有一些建法在里面的
[02322.60-02323.80] 比如说太极建法
[02323.80-02324.96] 终一不终立
[02324.96-02325.44] 对吧
[02325.44-02327.28] 而经济的创面做的
[02327.28-02329.72] 就把这多少建物件的
[02329.72-02332.68] 意想全都放在这个经济当中了
[02332.68-02334.00] 所以这是我们所说的
[02334.00-02335.56] 有关于经济当中
[02335.56-02337.56] 我们长得了解完了
[02337.56-02338.84] 他的行动之后
[02338.84-02339.72] 我们要了解一下
[02339.72-02341.00] 他在这里面具体
[02341.00-02342.20] 所提到的
[02342.20-02344.40] 我们所说的这极大名单
[02344.40-02345.56] 你又提到四岸名单
[02345.56-02346.48] 你追起码要知道
[02346.48-02347.68] 他们分别是谁
[02347.68-02350.24] 在这里面给大家展示图片
[02350.24-02351.68] 这4名单的任务
[02351.68-02352.80] 第一个大家都知道
[02352.80-02353.96] 是美丹方案
[02354.20-02355.60] 第二个就是商学院
[02355.60-02357.68] 我这事按照人命去排序的
[02357.68-02359.44] 这是我们所说的关于
[02360.32-02361.20] 经具
[02361.20-02363.48] 他的一个行道也就3名单的问题
[02363.48-02364.64] 那了解了经具
[02364.64-02366.16] 太有哪些角色之后呢
[02366.16-02367.16] 我们来看一下
[02367.16-02368.88] 有关于经具的第二个问题
[02368.88-02371.32] 就是经具它的艺术表现手法
[02371.32-02372.76] 经具的艺术表现手法
[02372.76-02374.44] 一共就是思想基本工
[02374.44-02376.80] 大家知道这要超面做大
[02376.80-02382.60] 是要同们掌握的就是这四种一数表现手法分别代表的是什么
[02382.60-02388.08] 人第一个唱唱就是行强一上来之后大会就开始去听那个系他怎么唱的
[02388.08-02391.44] 比如说叫小番打应该听过对吧斯龙太猛嘛
[02391.44-02395.68] 什么一件公主道令尽不由的什么喜心间战力公门
[02395.68-02397.56] 然后陈下妈自这么一唱
[02397.56-02401.80] 那这个呢就属于我们所说的这个唱就叫做行强
[02401.80-02402.60] 这是第一个
