[00000.00-00004.80] 好的,那我们在接在里来看一下无意体当中的第四个方面的一种
[01203.28-01205.72] 所以在这里面,老百姓关注的第二个问题
[01205.72-01208.32] 也是近几年,在国家发展当中
[01208.32-01210.20] 它的一个大热点问题就什么问题
[01210.20-01212.20] 就是就业问题
[01212.20-01213.42] 说了这个就业呢
[01213.42-01214.72] 大家会发现经济年呢
[01214.72-01215.98] 由于受到疫情的影响
[01215.98-01217.32] 国家出现了就业男
[01217.32-01218.00] 在加上呢
[01218.00-01219.32] 全球经济发展
[01219.32-01220.32] 他出现了相对来说
[01220.32-01221.76] 疲惯的这样的一个趋势
[01221.76-01223.32] 就业了男度是不是很大
[01223.32-01224.48] 就就业男度很大的
[01224.48-01224.94] 就是在于
[01224.94-01225.40] 你比如说
[01225.40-01226.32] 早在前面的时候
[01226.32-01227.32] 在疫情之前
[01227.32-01228.60] 你去找工作的时候
[01228.60-01229.36] 你的心思视频
[01229.36-01230.72] 可能是一个标准
[01230.72-01231.24] 但是呢
[01231.24-01232.10] 今年比如说
[01232.10-01233.40] 小卖今年出于找工作
[01233.40-01235.00] 他发现他的这个工作
[01235.00-01236.12] 相对于前面来说
[01236.12-01237.20] 他的平均心思
[01237.20-01238.88] 是相对来说是有所下降的
[01238.88-01239.68] 这是第一个
[01239.68-01240.84] 这是在工作的
[01240.84-01242.12] 新自代水平上
[01242.12-01245.96] 第二就是工作的港位能够公选择的也会怎么样
[01245.96-01246.92] 越来越少了
[01246.92-01250.12] 所以我们发现所面临的第二个问题
[01250.12-01252.76] 因为在疫情当中很多小微奇也没有停住
[01252.76-01253.56] 就破产了
[01253.56-01256.76] 他们一旦破产的背后可能是面临的
[01256.76-01258.20] 或者出现的问题
[01258.20-01259.56] 其实就是我们所说的
[01259.56-01262.52] 广大决人员就业难的这样的一个情况
[01262.52-01264.68] 这是我们所提到的现在的就业
[01264.68-01266.28] 所以大家也会发现
[01266.28-01269.00] 说到这个就业的国家也出台了很多相应的
[01269.00-01271.96] 包服就業了政策比如鼓勵小企業
[01271.96-01274.60] 趴去陸陸續續註冊給到更多的優惠
[01274.60-01275.32] 那還有一個呢
[01275.32-01279.16] 就是大家能夠看到在各種各樣的國口公口的這樣一個
[01279.16-01283.16] 考試當中有個媒地區或者是我們總體的政策
[01283.16-01285.96] 它的人員的需求數量是怎麼樣
[01285.96-01287.08] 是逐漸增大的
[01287.08-01289.40] 也是烤邊,它會擴邊
[01289.40-01291.80] 然後考形認邊緻,它有一些港位
[01291.80-01294.20] 可能也會增加這幾年
[01294.20-01295.80] 也就是我們所說的
[01295.80-01299.90] 可能是在考工方面所存在的考工的红利
[01299.90-01303.80] 因为它在整个编制上可能会有相应的某种扩张
[01303.80-01306.80] 所以在这里面所给到的这些政策其实都是为了什么
[01306.80-01308.50] 都是为了戴洞就业
[01308.50-01312.00] 为什么国家要先先放百计想方设法的
[01312.00-01313.50] 去戴洞我们都就业
[01313.50-01317.10] 这里面我们来看一下其实在收上已经说得非常明确了
[01317.10-01319.10] 原因就是一个就是就业
[01319.10-01323.60] 它是最基本的民生是最大的民生
[01323.60-01325.10] 所以是我们所说的什么
[01325.10-01327.10] 是跟机
[01327.10-01329.10] 所以在这里面我们就提到了
[01329.10-01332.60] 你看它是最基本的连省是最大的连省是我们的根据工程
[01332.60-01336.60] 所以去义的我们把它定义为叫就义是连省之本
[01339.10-01341.10] 刚才教育是什么同学们
[01341.10-01345.10] 刚才教育是连省之机是国家发展的重要机市
[01345.10-01349.10] 而在这里面的就义还被称为叫做连省之本
[01349.10-01350.10] 为什么叫连省之本
[01350.10-01352.10] 我们经常会听到一句话
[01352.10-01356.22] 叫做名为帮本故才能帮名
[01356.22-01358.02] 这是老百姓才是这个国家的根据
[01358.02-01359.82] 但是你想要社会评论运行
[01359.82-01362.10] 老百姓的心安定下来怎么办呢
[01362.10-01364.10] 如果社会出现了大量的显赛人员
[01364.10-01365.58] 我失业了你也失业了
[01365.58-01366.42] 这么多钱
[01366.42-01368.34] 我在街头跟你碰我说黑不柔
[01368.34-01370.42] 我说我猜你跟我说你啥呀
[01370.42-01371.38] 没关系最近失业了
[01371.38-01372.42] 我说好巧啊
[01372.42-01373.30] 这不就是
[01373.30-01374.78] 所以街不就是原分嘛
[01374.78-01375.02] 对吧
[01375.02-01376.06] 我从我也失业了
[01376.06-01376.74] 怎么办呢
[01376.74-01377.86] 早政府谈一谈吗
[01377.86-01379.46] 于是咱们两个手拉着手
[01379.46-01382.82] 要求拉上其他一些失業的兄弟姐妹
[01382.82-01383.94] 往政府們先移作
[01383.94-01385.30] 然後高喊青天大老爺
[01385.30-01386.10] 我沒有工作了
[01386.10-01388.30] 同意來看一下這是一個什麼問題
[01388.30-01389.50] 這就不再是一個
[01389.50-01391.50] 簡簡單單單的民生社會問題了
[01391.50-01393.86] 當失業的人員開始變得越來越多的時候
[01393.86-01396.18] 這個社會的問題有些是會變差
[01396.18-01398.10] 那如果像我這樣不懂事人人
[01398.10-01398.46] 對吧
[01398.46-01400.18] 像我這種質考慮
[01400.18-01401.66] 就是出問題都是別人的錯
[01401.66-01403.54] 不會考慮自己的這樣一個原因的話
[01403.54-01405.86] 那這個時候如果出現更多的
[01405.86-01408.18] 我們所說的不要偏激的這樣的人出現
[01408.18-01412.28] 我们原本的社会问题可能就会引发社会的动荡核不安
[01412.28-01413.78] 所以在这里面我们说了
[01413.78-01418.18] 想要维护住现有的稳定的这样一个经济运行的大环境
[01418.18-01420.18] 在本质上就是要解决什么问题
[01420.18-01420.98] 就业问题
[01420.98-01423.58] 当你有纠约有收入来源又是可做的时候
[01423.58-01424.48] 你这时候呢
[01424.48-01426.38] 就会发现你的价值能够对实现
[01426.38-01427.88] 社会稳定就会好一些
[01427.88-01430.88] 所以在这里面我们说了就就业是民生之本
[01430.88-01432.18] 他被称这位叫做什么
[01432.18-01434.38] 最大的民生原住在这
[01434.38-01436.48] 所以在这里面大家要明确的第一个点
[01436.48-01440.38] 就是明確就業的地位叫最基本的基本
[01440.38-01442.40] 不是即使即使是教育
[01442.40-01446.74] 最基本的名稱最大的名稱就是在就業上
[01446.74-01448.52] 所以它是國家的根基工程
[01448.52-01450.08] 所以在這裡面大家注意
[01450.08-01453.36] 那第二個就是為了解決就業問題
[01453.36-01455.34] 國家也出台了一系列的策略
[01455.34-01458.48] 就知道什麼就要做就業優先策略
[01461.08-01463.40] 就要做就業優先戰略
[01463.40-01465.74] 所以我們要把就業擺在什麼位置
[01465.74-01468.10] 把就業擺在優先位置
[01468.10-01469.90] 所以在這裡面大家要注意
[01469.90-01472.54] 所以這是我們所給到的第二個點
[01472.54-01473.90] 就是就業優先
[01473.90-01475.30] 你知道有這麼一個詞
[01475.30-01476.94] 你只要一看到說存在失業
[01476.94-01478.42] 我們要實施什麼戰略
[01478.42-01480.82] 就知道是就業優先戰略就可以了
[01480.82-01482.26] 所以這是第二個點
[01482.26-01486.78] 第三個點就是當下的就業所面臨的比較大的一個問題是什麼呢
[01486.78-01488.22] 是結構性的問題
[01488.22-01489.74] 這是我們經常在
[01490.38-01491.26] 經濟當中
[01491.26-01493.74] 我跟大家講過的叫做結構性失業
[01493.74-01495.50] 結構性失業的問題是什麼
[01495.50-01496.90] 是有港位
[01496.90-01497.14] 对吧
[01497.14-01498.30] 我确实是招人
[01498.30-01499.06] 但是呢
[01499.06-01499.98] 我招了这个人
[01499.98-01501.66] 你的能力是匹配不上的
[01501.66-01502.70] 这是我确实是招人
[01502.70-01504.86] 但是你来了你没有办法干这个火
[01504.86-01505.82] 所以我们才说了
[01505.82-01506.62] 现在目前呢
[01506.62-01507.38] 可能存在的
[01507.38-01508.30] 这样的一个问题就是
[01508.54-01509.78] 结构性实验
[01509.78-01512.38] 所以我们在整个就业当中要调整什么
[01512.38-01514.06] 就业的结构性问题
[01514.06-01515.08] 你怎么调整就业的
[01515.08-01515.78] 就业的就业问题呢
[01515.78-01516.70] 比如说他搞一些
[01516.70-01517.86] 技能陪迅
[01517.86-01518.06] 对吧
[01518.06-01519.34] 搞一些直接陪迅
[01519.34-01520.54] 其实都是为了提升
[01520.54-01522.14] 劳动者的技能促进就业的
[01522.14-01523.30] 那这个时候就改变了
[01523.30-01523.98] 我们在
[01523.98-01527.38] 失業問題當中所面臨的結構性失業的這樣一個狀況
[01527.38-01529.22] 這個點它不太常考
[01529.22-01531.90] 但是你一個案在提案當中看到說
[01531.90-01535.10] 它搞一些結構性的調整來帶動失業
[01535.10-01536.98] 來帶動來減少失業
[01536.98-01538.30] 一帶動就業的話
[01538.30-01539.54] 這麼說法是對的
[01539.54-01540.90] 你大概有這麼一個印象
[01540.90-01541.54] 就OK了
[01541.54-01541.90] 好吧
[01541.90-01544.30] 這個點它其實不太會常考到
[01544.30-01545.54] 所以這是我們所說的
[01545.54-01547.22] 在老百姓比較關心的第二人體
[01547.22-01549.66] 就是就業的問題
[01549.66-01551.02] 所以這是第二個
[01551.02-01553.02] 第三個就是我們說了
[01553.02-01554.58] 就夜要干嘛呢 赚钱啊
[01554.58-01556.02] 我这种赚到钱了之后
[01556.02-01557.70] 我才能很评论的生活
[01557.70-01558.62] 所以在这里面
[01558.62-01560.06] 我们要谈一下第三个问题
[01560.06-01562.18] 就是收入分配的问题
[01562.18-01564.66] 所以我们来看老的一些比较关心的第三个内容
[01564.66-01566.34] 在这里就是收入分配
[01566.34-01567.94] 所以我们第一个收入分配的地位
[01567.94-01569.58] 我们在这里给他标准出来
[01569.58-01572.54] 叫做收入分配叫做民生之源
[01572.54-01573.98] 所以大家能够看到吧
[01574.86-01576.86] 我们所说的这三个民生之机
[01576.86-01578.74] 民生之本和民生之源
[01578.74-01580.54] 他都不一样对用的内容不一样
[01580.54-01581.62] 所以在考试的时候
[01581.62-01582.90] 他很容易回小
[01582.90-01583.66] 这是在这
[01583.66-01585.46] 就因为什么是民生之源
[01585.46-01586.74] 你看他后面怎么说的
[01586.74-01588.54] 他说就收入分配
[01588.54-01590.14] 为什么是民生之源呢
[01590.14-01591.02] 他后面说
[01591.02-01594.94] 说是改善民生实现发展成果而人民共享坏下
[01594.94-01596.46] 做最重要
[01596.46-01598.46] 最直接的方式
[01598.46-01600.06] 老百姓如何很良
[01600.06-01601.34] 他日子过得好不好
[01601.34-01603.62] 他只能通过这种最直观的
[01603.62-01604.66] 这种方式来去看
[01604.66-01605.94] 就是从他的什么来看
[01605.94-01607.66] 就从他的收入来看
[01607.66-01609.66] 比如说前几年的时候国家说了
[01609.66-01613.38] 说在民生建设当中我们更加关注的说是老百姓的什么感
[01613.38-01615.46] 说前几年更加关注老百姓的幸福感
[01615.46-01619.02] 只而让社会当中的老百姓觉得它生活的很幸福
[01619.02-01621.86] 这个社会或者是我们在民生领域的建设
[01621.86-01623.74] 其实就达到了相用的这种
[01623.74-01626.90] 所要建设的这样的要求的
[01626.90-01629.50] 但是会想一下单从幸福感来去横梁
[01629.50-01631.62] 这个社会的建设是老百姓的生活
[01631.62-01632.94] 它够不够直观
[01632.94-01635.10] 够不够生动和直接准确的
[01635.10-01636.10] 就是不够的
[01636.10-01638.78] 你看前几年在电视上不是有那种采访
[01638.78-01641.66] 就是那个漏漏那个屋隆那个时间
[01641.66-01644.10] 就是那个记者拿那个麦克风
[01644.10-01646.46] 这是在那个大部分看到
[01646.46-01647.70] 就是街头的这种记者嘛
[01647.70-01649.18] 尤其是腰式的一些记者
[01649.18-01650.78] 他就无论是在什么天派出来
[01650.78-01652.30] 现在但是说观众朋友大家好
[01652.30-01654.26] 现在呢无所处的这个位置呢
[01654.26-01655.78] 是我们所说的沈洋火吃在
[01655.78-01657.50] 大家能看到年龄非常多重啊
[01657.50-01660.46] 那现在呢大部分的人都开始反乡过年了
[01660.46-01662.46] 那我们来随机采访一下街头
[01662.46-01663.98] 大家对于过年的这种看法
[01663.98-01665.14] 你看就是会有这种
[01666.06-01667.82] 我们所说的这种街头的这种记者
[01667.82-01669.06] 来采访周明声嘛
[01669.06-01671.94] 所以前几年对老百姓秀服感的问题又记得是采访
[01671.94-01672.90] 往那个借回一站
[01672.90-01673.82] 说好的观众朋友们
[01673.82-01675.62] 现在我们就在接头上来看到
[01675.62-01676.82] 我们能看到身后的
[01676.82-01679.78] 大家现在生活的相对来说比较休息
[01679.78-01681.58] 我们就来看一下大家对于现在
[01681.58-01682.90] 秀服感是什么看法
[01682.90-01685.26] 然后他就去采访这样的一个接口
[01685.26-01686.26] 他采访了一个大眼
[01686.26-01687.06] 大家也记得吧
[01687.06-01687.58] 他是问
[01687.58-01689.94] 说大眼说你秀服吗
[01689.94-01693.02] 大眼当时问的什么
[01693.02-01694.34] 眼就都指了
[01694.34-01695.34] 什么叫我秀服吗
[01695.34-01696.26] 大说不对啊
[01696.26-01697.26] 说我不秀服啊
[01697.26-01698.54] 我心里怎么样的
[01698.54-01701.10] 你看所以在那个时候就闹了一个什么烏龙
[01701.10-01702.38] 所以这种情况的
[01702.38-01703.66] 它其实是很难很定的
[01703.66-01705.38] 这你单纯的一块幸福感
[01705.38-01708.14] 而且很难切定老百姓对发展成果
[01708.14-01709.66] 它的一个满意程度
[01709.66-01711.98] 所以那个时候大家就说幸福感这个东西
[01711.98-01713.02] 太过于主观了
[01713.02-01715.82] 因为每个人对幸福的阶段是不一样的
[01715.82-01717.70] 它不够统一也不够直接
[01717.70-01718.94] 有的人你看
[01718.94-01719.66] 它没有钱
[01719.66-01721.02] 但它安平乐道
[01721.02-01721.90] 比如说像我
[01721.90-01723.50] 我就觉得我现在这样挺幸福的
[01723.50-01723.90] 对吧
[01723.90-01725.34] 但有的人碰得痛苦
[01725.34-01728.02] 他加踩万贯 但是他一点不开心
[01728.02-01729.42] 就是赵本身说的
[01729.42-01731.42] 说人死了 前面华了
[01731.42-01732.70] 这是人生最大的苦痛
[01732.70-01735.18] 所以你看他有钱 他也不一定幸福
[01735.18-01738.38] 所以幸福这个东西他非常的主观
[01738.38-01740.06] 所以 而且相对来说
[01740.06-01742.30] 他是很抽象的这样一个东西
[01742.30-01743.42] 没有发发一个人乐
[01743.42-01745.58] 所以那几年国家提到幸福感之后
[01745.58-01747.18] 在这几年就改了
[01747.18-01747.90] 改了干嘛呢
[01747.90-01750.14] 说要提高老来性的幸福感
[01750.14-01751.66] 还有什么感 获得干
[01751.66-01753.26] 你问获得干 那我有
[01753.26-01754.80] 你给我到身上的实惠
[01754.80-01755.84] 给我到身上的利用
[01755.84-01757.06] 能只关的感受到到
[01757.06-01758.40] 那这个时候我是获得
[01758.40-01759.82] 这种东西是可以怎么样
[01759.82-01761.30] 真正切切的获得手里的
[01761.30-01763.22] 获得感如何去红量和平下
[01763.22-01764.70] 最维直观的一个就知道什么
[01764.70-01765.54] 就有点收入
[01765.54-01767.34] 我收入高我的获得感就高
[01767.34-01767.70] 对吧
[01767.70-01768.80] 所以你看他才说了
[01768.80-01769.90] 收入分配是解决
[01769.90-01771.30] 老百姓收回问题的
[01771.30-01772.74] 这样一个非常照顾点
[01772.74-01774.80] 所以叫做民生之源
[01774.80-01776.36] 但是他同时也是最重要
[01776.36-01777.38] 最直接的方式
[01777.38-01779.06] 没有什么比钱更直接了
[01779.06-01781.42] 我们的老百姓其实非常的单纯的
[01781.42-01782.50] 我不想要别的
[01782.50-01785.34] 我就是想靠我自己的努力 业暴富而已
[01785.34-01785.74] 对吧
[01785.74-01789.74] 所以收入才是更为直接的一种方式
[01789.74-01791.34] 所以你看在这里他说了
[01791.34-01793.62] 最重要最直接的方式
[01793.62-01795.98] 所以这里面考到收入分配的地位
[01796.62-01799.14] 大家知道他是民生之缘
[01799.14-01801.22] 他是最重要最直接的方式
[01801.22-01802.34] 所以这是第一个点
[01802.34-01805.14] 大家要明确收入他的地位
[01805.14-01807.54] 第二个就是明确了收入分配
[01807.54-01808.50] 他的地位之后
[01808.50-01809.98] 第二个我们就来看一下
[01809.98-01811.14] 在当下的中文
[01811.14-01813.96] 它其实存在收入分配不均衡的情况
[01813.96-01815.22] 你何必是中国呢
[01815.22-01817.28] 其他世界各地都会存在的什么
[01817.28-01818.56] 收入分配差距
[01818.56-01820.62] 只不过呢其他国家的收入分配差距
[01820.62-01822.16] 国家不会过渡的干预
[01822.16-01824.84] 那导致的结果是两期分化比较严重
[01824.84-01827.26] 比如说最典型的是美国
[01827.26-01828.28] 大家都知道美国
[01828.28-01829.82] 之前的时候呢
[01829.82-01830.60] 真的
[01830.60-01832.12] 完美对吧有钱
[01832.12-01834.44] 大家都看到美国都觉得美国身上就漂亮了
[01834.44-01835.46] 三个字叫有钱人
[01835.46-01837.26] 但是它的有钱人的象征是什么
[01837.26-01837.78] 是
[01837.78-01841.36] 少說資訊產階級手裡掌握的財富
[01841.36-01843.42] 在美國的調查數據當中顯示
[01843.42-01845.46] 美國90%財富
[01845.46-01847.50] 為10%的人所享有
[01847.50-01850.58] 這10%的人就是這個國家的什麼統治階級
[01850.58-01853.90] 而美國的地層比如說高處是全體往下
[01853.90-01855.96] 這些人口戰鬥90%
[01855.96-01858.78] 大家們只能分配社會上10%的財富
[01858.78-01859.46] 為什麼
[01859.46-01861.34] 因為他們的國家性質就是這樣
[01861.34-01864.14] 就是少數人掌控權力之後的牽人就不用管了
[01864.14-01865.24] 但是中國不會
[01865.24-01866.20] 你看中國
[01866.20-01868.02] 他在去调节收入分析插具当中
[01868.02-01869.24] 他做了很多的努力
[01869.24-01870.36] 比如说从什么上
[01870.36-01871.32] 税收上
[01871.32-01873.52] 比如说在税收的机查上面
[01873.52-01873.88] 对吧
[01873.88-01875.60] 是我都会做一些相的调整
[01875.60-01877.48] 收入分析插具做小之后
[01877.48-01880.28] 相对来说社会公平实现的
[01880.28-01883.16] 才会更加的程度会更加的高一些
[01883.16-01884.80] 所以我们国家在收入分析
[01884.80-01887.56] 这个插具问题上做了很多的努力
[01887.56-01889.44] 那我们来看一下他都做了哪些努力
[01889.44-01890.92] 会给到了哪些政策呢
[01890.92-01891.92] 在这里他给到
[01891.92-01894.84] 说坚持多了多的鼓励情劳制复
[01894.84-01897.40] 促進機會水平,後面這句話話出來
[01898.16-01900.22] 叫做增加低收入者收入
[01900.48-01903.42] 扩大中等收入前幾收入後面好像話
[01903.54-01907.64] 保護合法收入條結過高收入,取定什麼?非法收入
[01907.90-01911.74] 這個點呢就是我們所提到的有關於收入分態政策
[01911.98-01913.78] 我們國家的收入分為政策就是
[01914.04-01917.36] 增加低收入者收入扩大中等收入前幾收入
[01917.62-01921.72] 因為我們國家目標,我們到社會結構目標啊,大家注意一下
[01921.72-01923.88] 我們國家的社會結構建設的目標
[01923.88-01924.92] 是要顧見什麼呢?
[01924.92-01926.18] 感覽型的
[01927.56-01928.92] 這樣一個社會
[01932.12-01934.26] 讓顧見的是感覽型
[01935.68-01936.42] 社會
[01936.42-01938.62] 而感覽型社會的特點是什麼?
[01938.62-01939.86] 感覽型社會的特點
[01939.86-01940.62] 大家注意一下
[01940.62-01942.72] 就是中間大量頭小
[01943.22-01944.72] 我還不太會畫感覽啊
[01946.52-01947.72] 就是恰不正的
[01947.72-01949.32] 就是中間大量頭小
[01949.32-01951.62] 中間代表的是中等收入旋貼
[01951.62-01953.42] 上面是高手入圈艇
[01953.42-01954.82] 下面是低手入圈艇
[01954.82-01957.02] 我们要求的是中等受入圈艇
[01957.02-01957.62] 扩大
[01957.62-01958.74] 因为中等受入圈艇
[01958.74-01960.62] 扩大社会相对有年轻机会很高
[01960.62-01962.22] 所以你看他给到的是什么
[01962.22-01963.82] 叫增加低手入圈收入
[01963.82-01966.02] 低手入增加相耐过度
[01966.02-01967.42] 中等受入圈艇
[01967.42-01969.02] 增加过度对吧
[01969.02-01971.02] 扩大中等受入圈艇
[01971.02-01971.62] 那没有问题啊
[01971.62-01974.02] 因为本身就要让中等受入圈艇多呀
[01974.02-01976.42] 所以因为受回结果就是中间大嘛
[01976.42-01978.42] 所以叫扩大中等受入圈艇
[01978.42-01980.42] 你看后面调节过高手入
[01980.42-01982.06] 把顧高收入条件
[01982.06-01984.90] 这时候也让高收者向哪过度呢
[01985.30-01986.06] 更多的
[01986.06-01987.18] 你当然了高收者
[01987.18-01988.10] 他在这个社会当中
[01988.10-01989.06] 毕竟这样的是小数
[01989.06-01989.90] 那我条件过了
[01989.90-01991.78] 收着让他更加靠近的是什么
[01991.78-01993.06] 中等收入选题
[01993.06-01993.86] 所以你看
[01993.86-01996.18] 无论是增加低的
[01996.18-01997.58] 扩大中的
[01997.58-01999.06] 还是条件高的
[01999.06-02000.74] 他的本制目的都是要顾尖
[02000.74-02002.06] 感染行社会
[02002.06-02002.46] 对吧
[02002.46-02005.18] 实现中间大量投小的这样的一个结构
[02005.18-02006.42] 所以我们经常提到了
[02006.42-02007.54] 叫做提高
[02007.54-02008.42] 扩中
[02008.42-02010.18] 叫做提低
[02010.18-02012.90] 扩中調高打飛
[02012.90-02014.90] 它分別指的是什麼
[02014.90-02016.02] 恭喜在旁邊
[02016.02-02017.50] 它可以蓋過出來
[02017.50-02019.54] 就是提低
[02021.66-02022.66] 扩中
[02024.38-02025.34] 調高
[02028.22-02029.06] 打飛
[02029.06-02030.90] 然後說它指的是
[02030.90-02032.86] 收入分配重測當中的什麼
[02032.86-02034.34] 這個點還真的是考過
[02034.34-02037.06] 在當時的一個地區的世界單位考察過
[02037.06-02040.34] 你看提低就是提高增加低收者收入
[02040.34-02042.54] 擴充擴大中能全体收入
[02042.54-02045.78] 调高调节顾官说打飞去帝飞发收入
[02045.78-02048.90] 那当然飞发收入要去帝那合发收入叫怎么样
[02048.90-02050.26] 就要保护摆
[02050.26-02052.02] 所以在这里面大家要能够知道
[02052.02-02054.86] 这个就是我们所说的根据效的收回结构
[02054.86-02057.86] 我们所给到的收入分配政策
[02057.86-02059.42] 这个收入数据政策的内容
[02059.42-02061.54] 大家能够熟悉变成对用上
[02061.54-02064.38] 好,那这个就是我们在迷生领域当中
[02064.38-02066.54] 我们非常注意的一个点
[02066.54-02068.18] 这三个是重点
[02068.18-02069.82] 当然说老百姓关注的
[02070.54-02071.86] 仅仅是教育
[02071.86-02073.46] 仅仅是就业和收入吗
[02073.46-02073.90] 不是
[02073.90-02075.18] 老百姓关心医疗
[02075.18-02077.38] 老百姓还关心住房的问题
[02077.38-02078.30] 但这两个点
[02078.30-02080.14] 我们在这不给大家做过的讲解
[02080.14-02081.90] 因为在大部分地区考试当中
[02081.90-02083.46] 比较常见的是这几个
[02083.46-02084.34] 大家要明确
[02084.34-02086.26] 所以这是我们所说的迷声
[02086.26-02087.38] 所以在迷声令越
[02087.38-02088.70] 我们关注老百姓的生活
[02088.70-02089.62] 就是教育
[02089.62-02090.70] 给大家讲到了
[02090.70-02092.02] 还提到了就业
[02092.02-02093.38] 还有收入分配的问题
[02093.38-02094.34] 这是第一个
[02094.34-02096.30] 我们在悲观上来关注
[02096.30-02097.02] 民生
[02097.02-02098.82] 那说了社会之里
[02098.82-02099.58] 社会之里
[02099.58-02100.78] 它也是分层次的
[02100.78-02101.86] 在社会建制当中
[02101.86-02103.50] 我们叫在微观当中
[02103.50-02105.22] 去关注老百姓的什么
[02105.22-02106.22] 老百姓的生活
[02106.22-02107.34] 所以我们提到了民生
[02107.34-02108.38] 讲了三个领域
[02108.38-02109.42] 但是老百姓
[02109.42-02110.86] 它毕竟生活在什么
[02110.86-02112.58] 社会当中
[02112.58-02113.78] 所以我们要在中观
[02113.78-02115.02] 投边上去看看
[02115.02-02118.02] 有关于社会是如何之里的
[02118.02-02119.94] 所以我们来看一下第二个问题
[02119.94-02123.30] 就是加强和创新社会之里
[02123.30-02124.98] 那有关社会之里的问题
[02124.98-02126.78] 那一旦提到社會之理
[02126.78-02127.94] 逃不掉的時候什麼
[02127.94-02130.22] 逃不掉的就是風巧經驗
[02130.22-02131.62] 我們先來看一下社會之理
[02131.62-02133.18] 它的一些基本要求
[02133.18-02134.82] 對於家庭社會之理
[02134.82-02136.42] 制度建設要完善
[02136.42-02138.42] 黨委領導政府負責民主協商
[02138.42-02142.90] 社會協同公眾參與法治保障和科技之稱的
[02142.90-02143.94] 社會之理體系
[02143.94-02145.42] 也是你想要之理的話
[02145.42-02147.26] 你必須有一個科學規範的
[02147.26-02148.02] 治理體系
[02148.02-02149.74] 要在之理體系當中明確
[02149.74-02151.70] 每一個社會組成部分
[02151.70-02152.98] 它分別都做什麼
[02152.98-02154.38] 是明确他的社会分工啊
[02154.38-02155.28] 你比如说党
[02155.28-02156.78] 这是领导这个社会的发展
[02156.78-02157.90] 这些方政策
[02157.90-02159.32] 政府在社会治理当中
[02159.32-02161.34] 才是冲当非常赵的一个
[02161.34-02162.44] 我们所说的什么
[02162.44-02163.90] 打手的这样的一个角色
[02163.90-02166.04] 你比如说打击相应的犯罪
[02166.04-02167.28] 需要政府出手啊
[02167.28-02169.46] 政府的什么相应的公安机关和部门
[02169.46-02171.22] 保护国家安全续需要政府出手
[02171.22-02171.78] 当然了
[02171.78-02172.12] 对吧
[02172.12-02173.62] 关机关他们要上呢
[02173.62-02175.90] 那这是我们所说的政府他去做的
[02175.90-02179.60] 那你看除了我们说了要靠党和政府去做这些事
[02179.60-02182.06] 那我们其实能够看到在社会治理当中
[02182.06-02186.06] 單純的一口黨和政府能不能達到我們所要求的社會治理效果呢
[02187.46-02188.22] 他們想一下
[02188.22-02194.86] 如果單純的一口黨和政府能不能達到我們所理想當中的內容狀態
[02194.86-02197.26] 就是社會和協議的飯罪都沒有
[02197.26-02198.62] 然後一點問題都沒有
[02198.62-02201.26] 能不能達中狀態其實不能的
[02201.26-02203.66] 為什麼不能因為作為國家公權的計劃
[02203.66-02207.06] 他對民生領域或社會治理的能力或者是
[02207.46-02210.46] 他的這個手深的長度是有限的
[02210.46-02211.86] 我幾個最簡單的例子來看
[02211.86-02212.90] 比如说那个拉纪分类
[02213.18-02214.82] 拉纪分类的国家提上拉纪分类
[02214.98-02215.78] 分成什么呢
[02215.98-02217.50] 除于拉纪分成
[02217.50-02218.98] 我们所说的有害拉纪
[02218.98-02219.78] 干拉纪
[02219.78-02221.18] 然后还有可回收拉纪
[02221.90-02223.74] 国家是提上拉纪分类的
[02223.78-02224.58] 国家有没有说
[02224.58-02226.58] 在拉纪分类当中做一些工作的有啊
[02226.78-02227.34] 他把你
[02227.34-02228.58] 他给你把拉纪投动给女人
[02228.58-02229.30] 射好了
[02229.42-02230.34] 他不减减减射好了
[02230.34-02232.34] 他还告诉你怎么分哪些属于什么
[02232.34-02233.78] 他就给你百战的小吃陆下
[02234.06-02235.22] 但是问题就在于
[02235.34-02236.58] 他都做了这些了
[02236.58-02238.14] 你也我能做的
[02238.14-02239.06] 比如说政府能做
[02239.06-02240.06] 都只给你做了
[02240.06-02241.86] 政府能做的都做完了
[02241.86-02244.98] 你就会乖乖地去听政府的话警人拉几分类吗
[02246.26-02246.86] 不会
[02247.06-02248.70] 你该怎么人还怎么人
[02248.70-02250.94] 就好像那个大介事有那个拉几桶在哪
[02250.94-02252.38] 你手里的那个拉几
[02252.38-02254.26] 不是有的人他还是手控着不住
[02254.26-02255.74] 他就要轮到拉几向外面吗
[02255.74-02258.26] 那欢迎话说的就是政府也好
[02258.26-02260.50] 我们所说的中国共产党
[02260.50-02262.70] 以及中国共产党领导下的其他几个也好
[02262.70-02265.14] 他能做的事情是怎么样有限的
[02265.14-02267.50] 那么想要实现社会之力总的办法
[02267.50-02269.78] 你这个时候你就要调动起来谁的力量
[02269.78-02270.76] 人民的力量
[02270.76-02272.98] 所以在社會治理當中不僅黨衛
[02272.98-02274.82] 和政府要發揮作用
[02274.82-02275.78] 誰要發揮作用呢?
[02275.78-02279.22] 老百姓你看民主社會公眾
[02279.22-02280.62] 他們也要發揮作用
[02280.62-02282.98] 如果人民一旦參與到社會治理當中
