[00000.00-00003.58] 好,我們看完了形法總論之後呢
[01192.68-01195.44] 然后不给人救最后人家就去世了
[01195.44-01196.80] 还有一种情况就是
[01196.80-01198.12] 还有一种一些人
[01198.12-01199.68] 他就是把人状况重伤之后
[01199.68-01201.60] 人家都已经倒在那个血扩当中了
[01201.60-01202.88] 还不赶紧点人送医院
[01202.88-01204.72] 还不赶紧联系救护车和警察
[01204.72-01206.08] 反而把这个人怎么样呢
[01206.08-01208.48] 这是为了逃避我们所说的这种
[01209.12-01210.04] 救助衣服
[01210.04-01211.44] 也为了逃避相反去责任
[01211.44-01213.08] 他把这个人状况重伤之后
[01213.08-01215.04] 把这个人状况重伤之后
[01215.04-01217.60] 就抬到了其他的地方给藏起来了
[01217.60-01222.00] 這種情況之下,把這人藏起來之後大家也看不到在大馬龍上有日
[01222.00-01226.00] 需要救助的人來來往往的車輛,然後這麼多也沒有看到
[01226.00-01229.64] 然後這個人就被藏在比如說三弄裡,或者是一個草草蓉蓉
[01229.64-01233.80] 沒發現,後來因為得不到救助怎麼樣,最後就死亡了
[01233.80-01236.44] 你看,這裏面,是不是出現了兩個情況
[01236.44-01241.72] 第一個情況就是,他把人撞了是不是逃避救助一無,然後就很情況之下
[01241.72-01245.92] 这个我们所说的英当被救出的这个人没有得到救作而死亡
[01245.92-01248.92] 他是不是构成交通照时最因讨议真死亡啊
[01248.92-01250.12] 这是一种情况
[01250.12-01252.52] 那还一种情况就是他这里面还有第二个行为
[01252.52-01254.52] 他的第二个行为是什么同学想一下
[01254.52-01256.52] 他的第二个行为是在这里
[01256.52-01258.12] 就是你把人装了
[01258.12-01259.52] 你不仅没有救人家
[01259.52-01262.32] 你是为还剥夺了他背救的可能性
[01262.32-01266.12] 那这种情况之下他剥夺了这种背救的可能性
[01266.12-01268.32] 你不就你也不让别人就
[01268.32-01271.52] 那这种情况之下他是不是又构成了不作为的杀人
[01271.52-01273.52] 所以在这里面怎么给他定罪
[01274.52-01276.52] 这个时候我们给他定罪的时候
[01276.52-01278.52] 这个一定要数罪病法就行了
[01278.52-01280.52] 就是应该说不作为个故事人
[01280.52-01282.52] 所以在这里面大家注意想
[01282.52-01283.52] 因讨议真死亡这块
[01283.52-01284.52] 就是为了讨议就说意外
[01284.52-01286.28] 比如说你我那个人装装装杀了
[01286.28-01287.44] 你怕救助他
[01287.44-01288.00] 你不救助
[01288.00-01288.80] 你拥救助
[01288.80-01289.48] 而不救助
[01289.48-01290.08] 你跑了
[01290.08-01290.88] 这时候就随意
[01290.88-01292.08] 因讨论真死吧
[01292.08-01293.28] 但是如果你跑了
[01293.28-01294.00] 仅认是什么
[01294.00-01294.88] 你的不作为
[01294.88-01296.24] 但是如果说你在这里面
[01296.24-01297.32] 又出现了另外一个行为
[01297.32-01298.28] 就相当于什么
[01298.28-01299.28] 如果出现另外一个
[01299.28-01300.68] 你隐藏商者
[01300.68-01303.04] 你就排除了他人救助的可能性
[01303.04-01304.36] 你这时候就达到了
[01304.36-01305.60] 不作为的杀人了
[01305.60-01306.72] 你就可以给你同时
[01306.72-01308.20] 订贵乌乌杀人罪了
[01308.20-01309.80] 所以这个时候就对他
[01309.80-01311.28] 数罪病法
[01311.28-01312.56] 就对他数罪病法
[01312.56-01313.28] 所以在这里面
[01313.28-01314.08] 大家注意一下
[01314.08-01318.08] 这是我们所说的因讨议而真死亡的情况
[01318.08-01318.98] 一定要注意一下
[01318.98-01320.48] 这是第一个情况就是
[01320.48-01322.08] 交通照时最值得没跑了
[01322.08-01324.08] 第二个就是你把它藏起来了
[01324.08-01327.38] 你就时候可能够车不作为的故意杀人
[01327.38-01328.68] 我把它一起在旁边
[01328.68-01330.78] 如果说在因讨议真死亡当中
[01330.78-01331.88] 又出现另外一种情况
[01331.88-01333.28] 就是你因藏商者
[01334.38-01335.28] 照示者
[01335.28-01337.18] 照示者出现了隐藏商者
[01340.88-01341.98] 那隐藏商者
[01341.98-01344.98] 使这个商者没有得到其实就主而死亡的话
[01344.98-01348.38] 这种情况之下就定要故意杀人呗
[01350.38-01352.38] 波躲了别人就他的可能性
[01352.38-01354.38] 不这个时候就定我们所说的是吗
[01354.38-01355.58] 故意杀人最啊
[01355.58-01357.38] 已经达到了不作为的杀人程度
[01357.38-01359.38] 所以这个时候定故意杀人最
[01359.38-01360.98] 与交通照示罪怎么样
[01360.98-01361.58] 并反
[01362.78-01364.18] 我写个并反就知道啊
[01364.18-01366.58] 与交通照示罪罪并反
[01366.58-01368.38] 这个呢就是我们所说的
[01369.78-01371.78] 交通照示罪的三种情况啊
[01371.78-01373.10] 这个地方大延要注意一下
[01373.10-01375.26] 我们讲了三个基本的模型
[01375.26-01376.62] 这三个基本的模型
[01376.62-01377.90] 第一个就是基础型
[01377.90-01380.34] 我们说了有去图业三年下的
[01380.34-01382.38] 他就是存在交通兆事行为
[01382.38-01384.02] 交通兆行为是过失
[01384.02-01386.82] 然后交通兆行为产生了实害的结果
[01386.82-01388.58] 那这个实害结果是意思
[01388.58-01391.06] 三种商或者是我们常说的
[01391.06-01394.06] 一人中商拔有非常严重的情节
[01394.06-01396.10] 那我说了交通兆事最主体
[01396.10-01397.74] 现实于司机价视者
[01397.74-01398.62] 不现于价视者
[01398.62-01400.06] 成冲人也有可能
[01400.06-01403.22] 然后交通兆时罪毕竟是为还公共安全犯罪
[01403.22-01405.68] 所以他必须要求在公共交通的预
[01405.68-01407.62] 这是第一个我们所说的基础型
[01407.62-01410.08] 第二个就是交通兆时后讨议
[01410.08-01413.04] 交通兆时后讨议订队交通兆时罪
[01413.04-01414.42] 只过刑法会更重
[01414.42-01415.56] 因为你跑了吗
[01415.56-01416.54] 但是大家要明确
[01416.54-01417.98] 他讨议的原因是什么
[01417.98-01420.42] 他讨议的目的是为了讨订法律之纠
[01420.42-01422.14] 而不是讨订就主义我
[01422.14-01424.54] 如果他出现因讨议真死亡
[01424.54-01426.14] 讨议就主义的话
[01426.14-01427.84] 那也订队交通兆时罪
[01427.84-01429.26] 刑法会更重
[01429.26-01432.06] 那就是法定型升格的第三种情况
[01432.06-01433.70] 因讨议之然死吧
[01433.70-01436.22] 那因讨议之然死亡的话
[01436.22-01437.62] 他讨议的是救助
[01437.62-01439.50] 一无你给人创重商了结果呢
[01439.50-01440.74] 你干什么上车跑了
[01440.74-01443.50] 他因为没有得到即时的救助而去世的话
[01443.50-01445.22] 那你就属于第三种情况
[01445.22-01446.22] 那在这里面
[01446.22-01447.82] 除了我们所说的这种基本情况
[01447.82-01449.22] 这边还可能存在的一个情况
[01449.22-01450.42] 就是刚才给大家说的
[01450.42-01451.82] 有的人他撞了人之后
[01452.46-01453.38] 他不仅跑
[01453.38-01454.10] 而且呢
[01454.10-01455.30] 他把这个人藏起来
[01455.30-01457.74] 是我剥夺了他人救助的可能性
[01457.74-01458.86] 你这种程度
[01458.86-01460.86] 就相当于一个不作为的杀人了
[01460.86-01462.62] 所以在这里面为了承划他
[01462.62-01463.62] 隐藏商者
[01463.62-01467.42] 我们叫顶顾抑杀人最后交通兆制罪病伐
[01467.42-01469.10] 所以在这里面大家注意一下
[01469.10-01471.30] 这是我们所说的交通兆制罪
[01471.30-01473.94] 根据13条拆解出来的三个模型
[01473.94-01475.74] 那时候你做体个手们怎么办呢
[01475.74-01477.06] 你就一个一个王女去对
[01477.06-01477.94] 就可以了
[01477.94-01478.98] 那这是我们所说的
[01478.98-01481.86] 第一个叫交通兆制罪的三种情况
[01481.86-01482.82] 那第二个就是
[01482.82-01483.78] 交通兆制罪
[01483.78-01485.54] 他也可能存在什么问题
[01485.54-01486.42] 交通兆制罪呢
[01486.42-01488.06] 他也可能存在
[01488.06-01489.08] 共犯问题
[01489.08-01490.10] 什么共犯问题呢
[01490.10-01491.40] 你看第一种情况
[01491.40-01492.78] 他说单位主观人员
[01492.78-01496.00] 激动车量所有者或者是激动车量的成包人
[01496.00-01497.28] 指使
[01497.28-01500.98] 抢令他人为张价视造成重大交通事故的
[01500.98-01503.92] 以交通照视罪定罪出发
[01503.92-01506.22] 也就是这个里面抢令指示者
[01506.22-01507.52] 也可能是什么
[01507.52-01509.56] 过程交通照视罪
[01509.56-01510.92] 也可能过程交通照视罪
[01510.92-01514.56] 比如说现在的司机要去送领导去开会
[01514.56-01516.98] 然后一言丑的这个
[01516.98-01520.14] 零老开会呢他就要吃到了
[01520.14-01523.14] 然后呢这个时候他就只会司机说你快点快快快快
[01523.14-01525.50] 然后他说车不行啊在室内线素啊
[01525.50-01526.70] 线素几十公里不行啊
[01526.70-01529.30] 你给我开到90不见开到90开到120
[01529.30-01530.66] 还要求他扯红灯
[01530.66-01532.34] 所以司机了没有办法
[01532.34-01534.22] 零老了零老车的话咱就来听
[01534.22-01537.38] 所以司机照办结果不顺将行人装死
[01537.38-01539.26] 那这种情况是想司机
[01539.26-01540.18] 直接没跑
[01540.18-01542.58] 司机造成了十海结果对不对
[01542.58-01545.38] 因为司机也存在为张价事的情况
[01545.38-01549.18] 他存在為張家市有招式行為招成了一死的時害結果
[01549.18-01551.66] 那司機指定要定交通招式在
[01551.66-01553.30] 但證書領導要不要定罪
[01554.58-01555.82] 領導指定要定罪
[01555.82-01557.42] 因為領導這裡面存在什麼
[01557.42-01560.02] 存在指揮強領的問題
[01560.02-01562.02] 那你今天存在指揮強領的問題
[01562.02-01564.58] 存在指揮過是領導有定什麼
[01564.58-01566.90] 領導有定交通招式罪
[01566.90-01568.70] 所以在這裡面大家注意一下
[01568.70-01570.98] 說指使強領他認為張家市
[01570.98-01572.50] 發生中南交通事故的
[01572.50-01575.74] 駕駛者和只令人都顾成交通兆石罪
[01575.74-01576.94] 真是第一种情况
[01576.94-01580.10] 第二种情况就是交通兆石后讨交通兆石后
[01580.10-01583.42] 主管人员金融车所有人成包人或成车人怎么样
[01583.42-01587.50] 直使兆石人讨议只被害人因此
[01587.50-01588.22] 这是什么
[01588.22-01590.78] 只使被害人因得不到救助而死亡的
[01590.78-01593.26] 也以什么交通兆石罪论处
[01593.26-01596.54] 这种就是我们常说的叫做直使讨议行为
[01596.54-01598.42] 你在这里把它话出来就行了
[01598.42-01600.90] 叫直使兆石人讨议了
[01600.90-01605.00] 那这种情况之下他也要订了交通照示罪
[01605.00-01606.38] 要订交通照示罪
[01606.38-01608.02] 所以在这里面大家要明确
[01608.02-01610.90] 这是我们所说的知识逃遗的情况
[01610.90-01612.10] 知识逃遗的情况
[01612.10-01617.12] 好 那这个就是我们所说的有关于交通照示罪的共判问题
[01617.12-01618.04] 你就知道
[01618.04-01620.60] 第一个就是强令他人
[01620.60-01622.78] 没张价是造成重大事故的
[01622.78-01624.36] 那交通照示罪的供发
[01624.36-01626.90] 那第二个就是人家已经交通照示了
[01626.90-01627.78] 你还劝人跑
[01627.78-01632.34] 那这个时候也也交通照式罪的共饭论处就可以了
[01632.34-01633.74] 那这时候我们所说的
[01633.74-01636.74] 有关于微海公网全制装中的低类
[01636.74-01638.98] 交通类犯罪当中的低种
[01638.98-01640.42] 就交通照式罪
[01640.42-01642.26] 那除了有交通照式罪之外
[01642.26-01644.26] 还有一个和他比较相能是什么呢
[01644.26-01646.06] 就做危险价事罪
[01646.06-01651.02] 大罪下危险价事罪也是刑法第133条规定的之一
[01651.02-01653.26] 他说危险价事罪指的是在
[01653.26-01658.32] 道路上加持激动车量实施法律所禁止的
[01658.32-01660.06] 刑法所禁止的危险价视线位
[01660.06-01662.86] 这里面有两个细节和前面要去分开
[01662.86-01664.46] 第一个就是危险价视线
[01664.46-01665.68] 最佢要求的是在什么
[01665.68-01668.86] 是在道路上而非公共交通的月
[01668.86-01670.90] 第二个就是危险价视线
[01670.90-01673.86] 他什么样的行为过程危险价视线
[01673.86-01675.34] 刑法有名文规定
[01675.34-01679.14] 刑法叫做实施刑法所禁止的危险价视线位
[01679.14-01682.58] 所以所谓的危险价视最当中的危险价视线位
[01682.58-01684.12] 法律使用民文規定的
[01684.12-01686.54] 那我們需要掌握的就是這兩個細節
[01686.54-01687.80] 第一個就是我們要知道
[01687.80-01689.62] 這裡面的道路只能是什麼
[01689.62-01692.42] 第二個危險價值行為到底有哪些
[01692.42-01693.38] 那首先第一個
[01693.38-01694.82] 這個道路大家注意一下
[01694.82-01696.14] 不限於公共道路
[01697.14-01699.78] 這裡面的道路就不像我們剛才所說的
[01699.78-01701.94] 公共交通柳一當中的公共道路了
[01701.94-01704.58] 這裡面的道路是不限於
[01706.10-01706.98] 那注意一下
[01706.98-01709.38] 不限於公共道路
[01709.38-01713.44] 也他不要再旁邊啊
[01713.44-01715.74] 这里面是不限于公共道路的
[01715.74-01717.52] 这里面的公共道路啊
[01717.52-01718.38] 不限于公共道路
[01718.38-01719.38] 它的要求是什么的
[01719.38-01720.82] 只要是你在这条道路上
[01720.82-01721.54] 这条路上
[01721.54-01723.66] 它有不特定的人
[01723.66-01725.78] 在这个道上走就可以了
[01725.78-01727.02] 只要是这条路上
[01727.02-01728.14] 只要是它有路
[01728.14-01729.10] 只要是这条路上
[01729.10-01731.02] 它有存在不特定的人
[01731.02-01733.18] 就是这条路随时可能有人走
[01733.18-01734.62] 它存在不特定的人
[01734.62-01736.26] 或者是多数人的这种路
[01736.26-01737.82] 它都属于我们所说的道路
[01737.82-01738.82] 你就会简单列达
[01738.82-01739.90] 比如说你们学校
[01739.90-01741.38] 你看大家在上学的时候
[01741.38-01742.54] 学校里面有没有落
[01742.54-01743.78] 就是开车的那种
[01743.78-01746.18] 有吧 校圆率的道路是属于的
[01746.18-01747.58] 又比如说低下车库
[01747.58-01748.26] 我刚才说了
[01748.26-01750.50] 对吧 你从自家车库出来
[01750.50-01751.70] 你看从低下车库出来
[01751.70-01752.70] 它是有有有有条落
[01752.70-01754.70] 那你从低下车库出来的那条路
[01754.70-01756.70] 它有属于我们所说的什么道路
[01756.70-01758.30] 所以这个道路相对来说
[01758.30-01759.58] 它都范围更宽范鲜
[01759.58-01762.10] 你就记得它不限于公共道路
[01762.10-01762.90] 这是第一个
[01762.90-01763.62] 第二个
[01763.62-01765.10] 是在道路上形势
[01765.10-01766.26] 危险价视行为
[01766.26-01769.54] 那第二点我们就要知道什么叫做危险驾驶行为
[01769.54-01772.34] 这里面的危险驾行为需要同学去给的被送下来
[01772.34-01775.22] 你只有知道在这里哪些属于危险驾行为
[01775.22-01778.42] 你才能够知道符合这些危险驾驶为
[01778.42-01780.06] 这种情况分别是啥呢
[01780.06-01781.22] 同学标注一下
[01781.22-01784.62] 第一个就做知识驚喜情节惡劣的
[01784.62-01785.26] 把它话出来
[01785.26-01786.70] 只话标题就行了
[01787.50-01788.86] 第一种情况就是
[01788.86-01789.94] 知识驚喜
[01789.94-01792.22] 他说知识驚喜是只在道路上
[01792.22-01795.06] 叫道路上高速超速行数
[01795.06-01797.90] 所以追逐超越其他车量
[01797.90-01799.26] 平凡突然变现
[01799.26-01802.30] 或者是进居里使入其他车量之前的行为
[01802.30-01805.26] 那这种就要求就叫做追逐进士
[01805.26-01807.78] 大距下同一门可能会觉得说
[01807.78-01809.98] 老师追逐进士是不两人标策
[01809.98-01812.38] 标策只是追逐进士的一个情况
[01812.38-01813.62] 这里面的追逐进士
[01813.62-01815.30] 他不要求两人以上
[01817.62-01821.10] 他不要求两人以上
[01821.10-01824.42] 这是个人也可能够成追逐进士
[01825.06-01831.18] 注意一下,不要求两人以上。
[01831.18-01836.98] 一个人,单纯的一个人其实也可以追求就是吧。
[01836.98-01842.58] 比如说在告诉公路上,在告诉公路上,我开了我的二手的宝莱小车,对吧。
[01842.58-01844.46] 我觉得他挺好的,还挺康奏的。
[01844.46-01850.14] 然后我就正常在那地方,遵守这交通规定,然后再告诉公路上正常的形式。
[01850.14-01852.14] 突然那我的后面就来了一样车
[01852.14-01854.30] 这两车在不知道是什么牌子的
[01854.30-01855.94] 假設这个牌子就非常好吧
[01855.94-01857.70] 然后我对车也不是很有研究
[01857.70-01860.14] 就假設来了一个什么跑车
[01860.14-01861.34] 什么超跑之类的
[01861.34-01862.78] 然后就像风了一样
[01862.78-01864.14] 它就一路追赶我
[01864.14-01864.94] 追赶我之后
[01864.94-01865.94] 追上我了之后
[01865.94-01867.50] 它就速度放慢了
[01867.50-01868.34] 然后等我追上来
[01868.34-01869.94] 它就又开始追赶我
[01869.94-01870.94] 你看它这种情况
[01870.94-01871.86] 这些它就是什么
[01871.86-01873.30] 它就是在道路上
[01873.30-01874.78] 高速抽速形势
[01874.78-01876.86] 我可没有跟它标着绑去标车
[01876.86-01878.86] 但是它自己在那发风在那开
[01878.86-01879.86] 所以在这里面
[01879.86-01882.68] 你看他就属于什么 追逐进史的情况
[01882.68-01887.04] 如果他在追逐进史当中 他追上我 他就突然变到 变到我前面来 对吧
[01887.04-01890.62] 那我触不及访 那他其实就属于什么 追逐进史秦结乐里
[01890.62-01894.82] 那他记得情况之下就可以怎么样 点个抓起来呀 点个抓起来
[01895.32-01899.06] 并什么 并微显下是最 点微显下是最
[01899.06-01901.94] 所以在这里面大家一定要注意一下 这是第一个
[01901.94-01904.44] 需要我们去找我的找逐逐进史秦结乐里
[01904.44-01907.00] 我不知道大家还记不记得我给大家讲的那个安利
[01907.00-01910.92] 在那个阿里当中说他自己在路上开车开的挺好的
[01910.92-01914.56] 然后特斯拉的车主就是怎么样突然加速
[01914.56-01916.96] 然后到他前面就并到他前面突然并了前面
[01916.96-01918.48] 然后他就紧急一个撒车
[01918.48-01924.24] 然后后来看到特斯拉的车主看到正常开车的就是这个车主
[01924.24-01926.00] 后面这个车挺喊之后
[01926.00-01928.52] 他又并到左边去正常跑跑跑跑跑
[01928.52-01929.52] 突然又过来
[01929.52-01933.32] 然后正常驾驶的人想特斯拉如果到右车到上
[01933.32-01934.28] 他就来到左边
[01934.28-01935.60] 然后特斯拉就到左边
[01935.60-01938.68] 你看这种就随什么 平凡突然并险
[01938.68-01942.96] 那你这里面就属于我们所说的危险加始罪危险加始了
[01942.96-01945.84] 这种行为在 对吧 而且它也属于什么
[01946.36-01949.48] 在道路上 那它就符合危险加始罪的过程到较大
[01949.48-01951.32] 所以当时的那个车族
[01951.32-01954.56] 我就是打电话报警把这个特斯拉车住给它抓起来了嘛
[01954.80-01956.44] 所以在这里面大家注意一下
[01956.56-01958.88] 这是我们所说的叫做第一种情况
[01958.88-01960.44] 居住进史前结个劣
[01960.44-01963.16] 但大家注意一下 居住进史不是要求两人标车
[01963.16-01964.60] 个人也可以居住进史了
[01964.60-01968.08] 所以这里面一定要拍出一个物曲不要求两人以上
[01968.08-01970.32] 第二个就是最久价是
[01970.32-01971.20] 大家注意一下
[01971.20-01972.68] 这里面的最久价是
[01972.68-01975.52] 叫个续酒精含量大道
[01976.16-01977.72] 100生当中的含量是
[01977.72-01978.96] 没80号克
[01978.96-01981.36] 没100生含量当中的含酒精了
[01981.36-01982.76] 是80号克就属于什么
[01982.76-01983.56] 最久价是
[01983.56-01985.24] 这里面说的是最价
[01985.24-01985.96] 同时注意
[01985.96-01987.88] 这里面说的是不是酒价
[01989.64-01990.40] 没有
[01990.40-01991.00] 大家注意一下
[01991.00-01992.24] 这里说的是最价
[01992.24-01993.08] 而并非酒价
[01993.08-01994.52] 酒价在那我们讲过
[01994.52-01999.00] 酒家在交通照示最当中的实害结果里面说到了
[01999.00-02001.24] 重伤一人并败有个劣情节到
[02001.24-02003.28] 这里面说的是最下可不是酒家
[02003.28-02004.40] 答应掉住一下
[02004.40-02006.12] 所以这是我们所说的叫做
[02006.92-02007.84] 最酒家使
[02007.84-02008.84] 这是第二种情况
[02008.84-02010.36] 它如果一定要在产生了
[02010.36-02012.32] 一定程度的公共危险的话
[02012.32-02013.88] 那我们就可以给它定是吗
[02013.88-02014.76] 危险
[02014.76-02016.28] 家使最危险家是最
[02016.28-02017.32] 当然答住一下
[02017.32-02018.68] 我还是强调一下
[02018.68-02019.92] 这里的危险家是最
[02019.92-02022.44] 它属于危害公共安全类的犯罪
[02022.44-02024.20] 也说它要引起什么
[02024.20-02029.68] 公共安全隐患對公共安全造成一定的危險才能定相用的罪罩
[02029.68-02034.44] 那你如果說像我們剛才所說的標車特斯拉車主他發封的這個情況
[02034.44-02038.60] 特斯拉車主他發封這個情況如果他是在荒謀的當中自己發封的
[02038.60-02040.96] 那這時候不會對公共安全產生影響
[02040.96-02042.80] 這時候不能定交通招式罪
[02042.80-02044.28] 但是他因為是在什麼
[02044.28-02047.16] 是在我們所說的道路上
[02047.16-02050.80] 他是對公共安全產生一定影響的裁定危險價罪
[02050.80-02053.00] 包括我們這裏的罪酒價是一樣
[02053.00-02054.02] 这里面的罪价
[02054.02-02056.48] 你看它如果是在正常的道路上
[02056.48-02058.12] 然后你开车
[02058.12-02059.22] 然后去罪价
[02059.22-02061.08] 可能会产生一定能公共威胁
[02061.08-02063.02] 那在这里面给你订阅了就是什么
[02063.74-02064.72] 威胁价是罪
[02064.72-02065.54] 但是还是一样的
[02065.54-02067.80] 如果你在荒物人间的荒岛上
[02067.80-02069.72] 荒野的道路上最有价是
[02069.72-02070.92] 没有相的
[02071.16-02072.86] 没有引起相应的公共威胁
[02072.86-02074.26] 就是不会对公共威胁
[02074.26-02075.62] 产生一定能影响
[02075.62-02077.58] 那这里面不能成立威胁价罪
[02077.58-02079.50] 所以威胁价罪是在它属于什么
[02079.50-02081.88] 属于公共安全来反对
[02081.88-02082.44] 就是在这
[02082.44-02086.92] 但是他一般情况的时候你就就判断大前提先判断的大体
[02086.92-02094.44] 就是在危险下的那种先判断大体就是他师傅能够又发微害公共安全的情况
[02094.44-02097.84] 如果是对公安权产生一定程度的公共危险
[02097.84-02098.84] 那就是可以
[02098.84-02100.64] 但体验当中会提示的非常明确
[02100.64-02105.04] 什么四下无人在荒药也外出现这些子
[02105.04-02107.36] 那他就没有办法引起相的危险
[02107.36-02109.72] 就不能掉危险下是最了啊
[02109.72-02110.70] 所以大家注意一下
[02110.70-02112.28] 这是第二种情况就做
[02113.00-02113.52] 注意一下
[02113.52-02114.28] 一到注意一下是
[02114.28-02115.76] 最佳不是酒劲
[02118.52-02119.76] 这是第二种情况
[02120.12-02121.56] 第三种情况就是
[02121.56-02124.28] 潮宰或者是超速形式
[02124.28-02125.60] 这里面你看他说了
[02125.60-02126.68] 说从是
[02127.24-02129.00] 秀车业务或者是
[02129.00-02130.44] 链克运书严重
[02130.44-02132.28] 超过隔定层在压的
[02132.28-02133.36] 或者是严重
[02133.88-02135.76] 超过规定实书形式的
[02135.76-02137.36] 这时候够成什么
[02137.36-02138.52] 没限价罪
[02138.52-02141.20] 那你说这位显价罪他有个又发实还结果呢
[02141.20-02144.16] 大罪下危险价是罪他属于危险犯
[02144.16-02146.76] 因此在抄诉抄载当中
[02146.76-02148.60] 他如果仅仅是抄出操载
[02148.60-02151.84] 在这个我们所说的行事的这个暴狗上抄出操载
[02151.84-02154.00] 没有造成任何的结果的话
[02154.00-02155.44] 那他就属于危险价罪
[02155.44-02158.08] 如果他抄出操载的过程当中
[02158.08-02159.88] 大罪下他不信的话
[02159.88-02161.80] 他重伤一人就是把一个行人
[02161.80-02163.04] 撞倒了撞成重伤
[02163.04-02164.36] 这个时候就定了怎么罪了
[02164.36-02166.68] 这个时候就定了交通召示罪了
[02166.68-02167.96] 所以在这里面这事
[02167.96-02169.96] 第三种情况叫操作操载
[02169.96-02176.28] 第四种情况就是微微运说微血化学的化学品
[02176.28-02179.38] 它说微反微血化学品安全管理规定
[02179.38-02181.02] 运说化学品微血品
[02181.02-02182.30] 微级公安权的
[02182.30-02184.54] 这里面相得责任人要定什么
[02184.54-02185.76] 要定有微血加日罪
[02185.76-02186.92] 这个点太遥注意下
[02186.92-02189.88] 比如说你看我们经常看到这种什么油贯车
[02189.88-02191.80] 上了都会写个什么油啊
[02191.80-02193.04] 有写个爆啊
[02193.04-02194.58] 写个燃的就是这种车
[02194.58-02195.70] 那它这种运说的话
[02195.70-02197.20] 他一定要符合相的规定的
[02197.20-02198.20] 当然应该能看到
[02198.20-02199.18] 你看相有那种什么
[02199.18-02200.88] 装油的车还装起的车
[02200.88-02203.06] 他那个车经常在下面
[02203.06-02204.98] 是不是屁股上有一个特别粗的
[02204.98-02206.82] 一个大电子然后的脱的地域
[02206.82-02207.68] 那这种情况之下
[02207.68-02209.46] 是不是就是防止产生相的
[02209.46-02210.88] 竞电来引爆它
[02210.88-02212.72] 那这里面就属于什么
[02212.72-02214.44] 这种就属于符合
[02214.44-02215.62] 我们所说的运输
[02215.62-02217.78] 微显化学品的
[02217.78-02219.58] 这种相关规定的操作规范
[02219.58-02220.80] 但是如果说你在那里面
[02220.80-02221.90] 没有什么大体电子
[02221.90-02223.98] 你没有什么相应的规范和措施
[02223.98-02224.82] 那你这种情况
[02224.82-02227.38] 这要就属于微微,越书微显画越屁
[02227.38-02229.32] 这有所微级到公圆圈的话
[02229.32-02231.46] 那就要定了微显加石罪
[02231.46-02232.82] 那就要定了微显加石罪了
[02232.82-02235.30] 所以在这里面大家一定要注意
[02235.30-02238.78] 这是我们所说的微显加石罪的这思终情况
[02238.78-02239.64] 所以到这呢
[02239.64-02242.62] 我们就把整个微显公圆圈犯罪当中的两大类
[02242.62-02243.30] 可以打讲了
[02243.30-02245.06] 第1个是交通照示罪
[02245.06-02246.02] 交通照示罪
[02246.02-02247.70] 它一定要有时害结果的
[02247.70-02248.50] 大家注意一下
[02248.50-02250.10] 它一定要有时害结果
[02250.10-02252.06] 而我们所说的微显加石罪
[02252.06-02260.50] 危险駕駛罪的话,他只要求对公共产生危险,产生公共危险,不一定有时还结果出现了,所以大家注意一下。
[02260.50-02268.26] 那就意味着,如果现在的你的危险駕駛的行为是在荒休以外的话,就不能够成危险駕駛罪了。所以大家注意一下。
[02268.26-02276.50] 那么现在开下第一个,就是交通兆施罪。交通兆施罪的话,我们分成三种情况,第一个就是一般情况,还要求在公共交通领域。
[02276.50-02281.14] 然後過世大家都知道交通照片是過世犯罪
[02281.14-02287.70] 而且我們在這裡也說了在公共領域當中不限於駕駛者 對不對
[02287.70-02294.02] 不限於駕駛者也就是成車人他也可能會構成我們所說的交通照片是罪
[02294.02-02299.62] 這個時候造成的結果是一死三種傷或者是一人中傷 拜託特別嚴重的情節
[02299.62-02308.62] 黑暗中情节包括酒家,包括毒价,包括我们所说的什么,包括超窄,等等这些行为,对不对,那这个地方大家要注意一下。
[02308.62-02319.62] 那第二种情况的就是,照时后讨议,它讨议的目的是什么,是为了讨议法律的支材,对不对,能为了讨议法律的支材,那在这种情况之下,我们说了,它属于交通装售讨议。
[02319.62-02327.62] 那音讨议之下,它不理行,就任音舞,它给人创生中伤,它音就而不就,那在这种情况之下,音就而不就过程机。
[02327.62-02330.70] 最終沒有得到其實就做了所謂的
[02330.70-02333.22] 就屬於一只所謂
[02333.22-02334.48] 也定我們所說的什麼
[02334.48-02335.34] 交通裝飾罪
[02335.34-02337.18] 只不過在這裡有一個特殊情況就是
[02337.18-02338.74] 你不計我還擺了
[02338.74-02340.10] 你還把人跟我藏起來
[02340.10-02341.38] 這種情況之下你就要定
[02341.38-02344.34] 交通裝飾罪後不作為殺人數罪病犯
[02344.34-02345.70] 這個地方應該放在下面
[02345.70-02346.58] 我放在上面
[02346.58-02347.34] 不要錯了
[02347.90-02348.90] 大家注意一下
[02348.90-02350.50] 這是一般情況
[02350.50-02353.10] 我們說了交通裝飾罪可能存在共產問題
[02353.10-02354.74] 那在共產問題到那你就記得
[02354.74-02358.32] 只是逃遗的 都以交通障石罪共犯论处
[02358.32-02360.12] 这是第1个交通障石罪
[02360.12-02362.22] 第2个就是危险鸡医鸡医鸡医
[02362.22-02363.42] 危险鸡医鸡医鸡医鸡医
[02363.42-02364.46] 要求是在道路上
[02364.46-02367.28] 到路不限于公共道路比如说你的
[02367.28-02368.48] 校园内的道路
