[00000.00-00006.54] 好的,我们看完了飞机属元素以后,我们来看一下第二个部分,就是常见的金属元素
[01222.16-01224.44] 比如在这里面在头上
[01224.44-01226.16] 你把它夹在你的叶下
[01226.16-01226.92] 你测体温的时候
[01226.92-01228.28] 你把它体温上升的时候
[01228.28-01229.84] 因为它这里面的管特别吸碼
[01229.84-01231.00] 它的水影就那么多
[01231.00-01234.04] 所以在这里面一旦体温上升的时候
[01234.04-01235.64] 你看这个时候体温机
[01235.64-01237.84] 这个度数是不是就会向上走
[01237.84-01239.60] 所以在这里玻璃时体温机
[01239.60-01241.12] 它就是利用水影的
[01241.12-01243.88] 坏下热胶冷缩来撤凉的
[01243.88-01246.12] 所以在这同样掌握着第二点
[01246.12-01248.20] 那第3个点在书上没有
[01248.20-01250.20] 但是在考试当中也就让会考
[01250.20-01254.54] 这是体文器,它水盐一旦稀落之后怎么办
[01255.64-01261.48] 现在旁边水盐它一旦外露,这个时候应该如何安全处理
[01261.48-01266.56] 我不知道大家有没有见过这个水盐或者说打碎过这个剥烈体文器
[01266.88-01270.64] 剥烈体文器,它如果一旦打碎之后,打住以那个水盐
[01270.64-01274.56] 它是一颗的,这是一个猪狱猪子的
[01274.56-01279.92] 然后是银白色的,看起来说的时候,它其实挺好看的,但是这玩意有巨毒,是非常可怕的
[01279.92-01282.52] 如果说一旦说不小心把体文机打碎了
[01282.52-01284.28] 然后水盐一旦卖漏了
[01284.28-01284.88] 那怎么办呢
[01284.88-01285.48] 首先第一个
[01285.48-01286.12] 同们注意一下
[01286.12-01287.32] 立即开双通风
[01288.60-01290.44] 那立即开双通风
[01290.44-01291.64] 开上通风之后呢
[01291.64-01292.80] 因为我们刚才说了
[01292.80-01293.36] 这个水盐
[01293.36-01294.96] 它是极义灰发的
[01294.96-01295.36] 对吧
[01295.36-01296.12] 一颗一颗的
[01296.12-01296.84] 你这时候
[01296.84-01297.88] 如果不正好的话
[01297.88-01298.80] 很快就灰发了
[01298.80-01300.28] 灰发了和空气混合
[01300.28-01301.56] 那可能是有剧毒的
[01301.56-01302.92] 那所以要开双通风
[01302.92-01303.72] 同时
[01303.72-01304.32] 大家注意
[01304.32-01305.56] 要配带好
[01307.44-01308.72] 要配带好
[01308.72-01309.72] 口罩
[01309.92-01313.44] 和手套
[01316.44-01317.96] 对这个水面进入处理
[01317.96-01318.68] 怎么处理呢
[01318.68-01319.96] 这是把这个水面这个水面
[01319.96-01320.76] 它其实还有特性
[01320.76-01322.28] 就是除了一个注意的注意之外
[01322.28-01323.40] 你动它
[01323.40-01324.52] 就是用东西话来说
[01324.52-01325.64] 你不得了它
[01325.64-01327.36] 这几个就会变成一个
[01327.36-01328.64] 终而会马上变成一个
[01328.64-01330.80] 它很容易就融在一块了
[01330.80-01331.48] 然后这种情况
[01331.48-01332.68] 这些要把这个
[01332.68-01334.44] 我们所说的这个水面
[01334.44-01335.08] 秘封好
[01335.08-01340.26] 拿的一个我们所说那种带子
[01340.26-01342.48] 会怎么给它秘峰好后再处理
[01342.48-01345.08] 这个是针对于我们手车的水盐
[01345.08-01346.80] 泄漏它的一个处理方式
[01346.80-01349.20] 而在考试当中比较喜欢考
[01349.20-01351.08] 这三个点结合在一块
[01351.08-01353.08] 这是我们所说的第一个
[01353.08-01355.88] 重金属当中的共云和水盐
[01355.88-01359.08] 中金属当中的第二个就是千
[01359.08-01361.60] 千也是有居毒的
[01361.60-01362.92] 我们常见的千
[01362.92-01365.42] 它其实存在两个地方和生活系相关
[01365.42-01366.64] 第一个我们标助一下
[01366.64-01368.04] 这个签就是第一个
[01368.04-01369.06] 同时标助一下
[01369.06-01370.28] 就是手鸥
[01370.28-01371.18] 暴雨花机
[01371.18-01372.14] 这个手鸥暴雨花机
[01372.14-01374.44] 就说我在这里给大家展示的图视
[01374.44-01376.98] 它是以前的那种老的那种冒暴雨花机
[01376.98-01378.44] 你把那个运米
[01378.44-01379.88] 然后给它放进去放进去之后
[01379.88-01381.28] 然后你给它封死
[01381.28-01383.08] 然后在那个地方给它搅给它加热
[01383.08-01384.18] 然后这种情况之下
[01384.18-01385.46] 它由于内部的高压
[01385.46-01388.00] 就会把这个暴雨花给你炸好了
[01388.00-01388.84] 然后大家在网上
[01388.84-01391.48] 其实也能看过它这个最难开的其实是啥
[01391.48-01392.62] 是它的概顿
[01392.62-01395.14] 因为这个盖子一开生意老大碰的一下
[01395.14-01396.82] 对吧那个盖子可能崩很远
[01396.82-01399.58] 那这种情况这些这是深序种老事的
[01399.58-01401.70] 我们所说的这个暴名花机
[01401.70-01403.30] 但这个暴名花机它有一个问题
[01403.30-01404.46] 就说刚才我说了
[01404.46-01406.78] 它要开始在这里制作万有花的时候
[01406.78-01408.78] 它说把这个盖子扑死
[01408.78-01409.86] 然后密封
[01409.86-01413.14] 然后通过它里面密避的空间这个鸭墙片大
[01413.14-01415.74] 然后再把这个暴名花给的崩出来
[01415.74-01416.30] 对吧
[01416.30-01419.74] 但在这里面就问题就出在密封的这个过程当中
[01419.74-01421.74] 它前段的秘峰的這個蓋子
[01421.74-01424.54] 就是在這個徒士當中被敲開的這個地方
[01424.54-01425.90] 就是它的端蓋
[01425.90-01426.70] 我們注意
[01426.70-01429.58] 端蓋采用可壓縮的簽作為秘峰
[01429.58-01430.66] 而簽怎麼樣
[01430.66-01434.26] 有毒所以在碰棒花的當中會滲透到棒花當中
[01434.26-01437.58] 所以吃飯花吃太多人引起簽中毒
[01437.58-01439.34] 所以這是第一個我們所說的
[01439.34-01440.62] 手要棒花機
[01440.62-01442.02] 那第二個就是
[01442.74-01444.38] 可能會睡到簽的
[01444.38-01446.38] 它就一下就是印刷書報
[01446.38-01448.46] 印刷書報當中的有陌種
[01448.46-01449.50] 它有千元素
[01449.50-01452.80] 所以不能拿包紙或者是杂志
[01452.80-01454.82] 它的那个紙去包东西吃
[01454.82-01457.88] 所以上周印发印刷粗包的有默奈多还有千元素
[01457.88-01459.92] 不能拿它去包装食品
[01459.92-01461.58] 你说我跟我的朋友不错
[01461.58-01462.04] 对吧
[01462.04-01463.84] 然后我最近我也拍了一个写真
[01463.84-01466.12] 然后搞了一个杂志出粒的说
[01466.12-01467.00] 我就把说
[01467.00-01467.94] 我给他包装吃的吧
[01467.94-01470.94] 然后就从我写真杂志看一能上面
[01470.94-01473.54] 私下来几张这种我们所说的东西
[01473.54-01475.12] 给他包一些高点过去
[01475.12-01475.90] 这不行啊
[01475.90-01477.62] 这很容易一起牵中毒的
[01477.62-01479.02] 所以在这里面大家注意一下
[01479.02-01481.70] 这是中心属当中的滚河签
[01481.70-01483.00] 是要我们去注意的
[01483.00-01485.58] 所以在整个其他中心属当中
[01485.58-01487.46] 我们需要掌握着第一个
[01487.46-01489.62] 中心属中逻之后的处理方式
[01489.62-01490.22] 第二个呢
[01490.22-01491.06] 这是滚河签
[01491.06-01494.46] 它的一个在生活当中的拥用
[01494.46-01497.62] 好 这是第一个其他中心属
[01497.62-01498.74] 第二个问题
[01498.74-01500.42] 就是在这个里面来看一下
[01500.42-01501.94] 就是颜色反应
[01501.94-01505.46] 颜色反应就是我们常见的过年的时候
[01505.46-01506.34] 或者过节的时候
[01506.34-01508.34] 你所能看到五元六色的煙花
[01508.34-01509.34] 这煙花呢
[01509.34-01511.06] 它能够呈现五元六色的
[01511.06-01512.06] 这种色彩
[01512.06-01513.54] 就是因为在煙花当中
[01513.54-01514.06] 天家了
[01514.06-01516.06] 客丁的金属元素
[01516.06-01517.86] 我们把这种情况
[01517.86-01518.90] 称率为叫做
[01518.90-01519.70] 煙色反应
[01519.70-01520.90] 咱们来看一下
[01520.90-01522.10] 它是在生活中
[01522.10-01523.78] 利用煙色反应
[01523.78-01525.22] 人们在煙花当中
[01525.22-01525.90] 加入特烟素
[01525.90-01527.50] 同样把这个煙花圈出来
[01527.50-01528.54] 你就知道煙色反应
[01528.54-01529.10] 第一个
[01529.10-01531.06] 它是运用在煙花当中的
[01531.06-01532.10] 把它标出来写上
[01532.10-01533.10] 圈一
[01533.10-01534.74] 说加上客丁了金属元素
[01534.74-01537.34] 是淹花能夠更加宣旅多彩
[01537.34-01539.66] 大駐也這個淹色反得本質啥呢
[01539.66-01541.06] 我們看一下下面的一句話
[01541.06-01542.38] 我們標準一下圈二
[01542.38-01543.78] 所以淹色反應
[01543.78-01546.10] 它是物質原子內部
[01546.10-01547.82] 變子能及的改變
[01547.82-01549.38] 也是它是這個
[01549.38-01551.54] 原子內部自身的變化
[01551.54-01553.54] 有沒有和其他的事物發生反應
[01553.54-01555.26] 沒有和其他事物發生反應
[01555.26-01556.82] 沒有和其他事物發生反應
[01556.82-01557.90] 我們就認為
[01557.90-01560.06] 它沒有發生化學變化
[01560.06-01561.66] 沒有生成新的物質
[01561.66-01562.98] 所以得出來的結論
[01562.98-01563.94] 同一標準一下
[01563.94-01564.78] 之后一话
[01564.78-01567.66] 所以说验色反映它是物理变化
[01567.66-01569.18] 用了同双手老师不对
[01569.18-01570.90] 那个腌发它不是染稍吗
[01570.90-01572.58] 大助一下腌花染稍
[01572.58-01574.50] 那是因为腌花它自身
[01574.50-01576.10] 你明天亮的一些粉末
[01576.10-01578.38] 然后它和火接触之后
[01578.38-01579.42] 产生的染稍
[01579.42-01581.70] 而不是我们所说的金属染稍了
[01581.70-01584.14] 金属在这种情况之下只是它内部
[01584.14-01586.50] 金属自身内部的电子能力改变
[01586.50-01588.38] 它没有和外界发生各种反映
[01588.38-01590.02] 而它电子能力改变之后
[01590.02-01591.18] 导致的结果
[01591.18-01593.38] 是它能够产生各种各样的演色
[01593.38-01594.86] 所以在这里面就记得
[01594.86-01598.70] 银花人时候就过程金属是没有差距的话就反应当中去的
[01598.70-01600.02] 既然没有差距反应
[01600.02-01602.38] 这个时候就没有生成心物质
[01602.38-01606.94] 所以金属产生的艳色反应
[01606.94-01609.70] 它其实是于种物理变化
[01609.70-01610.86] 所以这个点大主义
[01610.86-01613.02] 经常考判跟体的说会说艳色反应
[01613.02-01614.38] 它是一种化学变化
[01614.38-01616.02] 周说话就夸了
[01616.02-01617.22] 这是第二个点
[01617.22-01619.62] 第三个系列点在这里大家知道
[01619.62-01621.18] 我们在说到艳色反应的时候
[01621.18-01622.98] 走到各种各种的颜色
[01622.98-01626.74] 它很有可能在这里会考察一个颜色的对应
[01626.74-01628.78] 我们就来看一下这个颜色的对应
[01628.78-01630.02] 它到底说的是什么
[01630.02-01631.74] 在这里面我们要知道
[01631.74-01633.06] 并不是所有的金属
[01633.06-01635.34] 它能够发生颜色反应的
[01635.34-01637.30] 我们常见的有这么极重
[01637.30-01638.78] 第一种就是李
[01640.26-01641.14] 那李
[01641.14-01643.30] 它的画就是那个李殿尺的那个李
[01643.30-01645.18] 它的画学符号是这个
[01645.18-01647.98] 它发出的颜色是自红色的
[01649.70-01651.98] 这是我们所说的李
[01651.98-01653.74] 还有就是常见的那
[01654.86-01656.82] 这个那呢,它有的发生颜色反应
[01656.82-01660.18] 那的颜色反应是黄色的大主义
[01662.22-01663.54] 还有呢就是假
[01663.54-01665.06] 但林检那个假
[01665.06-01667.18] 假呢,它也能够发生颜色反应
[01667.18-01669.58] 假的颜色是紫色
[01669.94-01672.06] 还有我们常提到的蓋
[01674.22-01676.06] 蓋的颜色是装红色
[01676.06-01677.62] 它有点偏向成色
[01678.06-01678.90] 装红色
[01678.90-01683.24] 还有斯咱们在哪里给大家讲过呢
[01683.24-01686.82] 咱们在和无人选那个地方
[01686.82-01688.74] 是不是给大家去讲过说斯啊色
[01688.74-01690.02] 它的富几作用 对吧
[01690.02-01693.44] 像这个斯他也能发生业则反应是杨红色
[01693.44-01695.46] 还有呢就是被这个贝呢
[01695.46-01697.18] 我们在后面会大家讲过
[01697.18-01699.38] 就是经常会用吃贝参
[01699.38-01701.78] 就是你去做常理经的时候要用到那个东西
[01701.78-01703.54] 这个东西就叫做贝
[01703.54-01706.62] 这个贝他发生业则反应的颜色是黄綠色
[01706.62-01714.98] 最後一個就是同,那也都知道這個同剛才剛剛講了什麼同,剛才講了清同嘛
[01714.98-01718.96] 所以同,它的顏色反應就是同律,就是律色
[01718.96-01722.16] 在這裡面大家主也中點你掌握圈又圈就行了
[01722.16-01725.88] 對於圈三補充的這個點,同時稍微有一點印象就OK了
[01725.88-01732.22] 它考察的頻率非常的低,但是其實也是考過的,這個地方就是考察一個對應
[01732.22-01735.30] 这个就是我们所提到的颜色反应
[01735.30-01739.02] 这个就是我们所说的常见的金属元素
[01739.02-01740.42] 在常见的金属元素当中
[01740.42-01742.14] 咱们做一个简单的回顾
[01742.14-01743.70] 首先第一个我们讲到了美业
[01743.70-01745.34] 每个作人就是照明单
[01745.34-01746.74] 第二我们讲到了派
[01746.74-01749.10] 第一个就明白派它的一个特性
[01749.10-01750.66] 几乎是刀枪不入的
[01750.66-01750.98] 对吧
[01750.98-01754.42] 它刀枪不入的特性就很容易用作太空技术
[01754.42-01757.58] 第二个就是太在太外素当中
[01757.58-01758.78] 加入到其他的元素
[01758.78-01760.66] 可以得到太的核击是理想的
[01760.66-01763.02] 用材料可以指入身体
[01763.02-01764.30] 这是第二个
[01764.30-01765.78] 第三个我们讲了铁
[01765.78-01767.78] 首先第一个我们提到了铁粉
[01767.78-01769.06] 铁粉它
[01769.06-01771.78] 的化学性的就是能够和水
[01771.78-01774.66] 还有养棋发生反应作为双吸器
[01774.66-01775.78] 这是第一个点
[01775.78-01777.30] 第二点就是在这里
[01777.30-01778.86] 没有需要去分几个概念
[01778.86-01780.06] 第一个是纯陛
[01780.06-01782.86] 第二是刚第三个就是生铁
[01782.86-01785.30] 它们三个之间的区别就是在约
[01785.30-01786.06] 纯陛
[01786.06-01787.22] 它还量最低
[01787.22-01788.70] 小约百分之0.2
[01788.70-01789.42] 02
[01789.42-01793.06] 而刚的他还量相对来说高一点是0.02到0.04
[01793.06-01796.82] 所以纯品和刚的界限就是在0.02上
[01796.82-01798.90] 而纯品因为喊他量低
[01798.90-01801.38] 所以他相对来说会制定软
[01801.38-01804.90] 而刚的喊他量高一些他的制定就会偏用
[01804.90-01807.18] 这是我们需要大家去掌握的这个点
[01807.18-01810.90] 而刚他本身有分成两种一种探数刚有合金刚
[01810.90-01813.14] 和金刚最常见的就是不修刚
[01813.14-01815.22] 至于我们所说的这个生蝶
[01815.22-01820.66] 搭住一下生体它的烫含量是大于25%的地方起错了
[01820.66-01823.42] 我们注意一下是大于25%的
[01823.42-01825.78] 所以它的应度是最应的
[01825.78-01828.14] 而我们经常会说到百练成缸
[01828.14-01830.58] 那百练成缸其实就是生体
[01830.58-01831.94] 它不断地去断收
[01831.94-01834.42] 那在高温情况之下生体当中的烫
[01834.42-01836.10] 就会和养弃产生二话炭
[01836.10-01838.26] 这个我们所说的金属当中
[01838.26-01839.86] 它还量是会降低
[01839.86-01842.34] 降低之后就可以变成刚才了
[01842.34-01843.82] 所以在这里面我们就说
[01843.82-01847.34] 刚才不断的断造的原因就是在这
[01847.66-01849.18] 所以大家注意这是要铁
[01849.38-01850.54] 那讲了铁之后呢
[01850.74-01855.54] 我们还讲到了同里面我们就讲到了第一个轻同
[01855.74-01857.02] 他为什么就轻同
[01857.26-01859.30] 第二轻途他是一种核斤
[01859.62-01860.82] 我们还讲到了其他
[01860.98-01862.38] 其他里面我们就讲到两个
[01862.42-01864.34] 一个是其他中金属
[01864.54-01866.86] 大家要知道中金属我们讲的是
[01867.10-01867.70] 因
[01868.14-01869.42] 还有我们提到的
[01869.42-01871.42] 前水銀和前
[01871.42-01874.02] 第二一個就是在這裡提到了驗色反應
[01874.02-01876.22] 驗色反應三個方面的考驗
[01876.22-01879.62] 第一個就是驗色反應做製作煙花
[01879.62-01881.82] 第二一個就是驗色反應是物理變化
[01881.82-01884.02] 第三一個就是考察一個對應
[01884.02-01886.22] 這個就是金屬元素
[01886.22-01888.82] 在這就給大家把這個思維到圖這個內容
[01888.82-01890.82] 就簡單地做了一個回顧
[01890.82-01893.62] 就是物質的第二大方面
[01893.62-01896.82] 物質除了有金屬會被人數之外
[01896.82-01900.50] 我们还常见的物质就包括酸简
[01900.50-01901.72] 还有研
[01901.72-01904.12] 首先来看一下酸酸
[01904.12-01905.34] 它使得是画一下
[01905.34-01907.42] 就PHA这只小于7的
[01907.42-01909.58] 我们所说这东西成酸性
[01909.58-01911.82] PHA这只约小酸性越强
[01911.82-01914.28] 同时还记得咱们前面讲到的酸预
[01914.28-01917.06] 我说酸预是PHA这只小约5.6
[01917.06-01918.84] 这时候它就一定有一定的
[01918.84-01919.96] 是腐实性了
[01919.96-01922.36] 所以PHA这只小于7的成酸性
[01922.36-01924.22] 数值越小
[01924.22-01925.42] 酸性越强
[01925.42-01927.86] 那么长线的酸在这里面同时注意一下
[01927.86-01929.38] 我们长线的酸都总练
[01929.38-01932.58] 比如说颜酸比如说流酸
[01932.58-01933.62] 比如说销酸
[01933.62-01935.74] 对吧 这都是生活当中长线的酸
[01935.74-01938.14] 那么来看一下第一个就是颜酸
[01938.38-01940.38] 它说颜酸是一种长线的
[01940.38-01942.66] 化学品和化学原料好多用用
[01942.66-01946.50] 颜酸可以用于化一下叫做加军清几
[01946.50-01949.38] 这个加军宣决比如说你家里有什么东西上修了
[01949.38-01951.62] 或者是大家经常看到那个锅底
[01951.62-01953.86] 对吧 比如说家里用燃器造成烧的
[01953.86-01955.26] 比如说黑黑黑的
[01955.26-01957.82] 这种情况都可以用颜色来进清潔
[01957.82-01960.14] 所以在这里它说可以用一家去清潔
[01960.14-01961.14] 可以用于储秀
[01961.14-01962.50] 可以用于皮股加工
[01962.50-01963.74] 最主要的一个点
[01963.74-01965.10] 也是在考试当中
[01965.10-01966.34] 也经常会考的
[01966.34-01967.34] 就是大家注意一下
[01967.34-01969.98] 就是位酸的主要成分是
[01969.98-01972.34] 颜酸 同把这个点标注出来
[01973.34-01976.22] 位酸的主要成分是颜酸
[01976.22-01977.82] 所以在这里面大家都知道
[01977.82-01979.22] 如果说你现在出现了
[01979.22-01981.80] 收心这种味酸过多的情况
[01981.80-01984.26] 那你要吃的东西就要注意了
[01984.26-01985.86] 这个地方还真的考过
[01985.86-01987.40] 在山东西的那个时候考过
[01987.40-01989.42] 说这个时候它如果为不舒服的话
[01989.42-01990.58] 或者味酸过多的话
[01990.58-01993.86] 一下ABCD色选项哪一个说法是正确的
[01993.86-01997.58] 大主意如果说在这里面味酸过多的话
[02000.98-02002.12] 那味酸过多的话
[02002.12-02003.02] 那你就说怎么办
[02003.02-02005.34] 是不要吃一些偏減性的物质
[02005.34-02007.34] 我簡單顯示了
[02007.34-02010.74] 吃一些偏簡性的物質
[02010.74-02012.10] 偏簡性的物質有啥
[02012.10-02013.18] 大米行行
[02013.18-02014.10] 大米不行
[02014.10-02018.42] 像我們所說的需求都以水道大米
[02018.42-02019.34] 就這樣東西
[02019.34-02020.38] 它是偏酸性
[02020.38-02021.62] 你本來未酸就過多
[02021.62-02022.66] 你就不能再吃
[02022.66-02023.86] 你可以吃什麼
[02023.86-02025.90] 吃白面滿透
[02025.90-02027.46] 吃我們所說的麵條
[02027.46-02030.18] 這些是相對來說偏簡性的
[02030.18-02032.46] 除了之外大家也要注意一下
[02032.46-02034.74] 我們所說的這個未酸過多
[02034.74-02038.78] 我们还可以吃一些比如经常看到的打洗衣
[02038.78-02039.86] 就是这一类的卫耀
[02039.86-02041.30] 那它主要制的也是什么
[02041.30-02043.50] 就是做了这样的一个酸甜综合
[02043.50-02044.98] 那卫酸过度的时候
[02044.98-02046.22] 你要吃偏解行物者
[02046.22-02047.46] 你还不能多吃什么
[02047.46-02048.22] 水果
[02048.22-02050.46] 水果里面还有大量的果酸
[02050.46-02053.62] 你这种时候也会加重你的卫酸过度的情况
[02053.62-02055.06] 如果卫酸一旦过度
[02055.06-02056.74] 造成的结果就是
[02056.74-02058.30] 你可能卫酸过度
[02058.30-02059.50] 它就会把卫里面
[02059.50-02060.54] 它一层保护模
[02060.54-02061.50] 这个卓烧掉
[02061.50-02064.26] 这种时候你的卫可能就会出现一点问题
[02064.26-02069.26] 所以大家注意一下,第三个都直接偏简行东西比如说我们所说的面实以为的
[02069.26-02076.94] 大家一定要注意一下減少米饭和我们所说的水果的这舍入啊,大家注意这是第一个叫做过多
[02076.94-02079.34] 那第二个它考察过就是微酸不足哦
[02079.34-02083.62] 那微酸不足的话大家注意一下,其实就是表现在一个情况就消化不了
[02086.18-02087.82] 那这里面你会怎么办呢?
[02087.82-02093.06] 它当时在这里面给到了一个选项就是不充事当的眼酸
[02094.26-02097.46] 補充施当的
[02097.46-02100.06] 颜酸它其实给到这么一个选项
[02100.06-02101.38] 种说法可不想
[02101.38-02102.18] 可行
[02102.18-02103.46] 老师还有人合算
[02103.46-02105.46] 这种補充施当也算一定是在
[02105.46-02107.06] 医院所开剧的
[02107.06-02108.46] 我们所说的这些
[02108.46-02110.26] 要是医药当中的
[02110.26-02111.46] 所以在这里面大家注意
[02111.46-02113.26] 它的过多和不足
[02113.26-02114.66] 这样的情况都考过
[02114.66-02115.86] 但它考的本质
[02115.86-02117.06] 其实让我们知道的就是
[02117.06-02119.06] 为酸都只要成分是
[02119.06-02119.86] 颜酸
[02119.86-02120.86] 这是第一个
[02120.86-02122.26] 小达的去掌握的
[02122.26-02123.06] 第二个
[02123.06-02125.88] 要常见的应用啊就是被文崇丁鸟之后
[02126.14-02127.88] 被文崇丁鸟之后呢一般情况
[02127.88-02131.00] 这下要用飞造水去清洗伤口
[02131.24-02133.12] 那用飞造水来清洗伤口的话
[02133.12-02134.06] 同时在这里
[02134.32-02136.50] 就应该知道我们所说的这个飞造水
[02136.50-02138.16] 它就应该成弱简性
[02138.42-02141.74] 那文崇丁鸟文崇的独叶是成弱酸性的
[02141.74-02143.22] 那这时候就可以实现酸件
[02143.54-02145.84] 终合起到一个很好的效果
[02146.10-02148.16] 那这是我们所说的这个酸
[02148.40-02149.42] 我们所说的酸
[02149.42-02154.50] 好,这是第一个叫做酸,偏制指小一系
[02154.50-02156.66] 如果撤出来,偏制指大余系的话
[02156.66-02162.22] 在这里面就叫做上,就叫做简,偏制指越大就越简向越抢
[02162.22-02165.94] 所以我们在这里面看一下长间的简有哪些
[02165.94-02170.30] 第一个同们话出来就要轻养花,像花那简行特别高
[02170.30-02172.98] 就因为它腐石性特别长,特别强
[02172.98-02177.50] 所以在这里,它被称着为叫做活简或者是稍简或者叫做科行
[02177.50-02181.26] 所以在这里,首先第一个要知道青养换大的别称
[02181.26-02183.70] 叫做活简烧结合可行
[02183.70-02186.26] 它一般在生活当中用得比较少
[02186.26-02189.06] 所以它的工业用图相对来说会广泛一些
[02189.06-02191.86] 比如说它可以在这里製造气体
[02191.86-02194.22] 在这里面,练有造纸
[02194.22-02196.98] 然后还有我们所说的练物人造私人若棉等等
[02196.98-02198.86] 所以它的工业用图比较多
[02198.86-02201.42] 但电话,我们生活当中比较接近
[02201.42-02204.58] 或常用的其实在哪一个范围当中
[02204.58-02206.38] 就是在飞造製造夜里面
[02206.38-02207.38] 敲花呢
[02207.38-02209.98] 我们所说的用了或考察的比较多
[02209.98-02211.66] 那这里面同意没有注意啊
[02211.66-02213.34] 这里面所给到的这个飞造
[02213.34-02215.70] 它其实是我们生活当中的一些考电
[02215.70-02217.50] 可能找一个空白的地方
[02217.50-02219.22] 把这个飞造的这个问题
[02219.22-02220.78] 咱们来简单的书里下
[02223.86-02226.34] 飞造在生活当中其实很常见
[02226.34-02227.82] 比如说你平时洗手
[02227.82-02228.94] 你不用洗手液的话
[02228.94-02230.02] 你这个时候会用啥
[02230.02-02231.78] 这个时候你会用香糟
[02231.78-02233.78] 那如果说你现在在习意义部的话
[02233.78-02237.06] 如果会用什么洗澡 什么利白 太自
[02237.06-02240.06] 然后还有我们所说的飙牌洗澡 对吧
[02240.06-02242.46] 那你会会用洗澡洗脸 不会
[02242.46-02243.26] 为什么不会
[02243.26-02245.42] 你会因为我们都知道这个洗浆洗脸
[02245.42-02247.46] 它实现是伤皮膚的
[02247.46-02249.90] 那为什么相造可以洗脸洗浆不行呢
[02249.90-02251.70] 那这个其实和我们所说的这个
[02251.70-02254.54] 飞造的原理和它的分类有关系
[02254.54-02255.54] 我们来看一下
[02255.54-02257.06] 我们再整个飞造
[02257.06-02259.14] 我们其实说到 飞造呢
[02259.14-02259.78] 它呢
[02259.78-02262.78] 其实分为 应造和软造
[02262.78-02265.52] 我们就根据肥皂的一个软硬程度
[02268.02-02268.92] 大家注意一下
[02268.92-02273.52] 就是根据肥皂的软硬程度
[02274.04-02276.04] 说老是这个软硬程度
[02276.04-02279.00] 是不是说这个肥皂摸起来软是什么起来用呢
[02279.00-02279.94] 不是的
[02279.94-02282.50] 这个软硬程度我们发肥皂摸起来都很用
[02282.50-02285.82] 所以它说这个肥皂的软硬程度其实只得是什么呢
[02285.82-02288.58] 就只得就是肥皂的函剪亮
[02288.58-02294.18] 是根据肥罩的函剪量
[02294.18-02297.30] 函剪量越高它的硬度就越强
[02297.30-02298.82] 函剪量越低
[02298.82-02301.06] 它这个时候它的硬度就会越差
[02301.06-02304.06] 这个就是我们所说的它的一个软硬程度
[02304.06-02305.54] 这里大家注意一下
[02305.54-02307.02] 这是我们需要掌握的
[02307.02-02308.58] 第一点 第一点
[02308.58-02311.10] 这是肥罩的一个基本原理当中的
[02311.10-02313.94] 第一个就是肥罩的分类是根据软硬程度来的
[02313.94-02315.94] 那它主要看的是函剪量
[02315.94-02321.54] 第二个就是我们除了要对肥皂的画分标准有一个掌握之外
[02321.54-02323.04] 我们还要知道另外一个原理
[02323.04-02327.24] 就是我们又肥皂洗冻冰用清水洗的效果
[02327.24-02330.24] 然后这些肥皂很强的这个区务的效率
[02330.24-02332.44] 那肥皂区务的效率的原因在哪
[02332.44-02335.14] 在以前的考试中考过大助一下
[02335.14-02336.64] 肥皂区务效果比较好
[02336.64-02340.14] 是因为肥皂里面还有两种一种叫做中水机
[02340.14-02342.44] 一种就是我们所说的清水机
[02342.44-02344.04] 因为有这两个东西在
[02344.04-02346.40] 所以肥皂有很好的去无效果
[02346.40-02347.44] 所以大家注意一下
[02347.44-02349.84] 这肥皂应用的一般原理
[02349.84-02350.64] 一般原理
[02350.64-02352.40] 这是第一个我们掌握住了
[02352.40-02353.60] 肥皂的基本情况
[02353.60-02355.44] 那第二个我们就来看一下
[02355.44-02357.92] 既然我们说了肥皂基本原理也知道了
[02357.92-02360.12] 我们接来看一下肥皂的分类
[02360.12-02361.28] 在肥皂分类当中
[02361.28-02361.96] 我们刚才说了
[02361.96-02364.48] 是根据它的函剪料来花分的
[02364.48-02366.24] 所以根据肥皂的函剪料
[02366.24-02368.00] 就可以分成两类
[02368.00-02370.08] 一类就是函剪料比较高的
[02370.08-02372.52] 我们把这种称为叫做硬皂
[02374.04-02378.80] 以内是函函掉第一的,我们把这一类撑着一叫做软躁
[02380.00-02384.64] 我就不写那么多了,我就直接写高低,就不写函函这样,这几个字了
[02384.64-02387.08] 函函函函函函地的
[02387.08-02391.08] 那相这种用躁,大家注意一下,用躁也被撑着一叫做纳躁
[02393.36-02399.08] 这个纳躁就主要是因为这个用躁到中,它还有的物质就是高级之防酸的
[02399.08-02402.08] 那我们所说的那眼寒的比较多
[02402.08-02404.58] 所以在这里面我们把它称为叫做那走
[02404.58-02408.08] 我们刚才说了对应造来说它的含建量和高
[02408.08-02412.08] 而含建量越高去无效果越强
[02413.08-02414.08] 去无效果好
[02414.08-02417.08] 那这种情况之下我们就知道了
[02417.08-02419.08] 那今天秋效果好可以用来干嘛
[02419.08-02420.08] 可以用来洗衣服
[02420.08-02422.08] 但是它含建量很高
[02422.08-02424.08] 所以它对皮膚的刺激很强
[02424.08-02426.08] 所以一般情况下只用越洗衣服
[02426.08-02427.08] 那大家注意一下
