[00000.00-00006.28] 我们接着来看有关于第七个明确当中的第2个部分就是我们经常提到的三星
[01155.86-01158.56] 你说这对于中国来说怎么讲
[01158.56-01161.00] 第一个我们没有办法做到无军的环境
[01161.00-01164.06] 就是全面无军的全面小瞎的这种我们做不到
[01164.06-01165.98] 第二个就是在机器设备上
[01165.98-01168.92] 它要求擠彩的水温消毒的等等这些一切
[01168.92-01170.72] 水温这起买要思论做很定
[01170.72-01172.52] 这个我们其实是做不到的
[01172.52-01173.66] 这种时候怎么办呢
[01173.66-01175.06] 我们说别吃这么复杂了
[01175.06-01176.20] 为什么会吃什么
[01176.20-01178.40] 工报基地和黑交流流杂
[01179.16-01180.70] 过报肉啥咱不吃了
[01181.26-01184.94] 說那吃啥呢?說那中國就在飛機餐當中提供麵包吧
[01184.94-01188.22] 我們現在看到的飛機航班上的這個小時
[01188.22-01191.70] 然後就在這個提供麵包上中國其實遇到了很大的困難
[01191.70-01194.06] 就是這個麵包如何長期保險保存的
[01194.06-01195.34] 這張技術中國沒有
[01195.34-01200.42] 最開始做了飛機餐就是中國做的這個麵包
[01200.42-01204.06] 然後誰知道第一個試吃的呢?就是當時的到平統治
[01204.06-01206.26] 當時沒有說是在飛機上啊
[01206.26-01208.58] 只是模擬飛機的這個飛的這個動態
[01208.58-01209.42] 然後就是不是
[01209.42-01211.98] 就只是在一个没有起飞的飞机上
[01211.98-01213.78] 然后大概去试试这样一面包
[01213.78-01216.66] 当然到平同志说了一句话说这面包怎么吃啊
[01216.66-01219.26] 说有一口然后呢掉了一地的扎
[01219.26-01220.90] 那这有时候面包技术怎么办
[01220.90-01221.74] 没有办法保险
[01221.74-01225.38] 所以后来的时候中国花了相当大的一个架钱啊
[01225.38-01228.14] 从中国的香港买了一台机器回来
[01228.14-01229.94] 那从那个时候开始你会发现
[01229.94-01231.70] 中国其实想要实现发展的
[01231.70-01234.38] 但是至于中国发展的一个非常重要的一个技术
[01234.38-01235.78] 就是中国没有什么
[01235.78-01237.26] 没有核心科技
[01237.26-01238.74] 所以你看像前几年的时候
[01238.74-01240.74] 我們經常看到各種各種廣告
[01241.34-01243.30] 我不知道他大家看看我隔離空調了
[01243.30-01245.30] 隔離掌握核心科技
[01245.30-01248.30] 為什麼我們總能夠看到這樣的一條新聞呢
[01248.30-01250.74] 因為我們都知道核心技術這個東西
[01250.74-01251.74] 太關鍵了
[01251.74-01253.38] 因為掌握了核心技術
[01253.38-01255.54] 本質上就掌握了立委
[01255.54-01257.02] 本質上就掌握了什麼
[01257.02-01258.66] 這掌握了遊戲規則
[01258.66-01261.06] 所以我們現在我們看我們經常會提到
[01261.06-01263.26] 我們要加強自主創新能力
[01263.26-01265.54] 我們要加強核心技術發展
[01265.54-01267.78] 我們看到華為手機的發展
[01267.78-01270.02] 其实就是冲破核心记住封锁
[01270.02-01271.54] 一个非常先火的案例
[01271.54-01273.02] 他为什么要封锁我们
[01273.02-01274.50] 美国为什么要具怕华为
[01274.50-01276.22] 因为我们掌握了核心记住
[01276.22-01278.90] 我们从原本的游戏规则的遵守者
[01278.90-01281.34] 变成了现在游戏规则的制定者
[01281.34-01283.62] 这个美国没有办法不害怕
[01283.62-01286.90] 因为美国现在的地位就是靠它的什么来捍累了
[01286.90-01288.54] 靠它的科学记住来换名的
[01288.54-01290.14] 但是随着这几年不断的发展
[01290.14-01291.94] 其实我们也会感到非常地交
[01291.94-01293.54] 我们掌握的各种各样的记住
[01293.54-01295.54] 在世界上也是摇摇摇里面的
[01295.54-01295.78] 对吧
[01295.78-01298.72] 我天天给大家讲的就是我觉得对于中国发展来说
[01298.72-01300.28] 让我最感慨的就是什么
[01300.28-01302.38] 就是中国的高铁岂数
[01302.38-01304.38] 对吧 中国的航空航天技术
[01304.38-01305.18] 我们有了什么
[01305.18-01306.28] 自己的大飞机
[01306.28-01308.68] 我们其实是想世界宣布了一个寻号
[01308.68-01310.38] 原本我们八一趟伤刷
[01310.38-01312.08] 一架飞机的这样那个时代
[01312.08-01313.58] 已经必须不复反了
[01313.58-01316.08] 科技真的可以改变我们的生活
[01316.08-01317.98] 也真的可以改变中国
[01317.98-01319.58] 所以在这里面我们才说了
[01319.58-01321.88] 中国想要实现再往前一步发展
[01321.88-01323.78] 放在第一位的动力就是什么
[01323.78-01324.78] 创新
[01324.78-01325.80] 判刑就是动力
[01325.80-01329.12] 它推着中国这叫经济发展的列车往前走
[01329.12-01330.92] 那所以在这里我们才说了
[01331.44-01332.62] 10发展低动力
[01332.62-01333.68] 而最重要的是什么
[01333.68-01335.28] 在创新当中放在核心位置的
[01335.28-01337.28] 一定是科技创新的旅
[01337.28-01338.48] 所以这是第一个
[01338.48-01340.40] 我们解决了发展的动力问题
[01340.40-01341.68] 叫做创刑
[01341.68-01343.28] 解决了发展的动力问题
[01343.28-01345.00] 解决的第二个问题就是
[01345.00-01346.40] 这一抗经济列车
[01346.40-01349.86] 我们把整个中国比于成一条经济列车
[01349.86-01351.90] 这个经济列车在发展的过程当中
[01351.90-01353.98] 不能说只是一位的往前走
[01353.98-01355.38] 就符合我们的要求了
[01355.38-01356.50] 在经济发展当中
[01356.50-01357.54] 我们在新发展里面当中
[01357.54-01358.38] 提到了第二点
[01358.38-01360.58] 就是经济不解药发展
[01360.58-01362.50] 不解药有创新动力来带动
[01362.50-01363.54] 而且要怎么办
[01363.54-01364.94] 而且要在这个过程中
[01364.94-01366.38] 发展的问题一点
[01366.38-01368.54] 你要保证这一套经济列车
[01368.54-01369.50] 不翻车
[01369.50-01371.38] 那你保证这条经济列车
[01371.38-01372.46] 不翻车怎么样
[01372.46-01374.06] 你需要协调
[01374.06-01375.34] 大家有没有见过
[01375.34-01377.02] 其实我把开比于成经济列车
[01377.02-01378.42] 我觉得相对来说不要醒醒
[01378.42-01379.90] 不知道大家没有看到过
[01379.90-01383.34] 就是以前经常看到的那个工交车
[01383.34-01384.38] 那好快着呢
[01384.38-01386.62] 那个公招车的话大家都知道那个公招车
[01387.50-01391.38] 他如果说上来的人都站在门这一段不站在另一段的话
[01391.58-01393.06] 那个公招车会偏沉的
[01393.06-01394.38] 我不知道他又不看过我看过我
[01394.38-01396.54] 看过我意思我那个时候还在上大学
[01396.54-01399.26] 然后因为我当时上大学的时候是在上海嘛
[01399.26-01402.66] 然后有一次我就去那个心装那边
[01402.66-01404.54] 然后他往风险那边走的话
[01404.54-01406.78] 他其实是有那个公招车的
[01406.78-01409.02] 但是你这我不知道现在什么样了
[01409.02-01411.78] 但是我毕业已经现在的有很多年了
[01411.78-01416.06] 所以当时那个公交车他就是因为那一趟车你要等起来
[01416.06-01417.70] 那一趟公交车在那个时候
[01417.70-01420.54] 就是你在等个十家十几分钟或者是半小时
[01420.54-01422.02] 就是你等那一趟现
[01422.02-01425.78] 他公交车很多但是并不是每一个公交车都会到我所在那个站点
[01425.78-01427.30] 所以他等一趟现就很长
[01427.30-01429.18] 那等一趟现很实现很长的话呢
[01429.18-01433.42] 没有办法你来人了之后你交往那个车上去上
[01433.42-01435.22] 然后往车上去上的时候当时
[01435.22-01437.06] 大家其实做车都有这个习惯
[01437.06-01439.22] 比如说你做地铁你都不要往车上里面走
[01439.22-01440.66] 你就喜欢站在那个门口
[01440.66-01442.26] 所以当时我就看那个车
[01442.26-01443.26] 它起动了之后
[01443.26-01446.14] 然后它就开始从那个车站出来它的载弄
[01446.14-01447.98] 然后从那个车站出来载弄出来载弄出来的车
[01447.98-01448.78] 就发现那个车
[01448.78-01450.50] 它是往一边去清的
[01450.50-01452.38] 这样的话其实是挺下人的
[01452.38-01452.58] 对吧
[01452.58-01454.66] 其实看到那个车我就想到了
[01454.66-01457.82] 如果把我家的经济发展比喻一趟
[01457.82-01459.46] 经济发展的列车的话
[01459.46-01461.14] 那对于我家的列车评论
[01461.14-01461.94] 越行来看
[01461.94-01462.74] 最重要就是
[01462.74-01465.10] 就是你再保证平衡
[01465.10-01466.46] 你要保证这套经济列车
[01466.46-01467.50] 行稳之源
[01467.50-01468.38] 它不翻车
[01468.38-01471.02] 那如何保證這條經濟列車行為之員呢?
[01471.02-01471.90] 需要邪條
[01471.90-01473.28] 所以我們說邪條是啥?
[01473.28-01477.34] 邪在旁邊邪條是持續健康
[01478.54-01482.26] 邪在旁邊是持續健康發展的
[01484.90-01486.06] 那一在要求
[01486.78-01488.18] 那他解決的是什麼問題呢?
[01488.18-01489.46] 我說了不翻車
[01489.46-01492.70] 那他解決的就是發展不平衡的問題
[01492.70-01500.14] 就发展不平衡的问题
[01500.14-01504.86] 所以在这里把他写旁边关键则发现了
[01504.86-01506.46] 人第一个写条解决什么
[01506.46-01509.34] 持续健康发展把持续健康发出来
[01509.34-01510.46] 这是第1个官司
[01510.46-01512.86] 第2个就是解决发展不平衡的问题
[01512.86-01514.46] 这个地方他还会考一个点
[01514.46-01515.50] 就是考不说了
[01515.50-01516.70] 会考他每一个地位
[01516.70-01518.22] 比如说创新他的地位
[01518.22-01519.10] 写掉他的地位
[01519.10-01520.30] 他会考一个对应
[01520.30-01521.90] 如果这里面对应不上的话
[01521.90-01524.26] 这个时候可能就打错了
[01524.26-01525.74] 所以在这里面他要知道
[01525.74-01527.86] 这是我们所提到的关于协调
[01527.86-01529.74] 首先第一个他是持续借客发展
[01529.74-01531.66] 这是保证经济能够长久
[01531.66-01533.74] 我们说的行稳才能支援
[01533.74-01535.78] 所以保证经济长久要协调
[01535.78-01536.82] 那他解决的是什么
[01536.82-01537.90] 发展不平衡
[01537.90-01540.70] 这个不平衡体现在很多方面
[01540.70-01543.30] 比如说区域不平衡
[01543.30-01544.82] 我做一个简单的标准
[01544.82-01546.66] 比如说区域不平衡
[01546.66-01550.10] 比如说领域不平衡
[01550.30-01552.86] 还比有什么 成相不平衡
[01554.14-01557.54] 甚至包括我们所提到的行业收入分配差距
[01557.54-01559.26] 这都处在不平衡的情况
[01559.26-01561.66] 这里面我们最维场见的其实就是什么
[01561.66-01562.66] 区域不平衡
[01562.66-01565.90] 区域不平衡早在多年前的时候可能会提到过
[01565.90-01567.10] 这一年没太烤
[01567.10-01569.26] 但是我发现在最新的
[01569.26-01571.66] 不能说最新烤实在近两年的烤实当中
[01571.66-01573.78] 其中有一次烤过一个中部地区
[01573.78-01577.30] 当时烤中部地区其实可以给它画分到地理之事上
[01577.30-01579.74] 但是我还是要救的这个点一大区讲讲
[01579.74-01581.88] 这个部频很对于当前中国进入发展
[01581.88-01583.58] 它能起到什么样的作用啊
[01583.58-01585.82] 搭来看一下中国的去发展部频
[01585.82-01588.26] 我们其实都知道东部发展
[01588.26-01590.26] 就快 西部发展交曼
[01590.26-01593.34] 南方发展上来说比较快 北方发展下来说比较慢
[01593.34-01595.10] 这样的话东部地区
[01595.10-01600.06] 率先发展的导致的一个问题就是东西发展经济差距太大了
[01600.06-01601.66] 所以最开始的时候我们都知道
[01601.66-01604.98] 改革开放在开放之处我们先有点到现道面
[01604.98-01606.98] 开放的都是延海的城市
[01606.98-01609.80] 所以东部地区的经济发展就非常的快
[01609.80-01611.50] 但是东部经济发展快之后
[01611.50-01613.90] 对于国家整体的经济精神是不利的
[01613.90-01616.34] 所以到了后面
[01616.34-01618.44] 我们所说的国家领的人就提出来了
[01618.44-01620.18] 要区域协调发展
[01620.18-01621.62] 那在区域协调发展当中
[01621.62-01623.10] 他画分了几大区
[01623.10-01624.42] 他画分了这么几大区域
[01624.42-01625.54] 比如说我们听过什么
[01625.54-01627.60] 我们听过东部地区
[01627.60-01628.14] 对吧
[01628.14-01631.30] 然后我们听过西部地区
[01631.30-01632.82] 那是说我们还说什么
[01632.82-01634.62] 中部
[01634.62-01637.56] 所以在这里我们说了东部发展
[01637.56-01641.42] 然后西部绝我们所说的西部大开发
[01641.42-01643.70] 然后中部绝企业
[01644.98-01647.10] 对吧我们都听过这几个
[01647.10-01649.94] 还有一个整个东部是这样的一趟线
[01649.94-01650.94] 还有一个是东北
[01650.94-01652.74] 这行东北老公也基地了
[01652.74-01654.14] 大家其实应该都听过
[01654.14-01655.50] 所以在最开始国家说
[01655.50-01659.66] 我想要让东西经济发展协调的时候
[01659.66-01662.42] 他从原本的说东部发展就变成了什么
[01662.42-01664.06] 他提到了四大经济版块
[01664.62-01668.02] 这次来接你板块就是西部中部东部和东北
[01668.02-01669.50] 而提大四老接你板块
[01669.50-01671.34] 他皮出来的口号就是我刚才说说的
[01671.34-01672.82] 东部率先发展
[01672.82-01674.54] 震星东北老公的年纪地
[01674.54-01676.90] 西部大开发你去中部地区怎么样
[01676.90-01677.54] 崛起
[01677.54-01678.98] 但是我老家就是东北的
[01678.98-01682.42] 你看他说东部我们所说的东北地区
[01682.42-01684.18] 我们所说的震星老公的年纪地
[01684.18-01685.62] 震星了这么多年但是本身上
[01685.62-01686.62] 我们看到的
[01686.62-01688.18] 就我的老家吉利而言的话
[01688.18-01689.26] 他这些效果怎么样
[01689.26-01690.42] 并没有那么明显
[01690.42-01692.02] 但是你说西部大开发
[01692.02-01693.94] 他也是一直在开发下去的嘛
[01693.94-01696.46] 不是在开发过程当中也面臨了很多的问题
[01696.46-01699.38] 你比如说你的环境生怀环境破坏的问题
[01699.38-01701.02] 所以稀不让开发开发到一半
[01701.02-01707.98] 你必须要讨论和考虑的问题就是如何在开发发人态的同时能够保证这个地方的生怀环境
[01707.98-01708.86] 不受到破坏
[01708.86-01711.62] 所以它没有办法记不进行而忠部绝体的话
[01711.62-01712.86] 我们就以三期为例
[01712.86-01715.30] 在最开始画分出来四大兼几版块的时候
[01715.30-01718.46] 在三期这一块怕有没有得到很好的这样的一个效应
[01718.46-01719.42] 也没有对吧
[01719.42-01722.42] 所以我们会发现四大兼几版块在画分完之后
[01722.42-01724.22] 各地怎么样 还是各地的
[01724.22-01725.82] 东部还是率先发展的
[01725.82-01727.62] 而且一技爵成
[01727.62-01730.22] 把其他这些地区原来的闪在了后面
[01730.22-01731.42] 所以最开始的时候
[01731.42-01733.62] 我们画分出来了四大间里板发现
[01734.42-01737.42] 确实是体道区域疑洁洪发展的这样的一个理念
[01737.42-01740.22] 但是在整体的连动效果上好不好
[01740.22-01742.22] 在整体的连动效果上不好
[01742.22-01745.02] 那这个时候既然整体连动的效果不好
[01745.02-01746.22] 那咱们怎么办
[01746.22-01747.22] 再想一想
[01747.22-01748.82] 在原本四大间里板块上
[01748.82-01750.82] 有没有其他的方式和手段
[01750.82-01754.02] 能够把中国经济发展的这一盘企业
[01754.02-01755.12] 去给它盘火
[01755.12-01758.58] 于是我们就提出了其他的很多的国家发展战略
[01758.58-01759.58] 通常来看一看
[01759.58-01760.86] 而说能享留哪些
[01760.86-01762.98] 我相信咱们听客的消败有很多什么
[01762.98-01764.26] 有很多山东的消败
[01764.26-01766.42] 山东我弟里学都不好
[01766.42-01768.62] 大概就是在这个位置吧
[01769.62-01770.38] 假设案
[01772.46-01773.10] 少等啊
[01773.10-01774.18] 我换一个颜色
[01774.18-01775.98] 山东假设处在这个位置
[01775.98-01778.26] 大家知道为什么山东省总化省情吗
[01778.26-01779.62] 因为山东省的这个省情
[01779.62-01780.46] 对我们来说
[01780.46-01781.86] 相来说还是很重要的
[01781.86-01783.02] 我们就以这个为例
[01783.02-01783.78] 我们来看一下
[01783.78-01785.38] 如果说有山东的这个小伙伴
[01785.38-01786.62] 我们经常会听到
[01786.62-01788.14] 在山东经济发展过程当中
[01788.14-01788.98] 他要打造什么
[01788.98-01791.10] 山东半导经济群吧
[01793.66-01795.82] 山东半导经济群
[01798.62-01800.02] 那我们也有一些
[01800.02-01802.98] 比如说像河北天津和北京的小伙
[01802.98-01805.18] 河北天津和北京的小伙伴有什么
[01805.18-01806.66] 有经济些东发展
[01806.66-01808.18] 我就把原本的东北去给插掉了
[01808.18-01810.10] 大家大概有一个印象就行了
[01810.10-01811.58] 我的地圖画特别厨啊
[01811.58-01813.30] 没有什么会画天赋
[01813.30-01814.30] 那我也听过
[01814.30-01815.90] 就是京京计发展
[01820.10-01820.98] 我们说的
[01820.98-01822.34] 是不是还有京京计发展
[01822.34-01823.38] 然后还有什么
[01823.38-01824.02] 你看
[01824.02-01826.50] 像在江苏这江上海
[01826.50-01826.98] 阿富汗里面
[01826.98-01829.06] 我把三省一市长三角
[01829.06-01829.70] 对吧
[01832.14-01833.34] 长三角一体画
[01833.34-01835.70] 然后如果有四川和重庆的小伙
[01835.70-01836.66] 在早在多少年
[01836.66-01837.74] 时候喊出了什么口号
[01837.74-01839.34] 成余双城京计圈
[01840.10-01844.86] 这些概念大家都听过吧
[01844.86-01846.74] 而且最开始的时候我们会发现
[01846.74-01848.38] 在整个黄河流域之底
[01848.38-01849.26] 我们提到了什么
[01849.26-01852.02] 黄河流域保护和高质量发展吧
[01855.02-01858.86] 黄河流域保护和高质量发展
[01858.86-01859.58] 不说了
[01859.58-01861.66] 而成员这条线上有什么
[01861.66-01863.10] 有长江经济代吧
[01866.90-01868.10] 有长江经济代
[01868.10-01869.30] 那这意味着什么
[01869.30-01872.28] 把整个中国的经济全都联动起来了
[01872.28-01873.42] 来看一下同学们
[01873.42-01874.98] 以经济为核心的
[01874.98-01875.62] 你看
[01875.62-01877.50] 以经济为核心的
[01877.50-01878.70] 我们所说的这个什么
[01878.70-01880.90] 这个国家在略发展
[01880.90-01883.66] 经济能够服势和代动的是哪些地区
[01883.66-01884.42] 首先第一个
[01884.42-01886.18] 它能服势到东北和什么
[01886.18-01886.90] 和内蒙
[01886.90-01888.18] 那第二个你看
[01888.18-01889.06] 这里面的记录
[01889.06-01890.02] 就是核北
[01890.02-01891.38] 核北在哪一趟现场
[01891.38-01892.34] 核北在
[01892.34-01893.78] 黄核这趟现场
[01893.78-01894.82] 所以我们会发现
[01894.82-01895.82] 黄核留意保护
[01895.82-01896.90] 和高治量发展
[01896.90-01898.18] 就通过核北
[01898.18-01899.98] 和经济怎么样 协同起来了
[01899.98-01903.22] 而经济能够服势到东北和内蒙地区
[01903.22-01906.58] 那你看 整个原本在东北这一家的这块地儿
[01906.58-01907.70] 是不是就盘活了
[01907.70-01910.10] 而且我们都知道 何北他接上的地方
[01910.10-01911.22] 是不是接上了山多
[01911.22-01914.42] 那你看 山东是中国对外开放的门户和平台
[01914.42-01916.58] 而且山东他从地里的环境上
[01916.58-01918.02] 他是一个缩小版的中国
[01918.02-01920.18] 所以就山东本地的经济发展
[01920.18-01922.98] 打到山东半导经济区人
[01922.98-01926.02] 他其实就是再给北方探索一个粗路
[01926.02-01927.78] 所以我们说了要打造山东的样吧
[01927.78-01930.34] 为什么山东各种各样的东西都要称着为叫样板
[01930.34-01931.10] 原来在这儿
[01931.10-01932.58] 中国是农业大国
[01932.58-01934.06] 山东是农业大圣
[01934.06-01937.18] 中国是黄格流浴发展出来的这种文化
[01937.18-01939.26] 山东它其实就是有什么
[01939.26-01942.06] 有黄格的一部分在因为入海口在东影
[01942.06-01946.98] 你看北方有中工也被方是我们所说的也工业为主
[01946.98-01950.34] 人家山东它其实就有很多的这样的中工也去
[01950.34-01951.22] 所以我们说了
[01951.22-01953.82] 整个山东它其实就是一个所小版的中国
[01953.82-01956.02] 它其实可以被北方打造很大的样板
[01956.02-01958.02] 所以你看河北和山东相接着
[01958.02-01960.38] 这个时候把这些地区就连动上了
[01960.38-01962.42] 而且整个山东也好河北
[01962.42-01965.86] 它都在什么黄河流一保护和高质发展这套现象
[01965.86-01968.82] 是不是整个北方在黄河流域在经济
[01968.82-01970.86] 在这些经济发展的连动上
[01970.86-01972.46] 不在向以前那么割裂了
[01972.46-01973.70] 从而盘活什么
[01973.70-01975.30] 从而盘活整个北方经济
[01975.30-01976.18] 老师那不对
[01976.18-01977.06] 那续不地去
[01977.06-01979.18] 续不地去人从常安出发
[01979.90-01981.22] 从西安出发搞了什么
[01981.22-01982.06] 一带一路
[01982.06-01983.66] 一带一路浮射到新疆
[01983.66-01985.66] 然后就浮射到亚洲再到欧洲
[01985.66-01988.62] 你看,是否整个就怎么样,连动起来了
[01988.62-01992.62] 这是北方,那老师说,那有同一说,说老师北方发展南方怎么样
[01992.62-01994.70] 人南方有常疆经济带啊
[01994.70-01996.30] 北有黄河、南有常疆
[01996.30-01998.70] 常疆疆的一代非上游中游和下游
[01998.70-02003.66] 上游成于双成经济车带动整个西南地区的经济发展和盘火
[02003.66-02009.38] 而在中游的时候,人家游武汉有常杀,人家下游的时候,人家有上海
[02009.38-02012.54] 对吧,有等等这些热的这样的一些发展模式
[02012.54-02015.54] 那你看,在整个这样的一个连动之下
[02015.54-02019.12] 整个南方和北方差距真的昨天说小
[02019.12-02021.94] 而通过我们所说的 黄河和长江
[02021.94-02024.50] 让东西之间的差距也在怎么样
[02024.50-02027.06] 逐渐说小在加上很多地医生的这种战略
[02027.06-02029.50] 就能够把整个中国的经济全都盘火
[02029.50-02033.20] 所以你看我们既有内部的协调发展又有什么对外
[02033.20-02035.50] 那一代一路路上似书之路经代
[02035.50-02038.06] 以及我们所说的什么海上似书之路经代
[02038.06-02041.34] 那这个时候基本定了内部发展又扩充了什么
[02041.34-02042.16] 外部发展
[02042.16-02044.22] 所以在整个发展过程当中我们会发现
[02044.22-02046.96] 中国经济在发展上好大的一盘期
[02046.96-02048.56] 然后山东半岛经济
[02048.56-02050.58] 这个等到我们有省情的所在的
[02050.58-02052.26] 所以在这大就一个概念
[02053.26-02054.20] 这概念是什么呢
[02054.20-02055.48] 所谓的协调
[02055.48-02057.80] 我们看到的就是国家给到了很多什么
[02057.80-02059.94] 给到了很多类似于区域发展战略
[02059.94-02061.98] 国家重大发展装略的这些内容
[02061.98-02063.48] 它能够从本质上
[02063.48-02066.14] 戴动整个国家的经济连动和发展
[02066.14-02068.14] 所以在这里面大家也要知道
[02068.14-02070.32] 所以在这叫做持续发展
[02070.32-02072.22] 你用知道持续意味这就是什么
[02072.22-02072.94] 提问之言
[02072.94-02073.90] 他解决了什么
[02073.90-02074.50] 不平衡
[02074.50-02076.18] 刚才那个解决去无聊
[02076.18-02078.38] 老师里有一部平衡怎么解决呢
[02078.38-02079.18] 无威体
[02079.18-02081.86] 我们之前特别强调一经济发展为中心
[02081.86-02083.10] 但是我们会发现
[02083.10-02084.18] 各有与发展不一样
[02084.18-02086.74] 与是我们提到了无威体的总部局吗
[02086.74-02087.86] 对了总体不局吗
[02087.86-02089.10] 然后那成相呢
[02089.10-02090.14] 成相的话你看
[02090.14-02091.10] 托平公间
[02091.10-02092.02] 相分之心
[02092.02-02094.10] 你看这是不是都在解决什么问题
[02094.10-02095.30] 都在解决
[02095.30-02098.18] 我们所说的持续协调发展的问题
[02098.18-02099.22] 所以这是第二个
[02099.22-02100.30] 叫做协调
[02100.30-02101.30] 叫协调
[02101.30-02102.50] 这是第二个点
[02102.50-02103.54] 那第3个点的
[02103.54-02104.82] 这是在这我们提高的叫做
[02104.82-02105.46] 绿色
[02105.46-02107.06] 那一条绿色大概应该都知道了
[02107.06-02110.42] 我们就是强调的是生态环境保护的问题
[02110.42-02112.50] 所以绿色它是现在旁边
[02112.50-02114.50] 叫做用序发展
[02115.86-02118.90] 叫做用序发展的必要条件
[02123.14-02124.34] 它解决的是什么问题
[02124.34-02126.50] 解决的是人与自然的
[02128.58-02130.10] 和写共生问题
[02131.30-02135.02] 人以旋的和学共生问题
[02135.02-02138.70] 这个就是我们提到的叫做有序发展
[02138.70-02139.90] 这里面的律色
[02139.90-02143.02] 他知道他是用序和刚才的持序不一样
[02143.02-02145.14] 持序代表的是行稳之源
[02145.14-02146.42] 他更加强斗的试问
[02146.42-02147.42] 所以要协调
[02147.42-02150.26] 而用序强斗的是能够发展下去
[02150.26-02152.02] 你不能说经济发展了一半
[02152.02-02153.86] 快快快去实经济发展得很好
[02153.86-02156.74] 但是生在环境遭到了不可逆的这种破坏
[02156.74-02158.14] 人类像何去何从
[02158.14-02159.14] 人类都没有了
[02159.14-02160.74] 你还谈什么经济发展
[02160.74-02162.82] 所以在这里我们提到了预色是什么
[02162.82-02163.54] 是永序
[02163.54-02164.82] 你想想旁备骨巢
[02164.82-02165.94] 你想想罗兰谷国
[02165.94-02166.98] 被没在沙漠之下
[02166.98-02168.50] 你发展的再好什么用呢
[02168.50-02169.38] 所以我们说了
[02169.38-02171.34] 发展在最本身上的考虑问题
[02171.34-02172.66] 就是人类生存
[02172.66-02174.50] 与生活的问题
[02174.50-02176.10] 所以在这里他提到的所做
[02176.10-02177.06] 永序发展
[02177.06-02179.22] 这里面他解决是人与自然的问题
[02179.22-02181.22] 这里不用给大家过多解释
[02181.22-02182.50] 所以像预色这个点
[02182.50-02184.58] 相对来说对我们不要简单
[02184.58-02185.70] 这是第三个
[02185.70-02188.18] 第4个就叫做开放
[02188.18-02189.14] 开放是啥呢
[02189.14-02189.78] 大家注意下
[02189.78-02193.18] 在旁边注意下,开放是繁荣发展的彪物之路。
[02195.98-02198.30] 是繁荣发展的
[02199.58-02200.54] 彪油之路。
[02200.54-02201.86] 你就记观念此,
[02201.86-02203.54] 但是你写的时候,你写圈,
[02203.54-02205.14] 但是你背的时候,就背观念此,
[02205.14-02206.62] 因为你理解他就好背了。
[02206.62-02208.26] 那他解决的是什么问题呢?
[02208.26-02213.14] 写在旁边,他解决的是发展内外联动的问题。
[02216.58-02219.50] 叫发展内外联动的问题。
[02219.78-02249.78] 所以在这,第一个观念词就是开放是繁荣发展,这个想一想咱们就知道,中国经济真正实现发展是从什么时候开始,中国经济真正实现发展就是从改革开放开始,所以开放为中国迎来了更大的市场,所以中国经济开始逐漸,新新项目,所以它是繁荣发展,明白了吧,观念词在繁荣上,那他解决的是什么问题呢,解决是内外联动问题,大助亦要我们强调的开放是对外开放,也就是一种,
[02249.78-02252.30] 因為中國經濟發展不僅要一顆內部市場
[02252.30-02253.80] 要以後外部市場
[02253.80-02256.14] 所以叫做內外臉都
[02256.14-02258.34] 所以在這裡面我們提到的叫做太放
[02258.34-02260.10] 最後一個就是共享
[02260.10-02261.74] 共享的本質是什麼
[02262.38-02265.46] 這是共同享有班
[02265.46-02266.34] 哪去哪啊
[02266.34-02268.82] 剛才不小心點到了
[02268.82-02269.74] 大家來想一下
[02269.74-02271.10] 我們所說的這個共享
[02271.10-02272.22] 它在本質上就是什麼
[02272.22-02273.90] 就是經濟發展成果
[02273.90-02275.22] 由老百姓共同享受
[02275.22-02276.10] 這個叫共享
[02276.10-02277.22] 就是共享就是什麼
[02277.22-02278.62] 共享就是共同富裕
[02278.62-02280.02] 这是国家发展的这么好
[02280.02-02281.50] 他本身上说为了谁
[02281.50-02282.94] 他本身上是为了人民
[02282.94-02284.02] 所以在这里共享
[02284.02-02287.06] 他是中国特色社会主义的本质要求
[02287.06-02289.82] 我说了本质一定是落在谁的身上
[02289.82-02291.06] 和老百姓有关
[02291.06-02293.06] 你说共享和老百姓有关
[02293.06-02293.62] 有关系
[02293.62-02295.34] 我在前面给大家总结了很多词
[02295.34-02295.70] 对吧
[02295.70-02297.18] 所以他是本质要求
[02297.18-02298.70] 那他解决的是什么问题
[02298.70-02301.18] 他解决的是社会公平正义问题
[02304.82-02308.58] 解决社会公平正义问题
[02308.62-02316.62] 这个就是我们所说的共享共享
[02316.62-02322.18] 你看这个新发展里面其实就是从各个层面上来推动经济的什么
[02322.18-02322.98] 评问发展
[02322.98-02325.30] 我们可以把新发展里面的各自的地了
[02325.30-02326.46] 去给了进行一个想象
[02326.46-02327.46] 我还是那句话
[02327.46-02332.66] 如果说把中国的经济发展比预程一亮经济发展的高速列车的话
[02332.66-02336.62] 你看对于这些这一套经济列车来说
[02336.62-02337.90] 他都需要哪些东西呢
[02337.90-02339.90] 首先既然他是一个经济列车
[02339.90-02341.90] 那首先这个车带先跑起来
[02341.90-02343.90] 跑起来就需要一个什么动力
[02343.90-02345.02] 这个车带能跑
[02345.02-02346.14] 你不能说搞了一个车
