[00000.00-00004.92] 上下課我們講了馬斯主義基本原理的導論了解了整個馬元說了什麼
[01262.66-01264.06] 你这时候一看
[01264.06-01265.18] 还蛮呀没死了
[01265.18-01266.18] 马斯嘴哲学啊
[01266.18-01267.22] 那说的都是对的
[01267.22-01268.98] 被中国的发展提供了规划
[01268.98-01271.26] 那对他前面给了两个字同学
[01271.26-01272.98] 被中国的发展提供了
[01272.98-01274.50] 详细的知道
[01274.50-01275.86] 详细不了
[01275.86-01278.06] 因为他是普世的共性的东西
[01278.06-01279.10] 所以详细不了
[01279.10-01280.02] 所以这里面的知道
[01280.02-01281.30] 就因为他说红官的
[01281.30-01283.30] 如果在天当中看到提供了
[01283.30-01285.02] 什么计划方案
[01285.02-01286.46] 什么具体方法
[01286.46-01287.90] 什么详细规划
[01287.90-01290.10] 这类伪这种必要详细的
[01290.10-01291.38] 细节的东西
[01291.38-01293.06] 他说是马折提供的
[01293.06-01294.38] 这种说法都是错的
[01294.38-01297.18] 因为折血没有办法提供红官的东西
[01297.18-01299.78] 明白了 这是第一个点 大家要注意的
[01299.78-01302.88] 第二个点 在这里面 同你们还要去明确
[01302.88-01303.78] 明确啥呢
[01303.78-01306.66] 这是我们所说的折学位其他学科
[01306.66-01309.06] 比如说被物理学的研究
[01309.06-01310.30] 比如说我们去研究量子
[01310.30-01312.28] 它能够提供一些红冠上的一些
[01312.28-01315.38] 精神上的一些职业或者原则方向上的一些直到
[01315.38-01318.48] 但是并不意味着折学就超透于其他学科了
[01318.48-01321.48] 这是刚才我们所说的 它们的含意当中
[01321.48-01322.78] 我们需要注意的
[01322.78-01325.68] 折学在这里面 大家注意一下 折学
[01325.68-01333.52] 他可以被稱之為全部科學之母
[01333.52-01338.26] 證說法是對的
[01338.26-01342.00] 就有點歷史於憲法和其他基本法之間的關係
[01342.00-01343.64] 憲法是國家的法律
[01343.64-01346.92] 那其他基本法民法行法也是國家的法律
[01346.92-01350.94] 只不過民法行法是在憲法的幾乎之上之定的
[01350.94-01353.22] 我们其他科学的发展也是样的
[01353.22-01354.66] 其他科学是学科
[01354.66-01355.74] 哲学也是学科
[01355.74-01357.30] 只会其他科学的发展
[01357.30-01358.86] 可以从哲学当中
[01358.86-01359.90] 找到一些
[01359.90-01361.86] 相用的指导和原则而言
[01361.86-01363.34] 所以在这里我们可以认为
[01363.34-01366.14] 哲学是全部科学之母
[01366.14-01367.54] 或者其他科学之母
[01367.54-01369.82] 体现的是他的指导作用
[01369.82-01371.02] 种说法是对的
[01371.02-01372.42] 但是在这里
[01372.42-01374.14] 会出现另外一个小科学
[01374.14-01375.34] 啥科人在这里
[01375.34-01376.54] 他会说到另外一个点
[01376.54-01378.02] 说哲学
[01378.02-01383.02] 是科学之科学
[01383.02-01387.02] 哲学是科学之科学
[01387.02-01389.02] 然后问,正常对不对
[01389.02-01393.02] 你翻译一下的同学,哲学是科学的科学
[01393.02-01398.02] 科学的科学就是意味着哲学要零家语其他一切学科,只剩
[01398.02-01402.02] 你只啥,对不对,只好意思说这话吗?
[01402.02-01404.02] 那些马都不好意思说这话呢?
[01404.02-01407.02] 所以在这里他说哲学是科学之科学
[01407.02-01408.82] 它是科学设复学
[01408.82-01412.14] 那都因为这零价于其他一切学科学科学之上
[01412.14-01414.34] 那种说话指定是错的
[01414.34-01416.22] 因为在学科里论上面
[01416.22-01417.54] 他们是平等的
[01417.54-01418.90] 他们都是学科
[01418.90-01419.94] 谁必谁高呢
[01419.94-01420.66] 明白了吧
[01420.66-01422.62] 所以在这里面大家一定要注意
[01422.62-01424.82] 所以这里面就会出现两个区分
[01424.82-01427.50] 这个哲学是全部科学之母就对
[01427.50-01429.34] 如果说哲学是科学之科学
[01429.34-01431.66] 那种说法就是大错的
[01431.66-01433.14] 那种说法就是大错的
[01433.14-01434.98] 那这是我们所说的有关于
[01434.98-01437.98] 哲學他的一個定義
[01437.98-01439.98] 所以從哲學的定義當中
[01439.98-01440.98] 我們來看一道題目
[01440.98-01442.98] 咱們講了這麼多
[01442.98-01444.98] 所以下一關於哲學的說法錯誤的是
[01444.98-01446.98] 來同學們咱們一起來做一下
[01446.98-01447.98] 首先A選項
[01447.98-01449.98] 說哲學是世界觀的合理
[01449.98-01452.98] 是人們在世界當中自發形成呢
[01452.98-01456.98] 哲學叫閃了叫做理論話
[01456.98-01459.98] 系統話的世界觀
[01459.98-01461.98] 所以理論和系統就意味著
[01461.98-01463.98] 他有自己的框架和逐漸
[01463.98-01468.78] 既然有自己的框架体系,这个框架体系是一下子就有的吗?
[01468.78-01471.78] 这件不是的,它是后天形成的。
[01471.78-01477.38] 所以它说自拍形成,那这打一个大大的差,所以A选上说法错误。
[01477.38-01483.18] 并且像,说哲学是对这三个内容的家总,家总就是简单的相加。
[01483.18-01489.18] 但是哲学可不是简单的相加,而是概括抽象和总结,所以家总说法错了。
[01489.18-01489.90] 誰選項
[01490.06-01492.50] 說哲學位人類收獲的發展提供直到
[01492.50-01493.02] 到這
[01493.02-01493.38] 嗯
[01493.38-01495.18] 有道理和計劃方案
[01495.18-01497.50] 一旦出現計劃方案是不是具體的
[01497.70-01499.42] 計劃方案指定是具體的
[01499.42-01501.26] 你給老闆就要計劃方案的時候
[01501.66-01502.38] 能不能給老闆
[01502.38-01503.50] 老闆讓寫個策劃的時候
[01503.50-01506.06] 然後你就上面寫上策劃說成功哦
[01506.06-01507.66] 你看老闆抽不抽你啊
[01507.66-01508.78] 所以在這裡你看
[01508.78-01509.90] 方案一定是具體的
[01509.90-01511.14] 你交了那個計劃
[01511.14-01512.70] 它一定是我詳細步驟的
[01512.94-01516.06] 而哲學能不能為社會的發展提供詳細的規範
[01516.94-01517.50] 不行
[01517.50-01519.14] 所以誰選項收來是錯的
[01519.18-01534.38] 并想想,哲學與記者科學之間的關係是共性與個性,一般一個比整體與部分直到與被制度出現了整體與部分就好了,所以這體,所以做得應該是ABCD,你們是ABCD
[01534.38-01547.98] 好,這是我們所說的,有關於第一個部分,哲學的喊一,哲學的喊一,作為一個考點來看的話,它其實只是一個我們所說的一星級的知識點,只是一個一星級的知識點,咱們來看一下
[01549.18-01552.16] 在这里对于哲学的含义的定义
[01552.16-01553.90] 咱们来讲刚刚的回顾一下
[01553.90-01556.04] 在哲学里面所提到的哲学的含义
[01556.04-01558.38] 从他与是一关和发法论的角度
[01558.38-01560.20] 眼神出来了两个考点
[01560.20-01562.74] 第一个知道哲学不是自发形成的
[01562.74-01565.60] 第二个知道是外发论之间的关系
[01565.60-01568.54] 第二个从他与距离科学之间的关系来看一下
[01568.54-01570.94] 眼神出来了这么几个点
[01570.94-01574.26] 第一个就是哲学不是简单的家族
[01574.26-01577.72] 第二个哲学和距离科学各自的地位不同
[01577.72-01579.92] 一个是基础,一个是直到
[01579.92-01583.12] 第三个就是从直到这里面,也生出来的
[01583.12-01585.52] 只要是直到都是红关的
[01585.52-01588.32] 如果是详细的,那就一定是错误的
[01588.32-01590.80] 并且从这里也生出来了两句话
[01590.80-01593.52] 一个是知识识课学之课学
[01593.52-01597.52] 你要能够判课出来,那种说法对,那种说法错
[01597.52-01600.12] 而第四一个点,在这里面给到的就是
[01600.12-01603.32] 哲学剧科学之间的关系,千万要记住
[01603.32-01606.12] 没有整体和部分,如果给到整体的部分
[01606.12-01607.92] 正说就是错误的
[01607.92-01608.80] 你都是学科
[01608.80-01609.60] 谁不谁高呢
[01609.60-01610.56] 你都是学科
[01610.56-01612.76] 能不能说数学是语而的组织不凡
[01612.76-01613.60] 疯了吗
[01613.60-01614.64] 指定是不行的
[01614.64-01615.40] 所以在这里
[01615.40-01616.24] 大家知道
[01616.24-01617.32] 这是第一个点
[01617.32-01618.04] 它的总结
[01618.04-01620.84] 但这个点从中体上的考察上
[01620.84-01622.08] 它只能算是一个
[01622.08-01623.64] 一星级的知识模块
[01623.64-01624.72] 就是它会考察
[01624.72-01626.08] 但是不会年龄都考察
[01626.08-01627.20] 考察频率不高
[01627.20-01628.20] 一世因为
[01628.20-01630.08] 它确实本身的点比较少
[01630.08-01631.88] 第二个就是因为它难度也比较小
[01631.88-01635.88] 那这是第一个,咱们知道了哲学,是什么?
[01635.88-01637.88] 那了解了哲学是什么之后呢?
[01637.88-01641.88] 第二个咱们就来看一看,哲学到底要干什么?
[01641.88-01644.88] 哲学要干什么?就叫哲学的基本问题
[01644.88-01650.88] 在哲学的基本问题当中,咱们来看一下第一个考察点,同们标注一下,这个点呢?
[01650.88-01658.88] 他经常会和其他点放在一块考,哲学的基本问题是思维和存在的关系问题
[01658.88-01661.40] 来 同时把它标注一个两星
[01661.40-01663.12] 这是在这个基本问题当中
[01663.12-01665.24] 为了一个两星级的支点
[01665.24-01667.16] 在这里给大家标注两星的原因
[01667.16-01669.92] 不是因为它在整体的考察上难度多大
[01669.92-01672.68] 而是因为它是一个综合的考点
[01675.68-01677.60] 跑往往会结合什么来考呢
[01677.60-01680.96] 往往会结合维护论当中的
[01680.96-01682.36] 物质与意识
[01685.04-01688.72] 或者是结合维护使弯当中的社会存在
[01688.72-01695.68] 遇月社會議員會結合他們兩個
[01695.68-01698.62] 考成考他們之間的關係
[01698.62-01702.22] 考他們之間的關係
[01702.22-01703.76] 所以在這裡面大家注意一下
[01703.76-01705.84] 它不是一個單獨的考點是一個
[01705.84-01707.16] 綜合的考察方式
[01707.16-01709.76] 在這裡面大家是一定要注意的
[01709.76-01711.00] 那我們來看一下
[01711.00-01713.56] 那種老師和維思維和維存在
[01713.56-01715.84] 我們現在去宏觀上去探討
[01715.84-01718.04] 或是給大家去講說思維和存在
[01718.04-01719.36] 会有一点抽象
[01719.36-01721.44] 所以存在要等我们讲完了
[01721.44-01722.20] 物质亿式
[01722.20-01723.84] 讲完了是为存在设备一设
[01723.84-01725.60] 大家才能彻底地去理解它
[01725.60-01729.00] 在这里面我们就可以做一个具想化理解
[01729.00-01730.12] 所谓的思维
[01730.12-01731.36] 它其实就是你
[01731.36-01734.68] 我们所能理解的精神层面的东选
[01734.68-01736.00] 意识层面的东西
[01736.00-01738.76] 只要它不是已经存在了
[01738.76-01740.88] 只要它是精神层面的
[01740.88-01743.44] 我们都可以把它称着微笑作思维
[01743.44-01746.08] 而存在存在比物质的范围
[01746.08-01746.92] 還要大
[01746.92-01749.24] 他其實代表一切刻彎實際情況
[01749.24-01751.04] 所以哲學要研究的問題
[01751.04-01752.92] 其實說是在本質上去探討
[01752.92-01756.08] 這個世界到底是有精神阻災者的
[01756.08-01758.44] 還是有刻彎實際情況
[01758.44-01760.40] 有物質 除在著的
[01760.40-01762.76] 那你對於這兩種觀點不同的看法
[01762.76-01765.80] 其實你就會形成不同的這樣的一種觀點
[01765.80-01768.08] 這個就叫做思維和存在
[01768.08-01769.24] 思維和存在
[01769.24-01770.00] 那說老師
[01770.00-01771.28] 在這裡他和物質意識
[01771.28-01772.76] 受存在受益是什麼關係
[01772.76-01774.68] 我們講到後面說會大概去講到
[01774.68-01777.48] 就知道整个哲学就研究两个东西
[01777.48-01778.68] 一个是思维
[01778.68-01780.28] 你就想爱的理解
[01780.28-01781.88] 他就是精神层面的东西
[01781.88-01783.40] 他可能是人的精神
[01783.40-01785.00] 也可能是神的精神
[01785.00-01786.20] 你就别管他是神
[01786.20-01787.88] 你就知道他是精神层面的东西
[01787.88-01789.96] 另外一个就是存在
[01789.96-01792.44] 存在的就是现实存在的15
[01792.44-01795.08] 你就知道他就是研究精神层面
[01795.08-01797.64] 和现实存在的15之间的关系
[01797.64-01799.40] 他们之间的这个关系
[01800.04-01801.40] 放在不同的领域
[01801.40-01802.84] 就会有不同的体现
[01802.84-01804.44] 放在维吴论当中
[01804.44-01807.58] 思维和存在就变成了误指一时的关系
[01807.58-01810.58] 放在律师为误主一当中就变成了
[01810.58-01812.94] 社会存在和社会一时的关系
[01812.94-01816.98] 所以如果他们思维和存在和上面这两个啥关系
[01816.98-01818.00] 那同们就要知道
[01818.00-01822.10] 标准在旁边是共性与各性之间的关系
[01823.38-01829.02] 叫做共性与各性一般与各别之间的关系
[01830.04-01833.24] 因为这个点在施的位置的考试中确实是考过
[01833.24-01835.72] 当时考的是社会存在和收入意识这块
[01835.72-01836.92] 那大家要注意一下
[01836.92-01840.28] 所以在这里这是思维后存在的关系问题
[01840.28-01841.44] 所以就存在关系
[01841.44-01843.24] 那思维后存在能够啥关系
[01843.24-01844.36] 一共就两个东西
[01844.36-01847.00] 那不就在先个先争的第一和第二
[01847.00-01848.60] 所以在这里就会出现
[01848.60-01852.04] 叫做合折为第一性的问题
[01852.04-01854.40] 所以就存在到底先有谁
[01854.40-01856.60] 我们叫做合折为第一性
[01857.88-01859.48] 就是先有谁的问题
[01859.48-01861.64] 如果你认为先有
[01861.64-01866.68] 一是,或者叫做先有思维,你就叫做微心主义。
[01866.68-01869.84] 如果以人为这个世界本来就有,又不是神创的,
[01869.84-01872.08] 那这有时候你就叫做微物主义。
[01872.08-01877.40] 所以他们之间和者为低性的问题,就画分出来了两大哲学派别,
[01877.40-01880.88] 一个叫做微物主义,一个叫做微心主义。
[01880.88-01886.08] 所以在这里面他给到一句话,说对于低性方面问题的不同回答,
[01886.08-01890.24] 是画分微物主义和微心主义的根本标准,
[01890.24-01892.64] 也就是画分维吾合维心之似一个标准
[01892.64-01894.40] 就是看鲜有谁
[01894.40-01896.64] 所以他有时候有把这个根本标准
[01896.64-01898.64] 写成叫做维吾标准
[01898.64-01899.76] 那如果他这么说
[01899.76-01900.88] 那就只能是对的版
[01900.88-01901.20] 对吧
[01901.20-01902.88] 所以在这里 打扫注意一下
[01902.88-01906.00] 那这是我们所说的叫做鲜有谁的问题
[01906.00-01910.40] 如果鲜有存在
[01910.40-01911.84] 那就叫做维吾主义
[01911.84-01915.60] 如果是鲜有意识
[01915.60-01917.76] 那这有就叫做维新主义
[01917.76-01919.28] 那你就画分出来了
[01919.28-01921.88] 我们所说的维护主义观念和神创论 对吧
[01921.88-01923.48] 那这是先有谁
[01923.68-01925.48] 那知道了先有谁之后
[01925.68-01927.48] 那第二方面又探考什么问题呢
[01927.68-01929.68] 所以个存在关系第二方面问题
[01929.68-01930.68] 就会去探讨
[01930.88-01934.08] 已经存在这的思维和存在之间
[01934.28-01935.68] 有没有什么联系
[01935.68-01938.08] 就是已经知道先有谁后有谁了之后
[01938.28-01941.68] 他们两个之间能不能存在相当联系
[01941.68-01943.28] 那在这里面就叫什么问题呢
[01943.28-01945.28] 就叫做统医性问题
[01945.48-01946.88] 统医性是啥问题呢
[01946.88-01949.58] 他4月和存在有不同一形的问题
[01949.58-01953.08] 记人的4位能否正确认识存在
[01953.08-01955.68] 以及如何认识现实世界的问题
[01955.68-01958.38] 就是你对于这个世界有想法有关键
[01958.38-01958.88] 对吧
[01958.88-01961.58] 但是你的想法认累的想法
[01961.58-01964.58] 能不能重进对于世界的认知
[01964.58-01968.38] 这个就叫做能否正确认识存在
[01968.38-01969.68] 你可以俩的理解
[01969.68-01972.08] 所谓的同意形就是你的4位
[01972.08-01975.38] 能不能重进对于这个世界的认知
[01975.38-01978.46] 如果你認為你的思維能夠穷劑
[01979.46-01982.82] 如果你認為你的思維能夠穷劑對世界的人質
[01982.82-01985.02] 這個世界無論是多麼好大
[01985.02-01986.66] 人類只要無限三眼下去
[01986.66-01988.66] 這個世界早二有一天會不會我認識到
[01988.66-01991.58] 那你這種就叫做可之論
[01993.54-01995.30] 但是還有一個觀點就是
[01995.30-01997.38] 他認為人的思維
[01997.38-02000.14] 人的想法觀點人類的想法觀點
[02000.14-02002.18] 沒有辦法穷劑對世界的人質
[02002.18-02003.38] 世界太大了
[02003.38-02004.42] 宇宙太大了
[02004.42-02006.18] 我们永远走不出太阳系
[02006.18-02008.62] 我们永远没有办法穷建队宇宙的人质
[02008.62-02009.58] 这个世界
[02009.58-02011.18] 我们不过是藏海一肆
[02011.18-02012.14] 我们太妙小了
[02012.14-02013.98] 埃埃这个世界太下人了
[02013.98-02015.58] 你就如果是这种观点的话
[02015.58-02018.82] 你就认为你的想法是不能穷进任知的
[02020.82-02022.58] 你看我为啥总写错得俩字啊
[02022.58-02024.34] 感觉不能穷进任知的
[02024.34-02025.90] 如果不能穷进任知的话
[02025.90-02026.90] 你去叫做什么
[02026.90-02027.74] 不可知的
[02027.74-02029.02] 所以可知不可知
[02029.02-02032.10] 就开始世界是否可以被任知
[02032.10-02034.82] 这里面就叫做可助论核不可知论
[02034.82-02036.58] 所以同时没要能够知道
[02036.58-02037.70] 第一形问题
[02037.70-02040.34] 那你就要知道是为屋主义核为新主义
[02040.34-02042.02] 他如果问第二形问题
[02042.02-02043.86] 或者叫做同一形问题
[02043.86-02046.58] 这有时候就叫做可助论核不可知论
[02046.58-02049.46] 以前在可查可助论核不可知论的时候
[02049.46-02050.54] 考了很简的
[02050.54-02053.06] 就问说折血基本问题的
[02053.06-02054.34] 第二方面问题是啥
[02054.34-02055.54] 你能选出来就行了
[02055.54-02056.74] 但是这几年
[02056.74-02059.30] 在这个点上稍微考察
[02059.30-02060.26] 做了一些文章
[02060.26-02061.86] 同时把可助论圈出来
[02061.86-02064.84] 标注一个医生级的理解性的题目
[02064.84-02068.64] 他往往就会把这个点变一种说法去表说
[02068.64-02070.64] 比如说他经常会给到这样一种说法
[02070.64-02072.84] 说人类社会不断的进步
[02072.84-02075.84] 中国随着经济也在不断的发展
[02075.84-02078.48] 那中国的不断发展就是得
[02078.48-02081.18] 我们不断调整国家政策
[02081.18-02083.28] 以室应国家经济的发展
[02083.28-02084.64] 不怕这一话写的旁边
[02084.64-02087.52] 就是我们随着经济情况不断发展
[02087.52-02089.52] 我们经常就会调整
[02091.86-02093.86] 政策
[02093.86-02095.94] 以
[02095.94-02097.94] 释用
[02097.94-02099.94] 经济发展
[02099.94-02103.34] 那我不断调整政策以释用经济发展的话
[02103.34-02106.42] 在这里面同没有看一下政策的调整
[02106.42-02108.42] 是不是代表的是私为
[02108.42-02112.02] 私为以释用经济的发展
[02112.02-02115.58] 是不是私为要不断的释用存在的发展
[02115.58-02119.66] 有一位者无论这个国家的经济发展水平如何变化
[02119.66-02123.06] 我的政策一定可以适应新的发展情况
[02123.06-02128.86] 那就意味着你的政策是可以秧境对于现有进去状况的认知的
[02128.86-02133.06] 那这种你看思维可以秧境对现有情况的认知
[02133.06-02135.26] 那他属不属于可执乐的点呢
[02135.26-02137.26] 他当然属于可执乐的点
[02137.26-02138.78] 这个点大家注意
[02138.78-02141.74] 你只要在田中看到什么政策调整啊
[02141.74-02145.06] 或者是我们所说的是一种什么精神的没现象
[02145.06-02146.74] 随着社会不断进步啊
[02146.74-02148.86] 那其实都是可执乐的体现
[02148.86-02152.14] 以前在刚才的案例里面就是这个案例里面
[02152.14-02153.58] 他经常考察的是啥呢
[02153.58-02155.34] 这是考察物指决定硬实
[02155.34-02156.78] 但是有一年考试的时候
[02156.78-02158.58] 他就没有再给物指决定硬实
[02158.58-02160.10] 而是在学校当中给到了
[02160.10-02162.46] 说那他坚持了什么样的哲学观念呢
[02162.46-02164.38] 当时就给到了一个可知论
[02164.38-02167.34] 难度知道这体现的中视上可知论
[02167.34-02169.98] 可知可知可以被认知
[02169.98-02172.78] 所以这个点在这一年考试的时候
[02172.78-02174.78] 逐渐的被重视冷起来
[02174.78-02177.98] 所以大家知道这是可知论身上的考察点
[02177.98-02183.06] 所以在这里我们来看一下有关于整个哲学的基本问题
[02183.06-02184.42] 一共两个方面
[02184.42-02186.94] 第一个先有谁画分维吾合维心
[02186.94-02190.18] 这个低形问题是根本标准是维吾合者
[02190.18-02190.90] 第二个
[02190.90-02194.18] 遂合存在之间有没有什么样的关系
[02194.18-02196.18] 这个就是我们所说的同意性
[02196.18-02199.18] 就画出来了可知论和不可知论
[02199.18-02201.18] 就是市府可以被认知
[02201.18-02202.50] 能认知的东西
[02202.50-02204.10] 你的思维一定会存在
[02204.10-02206.26] 所以现实情况不断变化的
[02206.26-02209.98] 那这种体现的都叫做可诺论,那当然注意下
[02209.98-02211.94] 那么来看一道题目
[02211.94-02213.86] 照题说的是啥呢?
[02213.86-02218.10] 他说的是说对于思月和存在和着为低性问题的不同回答
[02218.10-02219.46] 嗯低性问题
[02220.98-02223.90] 话分为物主意和为心主意
[02223.90-02225.98] 对吧?看些有谁?
[02225.98-02229.10] 那这种情况之下话很出来了为物主意和为心主意
[02229.10-02237.74] 我们说了第一性问题的回答,他继续我们所说的跟文标准,也是我们所说的,也是我们所说的唯一标准
[02241.82-02248.18] 所以在这里面都是养的,所以这是我们所说的第二个点就是哲学到底要干什么
[02248.18-02255.30] 那哲学到底要干什么,我们把他整理成一个框架,就是这样一个框架,这里面一共两个点,第一个哲学的基本问题
[02255.30-02259.26] 第二个就是在第一性上它是根本标准
[02259.26-02261.38] 第三一个就是可知论的问题
[02261.38-02264.34] 那我们在华分第一性华分为物主以后
[02264.34-02266.82] 为新主义的时候其实还有另外一个点
[02266.82-02269.38] 就是为物主义和为新主义
[02269.38-02272.94] 它也是随着时代的变化而不断发展的
[02272.94-02276.46] 于是就在这里华分出来的折血的具体派遍
[02276.46-02280.50] 那就是我们从第一性问题当中也认出来的问题
[02280.50-02282.74] 就叫做两大折血派遍
[02282.74-02290.30] 两大哲学派别是在今天的这件客厂当中唯一一个两星级的知识模块
[02290.30-02294.10] 没办法前面咱们说了那些考虑有一星的点,有两星的点
[02294.10-02298.64] 而这个点,而这个模块里面,几乎都是两星级的知识点
[02298.64-02301.94] 同一买注意一下,我们就来看一下两大哲学派别
[02301.94-02306.94] 这个地方考理一些形提目,居多考理一些形提目
[02306.94-02308.54] 不太考察原而的
[02309.34-02311.94] 我们就来看一下,首先我们先来看一下
[02311.94-02314.34] 第1个把就叫做微物主义
[02314.34-02317.26] 微物主义认为先有物质还绣义是
[02317.26-02320.34] 很明显 微物主义认为先有物质
[02320.34-02322.54] 既然是先有物质
[02322.54-02324.66] 对于物质的认知
[02324.66-02327.14] 古代人和现在人认识的能影响吗
[02327.14-02328.06] 只能不一样
[02328.06-02329.70] 他售现于使待的发展
[02329.70-02331.14] 人们对于物质的认知
[02331.14-02332.94] 只得是有不同的认识了
[02332.94-02334.86] 比如说古代人认为什么是物质
[02334.86-02336.02] 他看到什么
[02336.02-02337.42] 他就认为什么是物质
[02337.42-02338.58] 看到什么东西字样了
[02338.58-02339.14] 问物
[02339.14-02340.54] 他就认为什么东西是物质
[02340.54-02342.00] 你只能把你放在海上
[02342.00-02343.38] 花差一个海浪
[02343.88-02344.50] 打过来
[02344.74-02345.88] 看浪打过来之后呢
[02345.88-02346.74] 没有把你带走
[02346.74-02348.48] 反而从海里据上了很多
[02348.48-02349.30] 于沙贝里
[02349.30-02350.64] 你这种手机在海边讲
[02350.64-02352.18] 简简这种于沙贝里
[02352.38-02353.74] 一般简你会遇上什么
[02353.94-02355.08] 就现在最流行的话
[02355.08-02356.54] 来说感谢大赞的亏政
[02356.54-02356.94] 对吧
[02356.94-02358.46] 你就觉得海水带来了
[02358.46-02358.96] 万物
[02358.96-02360.24] 海水这样的万物
[02360.24-02362.18] 你这种手机认为水
[02362.18-02363.68] 是万物的使击
[02363.68-02365.32] 就是因为你看到了水
[02365.32-02366.18] 这样的万物
[02366.18-02367.92] 那你这种观念就属于什么呢
[02367.92-02369.34] 就是有古代吐塑
[02369.34-02370.98] 微微主義咱們來看一下
[02370.98-02372.62] 国家府作为屋主義說的是
[02372.62-02373.98] 說把物質
[02373.98-02375.86] 規定為一種會集中
[02376.86-02377.54] 食物
[02377.54-02380.70] 這裡的食物就是具體可見的物質形態
[02380.70-02381.62] 比如說我剛才說的
[02381.62-02382.54] 你看見水
[02382.54-02384.10] 給你帶來了很多東西
[02384.10-02386.86] 你認為水是生命的起源
[02386.86-02388.34] 你有了火之後
[02388.34-02389.62] 不在位置野獸
[02389.62-02392.14] 你開始出池熟的東西
[02392.14-02393.34] 人類開始反演
[02393.34-02394.34] 你認為火
[02394.34-02396.02] 他是人類的什麼
[02396.02-02397.90] 人類發展的這樣一個基礎
[02397.90-02400.78] 所以你说世界是一团用恒的活火
[02400.78-02403.22] 所以你看像金幕学活土之中东西
[02403.22-02405.94] 它其实都是代表了具体的物质形态
[02405.94-02409.78] 而古代土塑为物主意所认为的这里面的这个物
[02409.78-02412.38] 就是代表的物质的具体形态
[02412.38-02414.98] 所以在这里面叫古代土塑为物主意
[02414.98-02416.34] 那古代土塑为物主意
[02416.34-02418.34] 它本身作为理解形的题目
[02418.34-02419.62] 它有两个考察点
[02419.62-02421.26] 第一个就是考理解形的题目
[02421.26-02425.10] 问你哪一个观点体现了古代土塑为物主意
[02425.10-02426.50] 你说要能够选出来
[02426.50-02430.02] 所以在这里面第一个点就是靠一个观点展示
[02433.10-02434.34] 靠一个观点展示
[02434.50-02437.42] 观点展示当中就会给我们一些观点词
[02437.42-02439.54] 比如说出现哪些观点词的时候
[02439.54-02442.10] 它是古代浮作用主意物形
[02443.38-02444.70] 进幕水果土
[02444.70-02446.86] 比如说水是万物的使击
[02446.86-02449.58] 人类是一团用恒的活火
[02449.58-02451.86] 你看出现了水火水物形
[02451.86-02454.26] 它属于古代浮作为物主意
[02454.26-02457.30] 那第二个提到的做啥呢 提到的就是气
[02457.30-02458.30] 这个气啊
[02458.30-02459.22] 就要做
[02459.42-02461.86] 为了叫做什么呢 叫做
[02462.06-02464.34] 气者 礼之一啊
[02464.34-02465.66] 刚才差点穿台了
[02465.66-02468.10] 叫做气者 礼之一
[02468.10-02470.70] 那这里面的气就是礼的来年来源
[02470.70-02472.62] 礼之上的理念观念 对吧
[02472.62-02473.46] 所以在这里
[02473.46-02475.98] 气是礼的来源 那气就是物质嘛
[02475.98-02477.38] 所以这里出现了气
[02477.38-02479.10] 又或者出现了哪个气呢
[02479.10-02481.02] 你在天安当中看到了这个气
[02481.02-02483.46] 它也属于古代不错 为无主意
[02483.46-02488.46] 又或者出現了行存 形存神存
[02488.46-02490.10] 形式物质外殼
[02490.10-02492.86] 形存物质外殼存在 神存
[02492.86-02494.34] 意识精神存存在
[02494.34-02496.58] 你看这就是很简单的
[02496.58-02498.06] 我们所说的维吾主义观点
[02498.06-02499.58] 所以说 行
[02499.58-02501.90] 又或者出现什么呢 出现了天地
[02503.38-02505.54] 天地和 左万五生
[02505.54-02509.14] 或者出现了银阳 银阳接着变化起
[02509.14-02511.30] 银阳其实在以前有两种说法
[02511.30-02514.70] 一种印象代表的是太阳和月亮
[02514.70-02516.34] 叫医约因一为阳
[02516.34-02520.30] 叫太阳生叫日为阳月为因
[02520.30-02522.26] 太阳生以落
[02522.26-02523.22] 月两一生以落
[02523.22-02525.62] 就代表着人类社会的不断更点
[02525.62-02529.38] 那就认为是他们两个月醒了万物
[02529.38-02531.02] 这里面是阴阳
[02531.02-02533.58] 也有一说是阴阳指的是阴阳27
[02533.58-02535.14] 你又回回到了七身上
[02535.14-02537.98] 但无论从哪个角度看出现了阴阳
[02537.98-02541.06] 他都属于古代普所卫屋主义
[02541.06-02543.04] 这是我们所说的叫做
[02543.04-02543.86] 银阳
[02543.86-02545.16] 这是第一个打主义
[02545.16-02546.18] 出现这些词
[02546.18-02547.70] 选谷普就可以了
[02547.70-02549.50] 第二个就是在这里
[02549.50-02551.30] 我们会忽略了一个小的点
[02551.30-02553.60] 古代普所有主义
[02553.60-02556.06] 本身是一种正确的卫屋主义关
[02556.06-02558.14] 因为它强调物只是低性的
[02558.14-02560.62] 但是就是因为它是在古代
[02560.62-02563.32] 而且受限于年代的这种限制
[02563.32-02564.44] 古代普所有主义
[02564.44-02567.54] 它自身会有一些不足或者缺陷
[02567.54-02570.74] 这个步驻和缺陷也需要同学们去掌握
[02570.74-02572.30] 步驻和缺陷就在于什么呢
[02572.30-02574.02] 比如说你看到了水
[02574.02-02576.06] 你人为水
[02576.06-02577.38] 食物质 对吧
