[00000.00-00002.68] 好的同学们我们讲完了
[01167.62-01169.74] 它本身還是生產關係的什麼
[01169.74-01170.54] 基和
[01170.54-01173.10] 所以本質上經濟基礎和生產關係一樣
[01173.10-01174.54] 好不好蓋 不好蓋
[01174.54-01176.26] 但是經濟基礎決定什麼
[01176.26-01177.62] 決定上層建築
[01179.46-01180.10] 對不對
[01180.10-01182.82] 那既然生產關係不好蓋 那蓋什麼
[01182.82-01184.14] 蓋上層建築
[01184.14-01185.98] 上層建築當中有分成兩個
[01185.98-01187.66] 一個是觀念上層建築
[01187.66-01188.38] 一个是什么
[01188.38-01189.82] 一个是政治上升建筑
[01189.82-01191.02] 我们在前面给大家说了
[01191.02-01195.66] 政治上的建筑就包括国家的政治制度
[01195.66-01197.58] 包括国家的权利机关
[01197.58-01199.02] 你看在这里面
[01199.02-01200.54] 观念上升建筑不好改
[01200.54-01202.54] 因为它是由社会存在所决定的
[01202.54-01204.38] 因为观念上的建筑就是什么
[01204.38-01206.30] 思想意识一生形态的内容
[01206.30-01206.54] 对吧
[01206.54-01207.74] 我们就只能改哪个
[01207.74-01208.30] 改制度
[01208.30-01208.86] 你看
[01208.86-01209.58] 所以
[01209.58-01210.62] 它的本制是什么
[01210.62-01211.42] 到推
[01211.42-01212.14] 当我们说了
[01212.14-01215.10] 玩善和发展中国特色社会主义制度的时候
[01215.10-01217.82] 那这种情况之下就是改革的什么起点
[01217.82-01219.58] 我们要通过制度的晚上
[01219.58-01222.14] 然后推动经济基础的晚上
[01222.14-01224.06] 从而推动生产关系的晚上
[01224.06-01226.14] 既然推动什么生产力的发展
[01226.14-01227.54] 所以改革从来的改
[01227.54-01229.74] 你看改革从制度开始改
[01229.74-01230.66] 所以我之前给大家说了
[01230.66-01232.06] 背那么多有用吗
[01232.06-01232.78] 没有用
[01232.78-01234.82] 你就在这个里面按照我的这个逻辑
[01234.82-01236.26] 把关键刺激度就可以了
[01236.26-01237.62] 所以改革从来的改
[01237.62-01239.82] 大家知道改革从制度开始改
[01239.82-01241.54] 那中国的制度多不多
[01241.54-01242.90] 中国制度劳比一个了
[01242.90-01244.70] 你能够巴了手指都属出来的
[01244.70-01246.74] 基本经济制度咱们就讲了三个
[01246.74-01247.26] 对吧
[01247.26-01249.22] 什么公有制为主体
[01249.22-01251.22] 多种所有之间的共同发展
[01251.22-01252.30] 阿老分配为主
[01252.30-01254.02] 多种分配方式并存
[01254.02-01255.70] 还有社会主义市场经济体制
[01255.70-01257.02] 这是基本经济制度
[01257.02-01259.34] 那我们再讲政治制度的所讲过吧
[01259.34-01260.46] 有根本政治度
[01260.46-01261.50] 有基本政治度
[01261.50-01262.78] 那有没有其他制度呢
[01262.78-01263.34] 有
[01263.34-01264.74] 通过去发言发19节
[01264.74-01266.66] 四轮权会当中就会发现
[01266.66-01268.26] 我们对于中国的制度
[01268.26-01270.34] 有一个非常明确的宽亚输率
[01270.34-01271.34] 有根本制度
[01271.34-01273.00] 有基本之中有重要制度
[01273.00-01275.16] 而美乡内容涵蓋得特别多
[01275.16-01275.94] 那么说了
[01275.94-01277.48] 那这些制度放在一块
[01277.48-01278.74] 你跟人家去谈
[01278.74-01280.18] 什么全面声话改革
[01280.18-01281.32] 我们改革了目标的时候
[01281.32-01283.50] 你不可能反美一个制度都给它博烈出来
[01283.50-01286.26] 所以在接下来我们就提到了一个新的概念叫什么
[01286.82-01289.14] 叫做国家制理体系
[01289.14-01290.54] 什么叫国家制理体系
[01290.54-01291.94] 我们前面给大家说过
[01291.94-01296.82] 叫做党领导下的制国理政多制度体系
[01296.82-01298.98] 所以我们才说了制度会形成什么
[01298.98-01299.70] 体系
[01299.70-01303.10] 所以在这里面 逻辑关系说就有了
[01303.10-01305.08] 所以制度形成体系
[01305.08-01308.82] 我们无论是完全中国的社会主义制度
[01308.82-01311.66] 还是形成中国的制理体系
[01311.66-01313.22] 它的本制是要什么呢
[01313.22-01315.32] 在社会的宋权会当中说到
[01315.32-01318.58] 说它的本制其实在这里面提到的就是一个点
[01318.58-01321.82] 就是要把制度优势转化成制理效能
[01321.82-01323.26] 因为你天天说
[01323.26-01324.54] 如果社会主义制度
[01324.54-01325.54] 老好了对吧
[01325.54-01327.54] 中国特社会主义制度没贼了
[01327.54-01328.58] 慢慢的港港好
[01328.58-01330.22] 你跟人家说中国之度好
[01330.22-01331.74] 但是你体现不出来
[01331.74-01333.10] 你的制度的优越性
[01333.10-01334.22] 怎么能提前出来
[01334.22-01336.70] 你要给它运用到社会治理当中
[01336.70-01337.62] 到底好不好
[01337.62-01339.14] 你要看有没有效果
[01339.14-01340.38] 这是咱们经常说的
[01340.38-01341.46] 不看广告
[01341.46-01342.46] 看了要是要吗
[01342.46-01342.78] 对吧
[01342.78-01344.46] 所以在这里面我就会发现
[01344.46-01346.18] 那制度到底好不好
[01346.18-01349.02] 能不能反正制度优势转化成治理效能
[01349.02-01351.82] 就看你运用制度治理国家的时候
[01351.82-01352.94] 你的能力够不够
[01352.94-01353.58] 所以你看
[01353.58-01355.90] 叫推进国家治理体系和治理
[01355.90-01357.26] 能力先的话
[01357.26-01358.80] 所以在这里面是不是就有了
[01358.80-01360.98] 我们就知道不用按照它的原文去备
[01360.98-01362.90] 你只要能够回推回来就行了
[01362.90-01365.90] 我们在这里提到叫改革通常改
[01366.98-01368.54] 说了改革从制度开始改
[01368.54-01369.74] 制度规总成为什么
[01369.74-01370.54] 给它提个名儿
[01370.54-01373.46] 把制度放在一块叫制度形成体系
[01373.46-01375.34] 体系用起来形成什么
[01375.34-01377.58] 体系用起来形成能力
[01377.58-01378.86] 就是制定能力
[01378.86-01380.62] 所以在这里面我们就了
[01381.14-01384.58] 这个点就是全面生化改革的总目标
[01384.58-01385.46] 所以在这里面
[01385.46-01387.46] 大家要明確這是第二個
[01387.46-01388.94] 那麼說了改革改革
[01388.94-01390.64] 它必然要破就力心
[01390.64-01393.64] 那你破就力心你就會觸及一些利益
[01393.64-01395.52] 那我們如何把改革維持好
[01395.52-01397.18] 所以我們在全面說改革當作
[01397.18-01399.42] 在以前的冷靜的那種經常味道說
[01399.42-01402.98] 我們要處理好全面生化改革當中的各度關係
[01402.98-01404.02] 那這些關係當中
[01404.02-01406.66] 最終要的就是處理好改革
[01407.86-01409.30] 還有發展
[01409.30-01412.02] 以及穩定之間的關係
[01415.46-01418.46] 是他们之间有什么关系呢
[01418.46-01420.46] 还善着咱们刚才的那个
[01420.46-01422.46] 逻辑框架来看一下
[01422.46-01424.46] 在这个时候我们在这里来看一下
[01424.46-01427.46] 我们本身上是要实现这个国家的发展的
[01427.46-01428.46] 对不对
[01428.46-01430.46] 因为我们无论从历代领导人的这个
[01430.46-01433.46] 它的一个政策言论当中都能看到生产
[01433.46-01435.46] 发展生产力是受主意的什么
[01435.46-01436.46] 根本人物
[01436.46-01438.46] 所以在这里我们的本制是要实现发展的
[01438.46-01441.46] 那推动发展可以一靠什么来推动呢
[01441.46-01443.46] 可以靠改革来推动
[01443.46-01448.58] 那你看我们说了改革的力度越大发展的就会怎么样越快
[01448.58-01450.78] 那同时我们也能够看到
[01450.78-01452.54] 如果改革的力度小一点
[01452.54-01454.78] 这个时候它发展的相对来说就会怎么样
[01454.78-01456.06] 就会慢一些
[01456.06-01457.54] 所以从这个角度来看
[01457.54-01458.82] 同你们来分析一下
[01458.82-01461.38] 你觉得改革快一点好还是慢一点好呢
[01462.66-01463.42] 有没有说快
[01463.42-01463.74] 对吧
[01463.74-01464.66] 你穿上它改
[01464.66-01466.26] 赶完周上台里看还提升
[01466.26-01468.86] 说不得早就能够不如到共产主义
[01468.86-01469.22] 对吧
[01469.22-01470.82] 是不是还说不定还能用社会主义
[01470.82-01472.26] 整就一下美国之类的
[01472.26-01473.66] 但是问题就在于
[01473.66-01475.46] 我们在这里不能忽视一个问题
[01475.46-01477.06] 就是改革它的利度
[01477.06-01479.76] 一定会关系到收贵的什么稳定的
[01480.96-01482.76] 你看改革利度越大
[01482.76-01484.26] 那你的收贵稳定性相当来说
[01484.26-01485.16] 就会越差
[01485.16-01486.16] 改革利度越小
[01486.16-01488.16] 那你的收贵稳定性相当来说就是怎么样
[01488.16-01488.96] 越好
[01488.96-01490.26] 那你看这个时候
[01490.26-01491.66] 你一方面想要
[01491.66-01494.06] 你看我们把这个图子给他标出来
[01494.06-01496.26] 你在这里一方面想要发展快
[01496.26-01498.06] 另外一方面还要怎么样
[01498.06-01499.16] 收贵发展稳定
[01499.16-01500.86] 这个时候就很难平后
[01500.86-01504.34] 如果改革力度大,发展必然快,但是稳定性教察
[01504.34-01506.90] 这有数到的是要稳定,还是要发展呢?
[01506.90-01508.90] 我们说了,这有时候如何去衡量?
[01508.90-01513.42] 在这里面,就会给到一个点,就处理好改革发展和稳定之间的关系
[01513.42-01515.70] 他们之间的关系我们怎么去处理呢?
[01515.70-01517.70] 有很多人就开说了
[01517.70-01521.82] 我们看指标,只要经济发展好了,那就行,有点说那不行
[01521.82-01524.42] 那你光看指标,你看不出社会稳定性
[01524.42-01528.18] 他们来看一下,其实我们国家的底层博具在于什么的?
[01528.18-01532.14] 你想一下,我们国家搞了这么多政策,咱们前面快快讲了那么多
[01532.14-01534.32] 就是你这个国家的政策好不好
[01534.58-01537.14] 这个社会的经济发展到底会发展起来
[01537.14-01539.18] 你不是看指标,而是要看谁
[01539.44-01540.72] 而是要看人
[01540.72-01542.78] 对不对,你看我们前面给了那么多
[01542.78-01545.58] 说这个国家发展的核心在于人
[01545.84-01549.94] 以人为中心,对吧,或者以人面为中心,我们提到了
[01549.94-01553.78] 人民是出发点是落交电,这个国家一切政策
[01553.78-01557.62] 本身上都要回落到谁的身上,都要回落到人民的身上
[01557.62-01559.62] 所以你判斷政策好不好
[01559.62-01562.30] 他到底有沒有發展社會到底穩定
[01562.30-01563.98] 就看誰就看人
[01563.98-01566.78] 所以處理好改革發展和穩定之間的關係
[01566.78-01567.86] 你說發展快
[01567.86-01570.34] 那你要看老百姓認為他發展快快快
[01570.34-01571.58] 你說社會不穩定
[01571.58-01574.18] 你要看老百姓在這個過程當中過得穩不穩
[01574.18-01576.62] 所以處理好改革發展和穩定之間的關係
[01576.62-01579.06] 如何去平衡他們找到一個結合點
[01580.90-01581.98] 結合點是什麼呢
[01581.98-01584.98] 就是改善人民生活
[01587.62-01592.86] 把改善人民生活作为结合点来处理好改革发展和门定之间的关系
[01592.86-01595.22] 这个点我在这里这所要给大家拿出来
[01595.22-01596.90] 是因为在有的考试当中
[01596.90-01598.62] 它会考察结合点
[01598.62-01604.02] 在原本的原本当中是改善人民生活作为处理三者发展的结合点
[01604.02-01607.78] 但是有的考试当中不给到改善人民生活作为结合点
[01607.78-01609.10] 有的考试当中说什么
[01609.10-01614.14] 把最广大人民的根本利益作为三者出发的结合点对不对
[01614.14-01615.94] 大主意也是对的
[01615.94-01618.22] 你说老师为啥原来不是说改善的生活呢
[01618.22-01622.10] 我说了结合点的本质在于人民
[01622.10-01624.14] 而不在于他的怎么表述
[01624.14-01625.74] 就是你发展好不好
[01625.74-01628.42] 文文定 你看谁看人民
[01628.42-01630.18] 知道体在什么时候考察过呢
[01630.18-01632.42] 我觉得在有一年山东考试的时候考察过
[01632.42-01635.78] 说处理好改革发展和稳定之间的关系的结合点事
[01635.78-01636.62] A选项
[01636.62-01639.98] 把实现最广大人民的根本利益对于结合点
[01639.98-01646.12] 并选项说把什么改革的力度发展的程度和社会的稳定邪核程度
[01646.12-01646.90] 放在一块
[01646.90-01649.96] 并选项是原本的文件当中的原本
[01649.96-01653.28] 但是他说了改革的力度发展的程度和社会的稳定度
[01653.28-01654.82] 三者有机结合起来
[01654.82-01656.36] 虽然是原本
[01656.36-01658.16] 但是他会有结合电话关系吗
[01658.16-01659.94] 没有关系我说了结核点
[01659.94-01662.00] 处理好这三者机电话关系再谁去
[01662.00-01662.76] 在
[01662.76-01663.28] 人
[01663.28-01664.82] 所以这套停开选的是
[01664.82-01665.58] 选项
[01665.58-01667.12] 很多同学就是看他去背
[01667.12-01668.66] 我说了背固然很重要
[01668.66-01670.14] 在我們的傳統印象當中
[01670.14-01671.74] 這是中科這一類的東西
[01671.74-01672.46] 就是要被了
[01672.46-01673.82] 我們反而服務給大家強調
[01673.82-01675.14] 就是記憶是基礎
[01675.14-01678.50] 但是被送的前提是理解
[01678.50-01680.14] 尤其是像中科這些東西
[01680.14-01681.50] 你很多東西理解了
[01681.50-01682.98] 出現一些實證人間
[01682.98-01684.98] 你哪怕不知道他說的是什麼
[01684.98-01686.34] 你都能夠給他推出來
[01686.34-01688.78] 因為在整個國家的政策當中
[01688.78-01691.14] 你把握著基本框架和底層邏輯
[01691.14-01692.18] 很多內容
[01692.18-01693.98] 你自己就能夠獨動
[01693.98-01695.54] 所以在這裡面大家注意一下
[01695.54-01697.98] 所以要把改善人民生活
[01697.98-01699.86] 左作为三者发展的什么结合电
[01699.86-01702.42] 但是结合点就记得落在谁的身上
[01702.42-01704.34] 人民身上他不一定会考员文章
[01704.34-01706.30] 但是注意一下这是第三个点
[01706.30-01709.94] 那第4个点就是在这里会考改革发展和稳定之间的关系
[01709.94-01713.58] 叫改革是动力发展式目的
[01713.58-01719.50] 现在叫做关键 稳定式前提叫做改革式动力
[01719.50-01722.42] 发展式目的以前叫做目的
[01722.42-01726.54] 现在叫做基础和关键
[01726.54-01729.82] 因为我们现任的国家领导说发表是解决
[01729.82-01731.42] 一切问题的基础和关键
[01731.42-01732.18] 问题的是什么
[01732.42-01733.70] 问题的是呀 前提
[01733.70-01734.46] 社会发展的问题
[01734.46-01736.02] 必须有一个施量的前提
[01736.26-01737.94] 所以在全面生化改革当中
[01737.94-01738.78] 大家要知道
[01738.78-01740.14] 全面生化改革理念
[01740.14-01742.30] 我们要从这三个位度去掌握它
[01742.46-01743.70] 所以这是我们所说的
[01743.70-01746.86] 全面生化改革发展的动力
[01746.86-01748.18] 现在它国家建设的动力
[01748.30-01749.90] 那说了光有动力还不行
[01749.90-01750.70] 有稳定
[01750.70-01753.30] 那稳定当中的一个非常重要的一个点
[01753.30-01754.18] 就是来说一说
[01754.38-01754.98] 来说一说
[01754.98-01758.78] 所以來看一下我們第三個就全面依法之國
[01758.78-01762.02] 那全面依法之國當中首先第一個點我們要知道
[01762.02-01765.14] 同一標準一下他的提出是在哪一次會議當中
[01765.14-01767.46] 18接四中全會
[01767.46-01770.26] 高材的改革是在18接三中全會
[01770.26-01771.86] 考察一個張文理戴武說了
[01771.86-01774.34] 紅人一考察一個會議和內容的對應
[01774.34-01775.74] 大家注意一下這第一個
[01775.74-01777.78] 那第二個就是我們要知道
[01777.78-01780.78] 法治能夠為國家的發展提供一系列的動力
[01780.78-01783.98] 在這裡我們全面依法之國的總目標是什麼
[01783.98-01795.98] 同位来标助一下,全美一法制国的总标,我们在前面给大家去讲过,说全美一法制国的总标是建设中国特色社主义,话第一个字,法制体系。
[01796.98-01812.98] 第二个是建设什么,法制国家,也认识我们现在搞的是什么,搞的是法制,而并非人质,那你要搞法制,我们最基础的就是要干嘛,就是要在各方面都有法可以,比如说在经济领域,有法可以,
[01812.98-01815.14] 或者文化社會生態方面都有法可譯
[01815.14-01818.22] 你對內日這樣的設外法律也要有法可譯
[01818.22-01820.82] 也就是說在方方面面都要形成什麼
[01820.82-01822.34] 都要形成法律
[01822.34-01824.82] 我們把所有的法律的集合放在一塊就要什麼
[01824.82-01826.22] 就要做法治體系
[01826.22-01828.46] 所以想要全面一法治國第一個
[01828.46-01830.18] 有法可譯各方面都有
[01830.18-01831.58] 就是先有法治體系
[01831.58-01834.26] 第二個就是在利用法治體系來怎麼樣
[01834.26-01836.50] 建設法治國家
[01836.50-01836.82] 對吧
[01836.82-01838.22] 所以在這裡面就好了
[01838.22-01839.34] 我們所提到的
[01840.34-01842.66] 全面一法治國的總目標
[01842.66-01845.70] 那同们来看一下在这个全面一法之国的总标当中
[01845.70-01847.50] 哪一个相对来说是更重要的
[01847.50-01849.78] 这或者在大前提产生上
[01849.78-01850.74] 它应该先有
[01850.74-01853.22] 是先有法治体系还是先有法治国家呢
[01853.70-01855.70] 很明显它在这里会先有什么
[01855.70-01857.86] 它会先有一个法治体系
[01857.86-01859.82] 所以在这里面就出现了第三个点
[01859.82-01861.62] 就是在全面一法之国当中
[01861.62-01863.30] 它的总抓手是什么
[01865.90-01866.74] 那不用说了
[01866.74-01869.90] 就是必须要建设中国特色收主业
[01869.90-01871.02] 法治体系
[01872.66-01875.66] 你都没有法律和谈依法之国
[01875.66-01877.38] 所以在这里面我们提到了
[01877.38-01879.38] 它的总抓手就在远法这体系
[01879.38-01880.60] 所以在这里
[01880.60-01882.74] 第三个叫全面依法之国
[01882.74-01884.14] 一共三个维度
[01884.14-01885.98] 这三个维度的内容对我们来说
[01885.98-01888.58] 相对来说比较简单
[01888.58-01890.46] 相对一刚才的全面生化改革来说
[01890.46-01891.94] 这个内容就比较简单了
[01891.94-01894.18] 在这就会大过度最树了
[01894.18-01895.18] 因为全面依法之国
[01895.18-01896.26] 咱们前面讲过了
[01896.26-01897.74] 所以它是三个点
[01897.74-01899.02] 这是第三个
[01899.02-01899.94] 那么说了
[01899.94-01901.64] 现在化国家的发展
[01901.64-01903.24] 他要改革提供动力
[01903.24-01905.42] 让法制来维持它的稳定
[01905.42-01906.60] 但是我们也说了
[01906.60-01908.70] 无论国家发展到何处
[01908.70-01910.70] 作为这个国家引领方向的
[01910.70-01911.98] 一定来自于谁
[01911.98-01913.76] 这个国家未来的发展方向
[01913.76-01916.02] 一定掌握在中国共产党的手里
[01916.02-01917.46] 我们在前面也拿一发了
[01917.46-01918.90] 一系列的偏服去讲说
[01918.90-01919.94] 为什么打
[01919.94-01921.44] 是最本之的特征
[01921.44-01922.70] 是制作的最大优势
[01922.70-01924.04] 他为什么能够成为
[01924.04-01925.86] 政治层面的领导
[01925.86-01926.94] 这是因为他决定了
[01926.94-01928.74] 这个国家的发展方向
[01928.74-01929.90] 无论是在1920
[01929.90-01931.30] 中国共产党成立
[01931.30-01933.90] 还是在1922年我们提出民主革命高利亚
[01933.90-01936.26] 一直到1956年三个改造完成
[01936.26-01939.10] 我们去建设收入主义1978年改了开放
[01939.10-01940.90] 到三个代表到科学发展官
[01940.90-01943.70] 以及现在的人类民共同体一代一路
[01943.70-01947.10] 我们所看到的很多在我们现在回头去展望
[01947.10-01950.50] 我们觉得这个政策没费了 对不对
[01950.50-01952.90] 一听这个政策早在多少年人都想出来了
[01952.90-01955.50] 这都是谁做出来的
[01955.50-01957.10] 是党中央做出来了
[01957.10-01958.70] 所以这个国家未来发展的方向
[01958.70-01960.18] 就是要靠使来医量
[01960.18-01962.18] 就要靠中国共产党来医名
[01962.18-01965.18] 所以国家的未来是掌握在党的手里的
[01965.18-01968.30] 这个时候就对中国共产党自身的要求
[01968.30-01970.38] 就一定要非常非常远格
[01970.38-01973.06] 只有一个先进的纯解的
[01973.06-01976.26] 又有执政能力的政党才能引力到这个国家
[01976.26-01979.06] 不断地去批净展击成分破了
[01979.06-01981.34] 从而实现我们心目当中
[01981.34-01982.70] 国家层面上的
[01982.70-01986.06] 我们所提到的现代化国家接受一声化民族的为大复行
[01986.06-01987.02] 那换句话来说呢
[01987.02-01989.74] 你这个火车跑得快 全靠车头带
[01989.74-01992.30] 你车头不行 这一系列都白费
[01992.30-01993.38] 所以我们就来看一看
[01993.38-01994.98] 针对于车头
[01994.98-01997.02] 咱们应该怎么去建设它
[01997.02-01998.74] 针对怎么去 没互它
[01998.74-02001.54] 于是在国家发展的这样子层面上就提到了什么
[02001.54-02003.14] 全面从延制的
[02003.14-02004.78] 在这个全面传执党中
[02004.78-02006.94] 我们先来看一下第一个点
[02007.38-02009.54] 这个点就是在这里我们要明确
[02009.54-02011.18] 全面从延制党
[02011.18-02013.66] 它的一个提出的背景
[02013.66-02015.10] 全面传执党提出的背景
[02015.10-02018.18] 是因为党面里斯拉考验和斯拉威胁
[02018.18-02021.32] 所以在这里消耽记得就是这斯拉考验
[02022.52-02025.76] 以及我们所说的斯拉威胁分别是什么
[02027.00-02030.00] 考试的时候在这就是考的比较直接
[02030.00-02031.06] 就是挖控考
[02031.06-02033.02] 或者在这里面考察它的一些细节
[02033.02-02036.74] 比如说斯拉威胁当中最大的威胁是什么
[02036.74-02038.24] 最大的威胁是什么
[02038.24-02039.92] 所以在这里面大家知道
[02039.92-02042.08] 首先在这里面我们先来看一下
[02042.08-02044.00] 我们所说的斯拉考验
[02044.00-02047.64] 這4個考驗分別是第一個叫做直徵的考驗
[02047.64-02049.24] 中國共產黨作為直徵黨
[02049.24-02050.44] 你手裡是我有什麼
[02050.44-02051.52] 相當的權利的
[02051.52-02053.00] 你在直徵的過程當中
[02053.00-02055.36] 你到底是相著人民
[02055.36-02057.20] 是大多數還是少數
[02057.20-02058.84] 這時候是對於我們所說的
[02058.84-02060.40] 掌權者直徵者
[02060.40-02061.64] 他的一個要求
[02061.64-02062.72] 所以在這裡面我說了
[02062.72-02063.96] 第一個叫做什麼考驗
[02063.96-02066.04] 叫做直徵考驗
[02066.04-02067.16] 叫直徵考驗
[02068.08-02069.08] 第二個就是
[02069.08-02070.44] 蓋格開放的考驗
[02070.44-02071.56] 改革開放的考驗
[02071.56-02072.32] 考驗在呢
[02072.32-02073.80] 這是方向性格考驗
[02074.00-02076.40] 首先第一個就是要不要改
[02076.40-02077.80] 改你要改到哪裡去
[02077.80-02079.40] 當年到平同志提出了說
[02079.40-02080.60] 黨叫大鋪子要問
[02080.60-02082.36] 這時候不則不能為了太大
[02082.36-02084.24] 所以在這裡的改革
[02084.24-02085.64] 對吧你怎麼去改
[02085.64-02086.92] 言著什麼方向改
[02086.92-02089.08] 這個就叫做改革開放的考驗
[02089.08-02090.12] 那我說了改革
[02090.12-02091.36] 他必然會帶來什麼
[02091.36-02094.88] 改革他必然會帶來一系列的市場精神
[02094.88-02096.72] 市場經濟的引進
[02096.72-02098.32] 對中國共產黨的指責
[02098.32-02100.36] 他會會產生一點的考驗
[02100.36-02100.96] 也會
[02100.96-02103.40] 如果老師有關於市場經濟的引進
[02103.40-02105.76] 他对于中国共产党的考验在哪里
[02105.76-02107.72] 大家都知道我党是讲的什么
[02107.72-02109.00] 我党是讲奉线的
[02109.00-02110.44] 大家去看看党章
[02110.44-02112.56] 我相信听课的在做了很多的小伙企势
[02112.56-02114.24] 手里都有一个党章的
[02114.24-02116.08] 对了或者你宣示的说
[02116.08-02117.08] 你平时独特说
[02117.08-02118.68] 你去进行党间学习的什么
[02118.68-02119.92] 党章都必须要用
[02119.92-02121.48] 在党章当中他有一句话
[02121.48-02122.60] 就是我们所说的什么
[02122.60-02123.72] 奉线和犀生的
[02123.72-02124.36] 就那种
[02124.36-02125.88] 就是为了国家和人民
[02125.88-02127.72] 可以犀生一切就类似于这种话
[02127.72-02129.20] 这是在任何一个正常史上
[02129.20-02130.32] 都没有提到的这种话
[02130.32-02132.28] 所以中国共产党讲的是什么呢
[02133.40-02135.92] 無私不求回報 對吧
[02135.92-02138.36] 但是在本質上市場間際強調什麼
[02138.36-02140.80] 上經濟強調的是等假交換
[02140.80-02142.36] 那這種價值觀念的
[02142.36-02145.28] 重新之下對於中國共產黨的指照就會產生影響
[02145.28-02146.84] 有很多我們所說的這種
[02146.84-02148.52] 信念不堅定的這種黨員
[02148.52-02149.96] 可能是就會出現了什麼
[02149.96-02150.92] 路走片的情況
[02150.92-02153.72] 大家看到人民的名義那個電視劇班
[02154.72-02157.52] 人民的名義就是最開始的那個照處長
[02157.52-02159.00] 我對他影響特殊的聲課
[02159.00-02160.48] 對吧我是濃密的兒子
[02160.48-02161.64] 阿呀就是怎麼樣的
[02161.64-02162.92] 每天吃康驗菜
[02162.92-02163.84] 那结果呢
[02163.84-02165.88] 那个钱对了到处都什么
[02165.88-02167.28] 冰箱里拿大都是
[02167.28-02168.36] 那这里就是什么
[02168.36-02171.04] 就是它没有经受住这种市场经济
[02171.04-02173.64] 这种价值观念从级所带来的这种考验
[02173.64-02175.64] 所以这种叫市场经济的考验
[02175.64-02177.72] 最后一个呢就是外部环境的考验
[02177.72-02179.68] 这外部环境的考验来做什么
[02179.68-02182.00] 来做于外部的这种滲透
[02182.00-02183.96] 你看像这种外部的滲透我们经常说了
[02183.96-02184.76] 于论战
[02184.76-02188.00] 大家经常能够在我现在也在微博评论区下
[02188.00-02189.16] 总能够看到
[02189.16-02190.36] 就是那种
[02190.36-02191.52] 我们所说的那种
[02191.52-02196.76] 美國雷蘇一這種我對這種人其實相對來說內心的這種憤怒
[02196.76-02197.84] 是比較大的
[02197.84-02200.60] 所以但是由於我們在講課不能罵還不太難聽
[02200.60-02203.04] 你看在這裡面我們說了這個外部團體考驗
[02203.04-02205.88] 他會經常會說中國這不好
[02205.88-02208.24] 中國那不好美國這好美國那好
[02208.24-02210.20] 但他沒有怎麼樣真正走去看
[02210.20-02212.00] 他就是在著嘛 輿論戰上
[02212.00-02214.16] 那你看像這種輿論上經常會怎麼樣
[02214.16-02217.76] 經常會對我們這種普通人會產生一定的影響
[02217.76-02219.56] 那對中國共產黨也會產生一下
[02219.56-02222.64] 並不是所有的人都有非常堅定的這種心念
[02222.64-02223.92] 很多人他就會出現什麼
[02223.92-02224.32] 動搖
[02224.32-02226.48] 那你看這事我們所說的輿論上
[02226.48-02228.20] 能外部環境又滲透呢
[02228.20-02230.92] 我們所說的外部環境一定會滲透的
[02230.92-02232.48] 大家一定要餅長一個點
[02232.48-02234.00] 這是中國的發展
[02234.00-02236.20] 這是中國人自己的事情
[02236.20-02238.20] 你外國人沒有方面
[02238.20-02240.16] 你沒有任何的理由
[02240.16-02242.36] 或者是你沒有任何的權力去指責
[02242.36-02243.84] 就好像是你家裡打仗
[02243.84-02244.92] 對吧你和你老公打仗
[02244.92-02245.84] 你跟老婆吵架
[02245.84-02247.00] 你和你男頭吵架
[02247.00-02248.04] 你的爸爸媽吵架
[02248.04-02250.00] 你关起门的永远都是自己的事
[02250.00-02252.96] 外人是没有权力对你进行指责的
[02252.96-02254.84] 美国听见怪以正义
[02254.84-02256.80] 然后向中国去输出一些东西
[02256.80-02258.28] 他对于我们来说
[02258.28-02259.92] 他有一大部分的内容
[02259.92-02261.64] 他都是图杜我们思想的
[02261.64-02263.40] 这个其实也是中国共产党
[02263.40-02265.12] 在去制党过程当中
[02265.12-02266.68] 要面临的现实的问题
[02266.68-02269.00] 所以你看他的考验和压力
[02269.00-02270.24] 来自于方方面面
[02270.24-02272.48] 所以我们把他称着为叫做四大考验
[02272.48-02273.52] 这三款人怎么进呢
[02273.52-02274.48] 叫正改失败
[02274.48-02274.88] 好吧
[02275.88-02277.24] 叫正改案
[02277.24-02278.84] 是外
[02278.84-02282.64] 直升考驗改革开放考驗市场经济考驗
[02282.64-02284.84] 以及外部环境考驗叫正感失败
[02284.84-02286.00] 这叫斯大考驗
[02286.00-02288.64] 考驗只要这个正党他是直升党
[02288.64-02290.64] 他就一直会面臨这样的考驗
[02290.64-02292.16] 所以看他说这个考驗是什么
[02292.16-02294.88] 是长期的是复杂的
[02294.88-02297.56] 一个国家的治理院比我们想象要难很多
[02297.56-02300.04] 大家如果说以后各位都做了局长
[02300.04-02302.04] 你要如何管理好这个机关单位
[02302.04-02303.16] 你管的人越多
[02303.16-02304.04] 责任越大
[02304.04-02305.04] 事情就越复杂
[02305.04-02306.84] 你就面臨的考驗就越多
[02306.84-02309.52] 所以在这里面它就叫做斯大考验
[02309.52-02312.12] 那还有呢就是在这斯大考验之下
[02312.12-02313.96] 还会面臨的叫做斯大威胁
[02313.96-02316.52] 斯大威胁第一个就是精神戏带的威胁
[02316.52-02318.92] 这个在现在的这个导源去提浪中
[02318.92-02320.80] 也有一部分是可见的
[02320.80-02321.92] 我们能够看到
