[00000.00-00001.80] 今天来聊聊
[01206.80-01208.36] 所以大家一定要注意一下
[01208.36-01211.16] 只在这里有关烟匀石油洲当中的三个点
[01211.16-01211.96] 大家要知道
[01211.96-01212.96] 于是
[01212.96-01216.40] 我们所说的有关于其他的一个发展
[01216.40-01219.80] 他在一律德官的時期就得到了1060
[01219.80-01223.12] 換句話說他的地牌開始變了越來越大
[01223.12-01225.44] 而地牌變了越來越大之後
[01225.44-01226.76] 就會遇到一個問題
[01226.76-01229.20] 就是送和聊過這件
[01229.20-01231.52] 他一定會出現一定的分證
[01231.52-01233.04] 因為他們兩個是接讓的
[01233.04-01235.92] 中間就會一定會出現相的矛盾
[01235.92-01239.12] 當時送太宗也是照框印的弟弟
[01239.12-01240.72] 送太宗同於中原之後
[01240.72-01242.16] 他其實就想把我們所說的
[01242.16-01243.52] 煙於16周末回來
[01243.52-01245.20] 於是他就像聊進攻
[01245.20-01248.76] 他当时他带了10万我们所说的送军
[01248.76-01252.80] 在烟匀16周边和聊国开始打
[01252.80-01254.92] 当时聊国有一个大将就什么呢
[01254.92-01256.68] 聊个大将就叫做烟匀修哥
[01256.68-01259.16] 这个烟匀修哥当时带了多少人呢
[01259.16-01259.92] 9000人
[01259.92-01263.00] 9000人把10万送军几乎打的全军父母
[01263.00-01267.00] 而且送太中在这场战亿当中还被建设上了
[01267.00-01269.56] 所以当时这个聊国
[01269.56-01272.20] 就一直是北送的一个新傅大会
[01272.20-01274.32] 而当时我们所说的这个
[01275.24-01277.84] 耶劉也得光后面的时候
[01277.84-01280.00] 就是送太宗去个月的去过去打
[01280.00-01280.92] 打完了之后呢
[01280.92-01281.72] 他不是受伤了
[01281.72-01283.24] 我们收上之后回去养精兮瑞
[01283.24-01285.00] 四年后原来都黄进死了
[01285.00-01286.00] 小黄进上位
[01286.00-01287.12] 小黄进上位之后呢
[01287.12-01289.28] 送太宗看到这属于是机会来了
[01289.28-01290.20] 所以他又一次呢
[01290.20-01291.76] 开始轻轻轻被换
[01291.76-01292.96] 这一次轻轻被换呢
[01292.96-01294.76] 他其实是带了很多的
[01294.76-01296.80] 我们所说的我们所处序的人物的
[01296.80-01298.36] 就是四年后的被争呢
[01298.36-01299.96] 他是一攀美和养叶
[01299.96-01301.92] 作为正帅和复帅
[01301.92-01305.20] 来进行相当的我们所说的对于了国的有争法
[01305.20-01306.26] 而这里面的养业
[01306.26-01310.24] 大家注意一下就是我们看第二句当中所熟悉的杨老林宫
[01310.24-01312.36] 就是杨家酱当中的这样的一个内容
[01312.36-01315.60] 但是没有用了4年后的这个北中最后还是野
[01315.60-01316.56] 失败搞中
[01316.56-01320.56] 而这个我们所说的这个了国送太中的新图病
[01320.56-01322.76] 而送太中在他晚年时候呢
[01322.76-01324.56] 他还有说是街上复发的
[01324.56-01326.56] 又说是因为心命反正最后呢
[01326.56-01328.64] 就是我们所说的最后去世了
[01328.64-01329.86] 太东确实之后呢
[01329.86-01332.14] 他的儿子也说送真总
[01332.14-01334.34] 继承了我们所说的相当的皇位
[01334.34-01337.14] 送真用继承皇位之后呢一样的
[01337.14-01339.34] 这个问题也并没有解决
[01339.34-01340.84] 孙仍当皇帝的时候呢
[01340.84-01343.94] 当时留过的小太后和当时的送送皇帝
[01343.94-01346.54] 就开始率大军难下
[01346.54-01348.14] 想要攻打北送
[01348.14-01350.14] 来世兄兄当时特别的下人
[01350.14-01351.54] 而北送这边呢
[01351.54-01353.54] 当时有一个成像
[01353.54-01354.74] 叫做扣准
[01354.74-01355.84] 扣准干嘛呢
[01355.84-01358.54] 扣准就逼送真总北上
[01358.54-01362.74] 要和让他预加轻转让他去和我们所说的了国去对制
[01362.94-01365.14] 所以当时就出现了这样的一个情况
[01365.14-01367.94] 当时的情况就是在这儿我们来看一下这个图
[01369.74-01373.82] 当时的情况就是我们所说的这个消胎后
[01373.82-01378.94] 消胎后呢他领着他的人一路难下开始要攻打我们所说的就北送
[01378.94-01383.46] 而当时的北送的这个扣主就逼黄对说你要北上
[01383.46-01385.94] 北上呢你要去跟他硬碰要
[01385.94-01387.22] 你不能说在这种情况之下
[01387.22-01388.90] 你老老实实在说人家来了
[01388.90-01389.78] 我们就给人陪钱
[01389.78-01390.90] 那这太丢人了
[01390.90-01393.38] 所以两方是理一个男下一个北上
[01393.38-01394.58] 最后就相遇在哪呢
[01394.58-01396.82] 就相遇到了我们所说的这个产洲
[01396.82-01398.26] 就相遇在这个产洲
[01398.26-01400.26] 产洲当时是分成两个
[01400.26-01401.70] 一个是有北城
[01403.38-01404.90] 一个是南城
[01405.06-01406.82] 当时哪里会跟安全一点呢
[01406.82-01410.58] 当时是我们所说的这个州的南城跟安全鲜
[01410.58-01411.70] 说能不能看到呢
[01411.70-01413.70] 我们所说的这个产洲的对岸
[01413.70-01417.54] 可以说是刘军体体难下延成滚滚下头下子了
[01417.54-01420.18] 他当时就不想去北城小留在南城
[01420.18-01421.86] 但扣者就劝他去北城
[01421.86-01423.58] 皇上说说你让我去北城干啥呢
[01423.58-01426.78] 所以北城的居民能看到我确实是给他们顾护失去了
[01426.78-01428.62] 但是我去到了北城之后
[01428.62-01429.86] 刘国人也能看见我
[01429.86-01433.18] 那他要是找一个我们所说的放键的这样一个巨织手
[01433.18-01435.14] 一下子把我射死了这下不都玩完了
[01435.14-01436.26] 扣者就厚谎行上
[01436.26-01437.02] 他们说你看
[01437.02-01439.66] 没事我们帮你把这个虧甲头虧
[01439.66-01441.22] 然后给你国的烟烟失失的
[01441.22-01443.42] 然后你又去那个城墙上晃一圈
[01443.42-01445.34] 主要是干嘛提震事情
[01445.34-01447.70] 然后好吗也把这个皇上说服了
[01447.70-01449.58] 皇上里三成卖三成果着
[01449.58-01451.74] 就去了我们所说的当时的这个北城
[01451.74-01452.62] 去了之后
[01452.62-01454.92] 创的跟鞏蝦一樣在城鄉串了一圈
[01454.92-01458.52] 當時的北松的叫什麼一抗的天的皇上都親自來了
[01458.52-01461.72] 可以說是氣煙大漲就連呼萬歲
[01461.72-01463.62] 皇上學是完畢之後下了不行了
[01463.62-01466.62] 就把軍事作戰的指揮選就交給了扣準
[01466.62-01469.42] 當時的這個局勢無論是對於北松來說
[01469.42-01470.92] 還是對於了國來說
[01470.92-01472.72] 雙方都很緊張
[01472.72-01475.22] 可以說是戰爭
[01475.22-01476.92] 就是建在險上幾乎是
[01477.92-01478.72] 就怎麼樣呢
[01478.72-01481.22] 就是只要有一點想動這個建就發出去了
[01481.22-01484.70] 而且在这个时候发生了一个小小的偶然事件
[01484.70-01485.70] 小人事件
[01485.70-01489.50] 当时在这个地方不是有那个受成的一个降事
[01489.50-01491.34] 但这个受成的一个降事
[01491.34-01493.42] 它日夜被战其实挺累的
[01493.42-01497.06] 然后有一天正在坐在城墙上有一个叫做床子鲁
[01497.06-01498.38] 很大的工务
[01499.66-01500.78] 这种床子鲁
[01500.78-01502.98] 坐在床子鲁上休息
[01502.98-01504.66] 突然就看到了
[01504.66-01506.94] 了过他的军队
[01506.94-01509.30] 就往他们的城墙这边来走
[01509.30-01512.98] 當時他也是由於太過於緊張
[01512.98-01514.78] 他就去發射這個床子努
[01514.78-01516.14] 發射這個大努
[01516.14-01517.62] 中好有一支件
[01517.62-01519.14] 就是這個努案努件
[01519.14-01520.26] 就不偏不遺的
[01520.26-01522.62] 就射到當時所前來的
[01522.62-01525.62] 就是了過軍隊當中的那個降臉的那個頭上
[01525.62-01526.90] 就一下子把它射死了
[01526.90-01527.62] 射死了之後
[01527.62-01528.82] 就有時候了軍
[01528.82-01529.46] 接下來一看
[01529.46-01531.06] 我的天能的主帥的人射死了
[01531.06-01531.50] 對吧
[01531.50-01532.86] 氣勢就弱去了
[01532.86-01534.06] 而北松這時候
[01534.06-01535.54] 就7年馬上就高找了
[01535.54-01536.50] 就說我的天啊
[01536.50-01536.82] 對吧
[01536.82-01540.16] 那展杀我们所说的人家的敌军的降灵予马前
[01540.16-01542.70] 那当时之日屋老儿了就要冲出去
[01542.70-01544.50] 所以当时就处在这样一个情况
[01544.50-01546.80] 而当时的这个我们所说的消胎后
[01546.80-01548.74] 也是我们看到的图片上这个人
[01550.14-01553.04] 当时的这个我们所说的这个消胎后
[01553.04-01556.28] 他也是感觉到局势有一点紧张
[01556.28-01557.72] 他也害怕腹背受敌
[01557.72-01560.62] 于是他就派人前来求何
[01560.62-01562.16] 而消胎后一盘是起来求何
[01562.16-01565.12] 当时的宋之中皇帝确实也不想打
[01565.12-01567.52] 也派人就跟人就商量求购
[01567.52-01570.20] 于是就了我们所说的产严之梦
[01570.20-01571.08] 就了产严之梦
[01571.08-01572.52] 所以在这里大家注意一下
[01572.52-01574.08] 产严之梦当中的第一个点
[01574.08-01576.64] 要知道是哪个皇帝是去签订的
[01576.64-01580.88] 第一个要知道是送真宗时期和聊签订了
[01580.88-01582.28] 像这样的一个协议
[01582.28-01583.36] 就做产严之梦
[01583.36-01585.08] 当产严之梦签订的时候说
[01585.08-01586.72] 有一个这样的一个小差距
[01586.72-01588.20] 当时的真宗皇帝说
[01588.20-01589.08] 我不想再打了
[01589.08-01590.36] 他又来跟我说
[01590.36-01592.32] 咱们和握手言合外
[01592.32-01593.68] 我只能就答应了
[01593.68-01596.50] 而当时的扣准是不太想同意
[01596.50-01598.80] 直接的去我们所说的这种
[01599.30-01600.08] 握手延合的
[01600.08-01602.38] 扣准当时想说的是想的扣准当时就想
[01602.38-01603.92] 我们能不能想个办法
[01604.68-01606.74] 让我们所说的这个了谣国想送
[01607.00-01607.76] 撑成
[01608.02-01610.06] 然后把煙热石油周还给我们
[01610.06-01612.12] 但是因为黄显当时实在太害怕了
[01612.36-01613.38] 就没有这种
[01613.40-01615.18] 长眼的这样的一个想法在
[01615.18-01617.24] 所以当时的征中还就说不如不
[01617.24-01621.32] 我们还是为了百姓的安妃就学我们所说的去签订用这样的谋约吧
[01621.32-01623.38] 所以当时送征中就派了一个人
[01623.38-01625.38] 这个人叫什么呢?这个人就叫做草莉用
[01627.38-01628.38] 派这个草莉用去了
[01628.38-01630.38] 这个草莉用说说你去上对面去谈谈
[01630.38-01631.38] 对吧
[01631.38-01633.38] 他只要是说每个月我给他交
[01633.38-01635.38] 每年我给他多少岁币
[01635.38-01636.38] 那这样的话
[01636.38-01637.38] 那就OK
[01637.38-01638.38] 100万岁币我可以给他
[01638.38-01640.38] 他只要不来打仗就行了
[01640.38-01642.38] 这个草莉用当时听了这个黄币的话
[01642.38-01644.38] 黄币刚刚草莉用说完
[01644.38-01645.38] 前脚草莉用刚出大电
[01645.38-01647.38] 后脚就被審当就被扣折
[01647.38-01649.38] 叫做扣折就跟草莉用说
[01649.38-01650.38] 说你去谈判
[01650.38-01652.38] 如果每年给到的岁币护
[01652.38-01655.54] 我30万回来我就把你的头给你坛掉
[01655.54-01656.78] 后来一个潮令就去了
[01656.78-01658.26] 去了租谈则回来
[01658.26-01661.30] 回来说黄昭在吃饭就没有功夫大力弹
[01661.30-01663.14] 然后就派这个小态件去找潮令
[01663.14-01664.94] 就问了潮令的谈的结果怎么样呢
[01664.94-01667.18] 潮令当时就生出了三根手指
[01667.18-01668.06] 给这个小态件
[01668.06-01669.46] 小态件看到三首指
[01669.46-01670.82] OK 盖他了
[01670.82-01671.10] 对吧
[01671.10-01671.82] 没有问题
[01671.82-01673.58] No Problem 可能是这个意思
[01673.58-01675.06] 然后就去跟黄昭说
[01675.06-01676.66] 黄昭说说给多少钱呢
[01676.66-01678.50] 小态件生出三个手指
[01678.50-01680.02] 黄昭300万
[01680.02-01680.90] 当时都下坏了
[01680.90-01682.70] 那没有办法300万就赛了万
[01682.70-01684.62] 后来潮流说是30万
[01684.62-01686.02] 那黄人当时新
[01686.02-01688.26] 一下子就放到了肚子里 对吧
[01688.26-01689.54] 那这个就是尝铁之猛
[01689.54-01691.90] 所以刚才那个事件其实也就是在饮食
[01691.90-01692.90] 尝铁之猛
[01692.90-01694.18] 那刚刚是签订的是啥呢
[01694.18-01695.10] 是北宋
[01695.10-01696.50] 每年像聊
[01696.50-01698.22] 我们所说的给钱10万
[01698.22-01699.26] 捐20万屏
[01699.26-01700.10] 一或是给钱
[01700.10-01701.46] 一个是当作居乌资的
[01701.46-01703.70] 同时雙方成为兄弟之国
[01703.70-01705.74] 聊是我们所说的
[01705.74-01705.98] 地
[01705.98-01707.82] 而我们所说的北宋是凶
[01707.82-01708.94] 那这是我们所说的
[01708.94-01709.82] 尝铁之猛
[01709.82-01712.22] 而产生之门它的天亮是非常做
[01712.22-01713.62] 具有重大意义的
[01713.62-01715.30] 这是产生之门天亮之后的
[01715.30-01717.62] 疗送之间的战争结束
[01717.62-01719.30] 几乎在100年当中
[01719.30-01720.26] 都没有打过账
[01720.26-01722.26] 所以有一句话来形容产生之门
[01722.26-01724.66] 同时把这句话写在旁边
[01725.30-01726.38] 这句话叫什么呢
[01726.38-01728.14] 就说生育繁熙
[01728.14-01729.62] 牛羊批野
[01729.62-01732.58] 代百质人不实干个啥意思
[01732.58-01736.02] 就是我们所说的人口不断的发展
[01736.02-01736.42] 对吧
[01736.42-01738.62] 然后卖山变也都是牛羊
[01738.62-01740.42] 同時想像如果是在戰爭時期
[01740.42-01742.22] 想像到賣身別都是牛羊嗎
[01742.22-01743.38] 不可能的 對吧
[01743.38-01745.22] 代表一致人不是乾哥
[01745.22-01746.42] 對吧 這個人呢
[01746.42-01747.82] 他都已經年齡很大了
[01747.82-01749.06] 頭腹都花來了
[01749.06-01750.02] 不知道打仗
[01750.02-01751.06] 不知道乾哥
[01751.06-01752.74] 我們都知道乾哥是武器嗎
[01752.74-01754.02] 不知道那是啥東西
[01754.02-01755.14] 所以就能夠看得出來
[01755.14-01756.46] 產權之盟的签例
[01756.46-01757.74] 對於兩國家的發展
[01757.74-01759.66] 只是取到了一個居大的推動作用
[01759.66-01760.82] 所以在這裡大家知道
[01760.82-01762.06] 產權之盟的細節
[01762.06-01762.82] 兩個考點
[01762.82-01763.70] 第一個
[01763.70-01765.30] 誰和聊過签例的
[01765.30-01765.82] 第二個
[01765.82-01767.62] 他取到了什麼樣的作用
[01767.62-01770.70] 那这个是我们所熟悉的产原之吗
[01770.70-01772.22] 我们所时报的产原之吗
[01772.22-01773.06] 大家要注意
[01773.78-01775.30] 好 那这是我们所说的
[01775.30-01778.14] 有关于北松和了国之间的关系
[01778.14-01783.22] 但话说到这其实这个我们所说的北松和了之间的矛盾其实并没有解决
[01783.22-01785.30] 有怎么都知道撑天灵了产原之吗
[01785.30-01786.82] 但是两国家宣布打仗
[01786.82-01788.62] 但只能是暗中还叫着这
[01788.62-01792.70] 所以送跟了天灵产原之盟之后的100多年时间量
[01792.70-01794.62] 双方击乎是适军历敌的
[01794.62-01795.94] 谁也吃不掉谁
[01795.94-01796.82] 一直到什么呢
[01796.82-01798.58] 一直到一百多年之后
[01798.58-01799.94] 在白身黑腿之间
[01799.94-01802.22] 有了一个强大的民族出现
[01802.22-01803.46] 这个民族就什么呢
[01803.46-01805.22] 就是女真族
[01805.22-01806.34] 这个民族挺真族
[01806.34-01810.22] 女真族建立了经过大主要
[01810.22-01812.82] 经过是女真族
[01812.82-01814.74] 这个点大家一定要注意
[01814.74-01816.54] 而刚才不所说的了是什么做
[01816.54-01817.26] 期待度
[01817.26-01818.78] 这个点它是要考虑用的
[01818.78-01820.06] 同时没了注意一下
[01820.06-01821.70] 这个女真族建立了经过
[01821.70-01823.78] 就把北送和聊全都灭了
[01823.78-01825.42] 真女真所在到底是怎么来的呢
[01825.42-01826.86] 咱们来看一下这个土啊
[01826.86-01829.14] 咱们在这里其实能够看到在这儿
[01829.14-01831.14] 我们所说的这个链
[01831.14-01832.42] 它是当时我们所说
[01832.42-01835.14] 和北松向靠红北松最大的一个新病 对吧
[01835.14-01837.14] 而当时这个链里面你看一下
[01837.14-01839.22] 它这个地方有一个女真
[01839.22-01840.34] 那很有一个女真
[01840.34-01844.78] 这个女真所其实它原本是在我们所说的黑水墨河
[01844.78-01845.86] 那个地方发展来的
[01845.86-01847.78] 你说老师这个墨河是否黑龙江和墨河
[01847.78-01848.82] 五天的墨河
[01848.82-01850.02] 不是那个墨河啊
[01850.02-01851.14] 这个黑水墨河呢
[01851.14-01854.34] 是当时指的是松华将黑龙江整个这个留运
[01854.34-01856.58] 这个留运发展出来的女真族
[01856.58-01859.22] 而这女真族在当时的我们所说的这个
[01859.22-01861.22] 聊前期的时候被打呆了
[01861.22-01862.82] 然后就副主育了
[01862.82-01864.22] 这是归了所管杀了
[01864.22-01867.70] 但是因为女真族它生性就比较修势山赞
[01867.70-01870.66] 所以它不是一个能够轻易被政府的民族
[01870.66-01872.42] 虽然在这个过程当中
[01872.42-01874.98] 就是聊把它画回到了自己的管杀放一当中
[01874.98-01877.38] 但说实话女真族根本不吃这一扣
[01877.38-01879.46] 它就是一个天使天生要干嘛
[01879.46-01880.90] 我不停地抗爭的民族
[01880.90-01882.50] 当时女真人很有诺了
[01882.50-01883.90] 用到什么程度呢
[01883.90-01885.26] 又就换来形容他们
[01885.26-01886.02] 叫做
[01886.02-01887.22] 服务汉
[01887.22-01888.30] 洗战斗
[01888.30-01889.90] 耐机可苦心
[01889.90-01891.34] 起码上下
[01891.34-01892.38] 压弊鲁肥
[01892.38-01893.74] 济江河不用周解
[01893.74-01894.98] 浮码而度
[01894.98-01896.26] 就是很强
[01896.26-01897.30] 就愿意打账
[01897.30-01897.62] 对吧
[01897.62-01898.42] 就洗战斗
[01898.42-01899.46] 而且打账的时候
[01899.46-01900.30] 对C-Rolley
[01900.30-01901.42] 可以不吃不合
[01901.42-01903.02] 起码上下压弊鲁肥
[01903.02-01904.78] 起码在需要跳避上走
[01904.78-01905.98] 那如率平地
[01905.98-01907.54] 那过河它也不用做出来
[01907.54-01909.78] 那起了码框框的就就过去了
[01909.78-01910.54] 就能看得出来
[01910.54-01912.74] 这个民主真的是非常强大
[01912.74-01915.62] 这样的民主他是永远不可能是被压迫的
[01915.62-01917.10] 所以他就会不停的反抗
[01917.10-01920.18] 所以我刚才说了他哪怕是被我们所说的了过
[01920.18-01921.82] 那儿到了所以统治范围之内
[01921.82-01923.14] 他也要不停的反抗
[01923.14-01925.46] 那当时为了压迫反抗就出现了一个人
[01925.46-01926.38] 这个人是谁呢
[01926.38-01928.18] 这个人就到个玩家啊不大
[01928.18-01930.98] 大家对于这个玩言不末说
[01930.98-01933.18] 对吧在我们看的那个社交英雄段当中
[01933.18-01934.50] 是不是听过玩言抗了
[01934.50-01936.50] 那其实就是我们所说的经过
[01936.50-01939.06] 所以大家知道经过对于的是女真足
[01939.06-01940.74] 但是經國我們所說的
[01940.74-01942.94] 帥領他們的抗僚的就是萬壓骨大
[01942.94-01945.38] 萬壓骨大其實是在他的野業
[01945.38-01947.58] 和他父親的技術之上
[01947.58-01950.58] 然後才進一步的去進行抗僚
[01950.58-01951.86] 他能否抗僚的時候
[01951.86-01953.50] 就是第一個是實際成熟的
[01953.50-01955.26] 第二是確實經國發展的
[01955.26-01956.58] 也比較不錯
[01956.58-01958.26] 而當時我們所說的經國
[01958.26-01958.98] 他在打招的時候
[01958.98-01960.30] 可以說是創造了中國
[01960.30-01962.14] 打招史上的一個奇跡
[01962.14-01963.50] 當時有多猛
[01963.50-01964.38] 最開始的時候
[01964.38-01966.02] 這個僚發起反抗的時候
[01966.02-01968.70] 他們只有八百個女生發起了反抗
[01968.70-01972.04] 那了国根本没拿他们当时你想
[01972.04-01974.84] 他觉得800个人能先去多大的浪花
[01974.84-01978.94] 所以派了2500名我们所说的这个了国的军队去镇压
[01978.94-01981.50] 结果800人几乎点是团灭了
[01981.50-01984.84] 就是没打过他就可以说是一比三的战斗力对吧
[01984.84-01988.42] 后来女真人的军队不断发展账大发展装大了多少人呢
[01988.42-01995.84] 2500人发展装大2500人是后了国派了两万人来镇压结果没打过团灭
[01995.84-01997.62] 对吧一比8个战斗力了
[01997.62-01999.86] 最后他又不断的发言状态
[01999.86-02000.70] 发言到多少呢
[02000.70-02001.58] 三千七百人
[02001.58-02004.46] 这时候女真已经有三千七百的军队了
[02004.46-02004.94] 对吧
[02004.94-02006.58] 这时候了过
[02006.58-02009.66] 根据史料记在说派出大军十万人
[02009.66-02011.18] 来进行相当对抗
[02011.18-02012.86] 相当一个人打四十人
[02012.86-02014.30] 结果战斗
[02014.30-02015.22] 谁有了呢
[02015.22-02016.98] 还是我们所说的经过影了
[02016.98-02018.10] 也是在这种情况之下
[02018.10-02018.82] 一比四十个
[02018.82-02019.90] 一个人到四十个用
[02019.90-02021.34] 也是把人就团灭了
[02021.34-02022.98] 旅战旅上可以说是
[02022.98-02025.26] 所以在后面就建立了经过
[02025.26-02027.02] 他为什么就做经过呢
[02027.02-02029.02] 这里面还有第二个 细节点
[02029.02-02029.78] 同时要注意一下
[02029.78-02031.06] 你可以找旁边写个金
[02031.06-02032.58] 为什么叫做金国呢
[02032.58-02033.62] 因为当日说
[02033.62-02036.26] 说聊以冰铁为号曲习惊业
[02036.26-02037.46] 就说当时的聊国
[02037.46-02038.46] 为什么叫聊呢
[02038.46-02040.94] 所以冰铁为号曲绝的铁这个东西
[02040.94-02042.14] 很接省
[02042.14-02043.46] 但是你看
[02043.46-02045.10] 当时的经过就说了说
[02045.10-02046.38] 冰铁虽间
[02046.38-02047.34] 中意变坏
[02047.34-02048.86] 违尽不变不坏
[02048.86-02050.86] 所以就是强度最高的
[02050.86-02051.66] 就是金
[02051.66-02053.70] 所以他说违尽不变不坏
[02053.70-02054.66] 就是刚艺
[02054.66-02056.46] 所以在这里才叫什么国
[02056.46-02058.96] 他叫做我們所說的經過
[02058.96-02060.26] 他叫我們所說的經過
[02060.26-02061.76] 這是我們所說的有關於
[02061.76-02064.26] 了國和經過他們之間的矛盾
[02064.26-02066.06] 那了國和經過之間的矛盾
[02066.06-02066.86] 其實日元自己
[02066.86-02069.26] 他可以說是一個國家內部發生的問題
[02069.26-02071.06] 對吧其實這是了國內部的
[02071.06-02072.46] 我們所說的這個女真所
[02072.46-02073.66] 他出了一些問題
[02073.66-02075.66] 所以當時了國的莫代皇帝
[02075.66-02077.06] 叫做耶率元寫
[02077.06-02079.26] 所以他就聽說了這個事
[02079.26-02080.56] 非常的生氣
[02080.56-02082.46] 就清帥七十萬大軍
[02082.46-02083.86] 又去討發經過
[02083.86-02084.96] 結果討發經過
[02084.96-02088.92] 当时经过的女生的军队的人数大概是一两万
[02088.92-02089.64] 结果也是
[02089.64-02092.32] 其实大军的几乎是团灭了
[02092.32-02094.20] 而这个了国的军队团灭
[02094.20-02096.52] 谁非常高兴的了国军队团灭之后
[02096.52-02098.56] 送非常高兴
[02098.56-02099.80] 送高兴的原因
[02099.80-02101.40] 就是一个说你小子有今天
[02101.40-02102.52] 原来你小子打我
[02102.52-02102.88] 对吧
[02102.88-02104.36] 我年年给你钱
[02104.36-02105.28] 然后给你压税钱
[02105.28-02107.56] 你最后敲债我原来说好了十万
[02107.56-02108.76] 对吧十万的钱
[02108.76-02110.00] 二十万的军物资
[02110.00-02111.52] 后来你敲债到了五十万
[02111.52-02111.96] 对吧
[02111.96-02113.36] 你这种情况之下一看
[02113.36-02114.20] 哎呦的天啊
[02114.20-02115.36] 刘国被经过打了
[02115.36-02117.16] 这个时候送朝的黄丽非常高兴
[02117.16-02118.72] 但是送朝的黄丽是谁呢
[02118.72-02121.68] 但是送朝的黄丽是送回中造造棋
[02121.68-02123.20] 这个点需要团队去掌握
[02123.20-02124.60] 这个造棋呢
[02124.60-02128.08] 这是有名的送朝的住名的舒话讲
[02128.08-02128.36] 对吧
[02128.36-02130.20] 它除了当黄丽不行的干啥都行
[02130.20-02132.72] 所以当使这个送回中造棋
[02132.72-02134.96] 它就派自己的这个石者
[02134.96-02137.20] 就杜海去跟进人去谈判
[02137.20-02138.24] 跟坚坚谈判说啥呢
[02138.24-02139.12] 它说你这样
[02139.12-02141.04] 你帮我打败刘国
[02141.04-02141.72] 然后呢
[02141.72-02143.24] 我收回颜军16周
[02143.24-02145.64] 以后我给了国的碎币我都给你
[02145.64-02147.08] 当时经过一听说那行啊
[02147.08-02147.60] 对吧
[02147.60-02149.16] 因为十六周隔那儿我都不知道
[02149.16-02150.04] 那跟我啥关系呢
[02150.04-02151.64] 你想去收封就去收封呗
[02151.64-02152.40] 而且呢
[02152.40-02153.48] 我在这个过程当中
[02153.48-02154.68] 帮你去打了了国
[02154.68-02155.92] 我还能赚到压碎钱
[02155.92-02156.92] 这很开心
[02156.92-02158.68] 因为当时经过知道
[02158.68-02159.96] 了国很大
[02159.96-02161.16] 他同时意识到说
[02161.16-02162.60] 比了国更为强大的国家
[02162.60-02164.28] 可能是我们所说的送过
[02164.28-02166.12] 因为送过的虽然打这样不太行
[02166.12-02167.72] 但送朝又钱
[02167.72-02169.24] 送朝那又低大物果
[02169.24-02170.44] 所以当时经过说
[02170.44-02171.72] 那这样没有问题
[02171.72-02174.12] 所以當時經過就開始去滅了國
[02174.12-02175.30] 滅了國之後
[02175.30-02176.60] 這個時候送炒
[02176.60-02178.46] 他就要收回自己的煙運使劉州
[02178.46-02180.80] 因為當時送炒說了煙運使劉州那幾個州
[02180.80-02182.36] 其中的幾個州我自己就說
[02182.36-02183.40] 不用你幫我收
[02183.40-02184.78] 後來雙方就約定
[02184.78-02186.62] 經過和送炒就約定說
[02186.62-02189.12] 咱們一塊出邊要去公打這個劉國辦
[02189.12-02190.68] 結果當時約定好了之後
[02190.68-02191.64] 經過先去了
[02191.64-02192.78] 送炒為啥美去呢
[02192.78-02194.08] 軍隊人數沒錯企
[02194.08-02195.96] 軍隊人數好不容易錯企之後
[02195.96-02196.92] 方拉造反了
[02196.92-02198.40] 又開始去平定方拉
[02198.40-02199.96] 當時經過就左等右等
[02199.96-02200.92] 左等等說
[02200.92-02203.16] 你也总不来对方在某个月
[02203.16-02204.24] 我在这边
[02204.76-02207.24] 把刘国都打得差不多了首实在养
[02208.08-02209.96] 他就把我们所说的当时
[02210.64-02213.80] 送朝要收回到三个州都帮着打下来了
[02213.80-02214.56] 还剩一个男人
[02214.56-02216.60] 还剩一个当时的男人应天
[02216.60-02218.36] 那个地方还没有打下来
[02218.36-02220.04] 后来送朝说你不用去管
[02220.04-02220.24] 对吧
[02220.24-02222.44] 这个应天这个男人我自己去的
[02222.44-02226.84] 然后当时送回一中就急急了15万大军去攻打刘国
[02226.84-02227.48] 结果就急急急急
[02227.48-02228.88] 就15万大军攻打刘国
[02228.88-02230.04] 说没打过人家
[02230.04-02233.24] 然后让人家聊军打的节界外退大退三百里
[02233.24-02235.68] 然后结果呢后来说那没关系
[02235.68-02236.18] 对吧
[02236.18-02237.60] 是外不可怕
[02237.60-02238.74] 我可以直接军队再来
[02238.74-02241.56] 所以直接军队从头再来又直接了15万军队
[02241.56-02243.10] 然后又去公拿了国
[02243.10-02245.66] 在这时候公拿了国的时候了国就派使成
[02245.66-02247.18] 就和北松住谈判了
[02247.18-02248.48] 就跟北松说说你看
[02248.48-02249.56] 能打了过我们
[02249.56-02250.78] 北松说好像说过枪
[02250.78-02252.56] 聊说你看都打不过我
[02252.56-02255.56] 你一个比我还强大的民族
[02255.56-02256.16] 爱着你
[02256.16-02258.46] 或者一个比我还强大的这样的政权爱着你
[02258.46-02259.48] 说的是经过
[02259.48-02260.80] 是对你能有好出吗
[02260.80-02262.28] 但是现在咱们应该这样
[02262.28-02264.16] 应该是咱俩联合对付他
[02264.16-02267.04] 你怎么能和他联合来帮助我呢
[02267.04-02268.24] 来来对付我呢
[02268.24-02270.56] 他说他本身就是我的层次
[02270.56-02272.08] 就是我聊过当中的遇员
[02272.08-02273.36] 他现在判骗
[02273.36-02274.64] 他是判乱
[02274.64-02276.92] 我去镇压他就是天天地的事吗
[02276.92-02278.52] 你现在帮着他来打我
