[00000.00-00004.08] 那我們就要開啟一個新的支持某塊的學習了
[01194.62-01195.92] 打仗的理论放在现在
[01195.92-01197.22] 化国家的建设里面
[01197.22-01198.00] 不需要
[01198.00-01199.50] 因为我们现在不需要打仗
[01199.50-01200.56] 所以我们会发现
[01200.56-01201.50] 以前的思想
[01201.50-01203.00] 他固然有一定的指导意义
[01203.00-01205.56] 但是他相聚今天训员
[01205.56-01207.86] 他可能不符合当下建设的要求
[01207.86-01209.22] 所以当下建设
[01209.22-01210.42] 心时代的建设要求
[01210.42-01211.46] 就提出了什么
[01211.46-01212.86] 心的思想知道
[01212.86-01214.26] 这个心的思想知道
[01214.26-01217.02] 心的指导里面就是心思想
[01217.02-01218.42] 这个点待能够明确
[01218.42-01221.10] 所以这是在这我们要明确的第一个考点
[01221.10-01223.30] 大家要知道我们所说的
[01223.30-01227.26] 听说的背景叫做中国特色收主义进到了新时代
[01227.26-01228.90] 是我们国家的新的历史方位
[01228.90-01230.78] 注意区分这里面的考点
[01230.78-01232.30] 大家注意这是第一个点
[01232.30-01233.14] 第二个点
[01233.14-01233.66] 那么说了
[01233.66-01236.06] 中国既然进入到了新时代
[01236.06-01238.82] 新时代它一定是有一些新的变化的
[01238.82-01241.22] 新的变化用我们来说是什么呢
[01241.22-01242.50] 就是怎么样
[01242.50-01244.02] 什么东西才能够
[01244.02-01246.22] 一下子就激重你的新吧
[01246.22-01247.30] 让你觉得耍油
[01247.30-01248.74] 好像他说的是真的
[01248.74-01250.30] 他所说的这个心时代
[01250.30-01252.34] 确实是可以钱不一样了
[01252.34-01254.26] 是哪一方面的变化
[01254.26-01256.90] 让你有了这样的特别明显的一个感触呢
[01256.90-01259.58] 这个变化其实就是我们所说的什么
[01259.58-01261.34] 社会主要矛盾的变化
[01261.34-01263.46] 因为我们一直都说社会主要矛盾
[01263.46-01265.54] 他被称为叫做时代之音
[01265.54-01267.82] 当社会主要矛盾发生变化之后
[01267.82-01270.10] 我们就能够明确或直观的感受到
[01270.10-01273.06] 我们所处的社会环境和之前不一样了
[01273.06-01274.06] 不同的时代
[01274.06-01276.06] 他有不同的社會矛盾在
[01276.06-01277.22] 我們不說那麼遠
[01277.22-01280.78] 我們就說從1840年往後到現在的中國
[01280.78-01281.50] 你看一下
[01281.50-01283.42] 因為1940年以後到現在的中國
[01283.42-01285.26] 中國沒處在一個不同的階段
[01285.26-01287.62] 社會的主要矛盾都在不同的怎麼樣
[01288.34-01288.98] 變化
[01288.98-01291.22] 比如說1840年壓騙戰爭之後
[01291.22-01293.26] 那個時候社會的主要矛盾是什麼
[01293.26-01293.78] 是
[01293.78-01296.14] 帝國主義和中華民族的矛盾
[01296.14-01297.34] 人家欺負我呢
[01297.34-01298.26] 那是帝國主義
[01298.26-01299.62] 中華民族受我們自己
[01299.62-01302.30] 所以那個時候是帝國主義和中華民族的矛盾
[01302.30-01302.70] 對吧
[01302.70-01305.52] 还有我们所说的松建地主间结合
[01305.52-01307.52] 我们所说的普通大众之间的矛盾
[01307.52-01308.90] 这是两段矛盾
[01308.90-01312.18] 到了我们所提到的1937年
[01312.18-01313.90] 全面抗战或者在往前吧
[01313.90-01316.22] 我们从1918视频开始
[01316.22-01317.30] 1931年开始
[01317.30-01319.86] 从康日战争打小那天开始
[01319.86-01321.90] 我们社会的主要矛盾就变成了什么
[01321.90-01324.66] 就变成了中华民族和地国主义之间的矛盾了
[01324.66-01326.90] 所以你看它的主要矛盾是发生变化的
[01326.90-01327.92] 为什么发生变化
[01327.92-01329.22] 因为时代不同
[01329.22-01330.54] 所以矛盾会变
[01330.54-01332.06] 甚至一直到后面什么呢
[01332.06-01334.30] 1945年我们靠着战争打贬了
[01334.30-01337.50] 抗战争打贬了这种社会的主要矛盾又发生变化了
[01337.50-01341.50] 变成什么变成了我们所说的中国共产党和国民党之间的矛盾
[01341.50-01344.38] 那又要去调整新的矛盾来推动社会的发展
[01344.38-01348.14] 一直在到1949年国民党退居台湾我们打贬了
[01348.14-01351.50] 我们建立了新民主主义国家1945年
[01351.50-01354.30] 毛爷也在天文成了上高生宣布
[01354.30-01357.50] 中华中华人民共和国装任民政府成立
[01357.50-01359.26] 中国人民从此赞起来了
[01359.26-01360.66] 台下一片互盛
[01360.66-01362.46] 我們近百年的沉痛
[01362.46-01363.38] 在那一天
[01363.38-01364.46] 中醫怎麼樣
[01364.46-01365.18] 解除了
[01365.18-01366.22] 1949年
[01366.22-01367.14] 新入國成立
[01367.14-01368.86] 我們原本的矛盾解決了
[01368.86-01370.18] 新的矛盾出現了
[01370.18-01372.50] 1949年到1956年
[01372.50-01373.62] 國家的矛盾在意
[01373.62-01374.86] 社會都知道矛盾
[01375.46-01376.30] 就在於
[01376.30-01378.26] 我們想建設社會主義國家
[01378.26-01379.86] 但是當前我們不是
[01379.86-01381.94] 我們是新民主主義國家
[01381.94-01382.22] 對吧
[01382.22-01383.70] 所以在這個時間段
[01383.70-01384.54] 我們要想法
[01384.54-01385.90] 設法法中國變成什麼
[01385.90-01386.94] 社會主義國家
[01386.94-01388.62] 所以通過剛才的表述裡面
[01388.62-01390.62] 能夠特別明顯的感覺到
[01390.62-01392.94] 當時代階段不一樣的時候
[01392.94-01395.30] 社會主要矛盾他一定會不同
[01395.30-01396.94] 所以我們才說社會主要矛盾
[01396.94-01398.14] 他是時代的什麼
[01398.14-01401.54] 所以強因他是時代的這樣的一個進步的
[01401.54-01403.82] 或者是時代發展的一個主要標誌
[01403.82-01405.46] 所以我們剛才給他說了
[01405.46-01407.26] 說中國特色的社會主義進入到了
[01407.26-01410.82] 心時代標誌是中國進入到了一個新的歷史方位
[01410.82-01413.34] 那你雜誌到你平常你自己好嗎
[01413.34-01414.82] 對吧有多少話題你自己好嗎
[01414.82-01416.02] 你自己好嗎你就說
[01416.02-01417.22] 你到了心時代呢
[01417.22-01420.04] 因为社会主要矛盾已经发成变化了
[01420.04-01421.82] 所以社会主要矛盾的变化
[01421.82-01424.02] 它就是心实带一个非常显出的标志
[01424.02-01426.62] 那么来看一下社会主要矛盾变成啥了
[01426.62-01428.42] 同时在这里的标志出来
[01428.42-01430.02] 社会主要矛盾这个点
[01430.02-01431.82] 绝对的两星期的支持点
[01431.82-01433.10] 要给它背下来
[01433.10-01436.42] 说社会主要矛盾把主要矛盾发出来
[01437.70-01440.42] 当前社会主要矛盾已经转发成什么了
[01440.42-01443.34] 叫人民日益增长的把话出来
[01443.34-01445.38] 美好生活需要同
[01445.38-01448.38] 不平衡不充分发展之间的矛盾
[01448.38-01451.38] 所以当前受购的矛盾已经转变了
[01451.38-01452.38] 你说老师他竟然转变了
[01452.38-01454.38] 那就因为他和以前不同
[01454.38-01457.38] 我们在十九大之前的矛盾是什么
[01458.38-01463.38] 那个时候的矛盾是人民日益增长的
[01464.38-01469.38] 人民日益增长的物质文化需要
[01471.38-01472.38] 我不写需要了
[01472.38-01476.38] 好吧,同落后的社会生产之间的矛盾
[01479.38-01482.88] 同落后的社会生产之间的矛盾
[01482.88-01485.38] 这个就是我们之前的主要矛盾
[01485.38-01487.98] 但是你说老师他转变了他是怎么转变的
[01487.98-01489.38] 其实很好判断
[01489.38-01492.58] 你看在最开始我们实行改革开放之前
[01492.58-01494.38] 在最开始实行改革开放之前
[01494.38-01496.48] 我们国家非常明显的就是咱们国家怎么样
[01496.48-01497.48] 人家诛乌啊
[01497.48-01499.58] 对吧,而且丘的不是一般的球
[01499.58-01503.38] 我以待讲过在最开始的时候到平七七年恢复职务的时候
[01503.38-01505.50] 那个时候的人均击击击最有多少钱
[01505.50-01507.70] 只有40美元一个人
[01507.70-01510.66] 你对比今天那简直是偏差地别
[01510.66-01512.30] 所以那个时候中国是什么
[01512.30-01514.22] 中国是落后的社会生产
[01514.22-01515.30] 说白了就是球
[01515.30-01517.02] 中国是落后的社会生产
[01517.02-01518.78] 但是对于当时的人们来说
[01518.78-01521.18] 人们想要吃的更多
[01521.18-01522.50] 想要穿的更多
[01522.50-01524.22] 这个时候就意识着
[01524.22-01526.06] 对于老百姓来说他有什么
[01526.06-01528.38] 他有日意增长的物质文化需要
[01528.38-01530.42] 但是中国能不能攻的起
[01530.42-01532.48] 那个时候中国攻不上
[01532.48-01534.52] 所以我们采造做落后的社会生产
[01534.52-01538.62] 所以我们那个时候在我们就以到平会否只会来说
[01538.62-01540.92] 在到平会否只会以后我们采想着说什么
[01540.92-01543.74] 要改变中国落后的社会生产
[01543.74-01547.84] 来满足人民对于日益增长的物质文化的需要
[01547.84-01549.74] 于是我们提出了改革开放
[01549.74-01553.98] 改革村峰村医满地中国人民都争气
[01553.98-01555.52] 对吧
[01555.52-01556.54] 本身大数码
[01556.54-01557.82] 这个世界太疯狂
[01557.82-01559.10] 什么其个隆其东墙
[01559.10-01560.38] 其个隆隆墙的
[01560.38-01561.66] 那你看那个时候我们说了
[01561.66-01562.94] 改革开放出
[01562.94-01563.70] 改革开放
[01563.70-01564.74] 推进门
[01564.74-01565.50] 改革出轻松
[01565.50-01566.02] 推进门
[01566.02-01567.54] 中国人民抖精神吗
[01567.54-01569.34] 所以改革开放之后
[01569.34-01570.86] 中国的经济开始怎么样
[01570.86-01571.90] 飞速发展
[01571.90-01572.66] 你看
[01572.66-01574.70] 中国经济飞速发展的结果是什么
[01574.70-01577.78] 就是中国还是不是落后的生活生产了
[01577.78-01578.62] 不是
[01578.62-01580.10] 当改革开放之后
[01580.10-01581.90] 中国不在生活的生活生产了
[01581.90-01582.66] 体现在哪呢
[01582.66-01583.42] 第一个
[01583.42-01585.46] 国家整体的经济体量变大
[01585.46-01588.54] 2010年以越成为世界第二大经济体
[01588.54-01589.70] 咱们干掉了小日本
[01589.70-01590.18] 对吧
[01590.18-01591.46] 中国经济体量面大
[01591.46-01592.10] 第二个
[01592.10-01593.58] 老百姓都利用钱了
[01593.58-01594.86] 幼稚儿变谷了
[01594.86-01595.82] 从最开始的时候
[01595.82-01596.82] 中国没有什么
[01596.82-01598.26] 到后面的万元后
[01598.26-01599.34] 在后面的什么
[01599.34-01600.10] 百万元后
[01600.10-01601.98] 现在虽然我不是
[01601.98-01603.66] 但是我在生活当中我也听到
[01603.66-01605.30] 有很多我的消耗办和有钱
[01605.30-01605.46] 对吧
[01605.46-01606.50] 他们有钱不限努
[01607.50-01608.50] 那不太可能
[01608.50-01609.46] 开玩笑啊
[01609.46-01610.46] 所以你看他
[01610.46-01611.70] 改了开放带来的
[01612.06-01614.58] 除无非就是国家经济体量的增大
[01614.58-01615.86] 还有一个方便就是啥
[01615.86-01617.66] 就是老百姓的腰包越来越骨
[01617.66-01619.18] 老百姓的腰包越来越骨
[01619.18-01620.22] 同时来看一下
[01620.22-01621.70] 老百姓腰包骨了之后
[01621.70-01623.42] 他会不会还是只满足
[01623.42-01625.34] 于日益增长的物者文化需要呢
[01625.34-01626.74] 就是这个东西我只要有
[01626.74-01627.62] 比如说吃的
[01627.62-01628.74] 我只要吃一口
[01628.74-01629.54] 我就满足了
[01629.54-01630.94] 穿的我只要穿的衣服
[01630.94-01631.58] 没有破动
[01631.58-01632.06] 穿的呢
[01632.06-01632.90] 就满足了呢
[01632.90-01633.54] 不是
[01633.54-01634.74] 当你有钱的时候
[01634.74-01636.22] 你就想吃的更好
[01636.22-01637.62] 就想穿的更好了
[01637.62-01639.42] 所以当中国不再是
[01639.42-01640.38] 我换一个颜色
[01640.58-01643.70] 当中国不再是落后的社会生产的时候
[01643.70-01647.90] 我们也不在紧金满足于日益增长的简单的物质文化需要
[01647.90-01652.10] 而是我们对于我们现有阶段的这些需求变成了什么
[01652.10-01653.90] 变成了美好生活需要
[01653.90-01657.50] 这美好生活需要就体现在早在2020左右的时候
[01657.50-01658.90] 那个时候中国人有钱
[01658.90-01660.70] 但是他从来都不花在国内
[01660.70-01663.50] 他更多的是把大量的钱从国外买东西
[01663.50-01667.50] 2020年根据无小波他研究的经济现象
[01667.50-01670.30] 他那个时候就说了说那个时候的中国出现了一个什么
[01670.30-01671.30] 2020还是3年
[01671.30-01672.50] 就说马统热
[01672.50-01673.54] 这马桶这是什么的
[01673.54-01675.30] 这那个时候有很多的咱们的国免
[01675.30-01676.46] 去日韩去旅游
[01676.46-01677.38] 去日韩旅游的时候
[01677.38-01678.50] 又去去日本旅游
[01678.50-01679.46] 它的大纠其外说
[01679.46-01680.58] 你去日本旅游之后
[01680.58-01681.46] 你没什么还要
[01681.46-01684.02] 每一个大都会买一个马桶圈回来
[01684.02-01684.66] 那个时候大纠
[01684.66-01686.18] 说为什么要买这个马桶圈回来
[01686.18-01688.10] 然后当时在那个机场猜访说
[01688.10-01689.30] 这个马桶圈不一样
[01689.30-01690.02] 有啥不一样的
[01690.02-01691.14] 说啊这个马桶圈是很
[01691.14-01693.34] 就是不不不不不不不不不不不不不不不不不不不
[01693.34-01695.10] 可能大家都知道
[01695.10-01695.98] 冬天的时候
[01695.98-01697.50] 两个是做人挺难受的
[01697.50-01699.34] 然后呢他就说他是温的
[01699.34-01700.58] 就是一直都会很热
[01700.58-01702.38] 你做人去的时候他就可以自动变了
[01702.38-01704.62] 然后说他他可以有自动缺席功能
[01704.62-01705.86] 还有什么按摩功能的
[01705.86-01708.70] 在没有享受我这个就不太好评
[01708.70-01710.86] 反正就说那个马同第二
[01710.86-01713.06] 马同圈啊特别的好
[01713.06-01714.30] 反正就是比中国的好
[01714.30-01717.70] 那你看这个时候我们就不及思考一个问题
[01717.70-01719.30] 就是马同圈这个东西
[01719.30-01720.54] 我们国家没有吗
[01720.54-01721.62] 我们国家也有
[01721.62-01723.10] 但他为什么不买呢
[01723.10-01725.42] 因为现有阶段的这个马同学
[01725.42-01727.62] 不能满足他多元的文化的需要
[01727.62-01729.34] 也许他不单单只是举现
[01729.34-01730.78] 以我想要吃的保穿的呢
[01730.78-01731.94] 我还想要怎么样
[01731.94-01733.58] 吃得更好
[01733.58-01734.78] 穿的更漂亮
[01734.78-01736.38] 我要用最好的化妆品
[01736.38-01737.78] 我要享受到最什么
[01737.78-01739.30] 最高端的这样的一个服务
[01739.30-01740.46] 那这一都是什么
[01740.46-01741.74] 都是我们所说的
[01741.74-01743.62] 美好生活的需要
[01743.62-01744.78] 美好生活的需要
[01744.78-01745.70] 所以在这里面
[01745.70-01747.26] 我们就能够发现你看
[01747.50-01748.82] 我现在吃东西
[01748.82-01751.18] 大家现在买东西又没有能干绝
[01751.18-01753.06] 以前的时候你看像我
[01753.06-01754.18] 咱们的爸爸妈妈吧
[01754.18-01755.42] 就我的爸爸妈妈吧
[01755.42-01756.70] 他们那个时候就说
[01756.70-01758.18] 你能吃饱吃口就行了
[01758.18-01760.46] 你到了我的老老老老爷那一边的话
[01760.46-01761.42] 在晚上一边的话
[01761.42-01762.02] 那个时候他说
[01762.02-01764.38] 东西都可吃可吃吃的了
[01764.38-01765.98] 所以从来都不浪费两事
[01765.98-01767.26] 你看现今多的我们
[01767.26-01768.38] 可不单单只是满足
[01768.38-01769.94] 我想要吃的饱就行了
[01769.94-01771.50] 你吃的那个东西不就要保
[01771.50-01772.98] 还要好吃 对吧
[01772.98-01775.38] 你能够宣泽的品类伤太多了
[01775.38-01776.26] 你点外卖的时候
[01776.26-01777.26] 你就有真干绝
[01777.26-01779.14] 我点外外的时候我就像选飞一样
[01779.14-01780.06] 帮个小时都过去了
[01780.06-01781.14] 外卖还没有点出来
[01781.14-01783.14] 就是你能够选择的空间太多了
[01783.14-01784.58] 你不单单想要吃
[01784.58-01785.90] 你还要想要吃的好
[01785.90-01787.82] 那现在的人不单要吃的好
[01787.82-01789.18] 还要吃的有文化
[01789.18-01790.18] 吃的有情怀
[01790.18-01791.02] 吃的有价值
[01791.02-01793.74] 比如说你看像东方真选的东欲会
[01793.74-01795.58] 为什么在它的直播间当中
[01795.58-01796.78] 我们能够感觉到
[01796.78-01797.86] 那种
[01797.86-01800.22] 让我们非常动怒的这种情感
[01800.22-01800.98] 就是因为
[01800.98-01802.62] 它能够把它嘴力所描述的
[01802.62-01804.10] 比如说它吃的那个武箱大米
[01804.10-01804.50] 对吧
[01804.50-01804.90] 它说
[01804.90-01806.82] 这个时候就是它小时候那个味道
[01806.82-01808.62] 他吃肉的大米就看到了什么什么
[01808.86-01810.40] 你还要吃了非常有文化
[01810.40-01813.22] 那养群你情感上的这种价值和共鸣
[01813.48-01816.02] 又或者你看我们之前在直播待会的时候
[01816.02-01817.32] 主广权大家都知道
[01817.58-01818.34] 对吧 重要了
[01818.60-01820.14] 主持地位的Report
[01820.14-01821.16] 他当时就说了
[01821.16-01823.72] 说我们对人类美食的追求是无限的
[01823.72-01825.52] 不仅要吃饱不就要吃好
[01825.52-01826.54] 也要吃的怎么样
[01826.78-01827.56] 有文化
[01827.56-01830.38] 所以他那个时候待会的时候你看看就天天做事
[01831.14-01831.90] 说了啥
[01832.16-01833.70] 说烟龙、韩水、月龙、杀
[01833.96-01835.24] 不止东湖、云花
[01835.24-01838.58] 能钱风结雪来花联罢予高预路产
[01838.58-01838.92] 对吧
[01838.92-01839.72] 还有奉转
[01839.72-01840.88] 偶待热干面
[01840.88-01842.44] 米酒香菇小龙虾
[01842.44-01843.52] 手柱饭了
[01843.52-01844.08] 不做话
[01844.08-01844.60] 你看
[01844.60-01845.88] 就要说得这么有文化
[01845.88-01847.40] 后面还要负义上一句
[01847.40-01848.16] 说呢
[01848.16-01850.08] 据说世界上最组织的事情
[01850.08-01851.12] 就是第一时尺
[01851.12-01851.88] 第二时尺
[01851.88-01852.40] 第三
[01852.40-01853.16] 还是尺
[01853.16-01854.20] 三人海外
[01854.20-01855.16] 如最无尺
[01855.16-01856.20] 舌接想乐
[01856.20-01857.00] 乐不可知
[01857.00-01858.16] 没美食不可
[01858.16-01859.00] 估富
[01859.00-01860.20] 然后最后一句话
[01860.20-01861.36] 就是电题了
[01861.36-01862.36] 把他就开始奉谈去买
[01862.36-01863.80] 叫人间烟火去
[01863.80-01864.84] 最复翻人心
[01864.84-01867.66] 它继续在画摄完之后那个货没了
[01867.66-01871.32] 你看在这个时候我们就会发现我们对于这种吃的这种追求
[01871.32-01873.88] 它其实变得怎么样越来越高了
[01873.88-01875.36] 我们不单单是要吃好
[01875.36-01877.76] 不仅要吃还要吃好
[01877.76-01880.20] 还要吃出秦怀来从某种程度来来说
[01880.20-01886.20] 所以在这里面你看我们的生活其实就过渡到了原本的简单的物质文化需要变成了什么
[01886.20-01888.48] 美好生活需要
[01888.48-01889.92] 美好生活需要
[01889.92-01891.88] 其实在本质上它对应的是什么
[01891.88-01893.96] 对应的是老百姓的需求
[01894.84-01897.84] 对于老百姓的需求,对不对
[01897.84-01901.84] 但是老百姓有这样的需求,我们国家所产的这种产品
[01901.84-01903.84] 他能不能跟得上老百姓的现阶段的需要呢?
[01903.84-01909.84] 他其实是跟不上的,那欢迎话来说呢,就是我们想而老百姓有这样的需求
[01909.84-01914.84] 但是现有阶段没有办法满足,那现阶段他处在什么阶段没办法满足呢?
[01914.84-01918.84] 就是发展不平衡,不充分,我们国家的地域经济发展
[01918.84-01923.84] 我们所说的东西南北就去发展不平衡,我们成像之间发展不平衡,不平衡
[01923.84-01925.62] 我们谢有的一些领域当中
[01925.62-01927.40] 并没有做到世界的调查
[01927.40-01929.32] 所以叫做发展不充分
[01929.32-01931.34] 发展不充分其实就是什么
[01931.34-01934.28] 就是对于美好生活需要的一个制约
[01934.28-01936.78] 所以在这里面我们要解决的问题是什么
[01936.78-01940.16] 上漫族人民日增长的美好生活需要
[01940.16-01943.12] 在这里面制约美好生活需要的因素有很多
[01943.12-01945.72] 其中最主要的因素就是发展不平衡不充分
[01945.72-01948.28] 而这个不平衡不充分体现在哪一侧
[01948.28-01949.88] 体现在工串上
[01949.88-01952.12] 其实这里面就给我们提供了一个行
[01952.12-01954.12] 提了一个什么型,同没有知道
[01954.12-01957.16] 当前老百姓的美好生活需要是需求
[01957.16-01959.16] 能不能让老百姓降低消费需求
[01960.52-01961.72] 能不能跟老百姓说
[01961.72-01962.68] 所以你们一天啊
[01963.40-01964.84] 真是四十争多呀
[01964.84-01966.12] 你车又吃外对吧
[01966.12-01967.24] 你还要吃出华儿了
[01967.24-01968.68] 你还要给你别人给你做实
[01968.68-01969.88] 你这自个拿拿车的
[01969.88-01970.92] 错错过得了
[01970.92-01972.28] 你把你的需求降低一点
[01972.28-01974.52] 能不能对线接到的国民说这种话
[01975.64-01976.68] 不行
[01976.68-01978.36] 老百姓是国家的天
[01978.36-01980.60] 这种这种生级的消费需求
[01980.60-01983.20] 它其实办水着国家经济发展变化会产生的
[01983.20-01985.84] 你不能让老百姓这样低消费需求
[01985.84-01988.96] 换句话说你不能改变老百姓的美好生活需要
[01988.96-01991.12] 那你不能改变老百姓的美好生活需要
[01991.12-01992.16] 你只能改什么
[01992.16-01995.20] 你只能改发展不平衡不充分
[01995.20-01996.60] 你只能改哪一侧
[01996.60-01999.08] 你只能改供求这一侧
[01999.08-02000.84] 你只能改供给这一侧
[02000.84-02003.84] 那如果说需求这一侧对应的是消费者的话
[02003.84-02006.04] 那供求这一侧对应的就是什么
[02006.04-02007.56] 对应的就是生产者
[02007.56-02010.04] 那你要做的就是改变生产
[02010.04-02012.56] 这一段的问题提高产品治疗
[02012.56-02014.64] 所以你看想要解决人民日子
[02014.64-02016.04] 增长得没好生活需要
[02016.04-02017.52] 你必须给他提供什么
[02017.52-02019.00] 高质量的产品
[02019.00-02021.04] 于是我们就提出了什么概念
[02021.04-02022.12] 高质量发展
[02022.12-02023.84] 我们在后面会打讲
[02023.84-02025.52] 我们就提到了高质量发展
[02025.52-02027.52] 而如何提供高质量产品
[02027.52-02029.24] 你要从生产这一段改
[02029.24-02031.04] 生产这一段改就叫做什么
[02031.04-02033.92] 就叫做共红纪测结果性改革
[02034.92-02036.92] 我们在后面还会再讲一遍
[02036.92-02039.72] 叫做共启测 解构性
[02040.52-02041.26] 改革
[02041.26-02042.76] 这不就穿起来了吗
[02042.76-02044.38] 我之所以在这里给大家
[02044.38-02045.82] BB这么多
[02045.82-02046.98] 不是说老师
[02046.98-02048.82] 你要在这里没跟我们讲多案子怎么样
[02048.82-02050.76] 我刚才说的每一个邏輯框架
[02050.76-02052.64] 它在考试的时候都考过
[02052.64-02053.30] 比如说
[02053.30-02054.72] 所以下关于只要矛盾
[02054.72-02055.62] 转变的原因
[02055.62-02057.06] 说法正确或者错的事
[02057.06-02058.24] 只要矛盾转变的原因
[02058.24-02059.12] 第一个原因是什么
[02059.12-02061.08] 是我们国家的经济生产力发展
[02061.08-02062.84] 是不在时落后的事物生产
[02062.84-02063.36] 第二个
[02063.36-02065.58] 人民对于美好生活的需要是否增加了
[02065.58-02066.86] 這是不太轉變的原因
[02066.86-02068.38] 第三一個就是當前
[02068.38-02070.62] 供給這一段還存在不平衡不充分
[02070.62-02072.06] 生產力水平還不完善
[02072.06-02073.90] 是不是他轉變的原因是
[02073.90-02076.34] 因為美好生物需要的轉變是從什麼
[02076.34-02078.90] 是從生產落後改掉了之後
[02078.90-02082.06] 從原本的物質文化需要轉到美好生物需要
[02082.06-02083.78] 然後美好生物需要支援他的意思
[02083.78-02085.10] 就發展不平衡不充分
[02085.10-02087.22] 所以你看這就是邏輯框架
[02087.22-02088.14] 這就考過
[02088.14-02088.86] 這就考過
[02088.86-02090.46] 是為主要矛盾轉化的原因
[02090.46-02092.42] 我沒有白裂大家去講這些吧
[02092.42-02094.14] 第二一個點在這裡會考到
[02094.14-02096.66] 说我们想要解决社会主要矛盾
[02096.66-02099.06] 我们要逐重从哪一侧下手
[02099.06-02100.18] 攻击侧呀
[02100.18-02102.18] 因为攻击侧不平衡不重分
[02102.18-02105.50] 是至于没好生活需要最维主要的矛盾
[02105.50-02106.30] 那你怎么改
[02106.30-02107.50] 攻击侧究性改革
[02107.50-02108.06] 那我们说了
[02108.06-02110.22] 那实现高质发展以谁为主性
[02110.22-02111.82] 攻击侧究性改革为主性
[02111.82-02113.38] 这个逻辑它是通的
[02113.38-02114.98] 所以在这里面大家一定要明确
[02114.98-02116.62] 我在这里给大家说了这么多
[02116.62-02118.78] 你了把它的逻辑关系给它旅行出
[02118.78-02120.58] 所以在这里我们就提到了什么
[02120.58-02123.58] 当前社会主要矛盾的变化
[02123.58-02125.54] 矛盾变化是时代之音
[02125.54-02126.40] 所以时代变了
[02126.40-02127.94] 社会主要矛盾就会变化
[02127.94-02130.38] 那是不是越来越转社会主要矛盾变化了
[02130.38-02133.66] 就是中国就要有一个翻天覆电的变化
[02133.66-02134.50] 怎么可能啊
[02134.50-02134.78] 对吧
[02134.78-02136.38] 这说出来这也不现死
[02136.38-02137.34] 咱们学啥
[02137.34-02138.46] 咱们再去学
[02138.46-02139.58] 我们的哲学的时候
[02139.58-02140.14] 我们说了
[02140.14-02142.02] 叫绝对应动和相对静止的
[02142.02-02143.58] 同意有变
[02143.58-02144.58] 就有不变
[02144.58-02145.14] 变的
[02145.14-02146.34] 是社会主要矛盾
[02146.34-02148.22] 不变的是什么
[02148.22-02149.90] 是一科红酒的心
[02149.90-02150.66] 这是广告
[02150.66-02151.70] 当然不是
[02151.70-02152.54] 当然社会
[02152.54-02154.02] 新时代发生变化之后
[02154.02-02154.94] 主要矛盾变化
[02154.94-02156.22] 当然有预示者不变
[02156.22-02157.02] 什么不变呢
[02157.02-02157.62] 来看一下
[02157.62-02158.62] 就做两部变
[02158.62-02159.50] 这两部变呢
[02159.50-02160.22] 答案明确
[02160.22-02160.94] 他在考试的时候
[02160.94-02162.38] 有个时候考两部变
[02162.38-02163.70] 有个时候考三部变
[02163.70-02165.66] 他说我说三部变是什么没有变
[02165.66-02166.46] 看看
[02166.46-02168.26] 社会主要的矛盾变化
[02168.26-02169.26] 没有改变我国
[02169.26-02171.50] 对社会主义初级对所处的什么
[02171.50-02173.74] 历史阶段的判断没有变
[02173.74-02175.42] 历史阶段是什么阶段呢
[02175.42-02177.10] 就是我国正处以变成
[02177.10-02179.38] 长期处于社会主义初级阶段的
[02179.38-02180.62] 基本国情的变
[02180.62-02182.16] 所以第一個大家知一下
[02182.16-02183.18] 就是歷史階段
[02183.18-02184.20] 也就是所謂的
[02184.20-02186.26] 社會主義初級階段的國情每遍
[02187.02-02188.18] 因為我們都知道
[02188.18-02189.58] 他到了十九大
[02189.58-02192.14] 他提出來了社會主要矛盾發生了什麼
[02192.14-02192.90] 相應的變化
[02192.90-02195.46] 但社會主義初級階段將近一百年的時間
[02195.46-02198.54] 你依舊在社會主義初級階段裡面沒有跨出來
[02198.54-02201.36] 所以在這裡叫初級階段的基本國情每遍
[02201.36-02202.64] 第二個什麼每遍呢
[02203.40-02203.92] 第二個
[02203.92-02207.76] 早世界上最大的發展中國家的國際地位沒有遍
[02207.76-02209.24] 所以在这里两个美变
[02209.24-02210.80] 一个是基本国情美变
[02210.80-02212.00] 一个是国际地位里面
[02212.00-02214.04] 如果他考两部变就这两
[02214.04-02215.40] 我标一下颜色
[02215.40-02216.84] 如果他考两部变
[02216.84-02218.36] 一个是基本国情美变
[02218.36-02219.84] 一个是国际地位里面
[02219.84-02221.64] 如果他考三部变加一个什么
[02221.64-02222.96] 加一个是历史阶段
[02223.96-02226.72] 历史阶段就是社会主义出阶段
[02226.72-02228.92] 出阶阶段就是我国最大的国情
[02228.92-02230.72] 这个咱们前面其实有说到过
[02230.72-02231.96] 所以这是两部变
[02231.96-02235.40] 有同学其实很排斥发展中国下这几个字
[02235.40-02238.48] 那觉得发生国家代表的是平球代表是落后
[02238.48-02239.88] 我想给大家说的是
[02239.88-02240.88] 你说得对
[02240.88-02242.12] 但是又不全对
[02242.12-02245.16] 我们国家提出来我们依旧是世界上最大的发生国家
[02245.16-02246.72] 它是有一些考量在的
[02246.72-02247.96] 另一个考量就是
[02247.96-02250.68] 我们国家不单单只由北上广身
