[00000.00-00003.28] Hello同行,好久不见了,我是几日老师。
[01194.72-01197.80] 就土地成包精全和宅基地的三圈分制
[01197.80-01199.96] 他们各自是什么还一就行了
[01199.96-01201.96] 因为考试的时候喜欢怎么考
[01201.96-01204.24] 考试的时候在实际性提目上
[01204.24-01207.04] 会把这两个权所混在一块来考察
[01207.04-01208.64] 所以在这里面大家知道
[01208.64-01212.00] 这是土地成包精全和宅基地使用权
[01212.00-01216.76] 但是无论是土地成毛经常要宅地的生权都叫做什么用意无权
[01216.76-01220.76] 你这幻句话说的这个东西你只使用了他的什么
[01220.76-01223.12] 你只得到了他的使用价值
[01224.72-01226.72] 你只拿到了他的使用价值
[01227.00-01227.40] 对吧
[01227.40-01229.52] 他的所有权在不在你这里不在
[01229.52-01232.00] 所以你看他不用了用别人的物
[01232.16-01235.56] 这个就是我们所说的有关于土地成毛经权
[01235.56-01237.08] 以及宅地的生权
[01237.24-01239.12] 那在我下会讲到一个居住权
[01239.12-01241.78] 居住权就是在你自己的房子上
[01241.78-01243.68] 给你自己的房子
[01243.68-01245.16] 设立一些居住人
[01245.16-01247.38] 让它能够免费住你的房子
[01247.38-01249.16] 这个居住叫做居住权
[01249.16-01251.72] 比如说我现在90个岁了
[01251.72-01252.96] 老无所义
[01252.96-01255.06] 我年轻的时候也没有结婚
[01255.06-01257.04] 所以我到我年老的时候
[01257.04-01258.32] 我什么都没有留下
[01258.32-01260.10] 我只留下了万贯家裁
[01260.10-01261.66] 这里面我最大的
[01261.66-01263.58] 我也不方面到初出去6月2日
[01263.58-01265.68] 出去了玩儿跑了跳都不行
[01265.68-01267.18] 我再顾一个保牟来照顾
[01267.18-01269.22] 于是我在顾保母的时候这个保母
[01270.26-01271.22] 叫小A
[01271.54-01272.82] 小对我特别的好
[01272.82-01273.90] 爱好友家
[01273.90-01275.58] 她说说看到我
[01275.58-01277.02] 就像看到她的亲妈一样
[01277.02-01278.06] 我说你为什么这么感觉
[01278.06-01279.50] 她说我感觉你特别的友谴
[01279.50-01280.66] 我当时觉得这个孩子
[01280.66-01281.82] 真的是个实胜孩子
[01281.82-01282.30] 对吧
[01282.30-01283.82] 然后我有问有顺家住的
[01283.82-01285.26] 她说我没有地方可以住
[01285.26-01289.18] 住在那儿就住在那个天桥下面
[01289.18-01290.46] 在那个地方
[01290.98-01291.86] 減了个判刷发
[01291.86-01292.70] 就睡在那个地方
[01292.70-01293.86] 我一想还在那儿开开脸了
[01293.86-01295.34] 我说那你就住在我这儿吧
[01295.34-01296.98] 于是我就跟她去定律了
[01296.98-01298.86] 我们所说的居住权的这样一合同
[01298.86-01300.02] 这个居住权啊
[01300.02-01300.66] 大家注意一下
[01300.66-01302.34] 他有一定的人生专属性
[01302.34-01307.22] 也就是说我让他面对居住在我这个房子当中只能限于这个小A
[01307.22-01308.66] 那如果小A没了
[01308.66-01312.02] 小A能不能说把这个房子转给他人继续做不行
[01312.02-01313.90] 如果说小A还有一个孩子
[01313.90-01315.22] 能不能说小A死了
[01315.22-01320.02] 小A的孩子继续继承我的继承小A的居住权也不行
[01320.02-01322.02] 所以这是居住权大家要注意的
[01322.02-01324.42] 居住权也会考察一些细节
[01324.42-01326.82] 大家就记得他一定是书面定力
[01326.82-01330.30] 不能继承,不能转让,这是居住圈
[01330.30-01341.16] 除了这些之外,还有一些地区,地区,大助一下,地区和另外一个点,很容易混小靠上,这个点,同时可以做一个点来掌握,它是一个理解形的点
[01341.92-01347.80] 在这里,我们要知道,这个地区,它其实是出于什么,出于便利的需要
[01347.80-01355.50] 它和另外一个点,特别相似,就要做相铃关系,这个相铃关系呢,它其实是最低,我们所说的这个人来的线度
[01355.50-01357.30] 那所謂的這個箱領關係
[01357.30-01359.18] 它其實想到的是啥呢
[01359.18-01361.26] 就比如說我現在有一塊地
[01361.26-01364.50] 假設現在這一塊地一龍一龍的
[01364.50-01367.66] 這個地上都中的各種各樣的作物
[01367.66-01368.66] 張綿兒了
[01369.98-01370.86] 然後呢
[01370.86-01372.14] 大家都知道那個地
[01372.14-01373.74] 它有很多的這個土地
[01373.74-01375.14] 它都是一塊一塊的
[01375.14-01375.78] 你看它們呀
[01375.78-01377.58] 假設我的土地旁邊的
[01377.58-01378.54] 這個
[01378.86-01379.74] 才有一塊地
[01379.74-01380.90] 這塊是我家的
[01380.90-01382.54] 然後這塊也有一個土地
[01382.54-01384.38] 也中了很多的這個兩世
[01384.38-01387.38] 但这块土地是谁家的 这块土地是小墅家的
[01387.38-01391.38] 大家看一下 我想要去给我这个地施肥
[01391.38-01394.38] 那 施肥 比如说有道的施肥的日子
[01394.38-01396.38] 那这里面 我要给我的地施肥的话
[01396.38-01400.38] 没有办法 我只能通过小墅的地 然后再给我的地施肥
[01400.38-01403.38] 对吧 那这时候我就跟小人说 我说你看
[01403.38-01405.38] 我呢要给我家的地施肥
[01405.38-01408.38] 然后你家的地能为总部会去 你给我开一条小道
[01408.38-01411.38] 然后让我能够通过这条路 到我家 定上施肥就行了
[01411.38-01412.10] 就行了
[01412.10-01413.62] 那这样请观之下你看
[01413.62-01415.06] 你是出于什么的需要
[01415.06-01416.50] 你是出于我们所说的
[01416.50-01417.66] 最低线度的需要
[01417.66-01419.78] 就是满足你去施费这个需要
[01419.78-01422.22] 尽可能最小的破坏人家的土地
[01422.22-01422.74] 对吧
[01422.74-01424.58] 所以这种就要做相联关系
[01424.58-01426.74] 它是一种最低的人态程度
[01426.74-01428.10] 那第一权是什么呢
[01428.10-01430.34] 第一权是一种享受性的权利
[01430.34-01431.74] 比如说刚才我跟小一说
[01431.74-01434.18] 你就在你家路上给我开一个
[01434.18-01435.14] 我们所说的
[01435.14-01436.50] 20厘米的小道吧
[01436.50-01436.78] 对吧
[01436.78-01438.58] 你只要能方便我腿着走过去就想
[01438.58-01438.98] 小一说
[01438.98-01439.74] OK
[01439.74-01440.18] 对吧
[01440.18-01441.72] no problem 所以呢
[01441.72-01444.14] 所以他就在这里给我开了一高10个小道
[01444.14-01446.32] 这是最低人让现度 对吧
[01446.32-01447.86] 那第一权就有点什么感觉呢
[01447.86-01449.78] 第一权就有点有点累碎那种
[01449.78-01450.92] 我说小爷 你看
[01450.92-01452.66] 你家这个地啊 跟我家地爱着
[01452.66-01454.02] 我说你什么导色
[01454.02-01455.42] 和我家地爱在一块
[01455.42-01456.42] 我说你赶紧的给我
[01456.42-01460.42] 在你家这个地上开一个20米换的大道
[01460.42-01464.22] 然后呢 我开着我家的奔持和保马来给我家的地失费
[01464.22-01465.00] 那你看
[01465.00-01466.82] 他如果说在这里啊 我给他
[01466.82-01469.30] 让他给我开一个20米换的大道
[01469.30-01470.94] 他就吃一个什么权利
[01470.94-01472.88] 他就吃一个想收入性的权利
[01472.88-01473.54] 明白吧
[01473.54-01474.92] 那这个想收入性的权利
[01474.92-01475.78] 就要什么权
[01475.78-01477.24] 就要做第一权
[01477.24-01478.90] 所以第一权和香零关系
[01478.90-01480.78] 他还其实有本身的区别的
[01480.78-01482.22] 而考试的时候考什么
[01482.22-01483.66] 就考他两个区别
[01483.66-01486.22] 你怎么去区分他到底是第一权还是香零关系
[01486.22-01487.22] 你就抓住一个点
[01487.22-01488.18] 同时的旁边
[01488.18-01490.30] 就是看他是不是不得不
[01491.66-01493.86] 你要看一下他是不是不得不
[01493.86-01495.58] 如果他是不得不的
[01495.58-01497.86] 那他就属于香零关系
[01497.86-01499.14] 如果他是为了什么
[01499.14-01500.16] 被了享受的
[01500.16-01501.70] 让我自己过的公爽的
[01501.70-01502.84] 这里面就叫做什么
[01502.84-01504.00] 这叫做地圈
[01504.00-01505.88] 所以考试的时候就考太了混合
[01505.88-01506.70] 你就抓住一个点
[01506.70-01508.70] 就看他到底是不是不得不
[01508.70-01509.64] 就OK了
[01509.64-01511.30] 这时候我们所说的叫做
[01511.30-01512.46] 用意误权
[01512.46-01514.06] 你一直都是在什么
[01514.06-01516.22] 在享用别人的东西
[01516.22-01517.58] 所给你带来的神价值
[01517.58-01517.98] 对吧
[01517.98-01519.26] 所以在这里就叫做
[01519.26-01520.38] 用意误权
[01520.38-01521.10] 用意误权
[01521.10-01522.14] 所以在这个地方
[01522.14-01523.82] 我在框架里面就给大家去
[01523.82-01524.62] 把用意误权
[01524.62-01526.34] 该讲的点给大家去点一点
[01526.34-01527.42] 然后在后面的时候
[01527.42-01529.86] 咱们有专门设置特别详细的
[01529.86-01531.14] 给人家去讲解
[01531.14-01533.14] 所以在这个地方同能做好标注
[01533.14-01534.26] 这是用于无权
[01534.26-01535.74] 除了用于无权之外
[01535.74-01537.66] 还有一个叫做单保无权
[01537.66-01538.66] 单保无权
[01538.66-01542.06] 你主要是利用这个东西它的交换价值
[01542.06-01544.14] 也就是你要拿你的东西
[01544.14-01547.74] 去给你或者是别人的债做单保
[01547.74-01549.50] 这个就叫做单保无权
[01549.50-01550.98] 单保无权不要常见的
[01550.98-01553.14] 我们在后面会详细给大家讲到
[01553.14-01554.30] 不要常见的就是
[01554.30-01556.98] 底安全,支援安全和流制却
[01556.98-01558.54] 这里面的底安全
[01558.54-01560.66] 就是让我在开篇手里大说的
[01561.38-01562.42] 房子卖不起
[01562.42-01563.70] 对吧,我那个北京
[01563.70-01565.30] 我梦想中的四合月
[01565.30-01566.30] 二十个一
[01566.30-01567.06] 二十个一
[01567.06-01568.90] 你把我卖了为不止这钱
[01568.90-01570.30] 于是我怎么办
[01570.30-01571.94] 向银行去带款
[01571.94-01573.30] 我说的,你给我带二十个一
[01573.30-01574.90] 我把这个四合月的底下给你
[01574.90-01576.18] 你看在这个里面
[01576.18-01577.30] 是不是就摄一刀什么
[01577.30-01578.94] 底下的摄一问题
[01578.94-01579.54] 所以他
[01579.54-01582.58] 你看我的这个服我拿我的二十个一的四合月
[01582.58-01584.18] 来给他设置的安全
[01584.18-01586.06] 其实就是单保银行的什么
[01586.06-01587.46] 单保银行给我的
[01587.46-01588.06] 带快
[01588.06-01588.46] 对吧
[01588.46-01589.22] 所以的安全
[01589.22-01590.06] 这是这个
[01590.06-01590.78] 那第二个呢
[01590.78-01592.02] 这叫做治银安全
[01592.02-01593.38] 搭住一下治银
[01593.38-01594.58] 一般请爱就是用
[01594.58-01596.74] 权力或者是动产去做治银
[01596.74-01598.14] 我们你借了一万块钱
[01598.14-01599.54] 然后你这有时候你跟我说
[01599.54-01600.34] 你说你看你
[01600.34-01602.38] 你穷的地方想要贸借一万
[01602.38-01604.34] 然后但是我又不好意思不借给你
[01604.34-01605.10] 我说你来来来来来
[01605.10-01605.78] 你别担心
[01605.78-01606.78] 我说你看我这
[01606.78-01608.82] 我这有一个20万的预则
[01608.82-01610.74] 我把这个20万的预则子
[01610.74-01612.74] 支援给你100亿万块钱借给我
[01612.74-01614.54] 我现在就是手头解
[01614.54-01616.34] 这时候你给我一万块钱
[01616.34-01617.54] 我把预交付给你
[01617.54-01619.34] 这里面摄一道的一个就要的什么
[01619.34-01620.34] 要做质亚
[01620.34-01621.14] 那我同意就说
[01621.14-01622.94] 老师抵押和质亚很像了
[01622.94-01624.74] 我们后面会想起给大家讲
[01624.74-01625.94] 他的一个举分
[01625.94-01628.14] 最后一个就是刘志
[01628.14-01629.94] 刘志的一般分为商势刘志
[01629.94-01631.14] 和民事刘志权
[01631.14-01631.94] 我们在讲的时候
[01631.94-01632.94] 主要给大家讲
[01632.94-01634.14] 民事刘志
[01634.14-01636.54] 我把车开到你的电话去洗
[01636.54-01637.34] 洗完了之后
[01637.34-01638.14] 我说,洗完
[01638.14-01639.14] 然后你先过洗
[01639.14-01640.14] 然后两天之后
[01640.14-01641.06] 我来取车
[01641.06-01642.82] 然后我把钱付给你
[01642.82-01643.54] 你说OK
[01643.54-01644.78] 结果的两天之后
[01645.42-01646.50] 你车洗完了
[01646.50-01647.54] 我人内耳了
[01647.54-01648.66] 然后我也没给你交钱
[01648.66-01649.98] 这个时候就把我的车怎么样
[01649.98-01650.50] 扣下了
[01650.50-01651.62] 你扣我车
[01651.62-01652.82] 就是在形势什么权
[01652.82-01654.10] 就是在形势
[01654.10-01655.26] 流制权
[01655.26-01656.50] 所以这些像权力
[01656.50-01658.90] 我们在后面会大家想起的想到
[01658.90-01660.94] 这个是目前的体系框架
[01660.94-01662.90] 目前的体系框架在考试当中
[01662.90-01665.30] 前入做两个唯一度的考察
[01665.30-01666.10] 第一个唯一度
[01666.10-01668.46] 大家就要能够去对误权进化分
[01668.46-01671.46] 要知道我们如果说目前分为哪三大类
[01671.46-01675.86] 你就知道是搜全用一无权一节单保无权
[01675.86-01679.66] 如果他问你说在这里面自无权是哪些
[01679.66-01681.66] 他无权是哪些你要能够分类
[01681.66-01682.06] 明白吧
[01682.06-01684.46] 所以第一个词度就是考察他的分类
[01684.46-01687.46] 第二个就是在无权体系这个框架当中
[01688.46-01691.86] 我们要能够去掌握住用一无权
[01691.86-01693.66] 他的一些细节上的考点
[01693.66-01695.26] 因为我们在用一无权这一块
[01695.26-01697.50] 它平时烤的相当来说于不是特别多
[01697.50-01700.70] 所以我们在这里就给大家直把烤点拿出来讲了
[01700.70-01702.38] 而没有给大家设置专门的内容
[01702.38-01703.66] 这个内容大家要知道
[01703.66-01705.98] 那这是我们所说的武权的框架
[01705.98-01710.38] 所以大家知道武权武权就是这个物上面的权属的问题
[01710.38-01710.86] 对吧
[01710.86-01711.82] 所以就知道这个物
[01711.82-01713.02] 可能归你所有
[01713.02-01714.62] 那这个时候就是所有权
[01714.62-01715.98] 可能归别人所有
[01715.98-01717.50] 但是你用了这个物
[01717.50-01719.58] 它的使用价值或交换价值
[01719.58-01722.22] 那这里面就是睡到用于武权和单口武权
[01722.22-01724.46] 所以我们就得抓一个点什么点
[01724.46-01727.54] 我们所说的这个误权大家知道是为肉什么展开的
[01728.54-01729.58] 误权误权吧
[01729.58-01731.78] 并然是为肉误展开的
[01731.78-01735.02] 所以为肉误展开那误权的客体就是啥
[01735.30-01736.74] 误权的客体就是
[01737.50-01738.22] 明白了吧
[01738.22-01739.82] 那说老师误权误权
[01739.82-01741.18] 那当然客体当然是误了
[01741.18-01742.38] 那问题是在什么呢
[01742.38-01744.66] 问题是在咱们考试的时候不考
[01744.66-01746.22] 说误权的客体是啥
[01746.22-01749.82] 而是考我们所说的这个误权的客体的分类
[01749.82-01751.02] 也是是误的分类
[01751.02-01753.38] 所以我们今天来看一下第二个大的那种
[01753.38-01755.38] 就叫做5的分類
[01755.38-01756.22] 5的分類
[01756.22-01757.42] 其實有好幾個分類
[01757.42-01759.46] 第一個咱們講的看一下就行了
[01759.46-01761.14] 說根據能否移動
[01761.14-01763.06] 並且是否因移動
[01763.06-01765.62] 而影響其價值的標準性花紛
[01765.62-01768.22] 那這個手就分為動產和不動產
[01768.22-01769.30] 這個時候就看
[01769.30-01770.70] 能移動的就要動產
[01770.70-01771.94] 不能移動的就要閃
[01771.94-01773.94] 不能移動的就叫做不動產
[01773.94-01775.06] 所以你看
[01775.06-01776.18] 這個概念不用被
[01776.18-01776.94] 不用去去分
[01776.94-01778.42] 因為它很少會考說
[01778.42-01780.22] 哪個是動產哪是不動產
[01780.22-01781.02] 太小而可了
[01781.02-01781.30] 對吧
[01781.30-01782.34] 考戰的題
[01782.34-01785.54] 在考察看到这种听,你都应该说,很瞧不起我。
[01785.54-01790.70] 对吧,所以在这里大家知道,动场和不动产,动产的比如说你的汽车,
[01790.70-01796.02] 然后你的手表,对吧,你的家庭家处,这些都属于动产,能够移动的。
[01796.02-01798.30] 那不动产的就是什么,不能移动,
[01798.30-01801.54] 但或者说是移移动的,会影响它的价值的,
[01801.54-01803.30] 最维场界的不动产土地。
[01804.02-01805.46] 或者是我们所说的,
[01805.46-01809.02] 防务,你卖防子的时候,能不能说把防子产下来,
[01809.02-01810.46] 然后送到人家们考说,
[01810.46-01812.00] 房子交付给你了
[01812.00-01813.02] 那不太可能对吧
[01813.02-01814.04] 所以它不能移动
[01814.04-01815.58] 这个就要做不动产
[01815.58-01818.40] 那在物的动产和不动产的分类
[01818.40-01819.68] 它有什么意义呢
[01819.68-01820.70] 同们知道
[01820.70-01822.48] 动产和不动产的分类
[01822.48-01825.18] 会影响到后面我们所说的是吗
[01825.18-01827.10] 物权变动的规走
[01827.10-01828.88] 一会我们会想起的讲到
[01828.88-01830.18] 所以在这里大家先知道
[01830.18-01831.84] 有动产和不动产就可以了
[01831.84-01833.76] 这是第一个第一种分类
[01833.76-01835.66] 第二种就是根据物
[01835.66-01836.94] 是否不依赖
[01836.94-01839.78] 它我独立存在的标准性花分
[01839.78-01841.50] 这个时候就换为两个物
[01841.50-01842.54] 一个叫主物
[01842.54-01844.14] 一个叫从物
[01844.14-01845.58] 所以这个主物是啥呢
[01845.58-01846.70] 在这里他说了
[01846.70-01850.54] 说主物是只在两种以上的物相互配合
[01850.54-01853.22] 按一定的经济目的组合在一起时
[01853.22-01856.10] 能够独立存在或其主要做的物
[01856.10-01857.38] 就叫做主物
[01857.38-01859.34] 他有点像什么感觉同学们
[01859.34-01860.94] 这里面的主物和从物
[01860.94-01863.38] 就有点像咱们在经济学当中里打讲的
[01863.38-01865.38] 户部线
[01865.38-01866.50] 户部线
[01866.50-01869.90] 它有一个主要的一个配套它使用的
[01869.90-01870.30] 对吧
[01870.30-01873.90] 那只要是两个搭配在一块才能完成它的使用的
[01873.90-01875.10] 这个就要做什么
[01875.10-01876.30] 就叫做主播和宠物
[01876.30-01877.90] 就要做类虽那种感觉
[01878.10-01881.90] 但这里它说主播是独立存在变浅能够企举
[01881.90-01882.90] 主要做的物
[01882.90-01884.58] 这个就要做主播
[01884.58-01887.10] 比如说电视机电视机是主播
[01887.10-01889.90] 要控器就是要控器就是要宠物
[01889.90-01891.50] 所以这次主播和宠物
[01891.50-01895.50] 说宠物是配合主播的使用而其服作中
[01895.50-01897.74] 比如说刚才我们所说的 要空气
[01897.74-01899.38] 这个就是主物和从物
[01899.38-01900.78] 这样的都区分就行了
[01900.78-01904.14] 比如说我们买房子 买房子 主是啥
[01905.34-01906.54] 房子嘛 对吧
[01906.54-01909.98] 你的主物就是你的大号损的二十一的四个月
[01909.98-01911.10] 这个是主物
[01911.10-01913.86] 那说老是 得到非常房子的从物是什么呢
[01913.86-01916.98] 从物 比如说房子的窗户
[01916.98-01919.94] 比如说这个房子 它的一些说明说
[01919.94-01922.74] 它的一些手序 对吧 它的要是
[01922.74-01924.06] 这些都是与从物
[01924.06-01928.26] 所以在概念上,感觉上都会去分主务和从务就可以了
[01928.26-01930.54] 这个点也不是考察了一个重点
[01930.54-01932.46] 这是务的第二个大分类
[01932.46-01934.66] 那务的第三个大的分类呢
[01934.66-01936.22] 叫做原物和资息
[01936.22-01938.66] 同样在这里把原物和资息标出出来
[01938.66-01939.94] 它是一个重点
[01939.94-01942.38] 原物和资息一般在考察的时候呢
[01942.38-01943.78] 比较喜欢考察
[01943.78-01945.50] 理解行的题目
[01945.50-01946.66] 那么来看一下
[01946.66-01948.34] 原物和资息到底是怎么回事
[01948.34-01949.70] 去重点呢
[01949.70-01951.86] 在这个模块上,那我们标得在选稀点
[01951.86-01953.18] 去重点在资息上
[01953.18-01955.18] 我标对资息者好吧
[01956.18-01958.76] 那么来看一下原物和资息到底是啥啊
[01958.76-01960.36] 首先第一个他说了
[01960.36-01963.68] 说根据两物之间的产生关系
[01963.68-01965.88] 进行标准进化分的
[01965.88-01967.08] 原物是啥呢
[01967.08-01970.22] 说原物是指作为本体而一起属性
[01970.22-01973.52] 可产生心物的物就叫做原物
[01973.52-01976.58] 这有时候比如说母牛就叫做原物
[01976.58-01977.56] 那资息是啥呢
[01977.56-01981.14] 资息是从原物当中产生出来的新的东西
[01981.14-01982.42] 就叫做自席
[01982.42-01983.82] 这有时候就是什么
[01983.82-01985.50] 母牛生出来的牛堵
[01985.50-01987.94] 我经常说过妈看完笑我妈经常
[01987.94-01990.30] 就是拿着条东北话拿条子的
[01990.30-01992.54] 追我打我就是我经常跟我妈说
[01992.54-01993.90] 我是妈我说我说一看
[01993.90-01995.02] 你就是个原物
[01995.02-01996.54] 我就是你的自席
[01996.54-01998.38] 我妈就说就会拧条着打我
[01998.38-02000.62] 说说什么人话的
[02000.62-02001.86] 所以在这里你看
[02001.86-02005.58] 像我们所说的这种概念的这种感觉的这些东西
[02005.58-02007.26] 就叫做原物和自席
[02007.26-02008.58] 所以大家能够从感觉上
[02008.58-02010.78] 知道原物和自席到底怎么会设就行了
[02010.78-02014.94] 我在取个例子比如说母机会生小机
[02014.94-02019.78] 那母机就是原物 小机就是小机就是仔细
[02019.78-02021.02] 那就是这个感觉
[02021.02-02023.74] 他们之间是产生于被产生的关系
[02023.74-02024.86] 所以在这里面
[02024.86-02026.78] 大家知道原物和仔细
[02026.78-02029.74] 那中点就是在自己的花分上
[02029.74-02031.26] 我们所说的这个仔细
[02031.26-02032.38] 它有两种分类
[02032.38-02033.50] 同时来看一下
[02033.50-02034.94] 仔细有两种
[02034.94-02037.18] 一种就要做天然仔细
[02037.18-02040.14] 一种就叫做法定了
[02040.14-02043.38] 这我们所说的这个仔细的分类
[02043.38-02044.90] 天日仔细的事实是
[02044.90-02047.42] 天日仔细的事比较说过时
[02047.42-02049.74] 物的出产物以及按照
[02049.74-02052.10] 物的使用方法所获得的产物
[02052.10-02054.10] 你说老师你说的太抽象了
[02054.10-02055.30] 比如说刚才我们所说的
[02055.30-02056.42] 动物产下的蛋
[02056.42-02058.42] 或是动物产下的小牛仔
[02058.42-02058.94] 对吧
[02058.94-02061.82] 或者是我们经常看到在澳大利亚
[02061.82-02062.78] 或者在那个地方
[02062.78-02063.78] 他们经常要养吗
[02063.78-02065.42] 不知道大家还记得记得那个养
[02065.42-02066.82] 我不太会换
[02066.82-02069.50] 但是那个杨就特别偷老胖 对吧
[02070.18-02073.62] 二多 嘴 呃 就是眼睛吧
[02074.18-02076.86] 看起来不太对 但是不道哪里不对啊
[02077.74-02078.98] 只是这个杨啊
[02079.46-02080.18] 这个杨
[02081.78-02083.66] 三小腿四小腿啊 就这样买 好玩
[02084.06-02086.62] 这个杨 大家看到这个杨特别的胖
[02086.62-02089.02] 这是它身上有很多的什么 有很多的毛
[02089.02-02092.10] 然后呢 它就经常偷跑 偷跑之后呢
[02092.10-02092.82] 他就不兼猛
[02092.82-02095.50] 后来他实际上的猫越长越长越长越长越长越长越长
[02095.50-02096.74] 他实际上没有办法了
[02096.74-02099.66] 他后来他就从他头往那个地方又跑进去了
[02099.66-02100.86] 然后他主任给他替猫
[02100.86-02102.86] 然后踢下了好炒中的猫 对吧
[02102.86-02103.90] 那一看像这种
[02103.90-02105.38] 剪下来的羊猫
[02105.38-02106.30] 他也属于什么
[02106.30-02107.70] 这个剪下来的羊猫
[02107.70-02110.74] 他也属于我们所说的天然仔细
[02110.74-02112.82] 又或者我们比较长见的
[02113.82-02114.66] 苹果树 对吧
[02114.66-02116.10] 苹果树上面接苹果
[02116.10-02118.74] 牛顿就是当年被苹果树上的苹果扎的
[02118.74-02119.78] 苹果树上
[02119.78-02122.18] 小蘋果 蘋果輸下你和我
[02122.18-02123.98] 對吧 那你看這個蘋果
[02123.98-02125.38] 他也是屬於什麼
[02125.38-02127.78] 他也是屬於天然自席
[02127.78-02130.38] 或者是我們春天中安地
[02130.38-02131.98] Q天收的那個裝甲
[02131.98-02133.78] 他其實這些都屬於天然自席
[02133.78-02136.50] 所以天然自席就是果實在
[02136.50-02138.10] 物的產出物等等
[02138.10-02139.58] 這一些就要做天然自席
[02139.58-02141.18] 所以大家有一個感覺就OK了
[02141.18-02143.38] 這是我們所說的第一個天然自席
[02143.38-02145.18] 天然自席在考察的時候
[02145.18-02146.38] 經常會考察什麼的
[02146.38-02147.38] 大家注意一下
[02147.38-02148.98] 天然自席經常會考察
[02148.98-02150.38] 他的归属的问题
[02150.38-02151.78] 什么叫做归属呢
[02151.78-02152.64] 比如说
[02153.14-02153.94] 现在
[02153.94-02154.72] 我呢
[02154.72-02155.52] 在
[02155.52-02156.62] 有一头小牛
[02156.62-02157.02] 对了
[02157.02-02158.52] 然后我有一头牛之后呢
[02158.52-02159.32] 然后这个牛呢
[02159.32-02160.62] 我也不知道他怀孕了
[02160.62-02161.86] 我不知道他怀孕了之后呢
[02161.86-02162.90] 后来我就把这个牛
[02162.90-02163.76] 祝给你了
[02163.76-02164.36] 没卖吧
[02164.36-02164.98] 是祝
[02164.98-02165.62] 不是卖
[02165.62-02166.18] 祝给你了
[02166.18-02167.12] 因为你家里没有牛嘛
[02167.12-02167.98] 我把牛祝给你了
[02167.98-02168.62] 祝给你之后
[02168.62-02170.42] 男生你在照顾这个牛一段时间之后
[02170.42-02171.70] 发生了一周牛祝子
[02171.70-02172.34] 越来越大
[02172.34-02173.54] 又过了一段时间之后发现
[02173.54-02173.82] 哎呦
[02173.82-02174.98] 收了一个牛
[02174.98-02176.74] 而且生了双包太牛
[02176.74-02178.10] 你这时候还太开心了
[02178.10-02180.14] 然后在这里面就会涉及到一个问题
[02180.14-02183.28] 就是这个下出来的这两个小牛仔
[02183.28-02185.66] 它到底是归你所有的还是归我所有的
[02185.66-02187.54] 因为我当时我不知道这个牛怀孕了嘛
[02187.54-02187.82] 对吧
[02187.82-02191.02] 所以在这里面就会涉及到天然仔细的归属问题
[02191.02-02193.22] 天然仔细的归属你看他怎么说的
[02193.22-02196.02] 他说天然仔细有所有全人去的
[02196.02-02198.38] 就所有全人又有用一物全人的
[02198.38-02199.82] 有用一物全人去的
[02199.82-02201.66] 当时人六月定的按照企业
[02201.66-02202.26] 月定
[02202.26-02203.06] 啥意思呢
[02203.06-02204.10] 你就在旁既下
[02204.10-02205.50] 天然仔细的归属
[02205.50-02206.42] 他有这么激动
[02206.42-02207.46] 第一种就是
[02207.46-02208.50] 看一下有个约定
[02209.26-02211.12] 第一句话就是有约
[02211.42-02212.18] 从约
[02212.38-02214.02] 那如果有约从约的话
[02214.02-02215.66] 那这个时候约定规则
[02215.66-02217.42] 那这个天子吸救规则
[02217.54-02219.86] 如果说我把这个牛租给你
[02219.86-02221.22] 租金一位月二十万
[02221.22-02224.38] 说这个牛在租给你这个期间所产生的
[02224.50-02225.82] 任何东西都给你
[02225.82-02227.02] 那这种情况之下
[02227.02-02229.66] 那两个小牛独就规律方了
[02229.66-02231.62] 所以这个时候是收红约定的
[02231.62-02232.80] 因为民事法
[02232.80-02233.82] 民法民法
[02233.82-02235.62] 他很大程度上
[02235.62-02237.98] 尊重当身双方的合意
[02237.98-02240.54] 所以在这里这是有约从约
[02240.54-02243.08] 那你说老师如果无约5约的话
[02243.08-02243.82] 大家注意一下
[02243.82-02244.58] 没有约定
[02244.58-02246.06] 比如说像刚才那样的情况
[02246.06-02247.40] 我也不知道他还约了
[02247.40-02248.36] 我也没给你约定
[02248.36-02249.50] 我这说把你又作为你用
[02249.50-02251.62] 那无约约收拾人
[02254.62-02257.02] 无约约收拾人
[02257.02-02258.82] 那如果大家知道
[02258.82-02260.42] 那如果说既有收拾人
[02260.42-02261.74] 又用约约人的话
[02261.74-02264.30] 那就是约用约无全人
[02265.62-02269.62] 那回用意武权人
[02269.62-02270.62] 所以在这里大家知道
[02270.62-02273.62] 这是天日仔细它的归属的问题
[02273.62-02274.62] 所以做体的时候
[02274.62-02276.62] 咱们还是要稍微的注意一下
[02276.62-02277.62] 咱们要注意一下
[02277.62-02279.62] 所以第一个就是有没有从约
[02279.62-02281.62] 温度当时人双方的可以
[02281.62-02282.62] 那这是天日仔细
[02282.62-02285.62] 那还有一些仔细叫做法定仔细
[02285.62-02287.62] 法定法定就是因什么
[02287.62-02289.62] 因民事法律关系的变动
[02289.62-02292.62] 而获得的收益叫做法定仔细
