[00000.00-00004.90] 我们接着来看第三节的内容就是生物一学之事
[01218.10-01220.14] 说光合作用就紧解是
[01220.14-01221.36] 绿色植物
[01221.36-01222.36] 他的一个啥啥啥
[01222.36-01223.60] 那这种说法就错了
[01223.60-01225.46] 所以在这里能够进行光合作用的
[01225.46-01226.30] 大家要注意一下
[01226.30-01227.64] 还包括吸军
[01227.64-01228.60] 还包括吸军
[01228.60-01229.36] 这是第一个点
[01229.36-01230.90] 第二个点大家都知道
[01230.90-01234.64] 光合作用最常见的就是把二人化探转化成什么
[01234.64-01235.60] 转化成
[01235.60-01237.36] 养气或者是清气的过程
[01237.36-01239.36] 我们常见的就是养气
[01239.36-01240.88] 那吸叠的考虑就在什么呢
[01240.88-01241.92] 就在光合作用
[01241.92-01244.22] 他既然能夠釋放養氣
[01244.22-01246.72] 那養氣大家都知道是對人體有力的
[01246.72-01248.72] 在這裡面就會延伸考一個點
[01248.72-01249.52] 什麼點呢
[01249.52-01251.62] 就是我們要進行運動的時候
[01251.62-01254.76] 一定是在養氣比較充足的時候
[01254.76-01256.22] 你比如說養氣不充足的時候
[01256.22-01257.32] 你看他出一跑步
[01257.32-01259.02] 你這時候也會覺得怎麼樣
[01259.02-01260.52] 呼吸困難深信批不而
[01260.52-01262.52] 所以我們一般運動的時候都是在養氣
[01262.52-01263.92] 相對來說比較充足的時候
[01263.92-01264.92] 去進行運動
[01264.92-01266.82] 那這裡面就會結合一個點說
[01266.82-01269.92] 那我們在一天當中的什麼時間運動
[01269.92-01270.96] 最合理
[01272.72-01275.72] 我在这写上就是断练身体的最佳时间
[01278.36-01280.84] 断练身体的最佳时间
[01280.84-01282.20] 我还练的是错了
[01283.24-01284.20] 小丝
[01284.20-01286.04] 断练的最佳时间
[01290.72-01293.00] 那断练的最佳时间一定是
[01293.00-01294.24] 我们所说的
[01294.24-01296.68] 养气含量比较高的时候
[01296.68-01297.04] 对吧
[01297.04-01298.68] 你说什么时候养气含量高呢
[01298.68-01300.68] 你早上起来刚起来的时候
[01300.68-01301.86] 这种情况之下
[01301.86-01303.86] 我们所说的养弃还两个不够
[01303.86-01304.52] 你想一样
[01304.52-01305.86] 早上起来五六点钟
[01305.86-01306.24] 对吧
[01306.24-01307.36] 很多人喜欢成练
[01307.36-01308.96] 但这个一会咱们另说
[01308.96-01310.56] 比如说很多人喜欢成练
[01310.56-01312.80] 它早上起来五六点钟的时候
[01312.80-01313.76] 它出去跑步
[01313.76-01315.60] 但是你看五六点钟天才
[01315.60-01317.80] 刚亮所有动物直霍
[01317.80-01319.64] 它都一晚上都在的呼吸
[01319.64-01321.36] 呼吸就是排大量的二人
[01321.36-01322.36] 它这种情况
[01322.36-01324.20] 这家其实没有很充足的养弃
[01324.20-01325.04] 所以在这种情况
[01325.04-01326.44] 成练出去跑步
[01326.44-01328.68] 他是不是最佳的时间点选择呢
[01328.68-01330.80] 这不是最佳的时间点选择
[01330.80-01331.88] 所以在这种情况之下
[01331.88-01333.40] 我们认为最佳时间什么样呢
[01333.40-01335.60] 一定是光造之后产生大量气了
[01335.60-01337.96] 比如说到了一天的中午的时候
[01337.96-01339.04] 或者是下午的时候
[01339.04-01339.96] 光照很充足
[01339.96-01341.36] 养气之力很充足
[01341.36-01344.80] 但是像中午和下午聊天来中区跑步的时候
[01344.80-01346.16] 是会很热呀
[01346.16-01346.52] 对吧
[01346.52-01348.20] 就是太阳正强的时候
[01348.20-01349.08] 尤其是下天
[01349.08-01350.80] 所以他的时间也不是最合理的
[01350.80-01352.04] 什么时间最合理呢
[01352.04-01353.64] 就是下午四点左右
[01356.44-01359.52] 下午4点钟左右的时候
[01359.52-01361.56] 我们所说的出去段线是最合理的
[01361.56-01364.64] 因为第一个温度它不是特别的
[01364.64-01365.92] 我们所说的这个热
[01365.92-01367.96] 尤其是在下天第二个下午4点
[01367.96-01371.28] 因为它这有时候光照已经经过了一整天
[01371.28-01373.08] 空气当中已经充满了什么
[01373.08-01376.60] 养气二养气的含量也是最充足的时候
[01376.60-01379.48] 所以这种时间段线是最合理的
[01379.48-01383.56] 所以在我们的考试当中经常就会把这个光合作用
[01383.56-01385.12] 结合这个点来考察
[01385.12-01388.00] 因为它是方养器嘛的养器就是断力所必须的
[01388.00-01390.72] 所以它就会考到断力的最佳时间是几点钟
[01390.72-01392.88] 大助一下是下午4点左右
[01392.88-01394.48] 这两个点大家要免去
[01394.48-01397.28] 正在光和中当中我们需要掌握的电
[01397.28-01398.72] 但是很多同学就说
[01398.72-01399.92] 老师那不对
[01399.92-01401.76] 我们以前会是到现在
[01401.76-01403.76] 为啥我们都提到要早上断力的
[01403.76-01404.56] 大助亚
[01404.56-01407.12] 这个是我们从又是的角度来说的
[01407.12-01409.20] 因为我也不是专业的这种
[01409.20-01410.80] 学这种生物的
[01410.80-01413.92] 或者是专业的这种学义的这种人愿
[01413.92-01416.12] 但是我只能给大家去简单的区分一下
[01416.12-01418.68] 就是我们从收物学的角度来看
[01418.68-01420.16] 或者从硬视的角度来看
[01420.16-01422.04] 下午四点当中是最好的
[01422.04-01424.44] 但是从中一的角度来看
[01424.44-01426.12] 早上段列是比较好的
[01426.12-01428.36] 因为早上的是杨器上升的时候
[01428.36-01429.68] 也就是生杨阶段
[01429.68-01431.84] 一个人他在早上起来的时候
[01431.84-01432.88] 他如果觉得
[01432.88-01433.64] 精神匹贝
[01433.64-01434.76] 然后他也起不来
[01434.76-01436.84] 然后就感觉起来也是非常累的话
[01436.84-01439.56] 主要就是因为用中一个说来来说的可能是身体
[01439.56-01440.56] 杨器不足
[01440.56-01442.20] 这种情况这家他很呼类大家
[01442.20-01444.88] 早上起来什么打打八段紧
[01444.88-01446.32] 对吧 练练金刚弓
[01446.32-01447.84] 但是这个一般情况
[01447.84-01449.44] 像这种八段紧和金刚弓
[01449.44-01452.56] 他在去练的时候都是在早上七点钟左右
[01452.56-01453.96] 对吧 在实点之前完成
[01453.96-01455.16] 因为这种是少养
[01455.16-01456.92] 还没有到我们所说的特别
[01456.92-01458.32] 养弃特别 忘圣的时候
[01458.32-01460.32] 这种说换行你身体当中的养弃
[01460.32-01461.56] 相对来说是比较好
[01461.56-01464.48] 但是那个是在中一学的角度
[01464.48-01465.40] 我们去说的
[01465.40-01467.64] 对吧 从身体他这个气的运行角度
[01467.64-01469.52] 或从中一的一例角度来说
[01469.52-01472.08] 但是我们在考设的时候不用考设这个问题
[01472.08-01475.36] 我们考设的时候就只是从用事的角度来看
[01475.36-01476.24] 因为在这里面
[01476.24-01477.28] 我也不是专业了
[01477.28-01480.12] 我只是掌握了一些有关张的支持
[01480.12-01482.92] 就给通讯们解一个一货
[01482.92-01484.60] 就很多同样可能会觉得说
[01484.60-01486.00] 那成练去怎么说
[01486.00-01489.48] 成练我们从生物的角度不去怎么看
[01489.48-01490.12] 没卖了
[01490.12-01493.76] 我们说像我思练中最好是从光河作用的角度来看
[01493.76-01495.48] 但是一天最佳的
[01495.48-01497.00] 这个段量时间和段量的状态
[01497.00-01498.96] 开始要具体情况去分析的
[01498.96-01502.04] 所以这个地方同们就在考试里面这么近就可以了
[01502.04-01505.32] 那这是第一个我们所说的光和作用
[01505.32-01507.72] 大家知道释放养棄或轻棄的国程
[01507.72-01510.68] 那有把二人化探折化车养棄的国程
[01510.68-01514.16] 那就有反过来把养棄转化程二人化探的国程
[01514.16-01517.44] 把养棄转为二人化探的这个称之位叫做什么
[01517.44-01518.28] 呼吸作用
[01518.28-01520.12] 所以我们来看一下在这里他说的
[01520.76-01523.48] 他说呼吸作用是生物体
[01523.48-01527.24] 在西方内将有机物分解产生能量的发有过程
[01527.24-01529.24] 也就是製造人花叛的过程
[01529.44-01531.04] 呼吸作用分为两种
[01531.04-01531.84] 大家注意一下
[01531.84-01534.40] 一种是油样器参与时的呼吸
[01534.40-01535.56] 叫做油样呼吸
[01535.56-01537.36] 一种是没样器参与的呼吸
[01537.36-01539.36] 则称的人叫做无样呼吸
[01539.36-01540.80] 你比如说我们现在
[01541.08-01542.44] 一呼一吸之间
[01542.44-01543.72] 它其实就是干嘛
[01543.72-01544.96] 就是油样器参与
[01544.96-01546.52] 它就叫做无样呼吸
[01546.52-01549.00] 你说老师还有没有养器参加的呼吸呢
[01549.00-01549.64] 有
[01549.64-01551.12] 比如说发较的过程
[01551.12-01553.12] 它有很多就不需要养器参加
[01553.12-01554.24] 它就在那种发较
[01554.24-01556.20] 那这种情况之下就叫做什么
[01556.20-01557.36] 无养呼吸
[01557.36-01558.76] 而考试的时候
[01558.76-01561.76] 它不会考什么叫游养呼吸什么叫无养呼吸
[01561.76-01563.24] 它不会考这个概念
[01563.24-01565.16] 这几年在国务城考当中
[01565.16-01566.56] 考得比较多的
[01566.56-01569.40] 是根据游养呼吸和无养呼吸
[01569.40-01571.80] 对应的相应的运动
[01571.80-01573.88] 游养气参与的这种运动
[01573.88-01576.52] 我们所说的称率叫做游养运动
[01576.52-01577.76] 所以它会考这个
[01580.48-01581.96] 游养运动
[01581.96-01583.20] 当然还有一种
[01583.20-01585.32] 就是我们所说的强度比较大的这种
[01585.32-01587.32] 就是5养運動
[01591.00-01594.52] 考試的時候不考呼吸考這兩種運動
[01594.52-01596.32] 接下來需要投進的在這
[01596.32-01597.52] 做一個補充
[01597.52-01598.36] 我們來看一下
[01598.36-01599.64] 有樣運動和5养運動
[01599.64-01600.68] 到底怎麼回事
[01600.68-01602.48] 其實像有樣運動和5养運動
[01602.48-01603.88] 咱們在這場生活當中
[01603.88-01604.96] 也不要常見
[01604.96-01606.68] 我們先來看一下有樣運動
[01606.68-01609.52] 他們兩個就經常會對別毀小考察
[01611.72-01613.12] 有樣運動是什麼樣呢
[01613.12-01615.28] 大家看一下永远运动就是有充足的
[01615.28-01616.88] 我们就可以简单的理解
[01616.88-01619.16] 就是不用像健身教练
[01619.16-01620.32] 说一点要那么专业
[01620.32-01621.30] 我们就简单理解
[01621.30-01623.60] 永远运动就是有足够的养去
[01623.60-01625.36] 去猜远你的运动的
[01625.36-01626.88] 这样的过程就叫做什么
[01626.88-01627.48] 永远运动
[01627.48-01628.72] 欢迎话说的就是在
[01628.72-01631.48] 这个运动过程当中你的呼吸是顺畅的
[01631.48-01632.84] 你不会感觉自己说
[01632.84-01634.08] 像缺养的那种感觉
[01634.08-01635.92] 那这里面就是我们所说的什么
[01635.92-01636.80] 永远运动
[01636.80-01638.28] 那永远运动大家注意一下
[01638.28-01639.80] 它在考试的时候经常会考
[01639.80-01640.92] 第一个我们要知道
[01640.92-01644.72] 那游泳運動他的心率一般情況之下是多高呢
[01645.72-01649.44] 游泳運動的心率一般情況是60到80對吧
[01649.44-01652.68] 那這個是我們所說的這種游泳運動的基本心率
[01652.68-01654.72] 那當然它有燃止的這樣那個
[01654.72-01657.16] 我們所說的心率可能就已經上到120了
[01657.16-01660.12] 但這個在我們考試的說中大概了解一下
[01660.12-01661.40] 它的心率問題就行了
[01661.40-01664.08] 主要的是什麼呢主要是游泳運動
[01664.08-01665.28] 它的主要目的
[01665.28-01667.12] 它的一個主要作用在什麼
[01669.52-01670.52] 大家注意一下
[01670.52-01673.92] 游泳运动的主要作用呢其实就是在于然止
[01676.02-01677.12] 我来写在这儿啊
[01677.12-01680.42] 人第一个游泳运动的主要作用
[01683.32-01685.42] 就在于我们所说的然止
[01687.42-01688.42] 就是剪费吗
[01688.42-01690.42] 那剪费呢其实一般情况之下
[01690.42-01693.02] 有大部分的人都会去选择做什么
[01693.02-01694.42] 去做游泳运动
[01694.42-01696.12] 大家都知道就是这个剪费
[01696.12-01698.12] 或者是剪掉这个支房
[01698.12-01700.94] 他不是看你有沒有留很多的漢
[01700.94-01701.92] 因為我們都知道
[01701.92-01703.02] 這個支房
[01703.02-01705.96] 他不是通過漢水去排出來的
[01705.96-01706.24] 對吧
[01706.24-01708.24] 支房是要通過呼吸作用
[01708.24-01710.74] 就是通過你的呼吸二話
[01710.74-01712.36] 看很有業去排除的
[01712.36-01713.48] 所以漢倫
[01713.48-01715.70] 我們所說的運動他有沒有
[01715.70-01716.88] 達到這樣一個標準
[01716.88-01718.28] 不是看你留了多少漢
[01718.28-01720.28] 其實一般球下只要是動起來
[01720.28-01721.32] 他其實就能夠
[01721.32-01722.92] 起到一定的燃植作用
[01722.92-01723.88] 所以有樣運動
[01723.88-01726.76] 他一般球下最主要的作用就是燃植
[01726.76-01729.00] 而且我们也知道游泳军动游泳军动
[01729.00-01730.72] 有足够的养趣去参与
[01730.72-01732.20] 所以在游泳的过程当中
[01732.20-01733.56] 比如说你的漫跑
[01733.56-01734.44] 你这个漫跑
[01734.44-01735.88] 你就可以跑很长时间
[01735.88-01737.80] 所以游泳军动呈现出来的特点
[01737.80-01740.24] 就是它的时间长
[01740.24-01742.24] 但是它的强度不高
[01745.04-01746.08] 强度不高
[01746.08-01748.44] 比如说跳个广场舞了
[01748.44-01748.84] 对吧
[01748.84-01750.28] 出去漫跑一下了
[01750.28-01751.68] 对吧跳个舞蹈了
[01751.68-01753.56] 这些其实都属于我们所说的
[01753.56-01754.20] 游泳军动
[01754.20-01755.36] 所以就可以绿笔
[01755.36-01756.40] 我们常见这种情况
[01756.40-01758.40] 就知道它相当来说时间比较长
[01758.40-01759.76] 但是强度不高
[01759.76-01760.92] 那它具体的
[01760.92-01762.56] 我们所说的越南军东的总练
[01762.56-01763.64] 它其实也考过
[01763.64-01765.64] 比如说我们常见的慢跑
[01765.64-01766.64] 你慢慢跑
[01766.64-01767.12] 对吧
[01767.12-01767.88] 这种情况之下
[01767.88-01769.44] 你不会说胡持代传的
[01769.44-01770.60] 这种属于有样
[01770.60-01771.84] 或者是其车
[01771.84-01773.28] 又或者我们常见的
[01773.28-01774.60] 求练
[01774.60-01775.60] 还有我们所说的
[01775.60-01777.44] 这种舞蹈等等
[01777.44-01779.44] 它其实都是非常典型的
[01779.44-01780.60] 有样运动
[01780.60-01781.60] 这是我们所说的
[01781.60-01783.08] 第一个就做有样运动
[01783.08-01784.84] 那和有样运动相对应该就是什么
[01784.84-01786.28] 就是无样运动
[01786.28-01788.28] 和一萬元都相比五樣運動
[01788.28-01790.00] 它的消耗更高
[01790.00-01791.32] 它的心率也更高
[01791.32-01792.72] 所以一般五樣運動達到五樣
[01792.72-01794.32] 能心率都在上到一來七八
[01794.32-01794.84] 對吧
[01794.84-01796.28] 所以在這裡大家注意一下
[01796.28-01797.32] 而五樣運動
[01797.32-01799.20] 它的主要的作用
[01799.20-01800.84] 就不是在於軟質了
[01800.84-01802.44] 那說老師五樣運動不軟質嘛
[01802.44-01804.20] 當然是它的軟質效果比二
[01804.20-01805.28] 運動要好
[01805.28-01807.16] 但是五樣運動更加
[01807.16-01808.60] 我們所說的
[01808.60-01810.28] 更加突出的一個作用
[01810.28-01812.28] 就是提升激容力量
[01813.88-01814.56] 大家都知道
[01814.56-01816.56] 連激弱的時候要去練氣械
[01816.56-01818.28] 那你去監視防練氣械的時候
[01818.28-01819.52] 其實更多都是什麼
[01819.52-01821.76] 所以更多都是我們所說的五樣運動
[01821.76-01825.12] 是五樣運動的主要作用就在於提升激弱力量
[01825.12-01826.12] 提升激弱力量
[01826.12-01827.64] 那這在這大家注意一下
[01827.64-01829.92] 像我們所說的這種五樣運動
[01829.92-01832.92] 它一般情況之下都是強度非常大的
[01834.04-01835.68] 都是我們所說的強度大
[01835.68-01838.92] 但強度大一般情況下就是因為這時間段
[01838.92-01842.82] 强度大 時間軟
[01842.82-01846.82] 就是它是爆發性的運動 會更多一些
[01849.82-01851.62] 爆發性的運動會更多一些
[01851.62-01853.82] 那說到爆發性的運動 那你就知道了
[01853.82-01857.12] 比如說近在跑 跑個500跑個800
[01857.12-01860.12] 對吧 跑個50 這種充刺的這種塞跑
[01860.12-01862.32] 又或者我們常見的 舉重
[01864.92-01867.12] 還有我們比我說的跳高 對不對
[01867.12-01869.16] 那你看像这种都是爆发性的
[01869.56-01870.84] 我们这种运动的话
[01871.00-01873.00] 它其实都是我们所说的这种
[01873.12-01873.96] 无养运动啊
[01873.96-01875.32] 所以无养运动大家注意一下
[01875.32-01877.12] 它主要是提升几个力量
[01877.28-01879.32] 那除了在这个方面之外
[01879.32-01881.44] 其实在无养运动还会考察到一个点
[01881.56-01883.08] 就大家去练完气息之后
[01883.08-01884.64] 比如说你要练你的手臂
[01884.76-01886.16] 练你的胸肌练你的背
[01886.32-01888.08] 你举完那天的东西之后
[01888.08-01889.64] 你会发现第二天你怎么样
[01889.84-01891.48] 你身上都不太好了吧
[01891.48-01893.32] 你就在在不及咱们就说
[01893.32-01896.12] 咱们以前在学校体能测试的时候跑八百
[01896.12-01897.40] 跑完800的时候
[01897.40-01898.94] 你跑完百万有什么感觉吗
[01898.94-01900.06] 如果你平时不断练的话
[01900.06-01901.06] 我就有一个感觉
[01901.06-01902.72] 我记得我大一的时候
[01902.72-01904.26] 那都是好多年前的事了
[01904.26-01905.60] 回忆一下销言生活
[01905.60-01907.16] 我记得我在上大学第一次
[01907.16-01908.40] 测班外的时候我的天
[01908.40-01910.46] 我在跑的时候感觉我不行了
[01910.46-01911.36] 如果跑的时候
[01911.36-01912.22] 我就感觉我的那个
[01912.22-01913.90] 嗓子里面都要出血了
[01913.90-01914.40] 对不对
[01914.40-01915.12] 然后你就感觉
[01915.12-01916.12] 按着嗓子里面
[01916.12-01917.94] 心甜心甜的那种感觉
[01917.94-01919.28] 然后你在跑的时候
[01919.28-01920.18] 就在那个地方
[01920.18-01921.48] 你感觉都跑不动
[01921.48-01922.48] 然后不仅跑不动
[01922.48-01923.12] 然后就跑完了
[01923.12-01925.38] 就就感觉我的呼吸到都突然了
[01925.38-01928.06] 只是一直都被离中感觉
[01928.06-01929.86] 这是我第一天跑完这种情况
[01929.86-01931.02] 你看像这种塞跑
[01931.02-01931.86] 它其实就是什么
[01931.86-01935.26] 它其实就是一种强度很大的一种爆发性的一种运动
[01935.26-01936.86] 这是我第一天测试
[01936.86-01937.86] 我第一天测试完了
[01937.86-01939.74] 之后还是这样对包装这种环维稳
[01939.74-01941.02] 而且缓了很长时间
[01941.02-01942.58] 但结果第一天八百测完之后
[01942.58-01943.30] 第二天怎么样
[01943.30-01945.74] 第二天我从起身的闯盘下来的时候
[01945.74-01947.14] 我是不是整个人都不好了
[01947.14-01948.58] 我都感觉我下不了劳题了
[01948.58-01949.98] 我一感觉我下了劳题的时候
[01949.98-01951.14] 都是一步一步下来的
[01951.14-01952.42] 为啥我那两条腿
[01952.42-01953.62] 都不停使换了
[01953.62-01955.10] 特别特别的头
[01955.10-01958.32] 那由意味着无养运动它更多的会出现什么问题
[01958.32-01960.90] 会出现极肉酸痛问题
[01960.90-01963.86] 所以在这里面因为我们都知道没有痛足的养气
[01963.86-01966.36] 那这种情况这条很多东西就代歇不出去了
[01966.36-01969.20] 那这种情况之下就会出现极肉酸痛
[01971.90-01973.66] 就是出现极肉酸痛的情况
[01973.66-01975.44] 那为什么会出现极肉酸痛呢
[01975.44-01978.48] 就是因为在无养运动的情况之下产生了什么
[01978.48-01980.32] 产生了大量的乳酸
[01983.18-01984.84] 产生了大量的乳酸
[01984.84-01987.24] 所以会出现金入酸通的情况
[01987.24-01989.44] 而这个金入酸通和入酸有关
[01989.44-01991.64] 它也是谁单位考过的
[01991.64-01994.12] 所以这是我们在这里消胆去注意的
[01994.12-01996.24] 游昂云都和无养运动
[01996.24-01997.92] 所以一般情况还是原纸的话
[01997.92-02000.64] 你要只是单纯的先剪掉提制的话
[02000.64-02002.44] 但其实做游昂就过了
[02002.44-02004.44] 但是我想提出金入里了素贤的话
[02004.44-02006.84] 你可能就要上一些气血去煉煉
[02006.84-02007.44] 无养运动啊
[02007.44-02009.84] 但无养运动确实是有点痛苦
[02009.84-02011.04] 所以在这里大家注意一下
[02011.04-02012.04] 这是游昂和无养
[02012.04-02013.24] 考试的时候考过
[02013.24-02016.32] 就是专门让我们对比油样运动和无养运动的
[02016.32-02020.36] 所以在这种情况之下大家知道这是油样和无养
[02020.36-02022.76] 这是我们根据它的呼吸作用
[02022.76-02023.84] 也身出来的直直点
[02023.84-02025.20] 同时给它提清楚
[02025.20-02026.32] 这是第三个
[02026.32-02027.56] 第四个就是
[02027.56-02029.24] 我们既然要提到了生物
[02029.24-02030.84] 那我们就不得不提了一个概念
[02030.84-02031.60] 去做做什么
[02031.60-02033.24] 就要做生态系统
[02033.24-02034.84] 生态系统大家注意一下
[02034.84-02036.40] 目前还在考
[02036.40-02038.32] 只剥哪个地区考的标der
[02038.32-02040.88] 就是核南三制衣服考试的时候
[02040.88-02043.04] 年年都会考到生态系统
[02043.04-02045.04] 就一定会出生态系统的一道体
[02045.04-02047.04] 近三年连去三年考察了
[02047.04-02048.04] 那大家就来看一下
[02048.04-02050.04] 既然还有口口兄的话
[02050.04-02052.04] 那我们就来看一下这个生态系统
[02052.04-02054.04] 它到底是怎么回事
[02054.04-02056.04] 人第一个我们来看一下什么叫做生态系统
[02056.04-02057.04] 生态系统
[02057.04-02060.04] 显成1C01
[02060.04-02062.04] 就是代表的是自然生态的意思
[02062.04-02064.04] 注意一下是1C0
[02064.04-02066.04] 不要给它整成C0
[02066.04-02068.04] C0是小数儿重排
[02068.04-02070.04] 所以在这里再注意一下
[02070.04-02071.04] 生态系统
[02071.04-02075.00] 叫做意思,你叫做记得不是CU就行了
[02075.00-02082.12] 他說生態系統指的是,說只在自然界的一定的空間內生物以環境構成的統一整體
[02082.12-02085.50] 在這個統一中,你讓生物以環境相對影響相互之約
[02085.50-02089.58] 在一定時期內處於相對的穩定,動態平衡的狀態,就叫做什麼
[02089.58-02091.88] 就叫做我們所說的生態系統
[02091.88-02098.86] 所以生態系統,咱們簡單的理解就是什麼,就是生物以環境直接所構成的一個整體
[02098.86-02100.10] 就叫做生態系統
[02100.10-02102.94] 所以大家就知道提到生物提到環境提到支援
[02102.94-02104.50] 就知道是生態系統就行了
[02104.50-02106.06] 所以這是它的基本概念
[02106.06-02108.02] 在基本概念當中有第一個考點
[02108.02-02109.34] 什麼考點的同標注意下
[02109.34-02110.18] 他後面說了
[02110.18-02113.18] 他說除了他們相互影響相互支援之外
[02113.74-02114.94] 他給到了另外一個點
[02114.94-02116.06] 說在16時期內
[02116.06-02119.70] 快一下就處於相對用的動態平衡狀態
[02119.70-02120.86] 你把這句話話出來
[02120.86-02123.06] 然後在這句話上面寫上一個概念
[02123.06-02124.78] 就是生態系統當中
[02124.78-02127.86] 我們都知道它是有不斷的能量的流動
[02127.86-02129.30] 就是在整个生态性的当中
[02129.30-02132.06] 他有一些能量的产生和能量的消耗
[02132.06-02135.54] 但是他能够维持生态系统的评论运行
[02135.54-02137.58] 就是不会说环境极度的惡化
[02137.58-02140.50] 然后生存不下去了无种大规模的私确
[02140.50-02142.14] 他如果不会出现这种情况的话
[02142.14-02142.90] 就意味着
[02142.90-02143.82] 这个生态系统
[02143.82-02145.34] 他是处在一个什么状态
[02145.34-02146.90] 处在一个均衡的状态
[02146.90-02149.86] 我们把这种状态成为叫做生态平衡
[02153.86-02154.90] 生态平衡
[02154.90-02157.06] 这个生态平衡就是我给大家说
[02157.06-02159.62] 太河南三支衣服的时候考试的时候
[02159.62-02163.46] 那考的出现了重复考察的题目
[02163.46-02165.70] 当时是重复考察两次生态平衡
[02165.70-02166.66] 生态平衡呢
[02166.66-02168.06] 它本身上大住下
[02168.06-02169.10] 所谓的平衡呢
[02169.10-02171.14] 不是说能量不流动了
[02171.14-02173.58] 也不是说生态环境一遍不愿了
[02173.58-02174.98] 而是处在一个什么状态
[02174.98-02176.54] 我们注意一下这个词很重要
[02176.54-02179.02] 它是处在一个动态平衡状态
[02179.02-02181.22] 也就是在整个生态性的当中
[02181.22-02184.46] 它有能量的流入和有能量的流出
[02184.46-02185.98] 生态平衡这种动态平衡
[02185.98-02187.18] 就是我们所说的什么
[02187.18-02190.74] 能量的流入和流出是近四箱等的
[02192.02-02195.50] 能量的流入和流出
[02198.50-02200.34] 是近四箱等的
[02200.74-02201.78] 它标注出来
[02203.54-02206.26] 叫流入和流出
[02208.18-02209.42] 近四箱的
[02210.42-02212.26] 当时考的那个提考的是什么
[02212.26-02215.62] 是以下关于生态平衡说法正确的是
[02215.62-02219.10] 而那个错误的选项留言都是在动态平衡这个词上
[02219.10-02221.30] 就是他说动态平衡就意味着一遍不遍
[02221.30-02223.42] 说动态平衡就意味着只流入不流出
[02223.42-02225.86] 动不对动态动态就是有流劲
[02225.86-02227.10] 有流出大距下
[02227.10-02229.18] 这在生态性能当中也生出来的
[02229.18-02229.94] 第一个点
[02229.94-02230.82] 同样标出来
[02230.82-02233.70] 就是从概念当中知道什么叫做生态平衡
[02233.70-02234.50] 至第一个
[02234.50-02235.30] 第二个
[02235.30-02236.82] 既然说到生态系统
[02236.82-02238.82] 我们常说的生态系统的那些
[02238.82-02239.82] 同标距下
[02239.82-02242.18] 就是森林海洋和实际
[02242.18-02244.14] 就是在这里给大家去看到的
[02244.14-02246.14] 人第一个就是森林森林
[02246.14-02247.86] 尤其是亚安信从连
[02247.86-02248.74] 我们都知道
[02248.74-02250.78] 那相当于地球之非
[02250.78-02252.66] 这种欺负大量的二花碳
[02252.66-02254.34] 我们所说的制造大量的养弃
[02254.34-02256.10] 来共和我们所说的全球的运行
[02256.10-02256.38] 对吧
[02256.38-02257.10] 这森林
[02257.10-02258.26] 第二个海洋的话
[02258.26-02260.34] 我们都知道海洋它整体越来的能量
[02260.86-02262.30] 也是非常非常多的
[02262.30-02263.98] 所以在这里面它提到了海洋
[02263.98-02265.74] 那第三个就是施地
[02265.74-02266.50] 施地
[02266.50-02268.30] 海洋施园的效果很好
[02268.30-02269.42] 大家都看过那种
[02269.42-02270.70] 比如说像找则一类的
[02270.70-02271.02] 对吧
[02271.02-02272.02] 它结祝施地
[02272.02-02273.02] 那你看施地
[02273.02-02276.02] 它就是海洋水源被撑着为叫地球之圣
[02276.02-02278.22] 所以在森林海洋和施地这个地方
[02278.22-02281.22] 并称为叫全球三大生态系统
[02281.22-02282.22] 大家注意一下
[02282.22-02285.62] 这是我们所说的生态系统当中第二个细节店
[02285.62-02287.82] 生态系统当中的第三个细节店
[02287.82-02289.02] 就是我们要来看一下
[02289.02-02291.82] 生态系统当中它的一个组成部分
[02291.82-02296.62] 我们说了生态系统它是环境和生物之间各种制约
[02296.62-02298.62] 我们就来看一下这里面的环境和生物
[02298.62-02300.22] 到底跟我们哪些我们来看
[02300.22-02302.22] 第三个点同标注圈三
[02302.22-02304.58] 就是生態系統的組成部分
[02304.58-02307.70] 生態系統是由非生物的物質和能量
[02307.70-02309.90] 同僚註一下叫做無機環境
[02311.42-02312.78] 也就是我們所說的
[02312.78-02315.02] 什麼空氣、水
[02315.02-02316.06] 這一類的東西
[02316.06-02317.82] 它是我們所說的物質和能量
[02317.82-02319.54] 這個只要構成生態性
[02319.54-02322.06] 當中有這些基本的環境與藥素
[02322.06-02322.38] 對吧
[02322.38-02323.22] 這是第一個
[02323.22-02324.30] 第二個就是
[02324.30-02325.42] 構成生態性當中
[02325.42-02326.26] 有生產者
[02326.26-02327.42] 比如說我們消費
[02327.42-02328.34] 或吃的這些東西
[02328.34-02329.66] 從來生產者
[02329.66-02330.90] 一般就是我們所說的
[02330.90-02331.98] 綠色植物
[02331.98-02335.66] 当然还有消费者比如说像人类
[02335.66-02337.58] 像牛挖像羊的东西
[02337.58-02339.62] 它是吃这种生产者的
[02339.62-02339.90] 对吧
[02339.90-02341.06] 它就是消费者
[02341.06-02343.26] 当然还有我们所说的分节者
[02343.26-02345.02] 分节者就是我们常见的
[02345.02-02346.62] 西军和征军
[02346.62-02347.58] 这是这一类的
[02347.58-02349.34] 这是我们所说的生产系统
[02349.34-02350.50] 有分节者把
[02350.50-02352.74] 比如说一个动物它死掉了
