[00000.00-00003.00] 在之前把整个朝代根理讲完了之后呢
[01117.74-01119.82] 我们所说的这个书命院
[01119.82-01121.60] 它其实是掉动军队
[01121.60-01123.92] 有点类似于原本的总参谋部内中
[01123.92-01126.42] 而我们所说的悲久视频权当中的
[01126.42-01128.58] 解除近军降领的病权
[01128.58-01129.66] 近军降领
[01129.66-01130.82] 近军降领干嘛呢
[01130.82-01132.38] 是指揮军队
[01132.38-01133.26] 就是这个军队
[01133.26-01135.18] 它能够只会它去哪去打招
[01135.18-01136.38] 所以在这里你看
[01136.38-01137.74] 原本军是做战
[01137.74-01138.94] 应该是一个权力
[01138.94-01139.34] 对不对
[01139.34-01140.78] 应该是我技能掉动军队
[01140.78-01141.58] 用能指揮军队
[01141.58-01143.10] 它现在把这权力拆分了
[01143.10-01144.14] 一部分是掉动
[01144.14-01145.02] 一部分是指揮
[01145.02-01146.58] 这样情况之下是不是
[01146.58-01148.62] 就没有办法对黄人共产相的威胁了
[01148.62-01151.22] 也是正规协会大大的渏小
[01151.22-01152.98] 这是我们所说的书明院
[01152.98-01155.02] 第二个他搞了一个穿之正式
[01155.02-01157.70] 你说穿之正式又是啥的老师
[01157.70-01159.38] 你看咱们刚才不是说了吗
[01159.38-01160.78] 在原本的三省当中
[01160.78-01162.10] 中书门下上书
[01162.10-01163.46] 抓负责的是管
[01163.46-01165.34] 民正或者是行政权
[01165.34-01167.06] 而这个行政权的行使
[01167.06-01168.82] 到了后期就和变成了一个
[01168.82-01170.54] 叫做中书门下
[01170.54-01172.70] 中书门下主管行政
[01172.70-01174.02] 这时候召唤运不放心
[01174.02-01175.58] 说中书门下主管行政
[01175.58-01178.26] 那他的民政权有点太大了
[01178.26-01180.78] 于是他搞了一个干嘛呢 搞了一个富城下
[01182.38-01184.06] 这个富城下就叫做什么呢
[01184.06-01187.26] 就叫做参知正式 这叫做二福
[01187.26-01188.90] 那三思指的是啥呢
[01188.90-01191.18] 三思指的是杜汁
[01191.62-01194.18] 大助一下 三思指的是杜汁
[01195.62-01196.46] 护股
[01197.90-01200.46] 以及我们所说的眼体
[01201.06-01202.58] 他们三个主要搞什么呢
[01202.58-01204.38] 他们三个主要管钱呢
[01204.38-01206.42] 主要管的是材责
[01206.42-01207.58] 主要管的是材责
[01207.58-01210.32] 所以他們三個也被稱為叫做既象
[01211.50-01213.16] 也被稱為叫做既象
[01213.16-01214.98] 那說老師這有什麼用呢
[01214.98-01215.88] 他們要注意
[01215.88-01218.84] 他其實是黃泉和向泉之間的博弈
[01218.84-01220.48] 以前那時候在前半世紀
[01220.48-01221.58] 我吃了一會大家說過
[01221.58-01222.68] 說在前半世紀
[01222.68-01223.82] 像我們所說的這個
[01223.82-01225.18] 宰象的權力特別大
[01225.18-01225.58] 對吧
[01225.58-01226.88] 因為那時候會有一個說法
[01226.88-01228.48] 就說傻說法就做傍向
[01228.48-01230.78] 有時黃涉和宰象碰到了
[01230.78-01231.94] 互相行大裂
[01231.94-01234.88] 有的時候宰象和黃涉一樣一樣
[01234.88-01237.68] 接受百关在朝堂上对他的行李
[01237.68-01239.08] 那在像生命了之后
[01239.08-01240.12] 黄老奥去看他
[01240.12-01241.48] 甚至在这种情况之下
[01241.48-01243.68] 以前黄上和在像讨论问题的时候
[01243.68-01245.12] 在像都不能战争
[01245.12-01245.80] 作者
[01245.80-01248.64] 所以他有了叫做做论道这样的一个说法
[01248.64-01249.32] 你看那个时候
[01249.32-01250.68] 在像的权利特别的大
[01250.68-01251.88] 那在像权利越大
[01251.88-01253.52] 对于像前的威胁越就越大
[01253.52-01254.84] 所以立场利益的黄利
[01254.84-01256.64] 都想把在像收理的权利
[01256.64-01257.52] 分开开
[01257.52-01258.96] 以前只有一个在像的时候
[01258.96-01260.28] 在像可是什么都管
[01260.28-01261.64] 他是一人之下
[01261.64-01262.60] 万人之上
[01262.60-01267.58] 基本军事又管形容中,又管裁券,所以那时候权力非常大
[01267.58-01271.50] 所以后面黄上是小方设法,要把他的权力逐步的缩小
[01271.50-01274.50] 到了召昏炎这个时候,做人问到这个事情就没有了
[01274.50-01277.50] 以前开会可能还都做着,他这个时候开会干了呢?
[01277.50-01284.10] 就战者,战者的时候就是召昏了,看那些大产们坐在下面,他就心里就非常的不爽
[01284.10-01290.80] 然后他说说,这个字我很看不见,你们是上了个独一简的,大家就战起来,大战结之后,他这人把人家的袭色都撤走了
[01290.80-01292.40] 那人家看完一看
[01292.40-01294.32] 我的天了没有做了能只能站了
[01294.32-01294.68] 对吧
[01294.68-01296.96] 那他这种虽然是在形势上
[01296.96-01298.52] 我们看到了一个小小的故事
[01298.52-01299.88] 待着也能看得出来
[01300.80-01302.52] 黄权和向权之间之种
[01302.52-01304.12] 博弈和争动
[01304.12-01305.52] 那就用情况下你看
[01305.52-01307.20] 他把原本从处于
[01307.20-01309.04] 在向一个人的权力
[01309.04-01310.60] 化分出来了好几个
[01310.60-01311.76] 在向一圈管金市
[01311.76-01313.88] 那我就把金市拿出了交给书女院
[01313.88-01315.24] 在向一圈管名政
[01315.24-01316.72] 我就把名政拿出来
[01316.72-01318.04] 在中书门下之下
[01318.04-01319.32] 再摄一个参治政事
[01319.32-01320.72] 在上以前还管钱
[01320.72-01323.16] 我现在把钱分给三次
[01323.16-01326.88] 所以在这里你看中央分向权加强黄权
[01326.88-01329.04] 告的叫二腐三思志
[01329.04-01331.48] 二腐指的是军事
[01332.20-01333.12] 书明院
[01333.12-01334.92] 我们所说的参知正式
[01334.92-01336.24] 或者叫做中央门下
[01336.24-01340.04] 这个叫做二腐三思那指的是杜之护护和延遣
[01340.04-01342.28] 他们三个也被称为叫做既想
[01342.28-01344.40] 那同时要知道通过这样的方式
[01344.40-01345.28] 叫干嘛呢
[01345.28-01347.64] 就是加强黄权
[01347.64-01350.72] 通过这样的方式加强黄权
[01350.72-01355.20] 除了这个地方之外我们做了还有加强中央的权力
[01355.20-01357.84] 中央的权力和谁的权力相对应
[01357.84-01360.00] 装的权力其实和地方的权力相对应
[01360.00-01361.40] 所以从你们来看一下
[01361.40-01363.96] 在违度期权这个虚度期权
[01363.96-01367.00] 除了加强黄权就要加强中央极权
[01367.00-01368.88] 我们来看一下第四个点
[01368.88-01371.28] 再说上第四点给到了其中四块钱
[01371.28-01373.60] 一句说叫其中四块权不如说是
[01373.60-01375.56] 叫做加强中央极权
[01375.56-01379.10] 我就解释一下加強中央的權利
[01379.10-01382.08] 加強中央的權利在這個地方主要體現在什麼
[01382.08-01384.08] 主要體現在他派文成
[01384.08-01385.04] 當然
[01385.04-01387.08] 俊縣掌關同時設什麼呢
[01387.08-01388.48] 說通派
[01388.48-01390.20] 比如說對於地方的管理
[01390.20-01392.36] 以前對於地方的管理的時候
[01392.36-01393.72] 那就一個地方
[01393.72-01394.32] 一個地方官辦
[01394.32-01395.96] 比如說就好比一個縣裏面
[01395.96-01396.96] 就一個縣長
[01396.96-01397.96] 是這個意思
[01397.96-01398.56] 明白了吧
[01398.56-01400.00] 就是比如說一個縣裏面
[01400.00-01400.96] 就一個縣長
[01400.96-01403.80] 這個縣長可能在縣裏面什麼都管
[01403.80-01406.24] 但是到了所说的送朝的时候
[01406.24-01408.28] 他为了加强对于地方的管理
[01408.28-01410.84] 他不仅派文成任周军的掌关
[01410.84-01412.92] 让文成去当现长
[01412.92-01415.36] 而且在这个地方说了一个通派
[01415.36-01417.52] 来监督现长的工作
[01417.52-01419.72] 这种情况之下就出现了
[01419.72-01420.96] 这个现里面
[01420.96-01422.68] 这个周军里面的工作
[01422.68-01423.96] 几个人负责
[01423.96-01425.08] 两个人负责
[01425.08-01427.28] 你看就比一个人负责的时候
[01427.28-01428.60] 他在这种程度上
[01428.60-01429.72] 是不是相对来说
[01429.72-01432.36] 对于我们所说的权力的分裂就会小一点
[01432.36-01434.88] 所以在这里地方的事物就变成了两个人
[01434.88-01435.84] 就变成两个人
[01435.84-01437.68] 所以在这里就是通派
[01437.68-01440.76] 通派也是我们所说的送朝时候设置的
[01440.76-01444.40] 通过这样的方式加强中央集权
[01444.40-01445.48] 加上装集权
[01445.48-01447.04] 这是我们所说的第二个
[01447.04-01447.96] 通常要注意一下
[01447.96-01450.92] 叫做虚躲其权当中的权
[01450.92-01452.16] 一个是加上黄权
[01452.16-01453.80] 一个是加强装集权
[01453.80-01455.56] 要去给它分开
[01455.56-01457.20] 一个是中央一个是地方
[01458.24-01460.00] 那军在说了
[01460.44-01461.76] 权在说了
[01461.76-01465.04] 照顾还提高了一个钱
[01465.04-01467.14] 钱就说咋整搭住一下
[01467.14-01468.42] 在钱方面
[01468.42-01470.98] 他就设了一个东西叫做转运士
[01470.98-01472.00] 所以转运士
[01472.00-01473.48] 我们要知道转的是什么
[01473.48-01478.66] 是把地方财富转到中央转什么转钱的
[01478.66-01480.72] 同于现在以前的时候前一年
[01480.72-01483.28] 或者现在同时你应该有那个习惯
[01483.28-01485.32] 带一个东西叫做转运猪
[01485.32-01487.12] 不过同时记录的转运转运
[01487.12-01488.12] 你转啥运
[01488.12-01489.40] 人们转财运
[01489.40-01491.96] 对吧,所以转运转运在这里转的是钱
[01491.96-01493.76] 把地方的钱转到中央
[01493.76-01495.54] 地方的钱转到中央之后
[01495.54-01497.84] 那这种情况这下中央有没有钱了
[01497.84-01500.40] 中央有钱,地方钱少,地方钱少
[01500.40-01502.46] 那这种情况是现在他想要搞事情
[01502.46-01503.48] 就变得困难了
[01503.48-01505.02] 所以通过这种方式
[01505.02-01508.08] 达到了,赵婚姻他想达到了那个效果
[01508.08-01510.38] 对吧,现在想让斯海生平
[01510.38-01512.44] 然后斯海国家同一发展
[01512.44-01515.76] 那这种情况就像虚热地方对他的威胁
[01515.76-01517.56] 就是通过这样的那些方式
[01517.56-01520.64] 所以这次我们所说的 北松家墙 中汽劝
[01520.64-01523.44] 而北松的这些中汽劝这一系列的措施
[01523.44-01527.04] 同学能够看得出来它有一个非常明显的特征
[01527.04-01528.32] 就是一方面
[01528.32-01532.68] 它想要让这些五酱的地位下降 减少我们所说的
[01532.68-01536.52] 唐松以来翻证 随唐以来翻证各具这种情况
[01536.52-01539.76] 因为唐朝的安始之外也好一句后期的翻证各具
[01539.76-01541.64] 是不是都是五酱的权力太大了
[01541.64-01543.76] 所以在这里面它想虚入五酱权力
[01543.76-01544.96] 另外一方面你看
[01544.96-01547.92] 他搞得派文成任地方州掌管
[01547.92-01549.72] 現在他搞了很多的那種制度
[01549.72-01552.80] 他把官職還有路都給他分開了
[01552.80-01554.56] 那也是社了很多的文成
[01554.56-01556.92] 如果他重視文成而清是五成
[01556.92-01560.12] 所以整個送草的政策體現出來的一個特點就什麼呢
[01560.12-01561.60] 就是眾文清物
[01566.16-01567.52] 就是眾文清物
[01567.52-01569.40] 所以我們經常能看到
[01569.40-01571.32] 書上也好會影視據作品
[01571.32-01572.44] 就是隧吵
[01572.44-01573.64] 而送炒
[01573.64-01575.26] 它其实是整个历史上
[01575.26-01576.80] 文人最幸福的一个炒蛋
[01576.80-01577.16] 对吧
[01577.16-01578.58] 其实是和它的政策
[01578.58-01580.04] 有很大的关系的
[01580.04-01583.44] 这个就是北送它的一个权利
[01583.44-01584.20] 讲到这
[01584.20-01586.90] 我们就来看一下在北送的权利当中
[01586.90-01589.90] 一会我们会大家去输立一下它的这个框架
[01589.90-01590.88] 损下框架
[01590.88-01593.68] 这时候我们所说的送炒送炒
[01593.68-01594.96] 算了送炒之后
[01594.96-01595.74] 我们再来看
[01595.74-01597.44] 送炒之后的原炒
[01597.44-01598.80] 它的一些制度
[01598.80-01600.80] 原炒的制度其实有三个
[01600.80-01602.28] 他整体上的框架呢
[01602.28-01604.20] 其实没有送藏那么乱
[01604.20-01608.04] 那我们就就这个他给到的这三框架咱们去看一下就行了
[01608.04-01611.54] 原炒其实提到原炒最重要的就是他开创了
[01611.54-01612.28] 省制
[01612.28-01614.26] 比如说现在我们说到吉林省
[01614.26-01615.60] 山东省聊天省
[01615.60-01617.88] 这些省制的开端从哪开始呢
[01617.88-01619.80] 就是从原炒开始的
[01619.80-01625.04] 我们来看原炒他在行政治理当中的一些制度
[01625.04-01628.84] 那么首先来看一下第一个就是原炒他的行程制
[01628.84-01631.08] 原朝的形成之然 你看他这里说了一块
[01631.08-01634.64] 他是中央设立中输省作为中央最高的形成机构
[01634.64-01636.20] 总理全国政府
[01636.20-01639.24] 地方的设立形中输省 形成形成省
[01639.24-01641.40] 由中央委派官员去管理
[01641.40-01643.20] 你说老师他这是杂政的呢
[01643.92-01647.28] 其实这里是一道原朝其实不太会玩
[01647.28-01650.24] 原朝本身是少数民族政权
[01650.24-01652.88] 对吧 所以他其实不太了解中央的制度
[01652.88-01655.36] 我们在整个情朝之后
[01655.36-01658.64] 对于黄权和向权之间的博弈的主线
[01658.64-01661.32] 原来都是加强黄权而虚弱相权
[01661.32-01663.72] 对吧 所以才会把宰相的权力
[01663.72-01664.84] 一分再分再分
[01664.84-01667.60] 剩到了明朝的手都把宰相职贵
[01667.60-01669.84] 拿掉了的费成像全分六部
[01669.84-01671.24] 就把这些都拿掉了
[01671.24-01673.72] 但是原朝它其实不太懂这些
[01673.72-01675.04] 所以少数民族正权的
[01675.04-01676.84] 它在打仗上有一套
[01676.84-01679.24] 在这里国家上它的四位的主线
[01679.24-01681.12] 其实是和原本汉族的
[01681.12-01682.48] 这个治理方式相伪贵的
[01682.48-01683.48] 你看在这里
[01683.48-01685.72] 它其实又搞到了相权集中
[01685.72-01687.20] 或相权独大重情况
[01687.20-01691.30] 都在中央的设立中书省作为中央最高行政机构
[01691.30-01694.30] 也就这种情况下原本被分放的相权
[01694.30-01696.60] 又进一步集中到了一个人的手里
[01696.60-01697.00] 对吧
[01697.00-01698.94] 这是它摄影力的中书省
[01698.94-01700.20] 它摄影力的中书省
[01700.20-01702.30] 你看它作为中书省
[01702.30-01704.10] 同管全国的政务
[01704.10-01706.20] 那你中书省就只有一个
[01706.20-01708.30] 中书省的主要负责任也就一个
[01708.30-01709.90] 但是你的将遇相当之大
[01709.90-01713.30] 同时能想一下咱们原朝的将遇最大的时候
[01713.30-01715.30] 达到了2000万平方公里
[01715.30-01719.30] 那是相当于解体之前的苏联的总面级那么大呀
[01720.30-01724.66] 所以只有一个中数省要管理两千万平方公里的土地
[01724.66-01729.10] 对吧那他这种时候他杂管他没有办法他就只能射派出机构
[01729.10-01731.94] 比如说就像现在这样的新疆地区那么大
[01731.94-01737.50] 但是我们所说的主要机构只有一个比如说新疆没有做自己区什么什么什么
[01737.50-01742.50] 或者是我们所说的省意级的刚才说省意级或者是现意级的
[01742.50-01744.10] 你看他的江玉面女特别大
[01744.10-01745.22] 那他这种管部来
[01745.22-01747.30] 他是不是会有自己的派出机构
[01747.30-01749.86] 比如说像我们听到的形容公署
[01749.86-01751.22] 类似于这样的一个机构
[01751.22-01755.06] 我们所说的刚才有关于原炒这个也是一样
[01755.06-01757.62] 他管理不过来他就派机构出去
[01757.62-01759.46] 那他派出去的这个就叫什么呢
[01759.46-01760.98] 就叫做形手
[01760.98-01764.90] 于是在原炒的同志下就出现了省制
[01764.90-01766.10] 就出现了省制
[01766.10-01767.54] 所以在这里大家注意一下
[01767.54-01769.14] 就有句话说同们去记
[01769.14-01770.66] 就这句话就可以了
[01770.66-01771.70] 给大家讲了这么多
[01771.70-01774.34] 就是希望同一般能够旅程处 它是啥意思
[01774.34-01776.54] 那这里面就产生了省制
[01776.54-01777.34] 这一话话出来
[01777.34-01782.66] 就是我国省及行政区设立是约原朝
[01782.66-01785.70] 安排上市原朝因为中央省制有一个
[01785.70-01788.78] 同一关两千万平方公里的面具管过来
[01788.78-01789.94] 派出机构
[01789.94-01792.14] 把机构派出让它可拿去走
[01792.14-01793.22] 每个地方都有
[01793.22-01794.50] 这个就要做行省
[01794.50-01796.78] 所以行省是中国省制的开端
[01796.78-01799.02] 是于我们所说的原朝
[01799.02-01801.46] 这里面就记这一句话就可以了
[01801.46-01804.86] 那这是我们所说的第一个叫做刑省制度
[01804.86-01805.66] 先生制度
[01805.66-01810.30] 那第二个呢就是原朝比较重要的一个制度就是设烈彭博尋简施
[01810.30-01812.82] 彭博尋也是在这里同样只需要长住一个
[01812.82-01814.38] 就是它负责管理什么
[01814.38-01816.50] 台湾负责管理台湾
[01816.50-01819.82] 那这里面其实就从某种程度上就预示了
[01819.82-01823.14] 就是台湾是中国领土不可分割的一部分
[01823.14-01826.06] 它是不容任何国家去产动的
[01826.06-01828.78] 这样的一个铁一般的事实
[01828.78-01830.18] 所以在这里大家就知道
[01830.18-01833.26] 彭虥虽虽然是主要检查到主要负责台方管理
[01833.26-01835.78] 重要的点的不是在考试过程当中
[01835.78-01837.98] 不是彭虥虽虽虽然负责管理台方
[01837.98-01840.30] 而是从彭虥虽虽虽虽色利的时候
[01840.30-01842.14] 它所引起出来的相的考点
[01842.14-01843.14] 需要同样注意
[01843.14-01845.14] 咱们来看一下考点提要
[01845.86-01848.26] 在这里给同样做了一个补充案
[01848.26-01849.22] 同们来看一下
[01849.22-01852.10] 神第一个就是我们所提到了台湾的称位
[01852.10-01853.22] 老师刚才说了
[01853.22-01855.90] 台湾是中国领土不可分割的一部分
[01855.90-01859.38] 它是不容漢東的歷史事實
[01859.38-01862.30] 那在這裡面我們其實可以從歷史跟人裡面
[01862.30-01864.50] 早出很多的例子來證明
[01864.50-01866.78] 我們從很早的時候就已經開始同下談了
[01866.78-01868.54] 比如說在這裡來看一下
[01868.54-01870.38] 這個地方考台灣的稱為
[01870.38-01873.70] 需要同學們去進行一個對應實際
[01874.98-01876.90] 迎合在不同的時期
[01876.90-01878.30] 台灣都被稱為什麼
[01878.30-01880.62] 在情朝的時候被稱為叫做
[01880.62-01883.74] 營州在三國的時期被稱為叫做
[01883.74-01888.30] 一周随带的时候改为刘强送朝的时候
[01888.30-01890.10] 就被称为皮蛇烟
[01890.10-01892.86] 然后在我后明出的时候
[01892.86-01897.50] 他被称为东方到了名带万里年间的说改为台湾
[01897.50-01899.98] 在那个时候没有台湾省之说
[01899.98-01902.86] 大住一下在清朝之前是没有台湾省之说的
[01902.86-01906.38] 这老师非常清朝之前没有台湾省之说
[01906.38-01911.14] 因为行省制度的缺力从什么时候开始
[01911.14-01912.18] 原朝開始
[01912.18-01913.82] 明朝的時候
[01913.82-01915.22] 還沒有把它推廣
[01915.22-01917.50] 一直到清朝的時候才設立台灣手
[01917.50-01918.38] 所以在這裡
[01918.38-01919.50] 大家注意一下
[01919.50-01920.50] 說的
[01920.50-01921.98] 它在不同時期
[01921.98-01923.98] 它的稱為是什麼
[01923.98-01925.46] 這個就是我們所說的
[01925.46-01926.06] 第一個
[01926.06-01927.86] 需要給大家補充的點
[01927.86-01931.98] 這個點其實也是我們當下對應的一個熱點
[01931.98-01933.54] 一般請阿封
[01933.54-01934.58] 比如說告台灣同胞
[01934.58-01936.74] 除四周年火度二周年之後
[01936.74-01938.90] 就時候它可能會考上這個
[01938.90-01941.98] 当然今年是告他们通常说不单单是四周年
[01941.98-01943.18] 我说的是前几年
[01943.18-01947.66] 当下有关于海台两岸的一些热点性能其实也十有发生
[01947.66-01952.98] 在这里面他就成为了一个比较核心的一个文学上的外言的点
[01952.98-01955.54] 同时要注意这是第一个台湾的成为
[01955.54-01958.10] 第二个我们说了台湾省制
[01958.10-01960.62] 他的一个台湾省的确例从什么时候有的
[01961.50-01962.46] 打注意
[01962.46-01963.98] 是在清朝时期
[01963.98-01965.98] 把这个点不成在台面旁边
[01965.98-01968.86] 是清政府決定在台灣社里台灣省
[01968.86-01971.06] 所以他有了台灣省這個說法
[01971.06-01971.78] 明白了
[01971.78-01974.22] 台灣省這個說法是在清政府收究有了
[01974.22-01977.82] 而總管台灣在清朝的低任寻負是誰呢
[01977.82-01980.82] 第二個同門記住下就是流民傳
[01982.18-01984.78] 他是台灣省的低任寻負
[01984.78-01986.46] 他在台灣省的低任寻負
[01986.46-01987.98] 這是我們所說的
[01987.98-01989.90] 在這裡原朝制度當中的
[01989.90-01992.66] 彭胡詢檢私要延伸出來的點
[01992.66-01994.58] 同表給他實際清除
[01994.58-01996.58] 这是第二个
[01997.46-01999.46] 来,我们来看一道题目
[01999.46-02001.70] 它说原炒世界台的被充电啥
[02001.70-02003.70] 原炒世界台的被充电啥
[02003.70-02009.14] 来看一下在我们所说的原炒世界在这里
[02009.14-02010.98] 台湾被充电喂
[02010.98-02013.38] 看营州是在什么时候
[02013.38-02015.86] 营州是在我们所说的琴炒
[02015.86-02017.06] 然后叫一下看
[02017.06-02019.94] 看东方东方是在这里面
[02019.94-02023.76] 其在明朝一周是在三国那在宋原时
[02023.76-02027.10] 那在我们所说的原朝在这里
[02028.70-02031.34] 那今天应该被称就为叫做刘球
[02031.34-02032.58] 这刘球老师呢
[02032.58-02035.18] 随朝的时候不也叫做刘球嘛
[02035.18-02036.58] 对在这里大家住一下
[02036.58-02038.22] 它其实是有两个名称的
[02038.22-02040.06] 随朝这个刘应该是这个刘
[02040.30-02041.78] 这里面出现了一个错别子
[02041.78-02042.46] 大家住一下
[02042.46-02044.78] 随朝的时候刘是这个刘
[02044.78-02045.98] 而原朝的时候呢
[02045.98-02048.54] 大家住一下原朝的时候是这个刘
[02048.54-02051.94] 所以在原朝的時候臺灣沒稱為就做6球
[02051.94-02052.88] 就做6球
[02052.88-02054.94] 這兩個點同沒有做一個區分
[02054.94-02055.74] 做一個區分
[02056.74-02058.44] 剛才沒有注意到這個字
[02058.44-02060.44] 同你們在這裡稍微注意一下好吧
[02060.44-02063.14] 以前在隧待的時候是3點捜這個流
[02063.14-02064.74] 在打字的時候沒有注意
[02064.74-02066.34] 3點捜這個流
[02066.34-02068.64] 而到了我們所說的原待的時候
[02068.64-02070.74] 就被稱為王子旁的這個流
[02070.74-02071.74] 就王子旁這個流
[02071.74-02074.34] 所以這要提到選擇的是A選項
[02074.34-02075.34] 那選的是A
[02075.34-02077.62] 这个是原朝的第二个
[02077.62-02080.46] 从循眷思他身上随言是出来的点
[02080.46-02086.62] 第三个在原朝比较重要的制度就是宣众院宣众院干嘛呢
[02086.62-02091.74] 看他说原朝之央政府设立了宣众院管理全国佛教室
[02091.74-02094.66] 我和西藏地区的行政收
[02094.66-02097.74] 所以在这里面出现了另外一个点就是
[02097.74-02102.22] 原西藏成为原朝正式的行政区
[02102.22-02106.26] 所以在这里 西浪城为我国正式形容区画是在什么时候
[02106.26-02107.34] 第一个点
[02108.62-02111.74] 大注意是在我们所说的原炒宣证院
[02111.74-02114.70] 所以宣证院主管全国佛教师和西浪师
[02114.70-02116.74] 这个点要给他基清处
[02117.26-02120.54] 因为像宣证院这个点 它经常会对比考察
[02120.78-02124.74] 都会对比考察哪个点 会对比考察清朝当中的
[02124.74-02125.86] 有关于两个点
[02125.86-02128.34] 一个是清朝当中的理番院
[02132.22-02134.78] 他有一个就是清朝当中的宗人府
[02134.78-02137.86] 他对比他们两个点考察他们的知识呢
[02137.86-02140.66] 清朝当中的旅凡院主要主管什么问题呢
[02140.66-02143.98] 主要主管少数民族事务
[02149.10-02150.82] 少数民族事务
[02150.82-02153.46] 而宗人府管了一切实也是少数民族事务
[02153.46-02155.78] 但是他广的是什么是黄世的问题
[02157.06-02158.82] 满清黄世会主
[02158.82-02161.38] 坐人府
[02161.38-02163.42] 但看您事也经常会看到对吧
[02163.42-02167.46] 来来把那个老巴送去坐人府或者把谁送去坐人府
[02167.46-02169.34] 在这款转里面其实也有对吧
[02169.34-02170.86] 把三个送去坐人府
[02170.86-02173.74] 这里面其实坐人府也管的是少数民族的时候
[02173.74-02176.14] 但是他只管黄世贵族
[02176.14-02179.54] 而李翻院是少数民族比如说内蒙等等
[02179.54-02181.98] 他是对于他一个事务的全面管理
[02181.98-02185.58] 他们三个的职能其实都在于少数民族事务上
[02185.58-02187.62] 但是又有一点区别
[02187.62-02191.52] 所以在考试的时候就会把他们的植闹拿出来对比考察
[02191.52-02192.88] 搞一个张观理戴
[02192.88-02194.22] 那我就要能够变弃出来
[02194.22-02196.82] 他的说法是对的还是错的
[02196.82-02199.66] 那这是我们所说的原朝的主要制度
[02199.66-02200.66] 暗院长主要制度
[02201.54-02202.86] 好,那说到这之后
[02202.86-02207.34] 咱们就把整个送原时去的制度进行一个大的盘点
[02207.34-02209.58] 我们再讲送原的政治制度说
[02209.58-02211.02] 首先第一个讲到了送
[02211.02-02214.62] 我们说了送的它的制度的电机和一个对话有关系
[02214.62-02215.64] 那这个对话呢
[02215.64-02216.98] 就是来自于照顾
[02216.98-02218.96] 那有关于照顾的第一个点
[02218.96-02220.38] 同没有知道叫做
[02220.38-02221.98] 半部轮语之天下
[02221.98-02222.98] 这就话一出来
[02222.98-02224.18] 你要知道和谁有关
[02224.18-02225.12] 这第一个
[02225.12-02225.82] 那第二个呢
[02225.82-02226.70] 就照顾提到了
[02226.70-02229.52] 要从三个方面来完成照顾
[02229.52-02231.26] 它的那个理想的状态
[02231.26-02232.14] 第一个
[02232.14-02233.26] 冰第二个
[02233.26-02234.98] 全第三个钱
[02234.98-02237.34] 那在冰上面主要是我们所说的
[02237.34-02238.18] 进军
[02241.42-02242.86] 所以在这里面提到了
[02242.86-02244.22] 第一个悲久是冰旋
[02244.22-02246.14] 大家知道这个点顾和15关
[02246.14-02249.66] 第二个呢在这里解决进军同领的
[02249.66-02252.58] 冰淳之后就搞了一个公数法
[02252.58-02254.18] 公数法就是换房
[02254.18-02254.58] 对吧
[02254.58-02256.22] 那这是我们所说的冰
[02256.22-02259.14] 第二个就是全这个权的分的是谁的权利
[02259.14-02260.54] 分的是相权
[02260.54-02262.86] 我们知道相权以前什么都管
[02262.86-02265.54] 正是经济文化社会生态军事都管
[02265.54-02267.10] 这我情况之下不行
[02267.10-02268.86] 那我们就要想方设法
[02268.86-02271.06] 宣布了相权加强黄权
[02271.06-02273.42] 于是在这里面就提到了我们所说的
[02273.42-02277.18] 二佛三四指二佛指的是書密院
[02277.18-02279.50] 我们说了主管军事
[02279.50-02282.02] 那你说老师这个军事和进学有啥不一样呢
[02282.02-02285.46] 我们说了一个是指挥一个是调动对吧
[02285.46-02287.42] 所以在这里面说没有主管事
[02288.42-02291.10] 调动让这个军队去干啥打下
[02291.10-02293.14] 就相当于总参读 对吧
[02293.14-02294.34] 那这指書密院
[02294.34-02296.34] 第二个就是中書门下
[02296.34-02298.26] 中書门下主管民政权
[02298.26-02301.74] 所以他主要管的就是民政工作
[02301.74-02304.82] 但是民政工作就在中数门下一个人手里不行
[02304.82-02307.78] 于是他为了分散他的权力搞了一个复枪
[02307.78-02309.42] 就叫做参知正式
[02309.42-02312.74] 说把原本中数门下的权力再进行了一次分
[02312.74-02314.78] 这个就是我们所说的第二个
[02314.78-02317.30] 有关于民政的民政的
[02317.30-02319.82] 第三个三思负责什么呢
[02319.82-02323.46] 三思负责我们所说的财政
[02323.46-02327.98] 所以我们把这三个称的为叫做既向
[02327.98-02329.42] 既两个既对吧
[02329.42-02334.02] 这是二府三思志来加强黄权学若向权
[02334.02-02336.34] 这在中央那从地方一层来看
[02336.34-02339.90] 就是我们所说的是通盘进行渐毒
[02339.90-02341.78] 那渐毒地方长官的工作
[02341.78-02344.78] 其实变向的加强了中央集权
[02344.78-02346.74] 那这是我们所说的通盘
[02346.74-02348.50] 通盘的都有文官答应人
[02348.50-02351.66] 换话说整个送炒大部分的关止
[02351.66-02352.94] 都是文官来答应人的
[02352.94-02354.38] 所以在这里面就有了什么
[02354.38-02356.18] 就有了我们所说的政策
[02356.18-02358.10] 叫做中文轻
[02358.10-02360.38] 这种文情物,这是宋朝
[02360.38-02364.74] 宋朝之后就是原朝,原朝主要第一个形成制度
[02364.74-02370.26] 太多原朝,第二个是同学的意思,管理,台湾,重点在台湾上
[02370.26-02373.50] 台湾以前的称为台湾省的设立
