[00000.00-00006.68] 那么今日让我下看,那么说了南北朝之后我们说南北朝并历随堂武改传对吧
[01234.50-01236.14] 不像空能可出笑
[01236.14-01237.74] 如果不穿服的话
[01237.94-01239.74] 我怎么能够忘了了这些事呢
[01239.74-01241.50] 所以他就开去穿服
[01241.70-01244.50] 所以我们所说的王维的很多的事
[01244.50-01245.34] 他写出来
[01245.34-01246.86] 你会发现他的产育
[01246.86-01247.86] 就很浓
[01247.86-01250.42] 所以他也被称为叫做师傅这是第1个
[01250.68-01253.24] 第2个就是苏士对王美有一个平价
[01253.24-01254.90] 所以把这个平价化出来
[01255.16-01257.08] 苏士对王美的平价就说他
[01257.32-01259.64] 师兄有化化中有时
[01259.64-01261.68] 他计会写失也会化化
[01262.44-01263.22] 所以说了
[01263.22-01266.28] 魔结之是师兄有化 魔结之化化中有时
[01266.28-01269.10] 所以说师兄有化化中有时 形容的是谁
[01269.36-01271.16] 大家知道说的是王美
[01271.42-01274.22] 而在考试当中针对于这种师兄有化化中有时
[01274.22-01276.78] 在考试的时候不单单考过对于他的平价
[01276.78-01279.10] 人物的頂要而且考過一個點
[01279.10-01280.78] 說王爲的失忠有化
[01280.78-01283.18] 形容的是王爲的那一句是
[01283.18-01284.46] 考過這一個點
[01284.46-01286.22] 大家都知道王爲的失去很多
[01286.22-01288.78] 但是讓我們不要直觀的就是使制賽上
[01288.78-01290.54] 多大還進去的王爲
[01290.54-01292.66] 叫大墨估煙職
[01292.66-01294.06] 長河落日園
[01296.22-01298.34] 叫大墨估煙職
[01299.90-01302.06] 長河落日園
[01303.18-01305.66] 你多了多了這句話之後
[01305.66-01308.48] 同一文人感觉感觉好像看到了边赛
[01308.72-01311.42] 我们所说的那种苏怨聊闰的那种景象
[01311.62-01313.10] 所以这个呢就是我们所说的
[01313.22-01314.38] 形容它失忆有话
[01314.38-01316.16] 描会的是它的使质赛上
[01316.42-01317.12] 这是第二个
[01317.12-01318.20] 大家要掌握的
[01318.72-01320.20] 它的形容是哪一句
[01320.30-01324.60] 那第三一个就是和前面的考点是一样的考察人物和注作的对应
[01324.86-01326.14] 比如说相思
[01326.34-01329.12] 大家经常看到网上有拍的这种短视频的那种博主
[01329.12-01330.16] 太端子对吧
[01330.32-01331.26] 拍个按照说说
[01331.26-01332.66] 这哪是普通的红豆
[01332.66-01334.46] 这是王维斯里面的红豆
[01334.46-01334.76] 对吧
[01334.76-01337.32] 那这个相似就是我们所说的王美所写的
[01337.32-01340.64] 叫愿军多采协此握最相似
[01340.64-01343.20] 那这是我们所说的关于相似
[01343.20-01348.08] 那三句秀明月宋监照清全十上流
[01348.08-01349.68] 那这个呢都是我们所说的
[01349.68-01352.00] 有关于王伟的这样的一个失聚
[01352.00-01352.88] 那大家注意一下
[01352.88-01355.72] 那这是我们所说的生堂当中的第一个人物
[01355.72-01357.64] 大家要知道这是我们所说的
[01357.64-01360.48] 王伟他是山水甜文师的代表人
[01360.48-01361.36] 这是第一个点
[01361.36-01362.64] 大家要知道
[01362.64-01364.40] 我们所说的第一个人物
[01364.40-01366.80] 那第二任務就是編載師的代表人物
[01366.80-01368.96] 剛才在那個影視片段當中大家說了
[01368.96-01372.08] 說完,說誰說王昌林
[01372.08-01373.76] 陳森你們都認識
[01373.76-01376.04] 你們都是編載師的什麼人物
[01376.04-01377.20] 對吧說的是高市
[01377.20-01378.68] 所以你看像這裡面
[01378.68-01380.24] 高市和陳森
[01380.24-01381.56] 檢稱高層
[01381.56-01382.76] 所有的就是他們兩個
[01383.68-01385.24] 可以在旁邊標準一下
[01385.24-01387.32] 高斯和陳森檢稱高層
[01387.32-01388.28] 那他們這兩個人
[01388.28-01391.16] 其實就是編載師的主要代表人物
[01391.16-01392.88] 那在這裡面我們來看一下
[01392.88-01395.40] 他们主要在势里面描写的是什么
[01395.40-01396.68] 是编赛风光
[01396.68-01398.24] 就将是的数编生活
[01398.24-01402.40] 所以你看到长和落日飞沙走是比较欺贺的这一种
[01402.40-01403.76] 其实都是在描写什么
[01403.76-01404.60] 编赛时
[01404.60-01406.04] 所以他有时候会考察
[01406.04-01408.52] 是哥风格和他的注作的对药
[01408.52-01409.08] 比如说
[01409.08-01412.56] 以下AVCD4个选的当中属于编赛时的事
[01412.56-01414.20] 那这种情况是像你怎么办
[01414.20-01415.88] 你没有办法给他全都被下来
[01415.88-01417.60] 你就找一项找什么呢
[01417.60-01419.20] 找编赛风光
[01419.20-01423.28] 找将是生活去找长和落日大墨飞杀
[01423.28-01425.08] 这些意义相一旦出来的话
[01425.08-01426.56] 他就属于编在时拍
[01426.56-01428.48] 比较典型的答案注意一下
[01428.48-01431.92] 你看一下在这里比如说高市的严格型
[01431.92-01432.96] 高市也有严格型的相当中
[01432.96-01435.36] 严格型的相当一个磁拍名仰对吧
[01435.36-01437.88] 高市的严格型当中就有两句话
[01437.88-01439.16] 我们特别的数据
[01439.16-01440.00] 一个叫做
[01440.00-01441.76] 占是均前半生死
[01441.76-01443.24] 每人赵下游歌舞
[01443.24-01444.60] 另外一句叫均不见
[01444.60-01445.80] 杀厂中战苦
[01445.80-01447.68] 至今游遇也理将军
[01447.68-01450.24] 那其实这就是他在验个行当中说的
[01450.24-01452.02] 你可以在旁边简单标注一下
[01452.02-01455.88] 这个场景其实在长三万里当中也有体现
[01455.88-01462.02] Broadah R还记彼的就是高市他去到边赛然后他类随向真查边一样去
[01462.02-01463.30] 前面去真查
[01463.30-01465.42] 然后风雪特别大还遇到了买富
[01465.42-01469.24] 然后他赶紧回去发现还没有进到那个帐旁旅就听到那个将军
[01469.24-01471.04] 在那看没雨跳舞
[01471.04-01473.12] 所以他其实描会的景象中什么
[01473.12-01476.34] 就是我刚才说的叫战士军前半死生
[01476.34-01480.34] 那暂时均前半死生
[01480.34-01483.34] 后面的句话,美人账下有个物
[01488.34-01489.34] 美人账下有个物
[01489.34-01491.34] 这个其实就是我们所说的
[01491.34-01493.34] 严格邪惠里面的
[01493.34-01497.34] 你看像层次,丰码穿行
[01497.34-01499.34] 奉送出实习中
[01499.34-01501.34] 对吧,或者是我们所说的其他的那种
[01501.34-01503.34] 其实也能看到数边生活
[01503.34-01505.34] 什么血呀,这些类似的
[01505.34-01506.54] 所以你在去判斷
[01506.54-01508.30] 它是不是編載時的時候就看
[01508.30-01510.18] 有沒有金割鐵碼編載
[01510.18-01512.18] 封光數邊生活的這些意想
[01512.18-01514.02] 如果有的話它有數邊才是
[01514.02-01515.50] 所以它有時候有沒有考察
[01515.50-01518.22] 是個派別和逸割的一個具體對應
[01518.22-01519.82] 這個是我們所說的
[01519.82-01521.66] 剩長時期的編載時
[01521.66-01522.54] 兩個時派
[01522.54-01523.78] 除了這些之外
[01523.78-01525.86] 還有一些剩長時期的一些失忍
[01525.86-01526.90] 不要常見的
[01526.90-01527.62] 在這裡面
[01527.62-01529.50] 第一個人物就是王昌零
[01529.50-01531.18] 王昌零需要同學們標準一下
[01531.18-01532.98] 第一個叫做七覺瘦手
[01532.98-01534.66] 山上寫七言舉句
[01534.66-01537.98] 第二个就是同学们要知道王常领他的一些适合住座
[01537.98-01539.90] 他也是编费室的代表
[01539.90-01541.82] 对吧 所以在这里出现他的时
[01541.82-01545.66] 也属于编费室 比如说同军行期守 比如说出赛
[01545.66-01547.98] 王常领这个人呢 他其实
[01547.98-01550.26] 也不是说出生特别的好
[01550.26-01552.06] 他出生相当的人说比较平衡
[01552.06-01554.38] 所以他那个时候他就知道 他要干嘛呢
[01554.38-01557.18] 他其实生与山西太远
[01557.18-01558.46] 他其实是山西太远人
[01558.46-01562.42] 所以他年轻的时候他就在家里重地啊 公公田野
[01562.42-01564.42] 但是他也是有一些理想报复的
[01564.42-01566.66] 所以23歲的時候他就去學什麼呢
[01566.66-01568.62] 去鬆山學到去舞蹈去了
[01568.62-01570.98] 但學到學了3年沒學到上
[01570.98-01572.58] 學不明白 學到學到
[01572.58-01573.82] 但是最終沒有學到
[01573.82-01575.66] 最後什麼都沒有學好
[01575.66-01577.02] 所以學到五果之後呢
[01577.02-01577.86] 他就幹嘛呢
[01577.86-01579.26] 他就覺得
[01579.26-01580.22] 這不適合我
[01580.22-01581.58] 就看去飄國江湖
[01581.58-01583.42] 所以他在江湖飄國的時候
[01583.42-01585.74] 還走過很多的地方大山大河
[01585.74-01586.30] 然後呢
[01586.30-01587.94] 走到了河濃
[01587.94-01589.46] 西出浴門關
[01589.46-01591.82] 看到了編載流潰的景象之後
[01591.82-01593.10] 他都會發現天哪
[01593.10-01597.66] 这国以前在山上误道和我九居中原的景象怎么样都不一样
[01597.66-01602.82] 所以他看到那一切我们所说的输浪了远的这样的一些景象之后呢
[01602.82-01605.90] 他好群万丈所以从此就开始写什么
[01605.90-01606.86] 变赛时
[01606.86-01609.74] 你看看在边赛时当中他写的比较长见的
[01609.74-01615.06] 同样把这个从军醒起手当中和出赛当中的主要失去标出在旁边
[01615.06-01617.74] 比如说你看他在出赛当中有
[01617.74-01625.64] 一句话,其实名月换时关万里长征人为换,刚才在,有时聚作品当中给大家引送的,对吧?
[01625.64-01635.94] 在这里后面这句话,同们也要去给的标注父来叫,但是龙城非将在不叫胡马多云山,这里面会考察一个细节,就是这里的龙城非将,指的是谁啊?
[01635.94-01644.24] 一方面呢,就是有集中说法,第一种呢,就是龙城指定没得说了,龙城指的是谁,龙城指的是卫青啊?
[01644.24-01646.98] 龍城之戰嘛
[01646.98-01648.70] 所以在這裡面是衛青
[01648.70-01650.98] 有了說 第一種考察方式就說
[01650.98-01653.94] 龍城飛降代植就僅僅是衛青一個人
[01653.94-01655.10] 這是一種說法
[01655.10-01657.82] 還有一種說法呢 就是龍城飛降代植是兩個人
[01657.82-01659.16] 這兩個人分別是誰呢
[01659.16-01661.22] 一個是衛青飛降的話呢
[01661.22-01665.42] 有人說他有可能是我們常說的叫做禮廣
[01665.42-01668.12] 禮廣南方的那個禮廣
[01668.12-01669.50] 因為這樣那種說法
[01669.50-01670.74] 所以他無論是考哪一種
[01670.74-01671.48] 大家就知道啊
[01671.48-01674.06] 這裡面 龍城飛降他是衛青
[01674.06-01675.46] 所以这种说法是对的
[01675.46-01676.88] 但是如果说龙城非教师
[01676.88-01678.40] 卫青和离广也是对的
[01678.40-01680.02] 就看他在选丢中怎么设
[01680.02-01681.52] 所以在这里给大家注意一下
[01681.52-01682.24] 这是他的
[01682.24-01683.28] 别在时当中的
[01683.28-01684.90] 第一个叫做初赛
[01684.90-01685.40] 初赛
[01686.04-01688.14] 这是第一个需要我们去熟悉的
[01688.14-01689.42] 他的一个失聚
[01689.42-01690.66] 熟悉他的一个失聚
[01690.66-01692.24] 只是大家掌握的第一个
[01692.24-01694.50] 我们说了这个是他在相对人说
[01694.50-01695.56] 比较年轻的时候
[01695.56-01697.36] 他有那种好情万账的时候
[01697.36-01698.12] 他写的
[01698.12-01699.40] 但是他也都知道
[01699.40-01702.48] 其实你做过而也不能说一声都如此算碎
[01702.48-01704.30] 所以在他41岁的时候
[01704.30-01705.68] 遭到了辩折
[01705.68-01707.28] 就变到了我们所说的
[01707.28-01708.24] 辩远地区
[01708.24-01710.04] 后来其实是遇到了设面
[01710.04-01710.88] 遇到设面之后
[01710.88-01712.32] 在80遇到了里白
[01712.32-01713.80] 一件如故成为了好友
[01713.80-01714.96] 所以当时在80呢
[01714.96-01716.24] 就给里白写了一首师
[01716.24-01717.64] 80送里12首
[01717.64-01719.36] 后来他就去了江宁线
[01719.36-01720.72] 去当线城
[01720.72-01722.24] 关止虽然很小
[01722.24-01724.44] 但是他一直还是心怀暴服的
[01724.44-01726.12] 所以他在去认职
[01726.12-01727.80] 去江宁线认职的时候
[01727.80-01729.24] 写了一首师
[01729.24-01730.28] 这有师师啥呢
[01730.28-01732.86] 就是就是服务搜新建凉手
[01732.86-01735.24] 这里面有一个明具同时要掌握
[01735.24-01739.04] 叫洛阳七有如销问一片冰心在欲虎
[01739.04-01741.08] 这一块同学没有去知道
[01741.08-01743.36] 这是我们所说它被扁之后去从官
[01743.36-01746.36] 在这里面我说的是兵在师的代表人物
[01746.36-01749.08] 所以在这里面还有一个从军形七手的结设
[01749.08-01750.52] 这一块里面有一句
[01750.52-01752.24] 我们给它记得旁边
[01752.24-01754.08] 叫黄沙百战穿金奖
[01754.08-01755.48] 不会罗罗安中部会
[01755.48-01757.88] 你看这都是素边打招的这样的一些
[01757.88-01759.48] 所以这个是我们所说的
[01760.28-01763.00] 网唱林,大家要注意一下,这是网唱林
[01763.00-01771.64] 好,这里面网唱林的这第一个,其实是受受,第二,做作人物的对应,这是胜糖实际编费的主要的代表人物,网唱林
[01771.64-01781.04] 但是来看一下我们考语到题吗,它说编费时能有从出费时,属于编费时的试试,语一下,常常会望,续成对,山顶千门刺底开
[01781.04-01788.00] 你看写的,有没有飞沙走时,数边生活,金额天马之类的没有,所以它不属于编费时,真的度墓写的
[01788.00-01791.16] 郭爾華青宮所以A學項不能選
[01791.16-01794.64] 畢竟像最為殺場軍末效果來綜藉的集人會
[01794.64-01796.14] 正確是必在失敗
[01796.14-01797.12] 有編載分光
[01797.12-01797.86] 所以選項
[01797.86-01800.42] 諾華建議名人眼前曉彩的問題
[01800.42-01803.20] 些春來景象前逃虎
[01803.20-01804.40] 白鋸一的事
[01804.40-01806.14] 所以他也不屬於編載
[01806.14-01806.84] 第
[01806.84-01808.76] 顧人西此黃河樓
[01808.76-01810.38] 陰花三月下樑州
[01810.38-01812.80] 黃河樓收夢靠人之光流
[01812.80-01814.00] 是禮拜寫的
[01814.00-01815.00] 都非常黃河樓
[01815.00-01817.48] 長三里當中非常照的一個標誌
[01817.48-01819.72] 所以这里面属于编在师的只有那个
[01819.72-01821.06] 只有第二个
[01821.06-01822.72] 所以照体现在的二倍
[01822.72-01823.72] 大家注意一下
[01823.72-01825.04] 这是我们所说的
[01825.04-01827.72] 在胜糖时期的两个风格
[01827.72-01830.20] 一个是甜愿式当中的王为
[01830.20-01831.84] 还有一个是编在师当中的
[01831.84-01833.40] 我们所说的高层
[01833.40-01835.16] 高层成身除了太辣之外
[01835.16-01836.68] 还有一个网唱令
[01836.68-01838.16] 那当然编在师不止他
[01838.16-01839.96] 我们只是讲的几个最点醒的
[01839.96-01840.84] 大家注意一下
[01841.84-01842.80] 我们来看一下
[01842.80-01845.64] 在胜糖时期的又一些非常著名的代表人物
[01845.64-01848.14] 我們拋開剛才師的失派來說的話
[01848.14-01850.76] 我們來看一下正常時期的主要代表人物
[01850.76-01853.20] 正常時期的主要代表人物有兩個
[01853.20-01855.14] 一個就是李白
[01855.14-01856.28] 還有就是肚腐
[01856.28-01857.80] 想到當的名號
[01857.80-01860.18] 那李白其實常常三個領當中
[01860.18-01863.58] 我們所說的一個非常重要的一個主角
[01863.58-01867.32] 從他我們所說的少年或者是就要青年時
[01867.32-01869.40] 他我們所說的一起風發
[01869.40-01870.84] 在到他的中年的時候
[01870.84-01871.80] 他去去觀察
[01871.80-01873.20] 然後不是很快樂
[01873.20-01875.60] 一直在到他我們所說的這個晚年的時候
[01875.60-01876.76] 有一站错了对
[01876.76-01878.40] 然后最后我们都知道
[01879.04-01880.40] 遇到了很多的这样的问题
[01880.40-01881.40] 在警示巨当中
[01881.40-01882.92] 我们也会看到他得到
[01882.92-01884.36] 高市的很大这个帮助
[01884.36-01886.56] 其实无论深处什么样的环境
[01886.56-01889.00] 李白那他总有人生不得意之时
[01889.00-01890.52] 但是也最终
[01890.52-01893.36] 我们说了庆祝有过万重山展现出来了对于
[01893.36-01896.76] 我们所说的这种超脱与现实的这种自由
[01896.76-01898.16] 所以在这里面我们都知道
[01898.16-01898.96] 这是李白
[01898.96-01900.24] 那还有一个就是杜府
[01900.24-01902.96] 杜府在电影当中也有呈现
[01902.96-01904.58] 只是最开始的时候
[01904.58-01905.64] 灌牙漏起的一个小孩
[01905.64-01906.54] 很高时间变了
[01906.54-01907.68] 后来的时候长大了
[01907.68-01908.76] 手事都是一样的
[01908.76-01910.20] 他们两个是点形时期的
[01910.20-01911.60] 圣堂的代表人物
[01911.60-01912.72] 所以在这里大家知道
[01912.72-01913.88] 圣堂的代表人物
[01913.88-01914.72] 第一个要知道
[01914.72-01916.48] 李白和肚腐和称理肚
[01916.48-01918.52] 因为还有一个和他们相对应的
[01918.52-01919.52] 叫小理肚
[01919.52-01920.72] 晚堂时期的
[01920.72-01921.60] 要去分开
[01921.60-01923.68] 我们会讲到叫肚幕和理商业
[01923.68-01924.68] 那我们首先来看一下
[01924.68-01926.32] 第一个李白和我们画一下
[01926.32-01927.76] 李白被称之为叫做
[01927.76-01930.56] 实先肚腐被称之为叫做实胜
[01930.56-01931.92] 李白称之为实先
[01931.92-01934.60] 是因为它写的文章真的是
[01934.60-01935.64] 按照或者是这样的话
[01935.64-01936.26] 就是我说的
[01936.26-01937.60] 是常人写不出来
[01937.60-01940.28] 李白这一伤的写失写了抽几度
[01940.28-01942.52] 大家都知道的写了一千多数时
[01943.02-01945.12] 但是你要李白去被自己的失呢
[01945.12-01946.04] 被不下来
[01946.04-01948.48] 李白经常说为什么要被自己的失呢
[01948.48-01948.88] 对吧
[01948.88-01951.00] 你想要说什么想要我的诸作
[01951.00-01951.52] 我就可以怎么样
[01951.52-01952.44] 就可以再写
[01952.44-01955.04] 你可以说是取知不间用这不节的彩环
[01955.04-01958.12] 所以一生一共创作了一千多数时
[01958.12-01959.52] 这就是我们所说的李白
[01959.52-01961.04] 它的失的整体的风格
[01961.04-01963.64] 这非常地浪漫漂一的这样的一个感觉
[01963.64-01967.20] 也是和他这个人的性情有很大的这样的一个关系
[01967.20-01970.20] 经常你看他在年轻的时候他不缺钱 对吧
[01970.20-01971.72] 家里其实也不缺钱的
[01971.72-01974.40] 后来他的一个钱被他的各个门都刮分了
[01974.40-01976.40] 虽然他苦门带着并不在意
[01976.40-01978.40] 但一直是有那种我们所说的
[01978.40-01981.88] 像我超过于是的那种品格在的
[01981.88-01983.64] 所以最和他的性格有很大的关系
[01983.64-01987.64] 大家知道晚年的礼拜过的其实并没有想象中的那么好 对吧
[01987.64-01989.80] 所以这是我们所说的被称为实现
[01989.80-01992.00] 第二个肚腐被撤为就多失胜
[01992.00-01993.76] 被撤为就多失胜的原因
[01993.76-01994.92] 就是他这个人
[01994.92-01997.64] 真的是新怀天下的这样的一个人
[01997.64-01998.88] 非常的
[01999.28-02000.80] 一般人其实做不到
[02000.80-02002.72] 这自己的日子过得很苦的时候
[02002.72-02004.56] 他依就能想到天下的百姓
[02004.56-02005.92] 你看他过到后面的时候
[02005.92-02006.60] 我们经常说
[02006.60-02009.00] 安德广沙千万间大闭天下
[02009.00-02009.88] 还是聚欢
[02009.88-02010.48] 聚欢演
[02010.48-02012.44] 我的某位轻松祖附葛哥
[02012.44-02014.32] 那个大方都把不防顶的挂走了
[02014.32-02015.84] 但是还能想到天下的百姓
[02015.84-02016.56] 这个人
[02016.56-02018.56] 对于天下藏着有一种背面的
[02018.56-02021.64] 所以他被称明叫做施胜
[02021.64-02022.64] 一点都不为过
[02022.64-02024.00] 所以在这里大家知道
[02024.00-02025.48] 这是他们两个人的别车
[02025.48-02026.48] 和前面的
[02026.48-02028.48] 我们所说的人物去分开
[02028.48-02028.80] 好吧
[02028.80-02030.72] 我们前面讲了师傅还讲了
[02030.72-02032.12] 我们所说的那个
[02032.12-02033.16] 施豪
[02033.16-02034.16] 施豪
[02034.16-02035.20] 就施狂
[02035.20-02035.92] 和这张
[02035.92-02036.84] 所以大家注意一下
[02036.84-02037.64] 这是第二个
[02037.64-02038.40] 我们要注意到
[02038.40-02040.32] 李白和杜府他的别车
[02040.32-02041.92] 那么先来看一下李白
[02041.92-02042.56] 李白
[02042.56-02043.80] 他的代表做有很多
[02043.80-02045.20] 在这里不足一句给大家讲的
[02045.20-02045.68] 比如说
[02045.68-02047.36] 输到南于上青天
[02047.36-02047.76] 比如说
[02047.76-02049.70] 就槍進久,以後我們去看一下
[02049.70-02051.92] 在影視聚作品當中怎麼還原的
[02051.92-02053.14] 千金三金環富來
[02053.14-02055.18] 對他來說,錢不重要
[02055.18-02058.26] 照相的夢由天母一流別,我們說了
[02058.26-02058.76] 叫做
[02058.76-02061.08] 叫著謝公基,深灯慶體
[02061.08-02064.40] 前面我們講過,還有我們所說的黃克洛松摩哈人之廣聯
[02064.40-02066.20] 煙花飯香人之燈燈
[02066.20-02068.24] 這個是李白他一個著作
[02068.24-02070.28] 我們來看一下李白他的著作當作
[02070.28-02072.34] 比較典型的我們常見的他的失去
[02072.34-02073.62] 比如說形怒男
[02073.62-02075.66] 形怒男,形怒男多齊入
[02075.66-02079.30] 现在在长风破浪会有时 只挂鱼翻 鸡藏海
[02079.30-02081.30] 对吧 中央会看到希望的
[02081.30-02083.06] 所以这是它描会的
[02083.94-02086.50] 有关于我们所说的 对于未来的一种向往
[02086.50-02089.38] 这个长风破浪会有时 只挂鱼翻鸡藏海
[02089.38-02090.78] 在前进年的时候
[02090.78-02092.74] 喜欢和什么放在一块烤的
[02092.74-02096.62] 特别喜欢和我们在讲中国梦的时候
[02096.62-02098.18] 去讲到这个点
[02098.18-02101.70] 说中国的昨天 中国的今天和中国的明天
[02101.70-02103.38] 前进年的时候特别喜欢烤
[02103.38-02107.10] 中國的昨天我們說了叫詢官慢道之如鐵
[02107.10-02111.62] 中國的今天我們說了人間正到是湊桑
[02111.62-02113.62] 中國的明天就是我們所說的
[02113.62-02115.18] 長風破浪會有時
[02115.18-02116.42] 只外有番集艙海
[02116.42-02118.42] 這長前幾年經常會這麼靠
[02118.42-02120.62] 因為他在最開始的時候提出來
[02120.62-02123.02] 我們所說的這個國家領導人提出來
[02123.02-02125.78] 相應的中國的昨天今天明天的時候
[02125.78-02127.34] 他很容易考察這個出處
[02127.34-02129.78] 其實在展望中國發展未來的所說
[02129.78-02132.70] 中國的明天一定會長風破浪會有時
[02132.70-02134.94] 那就是来自于离拜的行路
[02134.94-02136.38] 所以大家注意一下这个点
[02136.38-02137.42] 好吧 这是第一个
[02137.42-02138.70] 希望我们去掌握的
[02138.70-02141.10] 那第二个呢 就是大家要知道我们所说的离拜
[02141.10-02143.42] 它住民的叫做枪进酒 对吧
[02143.98-02145.90] 居民部件黄河之水添上来
[02145.90-02149.42] 以及到后面所说的就是千金散金环夫来
[02149.42-02151.66] 它的整体上的那个感觉
[02151.66-02155.82] 我们所提到的它的那个写的这种施的那种长景
[02155.82-02157.82] 在我们所说的长三里当中
[02157.82-02160.06] 其实有一个非常明显的一个展现
[02160.06-02162.58] 这个其实就是在里白后期的时候
[02162.58-02165.02] 他说约着好朋友
[02165.02-02167.18] 就是和高市分别之前
[02167.18-02168.70] 然后说展现这个形象
[02168.70-02169.90] 他写了一首师
[02169.90-02170.90] 所许赢唱那首
[02170.90-02172.42] 整个师的这个场景
[02172.42-02175.42] 在长三里当中也用动画的形式
[02175.42-02176.62] 去给他呈现出来了
[02176.62-02178.78] 我们来看一下他再去赢素
[02178.78-02179.78] 强运久的时候
[02179.78-02181.18] 这样的一个具体的场景
[02184.86-02186.18] 我游泪一首师
[02186.98-02188.22] 我要给大家
[02188.22-02191.02] 一世中心
[02203.22-02204.78] 全都剪
[02206.22-02210.50] 王何之水天不上来
[02213.22-02215.62] 噴流到外
[02215.62-02218.62] 不复会
[02222.62-02224.62] 拳头前
[02225.62-02228.62] 头疼明静被白化
[02228.62-02230.62] 照如天生
[02231.62-02233.62] 无长期
[02235.62-02237.62] 等在世界幻
[02238.62-02241.62] 若是金装通过岳
[02241.62-02246.62] 先生,我才必要用
[02246.62-02249.62] 千金反敬
[02249.62-02251.62] 快速来
[02251.62-02253.62] 快速来
[02253.62-02254.62] 好
[02254.62-02256.62] 好
[02256.62-02259.62] 好,我想再用
[02259.62-02261.62] 千位了
[02261.62-02264.62] 好,快速来
[02264.62-02265.62] 快速来
[02265.62-02267.62] 快速来
[02267.62-02269.62] 快速来
[02299.62-02301.62] 太后在很久程
[02301.62-02306.62] 请安静久美朦的
[02306.62-02309.62] 徐静愣愣
[02309.62-02314.62] 请安静愣
[02314.62-02317.62] 请安静愣
[02317.62-02319.62] 请安静愣
[02319.62-02321.62] 请安静愣
[02321.62-02323.62] 请安静愣
[02323.62-02325.62] 请安静
[02329.62-02330.62] 颈备
[02331.02-02333.72] 又損弄
[02339.62-02342.04] 楚卓御不踢
[02342.86-02347.54] 大云人之行堆 都不兴
[02349.10-02350.06] 来省险的
[02350.06-02351.30] 喜欢
[02351.90-02353.38] 她要遇着
[02353.38-02355.00] 对我们几名
[02355.32-02359.04] 稳不定
[02389.04-02407.88] 这就是我们所说的他
[02407.88-02410.66] 引送我们所提到的这个枪面酒
[02410.66-02412.04] 他的这样一个片段
[02412.04-02413.74] 其实从这个片段当中
[02413.74-02417.04] 我们通过他的这样一个画作的描繪
[02417.04-02420.60] 然后在通过他的整体上画面的这个呈现
[02420.60-02423.96] 我们其实很好的感受的当时的情感的表达
[02423.96-02427.16] 那乔妮女有很多我们而出能想到剧子
[02427.16-02428.52] 在这里我们来看一下
[02428.52-02430.64] 比如说刚才说的人生得一期间
[02430.64-02432.24] 欢墨是金尊空对约
[02432.24-02433.36] 天生我才必有用
[02433.36-02435.60] 千几三天环富来打到很熟悉
[02435.60-02437.28] 还有五花码千净球
[02437.28-02440.40] 或将出环美酒约同销万古仇
[02440.40-02441.36] 等等这些
[02441.36-02443.08] 像这种比较熟悉的剧子
[02443.08-02445.40] 我在这一位大级做过多的最树蓝
[02445.40-02448.04] 你知道他是原資郵禮拜就ok了
[02448.04-02450.32] 好 那這是我們所說的禮拜的失坐
[02450.32-02451.80] 而在禮拜的後期的時候
[02451.80-02452.72] 大家都知道
[02452.72-02455.64] 就出現了我就有了我們所說的什麼呢
[02455.64-02457.76] 只是他站對戰錯了 對吧
[02457.76-02459.88] 後來的時候就被下律就被放出來
[02459.88-02462.56] 最後我們說了放走了之後
[02462.56-02464.52] 他清州與國萬重山
[02464.52-02465.96] 又來這樣一個心境
[02465.96-02467.68] 所以在這裡沒有了另外一個
[02467.68-02468.88] 我們所說的禮拜
[02468.88-02471.24] 到所給到的這樣的一個
[02471.24-02473.40] 註做 就是他的一個失坐
[02473.40-02474.84] 就叫做早發白地城
[02474.84-02477.64] 左海外的一场当年考过一个细节是什么呢
[02477.64-02479.18] 就是白帝到底是在哪
[02479.18-02480.74] 这个白帝城指的是哪里
[02480.74-02482.40] 说周辞白帝采员间
[02482.40-02484.82] 前李江林一入环梁原生提不住
[02484.82-02486.22] 清州以过万从三
[02486.22-02488.00] 这里面的白地城
[02488.00-02489.44] 其实我们所说的什么呢
[02489.44-02490.66] 奉解线
[02490.66-02492.48] 所以考过这样一个细节
[02492.48-02493.76] 大家要注意一下
[02493.76-02495.24] 这是我们所说的有关于
[02495.24-02496.72] 立白它的一个实作
[02496.72-02498.32] 来看一下这里面的此案
[02498.32-02499.86] 这里白有句是
[02499.86-02503.04] 说糟糕的白地纯金的白地值得是哪
[02503.04-02505.04] 就是我们所说的奉解
[02505.04-02506.16] 所以这是我们所说的
[02506.16-02508.20] 第一个人物叫做立白
[02508.20-02510.24] 正常实戏的第二个人物是谁呢
[02510.24-02512.44] 就是我们所说的叫杜府
[02512.44-02514.28] 杜府那呆也都知道
[02514.88-02517.36] 他的代表住座在这里标注一下
[02517.36-02519.52] 有三历大家知道哪三历
[02519.52-02521.52] 叫石毫历先历同关历
[02521.52-02525.16] 还有三历新冠别无家别和垂老别
[02525.16-02527.48] 描会的其实就是在战论之下的
[02527.48-02529.44] 这样一个百姓生活的景象
[02529.44-02531.48] 你看他的事具我没有很多
[02531.48-02534.76] 比如说国破山和在城村草木深
[02534.76-02537.12] 会当零决定一朗重山小
[02537.12-02539.68] 其实都是来自于礼拜杜府的师座
[02539.68-02542.56] 所以这是在这里面大家知道他的具体失责
