[00000.00-00002.68] 今天我们要先来学习买员的第一个部分
[01330.68-01331.88] 共产党宣言的时候
[01331.88-01333.32] 可以说是废行望时
[01333.32-01335.40] 然后有一天他的妈妈
[01335.40-01336.88] 来到他的这个
[01336.88-01338.16] 给他送吃的时候
[01338.16-01340.08] 然后就给他送了一些纵子
[01340.08-01341.36] 然后给他送了一些红糖
[01341.36-01343.00] 就告诉他说工作很辛苦
[01343.00-01344.76] 那拿这个纵子沾红糖吃
[01344.76-01345.56] 特别好吃
[01345.56-01347.60] 然后他的妈妈就把东西放在那儿
[01347.60-01348.88] 然后他打扫房间了
[01348.88-01350.20] 然后当时这个城王道
[01350.20-01351.28] 就说好的好的
[01351.28-01351.60] 对吧
[01351.60-01353.60] 然后就跟按照他妈妈说的
[01353.60-01355.00] 拿一个纵子沾了红糖
[01355.00-01356.08] 他妈妈妈甜了
[01356.08-01356.68] 他是甜
[01356.68-01358.64] 然后就姐姐这肉在那翻一了
[01358.64-01360.68] 结果拿着纵子沾的战糖的时候
[01360.68-01362.00] 不想让战斗墨儿之类
[01362.00-01364.20] 但是他也没有感觉出来
[01364.20-01366.64] 结果他妈妈回过头来看的吃的怎么样
[01366.64-01368.64] 发现嘴上全都战着默奖
[01368.64-01370.64] 他们说你看你吃的是个啥
[01370.64-01371.94] 总是还甜
[01371.94-01373.24] 它做得很甜
[01373.24-01375.54] 但是结果一看是战着默奖
[01375.54-01377.24] 所以那个时候就有一个故事
[01377.24-01378.64] 叫做真理事
[01378.64-01379.34] 甜的
[01379.34-01382.04] 用来形容的成王道
[01382.04-01382.94] 就是成王道
[01382.94-01385.54] 所以这是有关于共产党宣言的
[01385.54-01387.86] 它背后随隐长的五个考虑
[01387.86-01390.14] 同学没有给它把握住
[01390.64-01392.04] 这是共产党宣言
[01392.04-01394.14] 刚才留下了一个服务比
[01394.14-01395.84] 就说那马斯他除了
[01395.84-01398.98] 有工程道宣言之外,它有一些其他的一些理論
[01398.98-01405.84] 那這些其他的理論,一共是有四個點,需要我們去注意的,大家把它標注在我們的旁邊
[01405.84-01410.94] Masji,其他著作當中的第一個著作就要做得意志意識形態
[01414.54-01418.84] 叫做得意志意識形態
[01418.84-01424.24] 那這個得意志意識形態,它裡面所產術的核心的內容
[01424.24-01426.24] 或者是它的地位是啥呢
[01426.24-01427.32] 你在旁飆住一下
[01427.32-01431.24] 叫做首次系统
[01432.08-01435.24] 产数歷史为务主义
[01436.00-01440.04] 首次系统产数歷史
[01440.04-01441.04] 为务主义
[01441.04-01442.68] 这个点大住一下
[01442.68-01445.04] 它有和刚才我们所说的
[01445.04-01446.56] 一个点去问开
[01446.56-01447.44] 去问哪个呢
[01447.44-01448.84] 就是刚才我们所说的
[01448.84-01450.36] 共产党宣言
[01450.36-01451.56] 我就简单写了
[01451.56-01453.36] 共产党宣言是首次系统产党
[01453.36-01455.36] 什么科学社会主义
[01458.16-01460.28] 这两个点在考试的时候
[01460.48-01462.52] 金常会混销我们
[01462.52-01464.88] 所以一定要要把他两去分开
[01464.88-01466.60] 这是第一个叫德意志
[01466.60-01467.68] 意志形态
[01467.68-01469.56] 那除了德意志形态之外
[01469.56-01471.56] 第二个就是我们所熟悉的书辣
[01471.56-01472.88] 叫做资本论
[01472.88-01474.52] 资本论好多捐
[01474.52-01476.36] 马斯这个人真是太牛了
[01476.36-01477.44] 大家只认为说
[01477.44-01480.56] 老师他是不是就只有马责马征经和科学这几部分那种
[01480.56-01481.16] 不是
[01481.16-01482.56] 他都数学特别好
[01482.56-01484.00] 他也懂心人血
[01484.00-01485.64] 然后他还懂法律
[01485.64-01487.16] 所以你就能够看到
[01487.16-01488.12] 他所剩一个女论
[01488.12-01489.48] 其实特别的旁载
[01489.48-01491.20] 而资本论其实也是他
[01491.20-01493.00] 非常照顾的一个组成部分
[01493.00-01494.84] 而资本论被称为什么呢
[01494.84-01496.12] 同样标注一下
[01496.12-01497.24] 资本论被称为
[01497.24-01500.48] 叫做公人接级的圣经
[01503.04-01505.48] 这个点也是一个一会小考点
[01505.48-01507.96] 公人接级的圣经是资本论
[01507.96-01511.36] 他经常就会给我们出来的混小选项
[01512.56-01514.36] 說工人機機的攝影師啥呢
[01514.36-01517.94] 因為工程到宣言提到了全世界的無產者聯繫起來
[01517.94-01519.40] 所以在這裡他就說了
[01519.40-01522.56] 工人機機的攝影師共產黨、宣言
[01522.56-01524.24] 如果他一旦這麼說
[01524.24-01525.04] 那就知道
[01525.04-01526.52] 這種說法是對的還是錯的
[01526.52-01528.20] 這種說法很明顯就是錯的
[01528.20-01529.72] 打個大大的差
[01529.72-01531.32] 所以在這裡大家要注意一下
[01531.32-01533.04] 這是第二個資本論
[01533.04-01534.64] 也是一個非常招的組作
[01534.64-01537.64] 第三個就叫做反度理論
[01537.64-01541.04] 在粉
[01541.04-01544.00] 杜林论当中其实提到了一个点
[01544.00-01548.64] 杜林论里面又再一次产殊了科学社会主义
[01551.64-01555.04] 再次系统产殊了科学社会主义
[01555.04-01557.84] 但是这里面主意下他只是产殊了
[01557.84-01559.24] 他是不是第一次呢
[01559.24-01561.64] 明确啊他不是第一次
[01561.64-01562.84] 因为第一次还是什么
[01562.84-01564.44] 还是共产党宣言的发表
[01564.44-01566.04] 他说上面共产党宣言
[01566.04-01568.76] 又形成了一个混效的烤店
[01568.76-01570.96] 这是第3个内容
[01570.96-01575.04] 那第4的内容就是关于FIRBHA的提钢
[01578.24-01580.60] 关于FIRBHA的提钢
[01580.60-01582.24] 在FIRBHA的提钢当中
[01582.24-01586.16] 它是首次开去产说马斯主义哲学
[01586.16-01588.76] 所以它标志的是马哲学的形成
[01592.12-01594.60] 它标志的是马哲学的形成
[01594.60-01596.00] 所以大家这几个店
[01596.00-01597.04] 一定要注意呀
[01597.04-01598.68] 可能会说老师你说我现在
[01598.68-01599.88] 我已经迷惑了
[01599.88-01600.76] 不要迷惑
[01600.76-01602.80] 咱们这个地方去实际的时候怎么进呢
[01602.80-01607.20] 就是一个文件四个府住
[01607.20-01609.32] 一个文件是共产党宣言
[01609.32-01610.72] 共产党宣言说了啥
[01610.72-01612.32] 你把这个去基础之后
[01612.32-01614.52] 这些混小的点一出来
[01614.52-01616.16] 你就能够给它去分开了
[01616.16-01618.16] 共产党宣言第一个
[01618.16-01620.52] 马斯主义公开问是第二个
[01621.52-01623.64] 单行本在英国第三个
[01624.16-01625.88] 共产主义的第一个提钢
[01625.88-01629.36] 第四个第一次产数可学生物主义
[01629.36-01632.08] 第五个翻译者成功能道
[01632.08-01635.72] 这几个点一定要把他和新的点把握住
[01635.72-01637.72] 而他也身出来的其他的住座
[01637.72-01641.04] 就是和他体配容易形成混晓考点的
[01641.04-01643.32] 老师我实在记不住这么多说
[01643.32-01644.00] 怎么办
[01644.00-01646.32] 你就要反反恕恕地去看两遍
[01646.32-01648.84] 但是和心是我刚才所说的共产党宣言
[01648.84-01650.20] 你只要把那个把握住了
[01650.20-01652.36] 其实其他的这些混晓要出来
[01652.36-01653.56] 你都不会做错的
[01653.56-01655.20] 那这个是我们所说的
[01655.96-01658.16] 马斯主义的其他出作
[01658.16-01659.04] 其他出作
[01659.04-01659.76] 所以大家注意
[01659.76-01660.68] 这是马斯主义
[01660.68-01662.72] 他单声的标志
[01662.96-01663.88] 单声的标志
[01663.88-01665.68] 我们已经讲了两个问题
[01665.68-01666.76] 一个是他说了
[01666.76-01667.56] 先内容
[01667.56-01668.76] 第二个我们知道了
[01668.76-01669.76] 他单声的标志
[01669.76-01670.56] 第三个
[01670.56-01671.88] 我们还一流了一个问题
[01671.88-01672.96] 就是我们要知道
[01672.96-01675.08] 马斯主义他作为一套理论
[01675.08-01676.56] 他个其他的一些理论
[01676.56-01677.36] 有什么样
[01677.36-01678.48] 不同的地方
[01678.48-01680.04] 那这有就叫格他的
[01680.04-01681.20] 鲜柏特征
[01681.20-01682.92] 那马斯主义的鲜柏特征
[01682.92-01686.40] 中共是由第1个角色做科学性
[01686.40-01687.76] 什么叫科学性呢
[01687.76-01689.28] 你看看给到了一个定义
[01689.28-01691.64] 说马斯主义是对自然社会
[01691.64-01695.40] 人类思维发展本质和规律的政确反应
[01695.40-01696.84] 啥叫政确反应呢
[01696.84-01697.64] 你就不用管
[01697.64-01698.68] 你就知道一句话
[01698.68-01699.56] 就是科学性
[01699.56-01701.76] 就认为马斯说的是对的还是错的
[01702.64-01703.64] 科学性就意味着
[01703.64-01705.88] 他一例说的是对的
[01705.88-01706.72] 那这里面
[01706.72-01708.88] 人们就不经会产生一流的一会
[01708.88-01711.92] 那平常马斯说的是对的呢
[01711.92-01712.96] 原因很简单
[01712.96-01717.04] 因为马斯主义是经过实件简单的
[01717.04-01718.32] 所以在这里面
[01718.32-01722.28] 它的科学性其实是来自于它的实件性
[01722.28-01724.52] 它是经过实件简单的
[01724.52-01726.60] 那马斯所谓的实件
[01726.60-01727.92] 它到底指的是什么呢
[01727.92-01730.00] 我们都知道实件翻译过来说白了
[01730.00-01731.60] 就是人人去做一些事
[01731.60-01733.36] 所以实件的本质就是什么
[01733.36-01734.40] 人做事
[01734.40-01737.00] 所以马斯所谓强调个实件就表现在
[01737.00-01739.12] 它能够领导无产階局
[01739.12-01741.12] 去进行相用的革命
[01741.12-01744.52] 它有一些非常彻底的批判精神
[01744.52-01745.60] 这个就叫做时间
[01745.60-01746.72] 所以我们可以这么记忆
[01746.72-01747.84] 就是时间呢
[01747.84-01750.24] 它其实本身就是革命
[01750.24-01753.68] 实现在这里其实就有一种实验形式就是革命
[01753.68-01755.56] 所以在这里面就就确定了
[01755.56-01758.80] 马斯主义它还具有一种革命性
[01758.80-01760.48] 所以在这我们就明确了
[01760.48-01762.96] 科学性来自于它的实验性的剪验
[01762.96-01765.68] 而实验的一种形式就在于它的革命性
[01765.68-01768.12] 而这三个科学是分布开的
[01768.12-01770.28] 我为啥把这三个特性放在一块呢
[01770.28-01773.92] 因为这里面会涉及到一个单选题
[01773.92-01774.92] 说的是啥呢
[01774.92-01778.88] 说的是马斯祖爷抢大的生命力的根源是什么
[01780.68-01788.12] 叫马斯祖爷抢大的生命力的根源
[01790.96-01792.52] 或者问的是啥呢
[01792.52-01794.96] 问的是马斯祖爷他的根本特征
[01798.12-01800.12] 根本特征1号
[01800.12-01802.12] 或者说他强大生命力的根本1号
[01802.12-01806.12] 其实强调的就是时间性科学性和革命性
[01806.12-01810.12] 欢迎话说就是在时间基础之上的
[01814.12-01817.12] 科学性和革命性的统一
[01820.12-01825.12] 科学性和革命性的统一
[01825.12-01829.46] 所以在这里它无论怎么去挖控怎么去说
[01829.46-01832.80] 你就知道马斯主义它的现面特征当中
[01832.80-01834.60] 三个是仅仅的分不开的
[01834.60-01838.44] 就是在实验旧有这上革命行合科学性的统一
[01838.44-01841.76] 这是我们需要在特征当中掌握的低于矩幻
[01841.76-01844.52] 非常重要所以大家注意一下这是低一个
[01844.52-01846.36] 我们墙掉了它的三个特征
[01846.36-01851.58] 所以三个特征仅仅分不开而最维重要的在这三个当中能够起到基础最后的
[01851.58-01852.90] 一定是实现
[01852.90-01855.06] 所以马斯和其他女文不一样
[01855.06-01857.54] 其他的人只是在解释世界
[01857.54-01859.38] 而马斯之旅与改造世界
[01859.38-01861.02] 其他的女文都是在想
[01861.02-01861.34] 对吧
[01861.34-01863.18] 都是在高屋建里循尔上
[01863.18-01864.66] 决都是在思考人生
[01864.66-01865.46] 去折磁
[01865.46-01867.94] 而马斯的折磁和他不一样的地方
[01867.94-01869.50] 马斯里和他不一样的地方
[01869.50-01871.14] 就是马斯不单单只是想
[01871.14-01872.46] 更加强调去做
[01872.46-01873.34] 他在那想
[01873.34-01873.98] 他就会觉得
[01873.98-01875.90] 如果单纯的停留在想的层面上
[01875.90-01877.62] 老百姓日子生活的停苦的
[01877.62-01878.78] 那你就要去自我
[01878.78-01879.62] 安慰自己
[01879.62-01880.94] 自我想办法去想痛
[01880.94-01882.10] 但马斯不是这样的
[01882.10-01884.34] 马斯日为既然老百姓日的生活都苦
[01884.34-01886.30] 能被什么不让它生活的幸福一点
[01886.30-01886.94] 怎么办
[01886.94-01889.58] 推翻现有政府的暴政就可以了
[01889.58-01891.58] 所以它更加强调的是去做
[01891.58-01893.98] 所以马斯最重要的观点就是强调去做
[01893.98-01896.18] 那就是叫做实现的观点
[01896.18-01898.58] 所以实现的观点是马斯主义
[01898.58-01901.18] 首要的基本的观点
[01901.18-01904.14] 这是第二个我们需要去实际的话
[01904.14-01905.82] 那这是需要大家去掌握的
[01905.82-01907.14] 它的实现性
[01907.14-01909.90] 那实现是领导神续实现的
[01909.90-01912.26] 他不可能只領到少數人去時間
[01912.26-01916.46] 咱們剛才講的那一系列包括我們在決心年代當中所看到的
[01916.46-01918.82] 李大勞先生他其實都在強調有點
[01918.82-01920.50] 馬斯所強調的時間
[01920.50-01922.06] 馬斯所強調的理論
[01922.06-01925.14] 他其實都是給大多數人的理論
[01925.14-01927.86] 他其實是指導人民群眾是時間
[01927.86-01930.30] 所以就知道馬斯主義又具有了一個特徵
[01930.30-01932.30] 就在於他的人民性
[01932.30-01934.26] 所以在這裡他給到了一句話
[01934.26-01936.58] 說堅持人民立場
[01936.58-01940.60] 是马斯主义最先名的政治立场
[01940.60-01942.94] 所以这是第三个点要同你们去记得
[01942.94-01944.84] 这里的核心点同标主一下
[01944.84-01945.98] 一个是政治立场
[01945.98-01947.42] 一个是人民
[01947.42-01948.96] 什么叫做政治立场
[01948.96-01950.28] 同们翻过来
[01950.28-01953.02] 政治立场就是站在谁那一边
[01953.02-01956.28] 马斯主义非常骑志先名的站在了谁那边
[01956.28-01957.78] 站在了咱们这一边
[01957.78-01959.58] 站到了人民大众这一边
[01959.58-01961.16] 而不是站在少数的那边
[01961.16-01963.32] 虽然找过了这个点理解了这个点
[01963.32-01964.02] 你就知道
[01964.02-01966.26] 我们在学习很多实政理论也好
[01966.26-01967.10] 中特理论也好
[01967.10-01968.38] 我们反而付强调
[01968.38-01970.18] 以谁谁为中心
[01970.18-01971.18] 美跑
[01971.18-01973.06] 都是野人命为中心
[01973.06-01975.14] 为什么人民群重视根本目的
[01975.14-01976.82] 为什么人民群重美好生活
[01976.82-01978.42] 是我们的根本分动目标
[01978.42-01979.74] 都是因为这句话
[01979.74-01982.70] 因为我们一定要站在大多数人的立场上
[01982.70-01984.90] 所以马斯主义先名的政治立场
[01984.90-01986.54] 站在全力边两个字
[01986.54-01987.50] 人民那一边
[01987.50-01988.54] 所以在这里
[01988.54-01989.70] 这是第三个点
[01989.70-01991.70] 也是他人民性的体现
[01991.70-01994.22] 那最後一個點在這裡我們要明確
[01994.22-01996.66] 就是馬斯他就有一定的發展性
[01996.66-01998.42] 他的發展性就因為什麼呢
[01998.42-01999.86] 我們說馬斯主義
[01999.86-02002.02] 他其實是一個正確的理論
[02002.02-02004.38] 那他為什麼能夠永遠正確呢
[02005.18-02005.98] 於的話
[02005.98-02007.82] 在18四幾年的手提出來的
[02007.82-02009.30] 放在今天還都是對的
[02009.30-02012.02] 為什麼他能夠一直保持自身的正確性
[02012.02-02014.26] 就是因為外界環境在變化
[02014.26-02015.46] 實現在變化
[02015.46-02017.18] 馬斯不是一邊不變的
[02017.18-02020.34] 他也在隨著環境不斷的發展
[02020.34-02022.48] 所以在这里面就体现了它的什么性
[02022.48-02023.74] 发展性嘛
[02023.74-02025.24] 所以它之所以能够一直对
[02025.24-02027.24] 就是因为它也在不断的变化
[02027.24-02029.04] 这就是它的发展性
[02029.04-02030.36] 所以就也生出来了
[02030.36-02031.86] 在发展性当中也生出来了
[02031.86-02033.14] 第四个考察点
[02033.14-02036.14] 叫马斯主于具有什么样的理论品制
[02036.14-02040.04] 大助一下叫具有宇室具进的理论品制
[02040.04-02043.24] 大助亚一定是宇室具进这四个字
[02043.24-02045.34] 虽然发展就是宇室具进了
[02045.34-02048.94] 但它如果在这里给到说什么发展性是它的理论品制
[02048.94-02051.22] 能不能選 不能選
[02051.22-02052.34] 你一定要選
[02052.34-02053.14] 有實驚進
[02053.14-02054.34] 一定要選有實驚進
[02054.34-02056.38] 這個就是我們所說的
[02057.38-02059.66] 馬斯主義他的一個特徵
[02059.66-02061.22] 所以馬斯主義基本特徵
[02061.22-02062.58] 第一個他說的是對
[02062.58-02063.86] 對著叫科學性
[02063.86-02064.86] 為什麼對呢
[02064.86-02066.86] 因為經過了實驗的檢驗
[02066.86-02068.66] 他的實驗主要表現在
[02068.66-02070.18] 和命對吧
[02070.18-02071.82] 而我們所說的實驗是領導
[02071.82-02073.10] 誰來實驗人民
[02073.10-02074.54] 所以就有了人民性
[02074.54-02076.70] 回過頭來要去思考
[02076.70-02077.54] 馬斯主義
[02077.54-02078.78] 为什么一直对
[02078.78-02080.70] 因为它是不断变化发展的
[02080.70-02082.58] 所以又具有了发展性
[02082.58-02084.38] 这它的五个特征
[02084.38-02085.78] 从五个特征当中
[02085.78-02088.50] 也身出来了四层烤点
[02088.50-02091.14] 这就是马斯主义的鲜明特征
[02091.14-02093.98] 所以从科学内寒到它的
[02093.98-02095.98] 大声标志在到它的鲜明特征
[02095.98-02098.42] 这个就是导论的全部内容了
[02098.42-02101.06] 我们来进行一个烤点数据
[02101.06-02101.78] 剪县一下
[02101.78-02106.02] 同时可以把香用的打在我们的弹部去当中
[02106.02-02108.18] 馬斯主義的直接理論來源
[02108.18-02109.38] 比如他都組成部分
[02109.38-02111.42] 一個是德國古典哲學
[02111.42-02113.50] 第二個就是我們所說的英國古典
[02113.50-02116.62] 正經學第三個就是英反空響社會主義
[02116.62-02118.18] 這三個直接理論來源
[02118.18-02119.94] 對應了他的三個部分
[02119.94-02120.58] 對不對
[02120.58-02122.90] 第二個 馬斯主義的兩大毒创
[02123.90-02124.66] 是啥呀
[02124.66-02126.90] 是變成為無主義嗎
[02126.90-02130.18] 不是 歷史為無主義和生意下這些說
[02130.18-02131.10] 那在我一下
[02131.10-02133.94] 說馬斯主義公開問事的標誌是啥
[02133.94-02135.62] 共產黨選人的發表
[02135.62-02138.20] 共产党宣言的第一个单纯本在德国吗
[02138.20-02140.10] 不是在英国
[02140.10-02142.10] 共产党宣言的翻译者是谁
[02142.10-02145.62] 往社会主义制度是沉忘到
[02145.62-02147.66] 在我们下来看一下
[02147.66-02151.08] 首次西东产党历史维屋主义的诸作
[02151.08-02153.98] 是不是共产党宣言呢
[02153.98-02156.46] 共产党宣言是在说谁
[02156.46-02158.34] 是在说科学社会主义
[02158.34-02158.62] 对吧
[02158.62-02160.70] 所以历史维屋主义产党是
[02160.70-02163.26] 得以这一是形态
[02163.26-02167.42] 而科学社会主义首次产数的才是共产党宣言
[02167.42-02170.38] 那被语为公人接级圣经的
[02170.38-02171.78] 是不是共产党宣言呢?
[02172.78-02174.82] 不是,是子本论
[02174.82-02175.30] 对吧?
[02175.30-02177.90] 而马斯主义强大的生命力的根源
[02177.90-02180.34] 或者叫马斯主义的根本特征是三个
[02180.34-02183.30] 实现性科学性和革命性
[02183.30-02183.74] 对吧?
[02183.74-02185.78] 所以在这里是在实现技術上
[02185.78-02188.66] 革命性和科学性的同一
[02188.66-02190.02] 那带我下看
[02190.02-02192.02] 马斯主义的首要基本的观点
[02192.02-02196.16] 是想还是做是做那就叫做实现的观点
[02196.16-02201.26] 马克主义鲜铭的正式立场正式立场站在谁那一边人民那一边
[02201.26-02202.96] 所以在这里叫人民立场
[02202.96-02207.06] 那最后一个叫马克主义的理论品质于实举计
[02207.06-02210.32] 那这个就是最为核心的12句话
[02210.32-02214.22] 那我们把这一节课的内容再同一们进行一个展示
[02214.22-02215.46] 重要的是从苏三点
[02215.46-02216.80] 我重复了这么多点
[02216.80-02220.42] 就是需要同学们能够在课堂上去给它实际清楚
[02220.42-02222.06] 你找在客当日几轮了
[02222.06-02223.10] 思路旅税了
[02223.10-02224.38] 你在回头去看的时候
[02224.38-02225.82] 家里就会非常的小
[02225.82-02228.90] 那么来看一下整个马斯主义基本原理
[02228.90-02229.74] 导乱的那种
[02229.74-02232.58] 第一个我们讲了他的科学内涵
[02232.58-02234.78] 内涵三个部分
[02234.78-02235.14] 对吧
[02235.14-02237.14] 马责马征金和科设
[02237.14-02239.38] 三个部分来自于三个来源
[02239.38-02241.26] 哲学来自于哲学
[02241.26-02243.50] 正经济学来自于正经济学
[02243.50-02245.78] 然后科设为主义来自于空下
[02245.78-02246.38] 社会主义
[02246.38-02248.26] 只不过看是那个国家的
[02248.26-02250.42] 而在折血当中两人供现很大
[02250.42-02255.30] 黑格儿的变政法和非尔巴哈的为无主意变成了变政为无主意
[02255.30-02257.86] 而正是经语血当中最重要的是生约
[02257.86-02258.90] 价值学说
[02258.90-02263.46] 所以马斯的两大发现和两大机时就是他的原创理论
[02263.46-02266.46] 原创理论别人提到的变政为无主意
[02266.46-02267.66] 只能不能是原创了
[02267.66-02270.46] 那就只剩下了我们所说的什么
[02270.46-02272.98] 折血当中的历史为无主意
[02272.98-02275.66] 和马政经当中的生纸价值学说
[02275.66-02277.14] 这他的两大堵创
[02277.14-02278.54] 那在支持第一个
[02278.54-02279.46] 他的科学内涵
[02279.46-02281.14] 第二个他的戴声标志
[02281.14-02283.26] 他的戴声标志是共产党
[02283.26-02283.90] 宣言
[02283.90-02284.30] 所以
[02284.30-02285.10] 供认宣言
[02285.10-02285.78] 一个翻译
[02285.78-02286.62] 承访道
[02286.62-02287.70] 两个标志
[02287.70-02288.46] 马斯主义
[02288.46-02289.46] 科学收入主义
[02289.46-02290.30] 三个第一
[02290.30-02290.90] 二一
[02290.90-02292.10] 第一个
[02292.10-02293.22] 单行本
[02293.22-02294.42] 在英国论论论是
[02294.42-02296.10] 第一个共产主义
[02296.10-02297.30] 刚领性文件
[02297.30-02299.02] 第一次系统产说
[02299.02-02299.98] 科学收入主义
[02299.98-02302.98] 那一定要对比他的其他的主作
[02302.98-02303.82] 那最后一个点
[02303.82-02305.10] 就是论述到了他的
[02305.10-02306.38] 先明特征以後
[02306.38-02307.10] 四句話
[02307.10-02309.46] 只是剛才咱們重複的那幾個
[02309.46-02311.26] 這個就是馬斯的
[02311.26-02312.06] 倒論
[02312.06-02312.78] 到這
[02312.78-02314.78] 我們就把整個內容全部給大家
[02314.78-02315.98] 書里清楚了
[02315.98-02317.94] 這一節主要就是集中在
[02317.94-02318.90] 被送
[02318.90-02320.74] 主線和他的
[02320.74-02321.74] 對應上
[02321.74-02322.78] 這是我們所說的
[02322.78-02323.74] 倒論的部分
[02323.74-02325.54] 希望同學們在這團課當中
[02325.54-02327.38] 能夠把他的內容書里清楚
[02327.38-02328.34] 會做三連
[02328.34-02329.06] 送給大家
[02329.06-02330.42] 咱們下一個支持點再見
[02330.42-02331.14] 拜拜
