[00000.00-00006.66] 好的,同学们,我们书接上回进入到第二节内容的学习,就是我们所说的先行
[01873.62-01874.34] 這麼一個事
[01874.34-01874.82] 就是
[01875.82-01876.82] 長少之戰
[01876.82-01882.12] 挑之戰在最開始的時候,我們都知道,路國公就是這種情況之下就小
[01882.12-01888.72] 一定要把他打扶,一定要打透,要一學前尺,就要出去做戰,這種情況之下就有人
[01888.72-01893.46] 就來說你平什麼去打這樣,就問他為什麼要打打贏的盛算有多少?
[01893.46-01895.24] 於是就有了我們所說的什麼呢?
[01895.24-01901.14] 於是就有了我們所說的,另外一個點顧,就是出在長少之戰領,就叫做草惠論戰
[01901.14-01906.26] 我们以前在中学课本的时候经常说
[01906.26-01907.54] 对吧 说曹归论站
[01907.54-01910.10] 就问他说 说合理遗战
[01910.10-01911.62] 然后他就说了很多
[01911.62-01912.66] 最后他给到了说
[01912.66-01915.22] 我们国家法度严明上下一线
[01915.22-01917.54] 然后当时曹归说可以这
[01917.54-01919.30] 所以在打的时候怎么样呢
[01919.30-01921.62] 在曹归论的当中有一个点顾
[01921.62-01923.14] 就是我们所说的叫做一股
[01923.14-01924.18] 做气
[01925.46-01926.98] 那就是一股做气
[01926.98-01928.26] 所以在这种情况下
[01928.26-01930.26] 我们知道路国大影了
[01930.26-01933.34] 那这是我们所说的叫做长少之战
[01933.34-01934.22] 叫长少之战
[01934.22-01937.30] 这是第一个和奇怪有关的点过
[01937.30-01938.46] 这奇怪有关的点过
[01938.46-01940.26] 是发生在期望公时期的
[01940.26-01942.26] 那第二个就是我们都知道
[01942.26-01945.38] 期望公它是春秋的第一个8主
[01945.38-01947.02] 而这种情况这下大家都知道
[01947.02-01949.98] 周王丑周王丑开始混亂的时候
[01949.98-01953.22] 其实不单单是珠后珍骂这么简单的一个问题了
[01953.22-01955.22] 而我们所说的少数民族
[01955.22-01957.22] 或者是在我们所说的那时候的
[01957.22-01958.94] 相对来说其他中少数民族
[01958.94-01960.58] 其实也继续中原
[01960.58-01962.14] 所以在证明方之下
[01962.14-01963.86] 他也会涉一到一些问题
[01963.86-01964.82] 这是我们所说的
[01964.82-01966.30] 除了组厚之间的这种
[01966.30-01967.46] 中原之间之外
[01967.46-01971.46] 他涉一到中华文明和外族文明之间的这种抗争
[01971.46-01972.42] 所以在这里面
[01972.42-01974.30] 其他官公就打出了一个起号
[01974.30-01976.18] 这个啥就做尊亡让异
[01976.18-01977.62] 最尊亡让异
[01977.62-01979.54] 他其实是有两个思路的
[01979.54-01980.70] 一个思路就是什么
[01980.70-01982.66] 就是他想中原的文明
[01982.66-01984.14] 不能为外族所欣
[01984.14-01984.46] 对吧
[01984.46-01986.38] 这必须再把他们恩住
[01986.38-01988.02] 第二个就是其他官公
[01988.02-01990.02] 他想记忆不做大做强的话
[01990.02-01991.24] 很扩充自己的地坛
[01991.24-01992.62] 他不可能失出无名
[01992.62-01994.34] 对吧 他想成为天下的霸主
[01994.34-01995.14] 他不可能就说
[01995.14-01996.98] 哎呦 我就出去吞命别人
[01996.98-01999.42] 这不符合春秋那一个时代的掉性
[01999.42-02002.54] 大家都知道春秋时期成为君子之战
[02002.54-02004.14] 他们都是容语之战
[02004.14-02006.22] 非常的从容不破悠亚
[02006.22-02008.62] 也就是我们传说中的那种归族精神了
[02008.62-02010.22] 所以他必须打出一个起号
[02010.22-02011.66] 就和孙王让你
[02011.66-02012.94] 所以在这种情况之下
[02012.94-02014.38] 就看给可以
[02014.38-02018.74] 名證言順的 滅掉那些不聽話的小規及少數民族
[02018.74-02021.02] 我們所說的 這個就是中方讓意
[02021.02-02023.42] 而中方讓一起後打出之後
[02023.42-02026.26] 然後他就搞了一個虧球會盟
[02026.26-02029.50] 這虧球會盟就是把其他的豬虧國的邀請過來
[02029.50-02031.14] 然後在這種情況之下
[02031.14-02033.58] 然後就定商品 我們所說的
[02033.58-02039.22] 就說現在我們都必須也周天子為天下的這樣的一個共主
[02039.22-02040.62] 誰都不能反周天子
[02040.62-02043.14] 而且還搬步了天子進令舞調
[02043.14-02045.50] 这个就是我们所说的困曲会盲
[02045.50-02047.94] 它在座儿上以后所提出来的
[02047.94-02050.42] 这个是和我们所说的期望公有关的
[02050.42-02052.42] 第二小大的
[02052.82-02054.86] 我们所说的这样的一个点顾
[02054.86-02058.74] 那除此之外还有一些比如说像我们所说的老马石图
[02058.74-02062.34] 发生在战争时期他们走在大山里走出去了
[02062.34-02063.38] 管中就跟他说
[02063.38-02064.30] 你要不知道吗
[02064.30-02066.58] 我们都记得我们都知道老马石任路的
[02066.58-02067.98] 就不行把马就放出去
[02067.98-02068.86] 我们跟着马走
[02068.86-02071.78] 于是他们就跟着马走出了大山顾
[02071.78-02073.32] 这个就是老马市图
[02073.32-02074.86] 他也和其他国有关
[02074.86-02076.90] 那其他国能够做大座墙
[02076.90-02078.18] 其实和一个人分不开的
[02078.18-02079.98] 这个人就是冠中
[02079.98-02083.04] 所以我们才有叫管重相企这样说法
[02083.04-02086.24] 后来开起了我们所说的相的管中改革
[02086.24-02088.42] 是其国迅速强大起来了
[02088.42-02090.98] 那管中身上其实有一些故事
[02090.98-02094.06] 这里面就是我们所说的第一个叫做管报之交
[02094.06-02095.58] 那这个管报之交
[02095.58-02096.62] 同时都很熟悉
[02096.62-02099.68] 就是管中和报书亚之间的关系
[02099.68-02103.08] 管中說 支援指輸壓也沒有人比
[02103.48-02105.38] 報輸壓更了解 管中了
[02105.38-02109.92] 這個管報之交它其實和文學長史都一樣在一塊
[02109.92-02111.32] 這個文學長史是什麼呢?
[02111.32-02113.12] 同樣要在後面去標註一下
[02113.12-02114.72] 就是我們所說的管報之交
[02114.72-02116.92] 管報之交和它對應的文學長史
[02116.92-02118.88] 就是我們在文學上經常提到的
[02118.88-02120.52] 叫做八倍之交
[02121.92-02123.72] 叫做八倍之交
[02124.04-02125.32] 這八倍之交呢?
[02125.32-02126.20] 我們就想聽過
[02126.20-02129.16] 那8百是哪8百之交呢 同秒知道
[02129.16-02132.28] 第一個呢 就是我们所说的 就是管暴之交
[02134.72-02138.44] 第一个呢 就是我们所说的 叫做管暴之交
[02138.84-02142.60] 那第二个呢 就是我们提到的叫做支音之交
[02145.16-02149.00] 支音之交 支音难密呀 高山流水 支音难密
[02149.00-02151.40] 就是博亚仔气的故事 对吧
[02151.56-02154.12] 那第三个呢就叫做文警之交
[02154.12-02157.84] 我们今天开玩笑 抹博资者
[02157.84-02158.44] 对吧
[02158.44-02160.60] 抹博资者说的是谁呢
[02160.60-02164.64] 文件之间其实说的是连迫和令象无之间的故事
[02164.64-02165.76] 对吧连迫和令象无
[02165.76-02167.60] 当年令象如环并规照
[02167.60-02169.24] 那连迫然后呢
[02169.24-02172.40] 封了我们所说的这个大官
[02172.40-02173.04] 然后呢
[02173.04-02174.88] 关位比连迫要高一点
[02174.88-02176.32] 然后连迫心率就不高兴了
[02176.32-02177.24] 说那平衡好吗
[02177.24-02178.44] 对吧 那平衡啥呀
[02178.44-02180.68] 我们两个我呢是一个五江
[02180.68-02182.40] 到处杀法征政
[02182.40-02185.02] 但是歷相如只是東東最皮色
[02185.02-02187.30] 這種情況之下就比我的關鍵要高一點
[02187.30-02188.24] 他不服嘛
[02188.24-02191.00] 所以出出危難歷相如出出躲避
[02191.00-02193.72] 後來歷相如守下的一個家庭
[02193.72-02194.32] 就說說
[02194.32-02196.20] 為什麼項也要一直躲著他呢
[02196.20-02197.40] 難道是怕了他嗎
[02197.40-02198.64] 歷相如說
[02198.64-02200.24] 我怎麼可能怕連坡呢
[02200.24-02202.96] 說連當年的我們所說的這個
[02202.96-02204.68] 其他國家的國軍我的古怕
[02204.68-02205.84] 我怎麼會怕連坡呢
[02205.84-02207.96] 只不過不能給別人造成那種
[02207.96-02210.04] 我們兩這些用內鬥的這樣講像
[02210.04-02210.40] 對吧
[02210.40-02211.88] 所以后来联迫听了这个事
[02211.88-02213.32] 附近请罪
[02213.32-02214.96] 然后就有了我们所说的这个
[02214.96-02216.64] 要莫国俗卸罪的这个事情
[02216.64-02216.88] 对吧
[02216.88-02218.36] 所以有了这个文形之交
[02218.36-02219.36] 我们警制交
[02219.36-02221.24] 那这是我们所说的第三个
[02221.24-02222.00] 那第四个呢
[02222.00-02223.20] 就是我们所说的叫做
[02223.20-02224.60] 使命之交
[02226.60-02228.12] 叫做使命之交
[02228.12-02229.04] 使命之交呢
[02229.04-02231.52] 是我们所说的左波逃和洋角
[02231.52-02231.92] 哎
[02231.92-02232.72] 这两个人呢
[02232.72-02235.28] 他们两个当时想要去楚国当官
[02235.28-02236.16] 但是呢
[02236.16-02237.52] 走在这个路上的时候
[02237.52-02238.96] 就遇到了暴风雪
[02238.96-02241.76] 行李也很少衣服也很少
[02241.76-02243.76] 于是这里面的左脖条
[02243.76-02245.44] 就为了让杨角挥下去
[02245.44-02247.40] 把所有东西都留给杨角挥
[02247.40-02249.04] 然后自己在数
[02249.04-02251.44] 就找了一个空颗的大数
[02251.44-02253.28] 就在数干理自杀了
[02253.28-02255.36] 于是就有了我们所说的叫做
[02255.36-02256.60] 使命职教
[02256.60-02257.72] 这个什么职教
[02257.72-02259.64] 然后在晚下就是我们所说的
[02259.64-02261.32] 无交刺期听过吧
[02261.32-02261.64] 对吧
[02261.64-02263.24] 说两个人关于特别好
[02263.24-02264.04] 分不开了
[02264.04-02267.60] 这种就叫做交期职教
[02267.60-02269.84] 说的是成重于雷亿
[02269.84-02271.72] 他们两个之间关系特别的好
[02271.72-02273.08] 叫做交期之较
[02273.08-02276.44] 还有就是我们所说的叫做基础之较
[02276.44-02279.16] 我们经常听到叫做过人去基础
[02279.16-02280.64] 要我去填家
[02280.64-02282.80] 这个基础之较说的是谁呢
[02282.80-02284.16] 其实说的是我们所说的
[02284.16-02286.24] 饭事和张少的故事
[02286.24-02287.20] 或者是也叫做
[02287.20-02288.80] 努清和原国的故事
[02288.80-02290.00] 说的都是一个人
[02290.00-02291.08] 这个故事
[02291.08-02293.12] 其实说的就是这里面的这个人
[02293.12-02294.48] 他比较首性用
[02294.48-02296.96] 当时饭事和张少分开
[02296.96-02300.04] 那这个饭事就跟张少说两年之后
[02300.04-02301.56] 我一定会去你家里玩的
[02301.56-02304.72] 然后你记得到时候接见我一下
[02304.72-02307.56] 对吧我去败败你的五千说败勾堂
[02307.56-02309.76] 然后去看令狼和令爱
[02309.76-02312.40] 然后当时张少就把这个事记下了
[02312.40-02315.40] 结果两年之后约定之期一到张少就在家里
[02315.40-02319.24] 就开始收拾各种各样的东西来欢迎这个饭事来
[02319.24-02320.44] 然后他的妈妈就说
[02320.44-02321.96] 所以你在收拾这个东西
[02321.96-02323.08] 说在干嘛呀
[02323.08-02325.00] 他说我两年前约了一个朋友他来
[02325.00-02326.96] 他妈妈就说都两年时间了
[02326.96-02328.08] 人家还能来了吗
[02328.08-02329.08] 要我走望了
[02329.08-02330.48] 他说一定会来的
[02330.48-02333.04] 说他是一个特别重手信用的人
[02333.04-02335.08] 结果果然到了那一天的时候
[02335.08-02335.88] 犯是来了
[02335.88-02336.88] 两人喝的
[02336.88-02338.08] 非常的进行
[02338.08-02339.56] 喝完了之后两人出来了
[02339.56-02340.60] 这个就叫做
[02340.60-02341.72] 基础之焦
[02341.72-02344.36] 所以基础之焦在以前的点物当中
[02344.36-02346.20] 也叫做手信之焦
[02346.92-02348.44] 也叫手信之焦
[02348.44-02349.32] 所以大家注意一下
[02349.32-02350.36] 这是我们所说的
[02350.36-02352.20] 有关于基础之焦
[02352.20-02355.26] 在往下,我们所说的叫做,汪年之焦
[02355.26-02357.58] 汪年之焦,头去没都知道
[02357.58-02360.90] 大小,年龄,不是问题
[02360.90-02361.92] 大小年龄不是问题
[02361.92-02365.78] 说的是迷恒和恐龙之间的故事,迷恒和恐龙
[02365.78-02370.12] 这是汪年之焦,最后一个呢,就是我们所说的叫做生死之焦了
[02370.12-02374.48] 生死之焦一般形容是刘官章,桃源三节议那个刘官章
[02374.48-02379.20] 所以这是八百之焦,而这个八百之焦呢,大家注意一下考试的时候
[02379.20-02384.20] 经常会把这些内容给到我们问他属于哪一个
[02384.20-02388.20] 就是八百之交当中哪一个这是第一个我们需要掌握的
[02388.20-02392.20] 第二个就是这里面他可能会涉一道的人物大家要注意一下
[02392.20-02394.20] 比如说在这里的之音之交
[02394.20-02397.20] 我们刚才说的是波牙仔器
[02397.20-02402.20] 是波牙仔器这是我们所说的
[02402.20-02403.20] 之音之交
[02403.20-02405.20] 那还有一个就是我们所说的文形之交
[02405.20-02407.20] 就是刚才我们所说的
[02407.20-02408.68] 是在这里简单写的
[02408.68-02410.16] 一个是联坡
[02410.16-02411.56] 一个是我们所说的
[02411.56-02412.68] 令象如
[02415.44-02416.84] 而使命之交
[02416.84-02418.12] 我们说了不要命了
[02418.12-02418.44] 对吧
[02418.44-02420.00] 一个是左波逃
[02420.00-02420.68] 左波逃
[02420.68-02422.00] 一个是杨角
[02422.00-02422.52] 阿
[02422.52-02423.60] 一个是杨角
[02423.84-02424.44] 然后
[02424.44-02425.96] 还有我们所说的基础
[02425.96-02426.48] 之交
[02426.48-02427.16] 基础之交
[02427.16-02428.84] 就是我们刚才所提到的
[02428.84-02429.60] 叫做
[02429.60-02431.04] 巨青和原谱
[02431.04-02431.72] 或者叫做
[02431.72-02433.56] 饭事和张少
[02433.56-02435.12] 我把它写在下面
[02436.40-02437.16] 我就写
[02437.20-02438.52] 一个叫做范士
[02439.72-02441.82] 一个叫装售
[02446.48-02447.66] 一个叫做范士
[02447.92-02449.46] 一个叫装售
[02450.48-02451.00] 你看
[02451.00-02451.64] 多尴尬
[02451.64-02452.08] 对吧
[02452.08-02453.24] 鱼鞋鱼错
[02453.40-02454.32] 从写片
[02454.60-02455.68] 一个叫做范士
[02455.68-02456.70] 一个叫装售
[02456.70-02458.68] 范士也成字剧轻
[02458.86-02460.58] 然后装售字原博
[02460.58-02461.68] 说的是一回事
[02461.84-02463.60] 然后望年之焦说的是谁呢
[02463.60-02465.68] 望年之焦说的是迷恒
[02467.20-02470.88] 这两次要写权和控容啊
[02470.88-02472.44] 为什么恐怖喜欢迷衡啊
[02472.44-02480.76] 因为迷衡当时去到我们所说的想要去到当时想要去秘国
[02480.76-02483.00] 然后当时想要去秘国去认职的时候
[02483.00-02486.76] 然后当时迷衡呢也是一个非常有财气的这样一个人啊
[02486.76-02487.96] 这是非常急要不去
[02487.96-02491.00] 然后当时大家就想把他推荐给这个草操
[02491.00-02492.52] 然后当时呢迷衡说我不去
[02492.52-02494.24] 对吧因为当时迷衡说什么呢
[02494.24-02496.20] 说这个成立面除了杨修和恐症
[02496.20-02497.48] 其他人都是虚明
[02497.48-02498.70] 而当时孔一听说
[02498.70-02499.92] 一个小都想法对吧
[02499.92-02501.60] 他觉得我不是浪德虚明
[02501.60-02502.60] 他非常有眼光
[02502.60-02503.80] 爱我太喜欢他了
[02503.80-02505.80] 然后他就和他去交参
[02505.80-02507.08] 结果一谈发现
[02507.08-02508.60] 爱我这小孩真不错
[02508.60-02509.96] 当时民哄不得二子
[02509.96-02511.68] 所以孔仍已经四十多岁了
[02511.68-02513.36] 两人成了非常好的朋友
[02513.36-02514.40] 所以这个就叫
[02514.40-02515.92] 望年之交
[02516.44-02517.84] 这里还辣掉了一个
[02517.84-02519.24] 就是这个交期之交
[02519.24-02520.24] 交期之交是谁呢
[02520.24-02522.12] 交期之交是成重和雷亿
[02524.28-02525.84] 那成重和雷亿
[02525.84-02529.24] 而收此之焦的话了解一下就行不记也行
[02529.24-02531.08] 就是留官章
[02531.08-02533.20] 所以这是从管中之焦
[02533.20-02535.28] 所引身出来的八百之焦
[02535.28-02538.92] 这个点也是我们在文学当中总会考到的内容
[02538.92-02540.20] 大家稍微注意一下
[02540.20-02543.08] 这是管中和它有关的
[02544.08-02547.08] 管中有关的另外一个叫做橫山之猛
[02547.08-02549.28] 橫山之猛可以说是中国古代历史上
[02549.28-02550.92] 最早的货币山之猛
[02550.92-02552.80] 这个就是我们所说的橫山之猛
[02552.80-02556.04] 當時呢 其果和鎖國之間的矛盾一直都有
[02556.04-02558.64] 但是 其果和鎖國之間要打起來還非常近
[02558.64-02561.84] 因為中間加了一個小國就說 橫山果
[02561.84-02563.52] 這個橫山果雖然很小
[02563.52-02565.28] 但是產什麼產的很好呢
[02565.28-02567.28] 就是產兵器產的特別的好
[02567.28-02568.64] 兵器天下第一樣
[02568.64-02571.12] 所以當時 其果如果小州福尼山果的話
[02571.12-02572.96] 硬攻是公布下來的
[02572.96-02574.00] 那這個時候怎麼辦呢
[02574.00-02575.12] 動動腦肌了
[02575.12-02578.00] 所以這種情況之下 其果就開始大量的收購
[02578.00-02580.56] 橫山果的武器
[02580.56-02582.24] 而橫山果的國際抗的天啊
[02582.24-02584.54] 有人来买武器了 对吧 太专钱了
[02584.54-02586.58] 于是所有人都不搞弄一生产
[02586.58-02587.74] 开始生产武器
[02587.74-02589.28] 而其他的珠后国一看
[02589.28-02591.52] 我的妈呀 对吧 其国团武器
[02591.52-02592.32] 要干嘛
[02592.32-02593.68] 我不想微来团的
[02593.68-02594.72] 于是大家都去买
[02594.72-02597.36] 然后呢 这个红山国就啥也不干
[02597.36-02599.32] 就开始去搞这个武器生产
[02599.32-02600.36] 不搞梁生产了
[02600.36-02601.76] 然后一年之后呢
[02601.76-02602.68] 就用情况之下
[02602.68-02604.08] 已经搞得差不多了
[02604.08-02608.16] 这个其国呢又去红山国附近的照国
[02608.16-02609.36] 因为红山国和照国
[02609.36-02610.00] 离了很近
[02610.00-02612.12] 就去照国呢 去收购梁市
[02612.12-02614.52] 当然照国的这两世是15000一旦
[02614.52-02617.24] 当时其国给的架太高了
[02617.24-02618.08] 给了多少呢
[02618.08-02619.88] 给了50000一旦
[02619.88-02621.64] 就是给了市场价的三倍
[02621.64-02622.04] 对吧
[02622.04-02622.80] 所以这种情况
[02622.80-02624.08] 这就开始收购两世
[02624.08-02625.88] 把照国两世收购完了之后
[02625.88-02626.68] 很山果的
[02626.68-02629.56] 然后其国就开始派军队去攻打很山果
[02629.56-02631.20] 这红山危抗的天呢
[02631.84-02632.56] 人来了
[02632.56-02633.88] 人来了之后怎么办
[02633.88-02634.52] 打不过
[02634.52-02635.20] 怎么打不过呢
[02635.20-02635.80] 第一个
[02635.80-02637.96] 他的武器原本是他的王旁
[02637.96-02638.96] 结果都卖出去了
[02638.96-02639.28] 对吧
[02639.28-02639.88] 第二个呢
[02639.88-02640.28] 就是
[02640.28-02641.56] 他都不重地了
[02641.56-02643.30] 那這種情況下哪有兩是打仗
[02643.30-02645.90] 所以在這種情況下很山之猛
[02645.90-02648.52] 就是通過這樣的方式把很山國拿下了
[02648.52-02649.94] 那這叫很山之猛
[02649.94-02652.06] 那藏完現在就叫做於公之谷
[02652.06-02654.94] 於公之谷其實是和其環工有關係的
[02654.94-02658.22] 就其環工當年在一個山谷裡面
[02658.22-02660.10] 然後就碰到了一個老人
[02660.10-02663.90] 然後就問這個老人說老人家這個山谷叫什麼名字
[02663.90-02667.62] 老人家就跟他說說這個山谷叫做於公之谷
[02667.62-02671.02] 然后这个体谎工作说为啥叫语工之谎
[02671.72-02674.86] 他说这个山谷就是用我的名字来秘名的
[02674.86-02677.70] 然后这个体谎工作说我看您这个老人家呢
[02677.70-02680.70] 有很看起来就很精明
[02680.70-02682.34] 而且看起来很聪明这样的一个人
[02682.34-02683.86] 说看起来也不笨
[02683.86-02685.54] 他说是因为这个样子的
[02685.54-02687.26] 说我原本这个老人说
[02687.26-02690.62] 说原本有一头母牛 母牛生了一头小牛
[02690.62-02692.34] 小牛长大了之后
[02692.34-02695.06] 然后我就拿这个长大的小牛去换了一批嘛
[02695.06-02697.26] 有一天我就牵着这批马在外面走的时候
[02697.26-02698.66] 突然来了一个年轻人
[02698.66-02700.66] 这年轻人大声的后处我说
[02700.66-02702.02] 你明明有养的是
[02702.02-02704.10] 你怎么会有马呢
[02704.10-02705.58] 你不是像出来马的
[02705.58-02706.10] 说吧
[02706.10-02707.62] 你这个马是在哪里偷的
[02707.62-02708.74] 你一定是偷的
[02708.74-02709.74] 跟我去见官
[02709.74-02710.38] 然后呢
[02710.38-02713.14] 这个年轻人就把这个马就牵走了
[02713.14-02714.02] 这个老人呢
[02714.02-02714.94] 也没有其他办法
[02714.94-02716.82] 他就把这个事情给气弯攻讲了
[02716.82-02718.50] 轻弄讲的做气弯攻就说了
[02718.50-02719.06] 就大笑
[02719.06-02720.74] 说完这个人还真的是
[02720.74-02721.58] 大叫女宇宫
[02721.58-02722.58] 还真是应该
[02722.58-02723.50] 说完就走了
[02723.50-02724.26] 走了之后呢
[02724.26-02725.06] 第二天呢
[02725.66-02726.90] 气弯攻把这个故事
[02726.90-02728.90] 将给管中听了 管中一听之后
[02728.90-02731.10] 然后就当时表示的是啥呢
[02731.10-02733.82] 就赶紧整理了一下一接马上就贵下了
[02733.82-02735.26] 说这是我的过师
[02735.26-02737.42] 说如果是当年顺帝
[02737.42-02738.94] 我们所说的在位的时候
[02738.94-02740.78] 这种情况下绝不会发生的
[02740.78-02743.22] 说既然在大白天的公然的
[02743.22-02745.10] 把人家的这个马给抢走了
[02745.10-02747.38] 那这不就是致理上的过师吗
[02747.38-02749.94] 于是在这个地方就有了我们所说的叫做
[02749.94-02751.10] 余公之谷
[02751.10-02752.86] 这个余公之谷的这样一个故事
[02752.86-02754.18] 所以这是我们所说的
[02754.18-02755.58] 期望公会管重
[02755.58-02758.10] 同们不要觉得说这个故事太多了
[02758.10-02759.34] 一定要给他实际住
[02759.34-02762.62] 因为这些都是我们在考试当中经常会常见的
[02762.62-02764.70] 大家要注意一下这是其官工
[02764.70-02766.10] 那这期完工之后
[02766.10-02768.78] 绝起的又一些霸主就是我们所说的
[02768.78-02770.50] 技能功和处装
[02770.50-02773.66] 那和技能功有关的点功有这么几个
[02773.66-02775.54] 一个是退币三社
[02775.54-02778.42] 这退币三社就是春秋时间的一个占意
[02778.42-02780.66] 就是我们所说的叫做成葡之占
[02782.66-02784.26] 叫做成葡之占
[02784.26-02785.54] 叫做成葡之占
[02785.58-02789.34] 应该是三年水价的单厉人,我从今显示
[02789.34-02791.58] 就是我们所说的成普之战
[02791.58-02795.18] 成普之战其实当时我们所说的这个
[02795.18-02798.78] 敬文宫和我们所说的这个处装王
[02798.78-02802.58] 他们之间打起来了,有了这样的一个成普之战
[02802.58-02805.98] 成普之战当中就有一个美谈,就叫推皮三社
[02805.98-02809.18] 推皮三社当时讲的就是我们所说的这个
[02809.18-02812.08] 基本公安他当时就到出去躲
[02812.08-02813.52] 躲了时候后来处装
[02813.52-02815.64] 就了他以免把他留在这个储国
[02815.64-02817.94] 两人就谈胜宽就成了朋友
[02817.94-02819.16] 然后有一天吃饭的时候
[02819.16-02820.54] 这个处装就开玩笑
[02820.54-02821.42] 开玩笑说啥呢
[02821.42-02822.38] 他说你看啊
[02822.98-02824.86] 小白你还是不是这么得道理
[02824.86-02826.92] 然后那个技能公主说说啥道理
[02826.92-02828.42] 他说你看我救了你命
[02828.42-02830.12] 如果你以后当了国军
[02830.12-02831.54] 你该怎么报答我呀
[02831.54-02833.56] 但是这技能公安他就想想
[02833.56-02835.48] 他说你说得又有道理
[02835.48-02836.38] 他说要不这样吧
[02836.38-02836.96] 你看啊
[02836.96-02840.00] 我给你美女适从珍宝思仇
[02840.00-02842.20] 这些东西你都有你用不上
[02842.20-02845.72] 那要不我给你珍群羽毛向杨受疲
[02845.72-02847.68] 哎不行啊你储过还都胜产
[02847.68-02849.88] 你看你啥啥你都用不上了
[02849.88-02850.28] 对吧
[02850.28-02851.80] 然后当时这个储状了
[02851.80-02852.32] 他就笑了
[02852.32-02853.08] 笑了就说
[02853.08-02854.56] 你这话是这么说
[02854.56-02856.24] 但是你不表示一下吗
[02856.24-02857.40] 然后当时尽文工作说
[02857.40-02858.84] 他说如果他日
[02858.84-02860.92] 我们两个在赞厂上遇到了
[02860.92-02863.68] 那么我就会先后退90里
[02863.68-02865.56] 如果你还不原谅我
[02865.56-02867.36] 一定和我短定相接的话
[02867.36-02869.04] 我这个时候在和你打仗
[02869.04-02870.04] 那这个时候呢
[02870.04-02870.80] 果然啊
[02870.80-02872.80] 这个时候我们所说的这个技朗宫
[02872.80-02873.96] 就是一个预言家
[02873.96-02875.20] 最后再承不制占的时候
[02875.20-02876.20] 两人果然遇到了
[02876.20-02876.96] 遇到了之后
[02876.96-02878.36] 是先退了九十里
[02878.36-02879.24] 九十里之后呢
[02879.24-02880.80] 后来收放
[02880.80-02881.56] 打起来了
[02881.56-02882.44] 那这种情况之下
[02882.44-02884.00] 就叫做退彼三社
[02884.00-02885.52] 那退彼三社在这里面
[02885.52-02886.68] 大家要知道
[02887.08-02889.52] 和他有关的人物故事是谁呢
[02889.52-02890.68] 一个是我们所说的
[02890.68-02891.32] 技朗宫
[02891.32-02892.68] 一个是处装王
[02892.68-02893.72] 这的退彼三社
[02893.72-02894.24] 第二个呢
[02894.24-02894.88] 在文学上
[02894.88-02897.88] 今晚会考到推幣三社当中的三社是多元
[02897.88-02898.88] 大家注意一下
[02898.88-02900.88] 三社是90里
[02900.88-02902.88] 这个是在文学上考过的
[02902.88-02904.08] 这是我们所说的第一个
[02904.08-02904.88] 推幣三社
[02904.88-02906.88] 第二个和进文公有关是什么
[02906.88-02907.88] 就是韩世杰
[02907.88-02910.88] 这个韩世杰其实和一个人有关
[02910.88-02912.88] 就叫做记子推一
[02912.88-02914.88] 当年进文公传儿避难的时候
[02914.88-02915.88] 没有两是可以吃
[02915.88-02917.88] 然后这个记子推
[02917.88-02918.88] 就怕得饿死
[02918.88-02919.88] 就把自己大腿上的肉
[02919.88-02921.88] 隔下来给他吃了
[02921.88-02922.88] 吃完了之后
[02922.88-02925.12] 《纪文公》记者这个事了
[02925.12-02926.96] 《纪文公》当了《国军之后》
[02926.96-02929.84] 然后就想要寄子推来扶作它
[02929.84-02931.68] 或者同时也报答一下
[02931.68-02934.04] 寄子推当年对它的恩情
[02934.04-02936.36] 结果它让寄子推来寄子推出不来
[02936.36-02939.52] 然后寄子推就在山上和它有老母亲一起
[02939.52-02941.56] 然后《纪文公》为了放
[02941.56-02943.92] 就是逼寄子推出来
[02943.92-02945.72] 于是放火烧山
[02945.72-02948.48] 最后寄子推山火是太大
[02948.48-02949.80] 无路可走
[02949.80-02951.76] 烧死在一颗老柳书之下
[02951.76-02954.32] 所以到时经萌宫非常难过
[02954.32-02956.60] 后来就说在借退去世这一日
[02956.60-02958.56] 不得吃不得生腌火
[02958.56-02959.72] 只能吃冷时
[02959.72-02960.92] 所以进函
[02960.92-02962.76] 我们所说的还是借进腌火
[02962.76-02965.08] 就是从借走退这地方来的
[02965.08-02966.68] 大家知道这是韩世姐
[02966.68-02967.48] 那还有一个呢
[02967.48-02968.68] 就叫做情建之号
[02968.68-02969.88] 这个情建之号同们注意下
[02969.88-02972.48] 知道是在情国和进国之间就可以了
[02972.48-02974.52] 但它不是发生在进萌宫时期
[02974.52-02975.96] 是发生在进现宫时期
[02975.96-02977.20] 但是情建之号呢
[02977.20-02978.12] 它的意思
[02978.12-02979.36] 结成是你竟然
[02979.36-02981.00] 所以大家知道一下这个就可以了
[02981.00-02982.54] 他就发生了在进国的点顾
[02982.54-02983.82] 所以他知道这是
[02983.82-02985.10] 出了进文宫
[02985.10-02988.68] 另外在进文宫之后绝其的就是楚装王
[02989.18-02990.48] 大家其实有没有发现
[02990.48-02992.52] 这里面有个必要有意思的一件事
[02992.52-02994.82] 就是其他人都叫做什么工
[02994.82-02997.90] 而到了楚装王这个地方他就自命为网了
[02997.90-02998.92] 主要的原因是什么呢
[02998.92-03002.24] 就是因为他并非中原地区的主后果
[03002.24-03004.80] 他其实是在我们所说的常将留育
