[00000.00-00005.92] 好,接着来学习一下马征英当中的第二章就是资本主义的本质
[01098.68-01100.68] 我就不能给它带来俄外的财富
[01100.68-01102.20] 所以在这里面有一句话
[01102.20-01104.48] 叫做劳动立成为商品
[01104.48-01106.64] 是货币转害了一资本的前提
[01106.64-01108.84] 因为只有劳动力才能带来什么
[01108.84-01109.64] 你就简单理解
[01109.64-01112.64] 因为只有劳动力才能带来我们所说的
[01112.64-01113.68] 盛余价值
[01114.92-01117.32] 因为只有劳动力才能带来盛余价值
[01117.32-01118.92] 所以在这种情况之下
[01118.92-01120.80] 货币转化为资本
[01120.80-01122.28] 就是因为它要买到了
[01122.28-01123.04] 老动力
[01123.04-01124.92] 因为老动力带来了剩下一家旨
[01124.92-01125.68] 明白了吧
[01125.68-01127.56] 这个思路要给它输立清楚
[01127.56-01128.68] 所以在这里面
[01128.68-01130.92] 我们要知道考点有这么几个
[01130.92-01131.68] 第一个就是
[01131.68-01133.64] 老动力成为商品的两个条件
[01133.64-01134.64] 写成圈一
[01134.64-01135.84] 第二个就是
[01135.84-01137.64] 老动力成为商品之后
[01137.64-01139.52] 它具有使用价值和价值
[01139.52-01140.52] 使用价值
[01140.52-01141.24] 同们注意一下
[01141.24-01142.24] 它是无限的
[01142.24-01143.32] 可宣伙利用的
[01143.32-01144.40] 而价值带表
[01144.40-01145.84] 就是老动力的公资
[01145.84-01146.40] 这个点
[01146.40-01147.20] 同意没有知道
[01147.20-01148.76] 第三个点就是在这
[01148.76-01149.46] 我们要知道
[01149.46-01151.00] 劳动力成为商品
[01151.00-01153.60] 是货币转化成资本的前提
[01153.60-01155.04] 因为你买了我
[01155.04-01156.76] 所以在这种情况之下
[01156.76-01158.40] 我讲课可以无限利用
[01158.40-01160.76] 可以给你带来无限的财富循环
[01160.76-01161.80] 所以在这个地方
[01161.80-01163.20] 大家注意一下
[01164.00-01165.28] 这是第一个点
[01165.28-01167.96] 这劳动力成商品已经货币转化为资本
[01167.96-01169.20] 货币一旦转化为资本
[01169.20-01170.84] 就会有原源不断的财富
[01170.84-01171.88] 大量的勇入
[01171.88-01173.40] 那在这里面
[01173.40-01174.04] 我们就说了
[01174.04-01175.88] 他原源不断的财富的勇入
[01175.88-01177.36] 它其实就是在强调
[01178.08-01179.56] 给它带来了更多的
[01179.76-01181.00] 职于价值
[01181.20-01183.64] 所以我们来看一下到底什么是职于价值
[01183.84-01185.88] 职于价值在这里有一个基本概念
[01185.88-01186.60] 大家注意一下
[01186.60-01189.88] 这个职于价值的概念是一个两星级的知识点
[01190.00-01191.24] 这点很重要
[01191.24-01192.60] 它考察两个
[01192.60-01193.04] 第一个呢
[01193.04-01194.84] 它就考察简单的概念
[01194.84-01196.16] 就是给你一句话
[01196.16-01197.40] 然后说它所谓什么
[01197.40-01198.36] 就是考定义
[01198.36-01200.44] 这是它的第一种考察方式考定义
[01200.68-01202.56] 第二种考察方式会哪一点
[01202.56-01204.04] 但是已经考过好几次了
[01204.04-01205.92] 就是会考察对于电影的理解
[01205.92-01208.40] 会考察里面的细节
[01208.40-01210.76] 这里面就是以下关于生育价值说法
[01210.76-01211.96] 正确或错误的是
[01211.96-01214.24] 彭王会考察这种综合性的题目
[01214.24-01216.64] 我们就来看一下什么叫做生育价值
[01216.64-01218.00] 它是生育价值的首先
[01218.00-01220.68] 第一个是辜用工人所创造的
[01220.68-01223.24] 第二个被资本家无常战友的
[01223.24-01225.88] 第三个超过劳动力价值的
[01225.88-01228.36] 那部分价值就叫做生育价值
[01228.36-01229.44] 大家要注意一下
[01229.44-01231.48] 生育价值是哪个钱呢
[01231.96-01233.28] 就是刚才我说的
[01233.28-01233.92] 对吧
[01233.92-01236.40] 我的老东家花了20块钱买了我
[01236.40-01237.76] 然后花了20块钱买了我
[01237.76-01240.84] 之后我给他创造出来了100块钱的价值
[01240.84-01243.36] 那这里面20块钱他买我
[01243.36-01244.36] 这块钱就是什么
[01244.36-01246.20] 就是资本或者是我
[01246.20-01249.28] 什么是我的价值是商品的价值
[01249.28-01251.16] 那他把商品的价值跑出掉之后
[01251.16-01253.12] 我给他带来了俄外的80块钱
[01253.12-01253.88] 多赚的钱
[01253.88-01255.16] 这多赚的钱
[01255.16-01256.20] 就是你看
[01256.20-01258.76] 公公人创造的是不是就是我创造的
[01258.76-01260.48] 被资本家无常战友的价资
[01260.48-01262.20] 我现在处在资本主义社会
[01262.20-01263.52] 那我是不是就是被
[01263.92-01268.00] 資本主義社會當中的公司的所者無常戰友的
[01268.00-01272.96] 無常戰友的超過我公資超過勞動力價值是不是我的公資
[01272.96-01277.48] 超過我公資的內部份超過公資內部份上多少還是80
[01277.48-01280.48] 所以這80塊就是勝於價值
[01280.48-01283.88] 所以這勝於價值80塊就是我白白給他幹活給他幹出來的
[01283.88-01284.20] 對吧
[01284.20-01287.48] 所以沒有我的積極工作拿有老闆的別出傷害
[01287.48-01287.68] 對吧
[01287.68-01291.56] 所以在這裡面帶著一下這就是我們所說的勝於價值
[01291.56-01294.08] 所以这里面理解了声音家是什么意思
[01294.08-01295.64] 接下来我们就知道了
[01295.64-01298.48] 你就他考试的时候出现这个概念
[01298.48-01299.76] 特别是一个难点了
[01299.76-01300.76] 难点在什么呢
[01300.76-01301.52] 难点就在于
[01301.52-01304.36] 这里面他有一个小的细节需要我们去注意
[01305.12-01306.40] 三点在这
[01306.68-01307.96] 首先第一个大家知道
[01307.96-01310.76] 声音家只能由谁来带带来呢
[01310.76-01313.04] 声音家只能由公工人闯走
[01313.04-01314.68] 而不能由其他人闯走
[01314.68-01317.08] 所以能够带来声音家只能只有公人
[01317.08-01319.80] 这个点必须要搞清楚这是第一个
[01319.80-01320.68] 第二个
[01320.68-01322.44] 他是顾佑工人创造的
[01322.44-01323.08] 那就意味着
[01323.08-01324.04] 盛余价值
[01324.04-01327.16] 他一定是在生产过程当中形成的
[01327.16-01328.12] 邪在旁边
[01328.12-01331.88] 盛余价值是在生产过程中形成的
[01331.88-01333.16] 如果我不讲课
[01333.16-01334.76] 我会为形成盛余价值
[01334.76-01335.40] 不会的
[01335.40-01336.92] 我一定是去干活了之后
[01336.92-01338.12] 我才形成了盛余价
[01338.12-01339.56] 不讲课我能给他带来啥呢
[01339.56-01341.00] 我不讲课他就爆开了呀
[01341.00-01341.24] 对不对
[01341.24-01342.20] 就没有啥用了
[01342.20-01344.04] 那这我先往这下首先第一个
[01344.04-01344.52] 要知道
[01344.52-01345.24] 盛余价值
[01345.24-01347.88] 他必须是在干活当中形成的
[01347.88-01349.08] 这就是我们所说的
[01349.08-01351.08] 在生产过程当中形成的
[01351.08-01352.08] 这是第一个点
[01352.08-01353.78] 第二个就是我们要知道
[01353.78-01356.68] 生亿价值在生产过程当中形成
[01356.68-01359.38] 但是它如果想要实现
[01359.38-01360.72] 有时它想要最终
[01360.72-01363.48] 租转成为生亿价值形成内部分钱
[01363.48-01365.28] 必须我讲的这个课
[01365.28-01367.08] 能够在市场当中卖出去
[01367.08-01368.18] 如果我讲的课
[01368.18-01369.68] 在市场当中也没卖出去
[01369.68-01372.18] 那承认我确实是干活了
[01372.18-01374.28] 对吧我确实是搞生产了
[01374.28-01377.08] 课卫卖出去能不能给他赚来钱
[01377.08-01378.98] 课卫卖出去是不能给他赚来钱的
[01378.98-01382.82] 所以剩余價值是在生產過程當中形成的
[01382.82-01387.38] 但是是在流通或者是交換過程當中實現的
[01389.86-01392.62] 是在流通或者交換過程當中實現的
[01392.62-01394.46] 這是我講的這個課
[01394.46-01396.38] 他在有人聽,他在有人買
[01396.38-01397.90] 如果沒人聽沒人買的話
[01397.90-01401.10] 我創造不出來,他想要的那部分錢
[01401.10-01403.70] 對吧,所以在這裡面一個點就是要知道
[01403.70-01406.94] 聖誉價值是在生產過程當中性程的
[01406.94-01409.30] 是在流通中實現的
[01409.30-01410.90] 這兩個點非常重要
[01410.90-01411.74] 考慮一個題
[01411.74-01413.98] 你下關聖誉價值說話正求錯誤的是
[01413.98-01416.02] 這兩句話分別是兩個圈
[01416.02-01419.30] 讓去變形這兩圈說法對還是錯
[01419.30-01420.62] 大家一定要明確
[01420.62-01422.42] 這是我們所說的有關於
[01422.42-01424.46] 聖誉價值第一個定義
[01424.46-01425.22] 必須要搞定
[01425.22-01426.66] 第二個細節就是
[01426.66-01428.38] 溫某人在哪創造的
[01428.38-01429.46] 在哪實現的
[01429.46-01430.90] 這個點一定要注意
[01430.90-01431.74] 這是第一個
[01431.74-01433.58] 我們要知道聖誉價值的概念
[01433.58-01435.46] 两星期的知语点很重要
[01435.46-01437.06] 这是第一个我们所说的
[01437.06-01438.06] 剩一价值
[01438.06-01439.66] 那知道了剩一价值
[01439.66-01440.62] 我们刚才也说了
[01440.62-01441.26] 剩一价值
[01441.26-01443.82] 它是在生产过程当中形成的
[01443.82-01445.98] 接起来我们就要来详细的开一看
[01445.98-01449.18] 这个生产过程到底是怎么回事
[01449.18-01450.22] 来看一下
[01450.22-01452.14] 有关于生于价值
[01452.14-01453.74] 它的一个生产过程
[01453.74-01455.62] 它们资本主意的生产过程
[01455.62-01456.66] 就有两重性
[01456.66-01458.78] 记物质资料的生产过程
[01458.78-01459.86] 记老动过程
[01459.86-01461.50] 以及生于价值的生产过程
[01461.50-01462.42] 叫做价值
[01462.42-01463.30] 增值过程
[01463.30-01466.62] 所以它说自问主义的生产过程是这两个过程的同一
[01466.62-01468.68] 怎么说呢 咱们来看一下首先第一个
[01469.70-01474.56] 生与价值生产过程 首先第一个它必须有一个牢动过程
[01474.56-01478.30] 也就是我们想要把生与价值生产出来 首先第一个
[01478.30-01479.44] 你必须是在干活
[01479.44-01483.02] 我们把这个过程称为叫做牢动过程 你看它说
[01483.02-01486.60] 牢动者通过具体牢动改变牢动对象的物质形态
[01486.60-01491.98] 生产出商品的使用价值并把生产赞的价值转一道商品过当中去
[01491.98-01493.26] 这个就叫做
[01493.26-01494.54] 劳动过程
[01494.54-01496.06] 而他后面又给到了一个叫做
[01496.06-01497.10] 价值增值过程
[01497.10-01498.62] 价值增值过程是生产
[01498.62-01499.90] 盛与价值的过程
[01499.90-01501.90] 价值增值过程他咋说的呢
[01501.90-01503.50] 他说价值增值过程是
[01503.50-01505.54] 超过劳动力价值的
[01505.54-01507.34] 补长的一定的点
[01507.34-01509.50] 而延长了价值的形成
[01509.50-01510.14] 他说了
[01510.14-01511.90] 这一个点和什么有关
[01511.90-01513.58] 和他工作的时间有关
[01513.58-01516.30] 他说如果把工人一天的劳动时间
[01516.30-01517.58] 分成两个部分
[01517.58-01519.62] 一部分就要比劳动时间
[01519.62-01521.58] 另一个部分就要剩下一劳动时间
[01521.58-01524.14] 那生育老东时间就被资本家创造了
[01524.14-01525.14] 盛鱼鸟鸟鸟
[01525.54-01527.22] 咱们在这把他独了一遍
[01527.22-01528.38] 你是不是稍微有点猛啊
[01528.38-01530.34] 咱们来把它输了一下是怎么回事
[01530.34-01531.82] 我们跟他说了
[01531.82-01534.38] 盛鱼鸟鸟鸟是在生产过程当中形成的
[01534.38-01534.90] 对吧
[01534.90-01536.94] 我们把这个生产过程
[01536.94-01538.38] 可以分成两个部分
[01538.38-01538.98] 第一个部分呢
[01538.98-01540.38] 叫做牢动过程
[01541.50-01542.70] 也就是刚才所说的
[01542.70-01544.14] 物质资料的生产过程
[01544.14-01544.62] 对吧
[01544.62-01545.46] 还有过程呢
[01545.46-01546.10] 叫做什么
[01546.10-01549.44] 創造生育價值的過程叫價值增值過程
[01551.22-01553.52] 叫做價值增值過程
[01557.62-01561.46] 那這兩過程其實都是什麼都是生產過程
[01561.72-01565.04] 舉個簡單例子現在小明是市長當中流通的勞動力
[01565.30-01566.58] 我花了100塊錢
[01566.84-01569.38] 把小明買了回來讓小明給我幹嘛呢給我
[01569.64-01570.16] 炸雞排
[01570.42-01571.96] 那小明的工作就是要幹嘛
[01572.22-01572.98] 就是要炸雞排
[01573.24-01575.02] 所以你還會把小明買回來
[01575.02-01584.38] 做我的工人之後,我讓他開始炸雞排,於是小明開始在這個長輪當中,每天乾爛的每天就開始起鍋燒油炸雞排,起鍋燒油炸雞排
[01584.38-01590.02] 對吧?所以在這個過程當中,我們會發現,我顧小明幹活,小明在生產雞排,對吧?
[01590.02-01595.14] 小明生產雞排的這個過程就是什麼?就是我們所說的這個,勞動過程
[01595.14-01603.70] 因为他在干活,他干活就是在创造商品,他就是在生产机排,那机排是一个具体的事物,那拿去吃嘛
[01603.70-01609.54] 所以在这里,老动过程就是什么,就是生产资料的过程,生产商品的过程
[01609.54-01619.14] 而老动过程生产出来了具体的商品,而具体的商品有具体的使用价值,所以我们简化,老动过程就是创造使用价值的过程
[01619.14-01622.62] 因为他住在炸几排 因为他住在生产什么
[01622.62-01625.22] 商品 大家要注意一下 只是在这
[01625.22-01627.34] 我在这里 我要免给大明确
[01627.34-01630.78] 我花了100块钱 顾小明一天过炸几排
[01630.78-01633.74] 他必须我规定了 你一天必须跟我干购几个小时
[01633.74-01636.38] 一天必须给我干购8个小时 你才能下班
[01636.38-01640.46] 就好比 现在我们所说的8号锁工作之后 只好是工作之伴
[01640.46-01642.26] 那这里面 我说了一天给我
[01642.26-01645.10] 干购8个小时 你才能下班
[01645.10-01646.82] 对吧 但是问题就是在缘
[01646.82-01649.18] 小明这一天工作的这8个小时
[01649.18-01651.18] 它其实分成两段
[01651.18-01651.94] 拿两段呢
[01651.94-01654.38] 第一段就是它刚才我们所说的在这
[01654.38-01656.50] 第一段叫做必要劳动时间
[01656.50-01659.38] 第二段叫做盛语劳动时间
[01659.38-01661.02] 什么叫做必要劳动时间呢
[01661.02-01663.62] 它说在生产劳动力的价值
[01663.62-01664.74] 它说得有点抽象
[01664.74-01666.78] 就是小明干这一天活分成两段
[01666.78-01668.90] 第一段是必要劳动时间
[01668.90-01670.38] 我不写劳动时间了
[01670.38-01672.42] 第二段是盛语劳动时间
[01672.42-01674.02] 什么叫必要劳动时间呢
[01674.02-01677.02] 就是我要给他开一只100块钱的公司
[01677.02-01679.26] 他最低给我干净个小时的活儿
[01679.26-01680.82] 他能把这100块钱给我赚回来
[01680.82-01682.54] 这个就要必要劳动时间
[01682.54-01687.30] 假设小明一天干两个小时就把100块钱的成本给我赚回来了
[01687.30-01692.02] 那这两个小时就是他获得公司所必须同事的劳动时间
[01692.02-01694.26] 我们把他称为叫必要劳动时间
[01694.26-01696.54] 所以必要劳动时间就是我拿到公司
[01696.54-01698.10] 我必须要干活的时间
[01698.10-01700.06] 这个就要比要劳动时间两个小时
[01700.94-01703.02] 那必要劳动时间竟然是两个小时的话
[01703.02-01704.18] 那小明说的不能这么说
[01704.18-01704.90] 说老板
[01704.90-01706.30] 你看我呢
[01706.30-01708.10] 情情肯肯定干了两小时
[01708.10-01709.50] 一百块小我可给你装回来了
[01709.50-01710.46] 我现在我走了
[01710.46-01711.42] 我能让他走吗
[01711.42-01712.38] 不能不拿着走
[01712.38-01713.90] 我是一个黑心的资本家
[01713.90-01714.86] 所以在这种情况之下
[01714.86-01716.38] 我给你规定的是一天
[01716.38-01717.22] 干过八个小时
[01717.22-01717.94] 你过回
[01717.94-01718.58] 对吧
[01718.58-01720.18] 你还要给我再干净个小时
[01720.18-01720.94] 六个小时
[01720.94-01721.98] 那同时来看一下
[01721.98-01723.34] 再干净六个小时
[01723.34-01724.86] 这六个小时就属于什么
[01724.86-01726.54] 盛余老东时间
[01726.54-01727.66] 那盛余老东时间
[01727.66-01728.86] 再干的这六个小时
[01728.86-01730.38] 我还会给他开公资吗
[01730.38-01731.06] 不会的
[01731.06-01731.78] 这六个小时
[01731.78-01732.98] 就是白白给我怎么样
[01733.02-01734.30] 白白给我干活了
[01734.30-01736.10] 所以这6个小时创造的价值
[01736.10-01737.62] 为我所无常战友
[01737.62-01739.94] 这6小时创造的价值就要什么价值
[01739.94-01740.70] 就叫做
[01740.70-01742.10] 盛宇价值
[01742.10-01744.78] 所以什么叫做价值增值的生涵过程
[01744.78-01747.34] 就是你这6个小时给我干活的过程
[01747.34-01748.90] 所以这6个小时干的活
[01748.90-01749.86] 产生生一价值
[01749.86-01752.22] 所以价值增值的过程就产生了
[01752.22-01753.50] 盛宇价值
[01756.06-01756.70] 明白了
[01756.70-01757.66] 所以在这里面
[01757.66-01758.62] 大家要知道
[01758.62-01761.18] 盛宇价值是在什么中形成的
[01761.18-01762.66] 是在生产过程当中的
[01762.66-01764.66] 價值增值過程中形成的
[01764.66-01767.66] 所以在這裡面大家就要明確一個圓頭了
[01767.66-01768.66] 什麼圓頭呢
[01768.66-01774.66] 就是勝於勞動時間內幹的活兒就叫做勝於勞動
[01775.66-01779.66] 而勝於勞動創造的價值就叫做勝於價值
[01779.66-01781.66] 所以我們經常會說一句話
[01781.66-01783.66] 那句話呢通常需要把這句話寫在旁邊
[01784.66-01787.66] 寫在哪兒呢就寫在下面叫做勝於勞動
[01788.66-01790.66] 勝於啊不是立於
[01790.66-01791.66] 勝於勞動
[01792.66-01796.70] 是生魚鸡肘的圓圈
[01798.70-01802.70] 生魚老動是生魚鸡肘的圓圈
[01805.70-01807.30] 這個點心的旁邊
[01807.30-01810.70] 這生魚老動是生魚鸡肘的圓圈
[01812.30-01814.58] 所以在這裡面我們才有了生產過程
[01814.58-01817.42] 它是老動過程和鸡肘增值過程的統一
[01817.42-01818.98] 它一邊跟我剛活同時
[01818.98-01821.30] 它一邊跟我創造了什麼生魚鸡肘
[01821.30-01823.60] 所以在这里面这就换要搞清楚
[01823.60-01824.64] 第一个就是
[01824.96-01826.48] 第一个点考察点就是
[01826.48-01828.28] 牢动过程创造神价值
[01828.28-01828.98] 第二个价值
[01828.98-01830.52] 三只过程创造神鱼价值
[01830.52-01831.14] 第三个
[01831.14-01832.72] 神鱼价值来自于什么
[01832.72-01833.96] 神鱼价值是你
[01833.96-01835.64] 神鱼牢动时间给我干的活
[01835.64-01839.10] 所以神鱼牢动是神鱼价值的原权
[01839.10-01840.76] 这个点必须要搞清楚
[01840.76-01842.54] 所以在这里面这是我们所说的
[01842.54-01844.80] 有关于神鱼价值的生产过程
[01844.80-01845.36] 大家知道
[01845.36-01846.96] 你还误着资料的生产过程
[01846.96-01848.70] 强确的生产商品
[01848.70-01850.64] 同时它在生产商品过
[01850.64-01853.72] 然后我们就会夹个派的过程当中又创造了盛与价值
[01853.72-01857.04] 所以在这里他说老路过程创造什么价值
[01857.04-01859.84] 盛与价值增值过程创造盛与价值
[01859.84-01863.44] 盛与价值从那来的是从盛与勞动时间当中的
[01864.72-01866.24] 盛与勞动来的
[01867.28-01872.40] 所以盛与勞动是什么是盛与价值的元权
[01875.72-01878.60] 到这 大家知道 盛与勞动是盛与价值元权
[01878.60-01881.16] 把这条主线放在这儿绿身清楚
[01881.16-01883.40] 这个就是我们所说的生育价值
[01883.40-01884.52] 你知道它是怎么来的
[01884.52-01885.80] 对吧 干活来的
[01885.80-01888.48] 这是第一个我们要知道生育价值
[01888.48-01890.00] 知道了生育价值之后
[01890.00-01891.88] 我们就能够有一个清晰的概念
[01891.88-01892.68] 什么概念呢
[01892.68-01894.16] 生育劳动时间
[01894.16-01895.16] 你看它总出来
[01895.16-01897.48] 生育劳动时间越长
[01897.48-01898.24] 同的想一下
[01898.24-01900.20] 生育劳动时间越长
[01900.20-01903.68] 这里面你的生育价值就会怎么样
[01903.68-01904.52] 越长
[01904.52-01906.40] 这有时候如果你做一个资本家
[01906.40-01907.28] 你会怎么办
[01907.28-01910.36] 你想你的自本家的目的在什么
[01910.36-01912.04] 你自本家的目的就在于
[01912.04-01913.16] 你想从我身上
[01913.16-01914.52] 或去更多的什么
[01914.52-01915.48] 剩余价值
[01915.48-01916.88] 所以在这里面你看
[01916.88-01917.92] 剩余价值
[01917.92-01918.96] 剩余老龙谁越长
[01918.96-01920.60] 剩余价值就会越长
[01920.60-01921.48] 你做一个自本家
[01921.48-01922.20] 你就想
[01922.20-01923.92] 延长我的剩余价值
[01923.92-01925.72] 延长我的剩余老龙时间就行了
[01925.72-01926.16] 对吧
[01926.16-01927.92] 你可以通过什么样的方法
[01927.92-01929.80] 延长我的剩余老龙时间
[01929.80-01932.84] 那你想要延长剩余老龙时间的这个方法
[01932.84-01933.88] 就被称为叫做
[01933.88-01936.72] 剩余价值的生产方法
[01936.72-01940.08] 就是如何从我身上不学更多的价值
[01940.08-01943.00] 在生育价值的生产方法当中两种方式
[01943.00-01945.96] 第一种叫做绝对生育价值的生产
[01945.96-01948.68] 什么叫绝对生育价生产的才这里说了说
[01948.68-01950.20] 必要劳动时间不便
[01950.20-01953.80] 延长劳动时间的长度而产生的生育价值
[01953.80-01956.04] 这个量就叫做绝对生育价值
[01956.04-01956.88] 绝个简单例子
[01956.88-01958.68] 价值我正常情况之下
[01960.08-01962.12] 给大家画个图表的就清晰了
[01962.12-01969.12] 我一天的工作时间我刚才说了可以分成必要劳动时间
[01969.12-01972.52] 对吧也可以在必要劳动时间之外还有我们所说的
[01972.52-01974.52] 盛予劳动时间
[01976.92-01980.72] 而这两个部分够成了我一天工作的总实场
[01981.72-01983.32] 那同们来看一下
[01983.32-01985.32] 如果是在正常情况之下
[01986.52-01988.92] 我一天工作八个小时
[01988.92-01992.14] 然后我的必要劳动时间是夹一排两个小时
[01992.14-01994.32] 那我的生育劳动时间就是6个小时
[01994.32-01996.86] 那什么叫做绝对生育价值的生产呢
[01996.86-01997.76] 同时来看一下
[01997.76-01999.76] 所以绝对生育价值的生产
[01999.76-02001.96] 在这里面他给的概念你看谁不便
[02001.96-02003.84] 是为必要劳动时间不便
[02003.84-02006.46] 也就是我原本一天干两个小时
[02006.46-02008.12] 能把他100块钱成本赚出来
[02008.12-02009.52] 我现在还是干两个小时
[02009.52-02012.64] 但是他想要获取更多的生育价值的话
[02012.64-02014.52] 他必须延长生育劳动时间
[02014.52-02016.40] 那现在必要劳动时间不便了
[02016.40-02018.40] 你想要延长生育劳动时间怎么办
[02018.40-02020.44] 你只能改变工作总市场
[02020.44-02023.78] 所以在这里他说延长总市场而改变
[02023.78-02025.56] 这有时候原本一天干半小时候
[02025.56-02026.92] 现在一天干十个小时
[02026.92-02029.16] 那你的生育劳动时间变成了几小时
[02029.16-02030.04] 大小时
[02030.04-02033.00] 这个就是我们所说的绝对生育加值的生产
[02033.00-02034.80] 但这种方法很明显是干嘛
[02034.80-02036.84] 真正你干的活多败就是加班
[02036.84-02038.36] 但是又不给你加班费
[02038.36-02038.88] 对吧
[02038.88-02039.96] 只是稀又会
[02039.96-02041.52] 然后至少又低的这种形式
[02041.52-02042.72] 加班不给加班费
[02042.72-02044.52] 加班不给加班费的话
[02044.52-02046.32] 在这里面他提升的是什么
[02046.32-02048.04] 就是我们所说的白条败
[02048.04-02050.64] 所以这种方式比较
[02051.64-02053.24] 用怎么说的不太聪明
[02053.24-02055.00] 就是对于大部分的工人来看
[02055.00-02055.92] 他一看就能看清楚
[02055.92-02057.52] 说你让我感动多活人不给我钱
[02057.52-02058.64] 那工人的反正什么
[02058.64-02059.76] 那我还不给你干了
[02059.76-02061.52] 所以相这种绝对生意下跡的
[02061.52-02064.00] 他能够引起大部分人的这种反抗
[02064.00-02065.68] 他虽然是延长了你的较了
[02065.68-02066.80] 生育劳动时间
[02066.80-02068.08] 但是他太明显了
[02068.08-02069.68] 对吧我并多干那么多活到
[02069.68-02071.00] 我没有多拿到一分钱
[02071.00-02074.00] 所以在这里面他就会分起反抗
[02074.00-02075.80] 所以后来自门家与学聪明了
[02075.80-02078.44] 自本家除了在绝对剩下这种方法
[02078.44-02079.96] 只剩下又想到另外一种方式
[02079.96-02080.76] 叫做什么呢
[02080.76-02082.76] 相对剩余价值的生日方式
[02082.76-02084.04] 相对剩余价值是什么
[02084.04-02086.04] 是工作日常度不便
[02086.04-02088.20] 就是你一天工作的总时间不便
[02088.20-02090.36] 但是缩短你的必要劳动时间
[02090.36-02092.52] 那也可以延长剩余劳动时间
[02092.52-02093.72] 比如说现在
[02093.72-02095.08] 他说什么不便
[02095.08-02097.00] 说你一天工作的总时间不便
[02097.00-02097.96] 原本是8个小时
[02097.96-02099.00] 现在还是几个小时
[02099.00-02100.36] 现在还是8个小时
[02100.36-02101.40] 那这里面
[02103.00-02104.92] 他要缩短你的必要劳动时间
[02104.92-02107.22] 你原本一天干净一个小两个小时
[02107.22-02109.22] 那现在标劳东时间是几个小时
[02109.22-02110.10] 一个小时
[02110.10-02112.08] 那这时候你的盛鱼劳动变成多少
[02112.08-02114.20] 盛鱼劳动变成了七小时
[02114.20-02115.10] 同们看一下
[02115.10-02117.98] 你的工作的总时间
[02117.98-02118.80] 每一遍
[02118.80-02120.22] 你说短的是什么
[02120.22-02122.24] 标劳东时间看到了没有
[02122.24-02125.06] 但是他对你的剥削程度其实大大加深了
[02125.06-02126.74] 我们在橫梁剥削程度的时候
[02126.74-02128.30] 一会儿为大家讲的一个概念
[02128.30-02129.72] 这盛鱼价值率
[02129.72-02133.26] 盛鱼价值率等于盛鱼劳东时间比上标劳东时间
[02133.26-02134.54] 比如在这里你看
[02134.54-02136.14] 如果是在这个地方
[02136.14-02137.86] 在绝对上一价值的时候
[02137.86-02139.54] 盛余劳动时间比上
[02139.54-02142.30] 标劳动时间是8比2成100分之一百
[02142.30-02144.34] 你的波学程度是4%
[02145.26-02146.58] 但是如果到了相对
[02146.58-02147.98] 盛余价值上来方式呢
[02147.98-02150.06] 是7比1成100分之百
[02150.06-02151.46] 你的被波学程度是多少
[02151.46-02152.62] 100分之7百
[02152.62-02153.42] 所以你看
[02153.42-02154.78] 像这种方式
[02154.78-02156.86] 你感觉你一天好像是
[02157.10-02158.50] 工作时间没电
[02158.50-02159.70] 但是本质上是什么
[02159.70-02161.42] 本质上你被波学的更严重了
[02161.42-02161.98] 为什么
[02161.98-02165.82] 因为他在提高生产效率的过程当中可以极大的苏简人类成本
[02165.82-02167.78] 就让你一个人干好净个人的火
[02167.78-02168.54] 是不是就可以了
[02168.54-02171.06] 这种手对你的压炸就达到了最大的程度嘛
[02171.06-02173.18] 所以在这里这叫做绝对和相对
[02173.18-02175.18] 在考试的时候大家注意一下怎么考呢
[02175.18-02176.70] 就考察他的基本概念
[02176.70-02179.06] 你要知道是谁变谁不变
[02179.06-02181.50] 最终于我们是要延长盛予劳动时间
[02181.50-02184.26] 所以你就记住绝对盛予价值生产
[02184.26-02186.90] 是工作总时间延长
[02186.90-02188.86] 而相对盛予价值是什么
[02189.86-02191.18] 必要劳动时间缩短
[02191.18-02192.98] 这两个地方就考察基本概念
[02192.98-02194.90] 能够把基本概念去给大家说了一清楚
[02194.90-02195.78] 就可以了
[02195.78-02197.54] 这事盛余价值的事案方法
[02197.54-02198.50] 对于资本家来说
[02198.50-02200.26] 它怎么样能够剥削更多的
[02200.26-02201.66] 劳动力的盛余价值
[02201.66-02202.70] 就是想方生法
[02202.70-02203.54] 压价我
[02203.54-02204.82] 这是我们所说的
[02204.82-02206.42] 盛余价值的事案方式
[02206.42-02208.62] 我们不能光红口白牙去说
[02208.62-02209.62] 就说
[02209.62-02211.34] 我们所说的盛余价值
[02211.34-02213.02] 它就是意味着对你的剥削
[02213.02-02216.82] 但是工人看不清背后的这双点
[02216.82-02218.82] 所以我们需要一个更值败的指标
[02218.82-02219.86] 来告诉邦人说
[02219.86-02221.54] 你確實是被怎麼樣
[02221.54-02222.26] 不學了
[02222.26-02223.90] 於是馬上是他提到了一個
[02223.90-02225.70] 我們所說的橫亮指標就叫做
[02225.70-02227.06] 勝於價值率
[02227.06-02228.86] 他勝於價值率強調是什麼呢
[02228.86-02231.98] 他說商品價值包括不便資本和可便資本
[02231.98-02234.58] 不便資本叫C可便資本叫V
[02234.58-02236.50] 勝於價值叫Imo
[02236.50-02238.22] 他說由於勝於價值
[02238.22-02240.66] Imo是由可便資本的
