[00000.00-00003.76] 好 那我们通过前面的讲点就把
[00003.76-00008.44] 在那明是全力能力 明是行为能力以及它的监户说完了
[00008.44-00011.52] 通过我刚才莫不及其的讲点给大家重复了和几遍
[01107.92-01109.56] 一般前来四年
[01109.56-01111.36] 一般世界两年
[01111.36-01112.88] 不可能生活的随时
[01112.88-01115.44] 把它和室宗的这个时间做一个对比
[01115.44-01116.48] 这是第一个
[01116.48-01118.40] 那第二个区分点
[01118.40-01121.08] 就是在于说要经历海关系人生情
[01121.08-01123.12] 在经历海关身生情当作
[01123.12-01124.56] 说大家去注意的是这个
[01124.56-01126.32] 就是这个战略权人战务人
[01126.32-01128.00] 还有我们前面所提到的什么人
[01128.00-01129.92] 我们前面所提到的合伙人
[01129.92-01133.44] 他们三个是和我们所说的失踪人
[01133.44-01135.04] 或者是被宣告死亡人之间
[01135.04-01136.32] 他们直接有一定的什么
[01136.32-01137.96] 财产关系
[01137.96-01140.16] 这里面它其实是有一点不同的
[01140.16-01143.04] 我们在前面提到宣告失踪的情况之下
[01143.04-01143.76] 我们说了
[01143.76-01145.20] 宣告失踪的情况之下
[01145.20-01146.04] 这三个人
[01146.04-01147.84] 它是不是可以申请的
[01147.84-01173.04] 立海关系人,他其实是我们所说的,可以生气了,宣告失踪的立海关系人,但只不过什么,有例外,这个例外咱们当时说了,就是一定要影响到他们权利物的行事,但是在宣告死亡这个地方,大家注意下,在宣告死亡这个地方呢,他们其实原则上,叫原则上,不是立海关系人。
[01173.04-01179.68] 只不過是因為什麼也有例外的情況發生
[01179.68-01184.18] 所以在這裡面我們才說了它是可以進行相當的申請了
[01184.18-01186.12] 我這個點了 同樣簡單看一下就行了
[01186.12-01189.36] 就是能夠把它和宣告失蹤去分開就OK了
[01189.36-01191.16] 這個點是一個非常小的細的點
[01191.16-01195.68] 所以在這裡大家去點到這是我們所說的經厲害關心申請
[01195.68-01199.40] 經厲害關心申請之後我們和前面的程序是一樣的
[01199.40-01201.76] 對吧 我想法院去宣告失蹤
[01201.76-01205.84] 反映能不能勸告死亡反映能不能说当劫就宣告他死亡了
[01205.84-01208.12] 不行 也是要一定的公告期
[01208.12-01210.28] 所以这个点也是和前面相区分的
[01210.28-01212.88] 我们前面宣告失踪的公告期说
[01212.88-01217.12] 公告期满多少 三个月而在这个地方带着注意下
[01217.12-01220.44] 我们说了 在宣告死亡当中要甚至有事
[01220.44-01222.72] 一般请问一下公告期为一年
[01222.72-01226.12] 因为世界下路不明比有机关正名不得生缓的
[01226.12-01228.12] 那是多少时间 三个月
[01228.12-01230.44] 那是三个月 所以同时就简单进
[01230.44-01231.44] 就簡單記
[01231.44-01232.72] 一般請問一下一年
[01232.72-01234.44] 這個一年包括兩種
[01234.44-01235.88] 就是一般情況之下
[01235.88-01237.40] 和我們所說的叫做
[01237.40-01238.60] 意外情況下
[01241.00-01242.52] 公告期待一年
[01242.52-01245.24] 如果說意外加證明
[01245.24-01247.96] 說說時間意外加證明是三個月
[01247.96-01249.64] 因為我們剛才在前面
[01249.64-01252.52] 宣告失踪達到法定期限的地方
[01252.52-01254.72] 是不是有給大家去說過這個事
[01254.72-01256.04] 所以大家一定要知道
[01256.04-01257.84] 這是我們所說的宣告
[01257.84-01260.14] 死亡他的一个公告欺
[01260.14-01261.04] 他的一个公告欺
[01261.04-01264.88] 这个地方就是考对应的时间容易混小
[01264.88-01265.52] 那不说了
[01265.52-01268.08] 那宣告死亡也会产生一定的法律后果
[01268.08-01269.32] 什么样的法律后果呢
[01269.32-01271.96] 第一个就是婚姻关系自动解除
[01271.96-01273.68] 这个人一旦宣告死亡的话
[01273.68-01276.16] 那他的妻子或者是他的丈夫
[01276.16-01278.48] 那这有时候他们的婚姻关系就自动消除了
[01278.48-01279.96] 那可以再婚
[01279.96-01283.24] 第二个就是配有有权单方送养子女
[01283.24-01284.76] 也就说自己服予不了情况
[01284.76-01286.08] 这下可以把孩子怎么样
[01286.08-01287.84] 宋人不需要经过
[01288.68-01289.80] 另一方都同意了
[01289.80-01291.32] 所以在这里可以宋小子女
[01291.32-01293.24] 第3个就是继承关系开始
[01293.24-01295.08] 宣告死亡本身上也是咋的
[01295.08-01296.92] 也是在法律预一上的死亡
[01296.92-01298.80] 所以如果在法律上死亡的话
[01298.80-01300.44] 那财产率开始了继承了
[01300.44-01301.76] 该分配给谁
[01301.76-01302.52] 分配给谁
[01302.52-01302.92] 对吧
[01302.92-01305.20] 同时他既然被宣告死亡的话
[01305.20-01306.56] 那他就算是了什么
[01306.56-01308.28] 民事主体资格
[01308.28-01310.24] 已经是法律预一上的死人了
[01310.24-01310.76] 没办法
[01310.76-01313.08] 所以在这里这是他的法律后果
[01313.08-01316.92] 这个法律后果经常会考一个理解性的体目比如说
[01316.92-01319.16] 给你五六段一直在描述这个人
[01319.16-01321.16] 因为什么世界然后失踪了多少时间
[01321.16-01322.44] 他的家人做了什么事
[01322.44-01324.60] 给你了这一段的描述然后说
[01324.60-01327.24] 关于他家人宣告死亡
[01327.24-01328.44] 说法正确的是
[01328.44-01331.00] 这里面就会考虑到法律后果的问题
[01331.00-01332.92] 同学们就要去给他实际清楚
[01332.92-01334.12] 那怎么去实际呢
[01334.12-01335.72] 我在来去背考发考的时候
[01335.72-01337.72] 当时有一个老师给的那个扣决
[01337.72-01340.60] 我当觉得一下子就让我记住了
[01340.60-01343.42] 这是他给的那个就是巴克斯叫做啥呢
[01343.42-01344.42] 同时标注在旁边
[01344.42-01347.16] 咱们就借用这个老师的这个口觉
[01347.16-01348.56] 帮助大学实际
[01348.56-01350.32] 在这里面他给到了这个
[01351.04-01352.60] 考虑的这个总结
[01353.08-01354.36] 宣告死亡的法律后果
[01354.36-01356.80] 其实就是七里子散加破人了
[01358.52-01364.44] 那叫做七里子散加破人了
[01364.44-01366.96] 来看一下七里子散是什么
[01366.96-01369.72] 夫妻关系解除单红色红子女对吧
[01369.72-01374.20] 加破人王 加破就是你的财功关系开始机场了
[01374.20-01380.32] 对吧 你的东西开始给你的机场人王就是你上市了民室租体的资格
[01380.32-01381.80] 所以在这里大家注意一下
[01381.80-01385.20] 这个宣告死亡的法律后果和宣告失踪不一样
[01385.20-01387.12] 宣告失踪他只是勒财功代表人
[01387.12-01389.28] 但宣告死亡是法律以上的死亡了
[01389.28-01390.72] 那这里面就会涉一道一个问题
[01390.72-01393.40] 叫做七里子三加破人王
[01393.40-01394.72] 那七里子三加破人王
[01394.72-01397.72] 所以这是我们所说的他的相应的法律后果
[01397.72-01400.54] 但是宣告死亡的人会会回来的
[01400.54-01403.10] 也就是我们所说的王者会来的情况
[01403.10-01404.84] 宣告失踪的人可能会回来
[01404.84-01406.42] 宣告死亡的人也有可能对吧
[01406.42-01407.96] 所以王者会来一样的
[01407.96-01410.52] 在承训上宣告死亡的人重新出现
[01410.52-01412.56] 经本人或厉害关神申请
[01412.56-01413.80] 人家反应应当
[01413.80-01414.88] 彻乡宣告死亡
[01414.88-01416.92] 但一旦彻乡死亡宣告的法
[01416.92-01420.00] 就意味着之前七例子三家破人王的状态
[01420.00-01422.80] 就回归到死亡之前的这种状态
[01422.80-01426.40] 但是问题就是能不能完全一模一样的回归到他
[01426.40-01428.00] 宣告所用之前的状态呢
[01428.00-01429.80] 那要分请换来跑乐
[01429.80-01431.00] 首先在人身方面
[01431.00-01431.64] 我们不说了嘛
[01431.64-01433.36] 叫七里子责
[01433.36-01434.44] 那宣告所用之后
[01434.44-01435.68] 这个七里
[01435.68-01435.96] 对吧
[01435.96-01437.60] 我们所说的这个婚姻关系
[01437.60-01438.60] 还能不能恢复呢
[01438.60-01440.00] 来看一下书上打说的
[01440.00-01441.00] 说婚姻关系
[01441.00-01443.20] 说死亡宣告被撤销的
[01443.20-01443.80] 婚姻关系
[01443.80-01445.24] 这宣告撤销之事
[01445.24-01446.36] 怎么办
[01446.36-01447.00] 不要注意下
[01447.00-01448.20] 他们坏下圈一
[01448.20-01449.60] 原走上市
[01449.60-01450.92] 自行恢复的
[01450.92-01452.20] 但是有没有理外有理外
[01452.20-01452.48] 他说
[01452.48-01454.20] 但是起配有在婚
[01454.20-01458.52] 或者像亏燈器机关输面输名不愿意恢复的出外
[01458.52-01459.80] 所以在这里面大家注意一下
[01459.80-01461.24] 它有一些厉害情况
[01461.24-01463.60] 原走上自由恢复你回来的婚姻关系
[01463.60-01465.20] 继续但是有一些厉害情况
[01465.20-01466.48] 这个厉害情况就是什么
[01466.48-01469.56] 就是第一种结果婚的
[01471.28-01473.24] 老师这个在婚是什么意思
[01473.24-01475.40] 这个在婚他包括好伤情况
[01475.40-01476.76] 包括宣告死亡之后
[01476.76-01477.84] 他的配偶在婚
[01477.84-01478.24] 对吧
[01478.24-01479.72] 比如说他的妻子在婚了
[01479.72-01482.88] 也包括他的妻子在婚之后又离婚的
[01482.88-01484.88] 也包括他的妻子在婚之后
[01484.88-01486.72] 他的心的朋友又死亡的
[01486.72-01488.12] 那这个都算做什么
[01488.12-01489.36] 都算做再婚
[01489.36-01490.72] 所以我们就广一上理解
[01490.72-01491.28] 这个再婚
[01491.28-01492.68] 他其实就意味着他怎么样
[01492.68-01493.32] 结果婚
[01493.32-01494.28] 结果婚的
[01494.28-01495.32] 这是第一种情况
[01495.32-01496.08] 第二种情况
[01496.08-01496.96] 不能自用恢复的
[01496.96-01498.12] 就是他不愿意
[01500.76-01501.84] 就是他不愿意
[01501.84-01503.52] 那如果他不愿意的这种情况
[01503.52-01504.76] 且疏面生命的话
[01504.76-01507.20] 那也不能自行恢复
[01507.20-01507.96] 所以在这里面
[01507.96-01508.64] 大家要注意一下
[01508.64-01509.84] 你说老师还有人不愿意呢
[01509.84-01510.80] 那这种在现实情况
[01510.80-01512.04] 他就必要复杂了
[01512.04-01515.76] 比如说他们两个之间的灰灵关系本来就不是很好 对吧
[01515.76-01517.40] 本来女方就已经要离婚了
[01517.40-01522.52] 在恰恰这个时候我们所说的这个南方或者是福奇当中的人和一方
[01522.52-01525.32] 人下落突然不明了 买了好多年
[01525.32-01527.40] 那这时候其实就不用再去办离婚手去了
[01527.40-01528.96] 那你再回来我也不愿意跟你过
[01528.96-01533.68] 那这个地方它疏面 生命不愿意恢复的 那就可以怎么样 不恢复
[01533.68-01539.12] 所以在这里 七里子散 七里 两种情况 自行恢复 有 例外
[01539.12-01541.36] 那此散就是送养的子女
[01541.36-01542.52] 还能不能要回来了呢
[01542.52-01543.88] 你看书上怎么说的
[01543.88-01545.52] 他说被宣告所谓的人
[01545.52-01546.48] 在配宣告期间
[01546.48-01547.96] 其子女被一把收养的
[01547.96-01549.64] 在死亡被撤销之后
[01549.64-01552.56] 不得以未经本人同意为有主张
[01552.56-01554.12] 收上行为无效
[01554.12-01557.04] 也就是说原则上送出去的孩子
[01557.04-01558.16] 能不能要回来了
[01558.16-01558.76] 不能了
[01558.76-01559.88] 所以同一标注意下
[01559.88-01561.60] 就是原则上
[01562.80-01563.64] 怎么办呢
[01564.32-01565.16] 不得
[01565.16-01572.26] 要回,我们就简单机吧,原则上这个孩子是要不回来了
[01572.26-01576.96] 有原则就有什么,有原则就有理外
[01576.96-01578.16] 这里面的理外是什么呢
[01578.16-01580.46] 理外就是看这个孩子的年龄
[01580.46-01582.96] 如果这个孩子当时被宋调的时候太小了
[01582.96-01585.60] 就是他的妈妈实在是或者他的父亲会
[01585.60-01588.76] 他的母亲一方实在是没有办法去服用这个小孩子
[01588.76-01592.56] 还太小了,也是当这个小孩他不满搭碎的时候
[01592.56-01595.30] 当然我们都说的是八周四
[01595.30-01598.36] 当他不满八周四的时候被收养了
[01598.36-01600.60] 这个时候几十二人同意
[01600.60-01602.92] 如果说他去了之后他看到自己的孩子
[01602.92-01603.80] 他想把孩子要回来
[01603.80-01606.04] 这个时候什么收养人同意的话
[01606.04-01606.92] 那你可以要回来
[01609.40-01610.92] 那是让人同意可以要回来
[01610.92-01613.28] 因为大家注意一下这是不满八周四
[01613.28-01614.92] 如果这个孩子比较大了
[01614.92-01616.12] 就是八周四以上
[01616.12-01617.64] 大家都知道八周四以上的小儿
[01617.64-01618.68] 是说就懂事了
[01618.68-01620.16] 他知道谁对他好
[01620.16-01621.28] 谁对他不好
[01621.28-01625.32] 那这种情况之下,巴州最上的小儿和他的养父母生活的时间久了
[01625.32-01626.66] 那大家也都知道
[01626.66-01630.56] 他其实是更清晰和他的生样的父母在一块的
[01630.56-01633.14] 那你现在想法小孩要于小孩不一定乐意
[01633.14-01636.38] 所以巴州最上的小宝宝或者是人小朋友
[01636.38-01638.84] 要能够要凉就要凉搬了,要两个人同意了
[01638.84-01641.94] 那第一个就是不解要杀人同意,而且要什么
[01641.94-01643.30] 被说人同意
[01644.70-01648.92] 也要小孩同意,我们要变于孩子的身心收掌,身心生掌
[01648.92-01651.20] 有他们两个同时同意的话
[01651.20-01654.64] 这里面才能怎么样才能用回才能用回
[01654.64-01656.84] 这是对于子女送养的这样的情况
[01656.84-01657.88] 叫气力子散
[01657.88-01659.68] 加破人王的话
[01659.68-01661.60] 那就会睡到财产的问题
[01661.60-01663.24] 我们说了他死了之后
[01663.24-01665.16] 机程关系开始了
[01665.16-01665.56] 对吧
[01665.56-01666.44] 就叫加破
[01666.44-01668.40] 机程关系开始之后来看一下
[01668.40-01670.40] 说被撤销死亡宣告的人
[01670.40-01672.44] 有全请求依照民发点
[01672.44-01673.24] 同们画一下
[01673.24-01675.36] 有关机程规定取得其财产的人
[01675.36-01676.36] 算划财产
[01676.36-01677.60] 也认在财产方面
[01677.60-01680.68] 繼承的東西能不能要回來呢?分請況
[01680.68-01682.98] 如果這個東西是要繼承取得
[01685.78-01687.28] 繼承取得的
[01687.58-01689.38] 這時候是可以要回來的
[01689.38-01690.92] 大家注意一下後面他說了
[01690.92-01693.48] 已經發生無權變動的怎麼辦呢?
[01693.98-01696.28] 已經無權變動的
[01699.10-01700.46] 這種情況之下
[01700.46-01701.66] 東西是要不回來的
[01701.66-01702.68] 但是它可以怎麼辦
[01702.68-01705.24] 它可以讓別人給它適當的不成
[01705.24-01707.84] 东西就要不回来,但是你可以不尝给它
[01707.84-01710.84] 那这是我们所说的,这一个情况
[01710.84-01712.64] 我们举个简单的例子来说
[01712.64-01715.64] 比如说这个被寻到的人,他重新回来了
[01715.64-01718.44] 谁呢?还是刚才那个,换一个人吧
[01718.44-01721.84] 比如说这个人是小A,小A将冠穿一个我们的全说
[01721.84-01724.64] 比如说小A呢,他被寻告是,宣告死亡了
[01727.04-01730.24] 小A被寻告死亡之后,我们说了叫做七里
[01730.24-01732.84] 子孙
[01732.84-01737.80] 还有加破我们所说的什么人王
[01737.80-01741.44] 加破这个地方其实就是我们所说的机程关系的开始
[01741.44-01744.28] 小业现在有两个孩子
[01744.28-01747.08] 一个是小小业
[01747.08-01748.16] 一个是小小业屏
[01748.16-01750.48] 当然他有自己的妻子
[01750.48-01752.28] 他死亡之后大家注意一下
[01752.28-01754.72] 他的材账是否就会在他这三个人之间
[01754.72-01755.76] 去开始分配
[01755.76-01756.72] 怎么分的呢
[01756.72-01758.28] 假设他的妻子
[01758.28-01761.12] 繼承了小 A的小 A的大號子
[01762.52-01764.36] 大號子北京的大司和院
[01764.36-01767.28] 小小 A小小 A繼承了小 A的什麼呢
[01767.28-01769.40] 一量跑車馬殺拉地
[01770.12-01772.52] 然後小小 A片獲得了什麼
[01772.52-01773.40] 小小 A片太曬了
[01773.40-01775.84] 小 A片沒有獲得其他的東西
[01775.84-01780.08] 只獲得了這個小 A20個 1的銀行存款
[01780.08-01781.92] 反正是21元吧
[01782.12-01783.24] 這種情況是你看
[01783.24-01786.52] 他們三個分別是繼承到了他不同的東西
[01786.52-01788.04] 那如果現在
[01788.04-01791.68] 他們三個什麼大哈勿斯馬上拉電還有這21個這個存款
[01791.68-01794.78] 在這個過程當中小A如果王者規來的話
[01794.78-01800.30] 這個大哈勿斯這個車和21個錢都要規規規規緩給誰
[01800.30-01801.50] 都要規緩給小A
[01801.50-01802.88] 因為他們是怎麼起得的
[01802.88-01805.36] 通過迷法典當中的繼承關係法
[01805.36-01807.60] 繼承關係獲得的對吧
[01807.60-01809.64] 也要么是一主機承要么是法定機承
[01809.64-01811.00] 反正你是繼承獲得的
[01811.00-01812.36] 你繼承獲得的你要幹嘛
[01812.36-01813.56] 你就要緩給人家小A
[01813.56-01815.52] 所以在繼承獲得的反緩財產
[01815.52-01817.30] 但如果已經發生目前電動了
[01817.30-01818.46] 比如说他的妻子
[01818.46-01820.34] 然后拿到大号是之后
[01820.34-01821.86] 他就觉得这个房子太大了
[01821.86-01822.18] 对吧
[01822.18-01823.78] 他的丈夫已经走了
[01823.78-01825.14] 他自己住在房子当中
[01825.14-01826.14] 非常的空况
[01826.14-01827.14] 这就非常的害怕
[01827.14-01827.50] 对吧
[01827.50-01828.78] 他又觉得房子太空了
[01828.78-01830.74] 他就总会读课人吧
[01830.74-01832.98] 所以他的妻子就把这个大号是卖掉了
[01832.98-01833.98] 卖掉了谁呢
[01833.98-01835.14] 卖掉了小笔
[01836.30-01837.14] 卖掉了小笔
[01837.14-01838.02] 并给小笔
[01838.02-01839.78] 办理了过户登记手续
[01839.78-01840.38] 那你看一下
[01840.38-01841.42] 卖掉了小笔
[01841.42-01843.78] 然后小笔也办理了过户登记
[01843.78-01845.58] 那这个房子现在规谁了
[01845.58-01847.58] 现在房子卑小闭所有了
[01847.58-01848.66] 那就意味着
[01848.66-01849.90] 如果这个时候
[01849.90-01852.06] 他的亲自把大房子卖掉了之后
[01852.06-01852.94] 小一回来之后
[01852.94-01855.54] 能让他亲自饭还房子
[01856.06-01856.86] 还不了了
[01856.86-01858.58] 因为房子已经怎么样卖出去了
[01858.58-01860.70] 房子已经发生霧权变动了
[01860.70-01861.98] 这种情况这下怎么办
[01861.98-01863.50] 房子没了咱可以遇起来吗
[01863.50-01865.82] 所以在这里可以几育施当的不成
[01865.82-01868.30] 所以能饭还的财产几千里什么
[01868.30-01869.58] 几千里继承取得的
[01869.58-01870.82] 如果是这种什么
[01870.82-01872.02] 我们所说的这种
[01872.02-01873.34] 通过买卖呀
[01873.34-01874.68] 原始曲德这种方式
[01874.68-01876.56] 它就不能要东西了
[01876.56-01877.82] 这时候只能要钱了
[01877.82-01878.82] 明白这个意思吧
[01878.82-01880.14] 所以在这里大家注意一下
[01880.14-01881.54] 这是我们所说的
[01881.54-01882.62] 王者归来
[01882.62-01884.18] 它可能会产生的情况
[01884.18-01885.50] 而这个王者归来
[01885.50-01886.78] 它的一个
[01886.78-01888.02] 彻销的法律后果
[01888.02-01889.26] 往往就会考察
[01889.26-01889.98] 暗力
[01889.98-01890.98] 王者考察的理由
[01890.98-01891.22] 好
[01891.22-01892.14] 这是我们所说的
[01892.14-01892.86] 宣告
[01892.86-01894.66] 施宗和宣告死亡
[01894.66-01895.86] 宣告施宗和宣告
[01895.86-01896.18] 死亡
[01896.18-01897.94] 咱们在这就给它讲完了
[01897.94-01899.50] 同样会觉得这两个关系
[01899.50-01900.98] 可能会有一些像
[01900.98-01901.90] 在程序上
[01901.90-01902.86] 可能会有一些像
[01902.86-01904.86] 我们一个一个来 数里下 好吧
[01904.86-01907.36] 首先第一个就是宣告失踪
[01909.36-01911.06] 宣告失踪的条件 咱们说了
[01911.06-01911.56] 是啥呢
[01911.56-01913.86] 第一个是下落不明
[01915.36-01916.86] 第一个是下落不明
[01916.86-01917.86] 下落不明了
[01917.86-01919.16] 在这里面我们前面说了
[01919.16-01921.56] 它首先第一个要下落不明
[01921.56-01922.86] 蛮两年
[01924.86-01926.76] 那 只第一个 下落不明完两点
[01926.76-01929.16] 下落不明蛮两年之后的要几个什么
[01929.16-01932.36] 厉害 关系人生气
[01932.86-01935.06] 那立海關神申請
[01935.06-01936.42] 上誰申請呢
[01936.42-01939.14] 要立海關神相所在地的
[01939.14-01942.34] 就是被也就是世中人所在地的基層
[01942.34-01947.26] 人民法院去申請宣告世中
[01947.26-01949.38] 那基層為法院能不能受理了之後
[01949.38-01950.54] 就馬上宣告世中呢
[01950.54-01952.86] 不行他就公告三個月
[01952.86-01954.10] 如果公告三個月
[01954.10-01955.18] 就還沒有回來的話
[01955.18-01957.94] 那我們這個時候就確定是宣告世中了
[01957.94-01958.46] 對吧
[01958.46-01960.46] 宣告世中的法律後果是啥
[01960.46-01961.82] 我們設立財產
[01961.82-01963.82] 代管人 對不對是不是這個情況
[01963.82-01965.32] 那這裡面的考點在什麼呢
[01965.32-01967.62] 考點第一個 下了後面很多時間兩年
[01967.62-01969.12] 第二個 厲害關心人當中
[01969.12-01971.82] 包括有財產關係的 我們所說的
[01971.82-01972.82] 債權人
[01974.62-01976.82] 債務人以及和貨人 包括
[01976.82-01980.32] 但是前提是他們一定影響他的權利物的形式
[01980.32-01982.42] 那公告器官的時間 國外去三個月
[01982.42-01984.82] 法律後果是什麼 設立財產代管人
[01984.82-01986.32] 有錢只有這一個法律後果
[01986.32-01987.82] 大家知道 這是宣告失蹤
[01987.82-01989.32] 那剛才我們又講了一個
[01989.32-01990.82] 如果失蹤時間更長
[01990.82-01993.38] 那这里面我们就提到了就宣告死亡了
[01993.38-01995.94] 宣告死亡了就做下落不明了
[01995.94-01999.78] 但是下落不明的第1个考虑就是满法定期间
[02001.30-02003.46] 下落不明了法定期间
[02003.46-02005.86] 那这个法定期间咱们说了又考点
[02005.86-02008.98] 法定期间4204是什么
[02008.98-02010.54] 一般情况下满4年
[02010.54-02012.18] 意外是间满两年
[02012.18-02015.14] 意外是间且证明无法生还的随时宣告
[02015.14-02017.54] 那这个宣告过程当中也是谁宣告
[02017.54-02019.62] 也是历害关系人宣告
[02019.62-02023.30] 但這個厲害關閉宣告當中大助一下原則上
[02023.30-02027.02] 這全人在誤人和和或者是不是
[02027.02-02029.02] 厲害關閉人不是有例外
[02029.02-02031.26] 只要知道他原則上不是就行了
[02031.26-02033.14] 也是他們像誰生巧
[02033.14-02038.62] 他們像所在地的基層人民法院申請
[02038.62-02041.82] 像所在地的基層人民法院申請之後
[02041.82-02043.30] 法院能不能直接宣告死亡
[02043.30-02044.90] 不行 法院要進行公告
[02044.90-02047.42] 那這個公告期間也是一個考點
[02047.42-02051.26] 公告期间一般情况之下或者是意外事件
[02053.06-02055.34] 我们说了公告多少时间一年
[02055.34-02057.66] 但是如果说在这个情况到
[02057.66-02061.26] 在这种情况之下是意外事件起证明不能生还的
[02062.02-02062.78] 加证明啊
[02062.78-02064.82] 叫意外事件起证明不能生还的
[02064.82-02065.98] 公告去办时间
[02065.98-02068.66] 公告期我们所说的是三个月对吧
[02068.66-02069.94] 公告期数三个月
[02069.94-02071.74] 那这时公告期限
[02071.74-02073.54] 那如果在公告期限还没有回来的话
[02073.54-02075.58] 那就宣告死亡败
[02077.42-02080.48] 宣告死亡的法律后我什么 同学们
[02080.48-02083.56] 7离子算
[02083.56-02085.86] 加破
[02085.86-02087.66] 人王
[02087.66-02090.22] 能够还用出来就行了 7离
[02090.22-02092.78] 夫妻关系 欢迎关系自动
[02092.78-02096.12] 解除对吧 子算 单方可以送养 子女
[02096.12-02097.64] 然后加破
[02097.64-02103.54] 我们所说的继承关系 开始人王 那这里面就是我们一位的是啥 人没有了嘛
[02103.54-02106.94] 这种情况之下是上市了像上市了
[02106.94-02109.34] 在人或者是民主权利能力的资格
[02109.34-02110.70] 那这是我们所说的
[02110.70-02112.54] 有关于他的法律后果
[02112.54-02113.54] 但是在这里面
[02113.54-02115.58] 考点就是比上面又多了一个
[02115.58-02116.22] 多了一个啥呢
[02116.22-02117.54] 多了一个王者灰来
[02120.02-02121.90] 王者灰来在这个地方就意味着
[02121.90-02123.50] 已经我们所说的
[02123.50-02125.46] 汽里子散加扩人王的状态
[02125.46-02128.54] 能不能回归到我们所说的宣告所谓之前
[02128.54-02130.66] 那就要分情况讨论了对吧
[02130.66-02132.22] 原子上汽里
[02132.22-02134.62] 回到后映关系自动恢复
[02134.62-02135.94] 但是有没有立外有立外
[02135.94-02137.06] 第一个结果婚
[02137.06-02137.46] 对吧
[02137.46-02138.74] 第二个不想跟他过了
[02138.74-02139.78] 那书面生命
[02139.78-02141.62] 那就关系不恢复
[02141.62-02142.46] 第二个子散
[02142.46-02144.02] 孩子原则上要不要的回来
[02144.02-02144.94] 原则上要不回来
[02144.94-02146.14] 有立外什么立外呢
[02146.14-02148.18] 人家同意把孩子还给你
[02148.18-02149.02] 那你可以误会来
[02149.02-02150.58] 那就说同意还
[02150.58-02152.06] 那要考虑到两个情况
[02152.06-02153.30] 第一个小孩太小了
[02153.30-02154.82] 八周最下的不懂事的
[02154.82-02156.82] 几十二人同意可以误会
[02156.82-02158.14] 第二个孩子大了
[02158.14-02159.74] 和被生二人之间
[02159.74-02162.66] 有合这个事案他的父母之间有情感的这种基本关系了
[02162.66-02163.74] 那这种情况之下
[02163.74-02165.74] 不仅要上人同意还要被舍人同意
[02165.74-02166.90] 他才能把孩子要回来
[02166.90-02168.78] 加破加破的话就是
[02168.78-02170.10] 基层一场的那天
[02170.10-02171.42] 一场能不能要回来
[02171.42-02172.22] 看情况
[02172.22-02174.06] 如果是通过基层法取得的
[02174.06-02175.10] OK能要回来
[02175.10-02177.82] 如果通过基层法取得这个东西就卖掉了
[02177.82-02179.90] 比如说他记得把大号习卖掉了
[02179.90-02180.78] 东西要回来了
[02180.78-02181.38] 可以要啥
[02181.38-02182.26] 可以要钱
[02182.26-02182.78] 这是呀
[02182.78-02183.90] 七里子散加会人王
[02183.90-02185.78] 他对一个王者归来到情况
[02185.78-02187.70] 那这里面有很多同学就会存疑
[02187.70-02189.78] 比如说老师他们两个其实是有一点像的
[02189.78-02190.78] 你看在这里
[02190.78-02193.94] 像了不年满两年满法定期间都可能
[02193.94-02194.34] 对吧
[02194.34-02195.14] 在这种情况下
[02195.14-02197.06] 我是宣告世总还是宣告死亡
[02197.06-02198.50] 这里面就会涉一道
[02198.50-02200.42] 宣告世总已经宣告死亡
[02200.42-02202.06] 他们之间的关系
[02202.06-02203.22] 我把它写在下面
[02204.10-02206.14] 宣告世总和宣告死亡
[02206.14-02207.30] 他们之间的关系
[02207.30-02210.10] 宣告世总和宣告死亡之间的关系是什么的
[02210.10-02210.94] 我们注意一下
[02210.94-02212.78] 就是你想宣告啥就宣告啥
[02212.78-02215.02] 并不是说你宣告死亡的前提
[02215.02-02216.46] 一定是宣告世总
[02216.46-02219.04] 你只要符合他们任意的条件
[02219.04-02220.72] 那你想宣告哪个就宣告哪个
[02220.72-02221.90] 所以第1个大家要知道
[02221.90-02224.14] 这是宣告失踪
[02225.86-02226.70] 不是
[02228.06-02229.06] 宣告
[02229.78-02230.94] 死亡的
[02231.58-02232.58] 毕竟程序
[02233.66-02234.90] 这个点一定要注意
[02234.90-02237.58] 因为在考试的时候经常考判的体会人的选项
[02237.58-02241.54] 说想要宣告死亡的前提是先宣告失踪
[02241.54-02242.14] 那不是
[02242.14-02244.46] 所以在这里它不是宣告死亡的
[02244.62-02246.42] 毕竟程序这是第1个点
[02246.46-02248.26] 第2个大主意下
[02248.26-02250.18] 就是历害关系人
[02250.18-02253.18] 申请什么就宣告什么
[02255.18-02255.94] 我简单写
[02255.94-02257.18] 就是历害关系人
[02257.18-02258.34] 申请什么
[02261.38-02262.42] 宣告什么
[02264.06-02264.90] 啥意思呢
[02264.90-02265.90] 由于在这里面
[02265.90-02268.18] 如果我只申请
[02269.74-02271.98] 只申请宣告失踪的
[02271.98-02281.98] 只申请宣告失踪,他符合宣告死亡的条件。
[02281.98-02286.98] 他符合宣告死亡的条件。
[02286.98-02291.98] 这时候你只能干嘛,你只能宣告失踪,明白吧?
[02291.98-02293.98] 因为你看在时间上其实有充电的,对吧?
[02293.98-02296.98] 所以在这里面就是第2个点,第3个点就是,
