[00000.00-00004.08] 好,我们接下来看第六节就是新西技术
[01129.40-01131.00] 他也是什么,英文软件
[01131.00-01133.64] 所以英文软件就是你电脑当中的各种杨废匹随段
[01133.64-01135.20] 深圳玩具遊戲
[01135.20-01135.54] 對吧
[01135.54-01137.36] 你說要下一個遊戲軟件
[01137.36-01138.50] 那他也屬於
[01138.50-01139.32] PC端
[01139.32-01140.18] 所以在這裡面
[01140.18-01143.36] 電腦有硬件構成了可視的電腦
[01143.36-01144.52] 我們所說的那一套
[01144.52-01146.48] 按印什麼主標等等
[01146.48-01148.20] 而他的運行要靠軟件
[01148.20-01148.96] 那首先第一個
[01148.96-01150.00] 沒有他已經不了的
[01150.00-01151.16] 一定是系統軟件
[01151.16-01152.92] 比如說我們所說的運動系統
[01152.92-01153.32] 第二個
[01153.32-01155.00] 為了豐富你的
[01155.00-01156.20] 辦公生活娛樂
[01156.20-01159.00] 而且具體問題的這些應用程序
[01159.00-01160.56] 它就屬於應用軟件
[01160.56-01161.80] 這就是它在考試的時候
[01161.80-01163.44] 就是區分
[01163.44-01166.12] 软件系统软件和用软件的那些就行了
[01166.12-01167.20] 这个比较简单
[01167.20-01169.56] 哪一点的其实是在硬件设计上
[01169.56-01172.56] 这是我们所说的第一个问题
[01172.56-01174.36] 这是计算机的购成
[01174.36-01176.52] 那知道了计算机的购成
[01176.52-01178.32] 也知道了计算机它
[01178.32-01182.68] 大概需要哪些不仅而它才能够帮助我们更好的工作和生活
[01182.68-01182.92] 对吧
[01182.92-01184.64] 那第二个我们就来看一下
[01184.64-01187.36] 计算机的它的主要性能指挤要哪些
[01187.36-01189.08] 在这里面我们来看一下
[01189.08-01191.84] 这计算机的主要性能指挤比较第一个就是
[01191.84-01194.20] 自长 你看在这里面他说了
[01194.20-01195.84] 说了同意时间里面
[01195.84-01199.20] 处理二进之数的数位的自长
[01199.20-01202.08] 就是自长是8的整碑数位越多
[01202.08-01205.12] 自长业长 进行计算经兑就越高
[01205.12-01207.08] 自长对于咱们这种
[01207.08-01208.48] 我们所说的这种
[01208.48-01209.52] 能耐汉来说
[01209.52-01211.20] 因为我不是计算机专业的
[01211.20-01214.48] 所以我想我应该没有再做的学计算机专业的
[01214.48-01215.92] 这么近对吧
[01215.92-01217.12] 但是我们在这里面
[01217.12-01218.08] 知道自长是想的
[01218.08-01221.04] 就我们就了解到计算机他采用
[01221.04-01222.02] 二菊之就可以了
[01222.18-01224.46] 所以在这里具体的资场的午度
[01224.46-01225.14] 对不是广泛
[01225.20-01225.92] 大家都知道
[01226.04-01226.98] 旗算基督的数度
[01226.98-01227.94] 就是把所有国家的技朵
[01227.94-01229.24] 都变成
[01229.24-01230.58] 零一零一零一零一零一零一零一零
[01230.60-01230.76] 对吧
[01230.78-01231.80] 这里面搭ить
[01231.96-01232.54] 要掌握低度点
[01232.70-01234.84] 旗算基 sub歌
[01234.84-01235.90] 是二菊之
[01235.90-01236.60] 苙侯庙
[01236.70-01237.42] 就是第一个
[01237.72-01238.72] 第二个就是
[01238.72-01239.42] 旗算基
[01239.44-01241.00] 要遇上防控
[01241.00-01241.54] 远行的时候
[01241.54-01242.64] 它会射到一个问题
[01243.04-01244.14] 叫做极杰
[01244.42-01245.50] 在这里的高赵一下
[01245.50-01246.48] 这个则 creepy
[01246.50-01246.88] 标注
[01247.14-01248.84] 他一定要是两线极的则irst议电
[01248.84-01250.84] 无论是三支一幅考试
[01250.84-01251.88] 军队文质考试
[01251.88-01253.16] 世界单位考试
[01253.16-01254.76] 他都考过自己
[01254.76-01256.52] 你说老师这么简单东西考吗
[01256.52-01256.96] 考
[01256.96-01259.32] 而且今年很多地区的三支一幅
[01259.32-01260.84] 和世界单位都考到了
[01260.84-01261.84] 这要考什么呢
[01261.84-01262.44] 大家注意一下
[01262.44-01263.84] 这个地方就考一个换酸
[01266.76-01268.12] 就考一个换酸
[01268.12-01268.84] 来看一下
[01268.84-01269.56] 首先第一个
[01269.56-01271.36] 他说一个字节等于什么呢
[01271.36-01272.20] 八个比特
[01272.20-01273.28] 八个比特
[01273.28-01274.88] 比特就是我们所说的什么
[01274.88-01275.92] 最基本的
[01275.92-01276.72] 单位了
[01276.72-01278.56] 所以一个字节等于八个比特
[01278.56-01281.60] 在这里面所说的
[01281.60-01283.00] 自结是一闭
[01283.00-01285.60] 这里面说一闭闭等于多少呢
[01285.60-01286.60] 2024闭
[01286.60-01289.08] 然后一照等于2024闭闭
[01289.08-01291.24] 然后一个记等于2024照
[01291.24-01293.08] 也就是在这里同们掌握住
[01293.08-01294.96] 除了我们所说的这个
[01294.96-01297.72] 笔课和自结之间是8
[01297.72-01299.48] 因为它说的是8的整数倍
[01299.48-01300.76] 其他的之间都是解
[01300.76-01303.96] 其他之间都是2024
[01303.96-01305.84] 所以在这里面大家注意下它的
[01305.84-01307.68] 幻酸比例就可以了
[01307.68-01309.68] 像这里面的一照和一记
[01309.68-01310.86] 咱们都不过说
[01310.86-01312.58] 你现在手机上了下一个图片
[01312.58-01313.76] 都得好几十照
[01313.76-01314.26] 对吧
[01314.26-01316.40] 而一记就是你这个流量用的
[01316.40-01318.04] 其上图片可能就一个记了
[01318.04-01320.34] 所以他们之间的幻算是124
[01320.34-01322.04] 这个地方就只考不幻算
[01322.04-01323.24] 没有考过其他的
[01323.24-01324.24] 所以大家注意一下
[01324.24-01325.98] 是第二个它的主要指标
[01325.98-01326.78] 叫做
[01326.78-01327.98] 自己
[01327.98-01328.38] 好
[01328.38-01329.68] 这是计算机
[01329.68-01331.42] 它的一个基本的指标
[01331.42-01332.62] 搭长出两个点
[01332.62-01334.28] 第一个就是二厘之
[01334.28-01336.28] 第二个就是幻算
[01336.28-01337.82] 好 那这是第二个
[01337.82-01339.56] 我们了解第二方面就是集团机
[01339.56-01341.20] 它的一个运行的基本情况
[01341.20-01342.92] 那了解了集团机运行
[01342.92-01343.84] 基本情况之后
[01343.84-01345.32] 我们再来看一下第三个问题
[01345.32-01347.36] 就是一说到电脑
[01347.36-01348.76] 咱们不要担心的一个问题
[01348.76-01351.20] 就是集团机并独的问题
[01351.20-01353.96] 所以大家电脑到那要不就是按着机身独办
[01353.96-01355.96] 要不就是3600安全位事
[01355.96-01358.56] 那你按这些内容的目的是什么呢
[01358.56-01360.30] 这是为了防止集团机
[01360.30-01361.10] 重病毒
[01361.10-01363.08] 集团机并独其实还挺可怕的 对吧
[01363.08-01365.32] 你看现在提到各种高的木马病毒
[01365.32-01367.92] 我之前在我以前是高中的时候
[01367.92-01368.80] 还出中的时候
[01368.80-01370.24] 那都是好多年前的事情了
[01370.24-01370.80] 对吧
[01370.80-01371.72] 我记得那时候
[01371.72-01373.08] 就是在网上说
[01373.08-01374.92] 什么经常会有那个
[01374.92-01376.16] 攻击电脑的
[01376.16-01377.08] 有那个病毒
[01377.08-01378.28] 特别的可怕
[01378.28-01379.24] 什么女鬼病毒
[01379.24-01380.12] 就类传的走
[01380.12-01381.04] 说那个病毒
[01381.04-01381.76] 只是半夜
[01381.76-01382.40] 然后你的电脑
[01382.40-01383.24] 如果没有关机的话
[01383.24-01384.88] 它突然它就蓝屏了
[01384.88-01386.16] 然后就在那个电脑
[01386.16-01388.28] 屏幕上就出现了可怕的那种
[01388.28-01389.36] 涂香什么的
[01389.36-01391.56] 那当时就给很多人都下坏了
[01391.56-01392.68] 但是一查是什么
[01392.68-01394.32] 是电脑病毒的攻击
[01394.32-01394.56] 对吧
[01394.56-01396.04] 所以那有时候就有了这种
[01396.24-01397.64] 就算你并赌的这个问题
[01397.88-01398.80] 所以我们现在呢
[01398.80-01401.76] 就是为了保证电脑拼育行定期会给
[01401.96-01403.72] 就算机箭行查杀对吧
[01403.72-01404.68] 那么来看一下
[01404.68-01405.92] 咱们从考试的层面
[01405.92-01407.36] 不成专一个层面来看一下
[01407.48-01408.64] 这个就算你并赌
[01408.64-01409.76] 他到底是怎么回事
[01409.96-01410.68] 船第一个点
[01410.68-01411.28] 第一句话
[01411.28-01412.16] 就是一个考点
[01412.16-01412.92] 同们注意一下
[01413.12-01415.92] 这段计算机并赌是一段计算机程序
[01415.92-01416.64] 把它话出来
[01416.64-01417.56] 就要这一句话
[01417.56-01419.84] 然后把这个程序给我圈出来
[01420.24-01422.48] 计算机并赌是一段应用程序
[01422.48-01425.48] 他说在其他程序上可以做繁直破壞起功能
[01425.48-01426.96] 然后令起招楼破壞
[01426.96-01428.64] 所以他是一段程序
[01428.64-01429.84] 有的题目
[01429.84-01432.84] 他在考的时候说以下关于计算机说法
[01432.84-01434.20] 争轻错误是
[01434.20-01436.36] 这个医律化当时就是一个选项
[01436.36-01438.04] 他当时给的选项说的是什么呢
[01438.04-01441.24] 说计算机并计是一款计算机软件
[01442.12-01442.92] 对吗
[01442.92-01443.92] 不对吧
[01443.92-01445.12] 软件是什么
[01445.12-01446.44] 软件是
[01446.92-01448.52] 我们刚才所说的系统软件
[01448.52-01449.40] 并走自那些
[01449.40-01450.64] 还有就是我们所说的什么
[01450.64-01453.00] PC端你下載人的那些應用程序
[01453.00-01456.44] 而G3G病毒不是這兩個當中的任何一個
[01456.44-01458.80] 它可能是被我們所說的其他的一些
[01458.80-01460.88] 比要熟練的G3G的人去給它怎麼樣
[01460.88-01462.04] 顯出來的這些
[01462.04-01462.48] 對吧
[01462.48-01464.24] 這個就做G3G病毒
[01464.24-01465.56] 所以G3G病毒大概住一下
[01465.56-01467.32] 即不是應用家也不是軟件
[01467.32-01469.72] 它就是G3G的一個程序
[01469.72-01470.72] 所以在這裡面
[01470.72-01472.52] 經常會考一個選項
[01474.00-01477.00] 一定要注意G3G也不是軟件
[01477.00-01478.28] 第一个我们都知道
[01478.28-01480.00] 它是一个程序
[01480.00-01481.00] 而这个程序
[01481.00-01482.80] 它就能够对你的电脑进破坏
[01482.80-01484.92] 那计算金病毒它到底是怎么来的呢
[01484.92-01485.76] 大家注意一下
[01485.76-01486.60] 是三个程序
[01486.60-01489.92] 而在进行游戏开发的水
[01489.92-01490.76] 不能说游戏开发
[01490.76-01492.04] 就是写了一个游戏之后
[01492.04-01493.32] 产生了我们所说的
[01493.32-01494.16] 这个计算金病毒
[01494.16-01496.72] 所以我们来看一下计算金病毒的产生
[01496.72-01498.64] 它说20世纪60年代
[01498.64-01500.04] 能说美国BIRSE也是
[01500.04-01501.12] 里三个年轻的程序
[01501.12-01502.72] 写了一个同化一下
[01502.72-01504.96] 做了词心大战的游戏
[01504.96-01505.96] 在游戏当中
[01505.96-01507.88] 附质自身来摆脱对方的控制
[01507.88-01509.60] 有点伤的一种影分身的感觉
[01509.60-01510.04] 对吧
[01510.04-01511.88] 所以在这里面就有了一个概念
[01511.88-01514.00] 就是可以自我负质和繁值
[01514.00-01514.92] 因为病毒的话
[01514.92-01516.88] 它其实可以做负质和繁值的
[01516.88-01519.52] 那这里面有系里面就是通过
[01519.52-01521.48] 类似于游戏当中的影分身
[01521.48-01522.60] 摆脱对方的控制
[01522.60-01525.32] 那自我负质和繁值这个概念有了
[01525.32-01527.32] 病毒的出行就出现了
[01527.32-01528.96] 所以在这里面大家要需要
[01528.96-01530.04] 在机算机病毒当中
[01530.04-01531.16] 掌握的第二期节
[01531.16-01533.80] 就是它来自于一款游戏
[01533.80-01534.76] 来自于款游戏
[01534.76-01536.04] 这是第二个点
[01536.04-01537.00] 第三个点
[01537.00-01538.16] 这在这里我们要知道
[01538.16-01539.36] 那其3G病毒
[01539.36-01541.40] 他既然能够对电脑进行破坏
[01541.40-01543.00] 但是我们也经常能看到
[01543.00-01544.64] 有的人电脑中病毒之后
[01544.64-01545.96] 就发现完了这个电脑
[01545.96-01546.80] 这汤祸了
[01546.80-01547.68] 几乎不能用了
[01547.68-01548.16] 对吧
[01548.16-01549.40] 开机也开不了
[01549.40-01550.36] 断电也断不了
[01550.36-01551.16] 打一打不开
[01551.16-01552.28] 然后也不运行
[01552.28-01554.48] 那还有一些就是查杀了一下
[01554.48-01555.20] 你会发现
[01555.20-01556.20] 他也可以正常有行
[01556.20-01558.08] 我们经常在电脑查杀者发现
[01558.08-01560.36] 的那个3600变成橙色或者红色
[01560.36-01561.60] 就因为是太有一定的风险
[01561.60-01563.48] 然后你点清脸点查杀
[01563.48-01564.48] 他都恢复正常了
[01564.48-01568.58] 对吧 所以在这里面其实就意味着所谓的这种计算机病毒
[01568.58-01571.66] 它有非常难搞的 但有一些相对来说怎么样
[01571.66-01573.12] 相对来说比较好搞的
[01573.12-01575.32] 它不会对你电脑造成菜达破坏的
[01575.32-01579.02] 所以通过这样的一个我们的理解日常生活的理解
[01579.02-01581.80] 我们就可以把计算机病毒进行分类
[01581.80-01583.68] 这里面的分类我们来看一下
[01583.68-01587.48] 计算机病毒分成两类 一种是两性病毒
[01587.48-01591.14] 两性病毒 两性病毒是好外 一听就是还行 对吧
[01591.14-01594.94] 所以一般只显示某些徒型或者是細膝图片
[01594.94-01596.62] 令計算機暫時無法工作
[01596.62-01598.70] 但不會破壞系統文件
[01598.70-01600.34] 還記得我剛才給大家講的
[01600.34-01602.14] 這是那個停可怕的
[01602.14-01603.82] 傳說中的叫什麼女鬼病毒
[01603.82-01604.74] 還是什麼的那個
[01604.74-01607.66] 那個就是它只是有那種圖片
[01607.66-01608.90] 和那種聲音
[01608.90-01610.30] 但是查查完了之後
[01610.30-01611.70] 你系統還是正常運行的
[01611.70-01613.22] 原本的文件都沒有丟
[01613.22-01615.34] 雖然它聽起來很可怕
[01615.34-01616.58] 對吧 像個變態一樣
[01616.58-01617.70] 但它屬於什麼
[01617.70-01618.74] 良性病毒
[01618.74-01619.82] 所以良性病毒
[01619.82-01620.84] 同能把握住一个
[01620.84-01622.90] 就是它不会破坏系统软件
[01622.90-01623.92] 所以才叫梁性
[01623.92-01625.58] 而还一种的照顾性病毒
[01625.58-01626.22] 个是啥
[01626.22-01626.98] 坏死了
[01626.98-01627.24] 对吧
[01627.24-01628.78] 所以这种就是很明显
[01628.78-01631.22] 让你的电脑整个都已经活不下来了
[01631.22-01633.64] 就是損坏系统当中的文件和数据
[01633.64-01634.66] 甚至直入了之后
[01634.66-01636.46] 你电脑可能自动消毁都可能的
[01636.46-01636.98] 对吧
[01636.98-01637.98] 这里面就是
[01637.98-01639.02] 计算机太有
[01639.02-01640.50] 梁性和握性之分
[01640.50-01642.60] 这个点的目前没有考察过
[01642.60-01644.90] 同学们只要有一个简单的概念
[01644.90-01646.44] 就可以了
[01646.44-01647.96] 整集算起了
[01647.96-01648.72] 分类
[01648.72-01649.84] 病毒的分类
[01649.84-01652.04] 病毒除了刚才的分类
[01652.04-01653.80] 除了了解它的来源之外
[01653.80-01654.96] 我们来看一下病毒
[01654.96-01655.96] 什么样的特性
[01655.96-01657.08] 就集算机病毒
[01657.08-01659.00] 这个集算机病毒的特点
[01659.00-01660.32] 需要同一们去掌握
[01660.32-01661.36] 同一庭
[01661.36-01662.52] 他就做病毒
[01662.52-01664.80] 那他就和生物学生的病毒有什么
[01664.80-01666.08] 一举同工职描
[01666.08-01667.32] 只会生物学生的病毒
[01667.32-01668.96] 针对的是人类
[01668.96-01670.48] 针对的是探机生物
[01670.48-01671.88] 针对的是有机生命体
[01671.88-01673.88] 而集算机病毒针对的是电脑
[01673.88-01675.28] 针对的是程序呗
[01675.28-01676.56] 所以他们两个呢
[01676.56-01677.84] 既然都叫做病毒
[01677.84-01679.64] 那他就有很大的相似之处
[01679.64-01680.40] 比如说第一个
[01680.40-01681.20] 那我们说了
[01681.20-01683.28] 生物借当中的病毒可以怎么样
[01683.28-01684.24] 会传播
[01684.24-01686.40] 那习专机病毒也就有什么象
[01686.40-01688.40] 也具有相打传播性
[01688.40-01689.60] 那第二个就是
[01689.60-01690.88] 我们之所以没训维
[01690.88-01692.68] 有事没事聊去查查一些电脑
[01692.68-01694.08] 就是因为这种病毒
[01694.08-01695.76] 他能放在明明晚上在电脑说
[01695.76-01696.80] 我要攻击你了
[01696.80-01698.32] 我是病毒你小心哦
[01698.32-01698.96] 他会这样嘛
[01698.96-01699.68] 他不会的
[01699.68-01701.76] 所以他和我们现实生活当中
[01701.76-01703.12] 生物学生的病毒一样
[01703.12-01704.08] 就有什么象
[01704.08-01705.96] 引并性和前腐性
[01705.96-01708.42] 你就是一下子看不太出来
[01708.42-01710.48] 所以在这里面就要引并行的前腐性
[01710.48-01712.72] 而前腐一段时间之后才能爆发出来
[01712.72-01713.04] 对吧
[01713.04-01714.32] 这是我们所说的
[01714.32-01715.00] 第一
[01715.00-01715.96] 三个特点
[01715.96-01718.16] 在往下就是他就感染性
[01718.16-01719.20] 就是你指入了
[01719.20-01721.40] 可能他给你指入到你的这个温檔里面
[01721.40-01724.00] 但是你拿这个U排一插到你的电脑上
[01724.00-01725.96] 可能就从的温檔转一到
[01725.96-01728.44] 你的赐盘里面转一到你的软家里面
[01728.44-01728.76] 对吧
[01728.76-01730.00] 这里面就交过什么
[01730.00-01730.92] 感染性
[01730.92-01732.84] 同时就一定的继生性
[01732.84-01734.62] 即算基病毒脫離電腦
[01734.62-01735.92] 它是不能存在的
[01735.92-01736.32] 對吧
[01736.32-01738.92] 所以就是像我們所說的生物病毒脫離素主
[01739.92-01740.76] 活不了
[01740.76-01741.88] 這是我們所說的
[01741.88-01743.08] 繼承性
[01743.08-01745.00] 當然它同時還具有叫做
[01745.00-01747.64] 可出發性和主動攻擊性
[01747.64-01748.76] 這攻擊主動性
[01748.76-01750.20] 這是你不是
[01750.20-01751.64] 我們所說的專門
[01751.64-01753.76] 想要去搞到
[01753.76-01755.32] 這個即算基病毒到你的電腦裡
[01755.32-01756.40] 但是它也會
[01756.40-01757.20] 直入電腦之後
[01757.20-01758.72] 主動對你的電腦發起攻擊
[01758.72-01759.00] 對吧
[01759.00-01761.24] 所以這個最叫做攻擊主動性
[01761.24-01762.32] 所以它的特點
[01762.32-01765.08] 同一下靠插过
[01765.08-01766.96] 所以在这里面就知道它的特点
[01766.96-01768.68] 标红的这些同一标注意
[01768.68-01769.88] 就把它类笔什么呢
[01769.88-01774.20] 就把它类笔生物学的病毒
[01775.20-01776.24] 你就会发现
[01776.24-01777.88] 一切是那么的合理
[01777.88-01780.80] 就是它这个名字是没有白气的
[01782.24-01784.76] 所以这是集算机病毒的特点
[01784.76-01785.96] 这是第三个
[01785.96-01787.40] 说了集算机病毒之外
[01787.40-01789.76] 我们再来看一下第三个点
[01789.76-01793.88] 就是我们所提到的在机算机当中经常会考察到的另外一个问题
[01793.88-01796.08] 就是它会考察一些快节件的应用
[01796.08-01798.60] 所以这个快节件的应用需要同一句掌握
[01798.60-01802.88] 这地方在考试的时候目前只在世界单位考试的时候考察过
[01802.88-01805.76] 三十一幅居的文质和国生考都没有考察过
[01805.76-01807.12] 而这考察的是什么呢
[01807.12-01808.56] 考的就是对应
[01808.56-01810.52] 考的就是对应非常简单
[01810.52-01813.32] 当时出的题就是一下关于快节件
[01813.32-01815.96] AVCD给你四个选项哪一个是正确的
[01815.96-01817.88] 那这这里面就要考察的是啊
[01817.88-01818.40] 对应
[01818.40-01819.88] 那针对于这种知识呢
[01819.88-01822.60] 同学们说老师我在客旁上当中可能是记住了
[01822.60-01824.68] 但是我客家就忘了那这说怎么办
[01824.68-01826.08] 我给同门提个介仰
[01826.08-01828.36] 像这种比较零散的知识店
[01828.36-01831.16] 而且像这里面比较这么细碎的
[01831.16-01833.32] 它几乎是没有什么逻辑
[01833.32-01836.32] 或者是我们所说的这种理解的成分在的
[01836.32-01839.00] 那你就把相应的这样的一类的知识店怎么样呢
[01839.00-01840.60] 令形整理出来
[01843.40-01844.44] 怎么令形整理呢
[01844.44-01845.76] 就可以在你的手边
[01845.76-01846.80] 早一张一四只
[01846.80-01849.20] 你就是手头优质的话就有一张四指
[01849.20-01850.44] 就可以把这个怎么样
[01850.44-01851.84] 给它腾到A4指上
[01851.84-01853.72] 这个A4指就专门用来记
[01853.72-01855.64] 某一个支点某一句话
[01855.64-01856.84] 这种零散的东西
[01856.84-01858.32] 你把这个记在A4指上
[01858.32-01860.16] 贴在墙上贴在床头边
[01860.16-01862.16] 贴在桌子上贴在哪儿都可以
[01862.16-01864.12] 你随时能够变你去看的
[01864.12-01865.00] 那这种情况之下
[01865.00-01866.60] 用零散的时间去记这种
[01866.60-01868.12] 这是点比较方便
[01868.12-01871.24] 就像我当时学习相的支持和内容的时候
[01871.24-01872.92] 我就是相对中不要零散的点
[01872.92-01875.04] 没有邏輯关系的东西浪透希望了
[01875.04-01876.76] 我就给它整理在一张指上
[01876.80-01878.68] 放在我入研可及的地方
[01878.68-01880.12] 比如说现在我把那些支点
[01880.12-01881.56] 提到了我家的墙上
[01881.56-01882.84] 我提到墙上之后
[01882.84-01883.96] 我早上起来喝水
[01883.96-01885.32] 我过去走不去看两眼
[01885.32-01885.76] 对吧
[01885.76-01887.64] 我做时间太长了
[01887.64-01888.76] 我拉身的时候
[01888.76-01889.88] 我再过去看两眼
[01889.88-01892.04] 然后我上个侧走回来出来的时候
[01892.04-01893.00] 我再看看两眼
[01893.00-01895.56] 重东西就不让它正里大块时间
[01895.56-01896.92] 就零反的时间去
[01896.92-01898.84] 那就可以把这个快见的使用
[01898.84-01900.76] 就同超在你的意思指上
[01900.76-01901.64] 然后你就可以在
[01901.64-01903.00] A4值还写一些
[01903.00-01903.88] 咱们比如说
[01903.88-01905.64] 被多分四个条的那种
[01905.64-01906.40] 对吧等等
[01906.40-01910.50] 就是越散的东西,就越用这种方式去计,效果就会越好
[01910.50-01914.58] 它照理大块的时间,它会存在一个编辑销、底杰的问题
[01914.58-01917.60] 所以在这,咱们要注意一下这个地方的学习方法
[01917.60-01920.34] 那了解了这一方怎么学,以及它怎么考
[01920.34-01923.04] 那接下来看一下,快接见到的哪些
[01923.04-01926.24] 我们比较常见的呢,其实就是负质占帝嘛
[01926.24-01929.76] 对吧,负质占帝加渐切,那这个是我们比较常见的
[01929.76-01935.40] 那负质就是我们所说的加飞,占帝加飞,渐切,加X
[01935.40-01938.48] 全選 肯丑A代表是澳嘛
[01938.48-01939.44] 所有對不對
[01939.44-01940.78] 那還有就是撤銷
[01940.78-01942.52] 這個可能我們不太注意
[01942.52-01943.98] 叫做肯丑家最
[01943.98-01945.82] 或者是保存日常的保存
[01945.82-01946.96] 就是肯丑家
[01946.96-01947.88] S
[01947.88-01948.92] 就是肯丑家S
[01948.92-01949.72] 或者打印
[01949.72-01950.08] 打印呢
[01950.08-01951.02] 叫做Print
[01951.02-01952.04] 就是打印的這個意思
[01952.04-01953.40] 所以選擇家打印
[01953.40-01954.32] 就是打印
[01954.32-01955.40] 查找FF
[01955.40-01957.76] FF就是寻找的那個單紫
[01957.76-01958.60] 而熱啟動
[01958.60-01959.60] 這個不太常見
[01959.60-01960.44] 同一標準一下
[01960.44-01963.00] 就是家Auto家Delete
[01963.00-01963.80] 最幾個
[01963.80-01964.80] 我們不太常見
[01964.80-01967.40] 我们就记哪些就记不常见的反向机
[01967.40-01969.52] 因为像常见的就不用通超了
[01969.52-01971.48] 它愿记一遍还浪费你的时间
[01971.48-01973.76] 常见的咱们天天就用就了解了
[01973.76-01975.00] 所以在这里面
[01975.32-01977.92] 这一夜上三个不常见的大助理下
[01977.92-01979.56] 还有这幻能片的使用
[01979.56-01983.16] 幻能片的使用在去年和那三支衣服的时候还考误呢
[01983.16-01984.40] 在这里面我来看一下
[01984.40-01985.76] 幻能片的播放
[01985.76-01987.64] 幻能片的播放在这里面说
[01987.64-01988.96] 从最开始放映
[01988.96-01990.64] 这个时候就是F5
[01990.64-01992.24] 在这里同们注意一下
[01992.24-01995.32] 当前位置开放硬是要是夕服的家艾服
[01995.32-01997.52] 如果是关闭你的电脑
[01997.52-02000.28] 你这时候的话关闭电脑正在运行的窗口
[02000.28-02003.52] 那就是Auto加上F4或者很充价率W
[02003.52-02005.28] 因为电脑太有时候会卡
[02005.28-02006.56] 他一卡的话呢
[02006.56-02008.20] 这个电脑点那个差
[02008.20-02010.04] 咱们都知道那个夜面程序上
[02010.04-02011.20] 这个电话是为我差
[02011.20-02013.12] 然后这个电脑下面
[02013.12-02014.72] 然后会有这个程序的图标
[02014.72-02016.12] 比如点差波使
[02016.12-02018.04] 就电脑关上点这个图标
[02018.04-02018.92] 然后右机
[02018.92-02020.48] 然后他看一样给你谈出来一个
[02020.48-02020.84] 对吧
[02020.84-02021.76] 他看好几个
[02021.76-02022.94] 然后你点关闭
[02022.94-02023.92] 他也关闭不了
[02023.92-02025.18] 那这种情况下怎么办呢
[02025.18-02026.22] 你就可以用这个
[02026.22-02026.54] 就
[02026.54-02027.56] Auto这次
[02027.56-02028.30] 会看出家
[02028.30-02028.58] W
[02028.58-02029.80] 然后就给他关闭
[02029.80-02030.74] 正在运行的窗口
[02030.74-02031.72] 怕有时候就会谈出来
[02031.72-02033.68] 是否要结束用程序
[02033.68-02034.54] 你点确定
[02034.54-02035.68] 说就关掉了
[02035.68-02036.80] 所以在这里面
[02036.80-02037.72] 让我们去背了
[02037.72-02038.96] 其实是五个
[02038.96-02040.24] 这五个不太常见
[02040.24-02041.44] 但是他会考到的
[02042.24-02043.24] 大家要注意一下
[02043.44-02044.48] 这是我们所说的
[02044.48-02045.16] 叫做
[02045.16-02046.28] 计算机技术
[02046.28-02047.20] 就是了解了一下
[02047.20-02047.72] 电脑
[02047.72-02048.56] 它的基本情况
[02048.56-02050.28] 以及电脑的运行
[02050.28-02051.28] 这是第一个
[02051.28-02053.44] 我们所说的信息技术
[02053.44-02054.92] 除了和电脑瓜国之外
[02054.92-02056.12] 他和我们的什么管告
[02056.12-02058.16] 和日常生活当中的通信管告
[02058.16-02060.32] 所以我们再来看一下第二个大的内容
[02060.32-02062.32] 就是信息技术的第二个大类
[02062.32-02063.80] 叫做通信技术
[02063.80-02065.12] 通信技术第一个
[02065.12-02067.52] 就是要给大家提一下的光线
[02067.52-02070.24] 光线是啥光线就是玻璃
[02070.24-02070.72] 对吧
[02070.72-02072.76] 咱们都知道光线其实就是那个玻璃
[02072.76-02074.28] 大家都看过那个电脑
[02074.28-02075.12] 这个电脑
[02075.12-02077.92] 其实不能说传统影响数电那个电脑
[02077.92-02078.72] 不是就是那种
[02078.72-02080.72] 外面套里层皮的
[02080.72-02082.64] 里面是有各种干的
[02082.64-02084.08] 一三十个伯利的
[02084.08-02086.44] 它其实就是光线
[02086.44-02088.80] 我们用来光线可以用来传继续吸
[02088.80-02090.24] 所以就有了光线通信
[02090.24-02091.52] 光线通信当中
[02091.52-02093.04] 咱们来看一下这么几个点
[02093.04-02095.92] 首先第一个来看一下什么叫光线通信
[02095.92-02099.32] 光线通信就是利用光波主要是机光
[02099.32-02102.52] 在光岛线位当中传继续
[02102.52-02105.16] 我刚才所说的在皮子里面包的各种干的
[02105.16-02107.08] 玻璃茶里面传继续
[02107.08-02110.48] 所以光閒同性光閒同性就是利用什麼光
[02110.48-02112.34] 在這裡面同標準一下
[02112.34-02115.60] 就利用光波在光島先為當中同性
[02115.60-02118.02] 所以它的這個同性是利用光波
[02118.02-02119.68] 光波是一種什麼波
[02119.68-02121.38] 光波是一種電磁波
[02121.38-02123.60] 對吧咱們前面講光的時候給大家講過
[02123.60-02125.94] 所以在這裡大家注意一下第一個光閒同性
[02125.94-02127.68] 它是利用什麼來傳遞信息的
[02127.68-02131.32] 大家知道是利用光波或者是機光只是第一個
[02131.32-02133.52] 第二個光閒同性
[02133.52-02135.12] 它怎麼就實現同性了呢
[02135.12-02140.24] 就是我把信息加在这个光是会加在这个光波上或者光字上
[02140.24-02145.76] 它怎么就能够让这个信息达到或者送达我的手里呢
[02145.76-02149.48] 那这时候就要睡到第二点就是光线通信的原理
[02149.48-02152.12] 对吧 这时候把信息已经加在这个光上了
[02152.12-02153.56] 它怎么就传到这个手里了
