[00000.00-00004.10] 咱們把前面的前和漢之間的這個更疊的順序
[01132.96-01134.44] 他做到的这个一个
[01134.44-01135.44] 所以大家注意一下
[01135.44-01136.68] 那说到董中数这个人
[01136.68-01138.80] 大家其实并不陌生
[01138.80-01141.04] 在董中数身上其实有一些我们所说的
[01141.04-01142.28] 相能一些点顾
[01142.28-01144.00] 比如说董中数提出的
[01144.00-01145.16] 我们所说这个观念
[01145.16-01147.16] 三高五长三高呢
[01147.16-01148.16] 我们现在不太说了
[01148.16-01149.16] 但是五长
[01149.16-01150.16] 我们现在一直在用
[01150.16-01151.16] 所以在这里
[01151.16-01154.16] 需要同学们掌握的就是三高五长
[01154.16-01155.16] 分别说的
[01155.16-01156.16] 是什么
[01156.16-01157.16] 那这里呢
[01157.16-01159.16] 我们所说的这个三高
[01159.16-01160.16] 大家知道
[01160.16-01162.16] 三高的就是均为成高
[01164.16-01165.16] 第二个呢
[01165.16-01167.16] 就是我们所说的
[01167.16-01169.16] 富为主高
[01171.16-01172.16] 最后一个呢
[01172.16-01173.16] 就是我们所说的富
[01173.16-01174.16] 为七高
[01175.16-01178.16] 这个就是三刚
[01178.16-01180.48] 三刚却就确定了均成父子的
[01180.48-01181.20] 这样的一个地位
[01181.20-01181.52] 对吧
[01181.52-01182.40] 三刚
[01182.40-01183.68] 三刚在今天来看
[01183.68-01186.28] 其实就没有什么实际的意义
[01186.28-01188.32] 三刚我们现在就不太多体了
[01188.32-01189.52] 而武场指的是什么
[01189.52-01191.88] 武场指的是我们所说的人
[01191.88-01193.72] 意义
[01193.72-01194.72] 至
[01194.72-01196.48] 还有我们所说的信
[01196.48-01198.52] 这个是我们所说的武场
[01198.52-01199.88] 叫做人意理之信
[01199.88-01200.92] 叫人理之信
[01200.92-01201.92] 这是我们所说的
[01201.92-01202.60] 三刚武场
[01202.60-01203.24] 而武场
[01203.24-01204.68] 我们其实之前有考过
[01204.68-01205.92] 小达去掌握
[01205.92-01208.08] 那第二个的和董中是有关的一个点过
[01208.08-01210.92] 就三年不亏元或者叫做木不亏元
[01210.92-01212.92] 说得啥意思 董中说后雪
[01212.92-01215.72] 后雪之后就是天天买头雪天买头雪
[01215.72-01217.88] 啥都不看 叫了三年不亏元
[01217.88-01218.92] 会叫木不亏元
[01218.92-01220.92] 而同时董中书大家注意一下
[01220.92-01223.80] 他为了使我们所说的号务力这个权利
[01223.80-01226.92] 他的这个黄权有一个更为老靠的一个保障
[01226.92-01229.48] 于是他就提到了一个点叫做天人感应
[01229.48-01230.28] 天人感应
[01230.28-01233.16] 比如说黄地他其实是上天派下来的
[01233.16-01237.40] 皇帝做得好,上天会有警示,皇帝做得不好,上天也会有警示。
[01237.40-01241.92] 所以在这种情况,这就提到了类似于我们所说的,军权神秀。
[01243.36-01244.56] 军权神秀。
[01244.56-01247.28] 这种情况,这些更有水复理了。
[01247.28-01249.68] 对方,皇上就是我们所说的神的带人。
[01249.68-01252.72] 所以他就类似于我们所说的军权神秀。
[01252.72-01259.00] 这个就是我们所说的董中叔,他也写观念,以及和他有关的这样的一些点故。
[01259.00-01261.20] 那漢武帝接受董中書的意見
[01261.20-01263.36] 其實在思想文化上加強了
[01263.36-01264.26] 我們所說的
[01264.26-01265.80] 他的一個統治
[01265.80-01267.20] 加強一個他的統治
[01267.20-01268.44] 這是我們所說的
[01268.44-01270.08] 除了在思想文化之外
[01270.08-01271.54] 在整個漢朝的時候
[01271.54-01272.44] 在經濟上
[01272.44-01273.60] 其實也加強了
[01273.60-01274.48] 我們所說的
[01274.48-01276.52] 有關於中央的權利
[01276.52-01279.32] 其實在經濟上的主要是有這麼幾個措施
[01279.32-01280.24] 第一個就是
[01280.24-01281.72] 漢武帝的延體官營
[01281.72-01283.52] 這延體官營主要和所有官
[01283.52-01284.44] 主要和這個人叫做
[01284.44-01285.48] 三紅延有關
[01285.48-01286.76] 是一個非常有名的
[01286.76-01288.60] 這樣一個我們所說的大臣
[01288.60-01292.00] 但这个桑红扬后来就被我们所说的这个
[01293.80-01297.24] 获光就把他就被获光被弄死了
[01297.24-01298.32] 所以这是桑红扬
[01298.32-01300.20] 那第二个呢就需要同们掌握的
[01300.20-01302.80] 就是他在经济上也是同一的获必
[01302.80-01305.44] 但是这有时候同一的获必和我们所说的
[01305.44-01307.32] 情朝作同一的获必不一样
[01307.52-01310.12] 情朝作同一的获必咱们叫做情办量
[01310.12-01310.92] 半两钱
[01310.92-01312.40] 这里面是母租钱
[01312.40-01313.16] 母租钱
[01313.16-01314.80] 所以他和那个情办量很像
[01314.80-01317.62] 使我在这个也是外面一圈里面是方
[01317.62-01319.92] 只会在这上面有一些特殊的标记
[01319.92-01322.48] 所以在这里是我们所说的叫做五株钱
[01322.48-01323.24] 那我们株钱
[01323.24-01325.82] 这个就是我们所给到的整个
[01325.82-01328.88] 汉朝他在家墙子一统治上面的一个制度
[01328.88-01332.72] 那大部分的制度呢其实都是来自用所说的汉务地时期
[01332.72-01335.28] 第一个是在汉高组流暴的手军国变形
[01335.28-01338.10] 后来到了汉务地要加强中央的权利
[01338.10-01339.38] 与是搞了推荣
[01339.38-01343.60] 然后为了家墙特的统治在文化上搞了霸出百家读村如数
[01343.60-01347.08] 在经济上有加强的相同一广制
[01347.08-01348.82] 这个就是我们所说的
[01349.56-01352.76] 汉朝的制度前汉时期的制度大家知道
[01352.76-01356.40] 这是我们所说的整个前汉时期非常遭到的政治制度
[01356.40-01358.12] 这种制度核心其实就一个
[01358.12-01360.12] 第一个就是形成黄地的隆断
[01360.12-01361.32] 加强黄权
[01361.32-01363.08] 所以要不断的分析权
[01363.08-01366.96] 第二个就是我们所说的加强中央的权力
[01366.96-01369.40] 从而滚固它一个统治
[01369.40-01372.60] 这是前汉时期我们所说的政治制度
[01372.60-01376.42] 那前27的政治这个说完了之后我们还要继续来记忆部
[01376.42-01381.00] 那讲了政治我们就来看一下在前27整个社会经济的发展
[01381.00-01383.96] 他有哪些需要我们去注意的内容
[01383.96-01386.94] 那首先第一的就是我们所说的努力的发展
[01386.94-01389.00] 在恨武力时期大注意下
[01389.00-01392.68] 恨武力时期照顾推广能够创造了我们所说的
[01392.68-01395.64] 欧利一旦出现的生产效率
[01395.64-01397.80] 就相对来说提升了很多
[01397.80-01402.64] 而在东汉的时候就搞了我们所说的翻车翻车是一种灌盖工具
[01402.64-01404.12] 所以这是我们所说的农业
[01404.12-01406.76] 但是目前在农业这个地方可考兴的
[01407.52-01408.24] 比较弱
[01408.24-01409.96] 无论是卸单位考试
[01409.96-01411.52] 还是我们所说的国生考
[01411.52-01412.88] 考得都不是特别多
[01412.88-01414.72] 那这是第一个我们所说的农业
[01414.72-01415.56] 那第二个呢
[01415.56-01417.24] 就是我们所说的手工业
[01417.24-01419.24] 手工业是需要同一们去掌握的
[01419.24-01420.00] 实际上第一个呢
[01420.00-01421.60] 就是我们所说的司支业
[01421.60-01422.64] 我们都知道
[01422.64-01426.68] 张天出史西域开闭了我们所说的司仇之路
[01426.68-01429.96] 在这个思仇之路之上,我们就知道必须该有思仇,
[01429.96-01433.40] 这种手思之也在西汉,其实有了一个很大的发展。
[01433.64-01439.08] 我们来看一下,在西汉的时候思之品,它已经使用我们所说的体花机了,
[01439.08-01444.32] 这种情况之下,染色程度很高,之后来的思仇也非常非常的精美的。
[01444.32-01452.04] 所以在这里,在西汉手思之也的发展,大家注意一下,第一个就是使用体花机来之间,或者是思仇。
[01452.04-01461.56] 第二,我们当时的访知中心有两个,一个是我们所说的山东的林资,一个是我们所说的经施长安
[01462.28-01466.76] 这两个地方是我们当时给到的两个比较大的访知中心
[01466.76-01473.28] 所以张先生处理习与自己什么时候从哪定方开始走的,张先生处理习与是从我们所说的长安处发的
[01473.28-01477.96] 所以这是我们所说的官员司之业,司之业,只是第一个
[01477.96-01480.78] 除了思练之外第二个就是造职业
[01480.78-01482.44] 造职业大家注意一下
[01482.44-01486.54] 它其实是容易和我们所说的四大发明
[01487.80-01489.46] 结合再一块了考察的
[01489.46-01491.02] 四大发明结合再一起
[01491.02-01493.32] 在这里我们要知道首先第一个
[01493.32-01494.68] 我们所说的指张
[01494.68-01496.06] 它出现的时间
[01496.06-01497.58] 其实最早发现的指
[01497.58-01500.96] 是在干诉天水的马上对面出现的
[01500.96-01503.56] 所以最早出现的指示在西汉
[01503.56-01505.10] 但西汉出现的是马指
[01505.10-01507.34] 中止它沒有辦法用來寫字
[01507.34-01509.62] 所以但是已經有了指的原形
[01509.62-01513.26] 而我們真正能夠用來書寫的指示在東漢的時候
[01513.26-01515.74] 蔡倫他改進了造指數
[01515.74-01518.30] 所以才有了可以書寫的指
[01518.30-01520.58] 這個蔡倫他是個換官
[01520.58-01520.86] 對吧
[01520.86-01523.74] 但是因為在做出當中做出很多的貢獻
[01523.74-01525.50] 所以他發明了這個指
[01525.50-01527.74] 也被稱為叫做菜喉指
[01529.42-01530.78] 就叫做菜喉指
[01530.78-01531.86] 所以在這個時候
[01531.86-01533.58] 是我們所說的關照之夜的
[01533.58-01535.38] 他的整体发展
[01535.38-01536.70] 而这个我们所说的
[01536.70-01539.06] 造质他其实是四大发明当中的一个
[01539.06-01541.78] 在四大发明分别是我们所说的造质说
[01541.78-01545.58] 印刷数火药以及我们所说的指南针
[01545.58-01547.06] 而造质也大家知道
[01547.06-01550.58] 指南这个发明其实是极大的促进了文化的传播的
[01550.58-01552.02] 所以我们的造质说
[01552.78-01556.38] 路的图兼我们的私仇之路通过泥波儿
[01557.18-01558.78] 也传到了世界各地
[01558.78-01560.78] 所以这是我们所说的造质也
[01560.78-01561.58] 造质也
[01561.58-01569.90] 除了造职業之外,我們還有青銅手工在前汗時期發展的特別好的
[01569.90-01573.82] 這時候整個前汗時期,所以住民是啥呢?
[01573.82-01579.10] 最住民,我們所說的,叫做馬他飛驗,我們現在叫做銅奔馬
[01581.34-01585.58] 現在叫做銅奔馬,就是這樣的一個清銅的照片
[01585.58-01590.18] 这同门马首先第一个大家知道是我们所说的在东海时机出土的文物
[01590.18-01592.18] 它这个同门马的造型
[01592.18-01594.58] 其实就是我们所说的看起来就是一个马
[01594.58-01595.58] 因为跑得很快
[01595.58-01596.78] 所以下面也为验子
[01596.78-01599.18] 然后就是要马他飞验了这样一个情况
[01599.18-01600.78] 他现在就叫做同门马
[01600.78-01605.18] 他其实是中国丢户史上代表了东海时机的最高的一部成就
[01605.18-01607.18] 我们来看一下这个同门马长什么样子
[01607.18-01608.98] 你看一下是会非常的精美
[01608.98-01610.18] 你看他的造型
[01610.18-01612.38] 每个这个体子他跑的状态
[01612.38-01615.38] 以后下面这个地方就是他怕的验子
[01615.38-01618.62] 说把码奔跑的这个姿态就跑出来了
[01618.62-01618.94] 对吧
[01618.94-01622.22] 所以他整体的记忆还是非常非常高超的
[01623.02-01625.62] 但是前段时间在网上出现了一个端子
[01625.86-01626.98] 我说块钱没有注意到
[01626.98-01628.18] 但是我看到的时候
[01628.38-01631.14] 我笑得用现在的话真的说笑鼠了
[01631.42-01632.74] 当时那个端子说的是什么
[01632.74-01634.34] 说我们看到的这种统奔马
[01634.34-01635.90] 或者马他飞烟的造型
[01636.14-01637.78] 大部分都是側面的
[01637.78-01638.82] 说的那为什么
[01638.82-01639.86] 没有给他
[01639.86-01642.18] 有人没有给他拍这个正面造
[01642.18-01644.14] 然后结果就是人在网上挖了一下
[01644.14-01647.14] 这个童文马的正面照结果正面找什么样子
[01647.14-01650.14] 这是它的正面的造型
[01650.14-01653.14] 看起来不是特别聪明的样子
[01653.14-01656.14] 它本来奔跑的那种美在这种情况之下
[01656.14-01658.14] 一下就变成了一种感觉像脑干缺失的美
[01658.14-01660.14] 但是无论从哪个角度来看
[01660.14-01663.14] 咱们不能不承认的就是它的这个记忆
[01663.14-01664.14] 是非常地高潮的
[01664.14-01666.14] 它把这个马的形态
[01666.14-01667.14] 应该甚至在这个童速上
[01667.14-01671.14] 把它这个马中形态全部都展现出来
[01671.14-01672.14] 所以在这种情况
[01672.14-01676.34] 这下我们说了他代表的是东海时期的最高一数成就
[01676.34-01680.86] 就是我们所说的 蓬奔这是我们在手工业上的成就
[01682.14-01684.38] 除了在手工业上有成就之外呢
[01684.38-01687.78] 最后一个呢就是我们所说的 水利工成了啊
[01687.78-01690.62] 水利工成呢其实是立场利盖都比较重视的
[01690.62-01695.98] 一方面呢 他关护到我们所说的所在地区和流复进的老百姓生活
[01695.98-01699.22] 另一方面呢 他也关护到我们所说的农业生产
[01699.22-01702.46] 所以水利一直是立陶利在表重视的一个情况
[01702.46-01705.02] 到了前汉时期只是也不厉害
[01705.02-01707.62] 在整个前汉时期主要修建的
[01707.62-01710.62] 我们所说的水利工程一个是灵取
[01710.62-01713.50] 还有一个就是正国取的兰和办
[01713.50-01715.78] 我们主要掌握的是灵取
[01715.78-01717.26] 灵取在修建的时候
[01717.26-01720.58] 请朝修建灵取的时候主要的原因是什么呢
[01720.58-01721.50] 因为当时
[01721.50-01723.62] 前场他想要统一灵难
[01723.62-01724.78] 但统一灵难
[01724.78-01728.06] 它要给这些同一碗叫形军
[01728.06-01730.50] 形军的话就要由我们所说的相应的不几
[01730.50-01733.30] 但是你在走水上通报的时候
[01733.30-01736.42] 当时要有两条讲一条是理箱
[01736.42-01738.10] 一条是我们所说的相交
[01738.10-01738.90] 他们两个呢
[01738.90-01740.10] 其实没有办法通的
[01740.10-01741.42] 他俩如果不通的话
[01741.42-01742.70] 你想要给我们所说的
[01742.70-01744.06] 将的那一头的视频去
[01744.06-01746.38] 梳送相的两是不几样
[01746.38-01747.58] 是送过去吧
[01747.58-01748.86] 所以在这种情况之下
[01748.86-01750.94] 就修建了我们所说的明曲
[01750.94-01752.42] 所以我们来看一下明曲
[01752.42-01755.76] 但是零群是世界上最古老的運和之一
[01755.76-01757.54] 它溝通的長江這樣血系
[01757.54-01760.62] 連接了兩個我們所說的江的源頭
[01760.62-01762.02] 一個大標準一下
[01762.02-01763.30] 雙所說的相交
[01764.42-01766.18] 還有一個就是李江
[01766.18-01768.06] 它打通了南北史上通道
[01768.06-01771.46] 然後給我們所說的這些兵源骨不解
[01771.46-01773.62] 最終在這種情況之下統一了
[01773.62-01774.38] 零南
[01774.38-01776.42] 小同們掌握的就是第一個
[01776.42-01778.02] 它連接了哪兩個
[01778.02-01779.86] 第二個它起到的做法是什麼
[01779.86-01781.06] 其實就是我們所說的
[01781.06-01782.46] 在军事上的不击
[01782.46-01784.40] 我们来看一下这个头
[01784.40-01785.82] 在这个图里面
[01785.82-01786.82] 在这个头里面
[01786.82-01787.86] 嘴都喬了
[01787.86-01788.86] 在这个头里面
[01788.86-01790.02] 在这个图里面
[01790.02-01791.06] 咱们来看一下
[01791.06-01792.58] 其实我们所说的
[01792.58-01793.54] 这个零曲
[01793.54-01794.74] 它其实分两段
[01794.74-01795.98] 一段是南曲
[01795.98-01797.26] 一段是北曲
[01797.26-01800.34] 这个地方是我们所说的李江
[01800.34-01801.54] 还有一个地方
[01801.54-01802.66] 是我们所说的
[01802.66-01803.54] 香酱
[01803.54-01805.26] 香酱的其实是这边这条
[01806.78-01808.42] 香酱的其实我们所说的
[01808.42-01809.26] 这边这条
[01809.26-01809.58] 这条
[01809.58-01810.98] 这说我们所说的相疆
[01810.98-01814.14] 而我们在整个月术过了那段这两条核
[01814.14-01816.90] 它其实是没有之间是没有任何的关联道
[01816.90-01820.18] 所以你想要从这边往这边
[01820.18-01821.42] 往这边运动去不方便
[01821.42-01823.50] 所以它就把这两条区点通起来了
[01823.50-01825.86] 首先先修进了一个南区
[01825.86-01827.62] 把这两个地方联接起来了
[01827.62-01829.86] 然后又修了一个北区
[01829.86-01833.62] 然后把我们所说的这个姜之间这个地方取职了
[01833.62-01835.90] 所以在这里就是南北打通了
[01835.90-01838.58] 这种情况下就变于运送不及
[01838.58-01840.90] 所以在这里面凌取就淡生了
[01840.90-01841.82] 凌取就淡生了
[01841.82-01844.10] 所以需要我们掌握就是凌取联机了什么
[01844.10-01844.94] 然后第二个呢
[01844.94-01846.98] 他打通了南北起到了什么作用
[01846.98-01851.06] 而且第三个大家知道凌取是什么小代修件的
[01851.06-01852.14] 大家一定要明确
[01852.14-01854.22] 凌取是我们所说的清朝修件的
[01854.22-01855.74] 那这个呢就是我们所说的
[01855.74-01856.70] 前海十七
[01857.58-01859.78] 所以给到的经济社会的发展
[01860.06-01862.26] 好 那讲完了他整体的成就之后
[01862.26-01865.06] 咱们来看一下我们所说的一道题目
[01865.06-01869.96] 通常領南地區正好各兩草的共幾青王下列開通了領區
[01869.96-01872.10] 他說假如請過走水路
[01872.10-01874.42] 譽說一批兩是治領南
[01874.42-01875.96] 但是不能走的路先生是什麼
[01875.96-01876.96] 咱們剛剛說了
[01876.96-01878.66] 一個是相當一個是李江
[01878.66-01880.16] 他們兩個之間是不能走的
[01880.16-01882.16] 中間沒有最打通的領區
[01882.16-01885.26] 到這兒我們所說的整體上
[01885.26-01887.06] 我們整個前汗時期
[01887.06-01889.56] 他的一個主要的成就和主要的制度
[01889.56-01890.76] 就給大家說完了
