[00000.00-00004.08] 我們接著來往下看來看一下怎樣建設收主義問題
[01159.88-01163.08] 不過就是推動生產烈發展的一個工具和手段而已
[01163.08-01164.68] 所以它最終落到還是要什麼?
[01165.28-01167.08] 還是要解放發展生產烈
[01167.08-01169.48] 所以第一個有利於要留於利於生產烈的發展
[01169.48-01171.28] 第二個有利於要有利於什麼
[01171.28-01173.08] 要留於有利於綜合國力
[01173.08-01175.68] 比如說你的軍事實裂文化軟實裂
[01175.68-01178.68] 然後你的基礎設施能力見到能力強不強
[01178.68-01181.28] 在第二個就是我們所說的綜合國力
[01181.28-01182.28] 第三一個點
[01182.28-01183.88] 就是我們要給大家去講的
[01183.88-01185.42] 红官上的大国际
[01185.42-01188.04] 国家一切政策的出发点和垄交点
[01188.04-01189.06] 都是为了谁
[01189.06-01189.68] 人民
[01189.68-01191.12] 你的改革好不好
[01191.12-01193.04] 不是说上面怎么说
[01193.04-01194.64] 也不是说数据怎么说
[01194.64-01196.24] 而是人民怎么看
[01196.24-01198.44] 老百姓有没有在这个改革当中
[01198.44-01199.88] 得到好处和实处
[01199.88-01201.28] 如果得到好处和实处
[01201.28-01202.64] 那么这个改革就是正确了
[01202.64-01204.28] 他就是能让老百姓过上好日子
[01204.28-01206.40] 那这个改革没有问题
[01206.40-01208.04] 所以第三个要留律什么
[01208.04-01209.68] 提高人民的生活水平
[01209.68-01211.00] 所以我们所说了
[01211.00-01212.24] 改革开放的标准
[01212.24-01213.52] 不要去给他几样换
[01213.52-01215.40] 也不要去给他指标化和数量化
[01215.40-01216.28] 而是要看什么
[01216.28-01217.24] 而是要看他们呢
[01217.24-01218.36] 达到这三项要求
[01218.36-01219.66] 叫做利
[01219.66-01220.16] 利
[01220.16-01220.68] 人
[01220.68-01222.16] 叫做生产利
[01222.16-01222.88] 综合国力
[01222.88-01224.56] 以及人民生活水平
[01224.56-01227.56] 这个是我们所说的第二改革的标准
[01227.56-01229.60] 那么了解了改革开放的标准之后
[01229.60-01231.04] 我们来看一下第三个问题
[01231.04-01232.24] 就是我们所说的改革
[01232.24-01233.60] 它的一个进程
[01233.60-01235.60] 大家都知道改革可不是那么容易的
[01235.60-01237.24] 不是我们像现在看来的说
[01237.24-01237.84] 说
[01237.84-01239.56] 实际改革开放咱们就去改
[01239.56-01240.48] 就大多扩扶的改革
[01240.48-01241.48] 可不是那么容易的
[01241.48-01242.56] 所以开始改革的时候
[01242.56-01245.78] 大家还是很紧圣和保守的
[01245.78-01247.42] 所以到了平同志才说了
[01247.42-01250.12] 说我们要进行改革开放
[01250.12-01252.40] 胆子要大不足要稳
[01252.40-01254.26] 但是问题就是在改革开放之处
[01254.26-01255.30] 胆子要大这个事
[01255.30-01256.44] 大家都不敢为什么
[01256.44-01258.10] 因为思想还是交化
[01258.10-01260.30] 所以你看为什么我前面反不取说
[01260.30-01262.30] 我后面一系列的政策推行
[01262.30-01263.80] 他都必须有一个大的限定
[01263.80-01264.60] 就是要什么
[01264.60-01267.54] 解放思想正脱两个反射的束复
[01267.54-01270.34] 所以才能把一系列的政策推下去
[01270.34-01274.06] 所以在最开始的时候改革的经常可不是像我们所想的这么胜利
[01274.06-01276.34] 其实当时有很多的农村
[01276.34-01277.94] 它的日子过得真的很苦
[01277.94-01280.38] 当时就有一个非常典型的就是什么
[01280.38-01282.06] 就是安徽风扬小感村
[01282.06-01283.14] 所以当时大家都知道
[01283.14-01284.66] 那个农村就真的过得很苦
[01284.66-01286.90] 那个村子里最后都没圣计口人了
[01286.90-01287.70] 然后呢
[01288.26-01291.50] 这个村子当中有很多的这个人想要去谋生
[01291.50-01292.86] 然后看没有其他的办法
[01292.86-01294.74] 然后又不让他们
[01294.74-01297.14] 就是自己去搞一些复业什么的
[01297.14-01298.94] 所以有很多的年轻人
[01298.94-01300.86] 他就从村子托托跑出去了
[01300.86-01303.94] 从村子托托出之后村子本来
[01303.94-01305.74] 他就两世就没有多少
[01305.74-01307.70] 他这个重地他也不能说
[01307.70-01308.78] 收货很多的两世
[01308.78-01311.34] 在家上人口勞动力的这个流石这个村子
[01311.34-01314.06] 其实想要存货下去就真的太难了
[01314.06-01316.46] 后来村子里面他的村干部
[01316.46-01318.14] 他们就做了一件事
[01318.14-01318.94] 什么事呢
[01318.94-01321.02] 当时他们就说他说要不咱们就这样
[01321.02-01325.30] 说咱们就托托的把这些地
[01325.30-01327.74] 包给老百姓上他们去做
[01327.74-01328.90] 不要讓他們去重的
[01328.90-01331.08] 就是說不要再去搞這種公射
[01331.08-01332.42] 大家一塊重的這種情況
[01332.42-01333.64] 如果是搞這種的話
[01333.64-01336.06] 這個時候大家生產進行的都不搞
[01336.06-01338.38] 你所領用解出來的東西都不是你
[01338.38-01339.82] 那真是根本就共下去
[01339.82-01342.54] 後來當時村裡面就五個人還是幾個人
[01342.54-01344.62] 他們的這個村案就密謀了這個事
[01344.62-01346.18] 然後密謀商量好這個事之後
[01346.18-01348.14] 他們當時就簽了一個生死狀
[01348.14-01349.38] 就類似於這樣的東西
[01349.38-01351.06] 大概上面的內容就寫了
[01351.06-01352.90] 就是如果這件事情敗弄了之後
[01352.90-01355.50] 然後誰被發現誰被查了
[01355.50-01357.90] 然后咱们就可真的一个人好就完事了
[01357.90-01359.98] 然后就说就是他就是他主猛的
[01359.98-01361.10] 跟违一点关系都没有
[01361.10-01362.30] 就是谁被发现了
[01362.30-01363.66] 我们就可真的那个人好
[01363.66-01364.26] 然后呢
[01364.26-01366.14] 这个人如果说最后招到
[01366.14-01369.10] 吐份或者是遇到必要严重的这种结果的话
[01369.10-01371.34] 他的家人有村子里面其他人来样
[01371.34-01373.02] 然后他们在那里面秘谋开会之后
[01373.02-01374.34] 牵了这个生存之后
[01374.34-01375.98] 大家都在那个
[01376.30-01378.22] 一张白指上黑字嘛写的
[01378.22-01380.14] 然后他们按上了五个学首页
[01380.14-01381.02] 然后这五个学首页
[01381.02-01382.66] 阿拉拉了之后他们就
[01382.66-01384.70] 和村里的老百姓一块
[01384.70-01386.70] 就把这个地牢全都给包给它了
[01386.70-01387.90] 原本都是故意公社
[01387.90-01389.22] 所以有规寸机体所有
[01389.22-01390.34] 那个时候还有公社
[01390.34-01391.06] 后来没有公社
[01391.06-01393.02] 就是规寸的会所有大家一块做
[01393.02-01394.70] 然后后来把这个地包出去之后
[01394.70-01396.02] 老百姓事案的新新的高了
[01396.02-01396.78] 有多高呢
[01396.78-01397.62] 因为大家都知道
[01397.62-01398.98] 第十个自己的
[01398.98-01400.06] 那如果第十自己的
[01400.06-01401.14] 我中的又多
[01401.14-01402.26] 那我赚的就又多
[01402.26-01405.50] 那当时我只要把一些交给公社的这些
[01405.50-01406.70] 姑娘都交上去
[01406.70-01407.98] 那余良都是自己的
[01407.98-01409.86] 这个时候安慰放小检村的生产力
[01409.86-01411.02] 创的一台就上来
[01411.02-01412.82] 并且在全国要有点些
[01412.82-01414.42] 这个事情很快就被说
[01414.42-01415.62] 被谁知道了呢
[01416.38-01417.42] 就被中央知道了
[01417.42-01418.70] 中央的好意就是说
[01418.70-01419.98] 这个村子不错
[01419.98-01421.26] 他们怎么能搞得这么快
[01421.26-01422.42] 然后我们去考察一下
[01422.42-01424.58] 然后把这个经验怎么样推广到
[01424.58-01425.22] 全中午吧
[01425.22-01426.50] 都是都给的推广下去
[01426.50-01427.66] 当时去到的是谁呢
[01427.66-01428.62] 是万里同志
[01428.62-01429.58] 然后万里同志来到
[01429.58-01430.58] 然后放了小广村的时候
[01430.58-01431.30] 来了解情况
[01431.30-01432.70] 当时可以他们都下坏了
[01432.70-01433.30] 把了
[01433.62-01434.58] 这下这个事
[01434.58-01435.86] 他之间就是统出去了
[01435.86-01437.38] 然后当时这个万里同志说
[01437.38-01439.18] 你们是怎么去把这个
[01439.18-01440.22] 进程搞得这么好的
[01440.22-01441.30] 在分享一下经验
[01441.30-01443.70] 就是当时中央其实是想把推往出去
[01443.70-01445.30] 但是大家不知道都害怕
[01445.30-01446.94] 然后当时就说没完
[01446.94-01448.86] 就是在党和国家的政却带领之下
[01448.86-01450.62] 我们就是提高了这个社交领
[01450.62-01451.98] 当外里红政一梯
[01451.98-01452.82] 就知道这啥意思
[01452.82-01453.82] 他说你们放心
[01453.82-01456.54] 说我们这一次改革的决心是非常监虑的
[01456.54-01459.10] 我们是想把这个经验全都给它怎么样
[01459.10-01460.58] 推挂到全国当时去
[01460.58-01461.74] 后来他们就说
[01461.74-01462.70] 说是这样的
[01462.70-01464.38] 然后就从头到尾把这个事情
[01464.38-01465.66] 去给这个外里红制说了
[01465.66-01469.14] 然后后来就从农村开始陆续些进行推荐什么
[01469.14-01469.66] 改过
[01469.66-01471.20] 所以你看在1910年之后
[01471.20-01474.58] 最开始发展比较好的其实是在农村
[01474.58-01477.02] 而是到了后面国家要搞工业化进程的时候
[01477.02-01477.76] 我们才说了
[01477.76-01482.70] 我们把原本投资在农村上的这些生产力和这些更多的政策
[01482.70-01483.94] 像城市清鲜
[01483.94-01485.66] 然后结果一向城市清鲜之后
[01485.66-01490.04] 浩加火城市发展的所有的这些大部分的生产资料理
[01490.04-01492.46] 还有最开始的资金之所以好多来自于农村
[01492.46-01494.30] 城市把农村给浩托了
[01494.30-01497.18] 结果城湘两击分化就严重了
[01497.18-01500.76] 所以後面的時候我們說了成相要整體協調發展
[01500.76-01504.36] 叫成是反部農村工業反部農業
[01504.36-01505.38] 什麼叫反部
[01505.38-01506.78] 不遇這個詞用的特別秒
[01506.78-01509.22] 這是農業讓工業發展造大
[01509.22-01511.38] 然後回頭的工業要反部農業
[01511.38-01513.50] 但是工業反部農業的過程
[01513.50-01515.02] 它其實就遇到了一些問題
[01515.02-01516.94] 所以我們說了那單處的反部
[01516.94-01517.78] 帶不動農村
[01517.78-01519.70] 所以現在提到成相議題化發展
[01519.70-01521.26] 你看它其實都是聯動的
[01521.26-01522.54] 所以安徽放小廣村
[01522.54-01524.78] 它是中國改革開放進程的開始
[01524.78-01531.40] 但现在去安徽和匪的话,在安徽的那个博物馆里面,你还能看到他的五个学手印的那个书
[01532.12-01539.12] 然后当时安徽放了小网村,然后他的一系列的就是当时那些东西生产的一些工具都在那个博物馆里其实是有的
[01539.36-01549.62] 我当时去看的时候拍过照片,后来的时候我听说说那个照片,就是那个学手印的生死状,就是引号的生存,他们那个东西是后显的
[01549.62-01555.08] 当时说什么,他们知道有人来检查,就把正庙消毁了,后来又重新写了一个。
[01555.08-01562.78] 但是无论怎么样,我为能看到,自安徽放强的从开始,我们开始入属继续进行各种各样的改革,一推用生产力的发展。
[01562.78-01567.12] 所以在这里改革开放的进程,大家注意一下是改革,是于农村。
[01567.62-01569.26] 所以农村的哪个村呢?
[01569.26-01572.18] 我刚才所说的,安徽放阳小杠村。
[01573.58-01577.58] 安徽放阳,小杠村。
[01577.58-01581.14] 这个点大家知道这是10亿红村
[01581.14-01583.06] 什么时候推到了城市呢?
[01583.06-01583.94] 大家注意一下
[01583.94-01585.66] 就是推进到城市
[01587.66-01590.70] 是在党的132戒
[01590.70-01591.94] 三中全会的时候
[01591.94-01593.50] 12戒三中
[01594.26-01595.50] 这个点大家要知道
[01595.50-01596.54] 但是经常考的
[01596.54-01598.30] 其实它从哪地方开始
[01598.30-01599.54] 就是11亿红村
[01599.54-01601.94] 这个就是我们所说的改革
[01601.94-01603.62] 所以改革大家注意一下
[01603.62-01604.90] 我们就讲了3个点
[01604.90-01606.10] 第一個改革的性質
[01606.10-01607.30] 第二個改革的標準
[01607.30-01608.86] 第二個是改革的精臭
[01608.86-01610.86] 那就是改革開放理論當中的第一個
[01610.86-01611.98] 就說改革
[01611.98-01614.26] 那對內改革對外就是什麼開放
[01614.26-01616.42] 所以對外開放是
[01616.42-01618.34] 重測理論也是我過一項的
[01618.34-01619.22] 基本國策
[01619.22-01620.14] 那對外開放
[01620.14-01621.98] 它其實現在在考試的時候
[01621.98-01624.46] 更多的時候實渣熱點相結合
[01624.46-01626.54] 咱們來看一下這個開放的精臭
[01626.54-01628.06] 這個開放整體的精臭
[01628.06-01629.26] 不需要大家去掌握
[01629.26-01630.94] 你大概知道一下就OK了
[01630.94-01632.82] 我們都知道是1980年
[01632.82-01635.12] 是事情对外开放的政策
[01635.12-01637.94] 这个对外开放当时开放的是四个地方
[01637.94-01641.02] 就是身件猪海、散头和项目
[01641.02-01642.02] 对吧是四个地方
[01642.02-01643.12] 他这个时候还是什么
[01643.12-01644.62] 对外开放的肆点
[01644.62-01648.02] 就是对外开放或者是改革开放他的这个进程
[01648.02-01649.02] 暴的好不好
[01649.02-01650.52] 能够带来什么样的影响
[01650.52-01652.12] 那个时候其实我们也不知道
[01652.12-01654.52] 所以我们说了叫摸着时候过河
[01654.52-01656.02] 先肆点后退过
[01656.02-01657.72] 所以那个时候我们说那些肆点
[01657.72-01660.92] 早那些就是和港澳比较近的这些地区
[01660.92-01662.32] 就是身件猪海、散头
[01662.32-01663.16] 还有下面
[01663.16-01666.80] 因为当时的香港作为我们所说的这种境外
[01666.80-01668.32] 因为大陆以外都叫境外嘛
[01668.32-01670.96] 所以当时的香港经济发展还比较不错
[01670.96-01672.40] 它有很大的这样的一个诉求
[01672.40-01674.80] 那么不如就把广东对外门户
[01674.80-01676.16] 这样的一个窗口打开
[01676.16-01680.04] 把我们所说的中国香港的这一系列的投资眼睛来看一下
[01680.04-01681.64] 它能不能带动经济的增长
[01681.64-01684.72] 所以在这里面最开始我们就开放了深圳珠海
[01684.72-01685.68] 善头和香港
[01685.68-01687.96] 结果发现效果非常好
[01687.96-01689.80] 这些地区很快就怎么样
[01689.80-01690.48] 呼类起来了
[01690.48-01694.58] 那从点我们说了那就进入往前推就到了什么就到线
[01694.58-01699.96] 所以到了1984年的时候我们就开放了14个港口开放城市
[01699.96-01703.02] 这个14个港开放城市不需要大家去背啊
[01703.02-01706.08] 什么听到啊大联严台上还不需要
[01706.08-01708.66] 这个就是你知道是东部延害城市就行了
[01708.66-01711.22] 他其实就是形成了这一条线
[01711.22-01712.50] 形成这一条线之后呢
[01712.50-01715.68] 我们会发现他只是带东了东部地区的这种经济发展
[01715.68-01718.82] 我们能不能说让对越开放的进程再扩大一点
[01718.82-01722.34] 所以我们说了,叫从点到现,在到那,在到灭
[01722.34-01726.38] 那如果从点到现,到灭的建设,那这个时候就要推动什么
[01726.38-01729.26] 就要推动形成特区,或经济发展区了
[01729.26-01733.74] 所以你看在一种八八年的时候,我们在海南岛改成海南省的时候
[01733.74-01735.02] 开始形成了什么?
[01735.02-01737.02] 五大,经济,特区
[01737.02-01740.42] 然后又开始去搞相应的普通兴趣,相应的什么?
[01740.42-01741.22] 资贸去
[01741.22-01744.86] 也就是在这个形成当中,中国对越开放的部分越来越大
[01744.86-01747.02] 最終到了20世紀90年代的時候
[01747.02-01748.26] 形成了全方位
[01748.26-01751.06] 寬領域多層次的對外開放格局
[01751.06-01753.74] 但是這個是在什麼時候1990年左右
[01753.74-01755.22] 現在已經2023年了
[01755.22-01757.10] 我們說了在1990年左右
[01757.10-01759.54] 到2023年中國這30多年時間
[01759.54-01761.94] 對外開放並沒有怎麼樣停止
[01761.94-01763.74] 所以現在對外開放的步伐
[01763.74-01764.74] 依舊很大
[01764.74-01766.42] 我們搞一代一路建設
[01766.42-01768.66] 我們搞人類命運共同體的建設
[01768.66-01769.94] 我們去簽署
[01769.94-01772.78] RCEP帶動整個周邊國家的這樣一些發展
[01772.78-01775.50] 中国对外开放的大门怎么样 越来越大
[01775.50-01779.70] 所以中国对外开放的格局的深度和广度 也越来越广
[01779.70-01781.74] 这个地方每一个一个知识点做什么呢
[01781.74-01786.82] 就是以前对外开放的格局是全方内 欢领越多层次
[01786.82-01788.38] 这个地方我们要看一下
[01788.38-01791.14] 现在中国对外开放的格局是什么样
[01791.14-01795.54] 现在中国的对外开放格局 标注在旁边 就是更大范围
[01798.54-01801.58] 更大范围 还有更欢领域
[01802.78-01806.62] 还有什么 更深重次
[01806.62-01813.28] 这个点 目前还就靠行 因为它是现在实正上
[01813.28-01816.34] 一就比较热的一个点 所以可以把它标准在旁边
[01816.34-01817.62] 叫更大范围
[01817.62-01821.72] 我们服务的范围怎么样 更广泛 一前就全方位
[01821.72-01824.54] 宽领 宽领 宽领多层次 宽领域
[01824.54-01829.66] 以前在我们所说的对开放过程当中 可能只是針对于一些国家
[01829.66-01832.66] 我现在我们说了不单单时针对个国家上
[01832.66-01835.30] 我可能还是服务于更大放连内的什么
[01835.30-01836.46] 经济发展区
[01836.46-01837.34] 按照有时候对结亚
[01837.34-01838.70] 他也对结欧盟等等
[01838.70-01840.78] 更大放连更宽领域
[01840.78-01843.66] 领域宽就代表以前可能只是简单的
[01843.66-01846.14] 产品和商品的服务和贸易
[01846.14-01848.02] 那你简单的卖商品卖服务
[01848.02-01849.62] 你看我们所说的卖卖子
[01849.62-01850.06] 对吧
[01850.06-01851.74] 我们卖什么其他的一些
[01851.74-01853.62] 中国却不业稿的还不错
[01853.62-01853.90] 对吧
[01853.90-01855.86] 大家有没有看电视剧
[01855.86-01858.46] 那个电影叫莫斯科行动
[01858.46-01861.66] 最近有山黄宣他们验的
[01861.66-01864.02] 讲的还有什么张韩语
[01864.02-01865.70] 应该是那个静汉
[01865.70-01866.82] 然后演的那个电影
[01866.82-01868.78] 那个电影当中其实说的就是什么
[01868.78-01869.70] 那个时候说了
[01869.70-01872.54] 我们去网俄罗斯去受卖的
[01872.54-01874.18] 莫斯科网受卖的一些东西
[01874.18-01875.98] 就是我们有的什么烟、酒
[01875.98-01876.78] 这些东西
[01876.78-01878.02] 俄罗斯做工业发展很好
[01878.02-01879.70] 但轻松也很厉害
[01879.70-01882.18] 但中国这些东西就很搞得还不错
[01882.18-01883.90] 所以这一开始我们就对外出口
[01883.90-01886.06] 挖子、称商等等的这些东西
[01886.06-01887.34] 所以那个时候你会发现
[01887.34-01890.82] 你的領域 今天只限於產品和服務
[01890.82-01892.46] 現在不單單有產品和服務
[01892.46-01894.70] 我們還可以對外開放輸出什麼
[01894.70-01896.30] 輸出中國的制度
[01896.30-01900.58] 不知道大家要沒有聽過中國要怎麼樣制度行開放
[01904.26-01905.70] 我們可以對外輸出制度
[01905.70-01907.22] 制度就是我們所說的
[01907.22-01908.30] 遊戲規則
[01908.30-01910.02] 你看像這種遊戲規則當中
[01910.02-01911.58] 一帶一路規則我們制定的
[01911.58-01913.22] 而是一批規則我們制定的
[01913.22-01915.18] 那你看這個時候中國什麼
[01915.18-01920.10] 从原本只是一个参与者到了现在在对外开放国势当有了更多的化宇权
[01920.10-01922.66] 中国在国际上的影响力在不断的变大
[01922.66-01925.42] 而这个国际影响力好大一盘起对吧
[01925.42-01929.90] 中国所的这些练都是为了实现中国全面现在化的转型
[01929.90-01932.94] 所以在这里面你看我们现在提到的是什么
[01932.94-01933.86] 制度型开放
[01933.86-01937.26] 其实它就是更寬领域的体现
[01937.26-01938.46] 更寬领域的体现
[01938.46-01939.74] 这是我们所说的
[01939.74-01941.46] 包括我们所提到的科技
[01941.46-01943.34] 最后一个就是更深层次
[01943.34-01945.38] 原本可能只是简单的
[01945.38-01946.38] 经济上的交流
[01946.38-01948.82] 现在可不可以达到文化上制度上
[01948.82-01950.46] 还我们说其他的一些开放
[01950.46-01951.18] 可以
[01951.18-01953.58] 所以在这里现在的对外开放格局
[01953.58-01954.34] 大家知道
[01954.34-01955.18] 是更大范围
[01955.18-01957.42] 更快点遇合更深层次了
[01957.42-01959.66] 这就是我们所说的改革开放离论
[01959.66-01960.50] 所以到这
[01960.50-01961.42] 我们就说了
[01961.42-01962.22] 改革开放
[01962.22-01963.74] 就给大家说完了
[01963.74-01964.46] 后面的话
[01964.46-01965.62] 就是记不开放
[01965.62-01966.26] 就是我说了
[01966.26-01967.54] 从点到先到面
[01967.54-01968.74] 我们从自由报区
[01968.74-01969.30] 到自由报区
[01969.30-01970.10] 一搞
[01970.10-01971.30] 所以这个点节的了解
[01971.30-01973.50] 我们再改革开放进程当中
[01973.50-01975.30] 把现在的开放格局
[01975.30-01977.74] 和之前的开放格局有一个明确的区分
[01977.74-01978.50] 9OK了
[01978.50-01980.06] 那这是我们所说的什么
[01980.06-01981.30] 对外开放
[01981.30-01982.14] 就改个开放
[01982.14-01983.02] 到这时候OK了
[01983.02-01983.34] 好
[01983.34-01985.94] 我们就在怎样建设收主义当中
[01985.94-01987.94] 讲完了收主义初级阶段
[01987.94-01989.38] 任情中国的时记
[01989.38-01990.58] 然后在这个时记之下
[01990.58-01991.82] 坚持基本路线
[01991.82-01993.38] 然后在基本路线当中
[01993.38-01995.82] 我们提到一个中心两个基本点
[01995.82-01997.66] 一个中心已经建设为中心
[01997.66-01998.86] 如何发展好
[01998.86-02000.14] 实行对内改革
[02000.14-02000.98] 对外开放
[02000.98-02004.82] 对那改革改革的性质 中国的第二次革命改革的标准
[02004.82-02008.66] 三个有利于利利人 改革的进程 从农村开始
[02008.66-02011.98] 而开放是对外的 对外开放现在的格局
[02011.98-02014.82] 更大范围 更患留意更深 层次
[02014.82-02016.34] 这是改革开放的理论
[02016.34-02020.02] 但是我们说了社会主义 他的生产力的发展
[02020.02-02022.74] 不单单要改革提供动力 也要有什么
[02022.74-02026.02] 也要有新的市场经济形势
[02026.02-02028.26] 所以在这里面 我没有提高了另外一个点
[02028.26-02032.62] 就是在到片旅温时期提到了社会主义市场经济理论
[02032.62-02037.62] 这个社会主义市场经济理论的话其实就是让我们能够正确的去认识
[02037.62-02041.58] 计划和市场这两种资源配置手段
[02041.58-02043.98] 它其实本身只是手段和工具
[02043.98-02047.26] 我们在经济知识模块收给大家讲过
[02047.26-02049.98] 对吧 极画和市场没有谁好谁会
[02049.98-02051.86] 各有什么优缺点
[02051.86-02054.34] 所以在这个时候我们就要并去原的
[02054.34-02057.26] 我们在国家介设的时候所提到的说什么
[02057.26-02059.50] 说社会主义他就只能
[02059.50-02061.46] 是计划经济
[02061.46-02063.62] 而自分主义他就只能是市场经济
[02063.62-02065.90] 他们这种是这样的话分吗
[02065.90-02066.70] 不是的吧
[02066.70-02069.06] 因为我们会发现你看俄罗斯
[02069.06-02070.90] 不能说俄罗斯前苏联
[02070.90-02072.54] 前苏联他其实是什么
[02072.54-02073.74] 是受助于国交
[02073.74-02076.62] 但是列领的新经济政策股立事长发展
[02076.62-02079.46] 也就是在受助于国家当中有市场
[02079.46-02080.82] 但是你看还有
[02080.82-02082.74] 自分主义国家当中有没有计划
[02082.74-02083.82] 有没有政府规划
[02083.82-02085.78] 也有比如说罗斯福新政
[02085.78-02090.38] 以公带政 罗斯福新政 罗斯福同志下的美国政府是资本主义社会
[02090.38-02095.18] 那资本主义社会也进行了我们所说的政府的红官条控也有计划
[02095.18-02098.58] 所以当时到平理论到平同志就说说什么
[02098.58-02104.18] 说我们不能过去把我们所说的社会制度和经济形势化等候
[02104.18-02108.38] 你管他那对吧 他白猫黑猫抓到老鼠就是好猫
[02108.38-02113.38] 所以从那个时候开始到平提出了社会主义市场经济理论
[02113.38-02114.78] 而这时候只是理论
[02114.78-02116.58] 而他变成体制
[02116.58-02118.78] 那是到了14大江的命同志实现
[02118.78-02120.06] 那个我们后面会再讲
[02120.06-02121.58] 所以到平在社会主义上
[02121.58-02122.78] 经济领当说的什么
[02122.78-02124.58] 说计划和市场
[02125.38-02127.38] 不是划分社会制度的属性
[02127.38-02130.58] 不能说计划经济他就等于社会主义社会
[02130.58-02133.18] 也不能说市场经济他就等于这么主义社会
[02133.18-02136.98] 所以他说了他不是划分社会制度的标志
[02136.98-02139.78] 那他既然不是划分社会制度标志他只是什么
[02139.78-02143.18] 他只是一个资源配置的方式和手段
[02143.18-02145.68] 所以你看各有優勢
[02145.68-02147.14] 我们在经济当中
[02147.14-02148.44] 其实有给大家去讲过
[02148.44-02148.94] 对吧
[02148.94-02151.44] 都是经济配置的手段
[02151.44-02152.46] 本身怎么样
[02152.46-02154.82] 不具备制度属性
[02154.82-02155.42] 对吧
[02155.42-02156.38] 所以在这里面
[02156.38-02157.06] 他就提到了
[02157.06-02158.88] 他们既然各自有流氏
[02158.88-02161.78] 我们核不去把他们的優勢做一个集合
[02161.78-02162.98] 所以在这里面才有了
[02162.98-02164.58] 我们所说的这三句话
[02164.58-02166.18] 这三句话在考试当中
[02166.18-02169.30] 大家知道他不会考得特别的负责
[02169.30-02171.62] 所以在这里面大家只需要把这三句话
[02171.62-02174.94] 能够理解他的意思,能够大概记录了这三句话就行了
[02174.94-02176.74] 他考试的时候无非就只是考
[02176.74-02181.30] 所以有关于计划和市场关于他说法正确和错误的事,他只只会这么考
[02181.30-02185.18] 所以这次到平理论最后一个市场经济理论的全部内容
[02185.18-02188.14] 那到这,我们就把整个到平理论全都说完了
[02188.14-02190.62] 给大家讲的到平理论比较细
[02190.62-02195.78] 就是因为他在去考试当中,他可能还会涉及到一部分到平理论的考察
[02195.78-02199.26] 可能是我们所说,大法为的同考不会考得特别多
[02199.26-02201.26] 但是像地區單招的誓單位考試
[02201.46-02202.84] 到片裡輪一就是一個什麼
[02203.04-02203.94] 考試的一個重點
[02204.12-02205.32] 所以在這給大家講的
[02205.66-02206.42] 詳細類先
[02206.68-02208.48] 那我們把到片裡輪講了之後
[02208.48-02209.90] 咱們來簡單的回歸一下
[02209.90-02212.06] 我們在到片裡輪當中講了三個問題
[02212.32-02213.80] 第一個是它的形成
[02213.98-02216.10] 它的形成分成出布輪廓
[02216.10-02217.44] 成熟和繼續
[02217.70-02220.26] 它每一個階段都對應相的會議
[02220.50-02223.06] 那第二階段我們又在這裡提到它的會議的內容
[02223.32-02225.38] 那會議就會對應相應的內容
[02225.38-02227.42] 所以我們說來合格考察會議和內容的
[02227.42-02231.22] 所以在这里实际上,我们就会开始提到了3个点
[02231.22-02234.02] 12大的时候提出了中国特色社会主义
[02234.02-02237.62] 13大的时候明确撤回主义触一段和基本路线
[02237.62-02244.02] 到了南方谈话的时候,走向成熟,到了15大的时候,到平理论这个概念就有了
[02244.02-02246.22] 然后写入党章却里面党的照思想
[02246.22-02252.42] 到平理论他解决的一个现实问题就是什么社会主义
[02252.42-02253.82] 咱借收主義的問題
[02253.82-02257.62] 所以他是沒讓社會主義也展開的
[02257.62-02260.50] 那想要解決什麼是社會主義
[02260.50-02261.62] 怎能借收主義
[02261.62-02263.02] 那他第一個問題就要幹嘛
[02263.02-02264.62] 就是要解放人們的思想
[02264.62-02266.18] 於是他提出了解放思想
[02266.18-02268.02] 實施求世的路線
[02268.02-02269.22] 那解放思想之後
[02269.22-02270.82] 第二步就是告訴大家
[02270.82-02272.82] 什麼是社會主義
[02272.82-02274.26] 什麼是社會主義在
[02274.26-02276.02] 社會主義本身理論當中
[02276.02-02277.42] 做了一個全面的灰打
[02277.42-02279.22] 叫做解放生產力
[02279.22-02280.22] 發展生產力
[02280.22-02281.22] 最終實現什麼
[02281.22-02282.22] 共同富裕
[02282.22-02284.96] 你说我们又从共同富裕也顺从来了很多点
[02284.96-02286.82] 那怎样建设社会主义呢
[02286.82-02290.02] 在这里就给到了我们所说的怎样建设的问题
[02290.02-02292.06] 在怎样建设社会主义当中的第一点
[02292.06-02294.50] 就是我们必须认清中国的实际
[02294.50-02295.78] 叫社会主义出击阶段
[02295.78-02298.86] 因为所有政策都要给让中国的实际情况展开
[02298.86-02300.50] 于说我们讲了他的提出
[02300.50-02301.58] 讲了他的时间
[02301.58-02302.58] 讲了他的内涵
[02302.58-02303.70] 以及讲了他的地位
[02303.70-02305.22] 有了社会主义出一一段
[02305.22-02306.66] 我们要走好
[02306.66-02308.50] 能够保持这个出击阶段
[02308.50-02310.74] 我们就要走好党的基本路线
[02310.74-02313.82] 黨的基本路線是在13大的時候提出來的
[02313.82-02316.78] 蓋過起來就是一個中心兩個基本點
[02316.78-02318.34] 所以這個點大家注意一下
