[00000.00-00003.02] 居然我们就进入到变认法的学习当中来了
[01207.00-01209.96] 刚要走出这个公司的面是现场的时候
[01209.96-01211.68] 这一场突然想起一件事情
[01211.68-01213.80] 然后就说你稍等一下
[01213.80-01216.20] 还有一个问题要跟你合实一下
[01216.20-01218.12] 当时的面是说你有什么问题
[01218.12-01219.52] 他说想问一下
[01219.52-01221.08] 你是属什么的呀
[01221.08-01222.24] 然后他这个人就说
[01222.24-01223.40] 什么叫属什么的
[01223.40-01224.92] 说你的生销是什么
[01224.92-01227.24] 这人说我的生销我是属虎的
[01227.24-01229.56] 当时那一场面路难色
[01229.56-01231.44] 然后就说你属虎的
[01231.44-01232.88] 这很难平
[01232.88-01234.60] 然后这个面是很散散了
[01234.60-01235.44] 他说是这样的
[01235.44-01237.92] 我们公司无散不能招属虎的人
[01237.92-01239.36] 然后那个人就说为什么
[01239.36-01240.48] 在他刚才聊那么开心
[01240.48-01241.60] 为什么因为我属虎
[01241.60-01242.80] 就不能招握了
[01242.80-01244.76] 那一场就说说因为我老板
[01244.76-01246.16] 属机也你属虎
[01246.16-01247.60] 和他的生销相痛
[01247.60-01248.96] 这办公司客黄了
[01248.96-01251.72] 所以就以这个为由最终不与路取
[01251.72-01253.26] 然后当时给到这个理问
[01253.26-01255.00] 那他体现了什么样的哲学严理
[01255.88-01256.52] 很联系
[01256.70-01258.44] 为为了联系的课关性
[01258.44-01259.92] 只是不能用你想像的
[01260.16-01261.18] 但这些课关真是到
[01261.18-01263.24] 数之间到底会不会产生影响
[01263.50-01264.78] 会产生什么样的影响
[01264.78-01267.34] 是由这个数字深的特性所决定的
[01267.34-01269.38] 而不由你的想像所决定的
[01269.64-01270.46] 那这是第一个点
[01270.66-01272.70] 大家注意一下考虑解释的体目
[01273.22-01275.66] 那第二个就是联系的课关性
[01275.66-01278.34] 它其实是极于联系的所表现形式的
[01278.34-01279.38] 你说老师有点抽象
[01279.62-01281.16] 同时在旁边写上一幻
[01281.16-01284.24] 叫做自在數的聯繫
[01285.24-01287.76] 叫做自在數的聯繫
[01288.76-01293.04] 和人類數的聯繫
[01295.04-01297.68] 和人類數的聯繫
[01298.24-01299.80] 均具有可關性
[01299.80-01300.80] 把它寫的旁邊
[01300.80-01304.40] 自在數的聯繫和人類數的聯繫
[01306.56-01308.56] 都有可關性
[01308.56-01313.56] 这里面出现了联系的两种表现形式
[01313.56-01315.56] 第一种就叫做自在书的联系
[01315.56-01317.56] 什么叫自在书的联系呢
[01317.56-01318.56] 就是在人类产城之前
[01318.56-01320.56] 这种联系就有了
[01320.56-01321.56] 比如说在人类戴上之前
[01321.56-01324.56] 太阳已经在地球上东声吸落了
[01324.56-01325.56] 比如在人类戴声之前
[01325.56-01327.56] 万有眼力已经使得苹果
[01327.56-01329.56] 像下落水枪地处留了
[01329.56-01331.56] 那这是在人类产城之前
[01331.56-01333.56] 就已经产城的就影响
[01333.56-01334.56] 叫自在书的联系
[01334.56-01338.76] 还有一种是原产生之后15之间会产生相的影响
[01338.76-01340.92] 这种叫人为书的联系
[01340.92-01344.48] 比如说我们传统意义上我们会认为说这个水道
[01344.48-01348.88] 它其实就只生长在什么当中只生长在淡水当中
[01348.88-01352.24] 但是我们会发现后来原动品老先生就搞出了
[01352.24-01356.96] 海水到河沿自到改变水到生长的条件
[01356.96-01362.00] 接着使得水到河海水和沿面地产生的一些联系
[01362.00-01365.34] 对吧,那这个是有人为改造因素在里面的
[01365.34-01368.62] 我们把这种称度给叫做人为书的联系
[01368.62-01370.34] 那人为书的联系当中呢
[01370.34-01372.12] 就有人说,说人为书的联系
[01372.12-01373.78] 因为是有人发挥作用
[01373.78-01376.14] 所以人为书的联系具有主观性
[01376.14-01378.56] 他就在选项当中把这句话写出来了
[01378.56-01380.44] 说人为书的联系就有主观性
[01381.60-01382.60] 正说法对不对
[01382.60-01384.20] 这说法很明显是错的
[01384.20-01387.12] 人为书得联系,你把德前面拿掉
[01387.12-01389.52] 他还是联系联系就有什么像
[01389.52-01390.46] 客观性
[01390.46-01391.86] 而不能具有主观性
[01391.86-01394.46] 那你說老神那種人化的這種標槍的來的
[01394.46-01398.90] 其實是在試我產生影響的條件上發生的改變
[01398.90-01400.06] 所以這是第二個點
[01400.06-01404.06] 大家注意經常會出現一個判斷體或者是判斷選項
[01404.06-01405.14] 這是第二個
[01405.14-01406.66] 那第三個點是什麼呢
[01406.66-01407.30] 我們說了
[01407.30-01409.38] 事務之間所產生的影響
[01409.38-01410.66] 它是具有客觀的
[01410.66-01413.86] 這種是根據事務自身特性所來的
[01413.86-01414.82] 所以這種影響
[01414.82-01417.66] 它是沒有辦法按照你的想法去改變的
[01417.66-01419.50] 影事務的特性不能改變
[01419.50-01423.46] 但事务產生作用的條件是可以改變的
[01423.46-01425.08] 所以一旦條件發生變化
[01425.08-01427.64] 人們就可以建立新的具體的聯繫了
[01427.64-01428.60] 所以第三句話
[01428.60-01432.56] 同時寫的旁邊叫根據事务
[01435.00-01436.14] 顧有的聯繫
[01438.48-01443.38] 根據事务顧有的聯繫建立新的具體的聯繫
[01443.38-01450.82] 根據15顧有的聯繫 建立新的具體聯繫
[01450.82-01453.58] 這句話也特別容易出在選項當中
[01453.58-01456.78] 它就是一個選項 它沒有辦法單獨設體
[01456.78-01459.70] 在這裡你來看一下根據15 選項這句話
[01459.70-01461.38] 你把顧有的聯繫畫出來
[01461.38-01466.02] 也就是根據15 原有資深的特性去改變條件
[01466.02-01467.54] 建立新的具體聯繫
[01467.54-01470.38] 能不能根據人的想法不可以
[01470.38-01472.50] 所以它經常會把這個選項變成什麼呢
[01472.50-01473.66] 变成这样的一句话
[01474.82-01476.34] 把根据苏顾有的联系
[01476.46-01477.86] 在旁边给他标注一下
[01477.86-01479.86] 他经常会写上叫做按照
[01479.86-01482.46] 或者叫跟据人的意愿
[01485.50-01487.70] 或者叫做根据人的需要
[01487.70-01491.14] 通常人的预言人的需要是客观的还是主观的
[01491.82-01495.42] 人的意愿人的需要他是主观的
[01495.62-01498.50] 我们只能根据社会所顾有的联系
[01498.50-01500.18] 根据社会的特性来
[01500.18-01501.78] 不能按照人的需要来
[01501.78-01503.92] 如果按照人的需要你想打击就打击
[01503.92-01505.36] 你就用信用到什么
[01505.36-01506.70] 微信主席当中了
[01506.70-01509.96] 所以在这里经常会在这出一个混小
[01509.96-01513.18] 叫做根据人的需要根据人的运往
[01513.18-01515.66] 根据人的意愿去建立新的具体的联系
[01515.66-01516.10] 不行
[01516.10-01517.88] 微卑的联系的客观性
[01517.88-01521.08] 所以在这里大家一定要注意
[01521.08-01525.14] 这是我们所说的有关于联系的客观性
[01525.14-01526.60] 那讲完联系的客观性
[01526.60-01530.24] 其实我们就把两星期的支点全部给大家去讲完了
[01530.24-01532.84] 但是呢我们还有一个疑流问题啊没有解决
[01532.84-01533.56] 什么问题呢
[01533.56-01534.84] 就是我们在前面说了
[01534.84-01537.04] 它一共是有四个特性
[01537.04-01539.64] 两星期的考点是客观性和普遍性
[01539.64-01542.04] 还有一个就叫做条件性
[01542.04-01543.84] 条件性强的是什么呢
[01543.84-01546.64] 就是事务之间产生的影响
[01546.64-01550.44] 它作用发生的条件其实是可以改变的
[01550.44-01553.64] 在这里面同学们就只需要掌握一句话就行了
[01553.64-01556.44] 就是条件不一样影响不一样
[01556.44-01557.24] 两句话啊
[01557.24-01559.24] 小两句话就是条件不一样
[01560.78-01563.16] 条件不头影响不同
[01566.48-01569.20] 比如说我们经常听到一句话叫《举生怀》呢
[01569.20-01570.04] 《则为局》
[01570.04-01571.36] 《生于怀》被则为制
[01571.36-01574.24] 那为什么有《举生怀》呢和《怀》被这样的一个说法呢
[01574.24-01576.60] 那就是因为条件不一样
[01576.60-01579.16] 外部怀件条件不同了长出来东西不一样
[01579.16-01581.00] 那他能不能体现条件不同
[01581.00-01581.80] 却是可以的
[01581.80-01583.80] 所以条件不头影响不同
[01583.80-01586.16] 既然我们知道条件可以改变
[01586.16-01587.44] 我们就可以怎么样
[01587.44-01590.44] 把不利条件改为有利条件
[01592.44-01594.80] 把不利条件改为有利条件
[01595.44-01599.04] 这种情况之下就可以出现书的发展了
[01599.04-01600.04] 所以我们经常说了
[01600.04-01602.52] 叫一切一时间地点条件为转移
[01602.52-01603.84] 具体问题具体分析
[01603.84-01605.16] 所以你知道在这里
[01605.16-01607.60] 可以把不利条件改为有利条件
[01607.60-01609.40] 它有时候会出现在选项里面
[01609.40-01610.32] 你看到这句话
[01610.32-01611.32] 你不要觉得它是错的
[01611.32-01612.60] 不要觉得摸生就行了
[01612.60-01616.36] 但整體條件的可好性就沒有普遍性和客觀性
[01616.36-01617.96] 客好性了這麼強了
[01617.96-01620.76] 這是我們所說的聯繫的客觀性
[01620.76-01622.60] 聯繫的客觀性
[01622.60-01625.04] 我們講完了聯繫的特徵之後
[01625.04-01626.68] 我們還要回味到最後一個點上
[01626.68-01627.96] 就是我們前面說了
[01627.96-01629.44] 聯繫除了有色的特徵之外
[01629.44-01630.60] 我們還要看一下
[01630.60-01631.80] 在事務的聯繫當中
[01631.80-01633.48] 沒有比較典型的表現
[01633.48-01636.88] 這個就叫做整體和部分之間的聯繫
[01636.88-01638.48] 我們來看一下第三個點
[01638.48-01641.00] 叫整體和部分之間的變成關係
[01641.00-01645.90] 到事務的聯繫要求我們要正確認識和處理整體的部分之間的關係
[01645.90-01649.36] 那什麼是整體呢?整體就是系統
[01649.36-01652.28] 大家注意一下在這裡它有時候也會出現另外一個概念
[01652.28-01656.90] 整體的部分之間的關係也叫做系統和要素之間的關係
[01657.90-01661.90] 整體就是系統它是針對於某一個素來說的
[01661.90-01666.86] 而要素就是部分它是這個素的內在組成
[01666.86-01669.22] 那整体和部分之间有什么关系呢
[01669.22-01670.82] 你共有三句话
[01670.82-01672.94] 这三句话当中两星期的点
[01672.94-01673.90] 是在地三句
[01673.90-01675.02] 我们来看一下
[01675.02-01678.06] 他说整体居于主导地位
[01678.06-01679.62] 这句话同样注意下
[01679.62-01682.78] 对一个数来说整体它是体大头的
[01682.78-01684.10] 我们经常说到一句话
[01684.10-01686.74] 叫做没有国就没有家
[01686.74-01688.62] 那国是一个整体概念
[01688.62-01690.30] 加是一个小的单位
[01690.30-01690.58] 对吧
[01690.58-01691.82] 没有国就没有家
[01691.82-01694.10] 一个国家如果在主权上不能独立
[01694.10-01695.94] 他不能保证人民的生活
[01695.94-01697.14] 是孙峰生水的
[01697.14-01699.26] 不能保证人们的生活是要幸福的
[01699.26-01699.66] 为啥
[01699.66-01701.50] 因为整体决定不粉
[01701.50-01703.70] 所以说尝说叫整体居约
[01703.70-01704.70] 主导地位
[01704.70-01706.10] 后面说统帅的部分
[01706.10-01708.74] 叫做整体居有部分所不具备的
[01709.62-01710.66] 新功能
[01710.66-01711.90] 这个就要做整体
[01711.90-01713.18] 你比如说在这里面
[01713.18-01715.26] 我给你一些圈一二三四
[01715.26-01716.22] 给你五个圈
[01716.22-01718.14] 那这五个圈如果是分离的话
[01718.14-01719.46] 你能看出来它是啥
[01719.46-01720.58] 它就是五个圈
[01720.58-01722.94] 但是我如果把这五个圈有虚排列呢
[01724.66-01725.66] 它就变成了什么
[01725.66-01727.34] 他就变成了奥运武环
[01727.34-01729.14] 所以武环做一个整体
[01729.14-01731.18] 每个圈都是他的一个组成部分
[01731.18-01732.54] 武环做为整体
[01732.54-01733.82] 具有奥运武环
[01733.82-01735.18] 他有特殊的语意
[01735.18-01736.26] 但是每个圈
[01736.26-01737.58] 他如果单独拿出来
[01737.58-01741.90] 就没有武环所给出来的这种象征语意了
[01741.90-01742.22] 对吧
[01742.22-01743.50] 所以在这里他说了
[01743.50-01746.94] 叫整体语被所不诅卫的心工呢
[01746.94-01748.90] 这句话同学标出一个医心
[01748.90-01750.82] 他其实本身不太会考
[01750.82-01752.50] 就是单独会考这句话
[01752.50-01753.98] 就出一个理解形的题目
[01753.98-01758.18] 反而它容易把这句话变成一个选项或者是判断就出现
[01758.38-01761.10] 这要整体具有部分所不具备的心工呢
[01761.22-01763.70] 它经常会有另外一句话和它相伙小
[01763.82-01765.38] 叫做整体工能
[01766.86-01769.26] 叫整体工能大雨
[01769.38-01770.58] 我就用大雨号来表示了
[01770.58-01772.26] 大雨不分工能之合
[01774.66-01777.38] 整体工能大雨不分工能之合
[01777.38-01778.34] 然后这句话
[01778.50-01779.02] 大家注意一下
[01779.02-01781.54] 具体话出现它到底是对还是错
[01781.54-01783.94] 你要去看看有没有加限定条件
[01783.98-01786.72] 如果在这个地方他给到的线条件说
[01786.72-01789.42] 在各个部分有机组合之下
[01791.66-01795.14] 有机组合之下整体功能大一部分功能之后
[01795.14-01796.54] 那么OK这一块是对的
[01796.54-01799.94] 如果他只说了整体功能大一部分功能之后
[01799.94-01800.94] 这一块是错的
[01800.94-01804.14] 如果是这一块我以前上学学的时候不一样
[01804.14-01806.78] 大家注意一下我们按照现在的用事要求来
[01806.78-01807.34] 好吧
[01807.34-01808.50] 所以在这里大家注意
[01808.50-01811.54] 他和这句话经常会放在一块来考察
[01811.54-01814.58] 如果單純的說整體功能大一部分功能之合不像
[01814.58-01819.46] 只有有機組合之後才能是整體具備部分所不具備的新聞
[01819.46-01822.42] 我們就讓說一個核上挑水池、量核上
[01822.42-01824.06] 台水池、三核上沒水池
[01824.06-01825.50] 沒啥三核上沒水池了
[01825.50-01828.30] 就是因為內部沒有實現優化
[01828.30-01830.82] 沒有達到有機組合的質量的一種狀態
[01830.82-01834.22] 所以在這裡面才不能是整體功能突出
[01834.22-01835.10] 所以在這裡
[01835.10-01837.90] 這是我們第一個強調整體合部分之間
[01837.90-01839.34] 強調整體
[01839.34-01840.34] 強調整體
[01840.34-01842.70] 第二个提到了
[01842.70-01844.94] 整体虽然是有部分组成的
[01844.94-01846.70] 不问它是处在什么呢
[01846.70-01849.62] 它说部分是处在被支配的地位的
[01849.62-01851.18] 就是刚才我们所说的
[01851.18-01852.30] 没有我就没有加
[01852.30-01854.42] 又或者常说叫复朝之下
[01854.42-01855.42] 严有完亂
[01855.42-01857.14] 整个扭挪都掉下来了
[01857.14-01860.30] 你怎么能保证扭挪挪挪里面的那些蛋还是好的
[01860.30-01862.10] 这就是说白了
[01862.10-01865.18] 就是部分处在被支配的地位
[01865.18-01867.98] 虽然部分被支配的地位
[01867.98-01869.52] 那是不是意味着
[01869.52-01874.12] 这个事务的组成部分在数发展过程中一点作用都不起呢
[01874.12-01876.94] 不是的 下面给到了第三句话
[01876.94-01880.02] 说部分的功能及其变化会影响到整体的功能
[01880.02-01882.82] 因为整体是有部分组成的 对吧
[01882.82-01887.70] 没有国就没有加 但是我们也说过一句话 叫说国是千万加
[01887.70-01893.32] 国是有无数个小加购成的 所以部分的变化也会影响到国家的变化
[01893.32-01896.90] 所以它后面提到一句话 叫做关键部分的功能
[01896.90-01900.30] 对整体的这种反作用会非常巨大
[01900.30-01901.54] 大到什么程度呢
[01901.54-01904.58] 会对整体起到决定作用
[01904.58-01906.02] 会对整体起到决定作用
[01906.02-01909.18] 所以这个地方我们就可以给它总结出来
[01909.18-01913.62] 叫做整体决定部分
[01914.34-01917.38] 而部分对整体具有反作用
[01917.38-01919.82] 那这种反作用放大的关键部分上
[01919.82-01921.74] 就是关键部分的决定作用
[01921.74-01923.94] 竟然考理解体目的时候会好
[01923.94-01925.94] 关键部分的决定作用
[01925.94-01931.30] 比如说我们经常会听到叫做火车跑的快 全要车头带
[01931.30-01933.34] 火车跑得快 全要车头带
[01933.34-01936.14] 那这个车头是不过这个火车的一个组成部分
[01936.14-01937.46] 但是它是关键部分
[01937.46-01940.26] 决定了整个列车的速度 对吧
[01940.26-01941.74] 又或者我们前一段时间
[01941.74-01942.82] 不能说前一段时间了
[01942.82-01944.46] 就是现在一就在说的
[01944.46-01946.38] 叫做成于双城进去圈
[01946.38-01947.46] 不但有没有听过
[01948.82-01951.02] 成于双城进去圈
[01951.02-01952.14] 成于双城进去圈
[01952.14-01954.14] 这个概念最开始提出来的说
[01954.14-01956.44] 当时很多的报纸都在报他
[01956.44-01957.22] 报他说什么呢
[01957.22-01959.52] 说是一子落而全盘国
[01961.82-01962.58] 很重要
[01962.58-01965.40] 所以一子落而全盘国会成立双层就一串的
[01965.66-01968.98] 建造对全国的经济发展起到一个巨大的作用
[01968.98-01970.26] 叫一子落而全盘国
[01970.26-01974.12] 问那这个双层就一串的建造体现的什么样的这些里
[01974.36-01977.44] 那成立双层就一串对于国家整体经济发展来说
[01977.44-01978.98] 他只是一个部分
[01978.98-01981.28] 但是这个部分作用太大了
[01981.28-01983.58] 对吧能够击火经济整体的发展
[01983.58-01985.82] 所以叫翼族洛而全盤火
[01985.82-01990.42] 因为我们当时发现成于双层进行是整个西南经济发展的一个象征
[01990.42-01994.10] 通过成于双层进行代动西南地区的发展
[01994.10-01997.74] 而成于双层这两个地方对吧成都和重庆
[01997.74-02000.54] 它其实又是长江留育上的
[02000.54-02002.94] 我们所说的长江经济代表当中的
[02002.94-02005.18] 非常赵内华市处在长江上有
[02005.18-02007.94] 而他们的发展又能代动整个长江的发展
[02007.94-02009.54] 而长江经济代表发展
[02009.54-02012.38] 就是机活了整个南方经济的发展
[02012.38-02015.20] 对吧 所以在这里我们说它的作用 非常巨大
[02015.20-02020.58] 那一字落 全把火提先的就是关键部分的决定作用
[02020.58-02024.66] 所以在这里面 大家要注意一下 这是整体和部分之间的关系
[02024.66-02028.76] 关键是在于关键部分上 关于自己的关键部分上
[02028.76-02033.36] 好 那这个就是我们所说的 没有编上法当中的 第六特征联系
[02033.36-02039.26] 那么把支点做一个回顾吧 首先 第1个我们知道的联系的含意 知道联系就是影响
[02039.26-02041.74] 第二个我们去探级哦这种影响
[02041.74-02043.14] 它有什么样的特征
[02043.14-02045.14] 一共是5G花5个考点
[02045.14-02046.62] 普遍性当中3G花
[02046.62-02047.58] 考虑院题目
[02047.58-02048.38] 咱们去解答
[02048.38-02050.62] 第二个它以周围的事物产生联系
[02050.62-02052.34] 不能适合两个事物之间
[02052.34-02053.58] 那这是普遍性
[02053.58-02055.18] 第二个客观性3个点
[02055.18-02057.18] 第一个不能用主观意造代梯
[02057.18-02058.14] 客观真实
[02058.14-02060.46] 不能用一想像的代梯实际情况
[02060.46-02062.54] 第二个要注意人为事物的联系
[02062.54-02063.82] 就要客观性
[02063.82-02066.34] 第三个叫根据15顾有的联系
[02066.34-02068.66] 而不能根据人的意愿建立
[02069.26-02070.80] 新的具体的联系
[02070.80-02072.84] 条件形在这里面考得比较少
[02072.84-02075.66] 同时运指秀知道条件是可以改变的
[02075.66-02076.68] 就可以了
[02076.68-02078.74] 我们说了联系仙人税种影响
[02078.74-02080.52] 它没有什么特殊的表现
[02080.52-02082.32] 叫整体和部分之间的关系
[02082.32-02083.86] 整理有部分之间的关系
[02083.86-02085.14] 最重要的就是
[02085.14-02087.18] 关键部分的决定作用
[02087.18-02088.20] 我们都知道
[02088.20-02088.96] 什么意思
[02088.96-02092.30] 落压千一发而动前身就类随障的表述
[02092.30-02093.84] 所以在整个联系当中
[02093.84-02095.88] 本身上就要6剧核心点
[02095.88-02097.42] 把这6剧核心点
[02097.42-02100.82] 他的出席的角度,他的细节把我清楚就可以了
[02100.82-02108.02] 那这个就是脸细的内容,那我们到这就把变成法当中的第一个脸细就给大家全部都说完了
