[00000.00-00003.04] 好 那我们今日来往下看第二节的内容
[00003.04-00005.24] 那第二节都没有给大家讲市场理论
[01191.14-01192.00] 競爭因素
[01192.00-01192.70] 咱們剛才說了
[01192.70-01194.32] 競爭競爭就意味著
[01194.32-01198.40] 這個市場當中廠商數量有無數個
[01198.40-01201.40] 所以在這裡面才會呈現了一種新的市場類型
[01201.40-01206.96] 就表現在既有廠商數量無數個產品還存在了一些差別
[01206.96-01209.88] 這個就叫做什麼 壟斷競爭市場
[01209.88-01211.44] 那今天是壟斷競爭市場
[01211.44-01212.84] 它還存在競爭因素
[01212.84-01216.24] 那就意味著現在整體市場的情況是啥呢
[01216.24-01217.88] 是壟斷因素
[01220.76-01222.24] 是壟斷因素
[01222.24-01224.88] 小鱼竞争因素才重现出来了
[01224.88-01225.82] 冷断竞争
[01225.82-01226.72] 我就简单写了
[01226.72-01227.22] 好吧
[01227.22-01228.72] 是冷断因素
[01229.60-01232.10] 小鱼竞争因素
[01232.10-01233.60] 才使得这个市场
[01233.60-01235.82] 它呈现出来的是冷断竞争
[01235.82-01236.88] 如果这个市场
[01236.88-01239.20] 冷断因素已经非常大了
[01239.20-01240.26] 已经非常先名了
[01240.26-01241.64] 那这个时候就会过渡到
[01241.64-01243.00] 另外两个市场里面
[01243.00-01243.72] 所以在这里
[01243.72-01244.64] 我们需要掌握的
[01244.64-01245.80] 冷断竞事场当中的
[01245.80-01247.56] 第一个就是我们所说的
[01247.56-01248.60] 它是冷断因素
[01248.60-01249.60] 小鱼竞争因素
[01249.60-01251.40] 那就意味着这个场上当中
[01251.40-01254.22] 还有无数个生产者和消费者
[01254.22-01256.04] 我们在这里建成为大量的
[01256.04-01259.60] 但是和刚才的完全经常有一个非常大的不同
[01259.60-01261.42] 就是这里面的产品
[01261.42-01263.68] 不再是完全同志的了
[01263.68-01266.68] 而是出现了一些产品差异
[01266.68-01268.60] 所以就是有差别的什么
[01268.60-01270.72] 替代品在这个市场当中产生了
[01270.72-01272.90] 你比如说我在这一大举个例子
[01272.90-01275.28] 还是刚才我们生产的这个习法税
[01275.28-01277.80] 在完全经常是当作咱俩的习法税
[01277.80-01278.80] 一模一样了
[01278.80-01281.10] 就一样的就是消费者的分辨不出来
[01281.10-01283.66] 但是在壟斷竞争当中都是喜欢说
[01283.66-01285.46] 咱们的喜欢主持出现了一些差异
[01285.46-01286.22] 什么差异呢
[01286.22-01288.02] 比如说包装品人不一样了
[01288.02-01289.54] 比如说名字不一样了
[01289.54-01291.10] 比如说宫校不一样了
[01291.10-01292.30] 这个都叫做什么
[01292.30-01293.98] 都叫做产品差异
[01293.98-01296.14] 虽然咱们还是同种产品
[01296.14-01298.14] 但是出现了一些差别
[01298.14-01299.42] 所以壟斷竞争市场
[01299.42-01301.06] 它的一个最明显特征
[01301.06-01303.90] 就是有差别的同种产品
[01303.90-01304.74] 明白了吧
[01304.74-01306.78] 这个差别性差异性
[01306.78-01308.22] 就是你的壟斷因素
[01308.22-01310.34] 就可以针对你自身的差别
[01310.34-01311.62] 去进行相的定件
[01311.62-01314.38] 你比如说我的洗发水是风花味的
[01314.38-01316.38] 你的洗发水是成自味的
[01316.38-01319.78] 那你这个时候成自味在市场上你是独一份
[01319.78-01321.22] 你就你家有成自味的
[01321.22-01322.58] 那你就可以怎么样
[01322.58-01325.06] 针对于洗爱成自的这个消息群体
[01325.06-01326.74] 把你这个成自味的洗发水的
[01326.74-01328.38] 价格定的高一点
[01328.38-01330.02] 因为只有你有我没有
[01330.02-01332.90] 隆断因素不就是你的独一无二的因素吗
[01332.90-01335.42] 你就可以针对于你的这个优势
[01335.42-01337.90] 去对产品进行相的定件
[01337.90-01339.30] 那你抽到是都是洗发水
[01339.30-01341.10] 他的成自卖食物
[01341.10-01342.78] 然后我的风花卖食块
[01342.78-01343.64] 那这种情况这些
[01343.64-01344.90] 大家不是卖风花了吗
[01344.90-01345.70] 我刚才说了
[01345.70-01347.70] 他是有针对性的顶件
[01347.70-01350.34] 他是针对于市场喜欢成自这些人
[01350.34-01352.18] 去专门把这个什么价格
[01352.18-01353.06] 丁的高一些
[01353.06-01356.02] 那就意味着他对价格有一定的什么控制能力
[01356.02-01357.30] 那你说老师食物太归了
[01357.30-01358.78] 那你爱买不买不买拉倒
[01358.78-01359.30] 对吧
[01359.30-01360.70] 人家也不是针对你的
[01360.70-01362.38] 所以在这里面大家注意要
[01362.38-01363.46] 隆断经事场
[01363.46-01364.14] 他这里面
[01364.14-01365.54] 因为隆断因素的存在
[01365.54-01367.86] 他其实就可以怎么办控制价格了
[01367.86-01368.90] 针对于他的
[01368.90-01371.30] 独一无二性去进行相的定价
[01371.30-01373.76] 但是由于他是隆断竞争市场
[01373.76-01375.26] 炒炒出量还是很多
[01375.26-01377.08] 所以一个厂商的行为
[01377.08-01379.26] 决定不了整个市场它的运行
[01379.26-01380.42] 所以在这里面
[01380.42-01383.10] 想商产就生产不养生产就退出
[01383.10-01384.58] 所以进出还是怎么样
[01384.58-01385.82] 还是比较容易的
[01385.82-01387.36] 所以在这里面大家注意一下
[01387.36-01388.62] 核心的点在于什么呢
[01388.62-01390.82] 核心的点在于隆断竞争市场
[01390.82-01392.14] 和我们所说的
[01392.14-01393.46] 完全竞争市场
[01394.18-01395.70] 他们之间的差别
[01395.70-01397.38] 一个是完全统治的
[01397.38-01400.20] 一个是有差别的同种产品
[01400.20-01403.18] 所以在隆断竞争当中同学们就计两个点
[01403.18-01406.14] 第一个就是隆断小于竞争因素
[01406.14-01407.82] 就是还有大量的场伤
[01407.82-01408.58] 第二个
[01408.58-01411.06] 它竞争是隆断竞争有隆断因素在
[01411.06-01414.90] 所以它生产是同有差别的同种产品
[01414.90-01417.10] 所以这是它的一个显出特点
[01417.10-01418.22] 大家注意一下
[01418.22-01420.74] 这两个最有核心的大家一定要记住
[01420.74-01423.74] 那说老实在现身活当中隆断竞争市场有没有
[01423.74-01427.10] 那这个在现身活当中隆断竞争市场其实很常见了
[01427.10-01428.98] 比如说在这里面我们提到的
[01429.70-01432.82] 叫做零售业和服务业
[01432.82-01436.18] 那是搞我们所说的产品批发零售买卖的这些
[01436.18-01439.66] 那它是孟端竞争又或者我们常见了服务业
[01439.66-01441.94] 这一场见的就是参业也
[01441.94-01444.26] 还有礼发行也没有美发行业
[01444.26-01446.42] 这些都叫做我们所说的服务业
[01446.42-01448.82] 那这些就叫做孟端竞争市场
[01448.82-01451.74] 大家有的时候去其他地区去看一看
[01451.74-01453.34] 你其实能发现这样一个现象
[01453.34-01456.94] 我当时是在引寸发现这个现象特别明显
[01456.94-01458.70] 这当日引出它有一条街
[01458.70-01459.82] 然后那个街上面呢
[01459.82-01461.38] 这是其实是一条商业界
[01461.38-01462.82] 但那条山业界很奇怪
[01462.82-01463.90] 就是我发现
[01463.90-01466.18] 它所有的那种理发电的电破
[01466.18-01467.98] 它其实都开得非常近
[01467.98-01470.46] 它甚至义查电的电破也开得非常近
[01470.46-01471.26] 就是在那个地方
[01471.26-01472.54] 擠布就是一个理发电
[01472.54-01473.70] 擠布就是一个理发电
[01473.70-01474.90] 大家甚至能够看到
[01474.90-01476.66] 我们经常在网上看到雪王
[01476.66-01476.90] 对吧
[01476.90-01477.82] 就密学兵城
[01477.82-01479.58] 就是感觉全世界
[01479.58-01480.22] 密学兵城
[01480.22-01481.74] 雪王都站在全世界了
[01481.74-01483.22] 那你看经常的
[01483.22-01485.58] 雪王会喜欢把它的电开在什么跑
[01485.58-01486.70] 开在什么地方
[01486.70-01490.34] 雪王喜歡把他的電開在茶北道的對面
[01490.34-01491.90] 開在一點點的對面
[01491.90-01494.10] 開在其他的影片的對面
[01494.10-01495.94] 對吧 那你看他為什麼這麼做呢
[01495.94-01497.50] 就是因為在這裡面
[01497.50-01500.14] 我們會發現像這種服務行業
[01500.14-01501.10] 他其實呢
[01501.10-01503.58] 運 香港來說離得比較近一點
[01503.58-01506.34] 他其實他的這種特性軍隊運能突顯出來
[01506.34-01507.70] 尤其是秘訊邊城
[01507.70-01508.74] 他的這個營銷
[01508.74-01510.98] 和他那個雪王的那個可愛的那個特性
[01510.98-01513.18] 他其實給他帶來很多的
[01513.18-01514.50] 我们所说的这样的一个
[01514.98-01517.02] 就是受中的一个喜欢对吧
[01517.22-01519.06] 这个其实就是我们所说的这个
[01519.34-01521.38] 零售业和服务业他的一个特点
[01521.62-01524.18] 那对于隆端金融市场同学没有知道
[01524.18-01525.34] 隆端金融市场
[01525.34-01527.66] 他如果打价格战的话不是不行
[01527.86-01530.26] 因为他是有一部分的定价权的
[01530.46-01531.62] 但是大家注意一下
[01531.62-01533.90] 隆端金融市场他毕竟还是有
[01534.02-01535.14] 竞争因素在
[01535.14-01537.26] 也就意味着如果有竞争因素在的话
[01537.26-01539.50] 他如果唐骑打价格战
[01539.62-01540.82] 就容易给他脱垮了
[01541.02-01541.86] 因为我们刚才说了
[01541.86-01543.58] 你是有针对性的定价
[01543.58-01545.14] 但是从长期来看
[01545.14-01546.26] 大部分人来说
[01546.26-01547.30] 我用风花味的
[01547.30-01548.98] 和用程度的差别怎么样
[01548.98-01550.02] 差别不大
[01550.02-01551.58] 所以隆断竞争市场
[01551.58-01555.62] 它短期可以稍微调控一下它的价格
[01555.62-01557.30] 但是如果长期大价格战
[01557.30-01558.98] 对大部分的受众来说
[01558.98-01559.54] 那你呢
[01559.54-01561.06] 后了贵录快钱
[01561.06-01562.66] 那我为啥非得用程度的呢
[01562.66-01563.06] 对吧
[01563.06-01564.26] 所以大部分人来说
[01564.26-01566.50] 它对于这个针对性会差一些
[01566.50-01567.78] 它没有那么高的要求
[01567.78-01569.22] 那如果长期大价格战
[01569.22-01570.74] 终于把自己脱款
[01570.74-01576.46] 至于隆断经常市场说老师我用什么样的方式才能让隆断经常市场
[01576.46-01578.94] 他感觉能够赚更多的钱
[01578.94-01582.18] 这个时候最为合理的方法其实不是价格战
[01582.18-01583.82] 而是非价格竞争
[01584.74-01586.74] 把他的竞争所断写在旁边
[01586.74-01589.38] 就是非价格竞争
[01592.18-01593.46] 非价格竞争
[01593.46-01595.54] 非价格竞争比例是说搞什么呢?
[01595.54-01596.74] 搞服务啊
[01596.74-01604.74] 寫不开了,你看我这个字寫得怪仇的,同时在旁边補充一下,就是非价格竞争。
[01604.74-01611.74] 我简单寫非价格了,因为我要留更多的空气其他的,叫做非价格竞争。
[01611.74-01615.74] 非价格竞争比较长见的,比如说我们的服务。
[01615.74-01623.74] 还有我们长见的打个广告,还有你搞一些收后期道,这些它其实是对于这些行业来说是最有限力的。
[01623.74-01625.28] 就会简单例子来说
[01625.28-01627.32] 说回到李发好像
[01627.32-01629.12] 李发好像也他就是完全的
[01629.12-01630.46] 隆断竞争 对吧
[01630.46-01633.98] 我们除了我们不说那种特别高端的那种沙龙服务
[01633.98-01635.78] 咱们就说普通的这李发好像也
[01635.78-01638.34] 这个普通的我们看到的这些李发店
[01638.34-01640.38] 他其实你去对比你会发现
[01640.38-01642.34] 他们这些价格
[01642.34-01643.46] 其实没有差多少
[01643.46-01644.98] 可以说是这个价格
[01644.98-01646.10] 都还差不多
[01646.10-01648.58] 也就是他比如说我现在面前用两家
[01648.58-01650.30] 李发店和闭家里发店
[01650.30-01651.96] 一家裡發電和閉著裡發電
[01651.96-01653.62] 在每一個我們所說
[01653.62-01654.66] 裡發服務當中
[01654.66-01656.18] 其實差不多幾塊錢
[01656.18-01658.48] 也就是最多趁個10塊20塊的
[01658.48-01661.04] 這個其實是我能接受的這樣一個放棉之內
[01661.04-01663.22] 如果價格差不多的情況之下
[01663.22-01664.76] 大家覺得我會去哪家嗎
[01664.76-01666.52] 假設我現在我要去檢個頭款
[01666.52-01667.80] 我去到了A講
[01667.80-01669.16] 我去到A家之後
[01669.16-01671.96] 然後當時那個前台的工作人員特別抬現過說
[01671.96-01672.92] 你好小姐
[01672.92-01674.36] 說歡迎光臨請問你
[01674.36-01675.96] 要是要檢頭款嗎
[01675.96-01677.74] 我說對我想要去檢一個頭款
[01677.74-01680.94] 他说那你需要什么样的人给你剪投放呢
[01680.94-01683.34] 说我们这边是分不同的几个类型的
[01683.34-01684.54] 无数能够介绍一下吗
[01684.54-01685.74] 他说我们这边呢
[01685.74-01688.46] 如果是那个普通员工剪的话呢
[01688.46-01689.42] 需要100块
[01689.42-01691.66] 如果在这里面需要造成是设计的话呢
[01691.66-01693.90] 需要120块总监剪的话呢
[01693.90-01695.90] 那他可能是需要150块
[01695.90-01697.10] 手袭总监剪的话
[01697.10-01698.22] 可能需要200块
[01698.22-01699.26] 我当时一想
[01699.26-01700.14] 还剪的投放
[01700.14-01701.42] 要什么总监不总监
[01701.42-01702.14] 我就说
[01702.14-01703.98] 就给我普通员工就可以了
[01703.98-01706.46] 然后当时那个前台的工作人员那个脸
[01706.46-01708.14] 刷的一下就变裂了
[01708.14-01708.78] 然后就说
[01708.78-01709.34] 行吧
[01709.34-01710.42] 说那个通面
[01710.42-01711.18] 说来吧
[01711.18-01712.62] 来给那个顾客讲头吧
[01712.62-01713.86] 然后我就行是要进去剪
[01713.86-01714.42] 结果呢
[01714.42-01716.38] 我刚刚要进到李发店内部的时候
[01716.38-01717.66] 这个前代给我说了一声
[01717.66-01718.62] 说窮鬼
[01718.62-01719.10] 对吧
[01719.10-01721.02] 就只能让通面给你剪头
[01721.02-01722.34] 然后我当时一听到这个话
[01722.34-01723.62] 你觉得我心下怎么样
[01723.62-01725.30] 我不把他家店里的鞋了
[01725.30-01726.10] 我都不幸留
[01726.10-01726.62] 对吧
[01726.62-01728.18] 所以你看像这样就是A.D
[01728.18-01729.42] 我当时一看他这个太多
[01729.42-01730.66] 我就想算我不剪了
[01730.66-01732.10] 一百块钱我都不给他话
[01732.10-01732.42] 对吧
[01732.42-01733.98] 所以我就从这个店里出来了
[01733.98-01734.90] 然后出来之后呢
[01734.90-01736.42] 我转身
[01736.42-01737.90] 我就进到了避典里面
[01737.90-01739.62] 我一进避典给我下一跳
[01739.62-01740.78] 当时那个前台工作人员
[01740.78-01741.54] 互通一下
[01741.54-01742.30] 就给我跪下了
[01742.30-01743.78] 深深的举了一个大公司
[01743.78-01745.38] 你好哭客欢迎光联
[01745.38-01747.26] 请问你需要一些什么样的服务
[01747.26-01748.58] 我说我想讲个头发
[01748.58-01749.34] 他说好的
[01749.34-01750.54] 我来给您介绍一下
[01750.54-01751.98] 我们这边都有什么样的
[01751.98-01753.66] 就是这个意误
[01753.66-01754.74] 我说那你给我说一下
[01754.74-01755.74] 他说我这边呢
[01755.74-01757.18] 如果是普通员工箭的话
[01757.18-01758.18] 1100块钱
[01758.18-01759.58] 如果是设计设计设计的话
[01759.58-01760.86] 1160块钱
[01760.86-01761.78] 如果是
[01761.78-01763.50] 总监剪的话是
[01763.50-01764.46] 1100块钱
[01764.46-01765.82] 然后那个什么手袭总监
[01765.82-01766.82] 但是两百一十块
[01766.82-01768.10] 我当时一听
[01768.10-01770.10] 我说就来一个普通的吧
[01770.10-01773.46] 我说我也不需要那么精致的那个发型
[01773.46-01774.98] 然后这个员工就跟我说
[01774.98-01775.82] 说好的
[01775.82-01778.94] 说偷捏说来引到这个立法的这个人
[01778.94-01779.70] 按照立法
[01779.70-01780.54] 顾客
[01780.54-01781.94] 说来引到顾客呢
[01781.94-01782.46] 尽且
[01782.46-01783.18] 然后我就进去了
[01783.18-01784.02] 给我找个位置
[01784.02-01785.02] 找个位置之后呢
[01785.02-01787.38] 因为就是大作息
[01787.38-01788.58] 然后我往那一坐的时候
[01788.58-01789.94] 如果端查送水
[01789.94-01791.02] 然后跟我聊天
[01791.02-01792.14] 那偷试一看一下
[01792.14-01793.26] 这里面其实本身上
[01793.26-01794.42] 他的这个什么
[01794.42-01795.78] 价格差异
[01795.78-01798.60] 不是特别的,但是对我的感官上来说
[01798.60-01800.12] 我一定会选择A加还是选币加
[01800.12-01803.20] 我当然选币加了,花钱我就觉得我自己要想说
[01803.20-01805.24] 本想说到帝王班的服务,对吧
[01805.24-01810.38] 所以你看这两个我们所说的这个场价或者是电铺或者是场上来看
[01810.38-01812.68] 你会发现他其实是同事于服务业
[01812.68-01815.18] 而对于服务业来说,最为致命的就是他的什么
[01815.18-01817.28] 你搞好相当受后服务
[01817.28-01819.84] 你如果搞好了我们所说的,销售服务,受服务
[01819.84-01822.78] 他其实对我们来说是非常吸引的
[01822.78-01824.32] 所以在这里面你看一下
[01824.32-01826.14] 这里面的服务业
[01826.14-01827.56] 零售业等等
[01827.56-01829.12] 它打非价的战争
[01829.12-01830.78] 其实对它最有优势的
[01830.78-01832.78] 你看在一场时候当然去吃火果
[01832.78-01834.14] 火果谁家不是吃
[01834.14-01834.62] 对吧
[01834.62-01835.98] 吃一顿价格起床不够
[01835.98-01836.82] 你干吗呀去呢
[01836.82-01838.14] 我只能灭去海底老了
[01838.14-01838.46] 对吧
[01838.46-01840.10] 那死水都不用我自己到
[01840.10-01841.08] 在这里面
[01841.08-01842.10] 其实是能看到
[01842.66-01843.86] 隆断经济市场
[01843.86-01844.62] 大家注意一下
[01844.62-01845.82] 它的经济手段就是
[01845.82-01847.34] 非价格经济
[01847.34-01847.86] 非价格
[01847.86-01848.54] 你说老师
[01848.54-01849.82] 它能不能打价个战
[01849.82-01851.62] 短期可以长期不行
[01851.62-01852.58] 大家注意
[01852.58-01855.98] 这是我们所说的叫做隆断竞争市场
[01855.98-01860.02] 隆断竞市场当中咱们说了是隆断因素比较小
[01860.02-01864.26] 对吧这种情况之下它的这种差异性还不足以让它款控权取
[01864.26-01866.78] 如果到隆断因素不断扩大的时候
[01866.78-01868.54] 我们的市场就会过渡到什么呢
[01868.54-01871.70] 就过渡到下一个叫做挂投隆断市场
[01871.70-01874.30] 挂投隆断最明显特征同标主一下
[01874.30-01877.66] 挂投挂投就是几个投
[01878.66-01881.70] 投标主一下挂投挂投挂投就是几个投
[01881.70-01885.10] 所以这个市场当中只有几家厂上
[01885.10-01887.50] 而不过只有几家厂上的话就意味着
[01888.30-01891.38] 几家厂上就购成了这个行业
[01891.38-01893.46] 比如说我觉得最有简单的例子
[01893.46-01896.70] 中国的三大通训剧头
[01896.70-01897.02] 对吧
[01897.02-01899.02] 这个什么电信连头
[01899.02-01900.42] 还有移动 对吧
[01900.42-01901.70] 那电信连头和移动
[01901.70-01903.06] 能未来可能还给我广电啊
[01903.06-01904.10] 那先不说他
[01904.10-01905.86] 那这三大剧头来看的话
[01905.86-01906.54] 我们会发现
[01906.54-01907.86] 他其实就形成了什么
[01907.86-01908.86] 挂头隆断
[01908.86-01910.14] 挂头隆断的特点
[01910.14-01912.46] 考理解行题目怎么去判断就看
[01912.46-01914.82] 只有几家出现这样的字耳话
[01914.82-01916.50] 没跑,一定是滑透露断
[01916.50-01918.90] 那我们就回微到刚才我们所说的什么呢?
[01918.90-01920.50] 这三大巨头来看
[01920.50-01922.38] 中国的三大通行行业
[01922.38-01923.58] 虽然只有三家
[01923.58-01927.46] 但是这三家是支撑了中国的整个通信员
[01927.46-01931.66] 这三家我们所说的企业之间的关系就变了什么?
[01931.66-01933.58] 非常非常的密切了
[01933.58-01936.90] 可以说是对于我们所说的这种滑透露断来说
[01936.90-01938.82] 虽然只有几个场上
[01938.82-01943.82] 但是廠商之间的一存度很高 现在旁边
[01943.82-01949.58] 廠商之间的一存度很高
[01950.58-01952.70] 廠商之间的一存度很高
[01952.70-01954.58] 这种一存度高体现在的呢
[01954.58-01956.06] 其实体现在这么几个方面
[01956.06-01958.18] 第一个就是一个廠商
[01958.18-01960.82] 比如说移动它给它的套餐定价
[01960.82-01962.70] 移动给它的套餐定价之后呢
[01962.70-01965.46] 一定会影响到电信和连通
[01965.46-01966.90] 一定会是这个样子的
[01966.90-01969.26] 所以在这里面大家注意一下 管头弱段
[01969.26-01972.54] 它的最一面显特点就是它只有几个场上
[01972.54-01975.66] 但场上之间的一存度是非常非常高的
[01975.66-01977.42] 在这里面大家一定要注意
[01977.42-01980.10] 但是我们去研究管头弱段市场的时候
[01980.10-01982.42] 我们其实要从这么几个角度去分析
[01982.42-01984.42] 第一个就是管头弱段市场
[01984.42-01987.14] 它其实它的产品可以是有差别的
[01987.14-01988.54] 也可以是同志的
[01988.54-01991.26] 这个不用管这个简单了解一下就可以了
[01991.26-01992.54] 就是对于管头弱段来说
[01992.54-01994.26] 你生产东西可以是不一样的
[01994.26-01995.34] 也可以说是什么
[01995.34-01996.30] 也可以说是一样的
[01996.30-01997.78] 比如說中視油中時化
[01997.78-01999.78] 那搞出來的東西是完全是一模一樣的
[01999.78-02000.26] 對吧
[02000.26-02001.94] 所以在這裡面這就叫
[02001.94-02003.70] 有差別或者是統治
[02003.70-02004.94] 但中點就在於
[02004.94-02007.30] 因為我們都知道掛頭弱端
[02007.30-02009.14] 它其實是幾家廠商
[02009.14-02010.18] 在這個行業裡
[02010.18-02011.66] 都所以這個行業所的錢
[02011.66-02013.46] 都是由這幾家廠商來怎麼樣
[02013.46-02014.94] 這家廠商來分的
[02014.94-02016.14] 所以在這裡面
[02016.14-02018.70] 我們所說的這個掛頭弱端的企業
[02018.70-02020.50] 它其實就可以對於
[02020.50-02022.34] 產品有很高的定價去了
[02022.34-02023.50] 比如說你想
[02023.50-02024.98] 沒手機你想用卡
[02024.98-02026.30] 那你有其他的选择吗
[02026.30-02027.54] 你没有其他的选择
[02027.54-02029.62] 你就只能从这一家里面去选一个
[02029.62-02030.10] 对吧
[02030.10-02032.78] 所以他们想要把这个价格定到多少
[02032.78-02034.62] 你就只能接受
[02034.62-02036.42] 你没有讨价环架的余帝吧
[02036.42-02037.30] 所以在这里面
[02037.30-02037.94] 我们能看到
[02037.94-02041.50] 挂头弄断对于价格的控制程度是非常高的
[02041.50-02042.50] 所以在这里他说了
[02042.50-02045.06] 对于他的控制有相当高的程度
[02045.06-02046.86] 那正是一位我们刚才说了
[02046.86-02048.86] 这一个行业当中的所有钱
[02048.86-02050.22] 就只有他们三家粉
[02050.22-02052.30] 那如果现在我杀进来第四家
[02052.30-02053.54] 你觉得他会同意吗
[02053.54-02054.78] 他只能不同意了
[02054.78-02059.58] 那因为多一个人进来就因为他们的钱就被人家分走了
[02059.58-02061.38] 我觉得最简单的意思是比如说
[02062.10-02062.90] 当年
[02062.90-02067.50] 当年在我们所说的三大行业旧之上还有一个
[02067.50-02069.50] 当年在这三大行业当中还有一个谁呢
[02069.50-02071.58] 还有一个铁通不知道大家有没有听过
[02071.58-02073.54] 铁通最开始搞的也如何入土
[02073.54-02076.14] 但突然铁通就消生了你计了
[02076.14-02078.38] 后来铁通被移动给收购了
[02078.38-02080.30] 那铁通被啥名搞下去呢
[02080.30-02081.14] 原因很简单
[02081.14-02083.10] 因为铁通做一个我们所说的
[02083.10-02085.10] 菲菲分裔被鞏的这个人来说
[02085.10-02086.28] 他进入到这个行业之后
[02086.28-02088.50] 那指定就是给我们的感觉就是什么
[02088.50-02091.70] 就是他们三个一定会对他进行相的什么
[02091.70-02092.72] 相对几张的
[02092.72-02094.88] 那在这里面他很难存活下去
[02094.88-02098.38] 所以多进来一个人就意味着多分裔分裔
[02098.38-02101.30] 所以在这里面进出怎么样很困难
[02101.30-02102.92] 那如果进出很困难的话
[02102.92-02105.06] 那你出老师这三家之间
[02105.06-02108.02] 他总归是还要有互相力的争夺
[02108.02-02110.18] 那他们之间这种力的争夺
[02110.18-02112.42] 那怎么去算怎么去看呢
[02112.42-02115.82] 其实像这种滑头弄断 大助一下 一般情况之下
[02115.82-02120.62] 我们用薄一论来研究我们所说的这种滑头弄断
[02120.62-02122.92] 这些厂商之间的这种关系
[02122.92-02126.72] 那如果从薄一论的角度来看他们之间的这种商业竞争行为
[02126.72-02129.22] 他们想要达到一种比较好的一种状态
[02129.22-02130.92] 其实就是要为吃一种均衡
[02130.92-02132.22] 这个均衡叫做什么呢
[02132.22-02134.22] 同学们在旁边 标助一下
[02134.22-02139.02] 就是有一个精神名词叫做那时均衡
[02142.42-02146.10] 有经萱明此 标志在旁边叫做那时捷恒
[02146.10-02148.30] 那时捷恒者就是在博异当中
[02148.30-02151.18] 参与人就是参与的人
[02151.18-02154.30] 他如果选择一种选择了一种特烈的组合
[02154.30-02156.22] 那在这种策略组合当中
[02156.22-02158.74] 任何一个参与人去单独改变这样的角测
[02158.74-02159.94] 他其实都不会得到好处
[02159.94-02163.38] 比如说我们经常看到在三家同学行业当中
[02163.38-02165.30] 电信的资费相当于最便宜的
[02165.30-02167.14] 但电信信号是最差的
[02167.14-02168.54] 移动的资费是怎么样
[02168.54-02169.86] 移动资费是最高的
[02169.86-02171.58] 但是人家信号就是好
[02171.58-02174.18] 對吧 那你看 這是他們各自的這樣一個特點
[02174.18-02177.68] 那時候老師 電信的資費 他們的便宜
[02177.68-02179.98] 那他不就幹不過一共和聯同了嗎
[02179.98-02181.48] 其實這是我們想的
[02181.48-02185.08] 什麼叫做納士軍紅 什麼叫納士軍紅當中的策略組合
[02185.08-02187.08] 就是對於管和弄端起來說
[02187.08-02189.78] 他們這三家 其實有一定的共謀行為的
[02189.78-02193.98] 比如說 電信他確實是定價是三家當中最低的
[02193.98-02196.48] 但是他有六滴破他的底線 沒有
[02196.48-02199.18] 這是他們三個其實都有一個共謀行為
[02199.18-02201.38] 就说咱们三个呢
[02201.38-02202.58] 去强战上资格
[02202.58-02203.94] 但是咱们的对象是吗
[02203.94-02205.50] 他们三家对象是我们
[02205.50-02206.98] 是我们广大这种消费者
[02206.98-02209.30] 所以他们一定会有一个策略组合
[02209.30-02210.38] 在有策略组合当中
[02210.38-02212.38] 每个人分单不一样的角色
[02212.38-02214.34] 他主要以他哪一个特性为主
[02214.34-02216.38] 然后来去进行相当的赢小
[02216.38-02218.50] 他们是有一定这样的底线在的
[02218.50-02220.54] 所以在这里面我们去看人家管空中
[02220.54-02222.18] 都不要觉得人家很可怜
[02222.18-02223.70] 他们之间互相起战
[02223.70-02225.94] 人家之间互相去强战是要分个
[02225.94-02228.06] 他是把我们化成了他的对象
[02228.06-02229.86] 他們直接是有策略組合的
[02229.86-02231.90] 如果在這樣的策略組合當中
[02231.90-02233.06] 電信突然說
[02233.06-02235.74] 咱們丟了這個價格太高了
[02235.74-02237.02] 它原本就不值這個錢
[02237.02-02238.86] 我現在要做一個未明的企業
[02238.86-02240.78] 它突破了原來的共謀行為
[02240.78-02242.14] 原本49塊錢
[02242.14-02243.42] 以為的這個套餐自費
[02243.42-02244.46] 它只剩9塊錢
[02244.46-02246.70] 你看它這種散自改變
[02246.70-02247.90] 這種策略的
[02247.90-02249.58] 這種我們所說的行為
[02249.58-02251.42] 它一定會讓其它兩個也吃虧的
[02251.42-02254.54] 所以那是軍紅強調就是在策略組合當中
[02254.54-02255.66] 任何參與人
[02255.66-02258.46] 單獨改變策略都不會得到好處
[02258.46-02260.14] 這個就叫做納士軍好
[02260.14-02261.10] 所以我們才說
[02261.10-02263.50] 他們直接是有共謀行為的
[02263.50-02265.42] 所以在管頭農斷中
[02265.42-02266.30] 既兩個點
[02266.30-02267.62] 一個是最核心的特點
[02267.62-02268.54] 幫助我們去判斷
[02268.54-02269.82] 它是為什麼市場
[02270.54-02272.78] 另外一個就在這裡面強調了
[02272.78-02273.50] 納士軍好
[02273.50-02275.02] 大家知道是什麼意思
[02275.02-02278.14] 是任何參與人單獨改變策略
[02278.14-02281.42] 它都不會得到好處都會得到好處
[02281.42-02282.86] 所以在這裡面大注意
[02282.86-02285.90] 这是挂头 冷断 挂头冷断
[02285.90-02287.02] 那挂头冷断
[02287.02-02289.50] 我们来看一下它的类似市场都哪些
[02289.50-02290.98] 在这里面给到了很多
[02290.98-02292.38] 我们也给得标志出来
[02292.38-02293.94] 比如说钢铁制造
[02293.94-02295.18] 对吧 汽车制造
[02295.18-02297.42] 中国的汽车行业也都那么几家
