[00000.00-00005.62] 好的,我们来接日来看一下第二个逃控目标,第二个逃控标叫做增加就业。
[01147.68-01150.40] 那这些人他可能都不算是劳动里人口啊
[01150.40-01151.72] 所以在这大家知道
[01151.72-01154.56] 只是第一个我们有势业率来好像就一情况
[01154.56-01155.44] 第二个呢
[01155.44-01156.20] 我们刚才说了
[01156.20-01160.20] 我们的目标是通过失业解决失业问题实现社会的什么
[01160.20-01161.28] 充分就业
[01161.28-01163.88] 所以在这里面他给到了一个概念就充分就业
[01163.88-01165.36] 在这里我们只需要知道
[01165.36-01168.28] 充分就业他不等于领事业
[01168.28-01169.72] 充分就业是每个人
[01169.72-01173.88] 他处在一个相对有就业机会的这样的一个状态
[01173.88-01175.40] 但是他不等于领事业
[01175.40-01177.72] 因为我们人我们刚才提到的两个点
[01177.72-01182.32] 因为我们知道整个社会它的就业当中的不可能不存在人失业
[01182.32-01184.16] 因为有一些失业它是怎么办
[01184.16-01185.28] 不能避免的
[01185.28-01186.92] 比如说我们刚才所说的
[01186.92-01188.36] 谋个擦性失业了
[01188.36-01191.48] 还有我们所说的这种结构性失业
[01191.48-01193.00] 它其实是不能避免的
[01193.00-01194.28] 那只要是不能避免
[01194.28-01198.44] 那就意味着社会上实刻会有失业的人口存在
[01198.44-01200.20] 所以我们的充分就业事上
[01200.20-01202.56] 我们的充分就业不是追求临失业
[01202.56-01205.20] 而是使失业率达到自然失业率的
[01205.20-01208.48] 请换之下我们就认为他实现了充分就业
[01208.48-01211.32] 所以在这里面外一个概念就是充分就业
[01211.32-01214.32] 他不等于零失业就可以了
[01214.32-01217.48] 这时我们所说的叫做充分就业
[01217.48-01218.92] 这是第二个概念
[01218.92-01221.40] 第三个概念在这里他有设到另外一个叫做
[01221.40-01222.44] 奥克兵律
[01222.44-01224.92] 奥克兵律他就是一个经济学名字
[01224.92-01228.00] 就好比我们前面讲到的那时军侯是一样的
[01228.00-01230.16] 你只需要知道他说的是什么就行了
[01230.16-01235.76] 他說奧肯定率 順來描述失業率和錢在GDP之間的交提關係
[01235.76-01239.16] 但事業率每高於在事業率11%
[01239.16-01242.56] 那這時候實際GDP就低於錢在GDP12%
[01242.56-01245.16] 所以你知道他們描述的是誰有誰的這件關係就行了
[01245.16-01248.66] 這是失業率和國家的錢在GDP之間的關係
[01248.66-01251.26] 也就是他對GDP的影響
[01251.26-01253.66] 他對GDP影響我們又奧肯定率來表示
[01253.66-01254.96] 這句話一單出現
[01254.96-01256.36] 你大概有印象就行了
[01256.36-01258.56] 這三個點 單獨考察的時候
[01258.56-01260.04] 没有单独命体过
[01260.04-01262.32] 只在个别的选项当中出现过
[01262.32-01264.00] 所以同时在这里明确
[01264.00-01265.80] 这是失业的相关概念
[01265.80-01270.32] 重点把失业这个点的重点放在失业的内形上
[01270.32-01270.76] 好
[01270.76-01273.48] 这是我们所说的叫做增加就业
[01273.48-01274.36] 增加就业
[01275.48-01276.68] 我们来看一下
[01276.68-01277.84] 在整个增加就业当中
[01277.84-01279.16] 咱把这个点回顾一下
[01279.16-01280.52] 首先第一个我们就讲
[01280.52-01281.24] 就业的时候
[01281.24-01283.40] 我们讲到了就业
[01283.40-01285.68] 增加当中提到了我们用失业旅来好两
[01285.68-01287.16] 所以我们在讲失业的时候
[01287.16-01290.24] 我们就说了施要同时满足三个条件
[01290.24-01292.72] 这三个条件的同学们了解一下就行了
[01292.72-01294.56] 就有工作能力有工作意愿
[01294.56-01295.92] 但是没有工作
[01295.92-01297.92] 重点在于施业的类型
[01297.92-01299.56] 按照施业原因不同
[01299.56-01301.40] 我们把施业分成了四类
[01301.40-01302.96] 第一个叫模擦性施业
[01302.96-01304.28] 同门能够要判断出来
[01304.28-01306.36] 什么叫做正常人口流动
[01306.36-01308.12] 第二个叫做结构性施业
[01308.12-01309.28] 结构性施业主要体现
[01309.28-01310.80] 在工作能力不体配
[01310.80-01312.24] 所以它一般请来着落脚
[01312.24-01313.72] 在能力工作不体配上
[01313.72-01315.64] 你看到天当中这样的表述
[01315.64-01317.04] 选结构性施业
[01317.04-01318.38] 但是同時大家注意一下
[01318.38-01319.54] 他有的時候還會說
[01319.54-01321.08] 說某一個部門
[01323.32-01325.80] 由於技術升級
[01325.80-01326.50] 怎麼怎麼樣
[01326.50-01328.36] 你看部門進入升級
[01328.36-01329.28] 進入升級的話
[01329.28-01330.24] 他也屬於什麼
[01330.24-01332.94] 他也屬於解構性失業
[01332.94-01334.68] 所導致的一個問題
[01334.68-01335.72] 所以進入升級
[01335.72-01337.04] 他其實屬於產業升級
[01337.04-01338.04] 如果他看到
[01338.04-01341.08] 你看到說由於進入升級導致什麼什麼失業
[01341.08-01342.20] 你就要稍微注意一下
[01342.20-01342.94] 這個進入升級
[01342.94-01344.36] 他其實體現的也是什麼
[01344.36-01345.88] 也是解構性失業
[01345.88-01346.72] 那是在這個領
[01346.72-01350.56] 那大家要知道九雲市業和既物資源本質的差異性在
[01350.56-01354.66] 所以在這裡面就要把這種結論市業的進行市業給它去分開
[01354.66-01356.20] 這是第3個
[01356.20-01358.76] 第4個就是我們所說的基金市業
[01358.76-01361.56] 基金市業的化作體也就看有沒有基金變化
[01361.56-01363.76] 但是這裡面的考議會點就知道
[01363.76-01365.40] 基金也跟體部的避免
[01365.40-01368.24] 但基金市業可以加強洪官挑控
[01368.24-01369.76] 那周激市業也一樣
[01369.76-01371.80] 周激市業的別稱要知道
[01371.80-01375.12] 要因需求不足而導致的失業
[01375.12-01377.12] 就是共买力不夠強
[01377.12-01378.84] 那這個時候社會就不會生產
[01378.84-01380.04] 經濟就會被說
[01380.04-01381.28] 那在這裡沒有知道
[01381.28-01382.92] 經濟週期不能避免
[01382.92-01384.64] 但週期的失業可以避免
[01384.64-01387.08] 經濟週期就是我們經常所說的
[01387.08-01390.24] 從發展到繁榮到摔退到消挑
[01390.24-01390.52] 對吧
[01390.52-01391.44] 這樣的一個過程
[01391.44-01392.80] 就說經濟週期
[01392.80-01394.68] 那這個是失業的類型
[01394.68-01396.96] 那這四種失業當中有兩個
[01396.96-01398.24] 它是不可避免
[01398.24-01399.04] 不能避免的
[01399.04-01401.24] 我們把它稱為叫做自然失業
[01401.24-01406.72] 那从世界历程当中呢,我们就要去另外在这里面去给到一些失业的相关的概念
[01406.72-01410.60] 相关的概念呢其实就在这里大家知道,第一个就是我们要知道
[01410.60-01414.20] 失业率他是比上老东利人口而不是总人口
[01414.20-01418.48] 第二个,充分就业他是一种状态并不代表的是零失业
[01418.48-01423.80] 在失业和国家发展之间会存在一个定律我们把它称之位叫做奥克定律
[01423.80-01427.80] 所以在奥克定律当中要知道他是谁有谁之间的关系
[01427.80-01429.80] 这个就是我们所说的
[01429.80-01432.40] 相关的另外一个目标
[01432.40-01434.40] 叫做就业增加
