[00000.00-00005.72] 我们讲完了形正处发也讲完了形正娟克
[01221.56-01225.66] 第二一個就是拍賣或者是依法處理查分後壓
[01225.66-01227.84] 他的這些場所設施和財務
[01227.84-01232.00] 這個就是我們所說的行政直接強制直接強制
[01232.00-01234.62] 舉個簡單的例子比如說你現在應該交發款了
[01234.62-01237.62] 對吧 那我舉了你相用的這種發款
[01237.62-01239.58] 而且發款的數額相關來說比較大
[01239.58-01243.90] 那到期了我是先給你開了一個什麼行政處罰決定書
[01243.90-01245.94] 我給你開了行政處罰決定書之後
[01245.94-01248.42] 我说了到了某年某月某日的期限
[01248.42-01249.94] 你要把法款交上来
[01249.94-01251.30] 你说好的没有问题
[01251.30-01253.06] 结果在这个期限当中
[01253.06-01255.22] 我发现你在去直行行
[01255.22-01257.42] 让你去旅行法款的期间
[01257.42-01259.30] 你居然给我存在了什么
[01259.30-01261.46] 存在了财产转移的状况
[01261.46-01263.54] 我发现了你存在财产转移的状况之后
[01263.54-01264.66] 我会财取一个什么
[01264.66-01266.94] 我会财取一个形正强制措施
[01266.94-01269.30] 这个形正强制措施是先
[01269.30-01271.30] 可能是动节你的存款
[01271.30-01272.94] 或者是扣押你的财务
[01272.94-01275.14] 这个时候我是为了防止你
[01275.14-01277.14] 把資產都轉移沒有錢交法派了
[01277.14-01279.54] 結果到了借7G滿這一天
[01279.54-01282.34] 就是你該不叫法款完結的這一天
[01282.34-01285.54] 我發現我由你法款沒有給我不叫
[01285.54-01286.54] 那怎麼辦
[01286.54-01288.74] 接下來我為了都處理理型
[01288.74-01289.94] 因為法款不是沒叫
[01289.94-01292.34] 那你必須帶旅行腳踏法款的這個意味
[01292.34-01294.74] 我就可可以把查封的
[01294.74-01296.94] 扣壓的你的這個東西可以怎麼辦
[01296.94-01298.94] 可以給他拍賣掉
[01298.94-01300.14] 那這個就是什麼
[01300.14-01301.34] 行政強制時行
[01301.34-01303.54] 所以強制強制行是為了什麼
[01303.54-01307.58] 是为了让您旅行之前处发女不叫法款的什么
[01307.58-01309.82] 意误所以在这里面大家注意一下
[01309.82-01315.50] 这是行政强制职行当中的职接强制或者是拍卖
[01315.50-01319.02] 所以大家要注意这是所提到的这个点
[01319.02-01322.30] 那从这呢我们其实也能很好地给同学们去旅身清楚
[01322.30-01325.18] 就是我们所说的这个行政强制作事件
[01325.18-01326.74] 或行政强制职行也好
[01326.74-01328.90] 他们之间到底是什么样的关系呢
[01328.90-01330.98] 那一般情况之下我们要明确
[01330.98-01331.98] 我把它写在这
[01331.98-01333.74] 好吧,这是它比较明确
[01333.74-01338.06] 一般情况之下,我们在形状强制当中
[01338.06-01339.90] 先是先做决定
[01340.90-01343.50] 先做决定,这个决定是什么呢?
[01343.50-01344.30] 比如说
[01344.82-01346.90] 几女你一定的形状触法
[01348.54-01350.94] 我把它写的旁边,比如说你做了一个什么事
[01350.94-01353.42] 我一定是先做一个决定
[01353.42-01356.14] 比如说几女的法款的触法
[01359.78-01361.78] 几女你法款的触法
[01361.78-01363.58] 我急于你发款的厨发我就跟你说了
[01363.58-01366.90] 我说你在2023年12月31号之前
[01366.90-01368.34] 你把这个发款公布器
[01368.34-01370.74] 我是不是在这里面有一个欺骗给你
[01370.74-01372.42] 我先做决定之后我就看完
[01372.42-01373.94] 我就可以等哦对吧
[01375.06-01376.50] 我就等你旅行啊
[01378.34-01381.94] 因为我说了你把发款不脚的时间是12月31号之前
[01381.94-01383.54] 给我把发款不脚完成就行
[01383.54-01385.46] 所以我在怎么样等你旅行
[01385.46-01387.38] 结果我在等你旅行这个欺骗
[01387.38-01389.38] 我发现你有转移财产的情况
[01389.38-01391.54] 那如果是在等的欺骗
[01391.54-01395.88] 你有转移财产的情况
[01395.88-01396.92] 那这个时候可以怎么样
[01396.92-01398.20] 我可以把你东西扣出来
[01398.20-01399.94] 我这时候就可以形成强制
[01399.94-01401.02] 措施
[01401.02-01404.08] 然后查动扣对不对
[01404.08-01405.88] 然后我在等的这个期间
[01405.88-01407.68] 发现到了12月31号
[01407.68-01409.20] 你也不履行
[01410.48-01411.76] 那我还能不能等你了
[01411.76-01413.04] 我不你不履行
[01413.04-01414.08] 那我直接不能等你了
[01414.08-01415.36] 那这个时候就可以怎么办
[01415.36-01417.34] 我就可以啟动形成强制
[01417.34-01417.90] 直行
[01421.54-01423.78] 我就可以体动形装强制使用
[01423.78-01425.46] 那形装强制使用就是可以怎么样
[01425.46-01428.02] 第一个我直接把你扣押就是东西给你
[01428.02-01431.78] 卖了或者说我把你的什么动几的存款给你画播了
[01431.78-01434.46] 你看这是不是在前面我们说了
[01434.46-01436.26] 是大概这样一个流程啊
[01436.26-01438.26] 这个就只要做直接强制
[01438.26-01440.42] 如果你之前在形装强制措施当中
[01440.42-01441.82] 动几的是它的存款
[01441.82-01444.78] 那就把它的存款画播画播到国库就行了
[01444.78-01447.54] 如果你之前对针略的是它的财务比如说
[01447.54-01448.82] 它的经营长所
[01448.82-01449.90] 它的有形务形财务
[01449.90-01452.94] 那就可以拍败或者是其他的方式处理掉
[01452.94-01455.74] 这个最终做形容强制執行
[01455.74-01459.02] 所以这就区分了我们所说的形正处伐
[01459.02-01460.42] 它是一成借为目的的
[01460.42-01461.82] 它是一个先行决定
[01461.82-01463.34] 然后在形正处伐过程当中
[01463.34-01465.66] 如果出现了你转一次财产的情况
[01465.66-01468.54] 我为了运防这种危险情况的出现
[01468.54-01470.10] 我可以拆形成强错试
[01470.10-01471.54] 而我说了先做决定
[01471.54-01472.98] 毕竟要等你旅行一物
[01472.98-01473.78] 如果等不了
[01473.78-01476.34] 我就可以再借期借满的时候
[01476.82-01478.98] 去进行形正强制執行
[01478.98-01482.50] 那这是我们所说的有关于第一个 叫做直接强制
[01482.50-01484.38] 那第二个呢 推叫做间接强制
[01484.38-01487.06] 就是形容主体可以通过间接手段
[01487.06-01488.42] 破实一无人旅行一无
[01488.42-01490.34] 这个间接强制就是我也不开卖
[01490.34-01491.38] 我也不画过存款
[01491.38-01492.26] 我可以怎么办呢
[01492.26-01495.06] 我可以找一找其他的方式 就是间接手段
[01495.06-01496.66] 这个间接手段能首先第一个
[01496.66-01498.98] 我们画一下就叫做代旅行
[01498.98-01500.02] 那就要代旅行
[01500.02-01500.98] 代旅行是什么
[01500.98-01502.98] 它说代旅行就叫做代旅行
[01502.98-01505.38] 说如果当时居不旅行一无
[01505.38-01507.38] 可由他人代替旅行一无时
[01507.38-01513.00] 行政机关请他人代为旅行并要求当时承担行的费用
[01513.00-01514.76] 这种就叫做代旅行
[01514.76-01516.90] 比如说前面西瓜那个例子
[01516.90-01519.26] 前面西瓜那个例子掉了一路
[01519.26-01519.54] 对吧
[01519.54-01520.74] 掉了一路之后
[01520.74-01522.10] 他可以出现这种情况
[01522.10-01523.94] 为了防止情形的这种
[01524.58-01525.22] 扩大
[01525.22-01526.26] 这种情况之下
[01526.26-01527.54] 他就几番吹吋
[01527.54-01529.58] 这个掉西瓜的这个瓜農也好
[01529.58-01531.18] 会掉西瓜的这个公司也好
[01531.18-01533.06] 所以你赶紧给我把那些西瓜给我清了
[01533.06-01535.74] 不然那个堵塞这个交通会非常非常危险的
[01535.74-01538.30] 那你看在重情往这下它是推高了它
[01538.30-01540.26] 它是不是要旅行相的一碗
[01540.26-01541.94] 但是这个瓜弄也好
[01541.94-01543.62] 或者这个公司也好它怎么办
[01543.62-01544.86] 它不旅行
[01544.86-01546.94] 那我推出了它它又不旅行
[01546.94-01549.70] 那这个时候交通管理部门就可以干嘛
[01549.70-01552.18] 可以找其它的部门代为旅行
[01552.18-01553.54] 找其它部门代为旅行是什么
[01553.54-01554.74] 就是我已经推了
[01554.74-01555.86] 我该做的成为多做了
[01555.86-01556.74] 这事你没做
[01556.74-01559.62] 那这个时候我就找相应的清潔公司或什么的
[01559.62-01561.34] 把这个习惯清掉
[01561.34-01562.50] 清掉之后的废友
[01562.50-01564.14] 由谁来出
[01564.14-01567.42] 有这个关农也好或者是这个卖西班的公司来出
[01567.42-01570.14] 这个时候就叫做代律性
[01570.14-01571.50] 这个时候就叫做代律性
[01571.50-01572.58] 所以这种情况之下
[01572.58-01573.46] 大家要明确啊
[01573.46-01575.18] 这数个月形成强制執行的一种
[01575.18-01576.50] 就是找人帮你做
[01576.50-01578.06] 你最不做找人帮你做
[01578.06-01579.22] 但是费用你单者
[01579.22-01580.18] 这个叫代律性
[01580.18-01582.46] 你看在这里有没有说直接把他扣压的
[01582.46-01584.66] 化博的存款全都直接处理掉
[01584.66-01585.02] 没有
[01585.02-01587.02] 他是不是找了一个晕毁的方式
[01587.02-01588.10] 所以这个叫代律性
[01588.10-01588.98] 所以代律性就知道
[01588.98-01591.26] 找人帮他做费用他来单
[01591.26-01593.14] 第1个代理性
[01593.14-01595.30] 第2个就叫做直情法
[01595.30-01596.98] 直情法,大家注意一下
[01596.98-01599.18] 直情法,它不是法款
[01599.18-01600.62] 直情法,它不是法款
[01600.62-01603.26] 我们的法款是行政处法
[01603.26-01605.90] 法款是也处法成绩维目的的
[01605.90-01607.82] 你本来可以不交这个钱
[01607.82-01609.18] 但是呢,因为你做冲事
[01609.18-01612.22] 我为了让你掌揭显给你增加了相传的处单
[01612.22-01614.46] 所以在这里面就有了我们所说的法款
[01614.46-01616.34] 而直情法是什么?你看
[01616.34-01620.18] 它是直情法是只在当时于其不理型、意义是
[01620.18-01624.02] 形象机关要求当时承担一定的金钱旅行一物
[01624.02-01628.38] 说尺其執行的实期旅行一物的執行方式
[01628.38-01631.44] 最常见的知道你不脚相反反货的税款
[01631.44-01633.50] 说如当时人不脚那法款
[01634.26-01636.06] 形象机关可以怎么办 画一下
[01636.06-01637.08] 把这个话出来
[01637.08-01639.64] 叫做依法家处法款或者是
[01639.64-01641.68] 支纳金把这个写在旁边
[01641.68-01643.48] 这个就属于我们所说的什么
[01643.48-01644.24] 執行法
[01644.24-01645.52] 叫家处法款
[01645.52-01646.30] 而不是法款
[01646.30-01648.08] 第二个就是我们所说的
[01648.08-01678.08] 直纳金,第二就是我们所说,直纳金,把这个标注在旁边,也就是说,您该到期不掉社款,那你到期如果不不掉,那你说我这个人呢,就是没有什么特别的,特别喜欢脱,对吧,那我你让我到期不掉社款,我平均就不不掉了,那没关系,那我就可以在你原本不掉的旧物之上,给你加一些法款,我加法款的目的是为了法你吗?不是的,我加法款的目的是为了吹出你女型不掉法款的一物,所以在这里面大家注意一下,这里所给到的家处法款,
[01678.08-01679.10] 他可法款不一樣
[01679.10-01680.60] 法款是一層屆維目的
[01680.60-01681.88] 除了你掌握一下
[01681.88-01682.90] 給你增加福單
[01682.90-01684.48] 而這里是為了多處年
[01684.48-01685.64] 不叫法款
[01685.64-01688.14] 就是多處女完成先前的那個義務
[01688.14-01689.74] 所以他叫做家處法款
[01689.74-01691.36] 還有一個就是我們常說的什麼
[01691.36-01692.36] 之納金
[01692.36-01696.00] 之納金大家現在可能是沒有
[01696.00-01698.24] 一個相用的概念
[01698.24-01701.16] 其實我們常說的這種
[01701.16-01701.88] 之納金
[01701.88-01704.64] 他比較常見的就是在不叫室款當中
[01704.64-01707.20] 他那個之納金一般情況之下還是挺高的
[01707.20-01708.74] 以前之内已经说
[01708.74-01709.88] 你一天不不脚
[01709.88-01712.08] 那你就是比如说超期限之后
[01712.08-01714.84] 我就可以让你一天加中百分之几
[01714.84-01715.72] 一天加中百分之
[01715.72-01717.44] 就是你不脚税额的百分之几
[01717.44-01719.74] 假设假设百分之三来算的话
[01719.74-01721.32] 那你会发现如果我让你
[01721.32-01722.56] 不脚税款是一百万
[01722.56-01723.40] 一天百分之三
[01723.40-01725.28] 你就是抱歉了你不不脚税款
[01725.28-01727.48] 你就第一天是不脚三了
[01727.48-01729.92] 第二天就三家三的编成六万了
[01729.92-01731.52] 然后第三天再往下无限的家
[01731.52-01733.68] 你这个时候俄游度可能会膨脏的特别快
[01733.68-01734.64] 那这种情况之下
[01734.64-01735.84] 就是致納金
[01735.84-01738.78] 它就是為了獨促它旅行相的義務
[01738.78-01741.44] 所以這是我們所說的叫家處發管和致納金
[01741.44-01745.04] 把它和行動處把當中的發管去看看
[01745.04-01748.72] 這個是我們所說的
[01748.72-01751.78] 給到的執行發
[01751.78-01752.74] 所以大家注意一下
[01752.74-01754.44] 所以執行發它處於種什麼
[01754.44-01756.24] 它處於種間接執行的方式
[01756.24-01757.64] 它沒有直接化播存款
[01757.64-01759.64] 也沒有直接把你的東西拍賣掉
[01759.64-01761.40] 而是通過另外一種手段
[01761.40-01764.24] 獨促你去實現或旅行相的義務
[01764.24-01766.28] 这是我们所说的执政法
[01766.28-01767.96] 那你看形象强制执行
[01767.96-01769.84] 在这里面它就不是为了预防
[01769.84-01771.28] 不是在执行的措施了
[01771.28-01773.76] 所以它必须在设定上非常严格
[01773.76-01775.00] 所以在这里面看
[01775.00-01777.72] 形象强制执行都有使得来设定
[01777.72-01780.96] 形象强制行都有法律来设定
[01780.96-01784.16] 所以在这里表制一下是有法律进行设定的
[01784.16-01787.04] 这个就叫做形象强制执行
[01787.04-01787.88] 形象执行
[01787.88-01790.08] 这是我们所说的关于形象强制的
[01790.08-01793.08] 所以我们把形象强制学完了之后
[01793.08-01795.08] 咱們來看一下對比三個概念
[01795.08-01796.40] 這三個概念的話
[01796.40-01798.48] 分別就是第一個就是形正強制
[01798.48-01801.88] 措施形正強硕是也預防維目的的
[01801.88-01803.68] 所以形成強硕是往往是什麼
[01803.68-01806.00] 往往是暫時的對不對
[01806.00-01809.44] 而第二個就是形正處罰
[01809.44-01811.60] 形正處罰是以成法維目的
[01811.60-01813.44] 所以它也有暫時又用久的
[01813.44-01815.16] 可以設定的是有什麼
[01815.16-01818.00] 法律形正法規的地方性法規節
[01818.00-01820.56] 規律中而我們說形正強硕是什麼
[01820.56-01822.56] 法律法規這個法規包括
[01822.56-01825.64] 行政法規以及地方性法規
[01825.64-01828.00] 造象就是行政強制執行
[01828.00-01830.00] 這個行政執行是為了
[01830.00-01831.32] 都促你女型目的
[01831.32-01832.88] 那他相對來說
[01832.88-01834.20] 執行是永久性的
[01834.20-01836.24] 所以具有時來設定法律來設定
[01836.24-01837.00] 所以你看
[01837.00-01837.68] 他是什麼
[01837.68-01841.76] 他是一層比一層全力收的會更嚴格一些
[01841.76-01845.32] 這是我們所說的關於整個行政強制的內容
[01845.32-01847.00] 我們就把行政強制縮案了
[01847.00-01848.52] 咱們來快速回顧說理一下
[01848.52-01849.68] 人第一個行政強制
[01849.68-01851.52] 措施目的是為了什麼
[01851.52-01852.36] 目的是為了
[01852.36-01854.00] 运防是遇防为目的
[01854.00-01855.44] 所以就一定的暂时性
[01855.44-01858.04] 比如说对于人生的暂时性的控制
[01858.04-01859.72] 公民的人生自由
[01859.72-01861.12] 比如说强制格里
[01861.12-01862.72] 强制把你隔立起来
[01862.72-01864.72] 强制把你控制起来到你久行
[01864.72-01865.08] 对吧
[01865.08-01866.96] 这是为了防止危险的出现
[01866.96-01868.68] 第二是针对于财务的
[01868.68-01870.08] 查动控
[01870.08-01872.28] 你要知道查动控分别针对的是什么
[01872.28-01873.20] 而他的设定
[01873.20-01874.36] 第一从法律
[01874.36-01874.56] 对吧
[01874.56-01875.56] 可以设定所有
[01875.56-01877.44] 第二从行政法规
[01877.44-01879.76] 就是线紫自由和动階以外的
[01879.76-01881.36] 第三个地方性法规
[01881.36-01883.56] 那这说就是查扣
[01883.56-01884.40] 没有动物
[01884.40-01886.40] 这个地方一定要注意下是无动节
[01886.40-01887.84] 因为动节数个比较大
[01887.84-01893.24] 所以它的文件层次要求回相对来说高一些
[01893.24-01894.40] 这是强制措施
[01894.40-01895.72] 那在了像就是强制执行
[01895.72-01897.28] 强制行的目的是为什么
[01897.28-01899.32] 目的让你旅行意误
[01899.32-01900.12] 所以我们就知道
[01900.12-01902.44] 有直接强制和建计强制
[01902.44-01904.08] 直接强制是化博和拍卖
[01904.08-01906.60] 建强制是带旅行和执行法
[01906.60-01908.60] 但是因为它是永久性的执行
[01908.60-01910.56] 所以它必须要求法律文
[01910.56-01912.54] 规范警的层次非常高
[01912.54-01913.64] 所以在这里是什么
[01913.64-01915.48] 军有法律来设定
[01915.48-01916.96] 这个就是我们所说的
[01916.96-01919.32] 有关于行政强制的所有内容
