[00000.00-00002.88] 我們再來看一下第三個部分的內容
[01166.64-01168.28] 放热那宁化常见的
[01168.28-01169.96] 双雪无松
[01169.96-01171.82] 无松是在水面上进行的看到的
[01171.82-01174.06] 松发江上总能见的无松
[01174.06-01175.08] 只是宁法
[01175.08-01176.10] 第二生法
[01176.10-01177.64] 生化从顾台到气态
[01177.64-01179.16] 气态为太高怎么热
[01179.16-01180.56] 吸热常见的
[01180.56-01181.68] 炒菜家典
[01181.68-01182.72] 加用燈炮
[01182.72-01183.02] 对吧
[01183.02-01184.26] 我还给大家补充了一个
[01184.26-01184.94] 张的玩
[01184.94-01185.66] 是不是这个
[01185.90-01187.50] 那第三个呢就是企业者的话
[01187.50-01188.14] 企业者的话
[01188.14-01189.54] 叶化从企业到叶态
[01189.54-01190.46] 谁为度高
[01190.46-01191.30] 企业的度高
[01191.30-01191.86] 到叶态
[01191.86-01192.50] 降为
[01192.50-01193.26] 降为怎么样
[01193.26-01193.90] 放热
[01193.90-01194.70] 放热
[01194.90-01195.98] 叶化当成场界的
[01195.98-01197.34] 边界联貌切了
[01197.74-01199.14] 自来水果出汉了
[01199.14-01200.10] 物和露了
[01200.10-01201.90] 人们口中呼出的白气
[01201.90-01203.50] 都是水蒸去一冷
[01203.50-01204.78] 凝结成小水滴
[01204.78-01206.62] 那这个是我们所说的叶化
[01206.62-01207.34] 那还有一个呢
[01207.34-01208.18] 就是企业化
[01208.18-01210.30] 企业态到企业
[01210.30-01211.14] 企业高不高
[01211.14-01211.50] 高
[01211.50-01212.14] 怎么热
[01212.14-01212.70] 习热
[01212.70-01213.62] 那这个时候
[01213.62-01216.44] 最维简单的加绽站不让省手机
[01216.70-01218.22] 还有一个就是中发
[01218.22-01220.28] 中发这个地方大家一定要注意一下
[01220.28-01222.84] 台阳结合生活现象来考察
[01222.84-01224.88] 中发我们就想说了中发
[01226.16-01227.20] 吸热之类
[01230.26-01232.06] 这中发吸热之类
[01232.06-01236.14] 有时水浸它变成水浸器的时候它吸收热量对吧
[01236.14-01239.22] 在中发过程中如何加快中发的速度呢
[01239.22-01241.58] 我们就说了小家快争发的速度
[01241.58-01243.78] 要么就是我们所提到的
[01243.78-01245.58] 把它的面杰变大
[01245.58-01247.58] 要么就是提高温度
[01247.58-01249.30] 这个点偶尔会考察
[01249.30-01251.46] 就是如何让争发加速的问题
[01251.46-01252.98] 这地方看一下就行了
[01252.98-01254.46] 这是我们所说的这个
[01254.46-01255.46] 舞台变化
[01255.46-01257.02] 所以我说了舞台变化
[01257.02-01259.46] 比较喜欢考他们之间的转化
[01259.46-01260.86] 10.3个角度
[01260.86-01261.98] 我最到题
[01261.98-01263.82] 我说了他在考察英雄和案例的时候
[01263.82-01265.30] 是不是喜欢结合时刻
[01265.30-01267.54] 但是下列減下到描繪的是凝固
[01267.54-01269.54] 我們看一下您顧從哪到哪
[01269.54-01275.94] 您顧您顧是從夜台到我們所說的顧台叫做您顧吧
[01275.94-01277.72] 那來看一下您顧哪一個
[01277.72-01283.28] A選項說學校門在簽身率花發將邊二月請學校
[01283.28-01287.08] 從學校到水那這有時候應該是什麼
[01287.08-01288.78] 這時候應該是融化吧
[01288.78-01291.62] 學校了嘛我說了冰水銷容是融化
[01291.62-01292.62] A選項不行
[01292.62-01300.18] 避选项说,休合一滴路,叫做青叶罪选天,青合一滴路,路是怎么形成的。
[01300.18-01303.86] 路是由气体的叶体形成的,它应该属于什么话。
[01303.86-01306.74] 它应该属于叶化,来看一下思选项。
[01306.74-01315.38] 说仇云叫汉海南岸百章冰,冰怎么来的,冰是凝固来的,从叶体到固体仇云产大万里领了。
[01315.38-01318.26] 所以这是我们所说的C,那C正确。
[01318.26-01326.30] 第四个双叶红鱼二月花双双是从气态到顾态那他属于您缓
[01328.58-01330.66] 这个点就是当年考播的一道题
[01330.66-01333.82] 你看他就网了一会考察和现象的一种对应
[01333.82-01336.42] 所以大家注意一下这是我们所说的有关于
[01336.98-01340.18] 自然景象 舞台变化他的这种考察方式
[01340.18-01342.18] 这是第1个舞台变化
[01342.18-01344.46] 那舞台变化呢其实任何食物都有的
[01344.46-01348.38] 但在这个过程当中我们就讲到了无论是吴太当中的哪一个变化
[01348.38-01350.50] 他都逃走不开要吸热和放热
[01350.50-01352.66] 是不是都脱不了我们要提到了一个问题
[01352.66-01356.78] 就是热的或者是能量的它的一个传递的问题
[01356.78-01360.58] 这有时候就是说是要另外一个点就叫做热力学定律
[01360.58-01362.94] 在热力学定律当中来看一下第一个点
[01362.94-01365.06] 就说热力学第一定律
[01365.06-01366.22] 热力学第一定律
[01366.22-01371.54] 他想调说说一个热力学信价的内容增量等于外界向它传递的热量
[01371.54-01373.30] 外界对他所做工的合
[01373.30-01374.46] 听起来有点变扭
[01374.46-01374.94] 对吧
[01374.94-01376.10] 你就转化成一句话
[01376.10-01376.98] 热力学第一定律
[01376.98-01377.78] 最重要的是什么
[01377.78-01379.98] 最重要做能量手红定律
[01379.98-01380.90] 也就是说
[01380.90-01381.62] 一种能量
[01381.62-01383.46] 他记不得平空产生
[01383.46-01384.78] 也不会平空消失
[01384.78-01385.90] 而是从一种形态
[01385.90-01387.74] 转化成另一种形态
[01387.74-01388.70] 这个最重要
[01388.70-01389.66] 能量手红
[01389.66-01390.78] 这个能量手红
[01390.78-01391.50] 大家注意一下
[01391.50-01392.34] 你给他标注
[01392.34-01394.06] 一颗心恨是两颗心都行
[01394.06-01396.18] 就在这里知道他是一个重点
[01396.18-01397.50] 这个能量手红定律
[01397.50-01398.50] 他再去考试的时候
[01398.50-01399.38] 考什么呢
[01399.38-01401.34] 考能量的转化
[01401.54-01405.58] 好 可能量的转换
[01405.58-01411.02] 这个能量的转换或者是转换的话其实就是在我们所说的说能量手红丁鱼
[01411.02-01414.62] 我们所说的这个能量常见的能量形势有很多
[01414.62-01416.86] 比如说我们常见的形势有电能
[01416.86-01418.86] 对吧 有机械能
[01418.86-01421.50] 机械能的话比较常见的就是我们所说的
[01421.50-01425.10] 你从楼上或者是从山上
[01425.10-01426.62] 你往山下冷一个东西
[01426.62-01428.02] 就是跨入人间的地方
[01428.02-01429.14] 你往下冷一个东西
[01429.14-01431.94] 你發現從山上這個懸壓往下扔
[01431.94-01433.86] 它這個由於高度落差的話
[01433.86-01435.66] 它是會產生重力式的
[01435.66-01438.10] 重力式能它就是極限能的一種
[01438.10-01439.18] 它還包括動能
[01439.18-01440.98] 一個人動起來一個失誤動起來
[01440.98-01442.18] 它還會產生能量
[01442.18-01443.58] 還包括我們所說的什麼
[01443.58-01446.38] 內能就是我們提到的熱能等一等
[01446.38-01447.26] 這些能量
[01447.26-01449.82] 而這些能量之間可以相過轉換
[01449.82-01452.34] 比如說電能可以轉換成內能
[01452.34-01453.66] 最常見的
[01453.66-01455.10] 就是我們所提到的
[01455.10-01456.30] 你找個電飯鍋
[01456.30-01456.70] 對吧
[01456.70-01458.30] 你這個電飯鍋用來做大雨飯
[01458.30-01460.70] 老香了 對吧 母常大米
[01460.70-01463.42] 拿貼幅包的那個電飯包去
[01463.42-01464.22] 給它做飯
[01464.22-01465.62] 這時候你會發現通電
[01465.62-01466.94] 就淡飯溫熟了
[01466.94-01468.90] 那通電到淡飯溫熟了
[01468.90-01470.26] 它其實就是一個什麼
[01470.26-01472.74] 它其實就是從電能折滑成
[01472.74-01474.54] 內能的一個過程 對吧
[01474.54-01475.82] 又或者我們常見的這裡
[01475.82-01476.82] 還有光能等等
[01476.82-01479.06] 這系列 所以它考察能量轉換
[01479.06-01480.90] 所以這個能量轉換大家注意
[01480.90-01482.54] 它如果一旦給案例
[01482.54-01483.82] 它往往就會考察
[01483.82-01485.42] 它是給到這個案例
[01485.42-01488.26] 它是處在從什麼能轉化成什麼能源
[01488.26-01491.18] 它就手就烤它的轉化的問題
[01491.18-01491.94] 明白了吧
[01491.94-01492.90] 当然除了内容
[01492.90-01494.06] 还无所说的电池
[01494.06-01495.58] 比如说微波炉加热
[01495.58-01497.74] 微波炉加热东西怎么加热的
[01497.74-01498.90] 是通了电池后
[01498.90-01501.18] 先有微波微波是个电池
[01501.18-01502.98] 然后通过电池
[01502.98-01504.38] 再把它转化成热
[01504.38-01506.74] 所以微波炉加热食品
[01506.74-01508.62] 它其实不是直接从电
[01508.62-01509.82] 转化成热能
[01509.82-01511.62] 而是先转化成电池
[01511.62-01513.34] 再转化成内容
[01513.34-01514.74] 它是这样的一个过程
[01514.74-01516.42] 这个地方就烤能量转化
[01516.42-01528.42] 如果老生在这儿说这么快,为起不住,同时在这里给他标注一下,这个点我们在地址节会见到呢,同标注在第四节,这一张第四节当中会提到,你在旁边想第四节
[01528.42-01545.42] 我给大家在第四节当中,罗列了和讲解了很多的案例,这个地方要和第四节结合看,但是这里面最起码了这道两个点,第一个呢就是,若理学就是能量手和联率,第二个就是在这里他会靠能量转换,这个点最起码是我们要知道的,
[01545.42-01546.96] 那这是我们所提到的
[01547.98-01549.26] 热力学第一定率
[01549.52-01552.06] 热力学第二定率叫做商增定率
[01552.06-01553.10] 商增定率是啥呢
[01553.10-01554.38] 就是一切事务
[01554.38-01557.46] 它都是向着无序性的这样的一个角度去
[01557.72-01558.98] 我们所说的发展的
[01559.24-01560.52] 这个就叫做商增
[01560.78-01561.80] 这个商增定率呢
[01561.80-01563.08] 其实在现实生活当中
[01563.34-01565.14] 不要常见前几年的时候呢
[01565.14-01566.40] 就说到这个商增定率
[01566.66-01568.46] 在日常生活当中的应用就很多
[01568.46-01571.54] 这可以说是自然界运行的一个非常重要的基本规刃
[01571.78-01574.86] 它在这里面给到了说一切自发过程总是沿走分子
[01574.86-01577.14] 热鱼东的无序形增大的方向进行的
[01577.14-01579.42] 也就是混乱是长态
[01579.42-01580.78] 有序才是什么
[01580.78-01581.90] 有序才是意外
[01581.90-01584.94] 它大概就是从所说的这样的一个概念
[01584.94-01585.78] 但这个概念呢
[01585.78-01587.34] 一般情况之下没有考过
[01587.34-01589.42] 所以同一们简单的有一个印象
[01589.42-01590.98] 就是热鱼雪第二定律
[01590.98-01592.54] 它是烧增定律就行了
[01592.54-01594.06] 这个点不做重点掌握
[01594.06-01595.02] 这第二定律
[01595.02-01596.74] 热鱼的第三定律
[01596.74-01597.78] 就是在这里提到说
[01597.78-01599.50] 不可能通过有限的过程
[01599.50-01601.70] 把一个物体冷却到绝对凌度
[01601.70-01602.66] 就是一句话
[01602.66-01605.18] 就是绝对零度击护市达不到的
[01605.18-01606.86] 绝对零度是零下两百多度
[01606.86-01607.18] 对吧
[01607.18-01608.62] 所以热力学地三进率
[01608.62-01610.58] 就说没有办法精则的达到绝对零度
[01610.58-01612.02] 但可以无限切接近
[01612.02-01613.42] 所以二三定率
[01613.42-01615.74] 同学们只需要有一个基本印象就行了
[01615.74-01617.30] 重点在于第一定率
[01617.30-01618.46] 它的一个应用
[01618.46-01620.18] 就是能量守恒定率
[01620.18-01623.14] 这就是热力学的三个定率
[01623.14-01624.42] 那是第二方面
[01624.42-01625.30] 那了解了
[01625.30-01626.42] 我们所说的这个
[01626.42-01627.42] 舞台的变化
[01627.42-01628.86] 就是从西热到放热
[01628.86-01629.94] 从西热到放热
[01629.94-01631.86] 西热能量到释放到两当中
[01631.86-01636.24] 我们就提到的说这些能量的传递内能的传递
[01636.24-01637.90] 它需要遵选一定的规律
[01637.90-01639.90] 我们叫做热力学三定律
[01639.90-01642.10] 但是我们刚才说了这个能量
[01642.10-01644.98] 它会有吸收和放出来的这样的一个过程
[01644.98-01647.86] 那它吸放能量的过程其实就是什么
[01647.86-01649.40] 就是传到的过程
[01649.40-01652.50] 所以我们来看一下第三个叫做传热方式
[01652.50-01653.78] 就传热方式
[01653.78-01655.94] 传热方式这个地方再去考察的时候
[01655.94-01656.82] 大家注意一下
[01656.82-01658.74] 它比较喜欢考什么呢
[01659.00-01661.06] 它比较喜欢好安定
[01661.86-01663.10] 他比较喜欢考案里
[01663.10-01666.20] 而且会考察中中核性的案例会骗多
[01666.20-01667.86] 所以在这里面我们来看一下
[01667.86-01670.60] 他的基本传认的方式
[01670.60-01673.54] 传认的方式实现第一个叫做热传道
[01673.54-01674.84] 什么叫热传道呢
[01674.84-01677.86] 他也这里给到说在无相对位于的情况之下
[01677.86-01679.66] 物体内部就有不同的温度
[01679.66-01682.78] 或者是不同温度的物体直接接触实所发生的
[01682.78-01684.06] 热能传订现象
[01684.06-01685.42] 他们换一个词就行了
[01685.42-01687.34] 就是热能传订现象
[01687.34-01689.24] 那这种传订怎么传呢
[01689.24-01692.28] 王王是从高温展向第一温
[01692.28-01693.32] 这个就叫做什么
[01693.32-01694.72] 就叫做热传道
[01694.72-01695.72] 就叫做传道
[01695.72-01697.16] 所以能够传道的
[01697.16-01697.88] 王王都是什么
[01697.88-01699.28] 都是倒热的这种东西
[01699.28-01700.44] 那倒热的东西
[01700.44-01702.80] 一般请问都是金属类骗多
[01702.80-01704.16] 所以一般请问热传道
[01704.16-01706.96] 都是发生在金属或者是固体身上
[01706.96-01709.20] 也就是倒热性能好的身上
[01709.20-01710.40] 才会发生热传道
[01710.40-01712.32] 一比说你把两个铁块摆在一块
[01712.32-01713.24] 一个铁块冰冷
[01713.24-01714.24] 一个铁块呢
[01714.24-01715.20] 特别烫
[01715.20-01716.56] 把两铁块放在一块之后
[01716.56-01717.64] 你慢慢发现
[01717.64-01719.12] 那个特别胖的体化
[01719.12-01720.24] 它慢慢温度加上了
[01720.24-01721.88] 而那个特别冰冷的体化
[01721.88-01722.88] 慢慢的怎么样
[01722.88-01724.52] 慢慢的就是变得温了
[01724.52-01725.56] 这个时候为啥
[01725.56-01726.40] 一个温度降了
[01726.40-01728.36] 一个变得稍微热糊点了
[01728.36-01730.24] 就是因为热量发生了传递
[01730.24-01731.88] 所以在这里面大家注意一下
[01731.88-01732.96] 在热传脑脑脑中
[01732.96-01734.36] 同时需要掌握的第一个
[01734.36-01735.28] 就是传到
[01735.28-01737.36] 它是由高温传向的第一个
[01737.36-01738.00] 第二个
[01738.00-01739.84] 它之所以能发生热传到
[01739.84-01740.84] 它一定是什么
[01740.84-01743.08] 它一定是热的两道体才行
[01743.08-01747.46] 这的热的两导体
[01747.46-01749.10] 也就是它要导热彩显
[01749.10-01751.48] 它不导热它根本不可能发生热传道
[01751.48-01754.20] 所以在热的两导体才能发生热传道
[01754.20-01755.08] 比如说金属
[01755.08-01757.08] 所以一般情况下我们讲的都是什么
[01757.08-01758.08] 都是金属
[01758.08-01760.08] 所以在热里大住一下这第二点
[01760.08-01761.88] 那第三个点的就是在热传道
[01761.88-01764.44] 它的一个应用上它的应用上
[01764.44-01765.80] 佛说的热传道
[01765.80-01767.80] 我们可以正向用一可以反向用
[01767.80-01770.52] 如果运用它导热性比较好的话
[01770.52-01771.88] 我们就可以用在什么上
[01771.88-01775.20] 就可以用于英用它
[01775.20-01775.80] 好
[01775.80-01776.28] 怎么说呢
[01776.28-01778.16] 就是它导热性能比较好的这种
[01778.16-01781.04] 就可以用于制作过去
[01782.40-01783.60] 用于制作过去
[01783.60-01784.56] 所以我们的过去
[01784.56-01786.20] 你看一般情况下都是什么
[01786.20-01787.24] 我们的过去
[01787.24-01789.64] 一般情况下都是金属的吧
[01789.64-01790.84] 为什么要用金属
[01790.84-01792.32] 因为导热性能好
[01792.32-01795.08] 那这个过程其实就是在用什么
[01795.08-01796.60] 用热传到的过程
[01796.60-01798.80] 它打不用我们所说的这个
[01798.80-01803.14] 空气怎么不用我们所说的一般情况什么逃刺板
[01803.14-01804.18] 或者是这种东西
[01804.18-01805.54] 它就做这种过去呢
[01805.54-01806.44] 因为比较慢
[01806.44-01806.74] 对吧
[01806.74-01807.76] 所以在这里面
[01808.02-01810.06] 热传岛中的低个音乐就是
[01810.06-01812.36] 这个过去的手往往会有用金属
[01812.36-01814.16] 因为它的岛热性能好
[01814.16-01815.44] 这是低个点
[01815.70-01816.34] 第二点呢
[01816.34-01819.02] 这是我们所说的这个是属于正向利用它
[01819.02-01819.92] 那第二个点呢
[01819.92-01820.88] 就是可以我们所说
[01820.88-01823.24] 从另一个侧面来应用热传岛
[01823.24-01825.16] 热传岛的这岛热性能好
[01825.16-01826.38] 同位一定知道
[01826.38-01829.74] 导热性能好,它的三热性能也一定怎么样
[01829.74-01832.90] 它的三热性能也一定非常好
[01832.90-01834.90] 明白了吧,这导热性能好多些
[01834.90-01837.58] 它的三热性能也一定非常非常好
[01837.58-01840.50] 所以在这里面如果我们想给一个东西保温的话
[01840.50-01844.18] 那就不能用我们所说的导热性能非常好的东西
[01844.18-01846.50] 所以在这里面,大家注意下第二个应用呢
[01846.50-01849.54] 就是我们常说的就是保温
[01849.54-01850.70] 就是保温
[01850.70-01852.82] 那你保温的话,就在反向操作了
[01852.82-01855.06] 比较喜欢常好的保温的是啥呢
[01855.06-01857.74] 就是碗屏漫
[01857.74-01858.74] 就是热水糊
[01858.74-01859.38] 这是水
[01859.38-01860.66] 这怎么显了
[01860.66-01861.98] 这是水平
[01861.98-01864.22] 这是装着开水的那个
[01864.22-01866.62] 我们东北管他叫弄碗屏
[01867.62-01868.74] 我们就写水平
[01868.74-01869.42] 好玩
[01869.82-01871.46] 热水平 热水平
[01872.58-01873.42] 热水平
[01873.42-01874.42] 热水平的话
[01874.42-01877.26] 它其实就是有在反向运用热传到
[01877.26-01879.38] 或者是简少它的热传到
[01879.38-01880.50] 表现在两方面
[01880.50-01881.26] 第一个就是
[01881.26-01882.98] 你在给热水平
[01882.98-01884.78] 暖水平灌水的时候
[01884.78-01889.02] 你發現以前家裡有那種浪水平裡面是顏色的
[01889.02-01890.22] 對外有膽的這種
[01890.22-01892.30] 現在城市裡面可能不太用
[01892.30-01894.34] 但濃村形是用的還比較多
[01894.34-01898.18] 我老家我媽媽和老老他們一直都還在用這種情況
[01898.18-01899.82] 你看一下再給這種
[01899.82-01901.50] 浪水平裝水的時候
[01901.50-01903.06] 大家有沒有發現一個問題啊
[01903.06-01906.02] 這是裝水給這個浪水平冠水的時候
[01906.02-01907.26] 會不會給它冠的特威瑪
[01907.26-01909.78] 一直冠狀那個平口不會的
[01909.78-01910.46] 大家注意啊
[01910.46-01911.78] 再給浪水平冠水的時候
[01911.78-01914.14] 一般請問一下不會冠狂
[01914.78-01920.70] 不会灌满,而是会流一段空气
[01920.70-01924.98] 流一段空气,为什么?
[01924.98-01931.78] 因为空气,它不是热的凉倒体,如果给它流一段的话,这种情况下,这个温度保留个好
[01931.78-01935.50] 这它的本质上就是因为要渐少我们所说的热传到
[01935.50-01943.06] 会渐少这种热传到,这灌水的时候要流一段空气,原来在这
[01943.06-01945.20] 第二個就是這個熱水平
[01945.20-01947.64] 我們會發現它的這個涉解
[01947.64-01950.50] 大家就看到了它是有一個外殼自在的
[01950.50-01952.02] 它是有外殼自在
[01952.02-01954.64] 然後這個是我們所說的這個平口
[01954.64-01956.28] 然後裡面其實是什麼
[01956.28-01957.98] 裡面其實是平打案
[01958.78-01959.98] 裡面其實平打
[01959.98-01962.38] 這個平打的話你看這個是外部的殼自
[01962.38-01964.12] 支持裡面的裝水的那個打
[01964.12-01965.42] 這個裡面是啥
[01965.42-01967.14] 這旁邊都是真空的
[01967.14-01970.36] 所以它在這裡面就問說再加一個平衆
[01970.36-01973.40] 如果在这个过程当中这个水平
[01973.40-01975.76] 认水平它设计成真空的
[01975.76-01978.28] 就是水平中间水程真空的原因在什么
[01978.28-01980.28] 中间如果是真空的话
[01980.28-01982.28] 就没有导热的这种东西带了
[01982.28-01985.96] 没有导热的东西带它的赛热效果一定会变慢
[01985.96-01988.84] 所以它也是为了减少什么减少热传到
[01990.60-01992.16] 它是为了减少热传到
[01992.16-01994.52] 这样的话导热效果就会怎么样
[01994.52-01995.84] 相当之不错了
[01995.84-01996.56] 感觉好
[01996.56-01998.16] 所以保温效果就不错了
[01998.16-01999.40] 所以在这里大家注意一下
[01999.40-02003.16] 这是有关热传到我们需要掌握的三个方面的内容
[02003.16-02006.80] 第一个就是热能传递从高温传向低温
[02006.80-02008.36] 第二个就是在这里我们说了
[02008.36-02011.20] 既然要热传到一定是倒热效果好的东西
[02011.20-02012.52] 就是热的两道体
[02012.52-02016.96] 第三个就是对于我们所说的热传到可以有它的应用
[02016.96-02020.52] 第一个就是可以提高热传到的正向应用
[02020.52-02022.12] 就是制作过去要接触
[02022.12-02025.84] 第二个就是降低热传到可以从反面用它就是保温敗
[02025.84-02030.44] 所以在这里大家注意一下 这是第一个热船岛中的三个只是点
[02030.44-02034.32] 第二个就是热对铃对铃对铃的话才在这里说了
[02034.32-02037.12] 说由于流体的红关运动引起的
[02037.12-02039.56] 流体各部分之间发生相对位也
[02039.56-02042.76] 冷热流体相互参活所引起的热量船对的过程
[02042.76-02046.96] 同时在热对流当中就标注一个两个点需要掌握
[02046.96-02050.12] 第一个就是对流它一定是在什么 流体中
[02050.12-02053.00] 什么叫做流体呢 最常见的就是空气对流
[02055.84-02059.24] 这场面空气对了
[02059.24-02061.84] 这种冷热焦替的空气对了
[02061.84-02063.04] 它的应用是什么呢
[02063.04-02065.24] 应用的就是家里
[02065.24-02073.04] 比如说空条制装口的制装
[02073.04-02076.84] 又或者是我们所说的家里会会有那种软级片
[02076.84-02080.24] 就是软级它的暗装
[02085.84-02092.60] 暖器它的一岸中,这两个地方的都是用到所说的这样的一个对流
[02092.60-02099.48] 就是空调如何知日暖先装,然后在这种情况下如何让这个屋子暖,暖会起来,都是用热对流
[02099.48-02105.44] 咱们比如说像这个暖器片的安装,暖器片的安装的它一般情况之下,暖器有六装在强上的
[02105.44-02112.96] 像空调一样刮的最顶上,没有,暖约安装的一般都是什么,贴定面儿的,就是暖器片安装是在安装在下方的
[02112.96-02114.12] 我们都知道
[02114.12-02115.32] 那原因就是在什么
[02115.32-02116.04] 在于呢
[02116.04-02118.20] 如果暖期片安装在下方的话
[02118.20-02118.60] 你看
[02118.60-02120.56] 假设这是一个有一个暖期片
[02120.56-02122.12] 一个有一个暖期片
[02122.96-02124.72] 那像这些暖期片的话
[02124.72-02126.00] 它如果一旦加入
[02126.00-02128.00] 无论是我们所说的集中功能
[02128.00-02130.20] 也好或者家里面有BWM也好
[02130.20-02132.48] 或者是像现在的收入主义
[02132.48-02133.48] 心中村建设里面
[02133.48-02135.44] 它会给每家美互都去安装冷气
[02135.44-02136.52] 那无论它怎么装
[02136.52-02137.28] 大家都知道
[02137.28-02138.52] 暖期片在下方的话
[02138.52-02139.80] 一旦加入的时候
[02139.80-02141.28] 那这时候就会怎么办
[02141.28-02142.72] 就会我们所说的
[02142.72-02145.28] 热空气上升热空气上升
[02145.78-02147.98] 就会有热空气上升
[02147.98-02149.64] 热空气上升之后
[02149.64-02151.80] 烤气都具体在下方了
[02151.80-02154.36] 这种情况之下热空气上升到
[02154.36-02156.80] 我们所说的屋子里面它就会形成循环
[02156.80-02158.16] 在这个过程当中
[02158.16-02160.28] 热空气不断形怀冷空气下降
[02160.28-02161.84] 再加热再上升
[02161.84-02162.88] 这种情况之下
[02162.88-02165.76] 这个屋子整个温度是不是被带动起来了
[02165.76-02167.64] 这个其实就是我们所说的
[02167.64-02169.64] 暖气它温暖屋子的过程
[02169.64-02171.36] 包括烤调也是一样的
[02171.36-02173.36] 现在家里挂了一个空调
[02173.36-02173.84] 对吧
[02173.84-02175.04] 这个空调
[02175.04-02177.36] 现在下面是这个样子的
[02177.36-02179.56] 这还有一个空调版等等
[02179.56-02181.12] 就画得很像错误看的
[02181.12-02183.00] 你看空调一单打开了之后
[02183.00-02184.92] 这有时候他也会往外吹什么
[02184.92-02186.28] 往外吹热风
[02186.28-02187.72] 往外吹热风的时候
[02187.72-02189.16] 那蓬上的
[02189.16-02190.84] 管空气就会不断的居结
[02190.84-02191.32] 对吧
[02191.32-02193.20] 蓬上的管空气不断的居结
[02193.20-02194.64] 当蓬上东乱空气的时候
[02194.64-02196.96] 这个时候冷空气就会下降
[02196.96-02197.76] 容易下降的时候
[02197.76-02199.12] 再一次循环到空调里
[02199.12-02201.64] 然后再释放出我们所说的暖气
[02201.64-02205.64] 然后慢慢的这个物子里就被什么暖的空气也气流包围了
[02205.64-02208.44] 那他运用的这就是把空气对流循环的过程
[02208.44-02213.20] 就是冷热的空气冷空气和热空气在物子里会消负参展
[02213.20-02216.48] 慢慢的热空气就会把温度传给冷空气
[02216.48-02218.36] 是否物子里慢慢就暖回来
[02218.36-02223.88] 所以在这里面它的应用就是空条之热以及我们所说的暖气片它的安装
[02223.88-02228.12] 就是考他们两个如何让物子里变得暖或考它背后的原理
[02228.12-02231.60] 所以大家注意一下这是第二个叫做热对刘里面有两个
[02231.60-02233.60] 第三个就是热浮射
[02233.60-02239.60] 热浮射它说是用一种电子浮射的形式向外散发热量的传热方式
[02239.60-02242.60] 热浮射大家注意它是不需要戒指的
[02242.60-02245.76] 不依赖热和挑剑在真空中最有效的
[02246.24-02248.48] 传热方式就是热浮射
[02248.48-02253.04] 所以在这里大家知道这是我们所说的热浮射的它的一个基本情况
[02253.04-02257.04] 但是在这个地方大家需要找个点就是热浮射它的一个应用
[02257.04-02260.12] 若服是而他在真空当中服彩的效率最好
[02260.12-02262.42] 因为在真空当中没有任何的空气
[02262.42-02264.40] 所以他的热热就可以
[02264.40-02265.80] 续速的就传递出去
[02265.80-02267.48] 就不会遇到各种各样的阻挨
[02267.48-02267.80] 对吧
[02267.80-02269.68] 所以这是我们所说的热服彩
[02269.68-02271.40] 他的一个导热效果的情况
[02271.40-02272.84] 所以同时标准一下圈一
[02272.84-02274.96] 就是在真空当中
[02274.96-02276.52] 热服彩的导热效果最好
[02276.52-02277.88] 因为没有任何的阻挨
[02277.88-02279.08] 但是我们说了
[02279.08-02281.08] 对于他的导热效果好
[02281.08-02283.76] 我们也可以从反向来看一下
[02283.76-02286.20] 如何让这些导热方式
[02286.20-02287.44] 能够更好的保温
[02287.44-02287.84] 对吧
[02287.84-02289.56] 所以在热热当中也有一个
[02289.56-02290.12] 还是谁呢
[02290.12-02291.12] 还是热水平
[02292.56-02293.68] 还是热水平
[02293.68-02294.84] 在热水平里面
[02294.84-02296.28] 咱们刚才讲的水平
[02296.28-02297.12] 外面有可
[02297.12-02298.72] 中间是为还有一个胆
[02298.72-02299.40] 这个胆
[02299.40-02300.56] 它其实是双层的
[02300.56-02302.20] 大家看到热水平的里面
[02302.20-02303.32] 是不是引摆色的
[02303.32-02304.00] 热水平
[02304.00-02305.68] 它经常会杜沿
[02308.44-02309.16] 热水平
[02309.16-02310.12] 它会杜沿
[02310.12-02312.44] 那热水平杜沿的目的是什么呢
[02312.44-02315.64] 就是让这些原来水糊当中的热能
[02315.64-02318.92] 它如果說我們所說的這個認識被放在那
[02318.92-02320.28] 它哪它什麼都不幹
[02320.28-02322.88] 它也會不斷地向外浮射它的熱呢
[02322.88-02324.68] 那如果現在再給這個暖水平
[02324.68-02326.72] 裡面內膽度上引之後
[02326.72-02328.36] 它往外浮射的熱呢
[02328.36-02330.08] 就會經過這個內膽
[02330.08-02332.12] 又浮射到胡裡面去
[02332.12-02333.52] 就是會被反射回去
[02333.52-02335.36] 那這樣的話就會減少
[02335.36-02336.68] 對外浮射的熱量
[02336.68-02337.68] 那這種情況之下
[02337.68-02339.20] 保温效果就會很好
[02339.20-02340.60] 所以這個熱水平度眼
[02340.60-02343.36] 就是為了使熱濃反射回去
[02343.36-02348.36] 为了使热能反射回去
[02348.36-02351.36] 从而渐少
[02351.36-02353.36] 热腹射
[02356.36-02358.36] 从而渐少热腹射
[02358.36-02360.36] 这个就是我们所说的官员
[02360.36-02361.36] 热腹射的应用
[02361.36-02363.36] 所以大家就知道这个热腹射就是
[02363.36-02365.36] 你那他把东西放在哪
[02365.36-02366.36] 他哪怕什么都不做
[02366.36-02368.36] 就他周围又没有空气
