[00000.00-00004.34] 那講完了才能爭测以後我們再來一起看一下貨幣政策
[01238.70-01241.26] 你看每次都扣出百分之二时存在准备接
[01241.26-01243.06] 就从80到64到50块
[01243.06-01244.58] 不停了扣出不停了扣出
[01244.58-01245.62] 一直扣到什么呢
[01245.62-01247.22] 一直往外带
[01247.22-01248.42] 带到我们所说的
[01248.42-01251.06] 他已经具体把法律存款准备进后
[01251.06-01253.26] 他已经没有钱在往来带的时候
[01253.26-01254.34] 这一轮货币
[01254.34-01258.02] 这一百块钱发挥的作用才会正好停止
[01258.02-01260.50] 就是在这之这一百块钱再也不发挥众了
[01260.50-01262.54] 那他往来带的这个次数
[01262.54-01265.62] 那就意味着他创造了货币的多少
[01265.62-01268.10] 那这里面他到底能创造多少货币
[01268.10-01268.82] 我刚才说了
[01268.82-01270.46] 他要是根据他的什么呢
[01270.46-01273.58] 这个根据他的法定存款准备精率来定
[01273.58-01277.46] 而他创造的货币的数量是法定存款准备
[01277.46-01280.02] 在精率的道數成語元素貨幣
[01280.02-01282.14] 而這個法定存款準備精率的道數
[01282.14-01284.38] 我們把它稱為叫做貨幣成數
[01284.38-01285.18] 所以在這裡
[01285.18-01288.06] 你先對於它是如何運行的這一百塊錢
[01288.06-01288.86] 有一個概念
[01288.86-01290.94] 我們來把這裡面的具體的考點
[01290.94-01292.38] 這個大家說一下
[01293.86-01294.86] 我們剛才說了
[01294.86-01296.26] 在這個過程當中
[01296.26-01297.78] 一百塊錢發揮的作用
[01297.78-01299.10] 原源超過一百塊
[01299.10-01299.82] 因為這一百塊
[01299.82-01301.54] 又不停在市場當中流通
[01301.54-01303.26] 扣圖法定存了幾個劑率
[01303.26-01304.70] 然後再流通再扣處
[01304.70-01306.66] 一直到沒有錢可扣的時候
[01306.66-01308.90] 这一百块钱算是不发挥送了
[01308.90-01310.90] 那这里面就会涉到一个问题
[01310.90-01312.50] 这是这一百块钱
[01312.50-01313.62] 我们刚才说了
[01313.62-01314.58] 刚才的那一百块
[01314.58-01316.30] 它其实是原始货币
[01316.30-01318.82] 但它创造的货币数量很多
[01318.82-01320.66] 所以在这里面我们所说的
[01320.66-01323.02] 这一百块钱可以创造货币
[01323.02-01325.10] 那它创造货币是多少钱呢
[01325.10-01327.66] 就要看它的原始货币数多少
[01327.66-01330.34] 它创造的货币就等于原始货币
[01330.34-01333.58] 成也货币成数
[01333.58-01335.86] 原始货币成也
[01335.86-01336.90] 貨幣成數
[01336.90-01338.38] 而這個貨幣成數
[01338.38-01339.18] 它是什麼呢
[01339.18-01339.82] 貨幣成數
[01339.82-01340.50] 大家注意一下
[01340.50-01341.34] 我寫的上面
[01341.34-01343.02] 它是法定存款
[01343.02-01344.50] 准备經濟的到數
[01346.18-01347.42] 法定存款
[01347.74-01349.50] 准备經濟的到數
[01352.66-01354.66] 法定存款准备經濟的到數
[01354.66-01356.02] 那剛才我們說了
[01356.02-01357.82] 剛才比如說一剛才那個為例
[01357.82-01359.10] 剛才那個點是
[01359.10-01360.42] 原始存款是100元
[01360.42-01362.34] 是不是A存接A連好的
[01362.34-01362.70] 對吧
[01362.70-01364.02] 一個人存建A黃的
[01364.02-01365.94] 它的法定重含准备接率是多少
[01365.94-01367.02] 是20%
[01367.02-01368.38] 那20%到数
[01368.38-01369.38] 那就是几了
[01369.38-01370.66] 25%之一
[01370.66-01372.14] 5%之一的到数是15%
[01372.14-01374.54] 所以它创造的货币就是100程一物
[01374.54-01375.98] 也就是500块钱
[01375.98-01378.66] 也就是说我只存了100块钱
[01378.66-01381.18] 但实际这一百块钱发挥的作用是500块
[01381.18-01383.54] 是不是直接给它的作用放大了500
[01383.54-01385.18] 它为什么叫做最猛烈
[01385.18-01386.22] 原因就在这
[01386.22-01388.10] 所以大家在这里一定要知道
[01388.10-01389.62] 在这里面的考点是什么呢
[01389.62-01391.22] 就是这个计算公式
[01391.22-01393.74] 这这里面的考点就是这个计算公式
[01393.74-01395.22] 这个计算公式在这里面
[01395.22-01396.42] 同时给了标注出来
[01396.42-01398.30] 就是创造的货并数量
[01398.30-01400.30] 等于原始货并成有货并成数
[01400.30-01402.06] 那就知道货并成数是什么
[01402.06-01403.70] 叫法定桥案准备经济
[01403.70-01405.10] 那有同学可能就担心了
[01405.10-01406.06] 你说老师
[01406.06-01408.30] 他如果扣除了那12%之后
[01408.30-01409.34] 那假设一百块钱
[01409.34-01409.86] 互着百块钱
[01409.86-01410.74] 这还要80
[01410.74-01412.94] 他会把这80多亡费带吗
[01412.94-01414.02] 其实不一定的
[01414.02-01416.14] 如果是按照实际银行操作的话
[01416.14-01417.30] 他还是会有一部分
[01417.30-01419.34] 遇就是自己的库存现金的
[01419.34-01421.02] 比如他会有现金漏出
[01421.02-01422.22] 就是他会发尘一部分
[01422.22-01423.76] 做了自己的库存現金
[01423.76-01425.30] 每天去捅這個現金
[01425.30-01427.34] 因為銀行帳上必須要現金
[01427.34-01429.14] 所以證實會存在露出
[01429.14-01431.22] 當然這個露出是我們大學的時候
[01431.22-01432.22] 甚至有很多同學
[01432.22-01434.50] 他學這個就學專業的
[01434.50-01436.06] 他在親貌考試的主委考
[01436.06-01437.26] 但事業單位不會考
[01437.26-01440.14] 事業單位只考最理想的狀態和最簡單的狀態
[01440.14-01443.58] 就是假定他剩下之前的全部都完蛋
[01443.58-01445.50] 所以證實我們只需要考立貨幣成熟
[01445.50-01447.82] 是法定從來整理經歷的報索就行了
[01447.82-01449.22] 不需要再考慮其他的因素
[01449.22-01449.98] 明白了
[01449.98-01452.18] 所以在這裡面考試的時候
[01452.18-01453.72] 就是给你一个点
[01453.72-01456.28] 说谁存到银行当中原始货币是多少
[01456.28-01458.08] 这个时候法定存准备精力是多少
[01458.08-01458.58] 我问
[01458.58-01460.38] 那他创造的货币数量是多少
[01460.38-01461.90] 然后让你去搞这个公式
[01461.90-01463.96] 你要能够会计算就OK了
[01463.96-01466.78] 这个就是法定存款准备精率
[01466.78-01467.88] 他一共三个考点
[01467.88-01469.84] 这三个考点都考过
[01469.84-01471.90] 货币创造在最开始的时候
[01471.90-01473.18] 哪个地方考最多呢
[01473.18-01474.46] 四川地区考
[01474.46-01476.24] 是一单位经济之时的时候考最多
[01476.24-01478.28] 因为四川整体的精力都很难
[01478.28-01479.58] 结果到了后面的时候
[01479.58-01482.14] 2021年2年2年各地區
[01482.14-01483.94] 對於貨幣創造的這個店
[01483.94-01484.96] 都快去考了
[01484.96-01485.98] 2021年的時候
[01485.98-01487.26] 山東就考察過了
[01487.26-01489.06] 所以在這裡面大家一定要注意一下
[01489.06-01491.10] 這是我們所說的這個
[01491.36-01493.14] 法定存款準備監律
[01493.14-01494.68] 一共是這三個點
[01494.68-01496.22] 第一個他的應用
[01496.22-01498.00] 第二個他為什麼最猛練
[01498.00-01500.32] 就是因為他可以進行貨幣創造
[01500.32-01502.36] 他創造了貨幣數量是多少呢
[01502.36-01503.90] 就是一個公式
[01503.90-01506.20] 這是第一個我們叫做法定存款
[01506.20-01508.50] 準備監律兩星級的資料
[01508.50-01509.54] 理解清楚
[01509.54-01512.08] 第二个叫做在贴线率
[01512.08-01513.48] 什么叫在贴线率呢
[01513.48-01515.16] 在贴线率它说是指
[01515.16-01517.00] 商严行将军贴线的
[01517.00-01518.56] 味道期的票据
[01518.56-01520.88] 向商严行申请在贴线时的
[01520.88-01522.02] 预构理率
[01522.02-01524.12] 关键字就在于这个预构上
[01524.12-01527.76] 在贴线率不需要大家掌握的像刚才我们所说的那个
[01527.76-01529.16] 法律从来准备心率
[01529.16-01531.04] 那么深这里面只需要知道
[01531.04-01533.14] 在贴线率它如何发挥重的就行了
[01533.14-01534.62] 那所谓的在贴线
[01534.62-01536.14] 它其实就有一点像什么的
[01536.14-01540.34] 有一点像商业好像装也好贷款的意思
[01540.34-01543.62] 他既然提到了在贴鞋其实本质上就是贴了两次
[01543.62-01545.10] 他其实还有一次贴鞋
[01545.10-01546.50] 第一次鞋也是什么呢
[01546.50-01548.10] 他的整体的流程是这样的
[01548.62-01549.58] 同时来看一下
[01549.58-01552.14] 假设我现在和另外一个人做了交易
[01552.14-01553.30] 做了交易之后
[01553.30-01554.06] 一样的
[01554.06-01556.42] 我们的交易假设是20万块钱
[01556.42-01558.78] 20万块钱如果走现金的话数量有点大
[01558.78-01561.14] 于是他给我开了一张会票
[01561.14-01564.06] 这张会票就是商业也行成对的会票
[01564.06-01566.34] 什么叫做商业严行成对呢
[01566.34-01568.54] 就是商业严行剑票集合
[01568.54-01571.78] 咱们经常会听到有很多的这种会票 对吧
[01571.78-01573.98] 有我们所说的这种支票
[01574.98-01575.98] 有本票
[01576.62-01577.38] 有会票
[01577.38-01579.78] 它其实是商业票具的一种 对吧
[01579.78-01580.82] 支票咱们就知道
[01580.82-01582.50] 你看经常业偶像军那种
[01582.50-01584.66] 差一下思维章支票
[01584.66-01586.70] 然后它就给到另外一个女主说
[01586.70-01588.38] 拿着这个钱随便甜 对吧
[01588.38-01590.18] 当时我看了那个电视就有一个笑死了
[01590.18-01592.14] 你们倒是在支票内聊天上的名案
[01592.14-01593.82] 你给我一张空白之后啥用啊
[01593.82-01594.96] 我也提出来钱
[01594.96-01596.96] 所以你看像偶像最当中经常会演
[01596.96-01598.02] 这种支票对吧
[01598.02-01599.00] 这看他给你张
[01599.00-01600.40] 然后在这里有个有一个老人
[01600.40-01601.16] 你且看你的名样
[01601.16-01601.90] 对老行为的名样
[01601.90-01603.40] 留笑欺在这
[01603.40-01604.68] 我是拿去随便花
[01604.68-01606.36] 这个像我们所说是支票
[01606.36-01606.92] 那当然呢
[01606.92-01608.66] 还有我们所说的本票和会票
[01608.66-01610.30] 他其实都是票觉得一种
[01610.30-01611.52] 而我们所说的
[01611.52-01613.10] 商业行程度的会票呢
[01613.10-01614.80] 其实就是其中的一种形式
[01614.80-01615.60] 那我刚才说了
[01615.60-01617.16] 我和另外一个人做了交易
[01617.16-01619.28] 对吧假设交易的数个是二十万
[01619.28-01621.52] 二十万如果直接我清点现金的话
[01621.52-01622.68] 对他来说不方便
[01622.68-01624.04] 于是我给了他一张
[01624.04-01625.64] 商业行程度的会票
[01625.64-01626.36] 那种意味着
[01626.36-01627.68] 你拿着这张票据
[01627.68-01629.28] 你去商业行去对钱
[01629.28-01630.80] 他你看看的票
[01630.80-01632.20] 他就一定要把钱给你
[01632.20-01633.04] 但是呢
[01633.04-01634.32] 每一张票据
[01634.32-01635.56] 除了支票之外呢
[01635.56-01636.96] 支票他有极极的
[01636.96-01637.36] 对吧
[01637.36-01638.96] 但是有我们所说的
[01638.96-01639.84] 很多的这种票据
[01639.84-01641.60] 他都是有固定而是极的
[01641.60-01642.52] 这是这个日
[01642.52-01643.36] 就是我们所说
[01643.36-01644.28] 证量情况之下
[01644.28-01645.36] 在这个票据当中
[01645.36-01646.28] 我给你标注了
[01646.28-01647.44] 这个票据多少
[01647.44-01648.64] 到哪年
[01648.64-01649.80] 每月哪日到期
[01649.80-01652.32] 你抱歉了之後再去拿著這個
[01652.88-01655.76] 我們所說的這張票據去商業行對錢
[01655.76-01657.32] 然後在商業行對錢的時候
[01657.32-01659.72] 它是聯本夫妻的付給你的
[01659.72-01661.32] 這個就是我們所說的匯票
[01661.32-01662.60] 它的一種基本情況
[01662.60-01665.16] 假設現在它給了唯一張匯票
[01665.16-01667.48] 這樣匯票會票會票上的時間
[01667.48-01669.32] 就是我手裡現在有一張票據吧
[01670.60-01671.64] 我就不寫匯票了
[01671.64-01673.00] 我就簡單寫票據
[01673.00-01675.84] 一面同學們就認為它只有一種形式
[01675.84-01678.00] 我就假設現在我手裡有一張票據
[01678.00-01686.90] 那我只能票据呢,就是我卖东西给他给我获得付的钱,对吧,这样票据的高清时间是2023年的12月31号
[01687.90-01698.90] 那这是正常请来票据的时间,然后票据金额是20万元,然后票面西,他也有一个票面西,票面西,假设是12吧
[01699.30-01707.30] 那这次这张票据的基本情况,但是现正常请完这下午应该是2023年12月31号,拿这张票据,然后去到也好
[01707.30-01709.94] 它会联本代西的把钱付给我
[01709.94-01712.74] 但是现在因为一些特殊的这种情况
[01712.74-01713.94] 我不要招级用钱
[01713.94-01715.94] 我没有等到12月31号的时候
[01715.94-01717.54] 我去把这个钱对出来
[01717.54-01718.66] 我在什么时候呢
[01718.66-01721.94] 我在2023年的10月1号的时候
[01721.94-01723.22] 因为要过中秋了嘛
[01723.22-01726.26] 而且也是要过去连放假普天同性
[01726.26-01726.66] 对吧
[01726.66-01728.74] 在这里面我就开始招级用钱了
[01728.74-01729.46] 那我招级用钱
[01729.46-01731.62] 我说我在期限把这个钱对出来
[01731.62-01733.62] 所以我10月1号那一天
[01733.62-01736.26] 我就拿着这个票据去到了银行
[01736.26-01738.50] 但是你看10月1号距离12月31号
[01738.50-01740.10] 是不是日子还比较远呢
[01740.10-01741.54] 所以它是没有到期的
[01741.54-01744.38] 所以我就拿着这张味道期的票距
[01745.54-01747.54] 去找到了我们所说的商业业业业
[01747.94-01750.10] 那我找到了商业业业行商业行
[01750.10-01752.70] 又确实是我们业行给开的票对吧
[01752.70-01754.38] 然后在这种情况之下
[01754.38-01755.22] 我说我要用钱
[01755.22-01756.42] 你把这个钱给我存出来
[01756.42-01757.22] 打给我提出来
[01757.22-01758.02] 他说你干吗
[01758.02-01760.10] 我说我听说火星相复开发了
[01760.10-01762.06] 我现在呢这好过节
[01762.26-01763.14] 然后呢
[01763.14-01764.82] 还有时间我再去玩一圈
[01764.82-01766.62] 買張票 但是我現在差點錢
[01766.62-01768.22] 我要把這錢提出的去買票
[01768.22-01770.62] 然後商業一看說可以
[01770.62-01772.42] 因為是我們銀行開的票
[01772.42-01774.62] 而且我們承諾建票幾乎
[01774.62-01777.22] 所以我可以把這個票面上的錢給你
[01777.22-01780.42] 但是因為你的票就是12月30號到錢
[01780.42-01782.22] 所以現在我能把這個
[01782.22-01783.62] 我們所說的這個錢
[01783.62-01785.62] 20萬施大使得給到你們
[01785.62-01786.22] 不行
[01786.22-01788.22] 這個票面就相當逼個合約了
[01788.22-01791.02] 你提前來找我把錢對付卻
[01791.02-01792.42] 那對於商業好來說
[01792.42-01794.02] 他願不願意提前給我對這個錢
[01794.02-01795.06] 他只能是不愿意的
[01795.06-01798.06] 原因就是他这二十万拿着就可以进行贷款
[01798.06-01800.26] 他可以去搞投资,搞理财
[01800.26-01801.78] 他是不是能赚点钱呢
[01801.78-01804.02] 但是我提前把这个钱换出来之后
[01804.02-01805.46] 是不是打乐的他的计划
[01805.46-01806.74] 从某种程度上来说
[01806.74-01807.70] 我是不是可以说
[01807.70-01808.58] 我没约了
[01808.58-01810.02] 那就用情况之下他就说了
[01810.02-01811.94] 我可以给你把仙军对出来
[01811.94-01813.54] 但是你带放点血
[01813.54-01814.38] 放下血呢
[01814.38-01817.78] 你在从这个票面上扣点钱出去
[01817.78-01818.86] 那这个时候呢
[01819.50-01822.34] 我为了拿到这个仙军
[01822.34-01825.34] 我要同票面上扣出一部分钱给他
[01825.34-01827.34] 我扣出的这部分钱就叫做什么
[01827.34-01828.34] 就叫做贴线
[01828.34-01830.34] 那你具体贴多少呢
[01830.34-01833.34] 你就看一下你这个年纪是12%的
[01833.34-01837.34] 那这种情况之下你就用这个票面纪除以12%
[01837.34-01841.34] 在成一年生余的这些日子扣掉这钱
[01841.34-01843.34] 然后他把生下的给你
[01843.34-01844.34] 这个过程就要多贴线
[01844.34-01846.34] 就是在这里同一面就记住一个
[01846.34-01848.34] 就是你只要没到钱你去了这儿
[01848.34-01850.34] 他不可能十大十的把这钱都换给你
[01850.34-01851.88] 这个就是商业也好
[01851.88-01855.08] 你看看新新的拿着换到的现金你就走了
[01855.08-01856.86] 你要去火星了,你去买票了
[01856.86-01858.52] 商业行这时候犯错了
[01858.52-01860.32] 它照面上就只有这些钱了
[01860.32-01862.36] 你突然把这些钱全都换走了
[01862.36-01867.58] 就用情况下商业行,它是不是能够用于灵火支持的钱就没有了
[01867.58-01871.06] 所以商业也好,现在手里只有票据没有现金
[01871.06-01872.98] 它如果没有现金的话,它运营起来
[01872.98-01876.00] 它的马上就相当值大了
[01876.00-01877.78] 于是商业行说咋办呢
[01877.78-01880.30] 那我没有钱了 没钱早谁 没钱早妈
[01880.30-01883.66] 于是商业和拿着你手里的这个票据去找到了谁呢
[01883.66-01885.34] 去找到了 周安严行
[01885.34-01888.42] 周安严行 注意一下 这里面也是什么
[01888.42-01890.18] 也是未到期的票据
[01890.18-01893.86] 也就是说我10月1号找到商严和换钱
[01893.86-01895.70] 10月2号的时候
[01895.70-01897.90] 商严和就拿着这个票据找到了阳航
[01897.90-01902.10] 阳航一看 又你小子拿到12月31号才到期的票
[01902.10-01904.18] 你现在8.25号就漂亮 来干啥呀
[01904.18-01906.66] 商严和时候他是妈妈 你看吗 你看吗
[01906.66-01909.74] 我現在沒有錢 了 現在沒有現金了
[01909.74-01912.54] 能不能把這個票給我換成現金呢
[01912.54-01916.14] 剛好一看就說臭小子了 平時人多在那邊也閃不聽
[01916.14-01920.42] 於是那央行這個時候就說我可以把這張票據給你換成錢
[01920.42-01924.26] 但是不能實大使的把20萬多換給你
[01924.26-01925.58] 原因很簡單
[01925.58-01929.46] 因為第一個票據未到期作為莊銀行來看的話
[01929.46-01932.78] 他提前把這個錢投放到市場當中去就意味著
[01932.78-01935.66] 他提前把風險是否投稿了市場當中去
[01935.66-01938.50] 因為市場當中流通的貨幣讓一旦增加
[01938.50-01940.78] 他就可能導致通貨膨尚的風險
[01940.78-01942.30] 只是第一個 第二個
[01942.30-01946.30] 那腰行能不能說對於商業行任何的要求都是有求病
[01946.30-01947.54] 你找個換條就令你換
[01947.54-01949.30] 然後我不給你任何的這種
[01949.30-01950.98] 我們所說的成本機制
[01950.98-01953.02] 那只有情況之下其他的商業行停了
[01953.02-01954.18] 之後都不炸了沒有了
[01954.18-01956.18] 我聽說 上張業行換錢
[01956.18-01957.66] 不需要支付任何成本
[01957.66-01960.30] 那他手裡的一些道氣沒掉道氣的調劇
[01960.30-01961.50] 都跑到腰行去換
[01961.50-01963.02] 那腰行請知道氣死了
[01963.02-01964.02] 所以在這裡面
[01964.02-01965.18] 就會出現一個問題
[01965.18-01965.90] 什么问题呢
[01966.06-01967.94] 就是央行数我可以给你换
[01967.94-01970.14] 但是不能把二十万多给你
[01970.14-01971.30] 你也要放点血
[01971.30-01972.74] 他放血的如果成就要什么
[01972.94-01974.54] 就要做再贴线的过程
[01974.74-01977.14] 所以再贴线数上有句话什么话呢
[01977.34-01980.58] 他是商业严行贴装业行的什么利率
[01981.50-01982.50] 预扣利率
[01982.66-01984.86] 那既然是预扣利率就意味着
[01985.02-01987.58] 如果这个预扣利率越高
[01988.18-01991.10] 那是不是从商业严行拿走的钱就会怎么样
[01991.10-01997.24] 越多,所以商業銀行,它流存的錢就會越少,我用解後來表示,
[01997.24-01999.30] 那它投放到市場的錢就會越少。
[01999.30-02008.00] 如果這個越扣率率率是越低的,那這種情況之下,商業銀行手裡的錢其實就是會變多,
[02008.00-02014.66] 那它能夠放到銀行貝團的錢就會咋的,就會變多,那這時候就可以應對通過緊縮的情況。
[02014.66-02022.10] 所以在这里面的重点,同们注意一下,就是它的应用,同们注意,就是它的应用是一个两相级的重点
[02022.10-02026.82] 但是像在天线这样的一个工具,我们一般情况下不轻易去用它
[02026.82-02030.78] 因为在天线率一般都很高,对于我们所说的这种
[02031.50-02042.26] 商业也好来说的,腹胆还是有点大的,而银行板在天线率天了门高的原因就是尽量的避免,它像装上装一行借带,因为装一行一旦把钱放出去的话
[02042.26-02043.66] 就意味着太炸放水了
[02043.66-02045.82] 上浪浪的货币量就变得很可怕了
[02045.82-02046.98] 所以在这里面
[02046.98-02048.74] 他就给到的就是这种预浩律律
[02048.74-02050.78] 按算老师他如果针于到这种情况
[02050.78-02051.82] 他缺钱了怎么办
[02051.82-02052.90] 那一般情况之下
[02052.90-02053.90] 商业行的选择
[02053.90-02055.58] 不是去找装一行贷款
[02055.58-02058.46] 而是去找同期的其他一行节前
[02058.46-02061.14] 我们把这个过程称的位称总同业拆进
[02061.14-02062.78] 拿大家其实也听过
[02062.78-02064.10] 所以在这个里面
[02064.10-02065.30] 大家就知道在天宣里
[02065.30-02066.62] 他如何发挥众就行了
[02066.62-02067.34] 导致
[02067.34-02069.54] 在天宣里他是一个预浩律律
[02069.54-02070.50] 扣给谁的
[02070.50-02071.50] 扣给装一行的
[02071.50-02073.10] 所以在天天天旅月高
[02073.10-02074.82] 扣给装益行的钱越多
[02074.82-02076.26] 商益行的钱就会越少
[02076.26-02079.18] 市场当中的会必就可能会渐少
[02079.18-02080.94] 这就是在天天旅
[02080.94-02082.10] 所以一般情况之下
[02082.10-02082.90] 它不太用
[02083.90-02084.82] 它是不太用的
[02084.82-02086.62] 所以它如果说最不常见的
[02086.62-02087.94] 就是在天天旅了
[02087.94-02089.30] 那这是第二个
[02089.30-02089.86] 第二个
[02089.86-02091.42] 我们所说的叫在天天旅
[02091.42-02094.50] 第三个就叫做公开市场业务了
[02094.50-02096.22] 在公开市场业务这个地方
[02096.22-02097.30] 我们需要注意
[02097.30-02099.58] 它说公开市场业务是装益行
[02099.58-02102.40] 买进或者是卖出有家政劝
[02102.40-02104.14] 吞土记住货币调节使
[02104.14-02106.14] 挥币共能量的这样一个活动
[02106.14-02107.34] 所以在这里面
[02107.34-02109.18] 公开市场也有大注意样
[02109.18-02110.82] 它有这么几个考虑
[02110.82-02113.14] 第一个同的在旁边叫做公开市场
[02113.14-02114.42] 又被称的位叫做
[02114.42-02116.14] 最灵活的政策工具
[02116.14-02116.98] 现在旁边
[02118.78-02122.86] 叫做最灵活的政策工具
[02125.70-02127.94] 那它为啥叫最灵活的政策工具呢
[02127.94-02129.74] 就和他发挥做的机制有关
[02129.74-02132.30] 因为他公开上一会有两个
[02132.30-02134.86] 一个叫买进有家政权
[02137.34-02139.14] 一个叫买进有家政权
[02139.14-02142.14] 还有一个就做卖出有家政权
[02146.62-02147.66] 说老师
[02147.66-02150.02] 这里面的买进和卖出员政权
[02150.02-02153.34] 和体验面咱们所给到的那个政府
[02153.34-02156.10] 他发行债券有什么本质的区别呢
[02156.10-02159.22] 那就一下政府发行债券的目的是什么
[02159.22-02161.02] 政府发债的目的
[02161.02-02163.94] 我们说了是借钱花钱的过程
[02163.94-02167.42] 对吧 是借钱花钱的过程
[02167.42-02169.42] 就是政府他急需这一筆钱
[02169.42-02171.66] 比如说现在面临的是通过解锁的情况
[02171.66-02174.42] 他需要增发国债把老百姓手里多一个钱
[02174.42-02175.94] 吸收回来然后再花出去
[02175.94-02178.62] 所以政府他的本质就是把这个钱借
[02178.62-02180.10] 借完了就再花出去
[02180.10-02181.10] 这个是发债
[02181.10-02182.34] 而央行是什么
[02182.34-02184.46] 央行其实咱们国家的国库
[02184.46-02186.86] 而央行充带的是国库的这样的角色
[02186.86-02188.82] 所以央行最不缺的就是钱
[02188.82-02193.94] 所以央行买进和卖出有家政务却不是为了把这部分钱花出去或者怎么样
[02193.94-02196.38] 央行买进和卖出有家政务却就是为了什么
[02196.38-02198.38] 控制货币共同量
[02199.50-02200.86] 控制货币共同量
[02200.86-02204.30] 那央行买进和卖出的有家政务却可以是买卖国战
[02204.30-02206.30] 国战算是有家政务却的一种
[02206.30-02207.74] 因为央行不缺钱
[02207.74-02211.54] 所以央行在这个国陈当中把我们所说的市场当中的钱楼回来
[02211.54-02214.22] 就按在自己的钱带子里就不会发花出去了
[02214.22-02216.02] 那如果央行觉得市场当中的
[02216.02-02217.94] 我们所说的这种流通变慢的话
[02217.94-02219.10] 他就把钱再放出去
[02219.10-02220.38] 他是不缺钱的
[02220.38-02222.46] 所以你看政府发债
[02222.46-02223.94] 他本身是作用在什么上
[02223.94-02225.42] 本身是作用在消费上
[02225.42-02227.34] 你就看他是刺钱的意志消费
[02227.34-02228.86] 而张阳行控制
[02228.86-02230.34] 买进货卖出的压政权
[02230.34-02233.62] 他其实本身作用是在市场当中流通的货币量的多少上
[02233.62-02235.06] 他俩是用本质的区别的
[02235.06-02237.14] 所以同学没不要听到有家政权
[02237.14-02238.66] 就把它和债权整毁了
[02238.66-02242.38] 你就把它完全当作两个机制去看就可以了
[02242.38-02244.26] 所以在这里面,大家要明确
[02244.26-02245.66] 这是我们所说的
[02245.66-02246.70] 有关于
[02246.70-02249.30] 它和前面的一个正确之间的一个区分
[02249.30-02250.66] 在这里面我们来看一下
[02250.66-02252.02] 美金和卖出有家正确
[02252.02-02254.22] 它怎么控制和调查会比共同料的呢?
[02254.22-02255.06] 来思考
[02255.06-02256.06] 他们想一下
[02256.06-02257.86] 如果美技有家正确
[02257.86-02260.74] 央行美东西,是否从市场当中买东西
[02260.74-02263.38] 央行从市场当中买技有家正确
[02263.38-02264.78] 这是把东西买回来
[02264.78-02267.82] 它把东西买回来把什么投放到市场当中去了
[02267.82-02269.94] 咱们买东西是不是在给人付钱呢?
[02269.94-02273.62] 那央行从市场当中买东西是不是也得给市场付钱
[02273.62-02275.82] 所以买进有家政权就是什么
[02275.82-02278.90] 买进有家政权就是买东西给钱
[02278.90-02281.30] 就是把钱投放到市场了
[02282.22-02284.78] 所以他是往市场当中投放货币的过程
[02284.78-02289.90] 而他一旦投放货币市场当中的货币公共量增加还是几少增加了
[02289.90-02292.06] 那如果是卖出有家政权的
[02292.06-02296.30] 我把央行现在手里所有的什么国債机机机呢这也确实什么的
[02296.30-02298.86] 他把他从市场当从他手里卖出去
[02298.86-02301.62] 他把东西卖出去别人是不是给他钱
[02301.62-02302.86] 别人一旦给他钱
[02302.86-02304.86] 所有的资金都回弄到了哪里
[02304.86-02305.82] 装也好呢
[02305.82-02308.30] 所以在这里卖出游家政权
[02308.30-02310.94] 卖出是西纳货币的过程
[02310.94-02312.22] 你把钱都收回来了
[02312.22-02314.22] 所以这是一个西纳货币的过程
[02314.22-02315.90] 而如果你一旦西纳货币的话
[02315.90-02318.06] 那市场当中流通的货币量就会怎么样
[02318.06-02319.34] 就会渐少
[02319.34-02321.50] 我用渐的号带币带币渐少
[02321.50-02325.98] 所以在这里他提高的是卖进购卖出游家政权
[02325.98-02327.54] 所以在这里面他们看
[02327.54-02329.84] 如果市场当中的货币工人量增加了
[02329.84-02332.14] 这个时候用队通货紧说
[02332.14-02333.94] 如果市场当中的货币工人量減少了
[02333.94-02335.98] 那就一直通货膨脏
[02335.98-02339.06] 那说老实他为什么叫最灵活的政策工具呢
[02339.06-02340.34] 原因很简单
[02340.34-02343.16] 因为他不需要去测算市场当中到底
[02343.16-02344.94] 现在货币工人量是多少
[02344.94-02348.02] 我法定从来准备进入订阜少预扣立律订阜少
[02348.02-02349.82] 订阜少他不需要去测算的
[02349.82-02351.86] 所以他反应机制是比较快
[02351.86-02354.18] 而且买进和卖出有家政策的数量
[02354.18-02357.24] 你可以装一行根据市场当中的实际情况去订
[02357.24-02358.40] 是不是很快啊
[02358.40-02359.64] 因为反映很快
[02359.64-02361.28] 所以在这里被称这位叫做
[02361.28-02363.60] 最灵活的政策工具
[02363.60-02364.40] 所以在这里面
[02364.40-02366.32] 我们所说的这个公开市场业务
[02366.32-02367.48] 大家一定要知道
[02367.48-02368.52] 这里面两个点
[02368.52-02369.96] 第一个要知道它的地位
[02369.96-02371.80] 第二个要知道它的应用
[02371.80-02374.56] 也就是它在这里面是如何发挥送的
[02374.56-02377.64] 这也是经常会考察到
[02377.64-02379.52] 我们所提到的这个
[02380.52-02382.52] 有关于给你一个情况
[02382.52-02384.08] 然后在这里面让你去分析彩虚
[02384.08-02385.32] 什么样的货币政策案
[02385.32-02386.08] 是它的应用
[02386.08-02387.20] 那大家要注意一下
[02387.20-02389.92] 那这时候我们所说的叫做一般政策工具
[02389.92-02391.96] 那一般政策工具大家就知道
