[00000.00-00002.74] 好的,我们接着来往下看
[01191.82-01193.34] 把这个话出来
[01193.34-01197.10] 在山北子场线 照开了网友不会一
[01197.10-01199.42] 这个网友不会一其实就是我们所说的什么
[01199.42-01201.66] 碳讨了 滑北时面之后
[01201.66-01203.66] 它的国内的一些新的变化
[01203.66-01207.34] 在这里面就说了 日本不会就仅仅直播于此的
[01207.34-01210.34] 所以在这过程当中它的内容同时注意下
[01211.02-01214.42] 圈三是地点圈四 就是内容
[01214.42-01216.42] 网布会议最重要的一个内容
[01216.42-01218.98] 同时标注一下 就是制定了
[01218.98-01221.22] 把制定这三个字给我画个大圈
[01221.22-01224.06] 叫制定了 卡尔民族同一战线
[01224.06-01225.46] 所以在这里面 大家注意下
[01225.46-01229.14] 叫制定了 卡尔民族同一战线的策略
[01229.42-01234.34] 所以在这里 这是它的内容
[01234.34-01236.14] 因为在康尔民族统一战线
[01236.14-01238.34] 它的形成里面有好几个会议
[01238.34-01241.94] 我要不会以特别喜欢和落穿会议放在一块对不考察
[01241.94-01243.22] 这里面只是我们说了
[01243.22-01246.06] 我们现在应该停止内战开始一支对外了
[01246.06-01249.94] 是我才刚刚开始制定康尔民族统一战线
[01249.94-01254.06] 所以在这里是制定了策略 才刚刚开始
[01254.06-01255.78] 所以这是我党这一边
[01255.78-01260.38] 我们说了我们不想和国民党之间在先有这种内部矛盾了
[01260.38-01261.74] 我党说先停一停
[01261.74-01263.22] 那这是我们所说的
[01263.22-01263.70] 我党
[01263.70-01264.90] 我党是这样想的
[01264.90-01266.22] 当时国民党怎么想的
[01266.22-01267.58] 国民党当时不是这么想的
[01267.58-01268.98] 但是讲解时才说的
[01268.98-01269.86] 讲解时说了
[01269.86-01271.62] 说扰外必先是吗
[01272.34-01273.22] 我们所说的
[01273.22-01273.58] 安内
[01273.58-01274.98] 也就是在这个过程当中的
[01274.98-01275.70] 讲解时说了
[01275.70-01277.86] 就是我先把中国共产党
[01277.86-01279.14] 拿捏之后
[01279.14-01280.42] 然后我在开始怎么样
[01280.42-01281.58] 一句对外
[01281.58-01283.22] 所以当时的这个讲解时
[01283.22-01285.58] 他就开始读促张和两胡承
[01285.58-01288.90] 既不去我们所说的去脚满中国共产党
[01288.90-01292.24] 但是大家知道张卷梁岂师当时想象打了呢
[01292.24-01294.28] 张卷梁岂师当时就已经不想再打了
[01294.28-01297.18] 大家知道张卷梁的父亲
[01297.18-01299.26] 也是我们所说的张作脸
[01299.26-01301.14] 就是被日本人害死的
[01301.14-01302.48] 所以对张作脸来说
[01302.48-01305.54] 这是国仇和加恨脚之在一块了
[01305.54-01309.64] 所以大家都知道张卷梁进出三海关的时候
[01309.64-01314.24] 就是被我们共产党军队与拿回来的这些地方
[01314.24-01315.92] 張雷來來回回走他總能
[01315.92-01317.92] 類看到類似於什麼樣的標語呢
[01317.92-01320.08] 就是類似我的家在東北送花江上
[01320.08-01320.72] 對吧等等
[01320.72-01324.56] 就是進出塞觀他只能總能看到這樣的一些化
[01324.56-01326.00] 但是他看到這樣一些化之後
[01326.00-01327.84] 他就想到了他的家旗就在東北
[01327.84-01329.36] 他的父親就是本來害死了
[01329.36-01330.88] 所以他這種情況之下
[01330.88-01332.24] 他根本就不可能
[01332.24-01333.28] 就是在打了
[01333.28-01335.60] 所以在這裡面就有了這麼一個時間
[01335.60-01336.96] 就是我們所說的什麼呢
[01336.96-01337.76] 西安市面
[01337.76-01339.84] 所以西安市面同一標準一下圈一
[01340.80-01344.16] 時間就是1936年12月12號
[01344.16-01347.14] 所以他也被称着为叫做双12视频
[01347.14-01347.92] 咱们输上有
[01347.92-01348.90] 但是我为了方便
[01348.90-01350.40] 我给他写在前面
[01350.40-01352.56] 他也被称着为叫做双12视频
[01352.56-01354.00] 双12视频在这里面
[01354.00-01355.50] 他的主要的人物是谁呢
[01355.50-01356.12] 大家注意一下
[01356.12-01359.76] 双12视频主要是张学良养湖称还有什么
[01359.76-01361.24] 还有讲迹时
[01361.24-01364.76] 所以当时说先视频就做兵见讲迹时
[01364.76-01366.80] 在那个金移南教授
[01366.80-01368.76] 他的那个苏里面苦难灰黄
[01368.76-01372.02] 这是进到这个苏的第一章正式开始去写的时候
[01372.02-01373.34] 他其实就有写到
[01373.34-01375.86] 我们所说的这个鲜石变当时的那个情况
[01375.86-01378.26] 说呢 早上起来大概疏点钟的时候
[01378.26-01381.26] 然后有一个人连于50
[01381.26-01384.54] 然后呢 他听到有几书枪想连于50
[01384.54-01386.18] 就差不多15岁了
[01386.18-01387.26] 穿上那个衣服
[01387.26-01390.06] 然后呢就迅速跑到那个围墙上
[01390.06-01391.18] 然后那个围墙很高
[01391.18-01392.74] 就要就离地帐局局
[01392.74-01395.18] 但他对他来说非常轻松的就翻过去了
[01395.18-01396.90] 放弃之后在他的这个
[01396.90-01398.30] 未明的这个户营之下
[01398.30-01399.58] 像山破当中跑去
[01399.58-01401.58] 那他在这个历史当中
[01401.58-01406.54] 或者是在文字当中记责的年于50身手短线的人是谁的
[01406.54-01407.66] 其实就是讲解时
[01407.66-01412.58] 早上起来听到枪想他以为是我们所说的这个中国共产党
[01412.58-01414.78] 这是我党打到他那边了
[01414.78-01417.06] 然后就下的赶紧就开始就跑
[01417.06-01419.10] 因为他最开始是派了一个人出去
[01419.10-01420.94] 派了一个人出去发言人没回来
[01420.94-01422.54] 然后他又听到了枪想
[01422.54-01425.34] 所以他现在才开始说室人那个非常跳出跑
[01425.34-01427.10] 所以他非常跳出跑跑到山上
[01427.10-01429.26] 后来呢 发现没有什么太大的动点
[01429.26-01431.42] 然后张雪梁和亚我成就来了
[01431.42-01433.22] 来了之后的意思就是聊聊白
[01433.22-01435.90] 然后讲一说就聊聊聊聊聊聊聊聊
[01435.90-01437.90] 聊聊当时就说就不要再打了
[01437.90-01439.18] 当时讲是不同意
[01439.18-01440.62] 后来就把讲是什么样的
[01440.62-01441.66] 给扣下了
[01441.66-01442.90] 就是扣下了
[01442.90-01443.06] 扣下了
[01443.06-01443.78] 扣下了之后呢
[01443.78-01445.10] 当时国民党内部呢
[01445.10-01446.90] 其实发生了一定的分歧
[01446.90-01449.14] 关了内部当时知道讲计时
[01449.14-01451.18] 主要领导人被扣住了之后
[01451.18-01452.78] 然后当时国民党内部呢
[01452.78-01454.34] 就发现就成了两派
[01454.34-01455.34] 就有两派
[01455.34-01457.18] 就说这个世界发动了之后
[01457.18-01458.18] 既然应该怎么办
[01458.18-01460.06] 那张根和邀请把讲认是给宝了
[01460.06-01460.90] 既然应该怎么办呢
[01460.90-01461.74] 当时分两派
[01461.74-01464.10] 一派就是国民党内部的亲日派
[01464.10-01465.26] 亲日派当时说
[01465.26-01466.98] 咱不行再就把西安炸了
[01466.98-01468.94] 当然就是把张阳洸成炸死
[01468.94-01469.86] 张阳洸炸死了
[01469.86-01471.06] 咱们在选一个人就行了
[01471.06-01472.14] 这是亲日派
[01472.14-01472.74] 当然了
[01472.74-01473.82] 国民党内部还有什么
[01473.82-01475.06] 还有亲英美派
[01475.06-01476.14] 亲美派就说
[01476.14-01476.86] 说不行
[01476.86-01477.22] 对吧
[01477.22-01477.62] 不行
[01477.62-01478.98] 你不能跟他们用朋友
[01478.98-01480.14] 说张阳洸还在那人
[01480.14-01480.82] 那不行的话
[01480.82-01482.86] 咱就跟张阳洸成炸一炸
[01482.86-01483.34] 对吧
[01483.34-01485.38] 所以当时国民党内部又出现了
[01485.38-01487.58] 这样分析
[01487.58-01488.78] 而这个分析
[01488.78-01489.78] 我党就知道了
[01489.78-01491.58] 那这种情况下 我党就干嘛的
[01491.58-01494.38] 我党就提上说正好是一个机会
[01494.38-01494.70] 对吧
[01494.70-01498.02] 我们尽可能的採取合品方式去解决这个问题
[01498.02-01500.90] 从而联合国民党的左派
[01500.90-01503.34] 然后最终实现抗战路线
[01503.34-01504.58] 后来的时候就知道
[01504.58-01507.14] 先是变合平解决靠选靠尊来统治
[01507.14-01507.70] 对吧
[01507.70-01508.50] 所以在这里面
[01508.50-01510.42] 大家知道这是双12时面
[01510.42-01511.86] 所以双12时面之后
[01511.86-01513.86] 招来统治就来到了西安
[01513.86-01515.74] 然后就开始各方的去睡谱
[01515.74-01518.42] 真的是非常了不起的一个人物
[01518.42-01521.24] 所以在这里面西安市面就和平解决了
[01521.24-01523.02] 西安市面和平解决了之后
[01523.02-01525.34] 大家来看一下它有一些重要的意义
[01525.34-01527.64] 所以在这我们来看一下第三个点
[01527.64-01530.96] 西安市面和平解决它的意义
[01530.96-01532.50] 同样标注在旁边
[01532.50-01534.54] 西安市面和平解决意义是什么呢
[01534.54-01537.12] 意义就在原本中国共产党和国民党
[01537.12-01539.78] 还有我们所说的内着还有这种拉举站
[01539.78-01543.76] 但是西安市面和平解决之后就让我们都认识到了一个问题
[01543.76-01545.04] 就是不能再打了
[01545.04-01546.58] 我们要移植对外
[01546.58-01547.82] 所以它是一个转折
[01547.82-01548.82] 什么转折呢
[01548.82-01551.30] 由国内战争走向
[01551.30-01553.54] 靠人民族战争的转折
[01553.54-01554.54] 所以这是第一个点
[01554.54-01555.62] 需要大家去注意一下
[01555.62-01556.42] 这是第一个
[01557.62-01559.06] 由内战走向抗战
[01559.06-01560.10] 就可以简单
[01561.10-01564.02] 由内战走向抗战的转折
[01567.94-01569.94] 由内战走向抗战的转折
[01569.94-01570.90] 这是第一个
[01570.90-01571.66] 那第二个呢
[01571.66-01572.34] 大家注意一下
[01572.34-01573.10] 就是在这
[01573.10-01574.46] 先是为了和平解决
[01574.46-01578.04] 他说标志的国共两党第二次合作为基础的啥呢
[01578.04-01581.38] 扣任民族统一战先基本行程
[01581.38-01584.06] 为什么叫做扣任民族统一战先基本行程
[01584.06-01587.78] 因为在这里面我们逐渐的开始吹伏国民党
[01587.78-01590.98] 以及联合国民党的左派去建立什么
[01590.98-01595.18] 统一战先来就在这里面原本中国共产党
[01595.18-01596.98] 他能够发动的是工人和农民
[01596.98-01597.90] 但现在什么呢
[01597.90-01600.82] 我们把自然阶级也加入进来了 对吧
[01600.82-01603.38] 所以他是扣任民族统一战先同们关键词
[01604.46-01606.00] 基本形成
[01606.00-01607.02] 第2个
[01607.02-01607.78] 第3个
[01607.78-01609.32] 同学们简单看一下就行了
[01609.32-01610.60] 就西安市面和平解决
[01610.60-01612.14] 就要10年内战基本结束
[01612.14-01613.42] 27年到37年嘛
[01613.42-01613.68] 对吧
[01613.68-01615.72] 10年内战基本结束国内和平
[01615.72-01617.00] 基本实现
[01617.00-01619.30] 只有国内和平实现了才有可能移制对外
[01619.30-01620.34] 所以它的意义呢
[01620.34-01621.36] 最核心的是
[01621.36-01622.38] 两件事
[01622.38-01623.40] 一个是
[01623.92-01625.44] 从内战总乡抗战
[01625.44-01628.26] 一个是靠民族同一战前基本形成
[01628.26-01630.06] 所以在这里面搭遥注意下
[01630.06-01631.86] 这是我们所说的意义
[01631.86-01633.08] 那其西安市面之后
[01633.08-01637.56] 我张询量怎么样呢 张询量被军事法定审判判了10年有趣图形
[01637.56-01640.88] 有时10年的话就是一种37年开始執行
[01640.88-01644.20] 1947年的话才行情解释
[01644.20-01646.44] 所以到1947年的时候也比较有意思
[01646.44-01650.24] 张询量就给讲解时的和他的夫人送了两块名表
[01650.24-01653.16] 大概一次是到点了 对吧 该给我放出去了
[01653.16-01657.60] 那讲解时也合意一次 就是送了张询量回理了
[01657.60-01659.74] 送了张询量日利
[01659.74-01661.38] 1936年的日律
[01661.38-01663.14] 送了他一雙脫血
[01663.14-01664.34] 大一色
[01664.34-01665.94] 一有三六年这个事
[01665.94-01666.74] 没完
[01666.74-01667.78] 还在脫着
[01667.78-01670.26] 所以这是后序的这样的一个事情了
[01670.26-01671.66] 所以这是我们所说的
[01671.66-01673.14] 西安市面
[01673.14-01673.98] 现在是为大家
[01673.98-01674.94] 有时间可以去
[01674.94-01675.58] 看一看
[01675.58-01676.90] 就是张学校有关的电视剧
[01676.90-01680.54] 我记得应该是谁演的
[01680.54-01682.30] 就是演交易录的老演员
[01682.30-01683.58] 去演的张作领
[01683.58-01687.54] 他就把张作领演的非常线护
[01687.54-01690.10] 所以大家注意一下,这是我们所说的这个
[01690.10-01695.48] 先视频,所以先视频和平解决,标志的靠民族整同一战先基本行丑
[01695.48-01705.46] 那靠民族同一战先行成基本行成之后呢,我们说了,那怎么样能够把全面抗战之后路线灌车下去呢,那接下还要进一步的去怎么样
[01705.46-01713.14] 去不断地去玩山发展这样的一个抗战路线,所以到后面的话就了,第三个会也大距下就要做落穿会议
[01713.14-01717.10] 落穿回憶的時間大主意下是在七七四遍之後
[01717.10-01718.62] 所以在這裡第一個時間
[01718.62-01720.38] 我們大概知道一下 喬一
[01720.38-01723.50] 十一有三七年八月份照開了落穿回憶
[01723.50-01724.94] 第二個落穿落穿
[01724.94-01726.78] 大家知道落穿在哪就可以了
[01726.78-01729.02] 落穿是在閃北落穿線
[01729.02-01730.14] 閃北落穿線
[01730.14-01731.66] 同一門其實應該都知道
[01731.66-01733.50] 咱們在洪軍場中
[01733.50-01736.70] 勝利之後我們的主要的底後根據地
[01736.70-01738.18] 就是在閃乾靈邊去
[01738.18-01739.42] 所以你看剛才的
[01740.42-01741.30] 我們所說的這個
[01741.30-01742.26] 我要补回憶
[01742.26-01743.10] 你看在哪
[01743.10-01745.50] 把握部灰液是在閃備
[01745.50-01745.90] 对吧
[01745.90-01747.78] 你在看我们所说的这个
[01747.78-01748.98] 落窗会议在哪
[01748.98-01750.22] 也是在閃備地区
[01750.22-01751.86] 所以在这里面大家知道
[01751.86-01753.54] 是在閃備落窗线
[01753.54-01754.82] 这是前两个点
[01754.82-01756.58] 落窗会议主要说了什么呢
[01756.58-01757.38] 大家注意一下
[01757.38-01758.58] 落窗会议在这里面
[01758.58-01759.38] 它的内容
[01759.38-01760.62] 小达去时机
[01760.62-01762.10] 同时标注全三
[01762.10-01763.06] 落窗会议
[01763.06-01764.42] 它的内容在这里面
[01764.42-01765.30] 首先第一个
[01765.30-01766.50] 就是会议通过了
[01766.50-01768.66] 康日就国的实大缸领
[01768.66-01769.90] 这个实大缸领
[01769.90-01770.94] 在说什么事
[01770.94-01775.14] 在说就是打倒日本帝国主义 全国军事总动员
[01775.14-01779.14] 接着全国军事总动员就在康徐国时代港领当中
[01779.14-01784.94] 叫制定了全面抗战路线 同学们把全面抗战这几个字话出来
[01784.94-01789.14] 我说了这个点 特别喜欢和谁考 特别喜欢和瓦谣不会一考 对吧
[01789.14-01790.94] 瓦谣不会一制定的是什么
[01791.94-01797.14] 瓦谣不会一制定的是 康认民族统一战线的策略
[01797.14-01802.74] 这叶民族统一战线的策略
[01802.74-01804.34] 而抗民族统一战线就说
[01804.34-01805.34] 我们不能打了
[01805.34-01805.54] 对吧
[01805.54-01808.14] 我们要把一切能够团结的另一样都洗大过来
[01808.14-01808.54] 这是
[01808.54-01811.74] 我要不会以它提到的抗战统一战线
[01811.74-01814.74] 而竟然是抗民族统一战线
[01814.74-01818.14] 后面的话在路船会一直在七七六个小市面之后
[01818.14-01819.54] 七六个小市面之后
[01819.54-01821.74] 我们就说那就要全面抗战了
[01821.74-01822.94] 所以在这里面你看
[01822.94-01824.94] 他们两个一样不一样
[01824.94-01825.94] 这个不一样的地方
[01825.94-01826.94] 就是特别容易
[01826.94-01827.92] 混小的地方
[01827.92-01829.42] 又是看明度同一站线
[01829.42-01830.74] 又是全面康战
[01830.74-01832.32] 你把这两个去跟开
[01832.32-01833.22] 考试的时候
[01833.22-01835.58] 在这里特别喜欢张观理战
[01835.58-01836.82] 同时也在看着
[01836.82-01838.02] 就是大康联里面提到
[01838.02-01840.86] 了解开展的网犯的有机战争
[01840.86-01842.54] 开展有一站线的了解
[01842.54-01843.26] 就行了
[01843.26-01844.38] 这是我们所说的
[01844.38-01846.66] 落穿会议全面体
[01846.66-01847.42] 全面体什么呢
[01847.42-01848.58] 全面康战
[01848.58-01849.58] 这是在这
[01849.58-01851.50] 最后一个就是我们所说的
[01851.50-01853.54] 看明度同一站线正式形成
[01853.54-01855.54] 先是便只是基本形成
[01855.54-01856.26] 大助一下
[01857.26-01858.10] 我们刚才说了
[01858.10-01859.14] 我们说先是便是
[01859.14-01860.66] 卡尔民族团院站线怎么样
[01860.66-01862.98] 叫基本形成
[01862.98-01865.78] 而卡尔民族团院站线正式形成是什么呢
[01865.78-01866.42] 大助一下
[01866.42-01868.42] 卡尔民族团院站线正式形成是
[01868.42-01869.94] 宣言加谈话
[01869.94-01871.34] 是宣言加谈话
[01871.34-01874.50] 这个宣言就是中共中央公布
[01874.50-01876.42] 我们所说的国共合作宣言
[01876.42-01878.74] 然后我们在这里给到的说
[01878.74-01880.78] 讲件事发表了一个谈话
[01880.78-01882.62] 在这里面你就知道
[01883.26-01884.42] 他的一个正式形成
[01884.42-01885.90] 我把正行程标出出来
[01885.90-01887.90] 你就在旁边写上就是宣言
[01889.38-01890.98] 加弹化
[01892.58-01894.66] 这个宣言就是在这里面给到的
[01894.66-01897.86] 叫中共中央内公布
[01898.26-01899.74] 国共和做宣言
[01899.74-01902.34] 所以这个宣言就是国共和做宣言
[01902.34-01903.58] 弹化就是讲进时
[01903.58-01904.50] 我们刚才提到了
[01904.50-01906.82] 其实讲进时发表的路山团化
[01906.82-01907.02] 对吧
[01907.02-01909.34] 当时说了说希望和平而不狗
[01909.34-01911.02] 准备用这儿绝不求战
[01911.02-01912.06] 战端一开
[01912.06-01913.02] 第五分南北
[01913.02-01916.50] 南乌芬 年务分老幼就有首土抗战制作
[01916.50-01916.86] 对吧
[01916.86-01917.94] 所以在这里面你看
[01917.94-01919.74] 就已经坚定了我们所说的
[01919.74-01920.94] 全面抗战的这些
[01920.94-01922.54] 所以宣言家谈话是
[01922.54-01923.94] 看明的同一战线怎么样
[01923.94-01925.30] 正式形成
[01925.30-01926.14] 大家注意一下
[01926.14-01927.94] 宣言家谈话是正式形成
[01927.94-01928.98] 这个正式形成
[01928.98-01931.18] 也标志着第二次国共合作什么
[01931.18-01932.02] 开始
[01932.02-01934.38] 标志着第二次国共合作的开始
[01934.38-01935.86] 第一次国共合作
[01935.86-01936.86] 大家注意一下
[01938.26-01939.46] 咱们前面讲过
[01939.46-01940.66] 第一次
[01940.98-01941.82] 国共合作
[01941.82-01942.54] 要干嘛
[01942.54-01945.14] 第一次國共合作是搞北法嗎
[01945.14-01948.02] 因爲說當時就要達到軍法處內亂
[01948.02-01951.98] 所以第一次國共合作的標誌是國民黨一大的這種開
[01954.50-01956.30] 對啦國民黨一大統一
[01956.30-01958.94] 接收中文貨產黨以個人身份加入國民黨
[01958.94-01960.46] 所以那個時候是國民黨一大
[01960.46-01966.18] 但是我們知道第一次國共合作在CR和秋武反革命中間之後撤底破裂了
[01966.18-01968.30] 那第二次又到了初王絕續的時候
[01968.30-01969.98] 那就是宣言家談話
[01969.98-01972.06] 第二次國共合作正式
[01972.06-01975.14] 那这是我们所说的靠民族统一战现
[01975.14-01977.44] 它的一个正式形成
[01977.44-01980.00] 但是靠民族统一战现它的一个发展
[01980.00-01980.76] 咱们就
[01981.28-01982.82] 刺证的这个战现的路线看
[01982.82-01985.38] 它到了后面的时候也是遭到了一定的破坏的
[01985.38-01987.42] 这个破坏主要是体现在什么呢
[01987.42-01988.96] 就是我们所说的1946年
[01989.22-01991.26] 它发生的这个晚难失辨啊
[01991.26-01994.34] 晚难失辨呢当时是国民政府军事委员会
[01994.34-01996.90] 它在我在这里给大家说了说正参们走
[01996.90-01999.20] 可用亲和白充洗白充洗咱们之前
[01999.20-02001.00] 其实给大家讲过
[02001.00-02002.02] 对吧 咱们再讲到
[02002.02-02003.80] 长征的时候 提到我这个人
[02003.80-02007.40] 发出是巴陆军朱德总司令和彭德怀附死令的
[02007.40-02008.68] 这样的一个电报
[02008.68-02012.00] 然后要对他这个武装力量的进行学剑
[02012.00-02014.30] 也就是说当时他想把这个人数
[02014.30-02017.62] 是极大的给的宣言下去 就是整边
[02017.62-02021.98] 就是要恶制中国共产党领导下军队的一个发展
[02021.98-02024.80] 而且同时提到了各种各样的屋面
[02024.80-02025.56] 不减
[02025.56-02028.80] 屋面而且体的发现报说那个意思是你们马上
[02028.80-02032.76] 就来到我说的这个地方就要求他们是开副皇后一本
[02032.76-02034.16] 但是当然当时想啊
[02034.16-02037.00] 这正在打架呢 你说你让我说过来就过来
[02037.00-02039.92] 那就很明显这是中间有什么有猫尼啊
[02039.92-02041.24] 有其他的一些事情
[02041.24-02043.96] 所以后来我们说说的那去还是不去呢
[02044.76-02046.48] 当时呢猪德和蓬录坏
[02046.48-02048.00] 他们就考虑到什么了
[02048.00-02051.12] 要与全国抗战的这样的一个大局围重
[02051.12-02051.84] 所以就去了
[02051.84-02053.72] 去了之后就发动了我们所说的什么
[02053.72-02054.60] 晚难失辨
[02054.60-02056.72] 所以晚难失辨你看在这里面就说了
[02056.72-02062.00] 說抗戰期間國民黨玩故派對華北新死軍發動了一次突然的襲擊
[02062.00-02064.32] 死傷人數非常多
[02064.32-02066.80] 所以你看在這裡同樣標準一下第一個
[02066.80-02068.08] 就是玩南市面
[02068.08-02073.24] 它其實是第二次反共高潮的頂點
[02073.24-02076.56] 也就意味著玩南市面其實對康明族統一戰線的
[02076.56-02078.96] 這樣一個總的策略方針的一次
[02078.96-02081.36] 血弱大家注意一下這是在這
[02081.36-02085.52] 那第二一個就是這很明顯是對我黨的一次無面
[02085.52-02089.52] 对吧 正经中外 当时就是在我们所说的这个报纸上
[02089.52-02094.52] 就看登的当时有说的是什么 叫正经中外的晚难失变
[02094.52-02098.02] 所以在这里面大家要注意一下 这个正经中外的晚难失变呢
[02098.02-02103.52] 我们也有一些我们所说的这样那些说明在
[02103.52-02107.52] 这他考试的时候 他也会经常会说到 就比如说说 周恩莱总来同这
[02107.52-02111.52] 说形容说 叫做 起来旁边
[02111.52-02113.06] 我们把这几个词写的旁边
[02113.06-02115.36] 就是我们所说的叫做同事超
[02115.36-02116.76] 同事超哥
[02120.44-02121.52] 千古岐愿
[02127.28-02129.08] 同事超哥千古岐愿
[02129.08-02131.08] 这一花一出来形容的是什么事变
[02131.08-02131.96] 大家知道是
[02131.96-02133.48] 晚上事变就可以了
[02133.48-02135.08] 所以晚上事变的目前
[02135.08-02136.72] 它再去考察的过程当中
[02136.72-02138.52] 其实只考察过这一个点
[02138.52-02140.32] 就是我给大家普通的这第二个点
[02140.32-02146.46] 大家不需要对于这个晚上是变的这个世界具体发生的过程在考试到这种掌握的有多想想
[02146.46-02148.40] 你就记得有这么一句话就可以了
[02148.40-02151.84] 大家只需要顺着这个晚上是变这条线就知道
[02151.84-02154.00] Carming 腾线遭到破坏就OK了
[02154.00-02156.20] 所以这个就是我们所说的第二个点
[02156.20-02161.58] 叫Carming 所谓战线的建立从最开始我们所说的这个
[02162.86-02165.66] 事件来看就是第一个 瓦腰部会议
[02165.66-02168.48] 我们提到Carming 所同意 战线的方征
[02168.48-02173.08] 然后在到先视频 卡尔明祖统一战先基本形成
[02173.08-02174.76] 然后在落成回忆
[02174.76-02176.68] 在卡尔明祖统一战先之下
[02176.68-02179.24] 制定有全面抗战的路线
[02179.24-02181.68] 最后在到我们所说的宣言家谈话
[02181.68-02184.36] 卡尔明祖统一战先正式形成
[02184.36-02187.12] 但是这条我们所说的战先或者策略
[02187.12-02188.96] 遭到破坏 晚难视频
[02188.96-02192.36] 这是在缘了我们 对吧 叫做同事草队
[02192.36-02195.04] 我们和国民脑之间 对吧 千古起源
[02195.04-02197.68] 大家就知道这是卡尔明祖统一战先
[02197.68-02200.64] 那康明如魂戰線的主要是威誰服務的呢
[02200.64-02201.58] 大家也知道
[02201.58-02204.64] 康明如魂戰線主要就是為我們所說的
[02204.64-02205.84] 康人戰爭服務的
[02205.84-02207.24] 所以我們接下來看一下
[02207.24-02209.16] 在康人明如魂戰線之下
[02209.16-02211.48] 在全面康戰的路線之下
[02211.48-02213.04] 我們來看一下整個
[02213.04-02214.52] 我們所說的康人戰爭
[02214.52-02216.24] 它的一個大一個過程
[02216.24-02218.24] 在整個康人戰爭大家都知道
[02218.24-02221.36] 康人戰爭的它分為我們所說的正面戰場
[02221.36-02222.76] 還有我們所說的
[02222.76-02223.92] 敵後戰場
[02227.68-02231.68] 平常旁邊他分為我們所說的正面戰場
[02231.68-02234.68] 以及我們所說的這個抵候戰場
[02234.68-02236.68] 在正面戰場和抵候戰場
[02236.68-02239.68] 大陸一下正面戰場其實我們所說的國民黨
[02239.68-02242.68] 而抵候戰場主要是我黨和領導下的軍隊
[02242.68-02245.68] 是中國共產黨及行領導的軍隊
[02245.68-02247.68] 這是我們所說的在整個戰場當中
[02247.68-02250.68] 而這個戰場裡面我們所說的整個抗戰戰爭
[02250.68-02254.68] 它這是從我們所說的什麼空間上來看
[02254.68-02257.76] 从空间上来看有正面战场和丢战场
[02257.76-02259.80] 而如果从时间现场来看的话
[02259.80-02262.04] 它其实分成三个阶段的
[02265.28-02266.40] 是三个阶段的
[02266.40-02268.76] 他们两个呢其实是交差的
[02268.76-02270.28] 你大概先我这么一个印象
[02270.28-02272.04] 我们的中典其实在哪
[02272.04-02273.96] 中典是在掌握汪汪战中的
[02273.96-02276.64] 这三个阶段以及这三个阶段之下
[02276.64-02278.32] 它所对应的具体战争
[02278.32-02281.68] 这里面我就把这个时间线给大家处理起来了
[02281.68-02284.48] 大家去實際的時候你就按照我的這個來記
[02284.48-02288.32] 就是在哪個階段之下發生了哪個戰 哪一場戰爭
[02288.32-02290.64] 在這個戰爭之下取得了哪些勝利
[02290.64-02292.88] 這些就是在考試當中經常會考的
[02292.88-02295.80] 以前在國考也好 在世界大外考試當中也好
[02295.80-02300.40] 真的就考過說以下屬於戰略防疫階段的戰爭式
[02300.40-02303.84] 或者以下關於戰略防疫階段說法正確或錯誤的事
[02303.84-02305.84] 其實在這裡面都有考察過
[02305.84-02309.04] 所以你就順著我的這個時間線給他旅下來就可以了
[02309.04-02310.48] 那我們來看一下吧
[02310.48-02313.48] 咱們整個全民抗戰的這樣的一個經過
[02313.48-02317.32] 那首先全民抗戰第一個階段就叫做戰略防禦階段
[02317.32-02318.52] 同樣把防禦化出來
[02318.52-02322.84] 戰略防禦階段主要是從1937年7月到1938年10月
[02322.84-02325.72] 你記不住這個時間沒有關係
[02325.72-02326.84] 我給大家說過
[02326.84-02328.56] 咱們現在考試的時候
[02328.56-02330.92] 你需要不需要說把這個時間
[02330.92-02332.68] 可靈可貌的記得特別的精準
[02332.68-02335.12] 你只要知道它大概的一個過程出就行了
[02335.12-02336.80] 這是給大家去說的這個
[02336.80-02337.88] 所以大家就知道
[02337.88-02340.92] 首先第一個結段就是戰略防禦結段
[02340.92-02342.24] 這個戰略防禦結段
[02342.24-02345.28] 它其實主要是國民黨的正面戰場
[02345.28-02347.44] 我們來看一下具體是怎麼婚事
[02347.44-02349.88] 咱們前面其實又給大家去說日本
[02349.88-02352.00] 它侵略中國的戰略具體過程
[02352.00-02353.96] 先是918世辯
[02353.96-02355.96] 然後我們所說的戰略了省陽
[02355.96-02357.88] 然後東北三省輪線
[02357.88-02358.16] 對吧
[02358.16-02360.72] 那這是我們所說的它先戰略了東北
[02360.72-02362.08] 戰略了東北之後
[02362.08-02363.44] 緊接著它是不是製造了華北
[02363.44-02365.48] 是被用戰略了什麼華北
[02365.48-02367.24] 也是從北往南走
[02367.24-02369.16] 他的勢力進入擴大了
[02369.16-02370.48] 原本是黑激了
[02370.48-02373.12] 後來華北市面的當中就把精精劑
[02373.12-02376.88] 天精北精和北內蒙和山西
[02376.88-02380.08] 以及那裏造了他的這個切略的範圍之內
[02380.08-02380.44] 對吧
[02380.44-02382.04] 所以在這裡遵到了華北
[02382.04-02383.12] 那打了華北之後
[02383.12-02385.00] 大陸下從北望南打
[02385.00-02386.04] 你覺得他會收手嗎
